[00:00:11.160] ひしひ
[00:54:19.079] え、めちゃめちゃ強くね、これ。
[00:54:21.000] はっきり言ってビルは
[00:54:22.400] はい。バランスブレイカー来た。
[00:54:23.720] よそ者に冷たい。
[00:54:25.400] 了解。いいやつだよ。
[00:54:27.359] ただ打ち解けるまでに時間がかかるんだ。
[00:54:32.559] さすがに強すぎ。
[00:54:34.240] え、これ主人公の声誰?
[00:54:36.079] しかも銃声なしか
[00:54:38.640] 神じゃん。
[00:54:41.160] え、やまちゃん。
[00:54:42.920] 山ちゃんか。これ
[00:54:45.640] 山寺光一じゃないかな。やまちゃんだけど。待って。これさ、
[00:54:50.319] にそれも盛り上がったよ。
[00:54:52.880] お前回開始5分でうるせえな。
[00:54:59.680] [笑い]
[00:55:03.599] なんだよ。だからなんだよ。だからなんだよ。もう
[00:55:04.599] 1
[00:55:04.720] 回聞いちゃダメなんか。おい、下がれ。危ねえぞ。あ、違う。これで行けばいいんじゃないの?
[00:55:09.880] 心配なるわ。なんで覚えてねえんだよ。毎回記憶リセットされる系の人。
[00:55:14.590] [音楽]
[00:55:15.880] うるせえな。ごちゃごちゃ
[00:55:18.760] 笑。ごちゃごちゃ。
[00:55:21.559] おられとかないんやろ。普通に心配になるレベル。
[00:55:25.480] 笑。
[00:55:28.000] ちょっと待って。うるさいんだよ。こっちゃごちゃ。そうだろうが。
[00:55:33.440] 前回も自分で言ったのに。
[00:55:35.280] ちょっとちょっと本当にね。うるさいよ。しかもケベト。お前回見てないだろ。
[00:55:41.640] なんだこりゃ。何これはまずい。
[00:55:44.599] 笑笑。
[00:55:46.520] ちょ待って。あそこのあそこの中に何かいるの?
[00:55:52.039] もしかしてお茶ビロっちゃったじゃん。
[00:55:53.119] ほら、俺らがそういうなんかこれ何ここ?あれは何?出てくんのか?
[00:56:00.920] 何歌ってんだおい?何歌ってんだおい?遊びじゃねえんだぞ。お、なんだよ、なんだよ、なんだよ。来んのか、
[00:56:09.680] みんな仲良くね。来んのか、来んのか。
[00:56:16.400] え、あれ?何?嘘だろ?ここ行くのか?行きたくねえ。
[00:56:29.440] おや。いや、これ行くか。え、入るの?
[00:56:32.559] いや、そうだよね。かてみよう。
[00:56:34.400] いっちゃん怖いやつ。
[00:56:35.559] 驚いて死んだ私の死体が見つかるかも。
[00:56:38.400] 心配するな。大丈夫?
[00:56:40.880] 大丈夫かよ。
[00:56:43.799] 怖い、怖い、怖い
[00:56:46.880] 。みんな仲良くない?本当に。いや、でも
[00:56:50.559] 絶定出てくるよ、ここは
[00:56:53.119] 。ここは絶対に出てくる
[00:56:56.039] 。気を引き閉めていけ、お前ら
[00:56:59.880] 。絶対その分見返りがあるんだ。絶対。
[00:57:04.240] 絶対その分見返りがあるんだ
[00:57:09.319] 。引き閉めて。
[00:57:12.880] ちょっと口回ってなかったけど落としてるもん。
[00:57:25.119] 待て待て。
[00:57:26.760] なんで来そう?
[00:57:34.370] [音楽]
[00:57:36.039] いや、絶対なんかいる。ここは
[00:57:39.000] 感染者いなくね?待て待て。
[00:57:40.240] ちゃま俺気がついたけど、この声やまちゃんじゃね?
[00:57:42.470] [音楽]
[00:57:43.170] [笑い]
[00:57:45.039] あ、俺もそうかなて思ってた。感染者いないってなんでわかんの?
[00:57:58.760] あ、まずい。おくそ。
[00:58:01.640] なんだよ。やらんわ。
[00:58:05.000] けんなぞ。お前、この野郎。な
[00:58:07.799] んなの?びっくりした。
[00:58:09.640] ま、とりあえず探してみよう。危ねえ。
[00:58:16.119] もうさすがにねえだろ。癖とか1
[00:58:17.280] 番上やばいらしいね。頭。
[00:58:19.960] レイチェル
[00:58:21.520] バイオハザード。ま、3
[00:58:23.240] 発ぐらいいいだろ。弾なんか持ってるだけ意味ねえだ。使わなきゃ意味ねんぞ、お前ら。おい、
[00:58:27.160] 狙うのやばいつし。
[00:58:28.940] [笑い]
[00:58:31.160] あいつの野球人生が立たれたな、俺のせいで。
[00:58:34.599] レイチェ兵士たちが家の中を回って無理やりバスに乗せてる。
[00:58:43.599] すぐ近くで悲鳴が聞こえる。もう時間がない。叫んでも待っても君は現れなかった。でももうこれ以上待てない。
[00:58:44.599] 2
[00:58:51.880] 人の荷物はほとんど通決定に詰め込んだ。人足し先に隔離地域へ行ってる。来て俺を探してくれ。君を待ってる絵面。
[00:58:52.880] 2人は会えたと思う。
[00:58:55.119] 知るわけないだろう。
[00:58:56.640] 会えたことにしようよ。
[00:58:58.790] [音楽]
[00:59:00.119] 俺は俺は弾うん。あの、使う準備は万タ。つでもな。
[00:59:01.160] いつでも打てるようにはもういつもいつも解います。
[00:59:08.119] 持ってるだけじゃ意味ねえかんな。これ作、あ、作ってか。ああ、もう俺体力満タだもんね。今ね、体力満タだもんね。意外と落ちてんだよな。
[00:59:43.000] ここだけ。ここんだけか。1
[00:59:44.160] 個みたいなのやめてね。そう。
[00:59:51.760] え、何?1個見たかった俺。
[00:59:57.280] オオよし、さっさと出よう。
[00:59:58.839] はいはいはい。こんだけ。
[01:00:01.119] あか、こんだけ
[01:00:03.400] ここ。こんだけ。本た。
[01:00:12.720] エイ番本た。本た。エイ番本た。うえ。A
[01:00:15.720] 番おつ。A番おつです。ビブレジュムプ。
[01:00:19.400] はい。A
[01:00:20.760] 番おつ。よし。離れてろ。分かった。
[01:00:25.039] くうすごいだろ。これ最高だね。
[01:00:29.400] 俺のところでぶちかまして消えている
[01:00:33.280] らしいね。なしたのなんで?
[01:00:36.680] お前まさかおい生きてんのか?
[01:00:39.960] いや、さすがにな。
[01:00:42.359] キャのとこて爆さ地点なの?
[01:00:46.559] 発はでけえ。8発はでけえぞ。
[01:00:53.520] 俺犯人分かっちゃった。
[01:00:58.000] 犯人。ま、さすがにそいつ動かねえだろ。
[01:01:04.599] そこ見えるか?下がれ。
[01:01:07.000] これ撃たなきゃだめか。もったいねえな。
[01:01:10.160] むかつく配信行って最終的に殺害し
[01:01:12.980] [笑い]
[01:01:20.240] やばすぎるつく配信者
[01:01:23.200] 近くに行って解除とかもあった。
[01:01:25.119] あ、そうなのかな。
[01:01:26.720] 離れるなよ。派手に散ったな。
[01:01:29.839] でけえ花火開けたんだな、最後にな。お。
[01:01:39.559] あいつな、ビッツ、ビッツだけは一ちょ前に投げてくれてたからあり。あ、何?バカ。え、やだよ。
[01:01:49.960] 何し?ビルメ。
[01:01:52.160] え、なんなのこれ?
[01:01:54.720] あ、お猫はここ覚えてる?
[01:01:57.039] ビルのふざけたトラップだよ。
[01:01:58.480] あ、気持ち、気持ち悪い。これ
[01:02:03.119] そこ冷蔵庫がお気持ち悪い。これ
[01:02:05.880] 分かった。
[01:02:09.480] ようよね。1人だと死ぬトラップ。
[01:02:12.520] あ、1
[01:02:13.000] 人だと死ぬよね。本当にこんなんね。
[01:02:14.520] ロープを切れ。それで落ちる。
[01:02:16.599] 分かった。
[01:02:18.359] 切れる。
[01:02:24.640] ええ、待て待て待て。
[01:02:28.119] あ、まずいよ。
[01:02:30.000] くそ。来やがった。え、
[01:02:33.880] どこ?何が?おい。うわ、うわ。
[01:02:34.960] 嘘、嘘、嘘。おい、おい、おい。それは無理だよ。それは無理です。それは無理だろ。
[01:02:53.480] ちょっと待て。ちょっと待ってよ。
[01:02:56.960] なんだよそれ。
[01:03:00.240] 弾ねえ。弾あんのか。弾あんのか。
[01:03:03.160] やばい。
[01:03:09.160] れはせ当たんない。ヘシ狙うのは無理だって。まっすぐ立ってだってヘできねえんだからよ。反対側向いて狙えるわけねえだろ。だ
[01:03:23.359] か待って。
[01:03:26.090] [音楽]
[01:03:30.720] え、
[01:03:32.640] バカ、バカ、バカ、バカ。
[01:03:34.279] バカ、バカ、バカ。
[01:03:36.160] 分かった。うわ、気持ち悪い。
[01:03:38.599] え、すまないじゃん。
[01:03:43.480] くそ。まただ。どこ?
[01:03:46.960] 切れろ。
[01:03:48.880] 全然切れない。いいから急げ。
[01:03:52.920] バカ、バカ、バカ、バカ、バカ。
[01:03:56.359] もう無理、無理、無理、無理だよ。ちょっと、
[01:04:00.119] ちょっと、ちょっと早く、早く、早く、早く。
[01:04:02.200] 助け。うるせえ。
[01:04:03.839] うるせえ。
[01:04:05.520] エリが来てる。
[01:04:09.559] 間違えてエリー撃っちゃ撃っちまいだぞ。
[01:04:14.279] ちょっとちょっと
[01:04:15.319] うるせえっていうな。ちょっと待、ちょっと当たんないよ。う、
[01:04:20.730] [音楽]
[01:04:26.400] 今やってんだ。
[01:04:29.480] た、危ない。なんだよ。さっきからもうなんなんだよ。忙しいんだよ。こっち
[01:04:33.670] [音楽]
[01:04:42.880] ゴミかす。
[01:04:46.920] グズぐズしないで立てる。誰だお前?
[01:04:51.760] ちょ待って。早い早い早い。
[01:04:56.400] おい、そこどこだ?戻れ。
[01:05:02.920] 弾がね、弾が
[01:05:07.440] 走れって。ここの影はどれだ?
[01:05:11.240] バカバカに来てる。ビル急げ。
[01:05:15.440] あ、終わる終わる終わる。
[01:05:18.240] 終わるぞ。開いてる。開いたら言えよ。バカ。お、なんだ、今。
[01:05:22.960] ビルドアから来たぞ。
[01:05:23.920] どこ、どこ、どこ、どこ、どこ。
[01:05:25.559] お、弾って。もう弾がねえよ。
[01:05:28.240] え、下がれ。下がってろ。
[01:05:33.319] お、よし、よし。あ、こら、こら、こら。
[01:05:38.400] あ、待って。なんか弾る弾ある。弾がもある。弾もある。弾もあります。弾もあります。弾も弾もあるよ。弾もあるよ。これ弾拾わせて。
[01:05:56.599] ああ、待って待って待って待て。ちょっとちょっと待ってな。ここの手なんよ。弾ばす。
[01:06:03.079] ここ。あ、こ、ここちょっと全部取った。
[01:06:11.559] こ、まさかまさか開いたりしねえだろ。くそ、くそ。乗り越えてくるぞ。
[01:06:17.119] おい、おい、来たぞ。こっちだ。をけろ。
[01:06:24.359] 早く行けよ。何やってんだよ。
[01:06:26.520] 急げ。エリ分かってるってば。
[01:06:29.400] 開いてるぞ。来い。忙しい。
[01:06:35.200] うるさい。大人気ね。
[01:06:36.400] [拍手]
[01:06:43.359] やばかった。
[01:06:45.799] ああ、ありがとう。助かった。
[01:06:49.680] お、
[01:06:51.760] あ、エリ。え、何?ジョエル何すんの?
[01:06:58.799] 落ち着けよ。ビル後ろ向いて膝まずけで
[01:07:02.400] は本気だ。何?落ち着け。
[01:07:05.440] 捕まれたか?
[01:07:06.240] いや、出来物は感染はしてない。万が外
[01:07:13.119] おやるね。きが
[01:07:17.119] もうやめろ。やめろって。やる。
[01:07:20.520] 勝手に家に入り込んで罠を全部台無しにして殴ってきたのそっちの方だろ。
[01:07:26.480] それなんだよ。そのガキなんでいる?
[01:07:28.799] あんたに関係ないでしょ。さっさとジョエルに仮を返してよ。まずはこの手錠を外して。
[01:07:33.920] ジョエルに仮だって何の冗談だ。
[01:07:37.039] 手短近に話せる。
[01:07:38.839] 車がいる。
[01:07:40.520] マジで冗談かよ。車が必要だと。そもそも車なんてないし。
[01:07:46.599] もしあったとしてもお前に渡すはずないだろ。え?ああ、ジョエル車か。持ってけ。ついでに食いもんも全部だ。
[01:07:50.990] [音楽]
[01:07:54.960] どうせ食いすぎでしょ、このテブ。
[01:07:56.720] うるせえ。バ野郎。黙れ豚。あんた。
[01:07:59.079] お、俺にも刺さるからやめろ。け
[01:08:02.200] いな。デブとか言うな。こいいな。
[01:08:04.920] お前にそれほどの仮を作った覚えはねえぞ。笑。
[01:08:08.000] やビ作ったろ。
[01:08:10.440] 笑笑。どうせ使える車はない。
[01:08:13.720] 町のどこかにはある。
[01:08:14.920] あるのは車の品だけだ。
[01:08:17.199] 流れ玉。流れ玉。然の味方打ち。
[01:08:22.000] 今流れ玉に当たった。
[01:08:24.120] 分かった。こうしよう。
[01:08:27.159] 魔工作法みたいに俺まで繋い。
[01:08:29.199] 必要なものがある。取ってくることができれば車を修理してやれるかもしれん。そしたら仮はチャラだ。
[01:08:39.439] [音楽]
[01:08:41.960] いいさ。デブリンのことか。
[01:08:43.640] どうせもうすぐ死ぬんだ。
[01:08:45.920] よし、ついてこい。町中に罠が仕掛けてやる。
[01:08:51.080] ヘマすんなよ。
[01:08:54.400] あんたがね。やめろ。
[01:09:00.359] よし。何か必要なものがあるんだったらこっから持ってくんだな。
[01:09:05.719] いいんだ。もすんな。
[01:09:08.600] エリ使えそうなものを探せ。
[01:09:09.759] いい生活してるわ。
[01:09:11.640] はい。はい。は、1回。あ、これ欲しい。
[01:09:16.920] こさすがにこれどっちがいい?こっちもいいだろ。
[01:09:18.470] [音楽]
[01:09:21.719] デブを信用しない子供とか将来が不安だな。すごいリアルな中に
[01:09:27.759] 父親面やめてね。
[01:09:29.490] [笑い]
[01:09:32.839] 父親そ親みてなもんだろうがよ。違うんか
[01:09:37.319] ?これ以上持てねえだと。弾がもったい
[01:09:40.080] ねえ
[01:09:47.159] 。リロードしたら持てないのかな?他人の
[01:09:50.880] 父をやめんほどしんどいものはないよ
[01:10:01.360] 。
[01:10:02.400] リロードしても玉数が減らないタイプのリロードだね、これね。ほら。あ、これも持てないの?
[01:10:17.239] 全段数が出てんのか。もっとまともな銃ないの?
[01:10:21.080] これか。いや、両銃ある。これめちゃめちゃ強いよ。両銃あるけどでもこっちのは強いだろう。開くのかな、これ。
[01:10:35.600] ちょ、いて。こんなもんですか?
[01:10:44.640] ナイスクリップです。暴人1男性。
[01:10:47.480] ありがとう。ナイフが強化された。ナイフの使用回数が
[01:10:48.480] 1
[01:10:48.560] 回増えた。え、何それ?何?ナイフの研方が知らされたサバイバルガイド。ふん。
[01:10:58.719] ナイフが2
[01:10:59.280] 回使えるようになってたってこと。めっちゃ強くね?
[01:11:03.640] 地味。もういいのか?ああ。
[01:11:06.239] え、ナイフ作る?ナイフ作ろう。
[01:11:12.280] 純粋2倍。
[01:11:13.840] え、やばすぎでしょ、それ。あ、本当だ。ナイフになんかメモリついてる。
[01:11:20.760] ドア閉めてくれ。分かった。別の建物に移る。上だ。急ごう。
[01:11:27.880] 俺から離れるな。
[01:11:29.600] こんなことになるなんてな。あそこでほっときゃよかった。冗談じゃなかったんだ。
[01:11:38.239] ああ、個性的だろ。
[01:11:41.120] 何に巻き込まれたんだ?テスはどうした?
[01:11:44.360] 死んだ。仕事だよ。単なる運びや。
[01:11:47.600] 荷物は何だよ。
[01:11:49.800] まさかこいつ
[01:11:52.239] 死めば口が悪いぞ。
[01:11:57.440] お前気は確かかよ。
[01:12:00.639] ちゃん本当どんな役でもテスビブレ
[01:12:04.600] 別の隠れがだ。武器がたくさんある。
[01:12:07.840] え、みんなで修理しないの?
[01:12:10.159] みんなお前に直せるの?
[01:12:12.400] ル
[01:12:14.159] お前も子供にけないぞ。町の反対側にあるんだ。感染者がたくさんいて普段は近づけない。だから銃がいる。
[01:12:26.560] ちょっと待て。ちょっとちょっと探索させてくれよ。絶対あんねんから。こういうとこにれるなんて音げな
[01:12:33.080] なあ。ビルな。
[01:12:47.719] ある。ほらほらほら。銃強化してえなあ。
[01:12:58.040] ま、待て、まあ、待て、まあ、待て
[01:13:02.400] 。何もなし
[01:13:07.520] 。ああ、別バットはいらねえな。
[01:13:29.679] よし、中にいるぞ。
[01:13:32.719] まあ、始末し忘れてただけしろ。
[01:13:36.520] でも鉄のこと答えなかったよな。
[01:13:39.880] いつも一緒だと思ってた。
[01:13:42.840] 忙しいんだ。そうか。忙しいか。
[01:13:49.199] 俺にまるね。
[01:13:52.920] 天国みたいなもんだな。ああ、そうだよ。
[01:14:00.960] よし、行こう。
[01:14:02.440] ちょっと血が、血がすごい。
[01:14:08.560] 首スパーにならんのね、
[01:14:11.040] これ海外版だとなるみたい。
[01:14:12.120] 日本のはなんか
[01:14:13.679] ねえ、この辺の車は直せないの?
[01:14:16.440] 死体欠損みたいのがあれで
[01:14:19.120] なんでこの辺の車を直すって思いつかなかったんだろう?
[01:14:23.199] 分かったからもうやめて。
[01:14:25.360] タイヤ腐ってるしバッテリーは死んでる。
[01:14:28.199] もう終わった。
[01:14:29.320] エンジンの中も見ておけば良かったかな?今バッテリーを作れるのは軍だけだ。ち
[01:14:35.560] ろだ。なんでよ。
[01:14:37.880] あ、くそ。弾を込めろ。な
[01:14:40.400] んでよ。あ、戦うの?
[01:14:43.540] [拍手]
[01:15:02.639] 頑張れ、頑張れ。俺の分も頑張れ。ああ、ごめん。若い女の子ごめんな。ああ。ええ。ええ。
[01:15:03.639] 1人。1人楽流れたよ。
[01:15:07.400] なんで?笑笑瞬殺
[01:15:13.600] もうホラーじゃん。
[01:15:17.120] めっちゃあっさり死ぬ。1
[01:15:21.480] 匹だけ残ってた。クリッカーが。クリッカーが
[01:15:22.480] 1匹いた。
[01:15:28.400] [音楽]
[01:15:29.600] こんなもん。
[01:15:38.000] あくあ
[01:15:41.960] やばい。投げた。
[01:15:44.840] 危ない。急げ。おり。
[01:15:53.880] これはまずい。これはまずい。これだからさ。当たんないよ。
[01:15:58.980] [音楽]
[01:16:03.000] こんな笑笑。
[01:16:20.030] [拍手]
[01:16:26.760] 来たら
[01:16:36.800] 笑笑
[01:16:38.719] よし。おお。
[01:16:41.400] バリケードをよくチェックしろ。
[01:16:42.760] 手を抜くから回ってくるんだ。
[01:16:45.960] 分かってんのか?倉庫から物資を全部持って東のフェンスに行くには
[01:16:51.000] ざっと見つもっても
[01:16:52.520] ベルジョエルこっちだ。
[01:16:56.239] あれ?なんかここなんかねえの?
[01:17:02.080] さあ行け。
[01:17:02.920] レガしかねえ。おい、なんだよ。くそ。
[01:17:11.080] まあまあまあまあまあまあまあ今のでいいんだろ。
[01:17:18.360] よくこんなところに住もうと思ったな。
[01:17:20.600] 感染者
[01:17:21.159] 進んであばこんばんは。進んでるよ。
[01:17:23.880] ダメージ食らってる。俺
[01:17:25.159] 普通の人間の方が怖いね。それを理解すべき
[01:17:29.560] ダメージ食らってるかどうかわかんねえな。な
[01:17:32.159] んでもない。
[01:17:39.800] 1
[01:17:39.960] 個使っちゃおうか。も何も即死だものな。
[01:17:42.960] あ、そうだ。そうだよな。うわ、弾ない。弾がない。こう布がさ、余ってっから作り。ああ、こういうのも使ってもなんかもうガンガン火炎瓶使っていいかもな。布が結構余っちゃうんだよね。
[01:18:07.280] 感染者は来ないだろうな。
[01:18:08.960] 鍵を持ってないからな。
[01:18:15.080] どっちだ?
[01:18:15.719] 投げて燃やすと近くにも移ってくれる。
[01:18:19.800] そう。なんかまとめて倒せるって言ってたよね。
[01:18:21.199] うまく使えば何これ?どこ行くの?これあっち
[01:18:33.930] [音楽]
[01:18:40.639] 配信の感染者なら来てほしい。
[01:18:44.320] よし、こっちだ。確かに。
[01:18:49.159] よし、ここだ。
[01:18:51.040] お前は何も触るな。ドア閉めてくれ。
[01:18:54.960] お前それしか言ってねえな。ドア閉めてくれ。
[01:19:01.960] 始めよ。だめだ。
[01:19:05.320] え、銃がいる。
[01:19:07.760] お前はいい。
[01:19:08.719] ジョエル。自分の身は自分で守れる。
[01:19:12.480] だめだ。とにかくここにいろ。
[01:19:18.320] 分かった。黙って殺されろってことよね。
[01:19:21.800] 人生最悪の仕事を引き受けちまったってか。
[01:19:26.239] そうかもな。
[01:19:28.800] 自殺行為だ。テスがよくOKしたな。
[01:19:31.280] テスが言い出した。本当か?
[01:19:34.199] もうかい女だと思ってたぜ。
[01:19:37.000] ま、いいか。あのガ拾った場所に捨てしまうんだな。
[01:19:42.719] そんなに簡単じゃない。
[01:19:44.440] じゃあほっとけ。1
[01:19:46.440] 人で生きてくさ。1つ教えてやる。
[01:19:48.400] ショットガンが1番ですからね。
[01:19:50.760] 昔はそうですよね。
[01:19:52.679] も大切な人がいた。1番強い。
[01:19:56.159] ま、パートナーだ。面倒見てたやつさ。
[01:20:00.040] やっ
[01:20:09.719] だが。今じゃそんなものを持ってるやつから死んでいく。じゃあどうするか。頭を使ったね。
[01:20:10.719] 1人の方がいいと気づいた。
[01:20:13.080] ビル、そういうことじゃないんだ。
[01:20:15.080] いや、そういうことだよ。
[01:20:18.480] おい、
[01:20:19.600] 入り口でお前になんて言った?なんて言った?
[01:20:22.400] ちょっとこれを片付けただけだってわ。
[01:20:24.800] 何も触るな。
[01:20:29.159] クソガキが。あんなガキの相手してるとお前もつか偉い目に。
[01:20:34.600] 笑笑。いいからとっとと終わらせよう。
[01:20:40.040] ほらっとと終わらせようぜ。
[01:20:50.639] だけども必要だぞ。わあ。
[01:20:55.800] へ進む前に見せたいものがある。
[01:20:57.960] これだいぶ強いぜ。
[01:21:00.440] 新しいおもちゃだ。
[01:21:01.600] ま、ちょっと待って。その前に待って待って待。なんかあるだろ。ねえのかな?
[01:21:05.000] 射程ヒット買ったな。
[01:21:07.679] これは勝ちだね。これはね。
[01:21:18.520] これは手正の爆弾だ。
[01:21:21.679] どれ?
[01:21:23.920] 近くで爆発したらバラバラに吹っ飛ばされるぞ。
[01:21:26.560] あ、それ。ああ、もう見せてよ。
[01:21:29.159] あ、壁に使えるだろう。
[01:21:38.840] 置いてったやつか。あ、これが爆発資産すんだ。これが敵が近づ爆発。
[01:21:48.360] あ、地雷式なんだ。投げることもできるし、足元に設置することもできる。爆発しなかった爆弾はも拾ってもう
[01:21:49.360] 1度
[01:21:54.600] 使うことができ。これめちゃめちゃ痛いだろうね。
[01:21:55.600] R2
[01:21:56.880] で置くことができんのね。L2
[01:21:58.199] で構えて投げることもできる。オッケー。
[01:22:01.400] ショットガンと爆弾はあるが、これでどうするんだ?
[01:22:04.480] 何週間かに一度軍のトラックが街を通る。
[01:22:05.790] [音楽]
[01:22:07.480] へえ。
[01:22:08.120] 物資を調達するためなんだろうが驚くほど見落としが多いんだ。とにかく数ヶ月前トラックが大量の感染者に襲われた。トラックは囲まれ高校の校舎に突っ込んだ。
[01:22:22.440] まだバッテリーもあるはずだ。バッ
[01:22:24.600] テリーだけ別の車に入れるんだな。
[01:22:26.840] そうだ。あの辺は感染者が多いから行くのは危険すぎる。でも行くぜ。車がいるんだろ。
[01:22:34.800] 壊れてたら。
[01:22:36.639] いや、戦車みたいなトラックだ。
[01:22:39.320] あ、爆弾も作れるんだ。ああ、火薬となるほどね。今回はもう火薬と爆弾は火薬と刃物なんだ。あ、でもだったら作っちゃっていいやな。いいぞ。
[01:22:59.400] だいぶ戦略が広がりそう。
[01:23:01.600] そうなんだ。
[01:23:01.920] 案外回復キットの素材あまりガチだね。
[01:23:19.000] そうなのよね。あ、来たよ。はい、ショットガン強化します。え、とりあえずショットガンを強化したい。もうショットガンしか使わないんだから。これからちなみに今この必要なギアは
[01:23:20.000] 120あります。120
[01:23:21.880] あの工具持ってないよ、俺。工具工具なんかどこにもなくなかあった。
[01:23:27.400] 工具工具とは
[01:23:29.600] なんか工具が必要みたいんだ。
[01:23:31.199] 工具がないね。
[01:23:38.280] あ、これですか?もしかして。あ、これです。あります。工具レベル
[01:23:39.840] 1。
[01:23:40.840] おいおいおいおいおいおい。あ、オーバブルーじゃねえか。おい。
[01:23:45.040] さすが大バブル。オーバブルーだわ。
[01:23:51.520] レベルだ。
[01:23:53.800] あ、なるほど。これワークベンチレベル1
[01:23:54.960] みたいな感じか。
[01:23:55.880] これでワークベンチレベル1
[01:23:57.040] だみたいな感じね。多分これでね、
[01:23:58.760] 全部ある。作業できるな。
[01:24:01.480] ブルメータルサラム来たわ。これそういうものが大量にあるという。
[01:24:14.600] まあまあまあまあまあそうこやねえ。しょ、ショットガンシャッガン行っていい?シャッガン強化していい?ちみ
[01:24:15.600] 139ある。
[01:24:16.520] つまり強化が必要な難易度になるってことやな。
[01:24:18.370] [音楽]
[01:24:19.960] ガ、作れ、作れ、作れ。はい。シャッカンシャッカンシャッカン。
[01:24:26.960] もガンガンシャンガン。これはでワークベンチレベル
[01:24:27.960] 2
[01:24:28.120] が必要になるのがこれでね、今赤くなってるからね。ガンガンじゃあだったらだって金なんか腐るほどなんだから。
[01:24:34.040] ャガン強化熱すぎ。
[01:24:45.239] ま、ピストルもな行っとくわ。大丈夫もうだ、まだまだあるもん。もやれるだけやるよ。ああ、あとあと
[01:24:46.239] 40
[01:24:47.600] ぐらいあるねんけど。違う。30
[01:24:48.800] は普段するもんな。
[01:24:50.440] そう、両銃は正直ね。
[01:24:55.719] リボルバー
[01:24:56.719] 構える速度構える速度構える速度いや、弓もあるよ。
[01:25:01.440] 結構使ってるね。結構使っちゃった。ま、いい。ま、いいだろ、別に。射程距離欲しいです。よしよし。ああ。よし。
[01:25:15.920] いい感じだ。
[01:25:21.199] いい感じだよ。待て。危な。
[01:25:22.280] あ、これで投げることもできるし置くこともできる。あ、なるほどな。で、これで敵が来たら、あ、え、え、え、え、何?大丈夫?あれ?あれ?あれ?あれ?大丈夫?
[01:25:34.360] 怖い、怖い。
[01:25:35.199] おお。え、拾えるんですよね。ひ、拾えるんですよね。
[01:25:42.920] 拾んの?
[01:25:43.760] いや、違う。拾えるんですよね、これね。
[01:25:45.880] こっぱ。
[01:25:46.840] あ、よしよしよしよしよしよしよしよしよしよし。拾える拾える。大丈夫?拾えるよ。
[01:25:55.280] よしよしよし。あとなんかねえか。使えるもんねえか。で拾えんのもフェな。
[01:26:04.159] オ、おい、ガキ、勝手に触ったら
[01:26:15.719] あのじ本当に偉そう。
[01:26:17.880] ジョエル、しっかりおりしろよ。分かってるよ。
[01:26:24.080] 待った
[01:26:26.000] 。ほら、なんかあるぞ。おい
[01:26:30.520] 、見逃すわけあるか、俺が。これ何これ?
[01:26:34.760] あー、打撃。あ、いや、これは、これは
[01:26:38.480] 強化しとく
[01:26:40.280] 。いや、待って。これ、これ作。打撃武器
[01:26:45.040] 作るか、これ
[01:26:46.550] [音楽]
[01:26:48.119] 。うん。
[01:26:52.800] あ、でもあれ回復しないんだ。メモリは回復しないんだね。まあいっか。
[01:27:03.800] 武器もたくさん持てるようになったりするの。
[01:27:06.560] なんかね、あのホルスターを使えばすぐなんか切り替えれるようになるとか言ったけど、ホルスターの作り方が分かりません。ちょっと待てよ。おい、まだこの上なんか隠し持ってんだろ。ま、何もねえや。
[01:27:25.840] わ、
[01:27:27.400] いいところだな。残したいことがあったらここを使っていいぞ。
[01:27:33.400] じゃあ今はスプラッターハウス式しかない。
[01:27:34.560] [音楽]
[01:27:35.880] そうそうそうそうそうそう。持ち替え戦法。
[01:27:38.480] よしや。
[01:27:40.119] ま、待って待って待って待って待て。
[01:27:41.480] 分かった。何も触らないよ。
[01:27:44.360] え、何も触らないわけないだろ。なんかほらほらほらほらほらほら。
[01:27:48.560] これはだきます。エリ、ほら、
[01:28:02.360] 見ろ。学校だ。さて、いいか?よし、行ってみよう。
[01:28:15.960] お勉強しましょね。
[01:28:19.600] やだ。おい、そんなもの見なくていい。
[01:28:22.000] うわ、うわ、うわ。何これ?
[01:28:23.760] 人だ。はい。
[01:28:28.840] 行く。
[01:28:31.000] この門から向こうは未知の世界だ。
[01:28:35.280] 分かった。
[01:28:37.719] とりあえずあの聞こえた?何が静かに。
[01:28:41.000] 何が?とりあえず弓にしとくわ。
[01:28:47.239] わおいるやん。だ、弓回収できるからね。あ、おお。
[01:28:56.920] そろり。
[01:29:02.880] いや、さすがに動いてるの当てんのはしんどいぞ。
[01:29:06.119] パいいね。
[01:29:07.800] しかも音もしないからね。
[01:29:11.760] ついにステルスのか。
[01:29:15.000] 最初からステルスしてるわ。
[01:29:19.119] え、エムつ
[01:29:24.639] 動き止まってくんかな?いや、待って。止まれ、止まれ、止まれ。
[01:29:31.420] [拍手]
[01:29:38.119] あ、ああね。
[01:29:42.320] うい。お疲れ。
[01:29:48.440] あ、ごめん。
[01:29:50.760] くそ。ダめだ。当たんねえ。むずすぎ。あ、お前が頑張れ。
[01:30:00.960] お前、お前が、お前が頑張。なんでこっちもバカ。
[01:30:02.040] お前何やってんだ?何やってんだ?
[01:30:07.639] 笑笑。笑笑ビルさ、
