[00:00:05.319] おはちゃま防人1チルド
[00:44:16.520] からめちゃめちゃ下手くそだもうなんかこ
[00:44:19.640] ラスアスキプレイの人たちがイライラし
[00:44:22.079] ちゃって大変だったよこういうのでいいん
[00:44:25.079] だよれるまでがのよねそうそうそう普段
[00:44:28.440] やらねえかな俺らこういうゲームねレトロ
[00:44:30.760] ゲーマーこういうゲームやんねえかんな
[00:44:33.040] ただやりたい欲はある
[00:44:35.079] ねんストーリーが面白いから
[00:44:40.200] ね死体がないっていいことだよねわするよ
[00:44:44.800] ねわす分かればあ弾あんじゃん
[00:44:51.040] オやこれ映画みたいなストーリーなのが
[00:44:54.599] いいよねやっぱね
[00:44:57.359] これがなんかさネットゲームだったらやら
[00:44:59.280] ないけどさこ1人で完結するゲームって
[00:45:01.559] いいよね
[00:45:02.400] やっぱりゲームはね基本ね1人で完結し
[00:45:05.680] たい派なんだよねちゃまさんドラマ見たあ
[00:45:08.359] 見てないあれなんだけNetflixだっ
[00:45:10.240] けあるよねま見てない何も前情報もなく
[00:45:15.280] やりたいなと思っ
[00:45:20.720] て逆にレトロゲーの操作がなれねえやあ
[00:45:24.400] やった悪魔やったでしょどう
[00:45:28.040] どうだった洗礼受けたドラキュラやった
[00:45:30.559] らしい
[00:45:32.800] じゃんどうだった大パン出たま出るわな
[00:45:38.839] ドラキュラは出るよね
[00:45:46.200] 笑笑大丈夫俺も初見ドラキュラの時
[00:45:49.599] はワン1日4時間配信するんだけど平日は
[00:45:54.359] ワワンワンパート
[00:45:57.119] ワンステージ1パートかけてたから大丈夫
[00:46:00.119] だ4時間で1ステージずつこけてたら難し
[00:46:04.000] すぎ
[00:46:06.240] てあいい
[00:46:10.960] ね
[00:46:12.800] このジョエルのさジョエルの物の取り方
[00:46:17.079] 好きこうやって両手
[00:46:21.079] であてかそろそろ自分のことも強化でき
[00:46:24.000] そうだねでも昨日ステージ4まで行ったよ
[00:46:26.319] あすげえな人1ぷんチ
[00:46:28.480] ニメそうそうそうプンチニメいいよねこの
[00:46:32.880] 取り方ねこうやって一心フラ
[00:46:50.800] んこんなもんか
[00:46:55.359] なああ奥続いてんなこれでもこれがあ
[00:46:59.559] るってことはなんかさあれじゃないの
[00:47:01.520] なんか発電機があんじゃないのこのこの
[00:47:03.800] 黄色い線と赤い線って違うかなま行って
[00:47:06.280] みるかおおおおおなんだ何あーきっと
[00:47:12.040] クリッカーがやったんかないやクリッカー
[00:47:15.079] なら隠れないなんかいるん
[00:47:18.760] かなんかいるん
[00:47:24.640] かえなんかかなんかいるのか
[00:47:29.680] なシャガ構え
[00:47:34.440] とくシガ使いすぎて弾がないんだよ
[00:47:38.960] ねただ電気通ってるってことは人いる
[00:47:53.520] な弓矢の次はシャガか
[00:47:58.400] いや弓矢が1番よ
[00:48:00.839] やっぱしよ確かにちょっと待って今130
[00:48:04.680] あ体力最大値上げるそれと
[00:48:08.440] も今ねバイト130使えるここ体力最大値
[00:48:14.079] ごめ俺に隠れて見えないから言うけど
[00:48:16.160] 100使うこれ
[00:48:17.760] 100力最大値あげようかなどうしようか
[00:48:20.520] ないや
[00:48:22.400] ごめんごめんごめん俺この辺この辺あげ
[00:48:26.160] たい
[00:48:28.240] 強化されたナイフはクリッカーへの反撃に
[00:48:30.200] 使ってもすぐに壊れなく
[00:48:33.040] なるこれいいナイフ壊れないのいいよな
[00:48:37.119] ナイフ壊れないので
[00:48:39.359] やごめんこれつ
[00:48:42.040] だこれ
[00:48:44.960] でく
[00:48:46.800] [音楽]
[00:48:47.920] ブレナないやもう標準準にした俺はもう
[00:48:52.119] これからはアーチャーとして聞くから俺は
[00:48:54.960] アーチャーうあだ猿かよなんだよなんだよ
[00:49:00.440] びっっくりし
[00:49:01.720] たクリッカーじゃなかった猿かよびっくり
[00:49:04.839] したなえてこうがよでもないえてこうがよ
[00:49:09.640] 研究してるうちに猿になっちゃったのかな
[00:49:11.880] そうかもしんねえ
[00:49:13.640] な探せば何かあるかも
[00:49:21.040] な
[00:49:23.040] あファイヤフライのタグ結構あるねサイド
[00:49:28.000] サせ
[00:49:35.359] や
[00:49:37.359] なんて
[00:49:40.000] なんて全ての実験用は男の人は猿るって
[00:49:44.079] いうもんね嫁どういう
[00:49:47.000] ことさて問題は猿たちをどうするかだ感染
[00:49:52.640] した猿は処分しろと言われた全く知った
[00:49:56.040] ことだえ犠牲になったのはこの子ただ無事
[00:50:00.839] に逃げるのにする
[00:50:03.960] やらカルやば
[00:50:08.160] ない
[00:50:09.920] たどっこ次の敵は猿だやば感染した猿って
[00:50:17.200] 言ってたな今な早いし小さいし感染した猿
[00:50:21.480] ルって言ってたねえーちょっとそれはやめ
[00:50:24.559] て
[00:50:25.640] よたあの音声と字幕の速度が全然合って
[00:50:29.240] なくてわけわかんなかった
[00:50:31.160] けど改善の余地あり
[00:50:33.960] ですそ笑温泉と字幕が全然合ってなかった
[00:50:37.920] 今クリッカー来ちゃうかえー終わりだよ
[00:50:40.799] そんな
[00:50:42.839] の音声と字幕全然合ってなかったな
[00:50:46.520] 今ぐちゃぐちゃだっ
[00:50:50.160] たいや感染した猿はちょっと勘弁して
[00:50:53.480] ほしいねサルゲッチュしよやになっちまう
[00:50:58.839] なサルサルサルサル
[00:51:02.760] サルサルゲッチもやりて配信
[00:51:05.680] で足の早い猿が出てくるってことえや
[00:51:10.680] だピポ猿ピポサルが出てくんのかなササル
[00:51:14.880] サルゲピポサルが出てくるか
[00:51:18.040] もサルサルササルササルバトレよく知って
[00:51:24.119] んじゃん
[00:51:26.799] たらなさそうなあシャガでぶっ放すしか
[00:51:30.319] ねえ
[00:51:36.480] なやあムービー来たもう出てくる猿来るぞ
[00:51:41.599] 猿ああ動きますイ
[00:51:50.319] 反対猿ファイアフライを探してるならもう
[00:51:54.359] いない知ってるよ死んだか死にかけてる
[00:51:59.319] だろう今のうちにメッセージを
[00:52:01.940] [音楽]
[00:52:03.079] 残す何か手立てがあるとしやってきたこと
[00:52:07.599] は全部時間の
[00:52:09.720] 無駄これ以上続けられ
[00:52:13.160] ないとりあえず
[00:52:15.400] 全そうそうそうとりあえず全部けば飛ばさ
[00:52:19.280] ないでまだそこで世界を救おうとしてる
[00:52:23.040] だろうま頑張ってくれ
[00:52:26.799] どこだかわかる街の位置は知ってる病院ね
[00:52:30.359] 遠いの近くはない馬だとな飛ばしたとこに
[00:52:34.599] 情報あるから本当だよな本当だよな
[00:52:37.440] とりあえずけば
[00:52:41.520] 危な
[00:52:43.520] えまただよ誰本当だよそんなことより
[00:52:49.000] とにかくこっから
[00:52:50.359] 逃げ出そう軍隊みたいな結構割としっかり
[00:52:54.960] した装備してたな
[00:52:59.400] おまたドンパすんのか
[00:53:02.559] よど
[00:53:07.640] にくなんでなんでだよふざけんなく
[00:53:29.480] いる
[00:53:32.559] ねいつの間に来やがったこんなとこ聞き耳
[00:53:35.960] し
[00:53:37.760] てこ待ってめっちゃいるめっちゃいる
[00:53:40.359] めっちゃ
[00:53:48.000] いる
[00:53:50.079] くそめっちゃ
[00:53:53.520] いちゃえので
[00:53:57.079] はこれアーチかいや待
[00:54:05.960] てバカがバカかなんでつまないのなんで
[00:54:11.960] つめねんだ意味わかんねなんでつめねんだ
[00:54:14.040] よひどいよひどくねえ
[00:54:17.920] だろもう
[00:54:22.480] な
[00:54:24.680] 幕がよあ円幕だまだひどい言うんか笑
[00:54:31.040] ひどくないだろどう考えて
[00:54:34.200] もしかもなんでさっき掴めなかったの
[00:54:36.960] あんな絶好のチャンスなのに今の距離で
[00:54:39.839] いくんだよ
[00:54:41.640] 笑円幕投げて
[00:54:45.799] みるいまいち使い道が分かってない円
[00:54:51.240] 幕あ全員やった
[00:54:54.559] かお全員やっ
[00:55:01.680] たいや待て全員やったことかわからんから
[00:55:05.440] まずはレガもありますやったかて希望
[00:55:09.720] フラグのやつじゃん誰も反応しないって
[00:55:12.680] ことやった
[00:55:13.520] [音楽]
[00:55:17.160] か何よあいつらあ反応しないのいや
[00:55:23.520] いるいやいなかったいたいたいた
[00:55:27.160] 痛痛痛痛
[00:55:33.280] 痛あいやがる
[00:55:36.599] ないるいるいるいるいる小声になっちゃう
[00:55:39.640] よね笑むっちゃ
[00:55:48.280] おるつめ
[00:55:53.400] つめあくそえれ痛い痛い痛い痛痛痛痛い痛
[00:55:58.319] 痛痛い痛痛痛痛いひどい
[00:56:02.880] よひどいよっってのは俺のプレイングが
[00:56:06.319] ひどい
[00:56:07.599] よいやめっちゃいるめっちゃいる待って待
[00:56:10.720] かと思っちゃうあ
[00:56:18.240] そっち確かに
[00:56:22.160] ひどいええええいたう
[00:56:30.079] まて引くぞ1回引こうまてまて1回
[00:56:38.520] 引こう手だればかりだ確かこの辺にあた
[00:56:42.079] たたた何何はと思あれ何はと思あれ近接
[00:56:47.400] 武器めきめきオ
[00:56:59.359] オいぺあるからよいっぺいあるからも
[00:57:02.280] ガンガン使ってこう
[00:57:21.960] ぜいる
[00:57:27.319] もういないかまだでもあれ全員倒し
[00:57:32.319] たいやいる
[00:57:46.359] だろうあいない
[00:57:53.960] ね円が多くね
[00:57:57.000] レがめちゃめちゃ落ち
[00:57:59.640] てるいない
[00:58:14.319] ねあいないかな
[00:58:21.720] もういなくない
[00:58:29.200] いや見つかんないただ音楽が止まってない
[00:58:33.640] んだよおらんでお疲れ音楽が止まってない
[00:58:36.640] んだよねくが好きだもんね
[00:58:40.680] 笑そんあ
[00:58:43.400] め待って待って待ってどっから来んだお前
[00:58:45.720] 待って待って待っ
[00:58:48.480] てあえなんでちょっと
[00:59:02.880] めためらうな撃てためらうなこいつらを
[00:59:08.440] 人間だと思わなくていい
[00:59:15.200] 撃てエリーヘ
[00:59:19.760] だためらう
[00:59:24.920] なで
[00:59:26.880] ガガがよエアガンでネズミを打ったのを
[00:59:30.839] 思い出せそれと一緒
[00:59:39.400] だ結構いたんだよなそたことない
[00:59:43.160] けどえ人だと思う
[00:59:47.960] なえ
[00:59:53.000] いる待ってなんでえこれ聞耳の範狭く
[01:00:03.400] ね姿見えないじゃんだって
[01:00:23.920] ほらああおおおおお
[01:00:30.599] お痛い下手下手
[01:00:36.440] 下手なんで生きてんだよやや何これ何この
[01:00:40.640] 斧え待てなんかこおかしいやこれおかしい
[01:00:43.200] やろなんやこれ
[01:00:46.000] ええ何これ止まってんじゃんここでなんだ
[01:00:50.280] これこのく
[01:00:54.280] えポス
[01:00:57.119] 空間で止まってた
[01:01:04.079] 今びっくりしたふざけんなよマジびっくり
[01:01:08.520] し
[01:01:10.000] た
[01:01:20.039] えええゲーム
[01:01:24.160] オーバえ待ってゲームオーバーでも
[01:01:28.400] あいや痛い痛い痛いこれ無理やろ
[01:01:33.799] もうどうしたら
[01:01:36.400] いい
[01:01:44.280] 何いやまずいっ
[01:01:50.240] ていて
[01:01:52.000] くれ分かっ
[01:01:54.119] たやれ
[01:02:07.680] 123えこれ血
[01:02:12.440] 戦闘止血しないと誰もいないよ
[01:02:18.520] 行こうがあこれやばいな
[01:02:27.920] ここ超えられる波になる
[01:02:32.279] ぜいやいやいやいや無理だ
[01:02:36.599] よほら動い
[01:02:40.359] て見えてる
[01:02:46.120] [音楽]
[01:02:48.279] ぞそこにい
[01:02:50.520] て私が回り込むあもう声が遠い
[01:02:57.680] 俺の仲間を殺しやがって出てこいじゃ
[01:03:01.960] なきゃ力づく
[01:03:06.400] だ
[01:03:13.920] このいやもう無理だよこれ
[01:03:18.960] あ早く脱出し
[01:03:23.440] なきゃ大丈夫だああでもなんかバグバグっ
[01:03:26.799] て何もないとこに血がついてるバグって何
[01:03:29.240] もないとこに血がついてるなんか血の
[01:03:31.599] テクスチャーがバグっ
[01:03:34.359] てる
[01:03:38.960] 早く誰もいないよ
[01:03:44.559] 急なんか物資ねえ
[01:03:48.799] かないよねさすがに気水のスカベンジャー
[01:03:52.599] だ
[01:03:54.240] からまじか笑粋のスカベンジャーだからさ
[01:03:59.250] [音楽]
[01:04:00.640] だえ待ってこれジョエル死ぬ
[01:04:03.920] の1人で
[01:04:06.200] 歩けるじゃあ歩い
[01:04:09.920] ていや血せなま無理や
[01:04:14.880] て
[01:04:17.240] ほらあほら血がめっちゃ
[01:04:21.799] だもうちょっとだ
[01:04:24.720] よら行ったところで
[01:04:27.920] だろねどこかで
[01:04:30.559] 治療後ろだ
[01:04:34.160] 何だよ
[01:04:36.960] ああこっちに来ない
[01:04:40.920] であもう
[01:04:44.160] もう
[01:04:45.920] あ
[01:04:51.000] まジエルリよほらさて
[01:04:56.160] 強いになって腕を貸してロたまたま
[01:05:02.640] カ空気読めよなそんな名前でフォローすん
[01:05:07.319] なじゃねざん
[01:05:11.839] もう
[01:05:14.200] だろ絶対たまたま顔が出る幕じゃねえよ今
[01:05:18.039] あでもフォロー
[01:05:21.520] ありがとうえこれ死ぬのジエル
[01:05:27.400] 来
[01:05:29.359] ていや無理だぜその調子これ
[01:05:34.400] はああです
[01:05:43.680] か早く馬を行くよだこれ馬塗ったって無理
[01:05:48.880] やろ病院なんかないや
[01:05:52.200] んどうすんの乗れるエリー上手
[01:05:58.680] すぎる馬乗れるのか
[01:06:01.359] そもそも乗ってもさけえ乗ってもきついぜ
[01:06:08.599] えこれ無理
[01:06:11.640] やろ結構平気そうだ
[01:06:14.400] し結構平気そうもう大丈夫
[01:06:18.079] そう
[01:06:19.640] ジョエルだよねだよねまずいジョエルほら
[01:06:24.980] [音楽]
[01:06:26.240] 無理ねえ起きてよえこんな死に方やだぜい
[01:06:31.480] のお願い起きて
[01:06:34.920] よ
[01:06:37.359] 高き
[01:06:39.279] ええ待っ
[01:06:43.559] て
[01:06:46.200] 冬どうなっ
[01:06:52.079] たどうなったの
[01:06:55.960] どうなったんだ
[01:06:57.319] よえびっくりした雪山きちゃあ雪山雪山だ
[01:07:03.039] すごくリアルなウサギ
[01:07:06.000] ばびっくりするここでくきちゃった
[01:07:10.680] 私サブスクしてください
[01:07:15.160] ね笑笑うわこれじゃ足りないな待って
[01:07:19.720] よねえその上着ジョエルのじゃない
[01:07:24.520] のさはひうやね待ってこれジョエル死んだ
[01:07:29.119] んかここで待ってタビえジョエルしマジか
[01:07:34.920] よジョエルの上着だろそれジョエルビブレ
[01:07:40.000] えジョエル嘘だろだってもうジョエルの
[01:07:43.039] 装備受け継いでる
[01:07:45.680] もうしっかりアーチャーのしっかり
[01:07:48.839] アーチャーのちいでるもうなるよな描写
[01:07:53.839] はいいたやだやだやだジョエル死
[01:08:03.480] だえここからエリを増させてくことになん
[01:08:08.839] の嘘でしょあんなあんな感じで死ぬの人
[01:08:12.839] って人って死ぬんだな思ったより簡単
[01:08:16.359] にえる電車なのに涙ぐん減ったえあんな
[01:08:20.600] 簡単に死ぬのあんな主人公があいた
[01:08:26.920] 俺はジョエルから受けついてるんだ俺は
[01:08:29.920] ジョエルから受けついてるんだよ1人じゃ
[01:08:32.880] 心細い
[01:08:35.400] よ
[01:08:37.880] ナイスそか1発
[01:08:42.640] かアマゾネス
[01:08:45.640] のジョエルから受け継いてるからそこ
[01:08:50.880] はも簡単だったろ
[01:09:00.359] だまだ
[01:09:03.199] どか
[01:09:07.239] しゃがめちゃまゲーは簡単に死なないでね
[01:09:12.279] エリーエリーだけは攻めている
[01:09:25.600] 7の概念覆えしてるのは交換
[01:09:32.520] 持てる
[01:09:34.759] あチゲが死んだら多うからね重い重い重い
[01:09:39.199] 重い重い重い重い重い重い重いやめて追う
[01:09:43.199] な
[01:09:47.080] 笑笑重いわ一緒にカオに入れて
[01:09:50.560] [笑い]
[01:09:53.279] もらおう笑笑あ
[01:09:56.199] ほら血が出てるぞ
[01:09:57.760] あいつあん時のジョエルみてにあのでまだ
[01:10:01.600] きてる
[01:10:02.560] なんてんみたいな笑笑あん時のジョエル
[01:10:07.719] みたにはならん
[01:10:14.719] だろあの時のジョエルみてに
[01:10:25.800] 何なの
[01:10:27.080] ここお前がいない世界で生きさせるな
[01:10:30.490] [笑い]
[01:10:34.040] よペペロお疲れジョエル死んだわ全然怖く
[01:10:39.040] なんかないわりジョエル死ん
[01:10:43.880] だ俺とちゃまが一緒の桶に入ったら運ぶの
[01:10:47.920] に重が
[01:10:50.480] いる4クリフトで4クリフトで運ん4
[01:10:54.239] クリフトで
[01:10:56.120] あの棺桶の下にフォークの爪入るところ
[01:10:58.760] 作んねえとなパレットに乗せてもらおう
[01:11:01.280] パレット
[01:11:02.280] に
[01:11:04.239] 笑笑クレーン者だよ免許取る
[01:11:08.560] ね案件だったか笑笑めっちゃ重いやんあ待
[01:11:14.920] 阪フークの免許持ってるぞ俺も持ってる俺
[01:11:18.400] も持っ
[01:11:19.800] てるあおいジョエル2来たジョエル2来た
[01:11:26.920] をいくそっちの男もジョエル2来たしすぎ
[01:11:31.080] だろ持ってんの持ってるタも持ってる俺も
[01:11:34.840] こっちはジェームズジョエルにアンバさん
[01:11:37.520] 仲間たが笑笑腹をすかせてて女や子供も
[01:11:41.920] いる私だって強すぎる女だし子供だ腹も
[01:11:46.360] 減ってるまあもうジョエルの死を乗り越え
[01:11:49.120] たからなよかったらその肉と交換しよう何
[01:11:52.639] をの時にら何がいるそうそうそう
[01:11:55.880] 武器か銃弾服
[01:11:58.960] 薬何の薬構成物質を持ってない待ってある
[01:12:05.639] よ
[01:12:08.040] 成一緒に来るなら私はどこにも行かない
[01:12:11.040] まさか生きてんのかジョエルそいつに行か
[01:12:14.159] せて薬を持ってきたらこの鹿はあげる仲間
[01:12:18.840] を呼んだら俺の眉間をいくだろそうよ生き
[01:12:23.199] てんのか
[01:12:26.920] ペニシリン二瓶と注射区だ
[01:12:29.679] 急げ行けエ人
[01:12:36.159] 1銃を置い
[01:12:39.560] て分かっ
[01:12:41.760] たわペニシリンはアナフィラキシー
[01:12:44.520] ショックに
[01:12:45.800] なそうペニシリンでござい
[01:12:51.400] ます先生エリーリッになっちゃってもう人
[01:12:55.920] のことなんか誰1mmも信用してねえ
[01:12:58.760] なしばらくかかりそうだ小屋で寒さを
[01:13:04.280] しのがない
[01:13:06.000] か入院した時死んで
[01:13:10.120] たエリーが本当に下
[01:13:22.360] すぎるよし
[01:13:28.679] こんなところに1人でいるのは危険
[01:13:31.320] だれるのは嫌でさせてしまったそう
[01:13:35.840] か名前はチマゲームですなん
[01:13:40.480] で急には信用できないよな気持ちは
[01:13:46.360] 分かる仲間が怪我して心裏そうな顔してる
[01:13:50.480] もん大丈夫さ
[01:13:55.360] かななんでなんでちゃまゲームいい人ぶっ
[01:13:59.400] てんじゃねえいいい人ぶってんじゃねえ
[01:14:03.080] おい
[01:14:04.239] れる
[01:14:09.520] おお助けてくれ
[01:14:12.320] た
[01:14:13.920] ありがとうチ持ってたのごめん
[01:14:18.400] よそろそろライフルを返してくれだめそれ
[01:14:21.719] がある
[01:14:23.159] でしょ使えるんだろ
[01:14:26.120] いい験はあるごめんなさいいい人かももし
[01:14:30.840] かしたらい侵入させるなよいい人かもいや
[01:14:34.080] 俺でも俺は俺はこっちの方が俺は俺は
[01:14:37.080] こっちの方が調子がいいから返してやれよ
[01:14:39.120] わかったなライフル返してあげればよく
[01:14:41.199] ない俺はこっちの方が調子いい
[01:14:44.360] ぞこれはさすがに良い人やんな使わんのか
[01:14:48.440] い笑
[01:14:57.719] な
[01:15:01.080] よ入ってきた
[01:15:06.360] ぞなんでよなんでだよなんでだよなんでだ
[01:15:10.239] よ
[01:15:14.199] な
[01:15:16.520] やば
[01:15:19.159] やば当たんない当たんない下手やジョエル
[01:15:22.960] 俺も俺ももも
[01:15:26.760] 心配だったが俺より銃を使いこなしてま俺
[01:15:29.719] 銃使ってねえけどな弓だけどな俺手伝って
[01:15:33.239] くれあはいはいはいはい
[01:15:38.560] はいねえ
[01:15:41.880] 早くねしかも耐久力げ
[01:15:46.199] うわ
[01:15:48.000] う右だ
[01:15:55.360] 待って当たんないんだよ頭めっちゃ動かす
[01:15:57.960] からあかあかあかやばいやばえこんなの見
[01:16:02.480] たく
[01:16:04.920] ない
[01:16:06.480] グッドえもうむいよこちて
[01:16:15.480] エリーだけどう
[01:16:17.679] かこっちに軍がいるぞどこどどこどこうん
[01:16:20.840] 見えた見えてない見えてない
[01:16:33.630] [音楽]
[01:16:38.199] なんでなんでだよなんでだよなんで
[01:16:42.719] もうむずいっちゅう
[01:16:46.600] のすっと行かせてくれよもうこっちは来て
[01:16:53.840] ないリロード間に合わん
[01:16:57.159] ねえこっちに大軍がいるぞうん見え
[01:17:01.120] たもう当たんな当たんな当たん
[01:17:13.230] [音楽]
[01:17:23.840] なす死ぬ
[01:17:25.960] 死ぬいい
[01:17:31.560] ねリロード長いっ
[01:17:41.520] ていたお前もう
[01:17:45.360] 難かしいちょっとむずい
[01:17:49.199] よだよ
[01:17:51.320] これこっちは来て
[01:17:53.840] ないお玉ショットやめて
[01:17:57.400] おきおき玉
[01:18:00.000] ショットこっちに当たんねえ
[01:18:06.719] だいや当たんねえ
[01:18:19.320] よ弾ないよ
[01:18:23.199] もうおら補充するなあありがとうあ
[01:18:27.440] ありがとうありがとうまだ弾あんの
[01:18:29.920] かだったら最初からこれ使ってるっちゅう
[01:18:36.840] なさせる
[01:18:40.520] かに当たってんねん
[01:18:48.520] てちょっと待ってまだやん
[01:18:52.360] のまだやんのかああだめだここを出た方が
[01:18:57.199] いいどうするあオ逃げるかこっち
[01:19:04.679] だよし道を伝いでやる階段を
[01:19:13.679] 頼む
[01:19:18.639] ナイスあ待行こうこのよしよ
[01:19:25.400] ハンドガンもあります道知ってるここに
[01:19:27.400] 入ったの初めてだ
[01:19:31.159] 最高オこのジョエル2とこれから生きてく
[01:19:34.480] のもやだよ俺は了解ジョエル直してやろう
[01:19:36.840] ぜ生きてんだろまだどうする私の心配は
[01:19:41.560] いら
[01:19:42.800] ないジョエルがいいジョエル生きてんだろ
[01:19:45.920] まだれるななんかまだ生きてる描写だよね
[01:19:48.440] これねうわもう最悪
[01:19:52.560] やおいおい大丈夫か
[01:19:55.639] 大丈夫いやいや
[01:20:04.000] いやどこどこ
[01:20:10.920] どこもう
[01:20:13.310] [音楽]
[01:20:15.400] あん早い
[01:20:17.800] よ気づいたら超目の前にいのやめてな
[01:20:24.880] さ待っ
[01:20:29.360] てくそこんなことな領もっと強化するべき
[01:20:32.679] だっ
[01:20:35.520] たえそっから出てくんのかそんなのさ無理
[01:20:41.800] だろそんな
[01:20:44.639] の扉の裏で待ってんのかよふざけん
[01:20:51.440] なエリーが死ぬとこ見たくないよ
[01:20:59.600] こんなん拾ったってさエリに
[01:21:08.880] まり
[01:21:15.360] いや当たんて
[01:21:22.110] [拍手]
[01:21:39.560] そうか相手はクリッカーだから
[01:21:56.760] いやクリッカーはクリッカーでもありゃ
[01:21:59.760] 走ってくるタイプのクリッカーだ
[01:22:08.719] べ早いやつやだ早いクリッカーなんだよ
[01:22:17.080] あれああありがとう助かったここち
[01:22:23.900] [拍手]
[01:22:25.600] 危なかったな危ない本当だ
[01:22:29.600] よあああのはごを使おうどうやって使うん
[01:22:34.960] だよあれあのはご使うったってよいや
[01:22:39.239] 分かるけど
[01:22:44.560] さ登れってかどうやって登るの
[01:22:57.159] ジョエルなら自分で取ってきた
[01:23:03.000] ぞえどうやって登るの
[01:23:11.360] これ
[01:23:14.679] あ来て私を持ち上げてて棒こいうこと
[01:23:20.159] かよしいいかそれけ
[01:23:25.719] あ俺が今度あげられる側になったん
[01:23:31.040] だね
[01:23:35.520] てんお疲れさありがとう
[01:23:42.199] こんばんはそうだ足元気をつけねえと
[01:23:51.280] なあれ
[01:23:53.440] すえコメントしてくれた人
[01:23:58.679] あなんでだよ
[01:24:05.800] もうもう難しいって笑笑あバルちゃんお
[01:24:12.199] 疲れ来て難しちててこれいう
[01:24:17.719] によしいそ
[01:24:21.760] 行け詰められ確定でのがせ
[01:24:29.400] ない早くしろ奴らに気をつけるうるせえな
[01:24:33.560] やって
[01:24:36.040] るっつ1匹いるよな分かった分かった
[01:24:38.719] 分かっ
[01:24:40.520] たもしかしてエリー操作になったから強化
[01:24:43.800] リセットされてるえそういう
[01:24:46.880] ことトプスなんて以来えもうめちゃめちゃ
[01:24:51.440] ぶり
[01:25:00.920] なかったっけ大え大丈夫そうできます今の
[01:25:06.560] 弟子なんの
[01:25:09.119] かやめてねあアイテムとか全部消えてるん
[01:25:14.159] だ
[01:25:14.800] けどえアイテムがほら全部消えてる
[01:25:24.480] 僕てパ以来のトスかな僕パ僕ウパTPS
[01:25:29.080] じゃ
[01:25:31.080] ねえこれベリーハードえノーマルですけど
[01:25:35.400] 何かノーマルですけど
[01:25:38.480] 何か
[01:25:40.480] 笑笑ノーマルですけど
[01:25:43.440] 何か行く
[01:25:45.010] [拍手]
[01:25:46.360] よ笑笑気をつけろ
[01:25:59.560] 来いこの先のステージ楽しんでありがとう
[01:26:03.639] ここ
[01:26:07.679] だら
[01:26:13.840] 来い出口を探さないとな分かった
[01:26:19.040] よはいはい
[01:26:29.320] [拍手]
[01:26:30.480] うるせえ
[01:26:35.280] なそうなん
[01:26:37.840] だやっぱレトロゲームやってるとねこう
[01:26:40.800] いうゲームできないやノーマルでも
[01:26:43.719] めちゃめちゃむ
[01:26:46.430] [音楽]
[01:26:51.360] ずいいライフリーで行くか
[01:26:56.480] うさノーマでもちゃんとむいよねこれ
[01:27:00.679] そうだよねこ人た奴らと戦って負けたん
[01:27:05.639] だこいつらしてた
[01:27:09.280] んくそアイテム
[01:27:20.960] いっぱいめっちゃ増えてる
[01:27:24.280] めっちゃめちゃアイテムいっぱいという
[01:27:26.480] ことは使えるものは何でも
[01:27:28.800] もらえるまそういうことだろうな何か
[01:27:33.520] あるねよしよし祭りの予じゃどうする
[01:27:40.159] 選択肢は祭りの
[01:27:44.520] 予感を
[01:27:47.239] けろ大乱闘待機あ来てる来てる来てる来
[01:27:52.280] てる
[01:28:13.320] あ間違った持ってない聞こえた屋根にいる
[01:28:16.719] 屋根ってる
[01:28:26.240] [音楽]
[01:28:29.840] そち何し
[01:28:38.440] てるやばいやばい何してんだこめらいてな
[01:28:54.159] なんでなんなんでん
[01:28:59.000] これ多い
[01:29:02.679] ていたお前女の子に殴ってんじゃ
[01:29:13.800] [音楽]
[01:29:20.040] ねえな間違えて撃っちゃうんです
[01:29:29.199] ういあお前お前仲間なのか敵なっと助かる
[01:29:33.159] ぞ本気で言っ
[01:29:34.840] てるするん
[01:29:38.400] だけまた来たかに一体何できるの
[01:29:43.239] グラディウス殺さ
[01:29:45.660] [音楽]
[01:29:55.520] 危ねえやべたま
[01:30:03.280] ねえハードなら2回みつかれたら死ぬ
[01:30:08.360] やばや
[01:30:11.199] やお前マジ1匹あごめお前に当たごめん
[01:30:27.480] お
[01:30:31.520] ロ
[01:30:35.480] えマジ
[01:30:42.679] でこれ無理
[01:30:45.040] やろお前ざどうすんだよあいつよ
[01:30:54.040] どうすんだ
[01:30:59.600] あいついやあ
[01:31:12.860] [音楽]
[01:31:16.960] もう全然聞いてない
[01:31:23.510] [音楽]
[01:31:26.719] よしよしよしよしよし
[01:31:29.480] よしよしよし
[01:31:33.840] よしおいお前
[01:31:36.280] えやった全部殺した
[01:31:39.880] の残念そうに言うなよ信じられ
[01:31:44.440] ないあっちをて
[01:31:47.480] くる一緒に行こうローターは火炎くあ
[01:31:52.600] ノーマルだった
[01:32:03.719] 見ろいなくなった見事にな行った
[01:32:11.040] だろうよし大丈夫だなしたか鹿のところに
[01:32:18.800] 戻ろういてててて
[01:32:24.159] ジョエルはさの腕前はなかなかだった
[01:32:26.840] ぞジョエルは俺らはいいチームだったな人
[01:32:31.800] だねいや運が良かった俺らはまだチーム
[01:32:35.639] じゃない本当にいやいや運なんてものは
[01:32:40.280] ない俺が思うに全ての出来事は運命なんだ
[01:32:47.040] へえ本当さ証明できるほらか薬まだ今年は
