[00:00:25.480] 会館ちゃまきちゃグググ
[01:13:53.239] オケう腹立つタイミングあるななんか
[01:14:03.000] なよし
[01:14:07.560] バ長い
[01:14:10.080] な30まであまだ1しか追って
[01:14:23.280] ないとむいんで
[01:14:26.120] になりそうだこのね赤いねこの赤い変な
[01:14:30.239] ドラゴンみたいなやつが意外としんどくて
[01:14:33.040] これこいつがね結構しんどいんだよ
[01:14:44.480] ねうわめっちゃ来るもんねめっちゃ
[01:14:47.440] めっちゃ来るもんね
[01:14:49.400] わかる分かってくれる分かってくれた
[01:14:55.199] 栃木剣済みのマジで栃木剣済みのリスナー
[01:14:58.920] いねんかなマジで住所教えるからさアイス
[01:15:01.600] 買ってきてほしいマジ
[01:15:05.840] で便利なリスナーいねえかなマジで近所に
[01:15:09.639] 住んでるやついねえんか
[01:15:11.840] なかい済まして欲しいマジ
[01:15:16.719] でくならな危ない危ない危ない危ない危な
[01:15:20.480] 危危危な危近くなら来てくれてさスの
[01:15:23.239] プリン味めっちゃおいしいらしい
[01:15:26.159] 板チョコスのプリンえそんなん出てんの今
[01:15:28.840] え買いに行こうかなもうちょっと夜が吹け
[01:15:32.199] たら買に行こう
[01:15:35.840] かしらアメも食いてえななんかマジで頭
[01:15:38.719] 使うから今日はアイスのみです対戦
[01:15:41.239] よろしくお願いしますえアイスのみの
[01:15:44.120] 何何何味でも栃売ってるかな売ってるだろ
[01:15:47.960] なめん
[01:15:49.679] なちょっぴりなんだ頑張れば来れるんだ
[01:15:53.880] 頑張れば来れる
[01:15:56.199] ササ間違えちゃっ
[01:15:58.360] たね危ねえ危な危うまいからでもねゲーム
[01:16:02.920] がガリガリソを決めましたお前らよアイス
[01:16:06.840] アイス結構食うんだな
[01:16:10.040] みんなえなんかどうしよう俺買えに行こう
[01:16:12.800] か
[01:16:13.400] なだってコビに来るまで20分でしょも
[01:16:18.159] 終わるしねアイスおしますかあもう夏も
[01:16:21.639] 終わりですか早いですよね
[01:16:25.840] もう1個ちょっとやっとくここ
[01:16:30.040] にやっちまった獣にってしまっ
[01:16:36.520] た
[01:16:38.719] 笑笑鬱陶しいさとおできる
[01:16:46.679] 地獄よしハンター
[01:16:50.159] ハンターハンタ
[01:16:55.280] てした笑ああまたこれもうあれだメスがき
[01:17:00.080] エンドだ分からせパンチエンドしちゃった
[01:17:03.480] これこれ屈辱なんだよマジでなっ
[01:17:07.159] た屈辱エンド来た領エンドこのさ鍵取った
[01:17:12.520] 判定マジいらないからそのおなけ
[01:17:18.800] ちょっとおな判定いらねえんだよな
[01:17:35.639] ちょっと
[01:17:43.280] 流せもうワープなしでいいや探すの
[01:17:49.920] しんどい途中でアイスとかお菓子買いに
[01:17:52.639] 行くかもしれんジュースはあるねん
[01:17:55.120] いっぱいが送ってくれ
[01:17:57.639] たジュースがいっぱいあんだ
[01:18:00.600] よ生ペプシか
[01:18:07.679] なノチーズなくなったペンライト
[01:18:14.960] パトロン明日休みだよ
[01:18:17.560] よいだ久しぶりこのなんか休みの日に休み
[01:18:22.480] の前日にさ時配信
[01:18:25.280] チーズなくなったのかなとあいやあいやま
[01:18:28.320] 全然あるよ全然あるあれ結構使い切るの
[01:18:31.520] 時間かかる
[01:18:32.840] よおエムドやんエアムドお疲れポケモンも
[01:18:37.679] 見に来るとうちのチャンネル
[01:18:43.920] はオなんかここワープありそうやけどな
[01:18:48.520] ワープありそうだけど
[01:18:51.440] なレベル15まで来ましたよ
[01:18:57.639] あここあここワップあるって言っ
[01:19:00.000] たねがそんなに好きじゃ
[01:19:04.360] ねえエア結構好きだけどずっとガのエア
[01:19:09.239] ムードって言ったけどエムドのことずっと
[01:19:11.679] ガの頃エアムードだと思った
[01:19:19.560] けどここのワープ分かりやすいんだ
[01:19:23.719] いやしいねここじゃないのここなんか
[01:19:26.760] 怪しくないドはみんな好きそううん違う
[01:19:32.800] か違う
[01:19:37.000] なあ違う
[01:19:40.639] ね
[01:19:42.280] えーわかんねえなどっか
[01:19:45.080] だろうちょここワップ探していいああるや
[01:19:49.480] んえでえ今取ったよ今あったよあったあっ
[01:19:53.960] たあったワあったあったあったえこれで
[01:19:57.360] これでゴールすればいいのでこれでゴール
[01:20:00.400] すればいいんかこのままゴールあゴールし
[01:20:03.120] なきゃいけないんだでも取ってクリアすれ
[01:20:05.000] ばオッケーなるほどねただこれ結構ここ
[01:20:09.960] 結構ここクリアするの結構しんどいけどこ
[01:20:13.120] で行くん
[01:20:19.840] やろ結構しんどいけどねこれ
[01:20:23.000] ねなあ
[01:20:26.760] よしさどこまで行くんだ
[01:20:30.159] マイナマイナ死ぬやあ21結構飛んだあれ
[01:20:34.880] さっきどこあれさっきどこまで行ったん
[01:20:37.080] だっけあああ結構飛んだな21は結構飛ん
[01:20:41.600] だよああピント来てねえけどままままでも
[01:20:46.400] いいんじゃ
[01:20:47.920] ないあなんかこ全然覚えてないもんこれ
[01:20:51.920] なんだっけどういうステージだっけここな
[01:20:55.239] やったっけえそんな
[01:20:57.920] なんかそんな別に難しくもなんともない
[01:21:01.480] けどねこれねえ何この
[01:21:05.600] ステージえこのステージ
[01:21:12.080] 何え何この何このお茶の子再々ステージ
[01:21:17.960] はここに来てなめてんの俺を退屈させんね
[01:21:23.679] あんまり
[01:21:25.280] クリアしたステージプラス6に飛ぶプラス
[01:21:28.120] 6もああここあったなここなここもなんか
[01:21:33.760] さなんかここさなんここなんか
[01:21:37.639] あのどうやら俺なんか前やった時にここ
[01:21:41.239] やばいなんかねあのRTAと同じ手順で
[01:21:44.760] 言ってたらしくて押ししたやつ笑正式
[01:21:49.800] なこれ正式な回がわかんねんだよここ正式
[01:21:54.040] な回面白かった笑えこれこれ以外思いつか
[01:21:57.719] ない
[01:22:00.840] ぜどう行くのが正解なの
[01:22:08.199] これえだってどう行くのが正解なの
[01:22:20.159] これもう俺これしかわかんないよ
[01:22:24.880] あちょこれむずここ結構むずいんだ結構む
[01:22:28.239] ずいのよここ結局鍵が囲まれてるから正規
[01:22:32.040] でも大変そう右で炎を崩したり右で炎を
[01:22:37.360] 崩す待て右で炎を崩すって何えちょっと
[01:22:41.199] ここさ教えてよここはもうさ俺さ答えって
[01:22:45.480] いうかもそんななんか何ここはもう1回
[01:22:48.600] 超えたステージはちょっと教えてほしい
[01:22:50.239] ここってどうやっていくのが正解なのこれ
[01:22:55.880] 右で炎を
[01:23:04.440] 崩すああいけねえな右で炎を崩す右から
[01:23:10.280] 回り込んで右端の炎を落とす方針じゃあ下
[01:23:14.400] から2段
[01:23:16.800] 目あ
[01:23:25.760] いやでもえ行けるこれこれ行けるかの左側
[01:23:30.600] に石を並べて白い石の左側にどういう
[01:23:37.480] こともう全然わかんねえいいやなんか
[01:23:40.080] 分かんねえからあわかんねえからいいや
[01:23:42.960] なんかいつも通り
[01:23:44.960] やろ笑笑先にサラマンダーが来ないように
[01:23:49.440] 鏡の下は崩し
[01:23:52.400] ますちょちょちょちょて
[01:23:55.120] ちょっと待ってあがちょっついてコメント
[01:23:58.159] で説明するのもややこしいんよ
[01:24:12.239] 笑間違えた間違えたなな
[01:24:22.679] なあなるほど
[01:24:24.560] すればあこうすれば確かにサラマンダー来
[01:24:27.639] ないねああ確かに確かに確かに確かに来る
[01:24:31.239] やん来るやん来るやんめちゃめちゃ来る
[01:24:34.159] やんけ
[01:24:36.199] え来るや
[01:24:38.280] ん笑笑
[01:24:41.440] 笑笑はいに
[01:24:44.679] せ分かったここのここここを伸ばしとくん
[01:24:50.639] かここをこうやって伸ばしておくんだよ
[01:24:53.280] こうやって
[01:24:56.880] なるほどねるちょっと待ってください
[01:25:00.159] ちょっとちょっと
[01:25:02.760] ルルなるほどここねそしたらこいつらここ
[01:25:05.440] まで来るまで消えるよねまさか
[01:25:07.639] な消えないんかいなんやねん
[01:25:12.199] それまもちょっと何これマジで
[01:25:17.760] 何これ
[01:25:21.280] 笑笑笑えこ
[01:25:24.560] で難しい笑あでもそういうことか
[01:25:29.719] ブレムもう1個伸ばしときたかったこで
[01:25:34.320] もう下に絶対来れないようにし
[01:25:42.840] たちょっとちょ無理無理やなん
[01:25:50.040] これ笑笑笑笑
[01:25:59.440] えマジでどう
[01:26:06.080] するちょしたなじん
[01:26:09.440] こんばんはちょっと待て
[01:26:17.560] 笑笑正解のルートが一番むずいと思うけど
[01:26:26.199] まとりあえずここまでやっちゃってまず
[01:26:28.159] こいつらが全員消える消えるの待ちしたい
[01:26:30.760] んだ俺はあ結局でも
[01:26:38.880] さ
[01:26:40.719] めっちゃいやこれ俺がうまいから今どうに
[01:26:43.159] かなったけどな俺が今うまいからどうにか
[01:26:45.600] なったけど
[01:26:49.880] もうまかった笑笑
[01:26:56.360] こういうことかあこういうこと
[01:27:02.840] ね違
[01:27:09.239] なこういうことねオあなるほどなるほど
[01:27:12.639] なるほどむずめちゃむずいやん結構前だ
[01:27:16.480] けどバニでパンツ遅れるようになった
[01:27:19.159] らしいぞってるパンツるって素晴らしいや
[01:27:24.560] た
[01:27:28.080] グググ今の今のとかもめちゃめちゃうまい
[01:27:30.639] から言っときますけどあ下手や
[01:27:32.400] めちゃめちゃ下手やっ
[01:27:46.360] た
[01:27:48.880] うここどうやってここなんかね前回は正直
[01:27:54.520] 運でね突破できてとこもかなりあるんだよ
[01:27:56.960] ねここのワープあって30面手前に行ける
[01:27:59.440] んですよねなんだ
[01:28:01.679] と絶対あの中やんしいて言えば敵の通り道
[01:28:05.719] に石を並べておけば石を壊すのに足できて
[01:28:10.840] たなるほどね絶対あん中だろうちげえかな
[01:28:15.280] あの辺な箱の中じゃない
[01:28:19.080] のこれ意外とむずいんだね
[01:28:29.719] 絶対あの箱の中にある
[01:28:36.159] やろただあれ結構おもろいな笑たださただ
[01:28:40.600] さいやおもろいよこれマジでただこれどう
[01:28:43.000] やっ
[01:28:44.520] てこうかこうやってやって上から回り込む
[01:28:47.560] んか頭良すぎあた良さ
[01:28:51.920] すぎんあた頭が良さすぎちゃうんかいえ
[01:29:01.639] どれえないやんワープえワープないやんえ
[01:29:09.239] どこえワープないじゃミスリード何
[01:29:15.360] そのそこじゃないのよえ違うんだ左上の
[01:29:19.639] 攻略法は見事でしたでしょ他ある
[01:29:24.560] えーどうしようワープ狙うなんここ簡単だ
[01:29:27.639] から
[01:29:28.400] ワープ
[01:29:30.199] わ
[01:29:32.480] わ笑笑わ見つけた笑笑2すごい笑見つけた
[01:29:41.639] 笑えちょっと待ってここ初めてじゃねえ
[01:29:46.080] 待ってあれ俺超えちゃったあれ前回どこ
[01:29:48.239] までこんなやったこれやってた俺ここえ
[01:29:50.639] 何これ
[01:29:52.280] いややってた
[01:29:55.800] 超えてねえかサクっとクリアしたので印象
[01:29:59.800] に残ってない笑次の面のインパクトが強
[01:30:03.600] すぎて忘れてる笑笑やってた気がするやっ
[01:30:07.560] てた
[01:30:17.040] かあたなんかこれたまに来るこのなんか
[01:30:22.400] すげえなんかあの
[01:30:25.639] 数合わせのステージ何な
[01:30:32.400] のじゃ意外
[01:30:35.760] なんかなんでもねえとこでやられんのが
[01:30:38.080] 一番しんどい
[01:30:40.119] な鍵取っちゃったしなもうなじゃあもう下
[01:30:43.840] から行こう兄浜超えてく
[01:30:52.920] よつくテじゃねえのにな大したステージ
[01:30:56.000] じゃねえのに
[01:31:01.119] 笑笑はいはいはいでもここは壊さなかん
[01:31:04.560] からはいはいはいはい
[01:31:08.719] はいはいはいはい
[01:31:14.000] はいはいはいはいはいはいはいはい
[01:31:24.440] 間違えたやばいやばいやばばやば危ない
[01:31:28.520] いやんちょっとむずいなもうもう萎でもう
[01:31:32.320] ええやろ
[01:31:35.239] もう
[01:31:42.520] 笑笑あやっ
[01:31:46.320] たなんか地味にめんどくせえなここあお前
[01:31:51.360] を
[01:31:52.000] 倒すよしよし
[01:31:59.760] 危なよしよしよしよしあこれ30面これ
[01:32:03.000] 戻し終わったん
[01:32:06.239] ちゃう戻し終わったんちゃうのんこれやっ
[01:32:12.320] たき帰ってきましたここ
[01:32:16.440] ねさあ戻ってきたけど笑きちゃここ出たい
[01:32:23.320] よもう俺ここマスターだから帰り大丈夫
[01:32:26.040] 大丈夫大丈夫
[01:32:34.080] ここ1発クリアしたら熱すぎるいや行けん
[01:32:38.960] ちゃう
[01:32:58.239] ここそんなむずないよ多分もうからくり
[01:33:00.840] 分かっちゃえ
[01:33:10.199] ば
[01:33:11.719] まずくそ
[01:33:39.719] 大丈夫大丈夫全然いける全然いける全然
[01:33:41.119] いけるするじゃんいやこういうもんだから
[01:33:45.199] ソロモンの鍵ってこういうもんだ
[01:33:52.360] からやくそもんですね
[01:33:57.520] 笑くそ脳筋攻略チャンネルいやこういう
[01:34:01.600] もんだっ
[01:34:20.840] てただこのゲーム待つこともマジで大
[01:34:24.800] 待てるやつがマジで勝つ
[01:34:28.159] から待つのが一番大変なんだ
[01:34:31.480] よ行きたくなっ
[01:34:38.760] ちまうここもず1
[01:34:41.880] 回でここちゃんと壊す焦っちゃだめそうな
[01:34:45.280] んだよには辛いそうマジでそうもう
[01:34:49.280] ちょっと触りたい
[01:34:51.719] 早触りたい
[01:34:57.920] 触りたくなっちゃうんだよ
[01:35:00.600] ね我慢が効か
[01:35:05.840] ねえ横着しちゃだめ
[01:35:08.719] ねあべあこれはまだ飛んなくていいよ
[01:35:15.040] ね待つ
[01:35:28.040] 山ゲー
[01:35:31.040] 待つあお
[01:35:34.000] 疲れ神ゲーをやっていますクソ間違えてる
[01:35:38.360] クソ間違えてくそ落ち着け落ち着け
[01:35:41.800] 落ち着け落ち着け落ち着け落ち着け
[01:35:43.480] 落ち着け落ち着け落ち着け
[01:35:45.480] 落ち着けお疲れお
[01:35:49.840] 疲れ神ゲをプレイしています
[01:35:53.880] あああちゃうちゃうちゃうちゃやべやべ
[01:35:56.119] やべえやべえやべ
[01:35:58.360] ちょっと落ち着いて時間ないよあも大丈夫
[01:36:01.760] 全然大丈夫全大全全然大丈夫
[01:36:03.639] クソコラグランプリクソ笑ったなんなん
[01:36:08.040] あれ本当にハが何言ってんだかわかんなく
[01:36:11.320] て怖かったわあれ俺の生首が欲しいあ
[01:36:24.360] やべえこれ時間足んない
[01:36:28.600] よ落ち着け
[01:36:36.239] 落ち着け
[01:36:43.080] いや惜しい
[01:36:46.000] 惜しいビブレプみんな一瞬で生首持たせて
[01:36:50.440] くれて嬉しかったブレム
[01:36:58.840] 真剣にやるちょっとちょっと雑念が混じっ
[01:37:01.119] たマジで
[01:37:02.880] ちょっとそういえばこのステージも生首
[01:37:05.960] 転がってますね俺の生首に見えて
[01:37:14.199] たいつだっては最高だからねんな
[01:37:18.639] のれん元ネタもんないそれなんとか
[01:37:28.600] あれパトレイバーってアニメなんよあそう
[01:37:31.520] なん
[01:37:33.000] だ昔の
[01:37:38.119] アニメパトレイバー知らんよな昔知ええ昔
[01:37:43.440] のアニメほえなんか広角起動おじさんたが
[01:37:47.040] タっぽいなと思った
[01:37:49.239] けどあの絵柄があなんか主人公女の人似て
[01:37:53.239] ない
[01:37:57.480] 年代的にはそのあやっぱそうなんだなんか
[01:38:00.000] そんな感じのね作風という
[01:38:02.440] かあれちょっとさ攻殻読おもろいよって
[01:38:06.000] 聞いててさあの途中まで見たんだけど
[01:38:09.880] なんかよあんねでやめちゃったん
[01:38:15.719] だ私もリバイルの時に見たんよね
[01:38:19.040] パトレイバー
[01:38:25.280] アニメ監督森だっけ誰それ誰それすごい
[01:38:33.639] 人今になって結構俺アニメにさすごい興味
[01:38:37.599] が出てきてさもっとあれやっとけばよかっ
[01:38:40.599] たってすげえ思うあのなんだっけ
[01:38:43.800] あのたましたんだっけ
[01:38:48.159] かからでも遅くない
[01:38:52.440] よもっとしとけばよかったって
[01:39:03.560] 思う今でも頑張ればできるんちゃういや
[01:39:06.920] なんかねめんどくさいんだよねよし
[01:39:10.719] オッケー
[01:39:13.320] パチパチパチなんか拡張機能でできる
[01:39:16.040] らしいけど著作そうなんよわかんない
[01:39:18.719] わからんあ俺さ俺ここでやめたよな確か
[01:39:23.480] ここでやめたよね
[01:39:26.239] 前回どうなんだっけなんだったっけここ
[01:39:29.400] 時間画面に出して各々見ればよかろうここ
[01:39:32.719] でやめたそうやね
[01:39:37.520] あどういうステージなんでしたっけ
[01:39:42.000] これうわなんやそれ嘘でしょなんだこれ
[01:39:46.159] やべえやべえななんだっけなこれわかん
[01:39:50.239] ねえなえあと早くトークサバイバー見てね
[01:39:53.639] おしはサンサーラナーガの脚本ややっあ
[01:39:57.000] サンサーラナーガねスーファミのねあ
[01:39:59.639] ファミコンかスーファミにもあ
[01:40:03.800] るっけトークサバイバーくそおもろいえ
[01:40:07.280] トークサバイバーって
[01:40:10.679] さちょっとなこれむずいやんトクサやた
[01:40:14.360] あれだよねネト振りのやつねいや違う地面
[01:40:17.960] だよた見ろてお前らマジでお
[01:40:24.360] けどめちゃくちゃ
[01:40:26.760] 地面たちネト振りのバカおえからマジでや
[01:40:31.800] べもうええでしょもうええでしょそうもう
[01:40:34.840] ええでしょあめっちゃおもろい
[01:40:44.960] よ危まずピたがねピエたの演技をね見てる
[01:40:51.760] あのね
[01:40:53.719] 見れるのは本当にもうネト振り
[01:40:58.679] だけまだ温めてるって別に見ればええやん
[01:41:03.080] 別
[01:41:05.880] によしよしよしよしよしよしよしよしよし
[01:41:09.639] よしよしよしよしよしよし
[01:41:18.159] よし結構怖結構怖いぞこれ行くの
[01:41:24.560] 結構怖結構結構怖いぜ
[01:41:34.800] ルやだなこれ下行くの怖え
[01:41:38.239] ぞしかっ
[01:41:41.560] たパしたいグリーンマルたかっうわもう
[01:41:46.440] 最高やグリーンマイルなんて待ってこれ
[01:41:49.679] どうやんのこれどう行くんだこれ
[01:41:56.320] 待ってめっちゃむいやん何これ
[01:41:59.440] うわジョンコーフィー殺してないてやつね
[01:42:03.360] あのグリーンマイルね刑のやつな最強の
[01:42:07.480] 2人で
[01:42:08.360] もと能力学園見たかった絶対面白くなさ
[01:42:14.000] そう絶対面白くなさそうじゃれ
[01:42:23.480] サマー
[01:42:26.280] ウーズ
[01:42:28.320] いや犬神の一族見たかっ
[01:42:32.360] たいの犬神族
[01:42:35.480] ってマジで5億回見たマジで5億回見た
[01:42:39.280] 俺れおもろいおもろいん
[01:42:42.880] だ毎年
[01:42:45.239] 見ようやばやばば
[01:42:50.119] 鍵までは簡単なんだけどめっちゃむいな
[01:42:54.400] ここ
[01:42:59.960] ああ
[01:43:01.560] 何のきちゃんこんばんはあのきちゃん
[01:43:03.840] さっきこんばんはて言わなかったっけ
[01:43:06.239] こんばんはご機嫌
[01:43:08.599] ですやっぱりおもろいゲームやってるのは
[01:43:11.719] やってる時はご機嫌ですねゲーはね回っ
[01:43:16.040] てこ
[01:43:24.520] 石坂工
[01:43:26.080] 番
[01:43:28.440] 何見てたけど挨拶しそこねた気がしてたの
[01:43:32.239] で忘れちゃったありがとうわざわざ挨拶を
[01:43:35.719] してくれる
[01:43:36.960] なんてあそんでこうかあはいはいあこの
[01:43:41.560] ううう
[01:43:43.000] うううやそれ
[01:43:47.199] う銀さん出って俺うが
[01:43:53.239] ほんほんまでもこれも上がるだけやから
[01:43:56.880] 打ち
[01:44:00.119] おいパチも見て
[01:44:11.080] ますこれ上がってくの相当しんどく
[01:44:17.239] ねえちゃ
[01:44:20.040] ちゃう今外歩いてんだけどの先に何かいる
[01:44:24.760] 怖いよ何それ
[01:44:26.679] 怖いあれやんなんかめちゃめちゃ遠くに
[01:44:29.960] いると思ったら振り返ったらめちゃめちゃ
[01:44:31.560] 近くにいたみたいなあるでそれ見てはいけ
[01:44:35.480] ないまじ怖いこと言うなってげな
[01:44:42.400] 待鍵取ってない
[01:44:45.080] しごめっちゃ
[01:44:50.400] てる葉っぱが立ってた草葉っぱ
[01:44:54.639] 笑笑笑笑何してんのかなと思っ言え
[01:44:59.520] よ何してんのかなじゃないよ何してるん
[01:45:03.719] だろうなじゃないんだよ言って
[01:45:09.920] くれ
[01:45:12.560] 笑笑もうさっき俺鍵取れてると思ってる
[01:45:15.320] からさっきの怒るじゃん言わね怒んねえ
[01:45:18.520] だろありがとねえで
[01:45:27.599] ありがとねえありがとねえ
[01:45:30.560] でしょ絶対怒るありがと
[01:45:34.880] ねやあやなパターン引いちゃったじゃん
[01:45:45.360] ほらやもなもう行っちゃう小銭に
[01:45:50.760] ありがとうね
[01:45:53.440] もう行っちゃおなクリアしちゃおううせ俺
[01:45:57.920] には俺のやり方があるんだてなるか
[01:46:01.719] も確かになりそうちょっと確かげそれ言い
[01:46:06.119] そうだ
[01:46:10.080] よそうにTシャツのサイズ連しない
[01:46:13.960] とみもうしたナイスそうですよ20日まで
[01:46:18.360] にあれ連絡しない
[01:46:21.920] とう様でXLを送り付けて終わりにする
[01:46:24.639] からねそうだったそうだったおいおいあれ
[01:46:28.679] あれ1万投げた人だけな
[01:46:31.199] うん
[01:46:33.280] 笑笑
[01:46:35.480] 笑笑ちょっと待
[01:46:37.880] て投げてない人ももらえるもらえ
[01:46:46.199] ねえここむずく
[01:46:49.800] ないイベントぶとTシャ待ってる
[01:46:54.679] イベントフォローとリツイート
[01:46:57.239] でフォローとリツイートでやるそのデー
[01:47:01.800] だけちだ
[01:47:04.760] 名様に
[01:47:07.400] プレゼント多いな10名って結構みんな
[01:47:11.320] それで当たるじゃん結構当たり出るやん
[01:47:14.000] それ
[01:47:23.639] 結構当たっ
[01:47:27.080] ちゃう何やっ
[01:47:30.159] てるいやあこれ
[01:47:35.320] さあそいやきついだろ
[01:47:50.000] これ好きな缶コーヒー派なんですかかあ
[01:47:54.639] 何それコーヒー嫌いだ
[01:47:57.599] からごめん買はそこで終わるけどコーヒー
[01:48:01.679] 嫌いや
[01:48:04.639] なスバの新作飲んだ危ねえああの芋のやつ
[01:48:10.239] ね飲んだよ芋のやつ飲んだ飲んだ飲ん
[01:48:13.199] だいやでも俺あんまりだったかないや
[01:48:17.840] おいしかったけどねただ歯に挟まるねんな
[01:48:20.520] あれがもうちょっとここだるえスタバとか
[01:48:23.560] く行くけどは行く
[01:48:27.560] がえなんで行く
[01:48:31.199] でしょ手曲げがスタバ行くなんて珍しい
[01:48:34.679] 珍しくねそんなおしゃれやったんやメロン
[01:48:37.360] とかイチゴとかがいいあるの危ない危ない
[01:48:43.199] 危ない明日雪降り
[01:48:47.040] そうあるよスタバが近くにてか普通に営業
[01:48:51.920] でやバカにするタイプおいどんだけ俺の
[01:48:56.040] こと屈折した人間だと思ってんね別バカに
[01:48:59.520] しねえだろ
[01:49:02.440] 笑笑あれこれちょも行き方忘れちったっぺ
[01:49:08.920] よえ普通にぐらい曲がってそうした人間だ
[01:49:13.639] とは思ってる普嘘だろ普通にスバ行くけど
[01:49:17.960] ごめんなスバぶタイプ
[01:49:20.880] だろ何
[01:49:23.719] どういうことだよ
[01:49:30.119] それや難しいな
[01:49:35.920] これ配信者のツイート見るくいだからね
[01:49:40.880] だけ頼んで
[01:49:42.480] そうまもうちょっと難しいよこれもう
[01:49:47.280] ちょっとうるさいみ話しかける
[01:49:51.639] なけないでくれ今集中してるん
[01:49:57.920] だやあ待ってなかワープ取っちゃったええ
[01:50:01.880] ワープやん本当にワープあった
[01:50:08.360] でいいよ俺たち黙ってもねえこれむずいん
[01:50:19.040] だちょっと待ってもう何これもう
[01:50:29.679] どうやって言ってたっけ
[01:50:31.440] なこっちかここだここ使うんだここを
[01:50:36.800] なあそうそうそうこうこうこうよこた下
[01:50:41.880] 行かせ
[01:50:47.480] てめっちゃむずいんだけどここ
[01:50:54.280] えそこそんななんかぐんぐんやらてたら何
[01:50:56.560] もできなくない
[01:51:03.920] 俺あね
[01:51:20.960] うまうまた難面ですよ
[01:51:24.760] これあんなことねえ
[01:51:29.560] ないやここでもさどうやってもさ1回死ぬ
[01:51:33.760] よ
[01:51:38.159] ねもうここクリアさせて
[01:51:46.119] くれめらスタバ行くの行かねえ
[01:51:50.119] か行かなそうな奴らだもんな
[01:51:54.040] みスバ行かなそうな奴らだもんなお前ら
[01:51:57.320] みん
[01:51:59.040] な
[01:52:00.760] ビブレ行きません
[01:52:04.520] トルあドトール
[01:52:08.119] ね
[01:52:09.800] くし絶対行ってねえだろスバのヒってどこ
[01:52:15.000] にあるのあるよ
[01:52:17.840] 栃あやっとクリアできる
[01:52:23.320] 長
[01:52:25.880] ここ何頼むのじゃあみんなスタバ
[01:52:29.960] でやった俺なんだろうなアならよく利用し
[01:52:36.199] ます何アッ
[01:52:39.239] てモカ
[01:52:43.360] フラペチーノちょっと待ってここめんど
[01:52:45.960] くさがりなのでダク
[01:52:54.000] めどくないやん別
[01:52:56.480] に結構俺なんだろうなマンゴーティ
[01:53:02.880] マンゴーパッションティーや名前間違え
[01:53:04.840] たら嘘だと思わ
[01:53:06.119] れるマンゴーテパマンゴパッションティ
[01:53:11.159] フラペチーノな
[01:53:13.320] えなんだっけサイズが
[01:53:16.840] ンティだのだののィ
[01:53:22.560] Dだのあーだのかーだの
[01:53:24.760] なお姉さんにマンゴーって言わせたいだけ
[01:53:28.040] だ
[01:53:31.320] なあわあのごお姉さんになマンゴって言っ
[01:53:35.520] てほしいもんな笑笑マンゴって言って
[01:53:39.360] ほしい完熟マゴって言っとしもん
[01:53:44.480] ねいやむずいってこれなんだよ
[01:53:49.520] さすが何さすが何さすがキすぎる
[01:53:55.960] 観うん完熟
[01:53:58.920] マンゴそれらんに
[01:54:02.280] ぞわなんかこのしょうもないクリアの仕方
[01:54:05.800] しちゃっちゃあまいっかここ難しい
[01:54:16.800] やそれライにぞうわ絶対ここワープあるや
[01:54:21.560] ん
[01:54:27.079] おあるなと思ったんだ
[01:54:31.040] よまワープなしでいいかとりあえず
[01:54:33.520] とりあえず普通にやっ
[01:54:35.960] てこうえ芋のやつ飲んだのおめえら芋の
[01:54:39.719] やつ飲んだんかワープなかったりしますあ
[01:54:43.840] ないんかい
[01:54:47.480] ここ飲み
[01:54:49.719] たいえみーちゃんどなどこにすんだ普通
[01:54:53.719] あるやろでも行かないだけでまたここむ
[01:54:57.560] ずくねえ
[01:54:58.520] かある
[01:55:01.000] よ待て俺待て俺
[01:55:04.119] さいきなり正解を導く男じゃんな前の
[01:55:08.440] パイナップルのやつおいしかったいきなり
[01:55:11.040] 正解を導く男かもしれない俺はうわうまい
[01:55:15.520] な俺こんなもん喋りながらでも分かっ
[01:55:18.639] ちゃうからごめんなうくてしりながら
[01:55:23.119] ルルルン喋りながらルルン
[01:55:27.760] できよいしょ
[01:55:30.440] レレレ喋りながらでも余裕ですうまごめん
[01:55:35.560] ね頭良く
[01:55:38.920] てくそ簡単だわこんな
[01:55:41.920] ステージあ
[01:55:47.040] パンドラ何回この蜜すんの
[01:55:51.239] 笑笑回このミスすんねんてまあまあもう
[01:55:54.560] いいでしょここはクリアってこと
[01:55:56.760] でしょああこいつバだちょっと前の
[01:55:59.480] パイナップルあのゼリー入ってるやつな
[01:56:01.239] 飲んだよ俺それパイナップルのやつね
[01:56:04.079] 美味しいよ
[01:56:05.239] ねアメリカンワッフルくそうまいぜめちゃ
[01:56:08.480] 飲むやんえめちゃめちゃめちゃめちゃと
[01:56:11.800] ない
[01:56:17.360] けど飲むよ
[01:56:25.760] これむずく
[01:56:27.639] ね
[01:56:29.400] あ待ってこれ何これめっちゃむく
[01:56:32.840] ないえネタ
[01:56:35.840] ステージネタ
[01:56:38.159] ステージえこれで終りえ何この
[01:56:42.199] ステージんなんやねんこの
[01:56:45.679] ステージなんやねんこのステージは
[01:56:53.520] なめ腐っとん
[01:56:58.199] な休憩ステージ休憩除待てここまた
[01:57:02.199] ちょっとむそうなとこ来たで
[01:57:06.239] あーこれさブロックがうまい具合いに配置
[01:57:09.360] されてるところはさあそうなん
[01:57:14.040] だ上がれるところが本当に限られてくる
[01:57:17.040] から
