[00:00:04.720] 1コメ検討1
[00:42:18.000] そういうことしてたんだンキ俺インキ営業
[00:42:21.440] した覚えねえんだけどの強いあの言ったの
[00:42:24.960] 凍ビームと
[00:42:27.480] に種のの1
[00:42:31.280] つえっとちょっと回復したい
[00:42:36.319] なマンボは覚えさせていいよね俺イキ営業
[00:42:41.319] してなくないいやま元々バンドマンだった
[00:42:43.359] から
[00:42:46.240] ねていうかでも大体俺バンドやってそう
[00:42:49.160] いう髪色してるやつ見て
[00:42:51.800] けどそういうやつの方があなんかあの
[00:42:57.160] おかしいやつっていうかそのあれな時ある
[00:43:00.280] からなそういうやつの方が
[00:43:03.280] ちょっとコミュニケーション取れない
[00:43:05.400] みたい
[00:43:06.520] な威嚇みたいなもんだからああいうの
[00:43:10.040] は電消そうかなマンボの方がいいよね放電
[00:43:14.960] 消すわ放電消していいよねこれね電だっ
[00:43:16.960] たらだってこっち方がいいもんな威力
[00:43:18.599] 100度95威力100度80だったらな
[00:43:21.160] 絶対こっちが上位感だ
[00:43:24.319] からはいマンボ来た
[00:43:29.559] ねサコ記念室のさ技マシンどこにあるか誰
[00:43:32.559] か調べてくん
[00:43:35.800] ないあ来たおおポケモンリーグ来ました
[00:43:40.119] 8mアボ来た
[00:43:42.839] よここ
[00:43:45.160] があれかポケモンリーグここをクリアすれ
[00:43:49.480] ばこの任せて配信も終わりですよろしく
[00:43:53.200] マンボ欲しいマンボ
[00:44:05.160] 終われるのや今日はどうかな今日は回復
[00:44:10.480] 買っとこううまちょっとレベル上げして
[00:44:13.280] 時間がのエルフとかいう身がも宿りの
[00:44:18.640] クズ意外と知ってるんだ身も道13番道路
[00:44:24.359] って行けないんだっけ
[00:44:26.040] まだちょ回復の薬買うかコピーなかった
[00:44:29.440] ごめんね何覚えのあるコメントしないでね
[00:44:33.040] そういうことにんの
[00:44:35.200] コメおめえらどんだけ仲いいんだよおめえ
[00:44:38.680] らどんだけ仲いいんだよできてんのかおあ
[00:44:40.520] お前らできてんのか怪しい
[00:44:43.800] なお前ら仲いいよななあできてるよな
[00:44:47.280] こいつらなできてるよこいつら仲いいもん
[00:44:49.640] なあ裏あれお金のやつここで初めて売ろう
[00:44:53.640] かそんなこと言ったら56されちょっと俺
[00:44:55.880] も言いながらえてる今通報とかされてそう
[00:44:58.960] で怖い嘘だよ嘘嘘嘘うんちゃんごめん嘘
[00:45:01.839] だっ
[00:45:02.839] て金の玉売るべ
[00:45:05.880] 敵4つ持ってるから俺金の玉今まで忍法の
[00:45:10.040] ドム送りつけてることしかしてないよ忍法
[00:45:13.960] のDMは送りつけてんの
[00:45:17.000] かでかい金の玉ってどこにあったっけでか
[00:45:22.000] 金でか金持ってなかったっけ
[00:45:24.839] 俺ぶどうもですやエでかい金えでかい金の
[00:45:30.839] 玉は買い取ることができないらしいなんで
[00:45:33.720] だよなんでだよでかい金だたも売れねえん
[00:45:39.599] だどんどイエイイエイイエイイエイ
[00:45:42.280] パフパフ
[00:45:45.559] パフパフ5えっと何でも直しはいや多分
[00:45:50.960] 換金アイテムだからさ売るだけしかないと
[00:45:53.440] 思うんだけどなデカめっちゃ見てたな懐か
[00:45:59.000] でか
[00:46:00.119] ね特定の人だけ金できるとかなんかそう
[00:46:03.960] いうキャラクターがいるんかも
[00:46:06.119] ね500万ぐらいってくねで少ないのに仲
[00:46:10.319] の羨ましいよな笑何何何が何がうんちゃん
[00:46:15.079] とにんまうんちゃんとにんいつも同じよう
[00:46:18.480] なところの配信見てるからまあな絡み裏で
[00:46:21.280] なくても配信見てたら大体いるみたいな
[00:46:24.079] そういう感じなんだろう
[00:46:25.920] な
[00:46:29.680] よしまちょっとあれだなまだ行かない
[00:46:36.280] けど裏で話すことなんて何しひえ村かひえ
[00:46:43.040] これってもう始まるのここ行ったら始まん
[00:46:47.079] ないよねまだねポケモンリーグは純粋に強
[00:46:49.480] さのみを追い求め示す場所その方法は至っ
[00:46:52.079] てシンプル四天王とチャンピオンに勝つ
[00:46:54.200] だけである4人いる四天王は誰からでも
[00:46:56.000] 挑戦できるし4人全員に勝てば
[00:46:58.160] チャンピオンに挑戦できるただしたしで
[00:47:00.319] あるポケモンリーグに挑むなら全員に勝ち
[00:47:02.720] か敗北するまでそれ出られないぞ待て準備
[00:47:05.599] を怠るなあちらの入り口を抜けてポケモン
[00:47:07.760] の回復などできる限りの用意をするのだ
[00:47:09.760] ちょっと待てここ行ったらもう始まっ
[00:47:11.400] ちゃう
[00:47:14.680] から始まっちゃうから
[00:47:17.480] さちょっとまあレベル上げだなこっから
[00:47:20.880] すいませんねついにだなついにだねま
[00:47:24.079] みんなまだからこの巨ウナちゃんりを
[00:47:28.119] ちょっとレベル上げしたい
[00:47:31.760] ねちょっと草村まで戻ろうはいまたこっ
[00:47:35.200] から1時間2時間でレベルしますま最後の
[00:47:37.599] 1時間ぐらいでもし挑戦できればクリアし
[00:47:39.720] ちゃいたいなとは思う
[00:47:43.599] けどはには念なまこれで死んだらまた向こ
[00:47:48.359] 1週間これだぞもうくできねえからさ
[00:47:52.119] さすがにもう時間かかりすぎ
[00:47:54.920] てにやりてもん
[00:47:58.559] よさすがに違うゲームやりてえからさ
[00:48:01.640] さすがにしなんと思うまレベル上げてね
[00:48:05.280] 行くけど
[00:48:09.079] ねも配送も視野だねマジでそれマジで視野
[00:48:13.920] だよ配送
[00:48:17.240] もここ多分ね出るよ
[00:48:21.960] ねいやなんかパティ考えとくいいあれが
[00:48:25.839] もういねえよポケモンもな使える使える
[00:48:28.319] ようなポケモン
[00:48:31.839] もでかいくむってここかあまここで上下で
[00:48:36.319] 狙う
[00:48:40.359] かいやまたこれ時間かかりそうだなまいい
[00:48:44.680] 草村がない
[00:48:46.559] この足鉱石が鍛えられてちまうこの階段
[00:48:49.799] 登るより
[00:48:52.359] で全然草村揺れねえしな
[00:49:02.960] なんかでかいくむねえかなあなんかある
[00:49:10.200] じゃんうんのいいとこありそううんなんか
[00:49:13.760] ありそうだけど
[00:49:24.559] ね元気の方いらねえ
[00:49:27.880] 蘇生アイテムねこれはあまだトレーナー
[00:49:31.400] いるなま一応戦っとくかトレーナーもな
[00:49:33.760] 一応うまいし
[00:50:03.680] もうないで喋ることこのゲームやりすぎ
[00:50:08.880] てまこいつは戦ってないからな静か
[00:50:13.839] だ僕最近その朝は何食べたの朝は
[00:50:20.599] 朝ま朝というか昼はまカップ麺食べました
[00:50:26.880] まそそんなもんだよ俺の食
[00:50:30.440] 生活カップ
[00:50:32.440] 麺もう半分切るだけどま今日も午前中から
[00:50:37.480] ちょっと面白みのない面白みの
[00:50:41.000] ないすいませんね面白みなくて面白みなく
[00:50:44.880] てごめんなさいねカップ麺おいしいよね
[00:50:48.000] あのね
[00:50:50.799] あのあのさブブカブブカのあの
[00:50:57.520] 油そばのカップ麺みたいなやつあれ
[00:50:59.400] めちゃめちゃうまいからねクソカロリー
[00:51:01.920] だけけどクソカロリーバカバカだけど
[00:51:09.359] ねで夕方ぐらいに鍋を仕込んで索してみよ
[00:51:15.359] と多分あんまり売ってないかもなそうそう
[00:51:18.480] そうあんまり売ってないかもしんないけど
[00:51:20.720] あれ
[00:51:22.440] やばいそっかこいつ電気食らうん
[00:51:25.280] かの
[00:51:38.799] 何その顔あ
[00:51:50.440] あら黙って4ののやめて初めて見たわ
[00:51:55.559] みんなそんな気づいてないっ
[00:52:00.440] て
[00:52:05.319] えコメランの反応遅かったの笑う見てない
[00:52:09.440] 見て
[00:52:15.680] ない
[00:52:21.200] はいブブカ検索してたよ
[00:52:26.920] 痩せ
[00:52:38.520] たどしたん話
[00:52:47.640] かデカキンの話に戻るは不正笑笑
[00:53:01.000] ああああびっくりし
[00:53:03.440] たよしレベルやってきますかねレベル上げ
[00:53:07.280] レベル
[00:53:10.359] 上げ
[00:53:12.599] あれレベル上げレベル上げ
[00:53:27.319] 何も見てねえよなお前らすごわえ汗かくの
[00:53:30.680] やめて
[00:53:33.520] ねお何も見てねえよなお前ら
[00:53:36.960] ななんか見た何も見てないよねちょっと
[00:53:41.920] 待って夢グループ
[00:53:46.640] じわ何も見てねえよな私マジで見てなかっ
[00:53:51.359] だよねうん大丈夫いや何もなかったけど
[00:53:53.880] うん
[00:53:58.359] あ来た来た来たたたよしよしよしこれだよ
[00:54:03.440] これこれこれらほらほら来た来た来
[00:54:06.839] た
[00:54:11.680] えちょっと
[00:54:13.640] さみんなに相談があるんだ
[00:54:16.599] けどみんなに相談があるんだけどさみんな
[00:54:20.799] に相談があるんだ
[00:54:22.559] けどみんなに相談があるんだけどさ
[00:54:27.599] え本当になかったことちゃいやいや
[00:54:30.760] もちろん死んじゃだめだけど死んじゃだめ
[00:54:34.559] だけどさっきのはなしにしないいや死んで
[00:54:37.839] ないけど
[00:54:41.440] なんかいや死んでねえ
[00:54:44.040] よ生きてんじゃなっ
[00:54:47.119] て見てみ生きとるやんけここに俺やろが
[00:54:50.880] 死んでねえ
[00:54:57.720] いやいやいや見てない見てない見も誰も何
[00:55:00.160] も見てないよなお前ら何も見てねえよな
[00:55:02.400] てるけどお前ら何も見てねえよなそうだよ
[00:55:07.200] もうなんかすげえ
[00:55:09.079] 汗すげ汗かいてる俺汗ったなんかおい笑笑
[00:55:14.440] すげえ汗てきったやべえなんかも悪いこと
[00:55:17.559] してねえのに何も悪いことしてねえの
[00:55:21.440] においも悪悪いしてねのになんかパトカ
[00:55:25.480] たるみ感じだっ
[00:55:30.799] 今いやもうちょっとえいやもうちょっとさ
[00:55:35.520] これがタイプ1
[00:55:38.480] ダメージ
[00:55:40.599] ミこんばんは伸びるようん悪いことして
[00:55:44.760] ないんだけどねの者だ
[00:55:47.599] からに引きつける
[00:55:50.839] よの愛国者なのあいつ死んで欲しかった
[00:55:55.240] からん死んでほしいんでやだよいや死んで
[00:55:58.200] ないけどなんで笑笑えちょっとさもう
[00:56:02.079] ちょっともうやめようぜあのこれレベル
[00:56:04.640] 上げ中はもう良くないもうちょっとやだよ
[00:56:07.440] やだや
[00:56:10.640] だや
[00:56:12.520] だやだこれで笑じゃこれで違う違うこれで
[00:56:18.240] ねうじゃこれで
[00:56:22.039] あの視点でやられたらもちろんだめ
[00:56:27.359] あんな
[00:56:28.880] もんおかしいやろ満タンから一発で落ちる
[00:56:33.079] わけねえだろうがよなんかバグだよ
[00:56:35.839] 絶対レベルさ20あるんだよどんだけ強い
[00:56:39.760] んだあいつ何かあったのない
[00:56:42.599] ですないよないない
[00:56:49.359] ないポおい死んでねえつの生きてんだろ
[00:56:54.039] 俺いや生きてるじゃんおいお生きてん
[00:56:56.680] だろうがよ切り始まっ
[00:56:59.160] た切り始まりました
[00:57:01.839] よ切り始ましたおい生きてんじゃだってこ
[00:57:04.720] でも理由バするか笑そうあんまりそういう
[00:57:07.960] ことやってお前BANするからなおそう
[00:57:09.559] いうそういう嘘の情報を流すと
[00:57:11.160] プロパガンダだぞお前
[00:57:13.079] それBANするからなあんまり嘘の情報
[00:57:15.400] 流すと笑笑お前の首こっちがね持って
[00:57:18.720] るってこと忘れるのよリザポヨシスって
[00:57:21.640] なんかゴロ可愛いねリザポよしポスリザ
[00:57:25.440] ポヨシス
[00:57:27.240] でもないこと考えるやんリザポヨシスって
[00:57:30.000] いう神の名前ねそれえリザポヨシスって
[00:57:32.799] いう神の名前だよそのそのクリップのあれ
[00:57:35.559] はタイトルはリザポヨシスねポヨシス
[00:57:39.079] 可愛いポヨ
[00:57:40.799] シスヤチシスのノりリザポヨシスだよリザ
[00:57:44.960] ポヨ
[00:57:48.319] シスなんかでも全然出てこねえしなもう
[00:57:52.400] なんか行っちゃおっかな行っちゃう
[00:57:56.319] 頑張ったよ直しに塊
[00:58:00.559] ブッ11あいつら俺のこと好きなん
[00:58:05.760] よなんなんでそれ貼ったんだよ事実じゃん
[00:58:09.760] だって好きでしょ俺の
[00:58:12.839] こと
[00:58:14.720] 笑笑えちょっとねマジでさマジでさ
[00:58:18.839] ちょっとリザポ目つぶってくんないもう
[00:58:21.799] ちょもう無理俺まで今日わしたいのこれ
[00:58:24.559] ましたいやいや
[00:58:26.200] いやいやいやいやいやいや死んでないから
[00:58:29.039] いや見て生きて生きてるだろうだって目の
[00:58:31.160] 前にいるじゃん目の前に生きてるリザポが
[00:58:33.599] いるじゃねえ
[00:58:34.920] かるなそれはかるなそのいいけどもいや
[00:58:39.280] いいとかじゃなくて生きてるじゃん目の前
[00:58:41.000] に生きてるリザポがいるじゃないですか
[00:58:42.960] それがそれが何よりの証拠死んだら普通い
[00:58:45.960] ないよ
[00:58:47.000] ね命って1個しかないから死んだものを
[00:58:50.240] きらせることできないんだから生きて
[00:58:51.680] るってことは大丈夫すぎて
[00:58:56.400] とられるあれかもしん軽に始めたブラック
[00:58:59.799] 2
[00:59:01.599] がゲームじゃないです
[00:59:04.799] こう
[00:59:10.599] さんだから死んでない
[00:59:14.200] から楽に
[00:59:19.839] あろ勘弁してもいいべもう終そう
[00:59:25.039] ぜそうよもう
[00:59:27.680] これそうよもうそれ勘弁して1匹だけ1匹
[00:59:32.760] だけは許して1匹だけは許して
[00:59:36.599] ください1匹だけは許してもうこれもう次
[00:59:39.920] はもう次次やも18時しかもポケモンも
[00:59:45.200] こんだけ続くとさなあえおわそうってう
[00:59:49.160] 言わないえわすって言うべえわすって方言
[00:59:53.640] ちょっとね世は許してくれあの
[00:59:57.119] さおわすえもうおわすべこれって言うべ
[01:00:01.640] 言わないえわすって言わないのえわすって
[01:00:05.280] 言うべこれおわそうもうこれ今日わし
[01:00:08.119] ちゃおうみたいなす言わないえ言わないの
[01:00:11.280] 言なのこれわすっ
[01:00:13.640] て言わ
[01:00:16.680] ない言えよぶまてぶっつまっ
[01:00:20.039] て俺はポケモン1mmも興味ないからそれ
[01:00:23.559] でいいけどゲームさんがにれなねえだって
[01:00:29.000] もう無理だよ今からは今からは無理だ
[01:00:33.760] よ今からまた炎タイプ60レベまで上げる
[01:00:37.640] ともう1週間かかるからもうだって同見て
[01:00:40.200] よ
[01:00:41.160] 同どせ見てよ19人しか見てねんだ
[01:00:45.960] ぞなあもうポケモンこんだけ続くとやっぱ
[01:00:48.960] 誰も見なくなるんだ
[01:00:52.640] よがあるまでもコンのゲームとかそろそろ
[01:00:57.119] したいもん俺もやりたいゲームあるもん僕
[01:01:00.760] ドラキュラ君やりたいもん
[01:01:03.680] 早く僕ドラキュラゲームボーイ版の僕
[01:01:06.520] ドラキュラ君やりたいんだよ俺早くもう
[01:01:08.920] 今日す
[01:01:10.359] これ
[01:01:12.119] リポセガはまもうちょっとも先てセガも
[01:01:16.359] やるけどその前に本わやすぐせるやつ挟み
[01:01:23.359] たい
[01:01:26.160] やりもうRPGずっっとやって
[01:01:36.640] からちょっとさ分かった本当にもうあの
[01:01:40.119] あのこれでしての行ってねない
[01:01:42.920] の陸で
[01:01:45.440] アクションあったかないやあるとは思う
[01:01:47.799] けどバロバロすんでよバロロラン
[01:01:53.880] やろリクエストなんかあった
[01:01:57.160] アクションついにイスの出番かどこが
[01:02:00.720] アクションなんだ
[01:02:02.000] よどこがアクションなんもうRPGは時間
[01:02:06.240] かかっからさいやもやるけどねーも言って
[01:02:09.799] た
[01:02:12.119] ポありそやったらガチで手が出ちまうかも
[01:02:15.559] しれんガチで手が出るってん
[01:02:18.440] だあフェルガナはアクションなんだへえ
[01:02:22.559] 許さないに滅した復活許すわなんでお前が
[01:02:28.720] 主催になってるんだ
[01:02:30.559] よなんでお前が裁判長になってんだ知ら
[01:02:33.559] ねえよなんだそれなん何の権限があって
[01:02:35.960] お前が決めてんの
[01:02:39.599] それだいぶなんか偉そうになったけど急
[01:02:42.119] 次第ではとんでもなくあそうなん
[01:02:45.760] だいいっすねの記憶を呼び戻すために
[01:02:49.559] ブブカの話に戻してもらえるもいいもう
[01:02:52.760] ブブカの話はいいよ今日1コメ取ったから
[01:02:55.359] な機嫌がいい
[01:02:58.799] ねいやもうリザポイはもう許してくれもう
[01:03:02.119] もうもういいもめどくさいからも行きます
[01:03:04.039] これでいや今のはなしにしようもうやだや
[01:03:08.400] だよもう育成したくないんだよ
[01:03:11.240] もう辛いんだよ
[01:03:15.160] もう育成したくないんだよ
[01:03:21.200] もうもう無理だよマジで無理
[01:03:27.200] だって3日はかかるぜこっから
[01:03:30.640] また63レベのポケモン作るって頑張れ
[01:03:34.720] 頑張れ人死ぬほど強
[01:03:39.880] し炎タイプがおらんと
[01:03:42.720] さこのタイプがおらんとあかんやんだっ
[01:03:47.039] ててんだろもう時には妥協も必要ってこと
[01:03:50.640] だよ人生には時には妥協することも大事
[01:03:53.480] ってこと
[01:03:56.920] だあんなおかしバグだもん絶対何このクソ
[01:04:01.720] エロいクソエロい広告が出てる俺のウキに
[01:04:05.160] 勝手に貼るなよ俺のウキに60レベ
[01:04:08.000] オッケー巨もでも回復封じは回復封じって
[01:04:13.720] さアイテムあえこれってさ敵のアイテム
[01:04:18.799] 仕様も封じれるのそれとも回復の薬とかは
[01:04:23.119] 防げないいやあの視点のって使ってくるや
[01:04:28.319] んいいらねか別に
[01:04:40.799] いや何やってん
[01:04:44.760] のいらない未来よ
[01:04:47.880] いるうんそう言われると未来うちいらない
[01:04:51.440] 気もするんだけど
[01:04:53.520] ね止まるしな
[01:04:59.880] 回復時いら
[01:05:03.359] んもうなんかどうすこれもうなんかなん
[01:05:06.520] ならなんかさもうさなんならだよなんなら
[01:05:09.720] ねくこんばんはばちゃんこんばんはもう
[01:05:12.720] いい加減わしたいんですけど
[01:05:14.599] こればちゃわすね何か物事をさ終わらせる
[01:05:18.160] 時にさ追わすって言うよね今日これおわす
[01:05:21.240] べって言ったらさなんか何わすって何って
[01:05:24.480] 言われたんだけど高言かこれおわすっ
[01:05:28.760] てねもうこれもう今終わりにするからね
[01:05:32.839] うん言わないな言わないんだ通じるけど
[01:05:36.799] 使わないええこれ栃木の方言これわすて弁
[01:05:40.520] じゃない石橋弁とか局所的すぎる
[01:05:49.200] でしょウナちゃん60になったらもうさ
[01:05:51.880] いもかなウナちゃん60になったらさもう
[01:05:55.200] さ
[01:05:57.520] よくね挑んでもちょっと呪文唱えて何がよ
[01:06:02.760] リザ
[01:06:04.480] ポスリザポヨシスねうんポヨリザポヨ
[01:06:12.039] シスちょっともうでも勘弁しちょ勘弁して
[01:06:15.319] ねもう許してねもういいみんなに嫌われて
[01:06:18.440] もいいなんかあこいつメンタル連れてきて
[01:06:20.640] いいよえ嘘でしょメンタル連れてきていい
[01:06:23.880] んだったらリザポスでいいんだけど
[01:06:26.200] ああでもなリザポイタイプ的に必要炎と
[01:06:29.599] 飛行って絶対必要なん
[01:06:33.559] ねもうさクリアしたいからさもういい
[01:06:38.799] べいい
[01:06:43.240] よなんかしかもなんかあんまりまだ
[01:06:46.920] ちょっとさ配信始まってあんまり時間が
[01:06:49.880] 経ってなくてさんのあのエンジンがかかっ
[01:06:53.960] てなくてさ全なんかい
[01:06:56.319] たらどう
[01:06:59.119] なるなんでそういうこと言うんだよなんで
[01:07:02.400] そういうこと言うの確かにじゃああいつら
[01:07:05.119] は何だったんだってなるよなこのままでも
[01:07:07.400] いいけどこの過去は消せないのは
[01:07:09.480] かわいそうずっと引きずられるこれえリポ
[01:07:14.160] までも必要でしょ
[01:07:18.799] リポえもうやだよまた俺これまた育成すん
[01:07:23.160] のだるいって
[01:07:26.279] 育成だるい
[01:07:28.839] よ5匹で
[01:07:38.079] 行くなんかもっとさもっとでっかい声出し
[01:07:41.720] てぶっ倒れるぐらいのリアクションしねえ
[01:07:43.839] となんか死に存なんだってレ半レいやどう
[01:07:50.240] すっか
[01:07:51.920] な地獄ブス地獄ステア400どっちも地獄
[01:07:56.480] だなポケモンやるたびまあでもそうだよ
[01:08:01.680] なまだめだよねいやダメだよ
[01:08:08.160] ねいやうんダメだよ
[01:08:11.920] ねダメだと思う命って1個しかないしそう
[01:08:17.279] いう運命だったんだよなあるんかないだ
[01:08:19.839] からやっぱそのあそうだからこれで
[01:08:21.960] 生き返らせて使ってたら愛はないな邪魔
[01:08:24.880] いやうんダメだと思うわダメだと思うけど
[01:08:29.159] もちろんじゃあいいわかったリザポ使わ
[01:08:30.880] ないけど5匹で行くわいねビブレリザポ
[01:08:34.199] 死んだんだよ1番強えやつがなんで1番
[01:08:36.880] 強えやつが死ぬの
[01:08:41.199] 毎回もしだよこのパーティーでリザポが
[01:08:44.359] なくなったとしてもガブがいるからガブ
[01:08:47.080] トドマンてんちウナちゃんにそういう言い
[01:08:50.040] 方になるんだ
[01:08:52.480] ねリポ
[01:08:56.759] なんで死ぬんだよどんだけ強んだよあいつ
[01:09:01.120] マジで一発だよ満タンから
[01:09:17.600] なくマジでさ弱点急所だ一発は耐える
[01:09:23.679] だろう耐えない
[01:09:26.159] 4倍じゃないよただ耐えないのレベルさに
[01:09:30.600] 殺されたんだからちょうどいいじゃま確か
[01:09:32.640] にこれ呪い
[01:09:33.759] かかつて俺が殺してしまった霊に殺された
[01:09:38.920] ね怖えな女って復讐され
[01:09:47.239] た分かったじゃあいいよリザポは使わん
[01:09:51.880] からでも
[01:09:53.840] なタイプでょを飛ぶなしてことは自分の
[01:09:57.800] ポコンに気流し
[01:10:00.400] てそんだけやばいってことねそんだけやば
[01:10:03.840] いってことね分かっ
[01:10:08.960] たいやマジか
[01:10:13.840] よだったらもっと大きなリアクション取っ
[01:10:16.560] とくべきだった
[01:10:18.120] なだったらもっとでかいリアクション取れ
[01:10:20.800] ばよかったなんかもうあまりに突すて
[01:10:24.600] なんか
[01:10:27.760] も死ぬという最悪のもうしもう少し
[01:10:32.679] リアクション取りたかったよ
[01:10:35.480] ねいたの2.くだったの
[01:10:40.560] に
[01:10:43.360] いやいやでもなもうやっぱだめだよね人生
[01:10:46.880] プレイだもんねいやリポなしじゃもでも
[01:10:50.360] 無理だろうなやワンチャンでんない
[01:10:57.400] 静かに行っただ死ぬと思わんもんマジで何
[01:10:59.920] が何起きたかわかんなかった
[01:11:03.000] よマジで何が起きたかわかんなかった
[01:11:27.280] 全然レベル上がんないねしんどいな
[01:11:30.840] これもうあれか
[01:11:33.199] なあ幸せ卵持たせよっ
[01:11:37.880] かお前はもう死んでるから
[01:11:41.560] な違うシプレトじゃないあれ幸せ卵って誰
[01:11:45.480] が持ってた
[01:11:47.600] けガブが持ってんのか
[01:12:01.000] これを持たせ
[01:12:03.560] ましょう間違えためどくせえなウナちゃん
[01:12:07.040] がレベル60になったらなもういいんじゃ
[01:12:09.920] ねえかなと思うんだ
[01:12:11.960] けどしての1周で終わりでや
[01:12:16.159] だ竜の牙竜の鱗ドラゴンタイムえ
[01:12:24.159] うんもう正直に言うわリザポヨが死んだ
[01:12:28.040] もうマジで終わってるリザポヨが死んだん
[01:12:30.320] だよやばすぎるでしょマジで終わってるん
[01:12:34.960] だよなクソ萎えマジ
[01:12:40.159] でまあでもねえ死んだの死んだつってん
[01:12:44.600] じゃんかよ死んだ
[01:12:47.000] よ見てたべお前ああ
[01:12:51.239] ああああだよ本当にもう
[01:12:56.920] どうしたもんかな
[01:13:10.480] これも死ぬししかも殺されたの霊ね霊の
[01:13:14.440] ポケモンあのあのなんだっけ
[01:13:17.480] シルドにやられ
[01:13:19.360] たいやもうリポだよ
[01:13:25.400] なんか
[01:13:28.239] あの野生の霊に野生の霊にやられた野生
[01:13:31.679] じゃないけどね他のトレーナー
[01:13:35.760] のまこれで行くかちょっと
[01:13:39.679] あー
[01:13:45.800] もうそうだった戦わなきゃよかった根が
[01:13:51.320] 減ったってこと
[01:13:54.040] そうられたってことうんああくそあいいん
[01:14:05.040] かはええよ
[01:14:09.360] な寝取られもでしか抜けないのかお前は
[01:14:12.520] いや寝取られものやだよお前にはわかん
[01:14:15.800] ねえだろ本当に寝取られたものの気持ち
[01:14:17.800] なんてみ寝取ら
[01:14:20.320] れ本当に寝取られたものの苦しみを知って
[01:14:23.400] も言えるかそれなあ
[01:14:26.199] キアパン来た
[01:14:27.800] ねキアパこれ一旦貯めるやつだよね性癖
[01:14:38.120] です人がすることだ本当だよ人間じゃねえ
[01:14:42.199] よら取りられするやつ
[01:14:44.880] なんてうちゃんアパアパ一旦かかる
[01:14:50.520] から頭おかしいお前がいいつったんじゃね
[01:14:54.280] かかるからなこアパ無理だよねアパドリル
[01:14:57.320] か
[01:14:58.239] よ変わりえどうすっかな飛び蹴り
[01:15:03.639] 神中絶対いるんだよ力忘れらんないっしょ
[01:15:06.600] キアパいらねんじゃねいやキアパいらん
[01:15:09.679] やろだめだこんな無理無理無当たんない
[01:15:11.960] 当たんないあいらないいらないキア
[01:15:18.480] いらやぱいりませ
[01:15:22.639] んうちゃんレベル6まで頑張るかいやで
[01:15:29.159] もリザぽよどうしようかなまだ迷ってんだ
[01:15:35.600] けどまあでもそしたらなリザポを使って
[01:15:39.239] いいんだったらなあれだよなあのなんだっ
[01:15:42.360] けえっとメタグロスメタグロスも別に
[01:15:45.760] じゃあなんであいつは使わないのってなる
[01:15:47.520] もん
[01:15:49.719] ね迷うって何ごめん迷うとかないよね
[01:15:53.280] ごめんごめんごめん
[01:15:55.320] ごめんごめん迷うとかなかったわ
[01:16:00.080] ごめんああくそどうすっかなった
[01:16:12.840] なまあいいやちょっともう分かったもう
[01:16:16.520] リポはいいよもう死んだんだあいつはな
[01:16:19.120] あいつは死んだもう使わ
[01:16:21.400] んだけねえよの王がさ王の最後はあっけ
[01:16:26.880] なかったらマジ
[01:16:29.880] で
[01:16:31.639] いやもうこのゲームきついむずすぎるん
[01:16:36.159] だっ
[01:16:39.280] てでもこれ天皇で全滅したらどうすん
[01:16:44.440] の四天王で全滅したらやばい受けるよね
[01:16:49.239] 向こう1週間ところじゃないも休止一旦
[01:16:51.960] 休止だよね多分ねちゃまくこんばんは
[01:16:54.920] こんばんはりちゃんお疲れちゃん
[01:16:56.440] ありがとう
[01:16:57.400] いらっしゃい霊の時そんな名残りを
[01:17:06.639] しまだ付き合いが浅かったからねそ
[01:17:09.360] カラオケ配信でもさらカラオケ配信しよっ
[01:17:11.719] かそしたらポケモンの歌歌おういやり
[01:17:15.520] 惜しかったべよ寂しが悲しがってたよ
[01:17:18.080] うわあ
[01:17:19.199] レビえゲームキューブ買ったのいい
[01:17:22.280] ねゲームキューブはいいよ
[01:17:26.440] ゲームキューブなんゲームは何かあったの
[01:17:28.199] ソフトソフト
[01:17:30.280] ソフトゲームキューブ好き
[01:17:32.920] や何何何ベースベースあカラオケ配ベース
[01:17:36.159] 引こうかそしたら全滅したらゲベースすら
[01:17:39.280] ザベースよかったって言ってたしな
[01:17:42.639] メンタル死んだ
[01:17:44.000] 時
[01:17:45.679] 最悪メンタルが死ぬぐらいだったらレが
[01:17:48.560] 死んだがかった
[01:17:52.679] 最悪すぎるちゃんそんなことないからね
[01:17:57.120] そんなことない
[01:17:58.719] よみちゃんが死んだ時は一番悲しかったな
[01:18:01.840] オレンジ色のゲームケーブいいね俺は
[01:18:04.600] シルバー僕は
[01:18:06.320] シルバーブロック
[01:18:10.040] しよやめてくれよ
[01:18:13.199] 笑笑えりちゃんの何
[01:18:16.639] あのなんかやりたくて買ったの嘘
[01:18:21.120] て息を吐くように嘘つくからな
[01:18:26.880] いや12時ぐらいまでやったらもうレもう
[01:18:29.760] 行きたい1回嘘つくとそうなんだよ嘘って
[01:18:32.760] 1回つくとつき続ける方がなくなっちゃう
[01:18:34.719] からね自分の首しるなもんだから嘘はつか
[01:18:37.719] ない方がいいよみんな本当は死んだのに
[01:18:39.920] 死んでないとかねわデラックス最高だよな
[01:18:43.440] スマブラデラックスが一番いいよね分かる
[01:18:46.440] いっちゃん
[01:18:47.480] 好きカービーのエライとかもめちゃめちゃ
[01:18:50.000] いいよなゲームキューブの配信してえな
[01:18:52.320] なんかやろっか
[01:18:53.719] なクエストのにんリクエストのあのダーク
