[00:00:00.240] に
[00:40:29.640] 俺は先に行くからなお前もっと強くなって
[00:40:31.480] おけお前だよ強くなってくのはベルすげえ
[00:40:34.760] 小顔ベルすげえ小顔だなあれ小顔効果狙っ
[00:40:37.880] てるだろうなこういうのれのれカットみて
[00:40:40.119] なあの女の子の地雷カットだけどその子は
[00:40:43.079] まだ弱いから戦わせてあげないといけない
[00:40:45.119] んだよ界だ負けたものに用しないですで
[00:40:49.000] この配信独自のルールとして人生縛り死ん
[00:40:51.760] だポケモンは逃がさなきゃいけませんそれ
[00:40:53.680] はね今までと一緒ですよはいやってきます
[00:40:55.920] からねカットヒメカットそうそうそうひ
[00:40:58.400] カット顔ちっちゃく見せるやつなさて勝負
[00:41:00.560] をして傷ついたポケモンのためポケモン
[00:41:02.040] センターに行って元気にしたみ
[00:41:03.480] [音楽]
[00:41:11.000] てるうポケモンセンターはどこの街でも
[00:41:14.319] 一緒だよねじゃ入ろエロいなんかうるさい
[00:41:17.440] なんか女の子に言われたいじゃ入ろっか
[00:41:21.359] 言われたい女の子に言われたい言葉
[00:41:23.040] ナンバーワンじゃ入ろっかみなリードして
[00:41:26.839] くくれるいいです
[00:41:29.079] ねミヒまは生き残れよミヒまは絶対殺し
[00:41:32.960] ちゃいけません
[00:41:34.400] ねポケモンセンターはただでポケモンの
[00:41:36.920] 回復ができるのこれ国営期間だろうな多分
[00:41:39.079] なこいつあの公務員ですこの女こう見えて
[00:41:41.440] ここはお金を取ってませんこれ公務員です
[00:41:43.960] ね税金泥棒がおポケモンが弱くなったら
[00:41:46.839] 遠慮なく預けるといいよ行こっか言って
[00:41:50.599] ください是非ねぜひオフ会の時みんな俺に
[00:41:52.720] 言ってくださいホイホイついてきますから
[00:41:55.240] えポケモンの回復をするポケモンー
[00:41:58.040] ちょっと最初のポケモン放流したらどう
[00:42:00.200] なんのあ全滅したら全滅してそうだよなだ
[00:42:04.960] からポケモンがそうだから手持ちに6匹
[00:42:09.359] までポケモン持てるんすよ6匹まで
[00:42:11.520] 持ち歩けの1回のそう1回の
[00:42:15.440] えっとバトルで6匹までポケモンを要はだ
[00:42:18.560] から戦って負けたら次出して6匹までなの
[00:42:20.960] お互いねで6匹全滅してポケモン預ける
[00:42:25.000] 場所があんのそれ以上はあの要は
[00:42:26.440] モンスターさんみたいな牧場みたいな
[00:42:28.680] パソコンの中なんだけどそこの中にいる
[00:42:30.880] モンスターがいればそっから引き出して
[00:42:32.520] トトを育てればまだ継続できるけどそれ
[00:42:35.359] なしの状態で全滅して手持ちでポケモンい
[00:42:37.800] なくなりましたってなったら最初からです
[00:42:40.760] その場合は最初からになりますこのこの
[00:42:42.599] 配信で1番辛いのはモンスターが増えて
[00:42:45.359] くるまでそれはマジできつい全滅できない
[00:42:47.559] んね絶対ねはい次はパソコンの説明これが
[00:42:50.079] ボックスですね預けるところ初期で死ぬの
[00:42:53.079] やばいよ初期で死ぬのやばいマジでこの
[00:42:55.319] 四角いいのがパソコントレーナーなら誰で
[00:42:57.319] も使えるの連れてるポケモンも預けたり逆
[00:42:59.680] にパソコンに預けたポケモンを引き出し
[00:43:01.280] たりするんだよ次は
[00:43:05.220] [音楽]
[00:43:06.440] あっちここはフレンドリーショップあ一緒
[00:43:08.920] になってんだっけここは道具を売ったり
[00:43:11.240] 買ったりできますえもポケモンを捕まえる
[00:43:13.480] 時に使うモンスターボールもフレンドリー
[00:43:15.000] ショップで買えるんだよとえそう
[00:43:16.960] モンスターボールっていうので捕まえる
[00:43:18.480] わけですよこれ最初はくれますね
[00:43:21.000] モンスターボールありがとうございます多
[00:43:22.160] 5個ぐらいくれたんじゃない次は今あげた
[00:43:24.720] モンスターボールの使い方も知ってるんだ
[00:43:26.400] けどな俺それは確かに変わんねだろさすに
[00:43:29.800] ま要はここがまなんとベースキャンプ
[00:43:32.240] みたいなもんだなその街の宿屋とえ
[00:43:35.480] アイテムショップが一緒になってる施設
[00:43:37.079] ポケモンセンターでございます
[00:43:42.160] はいベルお姉ちゃんちょっと好きかも俺あ
[00:43:46.359] 誰ママだあ初めましてあなたがベルちゃん
[00:43:49.599] ねでレは水丸を選んだんだなんだがいい
[00:43:53.839] 感じおっと忘れるところでしたほらこれ
[00:43:56.359] ラニンあらランニングシューズもくれるん
[00:43:58.480] だいいですねランニングシューズB
[00:44:00.880] ダッシュができるようになるというねよし
[00:44:02.920] ぴったりじゃ取り扱い説明書なかなかあの
[00:44:05.720] あのなんかそのあれだよなスニーカーに
[00:44:07.880] ついてる取り扱い説明書ってなんかその
[00:44:09.720] なんかあれだよめちゃめちゃおしゃれな
[00:44:11.480] カードみたいなやつだよなそれ呼ぶとこ
[00:44:13.160] ねえだろそんなにランニングシューズはB
[00:44:15.319] ボタンを押すことで今までより強早く
[00:44:17.200] 走れるようになりますランニングシューズ
[00:44:18.920] を吐いて思いきり走りまくろうこれで
[00:44:20.559] あなたと身どこまでも駆け抜けられるわ
[00:44:23.720] ねの妹あの私からはこれをめちゃめちゃ
[00:44:27.079] いい妹じゃんこいつさては俺のこと好きだ
[00:44:29.720] な近所のお兄ちゃん好きみたいな感じだも
[00:44:31.480] 多分なおレはタウンマップを手に入れたレ
[00:44:34.559] はタウンマップを大事なポケモンに大事な
[00:44:36.839] ポケットにしまったいい子だ
[00:44:38.640] ねねえねえそのターンマップどうして2つ
[00:44:41.280] もあるの1つはお兄ちゃんに渡してほしい
[00:44:43.760] のそうね海を超えるまで一本道とはいえ
[00:44:46.200] タウンマップがあると便利よねだってて
[00:44:47.880] タウンマップを使えば一種地方のどんな
[00:44:50.200] 一種地方の様子もばっちり分かるもんね
[00:44:52.839] なるほどねえへへなんだかビてるこっち
[00:44:55.040] まで嬉しくなっちゃうねさあ次に向かうの
[00:44:56.800] は19番道路だよポケモンの捕まえ方を
[00:44:59.160] ばっちりバチこり教えますからねバチこり
[00:45:02.640] 教えてくれるらしいばっこりばっこ教えて
[00:45:06.440] くれるってポケモンの使い方じゃあママ
[00:45:09.240] 行ってくるよ行ってらっしゃい大切なもの
[00:45:11.880] と一緒にポケモンいろんなポケモンと
[00:45:14.000] いろんな人をその目で見てらっしゃい
[00:45:16.200] ジャン
[00:45:17.960] ゼリジャンゼリばっこバチコジャンゼリ
[00:45:22.119] 教えてくれるジャン
[00:45:24.319] ゼリあいいね走れるのいいすねでもこいつ
[00:45:27.440] なんか走り方なんか女走りじゃね女走おか
[00:45:31.839] なのかもしんねえな女走してるこうやって
[00:45:34.480] おか走りじゃん走り方が可愛いな
[00:45:39.559] こいつジャンゼリだねあなんでしょうか
[00:45:43.960] られんポケモン誰やねお前てあれ丸と一緒
[00:45:48.359] なんだじゃあこれは鼻遠慮めちゃめちゃも
[00:45:51.200] くれるこいつらの否定をしたねやばい
[00:45:53.800] やばい怒れるこれ何りをいただきました要
[00:45:58.000] は薬草ですねこれはねポケモンが気い続い
[00:46:01.200] たら無理せずポケモンセンターに行くんだ
[00:46:02.680] よありがとうございます行きます行きます
[00:46:04.400] ポケモンセンターねへえなるほどなるほど
[00:46:06.040] なえかえ壁の電光掲示に生じされる
[00:46:09.880] ニュースや街に関する情報を読むのが
[00:46:11.920] 大好きなんだよ
[00:46:13.440] はーおすげえこのこのカメラ移動すごく
[00:46:17.480] ないねすごいねこのカメラ移動お任せ安心
[00:46:22.920] ポケモン育てて50年3番道路育て屋あ
[00:46:27.520] 育て屋さんもありますと1月22日お
[00:46:29.880] すげえ合ってる新幹みたいひシティ晴れほ
[00:46:34.680] え19番道路晴れサンギタウン晴れえこ
[00:46:37.559] れってさあれなのかなあの天気って場所に
[00:46:41.040] よって変わるんじゃないのかなランダムな
[00:46:43.440] のかなあベルいるめちゃめちゃ小顔じゃね
[00:46:48.079] こいつおーいこっちだ
[00:46:51.040] よなんだかあの日の1番道路を思い出し
[00:46:53.920] ちゃうなこれ2年前の話してこいつがま
[00:46:56.559] 子供だった頃のはいそれでは説明を始める
[00:46:59.280] ねポケモン図鑑のページをね
[00:47:02.440] ポケモンポケポケモン図鑑のページはね
[00:47:04.640] ポケモンと出会うことで自動的に埋まっ
[00:47:06.319] てくのでポケモンを捕まえたらさらに
[00:47:08.079] 詳しい情報が追加されますということでお
[00:47:10.319] 手本お姉さんが実際にポケモン捕まえて
[00:47:12.359] 見せる
[00:47:13.520] よポケポケいいBGMだ
[00:47:17.800] なああああなんだっけこれ深田エ俺深田
[00:47:21.960] エって名つつけたちろなエエ懐かしいエイ
[00:47:25.640] じゃんじゃこれ笑笑深田エって名前つけた
[00:47:29.760] んだこれな顔似てんじゃん笑笑エに似て
[00:47:32.640] ないこれ深田エに似てべで下でなめるそう
[00:47:36.319] 引っかく下でなめるそう技が技が引っかく
[00:47:40.240] と下でなめろもこれも本人じゃん引っかく
[00:47:43.240] と下でなめるじゃんあいつってもうこれ味
[00:47:45.640] じゃんつってくそわかる引っかくと下で
[00:47:48.520] なめる
[00:47:51.040] なこんなもお前いたずら心
[00:47:57.160] あいいなチロ猫捕まえたいかもなまたなえ
[00:48:01.240] 耳え耳あるよ
[00:48:02.960] ね引っかくでしょたまにはたまには
[00:48:06.079] 引っかくでしょう
[00:48:07.680] よちろ猫捕まえられたんだよかったねさん
[00:48:11.200] 本人かでも
[00:48:13.319] それよかったポケモン捕まったよああのね
[00:48:16.760] 今のポイント説明するねまず元気な
[00:48:18.800] ポケモンは捕まえにくいの覚えておいてっ
[00:48:20.839] てた苦しかったよな確かになだから
[00:48:24.800] ポケモンの体力減らした方がいいだよ体
[00:48:27.079] ポケモンを自分のポケモンの技で眠らせ
[00:48:29.319] たり麻痺させたりするとさらに捕まえたく
[00:48:31.480] 捕まえやすくなるよお友達にタウンマップ
[00:48:33.520] を届けに行くんでしょ隣町のサギタウンへ
[00:48:36.400] はこのままはすぐ進めばいいよじゃあ
[00:48:39.160] たくさんのポケモンと出会ってたくさん
[00:48:40.800] 捕まえてねだってさだってさ
[00:48:44.480] みんなほうほうほうここから僕のがついに
[00:48:47.839] 始まったわけでございますとポケモン図鑑
[00:48:50.160] ってのはこういうことです要はこういう
[00:48:52.280] ことですこんな感じ今まで出会った
[00:48:54.280] ポケモンがこうあのどんどんあれなわけ
[00:48:58.079] ですようんどんどんあれなけ今ね
[00:49:00.160] ツタージャとミュ丸に会いましたはいミュ
[00:49:02.440] 丸は僕捕まえたあの捕まえてないポケモン
[00:49:05.000] ちゅのはなこういう風にあの名前と姿は
[00:49:07.319] 分かってんだけどこの高座体重とかなんか
[00:49:09.880] 説明を読むことができないんだよ捕まえた
[00:49:11.559] ポケモンはこういう風にあの詳しく分かる
[00:49:14.760] わけみまラコポケモン高さ0.5m重さ
[00:49:18.280] 5.9kgお腹にあるお腹にできるホたち
[00:49:21.559] ホタちって何まずホタのえホタではなくて
[00:49:25.720] 第19
[00:49:27.280] 8kgホタちってなんだよそれの説明をし
[00:49:29.920] てくれお腹にできるホタは戦う時に戦う時
[00:49:33.640] だけではなく硬い木実を割る時にも使う
[00:49:36.040] なるほどなホタちって何ホタちってホタで
[00:49:39.000] はないのホタホタ
[00:49:41.799] 可愛いホこれいちい捕まえたら測ってる
[00:49:45.839] こうやってなこうやって
[00:49:47.640] なさあ行きますよ色とか出てきたらくちい
[00:49:51.920] けど
[00:49:53.520] なこうにせおんだっけ
[00:49:57.130] [笑い]
[00:49:59.880] なんだっけこれなんかこれの進化系で俺1
[00:50:03.599] 回なんかあのぶっ殺されてるんだよな確か
[00:50:06.200] なみいわとサイズは
[00:50:11.160] の俺もなミホクあミルホックミルホックに
[00:50:15.160] ぶっ殺されてんだよこんばんはこちゃん
[00:50:17.640] こんばんはあロマンこんばんは運もいるん
[00:50:19.839] じゃないのわかんねけど進化
[00:50:22.119] 系のポケモン出てくるのしなディズニー
[00:50:27.960] えでもさ何捕まえよ目真っ赤だよなこいつ
[00:50:32.720] なすげえ目充血し
[00:50:37.599] てるこれどうする
[00:50:41.119] 捕まえるまだなまだなんか別に捕まえる
[00:50:44.200] ほどじゃねえんだよなまだ捕まえるほど
[00:50:47.160] じゃねえなしてあげたいロートGなあ
[00:50:49.520] ロートGあれ俺ロートGどこやったっけ
[00:50:51.920] あれあたたたたたロードGねこれねロード
[00:50:55.839] Gさんこれちゃまめこれ初めて初めてくく
[00:50:59.799] こんばんは水でっパウ水平覚えたよ水っぺ
[00:51:05.280] 水平覚えたけど
[00:51:09.280] 水平なんか捕まえたよななんかこ
[00:51:11.680] れっていうポケモンいないのこれここ
[00:51:15.160] ああエイミしかもメスだどうしようエイミ
[00:51:22.260] [音楽]
[00:51:23.680] 行くお前のアイコンな
[00:51:27.720] ちょっと待ってあほらほら引っかくエだっ
[00:51:31.960] たら引っかかれたい俺も甘してくれ甘あ
[00:51:35.520] 耐えるえエイミ
[00:51:37.280] 行く早速捕まえる
[00:51:42.440] エイあ今回みかにしよっか名前ねあこれ
[00:51:47.799] 普通にDSですDSDS
[00:51:50.720] ソフトみかゆにしよっか今回はちょっと
[00:51:56.390] [笑い]
[00:51:58.119] みか
[00:51:59.520] わお10個もくれてる
[00:52:03.119] 優しいまトリマちょっとチョロ行かせて
[00:52:05.839] くれチロ可愛いからメス
[00:52:10.760] だしえよしゃいや今回みかわですちょ待っ
[00:52:16.720] ておめえらの好きなAB教えてくれよな5
[00:52:19.240] 文字で5文字以下猫可いな可愛いいよね
[00:52:22.839] ロネ超悪る
[00:52:25.520] ポケモンこれさ誰が誰がこれ設定したの
[00:52:29.160] この何々ポケモンっておい何々ポケモンて
[00:52:32.480] 誰が設定したんだよこれめちゃくちゃ
[00:52:34.200] めちゃめちゃあれじゃねえかよ
[00:52:36.680] めちゃめちゃあれじゃねえかよなんかこれ
[00:52:38.760] 性格お前が悪だよこんなのつつけるやつ悪
[00:52:42.079] ポケモンて可愛らしいさで油断させ大事な
[00:52:45.079] ものを盗むのは人の困った様子を見たい
[00:52:47.079] からかいあダメにされたいこの子にに悪な
[00:52:51.960] お前らの好きなAV女優AV女優じゃねえ
[00:52:54.799] だふざけんなおAVジじゃねえだろうか
[00:52:57.720] おいわかんねけどなあと10年もしたら
[00:53:00.040] もしかしたらそっちに行くかもしれない
[00:53:01.240] けどなわかんないけどな笑笑わかんねけど
[00:53:04.520] な泉マナ泉まあさマナも好きだけどね俺族
[00:53:10.640] じゃなくだからおだからおいだからさおい
[00:53:13.000] 森本ユ6文字じゃねえかもそれえこえこに
[00:53:16.920] しようじゃねえけど俺えこ好きだからえこ
[00:53:19.599] にしかもえこじゃなくてエなこりんに
[00:53:21.440] しよう俺キモいからエなこファンだからエ
[00:53:23.839] なこりんにしようえりえこりんリンつけよ
[00:53:27.520] リンあぶちゃった
[00:53:30.400] よえこりんにしよう俺えこ好きだもんだっ
[00:53:33.319] てめでえこ日なのあるエナリあるよね
[00:53:37.920] エナリ片切りエリカはいねつの
[00:53:42.119] エナリ
[00:53:44.400] キモ
[00:53:46.640] えりエなり好きえこマジ可愛いからでも
[00:53:50.640] えのこ
[00:53:52.040] 可愛いちょっとステータス見ます
[00:53:55.440] か
[00:53:57.760] なりすげ芸能人ばっかじゃねえか俺の俺の
[00:54:01.599] 手俺の手持ちよ芸能人ばっかじゃミヒGT
[00:54:05.319] とさエナこりん地上派に出てるAV女優
[00:54:08.599] しか知らないちょっと引いてるいいねエナ
[00:54:11.520] こりん親連ん最高だね引っかくと鳴き声
[00:54:15.400] いいんですこんなんでいいんです最初は
[00:54:17.920] とりあえずしらなめるをろ覚えてほしいす
[00:54:20.680] ねキも入れる深キも入れたいな俺が産んだ
[00:54:24.880] ちょっと引いてる引くな
[00:54:26.920] あ激流ねった2人が共存してて笑う泣き声
[00:54:31.240] め鳴き声いい声で泣くなおいい声で泣く
[00:54:37.680] ねあのこれがあのステータスですね
[00:54:40.400] ステータス攻撃防御特攻特攻特攻素早さで
[00:54:43.920] 特性ポケモンには1個特性ってものがあり
[00:54:46.440] ますこれは技とか関係なしで常に備わっ
[00:54:49.000] てる能力みたいなこの子は激流という能力
[00:54:51.640] がありましてピンチの時に水タイプのえ技
[00:54:54.000] の威力が上がりますえタイプ水にはあの技
[00:54:56.720] にはタイプってものがあってあのまよっ
[00:54:59.440] たらこないだのさあのまさかポケモンの
[00:55:01.880] 説明するのにそっちなつと思わなかった
[00:55:03.319] けどさ
[00:55:04.440] あのあれよあのなんだっけクーロンズ
[00:55:07.160] ゲートと一緒クーロンズゲートのあの属性
[00:55:09.079] みたいな感じあのきあのもっかドゴン水
[00:55:12.200] もっかドゴ水ねまさかこれの説明でそっち
[00:55:14.440] 出てくると思わなかったけどねあっちの
[00:55:16.240] 説明でこっち出てくんなら分かるけど
[00:55:18.319] こっちの説明であっち出てくると思わ
[00:55:19.880] なかったなあわからないからやめてま
[00:55:22.119] もっかドゴン水みたいな感じ
[00:55:24.559] 笑笑分かりやすいだろこれ分かりやすいな
[00:55:27.000] うん水は炎に強いんだよ混乱させないでま
[00:55:30.400] そんな感じですそんな感じです蔵冷蔵庫は
[00:55:33.240] 死んでも冷蔵庫にはならないごめん死んで
[00:55:35.119] も冷蔵庫にはならないけどさあ行き
[00:55:37.520] ましょういや楽しい楽しい旅が始まったな
[00:55:40.720] これトレなこれもう戦えんのか
[00:55:43.359] なあどんだけここ多いんだここ盛り上がっ
[00:55:47.640] てるの
[00:55:48.640] 嬉しい久しぶりのポケモンだからな誰も
[00:55:51.799] 知らないクロズゲーあの名作クーロンズ
[00:55:54.000] ゲート知らないエの出値エナコリンのここ
[00:55:58.039] 出世値か
[00:55:59.730] [音楽]
[00:56:01.559] ここエナコリンマジ可愛いから
[00:56:04.480] なにゃ俺いつもTwitterで流れて
[00:56:07.280] いくとにゃーってしてるにちゃー糸引い
[00:56:11.039] てると思うミヒまる育てるのもいいんだ
[00:56:13.640] けどであのポケモンバトルっていうのは2
[00:56:18.119] 種類あるんす
[00:56:19.440] よこれ野生のポケモン野生のポケモン草村
[00:56:23.000] とかにどんだけえチョロでこしかいねんか
[00:56:25.599] ここなあにちゃにちゃ
[00:56:28.520] ガンバさん
[00:56:32.599] ニー水鉄砲や水鉄砲ビシャビシャにし
[00:56:35.760] ちゃうからもうポケモンバトルがエ学習
[00:56:38.799] すると全部エの顔になる何それ何それ
[00:56:41.760] そんななん
[00:56:42.500] [音楽]
[00:56:44.559] のまあまあまあまやっていきましょうね出
[00:56:47.839] やすいポケモンなんやねそうだねそうだ出
[00:56:50.319] やすいっていうかそこしかいないんじゃ
[00:56:51.799] ない最悪このねポケモンてこの草の中に
[00:56:54.640] しか出てこないよこのフィールこと出てこ
[00:56:56.680] ないだからそそう避けてけば最悪にあの
[00:56:58.400] 戦わなくて住むってこともあるねはい傷薬
[00:57:01.200] あざ何これ拾ったところグラフィック
[00:57:02.920] なかったっけすぎて何人取り込んでてもえ
[00:57:05.280] ないわかるそうなだあのさ段差ジャンプっ
[00:57:08.000] て知ってる知りませんそうなんだじゃあ僕
[00:57:10.200] に注目この段差の上から
[00:57:13.440] ぴーん浜口見てじゃんカもそうらしいね笑
[00:57:17.119] ミカもそうなんだね段差を飛び越えたら
[00:57:19.480] 近道できていいでしょそうなんですこう
[00:57:21.559] いう風にフィールドには一方通行の段差が
[00:57:24.240] あるんだよこれは近道にもなるけどびえ
[00:57:27.359] うれな
[00:57:28.920] 海
[00:57:30.880] ぴそこのトレーナー誰だお前え何これ
[00:57:34.599] ジライヤみたいの出てきたあやしばらく
[00:57:37.319] おいジライヤ出てきたんだけど
[00:57:39.400] ジライヤアデクアデクって誰だっけ全然
[00:57:42.680] 覚えてなんかいたねこの人いたねなんか
[00:57:44.640] 前回もなんだっけこの人に出て出てきた
[00:57:47.680] 全然覚えてねえけどなんだ誰だっけこれ
[00:57:50.480] なんかジムリーダーかなんかだったよ
[00:57:53.359] な
[00:57:55.119] ねイくみめるって誰イくみめ煉獄さん
[00:57:58.319] みたい確かあれだ煉獄コアじゃんねコアで
[00:58:02.400] 出てきたんだけどね俺煉獄コア嫌いだから
[00:58:06.640] やめてほしいだ一種チャンピオン
[00:58:09.280] チャンピオン
[00:58:10.359] かこれあの前回2年前やった時は誰も煉獄
[00:58:14.920] コアって言わなかったのにこの2年経っ
[00:58:16.839] たらもう俺煉獄さんより煉獄コアが出てき
[00:58:19.280] たからうんの方だろ笑メルルメルル知ら
[00:58:23.359] ないポケモンと共に歩むその素晴らしさを
[00:58:26.200] 皆に伝える最強なポケモントレーナーよ草
[00:58:30.280] ねえこれ詩人逮捕されるお前さんはほう儀
[00:58:35.480] のレというの
[00:58:37.559] か匂いかかれてるくんかくんかクンかお前
[00:58:41.039] さんの見なかなかいいポケモンだなだが
[00:58:43.760] トレーナーであるお前さんとはお前さんは
[00:58:45.640] ちょいと未熟よしわしちょいと鍛えて
[00:58:47.880] やろうわしについてこいエロ仙人やんけ
[00:58:50.599] 螺旋ガ教えてくれん
[00:58:52.039] のついてこいって言って置いてかれた
[00:58:54.520] サンギタウン来ました
[00:58:57.400] あいい
[00:58:59.359] 音楽そうだねんお前さんのポケモンは元気
[00:59:02.079] かトレーナーのお前さんのため頑張って
[00:59:03.720] くれるのポケモンだいつだってわってやら
[00:59:05.599] んとなわしの家はまだまだ先曲いいねお前
[00:59:09.000] さんよりお前さんにポケモンによるかどう
[00:59:11.559] かはあちゃうポケセポケセってお前側が
[00:59:14.799] 略すな初心者だぞこっちポケモンセンター
[00:59:17.240] 略してポケセねポケセによるかどうかお前
[00:59:19.680] さんに任せるわいまよりましょうか一応ね
[00:59:22.079] 人生プレイなんでね人生プレイなんで常に
[00:59:24.680] 満タンを心がけたい
[00:59:26.599] 言うてポケモンの人生プレイなんてそんな
[00:59:30.119] 知らないんすようんちゃんと実直にやって
[00:59:32.920] いけばしなじじは略語使うんじゃねえ
[00:59:36.440] [音楽]
[00:59:39.319] よ言うて死なんと思うで
[00:59:47.160] ぶっちゃけはい始まりますよここからす
[00:59:50.480] そう死んだら逃すってだけ余計な縛りは
[00:59:53.039] 今日はけてませんあの
[00:59:56.160] しないため
[00:59:57.839] に自分でも自分でもちょっと危機感を覚え
[01:00:00.799] てる俺はおしゃれな家なんかなんていうの
[01:00:04.400] このあなんか
[01:00:05.599] 犬
[01:00:07.119] キン私ポケモンのタイプとかあんまり
[01:00:10.559] 詳しくないから1匹だけをガンガン育てて
[01:00:12.880] どんどん先に住んじゃうのよでもこの育て
[01:00:14.720] 方結構大変なのよね苦手なポケモンが出て
[01:00:17.039] くると全然勝てなくなっちゃうのそういう
[01:00:18.680] ことなんですよだからパーティで要は
[01:00:21.960] いろんなポケモンを育てた方がいいよって
[01:00:23.640] ことこれ見だけを育てるとミヒだけ
[01:00:26.480] どんどんどんどん育てちゃうわけよでも
[01:00:27.839] そうするとミヒまは雷属性に弱いですから
[01:00:30.520] 雷のポケモンが出てくると超不利になっ
[01:00:32.359] ちゃうわけだからいろんなポケモンを育て
[01:00:33.760] ましょうということですはいジウン14
[01:00:35.960] ドジそういうことですあピカチュウとか
[01:00:37.760] 捕まえてえ
[01:00:38.960] なポケモンを探し求めてるうちに人々は
[01:00:42.000] 暮らす場所を増やした牧場も元々はただの
[01:00:44.520] 草村だったが今ではポケモンと人が共に
[01:00:46.960] 暮らすエリアになったよな匹急所で持っ
[01:00:49.119] ていかれるかなぐらいまそうだね急うん
[01:00:52.319] クリティカル要はあのドラクエで
[01:00:56.240] の一撃みたいの食らったらやばいね何属性
[01:00:58.640] あるんだっけえー全かなりあるかなり全な
[01:01:02.839] え今何タイプあんのこれブラックホワイト
[01:01:06.079] 何属性あんの教えて俺もね途中から増え
[01:01:09.160] てるからわかんないんだよねあのあのなん
[01:01:12.240] だっけフェアリーとかわかんねえんだよこ
[01:01:16.200] おしゃれじゃねこの家なんていう作りなの
[01:01:18.359] このマイクラみてな作りしてんじゃなんか
[01:01:20.720] じゃねいやもっとあるよもっとあるよ絶対
[01:01:23.720] あたって増援だ増えだがやなくなってから
[01:01:28.799] 増えてる1818覚えてください皆さん
[01:01:32.839] 18パターンあります終了なんドラクエは
[01:01:35.760] 終了ってんだ終了っても続いてないだろ
[01:01:38.000] 全部終わったろ
[01:01:39.319] ちゃんとおこちだでは修了しようかっこれ
[01:01:44.200] で何タウンマップを2つも持っておるみ
[01:01:46.799] 言う
[01:01:49.400] じゃはなエパ最強だったな友達のマップ
[01:01:54.079] おんの
[01:01:56.599] タージャを連れておるだろふむ先ほど20
[01:01:58.839] 番道路でポケモンを鍛えとおったなそれ
[01:02:00.720] ならば先にタウンマップを届けるんだどこ
[01:02:03.000] や番道路って20番道路なら道
[01:02:06.770] [音楽]
[01:02:08.279] にューえあ分かりましたじゃ届けに行き
[01:02:11.559] ましょうかまずゲましたすいませんあれ
[01:02:15.160] これもうトレーナーバトルなんちゃうお
[01:02:18.200] 互いの視線があったら始まるポケモン勝負
[01:02:20.319] それがトレーナーの決まりなのあのあれ
[01:02:22.039] ですポケモンの勝負にはせんの勝負には2
[01:02:26.599] 種類ありまして野生のポケモンえポケモン
[01:02:28.680] を捕まえられる野生のポケモンとポケモン
[01:02:30.880] トレーナーのバトルがありますここで多分
[01:02:32.359] トレーナーなんですよここに立ってるこの
[01:02:33.599] ねあのこの青草坊主ねこの生草坊主と目が
[01:02:36.599] 合うと襲ってきますヤンキーと一緒です
[01:02:38.599] この世界は目が合ったらえポケモン勝負
[01:02:41.200] です行きましょう目があったらというか
[01:02:43.640] 完全に目に合わせてにきますこいつらが
[01:02:45.440] ほら目が相手の目を見たら戦いたい気持ち
[01:02:47.920] 分かるようなって俺別に横向いてたのに俺
[01:02:50.119] 横向いてたのに肩叩いて俺がこうやって
[01:02:52.559] こっち向いたらあ目あったねって戦ってき
[01:02:54.839] ます始まりますこれがポケモン
[01:02:58.960] 勝負生草小僧の次郎感じつもり感あるね街
[01:03:02.920] の感じでつもり感あった確かにねね喧嘩
[01:03:06.240] 番長みたい喧嘩メチメンチビームよメンチ
[01:03:09.799] ビームあてめえ何見てんだよでこの
[01:03:13.240] ポケモンバトルは捕まえることはできない
[01:03:15.359] 野生のポケモンじゃないからね1回やって
[01:03:16.839] みますか1回やってみましょうボール投げ
[01:03:18.599] てみたらどうなる
[01:03:19.880] かレはモンスターボールを使ったン
[01:03:23.440] トレーナーにボールを弾かれた人のも取っ
[01:03:26.000] たら泥棒そういうことですね人生も学べ
[01:03:29.000] ますね人生も学べます人のものを取ったら
[01:03:32.000] 泥棒だけどTwitchは人の視聴者を
[01:03:33.880] 取っても泥棒にならない俺はこれおかしい
[01:03:35.440] と思います俺は人の視聴者を何回も人に
[01:03:38.839] あの取られてますから
[01:03:40.319] ねはい続きやっていき
[01:03:43.279] ますなんかポケモンやる時いつも口が回り
[01:03:46.119] すぎて超喉乾くんだよ
[01:03:49.640] なやけに説明調だろ愛がある冒険があるが
[01:03:54.799] あ取ったこともあるでしょ取ったことも
[01:03:57.319] あります取ったこともありますなんなら
[01:03:59.000] ほとんどの人取ったんじゃない取られたか
[01:04:00.720] 教えてくださいあいややめとこう波風立つ
[01:04:05.240] からなポケモンバトル始まっちまう
[01:04:07.720] よミテハミテハいいね強いねやっぱ
[01:04:13.359] ねはいレベル8です上がってくねどんどん
[01:04:16.640] ねただこいつばっか育ててもしょうがねえ
[01:04:19.559] んだよなお前の勝ちたい気持ちすぐ伝わっ
[01:04:22.039] てきトレーナーに勝つとお金がもらえます
[01:04:24.400] 野生のポケモンに勝ってもお金もらえない
[01:04:26.079] んだよその違いだねミヒ強いねミヒマル
[01:04:28.920] 強いやっぱりやっぱ最初にもらうポケモン
[01:04:30.960] てちょっと強いねんな普通に野生で出てこ
[01:04:33.359] ない特なポケモンなんですよ最初にもらう
[01:04:35.039] ポケモンってちょっとだエナコリンエナ
[01:04:38.240] コリンだってこんな生草坊主が金持ってる
[01:04:40.119] わけないやん生草
