[00:00:08.559] ハリボテクレイが済むハリボテクレイが
[01:14:38.679] なあれ出てこなくなっちゃった
[01:14:42.199] な絶滅したか俺が多分ねがりしすぎて絶滅
[01:14:47.159] したかもしれん全然出てこ
[01:14:49.719] ねえおいおい早くしろ
[01:14:57.420] [音楽]
[01:14:58.800] おいなんだこれ全然出てこない
[01:15:11.720] [音楽]
[01:15:17.960] なえ何アニメションの設定が何か響してる
[01:15:22.199] のかなえ戦闘アニメない
[01:15:26.520] タイプが多分ねりしてるって情報が流れ
[01:15:29.239] 始めた多分ねがもう恐れをなし
[01:15:33.400] たあなんで全然出てこなくなっちゃったね
[01:15:37.280] おいおいおい早くしてくれ
[01:15:43.239] よ来よしよしよしよし
[01:15:48.679] よしまた止まったくそこれ何マジ
[01:15:52.719] でこれもうDSがダメだなこれうわもう偽
[01:15:57.679] とるもう1台買うかやだな高いよお金ない
[01:16:01.280] よ
[01:16:06.120] そんなどっか業種直してくれる業者とか
[01:16:09.040] ないか
[01:16:13.430] [音楽]
[01:16:16.120] な1万かそこらで直してくれるんだったら
[01:16:20.040] ねやべ危ねえ
[01:16:24.420] [音楽]
[01:16:45.679] もう早い早い戦闘が
[01:16:47.960] ほらアニメーションがない
[01:16:50.560] からだいぶあけないけど
[01:16:57.600] あられいら
[01:17:00.750] [音楽]
[01:17:14.520] ないもポンポン出てきていい
[01:17:20.360] よあ来た来た来たいいねいいねそのペース
[01:17:24.159] で出てきてくれ助かる
[01:17:30.000] わチャリンコこれ進みすぎんだよな
[01:17:33.520] ポケモンの海外赤がキュレム乗せてたから
[01:17:36.239] ポケモンでブリメイクして欲しいなどう
[01:17:39.320] いうこと海外赤がキュレム乗せてたからて
[01:17:41.560] どう
[01:17:43.560] ことポケモンデっていつなの
[01:17:48.010] [音楽]
[01:18:04.679] オおおいいね神砕くとかいい技覚えるじゃ
[01:18:09.280] ねえかよおめえ
[01:18:11.040] よ力80いいぞ騙し討ちよりこっちの方が
[01:18:18.920] いいいい技覚える
[01:18:23.120] ね進化しないかな
[01:18:26.159] あ
[01:18:28.480] そっちお前が進化すんの
[01:18:31.040] かいいよいい
[01:18:34.159] よズルックはいつ進化するん
[01:18:37.800] だろう
[01:18:39.360] あいまず1段階
[01:18:46.480] よしトグラいいねイバルはいらないいら
[01:18:49.840] ないいらないいらない冷凍ビームとか覚え
[01:18:53.000] てほしいわね冷凍ちょっと待って
[01:18:56.040] 進化させるに決まってんだろあ待ってこれ
[01:18:58.520] させない方が良かったかなまず冷凍ビーム
[01:19:00.440] とか覚えさせてる方が良かっ
[01:19:02.760] たレビってこいつ自力で思えんのかなたま
[01:19:07.639] ざらしレビってさ自分で
[01:19:12.440] 覚えるうわ覚えねえのか
[01:19:16.210] [音楽]
[01:19:27.560] 冷凍ビーム覚えないの
[01:19:30.600] かま技マシンに頼るしかない
[01:19:37.000] な技マシンに頼るしかねえよ
[01:19:41.920] [音楽]
[01:19:45.920] な2月27日とかじゃないっけポケモンで
[01:19:49.960] あそうなん
[01:19:50.750] [音楽]
[01:19:51.960] だまあまだ来ないでしょ
[01:19:56.080] まだスカーレットバイオレットでお金稼ぐ
[01:19:58.239] き満々でしょ新しいポケモンだたら出ない
[01:20:00.719] と思う
[01:20:01.639] よてかね任天がそろそろね次世代機発表し
[01:20:05.880] ねえからさ赤緑の発売日があそうなんだ
[01:20:13.239] へえブラックホワイトのリメイクはまだ来
[01:20:17.679] ないよ絶対
[01:20:20.160] [音楽]
[01:20:30.760] 公式にわせしてるから来るでしょえ公式に
[01:20:33.600] 合わせしてる
[01:20:34.770] [音楽]
[01:20:37.679] の公式にわせしてん
[01:20:40.120] [音楽]
[01:20:51.800] のえ何公式にわせってってな公式の
[01:20:55.199] アカウントかなんか言ってんのえ公式が見
[01:20:59.000] わせてるんだよなそうたりキレのせたりあ
[01:21:02.679] そうなん
[01:21:04.080] だあそうマジ
[01:21:09.600] かええもうそんな時代な
[01:21:13.800] のまだまだ現役で遊んでんですけど
[01:21:16.320] ブラック2ホワイト
[01:21:18.600] 2あそうなんだ
[01:21:24.719] くそまもうちょっとダメかも
[01:21:27.440] これまずいねちょっとケーブルもの方変え
[01:21:30.360] てみるねあんだよこれ全然ダメじゃねえか
[01:21:35.120] よ言うて14年前のゲームだからとの流れ
[01:21:39.000] 早いままあね15年前のゲームだからね
[01:21:41.560] これもう
[01:21:44.360] ねこっちの線だったらどうかしら変わん
[01:21:47.880] ねえと思うけど
[01:21:52.130] [音楽]
[01:22:10.520] えじゃスイッチで来んのかなまだスイッチ
[01:22:14.000] で戦うんすか任天さんはまだスイッチで
[01:22:17.159] 戦うのもうスイッチもう出て56年経っ
[01:22:20.000] てる
[01:22:21.140] [音楽]
[01:22:23.520] でしょスイッチってプレステ
[01:22:26.719] 4とかの時代だもんねプレステ4と一緒に
[01:22:30.679] 出たぐらいだもん
[01:22:31.920] ねまだスイッチ出すか
[01:22:35.960] ねもうそろそろ自世代機考えないと任天
[01:22:41.880] もさすがに任天の自世代機は買うな
[01:22:45.639] プレステ5買ってないけどまだ
[01:22:48.679] 俺さすがに
[01:23:07.840] すの次ってどんなの来るんだろうな
[01:23:10.480] クオリティ的に難しくなんか任天のゲー
[01:23:13.360] ムってさやっぱちょっと変な形になって
[01:23:15.440] くるじゃDSもそうだしWiもそうだった
[01:23:17.600] しwiuも変だしなんかちょっと変な形に
[01:23:20.800] しくるじゃスイッチもそうじゃんなんか外
[01:23:22.800] たりのD
[01:23:26.760] ねブラックホワイトリメイクかよあ来たう
[01:23:31.960] ちゃん進化
[01:23:33.690] [音楽]
[01:23:47.199] ですガラ悪くなったなお前高校デビューし
[01:23:51.040] た
[01:23:51.960] な髪なんか染めちゃってお前にマニック
[01:23:54.880] パニック
[01:24:02.180] [音楽]
[01:24:04.120] かブラックホえー多分出るとしたら
[01:24:08.280] スイッチだよなでもさよくあるのがさそう
[01:24:11.320] いう匂わせしといてさなんか全然違いまし
[01:24:15.520] たってのあるからねで大品を買うみたいな
[01:24:19.159] なんでゲームのさそういう発表っってそう
[01:24:21.880] いうことする結構あるよねなんかそのの
[01:24:24.440] 課題をどうかしようとしたらスペック上げ
[01:24:26.880] ないとどうしようもなでも任はスペック
[01:24:29.280] じゃ多分戦ってこないからね新しい体験
[01:24:32.800] みたいな方でやっぱスイッチって来る
[01:24:34.639] じゃんスイッチてか任天ドってそっちで
[01:24:36.639] 来るじゃんプレステとさ性能で戦おうとし
[01:24:39.800] ないからなスイッチはスイッチじゃね任天
[01:24:42.840] は
[01:24:48.280] [音楽]
[01:25:03.080] 任はスペック勝負しないからな抜なゲーム
[01:25:07.360] よそうそうそうそうそう俺もそうだと思う
[01:25:09.880] よ多分その路線で行くと思う
[01:25:13.040] [音楽]
[01:25:20.239] よ思いつかないけど
[01:25:23.320] ね変なの出してくんだ
[01:25:25.960] ごめ今更任天が何の奇抜さもない
[01:25:30.480] さ末を聞きとか出してこないでしょ
[01:25:37.199] 多分まそういうところで時間かかってんの
[01:25:39.880] かもしんないけどね今までのない形を作る
[01:25:42.760] みたいなって
[01:25:48.530] [音楽]
[01:25:59.199] ポケモンでちょっとでも楽しみだなそれ
[01:26:00.960] 聞いたらなま楽しみだっって言いながら
[01:26:04.159] もう俺新しいポケモンなんてだいぶやって
[01:26:05.880] ねえんだけどさいやもそれねそんな
[01:26:09.119] 引っ張ってリメイクじゃありませんでした
[01:26:11.520] の時が
[01:26:12.920] さあやっぱそうなんだあ俺あれもあの
[01:26:18.480] ドラクエモンスターズ出たじゃん3
[01:26:20.560] ドラゴンクエストモンスターズ3あの
[01:26:22.760] ピサロのやつ俺もあれやてねうわスイッ
[01:26:25.719] チってこんなに性能低いんやと思った
[01:26:29.159] めちゃめちゃガタガタなんだもんあんなに
[01:26:30.920] さ別そんなにすげえグラフィックもたり
[01:26:35.119] ポケモン消えたカカなんだよな限界だよね
[01:26:38.560] スイッチ本当
[01:26:44.320] にそう俺はそれも感じ
[01:26:46.790] [音楽]
[01:26:48.560] てるうん確か
[01:26:51.080] に
[01:26:53.239] モンスターズだったもんねフレームレート
[01:26:56.360] すっげえ低い
[01:26:57.880] しこま飛びだもんほぼ
[01:27:01.920] ほぼその辺もねどうなるんだろう
[01:27:05.100] [音楽]
[01:27:10.520] ね自分もサンムーン以降はリメイク意外し
[01:27:14.000] てないからわからねえけど30フスしか出
[01:27:16.639] ないスト地をどうするかそうだよね
[01:27:24.239] 新しいの出せ
[01:27:33.070] [音楽]
[01:27:36.920] よ出ねえ
[01:27:39.100] [音楽]
[01:27:52.239] なあのサイズ感で性能も上げたゲーム機が
[01:27:55.920] 必要な時代になってきてはいるよなその
[01:28:00.280] 携帯機との併用みたいな感じで行くなら
[01:28:03.280] そうだよ
[01:28:04.600] ねもうどうなるんだろうな今までD任天は
[01:28:09.440] さDSとかそういうだから携帯機と据置機
[01:28:14.400] 機って2種類出してたけどSWITCHで
[01:28:16.679] 1回ガッチにしたじゃんどっちにもなる
[01:28:18.600] じゃんスイッって携帯機にもなるし据置機
[01:28:20.840] にもその路線を今更崩せないもんね
[01:28:24.840] でプレステももう携帯機なんか出してない
[01:28:27.480] じゃんPSビタで止まってる
[01:28:30.239] からもう携帯機は多分出さないだろうな
[01:28:33.719] スマホに勝てないから
[01:28:38.119] ねえでも携帯型でも出して欲しいけどな俺
[01:28:42.239] はなゲームゲームってなんかやっぱりさ
[01:28:45.119] 手のひらの中で遊んでるの方のが俺は
[01:28:47.239] ゲームなんだよな俺にとって
[01:28:57.600] ていうか全然出てこないんです
[01:28:59.780] [音楽]
[01:29:16.199] けど全然出てこないよちょっと
[01:29:24.400] 昔前までは電車でサンスとか広げてる人
[01:29:27.920] 子供いたのに今そうだよねマジでそうマジ
[01:29:30.960] で思うそれゲームやってる人見なくなった
[01:29:34.000] よね街中
[01:29:36.520] でいたもんな子供なんかDSなんかみんな
[01:29:39.560] 持ってたのにね今スマホだもんねお
[01:29:42.480] こんばんはおはようおはようランディ
[01:29:45.000] おはようあのうんあの
[01:29:50.600] ねが死んだよ
[01:29:54.520] もうほんまこのゲームあかん
[01:29:57.600] でおうちゃん寝ちゃったんだけどラプラス
[01:30:01.600] あラプラス死ん
[01:30:03.380] [音楽]
[01:30:07.119] だまたかよ笑笑もまありえねえよ
[01:30:13.719] ならもた子供もそろそろ出てきそう
[01:30:17.320] [音楽]
[01:30:20.280] 笑ちゃんが進化した
[01:30:24.119] 今トドマン育て
[01:30:29.980] [音楽]
[01:30:32.080] てるネ昨日まであんなに元気だったのに
[01:30:36.600] また急所に当たって一発よこのゲーム急所
[01:30:39.360] 引きすぎなんだってマジで
[01:30:42.119] なうなんか持たせるアイテムあったっけ
[01:30:48.280] なメンタル蘇生派しなかったのメンタル
[01:30:51.840] 蘇生してないよ
[01:30:57.280] 格闘タイプの技をあげるやつとかなんか
[01:30:59.520] ねえか
[01:31:00.600] なメンタルをもう1匹作るのはだめ俺の中
[01:31:05.000] でメンタルはメンタルしかねえんだ
[01:31:07.800] よ俺の知らないこになるからねあれ
[01:31:12.520] は結局さあのもう1匹作るわって作った
[01:31:17.760] ポケモン全員死んでるから
[01:31:20.119] ね結局も神が言ってんだよ1度死んだ
[01:31:23.520] ポケモンはどうせ死ぬ梅なんだっ
[01:31:26.920] てメンタルもラプラスも死んだわけ
[01:31:30.880] じゃん結局だからなあ1匹もあガブがまあ
[01:31:34.960] でもあれはでもなまだあれだったからな
[01:31:37.040] 深まるだったから
[01:31:41.199] なでまた地獄のレベル上げっすよここであ
[01:31:44.679] 来た来た来た来た来た来た来た来た来た来
[01:31:47.440] た何やってんだよもう
[01:31:53.840] [音楽]
[01:32:01.840] 今ウナのレベル上げてるウナ
[01:32:04.199] のだ今日9時から雪山人狼だからそれまで
[01:32:09.679] しかできないけど
[01:32:18.320] ねうわ何誰雪山までにクリアして無理絶対
[01:32:22.800] 無理まで雪山までだってレベル上げだもん
[01:32:26.159] 今日雪山までレベル上げだよ無理無理無理
[01:32:30.960] 無理もう全員のレベル60にするもんここ
[01:32:34.000] で
[01:32:34.760] 俺だってもうじゃなきゃ無理だぜマジ
[01:32:40.670] [音楽]
[01:32:47.400] でおるお疲れお疲れちゃんおいっす
[01:32:52.240] [音楽]
[01:32:56.239] さこんばんはお疲れちゃみにしてるねあ
[01:32:59.679] ありがとうこの時間なん
[01:33:04.679] だレベル上げしかねえだろこのゲームも4
[01:33:08.199] 日間ズ4パートレベル上げしかして
[01:33:11.199] ないてめえどこ中だ
[01:33:14.440] よ4パート連続レベル
[01:33:18.239] 上げあれパーティ滅したの見たんだけ見て
[01:33:21.360] ないよねパティ滅してるから逃してまた1
[01:33:25.199] から育成
[01:33:26.800] [音楽]
[01:33:28.480] し直しマジで地獄だよマジで地獄ももう
[01:33:34.320] クソテンション低いもん申し訳ない
[01:33:37.639] けど申し訳ねえけど滅もクリップした記憶
[01:33:44.119] ある話に死んだの話になんか全ももう
[01:33:47.600] 懐かしいな話にになんかおこれ見てみ
[01:33:51.080] クリアしよう見て見て見てこのクリップ
[01:33:55.400] メンタルっていう俺の心の友が死んだから
[01:33:58.719] ね昨日
[01:34:05.760] [音楽]
[01:34:31.119] おおはよう
[01:34:33.440] おはようお疲れなっ
[01:34:36.239] たごめんごめん
[01:34:38.960] ごめん元気出して元気出してやっぱり笑笑
[01:34:44.800] おはようもうまたレベル上げだ
[01:34:48.760] よメンタル死んだんだよメン
[01:34:54.199] メンタルがんでのメンタルも死んだんな
[01:34:57.159] 意味でメンタルが死ん
[01:35:00.320] だダブルミーニングだっ
[01:35:04.480] [音楽]
[01:35:08.880] たーもうまた地獄のレベル上げだよみんな
[01:35:14.159] かみんなかメンタル死んだ見てにんこれ
[01:35:20.880] メンタルにんこれ見て
[01:35:24.920] もう無理だよこのゲーム男なさんとも
[01:35:27.960] おはようおはよう
[01:35:39.440] おはよういらねえよこいつなんだ
[01:35:52.639] よま9時から人狼だから9時ま8時半
[01:35:57.400] ぐらいまでしかできないだろうななんだ
[01:35:59.040] かんだな準備とかあるしな私が干してた水
[01:36:01.400] タイプですもうでいるもん水タイプいいん
[01:36:04.239] だ
[01:36:04.910] [音楽]
[01:36:16.480] よ人狼ここでも配信する
[01:36:20.159] うーんまするつもりではいるちょっと悩ん
[01:36:23.080] でるけどちょっと悩んでるけどどうすっか
[01:36:25.119] なって
[01:36:27.840] 感じいやどうすっかなって感じだどう
[01:36:30.520] しようかなだったからで死ぬんかなって
[01:36:33.760] 思った所もっ
[01:36:35.840] てピタゴラスイッチみたいな死に方したべ
[01:36:39.600] 今日の夜はあのうわ待って危ねえつ
[01:36:44.360] ありがとう飛び蹴りやだな本放送はだから
[01:36:48.560] あれじゃない本放送はあれでしょ違うあの
[01:36:54.119] ベリちゃんじゃないピタゴラスイッチだね
[01:36:57.560] なあ今日の夜はあれだよあの雪山人狼ベリ
[01:37:01.480] ちゃんのベリちゃん主っていうかベリ
[01:37:03.119] ちゃんに誘われたんだけどわの位右上か
[01:37:05.639] 左下に変えてちょっとでも効率上げようん
[01:37:09.280] ナイス2さんげは
[01:37:12.480] 釣り
[01:37:14.159] 何うわまた止まるしなやっぱダメだ
[01:37:18.840] な雪山人狼やるのやるやるやるやるよえ
[01:37:23.719] やるやるやるやるよ今日今日
[01:37:26.280] やる確かに俺何も告知してない
[01:37:29.400] わ確かに俺何も告知もしてねえ確かにやる
[01:37:33.360] んだよ誘われたんだよちしたしてないいや
[01:37:37.239] メインはしてるけどね俺リツイートも何も
[01:37:39.119] してないやまた朝までいやだて明日仕事だ
[01:37:42.119] もん俺無理無理無理
[01:37:44.119] 笑明日仕事だから
[01:37:47.040] ねやっても12時とかなんじゃないそし
[01:37:50.400] たらまたこのゲームに戻ってきて俺レベル
[01:37:52.119] 上げするかもしんない
[01:37:54.360] また育成に入るか
[01:37:57.920] も
[01:37:59.920] 笑笑だってももう俺だってここで全員60
[01:38:03.400] レベにしようと思ってるもん正直だ64
[01:38:05.960] レベのメンタルが落とされるんだよ無理
[01:38:08.360] だろ普通に64のメンタルが落とされるん
[01:38:11.400] だもんここで全員64にしたって足りねえ
[01:38:13.040] ぐれでここで全員70ぐらいにしとうが
[01:38:15.920] ねえと本当だったら
[01:38:17.639] な70でも急所当てられたら死ぬからな
[01:38:20.920] 全然
[01:38:24.150] [音楽]
[01:38:26.360] 地獄やでこのゲームマジ
[01:38:35.520] であれ別に弱点ではないけどなんでしょ
[01:38:40.920] どれどれ
[01:38:42.159] どれメンタルメンタルはそう急ちあれ別に
[01:38:47.679] じゃ
[01:38:48.760] ない9割
[01:38:51.000] だろメンタルはあ弱じゃないのに普通に
[01:38:54.040] 急所に当たってでも耐えたの急所で14
[01:38:56.800] ぐらい残ってよしナイス耐えたと思ったら
[01:38:58.840] 火傷で死んだ火傷のダメージで10っ
[01:39:02.440] てピタゴラスイッチだしかもあの後火傷
[01:39:05.920] あのネット全部で3回食らってんだけど3
[01:39:08.239] 回火傷引いてるからねそんなことあるかよ
[01:39:11.880] 3回中3回食らってんだ火傷クソだよマジ
[01:39:16.040] で熱ってなって死んでたあちっつって死ん
[01:39:20.199] でた
[01:39:24.400] 持っている
[01:39:25.599] 男マジありよえだってさ熱湯のさ火傷の
[01:39:30.280] 確率ってそんな高くないでしょ言っても
[01:39:32.480] 10%とかでしょ引く
[01:39:35.480] 確率3割3割かでかいなでも3割3回引
[01:39:39.440] くって相当じゃない3割を3回引くんだよ
[01:39:42.719] その後のジムリーダーの一言時々傷になる
[01:39:47.280] 発100中でなってんじゃねえかよ
[01:39:54.280] ポケモって割と運要素強いじゃあ10割強
[01:39:57.719] いっちゃ強いのか
[01:39:59.520] なでいうかねブラックホワイトがね難し
[01:40:03.320] すぎるんだよ要求レベルが高すぎるんだよ
[01:40:06.360] 本当
[01:40:08.679] に他だって四天王と同じぐらいのレベルを
[01:40:11.880] さ7個目のジムバッチが出してくんだ
[01:40:15.480] もんめちゃめちゃレベル高いよ3回熱湯
[01:40:18.960] 食らって3回やけどか3%くらい
[01:40:24.400] おかしいよ
[01:40:26.440] [音楽]
[01:40:31.360] ねあごのコラボ何時からえ9時から9時
[01:40:35.880] からだから8時半ぐらいまではゲームやる
[01:40:38.840] けどかなわどうすっから配信つつけるか
[01:40:42.560] 迷うな
[01:40:44.239] 俺ガチャの引き当てる確率本当だよ
[01:40:48.140] [音楽]
[01:40:50.560] ね配信けるか悩み中です正直けないの
[01:40:57.040] うー迷ってるな迷ってるのとま2回で引い
[01:41:01.840] たからそっちのがなこのカセットおかしい
[01:41:04.320] んじゃないのなんか確率ぶっ壊れてる
[01:41:09.719] だろ壊れてる壊れてるよなだシラスも
[01:41:13.360] おかしかったよ
[01:41:15.440] な2%とかだって1発で出たもんねシラス
[01:41:18.960] ねまその後出なかったけど倒しちゃって
[01:41:22.780] [音楽]
[01:41:25.599] 配信つつけるか迷い中なんだよ
[01:41:31.510] [音楽]
[01:41:39.320] ね人狼中って結局さおはようあごおはよう
[01:41:45.280] 人狼中って結局コメントあんま拾えねえ
[01:41:47.320] から
[01:41:49.080] なこっちで喋ってこっちで喋ってって結構
[01:41:52.320] 大変なんだよてパトナ支援したるか1コメ
[01:41:55.679] 誰が取ったあ俺がレイドしてね1コメあ
[01:41:59.560] わかんねえ誰だ今日もう多分そんな考えて
[01:42:02.679] なかっ
[01:42:04.119] たエリチだったかな今じゃなくてもそう
[01:42:06.840] じゃね
[01:42:08.480] るるえいやそんなこ俺俺コメント拾うやろ
[01:42:12.320] かいコメント拾っとるやんでも人狼は無理
[01:42:15.159] だよ人狼はなかなか難しいよそもそも理由
[01:42:19.280] おらん方モ来ないからもうあいつ俺に俺1
[01:42:22.040] 回俺のこともうあの1コメ取ったらもう俺
[01:42:25.280] のことはもう用済みの女だと思ってるから
[01:42:26.960] あいつあいつ終わっ
[01:42:30.520] てるやり捨てやり捨てだやり捨て1回
[01:42:35.000] エッチするまではめちゃめちゃ優しいのに
[01:42:37.199] 1回エッチしたらもう全然LINEも帰っ
[01:42:39.360] てこないんだからやりてよく
[01:42:44.440] ない終わったらタバコ吸って早く帰れって
[01:42:47.239] いうタイプだあいつはえまだいんのっ
[01:42:50.960] てえ何してんのって
[01:42:59.480] [音楽]
[01:43:02.719] ピロートなしで即
[01:43:05.679] ね早く帰れば感じ
[01:43:08.220] [音楽]
[01:43:17.320] じゃんも9時半までこれだかんだけど8時
[01:43:21.119] 半までそっちかい
[01:43:25.560] そっちそっちかテラキが腫れ物みたいに
[01:43:30.320] なってる
[01:43:31.360] の俺は何も見えてねえ
[01:43:36.719] よ9時半までこれそうだ当たり前じゃん
[01:43:41.480] そうじゃないとクリアできねえもんこの
[01:43:42.920] ゲームもうレベル上げしかしねえよ
[01:43:45.679] もうただ若干ストーリーを進めてもう
[01:43:49.000] ちょっと強い草村に行きたいなってのは
[01:43:51.040] 正直ある
[01:43:53.440] あるんだけどストーリー進めるってのは
[01:43:55.320] それだけ死の覚悟が伴うってこなんだよ
[01:43:58.000] ねさすがにこの多分ね39じゃレベル上
[01:44:01.159] きつくなってきたよなもう
[01:44:06.250] [音楽]
[01:44:09.760] な戦闘アニメ切ってるからそうだ
[01:44:15.400] [音楽]
[01:44:17.159] な
[01:44:19.199] レベルマて何レベで進化するのかでるの
[01:44:23.520] ポケモンの方が強いとかあるいや結局それ
[01:44:28.639] はどうなんだろうねま珍しいポケモンとか
[01:44:31.320] は出てくるとは思う
[01:44:34.000] けどどうなんだろうねまあ600族とかは
[01:44:38.080] 大体後半に出てくるよね600族の元に
[01:44:40.480] なるポケモンみたいのはでも別に結局育て
[01:44:44.400] たらポケモンは全部強いからねそれなりに
[01:44:46.480] 強くなるから
[01:44:49.510] [音楽]
[01:44:59.239] あ使わない作てよかったな間違った序盤の
[01:45:01.840] 育てたら強くなるってなのが出てくるの
[01:45:08.960] だでも俺オノノクスに6立てされてるから
[01:45:12.880] ねオノノクスに6立てされてるから怖くて
[01:45:15.880] 俺扱えないあんなやつあんな殺人鬼みたい
[01:45:19.159] なポケモン
[01:45:22.810] [音楽]
[01:45:35.360] そかトドゼルが自力であれ覚えないんだな
[01:45:39.000] 自力でさ冷凍Bも覚えないんだねちょっと
[01:45:43.080] きついな自力で覚えてくんないんだ
[01:45:46.800] よ技マシンどっかで拾わないとな
[01:45:52.820] [音楽]
[01:46:09.040] あ
[01:46:16.250] [音楽]
[01:46:26.760] もうちょっと強いとこ行きてけどろモ遅い
[01:46:30.719] なお前頑張れ頑張れ
[01:46:36.199] ありがとうもうちょっと強いとこ行きて
[01:46:39.000] ストーリー進めるか着替えてたグレお
[01:46:43.360] 着替えですかあ仕事終わり仕事終わりかお
[01:46:47.760] 疲れちゃんしてるちゃん成長してるけどは
[01:46:51.159] 死んだよこんばんはあれバルちゃんどこ
[01:46:54.920] まで見
[01:46:56.440] たあれだよメンタル死んだから
[01:47:00.159] ねメタグロスのメンタルはもういないに
[01:47:03.719] てるいやもそれ怖いんだよ進めるとさそれ
[01:47:06.520] だけ死のリスクがあるじゃんさんの
[01:47:09.440] ホームランダー死んだ
[01:47:11.800] の何何何そ死んだ死んだ見て飛んできた笑
[01:47:16.880] もう終わりだよもう
[01:47:20.080] 終わり今の俺のパーティ
[01:47:23.679] トドマントドマンがさトドマンを今ねあの
[01:47:28.119] トドゼルガに使用作戦なんです今オーロラ
[01:47:31.679] ビームって威力どんなの65
[01:47:33.450] [音楽]
[01:47:35.840] トドマンを今ちょっと育て
[01:47:39.880] てるトルガトルガそう
[01:47:44.960] トルガルドンはシルいるよシルいるいる
[01:47:49.000] いるシルいるよレミねレミいるけど
[01:47:54.239] こいつもねちょっともうちょっと育てない
[01:47:57.639] とやばいよねリザードンとか手に入るんだ
[01:48:00.599] ブにあ違う違う違う違うリザードン手に
[01:48:03.560] 入んないよこれこれはあのあれ俺がもう1
[01:48:06.159] 個ねあのもう1個のDSでもう1個の中古
[01:48:09.280] のホワイト2も持ってたのねこれ中古の
[01:48:12.239] データがあるんだよあやかっていうあやか
[01:48:14.840] ちゃんっていうこのなんかデータ残ってて
[01:48:16.639] そっからあの卵で連れてきたタイプで特性
[01:48:19.639] とかれポケモン地面タイプねのかこいつ
[01:48:23.490] [音楽]
[01:48:25.320] ずるでも俺でも卵から卵から育ててるから
[01:48:28.679] ねあかちゃんレベル1から育ててるから別
[01:48:31.000] にそれはいいだろレベル1から育ててる
[01:48:33.719] もんだっ
[01:48:34.890] [音楽]
[01:48:36.280] て彩かのおかげあかのやつをもらってるの
[01:48:40.800] はあれだけどレベル1から育つてるから
[01:48:44.560] ね
[01:48:46.719] うるせえうるせえよ
[01:48:50.159] 黙れそれでもこんなにやられてんだぞまだ
[01:48:54.159] 言うか
[01:48:56.560] ウン2匹目のガバイトどうなったあ
[01:48:59.679] ガブリアスなってるよ頑張ってるよ今の
[01:49:02.639] ポケモンに一番足りないものの1つだと
[01:49:05.280] 思う中古データのロマンごめんねガブに
[01:49:09.199] なったガブになってるほらガブになっ
[01:49:11.679] てるただガブになってからまだ1回も使っ
[01:49:14.520] てねえんだよねだからちょっとあんな不満
[01:49:16.639] てた
[01:49:18.599] こんばんはエブルエブルもそうエブルだて
[01:49:22.280] 死ん
[01:49:23.360] エブルも死んだんだよもうもう今回
[01:49:27.800] めちゃめちゃ死んでるからね難しすぎて
[01:49:30.840] 156匹死んでんじゃないポケモンマジ
[01:49:33.159] でんでばっ死んでばっかだよじゃないけど
[01:49:36.719] のだそうそうそうそうそう海の親じゃない
[01:49:38.719] けど育てのでもそっちの方が愛情注げる
[01:49:40.480] から
[01:49:42.960] なポケ
[01:49:44.840] 殺しマジで超死んでるもん今回
[01:49:52.920] の大がこういう草の横で走ってるだけって
[01:49:55.560] いうその度心をすり減らしてきた本当に
[01:49:59.520] もう勘弁しこれしてくれよこれ本当クリア
[01:50:02.040] したら俺これ死亡シ集作るからな死亡シ
[01:50:06.800] 集音量注意死亡シ集
[01:50:13.040] 作ろう死亡シ
[01:50:15.280] 集そっちじゃねえよ全部じゃねえかよ
[01:50:18.080] じゃあ常に映ってんだから脂肪が脂肪の塊
[01:50:21.360] が
[01:50:26.199] どこ横はげてるどこあた横はげてる
[01:50:35.480] よダねダブねダブね
[01:50:41.040] よし42ちょっと強い
[01:50:48.440] ね転の調にしてて進むんだよこの自転車
[01:50:54.280] めちゃめちゃ
[01:50:56.460] [音楽]
[01:50:59.360] 進むしかもこのウナちゃん自信過剰だから
[01:51:02.119] ね特性マジでウナちゃん
[01:51:06.840] じゃん本当にウナちゃんじゃんこいつ地震
[01:51:10.680] [笑い]
[01:51:13.040] 過剰本物の地震過剰だよ本当にうちゃん
[01:51:16.920] じゃねえかウナちゃんまんじゃん話に
[01:51:19.360] 思い出すね自信過剰
[01:51:21.280] [音楽]
[01:51:31.960] ブラックってハードなんだけDSDSどこ
[01:51:35.639] でも竹内こんばんはDSだよあ来てる来
[01:51:39.280] てる来
[01:51:40.280] てるもちろん僕これあの実機でやってます
[01:51:43.079] ねだいぶ調子悪いけどこのもういらない
[01:51:45.599] お前
[01:51:48.210] [音楽]
[01:52:21.520] よ出てこねえ
[01:52:24.300] [音楽]
[01:52:27.639] なあ
[01:52:30.040] たマイク切れたのかと思ったら話して
[01:52:33.400] なかっ
[01:52:35.400] たもう話すことないでもう
[01:52:39.760] ほ話すことないでもう何時間やってんだ
[01:52:43.239] このゲーム本当
[01:52:46.159] にレベル上げたんだもんずっともう何話す
[01:52:50.960] なんでもいいよ話題話題提供お願いし
[01:52:57.570] [音楽]
[01:53:03.119] ますさっき
[01:53:06.599] あの温泉旅行行くなら
[01:53:09.840] 何何何オラスいつ頃やりますかオーラスも
[01:53:13.079] 当分ポケモンやりたくねえ
[01:53:15.520] よ温泉旅行行くんだったら熱行きたいね
