[00:00:04.920] おはちゃまスピリテールおはちゃまスピリ
[00:54:24.599] から確実で
[00:54:27.400] しかも威力が
[00:54:28.720] 高えピストルはさ壊れ壊れる
[00:54:33.200] 壊れる3発しか持たない
[00:54:36.720] え明らかに子供じゃんこれ
[00:54:46.480] うわあ布めっちゃ落ちてるけど布使い道
[00:54:49.680] ねえんだよなさんよりもたいじゃん今それ
[00:54:52.200] 踏んづけたよ
[00:54:54.119] ね踏んづけたかもなラスアスだ
[00:54:58.200] こんばんは
[00:55:00.040] 笑笑こめちゃんこんばんはどうもどうも
[00:55:02.760] ラスアスですよまたまた
[00:55:08.640] どこ行くのん
[00:55:12.640] これここを抜けるたってさあこれかアア
[00:55:16.640] ずしもう2週間やってる
[00:55:20.200] アスアよいしょそちゃん司
[00:55:28.400] こういうゲームでも俺好きなんだろうなお
[00:55:31.799] すすめあるラスアス以外にこういうなんて
[00:55:34.119] いうのストーリーもののこういうTP
[00:55:38.200] なんてなんていうのこの夢目線TPOじゃ
[00:55:40.839] なくてなんて言うんだっけこう夢目線
[00:55:45.160] のこれだったらこういうゲームだったらあ
[00:55:48.960] 開くんじゃないこれ
[00:55:52.799] TPSここかPTA
[00:55:57.160] PTAあトップ
[00:55:58.440] デトロイトビカムヒューマン
[00:55:59.799] はめちゃめちゃやっ
[00:56:02.240] た滑りやすいので
[00:56:05.440] 注いめちゃめちゃやったよデトロイトはゴ
[00:56:09.000] スロップに乗せないことなんでメタメタ
[00:56:13.520] かあ分かったこれでぶっ壊すんじゃ
[00:56:20.920] ね
[00:56:23.039] インファマスこれでめちゃめちゃ
[00:56:24.880] インファマス
[00:56:27.880] PP
[00:56:38.760] APこれこの
[00:56:41.640] さオオオオこれでぶっ壊せばいいんじゃ
[00:56:45.319] ない行け行け行け行け行け
[00:56:53.280] 行け思った思ったより威力ねえな
[00:56:57.599] かん笑笑
[00:57:03.280] 笑笑ガシンて行くんかなと思ったら思った
[00:57:06.480] より威力なかったなだめや
[00:57:10.240] ないあやオトまたねニオおまた
[00:57:28.520] 分かったっ
[00:57:36.559] ディナはあいつになっちまったから
[00:57:56.799] あそうこと
[00:57:58.240] 笑笑笑挟むのかと思った挟むのかと思った
[00:58:02.319] よえ天才かよ天のさこれが天のさいいのか
[00:58:10.640] あれを外に出すのが目的だったんだな思っ
[00:58:13.319] たね挟むと思った俺も出てったからあダメ
[00:58:16.760] しんと思ったけど勝視点になるけ裁判77
[00:58:20.920] サイバーパンク200あれだから
[00:58:22.880] めちゃめちゃバグあるんじゃないのあれ
[00:58:24.200] 直ったのなかはなかった進行方向進行が
[00:58:28.359] なんか不可能になるバグみたいなのがあ
[00:58:30.200] るって聞いたこある
[00:58:32.640] けどはい天のさこれが天のさ天が私さの
[00:58:38.440] もうあそうなんだ
[00:58:41.839] オッケー1人称やけどバイオショック
[00:58:44.640] めっちゃおもろいバイオショック聞いた
[00:58:46.559] ことねえなあ朝やりてえ
[00:58:49.400] な朝なんかもうこれの進化系みたいな
[00:58:52.119] ゲームだろだってもうずっとこれの後ろ
[00:58:54.520] からあのやるの繰返
[00:58:57.079] お病院
[00:58:59.039] 発見どんな病院
[00:59:02.039] くそ思ったより
[00:59:04.400] 遠いいやこれ行くんかステルスできない
[00:59:10.319] 朝朝ってむずいい
[00:59:13.720] のあ
[00:59:16.160] はん赤くてでかい看板どれこれけならあれ
[00:59:20.559] いいよあれなんだっけホライゾン暗殺でき
[00:59:24.160] なさそう
[00:59:26.440] どれが病院赤い看板ってああのあれかあの
[00:59:31.319] でっかいビルド隣にあれだあれだあれあれ
[00:59:34.680] あれだよあれあれあれあれあれあれ
[00:59:41.359] あれ急に出てくんのやめて
[00:59:44.280] ね急に出てくんのマジ勘弁してマジで本当
[00:59:47.119] にもうほんまゾンは恐竜好きだったちゃま
[00:59:49.599] の完成が刺激されると
[00:59:54.319] へえホライズンウッチドックスレギオンも
[00:59:57.839] 見たいなウォッチドックスは結構いろんな
[01:00:02.039] ゲームあるんだ
[01:00:03.880] ね俺ゲームはさシングルプレイヤーじゃ
[01:00:06.960] なきゃできねえから
[01:00:08.720] さサイバーパンクに似てる感じなのかな
[01:00:12.839] レギン皆さん詳し詳しいねゲーム
[01:00:18.960] ねコッやろや持ってるいや絶対やんやんね
[01:00:23.000] やんねやんねCODなんか絶対やらん
[01:00:27.760] 無理だよ俺にはFPS
[01:00:35.319] はどっから降りんだこれこんばんはもさん
[01:00:41.680] こんばんはおだよどっから降りんのこれ
[01:00:45.200] あそこから降りるんか結構楽あるよねち
[01:00:48.440] しよう
[01:00:50.160] や視聴
[01:00:53.599] APAP
[01:00:58.839] にこっから降りれるの
[01:01:03.039] これちげ
[01:01:05.200] カスタムあ降りれる危ない
[01:01:08.960] なちまげカスタムでもさAPEXって
[01:01:12.559] カスタム開くのってなんか権限いるん
[01:01:14.720] でしょく止まりやがっ
[01:01:18.640] て開いてねえなんだよ
[01:01:27.520] 一定人数も必要なんじゃないっけあそうな
[01:01:30.440] ん
[01:01:32.280] だFPSは無理だよ
[01:01:40.480] 俺ここ
[01:01:49.119] か
[01:01:50.640] よいしょやった
[01:01:53.039] うふいぺやら
[01:01:57.359] ありがとうございますありがとうござい
[01:02:00.039] ますゲフロム破しないガラスで切れたりし
[01:02:04.039] ないのか
[01:02:06.359] なそうだねフロムゲ
[01:02:09.680] ね赤ですがこれ引き替えますめた
[01:02:18.079] うわあ久々に出たなありがとうございます
[01:02:22.760] コリンク1m
[01:02:24.559] さんた何やらせる
[01:02:28.440] きまたつゲーがもうアーチエネミーだって
[01:02:33.960] 何やらせるんだ俺にちえねやん1ビッ分派
[01:02:37.920] あったのでボコスか来る
[01:02:42.440] かいつになるかわからないリクエスト枠
[01:02:51.039] ねそのビップ俺にくれよ
[01:03:00.480] もしかしたら卵か
[01:03:02.799] もタスもリタスはリじゃないこれ俺がやり
[01:03:06.359] たくてやってるだけリクエストゲーム
[01:03:08.559] なんてもう妖怪ぼっそれも俺がやりたい
[01:03:11.880] からやる
[01:03:15.119] 待てここまたいそうだな化石
[01:03:20.240] 掘りやりてえ化石掘やり
[01:03:24.039] てえここ
[01:03:27.400] まうわワクワクああみんなゴキブりだ
[01:03:31.559] みんな斜め上か1度クリアしたもの提案し
[01:03:34.400] てくる笑笑俺マジで新作望んでる化石
[01:03:38.319] ホリダーやりてえな僕らの化石ホリダーか
[01:03:41.359] なスーパー化石ホリダある
[01:03:46.520] のあ男の子ワクワクゲームだろ
[01:03:51.760] あれ
[01:03:53.279] 落してるうわソフトあるからあげるよマジ
[01:03:58.359] で年内にもう1ビッくらいは貯めたい
[01:04:01.920] 所存うわすごいグロいすごいグロい内臓出
[01:04:06.559] てる
[01:04:09.400] よエリチ
[01:04:18.200] ありがとうで結局何
[01:04:21.000] をりなんだよもうもういたよ今た
[01:04:30.960] いたあいたよ今いたて
[01:04:37.279] なんか結えりちゃん何をリクエストすんの
[01:04:40.359] 俺
[01:04:41.640] にまずいよねいやまずい
[01:04:46.359] な今なんかいた
[01:04:51.440] でひどいやら
[01:04:54.640] れっぷり結構アイテムあるんだけども作り
[01:04:57.680] 作れ
[01:05:02.440] ないトイレ3番目だよき何が何が何が3番
[01:05:06.720] 目って何がポケモンレンジャーたポケモン
[01:05:09.760] レンジャーとかいい
[01:05:11.359] ねその辺はなんか俺も普通にやりてえから
[01:05:14.599] なポケモンレンジャー超こういうやつで
[01:05:16.839] こういう
[01:05:17.559] やつあはこさん
[01:05:20.160] ねいやなんかいたで
[01:05:26.599] 最悪あの奥か画面痛めるよマジでな
[01:05:32.000] ポケモンレタめちゃめちゃイライラする
[01:05:33.720] もんね最後の方とかクソ無でうわなんだ
[01:05:37.599] ここ
[01:05:41.000] うい何あの何ストーカーって何ストー
[01:05:45.319] カーって初めて聞く初めて
[01:05:49.839] 聞くストーカー笑
[01:05:53.880] 妖怪画につくで有名新キャラ
[01:05:58.079] か初めて聞くタイプのゾンビ
[01:06:03.440] じゃんぬるっと出てくんな
[01:06:08.359] よまた厄介す系やどうやったら出られん
[01:06:13.839] のくそ名前からして粘着してきそうだる
[01:06:23.720] そうしかも全然この
[01:06:26.079] あれに引っかから
[01:06:29.839] ねさ俺を見てさ追いかけてこないってこと
[01:06:36.520] はどこにん
[01:06:38.920] だえどこにいんのストーカーだから影薄い
[01:06:44.400] のか
[01:06:52.000] な
[01:06:54.039] よし何
[01:06:59.720] なん
[01:07:20.240] だくそどれがストーカーかな
[01:07:25.920] 黙ってさソロ以外だとプププより強力型の
[01:07:29.559] ゲームの方が
[01:07:31.240] 楽しめるうんてか人とゲームするのあんま
[01:07:35.240] 好きじゃ
[01:07:40.440] ないソロのゲームがいいなゾンビのゲーム
[01:07:43.160] やってるからめっちゃラスアスの音で
[01:07:45.240] びくってなるえそういやサイレントヒル2
[01:07:49.039] のリメイク近いねあそうなん笑笑
[01:08:04.079] う映るんです来る
[01:08:10.599] かこれ全然このみんなでボンバーマンし
[01:08:14.480] ましょなべさんやんなマインドシーカー
[01:08:17.839] するもうやったマインドシーカー
[01:08:22.719] もえまあなんでもいいよリまやるかどうか
[01:08:27.040] ま置いとい
[01:08:29.920] てやるかどうか置いといて
[01:08:36.040] ねこれ聞き耳に全然反応しねえんだ
[01:08:45.120] よ
[01:08:46.920] あなんなの
[01:08:50.560] あの
[01:08:52.319] ステルスてきてそう
[01:09:02.520] ストーカーぽい動きやなやっぱりそういう
[01:09:05.679] ことなの隠れていきなり出てくるみたいな
[01:09:07.719] そういう
[01:09:08.880] ことお前マジ
[01:09:15.400] でえだる何ストーカーって
[01:09:25.640] 間違え
[01:09:30.960] たえ
[01:09:39.920] だるい全然これに反応しないんだよ
[01:09:52.000] ね静かでいいじゃん
[01:09:56.120] ストーカーとローターの合体出てこんかな
[01:09:59.480] ほらだってこれに反応しないんだよやばく
[01:10:22.679] ないだりあそこに見る
[01:10:30.440] えだるいっては
[01:10:33.760] だるい何なのこいつ
[01:10:47.640] らかくれんぼ
[01:10:50.159] スタイルかくれんぼスタイルだよね
[01:11:02.000] いや
[01:11:19.440] だりなんだよこれ何匹いんだよ
[01:11:25.520] ああやってなかったよしよしよしよし何
[01:11:29.000] こういうだるいわの動き珍しいねえ完全に
[01:11:33.640] 知能があるやつの動きしてるよ
[01:11:40.320] ね
[01:11:42.600] いやあやっと落ち着いてされるもしかして
[01:11:46.199] 意識があると
[01:11:47.639] かそんなに深く感染してないのかもね
[01:11:56.239] 完全にさ知能があるでしょ俺から隠れて
[01:11:59.560] 逃げ回って隙をついて襲ってくんでしょ
[01:12:03.719] 怖いからやめてなそういう俺をびっっくり
[01:12:06.400] させるためのギミックはマジで
[01:12:17.679] やめろパラ
[01:12:20.239] セクトどういう
[01:12:22.600] こと何がパラセ
[01:12:28.679] 犬とストーカー禁止な犬とストーカーと
[01:12:31.960] ゾンビとブローダーとパラク
[01:12:37.000] 好きなんだっけシャンブラー全部
[01:12:39.840] 禁止全部禁止犬は禁止犬も禁止え弓は俺が
[01:12:47.600] 使うからいいんだ
[01:12:50.800] よちょっとあは許されたクーはねしたら
[01:12:58.800] ロータクリッカーはまだ全然対処できる
[01:13:04.679] からいいんだ
[01:13:14.639] よなんなのこの気持ち悪い
[01:13:19.320] な臭そう
[01:13:26.320] ほんでああ何もねえかどこ行くの
[01:13:31.480] これ草そうカかな何どんだけどんだけカ
[01:13:38.120] カビる
[01:13:40.199] ここおい
[01:13:42.560] 笑えるくそう
[01:13:47.239] 笑えるでどこ行くの
[01:13:53.520] これなんか
[01:14:01.280] やろ感染しなくても体に悪そう確かにあ
[01:14:06.440] ショットガン持ってとくか久しぶり
[01:14:19.280] に何もなくね
[01:14:28.199] 1人で大変だろうにシャカ
[01:14:33.800] シッカえどこ行くんすかるんか
[01:14:41.960] な
[01:14:43.600] おおあはんこっち
[01:14:52.560] か病院はあそこ
[01:14:55.800] あともう少しもう
[01:15:07.719] ちょっといやな外はない
[01:15:12.960] あっ
[01:15:16.520] た
[01:15:18.040] あ嘘こんなにあこここんな
[01:15:22.560] よし通りを
[01:15:25.400] なんだよまだ上なんか
[01:15:28.159] 探索骨折案件まだいそうだ
[01:15:34.480] なやじゃ
[01:15:43.199] のあいるほらなんか
[01:15:56.520] あクリッカーだ
[01:16:01.120] ねいやもうあれがいるやんけまた
[01:16:04.400] ストーカーが
[01:16:13.159] だるいやストーカーさ音が
[01:16:21.120] さやサイレンサーってやるしかねえよな
[01:16:25.120] 最悪最悪ジで
[01:16:28.679] 最悪クリッカー
[01:16:39.719] とそこにいる
[01:16:48.120] やいやでもこれサイレンサーがあるからさ
[01:16:51.960] まだいいけどさ
[01:16:55.080] だけいるんだよ
[01:16:57.600] ストーカーあばれ
[01:17:02.360] たうなんだよなんだよもうびっくりし
[01:17:10.840] たバ
[01:17:14.000] 笑笑は
[01:17:16.639] こマジ急に
[01:17:20.800] 来る完全してやほんまになんだよもうまた
[01:17:25.280] かよし
[01:17:27.159] てまたか
[01:17:44.320] よそこに1匹いるえ何え
[01:17:49.600] 何あれこんとこいた
[01:18:12.679] もう無理だろこんなんバカかバカなんか
[01:18:17.000] これおかしい
[01:18:19.400] おかしいみす
[01:18:25.800] 無理だろ普通にこんな意味がわからん
[01:18:29.159] なんかさそのさ無理なのはやめようよ笑笑
[01:18:33.000] 無理なのはやめようぜヒット
[01:18:35.280] アイ無理なのはやめようよの暴力やん
[01:18:40.960] なあんなん無理やんけだっ
[01:18:45.280] て無理なもんは
[01:18:49.360] 無理こんばんはこれ無理なもんはやめよ
[01:18:53.440] ほら
[01:18:55.040] はこんばんはこんなとこじゃシガも使え
[01:18:58.639] ないもん1発でも使ったらも全員来る
[01:19:01.880] べ無理しない
[01:19:04.800] でやばいやばいやばい
[01:19:16.320] やばまず
[01:19:20.120] 匹う
[01:19:25.679] 笑笑クニ素直で
[01:19:29.120] 可愛いクニはマジで
[01:19:40.239] いいあいよお前どこどこどこどこ何
[01:19:43.880] どこどこ
[01:19:46.560] 何何何もうだるい
[01:19:50.560] わ笑笑
[01:19:56.159] クリカ出てこい
[01:20:01.480] ほら
[01:20:07.520] こかしなあいつマジでてて
[01:20:15.719] 草可い
[01:20:21.800] すぎあ急に出てくるから
[01:20:30.840] え急に出てくんの
[01:20:46.880] やめよいやもうだるいてここ
[01:21:19.280] くそなんだ
[01:21:22.040] よよお前こ
[01:21:29.320] スやだたまねえしもう
[01:21:38.320] 最悪動きがなんか
[01:21:44.480] ずれなもうだるいマジ
[01:21:50.760] で
[01:21:52.480] 笑笑神回避すな
[01:22:12.679] もだいんだよもうだるい[&nbsp;__&nbsp;]よくそれ
[01:22:19.400] ゴミカスが
[01:22:21.639] よ強い
[01:22:25.199] れもゴミ
[01:22:32.920] [&nbsp;__&nbsp;]マジだるい本当
[01:22:36.440] よしじゃあ行くかなんかね分かる俺この
[01:22:40.000] ゲームがねなんかあんまりなんか2はダサ
[01:22:43.159] って言われるのはちょっと分かる気がする
[01:22:45.000] あのねが強さになるなら
[01:22:47.639] こっち敵がだりローターだのアーだのかだ
[01:22:51.280] の動きが
[01:22:53.000] 絶妙怖い
[01:22:55.280] こないのバグ
[01:22:56.520] やろ何があうちのさこういうタイプの
[01:22:59.480] 人嫌いうんこういうタイプの
[01:23:04.000] 嫌いこそこそ動き回るやつ嫌いだね直接
[01:23:07.719] 行ってこいよって言ってんじゃんいつも
[01:23:09.639] ああやつだきななんだだ
[01:23:13.360] からこそこそこそこそよ裏でやりやがって
[01:23:18.960] 直接行ってこいつってん
[01:23:21.560] のお前本当いい加減にしろよ
[01:23:27.080] よし行くよやっぱホラゲ怖いこれホゲだ
[01:23:33.400] よちょっともちょっともうおい
[01:23:40.400] おい
[01:23:42.520] よこもういいにしろもうこれ
[01:23:46.840] 誰もうずっとず
[01:23:53.440] 終っずっとこういう感じなんだもん
[01:23:58.080] これてもうだるいってマジ
[01:24:02.080] でずっとこうあんだよ
[01:24:06.960] ねずっとこうずっと聞き
[01:24:36.920] ま安全期待あるそうが
[01:24:39.719] おシアトル
[01:24:46.800] 最悪でもこれイベイベントなんだ
[01:24:51.280] けどずっとこういうドーンドカうわみたい
[01:24:57.239] なみたいなイベント
[01:25:00.280] ばっかりずっとずっとそういうイベント
[01:25:03.679] もう疲れ
[01:25:06.520] るって後ろからガツうわどりゃみたい
[01:25:11.480] なもずっとそういうイベント
[01:25:25.760] ホラーゲームってこういう下みたいなとこ
[01:25:28.280] 多いけどなんでなんだろうね汚いだけで
[01:25:31.119] 怖いわけじゃないいやでも怖いだろ怖い
[01:25:38.760] よまたチソが喉壊すからやめ
[01:25:47.360] な
[01:25:51.119] あどこ行くこれ
[01:25:56.800] ほん
[01:25:58.600] で
[01:26:02.280] 痛いはそんな汚くない確かに使う人間い
[01:26:07.400] ないもん
[01:26:11.080] ねあ
[01:26:13.159] なるえでもさすがに
[01:26:16.159] さこんな下水泳いだらいろんな病気かかる
[01:26:20.679] だろお出ましたよバブマンギャグ
[01:26:29.080] がこの街で暮らそうトゥルル
[01:26:35.119] トゥルみんな住む街
[01:26:39.880] でどこ行くねんこれゆみ
[01:26:45.040] あこの街で
[01:26:48.639] 暮らそうここ
[01:26:52.440] だここです
[01:26:56.119] ここやろ
[01:26:59.719] えいお
[01:27:02.040] だカの味噌汁いただきましたおいしい
[01:27:08.360] ですあ結構調したもまかなと思ってさっき
[01:27:13.119] の動画さっきの動画見たら割と似てたやめ
[01:27:16.360] てその街はやでも無理ですやには住めない
[01:27:20.679] 俺あの出に食らってる
[01:27:22.600] からふざけなマジ
[01:27:27.560] でなめやがって
[01:27:30.600] よこん
[01:27:32.480] なあんま言っちゃいけないですけど
[01:27:36.400] ねもう今だから言える話ですよ今だから今
[01:27:39.960] だから言える話いやふざけてるよマジでな
[01:27:42.199] やがね
[01:27:43.800] あのすいよ温香じゃねえよ全然
[01:27:55.800] あいつに喋らせるなってあれだから
[01:28:00.480] ねそんなことある
[01:28:02.880] か5時間片道5時間もかけていったの
[01:28:11.600] にあそれはマジでそうそれはマジでそう
[01:28:15.520] 割とマジで割とずっと言っ
[01:28:23.119] てる田舎なんてみんなじとババーがってん
[01:28:27.400] だよ
[01:28:29.239] なあやめて怒りそうえ何が何があれはに
[01:28:34.880] 持ってもしゃあない根に持ってないよ別
[01:28:37.159] 笑笑根に持ってないよ笑い話でしてるだけ
[01:28:39.600] だ思い出だよ
[01:28:42.480] 思い出何とも思ってない別
[01:28:46.639] に普通に面白すぎるなって
[01:28:50.840] だけここ何もないね
[01:28:55.400] 待でとかネタて
[01:29:00.719] 最もう
[01:29:09.280] 笑笑
[01:29:11.000] するだってあん時そってたけどあん時だっ
[01:29:16.040] てチャピバチしてたもん
[01:29:20.119] ね切りしてたじゃん
[01:29:24.840] 笑笑ね危なかったねにれてたよあの日本当
[01:29:29.800] 俺ブロックした普通にバしてたね笑バチも
[01:29:36.360] バチブロックし
[01:29:38.800] たってちゃまゲにひどいことする
[01:29:49.520] からするだろ
[01:29:55.080] あま誰もいないといいんだけど早くやめろ
[01:29:57.560] と思ってたよ蜂寝てたからチが怒ってて
[01:30:01.040] 知ったまである
[01:30:03.400] 笑やめよやめよやめよやめよ笑笑ね
[01:30:07.600] やめよう
[01:30:08.600] ねマリスを敵に回したらま過激派が過激派
[01:30:15.000] がいる
[01:30:16.760] から
[01:30:18.719] もうもうや嫌いなんだわ俺このゲーム
[01:30:22.199] やっぱりうぜえ
[01:30:25.639] こんなのさばびっくりするに決まってるや
[01:30:29.400] んこんな急に矢で撃たれて妖怪ぼします
[01:30:34.239] かしてもいいじゃない
[01:30:40.719] のあれじゃんなんだっ
[01:30:43.280] けでもどうせ俺たなチョコだから威になら
[01:30:47.119] んかもほんまになるわほんまなめやがって
[01:30:51.920] あんまりあんまりなったらほんまに
[01:30:55.600] あんまり舐めてると本当に俺やるぞ今日は
[01:30:59.119] なあんまり舐めてっとマジ
[01:31:03.040] であんまりなめてっとマジでやるからな
[01:31:06.840] 本当にやっちまうぞヨガ落ちやるぞ本当に
[01:31:10.480] あバッテリー料が少ねえみんな
[01:31:14.880] もうバッテリーがねえって
[01:31:20.000] よやろ
[01:31:26.080] あああったくやってらんねっつうの表現に
[01:31:30.040] 見えなくもない
[01:31:32.080] え歪大場表現何
[01:31:35.000] がぐぐるぐるぐるぐる
[01:31:41.719] 何何何じゃ明日も仕事なんで寝ますねあお
[01:31:46.159] やすみなさい
[01:31:49.880] ませそれどこの野球チームあやべえ
[01:31:54.440] あ待っ
[01:32:00.199] てお猫なんだっけって思ったらあの曲か
[01:32:03.880] やべええあ間違え
[01:32:07.880] た間違えてプレステ4のコンセント抜い
[01:32:10.760] ちまっ
[01:32:13.639] たプレステ4のコンセント抜いちまった
[01:32:16.480] これさしたく
[01:32:17.800] て
[01:32:19.320] こんなこんな高々ちょっとしたネタで
[01:32:22.159] 遊ぼうとしただけなのにてるんちゃうまさ
[01:32:25.080] れてるとは思うけどねバカじゃん笑笑笑笑
[01:32:29.159] しし
[01:32:31.040] うしどれが抜いていいあれなんだかわかん
[01:32:33.719] ねえよ戻しの
[01:32:36.440] 邪魔どれが抜いていいあれなんだかガチで
[01:32:39.360] やろうとしてるや
[01:32:40.960] んいや充電はしとこうかなとタブ付けたら
[01:32:45.679] めんどいか一石の使い方今度整理しようね
[01:32:51.600] よいしょ今度整理しよう何
[01:32:55.840] そのちゃんとケーブルにタグつけよあタグ
[01:32:58.960] ねめんどくさいよ
[01:33:01.960] そんな
[01:33:04.000] ええ余ってるからあげようかあ余るんやっ
[01:33:08.840] とけよってことね
[01:33:11.520] あ
[01:33:15.719] でちょ映んなくなっちゃったしお猫のタグ
[01:33:19.800] も余ってるようつっちなっちったよこれよ
[01:33:24.560] やめて喉
[01:33:27.760] 壊れる
[01:33:32.960] 笑笑あ映んねえ
[01:33:36.920] よ打ん
[01:33:39.480] ね撃んなくなっちゃっ
[01:33:42.159] たタイミング
[01:33:57.119] のりケテスのりケテスのりケテおらん邪魔
[01:34:01.800] とびっくりちゃま
[01:34:04.400] 床おかり床にいるの
[01:34:13.239] かどこ
[01:34:22.320] 笑き
[01:34:41.320] た睡眠導入BGMアイス持ってくるかな
[01:34:46.119] 神隠しか
[01:35:00.400] ストーカーに連れ去られたか
[01:36:10.560] トイレでも言っとるんか
[01:37:39.599] うわはいどう
[01:37:41.679] も
[01:37:45.639] ああ
[01:37:49.920] ただいまよし
[01:37:53.880] やります
[01:37:58.800] よくそもうさあびっくりさせんのやめよ
[01:38:04.239] マジ
[01:38:06.360] でびっくりさせんのやめよう
[01:38:11.280] よびっくりさせないでくださいびっくり系
[01:38:14.520] 苦手なんだね苦手だろ得意なやついないの
[01:38:18.639] バッテリーもねえし何もねえしやちゃなっ
[01:38:21.840] たくよ
[01:38:23.800] ちゃまどうすんのちゃまどうすんの
[01:38:27.040] よいしょゲームオミュートする
[01:38:30.239] かミュートしやろうかなお化け屋敷に来て
[01:38:33.360] びっっくりさせるなという
[01:38:38.800] クレームでも俺このゲームそんなびっくり
[01:38:41.800] させられるゲームなんて聞いてない
[01:38:51.679] よ微妙になんかあれが合わないんだよね
[01:38:54.719] ノーティ
[01:38:57.920] ドッグ
[01:39:00.639] よしどうから
[01:39:08.440] だろうえどっからな
[01:39:11.679] のまでもオートセーブされてるこな肌綺麗
[01:39:15.119] なのおいや知らねえ
[01:39:19.480] よ知ら
[01:39:21.800] ねまあ若いから
[01:39:28.599] ねいやこれ多分あの普通にカメラの性能が
[01:39:31.719] いい
[01:39:33.440] だけカメラの性能がいいだけ裏いやマジ
[01:39:38.159] であんまり光消したらそんなきれのために
[01:39:42.599] 常木を使っておるのですキャンディ
[01:39:45.280] シンドロームみんな肌
[01:39:48.480] きれみん
[01:39:50.960] きれんにし
[01:39:53.599] てなんだこの髪なんだこの
[01:39:57.719] 髪腕毛めっちゃ生えてるよ俺腕毛とすね毛
[01:40:01.280] めっちゃ生えてる脇毛とかちん毛とか全然
[01:40:05.159] 生えてない全然生えてない思ったけど腕毛
[01:40:09.040] 綺麗ってなんで綺麗もクソもねえだろ毛
[01:40:12.679] 薄いから
[01:40:15.880] ねしし全画面顔面で配信してたしじちゃん
[01:40:20.119] も頼んでないのに顔
[01:40:23.560] ペパンかよ笑笑ペパンじゃロード投げんだ
[01:40:27.679] よそうこれ一番最初なねこれどっから
[01:40:29.920] セーブされてるよなさすがになさすがに
[01:40:32.480] セーブされてるよね大事なとにだけ生え
[01:40:35.599] ないのおかしくない守ってるの毛とか全然
[01:40:40.159] 生えてないよ
[01:40:41.440] 俺はいどっからだああ良かったよかった
[01:40:44.719] こっからだオ
[01:40:46.199] オオオだよなさすが
[01:40:50.560] ノーティドックただここ
[01:40:53.840] 脇は大事じゃないって
[01:40:56.040] こと脇は大事じゃないんじゃないこれな
[01:40:59.280] 撃たれたの俺の
[01:41:00.679] せいもうさいきなりさやぶっぱなしてくる
[01:41:04.159] とかやめろ
[01:41:06.280] や来るぞお前ら気をつけろ来るぞ多分この
[01:41:10.520] 段差登ったら来るよいつも脇が甘いって
[01:41:12.880] 言われるんだよ毛細血管がいっぺい詰まっ
[01:41:15.960] てるの毛細血管がいっぱい続くてるやわき
[01:41:19.199] 毛細関がいっぱい来る
[01:41:21.639] ぞざんなびっくりするで決まってんだろ
[01:41:24.880] こんなふざけやがっ
[01:41:28.040] てふざけやがっていや俺が抜くんかいこれ
[01:41:33.440] 酒が1回てる
[01:41:36.040] とこめちゃめちゃくませめちゃめちゃえ
[01:41:40.360] だろこんなサズの問題だな守るでもないと
[01:41:43.960] 誰こいつらは
[01:41:46.080] 笛俺たち何えチーム友達
[01:41:57.320] 唐突に部族チーム
[01:42:00.520] 友達音をめた
[01:42:05.679] 口笛どうすんの
[01:42:08.800] これこんなんだってどうしようもないやん
[01:42:12.440] ごめんちょっと待ってごめんごめん
[01:42:14.239] ちょっと待ってあのさごめん見づれえから
[01:42:16.560] なしあのもうもうちょ見ねえから画面戻す
[01:42:18.560] わちょやりづれえ
[01:42:36.159] 同じ画面見てる
[01:42:40.320] の同じ同じ空の下だよ同じ月を見てるぜ俺
[01:42:44.880] たちは邪魔してでも影響あったんふざけ
[01:42:48.080] やがっ
[01:42:49.440] ていや本当はこっちの画面見りゃいいんだ
[01:42:52.119] けどあ
[01:42:54.800] はいそうすっとこうなっちゃうから俺も
[01:42:57.960] こっち見てんだ
[01:42:59.599] よこれPPおなんなんだよお前らマジ
[01:43:03.239] 腹立つのやられたことやり返してやろう
[01:43:12.199] か死ぬと消えるのおもろい蛇出るよ夜に
[01:43:17.159] そんなことして指笛ならせたら気持ちいい
[01:43:20.280] だろうな警戒の土笛
[01:43:23.320] ダメ
[01:43:25.000] そういやこれ草が邪魔
[01:43:33.199] でトプスあるある
[01:43:42.199] 笑
[01:43:49.440] ああ俺たち何えチーム友達
[01:44:02.199] らすまん
[01:44:04.800] なすまん
[01:44:08.880] なあどこないでは草やられる時も口笛吹い
[01:44:13.719] てみろ
[01:44:18.119] だろやられる時も口笛吹いてみろよ
[01:44:28.000] 騒がないでっての鬼畜すぎて
[01:44:36.400] な助け読んでみなその土笛
[01:44:41.159] でこれでもサチ笛なんてなりすませるんだ
[01:44:44.800] から応答すればよくない切られた首筋から
[01:44:48.199] 音出てそうろ
[01:45:01.199] あそこにもいるこのこの木の向こう側に
[01:45:03.400] いるあれどっちのが近いか
[01:45:07.599] な切られた首筋からビって
[01:45:19.400] 笑笑これたちないエチ
[01:45:23.639] 同じ音出し
[01:45:31.360] て口笛できねえんだ
[01:45:38.280] ようますぎ
[01:45:42.159] ない
[01:45:47.320] あッ俺たち何えチーム友達
[01:45:53.320] あるんやろ笛カスカスで
[01:46:04.560] 笑うあと何匹いんだゴミどもが
[01:46:14.760] はえあと何匹いん
[01:46:21.920] の村ありがたいい草村マジ
