[00:00:05.040] テる
[02:21:44.319] が好き
[02:21:47.840] 何何何きち君と知っとるけど
[02:21:51.960] 何それ何それ知らない知らないどっちも
[02:21:53.720] 知らない何の話逆になんで収しようと思っ
[02:21:57.520] たんだろう安く変えるからじゃないわかん
[02:21:59.880] ねえけどが何それ何それ何それ知らね
[02:22:03.640] 何それ
[02:22:06.359] 何の話も怖何の話だよ知らないえ
[02:22:15.399] 何何何おかし
[02:22:18.800] [音楽]
[02:22:20.800] 何それどういうアイスそれなんかそれ関西
[02:22:24.800] とかにしかねえだろ多分九州とか関西とか
[02:22:27.080] しかなさ
[02:22:29.280] そうアイスなんだ
[02:22:33.840] 笑出てこないなこれまた九州
[02:22:38.000] 限ない九州限定だってさないこれ限あ九州
[02:22:43.600] 限定なんだみたいな感じへ
[02:22:51.280] 関東限定ってなんかあるかな本当にうまい
[02:22:56.160] へえそれはおいしそう関東限定ってなんか
[02:23:00.520] あるかね福岡に来たら食べてみなうんま
[02:23:03.920] いやなかなか行くことねえだろうなからん
[02:23:06.359] な
[02:23:08.640] うんマックスコーヒーとかは関東限定だ
[02:23:11.720] けどね
[02:23:12.600] あとイチゴ牛乳じゃなくてんだっけえ
[02:23:15.200] レモン
[02:23:16.680] 牛乳あそうなのあ見かけるんだ
[02:23:20.840] 出た出た出た満月ポンね満月ポンなんか
[02:23:23.840] おいしかったわ8からもらったけど北じゃ
[02:23:27.000] ない東北
[02:23:28.399] かマックスコーヒーはぎだっけちだっけ
[02:23:33.800] マックスコーヒーうまいよねバカコーヒー
[02:23:36.680] 西日本だけ今そうらしいねなんでだろう
[02:23:42.120] ねカール好きだったんだけどあ
[02:23:45.399] ピックアップねなくなったお菓子と言えば
[02:23:47.479] ピックアップ知てるピックアップていう醤
[02:23:49.920] の食べて出たそれももらっそれも確か俺
[02:23:53.520] なんてあれだよなハにもらったと思うたん
[02:23:57.359] だっけな全国にさえ本当マジえじゃ教える
[02:24:02.000] わあちゃまゲのジソってこんな簡単に
[02:24:04.160] もらえますからね笑カールはそんなに好き
[02:24:06.600] じゃなかった俺チーズ味のお菓子大好きな
[02:24:08.920] んだよな最近だからエアリアルとかもよく
[02:24:12.120] 食べるし
[02:24:13.160] ね俺ピックアップが好きだったんだなんか
[02:24:15.800] 黒いさペンギンがさペンギンのコックさん
[02:24:18.800] がこうやって乗ってるさあの箱のお菓子
[02:24:21.760] 知らないピックアップって
[02:24:24.240] いうもいい
[02:24:26.040] ねあれめっちゃうまいよ
[02:24:28.900] [音楽]
[02:24:33.319] ねれ全部からもらった
[02:24:35.910] [音楽]
[02:24:39.680] ガターだろう
[02:24:41.790] [音楽]
[02:24:43.279] がっ
[02:24:45.479] たかお土産でっ
[02:24:50.439] ちゃった
[02:24:54.439] けどポテトチップス編集勝利は神
[02:24:58.399] 美味しかった確かに美味しかったわどう
[02:25:00.359] だった赤い狐薄かったああ同時に
[02:25:04.680] 食べくらべたわけじゃないからあんま
[02:25:06.560] わかんないけどま確かに薄かったかもね
[02:25:08.479] 友達にじゃがりこチーズ味あげたら
[02:25:10.479] めっちゃ怒られた怒ることないじゃんね
[02:25:13.359] 怒ることなくない俺めちゃめちゃチーズ
[02:25:16.479] 好きなんすよチーズ味というかチーズが
[02:25:19.600] 好きで
[02:25:20.880] ちょっとなんかラクレットチーズオフしね
[02:25:23.600] か甘いんだねのあなるほど
[02:25:28.200] ねラクレットチーズオフしたいそうなんだ
[02:25:32.479] よそうなくなっちゃったのピックアップ
[02:25:33.880] 大好きだったのになれるやろ怒ることねえ
[02:25:38.439] だろようまい
[02:25:42.790] [音楽]
[02:25:45.399] じゃんたいチーズとかしたいわ
[02:25:50.479] だったらマジでもう無限に食えるうん
[02:25:53.600] めちゃめちゃ好き何にでもチーズかけ
[02:25:55.279] ちゃうよ俺来た来た来た来た来
[02:25:58.880] たクソでかチーズ炙って削ったリゾッいい
[02:26:02.479] よねあのさでっけえチーズのなんかキれ
[02:26:07.240] 断面をさなんかバーナーかなんかでぐーっ
[02:26:10.479] てやってさでっかいナイフでさその溶けた
[02:26:13.000] 部分をさ
[02:26:14.680] ぐあれあれあれやってよ俺あれ体にやって
[02:26:18.680] ほしい体にう
[02:26:21.359] てほしい俺あれ体にやってほしいもう好き
[02:26:25.880] すぎて
[02:26:28.319] うあれ会しかないのあれしかないあれ会
[02:26:33.279] しかねえべ多分倒せ
[02:26:35.359] よしねメンタルちょっとさ
[02:26:38.640] 技チーズの中にスパゲッティ入れて混ぜる
[02:26:41.920] やつ知て何それああ知ってる見た見た見た
[02:26:45.279] なんかさもう超でけえチーズの上を直接
[02:26:48.920] 炙ったりしてそのの上にボンて置いてこう
[02:26:51.600] やってやって作るやつねめちゃうまそうだ
[02:26:54.560] よねあれ動画見たTwitterに流れて
[02:26:57.640] きたよねあれやばいよあれやばいよね行っ
[02:27:01.359] てみ
[02:27:03.800] たい配信でやるべえかなさその夢のような
[02:27:08.880] 夢のような
[02:27:11.080] さそれを叶える配信みたいな説明やめて
[02:27:15.399] ぶわーチーズ削ってそれぐわーチーズ流れ
[02:27:19.399] てほんだテジがごわ言って食べてほんま
[02:27:23.600] びっくりしました
[02:27:25.880] わ千原ジュニアも見てます笑笑ぐわー言う
[02:27:30.720] てでっかごわでっかいチーズ出てきて
[02:27:34.880] うわーと思ったら店員さんがでっかい
[02:27:38.720] バーナーでぐわーぶってでっかいナイフで
[02:27:42.880] ぐわー削って本だら政治がめちゃめちゃ
[02:27:47.319] 食べてましたわ
[02:27:49.800] [音楽]
[02:27:51.720] なんかいい技ないたら絵2時50分なんよ
[02:27:55.279] うるさいなんだお前らお前らのためにやっ
[02:27:58.600] てあげたのに喉俺だって喉痛いんです
[02:28:03.080] けど喧嘩喧嘩は俺も喉痛いんだ
[02:28:07.720] けどお前らのためにやったんだろう
[02:28:14.520] ねごめんごめん嘘嘘嘘やってあげた出すの
[02:28:18.399] は良くないよね
[02:28:21.319] まだ時半だよまだ時半押し付けやめてね
[02:28:24.279] ファンサの
[02:28:25.479] 押し付けファンサの押し売り
[02:28:29.920] これこっから帰れないのだるい
[02:28:33.800] なもう育成いいから進めようか
[02:28:38.240] な
[02:28:42.840] だめトム
[02:28:44.800] ブラウン鳴き声がトムブラウンメンタルの
[02:28:52.120] ダメ
[02:28:55.319] あ出た出たこれちょっと違うポケモンに
[02:29:00.560] やるかじゃあリザポにする
[02:29:03.279] かガたあと3レベで進化だよ橋にるとき
[02:29:08.160] たくなる
[02:29:09.880] だまるうまいうまいラーメンうまいね
[02:29:13.399] うまいラーメンういうまいで挟んでるから
[02:29:16.560] な相当んだろなラーメンショプもよって味
[02:29:20.560] 違うからねあれただフランチャイズだから
[02:29:22.279] さ店によって全然味ちげえからポケモンの
[02:29:25.720] 泣き方の豆なんなま1番好きなポケモンの
[02:29:29.200] はなんだよ1番好きなポケモン
[02:29:32.040] [音楽]
[02:29:33.600] 何ポリゴンルはいこれポリゴン栃木の
[02:29:38.880] ラーシどこもレベル高いらしいねあそうな
[02:29:42.560] の他わかんねえわ回しか行ったことないん
[02:29:45.399] だけど外れ引いたのかあんまりいい
[02:29:47.359] イメージない回付き合ってラーシ深いやる
[02:29:51.160] じゃ深いよなラーシ
[02:29:53.800] 巡り人影人影て
[02:29:58.200] ね言っとくけどこれめちゃめちゃ似てる
[02:30:00.880] からね家で作ったラーメンとそんいやいや
[02:30:04.399] いやそれは外れすぎるだろいやわかんない
[02:30:07.080] めちゃめちゃいろはちゃんちのラーメンが
[02:30:08.640] うまいだけかもラーメンショップは安物の
[02:30:10.720] 袋麺がデロデロになったの出てくるえ
[02:30:14.000] そんなことないでしょラー1か所だけ
[02:30:16.560] めちゃくちゃうまいラーあったなうまい
[02:30:18.800] ところはうまいよねよ
[02:30:21.520] 笑あのラーシのよでっけえ器にビタビタに
[02:30:25.600] なってさスブビタビタになってさくせ
[02:30:30.040] ラメンサンダー
[02:30:33.359] サンダー
[02:30:35.240] 難しいすべきもがせラーメン見つけ
[02:30:40.279] た山屋で見つけたトコ
[02:30:47.040] ググルなんとかとか
[02:30:51.560] みでいただき
[02:30:55.479] ますくせラメンやめ
[02:31:02.710] [音楽]
[02:31:04.840] のらどうすんべ
[02:31:07.439] これマジで臭いからなラーメン山岡の
[02:31:10.399] ラーメンは声どうやって覚えたのえ気づい
[02:31:13.800] たら覚えてたが気づいたら覚えてた
[02:31:21.840] 臭いもんてうまいからね言っとくけど臭い
[02:31:24.520] もんて大体埋めんだよ納豆とかもそうだ
[02:31:26.600] けどセメント系ラーメンも捨て何セメント
[02:31:29.680] 系ラーメンてどういうこと言何セメント系
[02:31:37.279] ラーメンズ
[02:31:40.350] [音楽]
[02:31:43.640] のらポケモンじゃねだろ臭くてういもん
[02:31:47.160] ねめごめんあれはでまずいまずグとアグマ
[02:31:51.319] マジでまずかった本当にまずかった草すぎ
[02:31:55.399] て食えたもんじゃ
[02:31:58.520] ねえもう本当に皆さんねアグマと穴熊の肉
[02:32:02.120] はマジで臭すぎて食え
[02:32:04.279] ねえ動物園凝縮しましたみたいな匂いする
[02:32:07.560] もんちゃんと絶望しながら食べてたねもじ
[02:32:10.359] ちゃんなんか全然食えてたけどねなんか
[02:32:12.200] あいつ食いもんに興味なさすぎてそういう
[02:32:14.720] のがいんだろうないやマジでまずいよ
[02:32:20.040] 本当に配信で食べた
[02:32:21.800] けど2度と食わねえと思った
[02:32:27.880] もんカンガルーは美味しかったね
[02:32:30.479] カンガルーは美味しかったうんカンガルー
[02:32:33.840] あのイノシシとか全然うまいぜにして入っ
[02:32:36.600] てる煮干ドロドロにして入ってるそれ
[02:32:38.600] セメント系って言うん
[02:32:40.200] だ煮干系のラーメンも結構癖あるよ
[02:32:44.760] ねあ
[02:32:47.640] どこカンガルーはによよってはうまい
[02:32:50.960] イノシシと全然どこでも食べれるもノシ
[02:32:54.000] ボタンボタン鍋てあるからねほぼほぼ牛肉
[02:32:57.600] みたいなもんだあれちょっと臭いけど
[02:33:00.080] 1500人でまた洗いとか食べる配信する
[02:33:04.120] んしまだまだいっぱいまだまだいっぱい
[02:33:08.560] 食べてない肉あるんだよトとかカラスとか
[02:33:12.560] スズメとか肉多いよねあとなんだろう大道
[02:33:16.279] ソムとかやるかまたまたやるかあれ大王足
[02:33:20.359] 虫食べる
[02:33:23.760] 配信あれ部屋くなんだもんマジやだそれが
[02:33:28.120] カラスまずそうカラス絶対まずいよね食べ
[02:33:30.920] ていいのかななんでスズメ食べたことあん
[02:33:33.319] のマンモスもそのうち食えるようになり
[02:33:36.000] そうだしねえそうなのマモ肉再現配信
[02:33:38.680] しようい虫はごめ虫はごめん虫は多分俺
[02:33:42.439] ネタじゃなく本当に食べれないと思う俺虫
[02:33:45.160] 死ぬほど嫌いだから俺スの丸焼き京で売っ
[02:33:47.680] てるええ
[02:33:50.319] で食べてみたいやカルは食べたことあるよ
[02:33:52.000] カエルは普通に居酒屋で出てくるもん
[02:33:54.359] あんな言われなかったら取りに行くだよ
[02:33:56.120] 全然わかんないわかん
[02:33:57.170] [音楽]
[02:33:59.319] ないカエルはねいやマジ捨てるよそのまま
[02:34:03.680] 悪い
[02:34:04.960] けど悪いけどそのまま捨てるよカラス普通
[02:34:08.200] に食え
[02:34:08.860] [音楽]
[02:34:12.520] たある帰るはね割とあ蛇も食べてみたい
[02:34:17.340] [音楽]
[02:34:25.520] ちょっとガバと進化したらもう次進むわ
[02:34:28.520] あと2レベ
[02:34:31.200] ぐらい蛇は見た目えぐいいやでもあんな
[02:34:34.920] もんなんかウナギのか焼きだと思ったら
[02:34:37.680] そんなでもない
[02:34:38.270] [音楽]
[02:34:40.240] ぞやべえなんかゲテも配信またしたくなっ
[02:34:43.240] てきた
[02:34:44.760] な帰るの悪いところはただ1つ
[02:34:48.200] めちゃめちゃコス確かにコ悪いねて見た目
[02:34:51.600] ハモみたいな感じかと思ってハモがかん骨
[02:34:55.399] 多いよ確かにね食べたことああそうなの
[02:34:57.720] ポコミお疲れ
[02:34:59.399] こんばんはサも食べてみたいなで虫は
[02:35:02.600] きついよなやっぱそういう系は
[02:35:05.000] な配信で食べたことあるけど
[02:35:09.040] さその動物の肉はまだ体が許してくれるん
[02:35:13.000] だよ動物の肉は臭くてもまずくても体が
[02:35:16.359] 許してくれるじゃんめちゃくちゃおいしい
[02:35:17.920] よとか穴
[02:35:20.160] アジア行けばいろんなの食える
[02:35:23.040] へえ
[02:35:24.680] あのワンチン虫は見てる側もきつそうそう
[02:35:28.200] そうそうそうだよねそうだよねそうだよ
[02:35:31.720] な虫はちょっと勘弁だなめちゃだ多分
[02:35:36.319] ポコミとかはさ北海道にいるから
[02:35:39.399] さ北海道にいるから多分さ虫とか多分
[02:35:43.160] そんなにのあだ体がある逆にあるんだろう
[02:35:47.920] な悪知らないからだてえポコミだって
[02:35:52.439] ゴキブリとか見たことねえべゴキブリあり
[02:35:55.240] とかはめちゃ酸っぱいらしいよね
[02:35:58.560] キビヤックもめちゃめちゃまずいっていう
[02:36:00.200] ね北海道そうゴキブ見たことないんだもん
[02:36:02.520] な多分なで触れない虫ないレベルいや
[02:36:05.560] すごいな虫の気持ち悪さを知らないんだよ
[02:36:09.279] ある日突然めちゃめちゃ油断した時に壁に
[02:36:12.560] でっかいゴキブリが止まってた時の絶望感
[02:36:15.120] あのあれあれってやっぱり体験しないと
[02:36:17.479] だめだよならしねあそうなんだあったかい
[02:36:21.160] 方にはいるん
[02:36:21.990] [音楽]
[02:36:23.319] だそゴキブのやなとこって完全に気が抜け
[02:36:26.640] た時にいるからやなんだよねああ疲れたな
[02:36:29.760] つってこうやってああもう寝よっかなつっ
[02:36:31.920] たら壁にでかいのがいたけどさうわなんだ
[02:36:35.640] らねあの絶望感や潜在的に人間が持ってる
[02:36:42.000] さその縄張りに入られたあの嫌な感じ
[02:36:45.720] 縄張りにさ侵入されたあの気持ち悪い感じ
[02:36:48.279] に似てるんだろうな多分本当にそういうの
[02:36:50.279] あると思うよに組み込まれてるらしいね
[02:36:53.160] やっぱそうでしょだからその家というさ
[02:36:56.520] その自分のテリトリーなわけじゃんそこに
[02:36:59.640] 虫とかがやっぱ入ってくると気分悪いんだ
[02:37:01.600] よ多分落ち着きたい時に出てくるのいや
[02:37:05.160] マジでそう北海道にスがいるイメージある
[02:37:09.240] 山育ちのばあちゃんに家の中に飛ばされた
[02:37:12.200] 時ばあちゃんがわざと飛ばした
[02:37:15.600] のセミとかねあだよねでも俺家の中にさ
[02:37:20.760] あのコウモリ入ってあるからね夏の
[02:37:24.200] あっちい時さ開けてたらさなんかコウモリ
[02:37:26.479] がバンて入ってきてバラバラ飛んでだと
[02:37:30.240] 思ってたんだよばあちゃんソフトシェルの
[02:37:32.880] セミおいしいさすが東怖いなそうコウモリ
[02:37:36.840] はやだよね汚いしねあるよね結構夕方飛ぶ
[02:37:40.439] もんね外だとかっこいいのに部屋で出た
[02:37:43.200] カブトムシはまカブトムシとかもや
[02:37:45.920] カブトムシ早くないからいいじゃん捕まえ
[02:37:47.399] られるじゃんあの角持てば全然
[02:37:51.840] ゴキブリは捕まえらんねえから
[02:37:53.770] [音楽]
[02:37:56.560] なソフトシェルのセミって
[02:38:00.600] 何なあ寝ちゃったよ1匹ずつ上げ1匹ずつ
[02:38:06.080] だねまていうかうんあの学習装置持たせ
[02:38:08.960] てるけどね2匹ずつかなが窓にぶって首
[02:38:12.920] 折れ
[02:38:14.399] てが捕まえれスピードから脱してる
[02:38:21.439] そうだ
[02:38:22.640] よぼまであげるの
[02:38:25.920] 60いやいやあのね今あのね今ねガバトっ
[02:38:32.240] てやつ育ててんだよこれあの学習
[02:38:34.840] 装置学習装置を戻せんだけどこいつを今
[02:38:39.279] 48で進化なんだこいつ48になってら
[02:38:41.479] やめる
[02:38:45.120] 進めるだめだこれ寝ちゃった
[02:38:49.990] [音楽]
[02:38:52.080] ちょっとあれ買ってくるか人のおやつご
[02:38:54.000] ちそうらしいよね都会のセミええそうなん
[02:38:59.640] だもう少しだねもう少しうんあと2レベだ
[02:39:04.160] からあと1時間もしないよ多分30分
[02:39:05.680] ぐらいで終わんじゃ
[02:39:07.200] ない昆虫色はなんかさなんかあの最近
[02:39:11.319] なんかなんだっけあのコロパウダーが
[02:39:13.560] 流行ってるみたいなどうなったあれ
[02:39:16.600] 結局国が流行らせようとしてるみたいな
[02:39:19.439] 意地でも食わねえけどなそんな
[02:39:23.170] [音楽]
[02:39:27.960] もん切り剣はんだあそうなん
[02:39:31.600] だ日本人も結構なんで空から数増えたやつ
[02:39:35.680] 食っちゃえみたいなのいつも
[02:39:38.240] すの会社おしくすればんでも食べれる
[02:39:41.000] みたいな学習装置より本人戦わせた方が
[02:39:43.880] 上がったりはしないのいやするんだけど
[02:39:45.960] 弱くて弱育ててポ弱いからさ
[02:39:50.720] かるんだよ強いポケモンで一気に倒したが
[02:39:52.840] [音楽]
[02:39:54.120] 早いあ会社が潰れたん
[02:39:58.960] だまでも48だったらもう戦えるかこいつ
[02:40:04.270] [音楽]
[02:40:09.960] もすいよね日本人んでも食うから
[02:40:13.920] ねるこのこねーいいよ
[02:40:18.319] ねなと人が少なくなるのいいよ
[02:40:21.359] ねでもこれ日本の祝だね0にはならないっ
[02:40:25.000] ていう昼もっと人通ってんだ色々夜になる
[02:40:28.160] と人が少なくなるでも0にはならない笑笑
[02:40:31.359] これ日本の宿
[02:40:33.240] です0にすればええやんな夜はなで0には
[02:40:37.720] ならないなぜなら働いてる人がいるから
[02:40:40.359] 眠らない町眠らない
[02:40:47.680] 町北海道も行きたいな1回行ったことある
[02:40:51.640] んだ
[02:40:54.080] けどポコミ止まらせてくんねえかなヤドと
[02:40:57.080] の面くせえし例になったらそれは
[02:40:59.080] コロンビアとかなんよ何何何たい北海道
[02:41:02.920] 行きたいよね美味しいもんいっぱいあるし
[02:41:04.920] ね朝一で食ったあの海鮮丼うまかったな
[02:41:09.720] 箱館の衛生写真の日本の夜えげつなく
[02:41:13.040] 明るいらしいから日本の形だてっきり
[02:41:15.040] わかるじゃん行ったことないお魚食べたい
[02:41:17.240] めちゃめちゃうまかった朝5時に起きて
[02:41:18.800] 行ったけど
[02:41:20.560] よな北海道な俺のこの使ってるタンブラー
[02:41:23.399] ももう削れちゃったけどこれラッキー
[02:41:25.120] ピエロのタンブラーだからラキピの北海道
[02:41:27.960] 学旅
[02:41:30.319] で
[02:41:32.160] 微妙朝時まで起きていんだ
[02:41:35.840] よちゃんこんばんはちゃんお疲れちゃんな
[02:41:39.200] ちゃんお
[02:41:41.359] 疲れ今またポケモンレベル上げです
[02:41:44.560] よかった
[02:41:49.560] あるあってるねちゃうねんあの切ってきた
[02:41:53.720] の今日切ってきたんだよやっぱこんくらい
[02:41:55.840] 短い方がいいねチマゲームはねイケメン
[02:41:59.680] イケメンやべえまたモテちまうよな困った
[02:42:02.840] な俺に触れるとかれる
[02:42:05.240] ぜなちゃんさあの北海道行って北海道
[02:42:09.840] 北海道北海道行きてえなって話を今してた
[02:42:12.439] んだよ北海道行き
[02:42:15.240] たいバレンタインに
[02:42:18.160] 備頼バレンタイン送って
[02:42:21.760] ねやみ北海道行くんだ
[02:42:26.920] なでもあいつあれやん顔出ししてねえから
[02:42:29.880] 然的に作業するの俺だけになる
[02:42:31.740] [音楽]
[02:42:33.200] じゃんめっちゃおしかったう俺もね1回
[02:42:36.479] だけね旅行で行ったことあるんだけど
[02:42:38.279] めちゃめちゃうかった
[02:42:41.920] 巻いら
[02:42:44.560] ねやカメラだね働け働け
[02:42:51.080] あのさ朝一で食ったさ海鮮丼俺ウニとか
[02:42:55.479] 絶対食えないのにそこにウ入っててさうわ
[02:42:58.399] 食えるかなと思って食ったけど
[02:42:59.800] めちゃめちゃうめえ
[02:43:02.640] の妙の味がしないのやっぱあの本州の
[02:43:06.479] しかも栃に送られてくる海のない栃に送ら
[02:43:08.760] れてくるあのウなんても明かけまくった
[02:43:12.000] 薬剤の味しかしないの
[02:43:14.399] ねのう
[02:43:20.279] の味しないよそう明の味しかしないから
[02:43:23.160] 本州のウなんて栃木なんて海ないからあれ
[02:43:28.240] 朝その朝に取れてその5時に食べた
[02:43:31.760] めちゃめちゃうめえよ甘くて甘くて
[02:43:34.160] おいしい回線あるんかて思った甘てねあれ
[02:43:37.800] びっくりしたまた食べたいわあれ別の
[02:43:41.000] 食べ物だと思う
[02:43:44.110] [音楽]
[02:43:45.760] わあとお土産で買ってきたなんか物も
[02:43:49.080] めっちゃうまかったないろんななんか海
[02:43:51.279] だけはりさのじゃマジでダメもうまかった
[02:43:54.840] しなんでもうまいんでもうまいそう北海道
[02:43:57.240] はいいよ
[02:43:58.520] な大阪と北海道行きたいな今年どっちか
[02:44:03.160] 行きたい大阪の方が難易度は低いだろう
[02:44:06.330] [音楽]
[02:44:07.840] けどただどうなんだろうね北海道旅行とさ
[02:44:12.640] いや大阪マジで行きたいマジで今年1回
[02:44:15.359] 行きたい福岡もおいしいよ福岡もうまいね
[02:44:19.600] あの鍋食べたいわ
[02:44:21.760] 鍋モ鍋キャベツとニラとかいっぱい山
[02:44:25.040] こんなんなってるさ北海道旅行配信待って
[02:44:27.800] ます行きたいな大阪も行きたいな旅行行き
[02:44:31.359] たい
[02:44:32.200] 今年北海道は時期によるま冬はけないね夏
[02:44:37.080] 行ったけど涼しかったもんめっちゃある
[02:44:39.840] 餃子鍋は家でもす鍋いいね鍋食べに何クエ
[02:44:44.479] 鍋って魚クって魚のク北海道行ったらぜひ
[02:44:48.399] かす食べてほしい鍋か冬の津軽海峡及ぶ
[02:44:53.240] 配信来る死ぬ
[02:44:56.120] だしでもやっぱ大阪行きたい
[02:45:00.240] ね3月から9月に行くのがベストあ3月
[02:45:05.240] じゃまだ寒そうな
[02:45:10.479] ね肉厚防具だよ赤なんだけど俺が食べた魚
[02:45:15.319] の中で一番うまいと思って赤って高級魚
[02:45:18.479] でしょ東京乗り換1回で行けると思ままね
[02:45:22.800] 行こうと思えばねスノボしたいスノボ
[02:45:25.640] なんかできんのまなら雪ないから大丈夫あ
[02:45:28.439] そうなん
[02:45:35.240] だ高級じゃないよあそうなの赤いって
[02:45:38.680] なんか意外とできる女なの
[02:45:43.760] へえマイボードあるよえあそうなんだ意外
[02:45:49.080] スーパーで売ってるしバカみたいにうまい
[02:45:52.760] へええリビーさんてどこなんだっけどこに
[02:45:57.359] 住んでんだっけ言え
[02:46:00.200] ないいろはちゃん筋肉なさすぎてスの
[02:46:06.000] 毎回かれ
[02:46:08.359] ん函館まで行けるのいよなあもう言ってる
[02:46:13.240] やほぼ神奈川でその転んだら終わり
[02:46:19.160] 俺もスキーなんか全然できないから
[02:46:20.590] [音楽]
[02:46:23.680] な中学の時にスキー合宿行って
[02:46:27.640] さ1日目で全然できなくてもうつまんなく
[02:46:31.760] なっちゃって俺雪だま作ってたもんがあ
[02:46:35.000] そうなん
[02:46:37.960] だいいっすね
[02:46:41.359] 福岡福岡もいい
[02:46:44.560] し北海道もいいねノボ立てればの
[02:46:50.240] 簡単とすげ外みたいな顔される私ですあ
[02:46:54.120] するんだねみんな
[02:46:56.520] ねスキーなんかしないもん
[02:47:00.200] な福岡も行ったけど鍋いや行きたい鍋大俺
[02:47:04.960] 持つ大好きなんだ
[02:47:06.920] よ持つ大好きなんだよな行きてえなでも
[02:47:11.600] なんかいいよなあの関西の人ってさそのま
[02:47:15.000] まあ近行こうと思えば行ける距離に
[02:47:17.279] いろんなのがあるからね
[02:47:19.479] 関東からだとさどこ行くのも遠くてさ上も
[02:47:22.520] 下
[02:47:23.359] もま関東圏内だったら色々行けるけどさ
[02:47:27.359] やすいよあいいねと教え方が大事な気が
[02:47:31.080] する教え方うい人からなら滑れるように
[02:47:34.479] なったな最初全く滑れなかったけど遠いよ
[02:47:38.640] ね関阪行ったら麺食べておいでめっちゃ
[02:47:42.479] うい
[02:47:44.760] と関東部屋広すぎでってさあ栃木栃木も
[02:47:50.800] そうだ栃木でしょで茨城でしょで埼玉
[02:47:55.240] でしょ群馬でしょ何もないねん何もねえよ
[02:47:59.080] そこ全部悪い
[02:48:00.760] けど全然何もないもうそういうのなんで
[02:48:04.439] ないのこっちにはモつけ麺おいしいよねと
[02:48:07.520] かさないのよ関東って全部東京に吸収され
[02:48:11.680] てるから東京が悪なんだよ地方はだから
[02:48:16.240] パークがあるだろ全然なくゴミだんだも
[02:48:18.520] お前
[02:48:19.680] もんないくらいもないマジでなのです
[02:48:25.240] ちゃん
[02:48:26.920] もて
[02:48:29.240] どこ海外から1つ1つの言われる
[02:48:42.810] [音楽]
[02:48:47.720] らしいきたい今年マジで1回
[02:48:53.040] は大阪のレトロゲームりとかしたいな梅星
[02:48:57.279] のイメージああ州の梅ってこと州って木の
[02:49:03.160] ことあれ昆も有名じゃないそしたらった
[02:49:07.720] な京都ってなんかやばいイメージだよでも
[02:49:11.640] 俺京都って結構あそうなんだやばい
[02:49:16.040] イメージぶぶ漬け
[02:49:17.850] [音楽]
[02:49:28.560] 旅行してえな
[02:49:31.439] でたら怒られたけど良いとだった遊びに
[02:49:35.399] 行くだけなら良いとこそう遊びに行くだけ
[02:49:37.680] だったらな住むのはちょっと
[02:49:40.160] な住むのはちょっと
[02:49:43.239] ねの配信悪い
[02:49:49.080] 悪いかいいじゃねえか夜中に食い物の話し
[02:49:52.840] たくなるだろ
[02:49:54.960] 笑笑いっつも食べ物の話し
[02:49:57.880] てるすきゃねんもんだってです
[02:50:01.960] ねおいしいんだもんご苦手だったお兄さん
[02:50:05.760] 声が通りますなそれどういう意味お兄さん
[02:50:09.479] 声が通りますなってうるせえて意味うるせ
[02:50:12.239] えって意味食べ物は幸せになるうせてこと
[02:50:17.080] いや
[02:50:19.000] うせて言ってよんでそんなみたらしく言う
[02:50:21.720] のラーメンとピザ食べたあんお声が通り
[02:50:26.319] ます
[02:50:28.800] なかあとなんだっけあンさんいい腕時計し
[02:50:32.479] てはりまん
[02:50:34.319] ないい腕時計してんなておめえにはそんな
[02:50:37.319] 釣り合ってねえよみたいな意味なんでしょ
[02:50:39.560] 何なんだろうねその
[02:50:43.380] [音楽]
[02:50:47.640] 文化
[02:50:50.120] 一番元気だからな深夜がな昼間だもん俺は
[02:50:53.920] 寝てるのからあそうな
[02:50:58.160] のもう馬鹿にしてんじゃんかよ
[02:51:01.239] それこれは本当に似合ってるだろか
[02:51:05.840] よばあ時計見て時間見ろてこなんだ早く
[02:51:10.000] れってこと早く
[02:51:13.279] れこて
[02:51:17.520] て計の悪さはある意味発展国な実際本当に
[02:51:22.960] こんないやどう本当に言うのかよそれと
[02:51:26.000] 思うけどね俺も
[02:51:27.840] ね本当にそんなこと言うのかよって思う
[02:51:30.680] けどね横はげてるよあ白がある後で抜か
[02:51:36.760] なきゃ本当にそんなこと言うの本当に
[02:51:40.120] ぶぶ漬け出す
[02:51:43.200] のなんか飛躍して言ってるよな絶対な
[02:51:48.840] ういるかもしないけどさくらあそうなんだ
[02:51:53.000] 人間なんて案そんなもんだよどうかな
[02:51:57.080] ネットであんまりにもなんかネタになり
[02:51:58.800] すぎてる気もするけど
[02:52:02.150] [音楽]
[02:52:08.120] ね職場に京都の声はそれどういう意味で
[02:52:13.000] 言ってるっていうようなこと言ってくる
[02:52:15.920] こと
[02:52:17.040] あるもメ向かってそれもなんかそういうで
[02:52:21.680] 言ってく
[02:52:22.200] [音楽]
[02:52:24.600] のどういった
[02:52:28.080] 意味ある
[02:52:30.359] のう
[02:52:34.160] ししあそういうだから昔のなんか
[02:52:38.600] その文明というかそう残ってるところが
[02:52:41.640] あるんだ
[02:52:44.479] 多分そうなんだね
[02:52:49.640] 別にみんながみんなそういうわけじゃない
[02:52:51.040] だろうな分でもな明笑笑文明って言い方が
[02:52:54.399] 結構怖いイあそうなん
[02:53:04.359] だメソポタミアか
