[00:00:04.960] ドラゲナイきちゃブロード
[00:49:49.280] おいすげだリスナーの
[00:49:54.359] 鏡さすがすぎ
[00:49:58.040] ヘジしか出てこない
[00:50:12.680] よペイジしか出てこん
[00:50:15.599] ねワーウルフあたり来てほしいけどいや
[00:50:20.640] あれあれここもう兵しか残ってないんだっ
[00:50:23.440] けんことねえよなあれ2階だったっけあれ
[00:50:26.960] ワーウルフって2階
[00:50:30.040] か2階だったっけなんか平しか出てこんね
[00:50:33.440] ここ
[00:50:37.280] ねあれ2階だったか
[00:50:44.040] なあ2階
[00:50:47.920] たお前詳しい
[00:50:50.720] な何そのめちゃめちゃ詳しいじゃん
[00:50:55.640] 笑笑じゃここ平時しかもう残ってないんだ
[00:50:58.240] な多分な2回
[00:51:03.000] かに3
[00:51:09.799] 匹ドラゴンナイト博士やっけもうすごすぎ
[00:51:14.280] ドラゴンナイト攻略ウキじゃねえかよお前
[00:51:16.559] 詳しいのおもろい笑笑ドラゴンナイト攻略
[00:51:20.040] ウキじゃねえかお前
[00:51:24.960] も頭
[00:51:27.160] ああじゃアナコンダから行きますか
[00:51:29.799] アナコンダから行きますかアナコンダ行き
[00:51:39.680] ましょうレムちゃん来ましたレムちゃん来
[00:51:43.480] ましたいい
[00:51:45.480] よ俺はたるいいねいいですね俺はバーン様
[00:51:51.839] だ私
[00:51:55.160] はの
[00:51:57.720] こんばんいますいいですね結構これあも
[00:52:00.960] さんこんばんは蛇が黒くないサーニャの
[00:52:03.720] ことを知っているかええ詳しくは知らない
[00:52:07.640] けど名前だけは蛇かわいそうすぎるそう
[00:52:11.559] だったな結構フェニックスの街はそんな
[00:52:14.400] ことになっている落ち着いてるキャラです
[00:52:16.280] ね他の女の子たちも私と同じようにこの塔
[00:52:19.440] の中
[00:52:20.440] で恐ろしいことだわお願いたるさんみを
[00:52:25.280] 助けてクスの街には若い男の人がいないの
[00:52:28.760] に俺しかいないやな大丈夫だ俺たちがいる
[00:52:31.799] お前若くねえだろま安心して町に戻れば
[00:52:35.079] いいありがとうじゃあ先に街に戻るこれ
[00:52:39.559] お前ら分かるかなこれおっっぱいあるやん
[00:52:43.280] 乳首見えてないと思うでしょこうやって
[00:52:45.960] やってる腕のさここのさラインが黒じゃ
[00:52:49.440] なくてここのこのこの34ドッだけ茶茶
[00:52:54.559] 表現されてるこれもうを入
[00:52:58.799] を素晴らしいですよこれそこはおらおめえ
[00:53:03.599] らそこしか俺俺だけじゃないんだあなんだ
[00:53:07.599] お前
[00:53:08.400] ら俺だけじゃないんだ笑笑お前らちゃんと
[00:53:12.440] 見てたわなここなここだけちょっと茶色
[00:53:16.119] なってんのちゃんと見てるよ当たり
[00:53:19.640] だろいいよないいよなそういうこの表現の
[00:53:23.480] 豊かさ美しいすね
[00:53:27.839] 素晴らしい職人ゲを見た
[00:53:31.920] うんちょっと1人1人やってくわなんか
[00:53:34.480] イベントなんか上書きされそうな予感が
[00:53:36.400] するなんかえだとしたら1回の兵はどっか
[00:53:40.480] で俺取り逃しちゃってるってこと兵のまだ
[00:53:43.359] 持ってないよね
[00:53:44.559] あの怪獣のやつ
[00:53:47.040] ね関係ないのかな別
[00:53:49.640] にランダムじゃないからどっから取り逃し
[00:53:52.640] てんのかなここ兵だけ残っちゃってんだよ
[00:53:54.640] ね
[00:54:00.720] 私貧血気味なんでなんかあの1フロアに4
[00:54:05.160] 種類なんだよね法則見つけた1フロアに
[00:54:08.920] 女の子4種類だ
[00:54:10.440] からだ
[00:54:12.680] からここ1匹取り逃しちゃってん
[00:54:20.280] な私もうなんかレベルが上がりすぎてさも
[00:54:24.040] 戦闘シがもう何も苦じゃないからいいね
[00:54:29.240] いやこれはね素晴らしいゲームだよ本当
[00:54:35.880] になんかエッチな女の子が出てくるって
[00:54:39.079] だけでこのなんか大雑把な戦闘システムと
[00:54:42.000] か何も食じゃないもん
[00:54:47.040] ねよしどうするかなうんまずはえ本当は全
[00:54:52.079] を許せる本当はあの1回セーブしよっか
[00:54:58.119] 本当は魔法使いの家に行って魔力を込めて
[00:55:01.040] もらうんだがその前に宿屋ですねいや
[00:55:03.200] ちょっとエッチなシ来て欲しいですけども
[00:55:04.960] でも前回もう乳首出てますからワンチャン
[00:55:07.680] あるさんいらっしゃいワンチャンあると
[00:55:10.960] 思います止まり
[00:55:13.640] ましょう来るぞお前らアナコンダの子が
[00:55:16.760] 行きますレムちゃんが来ますはいどうも
[00:55:25.319] こんばんはお帰りなさい可愛いすねあれれ
[00:55:29.160] 君はレムちゃんだったっけ饒舌この宿屋
[00:55:33.079] から見える
[00:55:34.839] ですたのおかげで少しずつ街に女の子たち
[00:55:38.280] が戻ってきたみた呼び捨ていいよ俺だけの
[00:55:40.760] 力じゃないさ呼び捨ていいよねえたるさん
[00:55:43.880] 不思議だと思わない街の女の子たちは
[00:55:46.880] こんな目にあっても誰もこの街を出ていか
[00:55:49.280] ないのよみんなこの街が好きなんじゃない
[00:55:52.480] かそうみんなこの街は愛してるのよ約束
[00:55:57.000] するよ俺がこの町を元に戻してやるよお
[00:56:01.039] ありがとう今それしか言えない
[00:56:04.760] けれど
[00:56:06.680] えうわおエッジ
[00:56:10.520] はやっぱあれだこれ当たり外れある
[00:56:15.240] な笑笑はあよしどうする
[00:56:20.200] かいやままあまあでもまでもまあまあまあ
[00:56:24.799] まあまあ今日てんな
[00:56:27.160] し
[00:56:28.520] ます1乳はちょっとお約束したいですね1
[00:56:33.039] はちょっと俺は平さえ見れればい平は
[00:56:36.640] ちょっと頼むよでもあの皆さんでも安心
[00:56:39.720] ください前回本当に前回本当に乳首1回出
[00:56:43.000] てますからおもそこはもうちょっと分そう
[00:56:46.000] いうのシーンがあるということは本当に
[00:56:49.000] あのねあの約束されてるので大丈夫と思い
[00:56:52.799] ますちょっとあのれだったかな
[00:56:57.480] また頼むのなんか顔やばくねあれこんな顔
[00:57:00.359] だったっけ
[00:57:01.319] こいつしかしこれしか方法がないんだえ
[00:57:05.400] どうしたこ死にそう顔色が良くないぜえ俺
[00:57:12.160] かちょっと疲れてるからいや変だぞ魔法
[00:57:18.280] 使い
[00:57:19.720] のそういえば俺たちが部屋に入ってきたの
[00:57:23.200] に一言も文句を言わないなんて
[00:57:28.319] え
[00:57:31.079] こ死んでるんだっ
[00:57:33.640] えじゃこの玉に魔力を封じられるもの
[00:57:37.640] はいなくなってしまっ
[00:57:40.280] たそれより先にこのあれはいいの死んだ
[00:57:43.680] ことに対するあれはないん
[00:57:46.160] だるこれを見ろ血文字
[00:57:50.880] がち残念だった
[00:57:56.799] ちゃんとちゃんと悪いことするんだなメサ
[00:57:59.079] にャしかもあんまりそういうあの
[00:58:02.400] ダイニングメッセージというかそういう
[00:58:03.960] なんか反抗欲に笑い声まで書くことない
[00:58:06.200] けどなほほほまで書いてあったのなしかも
[00:58:09.839] 血文字
[00:58:11.920] であんまりないけど笑い声まで文字にする
[00:58:15.960] そうだそうだよね笑い声だと思った俺も
[00:58:18.480] ほら笑い声まで文字にするとはつまり
[00:58:21.760] サーニャには俺たちの行動が手に取るよう
[00:58:24.799] にわかるってわけだだったわがははみたあ
[00:58:27.880] ま確かに確かにいるなメサにャも見てるな
[00:58:30.760] 俺の配信な
[00:58:32.319] あめちゃんこんばんは塔の中でもずっと
[00:58:35.880] 見張られてるようなもの
[00:58:39.240] かしかし困ったなあ他に魔力を持っている
[00:58:43.839] ものはいないしこいつの弟子はどうなん
[00:58:46.240] 女の子諦めるの
[00:58:48.280] か諦める弟いたよな2人
[00:58:52.799] なそうこなくっちゃね
[00:58:56.920] 力を合わせればなんとかなる
[00:58:59.119] さとにかく死体に用はないここを出よう
[00:59:04.079] 辛辣確かにこいつの仲悪かったけど
[00:59:06.760] ちょっとなんかなとむらってやるとかよし
[00:59:09.119] どうするかなはないよ死体にわないえー
[00:59:14.799] わかんね長老の行ってみるあいつ死ん
[00:59:17.240] じまったよっ
[00:59:20.280] てなんじゃとケトにあったのかケトにあっ
[00:59:25.480] たのはいいよ
[00:59:27.599] 何
[00:59:29.799] さめケトにそんなことめっちゃエロかった
[00:59:33.280] でお前の娘めっちゃエロかったでケト体
[00:59:37.200] 野獣のような男たちにさすなんてエロかっ
[00:59:41.319] た
[00:59:42.079] なおいおい抱てて言な育ててくれて
[00:59:47.599] ありがとううんお前はよ育ててくれたらこ
[00:59:52.039] ありがとう
[00:59:56.720] すぎ
[00:59:57.760] たはあケトのことを考えると不便で
[01:00:07.039] のよしどうするか
[01:00:10.000] などうすんの
[01:00:16.039] これうランジントあの魔法使がメサにに
[01:00:21.960] うんうんうんやられたやられたなんてこと
[01:00:25.359] じゃど町の男たちにまで手を出しよったが
[01:00:30.200] うんこの町に魔法が使えるもの
[01:00:33.839] はそう殺された魔法使あの弟子の女の子
[01:00:38.960] たちはあいつら助けてくれいいんじゃない
[01:00:42.200] の魔法使の力がないと塔の奥へ入れんとな
[01:00:48.240] そうなんです
[01:00:50.000] よそう言われて
[01:00:52.680] ものわしの力ではどにも
[01:00:57.039] あよしなんとかして魔力を使うものをこの
[01:01:03.240] 町に呼ぶと
[01:01:08.039] しようよしどうするか
[01:01:16.160] なえなん呼ぶとしようって言われてどうす
[01:01:20.240] てばいいん
[01:01:23.760] だつまんのあーまだ魔力を扱えるものは
[01:01:29.599] 見つから
[01:01:30.720] んみんなこの町の噂をしておっての
[01:01:35.799] なかなか来てくれんのじゃよなんとかする
[01:01:40.119] からもう少し待ってくれんかじゃあ女の子
[01:01:44.240] エッチしよっ
[01:01:45.480] か待ってる間じゃあちょっとエロエロ
[01:01:47.960] 引き換えに行ってくるわじゃあとりあえず
[01:01:50.599] 3枚行っちゃい
[01:01:52.079] ましょうんええええの入りそんなことな
[01:01:57.880] エッチエッチし
[01:02:00.640] ます
[01:02:03.520] ほへ本へ来たわ本
[01:02:08.000] へ2階だや
[01:02:20.240] ないや1人ぐらいちょっとエッチなのねお
[01:02:24.920] 願いしたいすよね
[01:02:37.680] 2回
[01:02:46.599] なこんばんはあこんばんはのそうそうPC
[01:02:51.640] 版の方はめちゃめちゃドエロゲームだよ
[01:02:53.680] 普通にエッチするからめちゃめちゃ
[01:02:56.000] もちょっとおっぱいが見えるとかそん
[01:02:57.440] くらいの程度
[01:02:58.799] よそれでもいいよしワウルフ来たいやこの
[01:03:03.319] 子ちょっと期待ない期待してます解除行き
[01:03:06.760] ますよろしくお願いし
[01:03:10.359] ますこれきたいうんうんまあままあまま
[01:03:14.920] たけるさんあれれクララってどこの子だっ
[01:03:17.279] たっけこの子なんだよこの子も知ってんの
[01:03:21.319] かこれどこの子だったかな墓場のとにいた
[01:03:24.160] 女あ墓場の女の子だ
[01:03:26.359] 墓場の女の子すねここはどこ暗くて寒い
[01:03:32.680] ところだわ可いですね控てことはここが
[01:03:36.680] 控え目ということはなんてことでしょう
[01:03:40.440] メニに操られていたなんてこの子可愛いす
[01:03:43.240] ねCVねどうして私が裸なの
[01:03:47.799] かしらそれは呪いを解く時の勢い呪いをく
[01:03:53.000] の勢いね着物を貸してこれじゃ町に帰れ
[01:03:59.119] ないかバ何かないかの俺のぎでよければ
[01:04:04.680] なそうだよそうだよなそうだよな本当だよ
[01:04:07.559] だいぶ着てる方だよこれ止るねやバンされ
[01:04:11.839] ない大丈夫大丈夫汚いけどこの際だから
[01:04:15.359] 贅沢は言ってられないわねこの子ちょっと
[01:04:17.599] 声可愛いっすね汚いとはなんだおいほら
[01:04:20.920] こう見えても洗濯とシャンプーは毎朝やっ
[01:04:23.000] てんだ
[01:04:24.200] ぜうんよし宿屋行きますさ宿屋に戻り
[01:04:28.960] ましょうあの子が礼に来てくれますから
[01:04:36.079] ねワクワクが止まらない
[01:04:39.400] リキッドリキッドボイスなんだよ
[01:04:45.319] なこれちょっとマジ
[01:04:47.799] さ脱出呪文あったらマジ神なんだよ
[01:04:53.200] な脱出呪あればいいんだけどまだこれが
[01:04:56.599] めどくさいん
[01:05:05.440] よ私やこの子この子いいなこの子エッチだ
[01:05:10.319] ね
[01:05:41.720] 私よしどうするかな宿屋だよややエロ見せ
[01:05:47.400] かエロ見せ
[01:05:50.880] かこれは部屋は全部開けてありますからに
[01:05:55.720] お使い
[01:05:57.960] ください来るぞ頼む頼む頼むもうなんか
[01:06:03.279] このまいっ
[01:06:05.799] かこの1発目が裸じゃない時点でもける
[01:06:09.880] さん結構絶望的という
[01:06:12.599] か長老が来てねたるさんの宿に行ってお
[01:06:16.760] 手伝いしてこいってするわよパンツの選択
[01:06:20.359] でもどうせ溜め込んでるんでしょキノコが
[01:06:23.119] 入いいよ遠慮しときますないでそれよりも
[01:06:27.520] 何か思い出したことはないか
[01:06:30.119] うんあの塔の中に引き込まれてからの記憶
[01:06:33.839] が全くないのなあ頑張って思い出してくれ
[01:06:38.400] ようんたけるさんのためにもう1度
[01:06:41.760] 思い出してみるね
[01:06:44.520] う
[01:06:47.960] う可愛いけどだめなんにも思い出さないま
[01:06:52.359] 可愛いけどねそう
[01:06:54.520] かサーニャの弱点とかせめて苦手とする
[01:06:59.160] ものが分かれば
[01:07:00.559] な苦手
[01:07:03.160] ね例えば曇りガラスを爪で引いた音を聞か
[01:07:07.079] せてみたらああそり結構聞くかもしれない
[01:07:10.640] けどだめだよ俺もそういうの目いっぱい
[01:07:13.680] 苦手だから相打ちになっちゃう生中の表を
[01:07:16.920] 持っていって見せるとかああその方が
[01:07:19.640] もっと俺だめ膝の力が抜けて歩けなくなっ
[01:07:23.279] ちゃうよそっか
[01:07:26.079] 仕方ないわねじゃあ何か思い出したらまた
[01:07:30.319] 来るわねああ期待してる
[01:07:37.240] よ
[01:07:40.319] くそ
[01:07:42.319] やれはあ
[01:07:46.240] ちよしどうするかな
[01:07:50.480] やれ手を出せ
[01:07:56.480] しょうもなさすまんのみんなこの街のなん
[01:08:02.720] と
[01:08:03.880] かじゃあラスト1人行きましょうか
[01:08:08.160] よしじゃこちらから行きますかねやこの楽
[01:08:14.200] 者がすごい勝
[01:08:16.400] もうね主人公
[01:08:19.120] あのね片おっぱいさらけ出しちゃう女の子
[01:08:23.560] がいたりしてさ
[01:08:27.120] 楽さがすごいん
[01:08:32.120] よら
[01:08:33.839] の村病院って何エロいのセガサターンの
[01:08:38.440] やつだよなえあれ配信でやったらアウト俺
[01:08:41.679] それ持ってんだよ
[01:08:43.159] ねコンシューマーのエロゲせめんのありか
[01:08:46.080] もなギリギリ配信でできる
[01:08:49.719] ライン野村病院の人々持ってるよあのな
[01:08:53.359] あのあれやつだな
[01:08:56.120] セガサターンのエロゲでしょでもあれもだ
[01:08:58.440] から移植してあるやつだから多分エッチな
[01:09:01.560] シーンは削除されてんだよね多分
[01:09:07.120] ねでもやPCエンジンぐらいが一番
[01:09:10.719] ちょうど
[01:09:12.520] いいあ本当やろかあい来たかいいっすG
[01:09:17.600] スパ俺この子のちょっとエッチなとこ見
[01:09:20.359] たいかもな
[01:09:27.920] どうったのいいっすよや気持ち悪いこの足
[01:09:34.600] みたいなもの
[01:09:35.799] はね今まで自分にた
[01:09:41.239] 巨人
[01:09:42.799] モンスターだあそれやばいあれはもう
[01:09:45.799] こんなもんじゃないんだこんなもんじゃ
[01:09:47.679] ないのこれこんなもんじゃないん
[01:09:50.960] だ18ある
[01:09:55.520] は
[01:09:57.840] ないこの程度じゃだめかサニに操られてい
[01:10:01.159] たなんて私はミシもちろんフェニックスの
[01:10:05.320] 街の住人よサタンは危ないんだねとにかく
[01:10:08.440] 心配だわ早く町に帰らないとあそうした方
[01:10:13.960] がいい
[01:10:18.920] じゃちょっとエッチなシ見たいっすよ今日
[01:10:22.800] 今日7月21日なんですよ
[01:10:32.080] 頼む
[01:10:35.640] ぜてかあのこれ3人解放したらストーリー
[01:10:40.000] 進むんかな進んでくれないともうわがない
[01:10:44.360] よわし
[01:11:05.560] めんどくさい
[01:11:15.120] これ私やね何気に本当
[01:11:20.199] にBGMのクオリティ高いよね
[01:11:27.040] よしこれやったら進んでくれたらちょうど
[01:11:29.800] いいんだけど
[01:11:31.120] よしずっと聞けるね回セーブ
[01:11:35.960] しよう配信禁止には野村病院なかったまあ
[01:11:40.080] 多分Twitch側はそんなゲーム多分
[01:11:42.600] 知らないでしょうね多分
[01:11:47.880] ねアメリカのやつらが野村病院の人々
[01:11:51.239] なんて知ってるわけないからま多分普通に
[01:11:52.880] アウトだろうな
[01:11:58.480] これはこれは部屋は
[01:12:03.280] 全部頼ま頼ま初手裸初手裸初手裸おあでも
[01:12:09.199] おいいぞいい
[01:12:12.719] よ
[01:12:15.679] お来ちゃっ
[01:12:17.719] たお前
[01:12:19.800] ら
[01:12:21.600] ちゃんと応しようと思ってエ50も歩いて
[01:12:26.320] きたんだからいやまあのこいちょっと
[01:12:30.760] ひどい目にあってここでモンスターの攻撃
[01:12:34.080] よりも強烈なダメージ受けたから
[01:12:38.440] ね大変
[01:12:40.679] ね老も言っていたわよネタになるのたに一
[01:12:46.159] 懸て
[01:12:48.320] くも一懸命しなきいけ
[01:12:56.120] みんなから頼られているのね俺も誰かに
[01:12:59.080] 頼りたいよわかるわその気持ち私でよかっ
[01:13:03.719] たら悩みぐらい聞いてあげるわ
[01:13:05.960] よ
[01:13:09.440] ありがとうえ
[01:13:12.440] えなんかもう
[01:13:15.000] ちょっとやっぱ少ねえななんか少ないっす
[01:13:19.159] ねやっぱエッチなシーンねよしどうするか
[01:13:21.520] な
[01:13:28.360] まあでもまあまあでも1歩ずつ1歩ずつ1
[01:13:33.280] 歩ずつの
[01:13:36.199] 噂1歩ずつ近づいてはいるぜお尻が出まし
[01:13:40.600] た
[01:13:42.719] よしこれさどこ行きゃいいの墓場の女の子
[01:13:46.360] のど行ってみるあいほらほら
[01:13:52.960] はい少女
[01:13:56.080] やだ過去のこと言わないでよどうだい人間
[01:14:00.600] の方がやっぱりいい
[01:14:02.920] だろうもちろんよだって人間じゃなければ
[01:14:07.120] たさんと愛をれないでしょ何言うとんなあ
[01:14:11.280] たる教えてくれよ年下の女の子に持てる
[01:14:14.480] 秘訣をそれはだな下に正直にこれに尽きる
[01:14:20.120] んじゃないか俺は順一途な高成年だから
[01:14:23.760] よくわからん
[01:14:27.400] ねえ遊んでいかないのいいんですか遊んで
[01:14:31.360] この子は俺たちの状況がいな1つ分かって
[01:14:34.280] ない
[01:14:36.320] なこの街にもすぎ女の子と男の子よねこの
[01:14:41.199] なんてが来るのかしらああ心配しない
[01:14:45.040] きっと来るさ可愛いよねこの子
[01:14:48.520] ねそうだな中央広場に
[01:14:52.440] 戻ろう団結の
[01:14:56.719] どうすんのこれとりあえずちょっとじゃあ
[01:14:59.199] 他んとこ行って話聞いてみますか
[01:15:03.719] ねおいあれ誰
[01:15:07.719] あららあら
[01:15:10.639] あ綺麗な人だないい
[01:15:15.120] よええやん本当にいいよおいバ目が星に
[01:15:21.239] なってるぜいいですいいですわよ
[01:15:25.239] ちょっと待ってちょちょっといいぞあなた
[01:15:28.000] たちですねソフィアこの町のために働いて
[01:15:31.199] いるというのははいそうですそうです
[01:15:35.000] 私たち
[01:15:36.199] です話はこの店の主人から聞きました
[01:15:40.719] なんて素晴らしい人た
[01:15:43.040] でしょう
[01:15:45.120] 唇唇
[01:15:47.560] ちょっと見えてるのわかる
[01:15:50.440] えどこが何がえどこが
[01:15:56.199] 何があおパンツあおパンツちょっと見えて
[01:16:00.639] ますねちょっと見えてます
[01:16:03.679] 白バンどうしたんだあなたがたるさんです
[01:16:10.000] ね美しいよすんだ目をして
[01:16:13.760] いるそうだけどあんた
[01:16:18.560] はごめんなさい私の名は
[01:16:25.800] プリーストだよプリースト魔法使じゃねえ
[01:16:29.000] よプリーストだよえ超住んでるよ俺の目
[01:16:33.719] は俺だってこのゲームあれだからねエロ
[01:16:36.320] 目的でやってないから本当に純粋にレトロ
[01:16:39.360] ゲームが好きでレトロRPGが好きでやっ
[01:16:42.400] てますからエロとかじゃないよしあちらで
[01:16:46.159] お話しませんあらいいですかそりはもう
[01:16:49.080] 喜ん
[01:16:52.159] でこれが本当の職者ってか生殖者のせいが
[01:16:55.920] なあっちのがあああプリプリストお尻
[01:17:02.120] プリプリ
[01:17:03.600] ストお尻プリおお美人私は町から町へ修行
[01:17:09.159] の旅を続けているのですある町であなた
[01:17:13.280] たちのことを聞いたのですへえこの町の
[01:17:16.880] ことが他の町にも伝わってるんだでその噂
[01:17:21.239] というのはてねゆいね
[01:17:25.760] ミユだミユこれどっかで見たことあると
[01:17:28.000] 思ったらちゃんこんばんはサーシャて誰
[01:17:30.280] サーシャ
[01:17:36.800] てサーメサにャねメサ
[01:17:41.040] にャちょっとメサに似てるのこれまさか
[01:17:43.679] メサかこれエクスプレス殺人事件って実写
[01:17:46.880] 系の何それ知らない知らずのバ2人が
[01:17:51.719] フェニックスのを
[01:17:55.159] ごめんなさいうるせえおっぱいどうやら
[01:17:57.679] あんまりいい噂じゃないみたいだ他の人の
[01:18:01.000] ことはともかく考えた私はどうしても
[01:18:04.159] あなたたちに会いたく
[01:18:07.800] て神に使える私がどうしてもそれを放って
[01:18:10.960] おけないでしょこれは私に与えられた試練
[01:18:12.880] ですわお願いです私にも手伝わせて
[01:18:15.560] くださいう仲間になるお気持ちは
[01:18:18.480] ありがたい
[01:18:20.440] けどの
[01:18:23.760] 声マシカの声これ
[01:18:27.280] ああその綺麗な顔に傷でもついたらな
[01:18:32.480] たける見くびらないでいただきたいわ私は
[01:18:36.520] プリーストですわそうかプリーストは魔力
[01:18:40.920] を持ってるぞバおそうだ彼女がいればあの
[01:18:44.880] 正負だってそうだなそう私は自分の身を
[01:18:49.719] 守る魔法を知っています多少なら攻撃魔法
[01:18:53.639] を使うこともでき
[01:18:59.719] 魔の中からこのにるぐいなら要はさみたい
[01:19:04.679] なもんだ
[01:19:06.520] なこ便利だぞ彼女が仲間になってくれ
[01:19:11.159] たし
[01:19:15.679] はのことはこの店の主人から聞き
[01:19:19.600] まし邪悪
[01:19:25.199] 悪のみたいな感じなあソフアもこう言っ
[01:19:29.320] てるし仲間なってくれん
[01:19:32.520] のが魔法使を連れて
[01:19:35.360] くるいつになるかわからん
[01:19:38.760] し私にも協力くさ仲間になったよしだ待て
[01:19:44.360] わかった仲間になってもらおうありがとう
[01:19:51.120] ったら行こう
[01:19:53.639] ぜやづらくなるな女いたらやりづらくなる
[01:19:57.960] でどこに行くのです
[01:20:00.080] かこれ女いたらやりづらなる
[01:20:03.239] でエッチなことあんまできんくなるやん
[01:20:06.239] そうだ
[01:20:10.080] なあ気まずい気まずいよ
[01:20:15.120] ね気まず邪魔者はちょっと邪魔め邪魔
[01:20:22.000] めちゃ豪華よ本に全員大御でしょ大丈夫だ
[01:20:27.239] よ宿屋行ったらどうせバーンが遅よでも
[01:20:30.560] リト使えるって言ってましたよえ嘘言って
[01:20:33.199] たビと使えるって言って
[01:20:36.159] たバーンとソフィアのなんか同人者あり
[01:20:40.719] そう定番シチュエーション誰も聞いて
[01:20:43.480] なかった笑笑リミと使えるって言って
[01:20:46.520] たああ魔法を使うってある軽く軽くデカく
[01:20:53.280] リターンわからん
[01:21:00.800] からあらああいいじゃない楽です
[01:21:07.800] ね
[01:21:11.000] 私おソフィアレベルアップよし3人
[01:21:15.199] パーティーになったでもこんなさ敵なんか
[01:21:18.320] 1体しか出てこないのにさこ3人で殴って
[01:21:20.560] いいのかてなかったお聞いてなかったか
[01:21:24.639] 考えてなかったっすすいませ
[01:21:29.719] ん
[01:21:32.120] 笑まこれソフィアとねソフィアとそういう
[01:21:37.000] そういういすっていうのもソフィアとい
[01:21:40.159] すってのもまた一教だよな
[01:21:43.840] うんこの可能性もまラジも
[01:21:50.679] ある何すんのよいいですね
[01:21:59.639] ググ
[01:22:16.679] グやだもう
[01:22:38.120] あ本当だMPって
[01:22:46.719] ある覚えて攻撃魔法なんてでもでもないよ
[01:22:50.560] ねてかんつうのかドラクエでいうロのアの
[01:22:55.280] カはないね全部勝手にやってるていうか
[01:22:59.520] そう敵がさ1匹しか出てこないのに3匹も
[01:23:02.440] 仲間必要
[01:23:17.800] かいいねさだからやっぱエンジェルだよな
[01:23:22.760] 下半身がエッチうん
[01:23:27.639] どこに行くっつってたっけ覚えてねえ
[01:23:31.120] よ銀の鍵だよな確かなえだ
[01:23:46.120] こっちもうエッチなシーンなくなったら
[01:23:48.960] コメント全然止まるやん
[01:23:55.199] 現金なやつらだこれどうせまた俺が魔導書
[01:23:58.600] 捕まえ手に入ったらはさおいや魔来た
[01:24:07.080] みたいもうみきたもんなこの辺の女の子は
[01:24:10.159] な分かってんだよゲーム自体遊びそうで
[01:24:14.080] バランスは良さそう売れた作品だよね売れ
[01:24:17.320] たのこれどうなん
[01:24:19.000] だろうただねそうエロゲーだけどちゃんと
[01:24:22.600] ゲーム部分もちゃんと作ってるよこれ本当
[01:24:26.400] にちゃんと作っ
[01:24:28.199] てるストレスもないしあんまり
[01:24:33.600] ねオドマッピングだしオードマッピングだ
[01:24:36.880] しねただじゃしまBGMもいいしねただ
[01:24:40.920] 戦闘のバランスはもう全然インフレし
[01:24:43.719] すぎ全然なんか戦闘で苦戦すること1mm
[01:24:46.880] もないまだからこそだからこそエロゲーだ
[01:24:50.920] からこそそれはいいのかもしれないもう
[01:24:52.360] さっさと先に進みたいっていうきある
[01:24:54.040] じゃんエッチだとか見たいだから戦闘面が
[01:24:57.000] 簡単なのはいいんだけどこれが普通の
[01:24:58.480] RPGだったらつまんないと思う全然戦略
[01:25:01.960] もクもないもんただ1発殴って終わり全部
[01:25:05.119] そうただエロゲーだから許されるえ
[01:25:08.119] さっさと進みたいねうんこれは普通の
[01:25:10.280] アルビだったらおもろくないマジで全然
[01:25:12.159] 面白くない
[01:25:13.920] よエンジェルいいよねエンジェル結構いい
[01:25:16.480] よねあ来
[01:25:18.800] たもうだちんちんみたいな生えてんや何
[01:25:21.960] あれ
[01:25:26.600] 手を弾の上に置いて魔力をこの弾に
[01:25:29.880] がっちゃんあ開いたさすがプリースト
[01:25:32.360] 嬉しいわ力を使ってこんなに褒められる
[01:25:35.159] なんて初めてです
[01:25:36.840] もそうなんだよねだからエロゲとしては
[01:25:39.600] もう最高とてもいい
[01:25:45.760] バランスあここでね
[01:26:08.199] 正負ねはい
[01:26:14.119] オ右か左かそれが問題がと書いてある右か
[01:26:17.760] 左か俺だったら右に左に行くな私は右の
[01:26:20.280] ような気がしますじゃあ俺も右に行こうえ
[01:26:22.280] やっぱり左かしらじゃあ俺も左バンお前な
[01:26:25.320] たるさんにお任せします俺もたるに任せる
[01:26:27.360] よまてその前にこの部屋を全部マッピング
[01:26:30.080] しておき
[01:26:32.840] たい右と左どっちに行こっかなま右だ
[01:26:47.840] なこのリーズオバあるんかあそうなんだ
[01:26:52.000] オリジナルビデオアニメーションOB
[01:26:55.119] 見たいエロいのか
[01:27:07.639] なんだこれ何もない外れか18金が18金
[01:27:12.040] がいいま18金
[01:27:18.600] でしょ
[01:27:20.760] 見せ見せは負けないわよ妖のお尻ちょっと
[01:27:25.320] オスモさんみたいなお尻でちょっとあんま
[01:27:27.880] くないななんかオスモさんの回しみたいな
[01:27:30.840] 感じが
[01:27:33.920] し
[01:27:38.320] 15古きよけエロだろうな多分な
[01:27:55.960] エロ見せんかいお
[01:28:03.239] よ気つけ
[01:28:10.719] て銀の鍵の部屋来
[01:28:17.880] た来
[01:28:20.520] たあまたあこれあれじゃんあのねなんか薬
[01:28:26.880] 飲まなきゃいけないやつよなあのテーブル
[01:28:29.480] の上の骨を見てくれ鍵を取ろうとすると
[01:28:33.639] スパッと切れちまうんだ銅の鍵と同じだな
[01:28:36.679] まいったな銅の鍵の時はどうやったんです
[01:28:39.480] かこの鋼鉄の薬を飲んで鋼鉄の体になって
[01:28:43.119] ではくことはないですからねまたその薬を
