[00:00:05.520] ひひひおはちゃま人1
[01:03:24.279] かよ
[01:03:25.960] オレンチだろ
[01:03:28.920] ナイス笑笑ここはオレンチだろうここまで
[01:03:33.160] 来んのかお前らバカたらここはオレンだろ
[01:03:36.839] がなんてないんだよ笑笑エリアがだろそこ
[01:03:45.640] は不選挙すぎる銃構えてるの
[01:03:49.880] 可愛い可愛いよね本当だ可愛い可愛い銃
[01:03:55.000] 構えてる
[01:04:06.839] レガあったよいいいらないいらないいら
[01:04:10.160] ないレガいら
[01:04:15.720] ない最終攻撃メモさっき敵が出てきてから
[01:04:19.559] ぴって出てきた奴ら追い詰めたぞほとんど
[01:04:22.720] の戦力はリバティ通りに撤退したえ深夜の
[01:04:26.920] に攻撃を実行する動ける者たちに武器を
[01:04:29.599] 渡せ立てるもは戦えるえ戦うこと怖を
[01:04:32.359] 追い出せ軍を擁護するものは見せしめに
[01:04:34.640] 追わせろえめに
[01:04:37.160] 合わせろ軍を擁護するこの今夜
[01:04:44.160] のこれか
[01:04:48.000] なこれか私の息子愛しい
[01:04:52.079] 坊したえ
[01:04:55.920] あの子が何をしたっていうの抗議活動に
[01:04:57.599] 参加したからそれだけで反逆者扱いされる
[01:04:59.839] なんて本物の反逆者の姿を見に見せてやる
[01:05:03.079] ためにハンガングに入ったわえ銃や弾薬を
[01:05:06.160] 忘れ任務を与えられたきっと生き残れない
[01:05:08.160] だろうけど奴らも道連れよ私のような親は
[01:05:10.400] 他にどれぐらいいのかしらこの町は間も
[01:05:12.279] なく陥落する復讐の時が来たわ
[01:05:16.319] エヴァ誰なん
[01:05:28.079] 物資がないっすね思ったより
[01:05:44.160] ねまたお外行くのこっから
[01:05:59.039] ちょっとずっと戦ってばっかだから
[01:06:01.400] ちょっと休憩したいよああまたなんか敵が
[01:06:03.960] 出てきそうな地形してんな俺も分かるんだ
[01:06:06.240] よな俺もう
[01:06:08.480] なアンチャーテトとかやってっからわかん
[01:06:11.480] だよねこのなんかもう敵がを望む敵が出て
[01:06:14.880] きそうな
[01:06:17.599] 地形あもうもうほらもほもう出た出た出た
[01:06:20.680] もうはい出た出たはい出た出たもう一瞬で
[01:06:23.760] 一瞬で当てた車で回ってる期待しよう
[01:06:26.599] わかんよれることを祈るよ何必ず現れる
[01:06:31.480] いい日になる
[01:06:37.400] さ察しが早すぎ
[01:06:48.799] あるさすがに笑笑さすがに無理
[01:06:57.000] ル2階に誰かいるよ
[01:07:01.680] あそこどここの上
[01:07:08.680] だろ
[01:07:10.200] あ爆弾かこれ危ねえ爆弾
[01:07:21.960] だうわいるね
[01:07:29.279] やばいワイヤトラップもあるの
[01:07:33.680] かあ見え
[01:07:45.160] た今のなんだ気を
[01:07:48.839] つけろや
[01:07:50.960] べやべえでござんすね
[01:07:54.440] これどっちかどっち
[01:07:59.160] かのかくそ
[01:08:03.400] 何まあ1匹には気をつかれたけどまあいい
[01:08:06.000] だろは丸だやばいい
[01:08:13.319] たい
[01:08:16.960] 笑笑痛い笑笑
[01:08:20.359] 熱いわ笑
[01:08:40.159] おしよし恒例の女性です
[01:08:44.960] よ
[01:08:48.239] 痛い
[01:08:51.880] 殺しおっぱい触った
[01:08:57.920] 恒の女性ですよ
[01:09:05.159] の年いじめん
[01:09:08.040] なの女性です
[01:09:16.239] よんだよもびっくりしたなに出てくんじゃ
[01:09:20.400] ねバカ
[01:09:22.120] 誰急に出てくんじゃね
[01:09:36.520] 聞き耳しないとねURL省略
[01:09:39.480] YouTubeコはブハークス3kmね
[01:10:11.560] 何これ笑笑
[01:10:28.000] なんでこんなピンポ
[01:10:31.920] で
[01:10:34.239] 縄
[01:10:37.080] のしたの
[01:10:56.320] 降参して大人しく出てくるん
[01:11:10.000] だ2匹はまずい
[01:11:18.239] な今こそ道
[01:11:21.920] 部確かに球道
[01:11:30.679] おいお前聞こえる
[01:11:35.480] か頭じゃなくてもいとこ見せてくれよ頭
[01:11:38.800] じゃなくてもいけるんだなうま
[01:11:43.199] すぎ
[01:11:46.120] おちくしうますぎん
[01:11:49.600] か強化したからかなあ耐えて息抜き何
[01:11:56.320] あの漫画だ
[01:11:59.560] な強すぎない俺あでもだめだ矢が壊れ
[01:12:03.560] ちゃったよ矢が折れちゃっ
[01:12:07.199] たエリーひどいよって言わなくなった
[01:12:11.159] な強くなったな
[01:12:14.440] ひどいこの区域はこうやって潰れたん
[01:12:19.320] だ染まった
[01:12:21.760] ななこれいちいち読むのちょっとめどく
[01:12:26.560] えー生き残る戦い洗い立ち終わったうん
[01:12:29.639] わか
[01:12:38.080] ないエチどけ
[01:12:41.159] でこれの女性です
[01:12:49.800] よ士ブシ士
[01:12:54.120] ああ物資
[01:12:58.920] 物資えナイフを使ってシブシブシ
[01:13:04.159] ブンブン開いた開いた開いた開いたはい
[01:13:07.199] 物資物資はい物資物資物資あ物資
[01:13:12.080] 物資はい物資物資あ
[01:13:18.320] ざすうま
[01:13:23.800] すぎもガンガン使ってっていいなこの辺な
[01:13:27.360] マジでな渡るんの見直すまで忘れてたわ
[01:13:31.440] めっちゃ古いネタよく引っ張り出してきた
[01:13:33.880] よな本当笑
[01:13:42.520] えね持ち上げて配信では使いされた
[01:13:47.159] ネタ
[01:13:50.920] これ行けんのお前これ
[01:13:56.719] オ
[01:13:58.679] のり
[01:14:00.600] ほらよくやった
[01:14:14.719] ナイス俺の知ってる限りだともう4回は
[01:14:18.159] 配信中に動画見直してる絆捕まってきた
[01:14:22.800] ねそうね
[01:14:27.480] れじゃねえ
[01:14:30.360] か町の順似たようなとこに住んでた
[01:14:34.080] ボストンの中で
[01:14:48.520] ねまたあった
[01:14:56.920] このポスターよく
[01:14:59.120] 見る俺らみてだなこの映画昔見た女の人
[01:15:04.639] 最後は殺されちゃう
[01:15:06.480] の誰も殺されないくだらんラブストーリー
[01:15:10.480] だね誰とにった
[01:15:13.440] の覚えてないそれより集中しよとな
[01:15:22.840] あお誰とにった
[01:15:26.280] 娘すぐ
[01:15:29.000] 喧嘩あのトラックだ心配するな頭を避け
[01:15:33.520] てろ
[01:15:35.840] 全然続けろ娘か嫁か25どうだ嘘だ
[01:15:43.679] 近25巻だろ24だ今1つ食べたどうやっ
[01:15:49.199] てそんなに手に入れたんだホテルにある昔
[01:15:52.159] の軍のロッカーさ俺とルーが見つけ2人で
[01:15:55.679] 半分に分けたんだうまいの
[01:15:59.520] かあのトラックかそりゃ欲しいからさ
[01:16:04.280] だろうな先週お前の命を助けたろ考えとく
[01:16:08.600] よ助けなきゃよかった
[01:16:11.000] ぜ
[01:16:18.560] そうすぎるんよ笑名手話途中やろが笑笑
[01:16:26.239] おかしいと思わないかな話してる途中で急
[01:16:30.960] に話し声が聞こえなくなったらおかしいと
[01:16:34.199] 思わないのかお前はまだベーコン缶食って
[01:16:37.480] ないんだぞそいつ
[01:16:41.920] やばいばれ
[01:16:52.040] ているな1匹な
[01:16:57.840] 今壁抜けたろ
[01:17:05.360] 角材がってきてるのは何軍が使う題だろ
[01:17:12.920] 何あトラックもしかし
[01:17:16.840] てトラックから撃ってきてんのか
[01:17:20.600] ないやトラックだったらあっち移動でき
[01:17:23.840] ないんじゃない
[01:17:32.560] 固定放題だといいんだけどまさか移動し
[01:17:36.280] ない
[01:17:37.480] でしょ走行
[01:17:42.760] 者さすがに
[01:17:50.400] ねさすがにこの世界にねえこんばんはや
[01:17:55.159] 可愛いめっちゃエンジン化してるけど走行
[01:17:58.320] 者ようわからん勢力が持ってなかったっ
[01:18:02.080] けあれちゃん
[01:18:17.960] こんばんはえこれどうするのこれやを
[01:18:27.520] これどうすんの
[01:18:30.840] これやば当たってる当たってる当たっ
[01:18:38.000] てるどうすんだよ
[01:18:42.719] これんじゃねえぞこの野郎なめんな
[01:18:50.840] よいてんのこ
[01:18:54.840] どうすんだ
[01:18:59.560] よえこれどうすんの
[01:19:02.960] これとりあえず仕方しようとりあえずいや
[01:19:05.639] あいつはあそこから動かないあそこあいつ
[01:19:09.080] はあそこから動かないと踏ん
[01:19:13.000] で開かないかここはく
[01:19:24.840] すんの
[01:19:28.800] これ
[01:19:31.760] あレンガ投げるレンガなあ困った時の
[01:19:35.560] レンガ投げるかってた
[01:19:39.719] ねこの野郎ここに来てれん
[01:19:47.840] がど早いのかって聞いてんのだけど動いて
[01:19:52.880] んだよなあいつの
[01:19:55.520] やばいやばややばやばやばいやばいやばい
[01:19:59.360] やばいやばいやばいやばいやばいおどうす
[01:20:01.840] んだこれおいおいこれどうすんだよ
[01:20:13.719] これだどうしようもねえじゃん
[01:20:18.360] よケラン落ちてねえ
[01:20:21.520] かボで裏側はスカスカ
[01:20:26.080] そういうことああ
[01:20:28.440] あのああのあのあのトラックの裏側
[01:20:31.960] スカスカなのか
[01:20:33.320] な走れ走れ早く走れ何やってお前何や何
[01:20:39.199] ノロノロ歩いてんだよ
[01:20:47.199] バ
[01:20:52.280] 抑えまだまだ
[01:20:54.880] いるじゃんまだ人がいるじゃんか
[01:21:06.199] よまだうここ
[01:21:12.199] だまだ人がいるんだ
[01:21:21.199] よなんで急にそんなうまくなったん
[01:21:27.480] もう銃声がうるさくてもうコメントも
[01:21:29.719] 聞こえませ
[01:21:32.000] ん銃声がうるさくてわかんないおい
[01:21:35.920] うるせえんだよ銃声おい
[01:21:38.159] いせうるさいん
[01:21:43.639] じゃちょっとちょもうちょっとやめてもう
[01:21:48.159] 分かった強いよお前は強い強い良かった
[01:21:50.840] よかった強いよお前は
[01:21:56.440] あもこっちこっち行こで
[01:22:02.280] もうマジ
[01:22:05.199] しつこいどうすんのあれおお前なんだ
[01:22:10.360] 誰普通にいた通人通人
[01:22:16.920] ですびっくりしたいるのかよ
[01:22:21.360] まだま
[01:22:24.920] いやすごい来てるすごい来
[01:22:29.080] てるマジしつけあいつマジで少い
[01:22:46.040] こち
[01:22:49.440] まあわそれは卑怯だろ黙るの
[01:22:57.520] やっぱ弓弓いる時
[01:23:00.000] は弓いる時は黙る
[01:23:03.400] だろ粋のアーチャーなんだから俺は俺粋の
[01:23:07.639] アーチャーなんだ
[01:23:11.480] からえどうすんのあいつら今日の耳の率
[01:23:19.480] 100%
[01:23:23.440] 者っていうTシャツ着るぞ
[01:23:27.080] 俺弓だけは異常にうまいっていう謎
[01:23:30.960] の他何もできないの
[01:23:37.520] にちょっとしばいなそれオリジナルT
[01:23:41.560] シャツ作るかオリT作るばオクラクラスT
[01:23:46.080] シャツ作ろうクラスTシャツ俺たち
[01:23:49.800] でえあの走行者どうすんのマジで
[01:23:55.600] イベントに来ていこうかな
[01:23:59.840] だせえくそだせえ
[01:24:02.120] じゃんえあの一社入はどうすん
[01:24:16.320] のいやどうするあいつマジ
[01:24:20.120] で
[01:24:21.679] たすぐにやろうかなとって
[01:24:31.320] どだどんくらい長いかにもよるよ
[01:24:35.000] ねうお綺麗なベッドだちょ休んでけばいい
[01:24:38.679] じゃんここ
[01:24:39.760] ではいはいいただきいただきいただき
[01:24:42.679] いただきいただき物資物資はい物資安い
[01:24:48.679] ここブシブシあなんか巻いたわオオオッケ
[01:24:54.960] 負けまし
[01:24:58.400] たやっぱ弓しか勝たんから
[01:25:03.520] よもったいねえいっぱい使っちまったよお
[01:25:07.360] 疲れお疲れ
[01:25:09.480] ちゃん巻いた巻いた巻いた巻いた巻いた
[01:25:13.280] 強化するか弓めっちゃ強え
[01:25:16.520] わやっぱ弓なんだよねやっぱ弓なんすわ
[01:25:21.760] 時代は
[01:25:25.000] や
[01:25:26.440] これ弓ゲーああわかった
[01:25:32.119] ぞ今日もサバイバルしてますかサバイバル
[01:25:35.400] してますえここ行く
[01:25:38.719] のあまずいまずいそれはま大丈夫危ねえ
[01:25:43.719] 危ねえ危ねえ危くなったん
[01:25:46.400] だ危ない危ない危な危な危よよしよしよし
[01:25:50.920] よしよし露骨なムービーシ来た当たった夢
[01:25:54.000] はねマジ
[01:25:55.600] 収
[01:25:58.199] でる子供あ待て仲間じゃないかこいつ
[01:26:01.960] なんか仲っぽいぞお前おい待てョ仲間
[01:26:05.119] っぽいおジョエルやめて待てこの声の黒人
[01:26:08.960] はいいやつだ
[01:26:10.560] ぞあ離れろジョナサン笑分かったから黒人
[01:26:16.239] 兄弟落ち着くんだ大丈夫だ悪い奴らじゃ
[01:26:20.679] ない銃を下ろせそのお前その肌の色で脇毛
[01:26:25.679] ゼロは嘘だろうこれひなお前お前この人種
[01:26:31.000] で脇毛ゼロは嘘だろ奴らの仲間だと思った
[01:26:34.159] ん
[01:26:35.400] だだがその子がいた奴らのグループに子供
[01:26:40.080] はい
[01:26:41.239] ない死んじまうからな出てるああなんでも
[01:26:49.320] ないなんだこリ
[01:26:51.760] だお
[01:26:55.239] あんた確かジョエルだなエリーよ他に何人
[01:26:59.639] いるみんな死んだおいまだわかんないだろ
[01:27:03.600] 死んだよ大勢いたが資を探しに町に入った
[01:27:08.520] のが大違いだった野に
[01:27:13.639] れ今は脱出しようと
[01:27:17.600] 必死だっその方が安全でしょ汚ねえそう
[01:27:22.000] だその方がいい
[01:27:25.119] いや弓回収しねたな確かにここよりも安全
[01:27:28.960] だ
[01:27:31.719] ぜあと3発しかね分かった
[01:27:35.000] 行こうついて
[01:27:37.880] こい銃を向けたりしてごめんいい
[01:27:44.760] よ出はハートフードってこ本当すごく怖い
[01:27:50.360] ところだって聞いたよ落ちてない
[01:27:54.360] だから速がひどいありさだいやあと弓が3
[01:27:58.920] 本しかない俺のリーサルウエポンなの
[01:28:03.920] に火炎瓶が強化された
[01:28:08.239] よし火炎瓶が1.5倍の威力になったやば
[01:28:12.360] 天は
[01:28:14.040] あっち天天5なんてほぼ2倍じゃねえけ
[01:28:18.520] なあ天なんてほぼ2倍と言っても過言では
[01:28:22.199] ない気をつけろよ奴らの監視エリアが
[01:28:26.320] 近い3倍まである天がもう言っちゃえば3
[01:28:30.480] 倍みたいなとこであるよ
[01:28:32.199] なもう言っちゃえばもう3倍みたいなもん
[01:28:34.960] だよ天は
[01:28:36.760] もう娘さんだこの子を守る義務があるん
[01:28:42.400] だよくわかるよナイフ使うよいいよよし
[01:28:46.560] よし開いた
[01:28:48.880] こTシャツのサンプルにげてみた
[01:28:54.199] いい
[01:28:55.480] よやめてねそれ来て俺のイベント来たやつ
[01:28:58.560] チケット台バイとるからねダサい
[01:29:05.760] から物資がいっぱいでいい
[01:29:09.840] や死ぬほどダサかった
[01:29:14.119] ですみんなで来て
[01:29:17.719] いこう倍つげるってことつぐなつぐな
[01:29:30.239] よしいいねジの
[01:29:33.320] タアイテムもジの
[01:29:36.920] タあ10巻よかったね10巻来たよ漫画の
[01:29:41.040] 好きな漫画の10
[01:29:45.239] 巻Tシャツ買って代々に染めていこうの
[01:29:51.119] のの
[01:29:54.280] の
[01:29:55.760] のタのじの
[01:30:05.080] タこれ今何パーセンぐらい来てんだろう
[01:30:18.480] なおめえら影に行くなお前ら黒人は見失う
[01:30:22.679] からマジで同化しちゃってどこまでが肌だ
[01:30:26.639] かわかんねえおい待って静かにしろバカ
[01:30:29.840] 差別やんけ
[01:30:34.119] ろ
[01:30:37.840] 笑笑笑笑行ったな一瞬わかんなかったもん
[01:30:41.639] だトラックここに入ったからずっと
[01:30:44.320] 追いかけられ
[01:30:45.480] てサム何してるしました別にそいつ
[01:30:50.000] は持ってけ持って入ってない決めたよな何
[01:30:54.719] 全然重くないルールだノ
[01:30:57.440] だ何のルールだよ必要なものだけど必要な
[01:31:00.679] もんだろうが子供に
[01:31:04.440] は必要なもんなのにあとどれくらい
[01:31:09.000] だ近いぞひどいよ俺が持ってやるよなあ俺
[01:31:14.440] が持ってってやる代わりに
[01:31:24.840] アイテムねえかなガンダムはだめだゾイ
[01:31:27.760] ドって
[01:31:29.560] 約束激派だどうだゾイドだったら許して
[01:31:33.400] くれたかもしれ
[01:31:34.600] ない了お人形
[01:31:37.800] さんゾイドだったら俺も許してた
[01:31:41.679] なしあを頼
[01:31:45.440] 待てよだから仲間が増えたそういうこと
[01:31:48.719] だろよしじゃ俺の部の道見せてあげよっか
[01:31:53.239] な俺の
[01:31:54.440] 旧道部ゾイドの俺昔あのゾイドのさゾイド
[01:32:00.239] のゾイドって何ゾイドってなんかあの恐竜
[01:32:03.480] のロボットみたいななんかあんだけど
[01:32:05.040] ゾイドのそのゾイドのそのプラモデルか
[01:32:08.320] なんかのなんかあのティラノブラック
[01:32:11.159] ティラノみたいなわかんないけどブラック
[01:32:13.440] ティラノサウルスみたいなやつのなんか
[01:32:16.239] あの骨こういうアバラ骨みたいなパーツが
[01:32:19.280] いっぱいあるけどそれをこう指とかこう手
[01:32:21.560] にめちゃくちゃ巻きつけて学校
[01:32:26.080] た
[01:32:27.600] 笑笑かっけくて笑笑かっこいいかけて節が
[01:32:32.199] 割と動きよくて好きだった学校に笑笑
[01:32:36.159] かっけてようんかっけ
[01:32:39.639] てなんかさこいつらさ俺が隠れてるところ
[01:32:42.800] めちゃめちゃ見にくんのなんなのそういう
[01:32:45.600] 風にできてるもしかして危ねえま危ない
[01:32:48.000] 危ない
[01:32:48.840] 危なもしかしてそういう風にできてんの
[01:32:51.920] かが隠れてとすげに来る
[01:32:56.600] じゃんああ道部見せちゃおっかなはいはい
[01:33:00.760] 1人目あてお前
[01:33:04.400] だ絶対逃さ
[01:33:07.199] ないまるで忍者だ
[01:33:09.600] なお褒めの言葉ありがとう
[01:33:14.440] よ
[01:33:16.719] 忍者
[01:33:19.040] ノザル忍者
[01:33:29.800] うまいやうま自分で言うのもなんだけど
[01:33:34.040] うますぎんかえうまうま部入る
[01:33:40.600] わもうインター行ける
[01:33:43.719] やうまトラックの上だまあ待てまあ待て
[01:33:47.760] アイテム解さ
[01:33:52.360] せろの呼んでくれ俺
[01:33:55.560] をやぶさめの
[01:33:58.000] チマうますぎやからでもうあの2本しかね
[01:34:01.400] 壊れちゃった1個弓が1個壊れ
[01:34:04.199] たもうちょっと探索させなんかあるやろ
[01:34:07.000] なんかないかないや弓ねえかなやめも
[01:34:09.920] できるのかよおどしたあどしたえどうした
[01:34:15.960] ゾイドがそんな欲しかった
[01:34:20.679] かどしたん差別するから
[01:34:25.159] 大丈夫だ冗談だよ冗談冗談お前見えてるよ
[01:34:29.080] ちゃんと大丈夫大丈夫冗談冗談いや
[01:34:31.679] ブラックジョークってか黒人だけにはあ
[01:34:33.800] 冗談ですやん
[01:34:45.800] 笑あどこ
[01:34:48.760] だあ
[01:34:55.320] かどこまで来んの
[01:34:58.360] あいつえバレないのこれ大丈夫
[01:35:08.000] えバレないこれ配信ポストしとこう待って
[01:35:12.320] これバレるこ何何やってんのあいつ
[01:35:16.639] らバレるよなどう考えてもなこれな
[01:35:21.560] 笑笑えこれバレるよ勝だねえこれ狙えるあ
[01:35:27.800] だめだ見られてる見られる狙うと見られる
[01:35:31.239] これポーンって音は見られてる音らしい
[01:35:35.920] くそ燃やすか
[01:35:40.679] ポンいやだめだこれ音で
[01:35:44.000] 誘導即しのちゃまは即しあもう狙いを
[01:35:49.119] つつけるまでもなくって
[01:35:51.280] こと笑笑やるしかねえ
[01:35:57.639] かあっちも速射だもんな早打ち見せ
[01:36:03.760] なできんのか
[01:36:08.920] よできちゃった笑笑あやべえくそならば
[01:36:14.560] もう痛痛痛嘘うううう
[01:36:31.320] もう結局こうなんだよなもう結局こうなる
[01:36:34.440] んだよ
[01:36:36.000] ななんでショット
[01:36:39.360] ん
[01:36:42.920] しまいやうまかったんだけどな弓も
[01:36:48.000] やばすぎるはうまいですがあしかねどう
[01:36:54.280] する弓なくなったら俺もうこのゲームでき
[01:36:56.960] ねえよせっかくすから弓に文明進んだのに
[01:37:00.840] 弓弓がなかったら無理だよ俺このゲームも
[01:37:04.040] このドアだ待て奴らの近くだ安全なのか鍵
[01:37:09.440] は1つしかないどこ見つけたハンターを
[01:37:13.000] 殺しやって作れないのや作れねえんだよえ
[01:37:18.679] や落ちてねえかなうるせえ
[01:37:23.760] 君いく
[01:37:26.280] 私あなたはえ
[01:37:34.880] おそうだな微笑ましい会話してるおいか
[01:37:38.840] お父さん許さねえ
[01:37:40.960] ぞ俺の娘に手出すんじゃねえ
[01:37:45.920] ぞ背のび
[01:37:49.679] 可いお前いい目をしてるな
[01:37:54.719] 俺と一緒に修行つまねえか俺がお前に弓矢
[01:37:58.080] を教えて
[01:38:02.960] やるえ弓やないや
[01:38:09.400] ください矢がねえと安心して眠れねえんだ
[01:38:12.760] よしここだ全然アイテムねえここ
[01:38:23.560] て今なんか一瞬ブロッキングしたな俺の
[01:38:25.159] ことおい何様のつもり
[01:38:31.280] だうわアイテムが1個もねえこならゼルダ
[01:38:34.760] も行けるな
[01:38:36.599] え普段はあんま乱用しないんだろうな
[01:38:41.040] てわがちゃへようこそ
[01:38:45.639] けるいつからここに隠れてるの何日か前
[01:38:50.520] 食べ物があるよわが来て
[01:38:55.400] ブルーベリーだ大量に見つけた食うか
[01:39:00.400] いや落ちけって安全だお茶つむなぜ移動し
[01:39:07.199] ないチャンスを伺ってたんだよ
[01:39:11.800] でこっちだホだから投げ
[01:39:21.880] そうあそこにいるやらめちゃいるやんけ
[01:39:24.960] もうあやってあそこに集まって橋を警備し
[01:39:28.480] てるだが夜は相当手薄になるその時を狙っ
[01:39:33.880] て移動するんだ奴らのそばをすり抜けて
[01:39:38.280] いくの
[01:39:39.280] さなるほど確実だよ絶対に逃げる待てって
[01:39:45.119] もう1回いや本当に得意なおいおいおい
[01:39:48.159] でしょおいいたおいおいお前ら逃げられた
[01:39:52.320] だめだ
[01:39:54.000] はおい許さないよ
[01:39:56.920] お父さんヘリーはたましいんだ
[01:40:01.159] なおいどこに行くんだ仲良くすんじゃね俺
[01:40:05.560] の娘とファイアフライの地が西にあるって
[01:40:08.440] 聞いたなそこに行こうと
[01:40:12.239] 思う何が
[01:40:14.599] おかじいやファイアフライは近頃やたらと
[01:40:18.440] 人気があると思ってないい組織だからだろ
[01:40:21.840] 場所も分からない中を追って弟を国中
[01:40:24.880] 連れ回すのかあいつの心配は俺がする
[01:40:28.719] あんたはエリーの心配だけしてるうんいい
[01:40:31.880] よそんめどくせえや10本よせ俺が全部
[01:40:34.560] あのあれしてやるからもファイアフライ矢
[01:40:36.440] を10本よしなさい俺が全部解決して
[01:40:39.920] やる10本で
[01:40:46.719] いい今ここだ10本で10人軍が使ってた
[01:40:50.560] 通信島が街の外にあるいや10本で100
[01:40:52.920] 人生き残ってる仲間がいれば明日そこで
[01:40:57.440] 落ち合うもし一緒に来るなら今夜出発だ
[01:41:03.040] さすが回収してるなしっかり休んでおく
[01:41:07.880] よ敵焼き鳥みたいになって
[01:41:14.040] そう10に抜きみて
[01:41:20.480] なそろそろ出るってさ
[01:41:28.920] グズグズしてたら終わりだぞ何があっても
[01:41:31.320] ついてこいぴったりなぴったりぴったりだ
[01:41:35.080] よしぴったり準備ぴったりぴったりいい
[01:41:38.560] か
[01:41:40.599] 行こう行こうみんな離れるなよ任せろ
[01:41:44.480] ぴったりぴったりだ俺もは分かるついてく
[01:41:48.520] ぜうんまあなだ矢が1本しかねえわすげえ
[01:41:52.239] リアルこれ1本しかないから1本しか
[01:41:54.400] リックに刺さってないモぴったりモルコ
[01:42:00.280] ぴったりモルコ
[01:42:02.840] ぴったりこっち
[01:42:07.040] だこれアイテムはもうないよなここはな
[01:42:10.760] ぴったりちょっと
[01:42:12.880] 待てなあないかさすがにないかモルコ
[01:42:21.679] ピッいや矢がないの無理だ
[01:42:26.599] な
[01:42:28.760] ペットリ矢がないのしんどくない
[01:42:39.960] ぺったり
[01:42:41.480] よし静かに倒していこう静かに倒すだって
[01:42:44.800] やがねえんじゃ俺にはおいよしどだ
[01:42:48.080] あったかくしてるところだあっちはどう
[01:42:50.480] だった完全しお前そんなだが2人組が
[01:42:54.280] 見つからないまだ町にいると思うか半角片
[01:43:02.119] 集分かったもう1回見てくれ気をつけろよ
[01:43:08.320] おくねあいつああいつななんだ
[01:43:13.719] あいつうわしかもクリッカーいるやん
[01:43:20.760] けどけお前
[01:43:39.360] 物音立てるなあんまりお前
[01:43:42.960] カチャカチャわやがないんだよ
[01:43:46.679] ねやがないのがしんどいわ物音担当物音
[01:43:52.000] 担当ふざけんな
[01:43:53.679] 回復
[01:44:01.760] しようえうわなんだ
[01:44:08.440] よいやいやちょっとごめんちょっと
[01:44:11.599] やり直していいごめんちょっと今の
[01:44:14.599] 見つかり方はちょっと納得いか納得いかん
[01:44:18.360] ほ納得いかんそんな
[01:44:24.320] 来いせこいとこないどうだあったかくし
[01:44:27.599] てるところだあっちはどうだった感染者は
[01:44:31.159] 片付けただが2人組が見つからないまだ町
[01:44:34.920] にいると思うかああいるはず
[01:44:38.199] だいや爆弾はさ周りが気づいちゃうんだよ
[01:44:43.119] もう1回見てくる気をつけろよえお前も
[01:44:51.360] なおい今のだ2人で一気に仕留めるんじゃ
[01:44:54.840] ないのか
[01:44:57.679] これここ片方閉めたらヘンリーやってくれ
[01:45:01.080] そうじゃないえ
[01:45:05.040] マジ嘘本当行けるのヘンリーヘンリーに
[01:45:08.560] 期待して
[01:45:09.760] いい1回やってみよじゃ頼むよ有能かいや
[01:45:15.639] そしたらマジヘンリー神だよだから
[01:45:18.360] ヘンリーめっちゃ前捨てしてるんやろそう
[01:45:20.760] いうことかダメだったらヘリー
[01:45:23.760] あかくしてるとだあはどうだったおい感染
[01:45:27.679] 者は片付けただが2人組が見つからない
[01:45:30.520] ヘリ行くぞまにいるお前そこからで届くか
[01:45:33.280] ちゃんと行くか行けお
[01:45:38.880] たナイス
[01:45:43.480] ヘンリーもバレちゃ意味ないじゃんでもれ
[01:45:47.239] ちゃ意味ないじゃんヘンリーれてるよお前
[01:45:54.679] 笑バレちゃ意味ない
[01:45:58.920] よまあ待て出てこいどこにいるんだた
[01:46:08.080] 変打ちたかったか
[01:46:11.679] ないやこれ弓があったらなくそ弓があっ
[01:46:16.159] たらなせやヘンリー弓があったらな
[01:46:44.199] あれ敵でしょあそこにいん
[01:46:48.199] のヘンリーしか光らない隠れる場所を探せ
[01:47:12.440] バレ
[01:47:13.360] てるバレてないなバレてないけどこれ来る
[01:47:16.119] よね多分ここ
[01:47:17.520] ねちくしあいつはどこにいる
[01:47:30.080] ああやぱヘルメットしてるとへしできねえ
[01:47:32.920] ん
[01:47:36.520] だマジ
[01:47:47.119] かばれるよなさすがになこれ
[01:47:50.199] な衝撃性まじそう
[01:47:53.719] 普通あんなヘルメットぶち抜くと思うけど
[01:47:56.040] な
[01:48:00.960] ピストルおびっくりし
[01:48:04.960] た鼓膜は破れた
[01:48:19.199] な覗いてるのいなお前
[01:48:23.119] なくても当たったら脳透怒るよなあ普通
[01:48:29.159] な弓ない
[01:48:34.800] たおいけ取引しよやめろ頼むなんだ言って
[01:48:42.040] みろあなんだおら
[01:48:48.280] おらお前の返答次第では助けてやったのに
[01:48:51.280] なバカ面笑笑
[01:48:53.360] 俺を騙そうとした時で終わってんだよお前
[01:48:55.400] らが覗いてるの誰かクリップしてくんね
[01:48:58.360] 何何俺が覗いてんのお前の答えか
[01:49:02.719] 笑笑お前の取引に応じようとしてやったん
[01:49:05.719] だぞこっちは
[01:49:11.119] なクソいるクソ
[01:49:21.719] いる行くの
[01:49:25.119] これこりゃ無理やテウスとは本当だよな
[01:49:30.239] 本当だ
[01:49:31.800] よ相当手薄になるって気てたんですけど
[01:49:35.760] 全然厳重も厳重じゃねえ
[01:49:41.880] かドゲ銃じゃねえかよ
[01:49:45.960] これテウスなるとは言ってないどこにいる
[01:49:49.800] どこにどこがテウスなんだよこれかけて寝
[01:49:53.400] てますどこがテウなんの
[01:49:59.199] これあ
[01:50:06.800] やばいえ
[01:50:09.199] くそいやもう結局こうなる結局
[01:50:17.560] こああ
[01:50:23.000] こっからかよなべさんやんな
[01:50:30.320] さんでもこれ結局バレんだもんどうだ
