[00:00:17.760] おいおいイスピソソソソSおいおいスピー
[01:22:49.080] しょうがねえんだ
[01:22:50.360] よに500円売ってたよ言われもそうそう
[01:22:54.679] なんだけど上の本なんかないのうちの近く
[01:22:56.960] に
[01:22:58.480] は
[01:23:03.080] よしこんなお前こんなん買ってきてよ必要
[01:23:06.159] なのこれだけ必要なのこれだけねなんかで
[01:23:09.440] もあもスポンジもついてますからこれ
[01:23:11.320] スポンジもついてるうんハンダゴテとか
[01:23:14.400] この辺はもういらんなこの辺は申し訳ない
[01:23:16.960] けどもういらないですねこれ
[01:23:18.520] ねホームセンターならありそうなのに工
[01:23:22.440] たくさんできます員さんにさ
[01:23:25.440] 店員さんにさあの探してもらったんだけど
[01:23:28.679] さちょうど売り切れっ知ることある使うね
[01:23:34.000] 売り切れることなんかあるかにある
[01:23:37.520] 売り切れることなんかねえと思うんだけど
[01:23:39.320] 隠してるな隠してるよ
[01:23:42.840] ねなんかこのなんかハダ用の変なペースト
[01:23:47.920] これもあるとお客さんいいっすよつも
[01:23:50.320] 落とした落としたれないから入れてなかっ
[01:23:53.679] たな
[01:23:58.719] なんか半田用の変なこれもあるといいです
[01:24:01.560] よペーストも買ったそんなに頻繁に
[01:24:03.560] 仕入れるものでもなさそう何これどう使う
[01:24:06.719] の
[01:24:07.560] これなんか変なこれもあこれもいいです
[01:24:11.600] よって言われてあじゃ買いますつって買っ
[01:24:13.760] ちゃったんだけど冬休みで大きい子供たち
[01:24:16.960] が何か作ってるのかもななんだよこれよく
[01:24:20.600] わかんねえなんだこれわかんねえけど
[01:24:22.120] なんかこれも買ったドロ
[01:24:24.920] 泥ドロ泥買ったこれで600円ぐらいした
[01:24:29.080] なんなの
[01:24:31.080] これ000大きい子供たち大人先を洗う
[01:24:36.560] やつ泥わろたそう先をなんかこれ綺麗に
[01:24:39.679] なるやつらしめたらんでも買うなリフレッ
[01:24:42.960] 買ってきてて草リフレッサーこれこれいい
[01:24:46.480] のねこれいいのこれいいって言われて
[01:24:48.679] なんかじじに押し売りされたんだけどこれ
[01:24:51.159] もあるぞねお兄さんいいよ
[01:24:53.199] てにやばいよそれやばいこれ使い方全く
[01:24:58.119] わかんないていうかなんかスポンジみてい
[01:24:59.639] のついてるしなんかふざけんぶ
[01:25:04.400] 飛ぶいやあ疲れたまちょっと再開しますか
[01:25:09.440] こんなのも買ったけどこれ使うのかこれ
[01:25:11.440] すごか
[01:25:14.560] もせまあでも失敗は許されないので
[01:25:18.080] プレゼント企画まだマジで先綺麗にする
[01:25:21.639] やつこれ綺麗になるこれあ一応これねはい
[01:25:25.440] これこれこれこれに水を入れるんすよそ
[01:25:29.199] じわって
[01:25:30.280] 拭取れねえななんだよ
[01:25:34.119] これなんかだってスポンジついてたじゃん
[01:25:36.679] スポンジは何するのえスポンジはコテ先の
[01:25:40.320] ついたらカスを取るやからが遠いって
[01:25:42.639] 感じるおててきれだねネズミみたいだ
[01:25:46.280] ネズミ取みたいだなこれ30分ぐらいから
[01:25:49.000] おてて綺麗そんなことないよ
[01:25:54.480] くそがよ4000円も使っ5000円も
[01:25:56.920] 使っちゃったよ5000円も使っハ使い
[01:26:00.360] 終わった後にコテ先にハダつけて参加保護
[01:26:03.320] するといいぞあこれは1番最後に使うの
[01:26:05.800] これはじゃあ1番1番ぎしたくなるお手て
[01:26:08.520] だよね1番最後に使うのこれはこれ今ない
[01:26:12.400] ん
[01:26:15.239] だちょっとこれ水で濡らしてくるわ
[01:26:18.480] スポンジスポンジ水で濡らしてきますね
[01:26:21.480] しかも俺ハダ吸取り線の使い方もよく
[01:26:23.719] わかってないいんだよねもし失敗したら
[01:26:26.199] これにさジュンて吸わせればけると
[01:26:28.159] ワックスになるいいんだよね髪透けると
[01:26:30.960] ワックスになる最悪だ絶対ちょっと水で
[01:26:33.440] 濡らしていき
[01:26:48.800] ます顔につけたら毛穴パックになるかも
[01:27:02.560] 草泥頭につけてかっこいいちゃまゲームに
[01:27:14.719] なろうよし準備
[01:27:18.400] 万端準備
[01:27:21.560] 完了準備万端
[01:27:25.440] オオオオお待たせいたしましたよ大変お
[01:27:28.920] 待たせいたしました再開いたし
[01:27:33.840] ます
[01:27:36.040] よいしょ全くよえらいえれえ手間かけさせ
[01:27:39.800] てくれるじゃけのえれ手間かけさせて
[01:27:43.560] くれるじゃねえかよな5000も使っ
[01:27:46.760] ちゃったよにふざけんなマジ
[01:27:49.520] でだファイトノダ頑
[01:27:54.440] たら履いてた靴下片方だけどっか行っ
[01:27:56.880] ちゃったどんな寝それこれちょっと
[01:27:59.320] とりあえずコ先ちょっとこのねさっきの
[01:28:01.520] この名残りが残っちゃってるからこれ綺麗
[01:28:03.360] にします
[01:28:14.840] ね片方はいただきました
[01:28:19.960] 変態よいしょよし
[01:28:22.800] よしあった溜まってくるの待ちですなん
[01:28:25.600] こうやって使うらしいんだけどなんかさ
[01:28:27.239] どれもこれも使いづれえなちょっとこれは
[01:28:29.040] これ使うかハンダ台はハンダ台に置こう
[01:28:32.480] 怖いからガンディカホな仕方ない
[01:28:35.080] かよしまあでもねハンダこれはねなかなか
[01:28:38.600] いい感じにねできてると思わないこれ
[01:28:41.280] うまくない半田このポチポチポチポチって
[01:28:43.960] なってるとこが半田ねだここちょっと甘い
[01:28:47.920] からもうちょっとここ入れたい
[01:28:52.280] なすげえ車で10分のとこにジョフな
[01:28:55.560] ちゃうそれ知っと言うなつうの俺の俺の
[01:28:58.400] 住んでるとこがバレるから近くにねえって
[01:29:00.239] 言ったのになでと言っちゃうんだよ言うな
[01:29:02.920] つうのバカ笑笑もう住んでるとこバラバラ
[01:29:06.320] バレじゃねえかお前言う
[01:29:08.520] なあるよあるよバカたれもうもう俺の住所
[01:29:13.080] ほぼバレてんじゃねえか笑笑何考えてんだ
[01:29:16.840] よ笑笑さすがちゃまくね個人情報配方が
[01:29:20.480] いい方がいいよ本
[01:29:22.760] にまだちょっとあったまってない
[01:29:25.679] ねまだちょっとあったまってないわ来年
[01:29:28.159] 当たりもう住所行ってそう本当だよもう
[01:29:29.800] 引っ越すぞ俺
[01:29:31.119] もう
[01:29:33.480] えっとまこいつをつけたら今度何つつける
[01:29:36.639] かちょっと考えとこう
[01:29:39.080] かお荷物を代わりに受け取りたいという方
[01:29:42.400] が怖いからやめてそれからだよもう既に
[01:29:46.000] あったんだから去年な去年あっだそういう
[01:29:49.000] 件がてれる家こ
[01:29:53.040] 全ってきてさあの橋本ば野郎住所映ってる
[01:29:58.560] じゃんもう
[01:30:01.119] もうどうすんだこれどうしようもねえよ
[01:30:04.119] もう俺にはもうプライベートなんかない
[01:30:05.840] ですあれ去年か笑笑はプライベートなんか
[01:30:10.000] ないおい気をつけろよ笑笑アーカイブ消せ
[01:30:15.199] 一年かとわあけましておめでとうござい
[01:30:19.480] ますよろしくです
[01:30:22.400] すぎさんこんにちははなんかあの黒猫山と
[01:30:27.960] かとある電話が電話が電話がかかってきて
[01:30:32.159] あの橋本さんですかて言われてあそうです
[01:30:33.960] けど言ってあの先ほど
[01:30:36.480] 明らかに橋本さんではない方から電話が
[01:30:39.520] かかってきてお荷物を代わりに受け取る
[01:30:42.000] ように橋本さんから頼まれたって言われた
[01:30:43.880] んですけど本当ですかってね分かってきて
[01:30:45.960] めちゃめちゃ怖くない俺そんなのないのよ
[01:30:48.960] そんな覚えなくてえいやそんなこと頼んだ
[01:30:51.800] 覚えないでてですよねなんか怪しいと思っ
[01:30:54.280] たんで一応本人に確認しますって言ったん
[01:30:56.199] ですけどもうやめてよ本当
[01:30:59.639] にもう本当にやめてよそういうの頼むでの
[01:31:03.800] 黒猫さんでよかっためちゃめちゃ怖い怖
[01:31:07.960] いっ
[01:31:09.320] てやめて配達すぎるわやめてよね本当に
[01:31:13.360] そういうことおるんやマジ
[01:31:15.639] でこの世には狂ったやら多いんだからマジ
[01:31:19.760] 怖いわ
[01:31:24.239] 頭で何も見え
[01:31:26.080] ないん本当だ頭で何も見えてないちょっと
[01:31:31.040] ごめん電気つけてやるわ今日暗いの無理頭
[01:31:33.440] こんにちは暗いの無理笑笑暗いの無理だ
[01:31:36.679] から蛍光デブのこんなに欲しいか明るく
[01:31:41.639] せい明るくし
[01:31:43.480] たいやまちょっとただとりあえずこれは
[01:31:46.880] ここまででいっかこれさ猫有能これがわ
[01:31:50.159] だったら多分そのまま話進んでたか笑
[01:31:54.360] 悪くなるから明るくね頭チラチラでもさ
[01:31:58.360] そういうの怖いよね本当にねこれってどう
[01:32:00.800] もうだこさ基盤どんどんつけてっちゃうね
[01:32:04.679] 基盤どんどんつけてっちゃおうかな集中し
[01:32:07.159] てるから頭はめ屋でちゃめごやで次じゃあ
[01:32:11.520] もうこのボタンの光らせるMOD行きます
[01:32:14.199] わボタン光らせMOD行きます
[01:32:17.560] わボタン光らせMODあちげえパワー
[01:32:21.159] クリーナーつけちゃおっかパワー
[01:32:22.520] クリーナー
[01:32:24.639] 次パワークリーナー行きますねパワー
[01:32:26.360] クリーナーってなんぞやこれなんですけど
[01:32:28.280] パワークリーナーっていうのはこれ色々
[01:32:30.960] MODつけるじゃんMODつつけるとま
[01:32:33.239] 色んなノイズが発生したりするんすよそれ
[01:32:35.360] を抑制するための補助盤だねパワー
[01:32:37.800] クリーナーこれこれでございますパワー
[01:32:40.440] クリーナーこれをあーける順番は決まって
[01:32:43.480] ない決まってない決まってない別に決まっ
[01:32:45.320] てないでける場所なんですけどける場所
[01:32:50.600] がこれは簡単たったこれだけこに置くだけ
[01:32:54.840] これ色ちょっと違うんだけどなか便利なの
[01:32:56.679] がたくさんあるんですねそうなんですよ
[01:32:59.880] これは簡単ね力そうな
[01:33:03.440] 名前これは簡単ですよローパスフィルター
[01:33:10.600] かローパスフィルダていうことなわかん
[01:33:13.840] ないちょっと俺詳しくわかんねえけどまは
[01:33:15.520] そんな
[01:33:17.800] 感じよしよしよしちょっと
[01:33:20.679] さ出たそってお前何も知らねえだろうが
[01:33:25.239] 口叩くなよ笑笑そうローパスフィルダー皆
[01:33:30.360] さんご存知ローパフィルダー
[01:33:33.480] ね皆さんご存知笑笑ハンダ吸い取ったこと
[01:33:38.719] すら
[01:33:40.639] ないこつけちゃうごめんごめんもう
[01:33:43.280] ちょっとこれ画面まいいやちょけます
[01:33:46.719] かえっと
[01:33:50.880] ね怖いからテープで固定するね絶縁テープ
[01:33:54.600] もこれどんどん貼ってった方がいいと思う
[01:33:56.199] んだよ
[01:34:03.480] なえ何これ何これよくわからないけど
[01:34:07.360] おもろ
[01:34:08.760] そうねこれ何げハだ余裕なら自作開けこ
[01:34:12.600] 作っちゃえばねこれさこのえ
[01:34:25.400] あそういうこと失敗したなるほどそういう
[01:34:29.840] これダメ
[01:34:31.239] だこれなんかて違うわこれ俺が想像した
[01:34:35.920] やつじゃないあおこれね粘着剤
[01:34:41.080] がついてないテープでこうやテープ同士が
[01:34:44.040] こうやってくっつくんだわくっついて
[01:34:46.320] 巻きつけるようなやつだこれこうやっって
[01:34:48.159] 貼れないん
[01:34:49.520] だもうなんだよじゃあもこのメル
[01:34:55.320] わでもこれ怖えなひここちょっとこれ固定
[01:34:58.639] したいんだけどね固定したいなテープか
[01:35:02.080] なんかでなテープかなんかないかなもうハ
[01:35:05.280] て見ると悪の点思い出すなん
[01:35:08.520] で員のじじに騙されてて草これは自分で
[01:35:13.360] 買ったこれでいいやつってちょっとさ
[01:35:15.199] なんかさテープ持ってくるねもう進まねえ
[01:35:19.159] よ
[01:35:20.040] 全然全然進まねえじゃん
[01:35:25.320] ベイ丸めてくっつけれ
[01:35:51.440] ば拷問シーンであっためたハダごてで顔
[01:35:54.960] ぶっ殺すシーンあるんだ
[01:36:00.400] よこ
[01:36:13.360] ひえしかも1か所だけじゃなく
[01:36:17.280] ててありましためちゃくちゃ誇りだらけの
[01:36:20.159] やつブロてあったわえよいしょよいしょ
[01:36:25.719] よいしょよいしょ
[01:36:30.880] よいしょこれ待ってこれ相当大変だぞ見て
[01:36:35.159] 無理だってなった相当底辺だよこれ
[01:36:39.960] とりあえず後で外すから上手でいい
[01:36:43.960] や固定だけしといて欲しいここちょっと
[01:36:46.480] 半田終わる
[01:36:48.280] まで頭すいませんもう頭頭もう頭ごめん頭
[01:36:52.199] ごめんねもう頭ごめん頭こんにちは頭
[01:37:03.520] こんにちはなんかよく言われるじゃん
[01:37:06.800] ちゃまさんこういうのできてすごいです
[01:37:08.600] ねってこんなもんお前見よ見真似だからな
[01:37:11.639] 誰に教わったわけでもね失敗する可能性大
[01:37:14.960] だからそれでもやるんだよ男の子ワクワク
[01:37:20.920] システム
[01:37:22.520] マスキングキング固定するだけここ動き
[01:37:25.440] やすいから見よ見真似でできてるんだから
[01:37:27.719] すごいよ毒えいじゃできてるんじゃなくて
[01:37:30.719] やってるだけできてることが
[01:37:34.480] 別我流でできてるからすげえ
[01:37:39.119] よできてないよこないだ失敗したよだろ
[01:37:43.320] そういうことなんだ近と熱で解けるから気
[01:37:45.520] をつけてねオオッ
[01:37:56.080] しっかりここあっためてからやんねえと
[01:37:58.840] なでもやりたいって気持ちを大事にしたい
[01:38:02.239] よなそうなん
[01:38:09.000] ですクプの足に半落とすな
[01:38:14.960] よちゃまくは器用やいだからおばちゃん
[01:38:18.599] ニコニコよ1発勝負が怖いんよな
[01:38:24.040] いやこ乗らねえハだ
[01:38:41.000] がいや乗らねえななんか半だが
[01:38:45.199] なもっとあっためなきゃだめかけ
[01:38:49.360] なきゃまそその色々言われるんだけど
[01:38:52.320] ちょっとまそうなんだよ
[01:38:55.840] ねケープでも
[01:39:02.840] ねあオケーオッケー
[01:39:05.719] オッケーふう
[01:39:34.480] みんな呼吸止まってて
[01:39:43.280] 草緊張するよな見てるの
[01:39:50.679] 笑笑今からムーチョ食べてた
[01:39:55.480] 見てるこっちも緊張する
[01:40:00.360] 不思議オカラムーチョタイプだった
[01:40:17.520] かすっぱムーチも好き
[01:40:25.360] おいしいよ
[01:40:43.599] ねいやむず最後
[01:40:47.480] ここやっぱり4歳同士が合うね
[01:40:58.920] 今年も仲良くしていこう
[01:41:01.280] ね何なんだよお前
[01:41:04.719] らオッケーできたできましたハダ付けでき
[01:41:09.199] たよわあいあいよしよしよしパワー
[01:41:13.960] クリーナーオッケーうオッケー
[01:41:17.920] うパワークリーナーはえクリアですやる
[01:41:22.040] じゃんよしよしよしチラまるパチパチチラ
[01:41:25.560] まるパチパチよしよし何作っているのえ
[01:41:28.679] あらさんおはようあのゲームボーイ
[01:41:30.960] アドバンスを最強にカスタムしてるパワー
[01:41:34.440] クリーナーはなんとかつきましたね
[01:41:36.400] ちょっと大げさな判断になっちゃった感じ
[01:41:38.040] もするけどまあついてないわけじゃない
[01:41:40.119] から大丈夫だろうんオオオッケーパワー
[01:41:42.400] クリーナー今この真ん中のねパワー
[01:41:44.000] クリーナーつけましたちょっと大げさな
[01:41:45.480] 判断になっちゃったけどまショートして
[01:41:47.480] ないし大丈夫でしょブリッジしてないから
[01:41:49.560] うん大丈夫だと思いますはいはいはい
[01:41:53.840] そしたらもう俺このこいつもつけちゃって
[01:41:55.520] いいと思うんだよ
[01:41:57.360] なこいつはボタン光らせ持っとくんです
[01:42:00.960] ボタン光らせ持っとくこいつもつけたい
[01:42:03.239] ですねこいつもつけたいよえこいつのけ方
[01:42:07.239] です
[01:42:08.480] がこうやねんなこれかなり多分ね他のやつ
[01:42:12.719] と被るんよ
[01:42:14.760] ね他のやつとこれ被るんだよ
[01:42:19.159] ね1回これあれかどっちにしろこの
[01:42:23.520] いんだなハ
[01:42:25.239] でハサミで切らなきゃいけないんだね
[01:42:28.159] なるほど
[01:42:28.960] ねこれ絶縁テープ貼らなきゃだめだな多分
[01:42:36.840] なハサミじゃなくてちょっとあれで食基
[01:42:40.679] 切ったりとかがむ
[01:42:44.280] そう助かるありがとう俺それそうそう見て
[01:42:47.800] てあ更新みんな飽きちゃったんだと思って
[01:42:49.920] たこれ点線を切るだけだから
[01:42:54.239] ありがとう
[01:43:10.280] 助かるあと
[01:43:14.760] どこペーパークラフトのナフそうこれ
[01:43:18.639] めっちゃ切れるから
[01:43:24.159] 白がない野山えデザイン
[01:43:27.400] ナイフ白がないないないいや白髪でもある
[01:43:30.440] よ俺見えないところに結構横とか俺ここら
[01:43:34.560] 辺白がすごくてでもそっちゃってるから
[01:43:36.760] わかんないんだ
[01:43:39.400] けど白が結構ある
[01:43:47.400] で若いのに苦労してるからね
[01:43:53.480] 嘘
[01:43:55.520] 嘘たきお
[01:43:59.960] おう結構白ある方だと思う苦してるのね
[01:44:04.000] ブレム
[01:44:05.560] やそうだ
[01:44:07.760] よいや嘘だよ全然苦労してないけど遺伝と
[01:44:11.480] かあるのかなああどうなんだろう
[01:44:15.040] ねうちのお母さんでもしてないからちゃん
[01:44:18.920] 真っ黒よ俺はねどっちかっていうとねうち
[01:44:22.199] のは
[01:44:24.320] ハゲの
[01:44:25.199] 家庭白髪の方がいいだろ絶対ハゲよりな
[01:44:28.440] ランディななランディ
[01:44:34.920] オッケー味オオこのも捨てがいどちらも
[01:44:40.119] 捨てがい味よしこうやなこいつをここに
[01:44:45.960] 持ってくるわけだ私はハゲも愛していく
[01:44:49.360] から
[01:44:50.239] ねあれでもこも付けされてる部分ってどう
[01:44:54.280] するのこれ一緒に半付けしちゃっていいん
[01:44:55.920] か
[01:44:56.880] なこれ
[01:44:59.360] さどうなんだろう一緒に反付けしちゃって
[01:45:03.960] いいんだよな多分
[01:45:06.199] な一緒に半は辛いよ深母方のじじがハゲだ
[01:45:11.679] と怪しいらしいあそうなんだ母方のじじ
[01:45:14.360] ハゲだ
[01:45:15.480] ね母方のじじもガンハゲだったよ
[01:45:20.159] ハゲちゃんおはようおはようメネヤッホー
[01:45:24.159] メネヤッホもう読むの疲れた疲れ
[01:45:30.280] たこれすでにさハダ付けしてある部分に
[01:45:33.639] 半田付けすることになるんだけどそれは
[01:45:35.159] いいのちゃまゲチュンパ久しぶりに来たわ
[01:45:38.520] ぞなんとか
[01:45:43.920] チュンパんこれどういうことこうか
[01:45:47.400] なこう
[01:45:50.000] だすでに半付けチュパしてある部分に
[01:45:53.560] 半田付けしてのがいいのかねいいんだよな
[01:45:56.639] でもなそれってな別になちゃまさんあけ
[01:45:58.920] ましておめでとう面白あさおはようあけお
[01:46:02.920] おはざますですよきこんちゃですよちゃま
[01:46:06.119] 可愛いピースランディ
[01:46:13.239] チュンパこれちょっと結構もりもりだな
[01:46:17.239] あれがなもがもりもりすぎて
[01:46:19.920] さエンパちょっとや何か外さなあかん部品
[01:46:24.840] なかったっけあるんだよそうあるんだけど
[01:46:27.080] ちょっとそれはまだ後でだ
[01:46:29.639] なこれハダ盛り
[01:46:35.599] すぎちょっとハダをここでちょっと鳴らし
[01:46:38.920] ますりちょっと取りたいなこれ
[01:46:44.000] ハ戻ってきたらスポンジ生えてき
[01:46:47.639] てるそうだよスポンジ買ってきたよ
[01:46:51.440] 5000円もしたよ
[01:46:57.360] これこれこそさいやあの変なセット買わさ
[01:47:01.360] れたこのこれこれが欲しかったためにこれ
[01:47:05.920] これがセットにしか入ってなくて高い
[01:47:08.119] スポンジ
[01:47:11.280] るハダハダ水取り線どやって使うの
[01:47:14.599] ちょっと盛りすぎちゃったとこ取りたいん
[01:47:16.159] だ
[01:47:18.119] けどハダ水取り線どう使うんだ
[01:47:22.960] 除去する部分にハダを押し当てて加熱し
[01:47:25.199] ますハダが溶けるとはいはいはい溶けた
[01:47:27.000] ハダに吸い取れるなるほどねちょっとだけ
[01:47:29.880] 吸い取りたいこれちょっとここ盛りすぎて
[01:47:32.119] ちょっとこんもりしすぎ
[01:47:39.520] てるちゃまさんの頭皮じっくり見たかった
[01:47:42.800] んだよねすごい助かるなるほど
[01:47:48.520] ハダ吸取り線熱くなるから直で触るなよえ
[01:48:02.159] はいえこれで合ってんのハダ水取り戦の
[01:48:05.719] 使い方
[01:48:12.400] ってありがた
[01:48:14.760] コメント毛が見前に伏でくれて助かるね
[01:48:18.560] 火傷するレベルで暑くなるよこんな暑く
[01:48:21.239] なるんだ
[01:48:34.560] 気をつけてねあいいんじゃないいいいい
[01:48:37.239] 感じに取れた水取ってるんだもんないい
[01:48:40.360] 感じに取れた
[01:48:42.480] よ
[01:48:44.480] ちこれさもっと基板重なっちゃっていいの
[01:48:48.440] かな絶縁した方がいいのかなわかんねえな
[01:48:52.320] まだ大丈夫
[01:48:54.599] かそうやってやれって書いたんだもん
[01:48:58.239] なそうやってやれって書いたんだもんだっ
[01:49:01.560] 多分大丈夫でしょそういうの書いてないの
[01:49:04.119] うんうん書いてないおそらく大丈夫でしょ
[01:49:09.000] これもちょっとテープで貼ろう怖いから
[01:49:12.480] 動いたらやだから
[01:49:14.639] ね書いてるけど読まないタイプダメだっ
[01:49:18.320] たら絶縁すれば絶縁した方が良さそうだな
[01:49:36.639] テープで固定します
[01:49:47.440] ね俺も自分でやってるけどさだかつて
[01:49:51.679] こんなにさもものさGBAって見たこと
[01:49:56.159] ないから実際これでじゃ動くんですかて
[01:49:58.199] 言われたらねわかんないんだよこんなに
[01:50:01.239] もりもりの初めて見るもん俺
[01:50:03.800] も1個1個入れんのってそんな難しくない
[01:50:07.560] んだよボタン光らせるだけとか画面変える
[01:50:09.599] だけとて初めてなのもりもり
[01:50:17.119] 初めてちょっと怖怖さもあるよね
[01:50:26.520] よしでここは123発3発行けばいいか
[01:50:30.199] これは4大丈夫だよ大丈夫か
[01:50:47.000] なチャーシュとネギと煮卵持っても
[01:50:50.159] ラーメンおいしい
[01:50:51.639] しればるほどうまいからなラーメン
[01:50:56.320] 理論もうここなんかもうハハダついてんだ
[01:50:59.920] からもうこの溶かせば作り
[01:51:04.040] がトッピングなんて何個あってもいいんだ
[01:51:07.360] から
[01:51:32.520] うんこんなもん
[01:51:35.719] かでこの32のとこ
[01:51:41.400] にあっためてちゃまくんラーメンの
[01:51:44.480] トッピング1個だけしていいよって言われ
[01:51:46.840] たら何トッピングする
[01:51:50.960] えそう
[01:51:53.520] ねチシと思う
[01:52:00.920] じゃん
[01:52:05.239] ネギア玉ネギいいね
[01:52:10.599] マジネギ死しもりもり俺ネギ死ぬほど好き
[01:52:14.679] なんでもワも味玉ネギが俺死ぬほど好き
[01:52:21.159] での
[01:52:23.639] ありそりトッピングじゃねえもんだっ
[01:52:28.920] てネギラーメン
[01:52:31.599] は
[01:52:34.320] 締めオオ
[01:52:41.679] オネギ大好きですディノ男性ネギだよな
[01:52:45.520] やっぱ
[01:52:48.040] なよし1個はオッケーかこれで
[01:53:01.880] なんか緊張するぜこれ本当
[01:53:22.760] 工作配信いい
[01:53:24.440] ねみちゃんこんばんは今最強のゲボ
[01:53:28.040] アドバンスを作っ
[01:53:29.599] てるこれまでもどうなんだろこれ大丈夫か
[01:53:33.480] などうなんだろうね動くんかねこれって
[01:53:36.520] こんなにモフトつけて俺はメタリック
[01:53:38.560] パズルずっと待ってるぞ2度とやら
[01:53:42.840] ねごめん2度とやらねあれは地獄すぎた
[01:53:46.960] 笑笑見てる方も地獄だろ
[01:53:50.079] あれ笑笑
[01:53:52.800] えっとじゃあと残りもつけてく
[01:53:56.719] か今度こっちだ
[01:53:59.679] なとやんねえメルカリで売ろうかなあの
[01:54:04.159] あの鎧のやつ新品未開封で2つあるんだよ
[01:54:06.719] ねあれさ1個3000円ぐらいするからさ
[01:54:10.840] もったいないっちゃもったいねえんだよ
[01:54:12.440] メルカリで俺のサイン付きで売るからお前
[01:54:14.320] ら買えよ多分売れる普通に売れると思う
[01:54:16.639] だって新品回だもんだってガチャに入れよ
[01:54:23.320] ガチャねガチャ
[01:54:26.800] ねチマゲームガチャ
[01:54:31.440] ね遠い
[01:54:40.520] 目ほんでどこをこれくっつけんねんつう話
[01:54:44.320] なんだよここか
[01:54:48.560] 笑笑はいはいここねこれまたテープでつけ
[01:54:52.679] とこうかいやめちゃめちゃ気使うわこの
[01:54:56.320] 作業めちゃめちゃ気使うこの作業地獄
[01:55:01.119] や地獄のような配信いやでも遊びじゃない
[01:55:05.520] からコーラとか飲ま
[01:55:08.719] ない遊びじゃねえから
[01:55:13.920] よコーラ飲んでるところみたいコーラない
[01:55:18.440] コーラコーラないないっつってんだよ
[01:55:21.800] うるせえな茶まげそれは草茶まげそれは
[01:55:26.679] 草
[01:55:28.960] キャッキャオーラ
[01:55:35.040] ないここもくっつけておきたいです
[01:55:42.760] よあとここだなここ難しいだろう
[01:55:50.679] なこうだ
[01:55:56.199] なここどう固定したき000ピース挑んで
[01:55:59.920] ますけど茶は予定ありますかあ何000
[01:56:03.920] ピース今やってん
[01:56:07.320] の
[01:56:17.960] タピいやセピースパズル配信は俺またらし
[01:56:22.599] あそうなんだやりたいんだよねあのさ
[01:56:24.800] 000ピースパズル専用のさ額縁みたいな
[01:56:26.880] 前回間違って2個買っちゃってさ1個ある
[01:56:28.639] んだよクソでけえのがあれ有効活用したい
[01:56:31.239] んだよな笑笑笑笑乗りなくすなよ乗り
[01:56:36.400] なくすよまた5秒
[01:56:40.920] でそんなもんダブって買うなよ笑しても1
[01:56:45.480] 個ある
[01:56:48.800] からなくしても1個ある確かにマイナスね
[01:56:55.000] これはさどこ
[01:56:57.719] 122点だけでいいかなここはここは
[01:57:00.840] そんな難しくなそうだ
[01:57:03.960] ね枠もなくしても良いように買ったんだよ
[01:57:07.360] ねしょうもない相談していいうんいい
[01:57:18.000] ようまいねハダがね綺麗に持ったわ
[01:57:28.639] おやつ食べたいんだけどおじがモンハンの
[01:57:31.560] から帰ってこない
[01:57:34.159] え勝手に食えばいいじゃないか一緒じゃ
[01:57:36.560] ないと食え
[01:57:42.199] ない一緒に食べ
[01:57:46.079] たいそそうですか可愛いじゃあまとっか
[01:57:55.440] ついてんの今特別なモンスター来てるから
[01:57:58.159] 許してあげ
[01:58:01.520] てガンバさんゴロゴロガンバさんゴロゴロ
[01:58:05.599] ガンバさんゴロゴロせっせせせ
[01:58:11.599] せせやねんそれをウキウキ借りに行って
[01:58:14.800] しまったおじさっき道路で肉焼いてた
[01:58:19.040] よもうハンターやん
[01:58:23.040] ハンターなりきっとるや
[01:58:24.920] んマジかよ車気をつけ
[01:58:29.599] て
[01:58:34.079] 笑笑車のことブルファンゴって呼んでそう
[01:58:37.360] ブルファンゴうざいねんなっ
[01:58:40.280] てわろたあのメロディ流れてるのかな
[01:58:45.480] 笑笑
[01:58:48.079] テテテテテテテテテテ
[01:58:50.560] でてて
[01:59:00.480] ラックパワークリーナー絶対絶縁した方が
[01:59:03.199] いいなこれ絶でパっ
[01:59:11.480] ちゃレウス
[01:59:13.920] 草昔の昔のモンハンやりたいよ
[01:59:17.400] ねビッグスクーターハイアンクックだね
[01:59:42.159] よいしょ大変な作業やで
[01:59:51.040] これ最ビッグスクーター見なくない
[01:59:54.320] そろそろ仕事の準備して行ってきます作用
[01:59:58.360] ファイトたでも楽しそううん楽しいけどね
[02:00:03.400] お仕事
[02:00:05.040] がえ楽しいのは楽しいですよそりゃそうな
[02:00:08.599] んす
[02:00:11.679] けどとても神経も使う作業だよこれマジ
[02:00:18.199] でお仕事いてら頑張れよ
[02:00:31.000] お久しぶりです森本ですお久しぶりじゃ
[02:00:34.320] ねえよどうも
[02:00:37.599] こんばんは森ゆ
[02:00:40.000] こんばんは全然久しぶりじゃねえけどな
[02:00:43.520] わあこれさこれこんもりしちゃうからダメ
[02:00:47.599] かもなこれなパワークリーナーつけなきゃ
[02:00:49.880] よかったけちゃまずかったか
[02:00:52.560] これちょっとねこんもりしちゃうんだよね
[02:00:55.800] そうするとこれさ届かなくなっちゃうん
[02:00:57.599] じゃ
[02:01:01.320] ないあんまりにジャストサイズだとこれ
[02:01:04.119] ダメじゃんうんジャストサイズだとこれ
[02:01:07.199] まずいかも
