[00:00:05.080] 1個メ会館ハリボテクレイが済むハリボテ
[01:24:27.480] する乙女ってのは綺麗になるぞお前ら恋
[01:24:30.639] せよ恋し
[01:24:34.760] 恋俺こいつのこと好きなのかもしれないな
[01:24:38.000] 俺こいつのこと好きなんかもしれん乙情
[01:24:45.320] ていせ彼女いる
[01:24:47.630] [笑い]
[01:24:49.320] からあTwitterのTwitterの
[01:24:51.679] あのプロフィールに彼女あるん女いらん
[01:24:54.719] まじって書い
[01:24:56.480] て聞いてね興味ねえバカなああいうこと
[01:25:00.000] 書いてるやついる
[01:25:01.719] けどでも親ポンあれじゃんお前親ポンお前
[01:25:06.119] あれだろでもお前まだ続いてんでしょ彼女
[01:25:08.880] とおい何で何年付き合ってんだよ結婚しろ
[01:25:12.080] よ結婚しないのそういうの見ると絡みたく
[01:25:16.320] なっ
[01:25:17.639] たもうすぐ3年3年すげえなおい結婚し
[01:25:24.719] 今日家決めてきた嘘でしょ本当え
[01:25:30.719] 本当え嘘
[01:25:33.520] でしょかすげえおめでとうじゃん
[01:25:38.159] どせってこと
[01:25:43.800] 呼には
[01:25:45.600] ちょっと撃が強すぎる
[01:25:48.719] もんやば
[01:25:54.360] ポムじさん
[01:25:56.600] 笑ポムじい
[01:26:01.679] さん備える前に衝撃来たドムドム
[01:26:09.360] ドムあた
[01:26:11.400] よし来ますこっちも衝撃が来
[01:26:16.560] た
[01:26:18.080] 一たの
[01:26:23.239] 彼女きすぎやねんなお前ああ彼女可愛い
[01:26:27.320] みたいなそういうツイートやめようねそれ
[01:26:31.400] 俺はよよな見てる俺の気持ちにもなれ笑笑
[01:26:34.880] 別れろよおバカお前それはお前言っちゃ
[01:26:37.159] だめだろバカお前それは普通にダメだよ
[01:26:40.280] お前バカだえめっちゃ可愛いじゃんおや
[01:26:43.000] ぽんマジでねあのあれだよお前おやぽんは
[01:26:46.360] あのマジであのあれあのめちゃめちゃ彼女
[01:26:49.199] 好きだもんなめっちゃラブだねあいつ
[01:26:52.080] ねタイムラインめちゃめちゃ出てくれろ
[01:26:55.440] よって言ってもよいよ俺負けねえ
[01:26:58.119] から必死にならなければけるいけるいい
[01:27:02.480] 必死だ死Twitterゲーム必死すぎて
[01:27:07.920] って言われるからな負けましたしみちゃん
[01:27:12.080] こんばんはしみちゃん全滅したね全滅して
[01:27:17.719] 今パーティー1からごめんもう全然クリア
[01:27:20.840] 無理だわあ来たやった来たぞいたんだ本当
[01:27:25.800] にいたんだ
[01:27:29.639] たんでこれどうやって捕まえんだよお前
[01:27:32.360] これおいこんなレベル高えポケモンばっか
[01:27:35.639] でどう捕まえん
[01:27:37.960] だあに怒られたんか本当にこれウェン
[01:27:42.520] カムイになっちまう俺こいつ殺したら
[01:27:44.119] ウェンカムイになっちゃうウェンカムイや
[01:27:47.080] だよ俺ウェンカムイになりたくない女に
[01:27:49.719] なったんだねあいやあの今これ別のデータ
[01:27:52.239] で最初に投げたら構えられるあそうだそう
[01:27:55.480] だそうだチャピそうだそうだそうそうそう
[01:27:58.119] そう削らなくてもクイックボールがあれ
[01:28:01.110] [音楽]
[01:28:03.040] ば本当にいたんだれるだけで殺してしまう
[01:28:08.080] だめですマスターボールあるじゃんマスボ
[01:28:11.800] 使うかなマスボ使うかマスボマスボ使うべ
[01:28:17.840] 俺の出たじゃねえもしたこじゃねえや使う
[01:28:19.840] わえダイブボールいや待ってまままま待て
[01:28:23.239] まあ待てまあままあ待
[01:28:25.760] て俺のじゃねえもんレベル低めの個だなあ
[01:28:31.040] ちゃん
[01:28:32.040] ボールちじゃねえかよ1回は倒しとかない
[01:28:35.239] とねだだやだお急所ね急所ってことはもう
[01:28:41.000] 1発耐えるよな急所ってことはもう1発
[01:28:43.920] 耐えるよな行けるよな
[01:28:45.960] 丈耐耐全然耐全然タ強いからおしあまずい
[01:28:51.480] まずいまずい4分のだ
[01:28:54.719] いいんだいいんだいいわかんねえけどいい
[01:28:57.440] だ
[01:28:58.280] いデーブボールでいいよデーブボールだ
[01:29:02.719] よ来い来い来い来い来いお前の名前も決め
[01:29:06.840] てるんだ俺はラブ
[01:29:11.199] プラス
[01:29:16.119] しーナイス
[01:29:22.360] うお世界に
[01:29:24.760] 人がつけてそうラブプラスって何だっけ
[01:29:28.080] ああこいつバカだガンバさんSE長い長い
[01:29:32.480] かちかうおびっくりし
[01:29:36.800] たクソドヤ顔出てる
[01:29:39.920] ようやめろ誰に負けたんだなしかカバ豆腐
[01:29:45.320] みたいな顔してたよ豆腐みたいな顔ひどい
[01:29:48.679] こと言うよねちょっとねひどいあライス
[01:29:51.440] さんこんばんはラブプラスってドスの
[01:29:53.239] ゲームうん
[01:29:54.719] もってあるから度DSのラプやろうと思っ
[01:29:57.119] てるけどどう思うみ俺それで旅館2人分っ
[01:30:01.239] た白かった俺色すぎるよね
[01:30:07.790] [音楽]
[01:30:09.719] マえなくてやたに負けたのラブ好きって
[01:30:15.320] 言えなくてやめ
[01:30:20.080] たあない
[01:30:25.239] だるとんみたい笑笑笑ラブライブにしよう
[01:30:29.719] ラブライブラブライブやっぱラブライブに
[01:30:31.679] しようこいつ
[01:30:33.600] ラブライブラブライブはもっともっと踊ら
[01:30:37.520] せて俺も車から落ちよあれ
[01:30:41.280] で私が新潟1のラブライブもっともっと
[01:30:46.840] 踊らせ
[01:30:48.920] て俺もあれで車から
[01:30:52.040] 落ちるだろゆるゆりですラブラブラブラブ
[01:30:57.040] ラブライバーにしたかったなあれ多分死ん
[01:31:00.199] でるよな
[01:31:03.320] ラブライラブライブでいいかが一番かけ
[01:31:06.600] ラブライブで行くわラブライブで頭から
[01:31:10.440] 落ちてるもんあまりの痛さに呼吸で傷吐き
[01:31:13.679] そうになってるの
[01:31:16.639] 好き来た来た来
[01:31:19.159] たお前レビ覚えんねえのこいつって冷凍
[01:31:22.560] ビームジスで覚えます
[01:31:24.639] よしじゃ分たじゃ次は次は次はあの次は
[01:31:28.960] あのえっと人影の人影の次は人影の卵
[01:31:34.000] 覚えるちょっとちょっと見えっぱりっての
[01:31:35.920] がいい
[01:31:36.800] ねえあの
[01:31:40.360] さどこ3番道路ってあここ
[01:31:43.560] [音楽]
[01:31:44.960] だ茶
[01:31:47.080] みたい俺とそっくりじゃん見えぱり見え
[01:31:50.719] しか貼ってねえから俺
[01:31:56.440] じの蝶じの蝶いいよもう今日朝までレベル
[01:32:02.000] 上げするから朝6時までなな朝6時まで
[01:32:06.199] レベル上げしてそれで今日今日今日今日シ
[01:32:10.040] がシがぶっ殺して終わる
[01:32:14.360] べえどこどこどこ育て屋
[01:32:19.600] さん仲間がサの手持ちになってたこと
[01:32:22.880] ずっと慢してそう何何どこだよ育て屋さん
[01:32:28.620] [音楽]
[01:32:31.400] どこどこ育て屋ちゃん
[01:32:35.400] はてかメタモン持ってんの
[01:32:38.370] [音楽]
[01:32:42.400] こいつここあここ来いここっぽい育てや
[01:32:45.880] しん育てや
[01:32:48.280] しん育てやしえおあんたじいさんが探し
[01:32:52.040] とったぞえなんで俺お前みたじじに俺が
[01:32:54.560] 探されなきゃいけないんだよ遠行かあ卵
[01:32:58.880] 持ってるってことは多分これあるなじさん
[01:33:01.560] これ何の卵これじいさん
[01:33:05.040] 最悪最悪じゃねえか
[01:33:07.920] よ何の卵これ笑笑何の卵これあわかん
[01:33:13.040] なきゃいけねえからポケモン1匹あれし
[01:33:14.719] なきゃいけねん
[01:33:16.770] [音楽]
[01:33:22.760] かねこれバンギラスも使うわバンギラス
[01:33:27.800] [音楽]
[01:33:41.199] も卵が何だかわかんねえこれ何の卵だろう
[01:33:44.320] これ
[01:33:46.590] [音楽]
[01:33:54.639] ニョロボンの卵おいこれ待ってこれ
[01:33:57.719] メタモンこれ何Vとかあんのかな6V
[01:34:00.280] メタモンかな
[01:34:02.159] これねこのゲームのさこのゲームの
[01:34:06.880] さこのゲームの効率のいいレベルの上げ方
[01:34:10.960] 教えてくんね一番効率のいいレベルの上げ
[01:34:14.080] 方多分ねがり
[01:34:16.540] [音楽]
[01:34:19.119] やっぱりうんこれでほっとけば卵が
[01:34:21.800] 生まれるからあと何捕まえに行く卵待っ
[01:34:24.440] てる間に分ねやっぱ多分ねかあ空を飛ぶ
[01:34:28.960] 覚える人いなくなっちゃっ
[01:34:31.760] たえっとねあとメタグロスも使いたいすね
[01:34:35.800] メタグロス行きますメタグロスもう本気の
[01:34:38.239] パーティーで行くわガチ本気パーティ
[01:34:40.440] むかつくからもうガチ本気パーティーで
[01:34:42.840] 行く
[01:34:43.600] [音楽]
[01:34:46.639] わメタグロス捕まえに行こう
[01:34:51.400] えっと待ってねえとね空を飛ぶ覚えそうな
[01:34:55.280] の
[01:34:56.090] [音楽]
[01:34:57.880] お前でもさすがにこのバンギとかもう卵せ
[01:35:02.639] て持ってきたいけどこいつらを全員レベル
[01:35:05.920] ね進化させんのは相当厳しい
[01:35:09.280] からどっかでちょっとあれしなきゃいけ
[01:35:12.199] ないよ
[01:35:14.280] ね君空をと覚えてたりしない覚えてないん
[01:35:18.719] かい
[01:35:20.440] [音楽]
[01:35:24.000] あれ
[01:35:25.239] ねスラト覚させましょうあれしなきゃなん
[01:35:28.560] ねん
[01:35:32.320] [音楽]
[01:35:36.920] なうわなんかすごいいいいいわいい技構成
[01:35:40.600] ですねまリマいらないでしょ当使わないし
[01:35:45.360] えと
[01:35:47.760] じゃあなんか野生で出んじゃなかったっけ
[01:35:50.639] どっか
[01:35:52.639] にどっかに野で出るべ出てたと思うんだよ
[01:36:00.360] [音楽]
[01:36:11.080] な
[01:36:17.199] だちょちょちょ何何何わかんない何
[01:36:24.710] [音楽]
[01:36:29.400] どこにおん
[01:36:30.900] [音楽]
[01:36:32.360] ねんえ頭しか見え
[01:36:37.639] ないこれ
[01:36:40.360] どこジャイアントホールだっ
[01:36:48.320] てどこにいるんだジャイアントホールって
[01:36:50.960] どこだ
[01:36:52.520] よ持ってたりしないよねさすがにね
[01:36:55.280] ポケモンボールマークついてるからゲット
[01:36:57.159] はしてるみたいだ
[01:36:58.790] [音楽]
[01:37:03.960] けど持ってれば卵産ませるだけで済むから
[01:37:06.679] 楽なんだよないないよねいないいないねい
[01:37:09.880] ないねいないよねいないよねいないいない
[01:37:13.960] いないいませんねいませんよねどっか持っ
[01:37:16.840] てっちゃったんだろうな多分
[01:37:18.340] [音楽]
[01:37:19.920] ないないっす
[01:37:23.860] [音楽]
[01:37:28.520] 捕まえに行くジャイアントホール行ってみ
[01:37:30.480] ますか
[01:37:31.980] [音楽]
[01:37:37.800] じゃあこはソ飛べないんだここは
[01:37:42.100] [音楽]
[01:37:43.520] ねなんかこれすごいなんかネタバレになっ
[01:37:46.000] てる気が
[01:37:47.560] するでももうちょっともういいや
[01:37:51.599] もうなんかめちゃトイレし
[01:37:55.400] たいトイレ行ってきていいよまだまだうわ
[01:37:59.320] なんかすごいネタバレになってる気がする
[01:38:00.960] けどこれ忘れるよ大丈夫
[01:38:04.520] 忘れるか
[01:38:06.520] なあれはどこにどこに行けばいいのこれ
[01:38:10.599] うわなんかうわなんかめんどくさそうこれ
[01:38:13.599] とってもめどくさい気がする
[01:38:19.430] [音楽]
[01:38:30.280] ジャイアントホールってどこだあやか
[01:38:32.840] ちゃんクリアデータなの多分これクリア
[01:38:34.840] データだ
[01:38:37.960] ねもう多分全部行ってる
[01:38:43.880] からうわこの何このクソ迷路みたいな
[01:38:47.000] うわあどうしようかなそこまでやんなくて
[01:38:48.920] いいかなどうしようか
[01:38:52.440] なこ行きたくないななんかこれまだ俺俺の
[01:38:55.159] 方のデータで行ってないとこだから
[01:38:57.400] な正直あんまりここ見たくないのはある
[01:39:00.159] けどでもでもでも
[01:39:02.520] なあここですか
[01:39:07.199] ここ違う
[01:39:09.400] じゃんどこだよこれえジャイアントホー
[01:39:12.599] ルって
[01:39:14.159] どこセ腹は変えられぬだなジャイアント
[01:39:17.679] ホールって
[01:39:20.360] どこここ超えるしかねえんか
[01:39:30.320] わ戦ってないなんで
[01:39:34.760] もうそうかどうしようか
[01:39:40.940] [音楽]
[01:39:52.320] なあと何育てようかなてかこれあ戦いかえ
[01:39:57.239] いやでもこれきつい今なんかモンスター
[01:40:01.360] 好きなモンスター捕まえてるだけだから
[01:40:02.960] いいけどこの後これ育成すんでしょワクが
[01:40:06.560] 大きくない相当しんどい
[01:40:12.639] ぞイクが大きくないてどいう
[01:40:18.280] ことなんでやってんだよおめえらよ穴掘り
[01:40:21.639] あってよ
[01:40:29.440] うえこれちょっとるほど大きいと思って
[01:40:32.780] [笑い]
[01:40:34.560] たいや本当はもうもう強いってなんか無駄
[01:40:38.520] に無駄に強いって
[01:40:50.860] [音楽]
[01:41:02.159] うもうこの時間超無駄だからねなんの俺の
[01:41:06.840] 俺に何の得もないからね
[01:41:17.719] これまこいつこいつのが
[01:41:21.000] 強いお前好きやの
[01:41:24.520] よしよしよしよしこれさジャイアントホー
[01:41:26.960] ルってどうやって行く
[01:41:28.880] のどうやって行くのわかんない
[01:41:36.380] [音楽]
[01:41:40.880] ね
[01:41:43.239] かわいそう本当だよかわいそうだろもう
[01:41:46.119] ここまで来たら
[01:41:52.540] [音楽]
[01:42:02.520] えっとラプラスとリザードンとえラプラス
[01:42:08.320] とリザードンと待ってこれどこ行ってんの
[01:42:10.280] 本当に合ってる
[01:42:15.320] これ戻ってんじゃねえか
[01:42:19.920] よ何これってんじゃ
[01:42:25.930] [音楽]
[01:42:27.400] 何これどうもういっかダンバルは諦める
[01:42:33.640] [音楽]
[01:42:39.719] かこっち
[01:42:43.200] [音楽]
[01:42:46.599] か13番道路の浜辺下の方におじいさんが
[01:42:50.560] いますその辺りからして北浜辺があるので
[01:42:55.639] 上陸矢印階段を登る左手に怪力でせる岩が
[01:43:01.080] あるのでもう読むの疲れ
[01:43:05.000] た13番
[01:43:09.440] 何
[01:43:11.800] 何13
[01:43:14.719] 番あここから行くの
[01:43:21.000] これ13番
[01:43:24.080] これ1か
[01:43:26.119] なすまん笑あ1だったもう変わんねえん
[01:43:30.880] じゃないどうなんだろうわかんね俺
[01:43:33.370] [音楽]
[01:43:47.199] もうえわかんないなこれどうやって行くん
[01:43:50.199] だなんか余計になんかくだらねえ時間を
[01:43:54.520] 使ってる俺は今俺はこの後レベル上げをし
[01:43:58.599] なきゃいけないんだぞこんなこと悠長にし
[01:44:00.760] てる暇あんの
[01:44:03.239] かえこっちじゃないのか
[01:44:09.660] [音楽]
[01:44:15.440] なあこっちっぽいぞ
[01:44:22.720] [音楽]
[01:44:35.119] んどどこ行くんこ合ってんの
[01:44:41.440] か
[01:44:43.040] あ戦っといて
[01:44:46.560] よ戦っといてよ
[01:44:49.639] これ全然戦って普通さ
[01:44:53.719] 普通全部戦う
[01:44:57.639] べ普通戦わねえか
[01:45:04.430] [音楽]
[01:45:06.400] 全部道を左って書いてじゃ合ってるな多分
[01:45:12.280] なただものすごく行手を阻むというか左に
[01:45:17.360] 行かせまいとしてるこの仕組みがそんな
[01:45:20.360] なんか重要な場所なのかもな
[01:45:23.880] 好きなの
[01:45:25.800] ウムなあでもな今回はもう氷タイプはもう
[01:45:29.639] 決まったから
[01:45:32.440] ないやでもこれしんどいなまたレベル上げ
[01:45:36.480] すんのレベル上げがしんどいよあこれ
[01:45:42.560] ちゃうここじゃないここじゃない誰だお前
[01:45:53.040] みたいの出てきた
[01:45:54.440] [音楽]
[01:45:59.040] よここじゃ
[01:46:04.040] ないジャイホー
[01:46:06.560] 来
[01:46:08.960] たえここにもここでうわあニューラも悪く
[01:46:13.880] ないけどねあでも氷タイプはいるからいい
[01:46:15.440] や氷りタイプはいるからえここで
[01:46:18.920] さここでダンバルってどうやって出すの
[01:46:22.920] 普通に出てくんのかなまたこういう
[01:46:24.400] あわあわみたいな感じで出てくんの多分
[01:46:26.199] レアなポケモンだと思う
[01:46:28.400] から多分レアなポケモンだと思うからまた
[01:46:31.080] ああいうこのあわあわみてなやつで出て
[01:46:33.239] くると思うんだよね普通のエンカウント
[01:46:35.639] じゃないと思うな多分ねわかんない
[01:46:44.080] けどいやこれちょわかんねえな
[01:46:47.990] [音楽]
[01:46:59.080] メタングメタングのさ行って良いのか行っ
[01:47:02.760] ていいよ全然もう言って全然言ってもう
[01:47:04.840] 全然言ってこもう終わんない
[01:47:07.320] から言ってこう
[01:47:10.159] か一番厄介なのがB2階にしか出てこない
[01:47:14.000] とかそういうのが厄介なんだよこっち行っ
[01:47:16.520] とく
[01:47:18.800] かジャイアントホールでメタングと
[01:47:23.440] が野で出てきます
[01:47:26.440] ければがもえごめんダンバルって言っ
[01:47:30.040] ちゃったもんねメタンメタングメタングで
[01:47:32.239] いいよメタングでいいメタングでいい野生
[01:47:34.880] で出るっつことは野生で出るのか
[01:47:37.040] じゃあじゃ普通に出んのかな
[01:47:40.040] メタングえ普通に出んの結構レアな
[01:47:44.800] ポケモンなんじゃない敵じゃなかっ
[01:47:48.639] たまあいかちょっとやってみるか
[01:47:53.510] [音楽]
[01:48:03.000] 1回スプレー使わずに粘るか頑るって言っ
[01:48:06.800] たもん
[01:48:09.560] ごめん似て
[01:48:11.080] [音楽]
[01:48:17.440] ないじゃ
[01:48:19.880] 野か待ってメタグロスが野でるって書いて
[01:48:23.040] あだ俺衝撃なんだけどメタグロス野生出
[01:48:26.159] てんのおえイムも出てくるんか野生
[01:48:33.719] でああマンムーも悪くねえけどな悪くない
[01:48:39.280] んだけど
[01:48:40.110] [音楽]
[01:48:43.840] ねええ汗でであまた聞いちょっとごめん
[01:48:48.480] くそめんどいなこれなてこれ怖いパソコン
[01:48:51.400] が落ちんだよなたまにな
[01:48:59.100] [音楽]
[01:49:00.320] 満貫てあやかちゃんがつけたのそうじゃ
[01:49:04.040] ないわかんない
[01:49:07.280] けど独特なネーミングセンスだよ
[01:49:10.210] [音楽]
[01:49:11.800] なちミ2はチソだよミ2は
[01:49:16.960] チソミ2はチソ
[01:49:24.119] 化けが好きだったんかもしんねえ
[01:49:28.560] な知らねののか
[01:49:31.800] な可愛くないだとしたらめちゃめちゃ
[01:49:35.119] だとしたらめっちゃ可愛いのんがけたん
[01:49:38.599] だろねえ何歳なんだろう
[01:49:41.000] ね相当これやってるよこの
[01:49:44.719] データ相当やってるよあ間違えたスプレ
[01:49:47.560] 使った
[01:49:52.760] の育成状態とか見ても相当やってるなっと
[01:49:55.000] 思う
[01:49:56.080] [音楽]
[01:50:01.199] もんやってる割に戦ってない相手いるんだ
[01:50:04.760] な笑本当だよ本当だよな全然トレーナーは
[01:50:09.639] 戦ってないからめんどくせえんだ
[01:50:17.560] [音楽]
[01:50:24.719] じゃあこれジュエルじゃなくて敵が出てき
[01:50:26.480] て欲しいんだ
[01:50:28.000] これアイテムじゃなくて敵が出てきて
[01:50:31.199] ほしいこれスプレちょごめんもう1回使わ
[01:50:33.800] せて俺なんか多分普通のエンカウントじゃ
[01:50:36.199] ないと思うんだよなああいうラプラスと
[01:50:38.360] 同じ扱いだと思うんだよねういうセーブ
[01:50:40.639] データって中古屋がけしたりしないの大体
[01:50:43.719] 普通は消すけど
[01:50:45.679] ねあどうなんだろうだうんま店によるん
[01:50:49.119] じゃねこれジュエルいらないってほえ
[01:50:53.199] ジュエルじゃないのかなこれどうなん
[01:50:54.639] だろう
[01:50:55.760] わかいやちゃうねんなこれ敵出てこないん
[01:50:58.639] かなこれスプレー使ってたら無駄かわかん
[01:51:01.719] ねえ
[01:51:06.920] [音楽]
[01:51:12.280] けどラプラスと同じレアエ化扱いだと思う
[01:51:16.040] んだけどま違うのか
[01:51:18.480] なわかんないな
[01:51:23.960] おピッピ
[01:51:26.199] やんでねえがああデラ終わったよ終わった
[01:51:30.159] ピだラマ
[01:51:32.880] くラマ君全滅しましたシ全滅もう終わり
[01:51:40.040] です終わった捕まえろやいらねええここ
[01:51:44.760] ジャイアントホール扱い
[01:51:48.159] ここねどこに出んだよ
[01:51:53.880] この草村に出んのかなわかんねえな全滅
[01:51:57.520] ですあ全滅して6匹全部逃がした終わり今
[01:52:01.719] 今俺が育てたいポケモンをあのとりあえず
[01:52:06.159] 育てたいポケモンを見つけて6匹全部育成
[01:52:10.760] 使用大会です絶望
[01:52:14.079] でしょコメントもすくすくない今もう絶望
[01:52:19.280] だから
[01:52:20.679] もう笑笑
[01:52:29.560] なんで
[01:52:33.800] ジジムジムジム
[01:52:38.520] ジムここにもおるんかお前に死ぬ7日目に
[01:52:43.400] 死ぬワだったな名すぎる
[01:52:47.320] だろディってくれたイトにの
[01:52:52.840] て
[01:52:53.760] ない7話にそんな強えんかめちゃめちゃ
[01:52:58.679] 強かったよ全部てかね急所に4連続ぐらい
[01:53:02.199] だ当たって全員4匹ぐらい落ちただった
[01:53:05.040] 中袋だった
[01:53:07.119] かじゃもういい俺調べよう俺早えやその方
[01:53:11.320] がもうもう禁忌俺が
[01:53:15.000] 調べるやめずにやるんだ笑やめずにやるよ
[01:53:20.520] 何調べるのえメタングの捕まえ
[01:53:33.100] [音楽]
[01:53:38.760] 方書いてねえ
[01:53:43.119] しああ
[01:53:47.050] [音楽]
[01:53:53.880] えかごめタウン側からジャイアントホール
[01:53:57.360] に入りすぐ奥にある出口から出た先の草村
[01:54:01.199] かごめタウン側って
[01:54:03.540] [音楽]
[01:54:12.760] 何
[01:54:14.440] 何何何かごめタウン側って俺違うよな俺
[01:54:17.880] かごめタウ側から入ったわかんねえよかん
[01:54:22.840] に捕まえにくいらしいねなんか書いてある
[01:54:25.880] ねこっちから入んなきゃいけないって
[01:54:28.380] [音楽]
[01:54:33.119] ことマスターボール使う
[01:54:35.760] わめんどくせえからかごめタウン側って
[01:54:40.199] どこだよあさっきそっかそれがランディが
[01:54:43.239] 言ってたところかハイパーボールと
[01:54:45.800] タイマーボールを大いやマスボ使うマスボ
[01:54:47.960] 使うマスボ使マスターボール使う13番
[01:54:50.159] 道路の浜辺
[01:54:52.520] どこ13番道路の浜辺
[01:54:54.990] [音楽]
[01:54:58.199] って13番道路の浜辺ってどこだ
[01:55:03.920] よあはいはい13番道路の
[01:55:08.480] 浜辺北の方におじいさんがいますどこお
[01:55:11.880] じい
[01:55:14.520] さん北というかこれ南に行っちゃってる
[01:55:17.679] けどいや違うな多分な北の方
[01:55:23.570] [音楽]
[01:55:25.400] この奥行けないもん
[01:55:28.280] ね浜辺
[01:55:32.280] 南何匹か捕まえたのえっとねとりあえず
[01:55:38.400] リザードンの卵だ人影の卵とラプラスは
[01:55:43.360] もう入れようと思って次はメタグロスだな
[01:55:45.280] と思っ
[01:55:49.030] [音楽]
[01:55:50.560] てあこっちかあそいやあれいやこれ行け
[01:55:56.119] ない
[01:55:58.079] じゃんはあどうやって行くんだよどうやっ
[01:56:03.440] て行く
[01:56:07.760] [音楽]
[01:56:20.079] のえ分かんねえ
[01:56:23.960] ないや多分こっちじゃないねんな多分
[01:56:28.199] な多分じじハブ1なんじゃないかなああ
[01:56:32.480] そういうことかそれにとらわれずにて言っ
[01:56:35.119] てたもん好きだねメタグロス大好きだね鋼
[01:56:38.920] タイプが大好きなん
[01:56:42.880] [音楽]
[01:56:48.679] だパ待ってんだけどパない
[01:56:56.000] きつだきつい
[01:56:58.800] なじゃ今何みたいの
[01:57:03.239] ポ何見たいか言ってみ見れねえやつもいる
[01:57:07.360] じゃんだっ
[01:57:10.239] てパぐらいただでさせろってんねもうもう
[01:57:14.159] いらねえもうダンバルだるいわかん
[01:57:16.800] ねベルサイユの絶対見ない
[01:57:25.679] 見るやつが正義
[01:57:28.199] だろいやいい俺が気使う
[01:57:33.520] から
[01:57:38.320] えええどうやって行くんかわかんねえ
[01:57:44.120] [音楽]
[01:57:46.159] よもう12時過ぎちゃったしもう最悪
[01:57:52.320] の服色がうるさい
[01:57:54.239] え俺もうるさいから
[01:57:57.360] ねあらも諦めよう違うポケモン行こう何
[01:58:02.360] もう何育てっか
[01:58:03.960] なまいったな
[01:58:11.220] [音楽]
[01:58:13.960] これだこれはもう捕まえ方かわからん
[01:58:20.320] う600が無理だもん
[01:58:26.400] なそうだ
[01:58:28.420] [音楽]
[01:58:33.239] なあエスパーは絶対必要だと思うんだよ
[01:58:49.360] ね誰だよこんなルールにしたの
[01:58:53.000] は本当に終わったまさか全滅すると思わん
[01:58:57.760] もん
[01:58:58.710] [音楽]
[01:59:03.119] な北側ってこれどうやって行く
[01:59:06.600] [音楽]
[01:59:18.119] の波乗りしてきたってだって波乗りしてき
[01:59:21.400] たっていけない
[01:59:24.159] みんないなくなっちゃったね白場の奴らだ
[01:59:27.400] よ
[01:59:35.640] [音楽]
[01:59:37.800] な寝てない
[01:59:41.760] ようんどうしよっか
[01:59:45.639] なこれでもこれでクリアまでやらないと
[01:59:49.639] やらないやらないわけにはいかないし
[01:59:52.679] なああ
[01:59:56.760] しんどい
[02:00:04.690] [音楽]
[02:00:09.639] しんどい配送配送
[02:00:12.880] 配送全滅するとは思わん
[02:00:16.400] もんなさめちゃめちゃ難しい場調べてくる
[02:00:20.960] わ分かってんだけど行き方が分からんどう
[02:00:25.040] やって行くねん
[02:00:29.650] [音楽]
[02:00:32.119] これもうもうあの攻略
[02:00:39.239] 攻略攻略もうオンパレードで行くからね
[02:00:42.280] 今日はもう本当に
[02:00:50.440] [音楽]
[02:00:55.239] 1と作り全く一緒わかんねえわかんねえ俺
[02:01:00.199] もそれ
[02:01:02.010] [音楽]
[02:01:07.800] は初代ポケモンだけで
[02:01:11.119] ぐ
[02:01:13.000] [音楽]
[02:01:15.440] う難しいんだな超レベル高いね
[02:01:23.290] [音楽]
[02:01:35.840] 一応1のやつの雪型はあったURL省略
[02:01:39.840] YouTubeコはvpm
[02:01:44.000] 86お動画で
[02:01:48.040] ねかごめタウンから
[02:01:58.119] すげえこれ画面直取りだ
[02:02:00.190] [音楽]
[02:02:06.199] よ
[02:02:08.040] えちょっと待ってそんなとこあるそんな
[02:02:12.119] とこあるか
[02:02:13.520] えっとここ来てこの下行っていや作り違
[02:02:18.440] うっすねここはあったよねさっねここ
[02:02:22.159] じゃんここじゃなくてこの下
[02:02:24.679] でしょで階段をうん階段降りてここに岩が
[02:02:29.960] ないんだよここここから上なんだ
[02:02:34.140] [音楽]
[02:02:36.040] ええああ全然わかんねえな攻略見ても
[02:02:39.960] わかんねえんだもんなまいった
[02:02:42.599] ね諦めますちょっと違うポケモン行こう
[02:02:45.320] もう時間が
[02:02:48.880] ないないのあれはね反対側からしか押せ
[02:02:54.440] ないそうかどうしようかなまいったな
[02:03:02.400] [音楽]
[02:03:05.920] おああくそ
[02:03:18.370] [音楽]
[02:03:42.360] うーんもう1回深まる
[02:03:46.010] [音楽]
[02:03:48.159] 頑張るまありだなそれもありそれも全然
[02:03:51.119] ありだな
[02:03:53.719] もう1回深まる頑張ってドラゴンタイプ
[02:03:57.280] ドラゴンタイプでしょえ炎はリザードン
[02:04:01.239] でしょで
[02:04:03.360] 水氷がラプラス
[02:04:08.390] [音楽]
[02:04:12.760] でしょ流には持ってえないよ
[02:04:17.639] な竜ってレベル55でしょ
[02:04:22.079] 15までは上がらんよ
[02:04:26.559] な上げたいけど
[02:04:29.250] [音楽]
[02:04:49.599] ねもう今日まで上げだぜ6時間のレベル
[02:04:54.280] 上げで足りるかもわかんないけど元気出し
[02:04:59.880] て全元気はあんだ
[02:05:03.020] [音楽]
[02:05:04.520] けど
[02:05:07.360] 怖い怖いよ
[02:05:09.760] 俺凸待ちでもするべえから久しぶり
[02:05:12.960] [音楽]
[02:05:17.360] に来
[02:05:19.199] たあざす
[02:05:25.760] 笑笑人影の卵ゲットです牛ここ
[02:05:31.040] ここ
[02:05:33.400] 何なんだって
[02:05:36.750] [音楽]
[02:06:04.280] どうすっか
[02:06:05.760] なうわっとフロムああジャパンジャパン
[02:06:12.150] [音楽]
[02:06:23.559] とりあえず4匹ぐらいにするか
