[00:00:05.319] 一応1コメ譲るか一行しました1コメ
[00:53:00.680] 捕まらない
[00:53:04.200] よ
[00:53:06.319] いやちょっと待てこれえどうするこれ
[00:53:10.640] 捕まえるか一旦画面閉じて30
[00:53:17.000] 分あそういうね民間両方みてな民間療法
[00:53:22.839] みたいなそういうのがあるんだねた確上る
[00:53:25.960] あるあそれまだまだ使わないスパボ全部
[00:53:29.280] ぶっ込んでから行くわタイマーボールは
[00:53:31.520] まだ
[00:53:33.839] 後いやスーパーじゃ捕まんおお
[00:53:39.440] おれやったぜ
[00:53:43.359] しゃやるやんサーミンパチパチサーミン
[00:53:47.040] プリケツおおあらたパチパチパチうお
[00:53:53.839] すご鋼のこるを
[00:53:57.440] ポモ格闘タイプ高さ2.1m重さ
[00:54:02.920] 250kgの心と体を人がポケモンを
[00:54:06.400] 傷つけた仲間と共に人をこらしめた
[00:54:10.760] 悪いどうする
[00:54:13.119] よどうするなんか主なんかなんかさ
[00:54:21.160] すげえはで
[00:54:26.480] みてえな
[00:54:27.960] 馬刺しこれ馬なのかこいつま北さブラック
[00:54:30.839] みてえな感じがいいななんかな俺馬主にな
[00:54:33.559] なりてえしバ笑笑馬刺しで行くじゃん
[00:54:36.400] 馬刺し
[00:54:38.920] で馬刺しにするかじゃまあでもこれ使うの
[00:54:42.119] どうなんだろうな使っていいのかな純伝説
[00:54:45.480] 使うのありやまちゃんブルー
[00:54:49.480] こんばんは入ねえし帝王あー帝王もいいね
[00:54:54.920] いやバタだなでもな
[00:54:56.839] 馬刺し瞬間風速的
[00:54:59.480] にロドマンこんばんはロドマンこんばんは
[00:55:03.359] 爆バになりますさんも
[00:55:06.520] こんばんは
[00:55:08.480] いや字ての
[00:55:11.440] が超強かったんです
[00:55:15.040] けど爆でし
[00:55:21.280] たわかちょっと回復してあげよわか
[00:55:26.480] 誰も落ちてないからシ提案すればよかった
[00:55:29.559] まなんでシカなんだ
[00:55:32.839] よよしよしよしよしよし
[00:55:36.359] よしこんな感じでこんな
[00:55:39.680] に簡単に伝説するポケモンいるんだなあ
[00:55:43.559] 荒ら博士おねしたおばさんうふふソト使っ
[00:55:47.480] たから使ったからんソト使ったからあなた
[00:55:50.039] を追越してったみたいリバースマウンテで
[00:55:51.599] はありがとねこのかごからまっすぐ進めば
[00:55:55.319] シティだけどその前にあなたにも聞いて
[00:55:57.280] 欲しい話があるのなんですかどんなお話
[00:56:00.280] ですかいいからいいからとにかく行き
[00:56:04.480] ましょうなんかそろそろなんかプラズマ弾
[00:56:07.720] がっつり絡んできそうな感じする
[00:56:10.480] なここ
[00:56:12.480] ね何ここお前んち
[00:56:19.079] かすごいでかい玄関玄関何この家すごい
[00:56:24.400] なんか大変そうえかの昔話を聞きたいのは
[00:56:29.240] あんたらかねはいよろしくお願いしますか
[00:56:32.400] タウンの裏にはそれもう大きな穴があるん
[00:56:35.280] じゃ知とるかジャイアントホールあのね
[00:56:38.720] 最近ジャイアントホールの近くでも一瞬
[00:56:40.400] だけマイナス
[00:56:42.799] 50死ぬやん一瞬だけでもマイナ50度
[00:56:46.000] ってチェレが教えてくれたんだけど道が
[00:56:49.119] 塞がってて今いけないけれりすぎて耳が
[00:56:52.480] なりそう
[00:56:56.440] いうデインおばちゃんできついねこれお
[00:56:58.760] ばあちゃんにこのこのなんか寝る時上行か
[00:57:01.400] なあかんしジャイアントホールとは空から
[00:57:04.720] 大きな隕石が降ってきてできた穴らしいな
[00:57:07.400] その隕石にはなおしいポケモンが住んで
[00:57:09.640] おったそうなデオキシスじゃないの隕石と
[00:57:13.720] 言ったら周りに闇が包まれるとポケモンは
[00:57:16.400] こえるような冷たい風と共に現れ周りを
[00:57:18.880] いつかせては人やポケモンを取っては
[00:57:20.680] 食らうの訪問懐かしいの訪問ねいっちゃん
[00:57:26.599] 映画いっちゃんポケモン映画の中で好きな
[00:57:28.760] んだよ俺あれめちゃめちゃいい映画だよ
[00:57:30.280] あれめちゃめちゃいい映画大好きだわあの
[00:57:33.920] 映画あれゴンベとか出てくんだよなゴンベ
[00:57:37.160] とかなえポケモンが人を食べちゃうんです
[00:57:39.839] かじゃから昔のもはポケモンが入ってこれ
[00:57:42.720] ないように町を兵で囲ったり日がくれたら
[00:57:45.760] そういう年のを禁じてうちで過ごすよ街の
[00:57:47.720] きを決めたんじゃみたいなポケモンいる
[00:57:49.839] よんだよそれ何それね下ネタやめてね
[00:57:54.440] もうもうそう
[00:57:56.880] らだめだ
[00:57:58.880] よなんかあの今日なんか結構あのあれです
[00:58:03.039] 気にしてますあのねあのあれなんで嫌われ
[00:58:06.400] たくないんであの新たな新たな友達
[00:58:09.520] にきっちゃんにほらあこここ下ネタ多いん
[00:58:13.760] だれたくない多いんだけど多いのは多いだ
[00:58:20.400] けどにしてる草
[00:58:26.359] 気にしてますえマ60度か70度か行く
[00:58:29.480] 地域は室内ガレージを持たない人が車の
[00:58:32.119] エンジン止めると春まで凍結しええやばい
[00:58:36.640] ねとても興味深いお話ありがとうござい
[00:58:39.240] ましたあおやポンお疲れおやポンお疲れ
[00:58:42.119] 今後の研究にとても役立ちます何そこに
[00:58:44.160] 行くのジャイアントホールに行けばいいの
[00:58:46.559] ジャイアントホールにおつおつおつお疲れ
[00:58:49.599] ちゃんポケモンやってる最近は実に面白い
[00:58:53.160] もだったね正不明のポケモンとはいえ伝っ
[00:58:55.680] てるが強すぎるそうですね一体当たり一体
[00:58:59.160] を凍らせるなんて伝説のポケモンドラゴン
[00:59:01.440] ポケモンにも匹するパワーですねあそうな
[00:59:03.000] 見ててくれたのありがとうそうねベルその
[00:59:05.480] 昔激しい雷で一を焼き払ったと言われてる
[00:59:07.920] ゼクロムみたいだわところでねゼクロムと
[00:59:10.960] いうポケモンの話は覚えて覚えてる前回
[00:59:12.440] やったからな俺ポケットモンスター
[00:59:13.920] ホワイトそうそう山さで少し話したわね
[00:59:16.960] ゼクロムは理想を追い求めてるものを英雄
[00:59:19.559] と認め力を貸し与えるという伝説の
[00:59:21.599] ドラゴンポケモンブラックやろあ俺
[00:59:23.599] ブラックやったんだっけあれ
[00:59:26.400] ゼクロムだった違うよなブラックは白い方
[00:59:29.480] が出てくんだよな
[00:59:30.960] あそうだよねなんかそれややこしい
[00:59:33.720] ややこしいなブラックブラックがレシラム
[00:59:36.359] かでホワイトがゼクロムなのかじゃあ俺
[00:59:39.440] ゼクロム知らねえなえじゃあ俺間違ってる
[00:59:42.319] え俺俺今何やってんだっけブラック2え
[00:59:45.200] ブラックやったんだからブラック2でいい
[00:59:46.799] んだよねあよくわかんねまいどっちでいい
[00:59:50.920] やどっどっちでもいいどっちでもいいやえ
[00:59:52.920] 黒い体の持ち主で強烈な雷大
[00:59:56.480] ですよちらださたのでもうずらい脱し
[01:00:02.319] たっておいえ何何え何ジャイアントオチポ
[01:00:05.680] みたいなポケモンがいるってやめようそう
[01:00:08.319] いうのもやめよなんかそういうのも
[01:00:09.720] やめようねそういう変なノりもねごめん
[01:00:12.160] ね紛らしよなどてやめてね本当にまでも
[01:00:16.440] いつもこんな感じだけどね別に別にいつも
[01:00:18.119] こんな感じだけどそんな変なやめやめやめ
[01:00:20.440] やめお前バされるからお前らまたいつも
[01:00:23.160] みたいに俺たのない
[01:00:30.280] 怖
[01:00:33.000] スマスマウスをこうて持ち上げると
[01:00:44.440] もうがこうやってマイクにこやっやる
[01:00:47.720] と博さ昔話昔話のポケモンと伝説の
[01:00:50.880] ポケモンが何か関係あるとお考えなんです
[01:00:53.039] か
[01:00:58.160] トボタン押す怖いこれミュートする時に俺
[01:01:02.319] がマイクの位置を調整する時に手を
[01:01:05.160] 振り上げた時が
[01:01:06.520] ね隕石ねつくのはるだよあいつはガチだ
[01:01:11.680] もんあいつはガチで投げてくるじゃん俺
[01:01:13.640] たちにっ
[01:01:14.760] てゼクロはダークストーンという意から
[01:01:17.200] 復活したらしいのほすぐにマイク割れで耳
[01:01:19.799] もいじめてるそして昔が石と同じものだと
[01:01:24.119] したら
[01:01:26.599] あコダックねあの踊るコダックねちなみに
[01:01:29.920] 見に来なかった
[01:01:31.359] リスナー見に来なかったやつ裏でDM全部
[01:01:33.920] 送ってるよなんで今日来なかったのどうし
[01:01:36.480] たなんかあっ
[01:01:37.720] たあそそういう時遠慮しなくていいからね
[01:01:41.039] 言ってくれて全然さんにコダック見せて
[01:01:44.160] あげ
[01:01:46.079] たら
[01:01:48.200] すぎ大丈夫か
[01:01:50.400] なしいつもこんな感じだ別にいつもこんな
[01:01:53.319] 感じ
[01:01:56.079] も見いいじゃん俺の稼ぎ頭です
[01:02:04.799] からこれをやるとうちの信者たちは
[01:02:07.359] サブスクとねサブスクとねビッツを投げて
[01:02:10.440] くれるんすよ簡単なお仕事です俺はこれで
[01:02:13.760] 月に30万稼いてるからね笑笑J神局謎の
[01:02:18.960] ジシほらほら今年の今月の友達で来たわ
[01:02:23.000] おらららららおせおせ
[01:02:27.799] いいやめてやめてやめてうんこれでうん
[01:02:30.440] これでこれ
[01:02:32.880] でおいサブしもきちゃんありがとうしも
[01:02:37.720] ちゃん
[01:02:39.799] ありがとすごい簡単なお仕事だ俺仕事
[01:02:43.480] やめるわ俺仕事やめてくるから仕事やめる
[01:02:47.319] 仕事やめようかなこの方がいいじゃん
[01:02:49.279] なんか楽じゃんこの方がわサブスクギフト
[01:02:52.839] ありがとうござい
[01:02:54.839] ます100ビッと
[01:02:57.559] かを送りました
[01:03:00.359] ありがとそれ太陽の光が苦手とかそうだ
[01:03:03.880] そのありはべともえないわという街の名前
[01:03:07.760] にはの厳ダの頻で分かる
[01:03:12.039] システム俺俺の俺のお財布状況が分かる
[01:03:16.160] ありがとうありがとね
[01:03:18.920] ガラパお何コメちゃんありがとうコメ
[01:03:21.520] ちゃんも何コメちゃんもなんだよ
[01:03:24.319] ありがとうあこの配信1び禁止だ1び禁止
[01:03:28.680] なわけねえじゃありがとうございますあれ
[01:03:31.640] ゆめきっちゃんそのゼゼの間にスペース
[01:03:33.960] 入っちゃってるけどちゃんと直してもらっ
[01:03:35.200] ていいそれねちゃんと直してもらっていい
[01:03:37.400] それなんかそこスペース入っちゃってる
[01:03:38.839] から0の間にうんちょっとちゃんと直して
[01:03:41.039] もらもう1回待ってねちょお前らサブスク
[01:03:44.960] リフトをありがとうお前らもういいよお前
[01:03:46.960] らもういいってビッツいらないビッいら
[01:03:49.200] ないグスもちろんですちゃま
[01:03:53.240] 笑笑ウ1ウ1
[01:03:58.319] シィのシャガさんはポケモン鍛えるためら
[01:04:00.480] レスリングしちゃうんだよ博士待って
[01:04:02.760] くださいよどこやねィが
[01:04:06.680] でうんちゃんもありがとあら待て待てこれ
[01:04:12.839] お前お前このりでプラマ見なかったか
[01:04:15.640] そんな噂を聞いたんだ
[01:04:17.160] けどうわ来
[01:04:20.079] たありがとねやれやれれは苦労だなな
[01:04:26.160] トレーナーよその好奇に応じて少し語って
[01:04:28.839] やるとするか私が今なプラズマ団にいるの
[01:04:31.839] は世界が変わる様を知るためだいいか
[01:04:35.279] ポケモンは然モンスターボールは命
[01:04:40.920] だやば自分がこいつこいつコメント欄で
[01:04:45.039] 嫌われるタイプだなこいつコメント欄で
[01:04:47.480] 嫌われるタイプだわうんコメント欄でね
[01:04:50.599] 多分嫌われるタイプであのああ一定ンネル
[01:04:55.799] ついた後にあここで相手にされないなって
[01:04:58.039] なったら別のとこに行ってまた自分語りを
[01:04:59.599] 始めるといね厄介な厄介な人
[01:05:03.119] ですいいかポケモンは自然モンザボラ文明
[01:05:06.039] だ文明を知った人間はなかなかそれを捨て
[01:05:07.960] られぬもちろん自然も文明もどちらも大事
[01:05:10.319] だからなだからプラズマ団が世界を合すれ
[01:05:12.720] ばどうなるさ人々はポケモンボール
[01:05:15.359] モンスターボールという文明を捨てること
[01:05:16.960] になるその様子を見たいのだが
[01:05:19.680] りすちなみに俺
[01:05:22.240] はかそのその様子を見たいのだ知りたいの
[01:05:25.119] だ楽しみたいんでした何何何がコメちゃん
[01:05:28.680] 何がそんなことねえべちょこれ冗談で言っ
[01:05:32.240] たらちょ本当に傷つく人がいるからそんな
[01:05:34.440] ことないよほめちゃんはそんなことないよ
[01:05:36.640] てかそんな人いないですなかなかたまにい
[01:05:39.119] ますけど
[01:05:40.559] ねたまにいますけどそんなことないすよ俺
[01:05:43.760] は奪われたポケモンを取り戻すだけだレン
[01:05:45.839] 力を貸してくれ準備はいいなちょっと待て
[01:05:47.920] 分かった準備してこいようん優しい準備し
[01:05:50.760] てくれる準備させてくれんだな1回回復
[01:05:52.880] 入れてから行きます回復だけ入れさせて
[01:05:54.359] ください減ったのっ
[01:05:56.440] たどうせ2人減ったいやでもこういうのが
[01:06:01.079] いじめるのでレコード1やだよいじゃいや
[01:06:04.839] じゃあげませんあげま
[01:06:07.960] んあのこういうこと言われてあ私かもって
[01:06:13.319] 思える人は全然セーフです本当にガチの人
[01:06:16.200] はあ俺じゃないなっ
[01:06:18.720] てあ俺ではないなって思ってるからねうん
[01:06:22.760] そうそうそうこれこれはそう笑笑本当に
[01:06:26.319] それは
[01:06:28.480] そう
[01:06:32.680] よしこれプラズマダのBGMめっちゃ
[01:06:35.240] かっこよく
[01:06:36.640] ね俺じゃないなちなみに俺は自分語りとか
[01:06:40.839] したことないんで自分これでも17歳です
[01:06:44.760] 笑笑ドシジムドシジムドシジム村か8m
[01:06:50.400] あり村8レン
[01:06:57.200] ロケット団以外にもプラズマ弾とかいるん
[01:06:59.960] だトイレ行ってきていいわざわざ引くなよ
[01:07:03.119] 俺行って
[01:07:05.359] こいロケット団以外にもいるねが海外なん
[01:07:10.559] よやぱ帰国市場だしな
[01:07:16.079] 俺はい1
[01:07:18.559] 発
[01:07:20.079] ボボはい一発トイレもいいけどせ危ない
[01:07:25.960] 危な俺のポケモンじゃない
[01:07:28.799] ニュいるの
[01:07:32.079] ニニいる
[01:07:36.160] ニニ先輩ニ先輩そうだ
[01:07:46.920] よ格闘4倍の雑魚でもこいつめちゃめちゃ
[01:07:49.400] 強
[01:07:56.839] 危ない
[01:08:02.559] 危ないいいっすねたださ相手のレベル39
[01:08:06.839] とかこういうの見ると俺やっぱ弱いんだな
[01:08:08.520] と思うわここ平均レベルどんくらいなん
[01:08:12.279] ここ平均到達
[01:08:16.719] レベルちいらないよ
[01:08:29.719] フレドラ行っちゃう
[01:08:35.520] かえ俺こんななの俺もっと綺麗なデブだ
[01:08:39.960] けど
[01:08:43.480] ねま別にねあの3段階進化するからじゃ3
[01:08:48.400] 段階進化しないやつより強いかったら限り
[01:08:51.960] じゃないんだよねその限りじゃ
[01:08:54.440] ない回も進化しないやつだった育てら強い
[01:08:57.120] しねそれなりにこれは金の型の
[01:08:59.960] ちゃあっちのねあたびこんばんはたお疲れ
[01:09:03.679] ちゃた大丈夫なんかパソコン死んだって
[01:09:06.400] 聞いたパソコンていうかなんかネット改善
[01:09:08.080] で死んだって言ってたけど配信できなく
[01:09:10.480] なっちゃったこのトレーナードも2年前
[01:09:13.000] 思い出せるがそれよりあれを探せないとな
[01:09:16.040] あの科学活者が言うようにやはり龍にある
[01:09:18.440] のかもお前たちぶのはまた今度だ
[01:09:25.560] 死んだぜネット死んだんだでも配信は見れ
[01:09:27.640] てん
[01:09:29.359] だ1回回復しよっか配信できねえんじゃ
[01:09:34.719] なほ進化が全てじゃないのか進化が全て
[01:09:38.239] じゃないっすね進化しないポケモンだって
[01:09:40.040] 強いからからねあなるほど
[01:09:42.719] ねたまにあるよなたまに俺も未だになんか
[01:09:47.560] ルーター死ぬもんルーターをさなんかさ
[01:09:50.799] たまにさあの電源を切って入れないとさ
[01:09:54.320] ダメになるんだよね
[01:09:58.120] そうすると謎の謎の変な画面が出てくる
[01:10:01.120] ないル本当に消耗消耗品だよ
[01:10:05.360] な大体みんなレベル40
[01:10:09.719] かちょっと俺さユニランって使ってみたい
[01:10:12.719] んだけどユニランあれどこに出てくんの
[01:10:15.159] 捕まに行こうか
[01:10:17.199] な使ってみたいポケモンがいるんだ
[01:10:21.199] よ気になってるポケモンがいます
[01:10:27.159] これこれこれこれこれこれ
[01:10:31.239] これどこにおんのこれえ生息値不明なの
[01:10:38.040] えなんで捕まえらんないのこれえなんだ
[01:10:44.320] よこれあれかもしかして
[01:10:48.719] なんかああこれホワイトの方に出てくん
[01:10:52.040] じゃないすると可愛いやつだこれなユニ
[01:10:55.560] ランはホワイトで出るポケモンだからね
[01:10:58.320] ホワイトの可能
[01:10:59.880] 性にち乗ってないラン乗ってる乗ってるえ
[01:11:04.960] じゃもしかしてゴチムがこれがブラックに
[01:11:07.120] 出るポケモンえ今からホワイトやってこれ
[01:11:09.239] 捕まえて
[01:11:10.679] いいね思ったけどバージョン別なんですね
[01:11:15.440] 卵卵って何これ今からじゃちょっと笑笑今
[01:11:20.560] からホワイトの方やってさえん
[01:11:24.239] なら持ってたらさえなんか可愛いじゃん卵
[01:11:28.080] からふさせるのかとああいやもも卵がない
[01:11:34.080] もん
[01:11:36.080] ね
[01:11:37.840] えーだってなんかこれあんま好きじゃない
[01:11:40.120] んだよごちみるごちムって
[01:11:43.679] 俺ブラック2やろっかな今からじゃデータ
[01:11:47.880] 見ていい俺持ってはいるんだよ持っては
[01:11:50.639] いるんだよ全部ポケモン買って持っては
[01:11:52.520] いるんだけど
[01:11:55.960] ブラック2は今やってますやんとりあえず
[01:11:58.760] ホワイト起動してみよホワイトに見てみる
[01:12:02.719] かあ違うセーブしてない危なえセーブして
[01:12:06.600] ないえっと戻らない危ねえレポート忘れ
[01:12:10.040] ない危ない危な今今危なかった
[01:12:12.880] 危ねえ危ねえやばいやばい危ない危ない
[01:12:16.360] 危な
[01:12:20.960] 危ないへ
[01:12:25.679] 危なかったね今なユニランユニゾンなら
[01:12:29.800] 知ってるけど会館ちょっとこれ装備あれし
[01:12:33.480] てみますかちょっと起動してみる
[01:12:36.719] かで俺DSもう1台あるからできるはずな
[01:12:40.360] んだよ
[01:12:43.480] ねこのホワイト2をちょっと入れてみます
[01:12:46.840] かえ
[01:12:55.440] データ残ってんのか
[01:12:57.679] なこれも中古で買ってきたやつだから
[01:13:00.239] わかんねデータ消えてるかもしんないし
[01:13:01.719] 残ってるかもしんない
[01:13:10.360] しち
[01:13:13.080] 村昔の
[01:13:16.560] おお見ない方がいいのかなこれ見ない方が
[01:13:20.600] え見ない方がいいのかなわかん
[01:13:23.480] ないあななんってちゃんのポったちゃん
[01:13:30.080] のて今動確認済みでも7800ぐらい
[01:13:36.000] するあやかちゃんのねこれでも見たら
[01:13:38.560] なんかネタバレとかなんね大丈夫
[01:13:41.120] これ
[01:13:43.840] 強なけるか強え欲しいこれこれを連れて
[01:13:48.719] いくことはできないのこれ
[01:13:51.560] ね笑
[01:14:01.639] 入ってたりしねえかなうわ強リタンて書い
[01:14:07.520] てあっ
[01:14:11.800] たね
[01:14:13.600] 何何何親
[01:14:16.159] レヌどこに書いてあんの格闘4倍のくに
[01:14:20.239] 雑魚じゃないやつだかの男かなった
[01:14:25.679] いいなえ親
[01:14:28.560] れマジ
[01:14:30.400] じゃんなんでさ待って俺俺こっちの時
[01:14:33.520] レンジだったんだよなんでこんなレンで
[01:14:35.400] つくのえ怖いんだけど怖いんです
[01:14:39.280] けど笑笑えちょっと怖ンかっこいいな笑笑
[01:14:44.719] 笑笑笑笑そしてお前は仕込みか本名はって
[01:14:50.120] 言いますえ怖く
[01:14:52.560] ねま
[01:14:55.360] この時代のさなんかあのなんだそしてその
[01:14:58.639] 2つがハのところに集まったの笑笑
[01:15:02.679] 村から仕込みが凝ってて好き仕込みじゃね
[01:15:05.719] えっ
[01:15:08.040] てうわスイ君とかいる
[01:15:12.360] し
[01:15:14.159] はあ何名前
[01:15:16.920] チソえどうしようこれ捕まえに
[01:15:21.440] 行くなんてかでもマレン君て結この時代
[01:15:25.320] 多かったかもうん毎年1位だからねあの
[01:15:28.560] 名前の多
[01:15:32.560] さだよ
[01:15:34.679] ねあれ何番だったあいつレンジてブリーチ
[01:15:38.199] からかもだ
[01:15:40.199] しあい
[01:15:43.400] ね
[01:15:45.239] あれ何番だったっ
[01:15:49.520] けこっちには39よく覚えてんなえ
[01:15:55.239] ない
[01:15:56.880] じゃん出会ってない
[01:16:01.480] 139それ全国図鑑
[01:16:10.960] あやべえこれこれ見ない方がいいなんか
[01:16:13.600] 伝説のポケモンじゃないの
[01:16:17.280] これあたあ持ってるや
[01:16:21.320] んえ持ってるじゃん
[01:16:25.080] てるやんい
[01:16:37.239] た捕まえたことあるだけじゃない大体
[01:16:41.159] 捕まえたらいるんじゃないいないねいない
[01:16:44.600] ね交換したのかあそういうことじゃ捕まえ
[01:16:48.280] に行く逃がしてるのか
[01:16:50.760] も手が凝ってんな
[01:16:55.960] 人生縛りしてたんか死んだん
[01:17:01.000] かあ進化見ちゃったねやこれは知てこれは
[01:17:05.960] 知ってたからそれ全図や
[01:17:09.440] ぞ待って待って待って
[01:17:12.960] えユニ
[01:17:15.360] であはいはいはいはいにいるの
[01:17:20.080] ね捕まえでもなんか
[01:17:25.080] だよな親が自分になんないのやなんだよね
[01:17:28.000] りちゃんこんばんはりちゃん
[01:17:29.920] こんばんは親が自分になんないのやだ
[01:17:34.360] なラモの左右の草ねライモンの左て卵産ま
[01:17:39.120] せたらそれありだな2匹送んなきゃいけ
[01:17:42.000] ねえ
[01:17:43.360] かめちゃめちゃ結構結構大変じゃないそれ
[01:17:47.239] 結構大変じゃないそれメタモンおらんのあ
[01:17:50.560] わかんねどうだいたれやなのレコやだよ
[01:17:56.320] 自分のポケモンにしたいじゃん
[01:17:58.520] やっぱあアキアにいるかもねこの人だっ
[01:18:01.639] たら
[01:18:04.440] ねわてか女主人公可愛いな
[01:18:13.520] これめっちゃ可愛いねめちゃめちゃ可愛い
[01:18:16.679] よねこっちの世界の子に挨拶しもういい
[01:18:20.760] だるいだるだるお一
[01:18:23.760] 発発
[01:18:27.360] あれなんかUI
[01:18:34.960] 違くてロードまでったいいねいいなんか
[01:18:39.320] UI白いんだねいや多分これホワイトだ
[01:18:42.320] から白なんでしょ違うんだ
[01:18:45.000] ね強技強これ竜の怒りって4だよな死な
[01:18:50.480] ねえべさすがに40はあるだ
[01:18:53.199] 体力よし
[01:19:01.280] これリザード送ってもいいんだけどな
[01:19:04.320] リザード送ってもいいんだけどもう
[01:19:06.840] マスターボール使うかなんかマスター
[01:19:09.719] ボール使う
[01:19:11.520] よこれどうせ使わねんだからもうこれ
[01:19:14.719] ランディ見てここまですんだよ見て
[01:19:17.000] ランディ見てここまでえ育てた育てた
[01:19:21.400] ランディがいない間に
[01:19:27.000] マスボ育てたねねすげえ速さでじゃない
[01:19:34.840] のきこいつを捕まえてんだ
[01:19:40.600] よよしよし
[01:19:44.440] よえでもこれさなんか俺親が俺じゃないの
[01:19:48.239] やなんだパチパチパチ
[01:19:58.120] シこの子育ててランクスめっちゃ大好きや
[01:20:02.960] からそのためにわざわざ使山やってんか
[01:20:07.639] だ卵産ませるしかねえな卵屋さんてどこに
[01:20:10.760] いんのいやこれどうするうちんと送る今
[01:20:15.000] ちゃうね今本当は俺本当は俺ブラック2
[01:20:17.800] やってんのね今ブラック2やってんだ
[01:20:20.199] けどこっちにあの
[01:20:24.880] にあれが出てこねんだよこっちにそのユニ
[01:20:26.880] ランが出てこねえからわざわざ今ブラッ
[01:20:28.960] ホワイト2を起動して中古のデータを漁っ
[01:20:32.040] てたそしたらあやかちゃんのデータが残っ
[01:20:35.040] て
[01:20:36.880] たほらあやかちゃんのデータが残ってまし
[01:20:40.920] てそれは今漁ってます中古ってそういう
[01:20:44.520] 面白さもあるのねそうですそうですこ
[01:20:47.120] ほとんどは消されちゃうと思うんだけどね
[01:20:48.800] ちゃん元気かなあかちゃん元気なんか
[01:20:52.080] なあかちゃんが今捕まえました
[01:20:56.199] あやかキのみ持ちこれちょっと送ろか
[01:20:59.760] 捕まえてるなあやかかなり捕まえてるこれ
[01:21:03.600] どうするこれもう送っちゃうせっかくだ
[01:21:06.440] からあやかあやかからもらったポケモンに
[01:21:09.159] するかなんかせっかくだし漁ってたな笑
[01:21:12.679] 28285匹捕まえてんのすごくないえ
[01:21:16.320] ちょ待ってもう1個ちょっと3DS用意
[01:21:18.040] するから待ってもう1個3DS持ってくる
[01:21:20.960] ちょっと待ってあるよな俺あるんだけど
[01:21:23.480] 充電しなきゃなんだよ
[01:21:34.360] げならではソロで交換
[01:21:37.159] できる素人だとわかんないけれどあか
[01:21:40.679] ちゃん結構ガチプレイヤー
[01:21:58.040] やっぱこの曲ハードオフだろ入ってるの
[01:22:00.920] 見るとガチプレイヤーから持ってきた
[01:22:05.320] よ3
[01:22:07.520] DS懐いわ初代3DS見てだからかな初代
[01:22:13.120] 3DS出てきたこれ使えんのこれ初代3
[01:22:16.719] DSかっけデザイン今見ると今見ると
[01:22:21.239] デザインたねがデインめちゃめちゃか
[01:22:26.520] いトゲトゲしなんかカット入ってるし
[01:22:31.719] ええこれ持っこんな買ってねえぞ俺
[01:22:36.280] バイオハザードザマーセナリーズ3D入っ
[01:22:38.800] てたよバイオハザードザマーセナリーズ3
[01:22:41.960] Dラッキー
[01:22:44.239] ラッキーなんか持ってない俺知らんこれ
[01:22:47.239] 持ってねえ
[01:22:48.360] よかDSっていうか普通のDSでもよかっ
[01:22:52.239] たんかこれ3DSじゃなくてものもあるん
[01:22:55.400] だバイオのマーセのやつだねマーセのま
[01:22:59.760] こっちもあるけどねDSLLもあるけどね
[01:23:01.920] 3DSLLニュー3DsLかなちょっと
[01:23:04.679] これさ充電充電完了するまで待っ
[01:23:09.760] てこれ違うこれねなんかねもらいもなんだ
[01:23:12.880] よね多分この3DSなんかあの友達から
[01:23:17.560] もらいもなんかいらねえつってなんか
[01:23:19.960] いろんなバーってもらった時に入ってた
[01:23:21.719] やつだから俺もよく把握してねんだよ
[01:23:25.080] DSあたりもらってくかね
[01:23:27.840] よくじゃちょデータ戻すか池だから多分
[01:23:33.280] 充電完了しない可能性あるかもにしなきゃ
[01:23:36.760] だめかポケモン人と交したことないんだ
[01:23:39.760] けどハード2台あればできるのそうそう
[01:23:42.440] そうハードが2台あればできるよそれなら
[01:23:44.800] しっしありそうちょっと待ってねこれ電源
[01:23:47.880] つくのこれあ待ってこれ充電できない
[01:23:50.920] かもか充電のがしてるこれもダメかもね
[01:23:57.840] 電源つかないのかな
[01:23:59.920] これあつかねかもしんないこれのモンハン
[01:24:03.639] 起動したらデータの名前がゆうたとか探せ
[01:24:06.280] ばありそうゆうたね蜂蜜
[01:24:09.320] ください笑笑これ電源つかねえのかな
[01:24:13.840] なんか3DSってなんかさ愉快なおば
[01:24:16.679] ちゃんが来たよお愉快なおばちゃん
[01:24:18.360] こんばんはマムこんばんはエンジョイ行く
[01:24:20.239] 1よそれはそのまま様子にしてみよう
[01:24:24.840] さじゃこれさパタSDカード入れねえと
[01:24:29.880] 電源つかねえみたいなさそういうのなかっ
[01:24:31.920] た昔あるよねこれSDカード入れる
[01:24:35.360] わリクスジリクスリペサンド
[01:24:41.440] スナッツ3DSLLねこれはあのニセトロ
[01:24:45.560] でもなんでもない普通のやつ
[01:24:48.560] ねつくかな
[01:24:50.960] あ待ってつくかも
[01:24:56.679] バッテリー死んでるわけじゃないべなんか
[01:25:00.960] さ電源ボタン押すじゃん電源ボタン押す
[01:25:05.080] じゃん時間経過で充電開始されると
[01:25:08.199] 思う赤のつくんだけどなんか赤の木つくん
[01:25:11.440] だけどさ消え
[01:25:13.800] ちゃうこれは放置すればいいんかな多分
[01:25:16.360] 電池が全然ねえからってこだよ多分ねこれ
[01:25:18.480] ね放置すればつくよね多分ねちょっと待っ
[01:25:21.119] ておいたそうだねそうだねそうだよねもう
[01:25:23.600] 待つかじゃちょっと
[01:25:25.560] ほんだちょっと戻る
