[00:00:06.080] ハリボテあげだねハリボテあげだね針ボテ
[02:05:19.760] 信じれば不可能などなくなりますどいう
[02:05:21.960] ことなんかなんか何言ってんのお前は
[02:05:24.119] 信じる不確定要すぎます愛みたいな敵だな
[02:05:27.320] え愛みたいなやつだねこれなんかね
[02:05:29.440] ポケモンを信じることでプラズマダンと
[02:05:31.280] 向き合う危険も乗り越えられるというの
[02:05:32.840] ならお友達を助けるなら彼らを追いかけ南
[02:05:35.719] にある羽場に向かいなさいなだこいつよく
[02:05:38.440] わかんねえなあなんか何ここ飽きないし
[02:05:41.159] てるねここ強さを求めてこんなところまで
[02:05:43.559] きったかよろしいその列に答えてこれぞと
[02:05:46.079] いう技を教えよう究極の技おしのポケモン
[02:05:48.520] に教えるか何究極の技なんだこいつ
[02:05:53.000] じいさんが究極の技を教えられるのは今
[02:05:54.840] から名前を呼ぶポケモンじゃよ炎の
[02:05:56.599] ポケモンああリザードンバクバシャーモ
[02:05:59.599] 豪華ざるエブをこれあれだなんだっけえー
[02:06:03.000] ブラストバーンとえハイドロカノンとあと
[02:06:08.400] なんだっけなんだっけ草の技なんか
[02:06:11.199] めちゃめちゃ強い技覚えれるさ53系1番
[02:06:14.320] 最初にもらったポケモンの最終形態しか
[02:06:17.239] あれなんだよなあの覚えらんねえんだよな
[02:06:21.040] 確かなハードプラントあそうそうそう
[02:06:23.920] ハードプラントそうそうそうハード
[02:06:25.400] プランテハードプラントだ懐かしい
[02:06:28.119] 懐かしい
[02:06:29.520] ねポイントアップ
[02:06:35.880] よしんどこ行ったあいつら海を後悔して
[02:06:40.360] こそ船まま港にいる船は寂しそうだねえ
[02:06:45.199] あいつら船乗ったのあい
[02:06:48.639] たこの船なんで冷たいんだよ
[02:06:52.159] 別どういうこといや船なんて冷たいやろ
[02:06:57.079] ほぼそれ
[02:07:00.199] に古い古い保線に偽装してるけどそんな
[02:07:03.960] わけないよ
[02:07:04.920] ねあったかい船ってあんの温度感じるタあ
[02:07:09.760] こんな鉄っぽいとこに立ってんだもそれは
[02:07:11.320] 冷たいべ海の上にいるんだしどうでもいい
[02:07:13.599] だろこテパにされるお前らにはなあ
[02:07:16.920] いっぺいいるねお前らプラズマダンのアと
[02:07:19.760] か
[02:07:20.520] よあららららこれまずいんじゃない正解だ
[02:07:24.679] からこの
[02:07:26.679] 通りこんなにいるんだぜこれで全員か
[02:07:30.679] もっと出てきてもいいんだ
[02:07:32.440] ぜは強かあるなよしこいつらボコボコに
[02:07:36.040] するぞ
[02:07:37.040] プラズマ全員しばな言っておく俺は今から
[02:07:41.280] 怒るぜ
[02:07:53.880] BMかっこ
[02:07:55.920] いい戦かなでもそんな強ないやろ
[02:07:59.679] 多分
[02:08:02.000] ドガスねドガスってこれ
[02:08:05.960] 冬まシルブレわレベル高いなで30レベ
[02:08:11.280] か
[02:08:12.960] 冬毒にさせないやだにない
[02:08:16.760] ね
[02:08:18.520] 最悪あ冬か
[02:08:21.920] 毒か
[02:08:23.639] ジいや毒引いたの連戦で毒引いたのだるい
[02:08:27.320] な連戦で1発目に毒引いたのちょえこれ
[02:08:32.159] 死んでない
[02:08:35.599] の
[02:08:37.679] え
[02:08:45.450] [音楽]
[02:08:47.960] 毒消すかでも
[02:08:51.599] もんな然だもん
[02:08:57.719] なうわだるい
[02:09:01.040] な毒直しとくかでもどうせこいつも毒だ
[02:09:04.159] から
[02:09:06.679] なう
[02:09:09.920] だるいんだるいなまたこいつも毒タイプ
[02:09:12.840] でしょうわ見る戦闘にすんじゃなかったな
[02:09:18.360] これう
[02:09:24.239] あーこれ毒直してもいいんだけどこいつも
[02:09:26.880] 毒タイプだから結局ま毒にされる可能性
[02:09:28.840] ある
[02:09:30.800] から
[02:09:36.559] うざ回復したいけどこれどう
[02:09:41.000] だいや回復だけ入れるわ僕はまあまだ
[02:09:45.760] 帰れるか
[02:09:46.410] [音楽]
[02:09:48.360] なオケ
[02:09:54.719] いや毒も直しちゃうかここで直しちゃうか
[02:09:57.199] ここでな毒も直すわここ
[02:10:03.239] でかっこいいな
[02:10:05.360] BGMめっちゃかっこいいな
[02:10:08.000] BGゴミ袋が調子の本当だ
[02:10:11.840] よゴミ袋不
[02:10:16.119] がでもブサで可愛いなゴミ袋でも進化系見
[02:10:20.239] たら多分引くと思うよ
[02:10:22.520] 進化系見たらめちゃめちゃ引くと思う
[02:10:25.440] めちゃ小汚くなるゴミ袋に見えるねい
[02:10:28.239] ゴミ袋のポケモンなんだよヤブクロンて
[02:10:30.280] いう破れたゴミ袋の
[02:10:33.800] ポケモンじゃあ今からっとく
[02:10:37.559] わえまだ連戦するのこれ
[02:10:41.599] きつブラマ何こいつ2年前の俺たちの邪魔
[02:10:45.159] しあのトレーナーみたいだあこれだから2
[02:10:46.920] 年前の俺たちの邪魔したあのトレーナーっ
[02:10:48.559] てのがブラックホワイト1の主人公だねえ
[02:10:51.000] これ主人公出てこないのかなどこ行ったの
[02:10:52.800] あいつらはあ倒したよ俺は余裕だなじゃ
[02:10:56.559] チェレンさんをサポートし
[02:10:58.440] なちああなるほど2対1かあ分かった
[02:11:03.360] 捕まった捕まった
[02:11:07.079] の何で捕まったんだよパクられたん
[02:11:13.800] か直さなくてよかった直した直した直し
[02:11:17.840] たわゴルバットだ
[02:11:22.480] ゴルバット出てきたねうわ
[02:11:26.400] ムーランド仲間になると心強いぜあ
[02:11:30.639] ポケモン入れ替えても良かったなこれじゃ
[02:11:33.040] ない方が良かった
[02:11:37.290] [音楽]
[02:11:39.239] ねも直してえっとねどっちから倒ベベから
[02:11:44.599] 行くかおお雷の覚えてんだ
[02:12:01.599] いいね俺はやめてなんで俺なんだよ犬に
[02:12:06.679] やれよ犬
[02:12:09.559] にめっちゃかっこいいここ
[02:12:17.800] BGMチームだろう笑
[02:12:22.360] オオオオオ
[02:12:25.920] オオオうわまだやるん
[02:12:28.520] [音楽]
[02:12:30.360] だうわ出たワルビル来たやっぱ持ってるね
[02:12:33.679] こいつらも
[02:12:34.840] ねま水の波動だねやっぱ
[02:12:38.559] 可愛い
[02:12:40.079] 力どれが可愛いレパルダスうわ一発だ強
[02:12:44.760] ムーランド強い
[02:12:46.920] なま僕も一発で沈めちゃうけどね
[02:12:52.119] 猫はいおつ猫ねあれエなこの進化系だ
[02:12:57.440] よ
[02:13:01.719] オオオオいいね勝ったよありがと本当に
[02:13:07.559] 強くなったね次は順になんなんだよこいつ
[02:13:10.719] ら全然自分でどうにもできねえんだ
[02:13:15.280] なまたダブルバトルかこれ
[02:13:21.440] オまミヒで行っちゃおっ
[02:13:29.960] かほらまたやるよ一緒に余裕余裕ぴだね儀
[02:13:35.679] でチロ猫を奪ってのお前
[02:13:37.960] かどんだけめちゃめちゃ荷じゃんの最終た
[02:13:44.079] あまだまだまだまだまだ
[02:13:53.639] ムーランド持ってても良さそうムーランド
[02:13:56.000] 強いねもうあと1レベぐらいしたらか
[02:14:01.000] ななんだねおんまいいお兄ちゃんだ
[02:14:05.110] [音楽]
[02:14:13.199] ねいいよいいナイスコンビネーションまず
[02:14:16.400] 1匹落とす欲しかったあれいないんだっけ
[02:14:21.360] あいないいない
[02:14:22.599] か男兄弟ね俺も欲しかったよお兄ちゃんと
[02:14:26.480] かお姉ちゃんしかいないから
[02:14:30.480] さお姉ちゃんも仲いいけどねお姉ちゃんと
[02:14:33.719] も仲いいけど欲しかったランディが良いと
[02:14:37.360] なんかなんかなお兄ちゃんお前なんか
[02:14:40.239] エッチなで見てんだろ
[02:14:46.119] あえ
[02:14:48.159] ランディランディは兄弟いないの兄弟
[02:14:54.159] ランディ兄弟いない
[02:14:57.119] の見るほ
[02:15:01.400] よしがるあそうなんだお兄ちゃんいるんだ
[02:15:04.960] ねあえニナとかなんか絶対アンコール覚え
[02:15:11.400] たにんとかなんかっこタイプだと思ったん
[02:15:14.239] だけどっこタイプだと思ってた俺4つ上だ
[02:15:18.639] な姉ちゃん
[02:15:20.960] [笑い]
[02:15:23.360] ねねこんなにありがたいね妹生でいやいい
[02:15:28.440] じゃん生きなぐらいが可愛いでしょうよ
[02:15:31.159] アンコールって
[02:15:32.400] 何いらないアンコールいらんいらないいら
[02:15:35.800] ないいらないアンコールいらないいいね私
[02:15:38.840] っこあそうなんだ
[02:15:41.639] ぽい
[02:15:43.599] ぽい忘
[02:15:45.760] さるです忘させいらないっあそうなの綾弟
[02:15:51.280] がいるんだいらないってワンコール
[02:16:00.960] はまあでもやっぱとうん妹とか弟とかが
[02:16:06.440] いると大変そうだけどなやっぱな色々
[02:16:08.199] なんか我慢するとことかもあんだろなんか
[02:16:09.880] 色々お兄ちゃんなんだからみたいな俺それ
[02:16:14.119] なかったから最高だ
[02:16:15.559] わなかったから最高トも欲しかったな3人
[02:16:20.360] います2人3人いんのかよすげえな結構
[02:16:23.840] みんなあれなんだねあの兄弟いるんだ
[02:16:28.400] [音楽]
[02:16:29.760] ねおじのび死ぬぞ下に2人いる
[02:16:35.120] ええラった
[02:16:37.439] じゃん2歳の弟とゴリラの妹そうやって
[02:16:41.399] 言うんだよ妹がいる奴らってみんなそう
[02:16:43.760] やって言うんだよな妹はブサクでどうの
[02:16:45.679] こうのとか可愛いだろうがかまあいいよ俺
[02:16:48.760] のポケモンじゃねえしいるんだねね
[02:16:51.639] 森
[02:16:57.240] はうちお姉ちゃんあ来
[02:17:00.319] たあそうなのまの様子
[02:17:04.359] があれ初めて見るかしてる初めて見るか
[02:17:09.000] こいつの進化
[02:17:10.930] [音楽]
[02:17:14.960] 系あれしか
[02:17:16.840] 知えあ見たこあるわ
[02:17:23.479] あれおめでとう丸
[02:17:24.930] [笑い]
[02:17:29.920] はこいつっていうの
[02:17:35.760] 名前こんな伏回収
[02:17:39.040] あるあこんな
[02:17:41.709] [笑い]
[02:17:49.840] に待った大気になるのこいつ大気って何
[02:17:55.200] 剣気じゃんうわもう使えならったこいつ
[02:17:59.200] 使えなくなった
[02:18:01.359] こいつ気じゃん最悪なんだけど大キ痛すぎ
[02:18:07.599] てうずうずしてたあそっかえじゃもうさま
[02:18:11.559] ると怖いじゃあさやっぱあれなの俺が
[02:18:14.840] パート1でさえこ気ゴミだわとか言ってた
[02:18:18.760] のってさもうえこ彼氏いるんかよふざけん
[02:18:21.519] だ気嫌いだわて言ってたのってさ何この
[02:18:24.840] これもうずうずしてたんだ忍んはもういや
[02:18:27.559] お前のポケモン大元気になるんやけど
[02:18:29.479] みたいなよくぞ言わなかったよくそこで
[02:18:32.160] 言わなかったえらいここまで取っといたの
[02:18:34.519] は分かってるねわいいねパチパチすごいわ
[02:18:38.000] 大よく言わなかったそういうこと
[02:18:41.399] かえらいだからわざと仕事休みそのために
[02:18:45.240] 足グったの笑笑これ入たくなる大
[02:18:51.880] なもちゃうわくも
[02:18:55.200] ブルハ盛り上がってんのによごめんじゃ1
[02:18:59.200] 回さポート変えていい一ポート後ろにする
[02:19:03.160] わパソコンのポート後ろのポートに
[02:19:07.760] 入れる空気
[02:19:14.080] 嫁えでもポート余ってないんですけど
[02:19:18.399] ポート余ってねえよ1個も
[02:19:39.399] ちょっと待ってこれポート余ってないん
[02:19:41.200] ですけどどれ抜けばいいの全部使ってるん
[02:19:44.040] だけどまいった
[02:19:46.439] なこれはこれダメだよなこれも使ってる
[02:19:50.240] もんな
[02:19:51.240] やべえな
[02:19:54.200] うんとそうだなこれどうすっかな何抜こう
[02:19:57.160] かなさす場所がないこれうんこれはマイク
[02:20:00.280] だもんねマイクでしょでこれキャプチャー
[02:20:03.600] ボードだもんなこれ抜けないよ
[02:20:06.760] なこっちのキャプボ一瞬抜くしかねえか
[02:20:10.240] しょうがねえ
[02:20:11.960] なDSの時はここ入れ替えるしかないかも
[02:20:14.840] ねちょっとごめんねえこっちにしよう
[02:20:18.720] こっちに入れよう
[02:20:22.439] どうこれでよいしょ入れ替えた後ろにし
[02:20:26.840] たよいしょこれで多分大丈夫じゃないな
[02:20:31.600] 切り裂く
[02:20:33.080] 忘れる変わんないと変わんないと思うけど
[02:20:36.080] 切り裂く必要かなこれ威力70急所に
[02:20:39.840] 当たり
[02:20:40.880] やすい伏線回収したねありがとうナイス
[02:20:43.399] クリップえこれさアジェと水の波動と
[02:20:48.560] シェルブレード
[02:20:50.840] えこれ切り持っといた方がいいかなどう
[02:20:53.520] 思うこれ
[02:20:54.560] 切り3
[02:20:59.600] 3これ悪さどう切り
[02:21:04.040] いる様
[02:21:06.920] 様様これどう思いますか忍様これ技
[02:21:12.640] 構成コールストリーこれいる
[02:21:20.840] いるよ
[02:21:22.439] なノーマルの物理でしょこつて物理型なの
[02:21:28.120] 威力7070技範囲広くしたいねあー水の
[02:21:33.520] 波動消す電気見届けて満足するのやめて
[02:21:37.200] 本当だよいやでもシェルブレードはいるよ
[02:21:40.680] なわちょっと命中が不安だけどこんばんは
[02:21:44.600] あゲームは順どうもこんばんはえまゆ子
[02:21:47.720] さんどうもこんばんは初チャット
[02:21:48.720] ありがとうまこさんありがとうこんばんは
[02:21:51.280] ゲーマ順調ですよ順調順調大
[02:21:53.840] 順調大順調ですよこれ今技を
[02:21:58.640] ねえ忍様忍様ポケモン一番詳しいからさ忍
[02:22:02.560] 様さこの中でどれ消す
[02:22:06.960] アジアジェぐらいしか消せねえよなシェル
[02:22:09.600] ブレートいるだろ剣気攻撃も特攻もどっあ
[02:22:12.720] そうなんだ剣気っていうのやめてね気って
[02:22:15.680] いうのやめてひまだから気っていうのやめ
[02:22:17.960] て消すなら悪かねだよな多分な威力的にな
[02:22:22.280] でもこれな必ず先生攻撃できまいっかSも
[02:22:27.000] 早えだろ
[02:22:28.560] こいつオ
[02:22:33.840] よしおいおい嘘だろこれでみんな気呼びに
[02:22:37.560] なっ
[02:22:39.120] た全員倒したぜさあちろ猫についていいい
[02:22:44.439] ておんだけまだ言ってんのちろあげるって
[02:22:48.399] 言ってんじゃねえかよもであげるよ
[02:22:51.520] お前そうだね他にも調べたいことがある
[02:22:55.359] し何事であるずっと言うじゃん元気はダメ
[02:23:00.040] だよ元気はダメか強いからなあれこれ芸術
[02:23:04.319] やれやれあなたは冷凍コンテで震えてた人
[02:23:07.200] ですよね確か名前はビオ全然覚えてない
[02:23:10.120] これ多分前作出てたんだろうなこの筆で何
[02:23:12.800] をするもりなのか教えてもらえますよ己れ
[02:23:16.200] 我々は今一度伝説のドラゴンポメも従え
[02:23:19.000] 一種を支配する物好きなトレーナードよ
[02:23:22.120] 突き勝定させるもの
[02:23:24.680] かダークトリーティあいこいつらを連れて
[02:23:28.319] いくんだいたなこんなのな言っておくが
[02:23:32.279] 私たちはお前
[02:23:33.800] の分かっておるさくつまみ出すんだという
[02:23:38.439] こと
[02:23:40.680] だ
[02:23:42.640] あダークトリニティなんだよあいつらああ
[02:23:45.840] もうプラどこに消え
[02:23:48.090] [音楽]
[02:23:49.439] たトリニティは人の動きを封じて連れ立つ
[02:23:52.640] 超人的な連中
[02:23:54.240] あそれよりもさっきの言葉我々は今一度
[02:23:57.439] 伝説のドラゴンポケモンをつい一種を支配
[02:23:59.560] するとはどういうことだろうそのままだろ
[02:24:01.800] 別にどういうこともクソもねえよそのまま
[02:24:04.439] だよ伝説のドラゴンポケモンレシラムも
[02:24:06.680] ゼクロムも一種にはいないはずなのにね
[02:24:09.600] 伝説のドラゴンポケモン海遊違う違う前作
[02:24:13.200] の前作に出てきて前説のポケモンだな
[02:24:16.120] ゼクロムとレシラムだよ僕は調べることが
[02:24:19.240] あるので6番道路で行く君も道中気をつけ
[02:24:21.600] なようんなるほど
[02:24:26.040] なオッケーオッケーオッケー大剣気になり
[02:24:29.040] ましたね大剣気すげえ伏線回収した
[02:24:33.319] めちゃめちゃ強えしこいつ体力120万
[02:24:35.960] あんのか
[02:24:37.640] よめちゃめ
[02:24:40.200] 強強いな
[02:24:42.840] こいつさすが有名配信
[02:24:45.590] [音楽]
[02:24:48.479] 者そうかてるの世界で2人だけだよマジ
[02:24:54.130] [音楽]
[02:24:55.840] でなんでお前サブ垢になったの急
[02:24:59.479] にここは何何屋さんここは君キ博士から
[02:25:03.319] もらったポケモン連れてるか博士から
[02:25:04.840] もらったポケモンなどの進化系でも君夏に
[02:25:06.760] とったら特別な女合体技笑笑えあのあれだ
[02:25:10.439] べ草茶魔せやあれだよあの森だべモゆなん
[02:25:15.120] でお前モゆ別にサブ分りする必要なくない
[02:25:17.640] モゆモゆもりゆモゆもりゆ
[02:25:21.479] 何を何が覚えさせ
[02:25:23.960] て水の近いって
[02:25:26.520] 何ミヒは新しく水の誓を覚えたいしかし見
[02:25:30.399] はうんわざじゃ覚えさせようか何水の誓の
[02:25:34.359] ネーミングセス理1コメ取れた
[02:25:38.880] の水の柱で攻撃する炎と組み合わせると
[02:25:42.359] 威力が上がってそにしてたの今知った俺も
[02:25:46.680] さこの配信で知ったんだよそれ森は1個目
[02:25:49.560] 取れてないよ今日し
[02:25:52.160] たもうだってもうだってもう私がいだって
[02:25:56.080] もう他の奴らもみんな森の1コメを邪魔
[02:25:59.240] しようとしてるもんありがたいよお前が
[02:26:01.680] そのそのためそれのおかげでなんか最初
[02:26:03.520] から同が安定していいわ最初さつけてから
[02:26:07.240] 10分ぐらいはさど5人とかしかいないの
[02:26:09.960] にも10人ぐらい来るもんなそのそれを
[02:26:11.399] 阻止するため
[02:26:12.680] にありがたいありがたいえ何これめっちゃ
[02:26:15.800] かっこいいこの技炎と組み合わせると威力
[02:26:18.960] が上がってに虹がかかるこれどういう
[02:26:22.640] こと合体技だってそんなのあんの何合体技
[02:26:27.560] ってこれどうやって使うのよこれ素敵
[02:26:29.520] じゃん
[02:26:32.240] うんえ兄様もうすぐ分かんないこと全部兄
[02:26:37.880] 様に聞くから兄様これ何強いの
[02:26:40.920] これ兄様これ強いほの奥の3種類あるああ
[02:26:45.359] そうなんだのさんささこれえでも50
[02:26:50.840] でしょダブルバトルじゃないと意味ない
[02:26:53.160] もんねちょっとこれ使い勝手悪いなだって
[02:26:57.439] あれでしょこれあのこれれってさあの
[02:27:00.200] ディノ男性ディノ
[02:27:03.840] 男性シングルならいらんわだよねいら
[02:27:08.200] ないいらないいらないいらない見てみたい
[02:27:10.720] けどね見てみたいけど忍様ポケモンめちゃ
[02:27:13.680] 詳しいんだだってそうだよキッズだ
[02:27:16.200] もんだってスプラとかスプラキッズだもん
[02:27:19.000] ポケモンも詳しいよそれ
[02:27:21.399] スプラキッズなんだからほほほ笑あ忘れ
[02:27:25.120] おじさんねポケモンの技を忘れさせて
[02:27:27.359] くれるんだこれ思い出しおじさんはどこに
[02:27:29.000] いんのここメモリアルがあるポケモンが
[02:27:31.760] 成長して覚える技全て知っていてねその技
[02:27:33.920] をポケモンに思い出せることができる
[02:27:35.439] ハートの鱗という動画をくれたらあなたの
[02:27:37.120] ポケモン忘れた技を思い出させてくれるん
[02:27:39.319] でこれちょっと見たい忘れた技を思い出し
[02:27:42.080] た100話になんかいい地面技覚え
[02:27:44.800] ないににはまりませんなハート
[02:27:49.120] のああでも全然いい技ないな全然いい技
[02:27:53.200] ないわだめだ覚えさせ
[02:27:58.479] ない忘れちゃってやっぱあの技もう1回
[02:28:01.040] 欲しいなって時にここに来てハートの鱗を
[02:28:03.319] 渡すと思い出さすことができんの
[02:28:09.000] ようわトライアタックある
[02:28:12.720] なごめん俺取らえたこれ取るわまんだ
[02:28:16.200] 止まるじゃんダメじゃん結局止まるやん
[02:28:19.319] ダメだねこれね
[02:28:22.279] トラ強い思い出すには雪のとこねそうそう
[02:28:26.680] そう
[02:28:27.840] そうそうトライアタックが欲しいねこれ
[02:28:31.840] ね3つの構成で攻撃する麻痺か焼けか氷
[02:28:34.920] 状態どれかにする強すぎる
[02:28:37.359] でしょマグネットボムいらねえかなマグ
[02:28:40.960] いらないかな止まるの不安なりますねね
[02:28:44.439] 本当やだこれ
[02:28:50.399] いらないでしょミラーショットで十分
[02:28:53.040] でしょ電気技は欲しい
[02:28:55.920] からマグボイを消す
[02:29:00.520] わマグネットボムいらないトライアタック
[02:29:04.359] いいです
[02:29:09.640] よ他もちょっと見たいねどんな技覚えるの
[02:29:13.180] [音楽]
[02:29:16.560] かえメガホン
[02:29:19.440] [音楽]
[02:29:20.720] メガホーン覚えのお前えメガホーン
[02:29:24.560] じゃんもういやもちょっとダメだね止まる
[02:29:27.840] ねこんな止まるこれポート関係ないなあら
[02:29:33.640] ポート関係ないぞこれ多分あかんかあかん
[02:29:36.479] だね笑笑今日すごい今日すごい
[02:29:40.520] ね何それ
[02:29:43.240] ちょっともう無理やろこれこんな止まられ
[02:29:47.319] たらもう無理やでどうするこれマジで
[02:29:50.680] ぶっ壊れたな最悪なんだろ止まるとも
[02:29:53.800] やっとしちゃうねそうだよね全然気持ち
[02:29:56.240] よくできない
[02:29:57.439] ねこんな止まりますかちょっと不安だな
[02:30:01.800] これな参った
[02:30:06.160] ねいやまいったなこれどう
[02:30:13.240] しようこんな止まんのかうま本体か
[02:30:25.170] [音楽]
[02:30:30.000] まちょっとこれで様子見るしかない
[02:30:32.359] なあとは1000変えてみるかだないや
[02:30:36.600] 1000変えても意味ないと思うんだよ
[02:30:39.160] なメガホンってどうこれ全員かはっきりし
[02:30:42.680] ない感じうんわかんないねそれはねわかん
[02:30:45.520] ないよねメガホン120強いけどなどうか
[02:30:50.800] [音楽]
[02:30:53.720] なちなみに音ワカは何覚える
[02:30:58.200] のあ焼き尽くすとか覚えるんだああんま
[02:31:02.920] ない
[02:31:04.380] [音楽]
[02:31:05.840] なオじゃあ行きます
[02:31:09.479] か次の町へ行こう
[02:31:13.680] ぜ1回ポケモンセンターで回復してから
[02:31:16.279] 行こうえーこれでも萎えるな壊れてらは
[02:31:20.399] ほぼ当たらないそうだなポケモンの命中
[02:31:22.840] 85体感30だからね体感確率30ぐらい
[02:31:26.080] まで当たんない
[02:31:27.060] [音楽]
[02:31:37.960] から
[02:31:41.880] うあれだね新しいポケモンなんか育てたい
[02:31:45.850] [音楽]
[02:31:47.120] ねまもうこスタメンになってきたひまと
[02:31:50.600] コココイルと話にはわっか
[02:31:53.120] はわっかも今日進化狙えたらいいな飲ん
[02:31:57.279] でるはまいいけどねなんか育てたいねま今
[02:32:00.319] 音わかのレベルが低いからちょっとこいつ
[02:32:02.000] 育てめで行きたいけど
[02:32:03.600] ね音アカて何レベで進化なのそれがふさ
[02:32:10.359] サシ音わッカーって何レベで進化すん
[02:32:14.000] のだなら気持ち良すぎだろだ気持ち良すぎ
[02:32:19.279] だろ
[02:32:20.720] 気持ち良すぎだろ気持ち良すぎ
[02:32:25.520] だろ音ばっか育てよっか
[02:32:30.200] じゃああでも雨降ってるから音わか不利だ
[02:32:33.439] なこれ雨降ってると炎の技って弱まるんだ
[02:32:37.080] よ音下げで音わか
[02:32:41.880] 下げちょ剣気使って
[02:32:46.600] みようあと7レベやね境にもも左右されん
[02:32:50.640] のかそう天気にもね7レベ結構高い
[02:32:57.760] なマジで言ってんの
[02:33:00.530] [音楽]
[02:33:13.920] これニセトロのうー
[02:33:18.710] [音楽]
[02:33:20.640] いい感じにストレス溜まってきたねこれ
[02:33:23.760] マジストレスたまる
[02:33:25.350] [音楽]
[02:33:33.399] ね
[02:33:37.960] うストレスたまるなこれ止まんのねどう
[02:33:41.840] すっかななんかどうにかならねえかな
[02:33:45.560] [音楽]
[02:33:53.600] ドス再起動でなんとかならん
[02:33:56.319] かしらてちょっとやってみるうんあんまり
[02:34:00.880] 関係なそうではあるけどね1回セーブして
[02:34:04.240] DS再起動する
[02:34:05.880] わあんま関係なさそうだ
[02:34:10.399] なあでもあ待ってワンチャンそれあるかも
[02:34:14.920] な俺DSの電源ずっと切ってねえんだよ
[02:34:19.720] 充電機差しっで配信終わって閉じてやっ
[02:34:23.640] てるからそれか
[02:34:26.319] もそれかももしかしたらそれで治るかも
[02:34:29.479] しんない
[02:34:30.920] ねそれの可能性が何やってんだおめえでも
[02:34:35.680] いつもそうだったんだよ
[02:34:37.120] な電源切るわ1
[02:34:42.399] 回電源切りまして1
[02:34:45.160] 回可能性は全部潰してこそうだね
[02:34:50.800] スマホですら再起動たまにしてやらないと
[02:34:53.520] あかんから
[02:34:54.740] [音楽]
[02:34:57.880] ねはい再起しましたどうでしょうかこれで
[02:35:03.359] 様子見ますかねぬるぬる変わんないって
[02:35:07.479] 変わんない変わんないスイッチほど熱暴走
[02:35:10.080] はなさそうだけどそれだったら3でも少し
[02:35:13.800] さしたちょっとちょっとえ待ってちょ
[02:35:15.920] ちょっとちょっとさじゃちょっと電源切っ
[02:35:17.920] て置いとくかちょっとだけ
[02:35:20.680] タバコ吸ってきていいじゃまたすぐ
[02:35:23.760] タバコなんかポケモンの配信のポケモンの
[02:35:27.160] 配信やってるとタバコめちゃめちゃ吸っ
[02:35:28.680] ちゃうな俺こんなに普段吸わないのにね一
[02:35:31.600] してきたら雑談タイム雑談タイムにする
[02:35:34.800] 雑談タイムにしよっかじゃタバコ1本吸っ
[02:35:36.760] てからタバコ1本吸ってからさらに雑談も
[02:35:40.319] しますちょっと1本だけく
[02:35:44.399] 題置いて俺が題を示してかなきゃいけない
[02:35:47.640] のと
[02:35:48.640] じゃうんとじゃああのふざけなしでチマ
[02:35:52.680] ゲームのチマゲームという配信者の
[02:35:55.760] ちょっとすごいところ俺が帰ってきてコメ
[02:35:59.240] ラ見たら気持ちよくなるようにちょっと
[02:36:00.720] それをあげといてちょっと音楽かけてくわ
[02:36:03.840] ちょっと待っててねちょっと5分10分
[02:36:05.640] 試してやるかちょっとなけっぱだったから
[02:36:07.560] なすごいところねふざけなしで
[02:36:11.080] か声でかいのはかなりの利点帰ります帰り
[02:36:15.040] ますて帰るねふざけだ1歩吸ってくるわ
[02:36:17.600] じゃあな
[02:36:20.260] [音楽]
[02:36:37.359] リスナーとフランクに接してて普通に
[02:36:39.760] コミュニケーションの勉強になるいい
[02:36:42.319] ところはねすみません今ちゃまくいない
[02:36:45.160] けれどまだ配信続きそうですかね続きます
[02:36:48.439] よ配信部屋がかなり凝っ
[02:36:52.640] てる続きます
[02:36:55.399] よ財布なくして何も盗まれずに届けたとこ
[02:36:59.439] すごいよかった改造できたりポケモン
[02:37:03.040] 鳴き声だったり特技
[02:37:07.600] たくさんタバコ吸ったら帰ってきますレド
[02:37:11.439] か
[02:37:13.800] な積極的に企画するチャレンジ精神かな
[02:37:25.680] もりゆえぐい
[02:37:29.279] 笑笑
[02:37:32.080] 笑笑仕事してさらに配信する
[02:37:36.270] [音楽]
[02:37:39.160] バイタリティ本物のガチ勢すごいちゃま君
[02:37:42.600] が離席してる間にちゃまくのすごいとこ
[02:37:45.319] あげるといいらしいすごいところ企画の
[02:37:48.479] アイディア力もえぐい笑めっちゃ出るや
[02:37:55.560] んうんとねとねめっちゃ
[02:37:58.670] [音楽]
[02:38:02.520] 好き
[02:38:05.000] 笑笑別においしくもないチルアウトを
[02:38:07.920] 頑張って宣伝してたとこくらいしかないや
[02:38:11.240] 笑笑語彙力これだけもがあるのに全て大切
[02:38:15.439] にする思いやりの心
[02:38:18.439] 草チルアウト吹いた笑笑太ってるのになぜ
[02:38:22.880] かある清潔
[02:38:31.240] 感おいしかったよ母に感謝しているところ
[02:38:35.560] チルアウトディスられてる笑ああそうだね
[02:38:40.240] ちゃま君はジなのに機械使っててすごい
[02:38:43.640] 教えはどうなってんだ教えはママが好きな
[02:38:46.680] のすごく素敵配信頻度が普通に高い待って
[02:38:50.920] も理由すごくねえ
[02:38:52.550] [音楽]
[02:38:57.720] か
[02:39:00.790] [音楽]
[02:39:07.160] すごいお公案も嬉しい楽しみこれは普通に
[02:39:11.920] ガチ
[02:39:12.800] [音楽]
[02:39:16.880] 勢どうなっても行く
[02:39:21.080] YouTubeなどにも挑戦しており下
[02:39:23.359] 済みも経験してるど根性ラおじも来てね
