[00:00:05.839] 1コメ剣闘1
[00:48:57.839] マッピングマッピもう読むの疲れたナイス
[00:49:01.640] ありがとうこらはバカじゃありません
[00:49:06.799] 何何何何言ってか全然わかんない配送ああ
[00:49:10.440] あやべボスかこれとりあえトドマン
[00:49:15.599] トドマン出し
[00:49:17.079] でとまんトドマン1発目出しで様子見て
[00:49:21.960] 行こうとまんサバいや死ぬわけねえだろう
[00:49:26.040] よ
[00:49:29.240] 行ける行ける行ける行く
[00:49:32.359] ぜここまで来るとは大したトレーナーだ
[00:49:37.160] わざわざ来たんだいいものを見せてやると
[00:49:39.559] するか
[00:49:41.440] 誰伝説の氷ポケモンその名はキュレムだ
[00:49:46.520] 死なねえつうのじゃこじゃあよあれすっか
[00:49:49.640] 飛ばすっかじゃあ絶対死なねえから飛ばし
[00:49:52.640] てやるよこんなお前ら答えの分かってる
[00:49:54.640] 飛ばねえからなこんばんは飛ばしようぜあ
[00:49:58.640] 初だったざすルミさんルミだよさんどうも
[00:50:01.440] こんばんはどうもこんばんは飛ばやります
[00:50:03.839] 今から人生プレイでポケモンブラックやっ
[00:50:06.559] てますけど絶対だこれちょっと待ってえ誰
[00:50:09.559] か死ぬかどうか誰かが待って今飛ばしよう
[00:50:13.559] ぜなんでマンのイントネーション必ず
[00:50:16.960] 言い直すの何が何が言い直し
[00:50:20.440] てる誰
[00:50:22.920] かさ死ぬって言ったら怒られるかな
[00:50:35.599] えなぜか消えた5万ポイント
[00:50:39.680] 取り返すごめんねって言ってんだろうがう
[00:50:43.760] 謝る側が逆切れするってい一番最悪なやつ
[00:50:46.480] ねごめんごめんて言ってるじゃんて切れる
[00:50:50.119] やつ意味わかんねえよななんでごめんて
[00:50:52.319] 言ってるつてお前が切れんだよな
[00:50:58.760] もうごめんて言ってる
[00:51:01.240] 俺
[00:51:04.440] てん死なないよしじゃ投票時間は1分です
[00:51:08.880] 久しぶり飛ばしようはいかけろよお前ら
[00:51:12.359] かけろ
[00:51:14.079] よ1分1分けろかけろ
[00:51:20.720] かけろに打ち込まれた氷のミサイルはの力
[00:51:25.240] と
[00:51:26.880] んだよエビルアップルないんだ
[00:51:30.160] けどの全然余裕で勝てると思うこんぐらい
[00:51:34.599] だったら作り出したものなのださてお前は
[00:51:38.559] プラズマダにとって不安要素になりかね
[00:51:40.480] ないここで排除するのだいや死ぬさせない
[00:51:44.920] ぜバリアを解除してくれてありがとうな
[00:51:47.359] 助かったまとめで始末するん
[00:51:51.839] だ行くぜったじゃまずが終了するまで俺
[00:51:57.200] ないかけみようぜあダブルバトルじゃじゃ
[00:52:00.200] 余裕だわ待てダブルバトルだった余裕だわ
[00:52:03.520] 余裕余裕余裕絶対死なないと思う
[00:52:06.520] 71絶対死なない私
[00:52:11.240] 怖ただ女の子にだったらしばかれてもいい
[00:52:13.880] かなと思ってますよろしくお願いします
[00:52:15.359] 馬鹿
[00:52:18.480] 野郎いやこれは勝つわこれは余裕だ
[00:52:22.760] わあれった
[00:52:27.079] 私
[00:52:27.920] がじゃあ放置しますほら余裕でこればば
[00:52:32.960] 読み上げるよ誰かが死ぬか
[00:52:35.680] え25%の方が死ぬにかけてくれました
[00:52:39.200] トップベッター2万ポイントかけた人中
[00:52:41.079] おつはいこの2万ポイントはみんなのも
[00:52:43.040] ですありがとうございますえ倍率死ぬに
[00:52:46.200] かけた方倍率1.4倍あ違う違う違う4倍
[00:52:50.720] こっちの人かかったら4倍でバックですだ
[00:52:52.440] からかかったら8万バックだけどそれは
[00:52:54.799] ないですそれはないですそれないえ死ない
[00:52:58.280] にかけた方死なないにかけた方5ますえ
[00:53:01.000] トップベッター4万ポイントうんちゃんお
[00:53:03.079] めでとうこれは多分え勝ったら1.3倍な
[00:53:05.680] んで
[00:53:07.160] 4.5万ちょい6万ぐらいでバックですた
[00:53:09.920] ねはいはいはいともう絶対死なないっす
[00:53:13.160] 絶対死なないいや死なないよ死ぬわけない
[00:53:15.599] だろえこれさ俺のポケモンがだよねこれ
[00:53:19.720] ローダは俺のポケモンじゃないからねこれ
[00:53:21.799] ライバルのポケモンが落ちたらそれはだよ
[00:53:25.440] なポモ落ちんのは知らない
[00:53:28.599] よえどういうレギですかこれどういう
[00:53:31.760] レギュレーションそれえライバルの
[00:53:34.160] ポケモンがこのダブルバトルでさこっち側
[00:53:36.640] のポケモン俺のポケモンじゃねえからさ
[00:53:38.040] それ知らねえ
[00:53:45.040] よねそれはいいよねのタイてれれ
[00:53:59.000] 4倍4倍の確率高くなってきこれお前死ぬ
[00:54:02.200] なよお前頼むぞ死ぬな
[00:54:06.119] よお前タイプ攻撃しろよアホたれ強いねろ
[00:54:12.200] だが
[00:54:13.359] 爆発守ってあげないJKしか守れねえから
[00:54:16.799] 俺は何やってなんかわかんないことしっ
[00:54:22.240] これ入れる
[00:54:24.440] 入れる入
[00:54:26.920] バック待て待て待て待て
[00:54:29.760] 待てだめだマじゃ相性悪配送じゃ
[00:54:34.520] ねえ
[00:54:39.480] おらこれねジャローダが落ちてもダメね
[00:54:42.640] ローダが落ちてもだめねいやでも多分
[00:54:46.400] 大丈夫これ耐えろ耐えろ耐えろ
[00:54:53.760] 耐ごめん
[00:54:56.480] うちゃん4万
[00:54:59.200] ポイントそれは聞いてないよ
[00:55:09.839] ねちょっとちょっとちょっとまたまた
[00:55:13.599] ちょっとやろまたけしようまたけしようね
[00:55:16.920] またしようまた
[00:55:21.119] しよこれ俺のせいじゃないだろこれ俺の
[00:55:25.440] せいじゃねえだろ
[00:55:28.359] これ俺の勢じゃねえ
[00:55:32.200] だろもしょうがないそういうルールだから
[00:55:34.640] ねうんちゃんちょっとちょっとうさ先生
[00:55:38.760] やめて
[00:55:40.000] ようさ
[00:55:42.240] 先生悪いけどスタイも私の
[00:55:47.720] 兵めちゃくちゃ癖つけたけど通してくれて
[00:55:51.160] 笑っちゃった邪魔がえかけなきゃよかった
[00:55:54.559] な笑笑
[00:55:59.720] ぴ
[00:56:02.760] えじゃあやっぱ死なないの方の勝ちに
[00:56:08.400] しよう死なないの方の勝ちにしよっかな
[00:56:10.720] やっぱチャ何ポイントかけたのいやまでも
[00:56:14.160] しょ言っちゃったもしょうがないいやこれ
[00:56:15.480] はもうしょうがないごめんこれはもう死に
[00:56:17.599] ましたすいませんこれはもうしょうがない
[00:56:18.960] なこれはごめんしょうがないこれはしょう
[00:56:20.640] がないいやこれはしょうがないごめんなご
[00:56:23.160] またかけてくれまたかけて
[00:56:25.240] くれ夫調子に乗った人中が10万ぐらい
[00:56:27.880] かけて調子に乗った人中が10万ぐらい
[00:56:31.000] かけて大丈夫死ぬから大丈夫
[00:56:34.520] だ草やだやだありがとうちょっと
[00:56:39.079] めちゃめちゃ
[00:56:40.720] きえめちゃめちゃめちゃめちゃ消えるじゃ
[00:56:44.240] ねえかほぼ消えるじゃん俺の
[00:56:46.319] スタンプ使用率上位全部消える
[00:56:50.039] じゃんちょっとまた次のボス戦でやろう
[00:56:53.599] 12万貯まったから無理それは無理だよ
[00:56:57.680] じゃ400万貸してくれよじゃあ400万
[00:57:00.000] 貸して
[00:57:01.559] くれ凍りついているまかか宗龍のふうさ
[00:57:06.640] 意外とさいトレーナーだえそれほど分別が
[00:57:10.920] あるのになぜ私たちのアジトに乗り込む
[00:57:13.559] 危険を犯すんだ決まってるイボのポケモン
[00:57:16.839] ボス食べなら何でもする5年前日義で
[00:57:19.359] ちょろ猫お前しつこもういいよちろ猫
[00:57:21.359] なんてその辺にいるじゃんいっぱいちろ猫
[00:57:23.599] ぐらい高が誰かが奪い使ってるだが下せ
[00:57:27.799] ぬ猫なら他にいるのになぜそこまで断るん
[00:57:31.559] だ命だったあ死んだじいちゃんが死んだ
[00:57:35.119] じいちゃんが妹のために捕まえてくれ
[00:57:38.400] あそっか確かにでもうんまそっかそうだよ
[00:57:43.319] ね個人の思いかのラスボいやわかんない
[00:57:47.839] それはお前にとってとても大きなこと
[00:57:49.440] だろうが他人からで見ればどうにも小さな
[00:57:51.680] ものだそに比べこの船の異を見たかこの船
[00:57:54.880] のそのもが伝説のポケモンの力を利用する
[00:57:57.280] ための装置これで今度こそ一種を制圧する
[00:58:00.319] んださてキュレムもすっかり回復したよう
[00:58:02.319] だ遺伝子の楔は大切に使わせてもらうぞ
[00:58:04.720] あとは任せたダークトリニティふざけんな
[00:58:07.319] 負けたくせ
[00:58:09.960] におムービー
[00:58:18.039] シーンおいおいおいなんだなんだなんだ
[00:58:21.960] なん
[00:58:25.119] だこういう原理
[00:58:35.119] これいいねこの良くも悪くも3Dムービー
[00:58:40.200] 3DS時代DS時代のこのなんかポリゴン
[00:58:43.680] の
[00:58:50.799] などういうあれ
[00:58:57.119] プラズマダどこへとんでも逃がさないで
[00:58:59.520] あっちに何があるんだよ最高そうだよあ
[00:59:03.359] ごめん遅くなって飛び先はおそらく
[00:59:05.319] ジャイアントホールだねジャイアント
[00:59:06.960] ホール2番22番道路の奥だなじゃあ俺は
[00:59:09.079] 行くお前も来てくれだってあのポケモン
[00:59:11.520] キュレムだっけあいつの鳴はなんだか悲し
[00:59:13.480] そうだっ
[00:59:16.240] たプラズマはキュレムの能力を悪してるの
[00:59:21.960] かこのドットアニメーションどうやって
[00:59:24.920] プラズマダを止めるキュレムも伝説の
[00:59:26.799] ドラゴンポケモンならば対抗できるのは
[00:59:28.480] ゼクロムもしくはレシラムだけだけど2匹
[00:59:30.680] ともは今いない伝説のポケモン認められた
[00:59:32.960] あいつはどこだ僕が探し出すしかないかあ
[00:59:36.200] やっぱりこれ前回の主人公を探しに行くの
[00:59:40.400] ジャイアントホールなら22番道路から
[00:59:42.160] いけるはずだよえ熱くねこれ前回の主人公
[00:59:44.760] 出てくんのだとしたら熱く
[00:59:49.359] ねジャイアントホール行きますかじゃあ
[00:59:52.599] 今日はもうガンガンもうレベル開きしない
[00:59:54.319] で進めるからな主人公違うんだ違う違う
[00:59:58.000] 違うだから前作のあのやつから2年後の
[01:00:02.480] 世界だからそう主人公違うんだよその
[01:00:06.319] さっきから出てくるこのなんだっけあの
[01:00:07.839] さっきのチェレンとかそういうのは前作の
[01:00:10.240] ライバルキャラなんだよ主人公のライバル
[01:00:14.200] ベルもそうだ
[01:00:19.200] ねちょっと待って報完了ちょっとちょっと
[01:00:22.680] ちょっとえうんちゃんちょっと
[01:00:26.119] 00ポイントが消えましたえうん
[01:00:31.359] うん村か8ひえむかハひえ村かハひえ
[01:00:37.839] うん俺も消える
[01:00:40.160] か
[01:00:41.880] うんでも本当に消えるかなやだやだ快感
[01:00:47.319] だめだめビブレビブレキプビブレキム
[01:00:52.240] プうんてばごめんって
[01:00:58.440] 俺もダブルバトルとは聞いてなかったそれ
[01:01:00.720] はしょうがないラもしょうがないよまた
[01:01:04.559] ちょっとかけやろうって
[01:01:13.920] なでこれが男のリスナーだったらうるせえ
[01:01:17.240] 住むんだけど
[01:01:18.400] な女の子やぱ優しくしないといけねから
[01:01:21.160] ごめんなあちゃんこんばんはこんばんは
[01:01:26.119] に流しましょう6万買ったからねもいい
[01:01:29.440] じゃんうんっちゃんこい競馬で2万買った
[01:01:31.599] んだからよここで4万負けたって別にいい
[01:01:34.000] だろよっしゃ行くぜあ分かった
[01:01:39.640] 何何何何が分かったの
[01:01:43.680] よ中のアカウント乗あそうだそうポイント
[01:01:48.200] とリアルマネーは違うんだよリアルマネの
[01:01:51.160] 方がいい
[01:01:52.760] だろピース矢印唯一の希望やめてブレム
[01:01:58.680] こんばんはあこちゃん
[01:02:02.880] こんばんは今日もやってますあ10Pが
[01:02:06.880] 13Pになった
[01:02:09.119] ありがとうもう来てたのか邪魔する練習は
[01:02:12.000] 全員ぶっ飛ばしてく
[01:02:13.760] ぜほ俺も消えます何が何がおいここはもう
[01:02:17.760] いいって
[01:02:22.279] よ1人になったらどっちと戦うか選べよ
[01:02:27.240] 俺です元プラズマダのロッド様に頼まれて
[01:02:30.720] スパイパチパチパチ矢印の配信では
[01:02:33.799] ポイントじゃなくて言ってるからそうなの
[01:02:38.720] そうなんだ元プラズマなんて本当必死なん
[01:02:41.039] だなうだってN様にポケモンN様ポケモン
[01:02:43.680] 優しかったしでも悪い人間からポケモンを
[01:02:45.480] 守りたいってそうだなプラズマをぶぶさ
[01:02:48.839] ないとお前もそのNってやつもまた悪扱い
[01:02:50.920] されるのかよし俺行く
[01:02:52.559] ぜこのちゃん怖いねがいですポケモンとは
[01:02:56.359] ポケモンのためとはいえ結局は自分らのし
[01:02:58.319] たいことをしてただけなのにすんません
[01:03:00.079] 自分まだやることがあるん
[01:03:01.920] でNはいつ出てくのエヌー
[01:03:07.720] はお
[01:03:14.039] ほほここさメタング出てくるんだよ
[01:03:17.599] な迷ってる俺またメタグロス作る
[01:03:21.920] かここメタング出てくんすよ
[01:03:26.279] あいつがちらつくあいつがちらつくよ
[01:03:29.000] ねちょうど今エスパータイプかけてるし
[01:03:37.119] なちょっとどうしよっかなと思っ
[01:03:42.240] てるみんな的にどうすかねもう1回
[01:03:46.359] メンタルをもう1回メンタルよもう
[01:03:50.640] 1度あとここなんかさ技マシン落ちてる
[01:03:53.520] らしいんだよね
[01:03:57.400] これかなんか冷凍ビームの技マシン落ちて
[01:03:59.799] るって聞いたんだよなこれか
[01:04:02.880] 違うそれも絶対拾ってかなきゃいけ
[01:04:06.359] ないレビ
[01:04:10.000] のここは出れないあれかちょっとアイテム
[01:04:14.720] 拾ってこう
[01:04:16.200] ぜこれか
[01:04:22.559] 違うちょっとゼルガがさ自力でレビ覚え
[01:04:27.359] ないからなんかあるしょ絶対ここ何もない
[01:04:30.039] んかいおいあると思った
[01:04:36.359] よこれ
[01:04:38.839] か行く
[01:04:40.960] 行くちゃん怒んないでねにした何何何どう
[01:04:46.079] いうことゼロにしたってどういうことえ
[01:04:49.079] ポイント全部だったのごめん
[01:04:53.160] なさいごめんね
[01:04:57.079] ギャンブルって心苦しいな主催する側も
[01:05:00.359] やっぱ心苦しいんだな初めて俺は主催する
[01:05:03.960] 側の心の痛みを知っ
[01:05:08.720] た一もなしになっちまうやつを見るのって
[01:05:11.440] こういう気持ちなんだ
[01:05:13.240] な嘘うまだ3万ほんあんちゃんほ来たレト
[01:05:19.400] ベマこれはいい
[01:05:22.200] よ冷凍霊来たね霊
[01:05:28.839] これはもう覚えさせ侍いでしょこれ
[01:05:34.000] は威力95だ
[01:05:37.880] よトドマン来たトドマン久しぶりだ来たね
[01:05:43.960] レミれこれ何忘れたこれ吹雪いらんか
[01:05:48.160] ねオーロラビームをランクアップさせるか
[01:05:52.279] 吹を消すかこの中100威力95いや
[01:05:55.920] 止まらんさすがに強すぎてわわける強すぎ
[01:05:59.799] てわけるねこれどっち消す
[01:06:02.039] これ忍様だったらどっち消すこれオーロラ
[01:06:06.279] ビームをランクアップさせるか吹雪を消す
[01:06:08.480] か吹雪なんて俺当たらんからなでも吹とか
[01:06:12.000] かす吹とか言かすでもこれダブルバトルの
[01:06:15.200] 時にまだもっか忍様呼びやめ
[01:06:18.680] てえに様てさえにニナって忍法さんのサブ
[01:06:23.880] 垢じゃないのわそうなわ技4つなので
[01:06:26.599] 悩ましいレートビームいるわレートビーム
[01:06:28.520] がいるねんめちゃめちゃめちゃめちゃいる
[01:06:30.200] ねん
[01:06:31.760] あ忍法のるでしょ忍法のサブ垢でしょ忍法
[01:06:36.559] と一緒にすなモブは青メガネかけてるよ
[01:06:40.440] 瓶底メガネ
[01:06:43.760] ねドジしぎんにゃドジしぎんにゃどじ
[01:06:47.520] しぎん
[01:06:48.599] にゃよし行くぜここなんすよチャビムっ
[01:06:52.720] たりありがとうわおおやおや
[01:06:56.279] おやおやどじしらんがドニギンギわマシン
[01:07:02.119] ていつから使い放題になったのえーいつ
[01:07:05.279] からだろブラックホワイトからじゃない
[01:07:06.839] これなんだよおいまた駆けするバトル
[01:07:10.160] 始まったらけけするわちょっと待ってな昔
[01:07:12.599] の仲間を傷つけないように説得するんだと
[01:07:14.240] よあなるほどねあこっち側はいいやつか
[01:07:17.319] 白いやつら
[01:07:20.200] はえいわかぜめ分かるまで何度でも言うか
[01:07:25.079] 僕いたのは一種地方の支配だポケモンを
[01:07:27.400] 解放するのは建前でしかなかったむしろ
[01:07:29.559] ポケモンを苦しめることになったのです
[01:07:32.000] はいはいじいさんいいこと言ったねバカか
[01:07:34.319] 裏切り者の言葉なんか聞くわけねえだろ
[01:07:36.960] だってさだめだな
[01:07:41.640] おいお前らそこ通るぜアカウントログイン
[01:07:45.200] しようとしたら5回パスワードてかかって
[01:07:48.279] くさそれ何言ってんの痛い目に会いたいの
[01:07:50.960] 俺は奪われたポケモンを取り戻すお前ら
[01:07:53.480] アトの言葉なんか聞くわけないだろロッド
[01:07:56.240] のじさんもブラバンお前ら何のために
[01:07:58.279] ポケモンと一緒にいるんだよおいが強すぎ
[01:08:01.039] て殴られるかと思った殴るぞ本当
[01:08:04.920] に大事なものを守るためだろ大切な
[01:08:08.400] ポケモンが自分の信念が嘘傷ついても戦う
[01:08:13.160] 時って今
[01:08:14.640] だろお子様がかっこいいこと言ってんなよ
[01:08:18.080] とにかくプラズマフリーゲートに誰も
[01:08:19.480] 近づけんじゃねえこいつらまとめて始末
[01:08:21.679] しろお前らごときが俺らに勝てると思っ
[01:08:24.759] てんのか
[01:08:27.159] これちょっと駆けしないわこれ雑魚だから
[01:08:30.000] うんなけけする必要ないボス戦っぽくなっ
[01:08:33.199] たら賭け
[01:08:39.759] しよ負けるわけねえだろてめえなんかバカ
[01:08:43.279] たがバタがよリザポよだよこっち
[01:08:49.319] は放射
[01:08:56.279] 剣闘1ハハ0206ダブルバトルの悲何
[01:09:03.279] よ刻むなベトベント
[01:09:08.120] はガブで行きますよねガブ自信いつ覚えん
[01:09:12.040] だよさすがに穴掘るじゃもうきつい
[01:09:16.600] ぜテ
[01:09:30.400] 1発
[01:09:34.120] ナイス上がらない
[01:09:37.960] のなんかやっとなんかはい一発なんか
[01:09:41.319] やっとポケモンらしくなってきたよこん
[01:09:43.719] くらいサクサク行かないとポケモンはお前
[01:09:45.880] たちポケモン大丈夫かこれを持っていくと
[01:09:47.480] よいいやもいらんってそれ俺縛ってんねん
[01:09:50.520] それ回復してくれ
[01:09:53.360] よさ取らせもらうぜま上がった
[01:10:01.320] か心の強さのない心も心のない強さも
[01:10:06.199] こんなこんな時何もできない昔の仲間を
[01:10:09.320] 救うため一種を守るために戦うお前たち
[01:10:12.239] 行けジだったかお前が探してるポケモンは
[01:10:15.000] ダークトニ忍者みたいな連中の誰かが持っ
[01:10:17.120] てるはず
[01:10:18.080] へえあいつに会えたならあんたらの罪滅し
[01:10:22.199] だっけ手伝ってやるぜへえ
[01:10:26.400] 確かにあの時私の正義を信じてた王である
[01:10:29.280] N様のも争いのない世界を作るだがそれは
[01:10:34.320] ドでえ多くの不幸にするものだった多くを
[01:10:38.800] 不幸にするものだっただから同じことを
[01:10:40.560] 繰り返してはなら
[01:10:42.400] ないちょっとまずアイテム拾っていい
[01:10:46.239] か鋭い爪前作の敵キャラが方になるわかる
[01:10:51.679] てかこれ早く主人公は出てこねえのかね爪
[01:10:55.600] ってこれさマニューラだっ
[01:10:58.880] け鋭い爪ってこれマニーラっすよ
[01:11:02.920] ねマニューラはさすがにニューラに持たせ
[01:11:06.440] て
[01:11:07.199] レベニューラの進化系だよな進化ってか
[01:11:10.760] そのあれだよなレベルアップだっけ持たせ
[01:11:15.400] てここあれなんだよな
[01:11:18.640] メタング月のしよメタングどすっから
[01:11:21.920] 捕まえようかな
[01:11:27.880] 持たせてナキだったか時間だったかで
[01:11:30.360] レベルアップあな持たせてナツキとかもこ
[01:11:33.480] あ滑るんかここ持たせてなきとかあんの
[01:11:39.040] かおいおいまたまたいっぱいいるな
[01:11:42.719] おいけけレシラムの柱ゼクロムの稲妻より
[01:11:47.560] もキュレムの会が上だお前先に行けこいつ
[01:11:52.120] は俺はこいつらからダークトリニティの
[01:11:53.800] ことを聞き出すトニ見教えてくれよ一種
[01:11:58.480] 全てがキュレムの氷でピオ様大丈夫かな
[01:12:00.560] あんなに寒がりなのにああいつ怖いよ鬼だ
[01:12:04.000] よハリーセンみたいなトケトケ頭してる
[01:12:05.800] くせ
[01:12:10.280] にまたさっきんとこ行けばいい
[01:12:15.239] のまたこっち行けなんかボス戦かま行く
[01:12:22.760] かえこ
[01:12:25.520] まだビオホップビオホップビオホップえ
[01:12:29.159] これキュレムと戦ったりするのもうえ
[01:12:31.639] 何これどうすん
[01:12:33.639] の何これ
[01:12:35.719] ゲーミングゲーミング拷問装置は何これえ
[01:12:39.800] 何これ何すん
[01:12:42.080] のえどうすんの
[01:12:46.800] これどっか別の場所があんの
[01:12:50.080] かここ入れなくなってるしな
[01:12:56.000] とりあえずマッピングだなどんだけ
[01:12:58.480] マッピング好きなんだよあれやる方が地獄
[01:13:01.000] だからねっとく
[01:13:02.360] けど見てる方はいいか見てる方も地獄だと
[01:13:05.320] 思うけどこっちかこっち開いてなかった
[01:13:08.719] さっきそれは卑怯なんじゃないくもめ
[01:13:12.920] 待ち伏せで
[01:13:17.440] ござるにみたいなのが言うじゃんお
[01:13:21.280] 待ち伏せしちゃった
[01:13:23.360] 女笑
[01:13:27.199] どこ狩りお疲れ雑魚狩りプラズマダの女
[01:13:31.440] 好きわ6匹も持ってんのお前なんか
[01:13:34.360] めっちゃ持ってんなポケモン意味ねえや
[01:13:39.080] ほほほあレミ出てきたよレミ
[01:13:43.600] がどうすっか
[01:13:47.080] な俺はヤブクロンの方が
[01:13:51.520] 怖いマンボまどっちでもいいけどね
[01:14:00.159] おらバレ
[01:14:03.440] よしマンボだ
[01:14:06.000] マンボおらよしよしいいぞいいぞいい
[01:14:10.040] ぞ火炎放射10万ボル冷凍ビームが俺の
[01:14:13.280] パーティーに揃ってるあなりズンダもン
[01:14:16.320] さんじゃんさっきあのえの配信
[01:14:20.080] であのありがとうございましたどうも
[01:14:22.199] ゲームと申しますはね
[01:14:29.840] ポケモン
[01:14:32.199] のポケモンの
[01:14:36.239] 鳴き声ズンダもンじゃん最近ズンダもン
[01:14:39.360] めっちゃ好きだ俺1番ズンダの好きな
[01:14:42.639] ポケモンは何ダイヤモンドパールまでだっ
[01:14:45.159] たら何でも行けますよありがとうってなん
[01:14:48.360] でおもあれだべこれ毒引くなよお前
[01:14:53.199] しっかりなりきってていいね
[01:14:56.560] 最近ズンダもンのなんかあのあれ見たよ俺
[01:15:00.719] あのあの日本の地図書いた人なんてだっけ
[01:15:05.280] えっと
[01:15:10.760] あれれ
[01:15:13.080] そうそう
[01:15:14.840] ののやつなか1時間ぐらいある時間
[01:15:20.440] めっかっ
[01:15:22.280] たかった
[01:15:25.159] 名前てんのなためになるよ
[01:15:32.159] ね今日は見てる通りポケットモンスター
[01:15:34.760] ブラック2初見え初見人生縛りでやってい
[01:15:40.400] ます人縛りで死ん
[01:15:44.320] だらそうなんだよあれもねいいよねあの
[01:15:47.679] 弟子に
[01:15:49.320] さあは任せた死ぬ瞬間に本当は見たかった
[01:15:52.840] のだつて
[01:15:55.040] 死んだ時泣いた4l泣い
[01:15:59.080] たま普段はレトロゲーム中心にやってます
[01:16:02.400] けどもねよろしくお願いしますチマゲーム
[01:16:04.960] と申し
[01:16:07.920] ますゴルバット来た
[01:16:11.920] ねおめえなんかに負けるわけねえべいつも
[01:16:15.719] 1人でそんなの見てるけど
[01:16:17.920] 何かそんなの見てますけど何か文句あり
[01:16:22.280] ますそんなの見て時間潰してます
[01:16:27.600] けど見るだろ普通にズンダもンの動画見
[01:16:30.480] ねえのかよあとズンダもンのズンダて女性
[01:16:34.679] ズンダモンてかボーカロイドみたいな
[01:16:36.560] なんていうのあれゆっくりボイスみたいな
[01:16:38.760] やつだ新しい知らねんかお前らモグ
[01:16:41.920] が止まったんですけどマジでなんかさ
[01:16:45.520] ちょっとま止まるんだよねこれ大丈夫でも
[01:16:47.920] これ大丈夫これ映像が止まってるだけで
[01:16:49.360] ゲームは止まってません
[01:16:51.360] から俺プラズのもいだ四国メダンねロット
[01:16:58.080] 様に連絡しないに誰も助けにこないしそれ
[01:17:00.120] に辛いんですよ周りの連中ったらN様の
[01:17:02.199] ことのしてN様ちに気づかれ自分の道を
[01:17:05.880] 自分で決めて進まれたのにそれを裏切
[01:17:08.320] りって言うんですよみんなひどいですよね
[01:17:10.719] のクリップから初見ですあどうも
[01:17:12.600] こんばんはガツちゃんどうもこんばんはお
[01:17:14.280] なんか最近Xの切り抜きから来てくれる人
[01:17:16.719] 多いな嬉しいですどうもチマゲームと申し
[01:17:18.840] ますよかったらねあのよろしくお願いし
[01:17:21.560] ますねでもXに上がってる切り抜きって
[01:17:25.560] 俺の配信時間のの数だからねあれが常に
[01:17:29.679] 続くと思うなよあんなもあんなもんたまに
[01:17:32.520] しかできねんだから本当は常にああいう
[01:17:36.639] 面白さを出していきたいや配信ちゃって
[01:17:38.760] やぱ人間なんであロこんばんはこんばんは
[01:17:42.480] ガちゃんありがと泣き声なんかすごい
[01:17:44.560] じゃんすごいじゃん鳴き声のクリップ好き
[01:17:47.840] なじゃんですかガちゃんの好きなポケモン
[01:17:50.520] はガちゃんの好きなポケモン何
[01:17:57.000] なんか昔のポケモンだったら行けます有名
[01:18:00.440] なんですね俺あれバするかなと思ったけど
[01:18:03.320] 全然しなかった8ぐらいで止まって
[01:18:07.880] た
[01:18:11.840] ラティアスこれラティアス
[01:18:14.719] ね
[01:18:17.159] ラティアスリトなんか言ってるわけねえ
[01:18:19.560] だろとつちょっと
[01:18:22.320] 確認全然言ってね全然あフォロざす
[01:18:28.199] ロでもあれだよ俺のゲームボーイ
[01:18:31.679] リミックス俺のさあのチチャパ猫のさ
[01:18:34.520] ゲームボイリミックスの動画さ330いい
[01:18:36.960] ねついてるいいねバズルよバズラせていけ
[01:18:41.000] よバズラせていけ
[01:18:44.600] よよしいいねいい
[01:18:48.639] ねま見ての通りねあの今日ポケモンやって
[01:18:52.239] ますよちなみにミルバしたことあるなした
[01:18:55.120] こと
[01:18:55.920] ない言っても
[01:18:58.520] 4002なんだ何百いねかは言ったこと
[01:19:00.960] あるけどマンバはしたことない
[01:19:03.000] な今年行こうで今年なんかで行きたいね
[01:19:07.000] なんかでもさ自分でこんなことよもも
[01:19:09.280] 申し訳ないんだけどさする要素ない
[01:19:12.120] 俺してもおかしくなくないが細かっ
[01:19:17.320] たらあのゲームボーイの動画デブの指だっ
[01:19:21.239] たからダだった勝手に宣しよか街の後
[01:19:24.840] そんなの乗せらんねえだろいやでもチマ
[01:19:28.679] ゲームマンバする要素あるんだよ自信過剰
[01:19:30.920] ですけど攻撃力上がりますけどだってチマ
[01:19:34.400] ゲームが一番おもろいに決まってんじゃん
[01:19:36.280] この世の配信者
[01:19:37.719] で加藤順一なんかもそのうちそのうち加藤
[01:19:40.800] 順一を抜かす俺はあやめて嘘やだ嘘やだ
[01:19:43.760] やめだやだやだやめて切り抜きとかしない
[01:19:46.600] でやめ
[01:19:50.560] て要さは満たしてるよな
[01:19:55.000] あ何これどう
[01:19:56.639] いうこれどういう
[01:19:59.520] あれ人さんこれここは何この上上がれんの
[01:20:03.400] か上がれない
[01:20:12.719] と今日ここクリアできたらいいかな
[01:20:16.920] プラズマダクリアできたらいいかなって
[01:20:18.760] 感じ
[01:20:25.080] ちょっとマジ
[01:20:28.800] これ猫ミムあんま好きじゃねえって言って
[01:20:31.440] たのにね
[01:20:33.480] 俺前の配信で俺ミムやってるやつ全員バカ
[01:20:36.639] だろて言ったんだけど結局乗ってんじゃん
[01:20:39.040] ね波
[01:20:48.239] に何を言ってる
[01:20:52.760] のろいそんおかしいやんなんで街の宣伝士
[01:20:57.159] に俺が乗るねん乗せてくれん
[01:21:00.920] の笑笑どういう風の吹き回し
