[00:00:06.040] 1コメは俺
[00:51:08.520] マシン自動なんだねあそうなんだ変顔中に
[00:51:12.640] 息が止まりかけた人がいてそれについて
[00:51:15.319] コメントでも顔が紫ったったとか何がかっ
[00:51:19.040] てコメントしてたりしててそこら辺かな
[00:51:22.040] ああまでも確かにそれは際どいかもな確か
[00:51:25.520] にでもそれは冗談あそうなんだ息が止まり
[00:51:30.280] かけあそうなんすね割とねあ割と割と
[00:51:34.520] まあうん確かになそれだけ見たら確かに
[00:51:37.640] ちょっと危ないかもないやまあでもうまあ
[00:51:42.119] でもなあーイベントだからねそっか
[00:51:46.839] なるほど
[00:51:48.720] ねまあでも許してやってほしいでも企画
[00:51:52.720] 自体はかったうん
[00:51:56.640] そうかお腹とほっぺ痛かったええいい
[00:52:00.520] イベントだったんだでもね良かったねでも
[00:52:02.000] ね面白かったからあ最後までできなかった
[00:52:05.960] んだえそれで1週間1週間バンそれでやべ
[00:52:11.920] アクアジェットやばい
[00:52:16.280] あうーんこれ耐えるよなアジ耐えるよね悪
[00:52:21.520] もう1回耐えるよなあつくかいあれで直し
[00:52:25.640] て笑たかったからアイそかうわきつ俺ケツ
[00:52:32.000] 出して3日だったのに明さん
[00:52:36.200] こんばんは1週間かいそれ
[00:52:39.559] で3日笑俺ケツ出して3日で済んだ
[00:52:46.200] よいやまじか数とかで落ちなくてよかった
[00:52:50.359] いや落ちない落ちない落ちないのいやでも
[00:52:54.160] それもだと思うけどねイベントだもん
[00:52:58.040] までも確かにビニール袋かぶんのはまずい
[00:53:01.760] かビニール袋まかぶんのはちょっとまずい
[00:53:04.920] かもしんないなでもなあそうなんだ気を
[00:53:09.200] つけようのおでパートナーになる高くなっ
[00:53:12.480] あまそれはあるかもねうん判決判決でも
[00:53:27.359] いい
[00:53:31.760] ね順調順調相手のこのあれだな
[00:53:36.920] あの弱点つけんのはいい
[00:53:39.920] ね番好きだコダックな水タイプいなければ
[00:53:44.079] なマグネットボム
[00:53:53.000] だまその場の雰囲気ははてなかったからん
[00:53:58.599] か
[00:53:59.359] な電磁杯いる超音いるソニックブームいら
[00:54:04.240] ないマグネットボムやってさ新しい技ザも
[00:54:08.960] 進化したしえコリザルって進化すんの今
[00:54:11.760] 文字だけで見るとすごく怖いなうんそう
[00:54:14.319] 文字だけで見るとすごく怖いねそれ確かに
[00:54:16.400] ねそのビニール袋かぶってってのはまその
[00:54:20.119] 場の雰囲気もあるだろうからねその第3者
[00:54:22.480] がねあだのカードも言うべきではないと
[00:54:24.680] 思うけどねうん
[00:54:26.920] 必ずるあそうなんだ必ず上がる鋼鋼はなん
[00:54:29.880] だああなるほど
[00:54:37.000] ね水タイプにはえ電撃が効きますっていう
[00:54:40.359] のよく覚えといてくださいねチャピね水
[00:54:43.520] タイプには電気が効くはい覚えてください
[00:54:45.520] よこれ水タイプには電気なんですしびれ
[00:54:48.960] ますからねよしオケー
[00:54:53.680] 600これでもあれだなあ
[00:54:57.000] て水タイプには電気水タイプには電気が
[00:55:01.079] 効きますタイプ相性覚えましょうね一緒に
[00:55:05.200] ここ敵出てくんのかな覚えにくいタイプ相
[00:55:08.119] 教えて
[00:55:10.599] さい俺俺には色仕掛けがよくきますああ来
[00:55:14.720] たメグロコ出るやんにあフェアリーに鋼と
[00:55:19.960] かあらメグロコええやんあれこれええよ
[00:55:24.839] 捕まえようかな
[00:55:27.799] 可愛いねこれちょっと使いたい
[00:55:34.440] なアタイプ悪タイプ初いや初じゃないエナ
[00:55:38.599] コリンがいるんだけどワニワニワニワニ
[00:55:41.079] こいつ地面地面悪なんだよ地面
[00:55:46.000] 悪地面タイプの技も使えるから
[00:55:50.440] な地面タイプは炎に効くんだよま1回倒し
[00:55:54.839] ちゃおっかちょっと待って
[00:55:57.160] 悪そうそうそうやね悪悪タイプになるの
[00:56:02.119] こいつなんかその火とか水とかは覚え
[00:56:04.920] やすいけどさ悪とかって言われたらさ
[00:56:06.880] なんかピンとこねえよな無こいつの無無無
[00:56:11.920] だのびさん
[00:56:14.720] こんばんはあ威嚇の威嚇あそうなんだ自信
[00:56:18.039] 上だったまちょっと戻るわ1回えちょっと
[00:56:21.319] 待って1回戻ってやどうしようかな
[00:56:26.760] 捕えたけどねとかも分かりにくいよね
[00:56:29.280] エスパーとか虫とかも分かりづらいね
[00:56:31.319] すぎるあやっぱじゃあ狙うんだったらあれ
[00:56:34.359] かえっと地震過剰のワルビアルを狙った
[00:56:38.240] あのワビルを狙った方がいいのねでもさ
[00:56:40.640] パーティーどうすあ待ってこれ買うわ1日
[00:56:42.880] 1回しか買えないんだよなここなこれ買っ
[00:56:44.559] とこうヒシティの土産に最適ス1個
[00:56:47.000] 100円買えます12個買っとく
[00:56:49.039] わ得これは買っといていいでしょ100円
[00:56:53.039] で何でも直したもんなあほらやっぱ1回
[00:56:56.359] しか買えないんだよ絶対12個買っといた
[00:56:58.039] 方がいいんだ
[00:56:59.359] よ何でも直しだもんねこれねボックスに
[00:57:02.640] 移動させようえなこれえなこ枠いらいら
[00:57:05.559] ないなえなこボックスに移動させよっかえ
[00:57:08.960] 残念ながら皆さんえなこえなこ首
[00:57:11.599] ですえなこ首えなこ体えなこチーム体うん
[00:57:18.440] ポケモン預けますって言われてたよ今太客
[00:57:21.520] って言われさ天気ぶち切れ中
[00:57:26.960] ちょっと待ってえなこえなこいらないわな
[00:57:30.480] もうちょっとお前はありじゃあなじゃあな
[00:57:34.839] えなこありがと
[00:57:37.680] なオーじゃあちょっとあれ捕まえる
[00:57:41.359] かちょっと欲しいよねだたタイムリーだた
[00:57:47.039] タイムリーよしもう1回捕まえに行こう
[00:57:53.200] と確かにでも地面タイプは帰ってきたらケ
[00:57:57.359] さんも
[00:57:59.200] よん確かになイチャイチできる時間が増え
[00:58:01.960] たもんよかった
[00:58:04.839] なよしじゃあワルビル捕まえるかあれただ
[00:58:08.680] 育てるポケモンいっぱいになっちゃったね
[00:58:11.400] まいいこと
[00:58:16.319] かよっしゃ行く
[00:58:22.000] ぜそうですかでもbanは気をつけなきゃ
[00:58:25.039] なんないねさがさんって1回目の
[00:58:28.520] バカえなんでさっき戦ったやなお前なあれ
[00:58:32.520] あれあれさっき戦わなかったこいつえ何
[00:58:37.359] こいつえ何この無限こいつ目合うたびに何
[00:58:42.200] こいつ戦ってくるのだるいなえヤお前
[00:58:44.680] さっき戦ったや
[00:58:46.400] んえ何こいつ毎回こいつ怖きしこいつはい
[00:58:52.880] えこいつはい
[00:58:57.000] バトル無限バトル編になってるんだけど
[00:58:59.480] こいつに最ま確かにレベリングに最適だ
[00:59:03.160] けどさえ何これ
[00:59:07.280] バグあそういうこと
[00:59:10.559] はいわメタルクロー
[00:59:15.280] かっけま水テハでいいでしょ水
[00:59:25.039] テハってくるってことマゲのが可愛かった
[00:59:28.039] わ
[00:59:30.440] はいまちょっとコココイルもレベル
[00:59:32.920] 上げよう
[00:59:34.480] かま戦う敵がいっぱいいるってのはいい
[00:59:37.319] ことでレベル上がるから
[00:59:41.920] なやとコラボしてほしい無理やろガンチに
[00:59:45.920] ねえだろ俺の
[00:59:47.400] ことはい1発よし
[00:59:50.400] オッケーどうすっかなえっとじゃあ
[00:59:56.440] さっき戦ったと思うんだけどなこいつ何1
[00:59:58.520] 日1回戦ってくれんの君がここに来るたび
[01:00:01.039] に
[01:00:02.039] えあそうなの君がここに来るたに相手して
[01:00:05.960] もるえそうなのだる何この女
[01:00:09.880] はしんどい
[01:00:11.960] な俺パーソナルスペース激激広だからよ
[01:00:16.200] こういうのきつい
[01:00:17.599] わグイグイ来られると引くわ絶のか
[01:00:21.760] も飲んでいいからあありがたいありがたい
[01:00:24.760] よしえっと
[01:00:27.839] じゃあどうやって戦うかなえー待ってね
[01:00:30.960] ブーちゃん前出ししてちょっとワルビアル
[01:00:33.319] 捕まえる
[01:00:35.720] わあまりグイグイ来られるとなパーソナル
[01:00:39.520] スペース激男だから実は俺こう見えて
[01:00:42.520] うんパーソナルスペースちょっと取れよな
[01:00:47.039] おいだるマッカやんけだまっ
[01:00:51.839] か難しい言葉使うななんででなんでで
[01:00:58.359] 慣れてないんかもな慣れてないんかも人に
[01:01:00.839] 人と触れ合うの
[01:01:03.760] にダルマッカでも炎タイプだからかぶっ
[01:01:06.520] てんねんああヤブクロン
[01:01:10.000] ヤブクロンねこれ毒タイプだったかなまあ
[01:01:14.440] でもヤブクロンはいいかな正直なね
[01:01:19.039] 笑時間かかるでチゲームの手繋ぐのは
[01:01:24.200] 進化したら格闘入るだでも大丈夫あの
[01:01:27.119] ルカリオがいるからルカリオのロザリオが
[01:01:29.599] いるからさあそっかそっかそっかそっか
[01:01:31.960] ロザリオも鋼タイプなのかうわ鋼タイプ
[01:01:35.160] 多いなそっかロザリオも鋼タイプ持ってん
[01:01:38.400] のかあいつ進化する
[01:01:39.799] と炎にめちゃめちゃ弱くなっちゃうな鋼
[01:01:42.559] タイプは炎に弱いんだよゴミ袋そうそう
[01:01:45.520] そうゴミ袋そうそうそうゴミ袋ポケモンね
[01:01:48.440] 毒タイプなんだよ
[01:01:51.760] あいつワニ出てこないなワニ欲しいね
[01:01:56.680] あれワニ出てこなくなっちゃった
[01:02:01.079] なで好きでしょ鋼大好き1番好きな
[01:02:05.480] ポケモンあれだからね俺ボスゴドラだから
[01:02:08.520] もうもうネタないねんな多分なゴミ袋も
[01:02:10.760] もうポケモンだよ硬いのが大好き馬鹿やろ
[01:02:15.240] 一やんボスゴドラいやごめんボスゴドラも
[01:02:18.039] 好きだけどあれも好き
[01:02:19.920] えっと
[01:02:23.160] ルックか
[01:02:26.960] こいつンダーテールにいたよねおいお前お
[01:02:30.440] 女の子ななんかちょっとなんかちょっと
[01:02:33.599] いいぞなんかちょっと
[01:02:37.119] いいやっ
[01:02:39.000] みそうアイコン変えましたすいませ
[01:02:42.400] んズルックかアダねアンダインの
[01:02:50.039] ガべ混乱してる
[01:02:58.279] うんクリアスモックなかなか強そうだな
[01:03:01.200] これ使い場所によっちゃずっとちゃまく
[01:03:03.799] こせんのかなてごめんごめんごめんそっか
[01:03:07.000] アイコン変わったらそういうのもあるよね
[01:03:09.720] そうなんだよあのチャンネルのアイコン
[01:03:12.960] 変えるのって結構勇気いるよねやっぱ
[01:03:14.599] アイコンで覚えてもらってることあるから
[01:03:16.079] ねやっぱりねそうなんだよねしかも今
[01:03:19.200] ちょっとアイコンちっちゃくて分かり
[01:03:20.359] づらいからちょっと変えなきゃなまた
[01:03:24.160] なでわかそうだよねあらららやべえ出てこ
[01:03:28.680] ないなワニ出てこなくなっちゃったよあれ
[01:03:30.400] 結構レアだったもしかし
[01:03:33.319] てワニさん出てこなくなっちゃっ
[01:03:37.039] た慣れるまでだねまあ
[01:03:41.160] ねワニが出てこんくなった
[01:03:47.960] よあ来た来た来
[01:03:50.880] よ今回で覚えたので大丈夫あがりワさんも
[01:03:56.079] も仲間に入れてあげて
[01:04:00.400] じゃんあれあれなあの動物さんた大集だ
[01:04:05.920] わいさんだおいでよ
[01:04:14.880] なキツネさぞさんみんなで楽しくパパの
[01:04:20.839] ルルンおポンポンポンの
[01:04:24.720] ヤッホーさんはかこじゃ負けない
[01:04:29.920] ぞ過去けち去るように
[01:04:34.359] 走with
[01:04:37.279] meそろそろかわいそうになってきたな
[01:04:39.599] こいつ仲間に入れてあげようぜおしナイス
[01:04:41.960] いいねさんの曲が笑タイクさんの曲何あ
[01:04:47.920] わが危な我が輩さんて何岡崎大育のこと
[01:04:51.279] 大育さんって呼んでんのなかなかいない
[01:04:53.520] だろうなそっちで呼んでる人大育さん
[01:04:58.359] 育さん俺そう俺結構育さんって顔似てる
[01:05:00.880] からな
[01:05:03.640] うんうんねこいつって麻痺状態になるの
[01:05:07.039] まんだ世界のあれこいつってさ電気
[01:05:11.880] ショック電池波通らないよね投げちゃおっ
[01:05:16.440] か昔配信してる時に即興で歌なるようんあ
[01:05:21.720] なるんだまいいやとりあえず
[01:05:26.039] 目黒名前何しよっか
[01:05:36.279] な
[01:05:39.839] ワワニさんにするじゃんニビあるニビある
[01:05:44.680] はないなニビあるはないな
[01:05:48.640] ワ100あ割にしよう俺昔こいつのにして
[01:05:54.480] たわ
[01:05:56.599] これ割にしようおいもうこれ死ぬじゃねえ
[01:06:00.279] かよじゃあよこの縛りで一番よくねえ名前
[01:06:03.440] だぞお前それこの縛りで一番良くねえじゃ
[01:06:07.039] ねえかよ笑笑死ぬこと確定してんじゃねえ
[01:06:10.400] かよ菊勇にしとこう菊勇あどうかな菊勇も
[01:06:16.400] いいなおお
[01:06:20.960] イフイあんこ
[01:06:23.359] しってたのが一れあごやっぱ菊勇気の方が
[01:06:27.640] いいかな菊勇気にしよう文字しそうなんだ
[01:06:31.319] よあそっか菊優かじゃ100ワだなじゃ
[01:06:35.319] 100ワだないいよすっと出てきていいね
[01:06:38.160] 100
[01:06:38.880] ワ100ワで死ぬこと約束されてんじゃ
[01:06:43.240] ねえかよこいつ人生プレイだ
[01:06:46.960] ぞ話にいいじゃん何で草ワ何をしてる
[01:06:53.319] さっきから未来を変えろ未来を変えよう俺
[01:06:56.839] たち
[01:07:00.520] で100回行動したら墓地にもうもう死に
[01:07:04.960] そうだけど
[01:07:07.680] ないいですねきまぐれだってきまぐれの
[01:07:10.680] 補正って何補正なしかきまぐれはきまぐれ
[01:07:15.640] 補正なしだよねこれ100日もてよ
[01:07:19.279] なこれ補正なしだ
[01:07:23.240] ねタイプ
[01:07:26.279] いいよ自剰特性自剰いいよ相手を倒すと
[01:07:30.480] 攻撃力上がるめちゃめちゃ強いなこれ
[01:07:32.880] めちゃめちゃ
[01:07:33.839] 強いきまぐれて
[01:07:36.160] さるいや捨てない捨てないけど捨てない
[01:07:38.880] 捨てない捨てないけどそこ気まぐれな性格
[01:07:41.279] とか書いてあるじゃん早さがやなるほどね
[01:07:45.039] あのぐれ性格があるんだポケモンにとって
[01:07:47.359] このぐれとか呑気とかテレ屋とか待って
[01:07:50.400] これ全部補正なしじゃない俺のポケモン俺
[01:07:53.119] のポケモンほとんど補正なしだな要は性格
[01:07:56.640] によってなんか能力が上がりやすい上がり
[01:07:58.559] にくいって決まってるのよぐれはそういう
[01:08:00.839] 補正なしテレ誰だったテレこれまこ使わん
[01:08:05.440] けどな頑張り素直ぐれ真面目が補正補正
[01:08:09.680] なしなんだま補正なしでもいいけどね補正
[01:08:12.200] っていいことだけじゃなくて下がっちゃう
[01:08:13.599] のも上がりにくいのもできちゃうから補正
[01:08:15.319] なしはどれもフラットフラットでもいい
[01:08:18.080] けどね別に
[01:08:21.239] ね1回ポケ戻るか新しいポケモン捕まえた
[01:08:25.199] しな
[01:08:28.759] まあレベル上げもしたいけどねちょっと
[01:08:32.080] このさりにいのそう上がりにくそうその
[01:08:35.359] 補正があるやつは上がりやすいの1個と
[01:08:37.480] 上がりにくいの1個なのよだからまあ一丁
[01:08:40.359] 一端というか補正なしがじゃあ残念かって
[01:08:42.560] 言われたらそんなことはない別にどれも
[01:08:45.040] 普通に上が
[01:08:48.040] るっていうだから俺のポケモンほとんど今
[01:08:50.600] 補正なしだ
[01:08:52.719] なテレだもんねテレもう補正なしでしょ
[01:08:57.480] 脳天気って何脳天気って何が分かんのこれ
[01:09:00.040] よく見るこれ配信で映るかわかんねけど
[01:09:02.640] よく見ると防御が赤くなってんだよ文字
[01:09:05.480] ほんのちょっと防御赤くなってるでしょで
[01:09:07.080] 特がほんのちょっと青くなってるこれ俺
[01:09:08.960] 配信でどこまで映ってるかわかんないけど
[01:09:10.640] これが防御が上がりやすくて特が下がりに
[01:09:13.359] 下ちょっと上がりにくなってるってこの
[01:09:15.159] 補正の色がちょっと見えるんだけど見え
[01:09:16.880] ねえかなこれ防御が赤で特が青になってる
[01:09:19.679] じゃん赤い方がちょっと上がりやすくて特
[01:09:22.719] がちょっと下がってるっていう特まと特
[01:09:26.000] ってなんやねんっていう話なんだけどほへ
[01:09:28.400] ちょっとまたこれあの皆さん説明すると技
[01:09:32.199] には2種類あるんすよ技には2種類あって
[01:09:34.920] 攻撃技でもさ2種類ある例えばシェル
[01:09:36.960] ブレードと水鉄砲分類がさこのこれ見て
[01:09:40.759] 分類これなんか変なこのトケトケトケこれ
[01:09:43.319] 打撃技なんすよ要は打撃技っていうのは
[01:09:45.679] 相手に直接殴ったりなんか武器で切り
[01:09:48.159] かかったりとか体当たりとかねそういうの
[01:09:50.600] を打撃技っていうのねそれが普通の攻撃力
[01:09:53.759] の数値を使うわけだ攻撃力40なわけだ
[01:09:57.679] から攻撃力40
[01:09:59.840] でこのシェルブレードが放て
[01:10:02.040] るっていうことねだから助かるわいやお前
[01:10:04.880] は知ってるだろお前は詳しいから知ってる
[01:10:06.560] だろポケモンでこっちは特殊技要は相手に
[01:10:09.360] 触れないよう率というよりは補正なしの
[01:10:11.960] やつより1.倍の数値あそうなんだまその
[01:10:14.880] 難しい話はいいよみんなわかんないから
[01:10:17.360] うんそまそ正確な数値とかまとりあえず
[01:10:19.840] いいでしょでこれが
[01:10:22.199] えっと分類がこれ特殊技で相手にれじゃ水
[01:10:25.760] 砲っってこうビーム出したり炎で攻撃し
[01:10:29.800] たりとかは特殊技になるわけそれが特攻な
[01:10:32.480] わけよ特攻それが特攻42だからこいつは
[01:10:36.280] 打撃技出すよりも特攻で攻撃した方が
[01:10:39.360] ちょっと強いってわけま技にも技自体にも
[01:10:41.679] 威力があるからちょっとま変わるんだけど
[01:10:45.199] でその特っていうのはその逆に受けた時ね
[01:10:48.400] 防御が殴り技殴ってきた技か特殊自信は
[01:10:52.199] 物理だねだから攻撃は攻撃技だね特じゃ
[01:10:55.520] 攻撃の技だらそのもしこいつが地震って
[01:10:59.480] いう技を受けたら防御技防御の数値をで
[01:11:03.800] 計算するわけそのノそうじゃないかそう
[01:11:07.199] ことそういうことそういうことそういう
[01:11:08.120] ことで特は水鉄砲とかそういうの受けた時
[01:11:10.400] の防御力ってことちょっとややこしいんだ
[01:11:12.920] けどねミラーコートとカウンターはその話
[01:11:16.560] あそうそうそう関係ある関係あるだけどま
[01:11:19.920] それはまた今度ってことでねまそういうま
[01:11:22.239] ちょっとま昔のポケモンとこの限りでは
[01:11:24.800] ないとだけまあそうだね昔のポケモンは
[01:11:27.120] タイプによってそれが決まってたからね今
[01:11:28.800] はもう技1つ1つにあれが違うからな
[01:11:32.320] ちょっとまあちょっと覚えのめんどくせえ
[01:11:34.120] よなポケモンって意外と複雑だよなま
[01:11:35.880] そんなこと考えなくてもいいんだけどね
[01:11:37.639] 楽しくやる分にはそんなこと覚える必要
[01:11:39.360] ないんだ
[01:11:41.719] けど子供の子供たちはこんな覚えてない
[01:11:44.520] だろうからね好きにやっていいんだ
[01:11:51.360] よちょっと回復します
[01:11:55.560] 奥が深いね代から力がだとか知ってた小学
[01:12:00.440] 生たらしい
[01:12:02.400] ねよから
[01:12:04.840] ん複雑なかったの破壊
[01:12:10.480] インパク威力の高い技ばっかっていいんだ
[01:12:13.320] よガキどもはガキどもはねそのデバ技
[01:12:16.480] なんか撃たなくていいんだえとじゃどう
[01:12:18.840] しようか
[01:12:20.760] なんおれんおれもって今日も
[01:12:26.159] これえっと待ってこれさどこやったん
[01:12:32.040] だグータラジオ非公会になってますすい
[01:12:34.600] ませんグータラジオ非公開になってます
[01:12:37.080] YouTube
[01:12:39.159] ねごめんごめんちょっとちょっと非公開に
[01:12:42.239] したわ
[01:12:44.400] 笑笑また公開するからまた公開するがな
[01:12:48.080] やったないやまた公開するよまた公開する
[01:12:51.400] けどねちょ100にちょっと学習装置持た
[01:12:53.600] せるわまま公開するよだ1回全部真っさら
[01:12:56.760] な状態にしたくてYouTubeをね今回
[01:12:59.080] あの補足したからまたちょっとちょ
[01:13:01.840] ちょくちょく公開してくようん新しい
[01:13:04.440] ゴータラディオやれゴルド楽しグータ
[01:13:06.880] ラジオゴールドやるかグータラジオ
[01:13:10.199] ゴールドままたちょっとやるよ
[01:13:13.040] 今度V6の方もみよろしくなV6の方も
[01:13:16.280] あとルームツアーも今編集してるからまた
[01:13:19.239] あげますから
[01:13:21.239] ねあとみんなブログもよろしくなブログも
[01:13:24.280] 頑張れそブログの方でも色々書いたからさ
[01:13:27.480] うんちょっと読んどいてほしい
[01:13:33.480] ねよしじゃちょっと戦ってみるかあこいつ
[01:13:38.760] マジで来るたびに戦うのかよに師匠派出
[01:13:41.760] ますか師匠出ねえよ師匠は出ません細川
[01:13:45.960] 師匠出ませんからで俺のその細川の服の
[01:13:49.920] 写真はいっぱい上がってる
[01:13:51.600] よもぐりこれ毎回出してくんなこいつな
[01:14:04.639] オ弾ける炎めちゃめちゃ強え
[01:14:09.080] なマリルは
[01:14:12.520] えっとここコイルだ
[01:14:15.760] なじゃちょっとあの変なやつ戦ってみるか
[01:14:18.520] 変なボス敵みたいなやつ勝てるとは思う
[01:14:20.840] けど
[01:14:21.560] な太郎デブのクネだよねもぐりどういう
[01:14:27.600] ことどういうことああのあのモゆみたいな
[01:14:33.000] こと森ゆみたいなこと
[01:14:36.840] なもぐもぐ
[01:14:39.040] 太郎そういう恥さ一緒そうよしオッケー
[01:14:43.159] じゃあちょっと行きますわ戦ってみますね
[01:14:45.880] 勝てるでしょう多分勝てない相手ではない
[01:14:47.800] と思う
[01:14:48.679] わえ何これなんかいっぱい
[01:14:52.360] なんか待ってましたよどうしました後ろが
[01:14:55.440] 何これこれは岩ではなくあポケモンかい見
[01:14:58.960] ていてください私が道を通った私が作った
[01:15:01.960] ポケモンを活性化させる装置で何それ
[01:15:05.400] 何ポケモン活性化
[01:15:08.280] 装置え
[01:15:13.800] 何岩パレスたち岩を迫ったままここで力
[01:15:17.000] 尽きていたんでしょう
[01:15:18.280] かかのプラズマダは言いましたポケモンを
[01:15:20.800] 持つ可能性を認め人間から解放すべきだと
[01:15:23.120] 私はそうは思いませんむ人はがめている
[01:15:25.920] 能力を引き出すべきなのです
[01:15:29.199] はあそういえばあなたの名前を聞いてませ
[01:15:31.520] んねチャマゲームと申しますよろしくお
[01:15:33.040] 願いしますじゃん暴れる君えその名前を
[01:15:38.159] 覚えではあなたがポケモンの力を
[01:15:39.719] 引き出せるトレーナーかどうか確かめ
[01:15:42.400] ますなんかこいつはこいつでなんか障害に
[01:15:45.040] なりそうな感じするお前すげえ髪型してん
[01:15:47.600] などうなってんだこれません暴れるくで
[01:15:50.600] そんなこと言う
[01:15:51.639] の暴れる君でそんなこと言うんだっけ
[01:15:55.760] アですしか知らない俺どうもアですしか
[01:15:59.000] 知らない俺髪型かっこいいかとんでもない
[01:16:01.440] 髪型た
[01:16:04.280] ぞはいおもちゃはい僕のおもちゃねこれえ
[01:16:08.159] あ頑丈うざ頑丈しんど暴れる君が
[01:16:13.719] うんよしよしうわ最悪麻痺引くかそこで
[01:16:19.000] マジか
[01:16:20.440] よだお前お前マジだるいわえこれ頑丈って
[01:16:25.560] もう1回なんのてうわなんやねんこいつあ
[01:16:30.920] あれねあの緑塗ってなガゼ復活
[01:16:35.320] だるうわなんや
[01:16:40.440] こいついやだるい
[01:16:45.960] なガゼだるいね
[01:16:49.960] ガゼあにはダメ押し
[01:16:55.120] だったもんなダメ押しだったもんな客も
[01:16:59.080] 確かに覚えるべきだこれはこれは覚えて
[01:17:01.560] ほしいだってあれダメ押しだったもんね割
[01:17:04.800] の映画とか誰も興味ないのにあその点に
[01:17:08.960] 相手がすでにダメージを受けてたら技の
[01:17:10.600] 威力が2倍になる
[01:17:12.520] へえ砂かけいらないかイチ
[01:17:15.719] も同じ技を2回連続で出せなくなるこれは
[01:17:19.639] 要はあれだ変化技だ
[01:17:22.440] ね砂地獄砂地獄はまあ欲しいか砂かけいら
[01:17:27.120] ないかな砂かけはいっか座席の予約
[01:17:29.920] システムで遊ばれてたはず映画のな映画の
[01:17:35.520] なダメ押しだってさ逆はに見に抜けば
[01:17:38.639] よかった今見れるじゃんうわこいつ鋼
[01:17:41.159] タイプめっちゃおギアル出してくんじゃん
[01:17:43.400] これこのまま行きいや待って入れ替えよう
[01:17:45.120] 俺にはまだ鋼タイプのロザリオがいる
[01:17:48.400] ロザリオに買ってもらうかこは今見れる
[01:17:50.920] じゃんあのなんだっけVODで見れるよ
[01:17:53.280] どっかでどこだったかな
[01:17:55.360] アマゾンプライムで見れんじゃない来た
[01:17:56.920] ギアルギギアルギギギアル
[01:18:02.600] よいしょあぱポうーいい
[01:18:07.159] ねウパもやウパもやウパする
[01:18:15.679] かはき巻きすの強いなオ
[01:18:26.440] なかなかのものですよしよし2300円あ
[01:18:31.400] ざすなるほどあなたは各地の事務リーダー
[01:18:33.920] たちあるいはポケモンリーグにいる視点
[01:18:35.480] ノトチャンピオンのようにポケモンを大事
[01:18:37.400] にすることでその強さを引き出すそういっ
[01:18:39.639] たタイプの人たちに似てるようですねオン
[01:18:41.360] に行きますこれは俺ですああ
[01:18:46.199] ざす悔しいポケモンの能力を引き出すその
[01:18:49.360] ためにポケモンと会話できればいいんです
[01:18:50.800] けどねそのような人間が世界にいるわけが
[01:18:52.800] ないそれではレンさんまたお会いし
[01:18:54.400] ましょう
[01:18:56.719] ポケモンと会話できんのってNじゃないの
[01:18:58.560] Nって会話できたよ
[01:19:00.560] なこれさ回復に戻ろうかなうんま回復戻る
[01:19:06.560] とまたあの変な女と戦わなきゃいけねんだ
[01:19:08.520] よなそれがちょっとだるいねいい傷薬
[01:19:12.600] ありがたい
[01:19:14.320] うこれまたここ通るたびにこいつと戦わ
[01:19:17.480] なきゃいけねんだろちょっとしんどいよ
[01:19:21.320] ね俺も変なニスとできるよ何変なニャスっ
[01:19:25.880] てあアニメ
[01:19:29.840] のどうすっかな私でポケモンの素早さに
[01:19:33.600] こだわってるのそういうわけであなた
[01:19:34.920] 109か109と同じかそれより素早い
[01:19:38.239] ポケモン連れてないか
[01:19:42.199] 109109より高いポケモンこんなのい
[01:19:45.440] ねえよ
[01:19:46.880] まだ素早さが1009よあほちゃん
[01:19:51.480] こんばんはどうもこんばんは今日もやって
[01:19:53.639] ます全なんか言ってるわけないじゃんなり
[01:19:56.600] ましたおいいですねマイ連れてこなきゃ
[01:19:59.520] マルマインとかだよな多分な僕はポケモン
[01:20:01.400] と攻撃にこってるね
[01:20:04.120] うここなんかなんか見せたらいいことあん
[01:20:06.920] のかなこれもっと開発されると聞いて
[01:20:09.040] 引っ越してきたんだけどね全然開発されて
[01:20:11.320] ないなここな私はここが大好きだってヒに
[01:20:13.920] もライモンにも近くてあ次ライモンシティ
[01:20:16.320] か工事をきちんと終わらせなきゃいけない
[01:20:18.880] からああいう連中がダムするどういう
[01:20:21.639] こといやちょっとポケモン回復しに戻り
[01:20:24.320] たいけど
[01:20:26.719] ブラモン中学スタンドアップスタア
[01:20:30.320] 立ち上がり
[01:20:31.920] よの誰誰こいつこんなやい
[01:20:37.080] たまさかポケモンのパレスとはパレスこの
[01:20:40.400] 先の砂漠のデザートリゾートデザートに
[01:20:42.679] いるぞいいる
[01:20:44.800] ぞい
[01:20:46.360] えお前
[01:20:48.679] だる待って
[01:20:50.800] こいつに入っただけで入っ
[01:20:54.840] こいつエンカウント誰この女勘弁してくれ
[01:20:59.679] よなんだこいつの
[01:21:02.920] フィジカルこいつやばい
[01:21:06.320] な家に入っただけでここからいなくなった
[01:21:09.360] ことになん
[01:21:10.800] のお前マジ
[01:21:13.840] かとんでもねえフィジカルだな強く育てる
[01:21:20.120] はこの女マジでこ
[01:21:24.800] だるすぎる
[01:21:27.120] え節道持てよちょっと
[01:21:33.000] なあまレベル上がるからいいけどさ大して
[01:21:36.920] 強くないしね大して経験値もらえないし
[01:21:42.080] なうわだるダルダルのだるだな
[01:21:45.719] こいつえちょっとこれ回復しに戻るか迷う
[01:21:49.280] なまたこいつ戦うことになるぞだるさん
[01:21:52.280] 懐かしだるさんだね本当に
