[00:00:08.679] T
[01:08:28.920] そういうのちょうだいもっとなんかさえ
[01:08:33.640] なんで炊飯機1人暮らしすん
[01:08:39.440] のなんか1番良くない買い方しそうになっ
[01:08:43.520] てる俺なんか別に欲しいもんないのに欲別
[01:08:48.319] に何にも欲しいもんないのになんか買わな
[01:08:50.440] きゃって思ってる俺今良くないよねよく
[01:08:53.480] ないよくないこういうのボーナスバて何
[01:08:56.400] 買うのだけどおすめある
[01:09:01.239] あヤんほほそろそろスマホケースあ分かる
[01:09:05.520] 俺もスマホケース変えたいもうだ買った時
[01:09:09.400] から一緒のずっと使ってる
[01:09:11.480] もんえイヤホンっておすすめ
[01:09:14.130] [音楽]
[01:09:18.600] 何どういう基準でおすめかだよ
[01:09:23.080] スマホケースにるから
[01:09:27.239] で16万飛んでうわうわうわうわうわうわ
[01:09:30.839] うわも車検ってさゴミ車検っていうさ精度
[01:09:37.080] ゴミだよなマジでな俺今年の風だったから
[01:09:40.400] もう来年はいいんだけど
[01:09:44.159] AirPodsえとりあえずオーディオ
[01:09:46.839] テクニカ買っときゃ間違いないんちゃ
[01:09:48.600] わかんないけどヘッドホンだったら絶対
[01:09:51.560] ビーツだけどねビーのヘッドホンいや
[01:09:58.520] も
[01:10:00.120] も重んない
[01:10:02.320] [音楽]
[01:10:04.880] これ
[01:10:07.239] あもいなってっ
[01:10:10.120] てね俺
[01:10:12.239] マイクね車検どうにかしてほしいよね高
[01:10:15.360] すぎんねん車検もやる会社もさもう
[01:10:19.600] 吹っかけてきてるやんもうここばかりに高
[01:10:22.840] すぎるだろ
[01:10:25.940] [音楽]
[01:10:35.159] いや度がでましたいやどこ行ったって車検
[01:10:39.719] 制度
[01:10:42.670] [音楽]
[01:10:48.880] あるワイヤ
[01:10:57.080] て俺あれ欲しいんだよなでも配信者のさ
[01:11:00.120] あのよくシアーのさあのモみてなやつあん
[01:11:03.760] じゃんなんちゃってイヤもに見てる
[01:11:07.159] やつああれ12万ぐらいで買えるやつあれ
[01:11:10.360] 安くなってたら買い
[01:11:15.320] たいの10万イヤン持ってるマジ
[01:11:19.080] でんさ正直さ10万のイヤホンなんか
[01:11:23.239] 変わるのん
[01:11:25.440] の耳じゃわかんなそうなんかなそん渉な耳
[01:11:28.600] してねえからさ機も10万ささ多分ね
[01:11:31.840] 分かる人も才能だと思うわ俺正直わかん
[01:11:34.880] ないと思うそんな急に10万のイヤホンと
[01:11:38.199] 硬1万のイヤホンでどっちが10万
[01:11:41.120] でしょうかって言われて分からんと
[01:11:44.760] 思うだってさ音の良さって結局さどっちが
[01:11:48.719] 好きかて自分の耳におるからもちろん
[01:11:51.679] 10万の分かる人はいいんだろうけどうん
[01:11:55.280] あのドンシャリが好きな人がいればさそう
[01:11:58.080] じゃない人もいるわけげなら多分しれの
[01:12:01.639] 5万と10万あ俺耳悪いからな耳めっちゃ
[01:12:06.000] 悪いで
[01:12:07.239] 俺何回も聞き返すもんえ何だあ絶対当たる
[01:12:13.360] ここが全然違うのよそうなん
[01:12:22.159] だ声でかい人あるある耳悪いめちゃめちゃ
[01:12:25.960] めちゃめちゃ耳悪い多分ずっと多分ねあの
[01:12:30.360] なってるのか少し離れたとこからなってる
[01:12:33.000] のかみたい
[01:12:37.159] な10万か高い
[01:12:41.110] [音楽]
[01:12:48.320] なだもうお前なんで生き返ってんねん
[01:12:54.120] もう
[01:12:56.120] うわ新しいキャリーにて毛とかからもらっ
[01:12:59.560] たステッカーためもなくはるステッカー
[01:13:02.120] なんて反意味ねんだからおめえら貼れよ
[01:13:05.040] このイベントだよもらったステッカー
[01:13:07.719] 貼れよ貼らなきゃ意味ねえんだかん
[01:13:09.800] ステッカーなんておめえらデジに取っとく
[01:13:12.719] やついるだろうけど晴れ晴れ意味
[01:13:15.560] ないおでこおでこおでこに晴れおでこに
[01:13:19.280] あれ
[01:13:23.120] やだからつけれるよお尻にするわあ貼っ
[01:13:28.120] とけ貼っ
[01:13:29.280] とけラップトップとか持ってるとねそう
[01:13:32.080] いうとこ貼れるんだけどねやだなん
[01:13:37.679] で貼らなきゃ意味ねえ
[01:13:40.560] だろ大体腹ねで届いて23ヶ月なくしてん
[01:13:44.040] だから貼っとけ貼っとけ思い出になるよ
[01:13:46.760] その方頭に貼ってもハゲが隠しきれ
[01:13:49.840] ないハゲいいじゃんれるとこ1ぱあっ明
[01:13:52.800] スコケースの裏に置いとくわ出た出たある
[01:13:57.040] ねんいるよなこれ小学生みたいにシール
[01:14:00.760] ケースがあるよいいねおシール調つくべ
[01:14:04.760] みんなでシール
[01:14:06.340] [音楽]
[01:14:09.639] 調シール帳あれ意味わかんねえよなシー
[01:14:12.840] ルってさ自分の好きなもんに貼るために
[01:14:15.080] あるのにさノートに全部貼ったら意味ねえ
[01:14:17.920] あれそういうこと意味ね
[01:14:22.280] あれ小学生女児のあれあるなあのシール
[01:14:26.719] 交換ちょっとプクプクしてるやつは
[01:14:29.120] ちょっと普通のシール5枚とあれみたいな
[01:14:32.639] プロフィール交換も
[01:14:34.520] しよあいちご1へのあれやるべいちご1中
[01:14:38.800] にビーズ入ってるシールとかなあったよ
[01:14:41.639] な姉ちゃんがクソ持ってたわ姉ちゃん
[01:14:44.760] [音楽]
[01:14:49.560] がプロフィール交換ちゃ書いたことない
[01:14:53.159] 匂いのするシールとかあったねあったあっ
[01:14:55.760] たあっ
[01:14:56.780] [音楽]
[01:14:59.080] たなんか昔俺姉ちゃんがさチオのさ応募者
[01:15:04.159] 全員サービスで当たったなんかなんか
[01:15:06.920] わかんねえシールをさなんか冷蔵庫の冷蔵
[01:15:10.719] 庫にめっちゃ張っちゃった時があってさ
[01:15:12.560] 死ぬほど怒られたわうんあんなに怒ってる
[01:15:15.400] 姉ちゃ見たことない殺されるかと思った
[01:15:18.520] マジ
[01:15:19.520] で全部張っちゃったなんかわかんないけど
[01:15:22.239] わあつって
[01:15:27.480] そんくらい小学生女児にとってシールって
[01:15:30.760] のはマジでもう死活問題なわけなんですよ
[01:15:33.440] シールっていうの
[01:15:39.120] [音楽]
[01:15:47.719] は今度帰ったらやってみて学士
[01:15:53.680] [音楽]
[01:15:55.159] さすに俺の
[01:15:58.880] 姉お姉ちゃん
[01:16:02.840] あげようイベントのシールげっか
[01:16:06.880] [音楽]
[01:16:14.400] なそういや姉貴いくつ上なん4つ上4つ上
[01:16:19.320] だから今32かグルポ疲れちゃんの蔵庫に
[01:16:24.360] シール買ってあげたらじゃないめこちゃん
[01:16:27.520] が集めてるよきっといやもうそんなも
[01:16:30.360] そんなそんなあのねこんばんあれだよ今の
[01:16:34.040] 小学生ねそんなあかんあかん今の小学生は
[01:16:37.800] iPadでお前あれだもうネカマネカマ逆
[01:16:41.600] サ読んで俺の目1個なんか逆サ読んであれ
[01:16:44.840] なんだから荒野行動で男たぶらかして遊ん
[01:16:47.719] でんだからシールなんか1mmも興味ない
[01:16:51.199] や
[01:16:52.760] 草終わってる本当に
[01:16:56.520] ITカード好き
[01:16:58.880] そうITカード好きだようん誕生日
[01:17:01.760] プレゼントITカードつたもんやべえ
[01:17:07.670] [音楽]
[01:17:18.000] だろは金
[01:17:20.360] じゃん現金のがまだいいけどな
[01:17:23.000] iTunesカードなんて
[01:17:25.870] [音楽]
[01:17:30.480] でなんか1万円分ぐらいアジカード上げた
[01:17:33.040] んだってさ誕生日
[01:17:35.360] にしたらそのうちの2000円ぐらいは
[01:17:38.920] なんかね人に配ってたらしいの俺のあの
[01:17:43.199] あのめこがやばくないもうあのその年で
[01:17:47.719] なんかさその年でなんかもう人に施しを
[01:17:50.719] するエ越みたいなものをもうさ
[01:17:55.080] な早くないそれそそれを感じる
[01:18:00.080] のちょっとやばいよな俺引いたもんそれ
[01:18:03.920] 聞いて2000円はまるまるちゃんにあげ
[01:18:07.000] たのえーみたいなお前それなんかよくない
[01:18:11.120] わってお前それやめなってそんな良くない
[01:18:15.400] よなんかそんなお前小学生でお前ふざけん
[01:18:19.440] なよ俺にくれ2000円バカたれいい飯1
[01:18:22.800] 回食えんだろ何してんの
[01:18:25.800] ほんま何してんのだよ
[01:18:27.440] [音楽]
[01:18:32.600] な切実な大人の叫びピザ頼む
[01:18:38.679] わこつ倒せんのか
[01:18:46.440] ないやもうなジャンプ押してた
[01:18:50.910] [音楽]
[01:18:58.040] 絶対
[01:18:59.070] [音楽]
[01:19:07.360] 当たるい嘘だそれ
[01:19:11.400] [音楽]
[01:19:26.000] 今の中学生はちょっとやばいよな中学生
[01:19:28.880] 小学生かやばいと思う
[01:19:31.719] わこんなんなってんのって感じ本当
[01:19:35.460] [音楽]
[01:19:38.600] にち1個だけなんかなわかんねえ
[01:19:42.719] けど人にお金をなんかあげてなんか優越感
[01:19:47.320] に浸るみたいなくない
[01:19:53.080] ぜた
[01:19:54.900] [音楽]
[01:19:56.719] っ
[01:20:03.600] たやばいやばい
[01:20:08.040] やばいそもしか一緒お前らがビッあげてん
[01:20:11.639] の一緒俺に俺にビッ上げてんのと一緒の
[01:20:13.840] 感覚なんか
[01:20:16.719] なフランケアズ1やめろいらねえ
[01:20:20.840] [音楽]
[01:20:22.360] やめろのの
[01:20:25.239] 感のために俺を使うな嘘ですありがとう嘘
[01:20:28.480] だよお金ちょうだいお金ちょうだい
[01:20:32.190] [音楽]
[01:20:33.920] ありがとうお金ちょうだいは持ち
[01:20:38.480] いいが1でそんな気持ちよくなれると思う
[01:20:41.320] ねよ1なんかでおめえよ気持ちよくなれる
[01:20:44.880] と思うな4桁上げてからだろうか
[01:20:53.890] [音楽]
[01:21:00.120] 4桁は
[01:21:01.600] きついお俺の学小学生の俺のあのめこだっ
[01:21:06.040] たらお前2000円上げてるぞ
[01:21:07.679] クラスメート
[01:21:09.679] にそん時の絵つったらねえだろう
[01:21:14.930] [音楽]
[01:21:22.840] なもういい
[01:21:27.300] [音楽]
[01:21:51.920] これ丁寧に丁寧に丁寧
[01:21:55.980] [音楽]
[01:22:00.440] に
[01:22:02.040] いやあ
[01:22:04.560] もうもうだるいここ魚クションか
[01:22:10.239] な丁寧に丁寧
[01:22:15.880] にわかんない俺今流行りの方角が分から
[01:22:18.960] ない
[01:22:22.000] わどこまで落ちてくんのお前
[01:22:25.639] 臭い
[01:22:27.250] [音楽]
[01:22:34.520] な君臭い
[01:22:38.000] で君臭い
[01:22:41.840] で言わんかったけど
[01:22:44.880] 君くさいで
[01:22:56.239] 君のために言っとるん
[01:22:58.600] だのすみたいあ弱虫ペダルも俺見てねえ
[01:23:03.520] からわかん
[01:23:07.560] ねえなんだよねあの性格がくれてるからさ
[01:23:12.400] なんかその少年漫画のさなんかその努力
[01:23:16.639] 努力友情勝利みたいなんね
[01:23:20.400] そう漫画
[01:23:24.560] 少年マが無理なんだよちょっとひねくれて
[01:23:26.800] ないと読めないのワンピース見てな無理
[01:23:30.120] 無理無理もう努力友情勝利じゃん無理無理
[01:23:32.440] 無理仲間みたいなのいいのもうそそうの
[01:23:35.880] いいいいいい
[01:23:38.520] そ行きたい
[01:23:41.480] ドンクソうわ
[01:23:48.320] [音楽]
[01:23:53.440] る空のクリリンのことかあの友情も
[01:23:58.400] だめじゃあれあれ別に友情じゃないでしょ
[01:24:01.440] あれあれ友情なのあれっ
[01:24:03.880] てあれ普通にあれじゃないのなんかその
[01:24:07.040] フリーザが
[01:24:08.320] さあの人間のようにって言った時
[01:24:12.080] にピンときてピンと来て言っただけじゃ
[01:24:14.679] ないのあれピンと来て言っただけじゃない
[01:24:17.520] のあれ悟空がえあの人間って誰だろうって
[01:24:20.440] あクリリンのことかじゃないんだ怒ってる
[01:24:23.040] んだあれ俺わかんない見たこと
[01:24:24.790] [音楽]
[01:24:26.560] ピンと来て言ったんじゃない
[01:24:29.080] の友情なん
[01:24:31.560] だだから滅び
[01:24:34.239] た誰でも良かったそう多分あれ誰でも
[01:24:37.719] 良かったでしょ
[01:24:40.930] [音楽]
[01:24:43.080] 多分だから滅びたて
[01:24:45.760] 何だから滅びたって何が
[01:24:49.370] [音楽]
[01:24:59.159] フリーザとの
[01:25:02.760] レスバフリーザとの
[01:25:05.639] レスバえわかんない俺マジでわかんない見
[01:25:09.320] てない
[01:25:11.280] からいやマジでな今あの今になって
[01:25:15.199] ウォッチパーティーもってやっとけば
[01:25:16.719] よかったと思うわドラゴンボールドラゴン
[01:25:21.520] ボール視聴会やりたかったな
[01:25:25.239] マジでわかんないもんだドラゴン
[01:25:29.450] [音楽]
[01:25:39.280] ボールいやもう最悪これもうだるい
[01:25:44.970] [音楽]
[01:25:48.040] ここっNetflixは
[01:25:52.140] [音楽]
[01:26:00.880] あもう
[01:26:02.920] 無理ああ難しい
[01:26:08.730] [音楽]
[01:26:22.400] なむい
[01:26:26.030] [音楽]
[01:26:30.280] 高橋の時こっち選んでもまあまあやばかっ
[01:26:34.520] た確かになんかこっちだったら行けてた
[01:26:38.000] だろうみたいな空気感あるけど意外とここ
[01:26:40.760] もやばかったんじゃ
[01:26:46.000] ねでもね別になんその明らかに無理じゃ
[01:26:49.719] ないんだよなんか希望が見える無理じゃ
[01:26:51.840] ない無理
[01:26:53.239] なあ高橋は正直もう光が見え
[01:26:57.560] [音楽]
[01:27:13.280] ない年内高橋あるかなまタイミングがあれ
[01:27:18.000] ばやりたいけどねライブだなんだって色々
[01:27:20.719] やってたらさ結構やってる時間ないかって
[01:27:24.560] いう感じなんだ
[01:27:25.679] よあれだって平日やんの無理じゃん土日で
[01:27:28.960] どうせまた何十時間もやんでしょ
[01:27:32.480] [音楽]
[01:27:36.000] あれもう年末末高橋年末高橋かもね越し
[01:27:41.450] [音楽]
[01:27:45.719] 高橋しこたかかもしこたか年越し高橋
[01:27:52.040] した年越しできんか
[01:27:54.250] [音楽]
[01:27:56.960] 年越しできるまでにクリアするか飛ばせる
[01:27:59.920] べじゃ
[01:28:05.260] [音楽]
[01:28:36.600] やばい
[01:28:39.810] [音楽]
[01:29:22.280] こっち回復とかないよな
[01:29:24.530] [音楽]
[01:29:30.119] ああ絶対ここで積むやん
[01:29:37.199] こんなどう行くの
[01:29:42.560] これ全然無理
[01:29:44.960] な全然無理なんだけどあれ
[01:29:49.350] [音楽]
[01:30:11.280] あ
[01:30:15.770] [音楽]
[01:30:42.360] この弾が出てる時は逃げてればいいんか
[01:30:46.000] ななんかいいわかんないんだよなルールが
[01:30:50.360] なそピピュの時はどどうすればいいのこれ
[01:30:54.020] [音楽]
[01:31:06.679] ええそそれそれ何それそれ何なのダメージ
[01:31:11.040] 入ってんのこれなんかどこがダメージに
[01:31:13.719] なっ
[01:31:13.950] [音楽]
[01:31:15.800] て待ってないもんなな
[01:31:24.560] えわかんないこれやばいやばい
[01:31:27.239] ややばいやばい
[01:31:34.639] やそそれダメージになってんのそれ何なん
[01:31:38.200] [音楽]
[01:31:44.360] それいやダメージなってない
[01:31:49.000] な武器がダメか
[01:31:53.600] [音楽]
[01:32:09.440] いややばい危ない危ない危ない危ないとダ
[01:32:12.600] と
[01:32:13.840] か相当むずくないそれ
[01:32:18.480] [音楽]
[01:32:26.600] この弾を
[01:32:28.400] さこいつ自身にて当ててるつもりなんだ
[01:32:31.600] けどそそれ関係ないやばいやばいやば
[01:32:34.710] [音楽]
[01:32:36.679] 引っかかるいやむいこれでどうやって倒す
[01:32:40.520] ん
[01:32:41.280] これ
[01:32:43.840] 何どう倒すねんこれ
[01:32:56.360] あの追尾してくる弾をさ真ん中のあいつの
[01:33:00.239] ど持ってくとでもなんかブブブブブて言う
[01:33:02.719] んだ
[01:33:04.280] よんで交換できねえん
[01:33:06.540] [音楽]
[01:33:08.840] だ倒し方わからへんわからん
[01:33:12.140] [音楽]
[01:33:20.360] ねどうしたものか
[01:33:25.800] なんかいまいちダメージ食らっ
[01:33:31.199] てる食らってる感じもしないのよ
[01:33:33.850] [音楽]
[01:33:40.360] ねもうなやねんこれ
[01:33:45.380] [音楽]
[01:34:01.960] た
[01:34:03.050] [音楽]
[01:34:39.920] これラスボスじゃない
[01:34:42.080] もんあいつなんや
[01:34:49.760] ねんできれば1気も失いたくないんです
[01:34:52.600] けど
[01:34:55.370] [音楽]
[01:35:05.119] た
[01:35:08.090] [音楽]
[01:35:48.840] あね
[01:35:58.800] いやあもう
[01:36:01.480] もうう
[01:36:04.150] [音楽]
[01:36:25.119] 無理やで
[01:36:26.340] [音楽]
[01:36:51.480] これやないなここで魂稼ぐかと思ったけど
[01:36:56.199] あんま意味ない
[01:36:57.000] [音楽]
[01:37:07.360] やえ魂稼ぎ
[01:37:11.430] [音楽]
[01:37:13.760] するいやあんま意味ないような気がすんだ
[01:37:17.320] よな
[01:37:18.620] [音楽]
[01:37:29.239] 誰誰誰
[01:37:31.820] [音楽]
[01:37:40.040] 誰こんな3個一気に5個ぐらいくれよ
[01:37:49.210] [音楽]
[01:38:00.840] ちょっと先が長すぎるわ
[01:38:08.280] これちょこれを1回取ってこうなちゃんと
[01:38:11.239] な
[01:38:13.610] [音楽]
[01:38:24.000] ちゃまく魔界の目つきになってきたねなん
[01:38:27.400] だ魔界の目つき
[01:38:29.360] て魔界の目つきに乗っ
[01:38:32.599] てるまやっぱあれだなちょっとシステムは
[01:38:37.199] 違ってもやっぱ魔界村の血は入ってるよね
[01:38:39.679] このゲームね
[01:38:43.040] ねえちゃまかなんかあのニコ生のあの変な
[01:38:47.599] 女の子みてじゃん俺だよくわかんねニコ生
[01:38:49.679] あんま今のニコ生詳しくねえからわかん
[01:38:51.520] ないけどあの眼帯の子みてじゃんなんだな
[01:38:54.080] ななんて何ちゃんだっけなんとか魔界ゆ
[01:38:58.040] のんちゃんだゆのん
[01:39:00.480] ちゃん
[01:39:02.000] さあなんでニコ生ってさあんなん
[01:39:06.679] なんなんでニコ生ってああいう人が
[01:39:09.800] いっぱいいる
[01:39:12.110] [音楽]
[01:39:21.360] のなんでやろうな
[01:39:24.400] なあなんかくとクは互いに
[01:39:29.800] 合うなんかそうその今今のニコ生って
[01:39:34.119] えぐくないなんかやばい人多くないなんか
[01:39:38.920] その村とかがまださニコ生とかそういう
[01:39:44.599] レベルじゃないよね全然全然そんな村は
[01:39:48.159] なんかやばくないもんニコ生の時代って
[01:39:51.679] 言ったっ今の人たちのかやばいよねなんか
[01:39:54.960] 本当に限界限界集落っていうかもうどうし
[01:39:59.560] ちゃったのって人が多いよ
[01:40:01.060] [音楽]
[01:40:03.119] ねサイトでは絶対見かけないレベルねえ
[01:40:07.000] すごいよね本当にあのさなんか変ななんか
[01:40:09.920] すっごい貧乏な女の子のさ知ってるニコ生
[01:40:13.520] のニコ生じゃないのかなあの子わかんない
[01:40:15.599] けどすんげえ汚ねえ家に住んでてさ虫とか
[01:40:20.000] めちゃめちゃ湧いててさそこでカレーとか
[01:40:22.520] 作って食べてる子髪ボサボサの女の子あれ
[01:40:27.679] やばいあれやばいよ
[01:40:30.239] ね普通にTwitterに流れてきてマジ
[01:40:33.000] であのマジで気分悪くなったから本にいや
[01:40:38.800] もう
[01:40:41.630] [音楽]
[01:40:42.840] もう
[01:40:46.520] もレトロゲームクリアできなくてギギ言っ
[01:40:49.560] てるなんて可いもんですよ
[01:40:53.440] だから
[01:40:54.280] こんなっ
[01:40:55.880] [音楽]
[01:41:08.440] た自分で言うの
[01:41:11.440] は可愛いもんだろ
[01:41:15.960] よもうもうもんないもうもんないよ
[01:41:22.239] これうすぎ
[01:41:25.570] [音楽]
[01:41:40.440] るって高すぎんねんなこれがあ俺この
[01:41:44.440] ゲームの攻略法分かったかも
[01:41:49.080] な攻略分かったかもこれ一番最初魂8円で
[01:41:54.159] 返た時にめちゃめちゃ買っとくべきそこで
[01:41:57.520] 死ぬほど買っとく
[01:42:02.599] べき気づいた
[01:42:04.920] か気づいちまったよ俺俺気づいちまっ
[01:42:19.239] た何やってんだ
[01:42:28.860] [音楽]
[01:42:40.159] もうもうここもうもうもうここやだこれ
[01:42:46.639] ドリルみたいのやだ
[01:42:50.900] [音楽]
[01:43:22.520] 当たっちゃうねそこなうんそこ当たっ
[01:43:26.040] ちゃうんだ
[01:43:26.960] [音楽]
[01:43:30.360] よここ絶対当たっちゃう
[01:43:33.110] [音楽]
[01:43:39.880] やろじゃないと無理よここは
[01:43:45.660] [音楽]
[01:44:03.440] もう1かちゃんのドリルに当たんなきゃ
[01:44:05.360] いけないとこがあるから
[01:44:10.040] なその時のために体力は3つ以上確保し
[01:44:13.599] なきゃいけないんだな
[01:44:16.390] [音楽]
[01:44:31.040] 体力3つ確保し
[01:44:33.639] て危ない危なかった
[01:44:38.670] [音楽]
[01:44:43.239] 今ここも意外とむいからな
[01:44:46.400] うんここ絶対当たっちゃうのこれだから魂
[01:44:50.599] 2個持ってく
[01:44:52.040] から絶対当たる絶対当たんねよこれ
[01:44:56.680] [音楽]
[01:45:50.119] あああ
[01:45:53.170] [音楽]
[01:45:56.960] やっぱあれか
[01:46:00.730] [音楽]
[01:46:02.560] なことかな
[01:46:04.200] [音楽]
[01:46:06.840] やっぱりやっぱり腕がけてたダメなんかも
[01:46:10.159] しん
[01:46:12.880] ないみいな武器をそのまま使ってみると
[01:46:18.159] かあいや多分ね
[01:46:22.140] [音楽]
[01:46:25.239] これダメダメージ入音がねえからわかん
[01:46:27.760] ないよ
[01:46:28.220] [音楽]
[01:46:32.400] ねこキラビさんにてるよ
[01:46:35.719] ねこんばんは俺ビリケンさん見たことない
[01:46:38.920] ああこのレドマね確かに似てる
[01:46:42.400] [音楽]
[01:46:46.719] わこれ
[01:46:48.800] どうどうなったら勝ちなんこれ
[01:46:53.199] ずっと思ってたの確かにビリケンさん似
[01:46:55.520] てるね当たってなさそうだああ当たっな
[01:46:59.800] そう
[01:47:01.880] だタイミングもうそれタイミング悪いわ
[01:47:04.440] それあなんかなんか今なんか今なんだ
[01:47:09.520] なんか変なこと起きたか
[01:47:12.960] か行けるんかいそしてそして行ける時も
[01:47:19.239] ある
[01:47:21.840] 笑笑ケさんどうすんのこれ全然ここクリア
[01:47:25.599] できねえ
[01:47:27.290] [音楽]
[01:47:33.159] よ武器こっちで行くかでもこれ意低いねん
[01:47:39.390] [音楽]
[01:47:50.560] ないや多分戻してる
[01:47:54.600] [音楽]
[01:48:02.840] いやこれはどう戦えばいいんですか
[01:48:05.700] [音楽]
[01:48:08.119] ねなんか当当たってるしないんだよねあ
[01:48:11.880] なんかピコンってでも一瞬落としたよ今
[01:48:14.679] 当たってんのかないやそれ違う音か違う音
[01:48:18.920] だ
[01:48:22.390] [音楽]
[01:48:28.480] どうなればいい
[01:48:29.490] [音楽]
[01:48:37.040] のでもこれがなんかンンンンてこの音が他
[01:48:42.000] のボスのなんかダメージ食らってる時の音
[01:48:43.800] と一緒なんだよそれは違うのかそうでは
[01:48:47.599] ないの
[01:48:53.470] [音楽]
[01:48:56.880] やばいやばいやばやばいやばいやばい
[01:49:05.840] もうどうせちゅうねん
[01:49:08.800] [音楽]
[01:49:13.000] これ当ってないしな
[01:49:21.060] [音楽]
[01:49:27.760] いや当たるんかいそれ
[01:49:30.180] [音楽]
[01:49:52.760] うん
[01:49:55.720] [音楽]
[01:50:28.719] 頭だよな普通こういうのってなさ当たん
[01:50:32.400] ないあの当たっても何の音もしないのよね
[01:50:39.950] [音楽]
[01:50:57.280] 手答え
[01:50:58.800] なしどうすんのが正解なんだ
[01:51:03.960] [音楽]
[01:51:17.920] これうお疲れあさんお疲れ久しぶりういや
[01:51:23.440] 危ない
[01:51:25.280] 危ないみちゃんお疲れわからんこ何すれば
[01:51:29.679] いいんだ
[01:51:30.440] [音楽]
[01:51:34.040] これ
[01:51:36.679] 危ないちょっともうこれはわかんないど
[01:51:41.800] 何あ終わったあ終わった終わったあ終わっ
[01:51:45.159] た終わった終った終った終った終終わった
[01:51:46.360] っ終った終わっ
[01:51:48.960] たあまだ1気あんのよしよしよしあこれ
[01:51:53.280] もうちょっともうこれ教えて
[01:51:58.639] ください行ける行けるようになってるも
[01:52:02.920] 行っていい
[01:52:04.079] よ俺のやり方間違ってるまずそこから教え
[01:52:08.560] てくれ俺のあれはダメージになってない頭
[01:52:11.159] を攻撃しようとしてる頑張ってじゃないの
[01:52:14.360] え弱
[01:52:16.599] ちんちん弱点ちんちんなのちんちんにこ
[01:52:19.960] 当たんないやんだって
[01:52:24.159] ちんちんで攻撃当たらはんやろっ
[01:52:26.510] [音楽]
[01:52:42.280] てその武器聞いてないんよ
[01:52:47.159] なになんだ
[01:52:49.440] と
[01:52:51.199] まさかままさかこの1番最初
[01:52:55.220] [音楽]
[01:52:57.679] のなんだガンバさんながあ分かんないどう
[01:53:03.679] なん
[01:53:05.020] [音楽]
[01:53:10.920] これいや当たんないいいタイミングでお前
[01:53:14.639] 手あげんのよ
[01:53:16.360] なうわあ来
[01:53:20.199] た来た来た来た
[01:53:25.880] やば
[01:53:27.980] [音楽]
[01:53:33.320] あよしよしよしよしよよしよしよしよし
[01:53:36.880] よしよし来た来た来た来た僕勝つぞこれ
[01:53:38.719] もう勝つぞ勝つぞ勝つぞやた
[01:53:41.719] か手があ手を上げるなよ
[01:53:47.800] すぐお脇がなんだから脇あげんな臭いから
[01:53:51.840] 臭いねお前が手あげるとみんな言ってるぞ
[01:53:54.960] それここだけの話お前のためを持って言っ
[01:53:57.560] てるんだからな心を鬼にしてこんなこと
[01:53:59.639] 言いてこんなこと言いたくねえんだけど
[01:54:02.360] さがみ言ってるからかもしれんこんなこと
[01:54:07.239] を言いたくないんだけど気分悪くしたら
[01:54:10.599] ごめんみんなお前のことをぶっちゃけ臭い
[01:54:14.320] と思っ
[01:54:15.910] [音楽]
[01:54:19.320] てる勝もうもう勝てくださいもう硬す
[01:54:23.390] [音楽]
[01:54:30.800] てがいのよ
[01:54:33.190] [音楽]
[01:54:47.639] こいついや全然お前
[01:54:50.639] ああう
[01:54:58.000] 脇の悪魔これどうすんだこれよ腕きりたい
[01:55:04.280] うざいねんあいつ
[01:55:06.159] ほんまレーザーでレーザーで脇のあの
[01:55:10.599] ダダダダあの感を焼いてこいレーザーで脇
[01:55:15.480] の汗の感染を脇が治るからそしたら脇がは
[01:55:20.079] 治る病気です
[01:55:23.420] [音楽]
[01:55:25.800] 再発あります
[01:55:28.119] かないですアポクリン焼いてこい
[01:55:31.119] アポクリン戦を
[01:55:36.350] [音楽]
[01:55:59.040] キやここ何もない感情が
[01:56:02.400] [音楽]
[01:56:19.360] いもうこつもスキップでいいや
[01:56:23.119] どうせクリアできんだからそこで俺の
[01:56:25.560] 足止めにしようみたいなないで
[01:56:31.390] [音楽]
[01:56:34.520] そんなてかこいつ全然
[01:56:38.400] 違くてお前全然
[01:56:42.670] [音楽]
[01:56:51.239] 違くて
[01:56:53.440] [音楽]
[01:57:00.400] うん
[01:57:01.830] [音楽]
[01:57:10.679] 痛い
[01:57:12.719] テルテルどうせここ1個当たんなきゃいけ
[01:57:15.040] ねんだ
[01:57:17.000] から終わったちったもう今の今のもう今の
[01:57:20.400] でもうもう
[01:57:22.850] [音楽]
[01:57:25.239] もうだるい中年もう
[01:57:31.520] [音楽]
[01:57:39.800] ここもう無理もう無理もうもう1回やめよ
[01:57:42.760] 1回死ぬ死ぬ死ぬもう1回もゲームバ
[01:57:46.280] やさあもうなんだ
[01:57:51.119] これDET
[01:57:54.180] [音楽]
[01:58:27.239] ほんましんどい
[01:58:30.679] て
[01:58:39.440] ほまれラ
[01:58:44.650] [音楽]
[01:58:52.320] 笑えよ笑え最後ラピタ入ったうんもあの
[01:58:57.760] BGMあま覚えてないラピ入っちゃっ
[01:59:09.159] たちょっとラピド入ってないこの
[01:59:13.160] [音楽]
[01:59:16.440] BGMラピタが一番いいんだからラピタが
[01:59:20.880] 一ちゃんいい
[01:59:22.800] な映画でラのパン食べたいラピタパンあの
[01:59:28.040] あのズルズルズルズルってあの食うやつな
[01:59:31.199] あのドロドロの
