[00:00:08.480] ういお疲れレドカードレドカードレド
[00:39:57.560] てるんだ
[00:39:59.010] [音楽]
[00:40:03.000] よのはさすにうわうざいねそれね4連だっ
[00:40:07.960] たうわかるもなんかさやることない
[00:40:11.319] ねんやることないんだもんカスミ
[00:40:14.040] フリーザーデッキ作れたカわゴミみたいな
[00:40:16.680] デッキ作もマジでカスミってよくよく考え
[00:40:19.960] たらカスカスだね呼ぶとしたら
[00:40:25.160] カスカスカスカスじゃねえかよカスだから
[00:40:29.240] 笑笑カスなカスみたいなデッキだなお前
[00:40:32.079] それカスミフリーザーデッキない
[00:40:35.280] 名前ろやることなくないもうあれ新しい
[00:40:39.240] ミッションとか来てくんないとちょっと
[00:40:41.760] あれ
[00:40:42.880] さ石とかしぶりすぎだよね
[00:40:47.280] ちょっと幕かで4気ついても交換走ないて
[00:40:51.440] さはしないあれって自己紹介カードだった
[00:40:54.680] のク引くだけの前にパックを引くだけの
[00:40:58.599] 毎日今
[00:41:00.400] 引こうまだ1パック引いてねえんだよ
[00:41:03.319] な引く
[00:41:06.640] べドラクエをやりながらパックを引く
[00:41:10.280] 日々ドラクエもやりますドラクエもやる
[00:41:12.920] けどパックも
[00:41:15.400] 引くほら
[00:41:17.440] けるもうね俺ねもうリザードンデッキで
[00:41:21.599] めちゃめちゃ勝ってるから俺ちょっと
[00:41:23.520] ピカチュウデッキ作りてんだよピカデッキ
[00:41:28.080] [音楽]
[00:41:29.920] まあでも配信でやっても良いかもしれない
[00:41:32.480] ねこれ映したくねえ
[00:41:36.100] [音楽]
[00:41:41.480] わる俺もてやめた
[00:41:45.450] [音楽]
[00:41:47.640] わ見えレブゼガ
[00:41:58.130] [音楽]
[00:42:01.720] いやこれ配信でやりたくないスマホ配信で
[00:42:04.000] 映したくない
[00:42:05.280] わ女からのLINEが映っちまうからよ女
[00:42:09.200] からのLINEが映っちめえから診断来て
[00:42:11.720] もすぐ飽き
[00:42:13.599] そうあ本当だチャピのチャピのゲット
[00:42:17.400] チャレンジにさファイアEX来てるわ
[00:42:21.000] みんな引いた方がいいよお母さんからのL
[00:42:24.839] てからえな笑
[00:42:27.400] 映したくないよDMMからのDMMからの
[00:42:31.000] いや俺Fire欲しくない
[00:42:36.160] ねんうにもいるわうにとしょあうにと
[00:42:40.319] ランディいるけど
[00:42:42.359] しょぼいべえ
[00:42:44.300] [音楽]
[00:42:50.960] なえな全然いいのいないんだ
[00:42:54.520] けど全然いいのいないお前ゴミみてな
[00:42:58.119] パックばっかおめえらゴミみてなパック
[00:43:01.079] ばっかていてんなな最近ちゃれ
[00:43:06.319] もれしょっぱすぎだよねこれ
[00:43:09.240] ねどうしようもねお前どうしようもねバ
[00:43:14.720] きっプレーヤーランクプレヤーランク
[00:43:17.800] レベルレベル22ぐらいかな今
[00:43:22.839] 23
[00:43:24.599] ああれしようこれにしよう欲しいから
[00:43:28.800] スタミ欲しいから
[00:43:32.319] やろスタミ欲しい
[00:43:39.350] [音楽]
[00:43:43.280] ね
[00:43:45.920] おおおスタミ引いた真っ白で何も見えねえ
[00:43:49.640] けど
[00:43:51.760] 真っ白やったぜやったぜっラッキ
[00:44:00.559] やっとありがとう送んないから年の俺も
[00:44:05.800] ありがとう送らないからミすぎるゴミ
[00:44:09.680] すぎるうう送ります送りますけどね送った
[00:44:12.720] けどね送ったけどだだ俺自分が負けた試合
[00:44:16.160] はありがとう送らない
[00:44:18.240] からあもうゴミだわ俺に勝つやに
[00:44:22.280] ありがとう言うわけねえだろ
[00:44:24.230] [音楽]
[00:44:27.559] じゃんでもさポケモンてカー1種類
[00:44:30.730] [音楽]
[00:44:32.040] に枚2枚2枚デッキ作んのに2枚は絶対
[00:44:36.359] 必要なんだよこ強いカードでデッキ作ろう
[00:44:39.720] とする
[00:44:41.000] とマ2枚ないと回んない
[00:44:44.930] [音楽]
[00:45:00.000] まもうちょっとでもポケポケ早く診断来
[00:45:03.160] ねえかなもう最近もうなんかさ
[00:45:07.119] お最近もう全然さパックも向いてないのよ
[00:45:10.640] あの砂時計で砂時計200ぐらいたまり
[00:45:13.280] そうだわ診断来るまで20連来るかもな
[00:45:16.760] できるかも
[00:45:18.760] なんか裏じゃなかったあれこれんだっけ
[00:45:21.800] これ10連してやだよやこ今のやでして
[00:45:27.640] 来週との噂
[00:45:30.800] う来週来るの死
[00:45:35.310] [音楽]
[00:45:37.319] だ診断来るんだったらちょっと熱いかたッ
[00:45:41.359] パック出る
[00:45:43.440] よ別に
[00:45:45.520] ゴッドないねんも別に欲しいカード別に
[00:45:49.599] 今や10引かんやろ普通
[00:45:52.960] にもったいねえ今これこのタイミングで
[00:45:55.760] 引くの
[00:45:57.830] [音楽]
[00:46:05.160] カキンカーキンするカーキンあ第一の鎧
[00:46:08.559] だってこれ強いんじゃ
[00:46:10.920] ないレアドロップじゃないの
[00:46:13.640] [音楽]
[00:46:15.839] これお大地のある
[00:46:18.570] [音楽]
[00:46:22.119] じゃんあいいやんあまあまあんま強くねえ
[00:46:25.720] の
[00:46:28.240] これ何これ
[00:46:36.240] [音楽]
[00:46:46.040] どこあこっち
[00:46:49.160] か長いな
[00:46:53.319] ここ
[00:46:55.839] 行けレベル上がんねえか
[00:46:58.290] [音楽]
[00:47:08.599] なお今日はドラクエがそうだよ今日は
[00:47:14.000] ドラクエドラクエマ君こんばんはあのねも
[00:47:18.240] 何やるかわかんなれおおおおおえ
[00:47:24.960] 何あれ回復じゃ
[00:47:29.319] まとりあえずゾマ前まではやってもいいか
[00:47:32.920] なって思っ
[00:47:35.559] て
[00:47:38.680] 暗いこれさ実際クリアゴってさどんくらい
[00:47:43.680] 追加要素あんの
[00:47:46.980] [音楽]
[00:47:57.160] まあまあまあ橋本こんばんはおりみさん
[00:48:04.040] こんばんは
[00:48:05.760] うん俺のペースで言ったらなんえ入り口
[00:48:09.599] まで移動じゃねえぞ追加がクソだと思い
[00:48:12.599] ましたえ
[00:48:16.559] マジねえこれ
[00:48:19.079] さ入り口まで移動したらまたここに戻って
[00:48:21.920] これるレベル上げとか配信に全部乗せると
[00:48:24.559] したら30時間ぐらい必要かあそういや
[00:48:28.240] 何かしら追加あるじゃじゃい来れるあ
[00:48:32.079] じゃあ
[00:48:37.440] いいだるすぎてサイト見ちゃったえだるい
[00:48:41.079] 系な
[00:48:43.880] のだるい系なの1回回復しようぜ一ちょ
[00:48:49.599] 回復しようぜ
[00:48:56.420] [音楽]
[00:48:59.720] ルーラでええもん
[00:49:03.680] などこでもいいんだけど回復できる
[00:49:07.359] ど植たワニバーグ行く
[00:49:10.119] 植えたワニバーグ今は楽し今まいやあの
[00:49:16.359] ゾマより後ろを配信でやろうかなどう
[00:49:19.640] しようかなて思ってる正直
[00:49:26.920] なったなこの街もだるいって気持ちわかり
[00:49:29.119] ますねそうなん
[00:49:30.860] [音楽]
[00:49:32.160] だえでもあれ
[00:49:36.240] でしょ神龍とかいるわけでしょ多分神龍と
[00:49:40.400] か
[00:49:41.319] ひひグランドラゴン追加のせいで評価馬
[00:49:45.119] 下がったわえそんな神龍いるおいるでしょ
[00:49:50.160] そこら辺はやりたいよ
[00:49:52.359] ねグランドラゴンはグランドラゴン
[00:49:57.480] ゲームボーイ版
[00:49:59.000] のか強え武器ねえなあるやん炎の爪あるや
[00:50:03.599] ん
[00:50:04.880] アハ兄浜が炎の爪行けんじゃんこ買おう
[00:50:08.920] よどうぜどうぜ金あん
[00:50:12.640] だ金だけは
[00:50:15.319] ある
[00:50:17.799] スミスみかの盾強い
[00:50:21.820] [音楽]
[00:50:23.640] や金だけは
[00:50:27.440] 金しか
[00:50:29.599] ない寂しい大人になってしまいまし
[00:50:39.520] た色々言われてますが俺は楽しみたよお金
[00:50:43.960] ぼあ本ドラゴンキラーも買おう
[00:50:48.460] [音楽]
[00:50:49.880] じゃんまあ前評判よりも自分でやってみて
[00:50:54.000] どう思うかだよなやってみようか
[00:50:55.760] とりあえずな
[00:50:58.520] そっかもうでもそ配信してないみんなは
[00:51:00.760] もう結構もうもうこれ過去のゲームぐらい
[00:51:03.520] の勢いだよ
[00:51:04.720] ねあ強いえめっちゃ強いやんドラゴンメル
[00:51:08.839] にしようえ第1の鎧で喜んでたの
[00:51:11.890] [音楽]
[00:51:14.160] に第一参照
[00:51:16.810] [音楽]
[00:51:26.720] のこと金使ってこもの毛受ける何が
[00:51:34.680] よよしまだ5万円あるこんだけ使っても
[00:51:38.319] まだジャブ
[00:51:40.470] [音楽]
[00:51:46.280] 漬け第一章歌った歌ってない歌ってる
[00:51:51.160] クラスあったけどね俺は俺だ俺は青下だっ
[00:51:54.799] て青崎
[00:51:57.400] えぞ春
[00:52:01.240] に冬の木
[00:52:07.040] がらる刀の上刀の上刀の上
[00:52:17.079] で青い影が青い影が青い影がの
[00:52:30.230] [音楽]
[00:52:31.640] る耳毛耳かすかに
[00:52:37.440] 震え石爆
[00:52:41.000] の祈りにだったわいやあの錆びますねげで
[00:52:47.319] あ胸毛も終わりますああ
[00:52:50.880] えあれもうああいるゲかかにお
[00:52:57.880] いるおる
[00:53:00.200] でおるや
[00:53:04.040] ん座ってる姿が俺と一緒だね電車座ってる
[00:53:07.799] 時の俺と一緒ちょっとちょっと周りに周り
[00:53:11.079] にちょっと行けるちょっと周りにこうやっ
[00:53:13.680] て気使ってこうこうやって俺や面にちゃが
[00:53:17.280] いる笑笑俺と一緒やんこの膝に手を置くこ
[00:53:23.440] やってちゃんそっくり
[00:53:26.480] 方が座り方そっくりや
[00:53:30.680] んなんか俺に似てないなんかもう洋服も
[00:53:34.480] そっくりだし俺バラモスだったんかな
[00:53:38.079] パーカーの色も同じ同じや笑どうもこん
[00:53:42.200] どうもこんにち笑笑もしかしてついにここ
[00:53:45.400] まで来た
[00:53:46.880] かあ王バラもこれ誰の声だなとあれこれ誰
[00:53:52.720] の声のど前の者たじゃななんでなんかの
[00:53:56.960] ゲームにもいなかったこれここに来たこと
[00:53:59.200] を悔むのよい聞き覚え
[00:54:04.160] ありあのメタルギアソリッド5のさあの顔
[00:54:09.040] ない人じゃないそなたらの腹を尽くして
[00:54:13.559] くれるわってお前のことは知っているぞ
[00:54:18.480] みたいなスカルフェイスあ始まった始まっ
[00:54:22.000] てしまった始まってしまったよまず1回
[00:54:27.599] 命令
[00:54:28.640] させろまあ行くぞま言うてもね
[00:54:35.680] はたはた兄弟
[00:54:39.240] 対決そっくりやネックレス
[00:54:42.319] もめっちゃめっちゃ
[00:54:44.980] [音楽]
[00:54:47.839] 笑笑やばBGMこれかかんの
[00:54:58.380] [音楽]
[00:55:03.400] バガえ何しよっかな主人公何で攻めるべき
[00:55:08.280] なの
[00:55:10.480] これギ
[00:55:13.680] で主人公何で攻めるん
[00:55:19.960] だろう普通に殴った方がいいんか
[00:55:25.319] なあストロンとかでさ殴った方が1回見し
[00:55:29.359] 一応な
[00:55:32.079] メゾンマメゾンマないねんメラゾンもない
[00:55:35.160] の
[00:55:35.880] よけ烈なめおたびいや爆で攻撃力下げよう
[00:55:45.760] かバラモスに負けないよなまさかな
[00:55:59.119] でしょこそこれあのねこれが
[00:56:02.319] ねパッツがすごい忙しくなっちゃうんだよ
[00:56:05.160] ねフバーハとか全部やんなきゃいけない
[00:56:06.720] からな1人でなも絶対フバーハ必要バハこ
[00:56:09.599] はもう絶対必要絶対必要これあイオナズン
[00:56:13.359] ねあくそ
[00:56:16.079] 強えいたあらつえ待ってめちゃめちゃ強く
[00:56:21.280] ないこれを
[00:56:27.680] まダメージ
[00:56:29.839] 入ちょっと入れてえ何それ
[00:56:38.200] う3回行動は魔王の風ちょ
[00:56:44.839] とマズン最悪マズンがあるって思えばまだ
[00:56:49.680] 無茶できるよ
[00:56:52.520] ねえあまりにもバできるキ少なすぎるんだ
[00:56:56.920] よなツジしかいねえから
[00:57:00.960] さマズン入れるいやどうしようか
[00:57:06.590] [音楽]
[00:57:12.079] な魔物なんか弱いな俺
[00:57:15.920] らなんか俺ら弱く
[00:57:19.799] ない攻撃下げて
[00:57:23.000] [音楽]
[00:57:26.440] いやスカラ入れたい
[00:57:27.930] [音楽]
[00:57:29.960] けどいやまあゆ勇者2回殴られたら負け
[00:57:34.480] じゃねえどうしようこれなんかなんか強い
[00:57:39.000] な思ったより負けるとかないですよね
[00:57:43.580] [音楽]
[00:57:46.280] ええまマズ入れてる
[00:57:50.319] からスクールと入れなきゃ
[00:57:53.799] ダメこに私が
[00:57:57.090] [音楽]
[00:58:01.839] 605使うんだぞ
[00:58:04.040] [音楽]
[00:58:06.680] これこれマジックバリアかなんかやりたい
[00:58:10.559] よねこれ
[00:58:11.810] [音楽]
[00:58:16.079] ねマジックバリアかなんかを攻撃力下げて
[00:58:20.240] 下げて下げてよしよしよしよよかったよね
[00:58:24.000] マジックバリアないねの
[00:58:27.520] だ
[00:58:32.000] うーん何で攻め
[00:58:35.400] たらこっちには大勢の視聴者がいるぞ
[00:58:39.319] 頑張れあああんまこんな言い方したくない
[00:58:42.440] んだけどねあんまこんな言い方本当に配信
[00:58:44.520] 者がしちゃいけないんだけどあんま役立た
[00:58:46.119] ないんだよね視聴者って嘘嘘嘘嘘です嘘嘘
[00:58:49.920] 嘘そうそうそんなことないよ大好き愛し
[00:58:52.119] てるよみんなマジックバリアのファイナル
[00:58:54.920] ファンタジーぽひでえあごめんそんなこと
[00:58:59.680] ないや嘘やん冗談
[00:59:04.760] やん冗談
[00:59:08.480] じゃん冗談やないですか笑うところやない
[00:59:12.960] か
[00:59:13.640] いそこ笑うところやないかいそんなん聞き
[00:59:18.039] たないうんそんな聞きたないごめん笑う
[00:59:20.559] ところやないかそんなんです
[00:59:27.079] うわフォローフォローフォローリフローさ
[00:59:30.599] れた
[00:59:31.839] えしたのにリフローされた嘘だって冗談だ
[00:59:38.720] やめて
[00:59:40.440] ねちゃんと怒られてるごめん今のは言い
[00:59:43.280] すぎたわいや受けるかなと思って言いすぎ
[00:59:45.559] たそんなこと思ってないよた笑そんなこと
[00:59:48.039] マジで思ってないからそんなことマジで
[00:59:49.960] 思ってちょっとえごめん
[00:59:54.610] [音楽]
[00:59:59.839] 愛もないいじりだった
[01:00:03.160] ね
[01:00:06.070] [音楽]
[01:00:09.280] ごめんこれれ笑笑冗談ですやん
[01:00:13.960] [音楽]
[01:00:18.400] 笑いなんです私は分かってますよ
[01:00:26.760] 笑えよ
[01:00:32.330] [音楽]
[01:00:35.960] 笑えよリスナーに同じことされてるの
[01:00:40.200] 草ごめん
[01:00:42.740] [音楽]
[01:00:49.559] てこれは
[01:00:55.670] [音楽]
[01:01:01.640] ははあ
[01:01:07.730] [音楽]
[01:01:30.599] 変な空気になったなんか変な空気なっ
[01:01:34.039] ちゃったなんかえ
[01:01:37.280] なんかなんか変な空気になった笑笑
[01:01:42.079] 笑えよ
[01:01:45.319] 笑笑
[01:01:47.640] [音楽]
[01:01:51.640] ごめん強いな
[01:01:55.070] [音楽]
[01:02:01.640] よし
[01:02:07.920] イベントいやいやいやイベント来い
[01:02:12.079] や冗談
[01:02:15.079] じゃんそれで怒るとかちょっとちょっと
[01:02:18.039] そんなそんなんちゃう
[01:02:21.000] わまず入れちゃうかなこれいやどうしよう
[01:02:23.599] かなまず入れるか入れて
[01:02:27.680] や
[01:02:31.400] うあプロさんこんばんは
[01:02:34.260] [音楽]
[01:02:37.760] う女の怒ってないって言ってんじゃんと
[01:02:40.960] 一緒だよ
[01:02:44.480] それ怒ってないって言ってんじゃ怒って
[01:02:47.240] です
[01:02:49.279] ねこれスジがマズ覚えてから来るべきだっ
[01:02:53.160] たかな
[01:02:55.430] [音楽]
[01:03:01.200] やいて
[01:03:03.319] うわうわわわわちょっと
[01:03:06.310] [音楽]
[01:03:21.799] て防御力は上がってん
[01:03:24.760] だろ入れないとしんどいよ
[01:03:28.000] [音楽]
[01:03:31.000] なうんただマジックバリアは入れないと
[01:03:36.680] いけないと思うんですよ
[01:03:38.090] [音楽]
[01:03:39.960] ねフバーハも入れなきゃいけないと思うん
[01:03:42.559] だよねなんともだな
[01:03:45.290] [音楽]
[01:03:51.039] ここ
[01:03:52.920] 弱やべえ危ねえ
[01:03:55.880] ああ
[01:03:57.510] [音楽]
[01:03:58.799] えいおいい
[01:04:02.359] ね混乱いいよ混乱するんだ
[01:04:09.079] こいついやワに変えの早い
[01:04:12.230] [音楽]
[01:04:19.520] な
[01:04:22.920] うーんまだゃないかな
[01:04:26.799] まだなくなんないか
[01:04:29.400] な
[01:04:31.559] うーんこれ
[01:04:36.880] [音楽]
[01:04:39.760] をぱ来るよねズンが強すぎる
[01:04:47.920] なわや
[01:04:56.690] [音楽]
[01:05:04.640] なんか誰かさあれ持ってなかったなんか
[01:05:07.319] 賢者の石みたいな
[01:05:08.690] [音楽]
[01:05:13.880] やつ主人公が弱い
[01:05:16.680] [音楽]
[01:05:17.799] なギガ電入れる30もら使うんかいこれ
[01:05:23.000] 30はちょっとコパ悪い
[01:05:32.070] [音楽]
[01:05:35.799] いやあいや持ってない
[01:05:38.720] かあ持ってないあれ誰か持ってたと思って
[01:05:43.119] 蛍光の服着てる方が勝ったなえどっちや
[01:05:47.319] ねん
[01:05:51.330] [音楽]
[01:06:12.039] 手
[01:06:14.720] ライレイまだこっちのが入るかいやなんか
[01:06:17.920] ちょっと
[01:06:20.160] ダメージあ少ないよね明らかにね
[01:06:26.080] [音楽]
[01:06:42.079] うーなんかパッとしないなこれなんか
[01:06:47.039] うんよし
[01:06:59.520] せ
[01:07:02.960] やばいうううやばい
[01:07:09.510] [音楽]
[01:07:21.119] やばいあ黄色なったぜ
[01:07:27.240] 回復ちょっとパツパツを1人で回復できね
[01:07:31.319] んだなあいつ
[01:07:32.720] な
[01:07:36.799] う入ってくるまあまもう勝つ
[01:07:42.720] わ
[01:07:44.440] えほんまこれさバフがさ見れないのが
[01:07:47.760] ちょっとちょっとすげえやりづらいよな
[01:07:50.279] なんでこれバフ何かかかってるか教えて
[01:07:52.200] くれねんだろマジックバリかかってるかっ
[01:07:53.880] てるこれクール入れとくわかこれどう何が
[01:07:58.000] 勝ってんだこれ
[01:07:59.440] [音楽]
[01:08:01.559] 今れたなんで常に見えるようにしてないか
[01:08:05.839] な
[01:08:10.520] これあやばい
[01:08:12.960] 死ぬ
[01:08:15.140] [音楽]
[01:08:20.159] あねうわあ
[01:08:22.920] マジ危ねえ
[01:08:25.839] いや危な危ない危な
[01:08:30.450] [音楽]
[01:08:37.080] 危ない
[01:08:39.120] おこいつバフがさこの状態でしか見れない
[01:08:42.759] のが
[01:08:44.080] ね防御力とこれ何がかかってんのか全然
[01:08:47.640] わかんねんだよ
[01:08:48.719] なマジックバリアと防御力と
[01:08:52.960] [音楽]
[01:08:59.560] 1回めんどいからまず入れちゃうかこれ
[01:09:01.719] まあめんどくせえからまず1回入れる
[01:09:04.880] わ分かりづれえよねこれ分かりづれえマジ
[01:09:08.000] でドラクエ11と同じシステムで良かった
[01:09:10.920] のにねあれあれすげえ分かりやすかったの
[01:09:13.890] [音楽]
[01:09:21.279] にマジックバリアかかってるよね多分
[01:09:29.040] フバーハてこれかかっ
[01:09:32.799] てるこれ
[01:09:35.069] [音楽]
[01:09:38.560] ならせ
[01:09:42.880] わうわうわうわそれうい
[01:09:46.880] なよしよしよし1回全回復して
[01:09:56.080] [音楽]
[01:10:04.920] し
[01:10:06.199] たら
[01:10:08.040] うわ持ってきてないん
[01:10:12.600] だMP回復するやつなんか持ってきてない
[01:10:15.640] んだ持ってきたと思ったんだけどやばいな
[01:10:18.950] [音楽]
[01:10:25.480] とかでやるしかない
[01:10:29.159] なフバーハやってある
[01:10:32.600] マジクバリアはこれマジックバが強すぎよ
[01:10:36.040] なそうね200ぐらい与えられるからね
[01:10:39.920] マジックバリアってこれかかってるわかん
[01:10:42.159] ないんだよねこれかかってんのかな入れ
[01:10:44.400] とくかこれ
[01:10:45.670] [音楽]
[01:10:50.440] を自動回復でなくなる前に
[01:10:55.160] [音楽]
[01:10:58.640] うわあこれちょっときつくなってきた
[01:11:03.510] [音楽]
[01:11:13.640] ぞいやしんどい
[01:11:16.250] [音楽]
[01:11:17.600] なMPが回復すんの持ってきてなかった
[01:11:21.920] なんも
[01:11:26.040] あこれさマヌーサをさ解除してあげるのっ
[01:11:29.679] てなんかない
[01:11:31.640] のない
[01:11:36.760] かないよ
[01:11:39.199] ねないないよねそんなそんな技ないっすよ
[01:11:42.360] ね
[01:11:44.100] [音楽]
[01:11:51.239] うん加護
[01:11:59.570] [音楽]
[01:12:03.480] でも強いな
[01:12:06.560] えシラはあかんやろ全然当たん
[01:12:10.830] [音楽]
[01:12:15.679] ねえいやMP回アイテム持たすてくれ
[01:12:21.220] [音楽]
[01:12:25.920] あ行けるかいや行けるかなこれ微妙だ
[01:12:30.520] なわ魔物呼びできないこれどうしよう
[01:12:36.200] [音楽]
[01:12:39.440] 食ったもっとちゃんと用意しとくべきだっ
[01:12:45.840] た俺攻撃じゃしんどい
[01:12:52.719] やろせめてキルとか
[01:12:55.679] けど
[01:12:59.260] [音楽]
[01:13:01.159] させそれ待ててくんねえと
[01:13:09.000] よこれ
[01:13:10.410] [音楽]
[01:13:14.159] だいええバイキルドで
[01:13:21.560] 20これはまずいな
[01:13:28.280] これはもうちょっと
[01:13:30.820] [音楽]
[01:13:35.000] これうわどうどうするかなこれいや参っ
[01:13:43.080] た参りましたね
[01:13:47.810] [音楽]
[01:14:07.320] ライレイパンだ
[01:14:10.460] [音楽]
[01:14:14.080] ようわ弱いどうしようこれいや勝てるのか
[01:14:21.620] [音楽]
[01:14:33.199] 勝てるよ勝てる
[01:14:36.030] [音楽]
[01:14:53.080] 弱弱いよ
[01:14:58.679] これもうMPない
[01:15:08.920] ぜいやどうしたもんか
[01:15:15.360] な
[01:15:18.370] [音楽]
[01:15:23.320] ハや
[01:15:25.240] [音楽]
[01:15:32.120] ライレイいやあしんどい
[01:15:37.000] [音楽]
[01:15:42.199] なチモもできなくなうわこれやばい
[01:15:46.320] なこんなに強えんか
[01:15:50.100] [音楽]
[01:16:00.360] おいい
[01:16:02.870] [音楽]
[01:16:06.679] ぞおいい
[01:16:08.560] [音楽]
[01:16:09.920] ねパじゃ兄浜が弱すぎるマジで
[01:16:25.600] これならあんまり意味ないんだよね特技で
[01:16:27.639] さ特技に倍切るとてあんま意味ないんだよ
[01:16:30.320] なほら変わんないんだよ
[01:16:33.679] ねおいい
[01:16:37.920] ねいいぞいいぞずっとずっとやっとけそれ
[01:16:41.000] おいいぞいい
[01:16:44.840] ぞああワに帰っちゃっ
[01:16:47.770] [音楽]
[01:16:52.760] たいやあ
[01:16:55.400] ちょっときついか
[01:16:58.000] もちょっときついかも
[01:17:01.980] [音楽]
[01:17:18.800] なあ
[01:17:20.400] あるあるかこれ
[01:17:25.480] バラ説の
[01:17:29.250] [音楽]
[01:17:49.120] たれもう帰れアハお前
[01:17:54.400] [音楽]
[01:17:59.719] うわこれ勝れへん
[01:18:02.800] な
[01:18:04.080] [音楽]
[01:18:09.560] よし強え何こいつ
[01:18:13.330] [音楽]
[01:18:14.800] え何
[01:18:18.490] [音楽]
[01:18:22.120] 250覚醒
[01:18:26.080] 最初
[01:18:27.280] から最初からそれでよかった
[01:18:32.000] じゃんえ最初から殴らせておけば本当だよ
[01:18:36.360] なこんな強い
[01:18:38.570] [音楽]
[01:18:40.760] の何だったんだよ螺旋撃ちっ
[01:18:44.639] て
[01:18:48.080] [音楽]
[01:18:51.800] っこいやんなんかどいわ今日なんか
[01:18:57.070] [音楽]
[01:19:00.320] うしんどいもう今日今日しんどいわなんか
[01:19:04.440] もぐ
[01:19:08.719] ぐま
[01:19:10.679] 勝てるやったクリアだこれでですね
[01:19:16.510] [音楽]
[01:19:23.719] 諦めいい勝負や
[01:19:26.679] んなんか今更ながらこのパーティーくそ
[01:19:29.719] 弱い気がしてきた鳥が
[01:19:33.159] よこのパーティーくそ弱い気がしてき
[01:19:37.639] た全くおめでとう
[01:19:44.600] どこからともなく声が聞こえる私の声える
[01:19:48.560] か聞こえますねそあなたたちは本当によく
[01:19:53.400] 頑張りましたよく頑張ったお帰りなさい
[01:19:57.920] お前の頑張りをずっと見ていた待っている
[01:20:00.239] 人々のとこへずっと見ていたぞずっと見て
[01:20:05.239] いたぞずっと見ていた
[01:20:09.320] ぞ卒が取れてる
[01:20:13.760] な卒が取れたコメントなんだ
[01:20:18.199] な鍛えられてる花火の位置引く花火の位置
[01:20:23.840] 引くイカするで家
[01:20:31.760] におおチマが帰ってきたぞ勇者だ勇者が
[01:20:35.880] 魔王バラモスを倒して帰ってきたわい
[01:20:41.320] わいこれでやっと平和がやってくるんじゃ
[01:20:44.719] の
[01:20:46.520] 凱旋オーデオフってもっともっともっと
[01:20:50.639] 盛り上がらんかい完全勝利ドラゴン
[01:20:53.120] クエスト3巻
[01:20:55.280] もっと盛り上がらんか
[01:20:57.560] いこれからお城で魔王を倒したお祝いのが
[01:21:00.960] 開かれるんですってあなたのお母さんとお
[01:21:02.920] じいさんも少されたそう
[01:21:06.520] よさ天だからこの村から出るとどうなん俺
[01:21:10.639] じなん
[01:21:13.320] だどうなん
[01:21:16.040] のお勇者どこに行かれるんですかささ王様
[01:21:19.440] がお待ちですぞ
[01:21:26.360] なんやそのいい逃げ
[01:21:31.880] やめろまたお前
[01:21:34.000] [音楽]
[01:21:37.280] パパ
[01:21:40.800] カレイド出たカレイド
[01:21:44.560] やこも今日じゃないもど18でやらせて
[01:21:49.560] くれよ今日
[01:21:51.560] はんだよ今日はど18でありがとうござい
[01:21:55.239] ますドラクエ11ありがとうござい
[01:21:58.679] ます何がドラクエ11ありがとごう
[01:22:01.320] ドラクエ3やでこれ
[01:22:07.679] 何って
[01:22:10.239] こなんか
[01:22:13.480] いっぱい頑催
[01:22:21.660] [音楽]
[01:22:24.840] こんばんは松太郎さんこんばんキング
[01:22:30.760] さんめね嫁さんざどうもゲームです倒して
[01:22:37.440] ただからちゃお疲れねあのあけあれあれゾ
[01:22:41.560] 前までやっちゃおうかなと思ってちょうど
[01:22:44.239] さイベント今週今週末よろしくなんなそれ
[01:22:48.600] までさできねえから
[01:22:50.239] さまで行っとこかなって
[01:22:55.639] ジゲームと申しますも今日だめなんか今日
[01:22:58.120] ダメ今日もう左ですもう今日今日ダメなん
[01:23:01.800] だねよろしくね今日エンジンかからんて
[01:23:04.600] うんもう
[01:23:06.360] なんか100人も見る配信ちゃうねん今日
[01:23:09.360] は
[01:23:10.000] ないつもは世界一面白いんだけどね今日
[01:23:15.360] だめエンジかからんねん今日なんかお帰り
[01:23:19.280] なさいすいのにねいつもは世界一面白いよ
[01:23:23.480] いつもはあ泣いてる泣いとるママ今のお前
[01:23:28.560] の姿を父さんに見せたかった
[01:23:32.360] わ僕のお父さん警察に捕まったんですけど
[01:23:36.440] ね重い重い重い重いお前
[01:23:44.480] ね
[01:23:46.280] なおはわ
[01:23:50.159] ののお父さん4万の勝手に俺のお母さんの
[01:23:55.560] ことをあの何あの保証金にして離婚して
[01:23:59.920] 逃げてで別にとこで作った女の人のこと
[01:24:03.520] 殴って殴って懲役行って出てきてなんか
[01:24:07.880] 昨年死んだていう笑笑昨年死んだって手紙
[01:24:11.639] が来
[01:24:12.800] た大阪の役所から
[01:24:18.199] 笑えよ喜んで
[01:24:20.360] お会場ええ重いわ
[01:24:24.960] 笑えよその
[01:24:27.190] [音楽]
[01:24:30.840] 名松勇者
[01:24:33.719] よくぞ魔王ラモスを打ち倒した
[01:24:38.240] [音楽]
[01:24:40.199] あの
[01:24:42.320] 題生活保護不正受生活保護を不正受給して
[01:24:47.719] たらしくて3年間にえてた
[01:24:57.540] [音楽]
[01:24:58.920] さすがあのオルテガのこののものが育を
[01:25:03.840] 称えるであろうさあ皆の
[01:25:08.600] ものの疑
[01:25:10.730] [音楽]
