[00:00:04.839] おはちゃま
[00:42:01.000] に連れてくれるって私が気そうなもの
[00:42:02.520] 見つけたんださすぐ満足なったけど1人
[00:42:04.400] ぐりの時代を遅れのおっさんって感じあ
[00:42:06.400] これで連れてきてくれたんだムービー
[00:42:08.119] ナイトでキャットがトに座ってきた肘が何
[00:42:10.359] 度もぶつかってけどあれとわざとかな気の
[00:42:11.800] せいかもしれないけど多分気のせいだよね
[00:42:13.359] ディーナが誕生日に王冠を作ってちょっと
[00:42:16.160] 読めないかなり気に入ってるやっぱ
[00:42:18.960] ディーナのこと好きなんだ
[00:42:20.839] なディーナのこと好きなんだなちょっと
[00:42:23.319] ごめん一瞬ごめん画面途切れるよ一瞬ちょ
[00:42:25.720] こっちに映すわ画面ちょっとます忘れてた
[00:42:28.559] こっち映さない
[00:42:32.680] といえ何このなんかこのちょっとしんどい
[00:42:37.520] からさちょっともうえ
[00:42:47.160] てすごいやん
[00:42:50.200] これ
[00:42:53.520] ジョエル妖怪ウちがスタンバイし始めまし
[00:42:56.800] た
[00:43:17.040] ワイオミング自然子博物館
[00:43:19.920] かどうやって見つけた
[00:43:22.559] のいい時間だったマリアが教えてくれた
[00:43:27.520] お前が気にいると思ってな気に入ったここ
[00:43:31.240] はあれいない
[00:43:32.640] の何これ
[00:43:35.319] うーん本
[00:43:37.599] だ恐竜の本だよそう
[00:43:41.920] かなり
[00:43:45.720] 悪るそう
[00:43:47.520] かやっぱあの冒険の後やっぱめちゃめちゃ
[00:43:50.559] 仲良くなってんだ
[00:43:53.319] な絶対なんかあると思ったこれカブり
[00:43:55.960] イベントあると思った
[00:43:58.400] 最高被ってみてやだねふつまんない
[00:44:05.040] の可愛い
[00:44:07.880] じゃんあ嬉しそうな顔楽しそうな顔し
[00:44:12.319] てる楽しそうな顔し
[00:44:19.839] てら
[00:44:22.720] うわあ幸せな時間だなあ
[00:44:27.680] すごこの爪見てよそいつはベロキラプトル
[00:44:31.520] だな残念この子
[00:44:35.720] は
[00:44:38.280] ディノニクスそいつはベロキラプトルの
[00:44:41.040] どっちでもええ
[00:44:43.160] わ昔俺も好きだったなそう呼ばれて
[00:44:49.520] たあのディノニクスはあここに羽が
[00:44:53.160] ちょっと残ってる恐竜ねあのももったやつ
[00:44:56.559] ね
[00:44:57.720] あのし長から進化したやつです僕
[00:45:02.359] 詳しい昔好きだったんよね恐竜子供の頃
[00:45:06.800] 結構詳しいよ詳し
[00:45:09.880] すぎに詳しかったあちょっとここにあの羽
[00:45:14.599] がそうそうし町から進化したやつね好き
[00:45:18.359] だったんだよめちゃくちゃ恐竜が子供の
[00:45:23.359] 頃何このません竜はせ
[00:45:27.559] くそ可いこいつらああ待ってちょうど1匹
[00:45:30.960] 来ました好きだね話だよそうだ
[00:45:36.400] ね笑えるのにノシの年寄りだからてジョ
[00:45:41.119] 分かってるよ結構詳しいっす
[00:45:45.000] よディノニクスとか俺もまでも好きだった
[00:45:48.280] ね1番好きなの何かななんだったか
[00:45:51.280] トリケラトプスかなでもやっぱ1番は
[00:45:52.960] なんかね当時絵本があったんだよなんか
[00:45:55.559] トリケラトプスのの絵本があってそれ好き
[00:45:58.559] だったんだよなマジで昇格2年生の
[00:46:02.480] 頃コンプなお白ねちっちゃいやつ
[00:46:06.720] ちっちゃいくにでかそうな名前図鑑見てた
[00:46:09.319] なああ図鑑もあったよな20年前ああ俺の
[00:46:14.680] 一番好きなのいるじゃねえかそれも映画で
[00:46:16.440] 見た可くて好きなあそうそうラプトル別の
[00:46:20.000] 映画だ続編ってやつだな出来は
[00:46:25.920] 劣るそれえその何その自虐みたいなおい
[00:46:29.359] そのラストオブアスパート2に対する自虐
[00:46:32.559] みたいなことそんなことねえよ
[00:46:34.280] なおおやっぱかっけな今見てもかっこいい
[00:46:39.400] わこいつが1番強えだろ生物として
[00:46:42.319] めちゃめちゃ強えから
[00:46:43.760] な完璧だろ動く要塞だ
[00:46:47.680] ぞ
[00:46:50.960] トリケラトプスジュエル見て恐竜に帽子を
[00:46:55.599] 被せそうなの
[00:46:57.480] ハットサルがいんだもなやっぱのパラフだ
[00:47:02.280] これ
[00:47:16.520] [音楽]
[00:47:21.800] パラサゴンてこれバチ
[00:47:27.119] あブラキオサウルスねあブラキオサウルス
[00:47:29.520] ねステゴサウルスうんこいつも知ってるぞ
[00:47:37.880] パラサナこれ1と2の間の話そう3年前
[00:47:42.200] っていうん感じパキフェロなんちゃら
[00:47:47.520] ガリミムスは取りもきって意味なんだっ
[00:47:52.000] て誰が名付けたの科学者だこてセンスゼロ
[00:47:59.119] モンスターハンターかなこれこれ
[00:48:00.800] モンスターハンターじゃないこれいたよな
[00:48:02.960] こんなのクソうぜえやつホーミング生肉
[00:48:08.160] じゃんあこいつもそうだ
[00:48:11.880] ようわこれ鳥みたいま実際個生物学者も鳥
[00:48:17.920] は恐竜の子孫だって言ってるしなふジョエ
[00:48:22.280] ルって意外と物知りなんだこれでも勉強し
[00:48:26.160] たんだね
[00:48:27.480] 映画見てイグの行く
[00:48:32.920] ぞティラノサウルスの頭のかえぐくね
[00:48:36.480] モンハン買うのこのうどうしようかなみ
[00:48:40.640] こんばんはリュックえぐこれリュックの
[00:48:42.880] この変なこの猫の悪魔みたいの可いこんな
[00:48:45.160] のが地球にたなんてマンマジでな当時は
[00:48:49.359] あの今の地球よりもね酸素がね今ってあの
[00:48:54.400] の中の酸素の
[00:48:57.960] 昔の待機は30%酸素だったんだってだ
[00:49:01.400] からいろんな生物は体が大きくなれたんだ
[00:49:04.480] よだから今はく
[00:49:08.359] 詳しいのありがとう
[00:49:11.520] あのごきぶりとかトンボとかも30cm
[00:49:14.880] ぐらいあったんだよ
[00:49:17.000] な今巨大生物があんまいないのって酸素度
[00:49:20.319] が薄いからなんでの博物術連れていか
[00:49:25.040] ゲがいも空気いっぱいからつ動画中毒です
[00:49:29.839] ねバかつ動画中毒じゃね俺がマジで子供の
[00:49:32.640] 頃勉強したんだって年が滅て植物になっ
[00:49:36.319] たら巨大生物がまた植物がだから増えたら
[00:49:39.599] もしかしたらちょっとでかくなってくん
[00:49:41.520] ですそ何万年とかかけてだろうけどねうお
[00:49:45.000] 疲れさんお
[00:49:47.000] 疲れくそでかいムとのこと知ってたうん
[00:49:51.000] うん気にらなかったかならまだからAMと
[00:49:55.280] かさ
[00:49:57.079] ソでといるじゃん多分酸素度が高いん
[00:49:59.920] だろう
[00:50:01.880] ねねえジョエル惑星の名前
[00:50:07.480] 言える水地目点
[00:50:12.040] 名あのさ突然どうしちゃっ
[00:50:15.480] た
[00:50:17.160] は金は金星血
[00:50:20.880] はこれ英語でなんて言ってんのなるほど
[00:50:23.839] 英語でもさ英語でんってる気になるねスキ
[00:50:28.079] 近目どて解明なんてさ日本語のあれじゃん
[00:50:32.240] これ英語でなんて言ってんだろ確かにね
[00:50:35.280] あんのか
[00:50:38.480] な何こさちょっとでもジョエルのこと
[00:50:41.480] 思い出すからやめてくれよ
[00:50:44.880] これAmazonとかで住んでる原住民は
[00:50:48.119] 身長あんま高くないよねああま確かにあ
[00:50:52.400] いたんこんばんはごめんこれワイプ大きく
[00:50:55.920] する
[00:50:59.319] 最近近目って言ってんのこれ英語でクソ
[00:51:03.040] もれだろそれどしたらそこだけ見てえ
[00:51:12.040] わワイプ大きくえやろこのゲームやってる
[00:51:14.920] 時
[00:51:21.119] はこれ
[00:51:23.280] 何月面探査機
[00:51:30.720] 最高もよしハンドルはどこだローバーは
[00:51:34.359] ハンドルじゃなくて操縦感な
[00:51:40.359] の待てよあ宇宙オタだから本物か本物は月
[00:51:45.960] に置いてきちゃったから偽物そっかそっか
[00:51:48.520] 宇宙オタクだからなこの子な詳しいね
[00:51:59.440] ノーティドッグのことだからこの後
[00:52:01.240] とんでもねえエグいシーン来るぞ
[00:52:03.960] 多分アと鞭だからこのゲーム
[00:52:16.319] うわおいおいちょっと待て宇宙に行くなら
[00:52:21.319] ヘルメットがいるだろ
[00:52:23.680] ああそっかそりゃそうだよね何こいつら
[00:52:27.319] クソ可愛いんだけどえー
[00:52:33.559] ちょっとかっこ
[00:52:37.119] いいかわいいこれ何の匂いがする
[00:52:42.160] 宇宙どほりもう家族
[00:52:45.200] うかよもう親子なんだ
[00:52:48.480] よ血の繋がりなんて関係ねえから
[00:52:52.520] ぞお父さんじゃん
[00:52:57.799] この後どうせとんでもねえ絶望を味わわせ
[00:53:00.440] てくるんだよこのゲーム俺知ってんだ
[00:53:02.559] どうせこの後とんでもねえ地獄を見せて
[00:53:04.559] くるん
[00:53:06.880] だろうわすご
[00:53:10.280] すごいおっとお前も被っ出してくれ
[00:53:19.880] よしうわあこりゃすごいなボタンだらけだ
[00:53:24.400] ぞ超かっこいいこうの好きなんだな
[00:53:28.960] すっっごいだって想像してみてよ
[00:53:34.160] 可愛いめっちゃ可愛い
[00:53:38.119] よ誕生日おめでとうえ何え何それずっと胸
[00:53:43.119] ポケット入れてたよねなんかこれはな
[00:53:45.440] かなり苦労して見つけたんだぞなんだよ
[00:53:51.400] それもう
[00:53:54.119] ちょっと逆にいから入れよ
[00:53:58.200] タバコ逆に辛いから妖怪ぼっちにしようか
[00:54:01.760] ななんか逆に辛いわこんな英語版のとあ後
[00:54:06.799] で見る
[00:54:07.720] わ妖怪ぼっちやろっ
[00:54:11.640] か気にいるはずだ
[00:54:14.720] 何分かっ
[00:54:17.920] たどうするヘビーメタ流れたびくりしたお
[00:54:22.680] たつやんちょっと待ってタレドありがとう
[00:54:27.079] はなるほどねありがとレありがとうお疲れ
[00:54:34.160] ちゃんえラスえぐいこれつもやった方が
[00:54:37.920] いいよこれ見ない方が
[00:54:40.400] いいえぐいなんだらすよスタジオの時貸す
[00:54:47.480] わお
[00:54:49.690] [音楽]
[00:54:58.200] オオラナ2とか2度とや
[00:55:01.680] なあ持ってるんだぜひやってくれクソ無え
[00:55:05.160] よマジでマジで
[00:55:07.119] 面白いレドありがとうねお疲れ
[00:55:11.040] じんバカおもしれえマジ
[00:55:14.920] でみんなたつのことフォローしてなみんな
[00:55:18.520] うちのこのあのイベントのねギタリスト超
[00:55:22.880] 天才ギタリストだからフォローしてね
[00:55:25.640] よろしく
[00:55:35.200] いつもスタジオでじュちゃんに怒ってます
[00:55:38.319] じちゃんが全然引けない
[00:55:42.920] から
[00:55:45.720] 笑笑笑
[00:55:48.160] ダブったビブレ
[00:55:52.940] [笑い]
[00:55:57.319] そら良かった怒ってないよ怒ってない
[00:56:01.160] 優しく教えてるよ
[00:56:06.680] ねそれじゃ
[00:56:08.530] [笑い]
[00:56:11.400] のそういうことです行こ
[00:56:14.520] かじちゃんもじちゃん結構座ってるからな
[00:56:18.000] けで来るから
[00:56:19.880] ねめちゃめちゃうまいならまだしも
[00:56:24.430] [音楽]
[00:56:29.720] キ座り
[00:56:35.799] すぎ悪やったねあピンバッチ
[00:56:40.599] ピンズ笑笑あンちゃんこんばんはピンズ
[00:56:45.559] てるか笑笑中学のまでもまなんとかなっ
[00:56:50.319] てるからなんとかなってる
[00:56:53.559] から回転って何あえるかんL書いてあこう
[00:56:57.799] いうこと
[00:56:59.680] か
[00:57:02.480] うえこの子宇宙オタだからなあけるん
[00:57:10.240] だおついたいい
[00:57:14.280] ねいいねいいね
[00:57:34.720] どうするこれ開けてゾンビめっちゃ出てき
[00:57:39.760] たら指気をつけて
[00:57:46.920] ねあっちにもなんかあるよあの建物には
[00:57:51.000] 行ったことないなじゃあ行こう行くのは
[00:57:54.559] いいがどうやって
[00:58:01.760] 泳い
[00:58:04.640] [音楽]
[00:58:06.039] でく行けると思わんかった科会の英語音声
[00:58:10.400] 探してみたんだけどピザがんとそうやって
[00:58:13.760] みんなを困らせてるのかごめん早く来てよ
[00:58:17.240] ピザがなんとかあるんだやっぱ誰の誕生日
[00:58:20.359] だっけおいそれずるい
[00:58:23.960] ぞこれほら綺麗だ
[00:58:27.640] な映像えぐいよ
[00:58:32.319] ねでっかい水しぶき立ててよまだまだ探検
[00:58:36.799] したりない
[00:58:38.760] でしょ来い来い来い
[00:58:44.359] おいい
[00:58:50.400] ねちょっと待って微笑ましすぎるだろこれ
[00:58:54.559] なあジョエルねえ
[00:58:56.960] これで運んで懐かしいじゃんお前もそんな
[00:59:01.119] 年じゃない
[00:59:03.440] だろこれだこれなワンの時によく乗ってた
[00:59:06.640] やつだよこれ
[00:59:11.240] なあもンジョエル
[00:59:14.400] ありがとうジョエル
[00:59:17.039] も
[00:59:18.720] 動かないおじん
[00:59:28.079] 何何探してんの
[00:59:33.839] アリンコここ
[00:59:42.839] 行くアスとめね持ち上げてよファースト
[00:59:46.920] タイ本気かドア開けてくるから今更ビビっ
[00:59:51.960] てんの
[00:59:57.760] まさかまさかゾンビいねえよな感染者い
[01:00:01.520] ねえよな世界中で人気なんだねどう
[01:00:04.960] でしょうこんな
[01:00:07.280] もんまさか感染者いたりしねえよなお土産
[01:00:11.720] 屋さん
[01:00:15.799] だこれ開けらんねえや残念なお知らせ
[01:00:19.440] でっかいふが入り口塞いでるそうかなら他
[01:00:24.359] の入り口がないか探してみろ外から回って
[01:00:27.240] そっちに行くよ気をつけてねお前もな恐竜
[01:00:32.680] だらけだ
[01:00:34.520] し自然士
[01:00:41.720] センター北米の動物
[01:00:45.720] たちまさかか
[01:00:49.559] おおアイ
[01:00:51.960] キルドなんて言うのこれファフゼムイキル
[01:00:56.920] forthem全員殺してやるみたいな
[01:00:58.760] こと俺が殺してやっ
[01:01:04.319] た相当溜まってる
[01:01:10.039] ね真っ暗
[01:01:12.920] だやな予感してきたなゲートにいた4人の
[01:01:16.280] 兵士最後のやつは泣きわめいてた
[01:01:29.559] ヘラジカか
[01:01:36.000] なおなんか落としたよやあもうもうええよ
[01:01:41.440] この幸せな時間奪わないでこれ拷問した女
[01:01:45.440] 自分の血で喉を詰まらせて死にやがっ
[01:01:52.319] たちゃんと
[01:01:56.480] ちゃんとさっさと出てきな聞き耳も取れ
[01:01:59.240] ますあんのかよなんだよ幸せなまま終わら
[01:02:03.319] せてくれよ爆発に巻き込まれたことも止め
[01:02:06.640] られなかっ
[01:02:09.839] たましかもなんかアイテム落ちてるし
[01:02:13.960] 結構やに忍び込んた流れ者食べ物欲しかっ
[01:02:16.960] ただけ
[01:02:20.920] だやだよせっかくの幸せななの
[01:02:31.559] バンにいたやつらバンに閉じ込めて
[01:02:33.119] ガソリンを浴びさせやっ
[01:02:41.359] たいやいる
[01:02:45.200] 絶対光なんてどこにも
[01:02:53.799] ない苦しみを終わらせたか俺たちは人間性
[01:02:56.920] を取り戻したかったんだ誰かが犠牲になる
[01:02:58.880] ために必ず報われると指導者たちは言った
[01:03:01.119] そして俺たちは解散したあれだけの罪を
[01:03:02.760] 犯し何も成し遂げずにここに来ればただ
[01:03:05.079] また心に火がつくと思ってた目的を見る
[01:03:08.119] ことができる見つけることができるって俺
[01:03:10.359] の親はよく俺をここに連れてきた感染症ん
[01:03:13.079] 感染発生前の1番古い思い出の1つだそう
[01:03:15.720] 人々が虐殺残虐になる前の思い出は俺たち
[01:03:19.200] 俺の怒りを募らせただけだったこんな世界
[01:03:21.760] はもう痛くない自分今の自分をまっすぐ
[01:03:23.799] 見つめることすらできない
[01:03:30.640] あら銃が落ちてる自殺したのか
[01:03:37.760] ないやいるだろうな多分
[01:03:41.880] なもうちょっとやめておもうちょやめろや
[01:03:45.000] 脅かすなってな本当だ
[01:03:52.000] よ
[01:03:53.799] うわ何
[01:03:56.279] はあびっくりしたもうなんだよビビった
[01:04:01.200] なんだよ今
[01:04:02.490] [音楽]
[01:04:05.039] の
[01:04:06.680] えこちょっとさいきなり系はやめようぜ
[01:04:11.799] 嘘つき何かや
[01:04:16.039] ねエリ
[01:04:20.880] ここ音がでかいいち
[01:04:26.000] おい今の
[01:04:27.799] はただの
[01:04:33.000] 動物あファイア
[01:04:39.640] フライもうそろそろ行くぞ暗くなる前に火
[01:04:43.240] を起こさない
[01:04:45.079] といるよねうちの近くにもいるよほら
[01:04:53.800] [音楽]
[01:05:08.000] シアトル2日
[01:05:10.760] 目えまだあれ1日しか経ってなかったって
[01:05:14.400] ことえあれまだ1日しか経ってなかっ
[01:05:17.440] たってことこないだく始めてみたはマジで
[01:05:21.680] 野生のやばすぎる
[01:05:24.240] やろめちゃ出
[01:05:27.160] た
[01:05:28.760] こっぱえ今までまだ1日だったってこと
[01:05:33.480] シアトルに来てからここまで日マジで
[01:05:39.400] 笑もう3パート目なんだけど濃
[01:05:43.400] すぎる濃すぎるやろ1日がすぎではよく寝
[01:05:47.520] たいや濃すぎ濃
[01:05:49.960] すぎああいつはそういえばそういえば妊婦
[01:05:53.799] はあの妊婦あい止してんだった忘れて
[01:06:03.119] たそういや妊婦いた
[01:06:08.279] などっちだっ
[01:06:17.480] け
[01:06:20.319] あれどこだっけこっち
[01:06:52.880] あれんどうだっけ
[01:06:57.119] ここかここ
[01:07:00.319] か
[01:07:04.640] あ
[01:07:07.160] あれこっから入ってきたん
[01:07:09.880] ねいやいないなくなってるや
[01:07:19.119] んどこ
[01:07:23.000] へサプリメント44個持ってるめっちゃ
[01:07:25.760] 持ってんな強化するか自分のこと久々
[01:07:42.000] に聞き耳の明瞭
[01:07:50.720] さ2階にでも行ったんかな
[01:07:58.640] あいつがいねえ
[01:08:02.799] ようん
[01:08:04.920] お
[01:08:07.520] おいなんか嫌なよがするぞえおい待って何
[01:08:11.880] してんの
[01:08:14.520] お前
[01:08:16.319] え
[01:08:17.839] つり
[01:08:21.000] エレ私まだ行け
[01:08:23.719] てるかなりね
[01:08:28.000] つりだ直せたんだつりってそうやつ書くん
[01:08:31.880] だアテナって繋げ
[01:08:36.080] た学校のことバレたって
[01:08:41.759] そうこいつは
[01:08:44.560] オーン何何脱走し
[01:08:52.040] たってトミーが捕まえたかもああのあれな
[01:08:57.759] 殺したやつがね情報なし名肉に出動を要請
[01:09:02.880] 繰り返し肉への出動を要せ応せよいい数字
[01:09:07.560] は場所を示してるのさっきまでいたテレビ
[01:09:11.600] 局はロックなんか急にこんなこと言われて
[01:09:14.080] も頭入ってこニからの発信が多いからそこ
[01:09:16.600] が拠点って
[01:09:20.279] とこもうお前無理だよ
[01:09:26.880] ここで暮らそう
[01:09:29.239] もう俺たちに冒険は無理だもん
[01:09:34.080] ありがとう
[01:09:37.759] ね夕べ
[01:09:41.040] は
[01:09:42.759] ごめんいい
[01:09:47.440] の14区で者の報告ある出動可能な部隊は
[01:09:51.679] 応答せよこちら1今力はオーバーカはい
[01:09:57.960] ない男の侵入者1名武器を処男の新入者
[01:10:01.920] トミー14話どこああんまり自信はないん
[01:10:07.239] だけどいいから行ってみて
[01:10:10.520] えっとこれが7
[01:10:12.880] でそっちにあるのが12
[01:10:17.199] なら多分この辺じゃないか
[01:10:21.320] なヒルクレスト
[01:10:29.960] オいやおめえ待ってればいいじゃんここで
[01:10:33.600] おい1人で行く
[01:10:39.000] よ
[01:10:40.770] [音楽]
[01:10:42.880] デナかなり
[01:10:47.800] 辛い
[01:10:52.520] ね私が行くうん
[01:10:56.760] 情報集めとい
[01:10:59.960] てそうするおおお素直だ
[01:11:05.280] ね待っ
[01:11:08.920] てなんだ手出し
[01:11:13.960] てお守り
[01:11:16.760] に意味ないっていい
[01:11:21.040] から
[01:11:23.360] えう
[01:11:28.260] [音楽]
[01:11:33.520] お
[01:11:35.040] 守りチした
[01:11:37.090] [音楽]
[01:11:40.239] でエリーの子
[01:11:43.280] かまキスだけで赤ちゃんできるって教わっ
[01:11:46.639] たしな俺も女の子とキスすると赤ちゃんが
[01:11:49.159] できるらしいよヒルクレスト
[01:11:51.960] かここで合ってる
[01:11:56.800] 間違いなさ
[01:11:59.440] そうおい銃声してんじゃねえかよきっとト
[01:12:02.840] だあトミーとここ
[01:12:08.560] でトミーとここで
[01:12:11.960] さ合流できたらでかいよすぐだからなきを
[01:12:17.320] つけろ何
[01:12:19.719] が何がすぐなんだよ
[01:12:32.560] あそっち行く前にここ
[01:12:49.800] でしょこっちが正規ルートか
[01:12:56.880] ぶっちゃけでもアイテムめちゃめちゃある
[01:12:59.239] から
[01:13:01.199] うんまCって言え
[01:13:03.880] ばこれ作るああ何これ
[01:13:07.440] あ近接武器何も持ってないんだ
[01:13:11.760] 俺あ近接武器がないの
[01:13:21.520] かここあれだな
[01:13:26.159] 正規ルートっぽいからまずあっち探索
[01:13:33.880] しようえっとこっちの奥行ってみよう
[01:13:40.280] ぜおああるじゃないあるじゃ
[01:13:44.239] ないいいぜいいぜいいぜれ
[01:13:55.360] 行け
[01:13:56.800] てるハッピーバースデーパパえ隔離地域1
[01:14:00.800] のクリッカーキラー
[01:14:09.159] へえあ
[01:14:11.800] うんこれまさか弓あるんじゃねえ
[01:14:15.440] の弓欲しいよな早くないのかなこれあまり
[01:14:20.320] にも強すぎてナーフされたナーフてか
[01:14:22.639] なくなった
[01:14:25.159] の時弓めちゃめちゃ強かったもん
[01:14:28.320] な望の弓弓来たらでかい
[01:14:32.719] ぜ球道部の邪魔だから66
[01:14:45.239] か道なんですかん違う割とでに入ったよね
[01:14:52.280] は
[01:14:53.560] 全然じゃないだあまりにも俺はこのゲーム
[01:14:56.199] のあれがうま
[01:15:05.560] すぎるこのムービーマジでこのムービー
[01:15:09.520] マジですげえ
[01:15:23.320] よ結構とか落ちてんだけど
[01:15:27.239] ねアイテムもめちゃめちゃ落ちてんだけど
[01:15:31.000] 結局
[01:15:34.239] な結局結構潤沢すぎて俺がうますぎるから
[01:15:42.480] さ俺がうますぎてあんまり減ってないんだ
[01:15:45.639] アイテムがな
[01:16:09.960] ちょっとメ見てく
[01:16:14.360] かつっても別にアイテもあってもあこう
[01:16:19.320] いうのはねお薬とかあとパーツとかは
[01:16:22.880] いくらあってもいいからな
[01:16:33.120] ここは入れない
[01:16:38.639] と坊ちゃんのサブスク切れちゃっ
[01:16:41.850] [笑い]
[01:16:43.480] たプンチニメ使えななったついに
[01:16:55.280] どうやってあそこに行こうやばやば
[01:17:01.320] やばあいつらどんだけいる
[01:17:05.080] の待っててよ
[01:17:08.639] とまたドンパだろう
[01:17:15.520] なに目使いたいサク
[01:17:19.639] しろいやましなくていいけど
[01:17:42.360] ダリエちゃまぷん
[01:17:44.800] ちゃめなんかやっぱそれなんかループしね
[01:17:47.480] んだよな
[01:18:01.159] 攻めが出るまでここでだよあの男に警戒し
[01:18:05.280] とあやばいどうし
[01:18:10.440] たやばいやばいやばいやばいなんでいつも
[01:18:14.080] こう犬はまずい
[01:18:17.480] よあいつにれの仲の偶して無理
[01:18:24.880] 気が少くねえと面倒だ団体さんなら
[01:18:27.679] ガチンコだろあいつらの場合どこにいるか
[01:18:31.280] 分かりやしない確かに男を見つけてす
[01:18:37.600] ちょっとなんでこれでばれんだ
[01:18:41.159] よ待ってよ
[01:18:44.960] もう犬ってどうすんだ
[01:18:48.320] よ聞いてないよ犬はになんかあんのか
[01:18:55.000] あいつ学校に現れた女の仲間かただの偶然
[01:18:58.560] として片付けるには無理がある犬まずいな
[01:19:01.120] 敵がつくないと面倒だ団体なら
[01:19:04.700] [音楽]
[01:19:11.560] だろ何かいるよ私が行く
[01:19:15.639] よそっち
[01:19:18.880] はを全部調べなにはを入れるんだよオ
[01:19:24.880] 行くんだえ犬は無理だろう犬が何か見つけ
[01:19:28.800] た匂いがするのかえ犬とかこれからど出て
[01:19:33.080] こられたら困る
[01:19:40.400] なあだって全部追っかけてふんじゃん
[01:19:43.199] こんなんどうすんの
[01:19:47.679] これあ瓶でも投げろってこ
[01:19:55.280] また人はいっぱいいるし
[01:19:58.520] なめだっ
[01:20:09.199] たあと普通に犬は殺したく
[01:20:12.630] [笑い]
[01:20:14.400] ないあと普通に犬は殺したくない
[01:20:21.600] あんまりいいるし
[01:20:26.840] ねどうした
[01:20:29.840] の誰なん
[01:20:34.400] だけいやもうこれ犬は無理だっ
[01:20:39.800] てこっだよこれ犬どちょっと待ってこ
[01:20:44.000] ちょっと待って犬犬はどうすんのこれ
[01:20:54.760] たら無理だよ
[01:20:56.440] なあもしか
[01:21:01.199] ないいや待ってよどこにいるんだ
[01:21:06.960] 追いかけるん
[01:21:10.159] だつけたか何かった
[01:21:14.639] 邪魔犬は仕事してるか犬はや爆弾でもあれ
[01:21:19.280] ばなくさい爆弾ほうだよなくせえ爆弾でも
[01:21:23.480] あればよ
[01:21:28.440] 匂いはきつい
[01:21:33.440] よ今の音確認するよ行け死体に体
[01:21:41.040] すりつけるああ匂いを消すの
[01:21:47.239] にやったね
[01:21:55.639] ローラどうなってるやられちまった犬はさ
[01:22:00.400] をなく調べな追跡し
[01:22:03.560] な犬は無理
[01:22:07.170] [音楽]
[01:22:15.040] だろいやもうサイレンサーでサイレンサー
[01:22:19.840] でどうにかやるしかねえ
[01:22:26.159] 人間がいなくなれば犬なんて別
[01:22:30.360] に1人死んだぞわれやを
[01:22:40.120] 探せああ
[01:22:49.920] くそ足だ了解
[01:22:59.800] おい詰めて
[01:23:17.639] やれもうどうすんだよ
[01:23:23.440] これダメージ
[01:23:25.639] えぐおお
[01:23:28.480] ごめんしょうがねえよない無理だもん俺が
[01:23:31.520] 生きる
[01:23:33.320] ため
[01:23:34.840] 笑笑犬しょうがないやんったかいた
[01:23:40.560] ないや待って
[01:23:44.760] きついやむ
[01:23:48.639] ずいいむい
[01:23:52.520] よはあ
[01:23:54.960] 犬つっ
[01:23:55.540] [音楽]
[01:24:06.199] ぴ犬のダメージがえぐすぎる
[01:24:18.280] だろこれでバレんだぜめ良すぎだろ
[01:24:36.520] あいつ来んのかな
[01:24:43.760] こっち頑張れ
[01:25:06.679] 犬どうしたん
[01:25:14.320] だ6666
[01:25:17.600] こんばんはよラ
[01:25:20.199] こんばんは
[01:25:22.360] まさかあれじゃんそれリッキー
[01:25:28.159] な6の6の6の6の6の6の6の6のの6
[01:25:33.239] のののののだ
[01:25:35.920] これ6の6の66の6の6のの6の6の6
[01:25:43.950] [音楽]
[01:25:46.840] のしこれ無理だ
[01:25:51.719] よこも
[01:25:55.080] も犬なんか出されたらでナイフに
[01:25:58.000] 持ち替えるの強い犬なんか無理や
[01:26:02.199] であとは6の6の6の6
[01:26:08.280] のあと
[01:26:12.679] はあいたあもういないいないってことは
[01:26:17.960] ねえよ
[01:26:21.000] ないやこっちのがいいな
[01:26:30.199] いや犬だるすぎる
[01:26:33.719] バボ犬何がだるいってその犬自体も
[01:26:39.679] もちろんだるいんだけどおい今のは
[01:26:43.600] あやべ犬自体ももちろんだるいんだけど犬
[01:26:47.639] を殺さなきゃいけないっていうその罪悪感
[01:26:49.800] がだるい今何投げた瓶笑
[01:26:55.520] ごめん
[01:26:56.679] なえ
[01:26:59.840] 何死んでないのあの
[01:27:05.480] 犬え何あの犬犬殺しの邪魔ごめ
[01:27:14.800] なっこんなもんじゃないオ倒した倒した
[01:27:21.159] もうってる
[01:27:24.719] きついわ
[01:27:26.360] これ犬とかやめて犬連れてくるのが悪いよ
[01:27:32.520] 人殺すより犬殺す方が辛いわ全然
[01:27:39.199] 辛い犬はダメだよ犬はダメだよ6の6の6
[01:27:44.800] だよ猫おらんのかなねここに猫連れてき
[01:27:49.040] てるやつやべえ
[01:27:52.480] だろう
[01:27:57.880] あ
[01:28:00.320] こああ待ってここお散歩あここ閉じちゃう
[01:28:04.639] んだアイテムいっぱい使っちゃったから
[01:28:06.119] 探してくればよかったしっただいぶ置いて
[01:28:08.960] きちゃったまいっかまたまたすぐ貯まる
[01:28:12.159] だろ
[01:28:20.080] なましょうがないなあそこはもう
[01:28:24.880] 弾使っていくしかないよ
[01:28:28.520] ね6の6の6の6の6
[01:28:35.360] のえこれから犬とかさそれ何んこれあの
[01:28:41.679] リッキーダディダーティっていうラッパー
[01:28:44.400] がいるんだけどそいつのインスタライブで
