[00:00:04.799] 1個目2日目検討1波と2検討1波と来
[00:52:24.599] て引き上げてお腹いいよ
[00:52:28.280] うるせえデブ今日をやめればいいよ糖尿
[00:52:32.040] なれば痩せるよ糖尿なれば痩せる知らず下
[00:52:35.240] 2本抜かないと歯並びガガになる
[00:52:39.240] テポ疲れ引っ込まと効ある引っ込ますと
[00:52:43.280] 効果あるっていうよねでもね引っこした
[00:52:45.240] まんまいるとじゃあ俺今日引っこしとくわ
[00:52:47.600] [音楽]
[00:52:48.760] ずっときついねこれ
[00:52:51.160] も糖尿なった時点で好きなものほとんど
[00:52:54.559] 食べれなくなっちゃう怖引っ込まと消費
[00:52:57.799] エネルギー上がるよ姿勢が良くなった
[00:53:00.839] コルセットしちゃえば姿勢も良くなるし
[00:53:04.079] 引っ込まのは意外と効果
[00:53:07.480] ある俺もやります俺の配信見てられた全員
[00:53:11.760] これな維持するほどの筋力あるか無理だと
[00:53:14.880] 思うもうあと23分もしたらもう多分俺
[00:53:16.880] 無理だよ結構きついぞないきついし待っこ
[00:53:20.319] ねましたままにして超がつって偉いことえ
[00:53:23.240] 何それ
[00:53:24.119] 血流が良くなると全身の調子が整うよ
[00:53:28.280] 気づいた時にやりなねいやでもこれさ喋れ
[00:53:32.000] ない
[00:53:33.680] よ喋れない笑笑あ来た来たってとかじゃあ
[00:53:41.880] 違うじゃあ多分が出るまでの間をやる多分
[00:53:45.440] と戦ってる間は1回休憩ちたなめないで
[00:53:49.440] 呼吸止めないでねが後に自分のお腹に注射
[00:53:52.520] してるのなかなかショックだった
[00:53:55.440] ま自分のお中に注射何の注射それ何の注射
[00:54:03.000] それ糖尿ってでもだいぶやばいみたいだよ
[00:54:06.960] ねインシュリンインシュリン射腹の
[00:54:10.640] インシュンてなのインシュリンというやな
[00:54:13.920] のえインシュリンってなんなんなんどう
[00:54:16.680] いう効果があんの
[00:54:18.559] それインシュリンっていうんだ食前でつの
[00:54:22.359] とでつのがあるのよ
[00:54:25.359] インリン何のためにつの
[00:54:28.079] そなんでそういうのつの血値を下げるん
[00:54:31.480] だっけ
[00:54:33.359] あ多分が出てる間
[00:54:35.839] だけ血闘
[00:54:38.390] [音楽]
[00:54:42.520] 調整そんな薬があるん
[00:54:46.400] だえんでんでい
[00:54:53.160] のれなんだきって何痩せんの
[00:54:57.319] きなこ食うってめちゃめちゃむずいけどな
[00:55:00.640] 現代社会人どうやってきなこ食うねんガキ
[00:55:03.480] しか取れねえだろの出てたし笑笑きなこ食
[00:55:07.559] うってなかなかむずいぞこの現代社会で
[00:55:11.960] ガキが駄菓子屋できこ食うぐらいしか
[00:55:16.040] なきてどでったらいいじゃないきこなんて
[00:55:20.079] どこに売ってんねん売ってんのきって
[00:55:22.520] 駄菓子屋でしか見たことないんだけどでも
[00:55:24.319] イってるが固くなるん
[00:55:27.680] だ系のカフェあるや何系のカフ持でも食え
[00:55:32.280] ば炭化も取れっずじゃないるのかだ食事の
[00:55:37.960] 前後に自分でする活
[00:55:40.640] と術となくなるあ血固まんないから
[00:55:45.880] ねお押し込んであげたいわ押し込んでくれ
[00:55:49.839] よ
[00:55:56.520] と余計とるあそうな
[00:55:58.520] [音楽]
[00:56:03.799] のみんなも待ってみてねきなこ入きことか
[00:56:09.359] コンビニで売ってる
[00:56:11.559] あのて回る回んないでしょ
[00:56:15.319] 多分回んない回んない
[00:56:19.520] あの糖質は全て悪みたいな話あるけれど
[00:56:23.280] あれって本当なのかしら
[00:56:26.440] 押し上げる気持ちで押してからあげてラ
[00:56:29.079] 押しちょろい
[00:56:36.150] [音楽]
[00:56:39.240] ねチソピモトレーナーとして
[00:56:42.400] 配信そういうの需要ありそうだよな筋トレ
[00:56:46.599] チャネルチソパリ筋トレチャンネル会社に
[00:56:49.799] 怒られるわあダメなのそれなんで自分で
[00:56:53.200] やってんだからいいんじゃないのや質取ら
[00:56:54.960] ずにタパだ受け取ったりすると実は大衆
[00:56:58.200] 臭くなるんだよね肉食は大衆臭くな
[00:57:01.079] るっていうよ
[00:57:03.520] ね大丈夫だ俺だって会社にバレねでやって
[00:57:06.240] んだからこれバレたら終わりなんだから俺
[00:57:09.840] [音楽]
[00:57:30.720] こんにちは橋本さん明日を怖すぎ怖
[00:57:37.280] すぎる私が知識をたくさんけて茶に
[00:57:40.839] 押し付けるから年に20万以上稼いでたら
[00:57:44.640] 服になるうんうん
[00:57:50.230] [音楽]
[00:57:56.599] 今年は勉強散しようと思ってんだなんか
[00:58:00.440] えらいね知ってるそうだけどな
[00:58:04.119] いや同僚ってのが俺いないから
[00:58:07.079] ねさすがにいないでしょ高々こんな弱小
[00:58:12.559] チャンネルあら打撃
[00:58:17.400] じゃんでもいつかわかんないバレるかも
[00:58:20.599] しんないもん
[00:58:22.760] な僚がAV出てたならで
[00:58:28.960] ええで逃げらんねんだよこれ
[00:58:33.640] もうあるあるだよ
[00:58:38.680] ねいいほどあるある
[00:58:41.420] [音楽]
[00:58:47.119] か同業とか同級生とかがはそうかあんま
[00:58:53.160] あんまあるあるあまあるあるなんすかね
[00:58:56.680] あんま効かないけどな俺俺の台は風俗は
[00:58:59.920] いっぱいいるだろう
[00:59:01.160] けど隣で飲んでたお姉さん
[00:59:08.640] [音楽]
[00:59:11.119] はこいつ強く
[00:59:16.359] ねなんで野生のポケモンで逃げらんないか
[00:59:19.920] ねデブだからかやせた方がいい
[00:59:25.039] よいやーちょっと全然多分ねこれちょっと
[00:59:29.799] スペース悪くないここどうしよっか
[00:59:33.319] なチャンピオンロード行っちゃうかのたに
[00:59:36.920] も死にたく
[00:59:39.440] ない人生は人生プレイなんだからあなんか
[00:59:43.880] 今俺もいいこと言った俺なんか今いいこと
[00:59:45.720] 言った気がするよ今日の名言出たな
[00:59:50.400] 今昔の同級生どうしてるか調べる手段あっ
[00:59:54.400] て知ったらま色ありそう
[00:59:56.760] 知りたくはないけ興味ないな別にな
[00:59:59.440] 伸ばそうね寿命伸ばし
[01:00:03.310] [音楽]
[01:00:04.559] たいねえ全然出ねえよこれペこんなんじゃ
[01:00:09.799] さ何時間あってもレベル上がんねえ
[01:00:13.780] [音楽]
[01:00:15.760] よやっぱ行くしかねえんかなあれいや
[01:00:19.599] ちょっといどうすっかな
[01:00:26.079] ちょっとさチャンピオンロード行くわ
[01:00:29.359] チャンピオンロードの中でレベル上げ
[01:00:30.880] しようぜそっちの方がいいんじゃない多分
[01:00:33.559] ね出てくなんかチャンピオンロードにも
[01:00:35.359] 多分ね出てくるってさっき出てたんだよな
[01:00:36.880] どっか草むらあんのか
[01:00:39.280] なな中庭みたな感じであるあるんじゃねえ
[01:00:43.160] か
[01:00:45.559] なちょっとね効率が悪すぎるあそこじゃ
[01:00:49.160] ちょっと地形が悪くて
[01:00:55.660] [音楽]
[01:00:58.000] あったような気がするあ
[01:01:02.310] [音楽]
[01:01:17.720] 本当ちょいと行ってみますかちょっくら
[01:01:20.599] ちょっくら行て行っか
[01:01:24.190] [音楽]
[01:01:28.680] よしライバル戦とかなりそうな気もする
[01:01:31.200] けどなんとなく
[01:01:31.880] [音楽]
[01:01:35.680] ねやっぱお前ら戦うよ
[01:01:39.200] なこれエリートトレーナーって何出してく
[01:01:42.640] かわかんねえからやなんだよな大体山男と
[01:01:46.079] かだったら岩タイプなんだけどこういう
[01:01:47.559] やつら何出してくかわかんねゴルーグって
[01:01:49.960] なんだよえなんだこいつ何タイプ
[01:01:54.440] これタイプこれえ何タイプだこれなんだ
[01:01:58.240] ゴルーグっ
[01:01:59.760] てつええしゴーストなのこれガンダムみな
[01:02:04.279] のなんだ
[01:02:06.319] こいつ岩じゃねえのだ岩飛行あでも岩だ
[01:02:12.960] どこが飛行やねんこれレベル55だよ相手
[01:02:17.160] の野生の地面ゴーストかゴーストなんだ
[01:02:22.319] コトカいらねえだろ
[01:02:27.760] シンボラー
[01:02:29.960] はうな
[01:02:32.799] ちゃんレベル55だもんな60じゃ足ん
[01:02:36.680] ないよな多分ボス敵は70とか出してくる
[01:02:40.240] でじゃこんなもう超つえよ
[01:02:43.720] やっぱりやばいよこれは耐える耐えるるる
[01:02:47.720] ねよし何やってんなバカたれ
[01:02:52.640] がどう
[01:02:54.839] するトドマンで行こういやいいやトドマン
[01:02:57.279] でよかったこいつ氷タイプがあったんだ
[01:02:59.520] こいつ飛行タイプ持ってるから氷でよかっ
[01:03:01.839] たしった
[01:03:05.359] わ全然こういう風にさ弱点疲れたら死ねる
[01:03:09.119] から
[01:03:10.100] [音楽]
[01:03:12.640] ね敵強え
[01:03:16.839] なパーティーのレベル全員60にしても
[01:03:20.000] 全然負けそうっていう
[01:03:24.200] ねこタミいけるかわからないけどシティの
[01:03:28.440] るのレベルの多分出たりする一応なんか
[01:03:32.799] エンディング後じゃないて行けないみたい
[01:03:34.440] な聞いた
[01:03:35.440] けど行けんのかななんかさっきからそれを
[01:03:40.200] ねそこなんか言われてるんだよねなんか龍
[01:03:43.079] なんちゃだって行けって言われてんだけど
[01:03:44.680] 行ってみる1回行くだけの価値はあるよ
[01:03:48.279] なうわジュペッタやいいな好き
[01:03:56.960] なんで止まんんだ
[01:04:02.079] よああもうこれめんどい多分出るよマジ
[01:04:12.279] でうわ出たもうこれつんねえぞこれやな
[01:04:16.039] 予感するパソコン落ちそうな気が
[01:04:18.200] するもうDSめんどくせえなこれ買わ
[01:04:21.440] なきゃなんねん
[01:04:23.480] かわんないこれちょっとパソコン落ちるか
[01:04:27.119] もなんかこのこのこの俺の予感パソコンが
[01:04:30.559] 落ちるような気がするこれたきめんどいよ
[01:04:35.079] 買って誰かこれマジ
[01:04:38.760] で落ちない
[01:04:42.920] で故障
[01:04:49.680] 悲しいビブレチムプあ
[01:05:42.319] 1個
[01:05:46.000] 目マジだるいんだけどこれねDSのなんか
[01:05:51.680] 読み込みなくなると毎回止まるねパソコン
[01:05:54.079] が
[01:05:55.839] 悪んだ全然わかんないDSが悪いんだ
[01:05:58.200] トラブルもあるし配信って本当大変よね
[01:06:01.480] これ何が悪いんだかわかんないんだよな
[01:06:03.160] なんかこのdsの画面が呼び込めなくなる
[01:06:05.440] となんかねもうさっきも分かったけど
[01:06:08.720] なんかパソコン落ちるんだよねUSBの
[01:06:12.119] 故障なのかなどうなんかなわかんないんだ
[01:06:14.599] よ
[01:06:16.039] ねめんどくさい
[01:06:18.520] [音楽]
[01:06:20.359] ねちょ竜の塔行けるか言ってこ行けないん
[01:06:23.920] じゃないほら行けないよやっぱりこれなん
[01:06:26.200] なんだよこれシリンダーブリッジだかな
[01:06:28.240] なんだシリンダーブリッジなんで行けねん
[01:06:30.640] だよこれやっぱ行けないみたいだ
[01:06:35.750] [音楽]
[01:06:39.079] ねいやなんかいいレベル上げの場所ないか
[01:06:42.440] なこっちからは行けないの
[01:06:44.180] [音楽]
[01:06:49.839] か橋本こんばんははいお疲れえいどうも
[01:06:53.559] こんばんは
[01:06:58.559] こっちから行けないかなうん
[01:07:01.079] まだまた地獄のレベル上げだよ今日もおお
[01:07:04.880] なんか文句あるか地獄のレベル上げだぞ
[01:07:07.960] 今日もやお前だるい
[01:07:12.480] のこだるいねこういうやつら通るたびに
[01:07:16.920] 話しかけてきやがって
[01:07:18.680] よ話しかけなオーラ出してけよもっと
[01:07:26.760] こんなレベルや低いやつと戦ってる暇ない
[01:07:30.640] の
[01:07:33.760] ヤイヤホンして通れやマジ
[01:07:38.480] であレベル上がったわ
[01:07:42.039] 主人なんでこれ
[01:07:44.440] よめんどいの毎回毎回ポケモンブリー
[01:07:47.640] ダーってのは毎回俺に喧嘩売ってくんのか
[01:07:50.279] い
[01:07:57.920] あなんか最近さ魔の時間とそこの一般人の
[01:08:03.079] 時間本当だよ本当だよ価値が俺の1分と
[01:08:06.960] こいつの1分で分けがちんだからよういて
[01:08:10.000] 間違えてる
[01:08:11.920] よなめんな
[01:08:13.720] [音楽]
[01:08:17.239] よ最近なんかさ最近無償に甘いもん食いて
[01:08:21.560] んだよ何
[01:08:24.440] このえな
[01:08:28.159] 何何疲れてママ
[01:08:32.000] じゃん疲れてるからなんかなならバ道路
[01:08:35.279] すごいじゃないどポケモンとは仲良し
[01:08:37.799] いろんなところに行けるのはポケモンと
[01:08:39.159] 一緒だからよだからいつも感謝して傷つい
[01:08:41.520] たらすぐにポケモンでもどういう
[01:08:44.480] 髪型以上ポケモンセンターで受付をしてた
[01:08:47.159] あえあそう元上位さんなんだ
[01:08:51.440] ママママ好き
[01:08:55.560] 甘やかしてくれ俺を俺を甘やかしてくれ
[01:08:58.770] [音楽]
[01:09:01.920] ママネジ山おいネジ山ってなんだえ誰
[01:09:07.199] なんかとんでもないなんかブレーキね
[01:09:09.560] なんかえブレーキングダウンに出てくる
[01:09:12.799] やつがいるこれこれブレーキングダウン出
[01:09:14.319] てるこいつ
[01:09:16.440] 多分ポケモンリーグ視点のの1人レブ
[01:09:19.679] なんかもうネタバレ食らったしお前は
[01:09:22.239] なかなか見所のあるトレーナーだがネジ山
[01:09:24.000] には入れない中が崩れて通り抜けならない
[01:09:26.359] んだ何ネジ山ってなん
[01:09:30.080] だ雪虎みてのがいるじゃん雪虎みたなの
[01:09:34.719] があなんか俺ここ来ちゃったんだえ俺が
[01:09:37.880] 行きたいのはこっちなんだ
[01:09:41.319] けどせかしてここでしょ俺が言ってんのっ
[01:09:44.560] てみんなが言ってんのっ
[01:09:46.759] てどうやって行く
[01:09:49.679] のあどうやって言うのここ通なきゃいけね
[01:09:52.920] んかな
[01:09:54.420] [音楽]
[01:10:02.480] なんか違う道があんのか
[01:10:04.040] [音楽]
[01:10:06.920] ねあだるい
[01:10:11.950] [音楽]
[01:10:14.320] な今からうかな渋いな
[01:10:20.080] お前1人で作る
[01:10:23.800] のいンビてくるね俺もチョコ食べようかな
[01:10:27.960] 最近やばい最近マジで甘いもんが食べたく
[01:10:30.880] てチョコめっちゃ食ってるニキビできるん
[01:10:32.840] だけど
[01:10:34.760] 絶対レさんに先に喧嘩を打っていく
[01:10:40.000] スタイル甘いもんが最近すごい食べたくて
[01:10:44.610] [音楽]
[01:10:46.280] さチョコマうざいよねニキビマジうざい
[01:10:50.159] そう今カメラに映ってけどここにねできて
[01:10:52.520] んだよここに
[01:10:57.880] 何ブレイクプロ
[01:10:59.660] [音楽]
[01:11:01.600] て俺もめっちゃできる高ああでも
[01:11:04.760] チョコレート食べたい食べていい力いか
[01:11:07.600] ですかおさんもレベル上げしんどいよ
[01:11:10.600] サプリなんか飲んでんの効なし何のサプリ
[01:11:13.679] ニキビニキビ
[01:11:18.280] 予防もさこれもレベル上げがしんどすぎる
[01:11:23.480] これ食べな食べようかなタミンいっぱいの
[01:11:27.080] やつ
[01:11:29.590] [音楽]
[01:11:31.159] ええチャピ優しいなさっきまで痩せろデブ
[01:11:34.000] とか言ってたのにチョコ食べたいって言っ
[01:11:36.000] たら食べなだやさしだ
[01:11:41.920] ねえ何セッカシティって行けないのま行け
[01:11:46.800] ないねまあまあ
[01:11:49.120] 行けない
[01:11:51.280] じゃんどうやって行くんすかここ行けねえ
[01:11:54.679] のかれたらめちゃくちゃ
[01:11:58.080] レベルまやってくれよやっぱチャンピオン
[01:12:01.480] ロード行くしかねえんかな方作業中です
[01:12:05.560] 作業中なんだあ結構レベル上げとか好きな
[01:12:08.080] タイプ俺結構レベル上げきついタイプなん
[01:12:11.600] だよな普段その配信外でレベルあのまもう
[01:12:14.840] 配信者になってから配信外でゲームって
[01:12:16.440] ほとんどやってないけど昔からそうレベル
[01:12:19.280] げってそんな好きじゃねえんだよなできれ
[01:12:22.480] ば先に進みたい早くだからね大体ねあの低
[01:12:26.280] レブで突っ込んでねあの積むっていうそれ
[01:12:29.800] で俺はあのFF10行けなかったから
[01:12:32.440] なんかセーブしちゃって変な飛空艇の中で
[01:12:34.840] セーブしたらもうそこから出れなくて
[01:12:36.080] レベル上げできなくてボスボス敵が強すぎ
[01:12:38.800] て絶対勝てないって
[01:12:40.480] いうレベルは上目で行かなきゃダメなんだ
[01:12:43.320] よ
[01:12:44.840] な分かってんねんけどもう我慢できねんだ
[01:12:48.320] よ積んでるじゃん笑笑積んでるだそれで
[01:12:51.440] やめたんだよ俺
[01:12:53.950] [音楽]
[01:13:01.679] 何も作らずに世界をさにするだけのマ
[01:13:05.920] やばそれ給料もらわないといけないだろ
[01:13:08.639] それ給料もらわないといけないぐらいの
[01:13:10.360] 労働だろ
[01:13:13.880] それただ何正置するだけって
[01:13:19.960] ことすごいよねそういうのでうわ視界が
[01:13:23.080] いい
[01:13:31.639] だめだちょっとチョコ食べ
[01:13:34.920] たいやなかねもうね今日ね
[01:13:38.880] 眠たい食べなさい昨日さ俺さ昨日さあの
[01:13:45.520] 早く寝るって言ったじゃん配信でするは
[01:13:48.080] 雑談はあなるほど
[01:13:51.120] ねね昨日はなんかあの
[01:13:55.560] のツイートしたじゃん俺今日は熟睡する
[01:13:58.040] からなみたい
[01:13:59.600] なたらよあのよじちゃんからよな電話勝っ
[01:14:03.239] てきて3時まで電話であいつ何なんだよ俺
[01:14:06.560] 寝るっつてんのに見なかそれ電話でさえ
[01:14:10.400] ちゃまのあのツイート笑ったわとかつって
[01:14:13.080] いや笑ったわちゃうねん俺寝る言うとるや
[01:14:15.440] んけっていやもう俺今日寝るよっってもう
[01:14:17.679] 俺もうさすがに配信ない日は寝かせてって
[01:14:20.320] 言ってもあでもすぐだからすぐだからすぐ
[01:14:22.239] すぐ3時だよな眠いんだよ今日
[01:14:26.480] あの野郎マジでさツイート見てんだ
[01:14:29.400] ぜあのチのツイートめちゃくちゃ笑ったわ
[01:14:33.000] 女か笑笑ざんなあいつ俺落ちしたもんだっ
[01:14:36.679] て落ちした通話しながら気づいたらもう
[01:14:41.760] あのあの通話が切れるテロリンて音で起き
[01:14:45.239] たあ寝てた俺
[01:14:48.080] 今めどくい
[01:14:50.360] かちゃん付き合ってあげるの優しいないや
[01:14:54.040] ちゃうねんてであ何お前電気技持ってん
[01:15:00.400] のだってさすぐすぐ10分
[01:15:05.260] [笑い]
[01:15:06.639] テロの嫌10分10分で終わるからつった
[01:15:10.280] んだよ10分10分10分先っぽだけ
[01:15:12.360] 先っぽだけて言ってたからしょうがないな
[01:15:14.719] つったらもう全然最後までやられた3時
[01:15:17.679] までやられ
[01:15:19.920] たなので昨日も全然寝てないなんなんだ
[01:15:23.880] あいつよで明日
[01:15:26.320] あ明日ななどうしよう明日はあれか明日
[01:15:30.239] どうすっかな明日さあの俺あれじゃんいう
[01:15:33.880] やり方で子供作ってる
[01:15:37.040] から明日さレイドリレやろ3時からなんだ
[01:15:41.800] よ俺夜中のどうしよう寝とかないとしんど
[01:15:45.080] そうだなああここ多分で出るやろ絶対あ
[01:15:51.360] 解け解け
[01:15:55.120] 予しといた方がいいのかなと思い
[01:15:57.159] ながら寝ながらゲームしろ明日から明日の
[01:16:02.560] 夜中の3時から明日の9時から12時が
[01:16:07.440] 何かイベントあるんですかえっとねチラ丸
[01:16:10.159] 主催のドラコンクエストワツレイド
[01:16:13.480] リレー人生プレイドリレーてやつだな俺ね
[01:16:18.719] 3番者なんす
[01:16:20.380] [音楽]
[01:16:23.760] よのの3時から朝の6時まででしょっ
[01:16:26.960] ちゃん眠いしいっちゃんRTAじゃない
[01:16:29.440] RTAじゃないあのファミコン版のみいな
[01:16:32.639] 顔のヤザみたいなバのねあのファミコン版
[01:16:35.480] のドラゴンクエストってあのなんだっけ
[01:16:39.080] えっと復活の呪文でしょそれを復活の呪文
[01:16:43.040] 1人3時間ずつ3時間だったら復活の呪文
[01:16:46.080] を他次の人に投げてそれをデータを
[01:16:50.570] [音楽]
[01:16:53.840] やりいか3番目の者なんだよ夜中の3時
[01:16:57.760] から朝の3時朝の6時までだから
[01:17:01.280] めちゃめちゃ多分ね眠いこい遊び方そう
[01:17:04.480] それはもう実際にね去年昨年やってるんだ
[01:17:07.080] よドラクエ2でで俺がアンカーでクリアし
[01:17:10.280] てるんす
[01:17:11.800] よ1回も死なずにね誰か死んだらそこで
[01:17:14.719] 終わりなんだけどここレベル上げ良さそう
[01:17:16.520] や
[01:17:18.320] なドラクエワンな練習しなきゃまずいのか
[01:17:21.920] ないやでも大丈夫だと思うんだよな
[01:17:27.800] 慢心しちゃいけないよ
[01:17:37.040] ねここちょっとレベル上げできそうな感じ
[01:17:40.120] する
[01:17:42.470] [音楽]
[01:17:50.719] なさすがに草
[01:17:55.520] だろいやギガドレなんかで落ちない落ち
[01:17:58.440] ない落ちない落ちない落ちないし全然だや
[01:18:01.480] トドマン強えなやっぱトドマンだわうい一
[01:18:06.520] 発だめんだ
[01:18:12.440] よただやっぱあのあれだ多分のレベル上げ
[01:18:16.880] やっちゃうともうこいつらの経験値が
[01:18:19.159] 少なく感じしまってだめだ
[01:18:21.880] ななんでひんで
[01:18:25.250] [音楽]
[01:18:29.199] 危ねえなもう急所
[01:18:33.159] もう落とせ落とせよしよしよし危ない
[01:18:35.920] 危ない危ない
[01:18:37.320] 危ない怖すぎ危ねえ危ねえ危ねえ
[01:18:41.920] 危危ないやばいもうこんなの乗りついでけ
[01:18:46.719] ない
[01:18:49.440] よやっぱここでレベル上げしなきゃだめだ
[01:18:52.280] 今日は
[01:18:57.480] 天チムのレベルま目指せ607今日まだ
[01:19:01.080] 今日もだめ今日もレベル上げすねお疲れ
[01:19:03.800] ちゃんあでもこいつ回復してくれ
[01:19:06.840] そうラコマ君お疲れ今日もレベル上げだ
[01:19:10.239] なだもうレベル高いもん出てくるポケモン
[01:19:16.400] が55とか54とか平で出してくるからね
[01:19:21.000] 60のポケモン落とされるから
[01:19:23.719] なせた作ってくれ
[01:19:27.440] ね終わってから
[01:19:30.159] のゆっくり感じかなわ小さくなるうぜえ
[01:19:35.280] 頑張ってお前あれ俺のマット作れ俺の
[01:19:38.679] マットでう
[01:19:41.199] なる本当だねきついよ
[01:19:44.400] ね天皇は60とか平気で出してく
[01:19:47.320] るってことでしょ超難しい
[01:19:51.920] じゃんポケモン
[01:19:55.120] このゲームマジでこんなにレベル高いこと
[01:19:59.120] ないよ
[01:20:00.080] [音楽]
[01:20:04.239] ねゴルスプちょっとここでレベル上げし
[01:20:07.480] ますかちょっとこれさあいり持ってねえの
[01:20:11.520] かまちょ戦えるとこは戦ってレベル上げよ
[01:20:14.719] か今年の目標マ作ってアーティスト
[01:20:18.800] もらうマット作ってもマットじゃ俺
[01:20:21.600] アーティストやらねえ
[01:20:24.960] 考えけどめちゃめちゃよかったらマット
[01:20:27.560] 動画作れよ俺の素材はいくらでもあるから
[01:20:35.320] なやっぱ最近とか欲しいよ
[01:20:43.000] なナイス1発
[01:20:45.960] ナイス何どうやら俺この辺にでるけど技術
[01:20:49.679] がない技術動画編集ってのは
[01:20:53.639] なうわ超好きクロ
[01:20:57.440] バットさすがにS負けてるよなこないだ
[01:21:00.920] 捕まえた1%のこめっちゃ育ってそうだよ
[01:21:04.040] めちゃめちゃでかくなったでしょ教授さん
[01:21:06.480] こんばんはめちゃめちゃでかなった
[01:21:12.360] ゆモあれだよ動画編集ってのはね技術技術
[01:21:16.760] じゃねえよセンスだよ技術1割センス9割
[01:21:23.400] [音楽]
[01:21:25.400] 技術なんかやってら誰だって身につくん
[01:21:28.880] だセンスないですセンスもだセンスっての
[01:21:32.520] はなあるな引き出すもんだ
[01:21:35.840] よ引き出すもんあるないじゃねえんだ
[01:21:42.700] [音楽]
[01:21:44.600] よなんで逃げらんねんだよこんなの
[01:21:49.510] [音楽]
[01:21:50.800] になんで逃げおいレベルさ20あるんだぞ
[01:21:54.880] やばいこれこれで死んだからねちょっとも
[01:21:57.679] 本当やめて逃げろよ
[01:22:00.159] お前危ねえななんだだ逃げらんねえな全然
[01:22:05.159] なポケモンからな日常の動画とか作れる子
[01:22:09.080] とかマジですごいよねいやああいうのって
[01:22:11.360] だからなんか自分の中でテプレ決めて
[01:22:15.639] さいかに楽するかだから
[01:22:20.120] なえ技の波ないの今
[01:22:26.199] え今ないの波乗
[01:22:30.080] [音楽]
[01:22:38.600] りって今は技体がもうえどういうこと金
[01:22:43.719] ないからビトル使ってお前お前お前なあの
[01:22:46.920] なAviUtlなめんなよ俺も
[01:22:48.719] AviUtlだ全部AviUtlが最強だ
[01:22:52.320] からね言っとくけど冗談じゃなく金ある
[01:22:55.400] ないとかじゃなくてAVutlが最強あれ
[01:22:58.199] できないことない
[01:23:02.120] からavutマジ最強のソフトマジで思っ
[01:23:06.000] てるよ俺
[01:23:08.880] はあよしよしお金あるないじゃなくてな
[01:23:14.520] あれってプラグインが死ぬほどあるんだよ
[01:23:16.400] 融がプラグインを勝手に作れるのね融が
[01:23:19.520] プラグそのそのプラグインが大体困った
[01:23:22.440] ことあるとするじゃん動画作っててあそれ
[01:23:25.040] はね落ちないプラグインがあり
[01:23:27.400] ます落ちないプラグインを入れましょう
[01:23:30.400] えっとね拡張編集のまこれちょっとまもう
[01:23:34.400] ちょっと配信じゃちょ言えないな言っても
[01:23:37.080] みんなははって感じ
[01:23:39.199] あの猫ミームの猫みたくなっちゃうから俺
[01:23:42.239] あれあの変なヤギになっちゃう
[01:23:44.520] から
[01:23:46.760] はオタク特の早口になってしまう
[01:23:54.450] [音楽]
[01:23:55.520] あインプットのプラグインなんか入れてる
[01:23:58.719] 宇宙猫顔宇宙猫顔になっちまうみんな
[01:24:03.010] [音楽]
[01:24:04.440] があのMP4とか
[01:24:07.280] さ画像とかそのままさあの何ドラックア
[01:24:10.840] ドロップでぶち込めるプラグインある
[01:24:12.239] じゃん入れてるあれのプラグインのメモリ
[01:24:15.440] あれめちゃくちゃメモリ食うんだよでAV
[01:24:18.040] 32ビットソフトだからメモリが拡張して
[01:24:21.920] も4Gまでしか使えなくてその読み込む
[01:24:24.760] プラグインのメモリを外付けに外付けの他
[01:24:27.120] んとこで読めるようなプラグインがあるん
[01:24:28.480] だそれ入れるとマジで落ちなくなるそれ
[01:24:30.600] 入れると1時間の動画ぶっ込んでも落ち
[01:24:32.360] なくなる
[01:24:33.639] よそれ入れて世界変わったからちょ名前
[01:24:36.880] 忘れた
[01:24:38.080] [音楽]
[01:24:40.320] けどいやアドビなんて使う必要ねえからな
[01:24:43.400] マジ
[01:24:46.400] でまちょっとまそれ調べてみて
[01:24:50.600] そのくそまた止まったこれやな予感するや
[01:24:53.840] な予感する
[01:24:54.960] やなこする
[01:24:56.360] 映るよし
[01:24:58.650] [音楽]
[01:25:05.679] よしはてなですよ
[01:25:09.040] ねですよねJKには関係ねえ話だった
[01:25:12.800] ごめんJKに言ってもわかんない話した
[01:25:16.100] [音楽]
[01:25:18.239] な今ロム押すか迷った
[01:25:26.239] わけわかんない話してすんません
[01:25:28.080] [音楽]
[01:25:32.400] ねもうレベル上げきついタバコ吸ってきて
[01:25:35.719] いいかなうわあ
[01:25:39.520] のいらねえけど
[01:25:45.280] なな話していいんだよはい
[01:25:49.199] こんばんは見て負けるな負けるな
[01:25:54.360] マジでラムネおすすめだよなんでラム何
[01:25:56.280] ラムネってラムネタバコやめろって言っ
[01:25:59.000] てんの俺にやだ
[01:25:59.730] [音楽]
[01:26:01.320] よやめるななんでやめなきゃいけないなん
[01:26:03.800] でなんでタバコじゃなくてラムネにしろっ
[01:26:05.600] て言われてんの俺今やだおやってるチョコ
[01:26:09.040] よりいいかなってあチョコよりラムネねあ
[01:26:12.560] でも一時期ラムネにもはまってた
[01:26:16.440] よ
[01:26:20.320] 笑笑お疲れどうもこんばんはげかけながら
[01:26:24.639] おお仕事終わりお疲れちゃん今日も地獄の
[01:26:28.080] レベル上げだよハカかおチョコハカカ
[01:26:31.719] チョコって何けてねえ呼吸止まってるの
[01:26:34.360] くそおもろい呼吸できながら呼吸しながら
[01:26:38.840] は無理だ
[01:26:40.560] よもうレベル上げしたくない
[01:26:44.600] よありがとうレベル上げしたくないもう来
