[00:00:00.120] はい
[01:22:57.199] たなんとかパーティー見に行ったわなん
[01:22:58.960] だっけなんとかパーティーあだこスタート
[01:23:01.920] 時点が分からねちょっと待って次のマップ
[01:23:05.760] はここですローリングで寝ちゃってた
[01:23:08.199] なんか体痛いちゃまさんこんばんは
[01:23:12.320] ちょっとベッドに寝てください
[01:23:15.560] ね何これ何をすんのここ
[01:23:20.130] [音楽]
[01:23:21.800] でここで何をすんだろうちょっと待って
[01:23:25.960] うわあスタートは
[01:23:28.360] 1
[01:23:33.480] そうこ2だ要順番通りに行きゃいいんだ
[01:23:37.960] よもうなんだよこのマップマジでわけ
[01:23:42.480] わかんね2番に行く必要ってあんのこれ3
[01:23:45.440] 番迎えないのかなこのまんま
[01:23:49.060] [音楽]
[01:24:04.560] ちょっと3番に向かえばいいんだろ
[01:24:06.800] これあもう簡単に行けんじゃんスカの地上
[01:24:11.120] へ思い出したはなぜかこういうこういう鳥
[01:24:14.600] がいるよなこう
[01:24:18.430] [音楽]
[01:24:19.960] 鳥ええなんかもう終わりそう
[01:24:26.920] いるよ
[01:24:29.760] な間に合ったああお疲れお
[01:24:35.360] 疲れ終わっちまうんだ
[01:24:42.100] [音楽]
[01:24:58.600] まちょっとこれ終わっ
[01:25:01.000] たら次のゲームはちょっとアクション
[01:25:03.800] ゲームなんかやりたいかなRPGはもう
[01:25:07.119] いいかな当分寂しそうにゲムするな
[01:25:11.880] よいや寂しいま寂しさもあるけどそのシャ
[01:25:16.000] お気に入りやおそうよめちゃくちゃ気にっ
[01:25:18.560] てるよ俺可いんだ
[01:25:21.119] も何やるんやろ何やろっかな
[01:25:26.679] 何やろあのリクエスト枠もやんなきゃいけ
[01:25:30.760] ねえんだけど
[01:25:37.280] さ何やろっかなま何やるか全然決めてねえ
[01:25:40.040] んだけどえキムタがごとくはどうどう
[01:25:45.639] 思うジャッジアイズだっけジャッジアイズ
[01:25:50.010] [音楽]
[01:25:51.960] やるどうしよっかな
[01:25:54.960] いいやんいいおもろそうおもろ
[01:26:02.000] そうジャッジアイズにするダビスタなんで
[01:26:06.840] お前そんなダビスタやらせてんだ逆に
[01:26:09.520] ちょっと俺もやりたくなってきたけど俺も
[01:26:12.000] ちょっとやりたくなってきたよダビスタ
[01:26:14.040] うう育成して
[01:26:16.960] 笑笑さあここがラスト臭いっすねなんか
[01:26:20.440] どうやら
[01:26:21.850] [音楽]
[01:26:25.679] 洗脳ってこういうことなんや
[01:26:28.880] な毎日言い続けたらちょっと
[01:26:31.920] ずつなんとか効果
[01:26:34.280] でリスナーの名前文字って馬に名前つける
[01:26:37.880] かあいいね笑笑ドカポンが出たからボテト
[01:26:41.440] やるとかどうえドカポンって何あわかん
[01:26:46.360] やったことねいやままあまあまあでもま
[01:26:48.719] それまたコラボだから話くなってくんじゃ
[01:26:51.000] ないもし誰かとやるんだったら
[01:26:56.960] 友情破壊ゲーム笑名前付けてくれ
[01:27:02.390] [音楽]
[01:27:04.320] 笑いい
[01:27:06.760] ねでも競馬わかんねえからゲームで競馬を
[01:27:10.560] 学ぶのもありかも
[01:27:14.520] ななんか前さちょっと前ちょっと前と結構
[01:27:17.719] 前だけどめちゃさんがめちゃくちゃはまっ
[01:27:19.600] てたじゃんなんか競馬のゲームホみてに
[01:27:22.320] やってたじゃん時間やったじゃん
[01:27:25.520] なんかバンダがはまるんだ面白いのかなと
[01:27:28.159] 思って
[01:27:31.480] さ学ぶ前に競馬して学んでから競馬しよ種
[01:27:36.280] のやつねうまいゲームでありの課長は
[01:27:39.280] ディレクターたちの
[01:27:41.800] 名前のバス釣りナンバーワンとかね絶対
[01:27:45.239] 面白く
[01:27:47.560] ねえハミのやつでしょ笑笑
[01:27:57.239] よししささんや
[01:27:59.880] ぞ糸し里しといといモテの海の親だぞ
[01:28:05.560] おもろいやろあのおじさんは言葉遣いが
[01:28:10.280] 面白いだけであの人があの人が真面目に
[01:28:13.360] あの人がやりたいなん違うじゃんマザーと
[01:28:17.159] はさああの人がバス釣りのゲーム作った
[01:28:20.520] それバス釣りだよそれは
[01:28:25.920] 待てこれ何ラスボスじゃ
[01:28:28.520] ない
[01:28:30.280] おい待てちょっと待っ
[01:28:34.119] てえお
[01:28:35.720] [音楽]
[01:28:36.920] あれおわそれ波動あがいてもただの釣り
[01:28:41.320] ラスボス来たぜ違う違う違うなんかブはし
[01:28:45.480] 来たしげ里ではねえけどしげ里ではねえ
[01:28:48.400] けどえこれ何あのないのなんかよくぞここ
[01:28:52.840] まで来たみたいなしたセーブしたセーブし
[01:28:55.239] たよくぞここまで来たみたいないの里の話
[01:28:59.960] で迎えていいの怒りのしげさとえ愛しさと
[01:29:04.520] 切なさと井しげさ
[01:29:07.000] と何もないん
[01:29:09.800] だだってこれこれあれだよなオープニング
[01:29:13.199] に出てきたやつだよねしかも名前
[01:29:15.400] ヒューマンだってどこがヒューマンや
[01:29:18.960] ねん心強いな笑ちょっと待て
[01:29:24.320] えぞ汚なとかあれよねさらっとおもろい
[01:29:27.719] こと言わんでオープニングいたっけ
[01:29:30.360] オープニングにだからこいつがさ出てきて
[01:29:32.760] さあのバーンて撃ったじゃんでしかも
[01:29:35.840] ちょっと途中にもムービーにも出てきたよ
[01:29:37.520] こいつよくぞ貴様らがあだこうだみたい
[01:29:43.080] な
[01:29:45.679] ええ
[01:29:49.199] えこれどえ
[01:29:54.880] えなんかもえこれで終わんの笑絶対
[01:30:00.080] ラスボスじゃんだけ出るんだからラスボス
[01:30:03.679] 用意し本だちょびひげのムービーなんか
[01:30:06.400] いらねえからよラスボス前にムービー出せ
[01:30:09.560] やないんか
[01:30:12.760] いちょっとサンダーアローサンダーアロー
[01:30:16.719] 違う防
[01:30:21.560] でえもういよいよ察しがついたのでいます
[01:30:26.080] こいつラスボス
[01:30:27.560] ですもっとないのなんかもっとないの
[01:30:33.679] なんか
[01:30:40.679] マジストーリー作ってたらキャパ足りなく
[01:30:43.920] なっちゃったのかなまあなんかでもこの
[01:30:46.719] ゲームボス戦出る時いつもポンって出る
[01:30:48.800] からねむこのゲームご存じなんだねしむ
[01:30:53.639] なんか知ってるよねこのゲームねま有名だ
[01:30:57.040] からねレトロゲーマーからし
[01:31:01.280] たら
[01:31:03.119] ええちょっと待もうなんか意味がわから
[01:31:06.639] ない何何何
[01:31:09.000] バグ何ちょっと待ってこんなの俺これで
[01:31:12.760] 終わりたくないこれで終わりたくないよ
[01:31:15.159] なんだよ今の
[01:31:21.000] バグ簡単すぎのバブなんか今2万ぐらい
[01:31:26.480] ダメージ入ったけどレムさんこんばんはえ
[01:31:29.480] したら勝利してたえなんか2万ぐらい
[01:31:32.360] ダメージ入ってる
[01:31:35.000] 何ええないや選択した攻撃が偶然ながら
[01:31:40.920] 全てラスボスのウィークポイントでした
[01:31:43.320] ラスボスにウィークポイントあん
[01:31:46.679] のえちょっと待て
[01:31:50.719] よ笑笑草
[01:31:56.920] えもしかしてもしかしてあの雪の呪文なん
[01:32:01.239] だっけビブレがもしかして弱点えそんなん
[01:32:04.840] やめてよビブレなんてめちゃくちゃ強だ
[01:32:07.199] から絶対使うじゃん
[01:32:08.950] [音楽]
[01:32:11.280] 意外な魔法とに
[01:32:14.280] よ
[01:32:18.480] ラブレなんて
[01:32:20.280] 最強だろ
[01:32:24.040] だよあドラクエだったらお前とりあえず
[01:32:26.520] メラゾーマ撃ったら死んじゃったみたいな
[01:32:28.080] さなんか普通お前もっとなんかえこのえ
[01:32:31.719] このラスボスホイミが効くのみたいなさ
[01:32:34.679] ない
[01:32:35.440] のえ終わんのえ終わん
[01:32:40.080] の一応セーブしよっか
[01:32:44.520] えラスボス
[01:32:47.080] 即死終わんのラストアルマゲドンこれで
[01:32:51.580] [音楽]
[01:32:55.600] う終わりそうまだゾマいるん
[01:32:59.239] ちゃう一光はその部屋に足を踏み入れと
[01:33:03.119] 全ての視界が消滅し
[01:33:05.239] たそこには何もなかっ
[01:33:08.040] たただ限りない無が広がっていたえ
[01:33:12.440] 何彼らには今ここにどのような状態で存在
[01:33:16.719] しているのかも分からなかった何何何
[01:33:18.960] なんかありそうだねまだね突然シャーマン
[01:33:21.159] の壺が落下し砕けた何シャーマンのいやま
[01:33:24.119] まずそれごめんそれがわかんないここには
[01:33:25.679] 上下もましてそこなどないはずな
[01:33:29.400] のその中から8匹の魔物が出現したあ
[01:33:32.840] みんなねああ全ての魔族が一同に返したの
[01:33:36.840] であはいはいはいはい
[01:33:38.330] [拍手]
[01:33:40.119] はい体が熱い焼けるよう
[01:33:47.000] だ彼らはその場に
[01:33:49.800] 倒れ込みしばらくの時が流れた
[01:33:55.040] そして再び彼らが目覚めた
[01:33:57.280] 時その姿は異様に変貌してい
[01:34:01.400] たそれは紛れもなく人間の姿であった匹
[01:34:08.119] 10匹以上いるぞ何がお疲れでしたオール
[01:34:11.719] クリア
[01:34:13.360] です人間の
[01:34:15.940] [音楽]
[01:34:17.679] 体12人の足元1つの星が浮かび上がっ
[01:34:23.840] 彼らはその星に深い安らぎと懐かしさを
[01:34:27.960] 感じ
[01:34:31.280] たようこそ待っていたよこれが君たちの
[01:34:36.960] そして私たちの星
[01:34:38.760] だどこからともなく声が聞こえてき
[01:34:42.360] た12人は一斉にその声の方向へ向き直っ
[01:34:46.080] た
[01:34:46.960] はそれは異性隊であっ
[01:34:50.280] は彼は優しくゆっくりと語りかけてきた
[01:34:55.719] はようやく人間の感情を取り戻したようだ
[01:34:58.760] ね何何何私の肉体たちよ
[01:35:02.960] 肉体そう
[01:35:04.719] だ君たちは精神の抜け殻となった肉体だっ
[01:35:08.239] たの
[01:35:09.320] だ人類は滅亡を理解した時はるか昔人間が
[01:35:14.040] 忘れ去った感情を取り戻すため1つの
[01:35:16.600] プロジェクトを計画し
[01:35:18.360] たそれは自分たちの肉体と精神を分離させ
[01:35:23.159] てを戦わせる
[01:35:25.320] ことその時肉体が戦いという逆境の中で
[01:35:29.840] 本当の感情を思い出すことができたの再び
[01:35:33.440] 肉体と精神は1つになり新しい人類として
[01:35:38.400] 生まれ変わる人類は同じ失敗を繰り返さ
[01:35:41.199] ないようこのプロジェクトに全てをかけた
[01:35:43.639] のそれではお前たちがその精神だというの
[01:35:49.040] なるほど肉体と精神なん
[01:35:51.719] だはしてこのプロジェクトを実行する精神
[01:35:56.199] に神という名を
[01:35:58.119] つつけるそして何も知らず憎しみの塊りと
[01:36:01.119] なった肉体に悪魔という名をつけた我々は
[01:36:04.840] 元々1つなのだ全ては新しく生まれる人類
[01:36:08.600] のためなのだ騙したとか卑怯だとか言わ
[01:36:12.239] ないで
[01:36:13.239] ほしい今更信じないわけにはいかない
[01:36:16.960] だろうそれにもう戦うことは無意味だと
[01:36:21.080] 分かったから
[01:36:22.560] な俺たちはこれから何をすればいいんだ右
[01:36:28.119] から2番目めちゃくちゃ俺の後ろ姿に似
[01:36:30.480] てるわ今までの戦いは全てイメージの中で
[01:36:33.480] 起きていたこと俺かあれ風呂入ってる時俺
[01:36:36.280] の世界の元々なかったの
[01:36:38.600] だ全ては肉体を覚醒させるための
[01:36:43.080] プロロ1つになったら私たちはどうなる
[01:36:46.800] の全ての記憶は忘れる
[01:36:49.920] だろう新しい世界を切り開くためには過去
[01:36:53.280] は邪魔になるから
[01:36:54.920] ねただし我々が未来進むべく道を謝った時
[01:37:01.520] 潜在意識の中から神や悪魔が作り出される
[01:37:04.119] かもしれ
[01:37:05.480] ないその時人類は神も悪魔も自分たちの仮
[01:37:10.320] の姿だということに気づかないかもしれ
[01:37:12.560] ないがねうんワクワクするじゃないか今
[01:37:18.400] 本当に新しい歴史が始まるわけだも俺たち
[01:37:24.000] の準備はできている
[01:37:26.520] ぜそれでは過去にお別れ
[01:37:31.719] だ再び12人まい先行が包み込んだ
[01:37:41.880] ええそこは美しい大地だっ
[01:37:45.440] た無限に広がる草原に12人の男女が静か
[01:37:50.560] に眠っていたはあ
[01:37:54.000] 太陽の光の温かい祝福を受け乳ないね彼ら
[01:37:58.119] がゆっくりと目覚め始め
[01:38:01.000] た1人の男が口を開い
[01:38:04.320] たとてもいい天気
[01:38:08.159] だ空が
[01:38:11.000] 綺麗
[01:38:12.560] ああ腹が減った
[01:38:18.639] なそしてこれからいろんなことをしなくっ
[01:38:22.360] ちゃいけないからな
[01:38:24.599] 忙しくなる
[01:38:26.440] ぞでも楽しみだ
[01:38:30.880] なそうだいろんなこと意しこの地に名前を
[01:38:37.440] つけよう
[01:38:40.599] 地球地球ってのはどう
[01:38:44.760] だ
[01:38:47.040] 地球いい名前
[01:38:50.520] ね12人は思いに空を見上げ
[01:38:57.599] た
[01:38:59.840] 今地球の歴史が
[01:39:09.110] [音楽]
[01:39:11.400] 始まる
[01:39:17.880] 欲しい彼らは記憶がないから地球って名け
[01:39:21.440] たのパチパチパチ壮な
[01:39:25.320] プロロだかすごい
[01:39:29.639] な
[01:39:33.740] [音楽]
[01:39:36.360] パパパパパパパパパパパパ
[01:39:44.599] パチパチパチあ
[01:39:47.360] そう衝撃のラストとは聞いてたけどあそう
[01:39:54.080] はあよう考えられてんねこれね途中の
[01:39:57.840] ちょびひげいらなかったのではちょびひげ
[01:40:00.599] はだからあれはあれで必要よだから今まで
[01:40:04.000] の人類の失敗っていうのを
[01:40:07.199] こう神
[01:40:09.599] 局マジでいいわこの曲
[01:40:13.370] [音楽]
[01:40:21.960] かっけだこ
[01:40:23.880] 何
[01:40:26.000] このをめてラスト最後のタイト素晴らしい
[01:40:32.639] です神ゲです孫ことないこれは終っ
[01:40:37.679] たかけおいおなんだこのゲーム
[01:40:47.679] パパパいやいいねおもろかったわ
[01:40:54.000] めっちゃ神じゃない
[01:40:57.599] トライトあそうか
[01:41:00.410] [音楽]
[01:41:05.840] いや
[01:41:08.040] 考えだっいやすごいねよくできた
[01:41:12.199] ストーリーだと思う本当に
[01:41:16.870] [音楽]
[01:41:26.599] はあえこのゲームのサウンドプログラマー
[01:41:29.679] 誰
[01:41:32.440] よあのめっちゃ神局あるじゃんあの戦闘局
[01:41:37.960] あれ作った人誰だかわかんないらしいそれ
[01:41:40.800] が一番やばくないあんな名曲なのにあんな
[01:41:44.400] 名曲なのに作った人誰だかわかんないん
[01:41:46.960] だって誰が曲したか謎らしいよ出てくるん
[01:41:50.960] やないなんその作なんかねあれはわかん
[01:41:55.960] ないらしい誰が作ったんだこの人たち聞い
[01:41:58.719] てもの誰誰なんだっけみたいなあれわかん
[01:42:01.880] ねえなみたいなあ作った人はますあわかん
[01:42:05.520] ない人アレンジした人かそう曲した人が
[01:42:08.800] わかんないんだってすごく
[01:42:10.840] ないデドさん
[01:42:13.719] こんばんは
[01:42:15.320] いや
[01:42:21.080] いやえ
[01:42:24.840] 何ここで終わりなのなかジエンドとか出る
[01:42:28.800] は私なら絶対ジエンドとかないのラスハゲ
[01:42:33.480] 終わっここ
[01:42:35.679] ええエドはそなか新しくないあのスタ
[01:42:41.880] スタッフロール流れたままたらマスター
[01:42:44.599] テープが机にあってできてたんですて
[01:42:47.960] ちゃまさんお疲れ様でした終わりです
[01:42:51.000] 終わりじゃない始まりだ面白いいいこと
[01:42:53.840] 言ってるねねファイナルファンタジーです
[01:42:56.199] いや終わりじゃないよみんな始まりなんだ
[01:42:58.159] よいや終わりました
[01:43:01.040] ねちょっと待ってえこれ以降ないよねこれ
[01:43:04.239] で終わりなんでしょ本当にこれで終わりね
[01:43:06.119] すらないのかリセするよリセして
[01:43:10.880] いいリセしていいかあ確かにこれは始まり
[01:43:14.239] ですねここからが始まりだないのねないの
[01:43:17.679] ねないのないってことでいいのねないって
[01:43:20.400] こといいのねに終わりですお疲れでした
[01:43:23.679] しいやおもろかったごめんちょっと待って
[01:43:26.480] 最後にあの曲聞きに行かねえかなみんな
[01:43:29.199] 最後にやっぱ
[01:43:31.239] やっぱりやっぱりあの曲聞きに行きたくね
[01:43:34.080] かないやこれでも
[01:43:40.560] いや図鑑か当たり前だ図鑑じゃねえだろ
[01:43:46.239] よこのこのゲームつったらもあの曲しか
[01:43:49.480] ないだろうが
[01:43:54.760] うんこっからだけど1回初回戦闘電話来て
[01:43:58.360] 見逃し
[01:44:00.400] たあれしかない
[01:44:04.920] やろあれしかねえよ
[01:44:10.080] な自分の行動で神にも悪魔にもなれるその
[01:44:14.639] 戦いをラストハマドと名前をけたのは
[01:44:17.760] さすがです
[01:44:20.960] ね戦闘
[01:44:23.480] でとても
[01:44:27.400] 助かるこれか
[01:44:31.880] いやああこれこれ終わっちまった
[01:44:39.239] かいやそう上につきますこれはねこれは
[01:44:45.280] ガンガが治るようになるそのうち今はまだ
[01:44:48.119] 聞かないけどそのうちこの曲はガンにも
[01:44:51.119] 聞くようになりますいのまみかさそでいい
[01:44:53.880] んだよけど実いやすげえいやめっちゃ正直
[01:44:58.440] きつかったやぱ昔のRPGだし曲だって
[01:45:03.000] また難しね聞き続けることが大マジで神
[01:45:09.360] でしたねこれは僕の配信者
[01:45:16.679] 人生の中でもなかなかの神毛です
[01:45:23.159] でありがとうまたいつかやりたい
[01:45:26.940] [拍手]
[01:45:28.159] ねお前らもう
[01:45:32.119] 変えよ全員買ってくださいこのゲームこれ
[01:45:35.560] あのやりたい方ね是非やってくださいこれ
[01:45:38.040] でできるんすよ実はあのポリメガアプリと
[01:45:41.480] いうのがリリースされたのねできるん
[01:45:45.760] でいや長かったな本当足かけ半年かかり
[01:45:50.880] ましたけども
[01:45:53.480] お
[01:45:55.719] そのするかというプレイヤー側のでもあっ
[01:45:59.159] たカードじゃないQカードじゃないけど
[01:46:02.159] ポリメガアプリというものがあればでき
[01:46:04.360] ますからこれね皆さんもぜひ無料でできる
[01:46:06.719] ようになりますからそのうちねいや良かっ
[01:46:09.400] ためっちゃ量いやすげえストーリーだね
[01:46:13.719] 本当にねニコニコにあげられてるラスゲ
[01:46:17.320] めっちゃ画質良いんだけどなんでだえ
[01:46:19.719] めちゃくちゃ画質いいどういうこと画質
[01:46:23.380] [音楽]
[01:46:29.880] 画質いいかこれよこれPCこれPC版だべ
[01:46:34.520] これこれPC版これPC版だよのうんこれ
[01:46:38.119] ね
[01:46:38.960] xx1なんだっけなんかこれ何番だっけ
[01:46:42.840] MDXこれ何番バージョンが違うんだよ
[01:46:46.880] これFMタウンズかなFMタウンズ版かも
[01:46:49.400] しん
[01:46:51.360] ないやるよ
[01:46:54.400] おれこのゲーム良かったね本
[01:46:58.840] にうんFMタウンズ版だなプレプレヤーの
[01:47:04.520] 悪魔
[01:47:06.440] のるいうのこのの
[01:47:12.480] ポントいやまさかさ人間とあれと思わ
[01:47:16.639] なかったよ
[01:47:18.239] ね人間と
[01:47:24.000] 元はどっちも人間だったんだよこいつらも
[01:47:26.000] 人間なわけでしょだから要はこのこいつは
[01:47:28.320] 精神なわけよね肉体と精神の戦いで肉体が
[01:47:33.520] 精神を上回ってさらにそこでちゃんとした
[01:47:36.360] なんかその感情が芽ばえた時にその人間
[01:47:40.760] たちは次の人類としてそこにもう一度何
[01:47:45.599] あれとしてそうラスボスがヒューマンって
[01:47:47.920] いうのもそういうことなんだろうな多分な
[01:47:50.320] 人間の魂の要はあれなわけだあの人間の魂
[01:47:56.560] の
[01:47:58.480] あの代表という
[01:48:00.960] か
[01:48:02.719] あなるほどねだから人間
[01:48:07.080] がなんか人間が生き残ってた生き残ってる
[01:48:10.840] 生き残ってないみたいのあったじゃん
[01:48:13.239] なんか人間がなんかいねえとか人間の村が
[01:48:17.560] 生き残ってねえとかあれはもう元々だから
[01:48:19.920] さ
[01:48:21.760] あああそうだよあの最後ねま前回の最後の
[01:48:26.360] ムービーになっちゃんだけどなんか変な
[01:48:27.719] コンピューターがなん司令等になんかその
[01:48:30.360] 任務完了みたいなの送ってたじゃんだだ
[01:48:33.719] から要はあいつが要は人間だったからっ
[01:48:36.400] てこよねあいつが要はそう最後のラスボス
[01:48:40.679] は人間対人間だったんです自分たち同士の
[01:48:45.000] 戦いで神と悪魔の存在おうということです
[01:48:49.080] それを踏まえた上でこの曲なの熱くない
[01:48:51.960] 人間の肉体と魂の戦いをこの曲でやるって
[01:48:56.360] やばくないめっちゃ熱く
[01:48:59.760] ない神局じゃん本当
[01:49:03.360] にそして誰が作ったかわからないなんだ
[01:49:07.199] こりゃなんなんだこりゃ
[01:49:13.880] [音楽]
[01:49:15.880] はい俺は馬鹿だけど曲がいいことだけは
[01:49:19.239] 分かるてか主人公たが元々人間なの驚い
[01:49:24.199] たもうんそうねだもう人間だから
[01:49:28.040] モンスターたちての作品なんで有名になら
[01:49:31.280] んかったいやだだからでもかなり有名では
[01:49:33.760] あるでしょこれただま対応機種がやっぱ
[01:49:38.119] これがもしねプレステとかで出てたら
[01:49:41.920] めちゃくちゃ有名だっただろうねPC
[01:49:44.920] エンジンとかパソコンゲームだから
[01:49:46.800] やっぱりオタ向けだったんだろうね多分ね
[01:49:50.400] これがてる最初はだこれじゃない笑ねいや
[01:49:56.800] いいゲームだったこれ見てもう素晴らしい
[01:50:01.080] もう見てこのディスクスな芸術すげえ
[01:50:03.920] かっこよくないこのロゴとかめっちゃ
[01:50:06.800] かっこよくない神だわいや神ゲーだなこれ
[01:50:11.880] いや良かったわ11月に見てた俺らなんだ
[01:50:16.239] これな大丈夫かこなかなかこれ超えるいや
[01:50:21.719] マジでに俺中で思い出のゲームになった
[01:50:26.360] 今さんこんばんはどうどうもどうも
[01:50:28.480] こんばんはお疲れ様です明日から休みで
[01:50:31.119] やったぜいやよかったなこのゲームのの
[01:50:35.400] がせてよかっ
[01:50:36.800] た昨日までなんだこれだったぞ
[01:50:40.119] 私最後のムービーで全部持ってかれたね
[01:50:43.199] すげえわ最初なんだよと思った
[01:50:46.560] もっこは本に大切にしたいですねこれ
[01:50:51.639] ね持ってかれた持ってかれたね曲もいいし
[01:50:56.760] えぐい強すぎるストーリーえぐいねえぐい
[01:51:00.320] マジでめしと鼻くそほじっちゃった
[01:51:04.159] 今いや良かったけどのやるゲームって
[01:51:08.159] すげえよなでもけどけど
[01:51:11.000] あのまあの攻略なしじゃこれ絶対無理だね
[01:51:15.000] 攻略サイトなしじゃ多分マジで無理だと
[01:51:18.320] 思うくあの鼻くそも感動して出て
[01:51:23.119] ポロっつってなんかいや良かった
[01:51:27.920] 素晴らしい素晴らしい
[01:51:30.860] [音楽]
[01:51:34.320] なこれね是非ね皆さんねやる場合はですね
[01:51:37.920] 多分実機でやるやなんてそ互いが最後の
[01:51:40.079] 江戸で全て晴れる疑問が完全に伏線として
[01:51:43.520] 回収されるというこれがこのゲームの
[01:51:46.320] すごいところです当時の人たちすげえ攻略
[01:51:49.320] 頑張ったうんだってこのさ俺が見てた
[01:51:51.520] サイトあるじゃんのおかげやなねこの
[01:51:53.760] サイトあるじゃんこのサイトあのなんだ
[01:51:56.840] ラストハルマゲドンの攻略始めますつって
[01:51:58.920] 始めて始めた日がえ2000何年だこれ
[01:52:04.440] 2012年なのね終わり2015年だもん
[01:52:08.679] 3年かかってますマップ全部作んの3年
[01:52:12.040] かかってる
[01:52:13.159] こいつ3年
[01:52:15.800] 笑笑そりゃかかるってそりゃかかるよあ
[01:52:19.920] これ全部自分で書いてるんでしょ
[01:52:23.159] そりかかるわなか
[01:52:25.520] 笑笑3年ありがとうございますこれ誰だか
[01:52:28.280] わかんないけどこの方に直接俺が言いたい
[01:52:31.480] 俺の一品チンピ発見懐かしゲームの話題
[01:52:34.760] なんかもどうぞっていう
[01:52:36.599] サイトげなら5年かかるなねよくらんかっ
[01:52:41.719] たなパレタ送るからありがとうございまし
[01:52:44.880] たあなたのおかげでいや
[01:52:48.440] いいURL
[01:52:50.679] ちだURいいよちょ待っていやはや本当に
[01:52:54.560] お疲れでしたいやおもろかったでも本当に
[01:52:57.320] これはMDXさんがこの色々頑張ってくれ
[01:52:59.760] てに礼ね結局のところは結局のところはね
[01:53:03.960] この今回まちょっと説明してもわかんない
[01:53:06.840] かもしんないけどこのね俺ジキでやってる
[01:53:08.920] んだけどこれCDなんだっけPCエンデン
[01:53:11.199] デオRって機械でやってるんだけどこれで
[01:53:13.040] やるとバグが発生するのよなんかこれ
[01:53:15.480] バージョンが高くてこれ初期に出たゲーム
[01:53:18.280] だからPCエンジンのわざとこれで初期の
[01:53:22.840] システムカードてやつでこのバージョン
[01:53:24.440] 1.ってやつに落落とすことでも
[01:53:27.840] ありがとうねさっきごめんあのったに挨拶
[01:53:30.239] でったあのこれでグレードを落とすことに
[01:53:33.000] よっ
[01:53:33.960] てによってあのバグを回避できたのよこれ
[01:53:38.159] はもうMDXさんが調べてくれたからでき
[01:53:40.360] たんだ
[01:53:41.760] [音楽]
[01:53:48.480] けどありがとうやと
[01:53:52.719] だろうにいやいいゲームだったでもこれ
[01:53:55.880] システムカードドっていうのねこれそう
[01:53:57.280] デパさんが色々頑張ってくれたから本当に
[01:53:59.320] ありがとうありがとうじゃなかったら
[01:54:01.679] やろうと思わなかったしねもう1回ねあの
[01:54:03.440] バグで止まった時はねいや感慨けなマジで
[01:54:07.320] なんかなんかすごい考技みたいやな
[01:54:10.880] ダたらあげようと構えあ本当ありがとう
[01:54:14.360] ありがとうそんな高いのにありまだデス
[01:54:17.040] ファイトさんて言われてるんだ今日お金
[01:54:20.800] すごい肉がサブスクしました5か月目です
[01:54:25.480] ありがとうさもいや実したプレイでしたね
[01:54:30.520] よかったよかったいや面白かったよクリア
[01:54:33.679] したよポこれクリアしためっちゃいや
[01:54:36.599] めっちゃ良かったぞ見てほしい最後
[01:54:39.679] めっちゃ良かったすげえすげかったよ最後
[01:54:44.719] マジで衝撃のラストだっためっちゃ良かっ
[01:54:48.320] たこれはいいゲームだ
[01:54:51.320] よ再現して
[01:54:54.000] くれるおそんな全然内容覚えてないけど
[01:54:57.320] そんなそんなあのあのねそんな俺はあの
[01:55:01.320] あれしないよそんな俺が口で説明する
[01:55:04.280] なんてそんなのもジドジド見てほしいいや
[01:55:07.320] おもろマジおもっ
[01:55:10.880] たでよでどう
[01:55:14.599] するでどうすっかな何やる一というお店
[01:55:20.719] らしいけどサーバーが応答ないからもない
[01:55:23.719] のかな今見てるいやおれかったよマジ
[01:55:31.079] でなんかこの人に一言俺が言いたいね本当
[01:55:35.159] ねだってこのGoogle先生で調べても
[01:55:39.960] あレフィさんこんばんはレフィさん
[01:55:41.760] こんばんはGoogle先生で調べてもさ
[01:55:44.639] このPCエンジン版ハルマゲドンラスト
[01:55:47.480] アルマゲドンの攻略サイトこれしかないん
[01:55:49.239] だもならい走ってるかもだけどしかこし
[01:55:53.480] 助かったマジ
[01:55:56.480] でこればかりはねプレイして見た時に一気
[01:56:00.400] に自分の中の疑問が実は全部伏線にされて
[01:56:03.480] いて回収されるというカタルシスを感じる
[01:56:06.000] ゲームだからななんか連絡先とか出てない
[01:56:09.560] ここまで来ての疑問だけどムドックスさん
[01:56:12.000] 何者なんだああもうMDXさんもレトロ
[01:56:15.360] ゲームを天才ですよいやでもこの記事
[01:56:19.360] 2015年だからね今更連絡取ってもこの
[01:56:22.000] 人
[01:56:23.320] なんやねんこんな昔の記事にって思うだろ
[01:56:25.560] なでもあなたの記事は今1人の少年を救い
[01:56:29.800] ました本当によくぞ頑張ってくれ
[01:56:36.239] た
[01:56:38.520] 少年少年でしょねコメント残しとけばええ
[01:56:41.719] やんなんやこのゼロコーラ飲んでるデブ
[01:56:44.320] はってなるかな少年ただのゲーム好きの
[01:56:47.760] おっさんです笑この人の最ここのこのさ
[01:56:52.560] サイトの最終記事
[01:56:53.880] [音楽]
[01:57:00.280] 何わかんねえやまいいやいや本当
[01:57:03.400] ありがとうございました本当良かったうん
[01:57:06.000] さあななとこのゲームクリアしたんだけど
[01:57:09.000] なちょっとさ次何やろっかなゲームまた
[01:57:12.079] なんかやってくんだけどまさドリーブ
[01:57:14.920] クラブドリーブクラブは週に1回やるだけ
