[00:00:08.960] うんどうもこんばん
[00:32:35.600] ですうるせえなゲおはようあわりさん
[00:32:39.080] こんばんはわりさんこんばんはえ今日もね
[00:32:43.720] これをやってますからよかったら見てって
[00:32:47.039] ください
[00:32:48.919] えー防具買いまこんばんはおまちゃん
[00:32:53.200] こんばんはちゃんもこんばんは鬼畜縛り
[00:32:55.880] いいねははじゃねえよ鬼畜縛りいいでしょ
[00:33:01.000] このタイトルにある通りです縛り
[00:33:04.360] はでもめちゃくちゃ
[00:33:09.000] あれはいいよ
[00:33:11.840] あの調子はいいですめちゃくちゃ
[00:33:17.120] 魔法の鎧欲しい
[00:33:21.000] ね買うか息子に買ったるか魔法のよいな
[00:33:26.200] リレミト禁止ミても
[00:33:30.290] [音楽]
[00:33:33.120] 禁止うんちゃん何がハだろうんちゃん
[00:33:36.559] なんかあったどうしたん話聞こうか俺が
[00:33:40.399] どうしたん話聞こか
[00:33:43.399] えドラゴンシールド買おっかな息鎧はまだ
[00:33:47.120] 早いちゃうんだよだってさあれねえんだ
[00:33:49.639] もん天空の鎧ねえからさとりあえずそれ
[00:33:52.480] までの
[00:33:54.120] つなぎは
[00:33:58.279] チックどうしたどうした話聞こう
[00:34:01.960] かDMで話聞いてあげよっか俺
[00:34:05.279] が鼻息が鳴っちゃっただけだよ鼻息で
[00:34:10.159] はーってなんね
[00:34:11.919] だろ
[00:34:14.720] えーっとあと薬草買ってこうぜ
[00:34:17.879] 薬草バカほど薬草買ってくここや薬草屋
[00:34:21.440] さんは
[00:34:22.960] ここここ薬草屋さんありますかここ道具屋
[00:34:26.560] さんここか
[00:34:31.280] あ道具屋さん
[00:34:35.159] はないのかおボボこんばんはどうも
[00:34:39.280] こんばんは今日もやってます今日もやって
[00:34:42.000] ますから今日はなんかちょっと
[00:34:46.560] あのドスになって移動がクソめどくさここ
[00:34:49.960] マジめんどくせえここマジめんどくせえ
[00:34:52.280] 高低差ありすぎるなんだ
[00:34:55.159] このですめちゃくちゃ住みずれだろここ
[00:34:57.760] オルドム4ロックエットオルドム4
[00:35:00.880] ルム4ゆらゆらオルドム4ゆらゆら何かの
[00:35:05.000] ボタンで待の中の街の中のマップが出せる
[00:35:07.960] 街の中のマップが出せんだよはあほん出る
[00:35:12.079] じゃんうわしかもショップねしグググ
[00:35:14.760] グググいいね使ってるねおうんちゃんどう
[00:35:17.760] したんだよため息ばっかついてよ話聞こう
[00:35:21.240] か上の街作ろう作ってから公開するやつ話
[00:35:25.960] 聞こかどうしたんこっ
[00:35:29.160] か生ラムネ食べようん食べるわナムラムネ
[00:35:33.839] 食べよこれマジでうまいからみんなくそ
[00:35:36.160] うめえからなこれ生ラムネ
[00:35:40.359] 玉めちゃくちゃうまい
[00:35:43.400] これこれマジで
[00:35:46.880] うまいどこでもいいやもうどこでもいい
[00:35:51.079] プア受験勉強の時ラムネには助けられてる
[00:35:55.599] で本当においしいですか本当にうめえよ別
[00:35:58.440] 嘘ついてねえ嬉しそうに食べてる
[00:36:02.280] うまいラムネ好きなんだよねめちゃくちゃ
[00:36:05.400] ですなんなのその鳥トボルそなタ
[00:36:10.800] こんばんはやってますめちゃくちゃ順調
[00:36:13.880] です明日から3日間旅行行ってくどこ行く
[00:36:16.680] のどこ行くの俺も明日出張なんだよな給し
[00:36:20.599] てるこん俺にも給せ嘘
[00:36:24.680] ですラディこんばんは
[00:36:27.880] めちゃくちゃ
[00:36:32.160] 順調亜鉛飲んでろあ亜鉛飲みますグググ
[00:36:37.560] グググどこ行くの
[00:36:40.880] ボボ俺も明日出張だからさ今日早めに
[00:36:43.680] 終わるわどこの刑務所行くの何ボボ
[00:36:49.440] がやっと捕まるんだおいいつか捕まると
[00:36:53.760] 思ってたけどやっと捕まるんだ北海道だよ
[00:36:55.960] ちゃま
[00:36:57.760] で北海道のあのア刑務所じゃねえかよア
[00:37:00.720] じゃねえか
[00:37:02.200] よア刑務所行くんだア刑行くんだね大変だ
[00:37:06.920] ね函館のな函館の笑笑笑笑じゃあれ行くわ
[00:37:13.880] あのボボが刑務作業で作ったなんか
[00:37:16.000] エプロンとか買いに行くねもちがだ
[00:37:20.160] ねもちここもさ薬草売ってなかったまで
[00:37:24.359] ありがとううんさ反省してこいよの方だ
[00:37:28.960] とあるそうそうあのニポポ人形とかでしょ
[00:37:31.960] ニポポあのあのあれあのあのポツポツ
[00:37:35.839] ポツポツてさポツポツポツポツて穴開いた
[00:37:38.720] あれの前で話そうポポとかかってきてそう
[00:37:41.240] ニポポ人形なあのきりの人形
[00:37:44.920] でしょどこだったら売ってんですか薬草は
[00:37:48.520] てかこれ薬草とかねえのアさんどうも
[00:37:52.119] こんばんはってありがとうございます
[00:37:57.839] にそうそうそう
[00:37:59.640] そうMDXさんこんばんはえここだったら
[00:38:03.280] 売ってますかね薬草が
[00:38:05.079] ね北海道いいじゃん北海道のどこに行く
[00:38:09.599] のあの函館はねに神薬そなんてないあない
[00:38:14.760] んだ上約草ないんだあのね函館は俺も言っ
[00:38:19.040] たけどめちゃくちゃ飯うまいから何なのか
[00:38:21.520] ねということで調子はいかがであのね結構
[00:38:25.599] 調子はいいよあ札幌かいいね札幌行った
[00:38:28.599] ことねえけどギス感とかじゃね札幌つっ
[00:38:31.480] たら今くいからだろうまいよなこのの
[00:38:37.000] なえ札幌ってあれあるのかなあのラッキー
[00:38:41.040] ピエロ
[00:38:43.200] ラキピ今日俺が使っ
[00:38:45.800] てる何年も使ってるからもう塗装が塗装が
[00:38:50.200] げって俺の
[00:38:55.359] コップ札幌はないんだ箱館の寿司うまかっ
[00:38:59.280] たうまいうん函館のウはピエロならある
[00:39:02.400] もしもし
[00:39:03.800] ピエロもしピア今更使わねえだろシピ
[00:39:08.720] はシピは今更前みたいにアーサーの呪文が
[00:39:12.400] メモリバグ発生してないですしてないして
[00:39:15.319] ないしてないあリビさんこんばんはリビ
[00:39:17.040] さんも
[00:39:18.400] こんばんはこし何こしってコヒーの
[00:39:22.319] こといいな札幌って何があんのうまい飯
[00:39:27.680] すすきの行くのすすき
[00:39:32.720] のいいね札幌いい
[00:39:35.540] [音楽]
[00:39:38.560] な最近できたの族館とかもあるよ
[00:39:44.160] [音楽]
[00:39:50.760] 札幌いう話でいいじゃないいいのそんなだ
[00:39:53.960] から何みたいな言わなくていいのん
[00:39:56.400] こんばんはデッドマンこんばんは
[00:39:59.359] えっと
[00:40:01.119] ねルラフェンじゃなく
[00:40:05.480] てわしでも明日俺もまたスーツだスーツ来
[00:40:09.520] て出張だよやだよだから今日早く終わる
[00:40:11.480] かんねガラってスープカレーやうまかった
[00:40:15.359] へえ明日わしあれやまたまた静岡どこ行く
[00:40:20.920] のまた静岡だよ札幌駅でブまた静岡だよ
[00:40:26.040] もう静岡行きたくねえよもうだ空港で大体
[00:40:30.480] 全部えるうんこ笑笑スーツ入るの最近身長
[00:40:34.960] しました半年前ぐらいに身長したコロナ
[00:40:38.680] リバースコロナまたコロナもらってき
[00:40:40.880] ちゃうかもしん
[00:40:42.119] ねまたコロナもらってきちゃうかも泊まり
[00:40:45.319] じゃないよ泊まりじゃない日帰り日帰りだ
[00:40:47.800] よめちゃくちゃざくないまたコロちゃんを
[00:40:51.040] てこないよに気をつける日帰りだぜ
[00:40:58.480] に時間て
[00:41:01.760] だれ静
[00:41:04.920] 静岡は大丈夫そうまでも化中で寝るけどず
[00:41:11.040] 寝るからいい頑張れ
[00:41:14.440] 頑張れでもなんだよリモートじゃ実に行か
[00:41:20.480] いけ
[00:41:22.359] だそう
[00:41:23.990] [音楽]
[00:41:26.240] で敵強いんだけど1人じゃないでしょ1人
[00:41:29.680] じゃないうん1人じゃないよ上司も行くよ
[00:41:32.440] 上司先輩も行くけどなんでか死んねえけど
[00:41:35.520] うちの会社ってなんかあの現地集合なのね
[00:41:38.920] あのあの何あの新幹線の
[00:41:42.680] 時あのあっちの駅集合なのだからあの一緒
[00:41:46.960] に行くんだけどあそこで集合だから行く
[00:41:48.760] までは自由あと帰りも
[00:41:51.319] 自由のびとか言ってんじゃねえのもしかし
[00:41:53.640] たら俺は行かねえけどあ笑そうだから別に
[00:41:56.440] 一緒に行かないから気楽めちゃくちゃ気楽
[00:41:58.800] ただ遅刻はできねえから今日ちょっと待っ
[00:42:00.960] て1時半ぐらいで終わるできだめだよでき
[00:42:03.920] にはなんねよ大丈夫あの仕事中は一言喋ん
[00:42:06.200] ねから嘘みてに喋んねえから明日出張
[00:42:10.160] だるい静岡で検索かけました特定します
[00:42:14.440] 特定そんなツイートしねえや俺仕事のこと
[00:42:18.000] 絶対ツイートしないからちゃまさんだけ
[00:42:20.599] 現地ってことちげえてちえってみんな現地
[00:42:23.599] 行くんだけどバラバラに行くんだよ
[00:42:26.560] [音楽]
[00:42:29.280] 出禁はやか帳
[00:42:34.000] だけやで大きな声出しちゃだめだよ
[00:42:37.920] みんな街の警官に合わないからあと2
[00:42:41.160] ブロックも禁止あとピアスも禁止
[00:42:46.000] ねやめな
[00:42:49.730] [音楽]
[00:42:52.280] 笑笑いいな北海道か方や
[00:42:57.880] いつありがとなお前新幹線されるらしい
[00:43:02.200] けどどうねえだろねもやっ
[00:43:06.760] たわけねえけどなけねえけどあの自由席で
[00:43:11.160] 座るじゃん自由で座るべ自由席で座る
[00:43:15.000] じゃんみんな座りたいはずなのに俺の隣
[00:43:17.440] だけずっと開いてる
[00:43:19.760] よ俺の隣だけずっと開いてるんでだろ
[00:43:23.520] ねな人いる
[00:43:27.240] えそんなえなんでですかわかんないんだよ
[00:43:30.920] ね座ればいいのにね相てんだから威圧し
[00:43:34.559] ないで反だと思われてるさんのいてますよ
[00:43:39.280] この人の隣
[00:43:41.119] そうでさ新関の席はもう分けられてるから
[00:43:44.839] 狭いもクソもないやんこうやってさもう
[00:43:47.839] あるよね
[00:43:50.480] のれるように痩せとくね痩せとけ痩せとけ
[00:43:54.319] でももう十分痩せてけどなってあんのえ
[00:43:59.440] これ何ボスなんかいるじゃんゲマさんが3
[00:44:04.520] 人かけシートの半分のシート販売始まった
[00:44:07.680] よマジ
[00:44:10.079] でさすがにでも俺そこまでじゃねえわ
[00:44:13.599] さすがに1人用の席で収まるよちゃんとえ
[00:44:16.720] これボスだよな分戦うんだよ
[00:44:18.680] [音楽]
[00:44:26.040] ねえそうオーラにけされてるんだよそうだ
[00:44:30.880] そうか
[00:44:31.720] なギリ回りに迷惑かけてないかけてねえっ
[00:44:35.760] てマジ
[00:44:37.680] であのうん新幹線はねあの電車の時はマジ
[00:44:42.200] で
[00:44:42.839] ごめん電車ん時はまあ座りにくいよね多分
[00:44:50.400] ね笑笑にくいよね俺も自分ではそう思う
[00:44:54.240] だけかもしれないよマジで
[00:44:58.160] ショックなんだけどあのなんだろう茶と
[00:45:02.319] 密着しちゃうかもうん電車乗ってんじゃん
[00:45:05.000] 電車でさあれ電車ってば区切りないやん
[00:45:07.480] 電車で座っててめっちゃ混んできててうん
[00:45:10.880] 座り来てな
[00:45:12.400] あの電車でさ横に女の人が座ってくれた時
[00:45:18.640] のあの許された感わかんねえだろお前らに
[00:45:20.720] はあ俺って許されたん
[00:45:23.280] だあのアンド感わかんないだろうなおらに
[00:45:27.160] はあ俺って許されたんだ笑笑言わんとする
[00:45:32.040] ことはな許された感あるよねドラクエやら
[00:45:34.880] ないのあやりますすいませんこれもうボス
[00:45:37.440] 行く
[00:45:38.839] よボス勝てねえとかボス勝てねえとかねえ
[00:45:42.920] よ
[00:45:43.839] なく
[00:45:46.680] わここで待ってれば来ると思っていました
[00:45:49.640] よ私のこと覚えてるに決まってんだろが
[00:45:54.200] そんなことはどちらでもいいでしとにかく
[00:45:56.359] 今ここでお前たの力を確かめさせてもらい
[00:45:58.520] ますよわに奥行ったら審査落ちた感じある
[00:46:01.520] よねあるあるあのめちゃくちゃ混んでて
[00:46:05.400] みんな座りたいはずなのに俺の隣だけ開い
[00:46:07.280] てる時審査落ちましたね
[00:46:10.400] ビビビビあれもうここで戦うんかこいつ
[00:46:13.460] [音楽]
[00:46:15.079] ビビビビビとりあえずじゃ全員ちょっと
[00:46:17.960] 命令
[00:46:19.079] で顔の怖いおじさんじゃなければ座るよ
[00:46:23.240] 狭くてもデブでも
[00:46:27.160] え勝てますかいや勝てるでしょそんな強く
[00:46:31.800] ねえよだって音に勝ってんだよ何より
[00:46:36.480] ですなんなお前その何よりです
[00:46:40.760] [音楽]
[00:46:44.319] シリーズえもう狭いのかデブに勝ったんだ
[00:46:49.319] からガに負けねえよな負けるわけねえ
[00:46:52.839] だろうアーサ
[00:46:57.920] やべえ体力回復すんの忘れた
[00:47:00.599] え待ってめっちゃ強え何これ顔が怖くて
[00:47:06.040] めっちゃ足広げて座ってるおじさんの隣
[00:47:08.800] はけるなちょっと待ってめちゃくちゃ強え
[00:47:11.640] じゃねえかなんだよまあまあ強くて草あお
[00:47:15.599] 尻ぶつかっても怒らないならちょっと待っ
[00:47:19.240] てここが自分の思ってた全滅可能性
[00:47:22.920] ポイントです勝てますかこれ勝てる目か
[00:47:28.079] さよならさようならさここ
[00:47:33.079] で3代目か
[00:47:35.200] [音楽]
[00:47:45.280] 楽しみやばい
[00:47:47.180] [音楽]
[00:47:48.720] よやばいって3代目の嫁誰にしようかやば
[00:47:54.200] いって楽しめてますか
[00:47:57.640] やばいっ
[00:47:58.860] [音楽]
[00:48:01.400] てデボラ様で続けてほしいので頑張って
[00:48:05.880] くださいまだえるの
[00:48:14.680] か
[00:48:20.280] よさよならや大丈夫よかった人間でよかっ
[00:48:24.640] た人間でよかったれてよかっ
[00:48:29.750] [音楽]
[00:48:38.760] たいや待に生まれてよかったちょっと待っ
[00:48:42.240] やばい
[00:48:50.200] 危ねえちょっと待ってねアサは死んじゃ
[00:48:54.160] まずいから
[00:48:59.820] [音楽]
[00:49:07.280] うわ魔法カンタかが死んでもわり入るのの
[00:49:11.079] いやアーサーはもう死んだら終わりなん
[00:49:14.799] よいや行けるこれ行ける行った整った整っ
[00:49:18.960] た整っ
[00:49:22.839] たよしオオオここまでオやもこれはもう
[00:49:28.440] 乗った乗った乗った乗っ
[00:49:31.640] たえお前息も吐く
[00:49:36.040] のべ息も吐くの
[00:49:39.640] お前お前息も吐くん
[00:49:45.359] かやばいか
[00:49:48.960] もくそう服なら
[00:49:54.240] [音楽]
[00:50:02.400] 魔法カンター貼っとくメラゾーマやられっ
[00:50:04.920] から
[00:50:07.240] さドスは確か3匹目の名前が違ったんです
[00:50:11.520] よねえ3匹の名前3匹目の名前チンな
[00:50:17.119] の
[00:50:18.640] ピエル1人だけ弱そうなの3匹
[00:50:24.720] ね待て
[00:50:27.359] えっとちょっと考えぜ考えてチン弱そう
[00:50:32.440] 笑笑
[00:50:34.200] チンチンモンスターの3匹スタッフの名前
[00:50:37.799] とかなんとかあそう
[00:50:40.240] な
[00:50:41.920] オオオはいオオオ
[00:50:53.170] [音楽]
[00:50:55.640] オ終回復んだアーサー死ぬかもアーサ
[00:51:01.119] ごめんアーサーにかけちゃったみんな
[00:51:03.559] みんなアーサーにかけちゃった終わったか
[00:51:05.920] もしんない笑笑朝にかけちゃった終わるか
[00:51:09.920] もみんなでもやった笑
[00:51:14.079] ええ終わるかもみんなもう終わったかも
[00:51:17.280] しれん上がってきた終わったかもしんねさ
[00:51:21.839] また来てチンまた来てチンになっ
[00:51:24.880] ちまう3目サークルな
[00:51:30.040] ええ元気出していや行けるでもいけるでも
[00:51:34.319] 行けるでも
[00:51:37.359] いけるオーラ
[00:51:39.680] うーんやることがないんだよなこいつでも
[00:51:42.119] なある程度ある一定行っちゃうと倒せば
[00:51:45.640] 勝ちよまあ
[00:51:49.520] ねやってしょうがないけどね
[00:51:52.850] [音楽]
[00:51:59.200] 倒して気分よくマリカやろマリカやらねえ
[00:52:02.720] つってん
[00:52:05.730] [音楽]
[00:52:10.200] だ
[00:52:15.799] そこちょっと待てよ真剣になる
[00:52:19.800] [音楽]
[00:52:22.640] よルカなんてこれ入るのまだ
[00:52:30.520] ああ魔法カタかごめん魔法カタやってたん
[00:52:33.839] かじっ
[00:52:36.480] てら何何何じっ
[00:52:39.720] てるトトチコンヒートトチコンヒートト
[00:52:44.280] チコンヒーペやばい
[00:52:48.680] ね
[00:52:50.670] [音楽]
[00:52:52.319] ファセやばいかお前なんなんだ
[00:53:01.359] でもダメはかなり入ってる
[00:53:05.280] からバイキルバイキルバイキルバイキル生
[00:53:09.480] ラありがとうありがとううん
[00:53:12.319] ちゃんあとあと200回ぐらい投げてくん
[00:53:15.440] ねと生ラムネ買えないんだ
[00:53:17.640] けどあと200回ぐらい投げて
[00:53:21.960] くれるあもうバイ入ってっか
[00:53:26.640] スイもっと
[00:53:30.319] 投げろやフバーハめっちゃ強えなフバーハ
[00:53:35.480] やばくないあるとないと全然ちげえ
[00:53:39.799] わ生ラムネ第1も立も立
[00:53:43.610] [音楽]
[00:53:45.359] もまあ多分生ダネ自分で買うことはないと
[00:53:48.599] 思うほ
[00:53:49.920] [音楽]
[00:53:51.559] それやばいよ
[00:53:54.640] ねのが
[00:53:58.119] 隠れよしよしよしあ
[00:54:01.000] やっとやっとあれだわやっと流れきたこれ
[00:54:05.240] 分かった
[00:54:06.319] でしょ冷たくするのが好きいや俺俺もそう
[00:54:10.680] だと思って冷やしてたんだけど今日忘れて
[00:54:14.040] ここを昨日出しっで今食べたら温の方が
[00:54:17.599] うめえよ柔らかくて固くなんだよ
[00:54:20.590] [音楽]
[00:54:24.079] なでこ様だろそこの冷蔵庫に入れとこう
[00:54:29.359] いや入れといてだきがいのこれ買った
[00:54:32.200] でしょわかる一周回って音なんよ音で
[00:54:37.480] あのおいもうランディさ出たよランディ
[00:54:42.000] お前なんか変なこと考えたら硬い方がいい
[00:54:44.160] もんなうん硬い方がいいよ
[00:54:48.400] な硬い方がいいも
[00:54:51.920] だろなんでだよ俺おめえが無て言ったから
[00:54:55.359] だよ笑笑
[00:54:57.119] ま硬い方がいいよね大事なのは硬さって
[00:55:00.160] いうもん
[00:55:02.000] ねやだやだすぐそういう
[00:55:06.280] 話硬くて長くてできたら太い
[00:55:10.680] 方やばいちょっと待っててか長くない長く
[00:55:17.160] ない昨日も似たようなこと言ってた
[00:55:20.000] なたくさんかかして柔らかくしよむってん
[00:55:24.160] ですかラどうだエロいことを感じとると
[00:55:27.680] そういうことコーララムネめちゃくちゃ
[00:55:29.039] うまいよコーララムネめちゃくちゃうまい
[00:55:35.079] よすぐそういうのを感じてむ
[00:55:39.839] むむむ柔らかいのも好きだた
[00:55:43.119] ギアやめて
[00:55:45.599] くださいごめん
[00:55:48.260] [音楽]
[00:55:52.160] なさい長くねも
[00:55:57.340] [音楽]
[00:56:01.520] 打撃がいてえ
[00:56:03.740] [音楽]
[00:56:09.960] な打撃が痛い強いな強えめちゃくちゃ長い
[00:56:16.440] 声2回攻撃してくるから
[00:56:19.830] [音楽]
[00:56:21.400] うい最後最後1だったみたい最後1だった
[00:56:25.599] みたい毒でちょんてやったら死んだでもさ
[00:56:28.599] こいつ
[00:56:30.880] 笑笑モンスターズに出ないよね確かに
[00:56:34.000] あまりに
[00:56:36.880] 笑笑セムスゴース1ギリギリだったね最後
[00:56:41.359] だったんだ
[00:56:42.559] 笑笑倒すな笑1で倒すの草パチパチパチ
[00:56:47.520] やっ
[00:56:48.680] たもうなんか負けなしだなそうですかここ
[00:56:53.680] まで力をつけているわけですねおや何を
[00:56:57.240] 驚いているのですこの程度で私が本当に
[00:56:59.680] 滅びるのでもほほほほこんなところで力
[00:57:03.559] 尽きるまで戦うほど馬鹿ではありません
[00:57:05.520] どちらにせはあの時パパスを敗にした時
[00:57:07.799] 橋本を殺さなかったのは私のミでしたこの
[00:57:10.720] 私が戦っても息の根を止めることができる
[00:57:12.720] ほど力をつつけるとは実に関心ですどう
[00:57:15.280] やらトリーミルドラース様に報告しなくて
[00:57:17.640] はなりません私も少し休ませてもらい
[00:57:20.240] [音楽]
[00:57:24.440] ましょう竜の
[00:57:26.839] コマンドお願いしますあありがとうござい
[00:57:28.880] ます分かりまし
[00:57:30.160] たマスタードラゴンの能力って
[00:57:33.440] ああれごめんこれやっちゃっ
[00:57:37.319] たあごめん竜の右手に入れる前だったもし
[00:57:41.440] かしてあちょっと遅かったねちょっと
[00:57:45.480] 遅かったな
[00:57:48.720] リセット帰ってシップ張ってるよとを持っ
[00:57:52.599] ていく稽あ
[00:57:57.599] 何なんかいいこと言ってくれたのまでも
[00:57:59.160] そうだよな復讐だもん
[00:58:02.119] ね会話コマンド忘れがちだわとってたから
[00:58:05.960] 家帰ってってるねねお父さん僕たち一歩
[00:58:09.240] ずつちゃんとお母さんに近づいてるよね
[00:58:11.480] 悪い魔さんにはりのになったりし
[00:58:14.680] ないあそうなんだまあまあままま
[00:58:18.160] しゃあないやしゃしゃあないしない勝てた
[00:58:21.319] ことを喜ぼうぜ勝てた
[00:58:23.359] こと待ってこからこっから
[00:58:27.200] あの普通に帰んのきついんだ
[00:58:30.319] けどもうリミと禁止じゃなくてよく
[00:58:34.480] ないもリレミト禁止しんどいんだけど
[00:58:38.000] めちゃくちゃ杖
[00:58:39.070] [音楽]
[00:58:43.559] 的リミと禁止がここに来てめちゃくちゃ
[00:58:46.640] じわじわ効いてきてるなんでこんなに縛っ
[00:58:49.960] てるんすかあまりにも全滅しない
[00:58:52.960] からあごめんねそういえばドス版だから
[00:58:57.520] ここでゲマしなんのかあゲマってスーパー
[00:59:02.240] ファミコン版だとあれか死ぬ死なない死ぬ
[00:59:05.359] んだっけここで全然覚えてない全然覚えて
[00:59:08.920] ねえ
[00:59:13.440] わ素服はここで死にますあそうなんだそう
[00:59:17.880] だよなうんこの後で何この後また出てくん
[00:59:21.280] のあいつこの後また出てくん
[00:59:23.450] [音楽]
[00:59:24.680] のなんかドラマチックになってんのか
[00:59:27.960] ねこの後また出てくるんだ
[00:59:31.119] あいつドスバンはここで死なないせいで
[00:59:34.440] ミルドラースの影をより一しました
[00:59:37.440] なるほど名前しか出てこねえもんな
[00:59:39.680] ミルドラース
[00:59:40.839] そうなな俺ドラクエ5のそこだけが不満な
[00:59:44.280] んだよなミルドラースってがポットで
[00:59:47.559] すぎるんだよな笑ミルドラースがポットで
[00:59:51.240] すぎるよな誰やねんて話じゃんがあまりに
[00:59:53.960] も悪いやつすぎるテマが本当に全部持っ
[00:59:57.559] てってるあいつボスじゃねえのにラスボス
[00:59:59.599] じゃねえのにもっと言ったらイブールって
[01:00:02.200] 誰だよイブールって誰だよあの光の教団の
[01:00:06.880] 教祖ね本当は一番悪いはずなんだけどな
[01:00:10.280] 笑笑誰だよ
[01:00:13.000] イブールお前知らねえだろそれなって乗っ
[01:00:15.920] てきたけど一応水面化で暗躍してる感じな
[01:00:18.599] んですけど水面化すぎたのとゲマの存在感
[01:00:22.440] が強すぎてイブールよりブオンのが印象
[01:00:25.400] 強い
[01:00:27.520] ドラクエ5めっちゃスーリーよくできてん
[01:00:29.880] だ
[01:00:30.559] けどさんの隣にった人だよ
[01:00:35.020] [音楽]
[01:00:36.559] 何何昨日
[01:00:39.559] 新なんか
[01:00:42.520] ねるてるてるボス
[01:00:47.400] が出てくるボスがね本にをついたがポなん
[01:00:52.160] だよなが
[01:00:58.559] ねそうだここで死なねえんだゲマ
[01:01:01.440] [音楽]
[01:01:12.920] が今日はマジで早めに終わろうなんか眠
[01:01:15.480] てえわ魅力がないとねラとさんのゾーマと
[01:01:19.240] か急に出てきた感あったなんかでもあれは
[01:01:21.520] 許せるんだよあれは許せるんだよななんで
[01:01:25.319] だろ
[01:01:26.920] 元々そんなにあれさ元々そんなにさあの
[01:01:32.160] わかる今日ちょっと眠てえわあのね3日間
[01:01:37.160] 連続ぐらいでも配信やってるとね眠くなっ
[01:01:39.119] てくるんよねかって6の無7のオでミラ
[01:01:42.520] みたいにしつこいのめんどいしまあ
[01:01:47.559] ね今日なんか
[01:01:49.960] 眠たいなんかアマやったからだろ裏で
[01:01:53.880] パーティアニマやったこち何かあるの動が
[01:01:58.400] ちょうどいい明日出張だよ明日出張なの
[01:02:03.200] わだからマジで寝坊できないから本当に
[01:02:06.440] 今日は早く
[01:02:07.720] 終わるちょっとだけ進めに来た今日
[01:02:11.920] は今日はもうそういう回ですあのなんか
[01:02:15.720] でかい声出したりしないんでよろしくね
[01:02:19.599] おつねおつねって何おつねっておつね
[01:02:22.880] ばすぐ終われるよなんでそういうこと言う
[01:02:24.839] の
[01:02:26.480] おつ
[01:02:27.620] [音楽]
[01:02:31.119] ねあとねこんなことさないのかせのあわ
[01:02:37.039] 大きい声出さない大きい声出さないよ
[01:02:52.200] タあ来たいらねえよ俺別に
[01:02:56.359] キキ俺いらない
[01:02:58.839] うるさい
[01:03:00.920] ちゃああなんか今日心地よく見れてると
[01:03:04.559] 思ったらうるさくなかったからかコメラ
[01:03:07.559] 死んだ周辺の住人が皆起き
[01:03:11.279] たおい2匹目仲間になっちゃったけど2匹
[01:03:14.799] 目ああこいつバカだらねえかわいそうね
[01:03:17.359] サンダーだって名前
[01:03:19.000] サンダーサンだ君はいらないさよならい
[01:03:23.839] ねバララ
[01:03:37.770] [音楽]
[01:03:52.470] [拍手]
[01:03:53.200] [音楽]
[01:03:56.440] やのこと反省してないねうん俺は反骨地に
[01:04:00.039] 道溢れてるからね反省するのあもやめ本当
[01:04:04.160] やめてやってやめてねもう本当にあの怒ら
[01:04:07.880] ないでくださいなやめよ本当に俺怒られる
[01:04:10.760] から本当
[01:04:11.760] に俺怒られるから空刺されてるんだから
[01:04:15.799] 余計なこと言うんじゃねえ
[01:04:18.760] ぞ電話なってないえ電話電話
[01:04:26.319] 電はなってないいやあのうん通知が来たや
[01:04:30.559] から電話あやから電話なってるわけねえ
[01:04:33.039] だろなんでやから来るんだ誰がかけてんだ
[01:04:35.799] やの誰がかけてん
[01:04:38.330] [音楽]
[01:04:40.680] だママ大声やめてでもでもいいいい街です
[01:04:46.200] いい街ですよ僕は好き俺カナダから電話
[01:04:50.880] あって怖かった影から騒音のクレームがで
[01:04:54.359] 届くんだこっからどんだけ敏感なんだ
[01:04:57.359] よどんだけ敏感なんだよどんだけ静かにし
[01:05:01.440] なきゃいけねえんだか街は素敵たねはなん
[01:05:06.359] だってえ何それ
[01:05:08.440] なんだっておなんだ街並は素敵
[01:05:14.000] うんあれこれ何すんだっけあ竜の右目を手
[01:05:18.599] に入れたん
[01:05:19.839] だじゃ太郎にあげようかプ太郎に
[01:05:25.960] 走る町なのにねあそうなんだもううちの
[01:05:29.520] 近くもめちゃくちゃ暴走族じゃましんを
[01:05:31.839] こんばんはあうきさんこんばんはどうも
[01:05:33.559] こんばんは今日はまったりやってます
[01:05:36.000] でかい声禁止ですえー城の中にはんあこう
[01:05:39.319] だ取ってきたよ取ってきたよ竜の右目取っ
[01:05:43.599] てき
[01:05:44.799] たって竜の右目取ってきたってのやない
[01:05:49.319] ないないないない龍のみこっち来たよどの
[01:05:53.400] 口が行ってんのわああれ何これわこれ何
[01:05:59.200] あれもうあなんかモンスターもう1匹い
[01:06:02.160] ますみたいなこと言ってたななんかんな
[01:06:04.559] こと言ってたねやっぱ
[01:06:07.720] ねもう1匹いますみたいなこと言ってた
[01:06:11.279] な今日じゃそこまでやって終わりにしよう
[01:06:14.279] 2匹とか言ってたね2匹って言ってた
[01:06:17.440] ねチカが今チーカもいます
[01:06:21.480] わなんだもう朝かと
[01:06:27.319] 1人ドラゴンクエスト5で一番影薄いボス
[01:06:31.039] あそうな
[01:06:34.039] の1人
[01:06:36.640] 笑笑やめてじゃ
[01:06:40.079] ねえじゃねてだっ
[01:06:46.319] 頭なんだもう朝とん
[01:06:53.970] [音楽]
[01:06:55.920] 焼けたパンにバターぬりぬり
[01:06:59.520] こんな感じじゃねえのき確か
[01:07:02.440] にあんまわかんねえんだけどあ見てない
