[00:00:03.000] よしナイスエに隠しコマンドあるんだって
[00:44:58.440] 感がやばすぎてちょっともう1回やろうよ
[00:45:01.520] つって今あの普通に普通になんかもう1回
[00:45:04.640] あのやり直し
[00:45:06.000] てるだけどちょっと厳しいな衝撃の事実よ
[00:45:10.640] なちょっとあれ本当にね超あっけない
[00:45:14.640] 終わりだったもんねあれえこれクリア
[00:45:17.880] なかん今まで11時間俺ら何やってたの
[00:45:22.160] そうその中の1面クリアした感覚だああ
[00:45:28.079] み良くない残機増やすの良くないマジでだ
[00:45:32.640] けど残機増やしたから行けたからねあれ
[00:45:36.240] マジでやばかったよねえげつなかったよね
[00:45:38.160] 難易度その残機増やしたからさその当たっ
[00:45:40.880] ても死んでも何回もゴリ押しでいけたけど
[00:45:42.960] あれを残機2でやれて言わたらステージ
[00:45:45.599] セレクトで残機増やさずやるのは大変そう
[00:45:49.079] ステージセレクトでじゃ1回ラスト
[00:45:51.240] ステージやってみる見せて見てない人いる
[00:45:53.640] からどんだけぐえぐいかて
[00:45:57.119] セレクどうやっやるって言ったんだっけ
[00:45:58.240] ごめんステージセレクトどうやってや
[00:45:59.480] るって言ったんだっ
[00:46:00.920] けすげえ難しかったよ
[00:46:03.960] なこれ
[00:46:06.920] だちょっと待って体力大丈夫いや大丈夫だ
[00:46:12.839] よえータイトル画面で左上とセレクトとA
[00:46:18.480] セレクトとAちょすっげえ難しいんだよ
[00:46:20.720] これコマンド
[00:46:22.319] が張りみんなにも見せてやろ貼り付けてる
[00:46:25.640] よ
[00:46:28.160] すっげえ難しいんだよこれタイトル画面で
[00:46:31.599] セレ左上とセレクトとAを押した
[00:46:37.440] まんまAを押したまんまスタート押す
[00:46:41.319] スタート押す読めなかっスタートを
[00:46:45.640] 押す押しタイトル面が消えるまであいい
[00:46:50.240] 押し続ける
[00:46:51.440] とステージセレクトモードに
[00:46:55.839] 入る消えるまでてこ押せる
[00:47:03.910] [音楽]
[00:47:09.200] よ早
[00:47:12.800] 早リセットしてからが良いよあリセットし
[00:47:15.960] からああそういうことか
[00:47:21.520] 草真顔で待ってたね今来るかな
[00:47:30.460] [音楽]
[00:47:32.440] ご
[00:47:37.370] [音楽]
[00:47:43.480] およよ
[00:47:47.079] うけがねてもやりたく
[00:47:56.450] [音楽]
[00:47:58.559] もって
[00:47:59.680] リセットどういうことどういう
[00:48:01.450] [音楽]
[00:48:03.839] ことごめちょっとよくわかんないパパ元気
[00:48:06.440] だね大丈夫なのかちなみに斜め入力が
[00:48:11.040] 難しいとはなんかで見たなそういうところ
[00:48:14.160] は大人なんですねそういうところは大人な
[00:48:17.680] んですねさに言われ
[00:48:20.559] てるセレクトとAを押したままスタート
[00:48:27.079] いやいやスタート押すできへんやんけ
[00:48:29.520] 嘘つきどうやってやのえ左上とAと
[00:48:33.400] セレクト押しなが
[00:48:36.110] [音楽]
[00:48:37.520] スタートは無理やんな俺セレクト入ってん
[00:48:42.960] のかこれやんじゃないはいタイトルが
[00:48:47.040] 消えるまで待つちょスタートボタン押すと
[00:48:49.599] さ違うスタートボタン押すとだってダメ
[00:48:51.200] じゃんスタートボタン押したらこれ
[00:48:53.599] スタートボタンダメなのか左上Aセレクト
[00:48:59.000] を押しながらスタートでしょいや押し
[00:49:02.319] ながらスタートを押すだからここ
[00:49:07.240] でっ行っ
[00:49:12.280] ちゃうできへんやん
[00:49:17.839] けBGM残ってるよ
[00:49:24.630] [音楽]
[00:49:27.160] ちょ待ってなうんとちゃいろはちゃん
[00:49:29.559] クリアしたんだよなしたクリアしたんだよ
[00:49:33.680] なクリアしたんだけどしたけどしてないし
[00:49:37.599] てないねあれはね裏技使っちゃったんだ
[00:49:41.079] よ残機数が30になるっていう裏使ったら
[00:49:45.000] そうな驚くほど簡単に終わちゃってな
[00:49:49.720] ちょっとさすが
[00:49:52.920] にはいで
[00:49:56.440] [音楽]
[00:49:58.240] 通コンとかこれもしかしてワンコあなるあ
[00:50:01.680] 残念スタートするURL
[00:50:03.920] 省略お何ちなみに成功するとこう
[00:50:08.839] なるどう
[00:50:12.520] なる
[00:50:14.680] YouTube
[00:50:19.920] YouTubeタイトル画面でスタートを
[00:50:22.240] 押しこのゲームは何面まであるのです8面
[00:50:26.359] かなスタート画面でセレクトを押しワンピ
[00:50:29.960] の左上のセレクトあスタートを押してから
[00:50:32.520] じゃん
[00:50:34.079] あああ全然やり方違うじゃんけ
[00:50:42.960] な8面
[00:50:46.079] がば
[00:50:47.960] おこれ今日2ピになってる2ピになっ
[00:50:51.799] てるなのでちょっとあの裏技でクリアして
[00:50:55.319] しまったのでちょっと8面だけでも
[00:50:58.799] ちょっと自力
[00:51:00.160] できた自力で行ってみたいな
[00:51:08.400] ちら
[00:51:11.240] 了よから行こういや6から行こうか6から
[00:51:17.680] 66スノーはもうスノーはクリアした
[00:51:21.799] から6も自力でやってないんだよね678
[00:51:24.839] って自力でやってない
[00:51:30.960] 近いのに何やってんの楽しそう
[00:51:34.240] じゃんあ待って
[00:51:38.000] ップオよいしょ
[00:51:41.720] よまじえぐいか
[00:51:45.680] ここまだねここまでは自力でもクリアでき
[00:51:48.720] そうなレベルなんだよね正直こんいるいる
[00:51:53.160] 次なんだよなやべえ
[00:51:59.240] え
[00:52:01.799] よ
[00:52:07.440] おうーラガ3人
[00:52:16.960] 引き
[00:52:19.000] うま待ってなんか超むいここやっぱり
[00:52:26.640] のシンクロ率がいい
[00:52:29.720] 嘘あいネアプウよコールドセレクトA
[00:52:36.520] スゲんあ多分コマンド教えてくれた感じ
[00:52:40.040] じゃ
[00:52:42.359] ないこれこれこれこれこれいこれど行くの
[00:52:45.319] これやっぱ下だこれ下か下だだんだけ出き
[00:52:49.599] ちゃいもうむ
[00:52:53.040] ずあ
[00:52:59.839] あ行けるよ
[00:53:05.160] オ
[00:53:12.400] ああこれだよこれこの感じこれだもんな
[00:53:16.599] この
[00:53:17.960] 感じあ12時間かるかなあっけ
[00:53:23.040] ないこれなんだよ
[00:53:28.240] 笑すいませ普通に下打ち出ました危ない
[00:53:33.839] 危ないああ危ないああ
[00:53:37.640] 危ないこれ下にいた方がいいんか下の方が
[00:53:40.599] いいよ多分これが命の燃え方だ
[00:53:43.640] よあいつえぐいなあいつなんな飛んでくん
[00:53:49.640] なええなこれ下
[00:53:53.000] からめっちゃギリじゃんあジャプうん
[00:53:58.920] 左ザ取ていいかああ知らない程度に動か
[00:54:03.960] ないよはいオオああこれ上これ炎めっちゃ
[00:54:09.040] 来るからね炎めっちゃ来るからねこっち
[00:54:10.520] まで来るからこの下の
[00:54:12.839] 方おい
[00:54:15.359] あっちあっちよおはやこっちもおはようお
[00:54:20.599] よまだやってる
[00:54:22.599] ぜ人間性を捧げるってこういうことかよし
[00:54:29.760] オナイスなんでなん
[00:54:33.920] で
[00:54:35.880] ごめんこういうの
[00:54:39.520] 楽しいあ楽しいならよかったいやけどこう
[00:54:43.760] いうこういうこういう感
[00:54:47.200] 笑笑もらうよ
[00:54:51.440] に負けよ
[00:55:00.079] うやるじゃんやるじゃんながこのゲーム
[00:55:04.839] やるよなうんコントラつんだっけこの
[00:55:07.000] ゲームやるじゃんやるじゃん名前覚えた
[00:55:10.680] から覚え
[00:55:12.880] コントラやる
[00:55:16.280] ねさっきここをね残機30っていう無人像
[00:55:21.359] の残機で行ったからゴリ押しで行けちゃっ
[00:55:23.039] たんだよ
[00:55:26.480] あれあれでいい勉強になったけどねふん
[00:55:29.680] おもしれえ
[00:55:31.839] ゲームおもしれえ
[00:55:42.880] ゲーム基本的に俺後ろやってるわいやあ
[00:55:50.440] くそじゃあこれでなんかね中段が結構いい
[00:55:55.039] 気がなるほど
[00:55:56.559] 上にも下にも逃げれるしじゃあこれ
[00:56:03.440] でなんで降りてくんだこいつら危ないよ
[00:56:07.039] いいよ待っ
[00:56:10.160] て
[00:56:13.559] うここでおろすのはあれはひどいなどうな
[00:56:17.880] のよはい
[00:56:24.240] よああ
[00:56:27.599] や
[00:56:29.160] 物しゃがんでここ来るよ
[00:56:34.160] はい
[00:56:39.200] 危ない
[00:56:42.799] う
[00:56:45.640] バフ生き止まる行き止まる
[00:57:02.000] 上下行かない方がいい
[00:57:04.000] わいやこいついるでこういうことかうい
[00:57:09.520] ういえいえいさっきの学んだぜ
[00:57:16.000] うい気をつけてばちゃんで入る
[00:57:29.359] ああ苦しくなるねこの
[00:57:33.240] ゲーム精神共に削られる知りたいあれあれ
[00:57:44.520] も最初の一面もこんな感じだったよ最初
[00:57:47.880] 最初ねこんな感じだよねこのゲーム絶対
[00:57:50.079] クリアできねましてないんだけどズルズル
[00:57:54.520] でしかしてないんですああああ女
[00:57:58.720] あ
[00:58:03.640] いなんか
[00:58:05.480] 1番上にも下にも最入れる
[00:58:08.640] し嘘
[00:58:12.880] だいい
[00:58:20.240] ねし
[00:58:22.960] てるしかねえのこれっちゃったばいいのか
[00:58:26.480] ダ
[00:58:29.680] わあ来て
[00:58:31.839] た
[00:58:34.640] うわあもうもう後ろ向いたら
[00:58:40.039] だ嘘もうゲームオーバーマジかよ1個
[00:58:43.079] もらう
[00:58:47.000] ぞップえいえい食うやない
[00:58:53.680] ねんああ
[00:59:01.319] あっとね
[00:59:05.440] 難しいだっっけあそっちかう
[00:59:10.440] 俺こっちになろかいやいい
[00:59:17.130] [音楽]
[00:59:27.599] 音楽
[00:59:30.559] 怖い正直
[00:59:35.960] すベーンああごめん
[00:59:41.280] なさい集中
[00:59:45.039] 集中一気
[00:59:47.960] コ
[00:59:52.039] よしグラ
[00:59:55.039] えー集中
[00:59:58.079] トレイン俺らだけでリスナーも
[01:00:07.680] グダグダけるよよ
[01:00:22.480] オ落ちからおはようですみさんおはよう
[01:00:27.039] おはようございます終わってねえまだこの
[01:00:28.680] ゲームああ
[01:00:33.280] や落ち着い
[01:00:35.440] て
[01:00:42.680] はいえい
[01:00:44.920] おい
[01:00:50.000] ね順番順番
[01:00:59.319] げなんでこれなんで飛び越えられんの
[01:01:03.160] うまくない
[01:01:10.440] [笑い]
[01:01:11.760] 合気合もクソもねえ
[01:01:16.480] じゃん
[01:01:20.319] さし
[01:01:23.960] はあパッションパッションパッション一気
[01:01:28.680] にバタバタと死んでく
[01:01:31.000] 笑ファッション
[01:01:35.319] パッションパッションション女いる女女
[01:01:42.440] 女うわもうラガー
[01:01:46.000] マンタッチダウンしてくるラガーマン
[01:01:49.799] がタッチダウンしないでくれ
[01:01:56.000] くよンびっくり
[01:01:58.880] ファッション女ごめ女女女女
[01:02:03.400] 女ラガラガラガラガラガ
[01:02:08.680] ラガラガこれはカみたいになってきたごま
[01:02:14.119] 顔
[01:02:16.160] ああこの配信初めて見た人なんて思うん
[01:02:19.279] だろラガー女女女女
[01:02:22.119] 女女女ラガーラガーパッションパッション
[01:02:26.119] 何言ってんだこいつらと思何言ってんだか
[01:02:28.880] わかっレザーレーザー
[01:02:33.240] レザパシンああ取れないあ取よし猫取れ
[01:02:44.760] た
[01:02:48.920] あぶ
[01:02:50.520] あここむいな俺
[01:02:56.160] だ
[01:03:00.359] 分かるし
[01:03:02.400] てこ場所
[01:03:06.720] パお
[01:03:09.160] [音楽]
[01:03:26.599] 了解
[01:03:29.200] ゴシ
[01:03:31.520] うしストロング
[01:03:34.799] ビリーブ
[01:03:37.079] イス
[01:03:39.079] ら負けね女女女
[01:03:45.559] ラ女
[01:03:52.319] 女バイバイバイバイバイ
[01:03:57.160] そんな
[01:04:00.240] すごいここ自力でこすのしんどいなここな
[01:04:06.079] ここやばい
[01:04:11.599] よ
[01:04:13.640] にマションでた行けない
[01:04:19.440] な後ろいやいやスペクト
[01:04:26.240] 武器とかパワーアップするの武器とかうん
[01:04:29.640] あるパワーアップていうかアイテムがあれ
[01:04:36.240] 出ないねもう
[01:04:39.119] ない雑魚の攻撃発く耐えてほしいね本なん
[01:04:44.000] だよねんよこんなとこに乗り込んでくのに
[01:04:49.359] 裸
[01:04:56.039] 見えないねここ
[01:05:00.680] ね女女女女女女女女女いやその死に方は
[01:05:06.279] ない今のひどいね今のひどいやっちゃった
[01:05:09.880] ねいを使っ
[01:05:11.880] ていや
[01:05:13.920] えよあここ俺すわじゃあじちゃんこ
[01:05:17.680] 下手くそわ
[01:05:20.720] [笑い]
[01:05:23.200] あとししょやね
[01:05:26.359] しょうがないょ
[01:05:40.039] ない
[01:05:44.359] にいしゃがみ方が身ですね
[01:05:47.680] 怖怖オー
[01:05:51.839] よしマイケルジャクソンみたいな声
[01:05:56.240] マイケルジャクソンいかないからマイコ
[01:05:58.440] マイコ
[01:06:02.920] いマイコマイコじゃ
[01:06:06.440] ね
[01:06:11.079] あほえまマイケル3体ぐらいいた立体あの
[01:06:19.160] すごいね3Dでいた何がいいってんだか
[01:06:22.440] わかん
[01:06:23.960] ねえモバです
[01:06:35.240] ああ
[01:06:37.799] 悔しい悔しいけど大丈夫
[01:06:40.599] おめえで大丈夫な時間とか時間は大丈夫だ
[01:06:44.039] よ時間は大丈夫だああ時間は大丈夫いや
[01:06:49.039] マジで帰ることも考えてさ介護帰ることも
[01:06:53.880] 考えてあそれは大丈夫
[01:07:00.200] だゆパソコンつけてもそうそのそれその
[01:07:03.920] 指標なのゆがパソコン作ってたらせの問題
[01:07:08.440] じゃないけどご飯食べよか飯ないねんな
[01:07:13.279] もうなんか
[01:07:21.839] 食べいいんだけどね食べた方いいんだけど
[01:07:30.839] ピザ頼もう
[01:07:34.119] かガスト
[01:07:38.559] で
[01:07:41.160] よし後ろ後ろ
[01:07:44.359] おお
[01:07:51.279] ろ後ろ
[01:07:59.720] すぎるよし行く
[01:08:02.319] よりこいつ
[01:08:07.640] し
[01:08:10.240] オオじゃない何があん
[01:08:13.400] だそこで死ぬ
[01:08:16.600] あもったいない今
[01:08:20.279] のもったいない
[01:08:22.839] なお願い
[01:08:38.239] スまだよ
[01:08:57.880] ないい
[01:09:06.880] ナス上も
[01:09:16.000] いるあ嘘俺真ん中の乗れるかと思ったああ
[01:09:21.199] なるほどね
[01:09:24.359] オオオオ
[01:09:26.000] [音楽]
[01:09:37.080] オッケーイ
[01:09:59.360] 2人ともこのコスプレでやっ
[01:10:02.560] てご飯食べてきたご飯食べたいのなんか
[01:10:06.640] 食べる食べたい
[01:10:08.199] な眠けどまねまけどそれはそれでいいよく
[01:10:19.920] ねえ
[01:10:22.520] ちゃいあ
[01:10:27.520] 入れられるこれは1つ
[01:10:35.400] ですああ上がん
[01:10:40.679] ねここはおめえより
[01:10:46.360] め危ねえ
[01:10:48.410] [音楽]
[01:11:00.080] はい
[01:11:01.719] ああなんです
[01:11:07.840] か
[01:11:09.760] えいけ気を
[01:11:16.040] つけ
[01:11:22.320] ほああや
[01:11:34.640] あし立ちハタあるよ
[01:11:38.639] あああ
[01:11:41.440] もう
[01:11:47.920] 頑張ろうあおめえの方見てたらラガーマン
[01:11:52.239] 来てたわ
[01:11:56.520] 疲れ
[01:11:57.920] たまコンティニュは切れてない笑笑
[01:12:03.320] しやばいまた眠くなってきてるまずいねじ
[01:12:08.840] また眠くなってきてる
[01:12:15.520] ねやばいやどうでもいいやつが発し
[01:12:21.120] てる重が発してる
[01:12:25.360] こ怪しいこれ本当は画面外で寝てるので
[01:12:31.159] はあそのその方法がある
[01:12:34.800] のでやろ
[01:12:40.199] 私は間違っていた
[01:12:55.520] 危なちょもろゾフのプリン食べながら見
[01:12:59.639] てる何もろあ美しやなんじゃない
[01:13:06.199] 多分
[01:13:08.280] オ
[01:13:14.760] オちゃまさん目とレベルなのに操作破する
[01:13:18.880] 時あるから起きてるのか寝てるのかわから
[01:13:21.400] ない時ある俺もう魂で操作してファミコン
[01:13:30.600] はナスがママ
[01:13:39.960] ですだ
[01:13:56.080] 後ろと
[01:14:03.880] 前これやっぱ
[01:14:05.960] カバーないダメだ
[01:14:08.239] ね後と前
[01:14:11.719] でFPSかよこれカバ入ると
[01:14:16.880] かびした急に
[01:14:18.920] でかい怖いな
[01:14:26.159] マに言われと思わなかったです
[01:14:28.719] うわ何当たっ
[01:14:32.760] てやつが来て
[01:14:39.360] た
[01:14:43.840] あいはい茶ギスギス茶
[01:14:53.560] 確定張れよ
[01:14:56.520] な
[01:15:04.400] よし眠
[01:15:09.280] て
[01:15:12.840] よしはいめです
[01:15:41.000] おい
[01:15:59.760] やあ寝てる
[01:16:04.280] おはよう2回目の
[01:16:08.159] おはよう食べるかなんかもうにすっ
[01:16:13.600] か任せますよちゃあなたも帰らなきゃいけ
[01:16:18.880] ないから
[01:16:20.120] ねは違うそっちを心配しおんのにやって
[01:16:24.920] 眠くなって帰れなくなっちゃったら
[01:16:26.159] しんどいだよ寝る帰りはメガネで帰るさ
[01:16:30.440] そういうそういうことじゃないんだ
[01:16:32.239] よ
[01:16:34.520] あ
[01:16:36.880] ああ
[01:16:42.000] バーパうわこっちの椅子最高じゃんこれ
[01:16:45.159] そうそれすごいんよやっぱ椅子って大事だ
[01:16:48.000] な椅子は
[01:16:49.360] 大事
[01:16:51.440] 何クッション取りに来たそう一瞬で
[01:16:56.719] もういいやめもう終わりにしようぜ疲れた
[01:16:59.760] クリアだしクリアしたじゃあけこ石は大事
[01:17:05.000] 茶まどなでなで
[01:17:07.760] この感じがあれだねいい感じ
[01:17:11.880] の対格になってんじゃ
[01:17:16.000] ないだいぶ引いてるけどね
[01:17:20.360] うん大丈夫眠
[01:17:24.370] [音楽]
[01:17:35.320] なんで一緒んとこで裏行くんのやっぱり
[01:17:39.000] すごい
[01:17:40.000] ね一緒んところで裏
[01:17:43.239] ちょうど小説分からだよね4つんとこで裏
[01:17:47.120] 行こうと思ったでしょあああるよなそう
[01:17:50.120] いうの笑笑何の儀式笑
[01:17:57.880] よグースローク
[01:18:01.000] レドロク
[01:18:03.120] タイ疲れてるねって多分もうタイヤや
[01:18:07.120] ベリーベリー
[01:18:08.440] タイヤアンド
[01:18:11.440] アングリーアングリーラブラブじゃねえ
[01:18:14.210] [音楽]
[01:18:17.840] か
[01:18:20.400] 頼む帰れ
[01:18:23.320] 帰れれって言われ
[01:18:26.320] た帰れって言われた帰れいやでも俺絶対
[01:18:31.760] 帰った方がいいと思う
[01:18:33.920] よブラック肘方の配信
[01:18:38.040] 画面こっちこっち
[01:18:42.560] こちあれしようあれあのあれ
[01:18:47.120] あれなんだっ
[01:18:51.880] けマウス
[01:18:56.639] なんかあれしない
[01:19:00.639] よこれってどどっから持ってきたのこれあ
[01:19:06.639] うんああ
[01:19:10.080] ねマイクロソフトに入ってるやつなんか
[01:19:13.120] 明るくなるゲームやろうぜそれもありだよ
[01:19:16.280] ね帰る前に寝とかなくていい
[01:19:21.159] の
[01:19:22.880] んあ
[01:19:26.199] 買にどかなくていいのうん多分大丈夫じゃ
[01:19:29.400] ないかなとは言ってる間に帰った方がいい
[01:19:34.480] よと言ってる帰りながらえいて帰ってるか
[01:19:38.600] 車
[01:19:40.240] [音楽]
[01:19:44.440] えい
[01:19:46.000] うるさい
[01:19:47.840] 笑笑うるさいてわ
[01:19:54.760] 行ってきちゃだめだなんでだめ
[01:20:00.120] だちゃまさんのお家から近いのですかはい
[01:20:06.840] はい2人して
[01:20:11.560] え1時間ちょっととっすね1時間1時間
[01:20:15.880] かかんねえべいや夜だったら夜だったら今
[01:20:19.120] は確か今はもう21時間半ぐらいかないや
[01:20:22.120] 絶対あれ白場いるからスピード出さない方
[01:20:24.199] がいいよ
[01:20:25.800] いるいる日曜の昼はいるまじかお捕まった
[01:20:29.120] も結構ある1万8000円パジャマ結局来
[01:20:32.920] たのあ来て
[01:20:34.679] ないこのままずっと通してるうんもう俺も
[01:20:40.600] 眠いちょっとねて
[01:20:43.159] あのまた捕まったの本当にあのうどんとか
[01:20:46.600] 食いた何食いたいかどうか知らねえだたら
[01:20:51.360] 配信切て食いあ普通に解散んじゃ
[01:21:00.520] ないまなんでもいなんでもいいとりあえず
[01:21:04.520] あの
[01:21:06.199] せはそれがいいと思う
[01:21:12.400] 笑笑コントラは今クリアし
[01:21:20.440] たテロひくるくるださっきまで悔しいよな
[01:21:26.880] あんな裏使ってよとか言ったに今もうあ
[01:21:30.239] もうクリアはいおコトラ
[01:21:33.600] クリアいやクリアはしましたクリアはした
[01:21:36.480] よだってエンディング見たもんうんクリア
[01:21:38.360] はしたよねクリアしたた俺たは勝ちだよね
[01:21:42.040] あ俺だよくやったよなうんうんよくやった
[01:21:45.719] よクリアはしてるクリアしてるよねうん
[01:21:48.199] そうだね我が輩さんも言ってんだもんほら
[01:21:50.080] 輩ククリアクリアはした方法は何すよ
[01:21:54.560] クリアはしたあそうだねだ別に俺ら逃げ
[01:21:57.760] てるわけでもないし諦めたわけでもないね
[01:22:00.120] 勝ったクリアはした勝つじゃもういい
[01:22:03.840] ファミコンしまってへいもうファミコン
[01:22:08.360] しまっていいふーんずるし
[01:22:11.920] たずるなんかしてねえよただ残機ちょっと
[01:22:14.880] 増やした
[01:22:16.679] だけただ残機をちょっと増やしただけ別に
[01:22:19.440] ずるはしてないっすずるくないよね別にね
[01:22:21.760] そうあのゲームの方がずるいよなあん無理
[01:22:24.199] だよ
[01:22:25.360] それをどう思うかどうか
[01:22:27.199] は俺たちはそうは思わないルプはないでも
[01:22:31.000] そもそもクリアするまでだったからねそう
[01:22:33.719] だねそうだよねまあまあまそうねじゃあ
[01:22:37.040] もう終わりに
[01:22:40.639] しようじゃもう終りもういやあのねぜひ
[01:22:44.760] やってください27機増やしただけだもん
[01:22:48.760] なピザ食ってろクリアするまで縛ってない
[01:22:54.800] かそう縛りプレーとかあけど多に縛って
[01:22:58.000] ない何もしてない悪いことしてないでしょ
[01:23:01.120] 確かに縛ってないね勝ち
[01:23:03.600] でしょ言われてみれば縛ってないわどうだ
[01:23:06.520] よあれお腹痛いって言ってたから油物はく
[01:23:10.800] なあありがとう
[01:23:13.440] あでも油も好き食べんの
[01:23:17.719] か確かに縛っ縛ってない勝ったでしょ俺
[01:23:23.440] イそ
[01:23:26.400] でだってだってじゃあさこの後じゃあ何
[01:23:29.360] もうもう1周するまでやんの無理でしょ
[01:23:31.520] それ
[01:23:34.480] は胃腸が弱ってる時に食う
[01:23:38.120] な胃腸が弱い私が言うんだから間違いねえ
[01:23:42.360] ラーメン食ってき
[01:23:44.199] な天使た悪魔は言だ
[01:23:47.760] ね電し
[01:23:52.239] てハイマウント行くラーヌン食べよう
[01:23:56.360] ラーヌンああでも本当俺もうどんとか
[01:24:00.199] そば食いてえななんかうどんだな俺はあの
[01:24:04.280] ね道の駅あるじゃんああインドカレそこの
[01:24:07.520] そばめっちゃうまいあカレー屋さん行くや
[01:24:11.159] だよなんかか
[01:24:13.199] 返かわされるじゃんかわされない大丈夫だ
[01:24:17.040] よ大丈夫ガネ者大丈夫あるのここにカガネ
[01:24:22.239] 者はや者じゃ
[01:24:24.639] 最初にノーガネ車車かわされるノーガネ車
[01:24:28.600] まあそこカレマジうまいよなとかナンの
[01:24:32.080] とこはうまいよねうん間違いガーリック
[01:24:34.360] チーズなんとかなああ最高にうまいマジで
[01:24:38.400] なんかなんかスってついてこない
[01:24:40.639] ラッシーああうんラッシーは俺頼まない
[01:24:43.360] ええ美味しくないのあれう美味しいよ
[01:24:46.239] なんか気持ち悪くないうん美味しい
[01:24:49.280] うるせえバナナジュースみたいなや
[01:24:50.920] うるせえカレー派辛いから胃腸にスコブル
[01:24:53.760] 悪いよ
[01:24:56.480] もっちん俺何食えんの今何だったら食えん
[01:24:58.760] だろう
[01:24:59.920] 俺おかゆと
[01:25:02.920] か病気やおお
[01:25:06.400] 茶漬け食うって言わね
[01:25:12.040] おさカレーは逆にスパイスだからいいん
[01:25:15.080] じゃないまだラーメンの方がまだいいあ
[01:25:18.400] 本当スパイスっていい
[01:25:20.920] のそんなあそこ辛くないから激辛とかじゃ
[01:25:23.840] ないもん選べ激からも選べるけどバター
[01:25:27.199] チキンカレーとかだったらあなるほど
[01:25:29.040] バターチキンとかだったらあの
[01:25:32.480] 甘い甘い辛いの問題なん
[01:25:35.740] [音楽]
[01:25:37.960] かかインド人は風の時カレー食うらしいよ
[01:25:42.760] 辛いもの食べてお腹下す人がいるやろそれ
[01:25:46.239] と一緒うん確俺もシラーメンと
[01:25:50.000] か食った後だとあのお尻いくなる
[01:25:55.159] そうすごいよね痛いね痛いだからもう痛い
[01:25:59.800] もん食べ
[01:26:01.760] ない痛いものは食べないけど痛いのは好き
[01:26:04.760] だ
[01:26:06.800] ねあそうなんだうんじゃあコントラ勝ちっ
[01:26:11.239] てことでいいす
[01:26:13.360] かどどジャッジしていいよ俺のあれじゃ
[01:26:16.840] ないジャッジしていいよコントラ勝ちらジ
[01:26:21.040] 俺がて勝つか負けか勝ちか負けかどっちか
[01:26:25.880] どっちかどっちかどどっちか勝ちはい
[01:26:29.159] 終わりですあ
[01:26:31.470] [笑い]
[01:26:33.239] た
[01:26:35.159] こんなこんなこんな耐久配信ない
[01:26:39.470] [音楽]
[01:26:41.199] ぜこんな感ないっすよいや悔しいけどね
[01:26:46.760] いや悔しくないよ俺たちはパチ俺たちは
[01:26:50.719] やることをやってちゃんと勝ったんだよな
[01:26:52.920] も別悪パチパチパチあしてない
[01:26:57.360] パチパチパチあごしてないねぽよ配信者が
[01:27:01.440] 満足ならそれでいいですよお疲れ様だよ
[01:27:04.920] ゆっ十分楽しんだよねめっちゃ楽しんだ
[01:27:07.679] 1万6000円分全然楽しんだ楽しんだね
[01:27:10.600] 2人面白かったしね面白かっ
[01:27:14.719] たこれ続編あるんすけどどうします最に
[01:27:18.360] ドックスさん言うてたからね通常プレイが
[01:27:21.760] ロだと隊長だけあるつったら
[01:27:26.400] やるえあのなんか残機増やせるやつないの
[01:27:30.119] あどわかんだ
[01:27:31.960] けど縛りは絶対やめやだよニって笑無無
[01:27:37.119] 続編あるんすよこれスーパーコントラ
[01:27:39.639] コントラスピリッツとかねコントラザ
[01:27:42.320] ハードコア色あるハードコアも名前が
[01:27:45.400] おかしいりなし
[01:27:47.440] でいっぱいあるねってや属ありますね笑
[01:27:52.320] あるあるんだ怖い
[01:27:57.760] なあ面白かったです
[01:28:01.199] コントラ遊んだな今日
[01:28:03.679] は随分遊んだよ長いよね13時間半やっ
[01:28:08.600] てんもん
[01:28:10.080] ね
[01:28:12.080] すげえ頑張ったどうする飯食る1回ザ
[01:28:15.280] グレートバトル挟んでも良いかもねほんま
[01:28:18.239] お疲れやであザグレートバトルまなんかで
[01:28:21.719] もなたじんちゃんとやりたいすね疲れ
[01:28:24.520] なんか2ピプレイなんかもうちょ優しいの
[01:28:28.760] でいいよねなんかもっと優しいのがいいな
[01:28:31.719] いやでもコントラは燃えた燃えたマジでえ
[01:28:35.600] めっちゃ頑張った燃え
[01:28:38.080] たん24時間
[01:28:41.360] テレステ
[01:28:44.360] テレステあれはでも1人プレだ
[01:28:47.280] から燃えたね燃えたねコントラね面白かっ
[01:28:52.960] たまた
[01:28:55.000] 来年タートルズとかいいよあタートルズね
[01:29:00.040] かとちゃんけんちゃんとかもいいよね2P
[01:29:02.560] プレイねああれできんだできるらしいよ
[01:29:05.320] あとはなんだろうでも色々あるよ本当に2
[01:29:07.560] Pプレイできる
[01:29:11.840] ゲームい俺スパイアンドスパイやりたいん
[01:29:15.159] だけど今日はいいや
[01:29:18.480] え
[01:29:20.119] 回る日に1回吐きたくなるテレステって何
[01:29:24.560] 度もいるけどYY2は簡単あYY2は
[01:29:28.320] じゃあ2人でやろっかああオオうん簡単
[01:29:32.560] その簡単がそのまニコがクリアまニコの
[01:29:37.000] 下手って言ってるわけじゃないですからね
[01:29:38.440] でもニコがクリアできるぐらいってこと
[01:29:40.199] 常識の範囲でしょその指標だよねスパイ
[01:29:42.560] やってあげ
[01:29:43.750] [音楽]
[01:29:45.679] て1回やるスパイアスパイやるかズの
[01:29:53.400] [音楽]
