[00:00:28.760] はいお疲れ様です
[00:58:43.119] 完全に忘れてたどうしようもねおんねえ
[00:58:45.960] 名前つけちゃってねイ民だだろうかイ民
[00:58:48.799] ダニちょっと種食う
[00:58:50.440] べ種食う種橋も
[00:58:54.440] タウンくそくそだせえもう力の種は
[00:58:59.400] アリーナさんが食べれば一番いいんだ
[00:59:01.960] から命の木の実はチゲ自分で自分のこと
[00:59:05.880] ちゃまゲーって読だはずなんか市民みたい
[00:59:07.880] な発音しますねえイミえ移民でしょイミ
[00:59:12.880] イミでしょイハメタルの剣手に入れてない
[00:59:15.400] という
[00:59:16.440] ことそれが絶対乾きの石なんだよなんか滝
[00:59:19.960] の洞窟って言ったけど滝なんかあった今
[00:59:23.039] まで滝の洞窟って言ってたけど全然わから
[00:59:27.240] んちょっとだからマジもう世界回ろう
[00:59:31.079] ぜなんかまだ種食ってねえのありそうじゃ
[00:59:35.520] ねないか種持ってあるやんけ力の種食わせ
[00:59:41.079] あねステータスメイクだとさすに大丈夫
[00:59:44.880] ステータス件なんかあんのお疲れちゃん
[00:59:47.160] 今日はえと今日もスーパー作業会でござい
[00:59:51.680] ますよかったら落ちにでも使って
[00:59:55.039] くださいス上限なんかあるんだ今日はこの
[00:59:58.520] 移民の街を完成させるのとレベル上げで
[01:00:03.079] ございますけど石を手に入れた村で情報
[01:00:06.119] くれないかね滝の動めて
[01:00:11.119] そう川の石を手に入れた村そうだね落ち
[01:00:15.559] 助かるまちょっとうるさいんで忘れてるか
[01:00:18.359] もしんないあのうるさいんであれかもしん
[01:00:20.079] ないけど滝の洞窟を求めまでだから
[01:00:23.720] アリーナ使わなくてもちゃうそういうこと
[01:00:27.039] なのえ今どんくらいなん
[01:00:30.839] だろう力
[01:00:33.000] 205もうなんか225行きそうじゃない
[01:00:36.200] あでも最大HP289ってことは
[01:00:41.640] 2002255ってあれなんじゃないの
[01:00:45.039] 255ってたまる超えるんじゃない
[01:00:48.559] のどうなんだろうほら攻撃力あ攻撃力
[01:00:52.640] 230えどうなのこれって255で止まる
[01:00:55.760] の
[01:00:58.160] え255で止まるんか
[01:01:12.079] これえっとどこでもらったんだっけだけは
[01:01:15.119] 上限違うよファミコン版からあそうな
[01:01:17.760] えばんは今配信するとはあごめんごめん
[01:01:20.880] ごめん今日はちょっと遊び行ってて帰って
[01:01:22.839] きて速攻速攻じゃねえなちょっとゆっくり
[01:01:24.920] してけましたムとハえーこれ255で
[01:01:29.480] 止まるんかい255で止まるとしたらもう
[01:01:32.599] 種あげなくていいじゃんだてあとあとだっ
[01:01:34.599] てそんなアリーナなんてお前
[01:01:36.480] もうもうあと5レベも上がったら行っ
[01:01:41.039] ちゃう
[01:01:44.160] でしょ205だよ素なんなら素早さも行き
[01:01:47.839] そうじゃんなんなら素早さも行きそうじゃ
[01:01:51.359] ねまいっかじゃちょっと種ちょっと俺が
[01:01:55.079] 食おう次
[01:01:57.440] は滝の洞窟ってどこ
[01:02:05.880] よ滝のトイレあの駅のホームでさあの
[01:02:12.119] アナウンストイレでアナウンス流れてんの
[01:02:13.960] 知ってるこの先は滝のトイレですって言う
[01:02:17.799] んだよなんか滝のトイレってあるよなんか
[01:02:19.839] 滝のいろんな機能があるトイレ俺ずっと
[01:02:23.200] ガキの頃滝のおトイレって滝のおトイレか
[01:02:26.480] と思っ
[01:02:27.279] さどういうトイレどういうトイレなんだと
[01:02:30.359] 思っ
[01:02:31.440] てどういうどういうトイレなんだすごそう
[01:02:36.640] そうなんかあのうんち滝に流すんかなと
[01:02:39.039] 思ってこの先は滝のおトイレですこれ滝の
[01:02:42.920] おトイレかここあ待って待って待ってこの
[01:02:45.559] 辺とか何行ったちゃんとこの辺何この洞窟
[01:02:48.000] なんか行ったっけちゃま
[01:02:49.640] 笑笑滝のお
[01:02:51.960] トイレえなに
[01:02:56.039] ここ知らない
[01:03:04.119] です何これ知らない誰テラノ
[01:03:08.400] ザースあクはだえここ何ここってわし行っ
[01:03:13.720] たどここれ
[01:03:15.760] あああバタかあバタの洞窟だこれ関係ねえ
[01:03:22.039] やえ滝のの
[01:03:26.599] 滝のんだっけ滝の洞窟って
[01:03:31.279] どこ滝の
[01:03:34.200] 洞窟えこれ裏切りのあれだよ
[01:03:38.119] なここはあ待って何ここえこんなとこあっ
[01:03:44.760] た絶対
[01:03:47.400] いらここが世界なん
[01:03:52.240] です絶対ここじゃつけだわ見つけたここが
[01:03:56.880] 私の生きる道見つけましたもうもう
[01:03:59.480] ギガデイン物販負けねえだろさすがにあ
[01:04:02.720] 待ってこのこのあ待って滝のトイレが待て
[01:04:05.920] 待て待て待て滝のトイレ来た待てトルネ
[01:04:08.680] なんか連れてかねえよバカ誰がお前場
[01:04:12.760] ちょっとすごい着力だとる猫笑笑ネなんか
[01:04:16.440] 連れてくわけねえ
[01:04:24.079] だろなえダンジョンは得意やろとるねは
[01:04:30.000] えどうしよっかなクリフトは絶対強じゃん
[01:04:33.480] あと1匹ここボスいるんかなマーニで行っ
[01:04:37.839] ていいせとマーニで行っていいここちょ
[01:04:40.799] ミネアじゃなく
[01:04:42.079] てたまにはちょっとマーニャも連れてき
[01:04:46.799] たい滝のトイレ
[01:04:49.960] にみたいなった
[01:04:53.240] 滝のトイレ行きてなな嘘それそうでしょ滝
[01:04:59.480] にはセクシーな女って昔から相場が決まっ
[01:05:02.440] てるでしょギガデイン破できますちょっと
[01:05:05.520] 命令めどいいわ貴様に作戦を変える
[01:05:09.279] ばっちりやっちゃってけにやっちゃっ
[01:05:13.680] てアカスがちょっと俺せっかくギガデイン
[01:05:17.559] 待て俺俺にギガデインを撃たせろ
[01:05:25.960] すっごいもったいないじゃんこいつにギガ
[01:05:27.720] レ打つ
[01:05:28.920] のん贅沢な死に
[01:05:34.599] 方ちょこの子た強すぎね
[01:05:39.279] ちょっとこれあれなんじゃねここで乾きの
[01:05:42.079] 石使うん
[01:05:44.279] じゃん誰が持っておい待って力お前なで
[01:05:47.319] 自分で力の種持ってんだよ俺に食せなさい
[01:05:50.279] ピンオフ作品に出たことあるっけブライ
[01:05:53.440] ないねライアンもなかったんだけども最後
[01:05:56.359] に喜んだ栄だよなライアンもなかったんだ
[01:06:00.039] けどライアンはスイッチ版のあのなんだっ
[01:06:04.000] けあれに出たよなあのなんだっけえっと
[01:06:06.640] ドラゴンクエストヒーローズ2元々出て
[01:06:10.000] なかったのに追加キャラとしてあの
[01:06:12.440] スイッチ版の2には出てくるのよでも
[01:06:15.920] ムービーシーンとか元々いなかったから
[01:06:18.720] ムービーシーンとか一切出てこないすごい
[01:06:20.960] け感が
[01:06:22.319] すごいライアンねあのプレーキャラで出
[01:06:25.319] てく
[01:06:27.160] だやるんだったらスイッチ版の方がいいあ
[01:06:29.760] もうラスボス倒したんよラスボス倒して名
[01:06:33.039] お疲れで裏ボスこれから裏ボス方が幸せ
[01:06:36.200] だったのではうん追加だあそうあれ追加な
[01:06:38.200] んだよだからスピンオフで出たの初めてな
[01:06:40.640] んじゃないライアンってそうなんですよ
[01:06:42.920] 普通だったらそこで終わるところですが私
[01:06:45.520] は味違う配信者なので裏ボスまでやります
[01:06:49.160] 良かったよボス行ってくれてて行くに
[01:06:51.799] 決まっとろうが
[01:06:54.520] よブ誰が乾きの石持ってんだ乾きの石って
[01:06:59.520] 誰が持ってんだ
[01:07:02.880] よ
[01:07:08.240] え
[01:07:13.000] え1番カサカサしてるやつ
[01:07:16.839] 探せ分かった馬車の中だ誰が持ってん
[01:07:24.520] なにゃバターにゃバターにゃにゃバターが
[01:07:28.200] 持ってんの
[01:07:30.359] ライアンいや多分あのデブが持ってると
[01:07:34.599] 思う強欲
[01:07:38.319] デブここって何があるのボスいるんですか
[01:07:42.000] トルネはしっとりして
[01:07:44.079] そういやでもな世の中にはカサカサなデ
[01:07:47.000] ブってのもいるんだよいや世の中には
[01:07:49.880] カサカサなデブって俺がそうだから俺デブ
[01:07:52.760] なのにめっちゃカサカサ
[01:07:56.839] もう耳たぶとかちぎれるから冬あの
[01:07:59.319] カサカサしすぎてカサカサのデブそうなん
[01:08:01.760] よすいたところでカやろなそうあまあまあ
[01:08:04.760] もう今の俺からしたらな確かに
[01:08:08.119] ね唇とかバリって割れる
[01:08:12.440] からほらなとる猫が持っ
[01:08:16.640] てらよせやお前それ俺
[01:08:19.239] に女の子にはあんまり持たせたくないあの
[01:08:21.719] お肌お肌がお前が持てクリフトお前どうせ
[01:08:24.400] カサカサでも誰もだ
[01:08:30.600] から
[01:08:32.480] ラララここですかここで使うんです
[01:08:39.239] か
[01:08:47.279] お給水力すごすぎやろ
[01:08:51.480] すげえあれ見たくなってんじゃんなんだっ
[01:08:54.600] けあのディズニーの映画でちょっと前に
[01:08:56.759] なかった女の子がこう海バーって割るやつ
[01:09:00.960] わかんねえやごめんよくわかん
[01:09:04.080] ない
[01:09:05.839] えもせなんかわどういう映だっけ忘れて
[01:09:11.799] たえ最後の鍵じゃないのあこれあれか馬車
[01:09:16.359] がねえから待って分かったモアなかモアな
[01:09:19.920] モアなそうそうそう
[01:09:21.640] これああ便利グダグダ
[01:09:25.960] グダグダやな鍵もダメなんだ持ってないと
[01:09:28.960] なんで
[01:09:30.080] だ鍵も取り行かなきゃいけね最後の鍵持っ
[01:09:33.679] てか
[01:09:36.400] なきゃやりなさいやるグダグダグダグダ
[01:09:41.159] グダグダグダグダ
[01:09:47.960] や
[01:09:51.159] おれここは何があるのこの奥には
[01:09:59.960] だあ乗るな何をしてるんだ
[01:10:07.159] よ最後の鍵誰が持ってんだよ確かめ
[01:10:12.679] てファミ2の攻略本みたいなこと言う
[01:10:15.560] じゃんこの先は君の目で確かめるん
[01:10:18.560] だ最後の石最後の
[01:10:21.159] 石最後の石お前が持ってんのか鍵だって
[01:10:26.800] ごめんこれはアリーナに持たせて
[01:10:37.679] あげるよしこんばんはおさんこんばんは
[01:10:41.719] 今日はアリーナにもスーパーなんで
[01:10:44.719] スーパー作業会でござい
[01:10:47.239] ます
[01:10:48.800] お時の砂って何器用だから開ける時げる
[01:10:54.239] ぞ破ってほしい
[01:10:56.840] けど今日はスーパー作業会とごます前回ね
[01:11:00.199] あのデスピサロラボス倒してえ裏ボスの第
[01:11:03.480] 6章まで来たんですけども今日はレベル
[01:11:05.000] 上げと移民の村とえ取ってない宝箱を取っ
[01:11:08.760] て回ろうという
[01:11:10.560] スーパーこの土曜の夜中にぴったりな
[01:11:13.440] スーパー作業会でございます使ってみれば
[01:11:16.520] 何時の
[01:11:18.040] スナックズかけ
[01:11:26.360] 落ちにぴったりそうですよ僕もできるだけ
[01:11:29.800] でかい声出さねように行くわ
[01:11:35.719] よろしくさえ使ってみよっか
[01:11:41.040] な戦いの戦いの時を戻す言っていいなら
[01:11:45.880] 言うけど果
[01:11:49.960] そあいてあったいの時を戻すのえるかえ
[01:11:55.800] どういう
[01:11:57.199] ことなんだっけ時のあのターン戻すやつか
[01:12:01.239] えそれって何メタルガに使える
[01:12:03.800] のそれそう今もうさんに言われちった俺
[01:12:07.280] それそれが出てたのにさ誰だっけなと思っ
[01:12:09.560] てペコパだペコパみてえじゃんて言うと
[01:12:12.080] 思ったのにちくし言われちった先
[01:12:14.639] にペコパみてなこと言ってんじゃんと思っ
[01:12:16.920] たペコパが出てこんかっ
[01:12:18.480] たを戻そうしいっけ茶顔消費え消費
[01:12:23.920] アイテムじゃないでしょ多分
[01:12:27.480] ペコパじゃんペコパって何時の砂使ってた
[01:12:31.840] のも敵が弱すぎて話にならね敵の砂使う
[01:12:36.360] までもねなが強すぎる
[01:12:42.960] でしょ
[01:12:44.639] 何て何ごめんあのペコパンも俺あんまり
[01:12:47.520] 知らないんだ時を戻そう以外の俺にとって
[01:12:50.840] 今ニコがわけわかんないこと言ってるだけ
[01:12:52.440] になってるけど大丈夫
[01:12:54.120] のなんだっけえいオナねイオナいい女の略
[01:13:00.199] ですピウていう何そのそのネタがあるの
[01:13:03.679] ごめんわかんない俺ニコがわけわかんない
[01:13:05.360] こと言ってるだけになってるけど今俺
[01:13:06.639] 分かってないから
[01:13:11.320] よ
[01:13:12.920] 笑笑あれ覚っちゃっ
[01:13:16.120] たえ何何ピーウってペコパのネタにあるの
[01:13:20.880] ピーウっていうネタがどんなネタだよ
[01:13:23.960] どんなギャグだよそれピ
[01:13:27.960] て感がおもろいだけ
[01:13:32.440] やの
[01:13:34.360] 邪のって絶対呪われ装備じゃ何て教えて
[01:13:39.880] くれよ笑いさん
[01:13:42.199] こんばんは裏きますよコパのことをていう
[01:13:48.280] そうな
[01:13:50.159] の考え
[01:13:54.040] たらできねけどごめん知らないテシ
[01:13:59.520] テクシーあいつだってあれだもんなあの
[01:14:02.520] 我が輩は猫であるの我が輩のことヨガ
[01:14:04.760] ファイヤて言ってヨガ
[01:14:07.040] ファイア我が輩のことヨガ
[01:14:10.080] ファイア言ったくぬ好きやあいつ
[01:14:16.520] おもろいペコパはだっけラボス頑張って
[01:14:21.360] くださいありがとうよかったら見てって
[01:14:24.040] くださいよかったら見てってください言っ
[01:14:26.920] ちゃうからもうなんかあんまりなんかあの
[01:14:30.440] えもう挨拶だけで良かったのにって思って
[01:14:33.040] そうな人に対して俺言うからよかったら見
[01:14:35.040] てて
[01:14:36.159] ください退出しづらいみたいなあ気にし
[01:14:39.480] ないでくださいね冗談なん
[01:14:41.400] でま見ててくれたら嬉しいけどね見てて
[01:14:44.400] くれたら嬉しいですけど
[01:14:46.080] ね
[01:14:50.199] 笑笑言ってくからな言ってくからなこでも
[01:14:54.000] 一応パートナーになんなきゃいけねえから
[01:14:56.360] よ俺は
[01:14:57.800] なこれ
[01:15:00.120] な柔らか
[01:15:02.239] うんちちょっとこれマジ気持ちいいから
[01:15:04.600] ちょっと配信中握ろうと
[01:15:09.120] 思うなんが強すぎ
[01:15:11.920] るってまあがMPありすぎるエロいついた
[01:15:15.719] 時にもろうすのでこの後は夢の中はい
[01:15:20.120] なるべく起こさないようにちっちゃな声で
[01:15:21.840] 喋ります今日全くツイートせずにそこにち
[01:15:24.639] あったから完全にわせでおもらかったなっ
[01:15:27.239] てあ2人があのうんちミュージアム行き
[01:15:30.159] ましたってツイートで俺がここにうんち
[01:15:31.920] 置いて
[01:15:33.719] ある匂わせとか別にそんなあかんで匂わせ
[01:15:37.880] とかしちゃうそだってやしいことしてれん
[01:15:40.400] だから普通に遊んだって言えばいいじゃん
[01:15:41.719] 別になあなんか悪いことしてるか今じゃあ
[01:15:45.639] 今日あのニコとあのいわちゃんとあの
[01:15:48.199] うんこミュージアムってとこ行ってきたん
[01:15:49.679] だよあのお台場のうんこ
[01:15:53.280] ミュージアムおもろかったねっていう話
[01:15:55.679] ですもなでも俺は両手に花だったんでもう
[01:15:59.920] すげえドヤ顔で歩いた周りの男たちにおい
[01:16:02.679] おもろかったこの2人俺の女だから偵察す
[01:16:05.080] んじゃねえ
[01:16:05.960] ぞってこれ
[01:16:08.520] 何決まんたはぐれメタルの剣うん
[01:16:13.159] かぐわしい
[01:16:15.960] 香りさあ
[01:16:18.520] さうえどこだっ
[01:16:22.159] てハグメタルの剣来たメダル系によりあ
[01:16:26.600] そういう効果があるの心あって刈り上げ
[01:16:28.960] 部分買っていっあそうだよだ今日今日ここ
[01:16:31.520] すげえ綺麗だったのは女と遊ぶからだよ女
[01:16:34.120] と遊ぶんで剃ってったの
[01:16:40.760] 朝もしかしたら俺に惚れるってこともある
[01:16:43.440] かもしんねえじゃん
[01:16:46.639] へわかんねえからこっちもだからあの準備
[01:16:49.480] してこうと思っ
[01:16:50.639] てはぐれメタルの剣よし早速転売や
[01:16:54.880] いやいやうらないでしょえこれ天空の剣は
[01:16:59.040] でもチマは装備しといてほしいよねうん
[01:17:01.719] うんだよ
[01:17:02.800] な冗談冗談や冗談や待ってクリフトに装備
[01:17:06.600] させるってどうみんな
[01:17:08.719] なクリフトに装備させるって
[01:17:11.800] どうめっちゃ強いやんそしたらモハの剣も
[01:17:15.560] 持ってるどのつら下げてどこへ向かうの
[01:17:19.400] そっちのモハじゃないよってなそっちの
[01:17:21.800] モハじゃないよってうちリスナ知らなそう
[01:17:25.679] だからすぐ説明した今笑笑うちのうちの
[01:17:29.480] リスナーもろは知らなそうだからこの
[01:17:31.719] モノマネやった後すぐ説明したもろハって
[01:17:33.920] いうのがいるんすよこういう歌歌ってる
[01:17:35.440] やつがここで覚えたそれとそれとモハの剣
[01:17:38.600] をかけた妙なギャグです今の
[01:17:41.199] はもあんま知らなそうなん俺がなんかわけ
[01:17:43.800] わかんない思いきり投げ捨ててほしい
[01:17:47.360] こもろはぐれメタルの剣ミネア無理だっけ
[01:17:51.639] えミネア行けんのミアて剣装備できんの
[01:17:59.000] 笑でもまクリフトもスタメンだから
[01:18:02.639] クリフトスタメンだからさスタメンに戻し
[01:18:04.639] た方がいいべえちょっとだったらもう
[01:18:07.040] なおさらさメタルキング借りてんだ
[01:18:11.440] けど邪え邪の面落とすの何ここ写真の面
[01:18:15.440] いっぱい落ちてんじゃんえ邪の面って結構
[01:18:17.679] レアなんじゃねえの剣
[01:18:21.040] もろそういうことで俺完全にごめんあの
[01:18:25.639] ごあののあのしてたわわかんないこと言っ
[01:18:30.280] てると思って何言ってかわかんないとっ
[01:18:32.280] ちゃったごめそういうことかやかましもろ
[01:18:36.199] てこねこれ1本られたえっと
[01:18:40.000] じゃあ理ってたかげたのにひどく
[01:18:44.960] ない
[01:18:46.719] えっとじゃあどこに行こうか
[01:18:51.120] なぐれメタルキングが行こうぜどこに出ん
[01:18:56.360] ねんつだって
[01:18:58.239] さだってらここ出ないよなあんだけ粘って
[01:19:02.840] 出なかったんだもん出ねえよなでも出ると
[01:19:05.480] したらここなんだよ
[01:19:07.800] な出るとしたらここだと思うんだよねちん
[01:19:12.199] か
[01:19:18.040] な待ってえっとメタル狩りするんだったら
[01:19:21.199] あメタル狩りするんだったらこれで
[01:19:23.719] いいやここ出ねえのか
[01:19:29.840] なもう誰かに教わってしまおうかっさすが
[01:19:33.239] に覚えてないんだよなめたき出現場所
[01:19:36.040] なんかファミコン版と違うらしいよ
[01:19:39.920] ねだだここかなりやったよな前回な実は
[01:19:44.880] はで朝方に情報が出てましたねえ出てた
[01:19:48.840] なん俺あのあのコメントそこまであの
[01:19:53.239] 気持ち入れて読んでないから
[01:19:55.679] 嘘嘘嘘嘘です嘘だけどでもそれは覚えて
[01:19:59.639] ないわみんなのコメント大切もうすごく
[01:20:02.400] 全部もう全てもうラブた最高だけどでも
[01:20:06.600] 覚えてはないおの時あるからねそうお眠の
[01:20:09.960] 時あるからそう俺だっても1回やばかった
[01:20:11.960] やん1回ドラクエこれやりながらもう
[01:20:14.360] こんななっつうやるよまだやるって言い
[01:20:18.000] ながらそん時時間あるならある程度うろ
[01:20:20.800] 探すのもありかもう今日超めちゃくちゃ
[01:20:22.760] 時間あるよ超めちゃくちゃ時間ある
[01:20:25.639] ここじゃないよな多分俺ここじゃねえと
[01:20:27.560] 思う
[01:20:28.440] わこの先なんかなここより前なんかね行っ
[01:20:35.159] たことないダンジョンあったよねえ行った
[01:20:37.520] ことないダンジョンあったえさっきの滝の
[01:20:39.760] 洞窟じゃねえの滝のトイレですこの先は滝
[01:20:44.560] のトイレです配信切った後にも全ての
[01:20:49.440] 読み直しできねえんだよこ消えちゃう
[01:20:52.000] からあ
[01:20:53.639] あれにとって
[01:20:57.560] えっとねなんかさあそこにいるって言って
[01:21:00.840] たんだよなただそん時もそこ探したけどい
[01:21:04.920] なかったんだよな1回ちょっと俺の心れ
[01:21:07.760] たりあるとこ言っていいあのあそこ出
[01:21:09.360] るって言ってたよねどこだっけあれわかん
[01:21:13.280] ねえちょっと敵強えとこなんかあの岩に
[01:21:16.400] 囲われた島あの魔人像のとこ魔人像のとこ
[01:21:20.880] の周りの街のとこなんか出るとか言ってた
[01:21:22.880] けどさそこもかなりけど出なかったんだよ
[01:21:25.960] なそんな記憶があります禁断の大穴進め
[01:21:29.520] たらさすがにいると思うけどじゃどういや
[01:21:31.960] そこあそこ行くために今レベル上げてんだ
[01:21:34.000] よあそこ行くためにレベル上げてんだよ今
[01:21:36.199] 怖えじゃんだってだってさあのあそこの先
[01:21:38.600] にさエッグラチキーラいるんだべ無理だよ
[01:21:41.679] 怖くていけないよこれ今間違って言って
[01:21:43.480] 絶滅な全滅なんかしたら俺シャレなんねえ
[01:21:45.600] からよガンガンレベル上げるここ
[01:21:48.400] はここ
[01:21:50.880] かあこここのこの周りここのこと
[01:21:58.159] かどもう口笛でいい
[01:22:09.960] やてかこんな敵弱いとこにメタルキングい
[01:22:13.080] ないと思うもっともっと先じゃねえのか
[01:22:17.840] なちょっとここってみっか
[01:22:27.560] 自分1人だけ見てニヤニヤするか一緒に
[01:22:30.960] どこだろねって探すか配信と楽しみ方迷っ
[01:22:34.360] てるいろんないろんなあれだないろんな
[01:22:38.080] 楽しみ方ができるチマゲームの配信はいつ
[01:22:40.719] さんこんばんは今日もやっていきますよ
[01:22:43.920] やってきますが今日はスーパー作業会です
[01:22:47.920] 探すべまみんなもしかしたら知ってるかも
[01:22:50.320] しんねけどなこいの強えんだけどなんだ
[01:22:53.480] こいつよたれそう
[01:22:56.320] するなんかねここに出るって誰か言ってた
[01:22:58.960] んだよなあん時もかなり粘って出なかった
[01:23:01.639] んだ
[01:23:03.719] よライアンのライアンじゃないトルネの
[01:23:06.520] 口笛なんかセレクトボタンとかであれして
[01:23:10.600] ほしい登録して
[01:23:14.400] ほしいマーニャのMPが復活し
[01:23:22.400] ちまう便利ボタンち便利マジで
[01:23:28.880] 欲しいまさかここの敵でやられ
[01:23:31.080] るってことはねえ
[01:23:38.280] だろマニがさっきから魔法トやってんな
[01:23:41.480] 回復に行くか1回ここ近く街あったよね
[01:23:44.679] 確か
[01:23:50.560] ねやま
[01:23:53.440] もう雑魚敵で死ぬってことはないんじゃ
[01:23:56.360] ないここまでレベル上げ
[01:24:03.159] たら忘れそうになるけどこれ人生プレイ
[01:24:06.920] そうなんですよそうなんだよ忘れんなよ
[01:24:09.440] 死んだら1からなんだからなあれこの辺待
[01:24:12.760] なかったっけあれこの辺待なかった
[01:24:17.400] あ
[01:24:19.199] えここ街入れここ入れねえんだ街船がねえ
[01:24:23.679] からリバーサイドやん船がねえからあ
[01:24:26.520] リバーサイドにあれしようルーラしよう
[01:24:29.159] リバーサイドルーラあれここってあれ
[01:24:32.440] どこって言ってたかな
[01:24:36.320] わか忘れたここじゃったか
[01:24:43.280] なビバにじゃあ
[01:24:46.199] ちょっとそ船もれルーラする
[01:24:50.800] べ何このおえ向き
[01:24:55.719] 回復させてくださいあここも移民いそうな
[01:24:59.199] んだがあれここの移民って取ったっ
[01:25:05.800] けにって
[01:25:09.400] 何何
[01:25:11.159] よし意味そうここは寝てるんだろどうせ
[01:25:13.760] お前らあ意味いない毎回この毎回これ見
[01:25:18.320] なきゃいけんおもろいと思っとるんかその
[01:25:21.480] なんかののにてます
[01:25:26.600] 毎回見なきゃいけねんか
[01:25:32.239] これはい行きますよ行きます行き
[01:25:42.960] ますここら出てくんのかなベッドを
[01:25:46.080] カウンターにつけとけよと寝ながら接客し
[01:25:48.880] た方がいいなえーここ出んのかな
[01:25:58.679] そういう世界になってほしい何現実世界が
[01:26:04.040] 寝ながら接客日本じゃ無理だな日本じゃ
[01:26:07.639] 無理だよお客様お客様は神様精神だ
[01:26:11.000] から客さま神様なんてマジで間違ってると
[01:26:15.080] 思うけどな日本のそういうとこ嫌いなんだ
[01:26:18.159] よ
[01:26:19.440] ねこんなことあんま言わない方がいいんか
[01:26:22.360] 俺日本のそういうさ
[01:26:25.040] 精神論ぶちかましてくるとこが好きじゃ
[01:26:27.159] ねえんだよな気合でどうにかするとか
[01:26:35.760] さ気合いでどうにかするとかお客様は神様
[01:26:39.320] と
[01:26:40.600] かん屈で話しろ
[01:26:45.239] よ屈理屈で勝負してほしいんだよねその
[01:26:50.440] 精神じゃなくてなんか
[01:26:54.560] 頭おかしいやろ病気やちゃんとした
[01:26:57.800] アホそ日本人のそういうなんか苦しいこと
[01:27:02.480] を我慢することがみたい
[01:27:06.199] なん
[01:27:09.239] てお様が神様って思って歌えいう
[01:27:15.239] 何の話をし勝手に解釈したあへあそうなん
[01:27:21.119] だそれが端なんだ
[01:27:27.440] 社会派だよ今日はそうは思わないかみんな
[01:27:30.480] 元ネタそうなんだうつ病は甘えだとか言う
[01:27:33.440] じゃん日本人ってないポジティブな話
[01:27:37.159] あコンビニで仕事してて思ったけどうん
[01:27:41.239] いやマジで思うマジで俺もさ高校生の時に
[01:27:44.040] さコンビニで3年間バトしたんだけどマジ
[01:27:46.960] でしかも田舎のコンビニやばいから田舎の
[01:27:50.400] コンビニてやばいよ逆走ゴミだぜマジ
[01:27:55.119] でゴミ本当にゴミ普通に飲酒運転とかし
[01:28:00.000] てるしあいつら普通にワンカップ買って
[01:28:02.960] 軽トラで飲んで帰るから
[01:28:05.040] ね終わってるだろあいつさがやばいやばい
[01:28:08.040] よななくあこういうのも良くないです
[01:28:19.600] よコンビニともちゃんと丁寧に扱えて
[01:28:23.639] おばんちゃんが言ってたれ言っちゃいけ
[01:28:26.520] ないそんな言葉なこういうやつがおじさん
[01:28:29.400] になると応変なタイ飛ん
[01:28:32.239] だ嘘嘘嘘俺はそんな取らないから俺店員
[01:28:36.679] さんにため使うやつ無理やねん店員さんに
[01:28:40.719] ため使うやついやためゴぐらいだったらま
[01:28:42.719] いいけどなんかそれ大平なタイト取りたく
[01:28:44.600] ないから20000円以上買ったやつの
[01:28:46.400] プレゼントくじとかうそういうの最悪うち
[01:28:50.320] のコンビニさローカルなコンビニだから
[01:28:52.520] ローカルなコンビニだから過ぎるとそのの
[01:28:55.320] お弁当とかをあれすんのよあのなんのあの
[01:29:00.040] 半額にするのね地獄だ
[01:29:02.880] ぜ半額弁当買いにくるやつらなんかもしあ
[01:29:06.679] まそういう人もいいと思そのコンビニはす
[01:29:09.880] だ早くれと平気で言われるからねお前
[01:29:13.560] 恥ずかしくないんかと思わ恥ずかしくねえ
[01:29:16.960] のかよ200円ぐらいのおあの割引を
[01:29:20.880] そんなでかい声出してよ
[01:29:24.239] あこれ半額になんねえのかこのこの弁当は
[01:29:27.000] よあそれ今日あのそれまだあの時間あなん
[01:29:30.960] あの消費期限じゃないんでって言っても
[01:29:33.440] なんでだこ俺ここれ食いてんだよ平気で
[01:29:36.440] 言うから
[01:29:38.719] ねそんな大人にはなりたくないマジでマジ
[01:29:43.360] でなり嫌いなあ怖い怖い私なら殴ってる
[01:29:50.760] それはそれでだめだけどそれはそれでだ
[01:29:55.679] その人の頭
[01:29:57.159] にあそれ一番いいや半額おじさん
[01:30:01.440] 半額人間のチ半分おお疲れお疲れごめんね
[01:30:06.840] 昨日配信あるって言って結局寝ちゃってさ
[01:30:09.320] 寝ちゃって今日はえ遊びに行ってえうんち
[01:30:13.080] ミュージアムってとこに行って帰ってき
[01:30:14.520] ましたでやります今日はスーパー作業会で
[01:30:17.880] ござい
[01:30:18.960] ますいますね
[01:30:25.840] いるんだよなマジでいるんだよそういう
[01:30:31.520] やでめちゃくちゃ寝たんで元気元気や人間
[01:30:35.280] って寝ると元気なんだよいつもよりペラが
[01:30:37.239] 回る回るいつもよりペラが
[01:30:44.840] パレてるおっさんがれのく持ってきてつ
[01:30:54.159] だよなそうバカの相手しなきゃいけね
[01:30:56.440] からみんな分都会済都会そち悪そなやつは
[01:31:01.080] 大体友達でしょ俺みたいな栃木生まれ栃木
[01:31:04.119] 育ちの高校生だった僕は西武音っていうね
[01:31:09.600] 西武音ていうローカルコンビニ今全部
[01:31:11.679] ローソンに吸収されちゃったけどみんな
[01:31:13.080] 知らねえべ西武音て知ってる西武音ていう
[01:31:17.920] ローカルなコンビニがあったんだよ栃木
