[00:00:10.280] ういお疲れ
[00:41:10.920] ことができますまた三角ボタンを押すこと
[00:41:12.720] でアクティブを選択する
[00:41:15.400] ことアクティブでは会話オーダー
[00:41:19.359] プレゼントが選択でき
[00:41:21.920] ますえ飲み物を楽しんでいただけるお時間
[00:41:25.720] はしばらくすると終了する時間制限きて
[00:41:28.920] ことえまったり飲み物を飲むかアクティブ
[00:41:32.160] で積極的に行くのか正確な判断をしていき
[00:41:37.720] ましょういい脅威かっ
[00:41:40.400] たらえどういう
[00:41:43.160] ことあはいはいはいはいはいはいはいはい
[00:41:47.040] はいこういうこと
[00:41:47.630] [音楽]
[00:41:51.079] でああいいねおいしいよねねおいしいよね
[00:41:56.160] ちゃんねいすノノちゃんねあら飲みすぎえ
[00:42:01.319] 解説アクティブコマンドでは3つの
[00:42:03.640] コマンドがアクティブ実行できますえ会話
[00:42:08.560] 女の子と会話をします内容は状況により
[00:42:10.720] 異なりますなるほどエッチな会話もあ
[00:42:12.119] るってことですね会エッチな会話もあると
[00:42:14.520] いうことでよろしいでしょう
[00:42:16.720] かなんかここめっちゃ盛り上がっ
[00:42:20.520] てるいいねえー
[00:42:23.640] 解説オーダーあダー
[00:42:29.960] けんのか
[00:42:31.640] なお酒の追加おつまみの注文そして
[00:42:34.559] カラオケのリクエストができますよとお
[00:42:37.280] 待ってくれようわ俺女の子にわった
[00:42:42.720] こんばんはグラマラススカイとかかっこ
[00:42:44.960] よく歌い上げる女好きなんだけど俺俺
[00:42:47.880] グラマラススカイとかをかっこよく
[00:42:49.680] 歌い上げる女好きなんだけどさんもう
[00:42:52.200] 上がっ
[00:42:55.040] たえ
[00:42:57.599] 笑笑グラマラススカイとかカッとすっと
[00:43:01.880] 歌っちゃう女好きなんだけどいける
[00:43:04.359] 笑笑あの虹を渡らないかなみんな俺とあの
[00:43:08.119] 虹を渡らないあんたもなっって言ん
[00:43:11.520] だ笑笑イースはインタラクティブイスを
[00:43:16.640] 覚えました懐かしすぎて死ぬなんかうねん
[00:43:20.760] 笑酒を飲んでますよなきさん今日は女の子
[00:43:26.079] を落としますよさKPですよ皆さんちなみ
[00:43:30.599] に止まんねえうきさんこんばんは今日は
[00:43:34.440] インターネットキャバクラに行くぞみんな
[00:43:36.119] で味氷結これなんか春限定ロゼ
[00:43:40.760] スパークリングですございます同じのみ
[00:43:43.480] 始め
[00:43:44.319] たちゃとび大丈夫あの明日仕事響かねえ
[00:43:47.640] ようになえプレゼント所持してる
[00:43:49.960] プレゼント女の子に渡すことができます
[00:43:52.079] ミション高くてよきよきあいしそう
[00:43:55.119] キャバクラでグラマラススカ歌男大体
[00:43:58.319] ずっと歌うのせかされてます
[00:44:02.000] あまずさ出来たよな出身地来て俺から来た
[00:44:08.200] んです
[00:44:11.520] けどああ俺なんかあれだなんかずっと消し
[00:44:15.800] てたみたいだ
[00:44:17.480] これなんか会話なんか会話ねえなと思った
[00:44:20.880] これロードかなと思ったら消してたわ
[00:44:23.040] ごめんずっとおまた見てたこうやって
[00:44:25.920] おまたどうなってんのてごめんごめんな
[00:44:29.040] めっちゃハイレグじゃんハイレグ成人
[00:44:31.800] じゃんあブ見るためにそうそう1回消し
[00:44:34.440] たらでた
[00:44:37.079] 場マリナだよ
[00:44:41.760] マリナ
[00:44:43.520] 入れおマンリナってどころまだ露出度低い
[00:44:47.720] 方ですなんすかマンリナってまんだっての
[00:44:53.000] セマセリここからずっと南の方の島だよべ
[00:44:57.800] 俺もべマンリ俺出身マリナだよて南の方
[00:45:02.119] 沖縄ありかなそうそうあ昔は
[00:45:07.800] 沖縄人
[00:45:09.480] なマンリなのねマンリーなね今はマンリ
[00:45:14.280] なって呼ばれてるんだえちなみにちなみに
[00:45:16.440] 栃木はんて呼ばれた沖縄がマリナどうして
[00:45:19.400] そんな名前に買っちゃったんだろう
[00:45:20.559] なるほどなこの子面白いすねなんか
[00:45:23.559] ちょっと突しもないというかえこのなる
[00:45:27.040] 沖縄矢印マセリな何があったんだよ何が
[00:45:31.319] あったんだよ
[00:45:33.400] あれ死ぬこいつ飲むのクはえは俺の金を
[00:45:40.319] すげ色のお酒飲んでる遠慮しない地獄みて
[00:45:43.640] なえ早飲むの待ってよ飲むの早いねのの
[00:45:48.440] ちゃん
[00:45:49.599] ねアクティブ豆にしないとどんどん飲ま
[00:45:53.200] れるぞなるほどの
[00:45:57.280] に捨て
[00:45:59.839] てん俺の酒が飲めねっていうのかな俺の酒
[00:46:04.599] が飲めねて
[00:46:06.240] お前お
[00:46:08.119] ちゃん言ってた
[00:46:11.280] でしょボトル入れておきました多分日届き
[00:46:20.880] ます入れて
[00:46:23.960] ボト入れてれ
[00:46:27.400] 全な時間の使い方いやいですか
[00:46:31.720] 何ありがとうや笑笑やべえ永久指名され
[00:46:36.400] ちまう酔っ払うと厄介な客だ笑笑え待って
[00:46:41.480] じゃ待って大場でも言ってよこれ絶対ドス
[00:46:44.480] やばいでしょど酔わせようぜじゃあ乾杯
[00:46:48.760] しようかじゃあ乾杯炭と数の高い酒交互に
[00:46:53.359] 飲ませると普通の人うよ
[00:47:00.559] あれなんか酔っ払ってないですかああれ
[00:47:04.359] なんかののちゃんちゃん酔いつぶされそう
[00:47:07.040] エロい女になってるエロいえちょっと酔っ
[00:47:11.839] た顔してる酔ってますねおお
[00:47:15.839] 何何何なんですかこれなんだ一
[00:47:19.760] た女の子より先にお酒を飲み切ろう右
[00:47:23.680] スティックを回しグラスを傾けてお酒を
[00:47:25.800] 飲みましょうか
[00:47:28.440] 始まったただ焦ってけすぎるとせてしまい
[00:47:31.720] 時間を無駄にしてしまいます飲レベル飲力
[00:47:34.359] レベルの高い方が勝負を有利に進めること
[00:47:36.920] ができなんだっ
[00:47:38.410] [音楽]
[00:47:40.319] てなんかしかも
[00:47:44.520] えええよくパティ
[00:47:48.559] 笑笑エロ
[00:47:52.240] なんかえめちゃくちゃ強えこの女なんだ
[00:47:59.599] おっ強強化ラク1敵前逃亡早い笑笑いや
[00:48:03.640] 童貞だからやっぱ怖い童貞だから怖い
[00:48:06.240] 女の子が童貞だから女の子が怖いよ敵前末
[00:48:11.760] 食わぬはアーーだな末食わのは
[00:48:16.440] も男の人ってやっぱ大したことないのかも
[00:48:22.520] ああ怒った見せちゃおっかな男の俺
[00:48:27.400] だった2人がいい感じになる時etsの
[00:48:31.640] 選択肢が
[00:48:33.240] 変化この時の会話の選択肢がバツうまるで
[00:48:38.079] 表示されますどういう会話の内容を抽象的
[00:48:42.079] に表してより雰囲気で選択しますどういう
[00:48:45.960] どういうことこの状態は会話による交感度
[00:48:48.760] が上がりやすくなるので積極的に発動させ
[00:48:54.640] て女の子の
[00:48:57.680] じゃごめ感上げていきましょうびっくりあ
[00:49:01.920] 話そう
[00:49:02.839] ぜさんこんばんはいっしよねえね教えたい
[00:49:06.880] ことが何を教えてくれるんです
[00:49:09.319] かどうしたのののちゃんあげる陸って存
[00:49:15.359] するんだよ本に知てた知らないなんかのの
[00:49:20.079] ちゃんはなんでも知ってるからほらすごい
[00:49:22.680] なお兄さんなんか楽しいなのちゃんと一緒
[00:49:25.799] にいると女の子と会話すると選択肢をが
[00:49:28.920] 現れることがあますあだから要はこれは笑
[00:49:32.640] バツだろ知らないって言った方方がいいよ
[00:49:34.440] ねえそうなのっていうえ知らないいや知ら
[00:49:38.680] なかった確か海に沈んだ大陸って話だよね
[00:49:42.760] そうだよ未来ではねちょびっと竜したんだ
[00:49:48.200] よ
[00:49:51.240] 竜あおじさんのム体力も竜しそうだあれだ
[00:49:55.319] あ俺のもなんかしてきそうだわなんかちび
[00:49:59.160] だけな笑笑あのさおこれ最高のゲームか
[00:50:03.799] これお止まんね酒が笑笑言うと思った笑
[00:50:08.760] 最高のゲームだこれこれが最高のこれ俺
[00:50:12.119] これでTパー目べ俺これしかやんねこれ
[00:50:14.599] からすごいねどんな陸な
[00:50:17.559] のい
[00:50:19.440] ちっちゃいの人が立てるくらい面からコっ
[00:50:24.799] と出てるだけなんだよ
[00:50:27.359] 大陸それ本当にムールかなえそれ本当に
[00:50:30.119] ムー大陸かな
[00:50:33.000] うんちっちゃい言い方くないちっちゃい
[00:50:36.839] ぴこっねでものの頑張って海面から出てる
[00:50:41.559] そんなちっちゃこい島が大好きなのああ
[00:50:45.559] よかったちっちゃくてもいいんだ笑笑顔
[00:50:50.760] 笑笑おもろちっちゃくてもいいあいいだね
[00:50:56.680] ちっちゃいの好きだっ
[00:50:59.079] て笑笑笑笑いい子だと思います事けど
[00:51:05.400] 頑張れ応援したくなってくるんだ応援して
[00:51:09.640] くれ俺のムー大陸もちっちゃいけど頑張れ
[00:51:12.920] かなんだかのろちゃんみたいだね
[00:51:15.920] そうこれ毎晩やろうぜ仕事の疲れ全部飛
[00:51:20.160] わ頑張れ頑張れ頑張れ頑張れ
[00:51:27.319] もう1回ぞもおもろ
[00:51:30.480] 笑笑おじさんなんか頼んちゃうかな頑張れ
[00:51:33.839] 頑張れおじさんあ待ってちょっと待って
[00:51:36.599] チャンネルポイント音ちっちゃいまたちょ
[00:51:38.240] 1回あげるね
[00:51:41.319] えっとこれあげよおつまみ何あるのお
[00:51:45.599] つまみ行こうぜお
[00:51:47.280] つまみナッツフライドポテトオムライスあ
[00:51:51.520] オムライスなんかこれ絶対あれじゃないの
[00:51:53.599] 書いてくれるんじゃないの
[00:51:58.960] バナナ
[00:52:00.920] バナナバナナ注文で料金減ってないから
[00:52:04.880] 注意しないとだ
[00:52:07.880] ねかしこまりましただよ何
[00:52:13.280] バナナ俺
[00:52:15.920] が俺がんかまそう
[00:52:18.880] だまでもそうだよなし
[00:52:23.160] たに
[00:52:25.520] 笑
[00:52:29.640] 6000円6000円し
[00:52:32.119] た見
[00:52:35.280] とけよしかもしかも6000円
[00:52:38.880] だの値段かなはいおいしいよえそれだけえ
[00:52:44.720] 待ってそれだけで6000円このこの
[00:52:48.280] イベント6000円払ってちゃまくが
[00:52:51.160] 食べるムーピあ来たほらあるじゃんこれ
[00:52:56.920] 大丈夫です
[00:52:58.960] かえこれ大丈夫じん来ました
[00:53:06.319] これ
[00:53:07.480] [音楽]
[00:53:08.640] 笑笑エロゲ
[00:53:11.040] や楽しそうですね印バナナですてきたな笑
[00:53:17.960] ズボン抜いどけぐりと女手キノコイグと
[00:53:23.040] バナナだから大丈夫大丈夫ただのバナナ
[00:53:27.000] ポッキーだと商品名だからねそうなるのね
[00:53:30.640] 一旦やろでトイレ
[00:53:33.640] 行こごめんこれ終たらトイレ行っていい俺
[00:53:36.280] ちょっとあちょっとごめん用事でき
[00:53:38.760] たえ何何何制限時間に全て食べさせて
[00:53:43.079] あげると成功です女の子の顔を食べ物で
[00:53:46.559] 汚さないようにくれぐれも注意しましょう
[00:53:48.760] ねと皆さんないように汚しちゃいけないん
[00:53:52.599] だよ女の子の顔はみんな汚しちゃいけない
[00:53:55.920] んだよ
[00:54:01.960] あ
[00:54:05.990] [音楽]
[00:54:10.119] まずいめっちゃむい
[00:54:13.040] [音楽]
[00:54:17.119] ぞこれれないか大丈夫
[00:54:22.290] [音楽]
[00:54:25.359] かれい慢できない
[00:54:28.740] [音楽]
[00:54:32.960] 笑終怖い笑笑そういえば今日ランディさん
[00:54:37.960] は笑笑
[00:54:45.000] 笑笑ああちゃん出ちゃった行ったな笑笑お
[00:54:51.480] スナイパー笑笑37秒で終わっちゃい
[00:54:57.839] スナイパワめてみ
[00:55:00.960] たパートナーより嬉しい称号来たわな
[00:55:05.440] パートナーより嬉しい称号来たわお
[00:55:08.000] スナイパー乗ってくわこれからお俺お
[00:55:10.359] スナイパーだからよろしくみんなやる
[00:55:12.599] じゃん
[00:55:14.200] スナイパーもうタグに入れとけ入れタグに
[00:55:17.960] つけよおスナイパースナイパーの
[00:55:21.360] [音楽]
[00:55:23.000] めっちゃ熱いめっちゃ熱い熱いこのゲーム
[00:55:27.680] やばいこれはいいゲームだこれはいい
[00:55:32.280] ゲームかちょっと恥ずかしかった
[00:55:35.760] けどとっても楽しかったよらないけど
[00:55:39.440] くっそ笑ってるトイレ行く大丈夫時間来
[00:55:44.640] ちゃったえさすがピュアなお客
[00:55:48.400] 様笑笑ええ延延延じゃもうの
[00:55:56.760] ちゃよろしくねこの後アフターとか
[00:56:01.599] どう飲んじゃうよ飲んじゃうよお揺れてき
[00:56:04.680] たお金足りるかちょっと待ってえお金
[00:56:06.720] 足りるべ全然大丈夫でしょまだ3万は使っ
[00:56:09.319] てねえべさすが
[00:56:13.160] にどんな男の子が好きなんですかお回り
[00:56:17.119] さんこいつですねえねえののちゃんは
[00:56:20.280] どんな男の人が好きなんだっ
[00:56:23.680] けむっつりけめれじゃんむっつりスケベが
[00:56:27.760] 好きなのえむっつりスケベどうして
[00:56:30.680] むっつりスケベな男の人の方が地蔵を
[00:56:34.480] たくさん残してくれるって聞いてる
[00:56:40.799] よぶわ
[00:56:43.039] 笑笑笑笑笑笑笑笑豚ソープスケベ女手
[00:56:49.240] キノコがははまりかよ俺ですかやっぱり
[00:56:53.359] 未来出率下がってるやつじゃん笑ちゃま
[00:56:57.039] さんの脳みそが壊れそうだハグスハグス
[00:57:02.079] ハグス
[00:57:03.400] [音楽]
[00:57:05.160] こんばんは俺はそれに関してはもう右に
[00:57:09.520] 出るものはいないんだよおランディ来た
[00:57:11.760] ランディ神ゲーやってるわ神ゲーああれだ
[00:57:14.880] 神ゲー来たわこれでツパートナー目指す俺
[00:57:17.520] は俺はこれでパートナーを目指す今決めた
[00:57:20.559] これ以外ゲーム
[00:57:22.520] やら孫を残すって間違いではないような
[00:57:26.640] このスケベの男の人ならきっと未来で
[00:57:30.920] モテモテだよおい待てお未来きてえな俺の
[00:57:34.240] 時代が来るなモテモテなんだむりなのに
[00:57:38.319] なんだかのちゃんの未来を信じたくなって
[00:57:40.200] きた
[00:57:41.119] よわ
[00:57:42.300] [音楽]
[00:57:45.480] ちゃ正解だったね
[00:57:51.680] 笑笑て
[00:57:53.520] りで許してくれるしつりなのか嘘だよね浮
[00:58:01.319] だョだめチョコだよゆ
[00:58:05.840] [音楽]
[00:58:10.319] はつり声で言わないの恥ずかしいなお
[00:58:13.799] 待てこの子やばくないか話して
[00:58:18.240] いやっぱり男なんか未緊張する
[00:58:25.119] なこなんか生殖機能なくなってる説あるな
[00:58:28.880] これのちゃんが男と話す緊張しちゃうの
[00:58:32.160] ってあるけどなんやろえl2でよるそうは
[00:58:35.880] 見えないけどなまあねののはまだ男の人に
[00:58:40.680] 慣れてないからね僕も女の子になれてない
[00:58:43.680] んだ一緒だね俺たち単純に少子かるだけ
[00:58:47.359] じゃない俺た恋愛が下手なんだよ下手くそ
[00:58:50.039] 同士手を取り合って頑張っていこう
[00:58:53.240] ぜ慣れてないだって男の人がこんなにそば
[00:58:57.920] にいたことなかったんだもんそばにいる
[00:59:01.559] そばにいるすぐでもこいつたの男にもこう
[00:59:05.480] やって言ってるぜ俺がすぐそばにいるよ
[00:59:10.319] 動かせねおるな
[00:59:15.839] 笑笑あみんな正俺の女これこれ俺の女
[00:59:20.319] ごめんな彼女いるわ俺言ってなかったけど
[00:59:22.799] 申し訳
[00:59:23.799] ないだっ男のこな
[00:59:26.720] コンピューターでの恋愛シミュレーターは
[00:59:29.520] 何度もしたんだけどコンピューターでの
[00:59:31.960] 恋愛シミュレーターは何度もしたんだけど
[00:59:34.319] ていうのやめてもらっていいですか僕
[00:59:35.839] コンピューターで今恋愛シミュレーション
[00:59:37.440] してるんでやめてもらっていいですか現実
[00:59:39.280] に戻すのちゃん恋愛シミュレーションとか
[00:59:42.359] するんだ
[00:59:44.000] 彼女その得意なんだよすぐハッピーエンド
[00:59:47.839] に行けるんだなんだってこっちの世界では
[00:59:52.680] 恋愛シミュレーターがされてるみたい
[00:59:56.720] けどは持ってるひょっとして得意俺が恋愛
[01:00:02.119] シミュレーションゲームやって面白く
[01:00:03.760] なかったことないんですけど得意だよ得意
[01:00:07.520] だよもうどんな恋愛シミュレーションでも
[01:00:09.880] 余裕だね
[01:00:11.280] 大得尊敬しちゃうなののですら結構練習し
[01:00:17.559] たんだ
[01:00:18.640] よツがあるからねフラグを終らないように
[01:00:22.000] 感度を上げながら慎重
[01:00:24.960] に恋愛シレでんだ知識は現実で生かせてる
[01:00:30.440] の草これの女ねえわあ冷めたお前もうない
[01:00:36.319] わあめためたああこの女やめますこの女
[01:00:41.160] 攻略やめますあくそつまんねでけないこと
[01:00:46.119] おいチクチク言葉使うな業だろゆあもう
[01:00:50.440] クソたあもうもうもうもう違う女わそうだ
[01:00:54.319] よね
[01:00:56.160] も現実では緊張するしニコニコ葉がも同じ
[01:00:59.799] だよねボーイ指名替えできますよニコニコ
[01:01:04.640] にんまりあもうこんな時間だそろそろ帰ら
[01:01:06.720] ないとうん分かった今日は楽しかったよ
[01:01:11.319] まあ最高ですまた来てくれるよねまた来
[01:01:14.799] ますがちょっと待ってくれ他の女の子
[01:01:16.960] 行こうぜなクキって何ちょっと他の女の子
[01:01:22.160] 行かねえかの可
[01:01:26.280] たの初めてだよ6000円が
[01:01:29.440] じこのゲームやべえぞやり
[01:01:38.640] 本さんやで多分初めてっちゃいました
[01:01:43.200] ねここがここがエッチだねここがねここが
[01:01:48.200] すごくエッだと思いネ
[01:01:56.279] ここがめちゃくちゃだ
[01:02:00.119] 笑笑皆さん
[01:02:02.960] クここが今スケベだと思いますこれは伝説
[01:02:06.279] の神配信会になる予感茶
[01:02:10.640] 可い触るの本当無理笑笑ランディですマジ
[01:02:15.359] でやばいビビるくらいゲーが壊れてくそう
[01:02:18.559] なんだ俺も楽しかったボテですねじゃまた
[01:02:24.000] 今度来たら一緒に飲むのむ飲むのむ飲む
[01:02:28.000] のむしようぜお前らも飲むのむしろよな俺
[01:02:30.240] の酒が飲めねえのかお前らも飲むのむ
[01:02:35.039] しろ飲むのむしよう
[01:02:38.000] なバイバイちゃまく大変です
[01:02:44.240] ケピ感度アってんの全然ケ全然全然酔って
[01:02:50.760] ないけどのののちゃんの全身駅キですやば
[01:02:53.799] ここが現実パートか払いつつありますのの
[01:02:57.279] ちゃんやばくない耳にネギついてるけど
[01:03:00.359] ののののドリームスター一体何ですかそれ
[01:03:02.640] はえこれが100個なったらどうなんの
[01:03:05.760] これ100個なったらでいくら
[01:03:11.400] よあ飲酒レベル次のレベルまだとはいはい
[01:03:14.920] はいはいはいはいお支払いどうなっちゃう
[01:03:17.240] あ
[01:03:21.680] 危なもういなり
[01:03:26.319] たくねもう3600しアップ笑笑笑笑も
[01:03:32.240] エリなっちまうじゃねえかいきなり
[01:03:34.240] 笑笑まあそうよなバナナ笑笑いきなり
[01:03:38.640] エリチか笑笑笑笑バナナ
[01:03:42.640] 6000円待てえ基本料金7000円指名
[01:03:47.119] 料3000円じゃ1万円はバナナ高すぎ笑
[01:03:52.880] ぼっで絶絶対1万はかかるんだ
[01:03:56.880] 笑笑笑ただいきなりか延長より高いこれ
[01:04:01.440] どうやって
[01:04:11.000] おのお金はどう稼のトで稼ちょ読めなかっ
[01:04:15.480] た仕事熱心な方はホストがあるからもたし
[01:04:18.920] 働きには注意しましょうホストカーはあの
[01:04:20.960] 来店を1番にんでいますホストは休みを
[01:04:24.039] ざい
[01:04:25.920] ドリームクラブ
[01:04:27.760] うエリかってなんやいきなりエリーチカや
[01:04:31.839] 今のいきなりエリチかやったや
[01:04:35.880] 今キャバで破産した
[01:04:38.880] 男メールが来まし
[01:04:42.119] たゲップすいません汚なくてちょっとぜお
[01:04:46.000] 酒飲み慣れてないもんて暇いきなりエリチ
[01:04:48.960] かよ久しぶりしげだけどお前誰だ元気か俺
[01:04:52.559] これから暇なんだけどお前も暇だろたに
[01:04:54.359] 遊びえ
[01:04:57.960] ケメンおいやめろちゃまく
[01:05:02.799] 何嫌な予感する何が何が何があDMC
[01:05:08.839] マガジンドリームクラブマガジンか
[01:05:11.880] ドリームクラブマガジンあ受付ちゃん
[01:05:15.440] じゃんドリームマガジンもしかしたらネ
[01:05:18.039] 取ってこないか俺のの寝取られたら本当に
[01:05:23.000] もう俺はもう俺本当にあのあれじゃ済ま
[01:05:25.200] ないよ
[01:05:26.480] あんなのじゃすま
[01:05:28.079] ないしげって名前なんかもうなんかもうし
[01:05:31.799] って名前がもう寝りそうだもんななんか
[01:05:34.760] 単発で金髪で褐色でこの度はドリーム
[01:05:39.160] クラブマガジンのご登録ありがとうござい
[01:05:41.000] ますドリーブクラブマジは毎回当店に
[01:05:43.839] 関する情報を発配信しておりますえ不定期
[01:05:46.799] 配信ですのでメールのチェックくでは今後
[01:05:49.240] とも当店をご愛のほどよろしくお願い
[01:05:51.160] いたしますのさんにっ
[01:05:54.640] てのちゃんからもメールが来てるじゃない
[01:05:58.000] ですかなそうママイニューああうちのうち
[01:06:04.319] のうちのチャンネルの挨拶決まったああ
[01:06:07.279] うちの挨拶決まりましたうちのチャンネル
[01:06:09.559] の挨拶決まりましたマイニーチマですどう
[01:06:12.119] もマイニーどうもチマですマニマイニー何
[01:06:15.680] マイニューってどういうことなんか
[01:06:18.200] マイニー気持ち
[01:06:20.720] 悪お前ら気持ち悪お前らは言うんじゃやっ
[01:06:27.359] マイニーマイニーて何マニマイニーピザ
[01:06:31.520] さんこんばんはマイニューってなんだよ
[01:06:33.799] 今日はののののいてめえがいるなマニって
[01:06:38.160] 何笑笑おめえが家って言ったんやろがい
[01:06:41.839] マニあ自分のおっぱいのことです
[01:06:47.480] かはいすいません行きますへへへキャバと
[01:06:51.079] か行くのか笑笑出せおせえとか言ってん
[01:06:54.359] じゃねえよ出せとか言ってんじゃねえや
[01:06:58.640] 本物のキャバでもないよにゲームでしか
[01:07:01.960] いけてないのに俺
[01:07:03.100] [音楽]
[01:07:04.680] ニマイニューヨークマイニューヨークかも
[01:07:07.599] しれない今日は野の指名してくれてどうも
[01:07:09.720] ありがとうしかしメールってだるいねうん
[01:07:11.240] めんどくさいのののが一生懸命メール出し
[01:07:14.160] たんだから橋本さんも一生橋本さんって
[01:07:16.319] やめてほしいな一生懸命のののを指名して
[01:07:19.359] ねお願いだよじゃあ
[01:07:21.680] のしのしってのしってカタカナじゃないと
[01:07:24.920] 意味ないんだよ
[01:07:26.279] のってカタカナじゃないと意味ないんだよ
[01:07:28.119] ののの
[01:07:29.079] ちゃんよわまだ仲良しじゃねえからの
[01:07:35.119] 笑笑のしのしまだ流行ってんだ笑笑笑笑カ
[01:07:41.520] 時代を感じます
[01:07:43.079] ねおほは携帯とないから悪い悪いダと
[01:07:48.680] 間違えたダにメールしたはずなんだけどな
[01:07:51.000] そうだお前がダになればいいんだよ我
[01:07:52.799] ながらナイスアイデアさすが俺体だよな
[01:07:55.119] じゃ気持ち悪こいつよろしくね変身
[01:07:58.960] ありがとう次ものののチョイスってことだ
[01:08:01.160] よねよかっためんどいメール出した会が
[01:08:03.480] あったよさすがのだよねま次はこの前より
[01:08:06.079] もっと楽しく過ごせるように頑張るから
[01:08:07.559] 心配しないでいいよ
[01:08:09.359] のしなるほどなこれさあアルバイト
[01:08:14.119] ショッピングメールを見る模様替えカメラ
[01:08:16.600] データゆっくり
[01:08:17.960] 休こういうメールる
[01:08:20.560] よお営業メールかお萎たわのマークつい
[01:08:24.920] てるのか
[01:08:26.440] のの意味がないの
[01:08:28.359] よ待てええっと働け働くかえ待て
[01:08:33.960] アルバイトなお前フリーターがお前
[01:08:37.480] キャバクラ行ってんじゃねえある栄養
[01:08:40.040] メールだ
[01:08:41.679] よこキャバクラがキャバクラじゃない
[01:08:45.679] えアルバイトのくせにキャバクラ
[01:08:49.120] フリーターがフリーターがお前毎週
[01:08:52.239] キャバクラ通ってんじゃねえ働け
[01:08:56.080] だって所持金3万だよなかなか
[01:08:59.640] 強者ギャンブルえ何ギャンブル情報服です
[01:09:05.359] こんばんは稼しか
[01:09:09.759] ねのアルバイトのでするのですよ知らん
[01:09:13.920] けどえこれ何本の
[01:09:17.480] 与2万1000円え2万1000円なんか
[01:09:20.920] じゃちょっとだめだよ3万といけねもんの
[01:09:24.520] 2万バトもしてなくてこれから探すけちや
[01:09:28.960] まげならギャンブルだよなアルバ
[01:09:32.159] アルバイトもだな今から探すのちゃえ
[01:09:36.400] ギャンブルって何まさかパチンコ終わり
[01:09:39.640] じゃねえかよ日級4000円パチパチンコ
[01:09:43.600] で稼いた金でキャバクラも終わり人生
[01:09:46.279] 終わりですそれは真っ暗にで資金稼いで
[01:09:51.199] ギャンブルするかなる期間1週間で山が何
[01:09:56.159] を1週間で給与が2万え安くない割のいい
[01:10:02.080] 仕事探せべえよ合せで楽しもうぜ合せでな
[01:10:06.960] アゼにで
[01:10:08.880] な
[01:10:11.679] えエンジョイランドSNネットワーク研究
[01:10:16.199] え安いてジョイフルあり農業あ3週間あ3
[01:10:23.239] 週間はまずいでしょだって週末って言って
[01:10:26.360] たもんね3週間だよ週えこれしかないの
[01:10:30.800] 高いなどれどれどれどれクリクリーンどあ
[01:10:36.400] クリクリーンは1周ガラスの清たもんなえ
[01:10:40.719] こんなのさ1番高いの行くだけでしょ
[01:10:42.840] デメリット何もない資格
[01:10:44.719] リスト
[01:10:46.560] 資格何資格ってえ待ってこれ電光日とか
[01:10:51.159] 取れんの電光日とか乙4とか取ってえ給料
[01:10:55.880] 上
[01:10:57.159] るってこと電光2種乙4冷凍3種笑笑え
[01:11:01.159] 取れんのこれと
[01:11:04.360] か入院となん国家格が必要か月え何
[01:11:10.920] デメリットあんのあ
[01:11:13.600] 待て資格なしあほら資格ありのバイトが
[01:11:17.080] あるんだよ多分本編以外で地味に本格的だ
[01:11:20.080] なガラス吹あガラス吹ビルのガラスは
[01:11:24.800] やばい
[01:11:26.520] 資格なし期間1週間これ怪我とかあん
[01:11:30.400] の誰でもできる簡単仕事ティッシュクラブ
[01:11:33.640] と一緒に笑顔を配りますあだからやっぱ
[01:11:35.880] そういうのあんのかもしんないな危険な
[01:11:37.920] 仕事とがないから安い仕事しかないのかあ
[01:11:41.080] あ多分そうかもにテスト受けるのどうなん
[01:11:43.600] だろわかんねどうなんだろうねお客様のは
[01:11:46.320] サービス場内アナウンスこれ怪我しなそう
[01:11:48.440] だよ3パチコか取りたい
[01:11:52.239] なも何かある
[01:11:55.360] で四角とかなんじゃねえどうするクリ
[01:12:00.000] クリーンが今んとこ1週間で高い
[01:12:03.080] けどティッシュ配り楽な割にバイト台
[01:12:06.239] もらえたなと思い本当やったある
[01:12:09.000] こんばんは
[01:12:10.280] えティッシュ配りのお姉さんからもらった
[01:12:13.480] ティッシュでめちゃくちゃ愛用していたな
[01:12:15.920] おそれあおさん神ゲーをやってます待てえ
[01:12:22.560] どうしよけもクリクリのプロ来たクリ
[01:12:27.880] クリーンだったらまた合有でまたちゃん
[01:12:32.520] できるぞみんなののちゃんにバナナ食わ
[01:12:35.960] せるぞクリクリクリクリに行くわクリクリ
[01:12:38.719] に行く俺バナナ食わせてもバナナ頑張って
[01:12:42.400] 稼ぐぞお
[01:12:45.440] マニの
[01:12:48.360] 女のティシュり1時間
[01:12:51.400] 半もえ
[01:12:56.960] 笑笑ええこれ
[01:12:59.920] もう次来るもう行けんの週末のために働い
[01:13:04.480] てんだもん
[01:13:05.719] な1時間半
[01:13:08.480] あドリームマ8月の休みあののちゃんは
[01:13:12.679] 19日お休みあですよ来週お休みです皆
[01:13:15.719] さん来週ののちゃんお休み
[01:13:17.840] ですまでもちょいろんな女の子行こう
[01:13:20.840] いろんな女の子行きたい
[01:13:23.840] ちょっと2回来行きましょう皆さん情は謎
[01:13:27.560] が多い彼の言動はあなたを迷わせることが
[01:13:30.120] あるかもしれません一体とは何者なん
[01:13:31.880] でしょうか彼氏おざそこと言うじゃねいね
[01:13:35.000] ちゃんはこちゃんお前男慣れてねつってた
[01:13:39.320] だろ信じ嘘つねこのゲームキャバに行く
