[00:00:00.000] OG
[00:48:55.050] [音楽]
[00:49:12.880] ここ覚えとこう覚えてこうつってもなんか
[00:49:15.000] こうささマップが広大すぎてさわかんねえ
[00:49:19.359] んだよ
[00:49:24.250] [音楽]
[00:49:33.040] ある程度魔法打ったら殴らないとだめだ
[00:49:35.119] これこいつも殴りがドラゴンの殴り弱
[00:49:38.240] すぎる
[00:49:39.070] [音楽]
[00:49:42.599] でしょでなんか前回実はドラゴンが元人間
[00:49:46.559] でしたってのが分かったのよ他の
[00:49:49.119] モンスターもこれ全員分やるんじゃねえの
[00:49:51.000] かなそれと思うとちょっとすんごく絶望的
[00:49:53.839] に長い気がするこのゲーム
[00:49:58.100] [音楽]
[00:50:01.559] なんかそんな感じだと思うんだよ
[00:50:04.540] [音楽]
[00:50:05.880] ねやめよこれちょキがね殴ると
[00:50:14.620] [音楽]
[00:50:33.400] このワールドマップのさんかねマップが
[00:50:35.920] ねえからさめちゃくちゃ投げんだよ本当
[00:50:38.190] [音楽]
[00:50:50.400] これいやもう敵多いって敵が多いよ
[00:50:57.150] [音楽]
[00:51:18.440] でもBGMいいなやっぱ
[00:51:29.160] うんいい
[00:51:32.720] ねんドラゴンがレベルアップいい
[00:51:37.040] ぞBGMいいけどいつものが恋しくなるあ
[00:51:40.960] あれも聞こうと思えば聞けるんだよ地下に
[00:51:42.839] 戻れば地下に戻今あの地上と地下すげえ
[00:51:46.520] 簡単に生きできる
[00:51:48.319] から1回聞きに行けば聞こうと思えば
[00:51:51.119] 聞けるけど今ちょっとここまで来て戻っ
[00:51:53.680] ちゃうとまためんどくせえから後で聞きに
[00:51:55.920] 行こうぜ
[00:51:57.720] [音楽]
[00:51:59.960] ベースラインがいいの
[00:52:03.080] [音楽]
[00:52:08.599] これ全然気にしない
[00:52:14.200] でいやゴーレムもなんかさ微妙いよね技が
[00:52:21.050] [音楽]
[00:52:35.680] こサルバの日なんだよ今これ早く終わって
[00:52:38.720] くんねえかな本当なんかこれいろんな
[00:52:41.520] なんかこのさ攻略サイトにも書いてあった
[00:52:43.280] けどさサルバのハサお荷物になるよって
[00:52:46.319] 後半はお荷物になりますからねて書いて
[00:52:48.079] あったけど確かにそうだね前半こいつら
[00:52:50.960] めっちゃ強んだよ最初から覚えてる技強い
[00:52:54.680] し
[00:52:56.799] 体力もめちゃくちゃあるから最初は
[00:52:58.280] めっちゃ強いんだけどでやっぱサルバの
[00:53:00.240] ハエ長いからさレベル上がりがちなんだ
[00:53:03.040] けどやっぱここら辺まで来るとこいつらが
[00:53:05.960] 一ちゃん弱え
[00:53:07.680] わ普通のヒキ夜勤のやつのがずっと強えわ
[00:53:11.440] もうわんもねえしなんだ
[00:53:19.130] [音楽]
[00:53:25.440] これわあ敵多いのやだ
[00:53:28.650] [音楽]
[00:53:30.680] なだ基本ダメージ食らわないからねもう
[00:53:34.160] 防具が強いからヤスハゲだシクさん
[00:53:38.319] こんばんはいややハゲやってんだけどさ
[00:53:40.839] これやっぱもうさむずいわめちゃくちゃ
[00:53:44.839] めっちゃなんか敵も多いしさ強いしさ
[00:53:49.359] マップが無駄に高大だから何どこで行けば
[00:53:51.720] いいかわかんねえし
[00:53:53.480] さやっぱこれ長いね
[00:53:59.760] [音楽]
[00:54:15.480] うんいやこのクレパがなかったら絶対これ
[00:54:18.680] 積んでるねよかった覚えて
[00:54:21.559] てダメージ量が全然違えもんな
[00:54:26.500] [音楽]
[00:54:36.400] ちょっと敵さここさめちゃくちゃ戦闘多い
[00:54:38.559] からさちょっとあれだけ早くしていい
[00:54:43.280] スリーいやあのできればもうレベル
[00:54:46.400] レベリングメインに見えるけどマジでない
[00:54:49.559] よねレベリングメインに見えてるかもしん
[00:54:53.920] ないですけどこれストーリー進めてるん
[00:54:55.280] ですよ一応ただどこに行けばいいか全く
[00:54:57.599] わかんねえからただ戦闘が無駄に多いから
[00:55:00.400] さレベリングムイに見えるかもしれない
[00:55:02.799] けどちょっとごめん戦闘アニメは多んだ
[00:55:04.559] けどこメッセージ度早いにするねあまりに
[00:55:07.119] も戦闘が長い長いっていうか多いから
[00:55:11.079] ちょっとサクっと終わらせるためにMP
[00:55:13.720] なくなってきたねマジミノタウルスい
[00:55:15.880] なかったらこのパーティー終わりだよ見て
[00:55:18.119] やっぱりミノタウルスがクレーパっていう
[00:55:19.720] 魔法覚えてんじゃん全体に500ぐらい
[00:55:21.520] ダメージ与えられる技それでめちゃくちゃ
[00:55:23.880] ってるから
[00:55:25.319] やっぱめちゃくちゃレベル上がってるねあ
[00:55:28.079] くこんばんはとむワール多分また違う
[00:55:31.880] だろうな違うだろうねまたねラコマくお
[00:55:35.839] 疲れちゃんゆっくりまあまあまあゆっくり
[00:55:37.640] やってきましょう
[00:55:40.480] ねと言ってもやっぱねこの難しいとこなん
[00:55:43.680] だよ
[00:55:44.799] ねこれね配信者で難しいとこなんすよいつ
[00:55:48.880] までもこのゲーム続けるわけにもっていう
[00:55:51.079] のがねちょっとずつ出てくるわけです
[00:55:55.240] よ新しいゲーム行きてえなっていうさのも
[00:55:58.599] さ出てくるじゃんちょっと
[00:56:00.240] ずつマジでわけわかんないどこだよこれ何
[00:56:03.119] もなくなっちゃっ
[00:56:05.119] たわかるそうなんだよね早くわさねえと
[00:56:08.960] なっていうじゃこのゲームやりたくないと
[00:56:11.160] かじゃなくてそのなんていうのかねなんと
[00:56:13.640] いうか今日からゆっくりめはめおラコマ君
[00:56:18.920] マジからよろしくねラコマ君にね
[00:56:22.200] あのグラディウスのさビッグバイパーの
[00:56:24.880] プラモを塗装してもらってるんだ今パーツ
[00:56:26.880] をそれが届いたらそれを組み上げる配信し
[00:56:29.200] たいなと思ってあめっちゃいいキットなん
[00:56:31.640] だ
[00:56:32.720] へえ送ったんだよそうそうそう楽しみだ
[00:56:36.980] [音楽]
[00:56:39.160] わでまたちょっとなんかシューティング
[00:56:42.280] ゲームもやりたいなと思っててこないやっ
[00:56:45.079] たらめっちゃ面白かったからさジく
[00:56:47.359] ワールドマップもしかしたらだけど一緒あ
[00:56:49.839] 本当ちょ一応送ってもらっていいURL
[00:56:52.400] 貼ってもらっていい
[00:56:57.039] ま敵多いもんでも見てこれだいぶ早くなっ
[00:56:59.359] たね版とパソコン版一緒っぽいあじゃあ
[00:57:02.000] これも一緒なのか
[00:57:10.680] な
[00:57:11.890] [音楽]
[00:57:13.400] センキュー
[00:57:16.000] センキューこれ何番ちなみにかけ俺も欲
[00:57:20.440] なったあマジ
[00:57:24.079] で高い4したもんFMタウンズ版
[00:57:28.370] [音楽]
[00:57:31.680] うえっとモラの塔が1番でしょで2番が
[00:57:36.599] 石板制作場2
[00:57:38.400] [音楽]
[00:57:40.400] 番
[00:57:42.359] あこんなんだったかななんか若干違う気も
[00:57:46.000] するまあい回これでこれ見てもなんかでも
[00:57:48.720] あんまわかんねえよなこんな抽象的なあれ
[00:57:52.440] じゃなちょっと待ってあの
[00:57:56.799] ちょっと待ってね俺俺今これさマップ一応
[00:57:59.240] 画面で見れるじゃんこれでちょっと
[00:58:00.440] 照らし合わせてみようわお疲れ方向くら
[00:58:03.960] しかわかんねよなパソコン設置終わったあ
[00:58:08.000] もう引っ越し終わったの引っ越し終わった
[00:58:11.039] んだお
[00:58:13.720] 疲れ今日もこのゲームやってますけども
[00:58:16.920] なかなか進まんねおおいいじゃん配信は
[00:58:22.039] いつぐらいからできそうなの
[00:58:26.440] お疲れ様もう渡るの名前が怖い目になっ
[00:58:29.720] てる上げへえいいねいいねいい
[00:58:34.559] ねやっぱ新居テンション上がるよ
[00:58:38.540] [音楽]
[00:58:42.000] なシラスがそわそわしてそう笑笑配信いつ
[00:58:46.640] からかな明後日シ剤とかてる金持ちは違う
[00:58:51.520] なそれなら寝ながら配信できるね笑
[00:58:56.319] 暴れ回ってるよの笑すパパました全然
[00:59:02.760] マップちげえ
[00:59:04.680] わ8全然マップちげえなんじゃ
[00:59:09.839] こりゃ何これめっちゃ笑う全然マップ違う
[00:59:14.119] じゃん何これ
[00:59:17.440] 意味上がらん
[00:59:19.440] わぐにゃぐにゃ何これ
[00:59:21.840] [音楽]
[00:59:23.280] 笑笑何これもう
[00:59:27.000] 全然マップちげえ
[00:59:30.039] よ落ち着かなくて暴れ回ってるとかかわよ
[00:59:34.200] え強待ってなんだ今の俺は何され
[00:59:39.410] [音楽]
[00:59:41.200] た1発で殴られ疲れ殴られて終わっ
[00:59:48.280] た
[00:59:49.810] [音楽]
[00:59:52.119] え何が起きた
[00:59:57.920] え待てあいつなんだおあいつめっちゃ強え
[01:00:00.720] ぞなんだあれ
[01:00:08.920] べべ
[01:00:10.599] よしう待って何こいつ
[01:00:14.280] 笑いやこれで死ななかった終わり待っ
[01:00:18.240] てあいつちょっと待っ
[01:00:21.440] て
[01:00:23.599] え弱い奴ら何
[01:00:28.039] あいつアメバの上位互感みたいな見た目
[01:00:31.880] こっぱ
[01:00:33.880] 笑笑
[01:00:36.480] えええー何あいつやばええ何あれくらい前
[01:00:42.920] に戻るの今日の配信のさ1時間無断だった
[01:00:45.880] わふざけんなよマジで
[01:00:49.920] もう1番最初まで戻り
[01:00:53.839] おしっこおしっこ笑笑
[01:00:56.520] パーティー変えべえよもうパーティー
[01:00:57.920] 変えようダメこれ弱いこいつ
[01:01:09.890] [音楽]
[01:01:12.200] ら何で誰もセーブって言わない
[01:01:15.750] [音楽]
[01:01:20.559] のちょっと男子
[01:01:28.319] セーブし
[01:01:29.559] な遊戯王歌ってる場合じゃない
[01:01:35.440] でしょてっきりセーブしてるもんだと思う
[01:01:38.359] や
[01:01:39.820] [音楽]
[01:01:47.640] ん見てたらセーブしてないの分かるでしょ
[01:01:51.890] [音楽]
[01:01:56.119] もしかして見てない
[01:02:02.319] の対して見てませ
[01:02:06.640] ん
[01:02:15.100] [音楽]
[01:02:19.520] 笑笑ごめんなさい私も遊んでましたプラも
[01:02:23.599] 作ってるなでょ喧嘩すんなよラと右上だけ
[01:02:27.160] 見てるかなマンエグゼであれだけ口
[01:02:29.960] すっぱく言われてたのにしないんだなって
[01:02:32.119] 思っ言えよじゃあそんなロックマンエゼの
[01:02:36.520] えサウンドトラックのレコード版が6月に
[01:02:40.200] 発売予定です皆さんよろしくお願いします
[01:02:43.039] こういうやつ一番
[01:02:46.240] やばいすんませんセーブセーブしとけば
[01:02:49.359] よかったっすねあさあれだあのあそこ
[01:02:53.599] なんかあの楽園みてなとこでセーブしとく
[01:02:55.559] べきやったわあそこでセーブしべきだった
[01:02:57.599] ねうわもう忘れたわ場所あの変なあのあの
[01:03:01.880] 変な今ちょっと引いちゃったんですが何
[01:03:05.559] なんだあの楽園で1回セーブってコメント
[01:03:09.960] した方がいい新居の無量回線ああちょっと
[01:03:13.440] 待ってこれさ1回地下戻ってやり直して
[01:03:17.000] いい笑700mプス出てます笑笑
[01:03:22.079] すげ無料なんだすごいねめっちゃ出る笑笑
[01:03:26.079] テスガセムスプレッティロングはんだすみ
[01:03:31.599] 笑笑無料
[01:03:33.680] 回線わざわざ引必要ないやん笑笑ねうちも
[01:03:37.640] 無料回線あるんだけど雑魚すぎて
[01:03:39.880] さ契約それだったらやめてもいいかもあで
[01:03:43.160] もねいやでもわやめた方がいいよそれは
[01:03:45.720] 絶対あのそれ今はいいかもしんないけど
[01:03:48.960] 絶対契約はやめない方がいいかもと思う俺
[01:03:51.960] は時間によってきてあるよ
[01:03:56.200] そうそうそう絶対それこそ今どんだけ人
[01:03:58.880] 入ってるかもわかんないじゃんどんどん
[01:04:00.480] どんどん1年2年って住んでてさずっと
[01:04:02.720] それが安定するわけじゃないじゃん光回は
[01:04:04.799] もう1回引いちゃば安定だから絶対やめた
[01:04:07.039] 方がいい配信者はみんなブで帰ってんのか
[01:04:09.359] それもあるかもしんない絶対やめた方が
[01:04:11.599] いいそ使えるうちはいいかもしんないけど
[01:04:14.240] ねやイスアアなんだってセピアメタの
[01:04:18.680] センキューフォーカミングありがとう
[01:04:19.799] ございますだもんな光回線そうだねやめた
[01:04:22.440] 方がいいと思うよ配信者はそう
[01:04:27.760] から油断できないよ
[01:04:31.000] なそうだ
[01:04:33.000] ね帰ってきました久し
[01:04:36.599] ぶり我が魔族のあのあそこからやり直す
[01:04:40.680] わくぞ戻ってき
[01:04:43.599] たしかしまだ道はしかしまだ道のりは
[01:04:48.599] 険しい
[01:04:49.640] ぞ久しぶりになうんはまだ明日仕事だよ
[01:04:54.690] [音楽]
[01:04:56.480] 久しぶりに聞いて帰ろ堪能しこうぜこの曲
[01:05:01.880] を前みたいなトラブルあった時の応用でっ
[01:05:05.839] て考えとくといいかも
[01:05:07.970] [音楽]
[01:05:16.559] ね久しぶりに聞い
[01:05:22.799] てこう問題は2契約にたりするだろうこと
[01:05:26.960] がね無料で行けるか試してダメなら契約
[01:05:30.359] できたらいいんだ
[01:05:32.640] [音楽]
[01:05:37.079] けど懐かしいなこの敵見てくれスタン
[01:05:39.720] パイアと
[01:05:42.550] [音楽]
[01:05:44.720] パチスロ懐かしいじゃねえか
[01:05:47.319] よパーティー変えてえな
[01:05:53.599] これ弱えんだよこい
[01:05:57.039] あ俺ミノタウルス合体してねえ
[01:06:00.660] [音楽]
[01:06:05.960] もんちょっとすぐセーブ
[01:06:09.160] しようまあじすらまだ連絡ないんですけど
[01:06:12.680] ね回線あ
[01:06:16.280] [音楽]
[01:06:19.799] そう悪魔ちちにして53希望で出したらさ
[01:06:24.119] うんうんうん
[01:06:25.839] 合うんでしょやっぱ
[01:06:28.279] ね今から1日前ぐらいに連絡して
[01:06:35.559] うん我々もセーブていうねうん言って
[01:06:45.079] くださいあなた方いつも僕が死んだ後
[01:06:47.839] セーブしればよかったのにって言うじゃ
[01:06:49.400] ないですか絶対あなた方も忘れてましたよ
[01:06:52.279] ね僕は毎回それを言われるたびにそうだね
[01:06:54.920] ごめんねって言いながらおめえらだって
[01:06:56.960] 忘れただろがと思ってかなすませんたん
[01:07:00.960] ですがて見ても建物がどかわからなええ
[01:07:05.279] 普通に住所渡せばよくないあだめなんだえ
[01:07:08.160] 何それそんな業者ある住所言われて来ねえ
[01:07:11.319] なんてこれねえ
[01:07:13.359] だろなんでそんなギリギリで笑
[01:07:18.839] 勝えたよ
[01:07:23.450] [音楽]
[01:07:39.359] オある場合
[01:07:44.599] あるオッケーじゃここでちょっとマップ見
[01:07:47.200] ながらさマップねえんだ
[01:07:51.559] けどなんかでもねなんかのところにあると
[01:07:56.200] 思うんだよね確かに同じ敷地内に3頭ある
[01:08:01.510] [音楽]
[01:08:04.839] わえその3等あってもさあ色々あるじゃん
[01:08:09.799] なんかその何の何みたいなAのなんとかと
[01:08:12.200] か
[01:08:12.500] [音楽]
[01:08:14.160] さセーブ早えよはええよあ1回セーブし
[01:08:20.400] とくか分かったセーブセーブしとくか1回
[01:08:22.000] なあの回復してここまで戻ってきたって
[01:08:24.359] いうセーブを
[01:08:27.880] これさ思ったんだけど飛行すればよくない
[01:08:30.239] 5分経過したので5分に1
[01:08:33.359] 回にピンが刺されたんよね笑まくお
[01:08:39.319] 何記念
[01:08:42.159] かこ記念
[01:08:46.560] パピコてなわけでってしまはいよ
[01:08:50.569] [音楽]
[01:08:58.040] そのボスがガチャを引いた
[01:09:01.359] ぞていうかさっきの敵何めっちゃ強なかっ
[01:09:05.450] [音楽]
[01:09:13.679] たはいどけ
[01:09:18.120] です
[01:09:21.400] ザーブリザードブリザードじゃないな変変
[01:09:24.600] な敵めっちゃ強かったんだ
[01:09:29.000] よそのちゃんその
[01:09:37.199] ちゃんててんててん
[01:09:44.400] プププなんかこれ廃墟軍になんかありそう
[01:09:47.120] な気がすんだよね警察署はあったじゃん
[01:09:51.450] [音楽]
[01:10:06.239] 戦闘のスピード上げよ戦闘のスピード
[01:10:13.199] 上げよ戦闘多すぎるよ
[01:10:17.600] これき見てなもんぜなんかね違う普通に
[01:10:21.320] ぶん殴りで1発ずつ沈められたの次の住所
[01:10:24.120] のと買って方が15割れて同じ所が普通に
[01:10:28.920] あり今住んでる場所とも全く同じ住所へえ
[01:10:34.040] Amazonとか大変じゃ
[01:10:36.480] んメッセージ速度早いにして戦闘アニメは
[01:10:39.480] あり
[01:10:39.720] [音楽]
[01:10:41.960] でこの廃墟軍になんかありそうなんよね
[01:10:45.520] そういえば前のステッカーのサインまだ
[01:10:47.719] 書いてないならその花って間違えて
[01:10:50.080] 書き直したいいねその花にしよっかじゃ
[01:10:53.640] お前わかるように言われるその名はボスだ
[01:10:57.800] けどその花にするわじゃそうだ俺が呼ん
[01:11:00.920] でるんだもんそう呼んでんだもそれでいい
[01:11:02.360] よなその花にするわ
[01:11:04.199] じゃこれも早くばんねえとな早くばんねえ
[01:11:08.360] とこれも囚人さんたちのねあるんですよ
[01:11:11.760] まだ手元に送ってないからランディとZ
[01:11:14.199] マンさんとちなみにちなみにすよちなみ
[01:11:18.520] にもうやばいよお疲れ残り残り数ステあと
[01:11:25.560] 4枚すあと4枚これこのデザインあと4枚
[01:11:29.000] しかないからよろしくねあまろちゃん
[01:11:31.000] こんばんはまろちゃんこんばんは残り4枚
[01:11:34.280] ですこのポここばっかり
[01:11:38.679] 引き上がるここばっかりで引き上がるあと
[01:11:42.560] 4枚だ
[01:11:43.679] ぜなくなっちゃうよ
[01:11:48.280] これこれじゃあすもちゃん後でこれサイン
[01:11:51.280] しますねお銀チケやん銀や
[01:11:57.480] え
[01:12:04.120] ポンよし続き行く
[01:12:06.520] ぞ
[01:12:09.180] [音楽]
[01:12:12.840] パパパパパパパパパパ
[01:12:19.480] でマップちょっとこれさ誰か今これ
[01:12:22.400] スクショしてくんねマップこれ誰スクショ
[01:12:25.560] してさあのなんつうのあの俺のさあのあれ
[01:12:28.159] で貼ってくん
[01:12:29.360] ないあのディスコサーバーにこれ見ながら
[01:12:32.960] やりたいこれみなわざわざこのマップ開く
[01:12:36.400] のだるいからさちょこれちょっと誰か
[01:12:38.679] スクショして貼ってくれねここ
[01:12:41.790] [音楽]
[01:12:47.920] にダウンロードしとこうこれ
[01:12:51.860] [音楽]
[01:12:56.199] 誰か俺貼ってくんねお早早
[01:13:01.320] ちっちゃちっちゃちっちゃこれ名前つけて
[01:13:05.080] 保存しねえ
[01:13:07.600] ともこさん早かった笑ちょっと待って
[01:13:11.560] ちょっと待ってえ保存し
[01:13:15.239] て
[01:13:18.320] ちっちゃたち
[01:13:23.400] ちっちゃちっちゃいけどこれ見ながらやる
[01:13:25.840] かなちっちゃいけどこれ見ながらやるわ
[01:13:30.000] ありがとうポケモンみんな
[01:13:33.280] みんみんなありがとうありがとう
[01:13:36.320] ありがとう助かる
[01:13:38.360] わありがとう
[01:13:41.199] 助かるごめんごめんありがとうねこれ見て
[01:13:44.360] もよくわかんねえんだけどな正直
[01:13:46.760] なこれ見てもよくわかんねんねどこに何が
[01:13:49.639] あるって書いてないからね演技がい像が
[01:13:52.360] ガチャぞさ結果は
[01:13:57.719] いや早いね戦闘これいい
[01:14:03.400] ね殴るないとさレベル上がんないんだよ
[01:14:06.719] 殴り
[01:14:08.679] のいい
[01:14:12.030] [音楽]
[01:14:15.320] ぞぞさんはこれ1
[01:14:21.280] ねはい
[01:14:25.760] これ見てもよくわかんないよね正直ね
[01:14:29.320] なんかここに警察署とか学校とかある
[01:14:31.679] らしいんだけど警察署はこないこれもなん
[01:14:34.960] だかよわかんないよね警察署はこないだ
[01:14:38.120] やったじゃんうわ敵多いななステッカーに
[01:14:41.040] 我がに溢れる
[01:14:43.440] な結構ゼマ当ててるから
[01:14:46.719] ねそっかそろそろじゃ新しいグズも考え
[01:14:49.560] ねえとな
[01:14:52.030] [音楽]
[01:15:04.639] うんこれ戦闘早くていいわ
[01:15:07.000] このあマロンあれマロちんって初めてじゃ
[01:15:10.760] ね引く
[01:15:12.380] [音楽]
[01:15:15.199] のえマロティってこれ初じ
[01:15:19.239] ね前引いたっけわば
[01:15:22.760] やば催剣や
[01:15:26.239] 何でもうちでトバ開けるよ
[01:15:28.800] みんなプラス1ポイントあれまろちゃんっ
[01:15:31.400] てこれ前引いたっけごめ何回目だっこれ
[01:15:33.480] ガチャ引く
[01:15:35.920] の回渡るからもったことあるなるほどそれ
[01:15:40.480] かオオオちょっと待ってねじゃあ2
[01:15:42.880] ポイント目です
[01:15:45.270] [音楽]
[01:15:47.040] ね
[01:15:49.480] マルタスまろちゃんは1ポイント1
[01:15:51.719] ポイントですでを持ってます気が向いたら
[01:15:55.760] どんなトでも開催していい
[01:16:01.960] よ
[01:16:05.600] 笑笑
[01:16:10.000] うわあもう地震システムマジいらないっ
[01:16:14.360] てかてえしな
[01:16:18.400] 敵えちょっと地震システムやめてよそれ
[01:16:25.159] 今日かぶってる帽子可愛いね可愛いでしょ
[01:16:28.199] 可愛い
[01:16:31.920] しょあ戦やっちゃっ
[01:16:36.360] た
[01:16:37.960] えーアイテムアイテムマジックアップ魔法
[01:16:42.080] じゃなく
[01:16:44.800] てああもう敵が強えよ敵が強いんだよ
[01:17:07.440] えっと
[01:17:13.670] [音楽]
[01:17:34.719] オオオオオよしよよし
[01:17:38.840] うん新しいダンジョン見つけねえと話に
[01:17:42.040] なんねえよな正直
[01:17:45.120] なやっぱ基本ドラゴンが狙われるので一番
[01:17:47.920] 弱いから1番レベル低いから
[01:17:50.760] ね釈なやつらだよなマジでな
[01:17:55.180] [音楽]
[01:18:12.400] うん早くていい
[01:18:16.639] わうんうんうんうんいいねいいねいい
[01:18:21.440] ねここはあポリスかここはドラゴンが行っ
[01:18:25.440] たとこだよねドラゴンが人間だったっての
[01:18:27.360] が分かった場所だここはねポリスはねここ
[01:18:29.520] はいいのよここは分かったんだよあとさ
[01:18:32.239] なんか学校とかもあるらしいんだよなくね
[01:18:36.080] どこにあんの学校
[01:18:37.850] [音楽]
[01:18:50.000] っててから俺このパーティー早を変わって
[01:18:52.840] くれ
[01:18:54.600] [音楽]
[01:18:57.520] うんいいねいいねいい
[01:19:01.800] ねいよいいよいい
[01:19:05.000] よそ飛ぼう
[01:19:14.719] なんかこの辺もよくわかんねえ
[01:19:18.560] しここはあーわかんねえなこれもな
[01:19:27.280] このこ辺絶対なんかあるよね1個ぐらい
[01:19:29.580] [拍手]
[01:19:30.220] [音楽]
[01:19:35.639] ね何もないのこれ時計がついてる施設
[01:19:39.080] らしいよああそうなんだそんなないよねで
[01:19:42.760] も今んとこねえ絶てなんかあるんだよこの
[01:19:46.440] 辺ごめここ殴りで行く
[01:19:49.640] [音楽]
[01:19:52.199] わやねなこいつら
[01:19:55.770] [音楽]
[01:19:58.600] なうわーそうやめてよそれ
[01:20:04.400] もうもう重んないのこの地震
[01:20:09.040] システムああ来た来た来たこれ
[01:20:14.040] こっちオさっきと一緒ねセーブしよう
[01:20:17.159] セーブしようセーブしようセーブしよう
[01:20:18.400] セーブしセしもう自信システムマジやめて
[01:20:21.920] くれこれ
[01:20:27.760] これさ装備ってできねえんだよなドラゴ
[01:20:29.880] ンってまだ合体して間もないからそうなん
[01:20:31.920] だから弱えんだよ
[01:20:34.159] な
[01:20:39.880] 装備てえ並び替えじゃなくて間違えたえ
[01:20:45.120] ちょっと待ってえこの毎回これ自信来ると
[01:20:48.560] 絶対回復入れなきゃいけないからマジめど
[01:20:50.360] くせドラゴン絶対死んじゃうし
[01:20:53.639] ねどい
[01:20:57.800] の金めっちゃあんだけどなドラゴンちゃん
[01:21:01.480] がえドラゴンちゃん弱すぎっすねちょっと
[01:21:03.760] ね
[01:21:05.560] [音楽]
[01:21:48.520] た
[01:21:50.890] [音楽]
[01:22:02.560] よし学校ってどこにいやもう敵だったもう
[01:22:08.400] [音楽]
[01:22:10.800] わあめんどい
[01:22:14.670] [音楽]
[01:22:22.400] なこのメッセージ速度とが早いおかげでね
[01:22:25.600] まだあいいねいいねいいねいいねいいです
[01:22:27.760] よこっは自動
[01:22:31.480] でこれさ武器防具ってこれ最強なのかな回
[01:22:35.920] 確かめるかあんまりにも弱
[01:22:38.960] すぎる待ってお前ら武器防具って
[01:22:44.670] [音楽]
[01:22:46.719] さえっとお前ら装備
[01:22:50.800] はウィザードマントハデスシールド
[01:22:55.080] 武器ワイルド
[01:22:57.430] [音楽]
[01:23:00.360] クラブあ装備はしてないの
[01:23:04.280] かジャイアントメールウィザードマント
[01:23:07.120] うんうんドラゴンはほらこいつ武器防具
[01:23:10.520] 装備してないもんだできねえんだろうな
[01:23:12.960] こいつ合体してねえからよええありません
[01:23:17.360] はやばいなやばいよねだ装備できねえんだ
[01:23:20.360] よだからあの能力こいつ元々装備できねえ
[01:23:23.000] やつなんだ多分
[01:23:25.480] うーん合体しねえといけないんだけどでも
[01:23:27.840] これさ絶対負けちゃうじゃないまレベル
[01:23:31.360] 上がんねえいや負のスパイラルなんだよ今
[01:23:33.679] の多分なちゃまさんこんばんはおおばさ
[01:23:37.719] こんばんはこのゲームまたやってますよで
[01:23:40.120] もねとってもとっても今困っちゃってます
[01:23:44.600] 困ったちゃんなんです今これシルバー
[01:23:46.480] ソードとかお前装備できねえのか
[01:23:48.719] よ金あるからさこれ高え武器いくらでも
[01:23:52.760] 作ってあげんのに装備できないっていうね
[01:23:55.840] あワイルドクラブお前装備できんのあそう
[01:24:00.679] アックス
[01:24:02.480] は
[01:24:04.000] おなんか装備できんのお前
[01:24:07.639] ら持てるってことは装備できるってことだ
[01:24:11.520] な待って適当にちょっと与えてみよっか
[01:24:14.719] ベルゼアーマーはあだよねえお前装備
[01:24:17.400] できん
[01:24:18.280] のじゃ買ってあげるよ全然ええ
[01:24:26.400] お前ら装備できん
[01:24:28.639] の
[01:24:31.120] あでもあんなにあった金がもう全然
[01:24:33.760] なくなっちゃった7万7万買った7万使っ
[01:24:37.400] たから7万21万使っちゃった買ったです
[01:24:40.480] ね21万使っちゃった
[01:24:43.560] 21万あそうなんえま武器はあ一応
[01:24:49.280] ワイルドクラバは装備できるん
[01:24:52.400] だうん
[01:24:56.760] あ間違えたこれサタンアックス装備してん
[01:24:58.719] のにまた買っちゃったこれさアイテム売
[01:25:00.679] るってことできないよ
[01:25:03.159] ねアイテム売るってことは確かできないん
[01:25:05.840] だよなこれ
[01:25:06.330] [音楽]
[01:25:08.800] な捨てるしかないんだよね捨てるしかない
[01:25:12.480] んだよねそうだよね売れないもんねお店
[01:25:14.400] じゃないもん
[01:25:15.520] ねもったいないことしちゃったま彼なんか
[01:25:18.080] すぐたまん目ここだったらセーブしようこ
[01:25:21.440] あることにセーブだよ
[01:25:24.920] よしで学校を探そう学校へ
[01:25:30.920] 行こうないじゃんどこ学校セブえいねブ
[01:25:35.880] 偉い
[01:25:36.760] でしょどここのこの廃墟軍何もないのあ
[01:25:40.840] 病院だ病院
[01:25:44.840] 発見殴ってみかどんだけ変わったねなんで
[01:25:48.080] メージ速度戻ってんねんってないか
[01:25:54.440] 入るようになったな100ぐらいは与え
[01:25:56.840] られようになったねおおいいんじゃ
[01:26:00.600] ないうんさっきこ1とか2だったもん
[01:26:03.400] うわーもうもう
[01:26:06.639] ほと本自信システムま
[01:26:11.280] くばれ地震システム作ったやつマジ
[01:26:14.960] ゴミざけんなよめんどくせえ
[01:26:18.800] な思ったんだよこれドラゴンがスピリット
[01:26:21.960] 持っててもしょうがねえなってあだめか
[01:26:27.639] 全然進まねえんだよこの自信やられるとさ
[01:26:30.159] 毎回ここで回復しなきゃいけねえからで
[01:26:33.239] 思ったのおめえドラゴンが1番最初に死ぬ
[01:26:36.400] んだからこいつがね蘇生アイテム持ってて
[01:26:39.320] も意味ないのよお前が蘇アイテム持って
[01:26:42.320] マジで意味ない他の人にあげてください
[01:26:44.760] お前にしか使わないんだからスピリット
[01:26:47.750] [音楽]
[01:26:48.960] はもうマジやめて
[01:26:53.239] ほしい中の自信もあれなのかな悪運で回避
[01:26:57.920] できるのか
