[00:00:26.240] はいどう
[00:47:00.920] キム
[00:47:02.040] プはいはい完全にやりましたはい完全に
[00:47:08.000] やりました終わりです
[00:47:10.839] おえちょっと待って待って待ってあんま
[00:47:14.520] 動かない方がいいんだこういう時はでら
[00:47:16.520] さんこいつマジでやりましたこういうは
[00:47:19.480] バイバイこういう時はあんまり動かない方
[00:47:22.400] がいいんだよお疲れ様でしたこういう時
[00:47:25.880] あんまり動かない方がいい
[00:47:27.599] 代わりに鼻くそのせ
[00:47:31.839] とこええないんです
[00:47:36.090] [音楽]
[00:47:38.599] けど
[00:47:40.119] え
[00:47:41.760] マジ絶対あっからえ無人
[00:47:47.040] 鬼ゲーム送ってあげるあ無人鬼になっ
[00:47:51.200] ちまうえないしああああったあったあった
[00:47:56.280] あったあったあったあったあったあった
[00:47:58.079] あったあったったあった危ねえもうやだよ
[00:48:01.359] こんな人生で探せよかったあった良かった
[00:48:06.960] やだよもよかっ
[00:48:09.440] た心臓に悪いよ良かったねはいはい座り
[00:48:14.559] ました見てに米粒が乗るところだったはい
[00:48:18.640] 座りましたよほら見える座りましたよもう
[00:48:23.040] 君封印君は封印
[00:48:26.960] てるよ着座着座
[00:48:31.839] 花牌はいはいはいはい逆にちょっと米つぶ
[00:48:35.520] 見たかったかもう
[00:48:38.920] ほー
[00:48:42.720] かちバカ
[00:48:45.240] かっけ俺男の子ワクワクシステムすぎる見
[00:48:50.520] てこれ見て
[00:48:53.400] これもうこれで飾っといてもいいこうやっ
[00:48:56.240] てこういう風になんかこういう風にこれ
[00:48:59.040] あのもう台座があるんすけどおそう蓋し
[00:49:02.680] たらもう安全
[00:49:03.799] よ
[00:49:06.079] うわもうこういう風にさこれで飾っいい色
[00:49:13.640] だ笑笑これで飾これで飾っときゃええやん
[00:49:18.079] こうやってほらかっこいいじゃんこれでも
[00:49:20.760] 十分ねこれで飾っとけばいいややべえダサ
[00:49:25.720] だなそれだけだ
[00:49:28.280] ただ見てやばくねあでもさこれさ着座させ
[00:49:33.000] たはいいけどさ接着剤置かねえとこれ中で
[00:49:36.440] さこの鼻くそがさ暴れて
[00:49:39.319] さあんま座りが良くねえこれなんか
[00:49:44.000] つけようかないやでも何もねえしな何も
[00:49:46.920] ねえしな笑笑何もねえもんしょうがねえな
[00:49:51.000] あんまり動かせないこれは暴れさすな笑
[00:49:53.760] あまり動かせない粒それこそマジで米粒
[00:49:57.599] はいで次エンジンに行くみたいです
[00:49:59.480] エンジンエンジンエンジンねエンジン
[00:50:03.640] エンジン行きますよえエンジンにはいえC
[00:50:09.839] の5と4Cの5と4Cの5と4鼻くそが
[00:50:15.000] あるやろそんな振ったら花しんちゃべよ
[00:50:19.280] 笑真の4ここね
[00:50:22.839] にけるらしいこれを
[00:50:28.520] エンジン作ってくよ
[00:50:31.640] エンジンいやエンジンもかっけっす
[00:50:35.839] わエンジンもかけっすわこれ見てエンジン
[00:50:41.960] もかけすわこれで
[00:50:46.640] えっと9で作ったやつのとこにえCの3C
[00:50:52.559] の3
[00:50:54.040] とCの3と
[00:50:57.599] Cの2わかんねえよどれだ
[00:51:02.040] よどれだ
[00:51:04.200] よかしながら見ますわ頑張って
[00:51:13.200] あいこれかこれやん
[00:51:17.480] なはいはいはいはいはいはいはいこういう
[00:51:20.400] ことだこう
[00:51:23.240] でごめん俺この
[00:51:26.839] か全くわかんないけどちょっと見守ってな
[00:51:28.559] 今日
[00:51:29.839] ははいはいはいはいはいはいはいはいはい
[00:51:35.000] はいはいはいはいこんな感じですエンジン
[00:51:37.119] が今出来上がってきます楽しいですよ
[00:51:40.000] ありがとうこんな感じですよいいね
[00:51:43.160] エンジンもいいこれよく見て中もちゃんと
[00:51:45.480] 再現されてるからこれ見えねえかもしん
[00:51:47.400] ねえ
[00:51:49.640] けどほいだらもうエンジンのドッキング
[00:51:52.720] する
[00:51:53.839] らしいプラモ作る画でよく見てますあそう
[00:51:57.920] なんだそそううまい人がやるとまた気持ち
[00:52:00.200] いいかもしんないけど俺の下手くそほい
[00:52:03.640] だらなんだなんだよほいだらって言うだろ
[00:52:07.079] 言わねんかおめえらはほいだらほい
[00:52:10.599] だらどこにつけんだよ
[00:52:14.720] これ
[00:52:19.119] うんどこにつけんの
[00:52:24.440] これこういうことおっさんグプとかおすめ
[00:52:28.839] えこれ絶対違うよ
[00:52:32.240] ねあ合ってるあはいはいはいはいはいはい
[00:52:37.599] はいはいはいはいはいはいはいはいはい
[00:52:44.720] はいはいいいねなんか別々に作ってくん
[00:52:47.839] じゃなくてどんどんここにくっついてくの
[00:52:49.680] が楽しいどんどんこのメインにくっついて
[00:52:52.839] いくのが楽しいす
[00:52:54.440] ねでAの13おそらくこれでしょでかい
[00:52:57.880] パーツは一発で分かるからいいねでかい
[00:52:59.520] パーツりしじゃん塊だましいでな
[00:53:06.960] な違うこれじゃないくるくる回るのかっこ
[00:53:10.520] いいくるくる回るの
[00:53:15.480] ここかち
[00:53:20.220] [音楽]
[00:53:29.839] これで合ってんのか
[00:53:32.079] なはいはいはいはいはいはいはいはいはい
[00:53:36.319] はいはい見て子供の頃プラモとか作った
[00:53:39.319] ことないの種がみたいでかっこいいやめて
[00:53:43.599] くれるねやめてくれるだと組み立てて最後
[00:53:47.520] にどうと合体って感じですそうなんこの
[00:53:50.720] ここ
[00:53:51.520] にしてくのが
[00:53:55.440] うで尻によく刺さりそう
[00:53:58.599] な刺さったら最後抜けねえだろうなえー
[00:54:03.040] はいとりあえずここで次おあ俺一番俺ね
[00:54:07.079] ビッグバイパーの1番好きなところ次から
[00:54:10.920] 行くらしいっすどれだかわかんねえけど嫌
[00:54:13.760] だ
[00:54:15.880] 笑何何お尻お尻やだねちょっと待ってこれ
[00:54:22.359] でいいのか
[00:54:24.200] なこれであってんのかな
[00:54:27.240] いやめっちゃかっけめっちゃかっけんだ
[00:54:29.599] けどこれで合ってるのかどうかわか型の角
[00:54:31.680] 部分か
[00:54:33.640] なそうクワガそうクワガのこのビッグ
[00:54:36.839] バイパーの一番かっこいい部分作ってくよ
[00:54:39.799] ここ分かるこのビッグバイパーってさ先が
[00:54:43.799] 2つに分れてんのよそれがかっこいいよね
[00:54:47.200] このクワガの部分であのこれごめんねちょ
[00:54:51.640] 語るけど俺が一番好きなのはこののとこっ
[00:54:56.040] てんが好きなのよこのグラディウス2の
[00:54:59.599] ごめんオタク特書ていくわグラディウス2
[00:55:01.760] のねこのメタリンは先大丈夫蓋型で拡張
[00:55:05.400] するんだよねその何を言っ
[00:55:08.040] てるあのここがかばってないのよツンて
[00:55:12.599] なってるでしょこのグラディウス5のやつ
[00:55:16.200] はここのクガの部分がカカクカクでかっこ
[00:55:20.720] いいことこの上ないわけ見てくださいこの
[00:55:23.119] パーツ絶対かっこいいし
[00:55:25.319] こんなグラディウス2のパッケージ
[00:55:27.920] 懐かしいわかるこれもねこの状態で
[00:55:31.400] なかなか綺麗にあるやつはなかなか見な
[00:55:33.039] いっすよねなんかこのパッケージって
[00:55:35.440] ガビガビにカビ生えるよねなんか中古屋で
[00:55:38.640] 見てもさこの銀色の塗装がガビガビにさ
[00:55:41.799] あのなんかあのカビてるやつよく見るんだ
[00:55:44.559] けどこの綺麗なやつはなかなか見
[00:55:47.039] ないこれかっこいいっすねちょっと
[00:55:50.799] ちょっと待ってどれを作るって子供の頃
[00:55:53.960] 買ったけど難しすぎてすぐ打った分かる俺
[00:55:56.839] もねこれ配信でやったけど2時間やって1
[00:56:00.160] の1あの1番最初のなんかのパワーアップ
[00:56:02.160] ゾーンげたパッケージねパワーアップ
[00:56:04.720] ゾーンがねあの超えられなくてやめ
[00:56:07.880] たとんでもなくできねえんだ俺あのあれが
[00:56:11.920] シューティングただ好きなんだよそうそう
[00:56:14.920] こういう特殊パッケージってまじ塗装
[00:56:16.520] はげるからねこれ番号がわかんないんだよ
[00:56:20.400] な番号がわかんないんだよ
[00:56:24.119] ねま番号わかんない
[00:56:29.079] わかんないなりにちょっとやってみ
[00:56:30.920] ましょうかねこうこう
[00:56:34.760] でこれとこれでしょでこの上に
[00:56:38.920] グラディウスには音がすごく良かったああ
[00:56:42.079] だっても特殊チップ積んでるもん
[00:56:45.119] めちゃくちゃ音はいい
[00:56:48.799] よこれ上と下がわかんないんだけどこれ
[00:56:52.039] あってんのか
[00:56:55.240] な上と下がわかんねえいっ
[00:57:06.599] か
[00:57:10.839] えあってんのかな
[00:57:13.319] これえこれ合ってん
[00:57:16.359] のわかん
[00:57:18.920] ねえあってるかななんかこ同じような
[00:57:22.680] パーツが多すぎてさ合ってんのかわかん
[00:57:24.799] ない入っ入れちゃうけど間違って入っ
[00:57:28.880] ちゃったらどう
[00:57:31.280] しようほらはいもうめちゃくちゃかっこ
[00:57:34.680] いいですもうもうめちゃくちゃかっこいい
[00:57:38.480] ですえこれ合ってる本当
[00:57:42.760] にこれ反対いろいい
[00:57:47.839] はいやそれはわかんだけどこのAの14と
[00:57:52.280] 11がさじパーツが多くて
[00:58:00.359] なおそらくこのハネパーツなんだろうけど
[00:58:03.599] どれも一緒かこれドはるも一緒
[00:58:07.039] かま間違ってたらはまんねえだろ多分な
[00:58:11.319] 間違ってたらはまらん
[00:58:14.280] やろうん多分どだいやなんか嫌に硬いな
[00:58:18.520] ここ間違ってんのか
[00:58:20.320] [音楽]
[00:58:23.920] ないやあってるはず
[00:58:26.960] 合ってると信じていこう合ってると信じ
[00:58:32.240] てこういうのあのああ多分さギュッと入れ
[00:58:35.559] とかないとアート入れるの大変だからこれ
[00:58:38.359] 部の時にしっかり組んどかないとアト辛い
[00:58:41.000] だもん
[00:58:42.770] [音楽]
[00:58:52.640] ねこれもうくっつけちゃっていいかな
[00:58:58.270] [音楽]
[00:59:02.440] おお見てめちゃくちゃかっこいいもうこれ
[00:59:08.799] だけでめちゃくちゃ満足感がある見
[00:59:12.880] て
[00:59:14.520] めっちゃくちゃかっこいいんです
[00:59:16.760] けど何これ残白刀じゃん刀見てめっちゃ
[00:59:22.799] かっけめっちゃかっこいいこれゴしてんの
[00:59:26.839] がいいんだよ
[00:59:28.000] なまた綺麗に塗装して
[00:59:33.480] はるえ何12はい12でできましたこいつ
[00:59:38.920] をして剣
[00:59:41.280] に
[00:59:44.440] え待っ
[00:59:47.799] て何これ
[00:59:52.559] 12123えもうここでこれ来るらしいわ
[00:59:55.640] 偽
[00:59:57.359] ペアモデルキットおセペメタノイアfor
[01:00:02.440] カミングスえメイド
[01:00:05.410] [音楽]
[01:00:07.000] えプラスチックキッの何あのクリアパーツ
[01:00:12.000] この羽にさ亀裂入ってんじゃん亀裂入って
[01:00:15.559] んじゃんここにめっちゃちっちゃいクリア
[01:00:18.680] パーツ入るんだよこのパッケージのさこ
[01:00:23.200] パッケージのこれこれこの赤いの分かる
[01:00:26.880] これよこれこれこれここまで再現されてる
[01:00:29.960] わここうわでもこれあれだななんボタン
[01:00:33.680] 電池仕込んでさここにライトとか入れたら
[01:00:35.559] めっちゃかっけだろうなそこそうでそれが
[01:00:40.359] やべえ
[01:00:41.440] ちっちゃやべえ
[01:00:43.440] ちっちゃ何これ鼻くそどころか
[01:00:47.440] お前鼻くそどころかだ
[01:00:52.240] よいやこんなん一瞬でなくすぞ多分これは
[01:00:57.359] 冗談じゃなくおこしたら本当に終わりだと
[01:00:59.559] 思う一生見つからないと思うクリアパーツ
[01:01:02.440] だし指に埋まっちゃうねさっきの
[01:01:04.559] パイロットより小さくないいやさっきの
[01:01:06.920] パイロット
[01:01:08.000] なんかいそうメソよ
[01:01:10.640] クソえこんなん差し込み式でいいの
[01:01:14.359] スワームモデルキットブルデヘアアス
[01:01:22.799] コメルこれパーツだからねこれこれパーツ
[01:01:27.000] ですからね皆さんこの
[01:01:29.839] これこのもうピントが合ねちっちゃすぎて
[01:01:34.000] これパーツだよ
[01:01:37.000] ちっちゃい出たG5パーツむっちゃ
[01:01:40.119] 小ちゃいこんなもんさなくせと言ってる
[01:01:43.559] ようなもんやろ入れたら飛んでいきそうで
[01:01:46.559] もさマジでそうでもめちゃくちゃかっこ
[01:01:52.279] いいあやばいの大きいよ
[01:01:57.839] ねお前馬鹿にしすぎだろお前確かに
[01:02:01.319] おいここれはやばいだろ
[01:02:05.599] お前これはやばいだろま確かにあ寒い時と
[01:02:10.760] かこんくらいの時あるけどね俺も見なんか
[01:02:13.920] ないなとなんかなくしたと落っことしてき
[01:02:15.839] たと思ってあれしちゃうもんね探しちゃう
[01:02:17.960] もんねえっとじゃあこれいいんすかねもう
[01:02:21.079] 行って行っていいんすかねえっとGの2と
[01:02:25.200] Gの4Gの2とGの4ジマゲームこんなに
[01:02:29.160] 小さいのと42と42と4あほらちんちん
[01:02:34.359] の話するからちゃ女の子がロっちったじゃ
[01:02:36.480] ねえかよ笑しないかなちんちんの話する
[01:02:40.799] から2と4ねこれどっから切ればいいんか
[01:02:44.720] がわかんねんだけどどっからがパーツどこ
[01:02:47.680] までがこのランナーなのどこから
[01:02:52.760] あちょっと待ってまで
[01:02:56.310] [音楽]
[01:02:58.640] あえ待ってはいやりましたはいはいはい
[01:03:03.240] はいやりましたあに手でおった方がよく
[01:03:05.960] ああやったやったやった落としたあれマジ
[01:03:10.160] で落とした
[01:03:11.640] もう終わっ
[01:03:16.079] た終わた髪の上に落ちて
[01:03:20.640] ないあ落ちてたあったあったナイスこれ
[01:03:26.760] です11のところこれですこれですもうや
[01:03:31.039] だこれおこれはもう無理だよどうしろっ
[01:03:36.520] ちうねん
[01:03:38.400] これ差し込むたって差し込めねえだろ
[01:03:42.920] こんなちっちゃいの
[01:03:46.319] よピンセットで
[01:03:50.319] そっいやこれねあなた精密作用苦手ねいや
[01:03:54.960] こんな俺の指じゃ無理だ
[01:03:57.000] [音楽]
[01:04:06.480] よあの完全にやりましたね今ねあもう今か
[01:04:09.839] ももうかもう
[01:04:12.940] [音楽]
[01:04:27.279] あのすませ完全
[01:04:31.520] にちょっともう俺もこれ無理だわ
[01:04:36.330] [音楽]
[01:04:37.520] なあな俺にはもう無理無理だったねなくし
[01:04:42.400] まし箱を膝に置くなくし
[01:04:46.760] たじゃあんなちっちゃすぎて無理なんね
[01:04:50.200] 普通に考えてなくしたやもんピュンて飛ん
[01:04:53.559] でっ
[01:04:54.279] たちょ待ってどうしようえ本当にないの
[01:04:59.400] なんでそんな瞬時になくせる
[01:05:02.640] の意を持って言い訳すなプラもある
[01:05:07.760] あるそれ鼻くすと思っ
[01:05:16.400] たいやこれは見つかん
[01:05:21.079] ねえお米つぶ詰めて赤ペンで塗って代用
[01:05:25.079] しよう
[01:05:26.050] [音楽]
[01:05:27.160] これは見つかんないでやんす
[01:05:31.880] ねこれはもう無理だなやっちまった
[01:05:37.450] [音楽]
[01:05:40.160] よはがきればもらえる
[01:05:43.520] よもしかして茶武器
[01:05:47.640] 用ちょっとこれクリアパーツとやんなくて
[01:05:51.720] いいクリアパーツやらなくていいこれ無理
[01:05:54.680] だわワニクリップで挟んでたら飛んでなく
[01:05:57.799] なるってのある
[01:05:59.440] からちょっとこれクリあれだわクリア
[01:06:03.079] パーツはちょっと細かすぎて無理えもう
[01:06:06.960] だってどこないもんねもうねもうもう多分
[01:06:09.160] 一生見つからんよこれ
[01:06:11.039] はもうないわんなうんもうない
[01:06:15.480] わ見つかるはずないちょっとクリアパーツ
[01:06:18.760] 飛ばそうもう多分これ無理やなえでも
[01:06:22.839] クリアパーツナトてかっこ悪いよこれ
[01:06:26.640] お前予備のクリアパーツつけとけ
[01:06:29.440] や1個はなくしてセーフですみたいなさの
[01:06:33.400] だけでいい
[01:06:34.799] べ食でもないよね至るところでガムテープ
[01:06:40.079] ペタペタしてたん
[01:06:41.880] そあガムテープペタペタで探す地面地面
[01:06:46.680] ガムテープペタペタそれいいねちょガム
[01:06:49.799] テープ持ってくるわ
[01:06:55.640] それが早
[01:06:58.300] [音楽]
[01:07:03.279] そうこういう人がカスタマーセンターに
[01:07:06.240] クレーム入れてくるのかな
[01:07:09.850] [音楽]
[01:07:16.039] 大変もうカッターナイフで自分で削り出し
[01:07:19.400] てパーツ作ろいやもう見つからんやろ
[01:07:22.559] なもう見つからないですよね
[01:07:28.920] レビューサイト見てもその曲クリアパーツ
[01:07:31.760] はいたずらに難易度高くしてるだけという
[01:07:34.319] 評価ピンセットで挟んで飛んでったら行方
[01:07:37.760] 不明になるのはよく
[01:07:42.400] ある非常に汚くてお見せできないすねでも
[01:07:47.119] ない
[01:07:48.119] わでもない
[01:07:50.640] ねいやこれは見つかんないよな
[01:07:57.039] これは見つかんないよ
[01:07:59.160] な床のゴミ掃除にもなるから一石に
[01:08:08.799] 丁ちょっと同じ目線に立っていいいや
[01:08:14.520] ランナーをヤって作るあそんくらいなら
[01:08:17.759] できそうじゃなかニッパーで切ってさこれ
[01:08:19.880] 間埋めりゃいいんだろで最後さうまい具合
[01:08:22.880] にヤりだったらあるよやヤれだったらある
[01:08:26.319] よほらできそうじゃねあそれで行くわそう
[01:08:30.480] しよう天才それで行く
[01:08:32.880] わ
[01:08:34.640] DIY男ってこういう時に起点効かせねえ
[01:08:37.239] とよあ生く力なんだそれ
[01:08:42.239] がでできそうじゃね普通にそれだっ
[01:08:46.239] たらじゃそれ最後にやる
[01:08:49.870] [音楽]
[01:08:52.279] けどいやん
[01:08:55.560] たんじゃねえべ行けるいける大丈夫だどう
[01:08:57.520] にか
[01:08:58.520] なるちょっとまず繊細差が欲しいな000
[01:09:02.319] 番とか2000番とかないと白くなるよ
[01:09:06.319] わからんいいんじゃなんとかするもう
[01:09:09.679] 見つからんから探して
[01:09:13.040] もここめっちゃ簡単に入るやんけなんなの
[01:09:17.319] ここここめっちゃ簡単1個ランダをとかし
[01:09:20.560] て溝に押し当てて埋めるてもちゃまゲーに
[01:09:23.400] 無縁なもの繊細さここ1個入ったらもう
[01:09:26.679] ここ気になってしゃあねえもちょも1回
[01:09:28.400] 探していいちょ同じ目線になって探すわお
[01:09:32.199] 入ったちょっと同じ目線になって
[01:09:38.480] 探そうあったあったあったあったあったよ
[01:09:46.040] ありました
[01:09:48.480] から笑笑はあったのかあっ良かったで
[01:09:56.159] やっよやっぱ同じ髪の毛
[01:09:59.320] がべべ今日2時までなの
[01:10:03.080] に
[01:10:04.640] な見つからねと思っ
[01:10:07.239] た早
[01:10:10.719] すぎるに同じ目線になったら目があった僕
[01:10:14.360] ここにいるよって私ここにいるよ早く
[01:10:17.600] 見つけてごめんな見つけてやれなくて
[01:10:21.719] このこあこ天才じゃないこの中でやる
[01:10:25.760] はあおのこ今週振り返りで休止か見つけて
[01:10:29.640] くれてありがとう来い
[01:10:31.880] じゃえ今週押しのないのねはい神今週推し
[01:10:37.880] のこないのはい神はい
[01:10:41.920] 神よしないよマジでクソ萎えたはなんでね
[01:10:47.080] んだよやれや病
[01:10:49.199] やれねこれってさ反対側も作っていいのか
[01:10:52.199] な翼
[01:10:55.640] でその後
[01:10:59.320] 止どういうことこれさ反対側の翼も作っ
[01:11:05.120] ちゃっていいんだ
[01:11:06.330] [音楽]
[01:11:09.600] ねどうやってつけんのこれむずいんだ
[01:11:13.880] けどここにつけるらしいんだけどつくか
[01:11:16.880] これAの9とAの9とAの
[01:11:22.640] 6めっちゃむずいやんけ
[01:11:27.480] 8だか9以降1ヶ月待ってねと言われてる
[01:11:31.679] へえこれかあこうだねこれ
[01:11:42.400] とんこれ
[01:11:45.400] かこれやなこれで翼を挟み込むらしい
[01:11:56.040] こういうことかはいはいはいはいはい
[01:11:58.719] デウス欲しいと思ったけどさすがプラム
[01:12:01.560] たけ笑笑5000円ぐらいしたかなえ
[01:12:05.800] わかんないプラモデルの相場がわかんない
[01:12:07.520] んだけどそんくらいするでしょプラモデ
[01:12:09.000] ルってしないの安いのもっプラモそれ
[01:12:11.920] ぐらいするでしょ別にえプラモデルって
[01:12:15.880] そんくらいするべうさんこんばんは分かん
[01:12:18.080] ない俺相場がわかんねプラモデルぐらいや
[01:12:20.120] ぞ
[01:12:21.840] へいいんだよ欲しいもんは欲しいんだから
[01:12:27.000] まガンプラが異常に安いだけ
[01:12:30.320] 4950まみんながいくらやってもこの格
[01:12:33.360] さにはならないこれはこのかっこさはこの
[01:12:36.280] 塗装おかしい見てこれめちゃくちゃかっこ
[01:12:39.679] よくないや
[01:12:41.440] ば震えるわかっこよく
[01:12:44.320] てめっちゃくちゃかっけいいねいいねいい
[01:12:48.800] ねそもそもグラディウス5してたっけん
[01:12:52.159] グラディウス5はしてないけどこれ
[01:12:55.440] グラディウスジェネレーションやってた
[01:12:56.920] このグラディウスジェネレーションは5と
[01:12:58.840] 同時期に発売したからあの5バージョンと
[01:13:02.520] 同じなのこのこの頭の先のあれがこ
[01:13:05.800] ゴツゴツそうゴツゴツしてるタイプなんだ
[01:13:08.120] よまもちろん5も持ってるんでこれ配信で
[01:13:10.600] やりますけどね配信でやりますけどねこれ
[01:13:13.159] も
[01:13:15.040] ねいやいいねガンガンスピード上げてく
[01:13:18.520] かんなスピード上げてくぞもうガンガン
[01:13:21.120] やってかないと終わんねまたクリアパーツ
[01:13:24.320] やるんじゃん
[01:13:26.360] もうやだよ俺クリア
[01:13:28.320] パーツもクリアパーツやりたくねえ
[01:13:32.080] よとんでもねええ初回版わかんない初回版
[01:13:36.080] かどうか
[01:13:38.000] はクリアパーツやだよもう怖い
[01:13:41.880] よ箱の中でやろそうだねクリアパーツは箱
[01:13:46.280] の中でやるついてるらしいね5の初あそう
[01:13:49.239] なんだうん多分ついてないと思う俺の
[01:13:55.440] よいしょあんまスピード上げると壁に
[01:13:57.960] ぶつかるよそうなんよねださっきもな
[01:14:01.000] さっきも分かるうさんこれこの羽の間に
[01:14:05.239] 入ってるこの赤いパーツこれが床に落ち
[01:14:08.000] ちゃってもう絶望できるこのくそ
[01:14:10.000] ちっちゃいんだよ見てこれなくしてくださ
[01:14:12.120] いって言ってもだろ今買おうとしたらです
[01:14:14.679] よたかたかグラデ高い
[01:14:19.040] ねでも欲しかったら買えるだろうがよえ
[01:14:22.440] たけえつって買えねやつはて
[01:14:25.639] と思ったけどたくて買えねえたくてどれ
[01:14:30.199] どれどれ欲しいってどれゲボ
[01:14:34.679] アドバンスたけえたけえって悩んでるうち
[01:14:37.000] は本当に欲しくねえんだ本当に欲しかっ
[01:14:38.320] たら5万でも10万でも出して買うだろ
[01:14:41.040] 買い物ってそういうもんじゃない買えない
[01:14:43.000] よそもそも売ってないネットで買えんやん
[01:14:49.320] け1万する美少女プラも買ってるよ欲しい
[01:14:54.480] んだもんなしょうがねえよな欲しんだ
[01:14:57.679] も入ってくるお金と出ていくお金は整え
[01:15:01.480] ないと死ぬじゃんそうだにお金払いたく
[01:15:04.600] ないもんなそのプラも小遣いたねあこれ
[01:15:08.679] 高いじゃなきゃ金出して買ってもいいかも
[01:15:11.639] ねそうだねそうそれはそうだ
[01:15:13.770] [音楽]
[01:15:22.000] ねやてほしいね
[01:15:25.159] 第2弾予告していいチゴスティに第2弾
[01:15:28.679] 予告していいもう次の作りたいプラも決め
[01:15:31.639] てあるんだよねもう次の作りたいプラモ
[01:15:35.280] そして塗装して欲しいプラモが1個あっ
[01:15:36.800] てーに流れてくるような競馬でマ増えたわ
[01:15:39.800] みたいな民になりたツインBぜひぜひ次は
[01:15:44.600] あのメタルギアレックス
[01:15:46.520] コブキ屋のあれ塗装してくんね
[01:15:50.280] メタルギアレックス作りてんだよなバカ
[01:15:53.159] かっけからあれチゴスティフあれか笑茶
[01:15:58.199] スティーの2があれじゃねえかあれか2が
[01:16:00.800] あれじゃねえかよ感じになってるちょっと
[01:16:03.239] これもうクリアパーツここでやろあれまだ
[01:16:05.400] 売ってるよAmazonでほらもうほらね
[01:16:08.320] おったらこうやってプンて飛んでくわけ
[01:16:09.840] ですよこんなもんね床に落ちてこらんよ
[01:16:12.840] 終わり終わりの作っても邪魔って言われる
[01:16:15.920] からオッケーよあのクソでけえやつ作りて
[01:16:19.440] んだよかっこいいじゃんやっぱメタルギア
[01:16:22.480] 好きだから
[01:16:23.920] さ俺コナミ好きすぎだよねマジでちゃま
[01:16:27.280] ゲーちゃまゲーコナミ好き
[01:16:30.440] がちえちゃまゴスティには合完成品がつく
[01:16:35.960] ってこといやもう今週これで終わろうかく
[01:16:38.320] して終わる笑いやあれそんな細かいパーツ
[01:16:41.280] ねえだろ元々がでけえもんだっ
[01:16:43.960] て入ねえよこれ入っ
[01:16:48.080] た入った入った入った入った入った入った
[01:16:50.679] 入ったま確かにわかんないねやってみない
[01:16:54.080] と
[01:16:57.679] こき屋かなことぶき屋だ
[01:17:02.480] ねやっぱレックスでしょレイとかも出てる
[01:17:05.360] けどかばってる感じそうやっっぱりかばっ
[01:17:08.480] てんのてかっこいいよ
[01:17:10.000] ね私プラモって本当作ったこと1回しか
[01:17:13.600] ないからわからないんだけどうんうん何の
[01:17:15.679] プラモ作ったのパーツなんてすぐなくし
[01:17:18.080] そう笑何のプラメは強いねメカもはやっぱ
[01:17:22.560] かっこいいからね男の子は何歳になっても
[01:17:25.719] こんはチブイックバイパーでってブック
[01:17:30.199] バイパープラスティックキットしかも見て
[01:17:32.840] 塗装済み墨入れ塗装ベリー
[01:17:41.239] クールハロは可愛いハリボテゴッドハロは
[01:17:45.760] いい
[01:17:48.880] [音楽]
[01:17:50.199] ねその赤いパーツ爪切りみたいなやつじゃ
[01:17:53.719] ないと切れないのうんそのま俺プチって
[01:17:56.000] おっちゃってるよプチっておっちゃってる
[01:17:58.320] ただこれマジまだマスがったのかと思って
[01:18:01.800] ました違う違うこれはあのデラコマ君て今
[01:18:04.800] ねあの俺の配信に今来てるデラコマくて人
[01:18:07.040] がやってくれた誰かに依頼したの誰かに
[01:18:09.880] 依頼したそうそうこれデじゃないよおった
[01:18:12.400] 方が止まない絶対プチンてやったら飛ぶよ
[01:18:14.320] なこれ依頼したあ今コメント欄にいるデロ
[01:18:17.040] コマくていううちのリスナーがま
[01:18:19.560] Twitterとかでやっぱプロモデラー
[01:18:21.199] なのよ結構バったりしてんだけどでこの
[01:18:24.760] 塗装してくれたのめちゃくちゃかっこいい
[01:18:26.660] [音楽]
[01:18:29.199] でしょやっぱすぐより
[01:18:32.400] さ墨入れ塗装のしてやとかやっぱ熱い
[01:18:36.639] じゃんさすがにそうかかっこよすぎるもん
[01:18:40.679] だよねかっこよすぎるよねさすがにかっこ
[01:18:42.920] よすぎるよねこれねやはり塗装してるの
[01:18:45.400] はってましやでもすぐも結構いい感じよ
[01:18:48.840] そうこのキットそうすぐもね全然かっこ
[01:18:51.520] いいんだよ本当ゲームの感じが出ててほら
[01:18:55.040] これすぐのすぐの写真なんだけどこれでも
[01:18:57.040] かっこいいじゃん全然全然かっこいいんだ
[01:18:59.320] けど見
[01:19:00.960] てこれですよこれですよこれねこれやばい
[01:19:10.040] しょやばいよねって話本当
[01:19:13.840] にや
[01:19:16.840] ば
[01:19:19.360] かっけこないだコメントでラコマ君が
[01:19:22.320] ちゃまくのガーキャンディ塗装だよって
[01:19:25.440] キャンディ塗装ってなか言ってたもん的
[01:19:28.560] これはかっこいいですよただ今日2時まで
[01:19:31.560] に終わんない気がしてきたあるとリアル感
[01:19:33.679] っていうのか物質そう物質感が本当に
[01:19:36.440] なんかその脳がバグるよね本物っぽくて
[01:19:39.080] いやめっちゃかっこよくない最近覚えた
[01:19:41.280] 言葉ですそうこれあのちなみにこれラコマ
[01:19:44.679] 君が俺の誕生日にくれたゲームの
[01:19:46.920] キャラクターでミリタリー感でますねそう
[01:19:49.520] だね
[01:19:51.920] あのこれはがの誕にれガチガこれめっちゃ
[01:19:57.920] 可愛いでしょこれこれもプラモなんよ可い
[01:20:00.360] プラモなんだけどこれも俺のピアスと髪型
[01:20:03.960] と似てる可愛いよねめちゃくちゃねピアス
[01:20:07.400] してるし可いすぎるよねそれそうでこれも
