[00:00:09.639] H
[00:52:11.880] 連続で配信するってのがみんな信じられ
[00:52:14.040] ないみたいであのいつも来てる奴らが来
[00:52:17.420] [笑い]
[00:52:20.620] [音楽]
[00:52:22.559] ない昨日のさそうなんだ
[00:52:26.760] で明日配信あるのて聞かれてうやれたら
[00:52:30.160] やります言った時点であねえなこれはて
[00:52:33.200] いう顔されてた
[00:52:35.839] らしいいざつけたらマジで来部も来ない
[00:52:40.240] 笑笑
[00:52:42.119] こんばんはも来ねえよなコールドダスク
[00:52:45.799] さんこんばんはセンキューフォカミング
[00:52:47.440] ありがとう今日は地獄のレベル上げ
[00:52:52.079] ですちょっともう今日はもうこの感じで
[00:52:55.720] 行きます
[00:52:57.599] も眠たくなったらやめるわ今日は若干眠い
[00:53:00.400] けど
[00:53:03.290] [音楽]
[00:53:04.839] もそうでもせんとさこれ進まねえからな
[00:53:10.480] ちょっと本当そうでもしないとマジで
[00:53:14.799] さレベル上げ会だだけレベル上げ単品の回
[00:53:20.040] も作んねえ
[00:53:22.040] と配信でやれよって言われたらそれなんだ
[00:53:25.040] けどではめど
[00:53:28.359] くさいめんどくせえんだよなんかわざわざ
[00:53:31.119] 眠たくなっちゃうから配信ついてない
[00:53:35.520] と
[00:53:38.200] えっと魔法
[00:53:41.690] [音楽]
[00:53:45.520] であ進化来たはいはいはいはい
[00:53:49.599] スフィンクス合体ですね合体ここ大事です
[00:53:53.240] よこれだからスフィンクスはまだ何も装備
[00:53:55.280] できねからなんか装備できるや
[00:53:57.079] あの合体したいよね装備できるやつと合体
[00:54:00.440] したいまずはとりあえず
[00:54:02.119] な装備ができるようになるとさあの
[00:54:05.480] ウィザードマントって言って毒と石化に
[00:54:07.520] ならないマントが装備できるようになるん
[00:54:09.119] よとりあえずがゴブリンだよな多分なここ
[00:54:12.720] 多くか多く多くだな多くと合体してもらっ
[00:54:16.480] てとりあえず装備品装備できるよう
[00:54:19.760] にしましょうかで武器防具作成だ火に弱い
[00:54:23.880] も受けついちゃうのかまいっかまいいや
[00:54:27.040] ちょっと多くにしようとりあえず
[00:54:29.359] なおかっこいいじゃないもうスフィンクス
[00:54:33.440] とは言えないけど
[00:54:35.359] なあんなエロいなんか真っの女だったの
[00:54:39.640] によしよしこれでさじゃあ
[00:54:43.079] さ防具防具とか作れるん
[00:54:50.480] ちゃん
[00:54:53.319] えっとなんだっっけー
[00:54:56.480] マントはとりあえず必要でしょ絶対待て
[00:54:58.960] これちょっと防具作るわここで
[00:55:03.119] えと王が装備できるやつは装備できるはず
[00:55:06.359] だ
[00:55:07.319] からヴァルキリーアーマーとかいけんじゃ
[00:55:10.000] ない
[00:55:11.260] [音楽]
[00:55:15.520] のバルキリー
[00:55:17.960] アーマーいけるよ
[00:55:20.640] [音楽]
[00:55:22.000] ねアーマーだとこれが一番強いんかまあ
[00:55:26.520] 違うベルゼブアーマーとかあるやこれ
[00:55:28.800] [音楽]
[00:55:30.920] は多く装備できる
[00:55:35.350] [音楽]
[00:55:36.640] 7万7万はちょっと無理だな7万は高いね
[00:55:42.520] 買えない
[00:55:44.720] なそれ以外固めようかマーズヘルムとか
[00:55:51.400] 頭マーズヘルムやろ
[00:55:56.960] ハデスシールド昨日と全く同じ会話してる
[00:56:00.520] な笑ないねんもう話すこと
[00:56:04.280] がもうないねん話すこと助けてくれ
[00:56:09.039] よえハデスシールドウィザード
[00:56:13.319] マントこんなもんちゃう
[00:56:18.200] んくって武器装備できるんだ7万変えねえ
[00:56:23.400] よくは武器装備できるんよ
[00:56:28.540] [音楽]
[00:56:30.680] 武器も
[00:56:33.880] 作ろう
[00:56:35.520] えーサタン
[00:56:39.720] アックス違うオクが装備できんのは
[00:56:43.760] ブラッドソードとか
[00:56:45.530] [音楽]
[00:56:47.039] だはいはいデスソードはあだめ
[00:56:51.119] だアークソードいあ
[00:56:55.240] 4万ちょっとで我慢しとく
[00:56:58.020] [音楽]
[00:57:02.119] かこれ
[00:57:06.559] でお前の装備を装着武器ブラッドソード
[00:57:10.839] 防具ウィザードマントマーズヘルムハシ
[00:57:13.720] いいよこれだいぶ重なったでやっぱ装備
[00:57:18.240] つつけるとだいぶ変わるからねこれ
[00:57:19.720] ドラゴンもあとじゃ4レベ上げてレベル
[00:57:21.920] 17で合体させようそこまで頑張ろうこの
[00:57:25.640] パーティー目標そしたらだいぶカチカチ
[00:57:29.839] よだいぶ
[00:57:34.359] カチカチどんくらい上がったとか見せて
[00:57:36.799] くんねえのがちょっとあれだよ
[00:57:39.280] な
[00:57:42.070] [音楽]
[00:57:44.640] えっと魔法力上げたい
[00:57:47.559] からタウルスは防御
[00:57:50.599] でドラゴンが接近コルでが
[00:57:55.119] 魔法新しい呪文ピドかよいら
[00:58:00.240] [音楽]
[00:58:03.839] ねえはいはいMPを使いってもらっ
[00:58:07.240] てしたらゴーレムは防御でタルス防御石
[00:58:13.320] [音楽]
[00:58:18.880] 攻撃あ総レベル4レベル
[00:58:23.839] 14悪くねえな
[00:58:35.170] [音楽]
[00:58:43.160] このゲームもさ多分さ連続でやると
[00:58:45.359] めちゃくちゃ長くなりそうな
[00:58:47.680] の要所要所でさなんか違うゲームを挟み
[00:58:51.480] たいんだよ
[00:58:57.730] [音楽]
[00:59:06.520] いいです
[00:59:07.700] [音楽]
[00:59:18.200] ねよしよしよしこのポケ線が近いの魔族の
[00:59:22.760] 代表
[00:59:25.039] 者割と期間集中してやるタイプよね俺は
[00:59:29.039] そうだねそうそうそう俺さ
[00:59:33.240] あのなんつの自分で今さこう違うゲーム
[00:59:36.920] 挟みてって言ったんだけどそれにはそれを
[00:59:39.839] 挟むじゃないそれ今度そいつをクリアする
[00:59:42.400] までやめねえってなっちゃうからさだから
[00:59:44.680] 本当は挟まない方がいいんだけど見てる
[00:59:48.119] みんな的にどうなのかなと思ってさ多分
[00:59:51.240] これ1ヶ月とかまるまる使っちゃうと思う
[00:59:53.200] んだよいいのかないいか別
[00:59:57.400] にいっか別
[01:00:00.359] に見てるみんな的にはどうなのかなと思っ
[01:00:03.200] て
[01:00:04.119] たなかなか単発でできるゲームってなく
[01:00:07.599] ない単発でできる例1日4時間じゃない
[01:00:11.480] あの平日の配信ってそれで追わせるゲー
[01:00:15.000] ムってないじゃんなかなか
[01:00:16.530] [音楽]
[01:00:26.000] オプラとディザ
[01:00:27.560] [音楽]
[01:00:39.680] ホムBGMやっぱり
[01:00:44.440] なもうもうねそれ
[01:00:50.119] だけもうねそれだけBGMがいいそれだけ
[01:00:55.440] なんよこの
[01:00:56.460] [音楽]
[01:00:58.000] ゲームもう俺も他に言うことが
[01:01:02.720] ないもうこのレベル上げ作業がどうも
[01:01:05.760] きついよなやっぱ
[01:01:07.780] [音楽]
[01:01:12.240] なまBGMのおかげでできるってとこも
[01:01:15.319] あるわ
[01:01:17.570] [音楽]
[01:01:33.200] わ誰もレベル上がんなくなっちゃった誰も
[01:01:35.920] レベル上がんなくなっ
[01:01:39.559] た2時間これ
[01:01:43.640] で2時間これだよ今日は
[01:01:56.039] が魔族の今日早く寝よう今日1時までに
[01:01:59.400] しよう
[01:02:03.200] とマジ俺俺がめちゃくちゃ金持ちだったら
[01:02:06.119] これこの作業をさせるためだけに女の子や
[01:02:08.520] とうのになこの作業をさせるためだけの
[01:02:11.880] 女の子をやっときたい俺がめちゃくちゃ
[01:02:14.039] 金持ちだったらやらしいこととか一切し
[01:02:17.119] ないそういうことは一切しないこれだけ
[01:02:19.520] やってもらうための女の子を雇うのに俺が
[01:02:23.079] めちゃヒカキンぐらい俺が髪金持ちだっ
[01:02:25.119] たら
[01:02:28.890] [音楽]
[01:02:32.079] ピエザホム撃っ
[01:02:34.279] てミノタウルスもまあ一応魔法あれしとく
[01:02:38.359] か魔法打っとく
[01:02:41.079] かドラゴン攻撃
[01:02:48.760] [音楽]
[01:03:23.760] しんどしんどなってきたな
[01:03:35.160] あ
[01:03:37.799] 笑笑あの
[01:03:41.839] ね喋ることも
[01:03:44.750] [笑い]
[01:03:47.000] ない喋ることもないおめえらもコメント
[01:03:51.760] することもない地獄じゃねえか
[01:03:56.160] 地獄じゃねえか
[01:03:59.200] な地獄ですここに広がってるのはただただ
[01:04:05.480] 地獄女の子雇う話まで前と一緒だもんな
[01:04:09.839] やめてくれよ言うじゃねえよもうねえんだ
[01:04:14.000] よマジでもうネタネタもねえん
[01:04:16.960] だなんかあるから
[01:04:19.279] 最近最近あった面白い話とかなんかチ
[01:04:23.119] ゲーム面白小話とか話してやりてんだけど
[01:04:25.799] さ思いつかねえんだよなんかあったかな
[01:04:29.990] [音楽]
[01:04:31.559] 最近最近あったかなあチキンたたんその話
[01:04:36.079] したもん
[01:04:37.079] ねチキンたたの話こないだしたもん
[01:04:41.640] な最近何があったか
[01:04:46.630] [音楽]
[01:04:48.680] ななんもねえ
[01:04:53.079] な雑談力欲しい
[01:04:56.050] [音楽]
[01:04:57.920] いやね自分でもね雑談力あると思ってたん
[01:05:01.119] だけどないねチャバゲーム意外と喋れねえ
[01:05:04.200] なショックだわもっと喋れると思ってたん
[01:05:07.279] だ
[01:05:09.599] けど喋れる時と喋れない時の差がでか
[01:05:19.599] すぎるいいねいいねでもがでもでもこいつ
[01:05:22.200] らは強くなってますちゃんとこの子たちは
[01:05:24.240] 強くなってるから
[01:05:27.720] さ違うんだよなおいまだおいしかもまだ
[01:05:31.359] 半日だぞやばねちょっとこれさ長すぎ
[01:05:34.599] るってサルバサリバンのハエ族の代表これ
[01:05:39.160] なんかさどうにかさなんか時間早める方法
[01:05:41.279] とかない
[01:05:43.160] の放置するしかねえんか
[01:05:49.279] なこいつらだってめっちゃ強いじゃん今
[01:05:53.760] めっちゃ強いじゃんパーティー
[01:05:56.200] あのパテたら茶がなめでレベル上げしてた
[01:06:01.160] あのいかに信じと同じこと目標をセンター
[01:06:04.880] に入れてスイッチ目標をセンターに入れて
[01:06:09.599] スイッチそのうち切れていなくなるかも
[01:06:12.079] しんないもう僕はこんなのに乗りたくない
[01:06:14.839] んだ
[01:06:15.920] よこんばんは今日は地獄のレベル上げです
[01:06:20.279] あのもう俺がただ
[01:06:22.920] でしながら
[01:06:26.680] ガャわガチャのガチャがってね
[01:06:31.039] これよしいい
[01:06:35.839] ぞデカワイプのとこにこれ追加しねえ
[01:06:41.559] とはい
[01:06:43.880] 同形はい同形ですこめちょこれデカワイプ
[01:06:47.720] のとこに追加しないとねこれ
[01:06:49.599] ねあ間違えちゃったう04イララビブレ
[01:06:57.200] 4やめてやめてやめ
[01:07:01.000] てはいはい追加したこれでガチャ引いても
[01:07:04.599] 大丈夫これでガチャ引いても大丈夫だ
[01:07:10.850] [音楽]
[01:07:13.640] よもうレベル上げ飽きた
[01:07:17.720] ななレベル上げ飽きたなどう思うみもげて
[01:07:25.880] てかこのパーティーじゃないねん俺強くし
[01:07:28.000] たいのこれもうワンチャン放置しよっかな
[01:07:32.400] ちょっとこいつらばっか育ってもしょうが
[01:07:33.960] ないよ
[01:07:35.680] ねそうは思いませんか皆
[01:07:40.170] [音楽]
[01:07:42.240] さんタウロスが超強えもんないやもういい
[01:07:47.000] やちょっとここちょっと放置だ
[01:07:48.920] なあドラゴンが合体したら強
[01:07:54.240] すぎるのパーティーレベル5とか4だ
[01:07:58.480] よもうこのゲームそこがちょっと難しいよ
[01:08:01.720] ねパーティーごとのさレベル上げ
[01:08:04.440] がめちゃくちゃ強えよこいつら立ちだね
[01:08:08.200] そうなんだよだからこのドラゴンが1回
[01:08:10.720] 合体できるようになったらやめる
[01:08:13.270] [音楽]
[01:08:15.520] わ絶オ
[01:08:18.939] [音楽]
[01:08:25.600] こだけレベル
[01:08:29.759] 上げよミノタウルスレベルが神なのが唯一
[01:08:33.159] の低いそうなんだじゃなかったらできねえ
[01:08:36.600] よなマジでいやでもやっ昔のRPGって
[01:08:40.640] こうなんだよなマジで今見た草昼キャバて
[01:08:44.960] よく見かけたけど今じゃほとんど撤退し
[01:08:47.799] てるからあそうなんだなんでなんでコロナ
[01:08:52.719] でキルキャバっていいの
[01:08:56.000] エリチじゃ俺の代わりに今日話してくれよ
[01:08:58.560] 俺今日喋れねえからあのヒルキャバの魅力
[01:09:01.799] 教えてくんね俺に俺キャバクラ行ったこと
[01:09:03.839] ねえんだよあてかさ無理かキャバクラて
[01:09:08.120] 配信無理だよねさすがに俺行ったことない
[01:09:11.440] のねキャバクラってキャバ行ったことねえ
[01:09:13.679] ぞキャバクラ行ったことねえんだけどさ
[01:09:16.279] エリにキャバクラ連れてってもらう配信し
[01:09:18.799] たかったんだけどさすがに配信なんかでき
[01:09:21.560] ねえよな
[01:09:23.859] [音楽]
[01:09:33.359] レベル上がんねえ
[01:09:36.600] よボスに連れてってもらえよ笑いやうちの
[01:09:41.199] うちのボスにまあ確かにキャバクラ行った
[01:09:45.400] ことねえんだよな俺キャバクラ行ったこと
[01:09:47.120] ねえんだけどおっぱいったことあり
[01:09:50.520] ますあの会社の先輩に連れてかれておっぱ
[01:09:54.840] 行ったんだよすごくないあのキャバクラを
[01:09:58.560] すっ飛ばして飛び級おっ1回で行ったこと
[01:10:01.400] あんだよらよそしたらま地獄で2度でか
[01:10:04.640] ねえと思った地獄だった
[01:10:09.210] [音楽]
[01:10:10.360] あのなんだろうな工事現場かなと思っ
[01:10:14.040] ちゃったもうあのブルドーザーみたいな女
[01:10:15.840] がさ3回ぐらい来てえ何事現場かなと思っ
[01:10:20.480] ちゃった膝がしびれたもん重くて
[01:10:26.600] 俺はもずっと白目を向いて
[01:10:29.600] た白目を向いてとただのれやんうんただ時
[01:10:34.520] が過ぎるのを待ってた2度といかねえと
[01:10:37.280] 思った
[01:10:38.440] [音楽]
[01:10:49.640] ねあれ
[01:10:51.920] でいくらだったかな先輩のりだったけど
[01:10:55.600] こんなんに金払うんかいと思っちゃっ
[01:11:04.960] てちょっとここはドラゴンさんに頑張って
[01:11:14.920] もらおういいねばんは魔法期待ですか魔法
[01:11:19.679] 期待というかもう全体的なレベル
[01:11:22.679] 上げ地獄のレベル上げなんだけどだわ画面
[01:11:26.640] に変わり映えがなさすぎてこれ
[01:11:28.800] アニメーションも切ってるしめちゃくちゃ
[01:11:31.199] あの戦闘早えしでもこれやんねえとクリア
[01:11:35.159] できねえよなやっぱこれこのゲームって
[01:11:37.639] 超速はしない超速してるんだよしてるから
[01:11:42.400] あの画面に面白みがなさすぎる
[01:11:49.260] [音楽]
[01:11:55.600] これだもんずっと確かに笑もでもこれやん
[01:11:59.679] ねえとさこのゲームクリアできないよ
[01:12:02.480] ねあやばあドラゴン死んちゃったなんや
[01:12:05.639] ねん
[01:12:10.239] それああドラゴンの総合力が上がんねえ
[01:12:16.000] なドラゴン死んじゃいました帰ります
[01:12:26.200] [音楽]
[01:12:29.800] 自分も途中からそれでひたすらレベル上げ
[01:12:32.520] しましたな配信中にやることじゃないかも
[01:12:35.639] しん
[01:12:36.920] ない配信中にやることじゃねえかもしんね
[01:12:40.440] 配信外でやることかもしんない
[01:12:46.480] これで俺は少しでもみんなと一緒にいたい
[01:12:49.400] んだ
[01:12:52.400] もんでもみと一にいん
[01:13:00.650] [音楽]
[01:13:02.480] ああしんどま雑談枠ということでうん雑談
[01:13:07.679] ない喋ることない
[01:13:10.600] ねん
[01:13:12.199] えっと
[01:13:14.120] ね
[01:13:16.679] え俺はマルチタスクできねんだよ
[01:13:21.000] などっちかに集中喋り出したらゲーム
[01:13:24.080] 止まるしゲームやってたらこうやってやら
[01:13:26.600] 喋れねえし脳みそが弱いおつむが弱いん
[01:13:29.159] だろうな多分な
[01:13:31.080] えー魔法イザホム防御接近攻撃魔法デカ
[01:13:39.860] [音楽]
[01:13:44.000] 弾みんなのおかげで魔法をちょっとずつ
[01:13:46.760] 覚えて覚えてきたの
[01:13:49.960] はいいことかもね魔法の効果やっと覚えて
[01:13:53.520] きたもん
[01:14:00.440] MP使い切ったら防御ねお前も防御でいい
[01:14:05.920] やまたドラゴンで倒してもらおう頑張っ
[01:14:11.080] てああ来たドラゴンレベル17来ました
[01:14:15.480] やっと合体ですこれは大事ですよ合体し
[01:14:19.280] ましょう石化しない水に弱い武器防御強ね
[01:14:23.560] 武器防御って何
[01:14:27.679] ゴーレムってこれ一体誰と合体してるん
[01:14:29.880] だっけな忘れちゃった
[01:14:36.120] なこれゴブリンの方がいいかな
[01:14:40.639] ガーゴイルちょっとね防具をとりあえず
[01:14:43.719] 装備できるやつと合体したいんだよね防具
[01:14:46.800] が装備できんの
[01:14:50.880] はゴーレムかゴーレム多分これスケルトン
[01:14:54.080] と合体してるからモンスターがパーティに
[01:14:56.520] 必ず1人いるからそうなんだよねそうなん
[01:14:59.600] だよねガーゴイルは装備できないもんね
[01:15:02.199] ガーゴイル装備できないねスネークもす
[01:15:05.000] これだ
[01:15:06.120] なさあどうだなんか前もこれになった気が
[01:15:10.880] する前もこれになった気がするんだけど
[01:15:13.679] まいっ
[01:15:16.880] かよーしもう俺このパーティー育てたく
[01:15:20.560] ないよちょっとレベルが離れすぎてる他と
[01:15:27.060] [音楽]
[01:15:28.920] 前もお前あれだ
[01:15:34.760] な
[01:15:36.639] とりあえず100%装備しなきゃいけない
[01:15:39.040] のはこなウィザードマントはぜえーお前
[01:15:43.840] 装備できない
[01:15:45.480] のマジ装備できねえんだなん変な合体し
[01:15:49.920] ちゃったなこれじゃあ
[01:15:54.490] [音楽]
[01:15:56.400] あこれあれかゴーレムと合体って言っても
[01:15:58.960] あの全部が合体するわけじゃないのか悪魔
[01:16:03.000] でゴーレム単体と
[01:16:05.120] かミスったしったわ
[01:16:08.199] これままいいわまいいわまままちょっと
[01:16:11.960] もうここちょっとさ
[01:16:13.480] ごめんパーティーちょっと放置してさ
[01:16:16.440] パーティ
[01:16:18.280] 変えよう他のパーティレベル上げねえと話
[01:16:20.760] になんないよこれ我が魔族のサル長すぎだ
[01:16:24.639] ね
[01:16:27.280] これ放置しますなんやねんな
[01:16:34.120] もうただMPとか見るとやっぱかなり前回
[01:16:38.199] と全然違う
[01:16:39.679] ねよしこれ放置
[01:16:42.360] しよう長い長いちょ雑談に
[01:16:46.600] しようただこれやってて忘れるからだ画面
[01:16:49.360] 見とかないとだめだ画面見とかないとだめ
[01:16:51.560] だわかんなく何を捨てるかかていうのが
[01:16:55.880] 難しいまねちょっともうとりあえずこいつ
[01:16:59.360] がだミオタウルスレベル27まで行ってる
[01:17:02.639] けどさ他のやつあのヒルキンパーティーと
[01:17:05.480] かレベル5とかだからねまださすがに
[01:17:08.480] ちょっとまずいなということでこいつら
[01:17:11.600] だけで進むんだったら全然ねあの新しい
[01:17:14.080] ダジョン行きたいんだ
[01:17:21.199] けど長いな
[01:17:26.800] あMDXさあれ見たもまた前回と同じ話だ
[01:17:30.960] けどあのポリメガアプリ見たポリーメガ
[01:17:34.520] アプリ出るらしいよポリーメガアップ
[01:17:38.800] があのなんかポリメガの無料アプリで無料
[01:17:45.560] でなんかパソコンあのディスクゲームが
[01:17:47.880] 全部あのできるらしいよあのまこれもそう
[01:17:52.719] だし
[01:17:55.159] と
[01:17:56.560] かちょっとやばくないすかあれいつからな
[01:18:00.320] んだろう
[01:18:02.080] なただあれ素晴らしいと思うけど俺
[01:18:06.719] めちゃくちゃ頑張って実機揃えて意味
[01:18:08.480] なくなっちゃうんだよなまコレクションと
[01:18:10.960] しては取っとくけど
[01:18:13.040] さ配信でやる時は確かにそっちになっ
[01:18:16.040] ちゃうかもな楽だもんな準備しなくていい
[01:18:19.320] んだもんだってああれですか自分はりも
[01:18:22.520] いいですけどメガオを
[01:18:25.400] OSあ何それOSってえ何なのそれって
[01:18:28.560] どうなどういうことOS
[01:18:30.970] [音楽]
[01:18:33.239] って
[01:18:38.719] OSまあでもあれが配信されたらかなり
[01:18:43.840] レトロゲーマー増えそうだねまたなんか
[01:18:46.520] 値段上がりそうで怖いわソフトの
[01:18:48.760] めちゃくちゃ上がるだろうな多分
[01:18:51.560] またプレステ1のソフトって的にスクえる
[01:18:55.400] んだけど上がるだろうね今の買ったえ何の
[01:19:00.639] サブメが本体に込オですなそれを使って
[01:19:05.520] ポメが専用パソコン置みたいですはポン
[01:19:09.800] こんばんはどうしたの何
[01:19:11.600] さね何がもう死んだ顔してるでしょ2時間
[01:19:17.199] 2時間さ
[01:19:19.150] [音楽]
[01:19:21.719] スコ待って
[01:19:24.830] [音楽]
[01:19:26.000] もうやることないねんよレベル上げなんだ
[01:19:29.000] けどパーティー変えなきゃいけねえから
[01:19:33.980] [音楽]
[01:19:35.600] さあどこどこに貼った
[01:19:38.980] [音楽]
[01:19:41.360] [笑い]
[01:19:45.120] のこれはやばいっす
[01:19:48.800] ねこれいいねこれちょっとダウンロード
[01:19:53.639] しよう誰かツイートしてくれよこの画像
[01:19:56.600] チマゲームがレベル上げしんどすぎて
[01:19:58.560] こんなんなって
[01:20:03.800] るってもしんどいんだもんだっ
[01:20:07.560] てやることないねんもんただま確かにポメ
[01:20:11.159] が早いものですけどやはりエということで
[01:20:13.880] やはり本体をバシバシいじるような
[01:20:16.159] プログラムのゲームには弱いのが常
[01:20:22.560] です全然パーティわね
[01:20:27.280] これおや
[01:20:29.679] ポンちょっともうないもうやることない
[01:20:33.800] 喋ることも
[01:20:37.400] ない配信外でやるべきだったか
[01:20:42.960] な眠いなポンツイートさせてもらいます
[01:20:48.159] さん
[01:20:51.060] [音楽]
[01:20:57.560] ただ時間がすぎるの待
[01:21:01.880] のみ
[01:21:04.560] ヤッホー
[01:21:06.239] あやまいはさんじゃないですかあの喋る
[01:21:10.719] ことない
[01:21:13.159] 踊れあのやわさんじゃないです
[01:21:17.199] かムがでやると処理落ちが多くなったり
[01:21:20.760] ポリゴンが正常に示されなかったり
[01:21:23.480] そもそも動しなかったりするタイトルも
[01:21:25.920] あるのでそこはきです
[01:21:29.360] な僕もついよしちゃったいいよいいよし
[01:21:32.560] とけし
[01:21:34.480] とけしんどいっす特に話すことないからっ
[01:21:39.000] て絡んでこない
[01:21:43.880] で
[01:21:45.840] もうだあれ確か時間加速できるはずです
[01:21:49.719] けどえどうやってえどうやって時間加速
[01:21:52.440] すんの教えてくれよ
[01:21:55.800] あどうやってやんのごめ1回怖いから
[01:21:58.800] セーブ
[01:22:00.800] しようも地獄よこのレベル上げがマジで
[01:22:04.239] 知らねえのかよプロだろプロじゃねえ知ら
[01:22:07.040] ねえクリアしてねえんだ
[01:22:09.679] もん今ねレベル上げをしてるんだけど
[01:22:13.159] なんかのボン押しっぱなし
[01:22:14.770] [音楽]
[01:22:18.600] いよもなんないよ
[01:22:22.910] [音楽]
[01:22:25.280] ちょっとど忘れちゃまくがちょっと
[01:22:27.600] テンション下がること言っていいもう
[01:22:29.480] だいぶ低いからやめとけいやいいよいいよ
[01:22:32.560] 何何何言ってちょっと待ってくだされ言っ
[01:22:35.470] [音楽]
[01:22:39.440] て
[01:22:42.710] [音楽]
[01:22:46.880] 何何何いろはちゃん明日休みなんだ
[01:22:52.080] うぜえうざ
[01:22:55.300] [音楽]
[01:22:58.199] 明日明日休みのやつ多いのなんでみんなお
[01:23:02.159] 休み
[01:23:04.560] だえんで明日みんな休みなのチソも休みだ
[01:23:08.040] し今のリアクション笑笑ガチだったでしょ
[01:23:13.440] うぜえ
[01:23:15.159] なたよこっちは明日も仕事だってのに
[01:23:19.040] よるもんで配信してんだつのこんな地獄
[01:23:22.920] みた休もうかな
[01:23:25.040] 担当が間違えて休みになった何間違えて何
[01:23:30.440] 間違えていやもうやだ明日も仕事だしなも
[01:23:35.639] 明日配信しねえかん
[01:23:38.280] な間違えて
[01:23:43.639] 笑笑やだや
[01:23:46.159] だ明日味にしねえ配信してや
[01:23:50.720] [音楽]
[01:23:52.159] ですなんなら日休だしとよかった俺すげえ
[01:23:55.520] 思ってる
[01:23:56.400] やチバゲームやっぱ2日連続配信しない方
[01:23:59.880] がいい
[01:24:01.320] わ配信のクオリティがバカ
[01:24:05.580] [音楽]
[01:24:05.900] [笑い]
[01:24:08.480] 低いだも俺今日今1時間半やってる
[01:24:13.840] けど3つの話題ローテーションだもんでも
[01:24:16.880] 同じことなるよあ金でしょうがないね休む
[01:24:22.920] べきだやっぱりの技ローテーションだもん
[01:24:26.120] このゲームレベル上げしんどいとなん
[01:24:29.400] だろう喋ることないと誰も来ない人
[01:24:34.880] がそれの話題を3つローテーションして
[01:24:39.040] ずっと時間進めるボタン調べても出ないや
[01:24:42.840] ないてるよ違う今日今日まさかみんな俺が
[01:24:46.639] 配信を2日連続でするとみんな思って
[01:24:50.119] なかったみたいでえ今日やるのみたいな
[01:24:52.760] 感じなんだみんなないと思ってたらしい
[01:24:56.159] あるよある時はある
[01:24:59.390] [音楽]
[01:25:00.840] よ私は知ってたよ何
[01:25:04.159] があ
[01:25:06.280] るってレベル上げ喋ることない集まりのが
[01:25:10.639] ループしてるがやるのその3つのループ
[01:25:14.719] だも今日早く終わろう時間加速したこと
[01:25:18.440] あるのでなんとか思い出しますなんとか
[01:25:21.000] 思い出すくそもだってボタン4つぐらい
[01:25:23.199] しかねえだぞの私
[01:25:26.159] です秘書やん秘書やん
[01:25:38.440] ていやボタンマジで全然せようとツイート
[01:25:42.679] しなかったのがもんああ早くなった早く
[01:25:46.119] なったなんでちゃまくのために秘うかな
[01:25:49.239] はいはいできました理由は分かりません
[01:25:53.280] 理由は分かりませんできまし
[01:25:56.040] た説明書嫁や
[01:25:58.870] [音楽]
[01:26:05.239] 笑笑よっはなんでだよ
[01:26:09.800] 笑笑穴子さんの
[01:26:13.360] ものまね穴子さんのモノマネじゃねえあ
[01:26:17.400] ましたなボケ詳しい思い出しますなんか
[01:26:20.920] 理由は分からんけどできたわボケ
[01:26:24.400] なんで口
[01:26:26.960] 悪ナチュラルなボケじゃん単品
[01:26:31.639] ボケウナギパイのものまねだよ何ウナギ
[01:26:35.199] パイのもまウナギパイ
[01:26:38.159] 食べようおめえらがごちゃごちゃうるせえ
[01:26:40.719] からウナギパイ食べちゃうもんね知らん
[01:26:44.199] けどあるもんウナギパイ
[01:26:48.480] ほら食えんのかなお未だによ今いいも太っ
[01:26:54.600] てんだもあの未だにボテさんには言ないな
[01:26:58.159] 悪口イベントイベントイベントのお菓子が
[01:27:00.760] めっちゃ余ってるウナギプイボロボロです
[01:27:04.760] マジであるの
[01:27:06.280] 草マジであるんだよこの画質のいいウナギ
[01:27:10.440] ぱい見て
[01:27:12.600] くれこれ誰かが持ってきてくれたやつまだ
[01:27:16.320] 食ってねめっちゃウナギの味するよ全然し
[01:27:18.760] ないよこれ食べたけど全然ウナギなし
[01:27:22.239] ねえういよねあ魔法うまいよね普通に
[01:27:27.239] ね普通にさウギパイ
[01:27:32.480] 好きよしここもまだ地獄のってるやつだっ
[01:27:35.560] けそれパイ好きだってうなぎみたいに長い
[01:27:39.880] 俺も
[01:27:40.960] 好きウナギみたいに長いてだけなんだあ
[01:27:43.520] そうなのえウナギエキスとか入ってないの
[01:27:47.239] 入っとるやんけなんで嘘しかつかないの君
[01:27:49.440] はウナギの粉入っとるやんけ夜の調味料
[01:27:53.080] ガーリックだって
[01:27:54.679] なんや
[01:27:56.600] それ僕のウナギさんが元気になっちゃうの
[01:27:59.239] かな僕のウナギさんが元気になっちゃうも
[01:28:02.600] だめだ喋ることないと下ネタしか出てこ
[01:28:04.239] ないわなのおかしだからねVSOPって何
[01:28:07.719] 夜だけがアリックエドなのVSOPって何
[01:28:12.360] ちゃまくはジョじゃないおいうるせえ江戸
[01:28:18.400] 誰がジじゃ江戸天然物じゃこっちは天然物
[01:28:22.800] 粉入ってるよ
[01:28:24.639] です天然国産笑笑ジジ
[01:28:35.360] えら食の
[01:28:37.880] 若ぬるぬる感だけは
[01:28:41.159] 本物ぬるぬる大好きぬるぬる
[01:28:49.450] [音楽]
[01:28:51.800] 大好きコロパウダー
