[00:00:04.560] G
[00:41:16.400] マスカうまいよねわかるわかるでも高いよ
[00:41:19.640] ねコロロって高くないサワペパーは微妙か
[00:41:23.160] な喉めっちゃ乾くじゃあれさん分かるわ心
[00:41:27.280] マスカットマジうまいコロじゃコロロ
[00:41:28.720] マスカットマジうまいコロロ高いのよ
[00:41:31.480] あんななあ何粒も入ってねえでさ割とでグ
[00:41:35.480] ミって結構高いよ
[00:41:37.280] なグミって一体何なんだ何でできてんだ
[00:41:41.640] あれ
[00:41:42.440] 婚うまいねんなあれやべグミ食いてグミ
[00:41:47.680] 食いながらやりたいこの世界一グミが合う
[00:41:50.760] 配信メールより組メールより組あれやべあ
[00:41:55.240] 全国の会社さんグの案件いのます味が一番
[00:42:00.560] 好き味やべえ
[00:42:04.200] 寂しいよはちゃんとは仲良くしてますか
[00:42:09.040] やべえ他の女が他の女がL来ちまった
[00:42:12.520] やべえあタお疲れ旅お疲れあねちんあね
[00:42:17.040] ちんに行こうかやっぱりねあねちんもいい
[00:42:19.040] ただ待ってせっちゃんから寂しいよせっ
[00:42:22.079] ちゃんだよねお兄ちゃんどうしたのせっ
[00:42:23.760] ちゃんねずっとお兄ちゃんとおするの待っ
[00:42:25.440] てるんだよお兄ちゃんが来ないからつまよ
[00:42:27.599] だってせっちゃんもっともっとだから
[00:42:28.960] お兄ちゃんせっちゃんのこともっと示して
[00:42:31.240] ねいつでも待ってるよ約束だかんねごめん
[00:42:33.640] なごめんごめんえドリームクラブマガジン
[00:42:36.559] 10月のコスプレドリームクラブをご利用
[00:42:38.319] いただき誠にありがとうございますえ
[00:42:39.800] ドリームクラブマガジンではお店の情報を
[00:42:41.680] 発信してまいります当店では女の子が様々
[00:42:43.800] な装でえお客様をお迎えするコスプレの
[00:42:46.720] イベントでがございますなお今月は魔女の
[00:42:49.440] コスプレとなっておりますえ女の子の魔法
[00:42:51.880] にかかり夢のような一時を過ごすというの
[00:42:53.680] はいかがですかぜひご覧ご来店くださいと
[00:42:57.280] はいいいですねいたずらしちゃうぞのやつ
[00:43:00.480] がいやあされたい魔法にかけてください
[00:43:04.559] この豚にこの豚に魔法をかけてください
[00:43:08.640] いらっしゃいませようこそドリームクラブ
[00:43:11.200] へ日はコスプレ
[00:43:14.319] 早い1回話そうぜトリックワトリートいや
[00:43:17.160] 最高んあのお菓子もあげるけどいたずらも
[00:43:20.800] していいです本日のコスプレは魔女となっ
[00:43:23.240] ておりますおの国に迷い込んだような
[00:43:26.520] 不思議で楽しい気持ちになれますよあもう
[00:43:29.160] 僕もう僕もここがあれなんですけどもう
[00:43:31.960] もう何もしなくてもぎ女の子の魔法には
[00:43:34.960] あら分ご注意くださいえこれ受付がまずさ
[00:43:38.160] いやでも受付さんこれコスプレイベントで
[00:43:41.079] の時さまず受付ちゃんがその格好しなきゃ
[00:43:45.359] それでお客様をあれしなきゃした方がいい
[00:43:48.359] と思うんだけど絶対受け付けちゃんも
[00:43:50.760] 可愛いと思うんだけどちゃんの不すごい笑
[00:43:53.319] 受ちゃんあ待って笑笑
[00:43:58.280] 帰りたくないどの女の子とご一緒されます
[00:44:01.559] かこの豚野郎は豚野郎はちんまあまあま
[00:44:06.040] あねちゃんのねやでもなも可愛いねん
[00:44:11.040] なご名はさんですね家に帰ったらから夢
[00:44:15.599] から覚めちゃうんだよまました絶アと
[00:44:18.760] アフター行こ今アター行くべア
[00:44:22.240] 誘ア行こをこのからさないでくれつって
[00:44:28.319] あまあまりさそうアフターアフター今日
[00:44:31.599] アフター
[00:44:33.000] 行く今日アフター
[00:44:35.599] 行こうもうそろそろ
[00:44:38.079] うめっありがとうございます一番におとる
[00:44:42.480] やないかい1番似合ってるよそれでは今日
[00:44:46.720] もよろしくお願いします
[00:44:49.000] ねそれではあの谷何をお好みになりますか
[00:44:53.040] えシンプルにただただ可愛いマジで普通に
[00:44:56.200] 似合ってるよね
[00:44:57.760] きればかりね可愛いよねこの服普通に
[00:45:00.960] 可愛いよねま俺ボトル入れ俺ボトル入れ
[00:45:03.839] ちゃう可愛いからねじゃそんなそんな
[00:45:07.920] そんなあれちゃんに熟成ウィスキー夢でも
[00:45:12.440] 俺いつかドリペ入れてみんなドリペドリペ
[00:45:15.599] 入れべえよこれ
[00:45:17.000] えっとすみませ
[00:45:19.200] んズバリお金がですねんで俺俺の布知っ
[00:45:25.319] てるんだこ
[00:45:27.160] に財布中こうやって見せなきゃいけねんか
[00:45:29.079] なんで俺が7万しか持ってないの知ってん
[00:45:30.880] のドンペリはこれドリペは10万なのね
[00:45:33.960] いやいつか入れ
[00:45:35.520] てすみませ
[00:45:37.680] んつりお金がですフリーターには無理かぎ
[00:45:43.720] ませんのでどうぞごゆっくり熟成
[00:45:46.400] ウイスキー有名でも行こうか
[00:45:48.559] なから財布見え
[00:45:51.000] てれてるんだよかしこまりましたさすがだ
[00:45:54.559] なでは
[00:45:57.280] ボトルご用意しいやボトル入れた方が
[00:45:59.359] なんか苦手でもこれならお料理苦手なんだ
[00:46:03.040] ああお料理苦手なの
[00:46:05.960] かっとちょちょちょっと
[00:46:09.280] 残念俺より残念苦手なんだって一緒に
[00:46:13.359] うまくなってこうよ俺も料理配信とかする
[00:46:15.240] し一緒にやろうよ一緒に料理配信とか
[00:46:17.839] ありがとうございますでは遠慮なく
[00:46:21.520] いただきますいやこんなのこいつ顔出し
[00:46:24.839] 配信なんかしたらお前すぐだよ
[00:46:29.160] すぐじゃ乾杯しましょう素敵な時間になり
[00:46:32.280] ますように乾杯なんか最近さ配信やってて
[00:46:36.680] めちゃくちゃ喉乾くんだよなもう飲み
[00:46:38.040] 終わっちゃったちょっともうこれ終わっ
[00:46:39.000] たらちょっと飲み物取ってく
[00:46:40.599] わこの服装ってハロウィンのコスプレだよ
[00:46:43.319] ねはい少し早いですけれどお店をあげての
[00:46:48.040] 先取りハロウィン店です興奮して叫びす
[00:46:51.040] たまたまにだったらいいけどな毎日じゃな
[00:46:54.119] 興奮して叫びいやなんかうんまそれもあん
[00:46:56.359] のかな
[00:46:57.359] 少し早いですけれど上げての先取り
[00:46:59.240] ハロウィンデー
[00:47:00.800] です見られてると思うとうんうん
[00:47:04.520] 恥ずかしいそんな格好しちゃって何を今更
[00:47:08.520] 恥ずかしいってそんな恥ずかしくならない
[00:47:10.680] んだよすごく似合ってるよ確かアロウンて
[00:47:13.920] そんな仮想で近所にお菓子をもらいにくん
[00:47:16.960] だよね冷蔵庫の中身で作るのが一番偉い
[00:47:20.960] そうだよねそうマジでそれができんのって
[00:47:23.040] すごいよ
[00:47:24.319] ねお菓子れないずらしちゃうぞいやもうお
[00:47:28.400] 菓子あげないあげあげないおねちゃんにお
[00:47:30.880] 菓子あげないからあげないよ俺あげない
[00:47:33.200] からおあげないあげないそうそうでも
[00:47:35.920] こんな可愛い魔女だったらいたされるの
[00:47:37.800] 悪くないかなもうそんなこと言ってうん
[00:47:42.200] 本当にいたずらしますよまいいよして
[00:47:45.480] くださいどんないたずらそそうですね
[00:47:50.640] えっと
[00:47:53.079] うすみませんうんひたすらが終俺がじゃ
[00:47:57.640] あれだな剰でしてほしいいたずらリスト
[00:48:00.240] 作ってこい
[00:48:01.760] よあまりたんのいたずらならなんだって
[00:48:04.000] 受けるつもりだったえあのみんな大丈夫
[00:48:05.680] ついてきてるみんなみんなみんなついてき
[00:48:10.839] てる
[00:48:12.010] [音楽]
[00:48:13.280] かしいいたずらて笑笑過剰書きリスト
[00:48:17.160] 作ろうあねちゃんにそれあねちゃんにんや
[00:48:21.319] あねちゃんにしてほしいいたずらリスト今
[00:48:23.720] ちょっと書いてきていいかな質で
[00:48:27.839] なんですか急に生き生きとした目になって
[00:48:31.400] ますエッチなずはダメですよなんでなん
[00:48:37.240] で危ない危ない本当にしちゃうところだっ
[00:48:40.040] た馬鹿野郎書いてTwitterに公開し
[00:48:44.319] てこのゲーム知らねえやつが見たら俺本当
[00:48:47.040] にやべえやついつもよりおいしいかも
[00:48:50.640] 可愛い
[00:48:52.960] ね最近見た
[00:48:55.119] 映画最近見たで印象深いもて何後ろから隠
[00:49:00.240] とかの具合が一番可い気がそんなの
[00:49:03.400] いたずらに入んねえべミニシアター系の法
[00:49:07.160] なのですが空気感がすごく良く
[00:49:10.280] て不器用な男女の切ない恋愛もです
[00:49:15.440] あ男の
[00:49:17.640] 人ですよねあんまりわかんないなまあそか
[00:49:21.640] なでもそのいしい姿を見るときっとあなた
[00:49:25.720] も応援たたくなりますよおそらく不器用な
[00:49:29.400] ところがどこか自分と重なるのかもしれ
[00:49:32.520] ませんあねちゃん映画のこととなると
[00:49:35.680] 止まらなくなるみたいだねはあすみません
[00:49:40.440] 私興奮してしまええええやんええやええや
[00:49:43.960] つい夢中で色々話してしまいました
[00:49:46.440] ハライド見せられそうになった時はさすが
[00:49:49.040] に寝ると言った局のいたずらを青が青ハそ
[00:49:53.839] 映あったっけそんな映が私昔から本当に
[00:49:58.000] 映画の何周りに聞いてくれる人があまりい
[00:50:02.520] なかったから勝手にドリペ
[00:50:06.920] 入れよう青少女マあれがアがお金がお金が
[00:50:13.400] 青超
[00:50:16.839] あこんばんはおさんこんばんは今日はです
[00:50:21.160] ねえインターネットキャバクラ第2
[00:50:23.359] シーズン2日目ということで目の前のこの
[00:50:25.839] 女をいきたいと思います恋愛マスターで
[00:50:28.559] よるねそんな前かじゃ俺まだ生まれてない
[00:50:31.319] じゃんこれからも
[00:50:34.359] まだよろしくお願いしますしたら許される
[00:50:40.119] 本当に嬉しそうな顔しちゃって品なの
[00:50:43.119] よっぽど映画が好きなんだろう
[00:50:46.440] なちゃ酔っ払ってくんだけど僕も何もでき
[00:50:49.400] ない酔っ払ってくれないと何もしないあ
[00:50:52.040] ちゃんが酔っないと僕何もしないは寄って
[00:50:55.040] くれ来るぞいたずらでなだかいつもと違う
[00:50:58.839] 味がします引よ分がいいからでしょうか
[00:51:02.880] ドリンクが減ってないようですけんたら
[00:51:08.520] 引
[00:51:10.640] 引くお客様から下着の色を何をなんだ増え
[00:51:15.680] た分は私がもらう
[00:51:18.599] ねそれはけしからん客がいるなうん消し
[00:51:22.200] から男の人ってそんなの聞いて楽しいの
[00:51:25.839] でしょ先の色なんか正直聞いても楽しない
[00:51:29.079] でクライナー飲みたいなえおめえらお前男
[00:51:32.880] に聞きたい男ジあのそ変な見えとかいら
[00:51:35.640] ないよあの下着の色なんか別に興味な興味
[00:51:39.680] ないってごめんなさい興味なてないすませ
[00:51:41.319] んこれはあれですね女性の方々に失礼です
[00:51:43.799] 興味ないっていうかその笑なんか聞くこと
[00:51:45.960] じゃないと思うんだけど聞くことじゃない
[00:51:48.640] よねそんな見えてしまった時に下着に興味
[00:51:52.200] 持ってくれてるあの違うのああのて
[00:51:59.119] とそれあるよそれはあるただたこっちから
[00:52:03.799] こっちからくことはないのよそれ違うんだ
[00:52:07.280] よそう
[00:52:14.559] すすそうかわかないけどねそういうことが
[00:52:18.200] あった
[00:52:23.900] [音楽]
[00:52:25.520] にで
[00:52:27.559] 初めて味があるものになるんですよその
[00:52:30.400] なんか聞いちゃったらそれもあるじゃん
[00:52:32.079] なんかそれ言った俺こないだもこないだも
[00:52:34.160] よく言うけどこの配信で真っ裸だかって
[00:52:36.839] エロくないんすよ真っ裸だかってエロく
[00:52:39.680] そういうことなんでねまなおさん
[00:52:41.480] こんばんはあの真っだかってまエロいよ
[00:52:44.640] エロいねエロいんだけどそれよりも脱す前
[00:52:47.319] の下着を褒めれる男になれよえでも脱がす
[00:52:51.720] 前に下着褒めたら引くべ引くじゃんえ下着
[00:52:55.079] 可愛いのつけてるねなんて
[00:52:56.620] [音楽]
[00:52:58.040] 脱してる途中でさりげなく下に合ってるね
[00:53:00.799] なんて言えたらかっこいいわけよ
[00:53:02.599] シュレディンガーそういうこと
[00:53:04.400] シュレディンガーのパンツなんすよ米印
[00:53:06.720] 人妻リスナーのパンツの色で飛ばした配信
[00:53:10.359] ですうん人妻のパンツの色当てようぜつっ
[00:53:14.079] てやったけどなうんそれはそれそれはそれ
[00:53:17.920] エンタメに消化できるって素晴らしくない
[00:53:19.760] ですか最低で草印実はですいい方だろ
[00:53:26.839] んだっけパンツの色聞いてどのこうのそ
[00:53:29.799] もん楽しくないかもしれんってことか死ぬ
[00:53:32.760] ほど盛り上がりましたノバの可能性だって
[00:53:35.119] あるからなていうかそれってただのセハだ
[00:53:38.040] よね下着の色聞くとか何がこが楽しいじゃ
[00:53:41.040] なくて聞かれて困ってるアメちゃんを見て
[00:53:42.920] 楽しんだなるほどそっちの意見ああ
[00:53:45.839] なるほどそっちの意見もあるのかそういう
[00:53:47.359] ことか言ってドギマギしてんなを見て
[00:53:51.319] 楽しんでるっていうことなのかもしれない
[00:53:54.040] ねそうなそれはそうね男の人って変わって
[00:53:58.359] ますああままそういうのもあるかも別に
[00:54:02.400] 下着の色を聞かれた
[00:54:03.890] [音楽]
[00:54:05.200] くらい確にそれ
[00:54:07.130] [音楽]
[00:54:08.599] そうそうなの困らないのだってただの色
[00:54:13.640] ですよ何かまずいまずくないよなまずく
[00:54:18.359] ないよね別に変なこと聞いてないもん
[00:54:20.359] じゃあ何
[00:54:22.760] をじゃ俺も聞いちゃおうかな
[00:54:27.400] あのどうします延長延長延長
[00:54:32.040] ですありがとうございますだろおおめえ
[00:54:36.319] といとけるために俺バイトしてきてんだ
[00:54:38.559] 平日それでは
[00:54:40.359] 引き続きどうぞこま就職もしねえ
[00:54:44.520] でそれに対してみるって聞いたら怒られる
[00:54:48.400] んだよ杯をお願いしますえ何乾杯て
[00:54:54.650] [音楽]
[00:54:56.440] 乾杯しましたねあこれあれな知りませ
[00:54:59.680] なんかあの飲み比べ対決みたいなこ謎の
[00:55:01.920] ミニゲームやらされるやつ
[00:55:05.640] ねあらあちゃんそれフラフラじゃないのよ
[00:55:09.319] 飲み比べの合図これむずいんねめっちゃた
[00:55:13.000] これめっちゃむい俺に隠れて見えないけど
[00:55:15.599] さこれなんかこれ
[00:55:17.920] 俺いやこれめっちゃむずいねん
[00:55:24.280] これがった
[00:55:29.079] バトルだめん
[00:55:31.400] だ上げ合戦っていうんだそうだよ上げがす
[00:55:34.920] この次はハでいただきますこれに勝つと
[00:55:38.720] ハートが上がるん
[00:55:40.799] よず
[00:55:43.440] うわ絶景だよ絶景みんなステッ回すだけの
[00:55:48.880] そうただ回す回すのの
[00:55:52.760] このこのテクテクがさ
[00:55:57.079] このスティックのスティックを回すこの
[00:55:59.319] テクがいですねめちゃくちゃ
[00:56:01.960] この前だけジもびっくりの絶景かな絶景か
[00:56:05.880] な強くするだ強くするだけじゃだなんよ
[00:56:08.920] ぐい色の飲み物の強するだけじゃなしか
[00:56:12.559] カキューが大事優しく時に
[00:56:17.640] 激しくテクなしじゃねえよおいテなしじゃ
[00:56:20.440] ねエグの飲み物マグマの
[00:56:24.559] はあいいですキモくねえだろ何かでそ想像
[00:56:28.920] するみんなのじいから
[00:56:30.680] ねとてもいい気分
[00:56:34.319] ですはい乾杯みな見てくれいや絶景かな
[00:56:39.839] 絶景かな俺今週のえ世界の窓からこれだ
[00:56:48.640] よは流れてきしまったあれが世界
[00:56:52.920] の口が回んねとても
[00:56:56.799] ですあやべ飲みすぎた
[00:57:00.680] ちょっと気持ち悪いです
[00:57:04.559] の飲ませすぎちゃった世界の車掌さんは
[00:57:08.000] マニアックなのよあやべえ飲ませすぎ
[00:57:11.839] ちゃっ
[00:57:13.000] たシだよ
[00:57:15.400] 車掌世の車掌が流れてくるのくそおもろい
[00:57:18.880] なそういうのも車窓車窓世界の車窓からら
[00:57:24.520] うわやべえなんかめっちゃえ
[00:57:28.000] やっべなんかお金使ったなああボトル入れ
[00:57:30.160] たからだラ
[00:57:42.860] [音楽]
[00:57:59.400] 急にすんす
[00:58:02.240] なロード今もう終わったから一仕事を終え
[00:58:06.400] た今俺はえ天さんは映画が大好きな女の子
[00:58:09.720] です新しい映画から古い映画まで映画の
[00:58:11.720] ことな天さんに叶う人はいないでしょう
[00:58:13.280] 映画の話ができる入ればいいのになんて
[00:58:15.240] おっしゃってたこともありましたよと
[00:58:16.599] なるほど
[00:58:17.170] [音楽]
[00:58:18.599] ねここら辺で1回ギャンブルはみちゃ
[00:58:22.280] ギャンブルでやっちゃパチンコで稼いで
[00:58:24.760] キャバクラ行くぞうわ変えた方が良く
[00:58:33.119] ない
[00:58:35.240] 笑笑ああ今週行けんのかな今週負けたな
[00:58:41.079] 今週行けんのかな2万
[00:58:43.319] かこお金お金足んなかったらどうなんの
[00:58:48.280] 地下労働施設に入れられんのかな地下労働
[00:58:51.720] 施設でさ少ねえ給料でさあれなのかな
[00:58:56.119] 寂しいじゃないお前けルイですお久しぶり
[00:59:01.119] お店で会えない日が続いてるわよ
[00:59:03.760] ねご指名待ってるのにどうしたのかしら
[00:59:06.760] たまには私と遊んでくれてもいいんじゃ
[00:59:08.280] ないたっぷりおしりしてあげるからいお
[00:59:11.280] しゃべりが別のたに見えちゃっ
[00:59:13.319] たはいえせっちゃん18なおが11アイリ
[00:59:19.520] も11あこっち今月フル出勤じゃん今月
[00:59:22.640] フル出勤じゃないですかアネちんはああ
[00:59:25.240] やっちゃったまいいや
[00:59:27.640] これ金足りんのかな2万1000円ぐらい
[00:59:31.400] でしょまそんな遊ばなきゃいけるべ
[00:59:34.240] いらっしゃいませよこムクラブお疲れお
[00:59:38.520] 疲れ2お疲れ今日もやってい
[00:59:42.200] ますそろそろ何もみじ狩りのシーズンだね
[00:59:45.960] そうですね綺麗な紅葉がたくさん見られる
[00:59:49.119] 時期ですねやってるかなもみじ狩りだけで
[00:59:52.000] なく芋掘りなども秋の楽しみの1つでは
[00:59:55.400] ないでしょうかあ受付ちゃん絶対焼き芋
[00:59:58.079] 好きでしょえ受付ちゃん絶対焼き芋好きだ
[01:00:01.599] よね焼き芋好きそうな顔してるもんなんか
[01:00:05.680] これ絶対こいつ焼き芋好きだわだからなん
[01:00:08.760] だよって話なんですけど一緒に過ごす
[01:00:11.359] 女の子を指名してくださいアネちん
[01:00:14.039] ですご指名は甘さんですねにバニラアイス
[01:00:18.559] 乗っけるうまそうそれうそうなレシピ
[01:00:22.920] そんなあんの女の子のコスチュームにご
[01:00:25.280] 指定はありますでもね俺ねこれもう
[01:00:26.839] コスチュームはたまに変えるだけでいいと
[01:00:28.280] 思うんだまりましたあんなカレティなんか
[01:00:30.680] 毎日着させられてたらなんかあの慣れ
[01:00:33.359] ちまうそれにダメだよそういうの慣れたく
[01:00:36.000] ない俺はいつでもなんか
[01:00:38.000] こういつでもこういつでもこういつでも
[01:00:42.079] あれなあれなん
[01:00:44.000] だあんまりこう慣れちゃい慣れたくないん
[01:00:46.760] だよ俺そういうのにいつでもこうねあこれ
[01:00:49.599] でいいわけまたのごめ嬉しいです今日も
[01:00:53.839] たくさんお話できたらいいなって
[01:00:57.440] よろしくお願いしますよろしくお願いし
[01:00:59.200] ますあボトルが残っていますねあ過ぎ
[01:01:02.520] なさい今ご用意いたしますのではいやぱ
[01:01:06.319] ボトルいいなじこ今日は酒のあれあれだ
[01:01:09.920] もんなありがとうございますあなたの
[01:01:12.720] ボトルをいいても嬉しいでしょうかあら
[01:01:15.440] あらあらあらあらこんなのあんの初めて見
[01:01:18.960] たわ前回こんななかったよなボトル頼んで
[01:01:21.799] なかったかいやいや一緒に飲もうよ分けて
[01:01:25.599] あげこれダメダめていうの分けてあげる
[01:01:29.000] わがままを言ってすええてええてお前と
[01:01:32.880] 飲むために入れたんじゃこの夢をでも交換
[01:01:35.880] とわかんないんだ今日は美味しいお酒に
[01:01:38.200] なりそうです乾杯俺の酒なんだからな
[01:01:41.880] ありがたくのめ
[01:01:43.119] やごくごくご節約それいいこれこれかなり
[01:01:47.880] 節約になるんじゃ
[01:01:49.280] ない
[01:01:52.160] 笑笑可愛いねあちゃんてすごく可愛い
[01:01:57.400] ねでも交換らないんだありござます夢から
[01:02:01.640] めてるの好きドリームウイスキー夢のはず
[01:02:04.160] なのに俺あねちゃんみたいなことを
[01:02:07.039] 知り合いになれて本当に良かったよ私もお
[01:02:09.799] 話ができて嬉しいですよど本当にお世辞
[01:02:13.640] じゃないのそんなことありませ絶対お
[01:02:16.839] とても楽しいで魔だそんなに言って
[01:02:19.760] もらえるとまた名したくなっちゃうなはい
[01:02:22.799] またごくださいね
[01:02:28.720] し
[01:02:30.000] てんまだそんなくないなこれそんな度の話
[01:02:33.480] をしてるよつもよりちょっと待て歌歌って
[01:02:38.359] もらいたいんだけどレンジ
[01:02:46.380] [音楽]
[01:02:48.799] 中マナはだよだつ
[01:02:55.960] さっきなおちゃんの数回指名してなんで
[01:02:59.640] いいじゃんお見て夢見る刑事バードジド
[01:03:04.240] バードゼと夢見るジドバードあだから完成
[01:03:07.799] したんや完成したんだって主人公のマナー
[01:03:11.240] だけがない笑それでは歌わせていただき
[01:03:14.480] ますねなんでこいつたまにあのなんかあれ
[01:03:17.440] の真似するんだろうねこのなんだっけ
[01:03:20.359] あのの人の真似してんじゃんなんだその構
[01:03:24.920] ののさんてことそういうこっちゃろうな
[01:03:27.319] 多分なこの子のテーマソグらしいです
[01:03:30.799] くねくねするしね江戸はみ江戸はみ
[01:03:37.490] [音楽]
[01:03:42.799] 笑ってる
[01:03:45.039] 歌めっうい
[01:03:47.930] [音楽]
[01:03:53.520] ね始めよ普通にいい
[01:03:58.359] 歌あいあいあい甘ない甘ないこの扉のは
[01:04:07.039] ずっと
[01:04:08.880] ずっとて俺も抜きのままに
[01:04:14.799] 飛び出る気がなく
[01:04:19.480] て与えられ
[01:04:24.720] た慣れて
[01:04:28.839] 絶
[01:04:30.799] も
[01:04:34.390] [音楽]
[01:04:36.650] [拍手]
[01:04:38.960] [音楽]
[01:04:51.640] もうもう
[01:04:54.810] [音楽]
[01:04:56.839] の
[01:04:58.839] 知らして本の私にわかんない
[01:05:07.000] わりい
[01:05:08.839] の
[01:05:11.800] [音楽]
[01:05:20.680] のはいはいあまね
[01:05:26.400] えいいいい曲じゃんめっちゃいい曲じゃ
[01:05:28.799] ないめっちゃいい曲じゃないめっちゃいい
[01:05:31.880] 曲じゃ
[01:05:35.440] ないランク5ランク5ですまいいじゃない
[01:05:41.039] のいや良かったよよかったえええいい曲
[01:05:44.240] じゃない普通にまあのののちゃんの曲ほど
[01:05:49.319] ではないけどの曲も歌わせ元カノの曲もな
[01:05:54.359] 元カノの曲も歌る
[01:05:56.480] を口にお前が酔っないと始まんないん
[01:06:00.079] じゃ酔っ払っなんだかいつもと違う味がし
[01:06:03.839] ます気分がいいからでしょう
[01:06:07.200] かさいたぐたきましたねあボトルが残って
[01:06:12.680] いますねそうあボトルいいなご用意いたし
[01:06:15.200] ますので少々お待ち
[01:06:18.240] くださいちょっと待人と飲むお酒は美しい
[01:06:22.279] お待せしましたいつもよりおいしいかも
[01:06:24.240] お前俺のこと好になってきた
[01:06:26.440] 俺のことが気になってきたて君酔わないね
[01:06:29.000] この女の酒じゃあ来たなんだかりなだから
[01:06:33.920] お金足りるかもお金足りると思うよお店の
[01:06:37.279] りちゃんお店のりちゃんて誰いないじゃん
[01:06:39.920] お店にまりちゃんなんて女ふむふむ私が
[01:06:43.160] ホラーこれさっも聞いたんだけどホラー
[01:06:45.279] 好きの女の子ってお待って待って待って
[01:06:47.640] 待って待って変じゃないよ変じゃないんだ
[01:06:50.799] けどこれさ聞いたよこの会話え待ってそう
[01:06:53.200] ですよね女の子がいや待って待って俺に
[01:06:56.640] 気づかせないでほしいこのゲームに会話の
[01:06:59.279] ボリュームが少ないってこと俺に気づかせ
[01:07:01.720] ないてそんなことねやめてもしかして
[01:07:03.480] ループしてるいやもうちょっとゲームじゃ
[01:07:05.119] ないんだから同じ会話とかやめてリプし
[01:07:07.160] てるえちょっとちょっとちょっとゲームっ
[01:07:10.039] てこと思わせないで
[01:07:11.839] よ早くね回ん
[01:07:14.839] の
[01:07:17.160] エンドレス8回ぐらいやんのかこれもう資
[01:07:20.200] の大切りのくやったよはやっ
[01:07:24.520] たーゾンビ火でこれで俺がおいゾンビを
[01:07:28.160] ほり映がって言うなていうくりもやった
[01:07:30.559] さっきやったそれゾンビバイオハザードの
[01:07:34.640] ことホラーゲームって言うなていう下りも
[01:07:37.160] やったさっき違うよいろんなお客さんに
[01:07:40.920] 話してすぎて誰に言ったか忘れてる超
[01:07:44.599] リアル笑笑超リアル思考なんだそれ
[01:07:48.079] までゆり気使って気い使って俺が気づか
[01:07:52.960] ないふりしてまた合わせてあげるっていう
[01:07:54.760] ところまでが
[01:07:57.319] どうします長だろ
[01:08:01.400] がありがとう
[01:08:03.559] ございてんだ
[01:08:08.599] よど優しさのぶつかり合いじゃねえか優し
[01:08:12.359] さで殴り合っ
[01:08:13.599] てる俺たちは会話
[01:08:20.080] 会話黄色
[01:08:24.440] たて質問怖くないえお金足りるべ大丈夫な
[01:08:29.239] 足りなかったらいいよあの下座して来週
[01:08:31.359] まだ待っ
[01:08:33.159] て受付ちゃんに土下座してえ俺たち友達だ
[01:08:39.880] よねねあちゃん俺たて友達になったんだよ
[01:08:44.159] ね友達にならなかった私の男なった前回
[01:08:48.560] ねこの男友達って言い方なんか
[01:08:53.640] なんかなんか好きじゃねえわなんなんあの
[01:08:57.600] けちゃんに土座って5褒逆にね5褒美だよ
[01:09:00.480] ねでめちゃくちゃ
[01:09:01.839] あののしってくれるあの口調でだから私は
[01:09:06.319] そういう人間が嫌いなんです
[01:09:08.400] よゴミ屑のような人間を見ると吐気がし
[01:09:11.159] ますいしあの口
[01:09:13.679] でえこの男とあのさなんかまそれ女の子の
[01:09:19.279] 友達もいるし俺にもね男の友達だっている
[01:09:21.560] じゃんみんな女の子もさ男子の友達だって
[01:09:23.880] いるじゃんだからそれのことさ女友達男
[01:09:27.440] 友達呼ぶのってなんかキモく
[01:09:30.480] ないなんかキモく
[01:09:33.080] ない友達でええや別なか何女友達俺の女
[01:09:42.239] 友達でもさせっかく友達になったのに何も
[01:09:45.279] 変わってないと思わにとっては男友達って
[01:09:48.400] 大事なんじゃないなんかねなんかねなんか
[01:09:51.040] そんな感じだったねえお店の中でお酒飲ん
[01:09:53.759] でおし今まででもお前ちょっとちょっと
[01:09:56.520] ちょっと橋元連ストップお前それ以上言う
[01:09:58.960] な友達になったんだからもっとなんか
[01:10:00.880] しようよっって言おうとしてるそういう
[01:10:02.199] ところが持てないんだよお前はは
[01:10:06.280] あそうですかそんなことない私はあなたと
[01:10:11.280] 会うのが今まで以上に楽しくなりましたよ
[01:10:14.600] 子だねお客様じゃなくて男友達として見る
[01:10:18.880] と男友達って言われ方あんまり嫌な言わ
[01:10:22.239] れる方もなんかなんかなんかだと思う
[01:10:26.520] これがお友達効果友達い
[01:10:29.960] じゃちなみにあちゃん男ができたらやって
[01:10:32.679] みたかった願望とないのねえだろ別
[01:10:35.360] に男友達がいたらできる女友達いたらでき
[01:10:39.840] るってなんかあるか別にねえなやだよ
[01:10:42.840] なんかな男友達女友達わされると願望です
[01:10:46.960] 願望ってなんか勘違してねか男達て別に
[01:10:51.159] そういう単純に男の人と友達
[01:10:55.880] い思ってああなるほどねあそういう意味で
[01:11:00.880] はまそういうのはあるかもね確かに俺も
[01:11:03.640] なんかそのだから女友達女友達言い方れた
[01:11:06.159] けど確かにななんかそういう男1人で行き
[01:11:08.600] にくいとこに行きやすくなるとあるかも
[01:11:10.199] しれない
[01:11:11.239] なああなるほどなあいいねそういうのは
[01:11:14.719] いいじゃんそういうのはいいね女の子牛丼
[01:11:17.520] 牛丼とかさ牛丼屋とか連れてっちゃうよ
[01:11:20.159] ラーメン屋とかなしよねなしよね話
[01:11:23.480] いきなりるけどな友達と男友達ってこ湧き
[01:11:27.000] 方やじゃない別に普通に友達でいいよね
[01:11:30.840] なかこれあれちゃんて子がさっきから俺に
