[00:00:00.240] お肉はね鶏肉の形なんだ
[01:27:37.480] 地味にちゃう笑笑違ったっけこんな感じだ
[01:27:41.400] よなで
[01:27:44.550] [音楽]
[01:27:49.360] も何何それ何それあ知らないかも俺それ
[01:27:54.810] [音楽]
[01:27:56.880] コンビ歌ったが歌っあそうだ知らねあそう
[01:28:00.960] なんだそんな曲あるん
[01:28:05.760] だ何このさ2000年代2000年代あの
[01:28:10.480] インターネッインターネッたーたちのこの
[01:28:14.119] なんか聞いたことあるような何
[01:28:17.560] この
[01:28:19.719] ペなんだそれなんだそれ
[01:28:28.639] こ2000年代初期な爪を探偵事務所
[01:28:33.040] みんなで見ようぜインターネット会ですか
[01:28:35.840] ここインターネット初老だ
[01:28:39.920] な面白フラッシュ倉庫見ようぜみんなでな
[01:28:44.360] 面白あてめえ面白フラッシュ倉庫に入れる
[01:28:50.360] ぞさんの
[01:28:55.310] [音楽]
[01:28:59.800] うわ
[01:29:01.719] うまいか
[01:29:05.119] うまい
[01:29:10.760] うまい知らねお前ら知らねえかが
[01:29:17.910] [音楽]
[01:29:24.520] りにもガすぎてそ誰が作ったとか知ら
[01:29:28.560] ね探偵事務所な懐かしいよな64みてな
[01:29:33.480] 画質のやつ
[01:29:36.400] なわずかな時間を見つけており出しちゃう
[01:29:41.400] のり君赤い部屋やば赤い部屋や
[01:29:47.870] [音楽]
[01:29:53.040] ばかしこば
[01:29:56.119] ラステ2人のマがってなあそうなのえ知ら
[01:30:03.159] ねえ何このゲーム
[01:30:05.679] は何このゲームは操こんばんは話題が過去
[01:30:11.520] にインターネット
[01:30:14.280] インターネッたらばかりプレイそしてしま
[01:30:17.560] にはらすそこすぎませんかやばい
[01:30:21.480] あそこがいたら
[01:30:26.679] そしていつもここでうんこ
[01:30:30.400] もらすゲームのチマゲームのよチマゲーム
[01:30:35.440] が倒せない作るべ2024年にもなっ
[01:30:39.200] [音楽]
[01:30:43.639] て
[01:30:45.199] のんだそれわかん
[01:30:48.560] ね諦めずにサブスをなんとかするけどいい
[01:31:00.120] [音楽]
[01:31:05.000] ル1万ビッツがあればちゃまにちゃまの
[01:31:09.600] 交感度上げれるけど何回やっても何回なん
[01:31:14.600] でも
[01:31:14.940] [音楽]
[01:31:17.360] ないいいです
[01:31:19.440] ねいいですね
[01:31:23.380] [音楽]
[01:31:28.199] よしおこっちから行くルートしかやらんぞ
[01:31:32.199] 始まりまし
[01:31:34.440] たよくないですねテ良くないです
[01:31:39.159] ね良くないバージョンもあるんだハリボテ
[01:31:41.760] の
[01:31:42.710] [音楽]
[01:31:48.520] それクリアすればピザ食えるんだから
[01:31:51.440] 頑張ってクリアしなくても食えるよなんで
[01:31:54.320] クリアしなきゃ食えねえみたくなってんの
[01:31:55.840] やだよクリアしなくても食え
[01:31:58.760] ます諦めず
[01:32:03.080] に知らねえ何それ
[01:32:06.600] ラーメンズはラーメンズなでも眠くなる
[01:32:10.600] ラーメンズは
[01:32:13.119] ラーメンズポンの素敵な
[01:32:21.480] や京
[01:32:26.000] 東京
[01:32:28.000] 大阪
[01:32:36.840] ラキ
[01:32:42.719] ダもう1回俺を殺してくれもえ
[01:32:51.360] もえも
[01:32:54.440] ヒーズっていうコンビですよねえ知らねえ
[01:32:57.400] 何それここからのおダメですので
[01:33:00.760] [音楽]
[01:33:07.840] イバラキ群馬埼玉群玉大軍
[01:33:13.960] た大玉の貴重なサンラシーン
[01:33:20.650] [音楽]
[01:33:24.239] 玉の貴重な散乱俺のが早かった
[01:33:29.280] [音楽]
[01:33:31.119] なよし危
[01:33:36.239] なっつなてるに言われるの
[01:33:40.310] [音楽]
[01:33:43.080] 悔しい義大あったわ兵義父ね義
[01:33:49.960] 義大統領義大統領懐かしい
[01:33:57.400] 京都ならき
[01:33:58.960] なら京都ならき
[01:34:11.719] ならノーダメええや
[01:34:14.679] んノーダメええやんノーダメええ
[01:34:19.440] やいいねゲムな
[01:34:26.199] ああほらもうくだらん話してるからねや
[01:34:30.800] んうんこやんあああ食らっちゃったまいっ
[01:34:38.330] [音楽]
[01:34:39.560] かああ大丈夫大全然大丈夫
[01:34:43.800] だ全然大丈夫
[01:34:48.240] [音楽]
[01:34:51.199] オオオ
[01:34:59.440] [音楽]
[01:35:02.520] よし危な
[01:35:04.639] つ危なで妨害してるかもしらん危なっ
[01:35:17.770] [音楽]
[01:35:20.520] つ痛い
[01:35:26.800] やこれ強い強い強い強いめっちゃむいここ
[01:35:31.159] ここ超えられた奇跡だな賞味さっきなラス
[01:35:34.679] ステっぽいけどねラステだと思うけどね
[01:35:38.159] ラステだよ
[01:35:39.520] 多分
[01:35:41.239] シャンデリアそうなん
[01:35:43.320] よシャンデリア
[01:35:47.320] 妨
[01:35:52.639] なお前
[01:35:54.530] [音楽]
[01:35:57.119] はノダ宣言
[01:36:00.639] が
[01:36:04.450] [音楽]
[01:36:06.400] やダメ宣がちょっと待って次はノダ宣言
[01:36:09.920] するわ1回死ぬこれで回ゲームオーバーに
[01:36:13.520] なってノダ宣言ノダメなかったいやノー
[01:36:16.119] ダメ宣言大丈夫いけるいけるいけるこれ
[01:36:17.560] 絶対炎までノ
[01:36:19.440] 宣はい行きますチマゲームノーダメ宣言発
[01:36:23.400] です
[01:36:25.000] 任せろ任せろ
[01:36:28.400] よお願いします大丈夫いけるいけるダ
[01:36:31.920] [音楽]
[01:36:35.840] 宣言危なかった今危なかっ
[01:36:41.920] たなんでななんでちゃまちゃまのだめ宣言
[01:36:47.800] 入りましたの笑笑あ
[01:36:53.840] ねこいつマジ
[01:36:55.080] でこバカ
[01:36:57.480] くばれ笑くばれこいつマジ
[01:37:02.800] で短い夢だったあいつマジむずくねえか
[01:37:07.920] ません
[01:37:11.560] でして
[01:37:14.119] のあいつなんでさ今まであれで倒せたのに
[01:37:17.360] よ
[01:37:24.719] ただ曲は
[01:37:25.600] [音楽]
[01:37:30.920] いいコナミクラブよな
[01:37:40.679] やっぱまずはこいつぶっ殺さないとだめだ
[01:37:43.679] まさかをたくわけねえだいつでもけんねん
[01:37:48.679] サントラ持ってんだ
[01:37:50.710] [音楽]
[01:37:56.560] よしそうかせいやもはをクリアし
[01:38:01.480] たいはクリアしたいんじゃもう13時間
[01:38:05.080] やってんだぞこの
[01:38:06.280] ゲーム
[01:38:15.440] 危なただ見てみんな残機見て6期もあるよ
[01:38:19.679] みダメージは確かに食らったかもしんねえ
[01:38:21.960] けど
[01:38:24.480] ださいていてててだってさ眠いもん
[01:38:29.440] ちょっとそりゃ俺だってさ人間だもん眠い
[01:38:33.920] わこんなゲームばか
[01:38:41.239] たら寝る前にクリアしような寝る前に
[01:38:44.040] クリアしようマジで朝までかかったらどう
[01:38:45.520] しよういや行けると思うけどね
[01:38:51.350] [音楽]
[01:39:00.280] よわからんもん
[01:39:01.780] [音楽]
[01:39:07.719] もう14時間入っかないやもっと行くよ
[01:39:12.159] 多分156時間行くんじゃ
[01:39:15.199] ないでも1捨てに時間かかるからなちゃま
[01:39:20.400] 成長したなうなっとるやろコお疲れちゃん
[01:39:27.630] [音楽]
[01:39:30.639] てここでも正直こんだけダメージ食らって
[01:39:33.199] た1回死にたい
[01:39:34.490] [音楽]
[01:39:38.480] なごめん1回死ぬね
[01:39:41.679] ごめん1回死ぬここでダメージ食らってる
[01:39:44.560] ぐらいだったら俺も1回死ぬなんでこの
[01:39:46.440] コンテ終わったらねなんだとじゃあ終わら
[01:39:48.840] ない精的にも成長したね成長精神的にも
[01:39:52.880] なんでこんな続けられるからドラキュラだ
[01:39:55.159] からねちげえんだよ違う違う違うしっかり
[01:39:57.320] 寝てるからやっぱしっかり寝てるってね
[01:39:59.840] イライラせんのよねゲーム続けられるんだ
[01:40:02.800] よやっぱ寝なきゃだめなだ人間明日仕事か
[01:40:05.840] よお
[01:40:08.400] 猫よしだからノダ宣言行きますチバゲーム
[01:40:13.520] ノダメ
[01:40:17.440] 宣言そうなんす
[01:40:20.239] よデブは特だよね
[01:40:28.080] なんとこいつさなんでこんな固まらんなっ
[01:40:31.880] た急に何こいつマジでうざお前マジで
[01:40:37.040] かおい
[01:40:39.520] こらあいつなんでなんだあいつ倒せてた
[01:40:43.360] じゃないさっき
[01:40:45.840] まで今ちょっとだな笑早かったノダ宣
[01:40:51.000] にちゃにちゃ
[01:40:54.199] にちゃーってしてたねあいつ
[01:40:59.920] ね
[01:41:03.440] あね
[01:41:07.150] [音楽]
[01:41:17.360] やノータム権よし
[01:41:24.250] [音楽]
[01:41:26.040] よし
[01:41:28.199] 行ける行ける
[01:41:31.920] ぞうまいうまいの終わらせたいとか言と敵
[01:41:36.639] も本気出してくんそういうことかそういう
[01:41:40.239] ことかまだ遊ば遊んでもらうぞみたい
[01:41:43.360] なでもこのゲームねまだクリアしてねけど
[01:41:47.280] 言うけどおもろいよやっぱりドラキュラっ
[01:41:49.280] ておもろいよなこの13時間色々14時間
[01:41:53.400] 15時間かるかもしんけど色あったけど
[01:41:56.199] おもろいわやっぱドラキュラ
[01:41:58.239] はあのチバゲームがちゃんとクリアまで
[01:42:00.960] やるんだ
[01:42:03.840] から危ねえ今今死んだか思っ
[01:42:06.250] [音楽]
[01:42:10.440] 危ねえいやマジだってドラキュラは大好き
[01:42:13.760] なシリーズだから本当に
[01:42:19.240] [音楽]
[01:42:24.040] ドラキラは安心して見てられる
[01:42:28.360] ね普段は安心して見てられません
[01:42:32.880] かあしかもワンナップするぜ多分
[01:42:36.560] 次あと4000ポイント
[01:42:43.330] [音楽]
[01:42:47.679] で怖くて怖くてなんでや
[01:42:54.960] おお連射いい
[01:43:00.119] ぞさあここなんすよねせめてここは越し
[01:43:04.560] たい
[01:43:07.440] ねああ何してる俺としたことか
[01:43:15.570] [音楽]
[01:43:25.840] どうしろっちゅうのこれ本当にすげえ
[01:43:29.400] 難しいぞ
[01:43:30.860] [音楽]
[01:43:32.440] ここたたたたたたたた
[01:43:35.850] [音楽]
[01:43:37.320] コンて終わっちまうお猫が
[01:43:41.960] 寝ま見えないよねマジで
[01:43:45.920] [音楽]
[01:43:47.760] ね敵多すぎるわがコメントしなくなると
[01:43:52.119] 地味にうくのやめて
[01:43:54.920] 笑ドラキラて新作もう出ないんすか出ない
[01:43:58.800] だろうねもうねコナミがそんな気ないから
[01:44:00.880] ね昔のやつをなんかリマスターとかして
[01:44:03.480] ずっとこすってるけど今新作で作れないの
[01:44:06.960] 理由はねあのそういう有能なスタッフか
[01:44:08.760] 全員やめちゃった
[01:44:11.239] からあのねだけどねあの元々これ作ってた
[01:44:14.880] 監督の人がゲーム屋さん立ち上げてあの
[01:44:17.960] なんだっけブラッドステインドっていう
[01:44:19.639] ゲーム作ってる
[01:44:22.040] 悲しい面そうだけどねブラッドステイン
[01:44:24.320] ドってあのこれイガが作ってるでしょあれ
[01:44:27.080] 元々これの監督が今ゲーム会社を起こして
[01:44:31.119] そこであのブラッドステインドっていう
[01:44:32.760] めっちゃ本当悪魔城ドラキュラみたいな
[01:44:34.360] ゲーム作ってんだよそれめっちゃ配信で
[01:44:36.560] やりたいあれ面白
[01:44:38.480] そう結構評いいそう結構評判いいよねあれ
[01:44:42.880] ね見た目100%ドラキュラだもんだっ
[01:44:48.320] てあれ面白そうだよちゃちゃラステは
[01:44:57.400] おもろそうねあれおもしそうあれスイッチ
[01:44:59.880] でもできる
[01:45:02.000] しそうでもさあのカースオブザムーンは
[01:45:06.040] クリん
[01:45:08.320] でしょそうそうそうそう
[01:45:13.400] そうそうが刺さったら島俺もさすがに
[01:45:17.080] さすがの邪魔ゲーム
[01:45:22.890] [音楽]
[01:45:29.159] ブラスはでも2やりたいな
[01:45:30.960] カースオブザムーンやりたいどっちかって
[01:45:32.880] いう
[01:45:34.360] とリチュアルオブザナイトじゃなく
[01:45:37.800] て2個出てるのよブラッドステインド今ん
[01:45:40.679] ところ3個
[01:45:42.000] かなんか系統が2個あって
[01:45:45.560] ブラッドステインドのえんだっ
[01:45:47.880] リチュアルオブザナイトてやつがなんだ
[01:45:50.159] けどそれが探索型ドラキュラの野みたいな
[01:45:54.000] 感じがいであのごめんアンコのトク全で
[01:45:58.440] 行くけどごめんなあこ全でいいかあこ好き
[01:46:04.000] じゃないねん
[01:46:07.360] まずでなあのなんだっけ
[01:46:10.719] ブラッドステインドカースオブザムーンて
[01:46:12.960] いうシリーズはこのメンクリア型ドキ
[01:46:15.840] カースオブザムーンの方がやりたいどっち
[01:46:17.560] かっていうと全然話しててもいいけど
[01:46:20.880] なああだからゲー
[01:46:23.520] リスナーが係てる
[01:46:26.050] [音楽]
[01:46:28.760] みし
[01:46:30.760] [音楽]
[01:46:36.440] ねし
[01:46:39.719] ないあんこはねおいしいおいしいとかじゃ
[01:46:43.920] ないんだよなんかあな今の
[01:46:47.360] やあやりくわかったよ
[01:46:53.080] あそこ普通にジャンプしていけば
[01:46:54.199] タイミング的に絶対あれになるあの矢の間
[01:46:57.760] に入るやつ
[01:46:59.640] [音楽]
[01:47:03.599] でしょ今おじからブラッドステインドの
[01:47:06.679] クランの
[01:47:08.679] 説明あおじってあれ何クラファン参加して
[01:47:12.000] たんだっけそうするとなんか色々もらえた
[01:47:14.560] んだよね
[01:47:15.679] なんかパッケージ版のダミーパッケージと
[01:47:18.760] か
[01:47:23.199] あしてないの
[01:47:26.360] か歴史を聞いて歴史あクラバの歴史そんな
[01:47:31.040] のあんのう曲あったんか死ぬかこのゲーム
[01:47:36.400] な
[01:47:38.239] おラストコンティニュー
[01:47:42.760] じゃ日で達成したとかあそうなんだすげえ
[01:47:47.400] 飛ぶの
[01:47:49.119] かすげえ1日で達成したんだ
[01:47:53.380] [音楽]
[01:47:54.560] そう斬撃なんかね炎になって飛んでく
[01:48:00.880] うえプレイが雑になってるよチャバ
[01:48:04.960] ゲームプレイ雑になってるよ気をつけ
[01:48:09.510] [音楽]
[01:48:20.239] ていないピザはた後だ
[01:48:25.480] な
[01:48:27.560] ルルルル
[01:48:31.599] かっけそんな食わせたいのか俺
[01:48:37.159] に
[01:48:38.679] おい来い貴様も近づかないと切れない
[01:48:43.910] [音楽]
[01:48:49.199] だろ食ったらどうなるのか少し気になる
[01:48:52.840] いいよピザ食ってるところ見たいのはある
[01:48:55.960] 見たやろ
[01:48:57.520] さっき
[01:48:59.280] 下手でもこうやっと絶対ワンナップすんだ
[01:49:01.800] よ大量得点獲得
[01:49:04.150] [音楽]
[01:49:20.480] でよしこの後だってあのコモ地帯も抜け
[01:49:24.840] なきゃいけないんでしょこんなとこでさ
[01:49:26.639] 苦戦してる暇ねえんだ
[01:49:30.440] [音楽]
[01:49:35.320] よこの安定した倒し方が分からんこいつら
[01:49:39.240] [音楽]
[01:49:40.440] のシャンデリアに気を
[01:49:43.480] つけろ上から来るぞ気を
[01:49:46.660] [音楽]
[01:49:48.239] つけろ
[01:49:50.239] 強強いよおクリップ貼られてる
[01:49:57.159] よ上からぞ気を
[01:50:00.400] つけろ似てない
[01:50:02.680] [音楽]
[01:50:07.760] ないや間に合わ
[01:50:10.800] [音楽]
[01:50:16.560] ねやる気がないもうもう
[01:50:20.290] [音楽]
[01:50:30.360] 眠ノダ宣言くそ終わっちっ
[01:50:36.639] た終わっちまっ
[01:50:39.440] たおね寝るのおね明日仕事水持ってきて
[01:50:45.920] いいかまず水を
[01:50:48.960] 飲もう水を飲むと思います私は失礼しあお
[01:50:53.159] ありがとうなまたな水持ってくるわ
[01:50:55.440] ちょっと膝びっっくりしながら食ってて草
[01:50:58.239] いいぞい
[01:51:03.840] てら
[01:51:05.840] パララおぬ猫
[01:51:39.280] 感想頑張ってくださいまし
[01:51:47.719] のしピザにチーズとケチャップ足して
[01:51:50.679] おこう
[01:51:55.639] クリアせんと終われんやろこの
[01:51:58.440] ゲームていうかもう1時半などんだけだ
[01:52:02.880] はいおね上4つ上4つおねまたなまたび来
[01:52:07.800] て
[01:52:08.920] ね
[01:52:16.159] よしのし思わずこっちみんなって言ったわ
[01:52:20.599] 笑
[01:52:23.199] さあ続きやりますかのしのしのしおカメラ
[01:52:28.159] あれからストップしてねえよかった
[01:52:32.119] 笑うのしのし
[01:52:35.860] [音楽]
[01:52:42.679] のし
[01:52:47.119] うまいお1回ちょっとリラックスしたら
[01:52:50.639] だいぶフが効いてんのか
[01:52:53.119] ファンが効いてんのかなそうかもファン回
[01:52:57.040] しっだからノーダメ
[01:52:59.800] 宣言
[01:53:01.440] のし
[01:53:03.860] [音楽]
[01:53:05.239] ちゃうどうしてもあれだなテコのさ
[01:53:08.639] コメントに聞い取られてダメージ食らうん
[01:53:11.560] よテコがコメントしてとダメージ食らうん
[01:53:15.079] だよななんなんだろう
[01:53:19.679] なてこよ
[01:53:22.599] コメントにおとコメントに気を取ら
[01:53:27.960] れるいやいいんだけどな別
[01:53:33.199] に好きなのかなかもしんねえずっと意識し
[01:53:37.560] ちゃって見ちゃってんのかもしんねえなあ
[01:53:39.920] ビてこがまたあれしてくれ
[01:53:43.679] たこかこれがわしとは世界戦だったのねい
[01:53:53.159] 若い
[01:53:55.719] ね若いんだ
[01:54:02.440] ねもうクリアしたいおめでとうもうクリア
[01:54:06.880] したい
[01:54:19.000] 俺なんやねあいつ
[01:54:24.370] [音楽]
[01:54:34.880] 炎
[01:54:36.560] で無理無理
[01:54:39.440] 無理こいつのまじ安定した倒し方がないん
[01:54:42.639] だもんだっ
[01:54:43.350] [音楽]
[01:54:44.679] てよく分かってねえしだに倒し
[01:54:48.320] 方いやどう倒すんどう倒すん
[01:54:56.800] [音楽]
[01:55:06.440] これまにをりますそれは
[01:55:11.270] [音楽]
[01:55:16.760] マジい
[01:55:18.599] てえああ難しい
[01:55:23.000] 白のア版あやってないやってないそれも
[01:55:25.920] やりたいんだよねでも木の方が激しいから
[01:55:28.880] 無理かそう
[01:55:30.280] なそれもやりたいあのプレステ2
[01:55:33.119] バージョン持ってんのよあれもBGMいい
[01:55:35.520] んだよ
[01:55:37.079] な11を胸にな
[01:55:39.860] [笑い]
[01:55:44.250] [音楽]
[01:55:45.170] [笑い]
[01:55:49.320] ダそうそう
[01:55:51.239] そう続そうそう
[01:55:58.560] そうあれはもう所持してるんだよ
[01:56:03.560] ね
[01:56:09.480] たたたたた
[01:56:13.599] 死にてかおめえはい
[01:56:18.800] ワンナップもうでお前回復してるっんだ
[01:56:46.880] 笑笑火災放置ねえのかこのあれは
[01:56:51.239] よ火災放置ねえんかこの白危ねえなこれが
[01:56:56.280] 死にたい人の歌か
[01:57:03.320] 笑笑でもさ絶対アーケード版って死ぬほど
[01:57:06.400] むずいじゃんこんなんでへこたれてる暇
[01:57:09.079] ねえんだよ
[01:57:13.360] なアーケード版とかやべえから絶対
[01:57:17.119] こないだまみさんクリアしてたけど
[01:57:21.170] [音楽]
[01:57:22.480] 引いたもんうわあれクリアできんのか
[01:57:29.239] よアーケード1て絶対むずいのやっぱりな
[01:57:32.119] んでもあのお金取るために作ってるから
[01:57:34.599] そう簡単にはクリアしてくんねえんだよ
[01:57:36.239] 100円で何回かかるかチリしてうわ
[01:57:40.040] しんどい5万あってもたんな
[01:57:42.710] [音楽]
[01:57:46.679] そうちょっとやりたいかも確かにそれ
[01:57:50.119] で1プレイ100円で
[01:57:52.550] [音楽]
[01:57:58.079] と数字増やすだけでもいいから何
[01:58:01.159] コンティニューか知りたいね多分死ぬほど
[01:58:04.599] かかると思うよ素人がやったらいくら
[01:58:07.480] かかんの
[01:58:10.480] かおいプレイ雑になってきとるぞプレー雑
[01:58:18.080] [音楽]
[01:58:21.119] だ朝焼の中る
[01:58:24.320] 2人肩を寄せあって2人は少し照れながら
[01:58:29.199] もキスを
[01:58:32.320] せれ
[01:58:33.960] ああ君はたびびと
[01:58:37.880] あ僕
[01:58:39.800] の
[01:58:42.599] 憧れ
[01:58:44.159] 太陽の中に消えてく真夏
[01:58:49.840] の幻
[01:58:52.840] やべえ唐突に思い出したこの曲懐かしい
[01:58:54.719] なんだっけこの
[01:58:56.679] 曲
[01:58:59.280] て
[01:59:02.440] いて1回死に
[01:59:04.639] たい1回死に
[01:59:07.350] [音楽]
[01:59:10.000] たい2太陽2太陽太陽じゃなんていうだっ
[01:59:15.239] たかなこれ忘れっ
[01:59:16.110] [音楽]
[01:59:17.520] た歌詞は覚えてんだけど局名が出てこね
[01:59:20.320] えっていうのいっぱいあんだよあの曲
[01:59:22.840] なんて言うんだろうなみたい
[01:59:34.480] なクリアしたくないそろそろ
[01:59:37.400] もう
[01:59:40.760] うしかもこの後あれだ
[01:59:43.800] ぜ巨大コモゾーンとかもあんぜあの沖縄で
[01:59:48.040] たある
[01:59:50.170] [音楽]
[01:59:52.960] 沖縄フェイスして
[01:59:54.880] た沖縄の守り神
[02:00:00.800] [音楽]
[02:00:02.079] フェイス
[02:00:06.679] 楽しい14時間過ぎ
[02:00:10.730] [音楽]
[02:00:16.239] た悪いから守ってれそうが悪いももん
[02:00:22.510] [音楽]
[02:00:30.199] いやあもういい
[02:00:35.719] て悪いものと悪いもので払えってそういう
[02:00:39.320] ことよ森を隠すのは森の中
[02:00:47.719] ねやべえもうクリアしたいんだけどもう
[02:00:50.560] ちょ疲れてきた本当さすが14時間もやっ
[02:00:53.360] てると
[02:00:55.360] な行ける
[02:00:57.470] [音楽]
[02:01:03.480] かここで終わり
[02:01:05.920] でしょどうなんだろう終わりだと思うけど
[02:01:12.079] ね笑笑だと思う
[02:01:16.000] じゃん薬草出た薬草拾っちゃったけどこれ
[02:01:19.040] 薬草いらねえよな
[02:01:22.040] んだからだっ薬草じゃねえ方がいいじゃん
[02:01:25.639] え終わりじゃねえのうわ薬草じゃねえ方が
[02:01:28.960] 全然いいわこいつ倒すのめっちゃ大変だ
[02:01:32.320] 薬草いらねえここもらえるもんはもらって
[02:01:35.280] おこうだて薬草さあれクロスと交換になっ
[02:01:38.119] ちゃうんだよクロスの方がいいよずっと
[02:01:41.719] 回復できんだけどさ確かにこれハート10
[02:01:45.119] 使うからね
[02:01:47.440] そう普通にアイテムだったらもらってる
[02:01:50.000] けどさラソいらないよ
[02:01:52.880] ハート10で回復なんだけどかそうだね
[02:01:56.119] これ絶対ブーメランだよねここ
[02:01:59.840] ねしった
[02:02:02.450] [音楽]
[02:02:04.079] わ古いもにさよならしな新しいも
[02:02:10.400] とでも俺古いものも大事にして新しいもの
[02:02:13.520] も手に入れれる男だよ俺はよしな来
[02:02:16.660] [音楽]
[02:02:17.110] [笑い]
[02:02:19.520] たいいね
[02:02:22.440] いいよ
[02:02:23.719] ねでもさ古い男もたまにはさ
[02:02:27.480] なんかでもすいませ
[02:02:30.280] んなんでもないっす余計なこと言うの
[02:02:34.310] [音楽]
[02:02:36.560] やめよ
[02:02:40.440] 笑笑やってんな何が
[02:02:45.720] [音楽]
[02:03:02.280] 来た来たノダ来たここをどう超えるかなん
[02:03:06.159] すよね大事なの
[02:03:13.040] はだお
[02:03:25.000] こいつマジどこすの
[02:03:27.170] [音楽]
[02:03:32.360] これうわあこれ無理だろ越し方が分からん
[02:03:36.520] 倒せねえもんだってなんかガードみたいな
[02:03:38.440] じゃこしならンキだみんな必死で俺につい
[02:03:42.159] てこい米お炎の柱がお前知らねえくにやっ
[02:03:47.480] てんじゃねえぞランディおちゃんとゲーム
[02:03:50.159] プレイしてからやれよおチェケだ
[02:03:52.239] ファンキーだみんな黙って俺についてこい
[02:03:55.079] イエチェケだファンキーだみんな必死で俺
[02:03:58.119] についてこいかもチェだあファンキーお前
[02:04:00.920] 知らねえだろおいにわかがやっていい
[02:04:04.199] モノマネじゃねえんだよこれは
[02:04:06.400] よこれゲームやってからやってくれ
[02:04:10.239] な楽しみだ早くやりてえあのゲーム俺チェ
[02:04:14.320] たあファンたみん黙っ
[02:04:19.159] てあれ誰だっけ誰だ聞きねえが知ってんだ
[02:04:22.960] けど忘れた聞きねえがさ触ったことない
[02:04:26.040] 聞きねえがさあれ何々さんでいいよねて
[02:04:28.360] 言ってたけど誰だか全然知らね誰だ有名な
[02:04:32.079] 人らしい
[02:04:33.760] よファンキー吉田みたいな感名前のなんか
[02:04:37.119] わかんない
[02:04:38.400] けどカタカナと苗字だったはずをゲーム
[02:04:42.040] から気をそらすためにはネタのが乗るしか
[02:04:45.360] ないねこのビッグウブに病気だからさ乗っ
[02:04:49.320] ちまうんだよ振られたら
[02:04:52.679] 自分も心で眠ります残り頑はいありがとう
[02:04:55.920] 頑張るわく大変だなんだなんだきさん
[02:05:00.040] ありがとねしか知ら
[02:05:03.159] んあの時のとの合い大好き風がちょっと
[02:05:08.800] だけ詰めたくなる
[02:05:14.920] るいちゃん好きあの曲
[02:05:20.210] [音楽]
[02:05:22.040] のことロッパて呼んでるそっちもかっこ
[02:05:25.119] いいじゃえそのパターンもあんのえペケ
[02:05:28.239] ロックじゃないのロパていう
[02:05:33.119] のたなペケパーにするかじゃ俺らは第3
[02:05:38.119] 勢力し以外のもあるあだってUとかで歌っ
[02:05:41.880] てんのU
[02:05:44.000] あのカレ声の
[02:05:46.400] 女ケかもしれケ6じゃのペケ
[02:05:53.000] ファンキーかと
[02:05:55.719] 懐かしいあん時あん時マジトランス状態
[02:05:58.639] だったよな聞きレト俺あそっかフアル歌っ
[02:06:02.840] てたあフェアチャイルドそうそうそうが
[02:06:06.639] 歌ってるよね玉そうあれすごい
[02:06:10.880] よ今調べたらロッパもあるらしい
[02:06:30.490] [音楽]
[02:06:38.320] ダクここどう行くんこれ炎で見えねえし
[02:06:43.400] ペケロッパもあるんだケロッパーペケでも
[02:06:47.280] ペケ6でしょやっぱなんか一番しっくり来
[02:06:49.719] てる俺は背中
[02:06:51.639] そんなことより背中がかい
[02:06:58.230] [音楽]
[02:07:07.400] です
[02:07:11.280] よし
[02:07:15.840] うまいいらない
[02:07:18.480] ぜもういらないんだぜ
[02:07:22.400] ケロッパがこれから変わっていくのさ俺は
[02:07:28.960] リフレッシュ
[02:07:30.480] リフレッシュ振り返りはし
[02:07:33.880] ない進み
[02:07:37.000] 続ける新しいことがしたい見たことない
[02:07:42.559] 聞いたことないチャレンジャーなのさいつ
[02:07:46.400] もライバルは
[02:07:49.360] 自分タタタタタうわやべえ塊魂やりてえ
[02:07:55.000] 塊魂早く出ねえからスイッチの
[02:07:58.719] やつ早くやり
[02:08:02.679] てえおめえらもあの塊魂の曲の沼にはまっ
[02:08:06.239] てほしい
[02:08:07.840] わはなっ
[02:08:10.370] [音楽]
[02:08:15.760] てんやったことないやれてめっちゃもえの
[02:08:19.520] あれ
[02:08:21.110] [音楽]
[02:08:31.800] 曲がいいんだよ
[02:08:33.480] な
[02:08:35.760] カモン
[02:08:39.880] パラパ
[02:08:42.760] パパラパ
[02:08:47.280] パパパ塊りオンザスイングね松崎しのね
[02:08:51.920] あの曲いいん
[02:08:52.780] [音楽]
[02:08:59.400] よ
[02:09:03.559] あし
[02:09:08.280] 来るガードやめそれ塊
[02:09:11.910] [音楽]
[02:09:16.440] 騙し塊り
[02:09:19.350] [音楽]
[02:09:21.960] もうえてここほんまどう行くんじゃよ塊魂
[02:09:27.119] リスペクトでそういう体なんそういうこと
[02:09:29.840] だ別に塊直しでデブのゲームじゃねえだろ
[02:09:33.800] 肉さ
[02:09:35.280] こんばんはいいゲームだよ
[02:09:38.119] なねえ間に合わないって言ってんじゃんか
[02:09:44.440] よああもう1回死の1回死ぬもう無理む
[02:10:00.410] [音楽]
[02:10:11.480] いやもうむずずいこのタイミングが
[02:10:21.360] [音楽]
[02:10:34.280] よし難しい
[02:10:37.250] [音楽]
[02:10:49.199] ななかなかえらんここなあの炎のとこどう
[02:10:54.000] やってマジで行くんだろうわかん
[02:10:57.679] ねえや
[02:11:09.270] [音楽]
[02:11:18.840] べいやももうここやばいな
[02:11:23.550] [音楽]
[02:11:57.520] ん開いとる
[02:12:02.320] [音楽]
