[00:00:24.880] はいはいはいはいはいはいはいはいどうも
[00:53:27.240] 行けんじゃねえ
[00:53:28.559] のちょっとあのさっき勝てなかったボス
[00:53:30.880] 行って
[00:53:32.839] いいこんくらだったら勝てんじゃ
[00:53:36.200] ないどうかな勝てねえか
[00:53:39.040] な我が魔族の代表者た魔法かけてさ動け
[00:53:43.559] なくしちまえばこっちのもんだから
[00:53:46.160] ちょっとじゃこれ1回セーブしてちょっと
[00:53:48.799] さっきのボス行ってみよっか
[00:53:50.920] な戦闘アニメ
[00:53:53.200] オレベル上げ時だけねこのスピードアップ
[00:53:56.440] 戦闘
[00:53:57.440] は普通の攻略でゲームやる時は
[00:54:01.680] アニメーションオン
[00:54:03.480] の高速戦闘オフでじゃないと味けないよね
[00:54:08.319] あちょっと敵
[00:54:10.210] [音楽]
[00:54:12.359] 違うボッソシザギラソル
[00:54:22.490] [音楽]
[00:54:28.319] まあんま魔法とか使わなくていいんか
[00:54:38.720] なこの曲落ち着く
[00:54:41.839] わもう落ち着くまで来たるからもうあの
[00:54:45.799] まだまだだからねこのこの曲聞いてうわ
[00:54:48.520] テンション上がるぜなんて言ってるやつら
[00:54:50.280] まだまだ落ち着くまで来ない
[00:54:53.119] ともうそこまで来たらもうあれな落ち着く
[00:55:01.440] よるメイてごめんなんだっけみんなアメヤ
[00:55:04.799] て
[00:55:05.799] 何アメヤてんだっ
[00:55:08.640] けデカは沈黙なんだよ
[00:55:13.440] アアは残念ながらアは教育されてません何
[00:55:18.799] をやってるん
[00:55:20.160] だにいいBGMとん
[00:55:26.640] にちょっと戻戻してみたていうかアメアメ
[00:55:30.599] はだからないねん登録されてね笑笑のき
[00:55:33.760] ちゃんこんばんはBGMBGMマジ
[00:55:39.400] 神アメイアメイとっ
[00:55:43.920] てアメイちょっと待ってえっとえっと
[00:55:50.200] ねアややだねや
[00:55:54.940] [音楽]
[00:56:02.280] お手ついでランランランこれ公式の歌詞が
[00:56:04.960] できましたおいで
[00:56:08.760] ランランランあいいね魔力レベルが上がっ
[00:56:11.720] ていいですよお手てついでランランラン
[00:56:15.160] みんな仲良しニコニコにんまり
[00:56:18.680] ラスト春まげ強だからここはかっけ俺
[00:56:23.079] こいつ好きなんだよでしたか
[00:56:26.480] 可愛い系おないで
[00:56:30.160] ランランランいいねガンガンレベル上がる
[00:56:32.520] ねガンガンレベル上がってくねかしちゃま
[00:56:36.480] ちゃんとてつぎたいちゃま
[00:56:39.559] 可愛いちゃま可いあなんか敵強そう
[00:56:43.640] ちょっと待てこれは待てこれはやばそうな
[00:56:46.160] 気が
[00:56:46.920] するお前名前何名前ちょっと敵の名前が
[00:56:50.720] 一生好きで覚えられんった角
[00:56:54.119] 消しなんて書いてあったい
[00:56:56.839] よ
[00:56:59.400] 何もう1
[00:57:02.599] 回麻痺ふよ麻痺ですオー麻痺でありがとう
[00:57:07.039] あだからアメアやれば全体を麻痺にする
[00:57:10.480] ことできんだ
[00:57:11.559] 強それちょっと強いなかなり
[00:57:15.770] [音楽]
[00:57:21.880] な9はこの辺な上のぐちゃぐちゃていう
[00:57:27.400] ガドゲジだガド
[00:57:29.359] ゲジガドゲジだってガドゲジ火呪文しか
[00:57:33.079] 登録されてないかあそうだねそれはそうか
[00:57:36.200] もあれ入り口どこ
[00:57:38.760] だ
[00:57:41.839] ぺなるほど
[00:57:43.170] [音楽]
[00:57:50.240] ほにじてこゲーム
[00:57:57.550] [音楽]
[00:57:59.640] で
[00:58:01.400] ラスゲ
[00:58:04.720] マゲみんもやりましょ
[00:58:08.000] ねポリメガアプリ
[00:58:11.359] で誰でもできますよだマジでみんなも
[00:58:16.200] やろうねポリメガアプリがあればこれ
[00:58:17.920] みんなもできるぞアプリでできるんですか
[00:58:20.400] そうなんですニコポリメガアプリていうも
[00:58:23.920] がリリースされるんですよポメガていう
[00:58:26.119] 海外のディスクゲームのねえっと1個
[00:58:29.240] 10万円ぐらいする互換機があるんだよ
[00:58:31.240] あのレトロフリークみたいなでも高いん
[00:58:33.720] でしょうそれのアプリが出るんですなんと
[00:58:37.440] お値段お値段なんと0円ですアプリはあ
[00:58:41.119] セーブすんの忘れちゃるセーブを忘れまし
[00:58:44.599] たルルセーブ忘れてるマジやべセーブ忘れ
[00:58:50.000] たこれ勝てなかったらめどくせえな勝ち
[00:58:53.400] ます勝つ
[00:58:56.520] お前タラスって何だっけタラスてなんだあ
[00:59:00.720] こいつバカだってくるあよいっ
[00:59:03.440] てらっしゃいたらタラってなんだっけ
[00:59:05.599] びっくりマーク
[00:59:07.119] たらアは睡眠解除なんだよそれは分かっ
[00:59:11.280] てるタラスって何睡眠不あ睡眠不
[00:59:17.680] か最後にやってってくれたタラス睡眠か
[00:59:23.079] アメアで麻痺か
[00:59:27.160] まジャギーはヌバでちょっと
[00:59:31.520] じゃあ透明にし
[00:59:33.760] てデカは沈黙なんだよなピドが逃げるで
[00:59:37.280] ドゥーが腐敗なんかねいろんなねあの状態
[00:59:40.799] 以上がありすぎてわかんねえんだよな
[00:59:44.400] 結局便利すぎて覚えられないな今精度
[00:59:48.799] 笑逆に
[00:59:50.920] ね逆にね覚える覚えるんじゃなく全員聞い
[00:59:54.200] ちゃう
[00:59:55.039] からちょっとずつ覚えていけると思うよや
[00:59:59.000] べ強えな
[01:00:03.240] やっぱう効かないんだ
[01:00:07.799] 魔法これちょっとやばいね40も食らった
[01:00:10.640] もん今
[01:00:13.720] ね
[01:00:16.319] あ魔法効かねん
[01:00:18.760] だ削りきれるかな
[01:00:26.880] いやあ
[01:00:28.370] [音楽]
[01:00:40.680] 強い勝てる勝てね
[01:00:47.680] か
[01:00:49.920] 14ダメージ的にはかなり入ってるから
[01:00:52.760] いや特殊能力だレベル上がんねえんだよな
[01:00:56.000] 強んだけど
[01:00:57.720] さま勝てるかこれだったらこれだったら
[01:01:02.000] 勝てん
[01:01:05.000] べ2250
[01:01:11.039] オケーいいねいいねいいねいいねあ
[01:01:16.079] スライム進化じゃないうわあ気持ち悪く
[01:01:18.760] なっちゃっ
[01:01:19.599] たスライムいいね進化した
[01:01:23.410] [音楽]
[01:01:30.680] うお金ないんだけどちょっとこれ生き返ら
[01:01:33.440] せないとしんどい
[01:01:35.260] [音楽]
[01:01:47.880] なオッケーこれで
[01:01:51.559] 行こうほんで
[01:01:54.119] ねここでしたいかと言うとああ敵強そう
[01:01:59.799] やっぱりこここれ早かったかなまだああ
[01:02:03.119] ポイズン直さねと
[01:02:05.340] [音楽]
[01:02:08.400] うあま特殊能力ばっか使ってっとな弱く
[01:02:13.039] なっちゃうんだよ逆にね強いんだけどね
[01:02:15.359] この技自体は強いんだけど肉体がとたん
[01:02:18.940] [音楽]
[01:02:21.440] まいし方ねえなここは
[01:02:27.960] 毒直そう
[01:02:32.460] [音楽]
[01:02:35.920] ぜアイテム作成って誰だっけお前
[01:02:39.920] かこれゲームの中にさショップとかもう
[01:02:44.480] 一切出てこないから全部自給時速よ自給
[01:02:51.890] [音楽]
[01:02:53.400] 自足オ
[01:02:57.079] リンダ
[01:02:58.760] キューブリンダキューブもあリンダ
[01:03:01.440] キューブも
[01:03:02.559] でできないかあれはごめんリンダキューブ
[01:03:05.640] はできねやあできるよPCエンジン版
[01:03:08.279] リンダキューブPCエンジンで出てるから
[01:03:09.960] ねリンダキューブなんで急にそんなリンダ
[01:03:13.240] キュブっていうん
[01:03:15.279] だリンダキューブもみんなできるぞポリ
[01:03:18.599] メガアプリでチマゲーム途中で失踪した
[01:03:21.640] から
[01:03:23.680] ね恋しくなったリンダに会いてえよな
[01:03:27.200] リンダになひょひょひょひょつっ
[01:03:31.039] てリダキュブ楽しかった楽しかったね
[01:03:35.520] 挨拶団の皆様
[01:03:38.760] こんにちはも活動出た出た出た幹部が来た
[01:03:42.559] よ幹部
[01:03:43.880] がひょひょひょひょつってね渡る
[01:03:49.279] 渡るあれ来た人みんなに教えたいな渡る
[01:03:54.119] 配信革命あのねポリメガアプリが無料で
[01:03:58.440] リリースされるらしいぞポリメガアプリと
[01:04:01.200] いうものがなんと無料でリリースされる
[01:04:03.839] らしいなんだと思うポリメガアプリっ
[01:04:07.079] てパソコンに外付けのディスク読み込む
[01:04:12.920] あのあれがあればアプリの中で無料で
[01:04:15.640] 取り込んでゲームできるらしいやばくない
[01:04:19.359] やばいでしょだからみんなもできるんだよ
[01:04:22.720] みんなもラストハルマゲドンできるんだよ
[01:04:25.950] [音楽]
[01:04:27.279] これ揃えなくていいんだよやばくない絶対
[01:04:30.279] 値段上がると思うから今のうち買っとけ
[01:04:31.880] よって言っといた絶対値段高騰
[01:04:36.760] するえっとねプレステいらんじゃん
[01:04:40.400] プレステいらんねプレステどころかPC
[01:04:42.559] エンジンもいらないしめっちゃ金かけて
[01:04:44.839] こない揃えたあのセガのCDシステムも
[01:04:47.760] いらないやばいよねやばいよねマジでマジ
[01:04:50.920] でゲームの値段バカ上がると思うみんな
[01:04:52.680] 買うから今のうち買っといた方がいいよ
[01:04:56.960] なんかあいやごめんプレステ2はできませ
[01:04:59.400] んプレステ2はできないんです
[01:05:01.440] セガサターンもできないんですできるのは
[01:05:03.240] CDだけプレス2はDVDだ
[01:05:06.760] からんヤンキーなそうなんですよプレス2
[01:05:11.319] はまできないんだ
[01:05:12.960] ねいつかできるよになるかもしんないけど
[01:05:18.400] ねいよもうレゲは正直高くて買えいっす
[01:05:22.000] ねってるんですけど
[01:05:24.640] ねの道だよ居の
[01:05:35.680] 道まあ言うてぶっちゃけプレステ2でやっ
[01:05:38.920] てるゲームの8割プス1だからそうでさ
[01:05:42.440] そのクラウド上に自分のゲーム
[01:05:44.440] ライブラリーにこれを取り込むことができ
[01:05:46.240] んだってめちゃくちゃ良くないどんどん
[01:05:50.400] そこにあのレトルフリークみたいに増やし
[01:05:52.640] てけんだよあ来たみな来て来たできんのか
[01:05:56.520] 来た
[01:05:58.559] よへこれがバスクの機炎に包まれながらも
[01:06:04.279] カアプリするんだろ円です無料ですまるで
[01:06:09.720] 生命があるかのように光輝く1本の剣が
[01:06:12.799] 突き刺さっていたこれがこのゲーム最強の
[01:06:14.599] 剣らしいえゴブリンは渾身の力を込めて
[01:06:17.839] その剣を引きなんかサブスクでゴブリン
[01:06:21.400] こんなんじゃねえだろお全身にパワーが
[01:06:24.760] 溢れて
[01:06:26.680] この件はきっと俺を待ってたんだ自粛
[01:06:31.599] 過剰なそのアプリはなんかサブスクで
[01:06:34.920] いろんな機能が解除されるんだけどその
[01:06:36.839] 基本的なところはできるらしいなんか通信
[01:06:39.960] 声だせえよ
[01:06:41.240] なみんな出せん
[01:06:43.880] やでこれでゴブリンゴブリンこれだからね
[01:06:47.760] さっき喋ってたやつの声おかしい
[01:06:51.359] だろ攻撃力見ててゴブリンの76
[01:06:56.430] [笑い]
[01:07:00.200] 280あの剣を装備することによって彼は
[01:07:03.359] もう常時280の火力です意味がわかん
[01:07:06.279] ないいすね意味がわかんないいっ
[01:07:09.160] すよし飛行していこうレシア
[01:07:15.680] 笑笑最強の武器なんですよ
[01:07:19.200] ね260
[01:07:22.079] 強強いんだ
[01:07:26.240] あれはもうトリ行かなあかんのよもそトリ
[01:07:29.000] 絶対に行かなきゃだめあれ
[01:07:31.960] は1回家1回帰っか1回帰っていやで
[01:07:36.520] も行っ
[01:07:38.279] ちゃおう行っちゃう行っちゃう行っちゃう
[01:07:41.440] ちょっとね昨日行ったとこ
[01:07:44.200] のあのなん
[01:07:49.480] だ昨日行ったとこのダンジョンの奥にまだ
[01:07:52.559] ね色々なんかあるみたいなんだね
[01:07:56.720] お毒うんだ
[01:07:59.520] よ早くさあの毒直すやつなんだっけ毒直て
[01:08:03.680] やつなんだっけキュアーじゃなくてなん
[01:08:05.400] だっけシェルじゃなくて忘れたそれ早く
[01:08:09.000] 欲しいんだけどキースキース
[01:08:12.960] [音楽]
[01:08:20.159] なオッケーやべあとあと3時間あと今7
[01:08:24.839] 14分スネああGスネが覚えんだ他誰が
[01:08:28.440] 覚えんだろうこのパーティて誰か覚えん
[01:08:31.020] [音楽]
[01:08:34.159] だちょいとじゃあさっきのダンジョン
[01:08:38.000] 行こうか
[01:08:39.359] なここ
[01:08:41.640] こここれまだ俺探索終わってないらしい
[01:08:47.000] からこのねちょっとゴブリンじゃなきゃ
[01:08:50.120] いけないところがあるんだよ
[01:08:53.640] これゴブリンじゃないととなんかあの
[01:08:57.279] イベントが進まねえとこがあるんだっ
[01:09:01.000] てなんで
[01:09:03.400] ちょっとああれだ
[01:09:06.080] な訂正訂正ちょっと訂正でガーゴイル魔法
[01:09:11.520] てよようん魔法てよガーゴイルはうん君は
[01:09:15.839] 接近攻撃ねサイクロプスはサンダーロー強
[01:09:21.199] すぎるんだけどこれ特殊攻撃だと攻撃力
[01:09:24.120] しかレベル上がんないんだよないっか豪敵
[01:09:28.359] 強えかん
[01:09:31.319] なでもちょ楽しいこういうちょっと何を
[01:09:34.440] 育てるかっていうのを考えるの楽しい
[01:09:38.600] ねだってこれさ無条件で敵に240だもん
[01:09:42.239] 強えよな全体
[01:09:43.839] でサンダーローめっちゃ強えんだ
[01:09:51.560] よそのパーティはうんキース覚えんうわ
[01:09:56.880] 雑魚だじゃ合体して覚えるしかないんだ
[01:09:59.080] 合体してキース覚えるやつと合体してって
[01:10:02.280] ことだよね多分ね合体第1回目の合体って
[01:10:06.120] 確かレベル17とかだよねまだ先なんだ
[01:10:10.830] [音楽]
[01:10:15.400] な基本的に態以上の魔法は不と解除セット
[01:10:19.760] に覚えそうああなるほど
[01:10:21.920] ねスライムは沈黙そうだねデカ
[01:10:27.250] [音楽]
[01:10:28.880] ねブラストファイブガンザここめっちゃ金
[01:10:32.840] もらえていいよブりは麻痺なるほど
[01:10:40.600] ねエンカウント多いか
[01:10:43.060] [音楽]
[01:10:46.159] もサイクロプスは眠りこれマットってどう
[01:10:50.600] いう状態
[01:10:52.239] なんよくわかんねえよな
[01:10:59.280] 発狂発狂ってどういう状態なんだろう
[01:11:02.920] そのそのね説明がねえんだよこれ発狂って
[01:11:07.679] どういう状態なんですかていうのがね書い
[01:11:09.440] てねえんだ
[01:11:10.500] [音楽]
[01:11:13.480] よ書いてあんのかどっか書いてあんの行動
[01:11:16.320] しないことがあるってこないだ言って
[01:11:18.080] なかった俺体感ね体感体感そんな感じはし
[01:11:21.280] てる
[01:11:28.719] て書いてね俺がゲームの話出した誰も
[01:11:32.280] コメントしないんだ
[01:11:35.480] よおなあ40人見てるはずなんだけどな
[01:11:38.760] 知識出せよ
[01:11:40.760] おい
[01:11:43.960] えめもっ
[01:11:46.679] とく
[01:11:49.639] 笑笑このね1番下の気持ち悪いやついる
[01:11:53.400] じゃん悪いやるじゃんのこのこれこれこれ
[01:11:56.560] これこれこのこいつデボデグデグボレリか
[01:12:01.159] みたいなあいつがマジでうぜえんだマット
[01:12:04.199] 必ずやってくんだよ
[01:12:06.480] ねマットめちゃくちゃやってくんだよ
[01:12:10.159] ねうわもうエカ多いエ多いも
[01:12:15.520] やゴブリン強えからさ大丈夫だ
[01:12:21.600] ねあええる魔法考えたら合体ってだいぶ
[01:12:26.239] 重要なんだで重だね深いはこのゲームそう
[01:12:29.360] 深いのよこのゲームマジ
[01:12:33.800] で装備作りたいやべ
[01:12:38.800] 死ぬああ死んじゃっ
[01:12:42.520] た何回攻撃すんんだお前あマットだから
[01:12:47.120] 攻撃できねんかこれなんかおかしいと思っ
[01:12:49.520] たいつまでもゴブリン攻撃しねえと思っ
[01:12:51.800] たらなんだそれめんどくせえマット直さ
[01:12:56.239] なきゃだめだ
[01:12:57.800] ね
[01:13:00.120] うわしんどいなここ普通に現代でリメイク
[01:13:03.719] したら普通に人気でそうなんでこれがね
[01:13:06.600] リメイクも移植もずっとされてないかって
[01:13:08.600] 言うとこれを発売したブレイングレイて
[01:13:11.320] いう会社なんですよこれブレイングレイて
[01:13:13.080] いう会社が出したのね倒産しましてこれの
[01:13:15.719] 見が中に浮いちゃってるのよだからね誰が
[01:13:18.520] これいじっていんだかわかんない状態で
[01:13:20.800] PCエンジンminiにも収録できなかっ
[01:13:22.719] たんだよねこれ人気すごい人気あるのに
[01:13:25.719] 曲だってこんなかっこいいのにさすげえ
[01:13:28.080] もったいないよねこの
[01:13:30.159] ゲームそういう見ってさうんどっかがね
[01:13:34.480] 買うこともできないじゃん持ってる人がい
[01:13:36.159] ないからてるのか何年でフリーになるあの
[01:13:39.239] 著作物は50年じゃなかったっけラスト
[01:13:41.560] ゲド作ろうぜラストゲド俺が作る
[01:13:46.360] か曲もいいのね50年じゃなかったかな何
[01:13:50.040] 年だったかな40年30年なんかそれだ
[01:13:53.639] からあ
[01:13:55.480] がさあの発売できる理由ってそこなんだよ
[01:13:57.840] ね確かねなんかそういうのもあるよね確か
[01:14:01.120] 50年じゃないなそれさすがに長すぎか曲
[01:14:03.880] だっけ50年はだからベトベの曲とかは
[01:14:06.719] もう著作権フリーとかねあのその作曲者が
[01:14:09.800] 死んで50年みたいななんかあるよね
[01:14:13.440] 確かさすがにまだ言うてもこれ30年も
[01:14:15.880] 経ってねえだろこれわかんないけど通常だ
[01:14:18.400] と死んでからですね死んでからだもんねこ
[01:14:21.080] わかんないよね会社が潰れてからなのかな
[01:14:29.639] ランラン死んで70年らしい死んで70
[01:14:34.520] 年
[01:14:36.520] ランラン
[01:14:42.840] ランランラン
[01:14:47.120] ランランランラン
[01:14:53.320] [音楽]
[01:14:55.280] 名義の著作物へえじゃあもうほぼ無理だな
[01:14:59.080] 俺たちが生きてる間にこれのリメイクおの
[01:15:01.639] は創作後70年以内に公表されなければ
[01:15:05.760] 創作後70
[01:15:09.480] 年いやこれリメイクとかされたら絶対
[01:15:12.440] 面白いんだけど
[01:15:15.860] [音楽]
[01:15:18.040] ねお金がない
[01:15:21.480] [音楽]
[01:15:25.520] プログラム著作物だと50年らしい
[01:15:30.600] ふこれさアイテム買うとさ結局装備品変え
[01:15:35.120] ねえんだよ
[01:15:37.000] な物によってなの
[01:15:45.280] かマット直さなきゃだめだなでもねごめん
[01:15:48.159] もう1
[01:15:49.760] 回マット直さね
[01:15:52.440] とこアイテムできるやきられてるからさ
[01:15:56.360] できれば合体する時にそういうのも考え
[01:15:58.400] なきゃいけねんだ
[01:16:00.920] よスマットのでかいやつ買っちゃった方が
[01:16:04.560] いいねこの金色の同じアイテム名でもこの
[01:16:08.120] アイコンが白だと安いんだよディスポイ
[01:16:11.600] ズっていうのはこれ毒直すんだけどとかは
[01:16:13.520] 70ってあった多分そのも自体の種類に
[01:16:18.040] よる感じみたいこのゲームっていくつ解職
[01:16:21.000] されてるけどあそれはあれだでしょだから
[01:16:22.880] それはだからまだブレイングレイが勝手に
[01:16:24.520] やってでょPC88っていうやつから出て
[01:16:27.920] きてでそっからなんだろうファミコンに
[01:16:31.080] なってPCエンジンなっていうのはそれは
[01:16:33.560] まだブレイングレイがやってたことだから
[01:16:35.920] でブレイングレイが潰れてから
[01:16:40.040] はPGエンジンが最後だと
[01:16:44.800] 思うちなみにファミコン版のはマジでクソ
[01:16:47.560] ゲーらしいんでやめた方がいい
[01:16:51.360] 色のィはんィ員回復できんだよだディス
[01:16:56.960] マット1個買っちゃおっかこれね
[01:16:59.199] パーティー全員分なら2038年には著作
[01:17:02.639] 権消える
[01:17:04.239] ぞあと10年14
[01:17:08.159] 年その頃このゲームなら全然リアルま全然
[01:17:11.719] リアルだな俺が42とかだ俺42になって
[01:17:16.920] もまだやってんのこのゲーム俺42歳に
[01:17:20.120] なってもおやるよまだラストあるバけやる
[01:17:23.960] よて
[01:17:25.440] いやラストハバまだやってんのかよって
[01:17:28.360] 邪魔ゲーならやってる
[01:17:30.480] やろまだラハやってんすか言われ
[01:17:34.920] ちまうでもリメイク出たらやらないいめ
[01:17:38.440] やいになってんじゃ
[01:17:40.320] ねもう顔出せねえよっ
[01:17:43.960] てあの
[01:17:46.639] かあれあと14年じゃ使い回そう15
[01:17:51.360] 年いつまでも若い若い自分の
[01:17:55.440] 悲しいな
[01:17:59.320] なんかいやもう敵強いからやな
[01:18:04.880] ここ20大ちゃま30大ちゃま40大
[01:18:09.239] ちゃまとか作ろう10大ずつMPもさ
[01:18:13.639] だいぶ枯渇しちゃってる
[01:18:15.520] からもうあとはもうちょっとここイベント
[01:18:17.960] 回収だけだ
[01:18:19.320] なこれ入っちゃえば余裕だ
[01:18:22.080] からサイクロプスさんの
[01:18:26.080] サイクロプスさんあそれいいね
[01:18:27.960] サイクロプスさんのこのサンダーアロー
[01:18:30.239] 入っちゃえ
[01:18:31.400] ば一発
[01:18:34.120] よメッセージルームあれここ見たんだっけ
[01:18:37.199] あこれ
[01:18:40.280] か一光が部屋に入もう1回見ていい
[01:18:43.040] せっかくだし壁一面に映像が映し出され
[01:18:46.080] これ音声ちってだ聞こえてき
[01:18:48.639] た好奇の強きも
[01:18:51.920] よお前のその癒しほどの未知なるものへの
[01:18:56.000] 関心を失ってはならん知識欲が時代を
[01:19:00.679] 気づいてきたことを忘れてはいけ
[01:19:05.880] ないなんやねん
[01:19:08.760] それなあこれイベントスイッチが
[01:19:12.000] 雑一光は横に動くとまた入っちゃうんだよ
[01:19:15.199] これ後ろに下がるねえとイベントスイッチ
[01:19:18.920] が雑です
[01:19:21.440] ここごめんちょっとさ音上げたんだけど
[01:19:24.159] BGMでかい
[01:19:25.610] [音楽]
[01:19:29.120] 音声ちっちゃくて
[01:19:30.800] なあれでけえのに曲とかでかくてさ今は
[01:19:35.360] 大丈夫大丈夫
[01:19:37.199] まこんくらいでいいよね戦闘でかそう
[01:19:40.800] まあまあでもそどうそうでもないそうでも
[01:19:44.080] ないオ
[01:19:46.159] オオ魔法
[01:19:50.320] で防御もうガー全員あのあれだな
[01:19:55.159] サイクロプス以外はもう特殊能力3ダロだ
[01:19:57.760] から特殊能力強いんだけどこれに頼ると
[01:20:00.000] 本当他が育たなくなっちゃうのよなうまい
[01:20:02.880] ことできてるよな本当
[01:20:07.890] [音楽]
[01:20:10.239] これも今日も1次になったらレベル上げ
[01:20:13.760] 防御もま防御も上がるけどねただ防御した
[01:20:16.920] だけじゃダメなんだよ防御した状態で攻撃
[01:20:19.080] 食らったりしないと多分もしかしたらダメ
[01:20:21.880] なんじゃねかな分かんない
[01:20:27.280] [音楽]
[01:20:30.920] ゴブリン強ゴブリンの普通の攻撃が強
[01:20:33.960] すぎるアゾット剣手に入れたからな
[01:20:36.320] アゾット剣っていう一ちゃん強
[01:20:40.840] 武器確かゴブリンと誰だったかなオクかな
[01:20:44.800] 装備もう自動で装備してる
[01:20:48.560] からあじゃこれま防御
[01:20:53.639] でこいつはこう攻撃しちゃおっか
[01:21:01.030] [音楽]
[01:21:07.280] ンラただ本当このゲームよくできてるよな
[01:21:10.880] 本当にハゲ配信序盤が過ぎましたまだまだ
[01:21:14.920] 序盤すぎてないする人がああ配信のねい
[01:21:18.600] なくなってきましたいやもしょうがない
[01:21:20.320] それはそういうもんなんだよラスラスハゲ
[01:21:22.880] の配信は毎回そうなんです
[01:21:25.440] いいんです見ててくれればいいや見てて
[01:21:28.719] くれればそれでいいんですでこのアイテム
[01:21:32.120] の説明すると100円のリスポイズは治る
[01:21:35.840] か治らないかが確か5050%ぐらいかな
[01:21:38.040] 体感してました見てますで見てはいますで
[01:21:43.120] これを30000円だと確実に回復すんの
[01:21:45.080] ね俺確実性取りたい金色のこの高いやつは
[01:21:47.800] パーティー全体が回復すん
[01:21:49.800] [音楽]
[01:21:51.679] だいちいち毒直すのめどくせえけどな
[01:21:55.060] [音楽]
[01:21:58.880] これどこ行くんだっけ
[01:22:00.560] な10時になるとこに残っている人は本物
[01:22:04.199] の京ですあやばいあマット来
[01:22:08.000] たこのさこの辺赤いぐちゃぐちゃのやつあ
[01:22:12.239] マジうぜんなよほらほらもマットしかやん
[01:22:15.840] ねえんだ
[01:22:16.679] よデグボリカデグボリカだってデグボリカ
[01:22:23.630] [音楽]
[01:22:25.000] あいつマットばらまくのマジうぜえよ
[01:22:28.160] [音楽]
[01:22:32.239] ななんかここでCD探さなきゃいけないん
[01:22:35.040] だ
[01:22:37.400] 確かでそのCDを探せるのがこのゴブリン
[01:22:41.040] だけなんだよ確かゴブリンは好奇勢なので
[01:22:44.600] 知らないものにも手を出しますみたいな
[01:22:46.320] なんかそういう説明がによってダンジョン
[01:22:48.280] 行かない判断した方がえでないかでもここ
[01:22:51.719] のイベントはゴブリンがいないといけない
[01:22:53.360] んでこここのさパーティー行くしかねえん
[01:22:55.719] だ
[01:22:56.360] な早くしれとパーティー変わっちゃうんだ
[01:23:00.120] よ
[01:23:02.280] はえめんどくせえ
[01:23:04.880] だろよく言えばよくでき
[01:23:08.719] てる普通に言うとめんど
[01:23:11.220] [音楽]
[01:23:14.120] くさいあマック巻かなかっ
[01:23:18.239] た割と先生取られるしだけどしながら見て
[01:23:21.440] ますリベリテファ
[01:23:27.120] 800円
[01:23:32.120] でかいピクミン2で白ピクミンいないと
[01:23:35.120] 取れないお宝ままそんなもんよそんな感じ
[01:23:38.639] そんな感じ
[01:23:40.199] もも何何何あ作業しなが
[01:23:44.710] [音楽]
[01:23:47.639] ありがとう1万5000円あるんだ
[01:23:50.600] けど結局こういうの買ってるとさお全んだ
[01:23:54.920] よ
[01:23:58.280] なえマットデスマット買っちゃおう
[01:24:03.370] [音楽]
[01:24:05.000] かマジででも本当このゲームBGMに救わ
[01:24:08.159] れてる感マジであるよねこんないちいちさ
[01:24:11.440] 状態以上になったらアイテム作って
[01:24:13.440] わざわざポチポチポチポチ使ってなんて
[01:24:15.159] めどくせえじゃんくじゃないんだよね
[01:24:17.600] なんかなんかできるんだよなこのゲームは
[01:24:20.120] ああおいエンカウントが
[01:24:25.320] なめんな
[01:24:29.719] よできればなんかエンカウント多くない
[01:24:34.220] [音楽]
[01:24:42.040] 今日やべ先制だ
[01:24:46.310] [音楽]
[01:24:48.440] しまあ毒うぜえなあの
[01:24:51.719] オナあのオナみてや
[01:24:57.360] [音楽]
[01:25:06.440] あの見たこともないくせ
[01:25:10.000] にそういうことだオナホはあるやろ別
[01:25:14.480] にもう本物は言わせんなこんなこと本物は
[01:25:20.119] ないかもしれないですけどね本物
[01:25:23.320] はれ引いたぞポンポコミじゃないかうお
[01:25:27.960] ポコミポンじゃんララララおいストロ
[01:25:32.320] やろうな
[01:25:33.440] ストロークストロークやろうな発売され
[01:25:37.719] たらあ自動やちゃったはいどチケドンマイ
[01:25:41.679] ドンマイじゃない当たりですこれ
[01:25:43.800] もラララン
[01:25:47.199] ララララララポポコミお仕事お疲れ様ポン
[01:25:52.320] ポコミお仕事疲れポンポンポコミポコミは
[01:25:57.480] なんでない
[01:25:58.639] やめよあさちこさんこんばんはストポンあ
[01:26:02.520] マジ教えてくれよ俺も大会そしたら
[01:26:04.679] エントリー
[01:26:06.360] しよう特殊のランクマッチ指導します
[01:26:09.840] いやあマジでやったやったちょっと教えて
[01:26:11.920] マジ
[01:26:12.679] でヒットボックス買うかなえーなんだっけ
[01:26:16.679] 特殊能力ちゃくて
[01:26:19.719] 防御防御特殊能力サンダーロー防御
[01:26:25.150] [音楽]
[01:26:27.840] お
[01:26:29.679] よしアコンアコン買ったの
[01:26:33.320] かえポコミって
[01:26:38.080] アケコンコン安く売りますおもやんだよ
[01:26:42.080] 作るかえコン作るコントローラーやであ
[01:26:46.880] じゃあコントローラーでいいようわ出た
[01:26:50.320] うわめんどくせえ
[01:26:53.239] こいつ
[01:26:55.080] 笑笑あのさ赤いぐちゃぐちゃマジめんど
[01:26:58.679] くせえ時間
[01:27:01.800] ない作るんだよ時間っての
[01:27:07.080] は今作コントローラー強いよあそうなん
[01:27:13.000] だ
[01:27:14.880] ぐんぐん俺もなんかコントローラーにさ他
[01:27:20.440] もやるならボトお帰りま確かにね
