[00:00:18.600] D
[01:05:28.960] 女あれじゃんTwitterの位置情報
[01:05:32.119] 彼女の名前の横じゃん何ななんとかちゃん
[01:05:35.440] の横一情報あれクソだからやめてい本当に
[01:05:38.319] くっていあれやってる全員えけんちゃん
[01:05:41.319] こんばんはえとけんちゃんこんばんは
[01:05:43.839] なんかこのなんかドラキュラのドラキュラ
[01:05:45.960] の痛い
[01:05:47.039] 痛いドラキュラのドラキュラもどきみたい
[01:05:50.279] なゲームやってるわねこれ何セレクトセえ
[01:05:53.279] コレクションア何コレクションアてって方
[01:05:55.960] に映ってる球体何だか忘れたけど1時間に
[01:05:59.880] 10分広告流すって堂々と言ってリするね
[01:06:04.760] そういリ俺さリってわかんないんだけど何
[01:06:07.319] リってよく聞くんだけどこれ球体
[01:06:09.920] ディスプレイめっちゃ良くないこれまもう
[01:06:13.760] あのなんつうのインテリアとして置いてる
[01:06:16.640] だけなんだけどでパススルーでゲームが
[01:06:18.319] リアルタイムで映ってる見してやりおらに
[01:06:21.720] やば
[01:06:23.200] そうやばいしょこれ村だからこれはゲーム
[01:06:27.680] やるこれ本当はこれあれなんだよこれあの
[01:06:30.559] あれあの地球儀なのデジタル地球儀
[01:06:33.760] デジタル地球儀なんだけどもうお前らわか
[01:06:37.480] おめえらわかってねえな見づらい見づらい
[01:06:40.680] あ出た出たあ2ちゃん見てだこいつらあれ
[01:06:42.920] だわあれだあれだ2ちゃん見てだわ2
[01:06:46.880] ちゃん見て否定から入り
[01:06:49.760] やがる違うよこれねおが丸く映っちゃう
[01:06:54.240] それでドラクエプレイやってください
[01:06:57.400] あかしさんこんばんはいやだゲームは正直
[01:07:01.400] できねえあ2ちゃんってもねえのかより
[01:07:03.400] 丸くねあれなんだなああお肉取れなかった
[01:07:07.039] じゃんこれ元々デジタル地球儀で地球儀な
[01:07:10.799] んすよなんかその地球儀でいろんな情報が
[01:07:13.079] 出るみたいなにクリアするあるんだけど
[01:07:15.680] そうなんだけどあのそれをHDMI出力が
[01:07:19.119] できるからあのレトロゲーム映すと
[01:07:21.799] めちゃくちゃいいのよこれめちゃくちゃ
[01:07:23.960] いいインテリアになるのよだから普通に
[01:07:26.359] それで使ってるだけいいんだ見づらく
[01:07:30.160] たっておなんだおめえなんだお前そのくそ
[01:07:35.520] 野郎おなんでそんなお前噛みついてくる
[01:07:38.960] わけいいよなセンスがねえわめちゃくちゃ
[01:07:42.520] いいだろ
[01:07:45.240] これ海外のなんかTwitterで
[01:07:48.160] めっちゃバってたんだよねで調べたら日本
[01:07:50.920] の商品だったからいいですいいだろ
[01:07:57.000] あれどこ行ったの可愛いドのちゃまく映っ
[01:08:02.559] てあるよあるんだけど置く場所がねいやも
[01:08:07.319] さ俺さマインシーカ映してキくるうから
[01:08:10.960] やめて気くるうからやめてあれも映して
[01:08:15.279] あれね置場所がなくなっちゃったんだよな
[01:08:17.719] もう物が多すぎて俺の部屋ダメだなんか
[01:08:21.440] さ配信でじちゃんさ今度配信でさあれ
[01:08:24.839] やろうよの上やだわじゃあちょうだい
[01:08:29.600] あげよっか
[01:08:32.600] じゃあ自分でドット作ってあれラックと
[01:08:35.560] 一緒に送っていっぱいいいもん持ってくる
[01:08:38.600] じゃでもさすごいなんか俺さ俺の部屋
[01:08:40.319] めっちゃ物がありすぎてさいらないもん
[01:08:42.199] めっちゃあんだよね今度じんちゃんさあの
[01:08:44.440] あれやんない
[01:08:46.239] あのフリーマーケット配信したいんだよね
[01:08:49.839] フリーマーケット配信あのさあんじゃん
[01:08:53.120] よく車で行ってさレジャーシート広げてさ
[01:08:57.000] けてさまあのうんこちゃんがああれでやっ
[01:09:01.440] てたんだけどあれでやってたんだけどあの
[01:09:03.920] なんだっ
[01:09:04.880] けYouTubeでやってたんだけどあれ
[01:09:07.920] うんこちゃんは動画でやってたんだけど俺
[01:09:09.319] 配信でやっても面白いなと思って
[01:09:11.319] めちゃくちゃ売るもんあるよ俺
[01:09:13.199] めちゃくちゃ売るもんあるよそしたらそれ
[01:09:15.600] 良くない前日の夜にさ値段決めてみんなで
[01:09:17.839] さで明日じゃあどこどこの広場行って
[01:09:20.159] もちろんお客さん映さないようにね俺が俺
[01:09:21.880] が売ってるとここっち側にカメラ向けて
[01:09:24.120] マジでやりたい
[01:09:26.759] マジで売るもんめちゃくちゃあるえ
[01:09:28.960] めっちゃあるよ売るもんもう俺そしたら
[01:09:31.719] CDとか売っちゃっていいもんなCDとか
[01:09:33.920] ゲームは売らないけどあなんだろうなお金
[01:09:36.920] はありまきねお金は全部ありまきねそう
[01:09:39.520] です全部ありまきリスナーさんがに行くの
[01:09:42.080] もありだよねいや来てもいいんだけど
[01:09:47.080] 行こういい
[01:09:49.279] ねそしたらちゃんのさ
[01:09:52.430] [笑い]
[01:09:53.679] 課金課課金かあボス来たえ何これ
[01:10:03.910] [音楽]
[01:10:05.360] 売るもめっちゃあるぜ本当
[01:10:08.679] にこの部屋に入りきらなくなったさあの
[01:10:11.440] 光るものとかいっぱいある
[01:10:13.400] もんいや何これ
[01:10:17.920] うわむずこっからか
[01:10:22.250] [音楽]
[01:10:24.320] いあここで1個あれがあるん
[01:10:27.220] [音楽]
[01:10:29.040] だこれもこみちんぽこクラブみたいな人
[01:10:34.040] たちそうだよそうそうコナミちんぽこ
[01:10:36.400] クラブ俺の好きなスライム何スライムっ
[01:10:41.560] て何スライムって
[01:10:46.440] じこれコナミ派クラブだねただイか戦
[01:10:49.800] やっぱゲームボーイだから音はしょぼいな
[01:10:51.840] 音は正直しょぼいね曲は悪くないんだけど
[01:10:54.400] ねロケットみたいなやつ何の話してんの
[01:10:58.239] お前あライトあ後ろ後ろ後ろのゲーム
[01:11:01.960] ボーイの見えないか見えないかなあそこ
[01:11:05.760] あそこクラブ曲良いよねめちゃくちゃ好き
[01:11:09.800] めちゃくちゃ好きコナミク派クラブ一番
[01:11:12.960] 好きゲームのあのクリエイターであそこ
[01:11:15.000] あそこあそこに行ったてかあの上のさ
[01:11:17.080] レコードフレームめっちゃかっこよくない
[01:11:18.760] あれ透明なんだぜ最今までで1番かっこ
[01:11:22.480] いいレコードフレーム買ったわこれでしょ
[01:11:24.800] これこれこれめっちゃ良くないですか
[01:11:28.080] これロマンでしょこれもう見づらいとか
[01:11:30.760] いいね
[01:11:32.199] やあげあげねえよあげねえわマインド
[01:11:37.199] シーカー映そうよ絶対やだよ絶対やだ聞い
[01:11:41.280] くるからあんなして
[01:11:44.639] たらよいよいよいよいいい
[01:11:50.140] [音楽]
[01:11:51.880] でしょ超能力身につくかもしれないじゃん
[01:11:56.120] いらねえよ俺超能力あんなことしなきゃ
[01:11:58.320] いけねんだったら超能力いらないそこに
[01:11:59.960] 映して占いババみたいにしたらできるかも
[01:12:03.280] マインドシーカーここでねつって確かに
[01:12:08.159] 悪くないかもそれそういう繋がり
[01:12:12.040] [音楽]
[01:12:13.960] かやなんかあれだななんかボテちゃん明日
[01:12:18.000] から3日間配信すんでしょ
[01:12:23.360] マクリアなんか配信やりたくなってきたな
[01:12:26.320] 俺も近々やろうかな時間取って仕事が休み
[01:12:29.840] じゃねえとできねんだけどな当時間配信し
[01:12:35.040] たいドラクエ1は今年中に絶対にやるから
[01:12:38.199] ね絶対あのリベンジするワクワクドラクエ
[01:12:42.120] 1絶対リベンジするあれクリアしないと
[01:12:44.480] 終われないでしょ
[01:12:45.960] ワクワクマジ遊び来て
[01:12:48.480] ねなんだけどのブラッディティアーズは
[01:12:51.639] いい曲なんだけどルブの音源を使いこなせ
[01:12:54.440] てない感ああやっぱなんか説のサンとけ
[01:12:58.480] そのそうドラキュラ2の時マジ曲やばかっ
[01:13:01.440] たもんね日でクリアするっ
[01:13:05.400] しょでもなんかボちゃんなんだかんだ
[01:13:08.000] クリアしそうだけどねすぐねなんかあれ
[01:13:09.880] なんか仲間なっちゃいましたつって
[01:13:12.719] ドラキュラ伝説2はめちゃくちゃ音よかっ
[01:13:14.920] たよねすげえかっこよかったもん曲なんか
[01:13:17.719] これすごくしょぼく
[01:13:21.199] 感じるグラフィックもそんななんかし定と
[01:13:24.639] ちゃうだけどとかいそう
[01:13:28.440] 笑あれさっきボスまで行ったんだっけ
[01:13:31.880] こっちだったっ
[01:13:33.920] けで世界りしそうだよね
[01:13:39.040] 当たり普通にね何もなかったかのように
[01:13:43.000] ドラキュラ伝説2の
[01:13:45.880] なんかあれ端じゃなくよかったあの曲
[01:13:49.440] ドラキュラの中でを争うぐらい好き
[01:13:55.280] 好きだなポポロ24時間チャレンジ始まり
[01:13:58.199] そうめちゃくちゃむずいこの
[01:14:00.280] ゲーム出たここだけは気合いめちゃくちゃ
[01:14:03.360] 入ってんだけどねここのさこの悔しそうな
[01:14:06.639] この顔めちゃくちゃ気合い入ってるよね
[01:14:09.280] なんでここだけこんな消えれたんだろ叩い
[01:14:11.400] たら回らないのえ回んのあれ回んのえあれ
[01:14:16.320] 回ん
[01:14:17.520] のここ本当なんなのねえこれさ鞭短くね
[01:14:23.400] なんでこんな鞭短いの昔から時計通って
[01:14:26.320] 回る歯車あったじゃんなんか回んないね
[01:14:31.199] 回らない技術力がよくあああれだろう多分
[01:14:35.120] 技術力が追いついてないだけでこれ回って
[01:14:37.040] ないのファミコン版だったの回ってたな
[01:14:40.199] どっちかというとよつとかのアレンジャー
[01:14:43.080] の方が聞き応えあるし笑クロックタワー
[01:14:46.360] やってあクロックタワーやりたい
[01:14:48.199] スーファミ版やりたいヒーマンの
[01:14:52.159] やつ言ってくれるかなと思ったけど言って
[01:14:54.639] くれたね
[01:14:56.280] ヒューマンのやつ
[01:14:58.159] な毎回ドヤ顔で言うんだよなそれだけは
[01:15:01.080] 知ってる
[01:15:02.320] から俺が
[01:15:04.239] 珍しい詳しいねヒューマンて知ってるんだ
[01:15:08.480] ヒューマンて詳しい
[01:15:10.199] じゃん絶対言うようになったかいすぎ
[01:15:13.280] わかるめちゃくちゃ可愛いいよな
[01:15:15.920] ヒューマンのって絶対言うんだ
[01:15:18.290] [音楽]
[01:15:19.480] よそうプロレスとか出してたんだね元々
[01:15:22.760] ねヒューマンのやつてだってキマのしか
[01:15:26.280] ないもんれるヒマのしかないもんだっ
[01:15:30.600] て
[01:15:32.719] ほえ元々はプロレスとかなんだよなあそこ
[01:15:35.560] な
[01:15:39.280] 可愛いぱるでもやるんだったらやるんだっ
[01:15:43.159] たら絶対スーファミ版やりたいんだよね
[01:15:45.600] いくつか持ってるんだけど
[01:15:47.639] ねいくつか持ってはいるんだけどプレステ
[01:15:50.679] のやつとか持ってんだけどなんかやっぱ
[01:15:53.400] スーファミ版やりたいんだよな高いんだ
[01:15:55.760] けど1万以上するんだよなあれ箱説付き
[01:15:59.820] [音楽]
[01:16:02.480] でパソコンとプレステとかもあるんだっけ
[01:16:06.159] PCには多分ないけどプレステにはある
[01:16:08.159] プレステ版結構出てるねまもも属性続編と
[01:16:12.280] かはプレステそうなんだよやっぱそう
[01:16:14.960] 面白いレトロゲは高くなっちゃうよ
[01:16:17.440] なもし安く見つけたら買う
[01:16:21.560] わ前かりさんやってたんだよなあの人も
[01:16:25.679] なんだかいいゲームいっぱい持ってるよね
[01:16:28.840] いいゲームいっぱい持ってんだよなあの人
[01:16:32.679] なこの人もなかなかコレクターだと思うよ
[01:16:36.040] あんまり配信には映してない
[01:16:38.960] けど鋼とかやってたもんねいや1万円も
[01:16:42.760] あったら1万円相当の
[01:16:45.360] 郎も次郎が
[01:16:51.639] いるマザーも持ってるしなあマザーの何
[01:16:56.280] マザーワツ3え僕も持ってます
[01:17:02.080] けど負けじと負け
[01:17:06.320] じとマザーは大好きだよ俺
[01:17:11.160] [音楽]
[01:17:15.679] もかりさんにお願いしたらスフのクロッタ
[01:17:20.480] 送ってってあかちゃ送って送って
[01:17:25.480] ククタは置くてあ3はあるんだそう俺
[01:17:30.199] こないださメルカリ自分のアカウント見て
[01:17:32.280] たらすげえビビったわすげえビビった去年
[01:17:35.320] のじゃない昨年だね2020年の20年の
[01:17:39.600] 時に色々そその頃からレトロゲーム集め
[01:17:42.280] 始めてんだけどマザーのファミコン版のね
[01:17:44.920] マザーの箱説付き1500円で買って
[01:17:47.840] た信じられないだろ今あれ8000とか
[01:17:50.239] すんだぞ2年前あれ1500円で買えまし
[01:17:53.440] た俺やばくないビった自分で
[01:18:02.520] も
[01:18:09.040] レもうレトロゲームやばい
[01:18:11.800] ぜ欲しい時に買わないともう買えなくなっ
[01:18:14.800] ちゃう何これ
[01:18:16.760] めっちゃ外人がギター引てんだけどかこ
[01:18:20.320] いい
[01:18:25.560] かっこいいねコロナの
[01:18:27.639] 影響あそれも絶対あるよめっちゃかっこ
[01:18:31.400] いいねこれね絶対あるすごも需要じゃない
[01:18:34.639] のやっぱり後で聞くわこんばんは悪魔白の
[01:18:39.480] 黒だ乱さんどうもこんばんはそう悪魔の
[01:18:43.400] 悪魔城の黒歴史らしいですねこれなかった
[01:18:45.760] ことにされたゲーム悪魔城ドラキュラ漆黒
[01:18:49.480] たるプレリュードこれさなんかさゲーム
[01:18:51.719] ボーイで出たゲームってなかったことにさ
[01:18:53.320] れる率多くないカバーアレンジあそうなん
[01:18:56.040] だ悪魔白ドラキュラ外伝バイオハザード
[01:19:00.080] 外伝みたいな感じのなゲームボーイで出た
[01:19:02.679] そういうのってなんかなかったことにさ
[01:19:04.280] れるの多いよね何なんだろうねちょっと
[01:19:06.960] お前マジ性格
[01:19:08.560] 悪いま確かに出来は悪い気がする今まで
[01:19:12.520] ゲームボーイのやつ3作やってきたけど
[01:19:14.600] 1番1番なんかしょぼいなグラフィック
[01:19:18.520] がたゲームオーバーの時のグラフィック
[01:19:21.600] えぐいんだけど
[01:19:22.760] な登れないね
[01:19:25.940] [音楽]
[01:19:28.360] いやこの変な黒いのうざい
[01:19:32.159] わドラキュラっぽくねえんだよなああいう
[01:19:34.600] 敵とかもなんかさもっとドラキュラっぽい
[01:19:37.520] 敵っているじゃんなんか悪魔っぽかったり
[01:19:40.239] 何この気持ち悪い黒いなんか影みたいな
[01:19:42.400] やつずっと出てくるしなんかお腹痛くなっ
[01:19:44.800] てきたしなんかお腹痛くなってきた
[01:19:48.600] しあボスです
[01:19:52.000] かああボスだじゃこれあ死神やんはい
[01:19:57.239] ボイン巨乳アタックうんこ行ってきていい
[01:19:59.480] ようんこ行こうか
[01:20:01.920] [音楽]
[01:20:04.960] なちょっと待ってこれクリアしたらうんこ
[01:20:07.280] してくるまスタッフの実力不足ってやつ
[01:20:09.760] ですわねあそうなんだキデス様これデス様
[01:20:14.000] なのなんか変わった
[01:20:17.960] ね
[01:20:19.639] 弱おいあの普通さ悪魔城ドラキュラのさ
[01:20:24.040] あの
[01:20:25.520] デ様つったらめちゃくちゃ苦戦するんだ
[01:20:28.360] けどなめっちゃ弱かった
[01:20:31.280] ぞあンですあアンデス
[01:20:36.360] あBGMかっこ
[01:20:39.080] いいBGMかっこ
[01:20:42.500] [音楽]
[01:20:48.360] いいBGMかっこいい
[01:20:58.719] えこれコナミ派クラブでしょでも曲作っ
[01:21:01.040] てん
[01:21:01.760] のあこいつ死神ではなくて死神
[01:21:07.600] 執行あそうなんだあそうそうなんだわもう
[01:21:12.199] これ死ぬしかないやんけえなんかバグった
[01:21:16.080] なんかバグった
[01:21:17.320] よ何なんだったの今死神執行感なんだ
[01:21:23.620] [音楽]
[01:21:39.239] なんかこれなんかトの画像処理バグですな
[01:21:42.440] あレトフリ側のバグなんだ
[01:21:43.900] [音楽]
[01:21:46.760] これ実機でやんのが1番なんだろうけどね
[01:21:50.280] 最近配信でさ実機でやるのもいいのかなと
[01:21:53.719] 思い始めてんっててさめんどくさすぎるよ
[01:21:57.400] ななんかさ全部の機械全部もうなんか繋げ
[01:22:01.639] て
[01:22:02.440] ええなん
[01:22:04.560] でなんでよレトフリにデトあのなんか全部
[01:22:09.600] のゲーム機けるだけで映るようにしたいな
[01:22:12.800] なんかさここに棚作ってもうその棚をここ
[01:22:16.080] に持ってきてこう全部ファミコンとかここ
[01:22:17.960] 並んでてポチってつけたらそれが映る
[01:22:20.320] みたいな正直レトもグレーなとこあるまあ
[01:22:24.320] ねまあまあまあグレーなところはあるよね
[01:22:27.159] までもそんなこと言ったらレトロゲーム
[01:22:28.679] 配信全てグレーなんだけどね実機使っ
[01:22:30.400] てようが規約とか何にもないからさだめだ
[01:22:33.920] よっていうね開発もとか言ったらもうそれ
[01:22:35.719] までだしねでねそうそうそうそうそう
[01:22:38.040] セレクターで繋げたらどうでしょああでも
[01:22:41.199] 膨大な量だよね膨大な量必要だよね
[01:22:44.080] セレクターもねとんでもねえだって
[01:22:47.120] 1016機ある
[01:22:50.239] ぜそをさ全部さで電源も確保しなきゃいけ
[01:22:53.679] ないでしょ1個1個
[01:22:55.159] 無謀かなと思っ
[01:22:57.760] てま世の中にはグレーなものていっぱい
[01:23:00.639] あるよねでもそれをさ全て取り締まって
[01:23:03.880] しまったら本当に何も面白くないと俺は
[01:23:05.440] 思っちゃうねコンセントたね笑たんない
[01:23:08.360] ね普通になんかスパゲッティみたいに
[01:23:11.360] コードがあるよもうもうでももう俺今机の
[01:23:14.800] 下スパゲッティ状態だよえてか配信者のさ
[01:23:18.719] 俺企画でやりてえわ配信者の机のし
[01:23:22.480] 大会な優絶対片付けちゃだめでもこんな
[01:23:26.239] こと言でもこんなこと言ったら絶対奴らは
[01:23:28.440] 片付けそうだもん
[01:23:29.800] な絶対片付けの禁止
[01:23:33.360] でみんな一緒だろ
[01:23:35.960] どうせ1番人に見られたくないもん俺この
[01:23:38.719] 机の下地獄だからの自信あるいや俺もそう
[01:23:43.280] 俺もやばいいやみんなそうなるよなこれ
[01:23:46.639] マジでさみんな絶対配信者ってこうなるの
[01:23:51.159] よでしかもさ別やさ者じゃないけど絶望
[01:23:56.159] でし自分の後ろあのあれだろットボトル
[01:23:59.920] ならんうわなんだこれそれはやべえわお
[01:24:03.880] それはやばい片付けた方がいいだろそれは
[01:24:06.760] なんかあのなんか残り汁とかがこぼれたら
[01:24:10.000] なんか下手したら火災とかになりそうだ
[01:24:13.230] [音楽]
[01:24:14.600] しなぜか今綿棒落ちてる
[01:24:18.159] よおあれもしかして俺綺麗かもあごめん
[01:24:21.639] なんかごめんなんか誘導尋問しちゃってお
[01:24:24.400] 汚ねえなおめえらきたねえな俺ごめん綺麗
[01:24:27.560] でないもんそういうの1000しかないあ
[01:24:29.400] よかったなんか炙り出せたわ俺俺実は綺麗
[01:24:32.639] です何もない配信者じゃなかったらなてえ
[01:24:37.360] マジでも誇りは俺もやばいかもあんまり目
[01:24:40.639] についた時はねたまにマッサージ用の綿棒
[01:24:43.440] 落ちてるよ何マッサージ用の綿棒てあ綿棒
[01:24:47.639] ってそっちのメボ何綿棒あのの
[01:24:50.880] ネットワーク
[01:24:52.040] さけハードディスクとかめちゃけてるも
[01:24:56.199] ひどい目も当てられないワもしかないまあ
[01:24:59.719] ねあのあれだよ色ちゃんもワもまだいい
[01:25:04.440] じゃんレトロゲー配信者じゃないじゃん
[01:25:06.560] レトロゲー配信者はゴロゴロするあ
[01:25:09.520] なるほどねうちのお母さんも昔やってたわ
[01:25:12.440] えもしかしてお母さん俺のねここ超むずい
[01:25:15.199] なあいつどうやってすねんあれあの変な槍
[01:25:17.960] 持ってるやつどうやってすのパソコンの裏
[01:25:21.040] はえぐいよ
[01:25:24.600] けどねいやそうなるよねまだ顔出し配信し
[01:25:28.719] てる分部屋はなんとかさちょっとは綺麗に
[01:25:31.239] 保たねえと配信に映せねえからさ気にし
[01:25:33.280] てるけどさなんでドム無視するの
[01:25:35.440] こんばんはえ何なんでさんごめんポンとか
[01:25:38.480] 使えいっけ嘘ですなんだよなんだ
[01:25:43.639] よ何その嘘一番立ち悪いのはドサブポンも
[01:25:48.560] 抜けるとネットワーク壊滅するというぷり
[01:25:52.320] 笑笑そんなだから2万もかけてB退する
[01:25:55.840] ことになるんだよ部屋さん20ぐらいつい
[01:25:58.920] てるね俺もあれあれ見てくそ笑ったわね
[01:26:04.119] あれ見てクソ笑ったうちのあのモのあの
[01:26:09.239] ワタルから入ったやつだよ係ないあのね
[01:26:12.600] ゴキブリ退治ゴキブリが部屋に出たらしく
[01:26:15.440] てなんか自分じゃ退治できなくってなんか
[01:26:19.159] 業者を呼んだらしいのねるななんと
[01:26:21.920] 2万2000円取られたらしいゴキブ1匹
[01:26:25.880] に無ですいや高い2万2000は高い
[01:26:31.320] 2万2000は本毛だわそのゴキブも
[01:26:34.440] 2万2000円かけて殺されたら本だろ
[01:26:38.080] だったんだよあいつやばすぎでしょそれ
[01:26:40.520] られてないいやま半分ぼられてるよな
[01:26:43.960] さすがにな何日なのそれ何日なのその
[01:26:49.040] 2万2000円薬剤巻いたとか言ったる
[01:26:51.320] けどさ
[01:26:54.360] すごすぎでしょさすがにさすがに出ないな
[01:27:00.000] 2万2000円天井ごきごきに
[01:27:03.239] 2万2000円は出ないでしょ俺も超苦手
[01:27:06.600] だけどさすがになよくそんなそんな業者
[01:27:09.719] あるんだねあの夜中に何これ
[01:27:12.320] 何日なんだよ何日なんだよ2万2000
[01:27:15.560] 引越しの時中でそれくらい払っ
[01:27:18.280] [音楽]
[01:27:20.800] た20分できてゴキブ探して猫でも大丈夫
[01:27:25.000] な薬剤まて出したをぶっ殺したすそ夜でも
[01:27:29.320] 20分に来るってことはどこに住んでの
[01:27:32.239] その人の曲もいいけど音源の扱いが追いし
[01:27:35.600] てない早かったよ
[01:27:38.800] ええそういう業者がいるんだねそういう
[01:27:42.600] 業者がいるんだ
[01:27:45.040] ねすごいな猫ちゃん買ってるから殺剤ぶち
[01:27:49.679] まねまあねそうだよね
[01:27:53.400] [音楽]
[01:27:54.520] 猫が取ってくれんじゃねのすごいよな
[01:27:58.880] ゴキブ匹ぶっ殺してくれれ夜中に10分
[01:28:03.280] でける呼び出されて
[01:28:05.840] さ呼び出されて
[01:28:10.800] さすごいねいい商売だなでもん
[01:28:19.500] [笑い]
[01:28:28.480] 処理だけ2万2000円稼げるんだよね
[01:28:31.480] はめちゃくちゃいい仕事じゃん職見つかっ
[01:28:35.400] た
[01:28:36.520] なや俺でもやるわだったら俺でもやるね別
[01:28:40.719] に俺もだ
[01:28:43.400] けど
[01:28:45.850] [音楽]
[01:28:47.159] TTに2を破壊
[01:28:53.050] [音楽]
[01:28:54.320] からな笑Twitterでやり取りした
[01:28:56.639] 焼肉奢るって何それ絶対無理だ2万払って
[01:28:59.520] もやってもらうマジで自分は自に抵抗ない
[01:29:02.800] から叩い込めたりああ抵抗はめちゃくちゃ
[01:29:06.080] あるけどでもねあるけどでもそんなそんな
[01:29:10.159] 業者呼ぶのすごいな万払ってもやっても
[01:29:13.119] へえまだ今年見てねえな年に1回は見るよ
[01:29:16.520] ね1回は見る友達おらん
[01:29:21.080] から何それありがとうございますつって
[01:29:24.119] 今年の5月だったか5月に足長バと
[01:29:27.199] スズメバチが玄関の軒下ニスを作ったから
[01:29:30.719] 夜中にぶち殺した無理なんよ業者じゃない
[01:29:34.400] ムで
[01:29:35.760] のあむわムで怖ムでなんか見たことねえ
[01:29:39.639] けどリアルで
[01:29:41.600] 俺足長バやばいね進むバもやべえけどどう
[01:29:45.800] やって殺したのスツ俺1人暮らし始める時
[01:29:48.639] 虫出たら怖いから絶対虫出なくなる薬品
[01:29:52.119] 巻いてもらって持出たら大に来るサービス
[01:29:54.880] 使ったええそんなのあるんだえ何絶対虫が
[01:29:58.679] 来なくなるやつて何覚悟せやとひどい目に
[01:30:01.320] 合わせる笑もやばいよあそうなんだム見た
[01:30:06.280] ことないムなんて人の家に出るもんじゃ
[01:30:09.159] ねえだろあれ砂漠とかじゃねえのあれが出
[01:30:11.159] てくんのってムて人に出てくん
[01:30:15.159] のろはいチスチスさんこんばんは黒歴史
[01:30:18.960] ゲーやってますにめてえそ
[01:30:24.239] が眠っている間にに刺されてすごい晴れて
[01:30:27.840] い砂壁だったから引越しで何
[01:30:32.119] も
[01:30:36.639] 越何それ
[01:30:39.000] そんけど燃えるように痛かった
[01:30:43.239] よ漢字ちげえじゃねえか何燃えてんだ興奮
[01:30:47.280] すんな砂壁だあとかも普通に歩いてるよ壁
[01:30:51.600] を燃えるえんで砂壁え
[01:30:55.119] なんで砂壁だと来るんだろうね砂だと穴
[01:30:57.199] 開いちゃうってこと穴開いちゃうって
[01:31:02.000] ことないか
[01:31:06.800] なとか自分の出身地が田舎なので当たり前
[01:31:10.840] にてるの
[01:31:14.480] でぶちんだりとやったな
[01:31:18.480] マジでえ意外と虫すげえにんでるね
[01:31:24.880] 未だにボットン便所の家だからうちなんで
[01:31:27.520] そこまですん
[01:31:29.550] [音楽]
[01:31:30.920] ねええ未だにボット面上
[01:31:35.119] へえへえなんか俺って思ったより田舎じゃ
[01:31:39.080] ないのかな栃木って栃木って思ったより
[01:31:42.159] 田舎じゃないもしかしてムなんて見たこと
[01:31:45.400] ねえ
[01:31:47.639] ぞあんなん家に出たら引くよな泣いちゃう
[01:31:51.320] よ俺あんなキモい虫でも殺したくないうわ
[01:31:54.119] 優しいね優しいねまあ小さいし殺した人間
[01:31:58.840] はいっぱいいるんだろ
[01:32:00.080] 多分こうやって彼女は言ってますが殺し
[01:32:02.520] たい人間は多分いっぱいいるでしょう
[01:32:07.920] 笑笑ちょっとでも力残ってるとんでくるの
[01:32:11.480] でそれすらさせないくらいにするのです
[01:32:15.280] 笑笑笑虫でしょうね殺すもはごめんねて
[01:32:20.080] 言っちゃうじちゃん家であが出たたら本当
[01:32:24.520] に全くいなくなっながら罪悪感覚えました
[01:32:28.320] アリノスコロリってなんだえみんな虫虫に
[01:32:32.639] 虫に対するあれが色々あって大変だ
[01:32:41.040] ねゴキブリぐらいしかないかななんだかん
[01:32:44.639] だ念にわジャンプできだこしてほっ
[01:32:49.920] とくまだ雲は俺もいいななね飛ばない
[01:32:53.480] からい飛ぶはマで勘弁しゴキブとか
[01:32:58.040] さけるそう雲はまだ俺も落ち着いて対処
[01:33:02.080] できるね別に友達そうはまだなんかく
[01:33:07.920] こんばんはは友達の家でめっちゃ出てた
[01:33:13.199] めっ
[01:33:15.800] あじ
[01:33:18.400] ちゃんちゃんのGoogleマッでれば
[01:33:21.880] 分かるけどあこ
[01:33:26.679] ぴぴ飛ぶ置し
[01:33:31.480] てる
[01:33:35.520] 怖かって
[01:33:39.719] くるなっ
[01:33:42.040] たんこんばんはさんこんばんは
[01:33:48.119] ゴキ食うから
[01:33:51.920] ねないからいいよな
[01:33:54.239] に嘘だよじちゃん帰ってきてなんかあの人
[01:33:57.480] の前に出てくる時はのを食べた後らしい
[01:34:01.440] ねとか地球防衛軍かな
[01:34:08.040] ええ地球防衛
[01:34:11.119] 軍そういやちゃまさんドラクエ10買うの
[01:34:14.520] かなああ買う買うよ買う
[01:34:18.960] 買う買うんだけどちょっと残念だねあれね
[01:34:22.719] デフォルメキャラなの残念だね別いいんだ
[01:34:25.040] けどね面白ければいいんだけどなんとなく
[01:34:27.000] なんかやっぱリアルなやつでやりたかった
[01:34:28.440] なてげるURテレビ
[01:34:35.440] ブルコもう読むのれたなのでかにる何で
[01:34:40.280] なくなるこは
[01:34:45.639] な
[01:34:47.639] やばにこなんか奥さんと見たらやばい
[01:34:52.119] んじゃない
[01:34:54.520] ならない大丈夫これ顔やべえあれン1でも
[01:34:58.400] 8500でバージョン2セットの
[01:35:00.520] デラックス版1万2000円はするらしい
[01:35:03.600] あそうな
[01:35:05.760] 高高フルプライス
[01:35:08.040] だで見送ら
[01:35:11.080] れるあれなんだっけじちゃんじちゃんが
[01:35:14.639] 言ってたんだねこれねあのなんか俺が倒れ
[01:35:17.239] てアパートに
[01:35:20.239] あの呼んだ
[01:35:24.800] たって面白すぎでしょその
[01:35:28.080] エピソード息子がお父さんを運んでく救急
