[00:00:00.280] 詳しい
[01:03:31.400] たてかお菓子あん
[01:03:36.359] ねんリーム
[01:03:39.160] さん蜂蜜牛乳ドーナッツ1番うまいこれが
[01:03:43.520] これでハリボテさんのこと少し太って
[01:03:46.160] るって言ってたうん言っ
[01:03:48.920] たちょっとぽっちゃりしてるやつセブンの
[01:03:52.480] サラダスティック食べようローソンや
[01:04:05.839] 誰が腹ボテやキム下ろしに行かなあ
[01:04:09.920] かんキムお腹残ってるの可愛かっ
[01:04:19.319] たキおろすって何やねん
[01:04:39.559] 笑笑合わねえななかなか
[01:04:44.839] なんかこっから難しくなりそうな気が
[01:04:51.839] する昨日のお寿司食べようかな何昨日の寿
[01:05:04.119] ってオここだ
[01:05:10.400] 何アメ
[01:05:12.880] ちゃんあめちゃんマジかよありがとうなさ
[01:05:19.160] ないサブありがとうサブスク
[01:05:23.119] 嬉しいいやありがたいですね
[01:05:26.680] あめちゃいつもありがとなナイサー球
[01:05:31.200] バレないない
[01:05:35.559] ナイサーありがたいっすよねこういう風
[01:05:38.359] にサブスしてくれんねん
[01:05:42.839] でちょっと待ってここどうなってん
[01:05:46.839] のなんくるないさバレーのサーブ前かな
[01:05:51.520] ナイさって
[01:05:57.039] ナギーナビもある
[01:06:02.400] よどうなってんのここあこう
[01:06:10.039] かナイスキーっていうのもあるよね
[01:06:15.060] [音楽]
[01:06:18.599] バレあここくっつくやんけやっぱり
[01:06:30.559] うん
[01:06:32.599] うんうんうんうんこう
[01:06:37.160] ねすげえちゃんと埋まってきてる神
[01:06:43.039] たてる人いしいんでバレの話
[01:06:47.559] だなんでバレの話だめの
[01:06:58.190] [音楽]
[01:07:08.400] 犬コロ仲間来
[01:07:11.079] たブりボ襲われたのバレブの先輩だ
[01:07:16.880] から
[01:07:18.839] それあそうな
[01:07:22.240] の知らんがな
[01:07:26.110] [音楽]
[01:07:27.599] が
[01:07:28.680] なバレーに罪をすりつけるな人それぞれ
[01:07:32.440] 地雷あって難しい
[01:07:37.960] ねお前の地雷踏み抜いでく俺が邪魔ゲーム
[01:07:44.960] です
[01:07:45.880] よ
[01:07:47.720] コメント返し
[01:07:49.760] てなげなく傷つける
[01:07:55.170] [音楽]
[01:08:01.160] うまいお前への地雷をなんとなく踏み抜い
[01:08:05.559] ていきますよでもね悪気はないんですよ
[01:08:11.480] 許してください
[01:08:15.550] [音楽]
[01:08:17.719] ねねえ
[01:08:21.199] なバレーというかただのクだからそれ
[01:08:26.040] うんバレーブ関係ないなそれバレー関係
[01:08:29.319] ねえよそれ笑笑ちゃまさんさなんす
[01:08:39.520] か的確なコメントありがとうほっちんでも
[01:08:43.480] 結構良かったよお前も喜んでじゃねえか
[01:08:45.719] 襲われたって言うなじゃあもうそれわかん
[01:08:47.679] なよもうそれそれもわかんです合意の上
[01:08:51.759] だろそれ
[01:08:53.159] もそういうプレイじゃねえ嫌な話とかも
[01:08:56.799] すっ流してくれるから好き2度
[01:09:00.120] てる俺に関係ねえ
[01:09:02.960] もん俺リスナーがリスナーな嫌のリスナー
[01:09:06.520] の嫌な思い出とか俺関係ねえしあそうなん
[01:09:10.080] だあはは終わりだちょっといじって
[01:09:15.480] 終わりまえエリカがあのあの風俗だけ
[01:09:20.560] キャバ嬢にぎまくってあ自己破したのは
[01:09:23.080] もうめちゃくちゃいじるけどねめ
[01:09:26.400] ねだてそこで一緒なたかわいそうだね大変
[01:09:29.719] だねなんて言って何なんのてかさ興味ない
[01:09:33.319] 話何にもなんないじゃん邪ふん
[01:09:37.719] ふんごめんなただそんくらいでいいんだよ
[01:09:41.799] おめえらが話す時もさそんくらいのあれで
[01:09:44.359] だあれで話せばいいんだよ別にそんな
[01:09:47.759] ルールなんかねえんだから
[01:09:56.560] 助かるうんそんくらいの方が話してて楽に
[01:10:00.000] なる行ったたた
[01:10:02.800] た借金
[01:10:05.560] 返せ借金返せよその女に貢い
[01:10:11.199] だ裁判所行け裁判所笑
[01:10:17.280] 返せこの流れいいですね笑はしたんじゃ
[01:10:22.040] ないの
[01:10:23.239] かそうなでは触れねえよ
[01:10:26.880] なだから自己破産したんだよな今もしなん
[01:10:30.480] じゃない笑開きな女
[01:10:34.800] 笑ないではくれねと相談
[01:10:38.719] 中
[01:10:40.360] 笑笑いいよね
[01:10:42.520] 笑笑いいじゃねえかよそんくらいでいい
[01:10:45.760] じゃねえか
[01:10:47.640] よナイソでは触れねえんだよそれマジで
[01:10:50.120] そう返せつたってねえもはねえもんな
[01:11:01.400] いって相談自体はそんなかからないん
[01:11:07.159] じゃうんこれなんだろうここかおがなんか
[01:11:11.760] わけわかんないこ友人数回行って終わって
[01:11:16.239] たえこれ
[01:11:18.880] 何バルザックの羽がなんかほいみんああっ
[01:11:24.000] てんじゃん
[01:11:28.570] [音楽]
[01:11:29.920] 見せてごらん友人は何に金つかったの
[01:11:46.160] [音楽]
[01:11:51.440] デリもうサクサク埋めてくぜ
[01:12:00.950] [音楽]
[01:12:04.120] ちゃまさんまだスタンプの枠開いてるうん
[01:12:08.320] 開いてるけどアップロードに23ヶ月
[01:12:11.600] かかるよバンされたから何書いてくれんの
[01:12:13.760] え本当
[01:12:14.760] ありがとうまだ何も言ってないの
[01:12:17.360] にまだ何も言ってないのにえ帰ってくんの
[01:12:20.679] やったありがとう待ってる楽しみだった
[01:12:30.199] どんなんがええのニコ速攻でかくからね
[01:12:34.159] 売ってもの財産が残るとかでよくわからん
[01:12:37.960] けどどういうのがいいか
[01:12:41.719] などういうのがいいか
[01:12:46.000] な
[01:12:47.679] ル体長戻ったら自分のと合わせてガって
[01:12:51.400] 書くのニコスタンプ内容言って次の日の朝
[01:12:55.600] にはドム来たよていうか体調悪いんか
[01:12:59.570] [音楽]
[01:13:03.480] おめえすっげえ
[01:13:06.600] すごいなモンスター飲んでるモンスター
[01:13:10.600] 書いてあげなよ仕事
[01:13:13.230] [音楽]
[01:13:16.520] はええ無理すんなよ無理すんなこれ気に
[01:13:19.719] 入っ
[01:13:21.440] てるどちっちゃあおやみ
[01:13:26.390] [音楽]
[01:13:36.159] これもんじゃだよ
[01:13:37.700] [音楽]
[01:13:41.560] ねなんだこのどんぐりみたいなつけてる
[01:13:44.199] やつにこちゃんは好きな人のために仕事が
[01:13:47.679] 早くなる女の子なるほど
[01:13:51.120] ねありがたいっすね
[01:13:54.980] [音楽]
[01:13:59.520] てかフォロワースタンプが他でも使えるの
[01:14:02.120] よいそうだ
[01:14:05.159] ねで俺フォロワースタンプアップロード
[01:14:07.679] できねえんだ1個枠開いてんのに
[01:14:10.120] インスタントアップロード券剥奪されてる
[01:14:11.920] からそうそれ助かる4つしかねえんだよ
[01:14:15.120] うちの
[01:14:16.120] チャンネル良かったよ4つアップロードし
[01:14:18.440] とい
[01:14:18.850] [音楽]
[01:14:23.639] てんでですかうんケツ出してバンされた
[01:14:27.960] からお尻出してバンされたからだ剥奪笑笑
[01:14:32.000] うんお尻出してバンされたらありがたい
[01:14:34.159] ことに採用されたの
[01:14:36.639] につ何
[01:14:40.719] ああそっか米国さんも絵かけるもんね俺の
[01:14:44.679] 俺のだってあれだもんあのTwitter
[01:14:46.480] のあのMサイズのパンはアーダコーだって
[01:14:49.239] やつてれるあれあの米国さんが書いてくれ
[01:14:52.360] たんだよな惣パンのや好き笑え
[01:14:57.320] うかい笑笑いつ見てもあれ
[01:15:01.080] 好きあの言葉ちゃんと僕が配信中に言った
[01:15:04.320] やつです
[01:15:08.199] よちり出したちゃまちゃん一等
[01:15:12.199] しバンされちまったら
[01:15:16.239] なえこのさどんぐりみたいなの
[01:15:21.120] 何なくね
[01:15:28.080] あ行ったお前かよお前か中剥奪確定
[01:15:32.360] スタンプですいやなんかね永久じゃねえと
[01:15:34.719] 思うんだけど確定スタンプって何なんでも
[01:15:37.199] いいよあああジキ下ろして食い物Vして
[01:15:42.040] くるいってらっしゃいいいもん食えよ
[01:15:45.199] たまにはクリスマスぐらいいいもん
[01:15:50.679] 食えよ
[01:15:53.480] VVV
[01:15:59.800] 橋元連のお母さんは帰るに似
[01:16:05.960] てる橋本連のお母さんは帰るに似
[01:16:17.239] てらニとらんは笑い似てるよカエルみたい
[01:16:20.840] な顔してねうちのお母さんお母様美人
[01:16:22.760] じゃんうちのお母さんカエルみたいな顔し
[01:16:24.520] てないなんか口が横にびっつってなんかく
[01:16:26.920] てゲロゲロつって泣くんだ
[01:16:32.880] よカルに似てる前から思ってるお母様の
[01:16:37.840] プライバシーのためにクリップしようか
[01:16:40.080] 悩んだわお母さんにそんなこと言うな
[01:16:43.560] よお母さんのことめっちゃ好きだよ俺ちょ
[01:16:46.639] 待って俺お母さんにあのババーとか一言も
[01:16:49.760] 言ったこと
[01:16:50.960] ないうんおさんめっちゃ好きやで俺
[01:16:55.719] あお前かやっと見つけた
[01:16:59.120] よまあそうだろうねうんま子家庭だし
[01:17:05.600] ね前何かで見た写真すごく綺麗な方でした
[01:17:09.320] よ
[01:17:10.920] ねいでも買えるっていうそれの愛のあるや
[01:17:14.239] だろ愛のあるやだろうよそれは別にそんな
[01:17:21.880] なんかカエルに似てるよねみたいなみたい
[01:17:25.480] な感じで1番バばっていいそうなのに言わ
[01:17:28.320] ないの良いね俺言ったことないそんな
[01:17:32.000] こと娘よりも細い眉に闇を感じまし
[01:17:37.639] た何何何娘より
[01:17:41.120] もそそうだったっけうちのお母さんも
[01:17:43.800] なかったよ娘より細かっ
[01:17:48.239] たちゃまくいい子ですこそうだよいい子だ
[01:17:52.280] よいい子にならざるえねえんだだ
[01:17:55.679] なあこのモーニングスターは
[01:18:01.800] 一体ここ
[01:18:05.450] [音楽]
[01:18:07.040] だあまだ指導のパーツある反対に行か
[01:18:11.800] なかったのすごい息に好きて言われ
[01:18:15.239] たいいやいやほっ思ってるよ思って言わ
[01:18:18.679] ねえだけど思ってるよ言われてんだったら
[01:18:21.360] え息子何歳
[01:18:26.159] よあまあプライバシーであれだったら言わ
[01:18:29.520] なくてもいい
[01:18:30.800] けどちっちゃいの
[01:18:40.920] まだちょっとわかんねえなこれ
[01:18:51.760] なブンブン
[01:18:57.719] ププいやまだ3歳
[01:19:00.719] 笑笑そんくらいでまだあれだよねえ3歳で
[01:19:04.719] も喋れるよね普通に
[01:19:06.320] ね言ってくれるんじゃねのになってから
[01:19:09.080] 言われたい歯車で流れるとれあなんで歯全
[01:19:13.760] 普通だろ
[01:19:18.159] これ可愛い歳じゃんか20歳以下の息子が
[01:19:22.199] 好きって言ったら逆にやばいですよ笑
[01:19:25.360] ちょっと前の
[01:19:26.760] [音楽]
[01:19:29.400] やつれこれなん
[01:19:31.880] だちっと巻き戻し
[01:19:34.679] ていい
[01:19:36.760] よいい
[01:19:38.920] [音楽]
[01:19:40.880] わおこと
[01:19:43.260] [音楽]
[01:19:48.639] 一緒分かったでも世の中娘であるとお風呂
[01:19:53.560] 入る父親もいくらいだからああいるいる
[01:19:57.440] だろうね中にはね別にそれが当たり前と
[01:19:59.880] いう
[01:20:01.710] [音楽]
[01:20:06.679] かあ何これここじゃない
[01:20:17.199] のこうかなるほど
[01:20:22.239] いやもうここまで来ると取ったが取った
[01:20:25.480] やつが手に取るように分かるよと取った
[01:20:28.639] 取ったやつがあのなんつうかもうすぐ
[01:20:32.440] ポンポンはまっ
[01:20:33.679] てくもうこれはもうクリア同然です
[01:20:39.199] ねどこだろ
[01:20:49.000] これそれは今までの習慣を外す機会が
[01:20:52.520] なかっただけまあ父親がは100%エロで
[01:20:56.000] できてるだろうが笑行ったそばから笑大体
[01:21:00.440] できてくるとはまってきて気持ちいいよね
[01:21:03.400] うんでもこれわかんねえ
[01:21:05.719] わこれどここんなの
[01:21:10.120] あるこのなんかさワンダーエッグのメカ
[01:21:13.520] バージョンみたいなここの見せて
[01:21:14.970] [音楽]
[01:21:19.840] ごらんこうなのかこうなのかちょっと
[01:21:21.960] わかんねけどトくだ
[01:21:29.639] てなんかメタスラだろうな
[01:21:33.360] はいメタスちょっと年賀状出してきますね
[01:21:37.159] 頑張ってくださいわかめちゃん豆だねま
[01:21:41.000] 年賀状ってまだ出してるんだみんなすごい
[01:21:45.159] な行ってらっしゃい気をつけて
[01:21:52.239] ねえどこ
[01:21:57.000] 間違えて画面閉じたった何やっとん
[01:22:01.639] じゃんしょうがねえなもう1回見してやる
[01:22:04.320] よアメさん行っ
[01:22:07.360] てらっしゃいこのなんかさ
[01:22:09.280] メカメカツクール
[01:22:15.610] [音楽]
[01:22:28.199] おはようメタル
[01:22:30.120] ハンターひさんおはよういやメタル
[01:22:32.520] ハンターはないねあのこの中にいない
[01:22:36.840] おはよう
[01:22:38.530] [音楽]
[01:22:45.000] ルえこれ何だろうねマジで
[01:22:54.150] [音楽]
[01:22:59.440] ええ1もしてないのあランディおはよう
[01:23:03.440] うん一もしてない
[01:23:05.199] よたらだよもう2030時間ぐらい起きて
[01:23:10.040] ます30時間起き
[01:23:12.560] てるメタスラじゃねえっ
[01:23:16.360] てメタスラではない気だな笑笑慣れちまっ
[01:23:20.960] たんねメタメタ金でもない
[01:23:27.490] [音楽]
[01:23:30.239] あニコごめん分かっ
[01:23:32.080] たここでした
[01:23:35.960] こここのなんかメタルメタルなんだこ
[01:23:40.280] なんか悪魔の騎士メリークマじゃなんなの
[01:23:43.960] さなんか悪魔の騎士の肩ごめんなニコ
[01:23:47.920] ごめん
[01:23:48.880] ニコ2個勝率低いな
[01:23:54.470] [音楽]
[01:24:00.400] が黙ってたのに
[01:24:03.320] 笑めちゃんあんおはようです
[01:24:06.520] よおはようです
[01:24:09.390] [音楽]
[01:24:12.120] よメリ
[01:24:16.600] クリスマス勝率低いなとしっかり言葉で
[01:24:19.760] 伝えていく笑笑
[01:24:23.070] [音楽]
[01:24:25.320] もうここら辺まで来たらあとはもう
[01:24:27.040] ちょくちょくこうやってはめてくだけだ
[01:24:30.239] よまこれまた時間かかりそうだけどな
[01:24:33.800] スマホなんだ
[01:24:35.390] [音楽]
[01:24:39.480] もんま探してくくれるのありがたい
[01:24:43.119] よ遅延なんだ
[01:24:45.960] もん努力は本当にありがとうでも勝率は
[01:24:50.320] 低いな
[01:24:54.280] [音楽]
[01:24:56.320] 遅えぴパソコンでも全くわからんから
[01:24:59.480] 分かるだけすごい
[01:25:01.880] わ7秒くらいラっ
[01:25:04.760] てるラグってそれ俺のせいなんか
[01:25:10.719] な
[01:25:12.560] おはようはるさんおはようはるさん
[01:25:15.639] おはようしこりもなくやっとるでまだ
[01:25:20.000] スマホは仕方ないねどの配信もそう
[01:25:24.440] 問題だと
[01:25:25.370] [音楽]
[01:25:39.719] 思うあここ
[01:25:43.679] ね私の場合元々モンスターが分からない
[01:25:47.400] から思い込みがなくて見つけやすいのかも
[01:25:50.040] しれん昨日の夜にちらっと開始時点見て寝
[01:25:52.920] たけどだいぶ進んてるね頑張ってる
[01:25:55.850] [音楽]
[01:25:57.239] でしょなんかこの辺この辺ってこと
[01:26:04.100] [音楽]
[01:26:06.719] 頑この辺のなんかこれって何のパーツなん
[01:26:09.800] だろうなんか繋がる
[01:26:11.400] ねこの辺のこのさなんか緑の白いラインっ
[01:26:16.199] てこれなんだろうね緑の白い
[01:26:18.360] ライン結構余ってんだよどこにも手つけて
[01:26:21.000] ないんだろうな多分俺どこのパーツだこれ
[01:26:28.719] こんなはいにこさんがもっかと言って
[01:26:32.119] いる2個いい
[01:26:34.920] よえ2個いいよはまってないとこが
[01:26:38.520] グラグラしてると早くはめて安定させたく
[01:26:41.280] なるそうだ
[01:26:43.360] ねピサロらへかな
[01:26:48.480] あ
[01:26:50.080] ああ
[01:26:56.000] えこんなのあるかこんな
[01:27:00.159] とこニコサービス問題サービス問題こんな
[01:27:04.560] 多分すぐ分かると思うよ俺は見つかって
[01:27:06.159] ねえ
[01:27:07.719] けどなんか緑の緑にこの白い
[01:27:11.360] ラインこうかなわかんない向きはまた
[01:27:14.119] わかんねえけどこれ
[01:27:18.480] な
[01:27:21.440] オよしってこい
[01:27:27.480] あニごめん見つかった
[01:27:30.360] わごめん見つかったここ
[01:27:35.400] [音楽]
[01:27:39.639] だはよ笑笑
[01:27:43.119] わ笑笑ひどいな笑笑じゃひどいですよそう
[01:27:49.000] キラーマシンの剣だわキラーマシンの
[01:27:51.960] 剣よし次
[01:28:00.960] トゥルトゥルトゥルトゥル
[01:28:08.159] 角と言われたら角にも見える
[01:28:12.719] 笑次
[01:28:14.790] [音楽]
[01:28:20.480] はニコニコこれ
[01:28:28.160] [音楽]
[01:28:35.520] なんかこれなんか赤い爪みてな横かな
[01:28:38.800] わかんねえけどなんかなんかの爪だと思う
[01:28:40.760] んだ
[01:28:41.400] けどニコニコこれ
[01:28:44.119] なすていなくなっちまったもんラプソンっ
[01:28:48.119] て爪ない
[01:28:50.199] でしょこれはサービスだねドラゴンみたい
[01:28:54.560] なタイガーみたいな
[01:28:56.520] やつ
[01:28:58.199] ああおおドラクエのパズルドラクエのこと
[01:29:02.040] を知らないとつんじゃいそうそうだねこれ
[01:29:04.320] 辛いだろうね知らなかったら
[01:29:06.880] ニコやるじゃんあいたやる
[01:29:11.000] じゃんやるじゃん
[01:29:13.480] うんそういうこともあるんだなたまにはな
[01:29:18.760] 太陽やります
[01:29:21.000] ね太陽
[01:29:26.600] この辺とかもう
[01:29:28.199] さ不思議なメダルで小さなメダル映ってく
[01:29:31.520] から速攻分かると思うんだよね太陽
[01:29:34.239] ライオン
[01:29:36.639] だたこれどこだろう
[01:29:55.040] わかん
[01:29:57.600] ねえわかん
[01:30:01.320] ない小さなメダル映ってんだよ
[01:30:08.040] なURL省略テレビを
[01:30:13.000] レアル81
[01:30:15.610] [音楽]
[01:30:18.880] 47さっき見つけたやつ
[01:30:22.040] ラムタこれ
[01:30:26.760] スライム
[01:30:28.800] タワーいやちげえな
[01:30:32.890] [音楽]
[01:30:38.480] 違うさっきのサービス問題のクリップああ
[01:30:43.840] ありがとうクリップ職人だ
[01:30:47.440] なスライムタワーもうできてた笑
[01:30:56.080] 見て
[01:30:59.600] え
[01:31:11.480] ビルごめんもう出なきゃなのに全然準備
[01:31:15.040] 終わってないから本当に潜る見てるから
[01:31:18.719] 大丈夫だよ全然準備終わってねえのかよ何
[01:31:23.159] してんの
[01:31:25.199] 仕事頑張れ
[01:31:27.760] よ笑笑回って事故ったりしねえようにな
[01:31:31.520] 優しいな
[01:31:33.320] 笑
[01:31:37.920] うん仕事頑張れよどこだこれあくいさんや
[01:31:43.719] んスライムの口のとこ
[01:31:46.920] はあスライムの口んところオルゴでミラ
[01:31:52.119] 右オルゴで
[01:31:54.639] ミイラ
[01:31:57.180] [音楽]
[01:31:59.119] 右いや違うねオルゴでミラ右じゃないよ
[01:32:03.199] ここでしょ違う違うこ赤い変なさ見たら
[01:32:06.520] 映ってねえ
[01:32:08.080] もんキラ左キラマキラマ
[01:32:13.320] 左戻ってきましたどんどん形になってき
[01:32:18.119] てるキラマ臭いねあそうだラ
[01:32:23.960] だわエさんそうそうそうすごいしょキラマ
[01:32:27.800] 左だ
[01:32:30.480] わキラマ左なんだけどまだ置けないから
[01:32:33.920] すごいやんにこ
[01:32:38.000] ほっほっほまこんなかこの辺この辺って
[01:32:40.880] こと
[01:32:46.560] でラプソーンとかそろそろちゃん率上がっ
[01:32:50.159] てるやん
[01:32:54.400] ラプソーンとかそろそろ行ってみよっか
[01:32:58.290] [音楽]
[01:33:01.280] なじゃもう個もう1個わかんねえのがあん
[01:33:05.719] す
[01:33:07.840] よもう1個わかんねえのがあるんす
[01:33:15.040] よなんかやたらカラフルなこの1枚なん
[01:33:18.480] です
[01:33:20.639] けどしかしあと少しで12時間
[01:33:24.320] 半日立っ
[01:33:25.639] ちゃういいんだよ別に半日足ろが何だろう
[01:33:28.920] がマト君高の見物しやがてラプソーンの
[01:33:32.920] 右手かなラプソーンの
[01:33:37.670] [音楽]
[01:33:39.520] 右手いや違うなピサロの上かなとんでも
[01:33:44.840] ない
[01:33:45.600] よ違う
[01:33:51.679] ね見てなかった
[01:33:54.840] なんで見てねんだ
[01:33:57.320] よメラゾーマの
[01:34:01.600] 手あうお
[01:34:06.040] 疲れ違う
[01:34:08.320] ねボンバさんお疲れボンバさん反転させて
[01:34:12.520] 右手首
[01:34:18.639] 手首
[01:34:21.480] んプルプ
[01:34:24.600] プププメリクリそしておやみメリクリいい
[01:34:29.400] いいあれをなクリスマスをなお互いお互い
[01:34:33.280] いいクリスマス送ろう
[01:34:37.450] [音楽]
[01:34:44.960] なクリスマス早やだ太るもん食わないえ
[01:34:49.760] やんけ
[01:34:52.060] [音楽]
[01:34:54.159] まだ黙ってた方が良い上下反転させて右手
[01:34:58.280] 乳首って聞こえた笑笑もう頭おかしくなっ
[01:35:01.520] てる笑笑違うかな後回し
[01:35:06.660] [音楽]
[01:35:09.840] でパズルもう勝利近くに行ってるや
[01:35:13.920] んきさんこんばんはせやもうもうクリア
[01:35:19.320] 目前やぞ
[01:35:21.119] ああちなみに12時間やってますもう
[01:35:25.280] 12時間のピースハワイの乳首やいじくり
[01:35:27.840] 回すななんやそれ12時間
[01:35:33.600] か俺を無駄だと笑うかい僕はそうは思わ
[01:35:39.760] ないよかった36時間かからなく
[01:35:43.920] てうまくやったね
[01:35:48.719] 期間お
[01:35:51.679] 帰りこれどこだ
[01:35:55.040] よこんにちは頑張ってはりますね頑張って
[01:35:59.280] ます11時間47分やってますですがまで
[01:36:04.199] もちょっともこんなでできてきたのすごい
[01:36:05.840] わ感動する
[01:36:07.159] わうーんこれどこ
[01:36:12.560] [音楽]
[01:36:14.760] だトゥルル
[01:36:18.090] [音楽]
[01:36:24.360] わかんねえあ分かっ
[01:36:26.880] たやっと見つけたここ
[01:36:32.280] かちょいと
[01:36:34.719] じゃあオルゴデミーラ行っていい
[01:36:37.000] オルゴデミーラじゃねえやなんだっけ
[01:36:38.560] えっとデスタムーア行くかこれなんで
[01:36:41.280] デスタムーア第2形態なんだよ俺第3形態
[01:36:43.239] のが好きなの
[01:36:46.119] にこのイケメンてどこにいんの時間が
[01:36:49.159] すごい顔昼休憩挟みつつ体壊さないように
[01:36:52.639] 頑てくありがとう優しいねみんなね11つ
[01:36:56.520] 画像確認しながらやってるのかさっきの
[01:36:59.800] はまった全然モンスターわからんから
[01:37:02.719] アドバイスできん笑笑優しい
[01:37:08.800] コメントお昼からデートじゃなかったんあ
[01:37:14.040] 今日もういいよ予定は
[01:37:17.570] [音楽]
[01:37:26.600] あなんだかんだはまるねピサロ今日覚えた
[01:37:31.000] もういいと
[01:37:33.280] は
[01:37:35.199] え何が何
[01:37:39.679] が
[01:37:41.480] デートデートじゃねえ予定変更別にあの
[01:37:45.920] 今日じゃなくても大丈夫だから女か女じゃ
[01:37:48.800] ねえ女だったらお前こんなこんな配信前日
[01:37:52.280] にするわけねえだろ
[01:37:55.199] だ
[01:37:56.280] からだからんじュじゃね別だ遊び行く用事
[01:38:01.520] じゃねえやちょっと普通にちょっと出かけ
[01:38:03.239] なきゃいけない用事があったけど別に今日
[01:38:04.560] じゃなくていい
[01:38:07.560] わ男か重要な用事じゃなかったのかまあ別
[01:38:12.119] にいくらでもどうちでもなる
[01:38:21.760] よふうちょっと
[01:38:26.560] じゃあデスタムーア行ってみますかじゃあ
[01:38:30.280] オールオッケーレスタムーは行ってみる
[01:38:36.800] かこれとかわかんねえよ
[01:38:41.070] [音楽]
[01:38:55.679] オケーよっしゃ行って
[01:38:58.560] くるほっ行ってらっしゃい頑張れ
[01:39:03.639] よ行ってらっちパってシ作るのでロムし
[01:39:08.960] いいですね1000ピースがこんなに
[01:39:11.520] 細かいとは休憩の時とかまた見に来るから
[01:39:14.880] ねは
[01:39:17.199] ありがとう行っ
[01:39:19.000] てらっしゃいこういう時は顔から組み立て
[01:39:21.440] のが一番早いから作ってら
[01:39:26.040] すごいピースあったんだ
[01:39:28.080] けどねすごいピースあった顔から作ろうと
[01:39:32.920] 思ったら顔だったわ顔これで笑笑誰それ
[01:39:37.480] 笑笑すいピー笑笑
[01:39:40.599] デスとミルドラースとかもうわからん笑顔
[01:39:45.400] の真ん中笑顔の真ん中
[01:39:50.199] 笑笑笑に
[01:39:53.560] いいなこれちょっとシュールで笑デタムは
[01:39:57.760] そんなのなのかシュールでいいなこれ
[01:40:01.639] なピサロだよ
[01:40:05.599] 多分角が出てる角がぶってえ角が出てる
[01:40:13.440] これそれキーホルダーにしよう本体と両手
[01:40:17.880] が別れてるやつしかわからんそれがね第3
[01:40:21.080] 形態なんだよこれ第2形態なの
[01:40:24.719] 最初変なおじいちゃんなんだぜ最初は変な
[01:40:27.639] おじいちゃんあれ第3かあれは第3形態
[01:40:30.840] そうそうそうデスタムーア大好き俺かっこ
[01:40:33.760] いいへいてか普通にラスボスの中でなんか
[01:40:37.480] 規模がでかすぎる夢を使さるんだぞなんか
[01:40:40.760] どっちかの手がザリ使うんだよそうそう
[01:40:43.280] そうそうそう右かな左だっけ忘れちゃた先
[01:40:45.880] に倒さなといけないん
[01:40:48.679] だシチにブロッコリーありな人あ全然あり
[01:40:53.719] 俺ブロッコリー嫌いじゃないもんあのあれ
[01:40:56.360] は嫌いだけどあのなんだっけああの
[01:41:00.159] カリフラワーは死ぬほど嫌いだけど
[01:41:02.159] カリフラワー入れたらマジでもう絶好あり
[01:41:04.880] ですじゃ
[01:41:06.880] 入れるカリフラワーだけは入れんじゃねえ
[01:41:09.119] ぞあも食いもんじゃねえんだから茹でた
[01:41:13.360] ブロッコリーだけでベイ食え
[01:41:16.550] [音楽]
[01:41:21.400] ますにカリフラワでもおいしい美味しく
[01:41:26.560] ねえあ俺カタパッドか
[01:41:31.760] これ後のせブロッコリーにする左がザリだ
[01:41:36.239] ねムーアは育て方知らない初見だと普通に
[01:41:39.560] 強いよね5のこの曲はフラグにしか聞こえ
[01:41:42.760] ないんよ強哀愁物語
[01:41:53.960] これムーアじゃねえ
[01:41:56.639] なマイケルムーアじゃねえよドラクエやり
[01:42:02.119] てえもう少しで12時間ですけど6時間で
[01:42:06.239] できるんじゃないんですかうるせえな
[01:42:10.199] うるせえな予定は未定なんだよ
[01:42:14.199] 笑笑急にはるなわた顔みんな言ってる
[01:42:24.560] どうどないになっとんねんこれ
[01:42:31.239] ておじちゃんラーメン味玉追加
[01:42:36.560] でそこ
[01:42:41.880] かえどここれ
[01:42:45.679] ここここ
[01:42:48.560] こあラーメン食べたい
[01:42:54.159] 急にコメント無視するじゃん
[01:42:57.320] あ野菜ましましニンニク油絡め太陽神ハ
[01:43:02.080] にこもう飽きたよこいつ何が何が何が何が
[01:43:06.239] 何の味怖えな何何を言ってんだ
[01:43:11.440] よ分かっ
[01:43:14.520] たあ違うこれここいつが間違ってんだ
[01:43:19.000] よここだよ
[01:43:21.360] これいつもそうじゃあ私も
[01:43:25.159] 飽きる何何何どうした
[01:43:30.680] [音楽]
[01:43:45.080] のたく
[01:43:47.920] ぞ角の卓造じゃねえよ
[01:43:54.730] [音楽]
[01:43:57.960] おせえよ
[01:43:59.440] 雑魚俺が滑ったっ
[01:44:05.639] て雑笑笑これどこ偽る気ないものまねで
[01:44:11.080] すらない
[01:44:14.520] [音楽]
[01:44:16.560] 笑笑どここれ
[01:44:26.410] [音楽]
[01:44:31.320] ペペチー
[01:44:32.560] うまい
[01:44:35.800] 分かるものまねやるとか言ってねしとか
[01:44:38.760] 言いそう
[01:44:49.719] んなんか溶けててんだよなそこな
[01:44:55.000] これどこだ
[01:45:01.870] [音楽]
[01:45:09.119] これそこ
[01:45:12.080] だ
[01:45:13.610] [音楽]
[01:45:21.199] ここ結のパーツ結構余ってるね混ざってる
[01:45:25.960] んだあっち
[01:45:27.199] と
[01:45:29.080] ほらちょっとでかい
[01:45:31.840] [音楽]
[01:45:34.400] 笑うこれ何
[01:45:38.119] だろう
[01:45:40.430] [音楽]
