[00:00:18.240] 邪魔ゲームさんコメントお待ちして
[00:48:57.119] さんはさ20分ぐらい前からっ
[00:49:00.600] [音楽]
[00:49:01.839] た発
[00:49:11.360] [音楽]
[00:49:17.720] コメント
[00:49:19.559] しんコ
[00:49:27.960] のかなどうえばいこのなんなんか1個んで
[00:49:32.240] も言うこと聞きますじゃ事故に巻き込まれ
[00:49:35.319] なくてよかったね
[00:49:36.880] そ
[00:49:39.280] 合わ
[00:49:40.530] [音楽]
[00:49:42.280] でん嘘だろ嘘だろ嘘だろそんなことねえよ
[00:49:47.520] ななことねはい
[00:49:50.319] さんさんなさん
[00:49:53.740] [笑い]
[00:49:56.760] 考えはいばっちりいい象よしはにこさんが
[00:50:00.119] コメントしたとうんあなんかもしかして俺
[00:50:01.839] 叫んでたえとかちゃんとコメント見てたよ
[00:50:05.040] あなたうもう
[00:50:08.040] そんな楽しいからもごめんねそういう時も
[00:50:11.400] あるってでも人間だもん人間だもん機械
[00:50:13.839] じゃないもん俺さん笑笑機械じゃないから
[00:50:17.960] 別ハさんが嫌いだからそういうことじゃ
[00:50:19.799] ないからねむしろ好きですさん社長のせい
[00:50:23.000] にしたむしろ好きですむしろ好きなんです
[00:50:25.920] わざじゃないああむしろ好きなんですはい
[00:50:29.200] にこさんやめて
[00:50:31.559] サラサラサラサラサラごめんなそういう時
[00:50:36.240] もあるってサラサラキキキ
[00:50:40.400] さんなんかめっちゃめっちゃ声震えてた今
[00:50:43.760] なんかババーみたたきれたねってなって今
[00:50:48.359] まるで映画のワンシンのようだねまるで夢
[00:50:50.119] を見てるだよみたいなただ電気がたくさん
[00:50:52.200] ついてるだけなんだけどねこれなあはも君
[00:50:55.280] コメント見て見たよ見た見た見たさんさん
[00:51:00.079] ておっぱい好き
[00:51:01.839] ですだおっぱいデスコえこれさ難しいよ
[00:51:07.400] この
[00:51:08.280] 子いやスタンプはもう俺はえ拾えんてそれ
[00:51:13.160] はだっ
[00:51:14.040] てスタンプの
[00:51:16.359] 真似それでいいかん
[00:51:26.760] あれだなサブフってのもさ考えもんだよな
[00:51:29.839] 誰にもらうかってよ向こ1か月この態度
[00:51:32.960] 取るぞ
[00:51:34.839] こいつ向こ1か月このマウント続く
[00:51:39.160] ぞ好きでしょうよさん
[00:51:42.319] は1か月
[00:51:49.880] これあれだよちゃんが払った600円はぐ
[00:51:54.040] ちゃんになんかあのなんの
[00:51:57.359] あれになってほしいなんじゃなくてちゃん
[00:51:59.200] にマウント台だからマウントの600円
[00:52:03.079] だまままだままだときだよ俺
[00:52:09.710] [笑い]
[00:52:12.160] はがあったらいいの
[00:52:17.359] なが好きだからこあのマウントを取っ
[00:52:21.319] てんか
[00:52:23.240] とがってる
[00:52:25.520] ウィぞいうのをやる為と一緒ですよ
[00:52:30.359] ね嘘ですわかりませんなん適当に始ってる
[00:52:33.240] えこれどうだろう
[00:52:35.040] ねさんしちゃん好きだ
[00:52:42.960] よちょ待待ってこれどれがいいただ電球が
[00:52:46.640] たくさんついてる
[00:52:48.040] だけ多分まちゃんはあの敵のえまるで夢を
[00:52:52.960] 見てるみたいだねえこれ難しいこの子さ
[00:52:56.599] この子マジ難しいんだよね26この子マジ
[00:52:59.839] 難しいんだよねどれ行くみんなこの子普通
[00:53:02.839] の選択肢
[00:53:04.359] だめマジでため
[00:53:06.799] じゃんマジでためだったえもしかぐちゃん
[00:53:10.920] 何年生まれそら俺ら一緒なねリサーチ済み
[00:53:13.480] すごえ映画のワンシーンまるで夢を見てる
[00:53:17.599] みたいだねゆねたに本
[00:53:22.040] [音楽]
[00:53:24.640] に惜しい俺ともぎちゃんと部屋さんだから
[00:53:30.359] 俺と俺とあの部屋さんともちゃんはつ上
[00:53:34.559] でした
[00:53:38.000] ぐぐさん笑笑お選択肢勝ったぜ選択肢勝ち
[00:53:42.000] ばっちりいい印象これでいいんだよ海
[00:53:44.960] なんか行かなくてもいい俺別にこいつの俺
[00:53:47.240] 体目的じゃないからさ別にさ
[00:53:50.559] あの部屋96だっ9でしょ違うんだっけ
[00:53:56.480] マトていかな何来たばっかのところぐら
[00:54:00.640] 覚えてるちょっとすまなんでああ同じとこ
[00:54:04.480] 来ちゃったってことごめんごめんでもさ
[00:54:06.960] ナイトパレドあったからね途中まで一緒だ
[00:54:09.319] ねお話しこんな夜に女子の子1人で返せ
[00:54:13.119] ねえだろ家まで送るだろ普通に考えて馬鹿
[00:54:15.119] 誰がさん
[00:54:16.450] [音楽]
[00:54:17.960] とま年齢マウントとえっとサブギフ
[00:54:21.440] マウントどっちのが上かな分かんないです
[00:54:24.040] けど僕は2人で審議してくださいその辺は
[00:54:26.640] 体はなかなかいいね71さん芸術これね
[00:54:30.960] 分かった文系も理系も40以上あれば赤点
[00:54:34.280] 飛んねえわ用紙あげようあ寝ときたい気も
[00:54:36.799] するな容子80家までちゃんと送るの
[00:54:40.480] イケメン当たり前だろそして家の位置を
[00:54:43.000] 把握すると
[00:54:45.000] いうなんだ今のなんだ今の今のだ近かった
[00:54:50.040] 今のんだあれ豆ちゃんいくつだっけあこれ
[00:54:51.920] 言わなくて言いたくけどぐしぐしさん
[00:54:55.319] ストーカー
[00:54:57.640] なんとでもいいなよなんとでもいいなよ海
[00:55:00.680] 行っとくか1回海行っとこうね海行っ
[00:55:03.839] とこう1回ねせっかくだからあの海を見た
[00:55:06.599] というさん今のは今のなんだつむじ風の
[00:55:10.960] ように去っていったけどなんだ今さん揺れ
[00:55:13.480] を感じた
[00:55:16.920] モもうほらハモンの言い方俺のこと好き
[00:55:19.839] だろマジでどう
[00:55:22.160] すんさん貧だったらやだなおいおいおい
[00:55:26.920] さん今年25ンちゃんの1個し1個しあ
[00:55:31.200] そっかそっか1個したか1個したか
[00:55:36.280] さんえ海一応行っとこっかねもう8月8月
[00:55:41.400] 27日に海なんか言ったらおしまいだぜ誰
[00:55:44.319] もいねえよあサーファーしかいねえよもう
[00:55:47.079] もうわもクラゲとかいっぱいいそうマジで
[00:55:49.480] 終わってまじあの行かない方がいいよこの
[00:55:52.000] 時期の海マジできったねえしきったねえし
[00:55:54.400] マジで8月の下旬るからいいよクゲ
[00:55:58.480] めっちゃいるしぐしぐしさん1個したって
[00:56:01.119] 言ったら取られちゃうよ豆さん703さん
[00:56:06.000] みて
[00:56:10.950] [音楽]
[00:56:12.760] いパセえっすねパわほらほら8月下旬
[00:56:21.039] なんてめちゃくちゃあれでしょあの
[00:56:23.200] めちゃくちゃあのあれいるよなんだっっけ
[00:56:25.319] クラゲ
[00:56:26.760] 何があっても必ず行くから待っててねは
[00:56:30.680] わんさん俺もさんそうね1個もんねさん
[00:56:35.520] ため口来た合宿来た合宿免許
[00:56:41.240] わさいよいよ宿の始まり
[00:56:44.000] だってげじゃない語せていき
[00:56:49.359] ますクソおじ
[00:56:52.440] さんあ
[00:56:55.240] えんさんはいつになく元気ないねなんで
[00:56:58.799] テニス入ったのかな
[00:57:03.680] みゆそうそうそうそうそうファミマ店内で
[00:57:06.280] 聞き飽きたんだよもうなもういいんだよと
[00:57:10.760] そんなそんなきっと普段の練習より楽しい
[00:57:13.680] よみんな一緒だしそれもそうだねみんなで
[00:57:17.160] 旅行に来たテニスするそういうことです
[00:57:21.440] そういうことです立ち直ってくれたのいい
[00:57:23.720] けどそんな甘いもんじゃないんだけどなも
[00:57:26.319] 可愛いから
[00:57:28.599] よしこれどこが上がんのこれ根性とあ運動
[00:57:32.760] が上がるんだ体力が下がるもう運動上がん
[00:57:34.799] なくていいんだけどな部活やってくから
[00:57:36.559] しゃないよ
[00:57:37.839] ね可愛いお疲れちゃん宿とか言ったことあ
[00:57:43.400] 誰だず思ってたけど野村くて誰だよ何何何
[00:57:48.839] 合宿とかねえだろだってあれだぞあのぐぐ
[00:57:51.720] さんかけりなんでも許される世界しょうが
[00:57:55.559] ないねしょうがないねずっと思ってたんだ
[00:57:57.160] けどなんだ俺のこと好きか分かったえ合宿
[00:57:59.960] とかミスった時に毎回ラケット投げてるよ
[00:58:03.160] な海外の海外のあれ見てじゃんプロ選手
[00:58:05.680] みた
[00:58:06.920] じゃん合宿だって音学部だもんねえだろあ
[00:58:11.280] でもあれはあるよあのレコーディングで1
[00:58:13.039] 週間とかあの普通にこったことあるよ
[00:58:15.799] スタジオになんで遅刻でタイブになるのに
[00:58:18.799] ラケット投げまくってん遅刻たた2回だ
[00:58:22.960] からな
[00:58:25.170] [音楽]
[00:58:27.480] 子供の頃合宿えなんかなんとか少年自然の
[00:58:32.960] 家になんか行くのあったね1週間も行か
[00:58:34.960] なかったけど今日練習きつかった
[00:58:38.480] ねなんだ
[00:58:41.280] 何うわ
[00:58:44.200] さん
[00:58:48.000] さんブンブン
[00:58:50.240] ばあ虎だよあれつってあ鹿ださん
[00:58:55.039] びちょびちょ
[00:58:56.200] ですか間学校くいね林間学校くそなついね
[00:58:59.960] 蛇口を
[00:59:02.160] 何何何何このイベント嘘びしょびしょ
[00:59:04.960] びしょびしょ
[00:59:06.640] ジポメイドさんでし
[00:59:09.760] たかそうそうそうそうジポさんこんばんは
[00:59:14.200] で着冷静にって
[00:59:17.000] なんかい
[00:59:19.319] さんかさかいこれなんですこれこれなんあ
[00:59:24.520] びっくりした
[00:59:25.890] [音楽]
[00:59:30.680] ディさんまめてるのいいなそうだ
[00:59:34.430] [音楽]
[00:59:39.200] ねん
[00:59:40.720] てそういい
[00:59:43.280] ねグレ人形つけてたねこれヒントだね
[00:59:46.440] なんかプレゼントあるグレイ人形だねなん
[00:59:49.799] となく来てしまったいやこれやめとくわ
[00:59:52.680] ごめんそんなこと俺がするわけない明日
[00:59:55.039] てよ女の交換が全体的に下がるらしいのよ
[00:59:58.599] 去年やったからな見たい人はアーカイブ見
[01:00:01.480] とけよ
[01:00:04.359] えっと部活年日あねこれ次やったらタイブ
[01:00:08.359] だからねいや怖えセーブしとこうか
[01:00:12.920] ないや部活あるとダリー
[01:00:17.839] なおおこカボセンキューフォロー
[01:00:21.960] ありがとうセンキューフォローあざす今日
[01:00:24.359] はねやってますよこの
[01:00:27.920] メリア海行ったナイトパレー行っ
[01:00:33.400] たえっとねストレス体調上げときたいなで
[01:00:37.599] も容姿も上げときたいんだよね容子100
[01:00:40.720] ないとだめだそっからだな体調
[01:00:43.039] は今ヤンキーに襲われたらやべえよ
[01:00:47.319] な体調が減るんさん
[01:00:52.039] 何言ってんだよあれだろお前さっき
[01:00:55.160] の歌のあれ
[01:00:59.000] だろそういうのが俺のチャンネルをあの
[01:01:02.960] あれです18金にしてるんですよいいん
[01:01:05.240] ですけどね別にいいんですてかなむしろ
[01:01:08.319] むしろなんか年齢制限かけれるんだったら
[01:01:11.760] 1回なか週に1回年齢制限枠やろうかな
[01:01:14.400] もう何言ってもいいもお
[01:01:16.599] しまいて終わみ配だからコメントやめる
[01:01:21.799] め下ネタしか言えねだろな消えてほしい
[01:01:24.880] なら消えるよ重いてなんだよこれ何何何あ
[01:01:32.359] 電話くれたんだ今日は何か
[01:01:36.000] な花火た行こうぜああいいですね行こう
[01:01:40.440] 行こうわいいね可愛いな風敷公園の公園の
[01:01:47.440] ところで待ち合わせとたげたげさん年齢
[01:01:51.680] 制限かかってるのですかかっ
[01:01:54.839] てるは道連れにするからねガーって呼んで
[01:01:59.880] いいねちゃんのことガて呼ぶわ道連れ覚え
[01:02:04.680] てんだディ
[01:02:05.880] さん道連れ覚えてんだこじゃあまた後で
[01:02:10.160] さん橋もだね俺俺を連れにすんのか終わり
[01:02:13.599] じゃねえか終わりお
[01:02:19.240] しまいはい来たいやうちのねチャットは別
[01:02:22.599] にルールなんてないんでねお待たせさん
[01:02:26.559] うん平気平気今そもそもさこれ言ったら
[01:02:30.680] マジ嫌われるかもしれないけどちょ言って
[01:02:32.160] いいなんかあの
[01:02:35.319] コメント欄とかでさまあなんかいろんな
[01:02:38.279] コメントするじゃんなんか傷つく人もいる
[01:02:41.079] からみたいな感じでさ気い使ったりとか俺
[01:02:44.359] ねあの思うんですよ配信とか来てコメント
[01:02:47.319] 見て傷つくとかまもあるかもしんないけど
[01:02:49.640] そんなんねあさんこんばんはそんなん自分
[01:02:52.640] で自衛できない人はネットやめた方がいい
[01:02:56.039] 俺思うねんTwitterでも何でもそう
[01:02:58.920] なんかあ変なもの変なもの見させられて私
[01:03:02.760] 傷つきましたとかって言うぐらいだったら
[01:03:04.599] ネットやめた方がいいネットなんかやって
[01:03:07.160] たらそんな思いしないことなんかないから
[01:03:09.279] ね悪い
[01:03:10.960] けどごめんちょっとこれはガチでしたわ後
[01:03:13.960] であのこういう雑談しようねさんお
[01:03:17.680] があのそうないだよそれはフェイトさん
[01:03:22.079] この子ねめちゃくちゃいいっすよそうなん
[01:03:25.119] だよかったわもう始まるみたいだよじゃあ
[01:03:27.680] 行こう
[01:03:33.640] 行こう全てネタですからね冗談だ
[01:03:42.359] しこれでかわいそうだなこれでこれでさ
[01:03:48.240] 普段言わないのに乗ったたげたさんが
[01:03:50.319] オートモッドに引っかかってあの食らう
[01:03:52.880] のかすぎるでしょ
[01:03:56.160] さんこれは許可し
[01:03:57.960] [音楽]
[01:04:00.039] ますもねんで入れてるかっていうとんで
[01:04:03.119] 入れてるかって言うとあれなんだよねあの
[01:04:05.079] 荒だ
[01:04:06.319] から花火
[01:04:10.319] たる今日は言ますけどありますよそん
[01:04:12.760] くらい僕も悪いけどありますそんくらい
[01:04:16.400] ありますあり
[01:04:18.440] ますまあもう何年も前ですけどねも前です
[01:04:22.599] けどね
[01:04:26.039] ていいよンディさん
[01:04:28.799] ラムあるよあるあるその活屋さん行って俺
[01:04:34.319] が全部食べちゃった残したやつうん分かる
[01:04:36.640] よその気持ちよかっ
[01:04:38.960] ただけ変なのかなことないよそんなこと
[01:04:42.559] ないよさん花火ある今日は本楽しかったよ
[01:04:47.720] 何が起っても平気平気いやいいですねさん
[01:04:52.240] アートアクアリウムあるもういい珍しい
[01:04:54.760] パターンだなそで一緒だねはいお話し
[01:04:58.880] ながら帰ろいいですねこの子の評価
[01:05:01.240] ちょっと見ときたい
[01:05:02.680] なこのの日あもう次もデートやすぐいいね
[01:05:06.200] たげたげさんやはり興奮しすぎはくないの
[01:05:09.480] ですねそういうことだねごめん大人な
[01:05:14.839] 対応これどこ行くんだっけこれ何どこ行く
[01:05:17.400] んだけ海あ海か俺海行ってねんだ多分海
[01:05:19.720] 行ってないんだよしよしよしよしやっぱり
[01:05:22.119] 1回は見ときたいよね1回は見ときたい
[01:05:23.960] でしょこのの裸ほぼ裸
[01:05:28.279] みたい1回は見ときたでしょぶコラ派それ
[01:05:34.440] ともピーチ遊びはめちゃくちゃ可いでしょ
[01:05:39.359] さんおポーズがいいてかこの子マジで
[01:05:42.400] ファッションセンスめっちゃ良くないこの
[01:05:44.640] 子のファッションセンス腕に色々
[01:05:47.000] ジャラジャラつけてなあ可愛いよねこの子
[01:05:50.319] ねファッション頭にお花つけちゃって
[01:05:52.440] 可愛い普通にめっちゃ可愛い
[01:05:56.480] さんかさん
[01:05:59.400] ちゃんさんこれは貧乳
[01:06:02.640] なバスト87とかだよどこが貧やさん
[01:06:06.880] ポケットついてるあ入りてえなそこにつっ
[01:06:09.359] て入りてえよつってしまってくれねえか俺
[01:06:12.720] そこになになって俺がわてもうやめよ
[01:06:16.480] さんいカップらしいですカップなんだ80
[01:06:19.720] ってえのんびり日に当たるいい機会だから
[01:06:24.079] コラこれ
[01:06:26.279] コーラ星とはよく言ったもんだねほんと亀
[01:06:30.760] になったみたいにのんびりして気持ちいい
[01:06:34.000] よね気持ちいいよなばっちりいい印象あ
[01:06:36.359] そうでもなかったこんなもんまあまあ
[01:06:37.760] こんなもんでいいでしょまあまあこんな
[01:06:39.680] もんでしょ今度はもっと盛り上がろうねえ
[01:06:43.119] ダメだったえこれダメだったままでも嫌わ
[01:06:45.520] れはしなかったでしょまステイぐらい
[01:06:47.760] か途中までいこれな多分ね有効状態では
[01:06:51.920] あるんだけど多分あれなんだろうな有効
[01:06:54.480] 状態ではあるんだけど
[01:06:56.079] 多分好きではねえんだろうな俺のことな
[01:06:58.680] まだな友達だよね容姿を100にしとこう
[01:07:02.680] 体調もあげなきゃな俺をそこに閉まって
[01:07:05.319] くれねえかうんうんでもおめえ地の閉まり
[01:07:08.359] はしまってくれてて最高そうだなつってな
[01:07:11.799] がははおさんちゃまのも似てるわ似てる似
[01:07:15.440] てるおおディスクス来た似てるわガハハ俺
[01:07:19.319] ガハはって笑うもん
[01:07:21.799] なベイトさんベイトさんいますかうお疲れ
[01:07:27.240] うお疲れあボさんううお疲れこの子
[01:07:32.520] めっちゃ可愛いわこめっちゃ可愛いそして
[01:07:34.680] ディスクさんです今日からフェイトさん
[01:07:36.720] ミスターフェイトいないかな俺何すれば
[01:07:38.760] いいどれどの効果交換じゃねえやどの
[01:07:41.440] ステータス上げればいいんだろうどの
[01:07:43.839] ステータスあげればいいん
[01:07:45.880] だろうもこの子容姿必要なんだよ
[01:07:49.720] なえっとね響きのスケートまねなんかね
[01:07:56.119] いまいねいまいなんかあんまりね好きじゃ
[01:07:59.359] なさそう俺のことなんまだ友達レベルなん
[01:08:01.520] だよねもう2年生後半なの
[01:08:04.839] にえあ響きのウォッチャーってこの雑誌の
[01:08:08.680] ことなんだあのなんだっけさん
[01:08:12.039] フティミスタフティいなくなっちゃったな
[01:08:14.760] え紅葉は10月さんずっと友達だが
[01:08:20.040] テんイベントイベント定イベント
[01:08:25.920] って言ってましあ見たいでしょみんななあ
[01:08:28.400] 12月スケートとスキー場は12月紅葉が
[01:08:31.199] 10月な
[01:08:32.560] あーもう10月今まだ10月ねデです
[01:08:37.719] 名決それわかんないごめんネタわかん
[01:08:40.199] なかった固定イベントってなんだろう10
[01:08:42.799] 月9月は特にやることない
[01:08:45.640] から1回ちょっとさきちょっと電話して
[01:08:48.799] ちょっと交換見とこうごめん見してさん
[01:08:52.719] ありがとうさんちゃんのああうんうんうん
[01:08:56.839] うんうんこの子にもあんのかえわかんね
[01:08:59.400] 見れてんのかなえそのでも3年目じゃない
[01:09:01.719] のまだ2年目だからねランディさん橋も
[01:09:05.120] 拾ってくれなかったんなかったもちろん
[01:09:08.040] ありますさんあるよねそれねうんこんな
[01:09:12.960] 感じだあああいいじゃんみゆいいじゃん
[01:09:14.520] みゆいい感じじゃんみゆいい感じだね
[01:09:16.480] にっこりしてるいいねいいねいいねみゆ
[01:09:18.759] いいよいいよみゆいいよさんいいやんけ
[01:09:23.440] ええねえええ感じやなええ感じやな了解
[01:09:27.159] もう1回見とこうこの子の
[01:09:29.400] 情報さんってるさん感なんでだ
[01:09:35.359] よ俺のこの順風満に住んでるのがな順風満
[01:09:40.359] に住んのがおもろくないのかわかる
[01:09:42.799] 何かしら起こさないと俺じゃねよなの
[01:09:45.939] [笑い]
[01:09:47.960] 笑っです
[01:09:50.560] よつ言わ草本だよべ勉強しとこうしこいや
[01:09:56.120] 体力やべえ
[01:09:58.640] 体力やばいっすよ体力やべっ
[01:10:03.640] すや出たやあ何あ匠どうしたんだ珍しく
[01:10:10.280] 暗いぞ知ってるかあささんやっぱり更した
[01:10:15.560] んだってさやっぱりえどこに今調べてる
[01:10:20.280] 情報が入ったら教えるちゃんて人気ある
[01:10:24.320] なんか俺超動き苦手だわそれより問題はそ
[01:10:29.400] ジやばいよなあいつ好きだったんだもんな
[01:10:32.520] 昨日電話で教えたんだで今日は病だってさ
[01:10:37.360] 余計なことすんなおめえもさじゃあ
[01:10:39.700] [音楽]
[01:10:46.920] なしししさん順付き合っていきってないだ
[01:10:50.600] けど好きだったんだね音すごいえ嘘全然
[01:10:53.080] 聞いてなかったやべあこよしごめんごめん
[01:10:57.320] ちょここさごめんこれ行けるかな名前で3
[01:11:01.480] 用だったらいけるチャンは無理だと思うん
[01:11:03.239] だまだみゆきちゃんは絶対やばいししし
[01:11:06.199] さんユッキーなんか終わりだよこんなの
[01:11:08.560] やったら超嫌われるから絶対おさん単調
[01:11:10.840] バージョンエンディングったよやば
[01:11:13.800] ランディさんブッキーブッキーはやばいっ
[01:11:16.560] す嫌われす
[01:11:18.320] 絶対これ3漬けの名前いけるかなそうやな
[01:11:22.640] 橋もって言われてたらユッキーでもいい
[01:11:24.120] 思うんだけどでもちょっと待って
[01:11:25.920] さっきねコちゃん行けたんだよさんゆッ
[01:11:29.360] いやときめきモードじゃないといけない
[01:11:31.080] でしょ穴穴って呼ぶの最低だ
[01:11:36.080] よむみゆちゃんみき
[01:11:40.440] さんなんだかすごくなれれしいんですけど
[01:11:46.960] やっぱランディさんドンししさん笑笑
[01:11:52.440] フェイトさん笑笑言
[01:11:56.440] 笑笑さん笑この言い方笑笑ししさんなれ
[01:12:02.560] なれし笑笑もぎさんどうすんのマジでえ嘘
[01:12:07.480] でしょさんああ
[01:12:09.679] ぐしぐしさん女って感じだ笑笑もぎさんあ
[01:12:16.199] えーまだ名前よ馴れ馴れしいとか言われた
[01:12:20.400] 嘘だろ裸を見せ合った中じゃねえか
[01:12:23.520] よ嘘だろ
[01:12:25.880] お前のことまだ名前で呼んじゃいけないの
[01:12:29.080] も俺赤ちゃんの名前考えてるんだけどお前
[01:12:32.120] の気持ち悪ネタとネタですよネタとはいえ
[01:12:36.000] 気持ち悪いです
[01:12:38.000] ねあ俺名前食べ
[01:12:41.679] か名前だめでした
[01:12:44.360] かあ日曜日に勉強するとすげえ上がるさん
[01:12:48.679] 毎回相手との赤ちゃんの名前考えすぎだろ
[01:12:52.080] 笑笑
[01:12:55.840] たげたげさ問題発言ですねにこさん気持ち
[01:13:00.159] 悪すぎて見てたバカキモかったな今のバカ
[01:13:04.840] キモかった名前で呼んだことのない女との
[01:13:07.440] 子供の赤ちゃんの名前考えてるからね俺や
[01:13:10.360] 先に考えとかないとそういうのはやっぱ
[01:13:12.080] うんないざって時にやっぱこうぐさん
[01:13:15.840] ひさしさんって見た目は子供っぽいそうな
[01:13:18.440] んそうそうそうちょうどその話になったわ
[01:13:21.360] Eカップだってさやば一面じゃんのほら何
[01:13:26.040] ほらねって何あいそいカップねあああ
[01:13:29.040] あ女の子はサイズを聞くと何カップって
[01:13:31.639] わかんの80なんて言ったあいいだな
[01:13:33.600] みたいなえっとね最近俺部活行ってない
[01:13:38.080] けど大丈夫
[01:13:39.120] 最近部活行ってないけど大丈夫か次部活次
[01:13:43.080] の部活なんでそのモさんわからないあ
[01:13:45.719] わかんないんだそんなもんなんかえっと
[01:13:48.800] 体調やばいなよし100行ったから体調
[01:13:51.440] あげよっか
[01:14:01.400] さんそんなことねだろまだなんかやったの
[01:14:08.080] かこ
[01:14:17.280] イベントだけ室
[01:14:25.280] のとこ行くんかあしかもなんか
[01:14:28.040] これ遊びに来てやったぜかずみ
[01:14:31.360] ちゃんえおい校長先生に向かって
[01:14:36.159] さんさん教えない馬鹿
[01:14:39.600] やろてほどじゃねえんだけどさ暇だった
[01:14:43.120] からなこいつやば校長中て通タイト取って
[01:14:46.280] んだ
[01:14:47.719] よ生徒暇ちゃんを一談されましたださ
[01:14:55.159] こんばんはさ
[01:14:57.000] こんばんはやってるよ今日もかず爆裂かつ
[01:15:02.840] こいつ
[01:15:06.600] すげえ一
[01:15:08.600] 俺と一だ今のうちにこっちに抱えとこうぜ
[01:15:13.560] こっちに抱えとこうぜなんなんだこの2人
[01:15:18.800] 悪のんお前がにるの
[01:15:23.960] なんか女の子がこの子になっちゃったなん
[01:15:26.440] で嘘だろ何何何いいんだけどそういうの
[01:15:30.520] いやいやいやいやき
[01:15:33.679] でしょさんカップ数よりもラップする
[01:15:36.760] スキル見分ける白眼発し
[01:15:40.520] けるカップスよりもラップするスキル
[01:15:43.000] 見分ける白眼発し
[01:15:45.920] 透けるすっ
[01:15:48.159] てありがと静かだなと思ったらそれ考えた
[01:15:52.320] かさすがラッパーおみれいたすわたるさん
[01:15:56.920] ですってですって
[01:16:00.040] よですってよ皆
[01:16:03.239] さんいやナイスラップ何どこ行こっかな今
[01:16:09.120] だよさん先生お願いしますと言った途端た
[01:16:13.239] に攻撃が行くといいね笑さんバイバイ
[01:16:19.280] さんごめんて俺のボキャブラがなくて拾い
[01:16:23.080] なかったうえとねどこ行こうかな
[01:16:27.639] ボーリング映画館ボーリングゴムセンター
[01:16:31.880] カキボックスショッピング
[01:16:33.360] 外ショッピング会でも行っとくか芝居とく
[01:16:36.600] かショッピング会10月まで10月まで
[01:16:39.719] 新しいイベントないからそのデートの
[01:16:42.360] ね好感度下げないようにねなんでここに
[01:16:45.239] ホムラがいるんだよなんかなんか長くなっ
[01:16:46.760] ちゃったんだけどなんで練習中危ねえ練習
[01:16:50.120] じゃや
[01:16:51.840] な1回サボっちったからもう次ねんだがね
[01:16:55.560] んだだよさんももしかしてバストの話して
[01:16:59.120] たうんしてた全然してた
[01:17:02.159] ごめんてるよ見てるも好きだな俺のこと
[01:17:06.639] ずっと見てると
[01:17:09.240] [音楽]
[01:17:13.800] かこいつ何連中試合負けないよねさんかや
[01:17:21.480] めいしかも練習負けたことねんだよの回
[01:17:25.199] ないのに1回もあよし強えじゃんこれ
[01:17:30.760] 負けることってあんのかな負けることって
[01:17:33.120] あんのかな
[01:17:36.040] これくいほらさん今日の練習試合相手誰
[01:17:40.360] なんか普通のやつだったなアギみたいなの
[01:17:42.840] 出てきた
[01:17:43.800] わアギみたいなの出てきたなんかキョロ充
[01:17:47.719] みたいな陽援陽にくっついてる陽に
[01:17:52.480] くっついてるあのなんか普通のやつみたい
[01:17:55.080] な雑魚だったねやった
[01:18:00.000] ぜボテさんやばいなこれ可愛いしょはい
[01:18:04.760] 修学旅行行ってきますはい修学あちょっと
[01:18:07.520] セーブさせこの辺でセーブさせてごめん1
[01:18:09.560] 回これセーブしちゃうわなんかごめん
[01:18:11.239] セーブする1回ああセーブできないねこれ
[01:18:13.800] 多分あできるできるセーブするわ1
[01:18:17.239] 回ポテさん早くときめかせていや早く
[01:18:20.880] ときめかせてえよ早くときめかせたいこの
[01:18:25.360] 思いゲーム続けるぞ何言ってんだよし今だ
[01:18:28.960] よさんトラウマ蘇ったトラウマ蘇ってない
[01:18:33.080] よそんなものはない忘れたそういえば学
[01:18:35.920] 旅行どこだっけ
[01:18:37.480] [音楽]
[01:18:39.400] 北やばい
[01:18:46.560] かつえっと初日はクラスに別れてからの
[01:18:50.360] 移動と観光
[01:18:54.920] 俺お前と行くぐしぐしさんお今回は北海
[01:18:58.120] 北海道行くわ今回は夜になったらガストが
[01:19:00.719] ついてさらにいい雰囲気になるそうだし
[01:19:03.159] ししさんおたるだポテさんお前とかで
[01:19:07.719] こいつこんなところで本当だなんでおお前
[01:19:10.880] となの知るかなんでこいつなの今だよさん
[01:19:14.679] ここで運に沈めとこ今日も一時期疲れたよ
[01:19:18.040] さん北海道ってことはいクソクソ川
[01:19:22.080] イベント来まし
[01:19:23.719] た可愛いだささん可愛いさ
[01:19:29.080] 俺れあこきさんどうしたのねえねえ明日さ
[01:19:34.199] 見学ミと一緒にしないいいよねいいよ
[01:19:39.560] もちろんオッケーボテさんうおじゃあ
[01:19:42.920] ロビーで待ち合わせししできてくそ可愛い
[01:19:47.120] こいつマジで了解じゃあおそっちからしし
[01:19:51.080] さん小学生に笑笑フェイトさん
[01:19:56.360] ちょお前の部屋行こうかなお前の部屋行っ
[01:19:59.280] ちゃうかなさあ今回は何と戦うのか
[01:20:03.639] 何あこいつやべえ発やべえわあれだわ
[01:20:07.040] なんか薬切れた
[01:20:09.080] みたい薬切れたしししさん笑笑ボテさん
[01:20:15.120] 笑笑イトさん笑笑わってるわこいつお
[01:20:20.840] こいつやべえわさん
[01:20:23.639] やばるわあか死んなくせえ本さんやばポテ
[01:20:29.600] さん受け止めてあげよ
[01:20:33.120] ぐしぐしさんやばい薬決まってるさん笑笑
[01:20:40.080] うわすげえしんど何これ
