[00:00:00.240] もう緊張するでしょすごくない
[00:37:32.400] パチパチパチパチパチパチパチパチパチ
[00:37:35.000] ナイス
[00:37:37.590] [音楽]
[00:37:51.480] パパパパパパパパパパパパよ休憩しょうこ
[00:37:53.880] に大丈夫パナイ
[00:37:57.599] パチパチパチパチパチパチパチパチパチ
[00:37:59.760] まだ時間がありますよパチパチパチナイス
[00:38:02.079] パチパチパチちょっとガチでやばいんじゃ
[00:38:05.040] パチパチパチだ動状況から抜け出せた
[00:38:08.119] ゆっくりやりましょうが一番怖いから時間
[00:38:10.200] 使っていか見てる方が苦しくなるマジでっ
[00:38:12.560] てこいよでリ体にダメージしてる大丈夫
[00:38:15.760] ゆっくり行こうぜのコキすって行てさてね
[00:38:19.440] ラですよ1回体は大丈夫か数やばい笑ま
[00:38:24.319] さん頑張れナイス時間はあるから
[00:38:28.640] 呼
[00:38:29.690] [音楽]
[00:38:58.280] トイレ
[00:38:59.440] としける
[00:39:01.960] よや指が指が震えて何やってかわかんね
[00:39:06.480] ごめん間違ったやばいごめん間違った
[00:39:09.160] ごめん指た指が滑った指が滑った
[00:39:14.640] ごめてこ
[00:39:17.680] やばい
[00:39:19.760] 魔
[00:39:22.720] 魔法だ
[00:39:27.520] 落ち着いてとりあえず外にに行って
[00:39:30.880] 落ち着いて笑まだあるまだある
[00:39:38.240] [音楽]
[00:40:04.319] ボン押すみ普通にねゲームやるこうやって
[00:40:07.680] 持つと思うんだけどもう手がねしびれて
[00:40:10.680] 動けねから地面にいてこのまま
[00:40:14.880] [音楽]
[00:40:17.760] ボタンどこ
[00:40:22.310] [音楽]
[00:40:26.319] 壊さんにベホマかけたい笑さて応募URL
[00:40:29.560] はどこですか本当にマでしっかり呼吸して
[00:40:33.000] 白の意識して放題J笑笑数もやべえ10
[00:40:37.119] エブリギベソヒーアロベフアセコ憩危ない
[00:40:42.760] ほんまにさんみたいになってきてる笑笑
[00:40:44.880] 笑笑腹に手を当てて確認しながら生いて
[00:40:47.359] 笑笑ラリだって笑笑笑笑時間あるから
[00:40:50.599] そりゃわからないよ一旦落ち着いて笑笑
[00:40:53.079] 笑笑赤ちゃんかよ笑じっくりラリだよラリ
[00:40:56.200] だってURL
[00:41:12.530] [音楽]
[00:41:23.520] よしえてかった休憩しららた笑笑おちつけ
[00:41:29.079] よし勝てるいいよちょうどバズズの眠った
[00:41:30.839] 顔見たかったんですよねよしよしじっくり
[00:41:32.880] どうぞ量ではなく最前を眠いましょうやっ
[00:41:35.240] た遅れてないです忙しかっただけです来た
[00:41:38.440] まるまるまるうおおいいぞ勝ったぞこれ
[00:41:42.359] 笑笑寝てる間にちゃまさん休憩し
[00:41:45.720] てかろよしナイス笑笑あごめんごめん
[00:41:50.560] 間違って変な流しちゃった変なの流し
[00:41:52.640] ちゃったこれ何わけわかんないの流し
[00:41:54.760] ちゃったごめんはい神ああパチパチパチ
[00:41:58.720] よしパチパチパチパチパチパチ
[00:42:00.280] パチパチパチ来たちゃパチパチパチ
[00:42:02.480] パチパチパチパチパチパチよし
[00:42:04.079] パチパチパチパチパチパチパチパチパチ
[00:42:06.319] よっしゃパチパチパチやったパチパチパチ
[00:42:09.040] パチパチパチパチパチパチ笑笑
[00:42:10.640] パチパチパチたおおパチパチパチ笑笑笑笑
[00:42:13.920] 笑笑なんだこれ笑笑いけるいけるば見
[00:42:16.200] 上がれパチパチパチナイス笑笑笑笑笑笑1
[00:42:19.319] すのは勝手にできるから発を意識して
[00:42:21.240] ゆっっくり笑笑これ何笑笑笑笑笑笑笑笑
[00:42:24.680] 笑笑パチパチパチ笑笑ね笑笑草王笑笑笑笑
[00:42:29.440] 笑笑笑笑笑笑笑笑遊戯王笑笑笑笑笑笑遊戯
[00:42:33.400] 王来た笑笑笑笑パチパチパチパチパチパチ
[00:42:36.319] 何それ笑笑BV流して休憩してもいいのよ
[00:42:38.480] パチパチパチこれ発よ王笑笑リプレイ
[00:42:41.319] わっち笑笑パチパチパチパチパチパチ
[00:42:43.520] パチパチパチパチパチパチ面白すぎる笑笑
[00:42:46.040] 息吸ってパチパチパチ遊戯王笑笑呼吸して
[00:42:48.640] パチパチパチちょっと休憩しておいで
[00:42:50.280] カード見てるから休んでなよ次も何敵です
[00:42:52.319] よざらは聞きますが期待してはいけません
[00:42:54.200] よJは100100いつエブリワンひ染め
[00:42:57.160] ヒーアンロベア悪トタル218流れはき
[00:43:00.920] てるじまさん最高人山超えたなよし
[00:43:03.319] ちょっと休憩してきてくださいダアがリ
[00:43:05.480] あるちょっとずつちょっとずつそれよるか
[00:43:07.839] なんですよよしよしよしよしマジで休憩し
[00:43:10.599] てこいよひふひふこれで派もう指導しか
[00:43:14.640] ない空吸ってさ水飲んでさ行ってこよう
[00:43:18.920] ドキドキするわこれアンカの風止て
[00:43:23.599] ゆっくりゆっくりこあのクリップ見て
[00:43:30.000] こどっちる
[00:43:32.400] から
[00:43:34.400] 満す
[00:43:37.600] [音楽]
[00:43:44.800] 憩ゆっくり
[00:43:47.270] [音楽]
[00:44:04.079] なじの黄色や種
[00:44:10.250] [音楽]
[00:44:12.720] た落ち着いていこうやれてこいつまでやな
[00:44:17.880] 命な
[00:44:24.680] 判断必要ですよ
[00:44:30.680] きかしちゃいなきチャレンジすると同
[00:44:36.600] [音楽]
[00:44:39.640] よれっ
[00:44:42.040] 倒時間はたっぷりあるゆっくり
[00:44:46.640] なまいい
[00:44:51.720] よ聞かないのでくんだよ実は
[00:45:00.800] 聞く
[00:45:01.720] よマジか
[00:45:05.880] 笑低確率やけど通ることは
[00:45:12.200] 通るここまでか失礼しましたここまでかな
[00:45:16.960] もうワザなき行く
[00:45:28.200] まだチャレンジできますあくそなんでだよ
[00:45:34.000] ボスなのに聞くんですねいやこのまま物理
[00:45:38.200] 的にきしてしまおうああワンえ怖いあせ
[00:45:45.000] [音楽]
[00:45:57.440] 帰るならここ王ちても大丈夫順どうしよう
[00:46:01.559] もないです
[00:46:04.359] おねパチパチパチパチパチパチよしよし
[00:46:08.079] よし
[00:46:08.780] [音楽]
[00:46:11.680] よしよしナイスやったパチパチパチ
[00:46:16.520] よっしゃやったいいぞおめでとうござい
[00:46:19.480] ますろパチパチパチよしおよし帰るべ
[00:46:24.319] パチパチパチよし逃げろよしさはい
[00:46:27.319] パチパチ一旦帰ってちゃまさんも休憩
[00:46:29.880] しようちゃま三でう笑笑パチパチパチ
[00:46:32.319] 888首の皮1枚ナイスパチパチパチ一旦
[00:46:35.920] 帰るゴドパチパチパチあっ
[00:46:39.119] なよし戻りましょうパチパチパチよしよく
[00:46:42.359] 頑張ったパチパチパチ帰ろう体大丈夫か
[00:46:45.480] やったぜ帰れるかパチパチパチ主催者
[00:46:48.359] 大喜びのプレイングよし帰ろう白から
[00:46:51.160] 飛び降りてキメラ使えばいいよ
[00:46:53.040] パチパチパチ888よくやった
[00:46:55.599] パチパチパチ帰るぞ帰るぞパチパチパチ
[00:46:58.440] 帰って休憩しよひめの翼で心拍数が
[00:47:01.680] パチパチパチパチパチパチちゃまさん行っ
[00:47:04.280] て笑心拍数が落ち着いてきた笑笑リレと
[00:47:07.880] 矢印キメラの翼ゲームよりちゃまさんの方
[00:47:10.440] が大事あの落ち着けと言って落ち着くのは
[00:47:13.200] 無理な状態ですが帰るかどうか迷う理由が
[00:47:15.920] なくなったオッケー祠では蘇生できた
[00:47:18.559] だろうかちゃまさんすごいナイスすぎるそ
[00:47:22.280] レミとあったサマンサが持ってるよよしん
[00:47:25.640] だちゃまくちゃうと解違なんで13分
[00:47:29.240] くらい休憩してもらえるナイス1回の
[00:47:32.480] プレイに時間をかけてください焦らないで
[00:47:35.240] くださいナイス配信者として持ってる笑
[00:47:39.520] ナイス
[00:47:40.690] [音楽]
[00:47:52.280] 感一旦休んで
[00:48:00.000] ちょっと休もうちゃまく死なないでなんて
[00:48:03.280] また偉そうなことを事故拳を体がもう
[00:48:07.520] まっすぐに保てない笑酸素回ってない顔し
[00:48:11.280] てんだよ鍵捨てそうになった笑座ってて
[00:48:15.079] 身体フラフラしてるのはやばいから止まっ
[00:48:17.520] てずっと心拍下がらないのやばい笑顔
[00:48:21.160] 可愛い笑1回休憩してこおえ出てますやん
[00:48:25.079] 笑ちょっとお休んでも
[00:48:27.319] 金はいっぱいあるゆっくり行こうこれは
[00:48:29.920] 熱い休んで落ち着いていけば大丈夫みんな
[00:48:33.480] ついてるブレイクタイムとろ危ないから
[00:48:36.359] ちょっと休んでもろて一旦外に空気吸いに
[00:48:39.680] 行って休んで休憩休憩とりあえず
[00:48:43.040] コントローラーから手を止めてほしい
[00:48:45.520] いきなり立ち上がると危ないから動くなら
[00:48:48.319] ゆっくりだよみるからごちょっと1回ここ
[00:48:52.160] で5分休憩トイレ行っておいで一度休憩し
[00:48:56.000] てくれナイスナイスなてい
[00:49:00.400] かてい
[00:49:03.440] 休憩をってらっしゃい休憩いいぞ笑笑よし
[00:49:08.000] よしナイス休憩キメ買わないと5分休憩
[00:49:10.880] いいよ休憩しないいよいいよキメラ補し
[00:49:12.880] なくて大丈夫か絶対その方がいい
[00:49:14.520] 素晴らしい休憩大丈夫だよ待ってるよ
[00:49:16.319] みんないいよオオ休憩しよしよいいぞいい
[00:49:18.400] ぞいいよいいよいいぞいいよよ休憩5分
[00:49:21.040] メラ行こメ買ねメ絶対買忘れてたごめん
[00:49:25.880] ありがとお尻行ってらっしゃいちゃうケが
[00:49:28.559] 出さなきゃオ横になっていいぞいいよいい
[00:49:30.200] よ笑横になってくれいいけど出すなよ絶対
[00:49:32.280] 出すなよなっていいよ休憩無理破せとこお
[00:49:34.400] 尻出さないでね笑お尻出さないでね休憩
[00:49:36.400] 行ってらっしゃいこれ団の休憩楽な姿勢で
[00:49:38.319] どうぞ戦さんを止めれるのはちゃまさん
[00:49:40.359] だけ横になってどうぞ横になって良いぞ
[00:49:42.119] もっと休めケツ出すなよ横になっていい
[00:49:43.799] けどお尻把してもろてケツだけ出さないで
[00:49:45.559] くださいね休憩しよう横になって笑やむ
[00:49:47.559] ちゃみたいになってるそれが彼の最後の
[00:49:49.000] 言葉だったお尻みんなお尻出すなっていう
[00:49:50.559] の草笑笑これハケを出すなれ真近高速気味
[00:49:52.920] ですか大丈夫ですかこんばんは判決タイム
[00:49:55.160] やむちゃ草お尻出したらあかんで笑お尻
[00:49:57.160] 出さないようにね肌色でそうすでに322
[00:49:59.040] 時間視聴しているのでここでつまづいたら
[00:50:00.520] 悲しいですからゆっくり確実に進んで
[00:50:02.200] ください出しタイムナイス休憩お尻が半分
[00:50:04.400] ぐらいの人がお尻の心配してる笑今吐気に
[00:50:06.440] せず休もうお尻やむちゃ笑笑レにドボル
[00:50:08.799] ルモマサマルトリアの王子再現中継URL
[00:50:10.920] 省略Twitchテレビヘアトレス
[00:50:12.240] クリスピーサラドケボードカット-4スボ
[00:50:14.079] 69ぶじお尻ネタ気にしてて草やむちゃ笑
[00:50:16.839] 笑笑おもろいずすぎる笑笑お尻の心配が
[00:50:19.559] 笑笑かっこいいのに可愛いとかなんやこの
[00:50:21.599] 配信者笑ケだしはダメよ笑あと20分で
[00:50:24.599] キーワードプレゼントが締め切ります皆
[00:50:26.359] さんよろしくお願いします栄養刀やむちゃ
[00:50:28.680] 休むのじゃURL省略Twitchテレビ
[00:50:31.119] カレフベロベドパトリゲムストルトオ7
[00:50:33.839] アプス服4リムお尻笑笑Tバックなら
[00:50:36.960] セーフですか今432人だってよお尻さ
[00:50:41.319] ないでね呼吸してね復活の呪文を深呼吸を
[00:50:46.280] してくれさて見ている方もハーゴン攻略を
[00:50:49.760] 考えなくてはボテさんフームURLここに
[00:50:53.240] ハっとき呼吸くださいベホマ
[00:50:57.960] ホマあのさ呼吸しあの誰か
[00:51:02.559] さ13人目のさ者なりたい人
[00:51:10.040] いる誰入って
[00:51:12.480] [笑い]
[00:51:15.360] [音楽]
[00:51:16.799] よ教え
[00:51:25.559] ます
[00:51:33.040] [音楽]
[00:51:42.000] 笑笑13人
[00:51:44.079] 笑笑いいれてます信じていきましょう13
[00:51:47.400] 人笑笑限界が来た笑やるよドラゴン
[00:51:50.559] クエストないけどやるならボテさんやろ笑
[00:51:52.960] おい笑笑ボテさんがやりたいってボテさん
[00:51:55.280] 行きますか笑行けボッ主催者笑笑緊急募集
[00:51:59.359] 笑まだ1時間経ってないぞ笑笑おい笑笑
[00:52:02.240] まさかの展開笑まだ横になってこれは冒険
[00:52:04.680] を始めたボテさんが笑笑笑笑ボテさんで番
[00:52:07.440] やボテさんやりますか笑笑笑だめですやる
[00:52:10.200] なら販召喚するしかなていうネタなんだよ
[00:52:12.119] なまさか主催者これは続けるの危険だよ
[00:52:14.720] 笑笑13分目の者がこのまま無上で
[00:52:16.880] あっさりクリアしたら草笑行けお前が主人
[00:52:19.400] 公なんだよプレイヤーにもボ求めるの草じ
[00:52:21.559] ちゃんゆっくりその言届いたよしっかり
[00:52:24.720] 主催者が閉めるのか邪魔がやるだろうボテ
[00:52:26.839] さんはそう言ってくれると思った数安定し
[00:52:31.400] てなんかちょっと泣きそうなんだ
[00:52:34.920] けどた笑孫の13人目笑笑ここでまさかの
[00:52:38.960] 隊長不良笑ちゃまさん無理しなくていい
[00:52:41.520] ここで入ったとしても神この戦闘が
[00:52:43.760] リセットされるんだよほかここで行ったら
[00:52:46.640] かっこいいのにな一応ね医療従事者だから
[00:52:49.240] 言うけどこのまますぐ続けるのは危ないよ
[00:52:51.760] なんやこいつもうさボテさか笑届いたボ
[00:52:55.960] さんこれでなくなったら主催者初にれるの
[00:52:58.760] ですか頑張ってくださいませいろはちゃん
[00:53:01.040] 笑笑そしてリスナーの何人かが同時に
[00:53:03.319] ドラクエにを起動した
[00:53:05.240] 笑笑休憩しない君こそが主人公だよ頑張っ
[00:53:08.880] てくれもうここまで来たらもう最後まで
[00:53:11.079] 行くしかないなんや
[00:53:15.160] こいつさんありがとう
[00:53:18.400] 情調れるだろうねもう少し休憩した方が
[00:53:21.520] 良いと思うド君も今こんな感じなんかなメ
[00:53:24.599] の翼だいぶ落ち着いてきたねまだゆっくり
[00:53:27.079] しときもうちょっと休憩しよまた上がった
[00:53:29.400] じゃあキメラ買に行こう深1履いてナレ
[00:53:32.480] ナイスレイドですキメラ48仮人生
[00:53:35.760] プレイド48人による100%リレバグに
[00:53:39.079] なったら即終了から来ました息を吸うのは
[00:53:41.799] 自然にできるからゆっくり息を吐くの意識
[00:53:44.359] ねナイスレドナレわいナイスレド
[00:53:47.280] とりあえずキメラの翼だナイスレド頑え念
[00:53:50.880] のためにキメラ買おういや止まってちゃま
[00:53:53.720] さん頑張ってください時間はたくさんある
[00:53:56.559] あるからゆっくりしてくださいなおえおえ
[00:53:58.559] おエスなんかやばい顔してる手先がしびれ
[00:54:01.440] てるのも酸素が言ってないキメラ買い直し
[00:54:04.079] たらピザ取ってもいいよ15分くらい休憩
[00:54:06.880] してもいいぞちゃまさんギブなら正直
[00:54:09.079] におう無理したらあかんよやっぱりカメラ
[00:54:11.960] の外で進呼吸した方が1回進呼吸して
[00:54:15.160] 真面目に誰かに交代考えても良いと思う
[00:54:17.799] 諦めないでくれいや本当に新呼吸して吐き
[00:54:20.880] そうナイスレドを人さんから来られた皆
[00:54:23.400] さん少々お待ちください自分たちの声が
[00:54:26.400] ノズに感じるなら耳から音を消すのもいい
[00:54:28.680] のではそやそやピザ取ろうぜ大丈夫笑
[00:54:32.319] 頑張ってください酸素がないなら外出て
[00:54:35.040] 呼吸してきて酸素ボンベ必要話聞いて
[00:54:38.640] みんなゲームより心配してもいてるし
[00:54:41.200] 交大夫ですかあ間違って休憩しなはれ笑
[00:54:47.119] です外で呼吸してください無理しないで
[00:54:50.920] 部屋の酸素少なくない袋で口を覆って自分
[00:54:54.000] の呼整えていきなり動くと心拍数上がる
[00:54:57.440] から外出て体温下げつつ外気すおう1時間
[00:55:01.640] 遠くしてもいいんですいやここで無理さ
[00:55:04.200] れるのが一番嫌だどうして緊張したら
[00:55:06.680] みんなリレミトをするのか笑大丈夫ピザと
[00:55:10.000] いうなの惣菜パン食べとく無理しないで
[00:55:12.319] くださいリレミトしてるあたり本気だこれ
[00:55:14.799] なんならイヤホン外して落ち着かせてから
[00:55:17.200] やってほしい心拍数100切ったらやろう
[00:55:19.960] 無理せず休憩して大丈夫と言っ瞬間のこの
[00:55:23.680] 休憩するこの休憩るその富士さの情ですか
[00:55:28.799] 落ち着いて忘れまうのがだ
[00:55:32.160] から出て呼吸キメラで休憩ね
[00:55:37.000] あ大丈夫ですか大丈夫
[00:55:40.300] [音楽]
[00:55:49.599] この後じゃなくいまし
[00:55:52.599] ていや大数下がらなすぎでは無理して
[00:55:56.799] 欲しく
[00:56:00.440] ないよし休憩だ緊張しすぎて顔がカメラ
[00:56:05.000] から外れてるよって言ったら深度分かる
[00:56:07.799] かしら数になってた
[00:56:11.960] 憩このハがえ
[00:56:17.400] て
[00:56:19.880] [音楽]
[00:56:22.599] すい40分も見てば分すぎるからしなはれ
[00:56:27.280] 危ない危ないいてらふらふら笑笑お休憩
[00:56:32.160] ナイス笑笑危なちょっとフラフラやん笑笑
[00:56:36.200] ちゃんと休んでいてらゆっくり移動してね
[00:56:38.720] 危ない笑笑大丈夫です嘘でしょやばい笑笑
[00:56:42.400] とりあえず休憩してください笑うまだ1
[00:56:44.720] 時間も経ってないのにこの状態か大丈夫な
[00:56:47.200] のでしょうか膝が笑ってる笑笑死にかけ
[00:56:50.079] てるじゃないですかマジか別人帰ってこ
[00:56:52.480] ないかなマジイヤホン外して休憩でいい3
[00:56:55.119] 半期間行ってるいてらボテさん用意しとい
[00:56:57.680] てね笑笑ってらっしゃい光りあれ5分じゃ
[00:57:00.599] 短すぎるのよゆっくりねフラフラ笑笑5分
[00:57:03.640] とかじゃなくていいマジ人生プレイゲーム
[00:57:05.559] だからねイベントと入っても大丈夫かこの
[00:57:08.000] 人別人帰ってきてちゃまくのふりするの草
[00:57:10.559] さき飛んできたら血管切れそう次部屋の外
[00:57:12.960] からボテさん入ってくる一体何が本当に
[00:57:15.359] 無理しないでくださいを休んでくださいね
[00:57:17.319] 本当に死にかけですし30分とか休憩取っ
[00:57:19.720] てくださいねてかボテさん一緒に喋って
[00:57:21.720] あげればいくらか楽になるんじゃないあれ
[00:57:23.559] だったらディスコのトークでつぐから
[00:57:25.319] フラフラになってるな戻ってきたら
[00:57:27.240] すっごいスリムになってないかな名曲堪能
[00:57:29.880] してますね英語ゆっくりこのままだと
[00:57:31.920] ちゃまさんかわいそうだよこういう状態
[00:57:34.079] ってなれるのでしょうか私は負けても怒ら
[00:57:36.599] ないのですが主催者覚悟しておいて
[00:57:39.039] ください過去級になってない人は分から
[00:57:41.400] ないかもだけど下手したら意識消失する
[00:57:43.520] から煽りやめて正直やめさせるか話し
[00:57:46.599] ながらじゃないとまともにプレイできない
[00:57:48.559] と思うよDiscordでセコンドに入る
[00:57:50.920] のはありかもですね時間はめっちゃある
[00:57:53.520] から休憩する時間あるからさんと会話し
[00:57:57.240] ながらも心強くて落ち着くかもねしっかり
[00:58:00.520] 休憩して欲しい
[00:58:11.319] ね遠くしながらの方が落ち着くかもしれ
[00:58:14.760] ませんね少し血圧高い人が血圧測るのに5
[00:58:18.359] 分置いてから測っても安定しないんだよ今
[00:58:21.559] の状態から5分休憩したところで無理よ
[00:58:24.520] 大丈夫かな考えるを大事になさって
[00:58:27.000] ください
[00:58:30.920] ねこれ心拍数って生きとるん
[00:58:34.680] か頑張れ
[00:58:37.130] [音楽]
[00:58:41.240] 頑張れ頑張れ
[00:58:44.799] 頑張れこれは11人のうち誰かしら話し
[00:58:48.440] 相手なっていただいた方がいいのかも
[00:58:51.240] とりあえず落ち着くまで休憩しよ
[00:58:56.160] ああ聞こえますか聞こえますかブルースだ
[00:58:59.760] から距離離れたら拍数は更新されないと
[00:59:02.920] 思うよ心白数は通信切れてそう主催者来た
[00:59:07.599] ここの心拍数は部屋の外に行くと切れる率
[00:59:10.599] が高いですお系通信切れてますね生いてる
[00:59:14.559] かも
[00:59:16.520] しれ聞えますよ聞こえるえっとマさんが
[00:59:20.880] ですねあのドラゴンクエストのボイス
[00:59:23.200] チャットにあのくも切り忘れてたのでえ
[00:59:28.400] ちょっと僕がつなぎたいと思いますはいま
[00:59:31.480] チマさんにはねなんか時間使ってほしいの
[00:59:33.880] でえっとですね
[00:59:36.440] あのこれ今のうちにちょっと宣伝というか
[00:59:40.480] 最後のあれなんで10分前になったん
[00:59:43.799] でドラゴンクエスト2人生プレイドリレ
[00:59:47.440] 視聴者プレゼントっていうやつをちょっと
[00:59:50.119] 応募まけておりますので
[00:59:54.090] [音楽]
[01:00:24.960] ましあの名のあのがいたんですけどあの
[01:00:30.640] 1人1つずつ感じれたなんかキーワード
[01:00:34.079] みたいなのがあってそれをなんか並び替え
[01:00:37.440] たら1つのまドラゴンクエストの分になる
[01:00:40.480] のでよかったらあの応募よろしくお願いし
[01:00:43.720] ますはいえっと僕は
[01:00:47.280] ちょっと手やってるので今はいでこの後彼
[01:00:52.200] があの全滅しようがあのクリアしようが
[01:00:56.720] はいなんか戒式であのこの枠でそのままえ
[01:01:01.160] 当選者を発表したいと思いますのであと
[01:01:04.000] ですねあのこれは2位でいいんですけどえ
[01:01:07.520] レイドリレで1番印象に残った場面って
[01:01:09.880] いうのもあのちょっと受け付けております
[01:01:12.680] のでよかったらそこもあの書いていただく
[01:01:16.799] とはい発表したいと思いますはいははい
[01:01:20.559] あのいっぱいあるのではいほえいうところ
[01:01:24.280] かなん
[01:01:26.119] ませんけど
[01:01:27.359] はい今回は僕もあれですねあの12名あの
[01:01:32.480] 最低1時間2時間はあの見てましたまし
[01:01:37.240] えあのこのままさんがあ30分間帰ってこ
[01:01:42.119] なかったら僕がやり
[01:01:44.440] ます僕がやりますのでちょっと安して
[01:01:50.240] くさいちゃさんがいつでも帰ってきても
[01:01:52.720] いいようにあのあさん来ましたねはい心配
[01:01:56.920] のでちょっとありがとうございます
[01:01:59.039] ニュートにしますはいテちゃん心配だろう
[01:02:02.640] けどお疲れ様やでお聞いてたか31分後に
[01:02:07.200] 帰ってくるんだぞよかったこのままついで
[01:02:10.520] もらおきったおかりちゃまさんおかりおか
[01:02:14.559] 助かるお無事だったおかりなさいおかり
[01:02:17.960] 帰って来られるさおかりおり洗ったお帰り
[01:02:22.559] おり5分10分では体のれ取れにくい帰り
[01:02:26.359] おりおりおりさん通話に入っていでくれて
[01:02:29.640] たおりおりなさい水分ってくれおりなさい
[01:02:33.920] 入りましたかお帰りまだまだ休んでや
[01:02:36.559] 大丈夫か無理せずにお帰りなさいお帰りお
[01:02:39.680] 帰りなさいおりお帰りなさいませ2時
[01:02:45.410] [音楽]
[01:02:54.839] までまだいるちょっと話さ
[01:02:58.000] [笑い]
[01:02:59.920] ないちょっとさちょっとちゃんこれやばい
[01:03:04.620] [笑い]
[01:03:11.160] よおとんでもねえイベントやってん
[01:03:16.119] などうてん
[01:03:18.230] [拍手]
[01:03:19.599] だあのバトン重すぎでしょやすで
[01:03:24.760] 潰れる
[01:03:26.319] り入ってるでしょであのね俺次言っとくわ
[01:03:31.359] ちゃんさあの次レするじゃんまおアンやれ
[01:03:39.880] よお
[01:03:46.240] [音楽]
[01:03:48.000] 者このみ
[01:03:53.640] [音楽]
[01:03:56.079] じゃクリアしたらはいちょっとよろしくお
[01:03:59.520] 願いし
[01:04:00.520] ます多分今んとこでも順調なんでまあまあ
[01:04:04.440] ま見せてくれるかなと思いますなんで
[01:04:08.279] そんな
[01:04:09.240] なんかいやちゃうんよあのずっと33時間
[01:04:13.480] 前やからね僕やってそうだねあの気楽と
[01:04:17.000] いう
[01:04:17.240] [笑い]
[01:04:19.039] か昨日のもんめちゃめちゃでも
[01:04:25.839] は本にあのこの間中4時間ぐらいしか寝て
[01:04:30.000] なくてずあの配信見てました
[01:04:35.000] 催者があの終わりって終わったらじゃ
[01:04:38.240] 頑張ってくださいていうのなかなか
[01:04:44.920] ダのでやってれるかなと思いますここまで
[01:04:51.930] [音楽]
[01:04:54.200] た行くでしょ私終わっ
[01:04:59.559] し間違っても行ったにブリザードでやら
[01:05:03.119] れることはないようにして
[01:05:04.640] くださいマジでダサいんでそれねあるんだ
[01:05:08.559] よなありますねこれもう大丈夫ここまで来
[01:05:12.559] たらも俺女神があの微でると思ってるんで
[01:05:16.039] まあとダメでもあの笑い
[01:05:25.760] 笑何で
[01:05:32.950] [音楽]
[01:05:33.980] [笑い]
[01:05:36.410] [音楽]
[01:05:39.760] 絶
[01:05:41.520] まし全然
[01:05:43.440] ダやったらったらさん
[01:05:47.039] のれし
[01:05:48.720] てにしましょうそれきましょ行くわ
[01:05:53.359] ありがとうのでちょっとミュートしてき
[01:05:55.279] ますありがとう
[01:05:57.920] 直しの準備しあ数変わんなくなっちゃった
[01:06:01.160] ごめん待って今今付け直すねクリアできて
[01:06:04.279] ない
[01:06:05.119] ルフさん笑笑大丈夫落ち着いていき
[01:06:08.559] ましょう楽しく終わればいいのですここ
[01:06:10.799] まで来て怒る人ませんよ自分が言っても
[01:06:13.480] 慰めになりませんが気持ちで負けちゃだめ
[01:06:17.839] だ発勝負なので大丈夫大丈夫みんなで
[01:06:21.599] 笑おうポテさん優しいなレト上げてほしい
[01:06:25.680] 笑ポテちゃん惚れるわ笑ってやろうぜ今
[01:06:29.440] 唯一のメディカルチェックだから笑ゲーム
[01:06:32.799] だゲームだよし笑いろ水分取って深呼吸し
[01:06:36.760] てやばくなったらすぐテレフォンですよ
[01:06:39.880] 楽しんで何にしても笑えるからいいぞ
[01:06:43.240] こんなちゃちゃ見たことないですゲーム
[01:06:46.599] ゲームだから
[01:06:48.559] ねあとは勝って笑う
[01:06:52.359] だけ全滅しても笑い話にしよ
[01:07:05.760] これがドラゴンクエスト
[01:07:08.119] 2この人たには関係ありません33時間
[01:07:12.960] ついできた
[01:07:14.640] 絆33時間ついできた思いこの人たには
[01:07:24.520] 畜笑笑いきなり笑笑笑笑笑フラグ収早く
[01:07:28.160] ない笑笑フラグよ
[01:07:30.039] 笑笑笑おいおい笑笑笑笑笑おいフラグ笑笑
[01:07:33.799] めいいこいつしてん
[01:07:37.130] [音楽]
[01:07:42.200] 笑笑笑みに聞きたいここどう
[01:07:48.400] するうしよっか逃げるか持ってん笑笑笑
[01:07:54.119] 終わらせに来た笑笑だろさすがガーさん
[01:07:56.880] ラグ笑笑レシが攻撃などこに行った題し
[01:08:04.240] たみ祈て
[01:08:06.920] くみ祈てくれろ
[01:08:25.600] してやる1回逃げる逃かああ足った足った
[01:08:29.960] マジで痛い痛い痛足っ
[01:08:33.880] た
[01:08:37.440] まずやめろ
[01:08:39.759] 笑笑笑怖い怖い笑笑笑許され
[01:08:43.300] [音楽]
[01:08:45.560] たね
[01:08:48.880] 足許されたねやっぱ笑笑怖あねめ恐ろしい
[01:08:54.239] 許された助かった来た終わったかと思った
[01:08:56.080] うこは怖えされた笑笑笑笑お様あ笑き笑笑
[01:09:00.440] 笑笑笑笑足笑笑よく逃げた笑笑釣ってる笑
[01:09:03.199] 怖笑笑逃げ切れた笑笑落ち着いて笑笑
[01:09:05.359] ナイス逃笑笑おろすぎやろ笑笑笑笑じさん
[01:09:07.719] 最高笑すごいのきだ笑笑て笑笑笑笑え笑笑
[01:09:12.400] あお尻出る足笑笑きが配信者に急それ足も
[01:09:14.960] 釣りますわ足が笑笑きって本体に足るんだ
[01:09:17.120] な何と笑笑心体入りすぎなんだよな笑笑お
[01:09:18.960] 尻出るぞ大丈夫だ金はる足か逃げていいん
[01:09:21.239] だ逃げていいんだ逃げていいんだ笑笑力の
[01:09:24.040] その体れちゃう足った足った大
[01:09:27.520] 肉で滅してたね全身のしが足に水飲んで
