[00:00:16.279] ジマゲームさんコメントお待ちしてまジマ
[00:44:31.040] ね我野郎死ぬまでじじバになるまでも来い
[00:44:34.400] なパートナーなりたくねていそういうこと
[00:44:36.760] じゃそういうことじゃないんだけどそう
[00:44:39.000] いうことじゃないんだけどあのなんか遅れ
[00:44:42.240] た女屋の金だよなんつてカメラの前で腰
[00:44:44.480] 振ってたら絶対なれないと思うわそれは
[00:44:47.280] 分かってる俺もえー元気な光とまた1年
[00:44:51.119] 最高だね
[00:44:53.880] [音楽]
[00:44:58.160] よし容姿100100はまあ保っといた方
[00:45:01.640] がいいのかもしんねえな容姿は
[00:45:04.160] なさあ光とデートなんだけど1かまいっか
[00:45:07.960] 1回行こさん好き勝ってやらなくなったら
[00:45:10.599] もぎちゃんと俺見に来なくなる
[00:45:13.800] よ好きかってやってんだろうがよはいくそ
[00:45:17.599] 可愛いくわるさんやって矢印してたん
[00:45:22.559] だそうか俺も早くくればよかったなそんな
[00:45:26.319] ことないよ
[00:45:27.640] 私は来たかったから早く来ただけくそ
[00:45:30.359] 可愛いじゃ行こうよ行こうぜこんなこう俺
[00:45:33.839] はあれだよ昨日こんなこの俺はデート
[00:45:37.640] すっぽかしたよこんな風に多分その日も
[00:45:41.800] 待ち合わせよりも何分も早く来てたん
[00:45:43.720] だろうな何分も早く来てワクワクしてたの
[00:45:46.520] に俺はすっぽかし
[00:45:49.240] た晴れてる時は最高の景色だから当然だよ
[00:45:53.079] ね早速入ろうよおいそうだね入ろう
[00:46:00.280] すっごく遠くまで見えるさん信じられない
[00:46:06.079] な普段は見えない景色だからえ感激屋だね
[00:46:09.240] 高いところから見れば当たり前これだろは
[00:46:12.119] そうかも多くの景色って見るだけで興奮
[00:46:16.280] するよねそうだね普段見えないものって
[00:46:18.440] 見えた時にすごく興奮しますよ
[00:46:22.800] ねはははははは割といいよし
[00:46:30.200] 今
[00:46:37.680] はさんあのさあ追加デート来ねえな
[00:46:42.079] なかなか追デートってレアなのかなそんな
[00:46:44.680] ポンポンポンポン毎回来ることじゃねえん
[00:46:46.200] だろうな多分な
[00:46:49.559] えっと
[00:46:51.400] アター
[00:46:54.079] アフターて言いすんなよ
[00:46:58.079] 1月4日からえペンギンちゃんに会えると
[00:47:02.599] メダルゲームとかあんまあの子興味なさ
[00:47:04.440] そうだからあちょっと待って次の週は1回
[00:47:07.640] ちょっと潰してあのあれするわ
[00:47:12.520] あのなんだっけかえ女の子の評価聞く
[00:47:16.880] なんか爆弾抱えてるくせんだよ
[00:47:20.040] なこれでさ1週間潰れるのもったいねんだ
[00:47:23.240] けど
[00:47:24.680] なはいはい教えてちょうだいね
[00:47:29.680] えっと女の子のお前に対する評価はねうん
[00:47:34.760] こんな感じだよどこが誰がどうなってんの
[00:47:40.359] えーあれさ替え
[00:47:43.650] [音楽]
[00:47:45.000] でこえさ楓でこわたるんさんはいはい来
[00:47:50.359] まし
[00:47:51.079] たちょっと待っ
[00:47:53.240] てんあれささんって
[00:47:57.359] 嘘割とやばいあれささんていなくなったん
[00:48:00.359] じゃなかったっけ転したんじゃないのあれ
[00:48:04.119] かえ更したよねこいつねはお前別の学校で
[00:48:08.760] 俺の悪口言ってるってことクソ性格悪じゃ
[00:48:11.640] ねえかよこいつスタン攻撃こいつくそくそ
[00:48:14.800] 性格悪いさん笑笑は爆発でもんでもしろよ
[00:48:19.359] かがよおの相手なんか死
[00:48:22.680] ねえいいっていいってじゃね
[00:48:27.640] え何どういう
[00:48:29.520] ことマジ
[00:48:34.000] でえマジでどういうことだいるのか転校し
[00:48:38.240] てても遊べるってことえそんなの順に悪く
[00:48:42.240] てできねえ俺そんな
[00:48:43.760] こと
[00:48:45.920] えっとえこれだって
[00:48:51.480] 電話え繋がんのつおどうしようもねえよ
[00:48:55.680] こんなんおい
[00:48:58.440] はえマジでフェイトさこれどうすればいい
[00:49:01.920] のえフェイトさんこれどうすればいい
[00:49:05.280] のんかバグの人とかえどうやっての人に
[00:49:10.280] だっ
[00:49:13.000] てきえに何さんさんの仲人とかさんあどこ
[00:49:21.640] に引っ越したかてことかもしかして
[00:49:24.450] [音楽]
[00:49:28.160] なんだ当たり評価あ評価じゃないごめん
[00:49:32.200] 間違っちゃったえうん情報うんいいよえさ
[00:49:38.640] 了解
[00:49:40.359] えっとうんああったったうんよく聞きはい
[00:49:44.760] はいはいこんな感じだよ大門高校に転校し
[00:49:48.480] てしまった向こうでも野球部マネージャー
[00:49:50.839] 転校しても遊ぶことができるとどいうこと
[00:49:55.319] いいっていいってえでもこれ何かあったあ
[00:49:59.760] さ順に教えてやりてんだけどさんほあ
[00:50:02.680] いちいちめんどくせえな一番めんどくせえ
[00:50:04.319] キャラクターに当たっちゃったねあの爆弾
[00:50:06.799] がオオオまあままいいでしょ容子高めよ
[00:50:09.839] 容姿高めのあいつ遊んでくんねえからさお
[00:50:12.920] さゆさんさん落とした何が何が何がおちゃ
[00:50:17.760] こんばんは昨日はレドありがとうね昨日は
[00:50:19.520] レドありがとうひひ剃っちゃった見て剃っ
[00:50:25.640] た髭剃ってきました今日俺どうでもいい
[00:50:29.559] 報告さん髭落とし髭落とし
[00:50:32.680] た髭落としましたよえ替え
[00:50:37.319] でこでお前爆弾抱えてんだおさゆさんさん
[00:50:41.799] なんでそうなんで仕事でさ今の新しい案件
[00:50:45.119] がさちょっと相手が厳しく
[00:50:47.200] てさらちゃんもしもし橋本だ
[00:50:51.400] けど話して
[00:50:54.400] れでもなんかなんかすごい俺のこと好きっ
[00:50:58.079] ぽいよなんとなく声が聞きたくなっちゃっ
[00:51:00.960] てそうなのえなんかめっちゃいい感じじゃ
[00:51:03.720] ないおいなんかめっちゃくちゃいい感じ
[00:51:05.160] じゃねえかよ浮気すんなよそういえば最近
[00:51:07.119] ささんその案件ちんさんただ変な声あげて
[00:51:12.480] ますあやべそそう女の子来たからやめよう
[00:51:14.799] モード切り替えそう切り替えなそうはい
[00:51:16.920] じゃ今日はですね今日はですねえてそう
[00:51:19.640] 女の子って怖いね女の子って怖いね表で
[00:51:22.200] こんなこと言ってても裏ではね俺の悪口
[00:51:24.319] いっぱい言ってんだよ怖いわ今日はですね
[00:51:26.720] えこちらの
[00:51:28.240] メリア2とゲムをやらていきたいと思い
[00:51:30.960] ますね愛の験があまりとは言えない僕です
[00:51:34.400] がっ
[00:51:36.890] [笑い]
[00:51:47.400] てい
[00:51:51.520] の10野
[00:51:56.799] バカ野郎108回も持たないよつってな
[00:51:59.240] バカ野郎ううんまたかけてもいいかな
[00:52:02.119] もちろん
[00:52:03.799] またえこれでさ爆弾解除できたこれで爆弾
[00:52:08.960] 解除行けたこれで爆弾解除行けました
[00:52:12.640] かおささんさんクリップうるさすぎ
[00:52:18.280] ためっちゃうるさい俺さ金やってる時のさ
[00:52:21.440] 声めちゃくちゃうるさくない俺もさ昨日
[00:52:23.359] 自分のアーカイブ見て引いたもんでうせな
[00:52:27.119] 全部声してる音割れ下げるか俺ちょっと声
[00:52:30.640] あ音下げよう
[00:52:32.400] ちょっとマジでうるさいのね俺ってマジで
[00:52:36.079] うるさくない
[00:52:37.440] 俺これがリアルで恋愛をしてこなかった男
[00:52:40.480] のマロだゲームの中の女の子に合されて
[00:52:43.359] テンションが上がるさんURL省略T
[00:52:46.480] テレビブグ
[00:52:48.680] ミスティ
[00:52:51.319] 78kg音量でってんやいてくれたごめん
[00:52:57.160] なうるさくて
[00:52:58.559] なでもされしないチのとも配信なんて思
[00:53:04.000] ねえだろやっぱあげよあよしこれでくぞ
[00:53:07.760] さんおさちゃんこのクリップ面白いよいや
[00:53:10.799] それいやそれでもさ脈がないと何のこちゃ
[00:53:13.280] わかんねえだろ
[00:53:17.160] えっと素気持ち悪いよ
[00:53:20.359] ねえでも開けとくかげげいや学というか
[00:53:27.240] 芸術曲げねえとな芸術マネーとさんデブの
[00:53:31.319] 笑い方だったただただ気持ち悪かった
[00:53:35.100] [音楽]
[00:53:38.480] よリアルにただただキモいんだよなおい
[00:53:42.599] もうデートして早く女の子とデートしたい
[00:53:45.680] のにこわざわざこの匠にさ確認しなきゃ
[00:53:47.960] なんねえのが
[00:53:49.599] しんどいこうしてる間にも時はどんどん
[00:53:51.799] 進んでいくんだぞ興味ないんだよな評価
[00:53:55.720] 教えてください今日え爆弾が消えてればオ
[00:53:59.839] です爆弾消えてるよさっき悪なはいよよお
[00:54:04.599] 疲れはいお疲れお疲れお疲れはいえよし
[00:54:07.359] じゃ自習からまたデート地獄いやデート
[00:54:09.880] 天国が始まりますえそれまでえ僕は
[00:54:12.760] ストレス緩はノイローゼになっちゃうから
[00:54:14.880] なノイローゼになるからあんまりほっとく
[00:54:17.440] と今週1週間にしっかり休んだ後また光と
[00:54:22.359] デートを繰り返すなあイベント発生です出
[00:54:26.680] たからこそフリップしがあるさて帰ろうあ
[00:54:29.960] 一文字さんだ一文字さん無視ですでも無視
[00:54:33.960] しない方がいいのか無視しない方がいい
[00:54:36.520] 爆弾抱えるあれになっちゃうのかなまいっ
[00:54:39.880] かまあまあいいわいいわいいわよしデート
[00:54:42.240] 行こうデートに行きますぜえっとです
[00:54:46.520] ねちょ女の子にマジで聞きたいんだけどさ
[00:54:49.599] デート男の初デート
[00:54:52.160] で1番掘れるのってどこ
[00:54:56.760] こんなとこ連れてかれたら私やばいわ
[00:54:58.760] みたいな聞いとこうぜどううちの
[00:55:01.400] チャンネルにいる男なんかさあの持てない
[00:55:04.079] のばっかなんだ
[00:55:06.240] から全員クリアとできるのああのやっぱ
[00:55:10.720] 最後に告白されるのは1人だけだから何周
[00:55:12.920] もすればできるよ聞いといた方がいい教え
[00:55:17.880] てな俺の考えになかったらそれはえマジで
[00:55:22.480] プラネタリウムったら女の子
[00:55:25.319] 行けるすげえ言い方
[00:55:28.010] [音楽]
[00:55:29.160] 最低そうなんだね
[00:55:32.200] へええあレ君あはいはい
[00:55:36.520] はいえっと
[00:55:41.319] ねえ水族館行こっかなんかペンギンが来
[00:55:45.000] てるらしいの
[00:55:46.640] で行ける残念だなそのなんで
[00:55:53.280] よなんでよあ終わっちゃったなんで断るの
[00:55:58.079] 俺の
[00:55:58.920] ことプラネタリウムだってさ誘ってみよう
[00:56:02.599] かなえ誰よおいま誘うやつがいねえ
[00:56:06.640] ふざけん
[00:56:07.470] [音楽]
[00:56:09.240] な
[00:56:12.720] よし今週ばっちりよったぜあなんか
[00:56:15.400] イベント来るぜ最高だねわるさんお上げる
[00:56:19.920] か何何何どういうこと何言っての
[00:56:24.079] るえ
[00:56:26.599] ま誘
[00:56:28.440] るもう2月だぜそろそろ3年生になっ
[00:56:31.480] ちまう
[00:56:33.480] よ昼で夜焼肉なってあもいい
[00:56:38.319] よ俺俺がおめえとなんで俺がおとあれし
[00:56:42.799] なきゃいけねん
[00:56:45.280] だずっといねえじゃんなん
[00:56:48.079] でなん
[00:56:50.480] でえなんだよじゃさこちゃんに電話しよう
[00:56:55.330] [音楽]
[00:56:58.839] さん言ってくれる女の子おらんやろどうせ
[00:57:02.640] いない
[00:57:03.920] ねあ何これそうなのあもう一緒には遊べ
[00:57:08.640] ないんだ遊びに誘うことてできないんだ
[00:57:11.079] これず長話になっちゃったこの子はデート
[00:57:14.200] に誘えないんだねこういう風に長電話に
[00:57:16.480] なるだけなんだお
[00:57:18.640] 疲れちゃんお疲れでしてあげるよん
[00:57:26.440] ボケはなん
[00:57:28.200] だずゆいボケずっとゆいボケが続くんだよ
[00:57:34.160] なゆゆやかボケがあさんこんばんはさん
[00:57:40.920] こんばんはじちゃんもお疲れちゃん本当
[00:57:42.839] 名前が順になってる今日も京多いぞ今日も
[00:57:48.160] 京都文句多いぞやってまりますけどもね
[00:57:52.640] え芸術をちょっと高めましょうかねのは心
[00:57:56.839] が痛むんだよわたるさん優しいんだよ俺
[00:58:00.920] よく言う
[00:58:03.280] ぜねはよデートしたいんですけど
[00:58:07.920] デートちょひもっちゃんもっちゃんさ
[00:58:12.680] デートしよう
[00:58:14.680] ぜゲートボーリングサーカスあサーカスも
[00:58:19.160] 来てるん
[00:58:20.079] だいやでもちょっとペンギン見たいね
[00:58:23.839] ペンギンあもうあそっかお前部活かめんど
[00:58:29.599] くせえ全然1回誘えなくなるとこうなる
[00:58:31.920] からなんだよなさん表示名変るのについ日
[00:58:35.079] かかったそんなにそんな難しくねえだろ
[00:58:37.880] レン君はいあいいねひかりちゃん何ですか
[00:58:43.920] 何これあげるよわるさん俺もだけ名前変え
[00:58:49.240] たよ
[00:58:51.960] レンあ申などしして作りじゃないの振られ
[00:58:57.240] たいやいやいやめちゃくちゃいい感じだが
[00:58:59.280] お見ろこの方のめ具合にだよルポンさん石
[00:59:04.799] 焼き芋みたいに言う
[00:59:07.200] な頑張ったんだけどおいしいかわからない
[00:59:10.960] よじゃねクソ可愛いなんだこの
[00:59:14.760] お何この生物は
[00:59:18.039] おこの生物を研究する博士になろうかな
[00:59:21.760] 博士にわんさん髪の毛入ってるかなそれ
[00:59:26.240] マジじゃ手作り手作りだと何合わせたんだ
[00:59:31.119] バカ童貞だから持てないんだよ
[00:59:33.920] お前やあ
[00:59:36.400] やあえもんかもしんねえこいつ
[00:59:39.640] バレンタインのチョコはああもらったよ
[00:59:41.760] 本命よ
[00:59:43.400] なそんな見え張らなくてもいいよちょバカ
[00:59:47.400] お前てめえよ僕がもらったやつお前どうせ
[00:59:50.880] ギリギリを5個ぐらいもらって喜んでる
[00:59:53.000] しょうもねえカスだろこっちは愛情が
[00:59:55.039] こもった1個てめえとはちんだよ話しかけ
[00:59:58.160] んな雑魚はあってあすいませ
[01:00:03.280] んだよなんでだよだめうるさいかな女の子
[01:00:09.240] に言われた時だけこういう風にちょっと俺
[01:00:10.920] あの聞くよあのうるさい僕これ俺ワが
[01:00:14.240] うるさいとか言ったらおうるせえて言う
[01:00:15.839] けどねほらおいさんるいあ
[01:00:21.160] うるせえてら
[01:00:24.960] 下げろ中だからそうだねそうそうそうそう
[01:00:28.200] 言ってたね
[01:00:29.440] えほらわおいたたチョコあげるってさお
[01:00:34.400] もらってこいよ愛情もこもってねえただの
[01:00:36.640] ただのチョコレートもらってこいてははあ
[01:00:39.599] 行け行け行け
[01:00:43.160] ばかうぜえなんか
[01:00:47.839] むかつくいいもん別にいいもん別に俺は愛
[01:00:52.160] が愛が違うこんにちはえ嘘さんURL省略
[01:00:58.400] テレビボルム
[01:01:03.440] プリのそういうことだなそういうことだよ
[01:01:06.520] なただただ他人あれだよあのイベントだ
[01:01:09.640] からあげてます配ってますみたいな女いる
[01:01:11.520] じゃんそれと一緒だよ何このグリップ
[01:01:15.359] さんだ
[01:01:21.200] からこれでもこれでも若声音割れてんだ
[01:01:27.039] はいこんにちは白雪さんチョコもらって
[01:01:30.400] くれますか全然もらう俺にくれるの嬉しい
[01:01:34.880] なありがとう白きさんさんお気になさらず
[01:01:38.280] 物はついでですからこの子ね結構可愛いよ
[01:01:42.240] ねおい2周目誰行くか決めとこうぜおお
[01:01:46.480] ギガさんマジ
[01:01:48.240] で入ってるわけねえからやめろやめろ一発
[01:01:52.880] で分かるわこんなピンクの入ってたらギガ
[01:01:55.960] ありがとう久しぶりお疲れちゃんマジか
[01:01:58.599] 嬉しい
[01:01:59.799] レドギガさんレドありがとうえとても
[01:02:03.359] 気持ち悪い配信初見じゃないでしょお疲れ
[01:02:06.400] ちゃんお疲れちゃんレド
[01:02:08.520] ありがとうじゃちょっとあれ流しちゃか
[01:02:11.880] なギガさんギガさんレトありがとう配信お
[01:02:16.680] 疲れちゃんギガさんからお越しの6名の
[01:02:19.240] 視聴者の皆さんどうも初めましてマと申し
[01:02:21.480] ますよかったら仲良くしてください今日は
[01:02:23.599] ですねとメモリアル2というねゲームじゃ
[01:02:26.480] ないね愛です愛を垂れ流していますそんな
[01:02:30.000] 感じでなよかったら長くしてねお疲れ
[01:02:31.880] ちゃんありがとうござい
[01:02:33.599] ますだらしないやバスと中2万円
[01:02:38.940] [笑い]
[01:02:41.599] 取り片言になっちゃってんじゃんもう入っ
[01:02:45.200] たこれ絶対やばい
[01:02:48.279] ねパチモンだって
[01:02:51.839] らしいざ
[01:02:54.839] 1ああ子供できたあれなあれ
[01:02:59.799] なあれ
[01:03:02.400] なおやった行った行ったスクロール
[01:03:08.640] もあれも流す
[01:03:11.000] のはいレドありがとうございますどうも
[01:03:13.520] ちゃまと申します普段はねレトロゲームと
[01:03:16.799] え雑談配信DJ配信多重スクロール配信し
[01:03:21.319] てますなんだ多重スクロール配信ってさん
[01:03:23.440] この流れいいなスクロールだってか
[01:03:26.599] はいどうもはいどうもちゃまと申します
[01:03:29.480] ありがとうございますクリップ流すやつね
[01:03:31.839] クリップ流すやつねあれやり方わかんねえ
[01:03:33.640] んだな俺るさん好きあれねやり方が分から
[01:03:37.079] んねやり方がなからんわからんしさん設定
[01:03:41.160] はおわるさんできるよあれさあれなるさん
[01:03:46.119] 前そあのあの前ね
[01:03:48.960] あのそれをやってくれる女性配信者の方の
[01:03:52.079] とこにレドさせていった時にあのあ本当
[01:03:55.920] マジで違うんだよ違うんだよそれをねやっ
[01:03:58.559] たのよやってくれたの人がいたのよあの
[01:04:00.960] 決定する時っただろねギガプリンさんTグ
[01:04:06.359] まで設定した何それわかんない何それ
[01:04:08.440] ツイッチグルってわかんないあのそれを
[01:04:10.920] やってくれた子がいたのね女性配信者でし
[01:04:13.920] とんでもねえ下ネタでギャーギャー
[01:04:16.000] 盛り上がっ盛り上がってるあのあれが流れ
[01:04:19.640] ましてもう空気がこいつて言ってました
[01:04:23.440] こいあの
[01:04:26.200] 空気が凍りつきましてちょっとそれ以来
[01:04:28.839] 結構トラウマなんですよ
[01:04:30.599] ねも綺麗な配信をねあの心がけようとは
[01:04:35.079] 思いますけどもねのとでさうんねえそうで
[01:04:40.240] ございますか無理ないけど
[01:04:44.440] 盛さんから来てたんだけどうんうんうん
[01:04:48.010] [音楽]
[01:04:49.920] へ2個もらえたいやもらえただけでも十分
[01:04:53.279] と前2個もらってもらえただけとかそう
[01:04:56.200] わさんブランさんのッのれてた
[01:05:03.970] [音楽]
[01:05:06.160] よまそのうちやります気が向い
[01:05:10.799] たらさんそんでリベンジしたら次はっの
[01:05:14.480] リスナーに怖言われてたねさんさん草さん
[01:05:21.079] ない
[01:05:26.119] それはそれはまそのうちあの
[01:05:31.160] はいはいじゃあデートしますデートしよっ
[01:05:34.559] かなデートでもしよっかなはい行き
[01:05:37.520] ますそのうよんだなんでよそのうちだよ
[01:05:42.680] そのその
[01:05:44.079] うち言ってえあれやっぱでもまねレドして
[01:05:48.319] くれた人からしたらあれだよね確かにあの
[01:05:53.200] 嬉しいよねしてくれた方がねそうだよね
[01:05:56.039] そうだよねギガプリンさん俺が手取り
[01:05:58.799] 足取り教えますああねどうしようか
[01:06:02.920] な
[01:06:04.850] [笑い]
[01:06:06.319] ふはいじゃとりあえずゲーム行きますよ
[01:06:09.319] はいギガさんレドありがとうおさゆさん
[01:06:12.760] さんやらないの走ってるよわかんねえな
[01:06:15.799] やるかもしれえやった方がいいのだってで
[01:06:18.039] も
[01:06:18.760] なでも
[01:06:20.760] なはれん
[01:06:23.680] く嬉しいさんちなみに俺のクリップの中で
[01:06:27.920] ほじってるクリップ流れればサブ
[01:06:30.240] プレゼントしますなんだ
[01:06:32.559] そりゃそんなクリップあんのかるさん笑笑
[01:06:37.039] えー遊園遊園じゃないサーカス行きます
[01:06:42.520] スよしオッケよしオッケーでご得しないで
[01:06:48.119] ねはいギガプリンさん74分の1でり
[01:06:52.799] ますなかなか確率が低いね
[01:06:58.950] [音楽]
[01:07:01.960] ああだめだよしよしよしもうそろそろ3年
[01:07:06.559] 生じゃない
[01:07:08.200] の帰ってゲームするぜ持てなさそうでいい
[01:07:12.760] ですね持てないモテムーブさんさんちゃま
[01:07:16.520] くはチョコ最高いくつもらった
[01:07:19.400] えー3かな
[01:07:21.799] あのおばあちゃんお姉ちゃんお母さん
[01:07:28.680] バカ野郎バカ野郎がじじさ0バカ野郎がえ
[01:07:34.799] 一緒に帰るかわさんすげえじゃんお3つ
[01:07:37.640] ってすげえ
[01:07:39.240] だろえ実際どうなんだろわかん
[01:07:42.680] ねえ
[01:07:44.240] あら何かわるさん俺だよおさゆさんさん内
[01:07:50.000] かよギガプリンさん俺マイナスでした
[01:07:52.880] マイナスって何あげたの
[01:07:56.640] 身内なしで言ったらわかんねえギリとか
[01:07:59.440] あるからなギリチョってなギリチョって
[01:08:02.680] あるから
[01:08:06.039] ねごめん他の女の子のイベントは淡々と
[01:08:08.880] こしますどうしましたこの子2周目でも
[01:08:12.240] 可いありだな可愛いなさんまた強がっ
[01:08:15.680] ちゃってるさん
[01:08:18.440] レンタンにレアチーズケーキ持っていって
[01:08:21.040] ばれてたギガプリンさん本命で2個以上は
[01:08:25.640] そうだなおさゆさんさん髪型が許せない前
[01:08:30.560] で縛ってるから
[01:08:31.880] なおさゆさんさん何のメリットもない髪型
[01:08:36.120] があれ何メリットもないの何これ何これ
[01:08:40.239] なんだお前無様ねはなんだめ意味わかん
[01:08:46.359] ねえちゃんちゃんこ来てしプリンさん中尾
[01:08:48.560] あらリスペクトだよあれがねしのだねしの
[01:08:53.679] があれだねだね
[01:08:57.480] あれはねしのだ
[01:09:01.359] ね調しすぎたモノマネなあのあれのああ
[01:09:06.920] 可愛いもうさちょっと早くついちゃこの
[01:09:09.960] 合成音声3日目になっても言うけどすごく
[01:09:12.960] ない
[01:09:14.279] レレ君て呼んでくれるんだよてないのよ
[01:09:19.480] 笑レ君て呼んでくれんだぜボイス付きで俺
[01:09:22.920] の本名なんだけどレんてちょっと早くつい
[01:09:26.120] ちゃってさ退屈してたんだこれ合成うん
[01:09:29.080] そんなことないよ素晴らしいよね私は来
[01:09:31.199] たかったからゲームええゲームやでこれ
[01:09:33.520] 本当にじゃあ行こうよ行き
[01:09:38.799] ましょうサーカスなんてめて見れないから
[01:09:41.319] ワクワクするなとおささんさん橋本くご飯
[01:09:45.400] 食べシレット本名ばらす
[01:09:48.400] な食べましたよ食べてきたよ今日はお外で
[01:09:52.400] えー本当私もわはいはいはいはいはいそう
[01:09:55.560] だねじゃあ
[01:09:58.640] 入ろう体が軽くてポンポン跳ねてるとじな
[01:10:03.560] やん私あそそうか橋元で出てんのか持つ
[01:10:08.320] 違うよ
[01:10:09.800] えっとラーメン食べてきたごめんなんかあ
[01:10:13.280] ああまり面白くのない返し面白くのない
[01:10:15.840] 開始しちゃったポンポン跳ねてはいはい
[01:10:18.000] はいはいジャンプする時が重要のかバあの
[01:10:19.960] バネがくもんだなですかラーメンだつえ
[01:10:24.080] ジャンプ続く重要かな配信
[01:10:26.920] みたい感より
[01:10:33.920] さ今日ははいはいはいあ追加デートああ
[01:10:38.280] 一緒に来ねえな追加デート来ないね
[01:10:40.679] なかなかねやっぱレアなのかもしんないね
[01:10:43.440] 追加デートね
[01:10:46.840] えーストレスが溜まってきてる
[01:10:50.159] ねストレスが溜まってきてます40超える
[01:10:54.239] とノイローゼになるんだ
[01:10:55.550] [笑い]
[01:10:57.520] 重すぎるんだよな状態以上が帰りたく最
[01:11:03.880] 最高そんなの女の子に言われたら俺もう
[01:11:07.719] 発射しちまうね記者がシポつて学生の
[01:11:12.000] ストレス
[01:11:15.000] なんてまあな社出たらもつ大変だよなって
[01:11:18.560] 俺も思いながらまあまあまあ胃の中の買わ
[01:11:21.679] ず胃の中の買わず大会よんとやらで
[01:11:25.290] [音楽]
[01:11:31.679] はレ
[01:11:33.679] 君嬉しいなさあどこ行こっかな雨
[01:11:38.400] かおさんさんしもやだよやだよやりません
[01:11:45.679] とかはね行ってないとこどこだろうね
[01:11:48.920] サーカス
[01:11:50.080] ああああ
[01:11:52.350] [音楽]
[01:11:54.239] あプール行きたい女の子とプール行き
[01:11:58.800] たい女の子とプール行き
[01:12:05.920] たい諦めず誘うぞ俺
[01:12:10.320] は静かに
[01:12:11.920] [笑い]
[01:12:13.560] しさいああだめかさんプールが好きなの
[01:12:18.199] 女の子が好きな女ってんプーなか大プール
[01:12:23.000] なんか出きれだよ俺は
[01:12:26.320] プールも海も
[01:12:28.880] 出きれ水に使って喜んでなんてバカ
[01:12:32.400] じゃん水に使ってるだけだぜ好きなのは
[01:12:35.760] 水着や大当たり大当たり
[01:12:40.320] 好きなの
[01:12:42.480] は女の下下着じゃないごめ
[01:12:46.440] 水着とんでもねえ言い間違し
[01:12:49.880] た泳げはしないけど浮きます子供
[01:12:53.360] タースライダーで詰まってだもんね
[01:12:56.199] サーカス行きまじゃない室内プール行き
[01:12:58.639] ますURL省略Tテレビ
[01:13:02.440] ガさんんですか
[01:13:05.360] これさん心の声がだだわ最高
[01:13:10.400] 最そんなの女の子に言われたら俺もう発射
[01:13:14.719] しまうね記者
[01:13:16.400] がつっ
[01:13:18.360] て何この綺麗なめちゃくちゃ綺麗な音なっ
[01:13:22.239] てんじゃん
[01:13:25.400] つって記者が
[01:13:28.639] シュプ結構クオリティの高いクオリティの
[01:13:32.040] 高い敵がなってるねねえなんでだよめちゃ
[01:13:37.320] 者笑笑めちゃくちゃ音よ良かったよなえ
[01:13:41.719] なんでよ頼むよ行こうよも超しつこい同じ
[01:13:46.080] 日に2回電話して2回プール誘ってるから
[01:13:48.400] ね別
[01:13:50.080] にこれ嫌われるだろ声れるのく羨ましいわ
[01:13:54.480] 笑
[01:13:56.520] なんでなんでなんで晴れないのあそから
[01:13:59.000] いろんなあれがあるのかいろんなあれが
[01:14:01.080] あんのか事情
[01:14:02.800] がまあねそのためにね部屋1個用意してと
[01:14:07.120] かね俺もあの声入らないと俺の配信あれか
[01:14:10.600] な残念だなその日だけはダメなのせっかく
[01:14:14.920] 誘ってその日だけはってお前33日間連続
[01:14:18.080] 断ってんじゃねえかよあ終わっちゃった
[01:14:19.920] ええ
[01:14:25.679] ギガプリンさん記者発せ者発せずポンさん
[01:14:30.400] 嘘疲れて嘘疲れてその日だけはってさ絶対
[01:14:33.360] 嘘
[01:14:36.080] じゃんれ
[01:14:39.600] たに今は私が上なんだね調子悪かったんで
[01:14:45.280] 煽りにくんだよそ
[01:14:48.000] [音楽]
[01:14:49.239] てかはがたっ
[01:14:52.360] たっってくれんだろうなや
[01:14:58.800] ね1回でもテストで勝ちたいな勝ったら
[01:15:02.800] もうちょっとなんか
[01:15:04.560] あの認めてくれるんじゃないの俺のこと
[01:15:07.920] ホワイトデーのお返し配るの手伝ってくれ
[01:15:10.520] ないお前話しかけんな冗談だ
[01:15:16.040] お前マジでえさ俺もお渡すするか誰に
[01:15:20.760] 渡そうかな誰に渡そうかな全員に渡せより
[01:15:25.080] 行く
[01:15:26.600] けどえ1人にしか渡せないの
[01:15:31.239] これレ
[01:15:33.600] 君どうしたのぜ期待して期待してる期待し
[01:15:39.040] てたくせ
[01:15:40.600] にバレンタイン故のお返しだ
[01:15:44.639] よ
[01:15:46.280] このでかい
[01:15:55.940] [音楽]
[01:16:02.239] 可愛いいいねストレスが43になってき
[01:16:06.400] てる
[01:16:07.360] やばいがここは諦め
[01:16:10.760] ず諦めず誘います
[01:16:15.239] よレ君はいはいはいプール行きたいだろ
[01:16:19.440] おめえらもどうせプさんはももと言いまし
[01:16:23.920] て何も見えなくなっちゃうんだ
[01:16:28.159] ななんでその日だけはなのなんでだよおノ
[01:16:36.800] になっちゃったよ
[01:16:38.040] ほらになっちゃったよれな声が聞こえて
[01:16:42.520] 怪しい雰囲気を感じまし
[01:16:46.600] たもうねそれはさ室内プール3回も断られ
[01:16:51.440] たらノー
[01:16:53.840] なるにもな
[01:16:58.960] るって頼むよマジで次も君ちょっとマジ
[01:17:02.840] 頼むはくれて嬉しい
[01:17:04.660] [音楽]
[01:17:06.480] なもはないからえもうここ行くしかねえぞ
[01:17:10.600] え頼むよマジでもう1回マジでススさん
