[00:06:08.160] あはあヘイヘイ入ったあもうふざけんなよ
[00:37:31.560] てぐしぐしさんええなんかフィルター
[00:37:36.319] かかった急にぽんさん大丈夫大丈夫何が何
[00:37:40.520] がちょもうやだんだけどこいつマジで金
[00:37:45.920] 払うからどいてくんねえかなね金払うから
[00:37:49.800] さポンさん笑笑金払うからどいてくれマ払
[00:37:54.359] いい
[00:37:55.200] よ金払うさんはげたの良かったはげたの
[00:37:59.240] よかっ
[00:38:00.079] たハゲた方がよかっ
[00:38:04.800] た
[00:38:07.800] やし次いつ東京来んの誘ってよ俺
[00:38:17.160] も危ねえ昨日しちゃんが楽しそうな配信し
[00:38:21.040] ててさ外配信でいろんな配信者さんと会う
[00:38:23.119] みたいな
[00:38:28.040] 手塚おやぽんさんま
[00:38:37.319] うん俺も外配信したいなぐしぐしさん11
[00:38:41.160] 月には拠点に戻りますあそうなん
[00:38:44.800] だちょっともうこここせねこここせ
[00:38:52.480] ねじか塚ぽさん見たかったな
[00:39:01.040] 上上相手にしなくていいよねこれね上相手
[00:39:04.040] にすることねえんだよな下見てりゃいいよ
[00:39:05.880] ね無限コンティニューだからないつか
[00:39:08.079] クリアできるこれやっ
[00:39:10.599] たらぐしぐしさんそこから3月までニト
[00:39:15.359] ですよしさんレトロゲームストーマーの所
[00:39:19.119] やっぱり1期失った時の絶叫ですよ
[00:39:24.079] ねいうなんでんで無限コンいいじゃん無限
[00:39:27.640] コンテこれ俺だってコンティニュー制限
[00:39:30.040] あったら無理だよもう一生クリアできねえ
[00:39:33.440] ぞ
[00:39:34.520] こんないつかくれてちょっとね逃げられた
[00:39:38.520] 逃げられたんだけどねこれ爆弾さこれ地面
[00:39:41.839] に置くのやめてほしいんだけど1個しか
[00:39:44.319] 画面にポンさん殿と同じこと言ってそう
[00:39:48.240] 忍者殿と同じこと言ってんなこれ地面に
[00:39:51.200] 置くと投げれねえんだよ次
[00:39:53.240] がダメだなこれ
[00:39:57.520] さんはちょっと地面に置いちゃだめだこう
[00:40:00.160] こうこう地面の敵攻撃した時はこうだ
[00:40:04.720] わ目の前の敵を絶対倒してくうわ分身1個
[00:40:08.640] 失っ
[00:40:10.280] てる分身出しやめてそれあも
[00:40:16.079] きよこれけんなマジでこのゲームなん
[00:40:20.880] なのマジでよよし
[00:40:23.680] よしこうな絶対倒す絶対倒す
[00:40:27.839] 危ねえや
[00:40:30.440] 危ねえこれむずいっ
[00:40:33.680] て手親ポンさん
[00:40:38.119] 青き何
[00:40:44.160] 青きバカでけえ声出しったせあもう死んで
[00:40:49.760] くれこのゲームマジ
[00:40:51.440] でクソむいじゃんなんだよ
[00:40:55.480] これは
[00:40:59.440] 嘘でしょこんなむいんか
[00:41:01.940] [音楽]
[00:41:04.800] これよしよしよしよしよし
[00:41:07.560] よしる率622さリーリーチ長すぎマジで
[00:41:13.240] 一発ってんだよしししさん頑張れちゃま
[00:41:16.520] 優しんだね優しんだねでさ赤いこの赤い
[00:41:20.319] 巻き物って何どういう効果があるわかんね
[00:41:23.200] なんかなんかアクション増えてるとかえ
[00:41:26.160] なんで
[00:41:27.790] [音楽]
[00:41:31.440] さ加減だろ今あっち
[00:41:34.720] の早速悪が早くも早くも悪がまだ1時間
[00:41:40.760] 経ってないの
[00:41:46.490] [音楽]
[00:41:50.079] に来た
[00:41:52.119] ね来たねいやでも最高あのやっぱ俺がめて
[00:41:57.480] たもんだよこれがこのアですよろしくさん
[00:42:00.880] これのアシュでザスーパーシノブってあり
[00:42:03.480] ましたよねあスーパーシノブやったよ俺
[00:42:05.400] 配信でああねあねあね危ねえ危ねえ
[00:42:11.760] もう配信に映ってねえけど俺手つげこと
[00:42:14.720] なってぐしぐしさん今の死んだ後の画面左
[00:42:18.319] に四角祈ってるけどそれが正解なの左に
[00:42:21.760] 四角いの寄ってるって
[00:42:23.520] 何死んだ画面左に四角いのが寄ってるし
[00:42:27.440] ししさんあ私が酔ってただけだったししし
[00:42:31.920] さんごめどうしたおい疲れた疲れてんじゃ
[00:42:36.000] ないの大丈夫
[00:42:37.280] なんだどうしたんだよ疲れてんだなきっと
[00:42:41.119] な昨日今日と遊んでな
[00:42:45.960] あ俺がやっぱ求めてるもんこのゲームは
[00:42:48.920] 提供してくれてるわさすがだ
[00:42:53.200] わしししさん疲れたよ疲れるよ
[00:42:59.160] な疲れるわなあ調子いいよなんかわ分かっ
[00:43:04.480] たこうだこうこうこうジを繰り返しながら
[00:43:09.280] 地面に爆撃はい来たよしよしよまだあるん
[00:43:14.240] だ危な危ない
[00:43:17.119] 危ないあなんかしかもなんか連射できる
[00:43:19.680] ようになってる
[00:43:21.760] よ連射できるようになってるてちょっと
[00:43:27.240] 忍者お前マジ調子のんじゃねえ
[00:43:29.930] [音楽]
[00:43:31.720] ぞちょっと待って
[00:43:37.599] ああ手塚親ぽんさん草これ超むずいじゃ
[00:43:41.640] ねえかよなんだよえこっからでしょよし
[00:43:43.559] よしならいい
[00:43:45.559] やえ嘘何当たったか
[00:43:51.160] 今このさ屋根裏からやってくる忍者マジで
[00:43:54.559] 調子こいつマジで性格悪いぞ
[00:43:57.559] 絶対友達いねえかんだこいつ
[00:44:02.680] らあいいねいいねいいねいいねいいねああ
[00:44:06.599] 来た来たよし安定したここ爆弾じゃねえな
[00:44:09.119] ここ爆弾じゃねえこうだわなんでなんで
[00:44:13.160] なんで今当たんねんだん
[00:44:16.160] 忍者性格のいい忍者なんかいねえよ
[00:44:22.559] な全然めね
[00:44:27.359] 画面滅ピンクは画面全滅赤がわかんねんだ
[00:44:31.000] よ
[00:44:31.800] な赤が何なのかわかんねんだよ
[00:44:34.880] ね赤何赤ってこれどんな効果があん
[00:44:43.480] だろうあオオオオえ何これ何これマリオ3
[00:44:50.200] みてじゃんマリオ3みたいあた
[00:44:58.290] [音楽]
[00:45:00.680] えこれ大丈夫間に合う間に合う
[00:45:04.160] か潰されるとかでもなく潰されるとかでも
[00:45:08.440] ないんかいあ分かった修理剣だうんこうだ
[00:45:12.440] なここ
[00:45:15.440] はお前さ後ろから出てくんのやめろよ
[00:45:23.610] [音楽]
[00:45:27.640] あね
[00:45:31.839] あね危ねえ来たなんどれが何が敵どれが敵
[00:45:38.280] 何すんのこれわかんねわかん
[00:45:42.160] ちょあ来たこれ
[00:45:44.559] だボスは爆弾って相場が決まってんだ
[00:45:48.359] ようまくねしかもなんか
[00:45:57.440] 忍者染めてみましたこんにちはさん
[00:46:00.319] こんばんはむずいこのゲームやや待
[00:46:08.440] て面白いこの
[00:46:11.760] ゲーム色ハスちゃんさん笑笑あたこっから
[00:46:15.680] だでこれ違うんだこれこれねパワーアップ
[00:46:19.920] 取ったらね結構な罠なわけよこれさん
[00:46:23.800] ナンバーワのドタバタ忍者
[00:46:27.359] よしよしもうこれ以上いらない率622
[00:46:30.440] さん笑笑さく
[00:46:34.599] よいしょよしよしよしいやここ無きでくん
[00:46:38.400] の超む
[00:46:40.079] ていやうくないでもうまくない立ち回り方
[00:46:43.119] ほら
[00:46:44.599] あ
[00:46:46.680] 危ねえめっちゃうまいめっちゃめっちゃ
[00:46:48.960] ういスよしよしよしよしよしナイスナイス
[00:46:54.599] うまあパのパワワッて噛むのやめて笑パワ
[00:47:01.800] パナイスよしよしよし危ねえよし危ねえ今
[00:47:07.319] 潰されとっ
[00:47:08.640] たうまいじゃんちゃんさんうまい第5章
[00:47:13.880] フマ島村エルフさん
[00:47:17.800] こんにちはいや久しぶりにやっぱさ最近ね
[00:47:22.760] あの神だとかねやれねなんか
[00:47:26.960] あのギャルゲーばっかやっててぬるいなと
[00:47:29.839] 思って地獄見てえなと思ってPCエンジン
[00:47:32.000] 版最後の人やってますぬるいゲームばっか
[00:47:34.720] やってっからさ地獄見てと思ってただもう
[00:47:37.480] 第何章これ5章え5これ第何4章5章教え
[00:47:42.280] ちゃったけど余裕じゃねえか
[00:47:44.599] よこのゲーム教
[00:47:47.599] いてなんか分からん画面があれ
[00:47:53.200] 何ちここ違うなこ剣だな
[00:47:58.520] 上に行くのか
[00:48:00.240] これあオレンジの忍者欲しいまいいや上
[00:48:03.880] 行こう
[00:48:04.839] とりあえず塚さんままくならやると思って
[00:48:09.000] たよ29
[00:48:13.160] さんなん
[00:48:15.359] 満身ですかこれえでもさ言うてさなんか
[00:48:18.880] サクサク来てないだって
[00:48:21.480] [音楽]
[00:48:23.960] もう難しいな
[00:48:27.560] [音楽]
[00:48:30.160] よし
[00:48:31.559] よし島村エルフさんサクサクでもここまで
[00:48:35.559] すげえサクサ来てるんですよここまで
[00:48:37.680] すげえサクサクだってまだ1時間経って
[00:48:39.720] ないんだよ1時間経ってないのにもう第4
[00:48:41.800] 章だか5章で全部
[00:48:44.720] でしコインを
[00:48:47.480] 数えろでもさ大丈夫だよ俺村で17時間
[00:48:52.839] 同じステージやったんだからじゃ
[00:48:55.720] ねや絶対取った方がいいなオレンジの忍者
[00:49:00.520] はでもでも
[00:49:02.799] さ今までやってきたこの結構忍者龍剣殿
[00:49:06.480] だったら結構もう積んでたけどヒロハ
[00:49:09.480] ちゃんさんドラキュラの時もそうだったね
[00:49:12.280] 最初の方だけすげえうまくいってな結局
[00:49:15.000] 最後のステージで何十時間っていう時間を
[00:49:18.160] ま大丈夫今回は任せてくれ俺もさちゃん
[00:49:20.960] さん序盤はかったあああああらららら
[00:49:27.200] ちょっと待ってむずいぞこれ思ったよりも
[00:49:30.200] ジャンプの制御
[00:49:31.680] があオレンジの忍者
[00:49:34.839] 欲しいでもこれ赤い赤い巻き物って1個
[00:49:37.960] 取ったらこれ赤い巻き物武器強化だなこれ
[00:49:41.640] 取れ取れねえしあ取れた何これ毒
[00:49:45.910] [音楽]
[00:49:48.400] がうわジャンプが難しいこれあ乗れんの
[00:49:51.880] それあこれ乗れるん
[00:49:54.680] だいてなんだよそれめっちゃダメージ来る
[00:49:58.319] しなんだ
[00:49:59.280] これあもうもうこれもう3人分身しちゃっ
[00:50:02.799] たこれはもう勝ちだわボスまで行ったら
[00:50:04.599] 勝てるちょっと待ってこれねジャンプの
[00:50:06.839] 制御マジむい痛いすごいいいとこに飛んで
[00:50:09.680] た
[00:50:11.160] うわあれ難しい
[00:50:14.400] ね難しいなま倒す赤は武器強化ねハちゃん
[00:50:22.359] さん難しいね難しいねでもさこれさあ赤が
[00:50:27.559] なんだっけ武器強化ピンクが画面内の敵
[00:50:30.720] 全消しえオレンジオレンジは何オレンジも
[00:50:34.119] あったよねさっきね水色が分身水色欲しい
[00:50:38.559] な水色が欲しい
[00:50:43.119] 痛いあいた水色ナイス水色分身いいね分身
[00:50:48.839] って何体までなん
[00:50:53.839] だろうえこのさんで毒が谷から出てのよく
[00:50:57.160] わかん
[00:50:58.520] ねあああああオレンジ手塚ぽさん2丁何が
[00:51:04.000] 2丁このあオレンジはこれだファイヤー
[00:51:08.040] ウォールだファイヤーウォールいやいい
[00:51:10.640] わいやこれ最強でしょ
[00:51:14.440] もう分身っでしかも当たり判定ないからさ
[00:51:17.119] 分身ここに置いとけばほらはぬるあ29
[00:51:23.640] さん急に横文字の
[00:51:27.280] ファイヤウォール忍法ファイヤーウォール
[00:51:29.880] だよし来た余裕じゃねえかよ上まで来
[00:51:32.599] しまった
[00:51:36.559] ようまいじゃん俺割とサクサク来れてん
[00:51:42.520] じゃんこっちあってんかなこっち
[00:51:46.000] でこんな夜にあ空魔急人集これか何これ
[00:51:52.160] 待ってこういう時はあ飛んでる敵は
[00:51:55.680] シューティングだな
[00:51:57.280] うすごいじゃないかうわ避けれんそれは
[00:52:01.079] 意味わかんねえ
[00:52:03.079] あこれ誰何これ29さんタコの力すごい
[00:52:08.280] どういうどういうあれなんだうこっ
[00:52:14.240] から分かったおめえらの本気分かったぜあ
[00:52:17.880] オレンジい
[00:52:19.079] たオレンジは絶対取って
[00:52:22.839] こうどっちから進んだ
[00:52:27.480] オレンジオレンジ
[00:52:29.440] オレンジこれ赤って重ねして意味ないよね
[00:52:33.880] 赤赤の巻き物はさ1個しか効力ないよね
[00:52:37.760] 多分
[00:52:38.670] [音楽]
[00:52:40.559] ねBGMいい
[00:52:42.610] [音楽]
[00:52:47.440] な分身の巻き物ない
[00:52:50.510] [音楽]
[00:52:51.839] かあいいじゃないですかこれでかいよ
[00:52:56.680] 欲しいあとうえガスのダメージ
[00:53:00.040] く3持ってかれんだけどわノダでいかねえ
[00:53:04.400] とこれきつい
[00:53:07.720] なああれ身くせあーいやもう来たわいやめ
[00:53:15.000] て本にやめろお前らおいやめろ
[00:53:20.559] よピンクあ意味ねピンク飛んなくてかった
[00:53:24.900] [音楽]
[00:53:35.000] よえなんで何が
[00:53:40.200] わ何それまあまあいいでしょまあいい
[00:53:45.359] だろまだ分身を取りに
[00:53:48.319] 行くや3人分身いないとだめだな
[00:53:56.599] え何
[00:54:03.480] [音楽]
[00:54:05.240] そのうわここいたの
[00:54:09.280] にあいつの投げるあの変な爆弾みたいな
[00:54:11.880] やつ爆風もあいや当たるんだよね爆風も
[00:54:15.839] 当たるんだねしんどい
[00:54:21.520] な誰もなかっ
[00:54:23.320] [音楽]
[00:54:24.880] たガスのダメージえぐいから気をつけて4
[00:54:27.960] 持ってかれるぞ3か3ぐらい持ってか
[00:54:31.220] [音楽]
[00:54:39.559] れるわいねえなオレンジいなく
[00:54:44.070] [音楽]
[00:54:48.400] ないいたよしあとファイヤーウールわあと
[00:54:52.280] ファイヤーウール
[00:54:54.119] いやこれは無理だんだ
[00:54:57.640] それは無理じゃんだって着地狩りは良く
[00:55:00.520] ない
[00:55:05.970] [音楽]
[00:55:07.720] なナイスいいねまずここ当たんなよ敵に
[00:55:12.359] マジでもったいないこの命5の状態で行か
[00:55:14.440] ねあのボス無理ああんだった今何とった今
[00:55:18.000] わかんないあた身とファイヤボールやね
[00:55:26.559] いやあのガスやばいマジ
[00:55:29.720] で危ない危ない危ない
[00:55:32.520] [音楽]
[00:55:35.760] よしあれこの辺いなかったっけかさんだと
[00:55:39.680] すすす進んでたのに
[00:55:42.160] ないやもうやだっ
[00:55:45.680] てでさ頭りんのも面しねえよ確かに今さね
[00:55:50.720] RTAジャパンやってんでしょこれ
[00:55:53.400] たまたまだよねたまたま被ったけど
[00:55:56.839] うまい人のプレイ見んのもやっぱ面しねえ
[00:55:58.720] けどさ下手くそなやつの見の面しねえ
[00:56:00.760] じゃんやっぱりみんなにはそれを楽しんで
[00:56:02.880] てほしいわなうまいプレイ見てはーって何
[00:56:06.039] のも分かるけどまこれアショゲームはさ
[00:56:08.799] 下手なやつのプレイ見が一番面しねえから
[00:56:11.839] 俺うめえけどな俺はうまいんだけど悪い
[00:56:14.000] けど俺はうまいんだけどねファイヤー
[00:56:15.520] ボールどこファイヤーボールどこやねん
[00:56:18.280] どこファあポ
[00:56:24.599] さんうるさいなんだうるさいってなんだ
[00:56:29.440] ちょっと今いた今オレンジいたってどこい
[00:56:32.799] なかったここら辺あつあああファイヤ
[00:56:36.319] ボール来たこれだよ2なんで消えてんだよ
[00:56:40.520] ふざけなんで消えてんだよ
[00:56:43.760] おいおいなんで消えたんだよ今あっただろ
[00:56:49.119] 今うわファイヤボールファイヤ
[00:56:53.359] ボールお前お前はたわよしこれこれで
[00:56:57.160] 行こうこれでボスまで
[00:56:59.799] 行くもうもうやめて
[00:57:05.920] くれ
[00:57:07.680] もうもうや29
[00:57:11.720] 勝ったこのゲーちゃんさんつを見ている
[00:57:15.680] ようだこれジャンプマジ難しいんだって1
[00:57:18.760] 回飛んじゃったら最まで行くまであの向が
[00:57:23.440] できないのね前にを入れて動けるんだけど
[00:57:26.960] ちょっとこれむずくねこれむずやこれ
[00:57:33.640] はい
[00:57:34.930] [音楽]
[00:57:36.280] 危なガスやめてよしいや別に失敗しても
[00:57:40.359] いいジャンプは失敗してもいいダメージ
[00:57:41.720] くらなくいくらで
[00:57:47.319] もなんかこの背景と29とれNさんでも
[00:57:52.039] 着地してから足踏み外すのはジャンプの癖
[00:57:55.039] 関係ないよね
[00:57:59.520] 足腰弱いの
[00:58:03.079] あねあねこち行こうもう安全に安全に
[00:58:08.039] 登れるルートを模索し
[00:58:10.880] てせかおやぽんさん厳しいの
[00:58:15.119] 好き厳しい肉すげえ厳しいよーし来たよし
[00:58:20.520] よしよしよしよし歩き方可愛いじゃんほら
[00:58:24.119] テクテクテクテク
[00:58:26.839] あ優しいこれ用意してくれてんだ
[00:58:31.830] [音楽]
[00:58:35.400] よ誰攻撃していかわかん
[00:58:42.200] なくこれ真ん中がボスだよね多分
[00:58:45.880] な行け行けやれやれそのけけ
[00:58:52.319] よんこいつ
[00:58:56.160] うや楽だと思うやんか意外とむいぞ
[00:58:59.839] これ誰を攻撃すればいいかわかん
[00:59:03.200] ね
[00:59:06.480] けけけよし余裕なんだがえもうクリアし
[00:59:11.160] ちゃうよ俺
[00:59:12.320] [音楽]
[00:59:13.760] うま第6章ライえ第7章で終わりでしょあ
[00:59:19.880] ごめんあれ2時間で終わっちゃう2時間で
[00:59:23.119] 終わっちゃうわあれ手塚さんくそ簡単だ
[00:59:26.880] このゲームクリアしちゃう
[00:59:30.080] [音楽]
[00:59:31.640] だごめちょ待って何が起きたかわかんない
[00:59:34.319] 今
[00:59:35.200] さん簡が飛んでくる瞬間に死んだわあ
[00:59:38.640] しかも匿名さんありがとう匿さん
[00:59:40.960] ありがとう
[00:59:41.799] ねくそ簡単じゃねえかこの
[00:59:44.880] ゲームえ何それ
[00:59:48.200] [音楽]
[00:59:56.079] 44さんあ簡単だなクリアしちゃう
[00:59:59.880] な何何なんだ何が言いてんだよ簡単じゃ
[01:00:02.960] ねえかよ
[01:00:03.760] すげええでもすごい順調でね7勝しかない
[01:00:06.880] んでしょだってボリューム不足かこの
[01:00:09.039] ゲーム中古でこれ発生したんだぞこれおい
[01:00:13.359] 中古でこれ発生しまし
[01:00:15.119] ただいぶ前に買った
[01:00:18.240] けどプレミアついてさんここからが本当の
[01:00:22.280] 地獄だそうやめなよそういうなんかさ
[01:00:27.880] たけんだよなこれそうたけんだよこれただ
[01:00:31.240] あの古屋で見て一目惚れして買った何あれ
[01:00:33.960] 面白そうつって何あの忍者ゲーム面白
[01:00:38.200] そうさ金うんもうもやししか食べてないよ
[01:00:41.280] 普段こんなってるけど武器違う武器違う
[01:00:44.480] 武器絶対こっちこれの強化だないや
[01:00:48.799] ちょっと様子が違うなんかあれさっきまで
[01:00:51.839] のさっきまでのステージ様子が違うんだ
[01:00:54.720] けど
[01:00:56.240] 本気でてないなんかやっぱこの辺から
[01:00:58.880] やべえんだこいつがやばい
[01:01:03.000] このなんだこいつ何こいつ
[01:01:07.599] らいやちょっと様子が違うぞこいつ
[01:01:10.960] ら700円だからだとそうだなそう考え
[01:01:15.880] たら安くはないけどまあまあまちょっと
[01:01:18.440] ぼったくられたくらいのん
[01:01:22.420] [音楽]
[01:01:26.119] と様子が違うな
[01:01:28.720] なんかえでも武器さポさん眉毛笑んだ眉毛
[01:01:34.640] がなんだ眉毛笑いとってねえ眉毛
[01:01:37.390] [音楽]
[01:01:39.920] であ見つけたわこのステージこれです
[01:01:45.079] ほらえおすげえ
[01:01:48.799] あ振り回せんだこれちょっとだけ744
[01:01:53.839] さんしてくれてたの考えると安いなだせか
[01:01:57.880] ぽんさん見つけたかそうだ見つけたこれだ
[01:02:00.599] わうわうわうわうわわかんねえけどいや
[01:02:03.880] すごい何がなんだかわかん
[01:02:05.599] ねいやいいわこういうこと
[01:02:10.359] でしょいいいじゃんこれだよ
[01:02:14.599] みんな最適界見つけちゃったごめんうわ
[01:02:17.720] うわうわうわ気持ちうわめっちゃ強これ
[01:02:22.680] やばくないえなんで
[01:02:26.400] なんでんな気持ちよかったのになんでポ
[01:02:30.279] さん笑笑622さんクリアできる
[01:02:35.520] なさんクリアできそううまく
[01:02:39.319] ねうまく
[01:02:41.279] ねんだよ俺エロゲうめえじゃねえか
[01:02:46.200] よお744さんぐるぐる回たらじゃんあれ
[01:02:52.119] 一発なんだあいつが持ってる棒あれ一発
[01:02:55.119] らしいえぐるぐる回してもなんか
[01:03:03.480] さまずは
[01:03:05.450] [音楽]
[01:03:06.680] 分身うんうん落ち着こうまずは
[01:03:09.610] [音楽]
[01:03:13.799] なあで強化これ飛距離の飛距離があれか飛
[01:03:18.039] 距離が変わってんのか
[01:03:19.480] これ赤は武器強化だ
[01:03:23.760] ねああいや命さんになっちゃっ
[01:03:27.799] たいやもう
[01:03:30.480] な立つマジ
[01:03:33.319] で
[01:03:36.440] くそ手塚ぽんさんま
[01:03:40.720] まさちゃまさんも飛ん
[01:03:43.200] だら俺も飛び回りながらやろっかなじゃ
[01:03:46.119] これよし
[01:03:47.580] [音楽]
[01:03:48.760] よしよよしよいやいいじゃんいい
[01:03:52.799] じゃん
[01:03:54.720] 仮べたら簡単
[01:03:58.559] やし
[01:04:00.799] もう何あいつマジ
[01:04:05.440] でただ武器絶対これだなここな29さん企
[01:04:10.359] 対それでいいのかハちゃんさん強いね強い
[01:04:15.079] ね島村エルフさん難しさの種類が違うあれ
[01:04:19.960] 精神的難しさじゃんだってあれ精神的な
[01:04:23.039] 難しさじゃんあれは
[01:04:29.359] よしよしよしよしよし前からしか来ないで
[01:04:33.079] ほしい後ろから来んのやめお前さ後ろから
[01:04:35.520] 来んなってるよなやばい危ないあの防
[01:04:38.559] 振り回してるやつマジ
[01:04:43.240] やばいよしよしあ入った入よもうこの
[01:04:46.119] パターン入ったら強いよもうこのやめ
[01:04:52.440] て戦車だ者が今走行者せまってきてたどう
[01:04:57.520] しようもねえさん
[01:04:58.799] な色ちゃんさん華麗なフラグ回走行者が
[01:05:02.920] 走ってきてた
[01:05:04.440] 今どうしよう
[01:05:07.650] [音楽]
[01:05:10.599] ねよしよしよしよし
[01:05:14.570] [笑い]
[01:05:17.680] よしなんだよこれむすぎ
[01:05:22.240] [音楽]
[01:05:23.760] るってあ間違たこれじゃないここっちこれ
[01:05:26.880] な鎖
[01:05:28.880] 我にによしよしよし
[01:05:33.079] よしよしよしどんだけお前出てくんだ何匹
[01:05:37.920] 出てくんだよお前やその
[01:05:41.480] ジャンピングそのジャンピング無理だ
[01:05:44.640] なもやらせて
[01:05:48.160] くださいおれじゃねかこの
[01:05:51.960] ゲームすげえ難しいんだけどが求めてる
[01:05:55.760] ことをちゃんとやってくれるこのゲーム
[01:05:57.079] このこの
[01:05:59.039] このこれでいいわけよレトロゲー
[01:06:01.400] アクションの配信なんてこうだから俺が
[01:06:03.640] やっぱ1番面白いから手塚親ぽんさんコム
[01:06:06.160] ドットの形全然関係ないコムドット今日は
[01:06:09.880] 何うちのうちのチャンネルコムドットの
[01:06:12.760] ネタやっても分かるやついねえんだ
[01:06:15.440] よやっぱレトあおっさんおっさん連中しか
[01:06:20.680] 見てないからな最近のあれわかんねえ
[01:06:23.680] だろうな
[01:06:26.200] コムドットとか知らないでしょみんな
[01:06:27.880] ロハスちゃんさんコムコムドットってなん
[01:06:30.079] だ
[01:06:30.880] よコムドットっての今若者に人気な
[01:06:33.720] YouTuberな俺全然抱きだけど
[01:06:36.319] ちっとも面白く1mmも面白くないんだ
[01:06:38.599] けど手塚ぽんさんうるさい
[01:06:41.559] YouTuberなんて見るわけないだろ
[01:06:46.020] [音楽]
[01:06:48.839] そうここ
[01:06:52.640] しんどい武器まず武器
[01:06:57.340] [音楽]
[01:06:58.680] あれ欲しいあれ欲しいあれ欲しいあれ
[01:07:01.160] 欲しいうるささ負けてないよそうだそうだ
[01:07:06.039] 赤いの強くない赤いのはあれえこのあれ
[01:07:10.720] でしょ赤いのってどれ持ってきてん
[01:07:13.839] の
[01:07:15.680] この巻き物巻き物赤は武器
[01:07:21.240] 強化ホ
[01:07:27.240] 先
[01:07:28.720] 進め先進めるわけねえだろこんなことやら
[01:07:31.680] れたさん
[01:07:35.460] [音楽]
[01:07:45.520] マリオよしよしよでボスはボスは
[01:07:51.000] 爆弾絶だろこなそういう感じ
[01:07:56.760] そううえちょっと待てそれはな嘘嘘嘘嘘
[01:08:04.319] 嘘なるほどねなるほどねうわ1発1
[01:08:10.520] 発爆弾だな
[01:08:12.640] これただ爆弾だなこれ分かったわただ爆弾
[01:08:16.719] どっからこれ最初からだしおい最初から
[01:08:19.880] じゃねえけざけんだ
[01:08:20.850] [音楽]
[01:08:23.440] よえ
[01:08:25.960] えこれ
[01:08:28.960] ステージあそうですかステージ7でしょ
[01:08:32.159] もうこれクリアすんじゃんえごめんな2
[01:08:33.799] 時間で終わったらあ今日結構時間取ってき
[01:08:36.480] たんだけどなすぐ終わっちゃうわごめん
[01:08:38.880] あねああ
[01:08:41.759] だ避けらんないもうあれ飛んじゃっ
[01:08:46.000] たら結構余裕じゃない
[01:08:49.359] [音楽]
[01:08:59.080] 危ない危なよしよしなんか飛んでき
[01:09:05.279] てるよしよしよよし
[01:09:09.279] よ
[01:09:11.080] やまずは武器よしあ武器強化すると
[01:09:14.319] 振り回せるようになるんだ振り回せないん
[01:09:17.159] だ武器強化する前は今気づいた
[01:09:20.520] けど振り回すのこれむいけどね振り回すの
[01:09:24.239] ちょっとねむいなんかコマンドの入る瞬間
[01:09:27.199] というか
[01:09:30.480] 危ねえやめ
[01:09:33.380] [笑い]
[01:09:34.719] て分かってるんだけどな分かってるんだ
[01:09:39.080] けどなハちゃんさん笑笑塚
[01:09:45.520] さんちゃんさん白いワですめっちゃ
[01:09:52.550] [音楽]
[01:09:55.640] してるやつなんなんだよ棒振り回してる
[01:09:58.480] やつ
[01:09:59.480] [音楽]
[01:10:03.960] 何よし
[01:10:06.719] え
[01:10:09.960] 危ねえやめ
[01:10:14.840] ておもえやっぱレトロアクションおもえな
[01:10:19.120] こじゃないかな29さんまずいですねこん
[01:10:25.640] クリアできちゃうマゲームがおクリア
[01:10:28.159] しまうぞこんな簡こんな
[01:10:31.320] なんか回死んでいいもう1回しろいやこれ
[01:10:35.000] だあ
[01:10:37.480] あ敵に当たり判定ねえからなかなか
[01:10:40.400] ねえんだけどこれ敵に当たり判定ねえんだ
[01:10:43.280] よさん時間余っちゃうな時間余るねこれね
[01:10:46.840] えだって7しかないんでしょ6でしょで6
[01:10:49.280] のボスまで行ってんだよもう超めちゃ今
[01:10:52.520] までやったゲーム一番簡単かもしれない
[01:10:55.280] いや冗談時て今までやってきたレトロ
[01:10:56.960] アクション結構やってきたけどイハちゃん
[01:11:00.400] さん本当かなえだ
[01:11:02.679] て多分6とかからむずくないとまずい
[01:11:06.760] でしょえ最後の1ステージだけもうゲーム
[01:11:10.000] 違うとかそういうことされたら確かに無理
[01:11:12.920] だ
[01:11:14.199] けど言うて今んところ何のあれもねえぞ
[01:11:19.280] 確かむずいけどね一発しだしうわーって
[01:11:22.920] なる
[01:11:24.239] けどあのなんつうの精神を削られる難しさ
[01:11:27.719] ではない今までやってきたレトロゲー全部
[01:11:30.520] 精神的に来てたから精神的にうわ何これ
[01:11:34.760] 無理だよてなんないもんね全然できるよ
[01:11:38.000] こんな難しいよ確かにすげえ難しいけどね
[01:11:41.560] ほらこんだけでも
[01:11:43.600] あいっ
[01:11:45.639] たかった
[01:11:58.040] [音楽]
[01:12:04.280] 爆弾の方がいいんだよな多分29さん
[01:12:08.040] どんな悲鳴
[01:12:13.199] だし
[01:12:14.430] [音楽]
[01:12:16.000] すぎるこれ行けるぞだがこれ行ける
[01:12:20.639] ぞハちゃんさんピンて言った
[01:12:26.120] 全然関係ねえ中国関係
[01:12:29.380] [音楽]
[01:12:32.679] ないたまに走行者来るからな引きこされる
[01:12:36.280] んだよねロードキルされるんだよ
[01:12:40.840] ねいやなん
[01:12:44.390] [音楽]
[01:12:49.120] でくそちょっと
[01:12:52.600] やばい落ち着けまず1回落ち着け
[01:13:03.320] よしよしよし
[01:13:06.280] よしうわうわ気持ち
