[00:01:15.960] ああああああああ映ってますか映ってる
[01:18:17.480] の空気抜かないと爆発する
[01:18:20.840] へえはいまずゴールに肉騙しておいた
[01:18:25.800] 玉ねぎふやかしたパンコこいつ1回どっか
[01:18:28.719] にステイしたいんだけどどっかにステイし
[01:18:32.480] たいどうこれもう良くない良くないでは
[01:18:37.280] 内容を合わせて練ります良くない用意して
[01:18:40.800] くださいまな板ットないのまな板しかない
[01:18:44.679] かな定してラの上にラキッチンペーパー
[01:18:49.239] ラップないよキッチンペーパーなんかねえ
[01:18:51.679] よなんだそれキッチンペーパーって何
[01:18:55.800] もちにあるわけねえ
[01:18:59.320] だろがハンバーグ
[01:19:03.120] な
[01:19:08.160] [音楽]
[01:19:11.480] でっかでかラスボスじゃんなんか昔前の
[01:19:15.040] マウスみたいなパソコン
[01:19:16.840] のね
[01:19:23.719] 98見てじゃねえかしではを合わせてり
[01:19:28.360] ますちょもう1個もう1個作りたいもう1
[01:19:31.960] 個作ろうよもう1個作る
[01:19:35.280] ね何個作れんのこれ何個作れるんだ参った
[01:19:39.560] なこれ作りすぎだぞ
[01:19:49.400] 頑張れ慣れたもんよ
[01:19:52.320] もう慣れたもんよ
[01:19:57.000] こ慣れたもん
[01:20:00.040] よに卵を割り入れてして
[01:20:05.440] ください慣れたもん
[01:20:07.840] よ次に卵をき
[01:20:15.159] ますいやっとるが今うんじゃねやってんだ
[01:20:19.280] 今ハンバーグれ顔
[01:20:25.760] てかチェダーチーズって溶けるのレッド
[01:20:29.719] レッドチェダーって溶けるのさんと先生の
[01:20:34.320] やり的のレッドチェダーって溶ける
[01:20:39.920] のけるよで次って言ったら殺すぞ
[01:20:44.679] る明日売り
[01:20:47.719] 行こるってて
[01:20:50.960] あるるって書いてない
[01:20:57.400] 笑笑
[01:21:01.920] 笑もうめちゃくちゃ切ったねキッチンが超
[01:21:06.280] 綺麗にしたのにこれで
[01:21:07.760] もに卵を割り入れて込して
[01:21:14.760] ください何これえ何これ
[01:21:20.280] これ本当
[01:21:22.159] に大丈夫そう
[01:21:28.120] 粘土工になっちゃった粘土工ハンバーグ
[01:21:30.920] 作ってて
[01:21:33.120] 可愛いでかいけど大丈夫はいあさん
[01:21:37.320] おはようは終わりですダーク
[01:21:40.410] [音楽]
[01:21:43.199] またでは大を合わせて練ります用意して
[01:21:48.159] ください嬉しいそうそう料理配信ね
[01:21:52.920] んん
[01:21:56.639] おおいいじゃんうまくなってきたねチマ
[01:21:59.280] ゲームも
[01:22:00.639] ね向こう3日間俺ハンバーグだろうなて
[01:22:04.719] くださいでもハンバーグ手作りの
[01:22:07.120] ハンバーグなんて食べんのいつぶりよマジ
[01:22:09.880] で実家に積んでた時以来だぜ実家に住んで
[01:22:14.120] 積んでいた時
[01:22:16.280] 以来マジでなんか人の手作りあチラまる
[01:22:20.440] チラまどうもこんばんはおはようござい
[01:22:23.520] ますチラまるさんおはようちゃらおはよう
[01:22:26.719] チーズハンバーグデブのデブの夢に卵を
[01:22:30.400] 割り入れてしてくださいあすげえ待って首
[01:22:33.920] 痒いえ誰か首かいてちょっと首痒くなって
[01:22:36.760] きちゃったどうやって書くのこれどうやっ
[01:22:39.960] て書くのこれナイスおはようございます
[01:22:43.400] レド
[01:22:45.120] ありがとうこれでは終わりです首どこ
[01:22:48.719] うるせえなお
[01:22:52.360] うるせえでは合せてますレありがとうし
[01:22:57.440] てくあ全部チーズじゃなくてもいいかも
[01:23:00.520] 普通のやつも1個作りたい
[01:23:03.880] な
[01:23:05.960] てすげいマウス3つ目です
[01:23:16.040] マウス
[01:23:18.920] 入れ1個なしにしてポン酢神だと思って
[01:23:21.920] 買ってきたんですよね買ってきたんですよ
[01:23:24.320] ねあのおろしおろしとポン酢
[01:23:29.800] をあDSDSにDSに破が乗っちゃった
[01:23:36.320] DSに破が乗っ
[01:23:38.840] たしてく
[01:23:41.560] おい一応これ配信で使ってるやつなんだ
[01:23:44.840] けどDSに破乗っちゃった
[01:23:48.000] よに卵を入れてしてください
[01:23:56.239] らしい聞こえるうまいだろなん
[01:24:00.159] なうまいんです
[01:24:03.430] [音楽]
[01:24:08.040] よういよねなんか扱いが
[01:24:10.880] もう扱いがもうまい
[01:24:14.239] じゃん扱いがもう超うくないおろしポン酢
[01:24:18.280] にしようと思って
[01:24:19.920] さしでくわ
[01:24:26.040] お料理し
[01:24:29.000] てるしてくこれ手どうすんのこれるわ
[01:24:33.199] なんか普通にベタベタだし次に卵をきます
[01:24:37.320] 小さい用意して
[01:24:42.000] ください
[01:24:44.500] [音楽]
[01:24:51.800] ンオ洗ってい入これも手洗っていい
[01:24:56.880] ね手洗っていいねはい次に卵をきます
[01:25:02.880] 小さい器を用意して
[01:25:05.679] くださいだこれ洗ってさきれになるような
[01:25:09.159] 汚れじゃないよこれ風呂入りたい
[01:25:13.040] もういや風呂入りたいっすもうなんか
[01:25:16.360] ベタベタ
[01:25:17.440] らし風呂入り
[01:25:19.840] てまれちょっと水で洗って落ちるよな汚れ
[01:25:23.080] じゃねえだろこれ笑出せばいいじゃんは
[01:25:26.840] 我慢しろ
[01:25:30.360] 笑に卵を割り入れてほして
[01:25:35.120] [音楽]
[01:25:37.960] くださいはいこれでは終わり
[01:25:44.320] ですあ洗剤ねでは内容を合わせてります
[01:25:48.760] やったやっまず次にを合せながら
[01:25:54.360] よにに分けてく両手でキャッチボ次に
[01:25:58.679] 火通りが良くなるように中央をくませて
[01:26:01.639] くださいはいはいはいこれでハンバーグの
[01:26:04.080] 準備ができましたこれでハンバーグの準備
[01:26:06.159] はできますなるほど
[01:26:08.920] 真ん中をくわせます
[01:26:11.719] はい両手でキャッチボールするようにして
[01:26:15.119] 生地の中の空気を抜き楕円形にまとめて
[01:26:18.239] くださいの油も取れるの
[01:26:22.520] だか
[01:26:25.880] 洗ったの両手でキャッチボールするように
[01:26:28.440] して生地の中の空気を向き左系にまとめて
[01:26:32.800] ください
[01:26:38.159] そうそうチーズが出てき
[01:26:41.040] ちゃうチーズが出てきちゃう全的にへませ
[01:26:45.159] てこの先生いいんじゃないこんな感じでね
[01:26:49.280] はいでは生地を人数に負けてください
[01:26:53.080] こんな感じでいいんじゃない
[01:26:56.520] これでいい
[01:27:00.159] のポコミポミエッチで草エッチだろエロい
[01:27:04.239] よね料理ってエロいんす
[01:27:06.110] [音楽]
[01:27:07.719] より方やり方がえいちょここかなつって
[01:27:14.040] 馬鹿野郎こんなことさせんじゃ
[01:27:21.040] ねえそれは確かにうんそれは確かにそれは
[01:27:24.440] 確かに合わせながらしっかり練って
[01:27:27.280] くださいはいりましたでは生地をに分けて
[01:27:33.280] ください手でキボールするよにし
[01:27:38.080] てにまとめて
[01:27:42.600] ください
[01:27:44.639] こすいませんこれは料理配信です皆さん
[01:27:48.520] これは料理配信ですせてくさい人数減
[01:27:52.760] たでは付け合わせの野菜から焼いていき
[01:27:56.159] ます付け合わせの野菜ないですうちはまず
[01:27:59.239] あ違うのこれなんかスープをのまま入れて
[01:28:02.639] くださいスープ買ってきちゃったかける
[01:28:04.520] やつかけるスープ買ってきちゃったスープ
[01:28:06.639] じゃねえなんだっけこれスープじゃなくて
[01:28:08.199] これなんだっけソース買ってきちゃった
[01:28:12.199] なんかワインとかアーダとかめんどくせえ
[01:28:14.600] からさ買ってきちゃったよ
[01:28:16.679] これまずフライパンにサダに入れ中でして
[01:28:21.760] ください料てるよ笑笑込みねいいよねこれ
[01:28:26.520] でからこの辺飛ばしちゃうわこれやった
[01:28:28.159] からこの辺はそこ
[01:28:30.639] ポテトかは同じフライパンにもう1度
[01:28:35.040] サラダ油を同じえちょっと待ってもう
[01:28:37.360] なんかこいつもうなんかハンバーグ焼こう
[01:28:39.480] としてんだけどの鉄板だからもう
[01:28:42.320] ハンバーグ焼こうとしてんだけどこれえ
[01:28:43.960] もう行くのえこれってどうすればいいの
[01:28:46.159] ラップに包んどけばいいあのさハンバーグ
[01:28:48.639] 焼いちゃうと冷めちゃうじゃんこれまださ
[01:28:50.520] この後作るからこの後まだ作るからさて
[01:28:53.600] ます約この後作るからあのまだあのスープ
[01:28:59.159] あのさなんだっけあれとか作るからあの
[01:29:02.480] 豚汁も作るからさ豚汁も作る
[01:29:05.760] じゃん豚汁作ってあっためておく時に置く
[01:29:10.880] 時に一緒にやろうよで一緒に出来上がった
[01:29:12.800] 方がよいよね一緒に出来上がった方がよく
[01:29:14.760] ないちょこれちょっとあの庫豚汁も作
[01:29:19.440] ラップに包んで冷蔵庫
[01:29:21.760] オッケー順番がおかしい
[01:29:24.679] ラップでんで冷凍
[01:29:26.719] 庫さすがにサランラップぐらいはあるよ
[01:29:30.199] あるあるサランラップぐらいありますよ
[01:29:32.920] いや料理しない料理しないって言っても僕
[01:29:35.560] あれですからねちゃんとフライパンとか
[01:29:38.159] 使ってお肉焼いたりするからねちょっとね
[01:29:41.360] 君たち侵害だな料理しないくせに汚い汚
[01:29:44.639] いって言てくれするから理料理はしない
[01:29:47.320] けどこういうなんか手のったことはしない
[01:29:49.520] けどスーパーに売ってるんすよ1人暮らし
[01:29:52.639] の味方
[01:29:54.480] あの味のついた味のついたさ肉焼だけのね
[01:29:58.800] で洗いましょう
[01:30:02.159] ね自分で言ってたのよただ焼は事前に出し
[01:30:06.840] ておくといいように出ないとやと大変さに
[01:30:10.760] 乗っけた方がいいのではトレがあれば使い
[01:30:13.840] やすいのに一気に一気に4個は食べない2
[01:30:17.480] つぐらいにしようか
[01:30:19.080] な笑笑面にハンバーグついてる
[01:30:31.159] うんこれでいい
[01:30:33.360] のこれでいい
[01:30:38.320] ねいい感じね食べない分は冷凍するの冷凍
[01:30:43.320] するようん食べない分は冷凍するなことに
[01:30:45.520] なるよ笑笑くっついて大変なことになる何
[01:30:48.719] が何がくっつくって何がくっつくって
[01:30:54.040] 週の配信何がくっつくってこれで何どれが
[01:30:58.239] ノーマルのやつか分かる方が良さそうお肉
[01:31:01.840] やいちゃって冷凍した方が焼いちゃって
[01:31:04.480] 冷凍した方がいやまそうなんだけどさいや
[01:31:06.840] そうなんだ
[01:31:09.520] けどいいじゃんどうしよラップだとした時
[01:31:13.880] にお肉がくくら大変よ遅えじゃどうすんの
[01:31:18.480] よチラさんレこんばんはありがとうはさん
[01:31:21.600] こんばんはまとりあえずとりあえず冷冷蔵
[01:31:25.080] にしとこうとりあえず冷蔵い分かった
[01:31:27.000] 分かった分かった分かったやちょあの
[01:31:29.960] 難しいこと言わないで本当にいっぱい
[01:31:32.760] いっぱいだからチマ
[01:31:36.440] ゲームなんかないかなお皿ハンバーグうち
[01:31:40.280] お皿ねえんだよ
[01:31:43.600] なお皿がねえよお皿
[01:31:50.280] があこれでいっか
[01:31:54.280] これでいいか
[01:31:57.159] なこのこの発スチロール発スチロールに
[01:32:01.719] 並べてこで冷凍
[01:32:04.800] しこもに入ってたんだから
[01:32:08.159] こいつ柔らかすぎる気がすんだ
[01:32:11.480] けど耳何つけてんの何が右耳
[01:32:17.880] ピピピ105人まで減った何た見えてん
[01:32:22.840] だ説見えてねえんだよ何人までいたの最高
[01:32:25.760] 何人までいたん教えてくんねちょモチベが
[01:32:29.639] モチベがさあ5人ぐらい減るやろ5人
[01:32:33.960] ぐらい減る
[01:32:35.120] [音楽]
[01:32:39.440] だろ冷えることで少しくなるから安くなる
[01:32:43.520] と思う冷えることで少し硬くなるなるほど
[01:32:49.080] ね確これノーマルだよねこれノーマルね
[01:32:55.520] だってもうこれだ持ち上げらんねえもん
[01:32:58.639] 持ち上げらんねえよ
[01:33:00.719] これ持ち上げられねえ1人だとお皿そんな
[01:33:04.119] に持ないよね142の牛です
[01:33:09.880] ねなるほど柔らかくって持ち上げらんねえ
[01:33:17.000] よいいね初めて作るのかはい初めて作るよ
[01:33:24.840] これノーマル俺のスマホ表示て人になっ
[01:33:28.960] てる整え
[01:33:32.560] ば役前に形ればいいんだなるほど
[01:33:38.080] ね落ち着いてきたぜちょ俺も落ち着いてき
[01:33:40.920] たぜ
[01:33:45.560] ちょっとあいいじゃんねえよく
[01:33:52.400] ねこ辺ういこと言ってる
[01:33:55.760] わ
[01:33:58.360] ほら
[01:34:00.760] れる売れる食べたい美味しそうだ
[01:34:05.600] ねいい感じになってきた
[01:34:12.800] よこれが川把握し
[01:34:19.040] てるよしあと1
[01:34:21.800] 個あ
[01:34:27.159] 把握してる把握し
[01:34:28.800] てるどれがノーマルでどれがあれかは把握
[01:34:32.719] してる
[01:34:34.320] よハンバーグ師匠
[01:34:39.119] こんにちはナイスパン粉少なかったんか
[01:34:44.480] なハンバーグ師匠どうもこんにちはこさん
[01:34:48.159] こんばんは
[01:34:49.740] [音楽]
[01:34:54.560] いいじゃんいいにゃんいいやんええやん
[01:34:59.000] ええ
[01:35:00.880] やんオ
[01:35:06.960] はい油が多いだけな気がするはいこれな
[01:35:10.440] これ冷蔵しときますこれ冷蔵しときます
[01:35:16.000] よめう触ったところが全部危なっ
[01:35:24.679] はいはいじゃ次はです
[01:35:28.760] ねちょっとこの辺綺麗にしたい
[01:35:33.480] ねねきれにしたいねあたさんこんにちはす
[01:35:37.639] 今料理作ってるんですけど回洗っか色々
[01:35:40.480] これ洗った方がいいよね1回ねだ次また
[01:35:45.159] 料理すんのに豚汁作んのにさ一旦洗った方
[01:35:48.560] がいいよ
[01:35:49.440] ね汁作んのにこれじゃさどうしようもねえ
[01:35:52.679] もんな
[01:35:54.400] 全部洗っ
[01:35:56.280] たら洗った方がこれからやりや洗っ
[01:36:01.520] ちゃおうちょ洗っちゃっていい
[01:36:05.520] [音楽]
[01:36:17.560] 軽くかちゃん
[01:36:20.760] [音楽]
[01:36:31.560] ままな板洗わなきゃだめだねはるちゃん
[01:36:34.080] おはようはるちゃんも
[01:36:36.880] おはようちょっと綺麗にしよう1
[01:36:39.880] 回いや2品はちょっときつかったか最初3
[01:36:44.040] 品やるとか言ってるんですけど無理だ
[01:36:46.840] ね昼ご飯のはずが夜ご飯になっちまうな
[01:36:49.840] これな
[01:36:53.639] になっ
[01:36:55.960] [音楽]
[01:37:05.840] ちゃう
[01:37:07.960] の
[01:37:10.400] だ
[01:37:12.670] [音楽]
[01:37:18.800] 時間時間かるね
[01:37:41.800] 頑張って偉いあ
[01:37:43.880] もうね絶望的にね絶望的に狭い作業環境が
[01:37:50.400] 狭すぎる
[01:37:54.360] 作業環境が狭すぎてちょっとさどうしよう
[01:37:56.760] もねえなこれ
[01:37:58.960] なお湯で洗ってるよなんか油油落ちるかな
[01:38:03.639] と思ってそっちの方
[01:38:07.510] [音楽]
[01:38:10.719] があ大変だね料理ってね
[01:38:19.380] [音楽]
[01:38:26.920] こ機材にまずね水がかかんねえように
[01:38:29.159] 気つけながらやるのがしんどい
[01:38:33.270] [音楽]
[01:38:35.679] わあこのさん
[01:38:43.119] こんにちは
[01:38:47.440] うよし
[01:38:51.320] [音楽]
[01:38:56.520] バーグ
[01:38:58.990] [音楽]
[01:39:04.080] ですうーんやっとね今ねハンバーグ形作っ
[01:39:08.760] て今冷蔵庫に入れてる今日はそれと一緒に
[01:39:11.960] 豚汁も作るからも欲張っちゃってる
[01:39:15.119] から完全に欲張りモードなのでちょっと
[01:39:18.960] 後悔してるねもうちょっとこれ大変そうな
[01:39:22.599] んだよな大丈夫からつ後悔してます
[01:39:37.239] ね
[01:39:38.840] ああ大変だなこれこんなことやりながら
[01:39:45.320] さかなり攻めたね
[01:39:54.000] よしよしよし
[01:39:55.679] よしとりあえずこれで洗いもオッケーか
[01:40:12.520] なインスタントじゃねえよ本気の本気の
[01:40:15.760] やつだよ本気のあ違うこれ洗うのか
[01:40:26.360] そうだね洗う
[01:40:44.120] [音楽]
[01:40:51.560] 洗うフォロ
[01:40:54.040] リデカロさんありがとますありがとですね
[01:40:58.480] フォロワー
[01:41:17.679] ははいオッケーいいんじゃ
[01:41:21.880] ないよいしょ気だねいいんじゃ
[01:41:27.480] ないはい綺麗になりました
[01:41:33.360] と俺より配すごいねなんかね思ったより人
[01:41:38.679] 来るああ疲れた
[01:41:41.150] [拍手]
[01:41:43.480] わこれチーズ使い切っちゃえばよかっ
[01:41:47.360] たこれね何があれて同が見れねえんだ
[01:41:51.199] よ今何人見てわかんないんだよ
[01:41:57.480] ね
[01:41:59.119] 8298人
[01:42:04.400] です100行ったよチーズハンバーグ焼時
[01:42:08.080] に乗せたら良いよそれ100にな
[01:42:12.199] た100だ
[01:42:19.520] ね100人も見てんだすげえなかな
[01:42:23.199] ありがたいすね100人も見てん
[01:42:33.400] のちょ牛乳飲む
[01:42:37.000] わうまあずれちゃっ
[01:42:41.920] たこん
[01:42:50.800] ちゃまあしさんこんにちは
[01:42:57.580] [拍手]
[01:43:00.520] オオ
[01:43:02.119] オさあ次はえっと何だっけんじゃねえ
[01:43:08.880] よDSがめちゃくちゃ
[01:43:12.800] 汚いDSがめっちゃ汚くなっちゃった
[01:43:16.440] よみハンバーグ
[01:43:19.050] [音楽]
[01:43:27.000] 油はの
[01:43:29.390] [音楽]
[01:43:35.639] 大じゃ豚汁行きましょうおいしい豚汁を
[01:43:39.199] 含みましょう
[01:43:42.440] [音楽]
[01:43:44.119] 豚汁では材料を切っていきますはい場を水
[01:43:49.880] にさらすボール
[01:43:51.159] をには
[01:43:54.119] のが意じゃんオはいにて読み方変わるよね
[01:44:00.239] 何なんで戻ってんだよ作るつってん
[01:44:06.679] だろう油つきまくっても
[01:44:09.920] ニトロのト
[01:44:11.800] がそういう意味やんマジ
[01:44:17.000] でさおいしい豚汁を作りましょうはい
[01:44:23.070] [音楽]
[01:44:23.970] [拍手]
[01:44:25.760] では大魚を切っていきますぼまず最初にぼ
[01:44:30.199] の皮を洗ってぼも買ってきました
[01:44:33.280] よえーごぼごぼあっ
[01:44:38.240] [音楽]
[01:44:40.400] たマジでさ1人分の料理作んのって
[01:44:43.560] めっちゃむずくねこんなにいらないよね
[01:44:45.440] 絶対
[01:44:46.880] ねこんなにいらないよねでもこれしか
[01:44:49.400] なかったんだ
[01:44:50.960] よこれしかねえんだよ
[01:44:56.000] やだよ
[01:44:59.119] ねカム器あるよあるよではき
[01:45:08.280] ますてくさい全然使ってねえけどこれも
[01:45:14.560] 半らはいねこれさ喋りながらやるとこいつ
[01:45:18.520] うるせえマジ
[01:45:21.960] でし美しい豚汁を作り
[01:45:27.360] ましょう他の料理に
[01:45:30.080] 回すで
[01:45:31.840] はまず最初にこれ洗ってあこれも洗って
[01:45:35.599] あり
[01:45:36.560] ますを洗ったぼきにしてささきってなんだ
[01:45:41.159] きこうさきてこない動画見たけどこれこう
[01:45:44.040] いう
[01:45:45.560] やつちょ聞くだけでしょきてこうだよ
[01:45:49.719] ねそうねいやこれ洗ってあるやつだから
[01:45:53.679] えできんのそんな
[01:45:58.199] こと
[01:45:59.719] うまうまいじゃんできるじゃんやろうと
[01:46:03.800] 思えばできるじゃねえか茶
[01:46:06.199] ゲームうま
[01:46:15.679] さきうまい
[01:46:23.080] きたかな
[01:46:27.800] うまいう言ってる笑切れる本当だ
[01:46:45.000] ね名ピーラーでしたら楽よ
[01:46:50.920] 笑笑ぼ全部入れれるのがきついね喋れねえ
[01:46:55.719] 今ちょっと俺は真剣だからい引っかかっ
[01:46:58.760] てんのこっ
[01:47:00.440] はドキドキぶっ飛んでいくぼが
[01:47:06.960] 笑配信中
[01:47:16.000] ですじく覚醒してる
[01:47:19.920] 笑笑上手上手
[01:47:24.719] これ合ってんのこれいい
[01:47:26.440] のうまくねうまいだろまでやらんよね
[01:47:32.679] がえるうめえ
[01:47:36.679] だろう
[01:47:40.000] のクソガの
[01:47:42.920] きうめえじゃねえか
[01:47:46.760] よいやうま
[01:47:51.840] すぎこてか何個あればいいんだこんだけ
[01:47:54.679] あれ十分なんじゃねえのこんだけあれば
[01:47:57.239] 十分なんじゃないもういらないんじゃない
[01:47:59.760] のむからオ煮込むからオッケーえもういら
[01:48:03.199] ないよねもういらないでしょこいつ何の
[01:48:06.719] ために出てきたのこいつこいつ何のために
[01:48:09.239] 出てきたすぎだけ入れ
[01:48:13.119] よっこれ稼げ
[01:48:16.920] すぎマジさ
[01:48:20.679] 行こうこういうのとか大丈夫なんか
[01:48:22.880] でっけえんだ
[01:48:24.719] けどこっちでもできる
[01:48:27.199] のうわ楽すぎるなんだ
[01:48:30.920] これ文明の力
[01:48:33.520] だ人間だなんだ
[01:48:38.719] これ初めて知ったのかただめちゃくちゃ
[01:48:41.639] 細かくなる
[01:48:43.280] なめちゃくちゃ細かくなるこれいやこ細か
[01:48:47.159] すぎこれ細か
[01:48:51.719] すぎこのネタ分かるやつおらんってこの
[01:48:55.040] ネタ分かるやつおらんて迷
[01:48:57.880] でしょ楽だけどちょっと細かくなりすぎ
[01:49:00.280] ちゃうラー使った感想人間だ何ピーラー
[01:49:05.400] 使った感想人間
[01:49:09.840] だ文明だなと思って
[01:49:22.880] これ1本行こっかせっかくだから1本
[01:49:26.440] 行こっ
[01:49:35.159] か影しそうで怖いんだが
[01:49:45.119] 笑笑でこれさ最後の方になればなるほど
[01:49:49.199] きつくね最後の方きつくね
[01:49:54.880] うわ怖え最後怖い怖い怖い持つとこがない
[01:49:59.400] 持つとこがない
[01:50:06.119] じゃん者に包丁当て
[01:50:11.070] [音楽]
[01:50:15.560] ていて刻む
[01:50:18.040] ていて刻むてちゃんこんにちちゃん順の蝶
[01:50:23.360] ですよてもいいくらそこからは普通細
[01:50:26.400] りってんだ
[01:50:28.639] か同じような薄さに切っちゃえばいいじゃ
[01:50:31.960] 本当に洗ったのかよこのこのぼなんか切っ
[01:50:35.520] たねえ
[01:50:41.599] ぞに全部同じ切りじゃなくてもいいのそれ
[01:50:45.800] が
[01:50:47.679] あ怖い笑笑色が変わる水につけとですよけ
[01:50:53.840] て
[01:51:01.880] くる水にけ
[01:51:08.599] とけこんなもん
[01:51:10.880] やろこんなや色抜けるから
[01:51:15.159] 大人しいこんなもんやろなこんなもんやろ
[01:51:19.760] ななんかシレットから切始め
[01:51:25.440] たできました
[01:51:29.719] オッケー
[01:51:31.320] はいでは高きにしたバをボールに入れたミ
[01:51:35.560] にさらしてくださいこれこっちの方が
[01:51:37.560] 良かったもう1個もうちょっと洗って
[01:51:39.800] いいお前に言ってない
[01:51:59.679] オッケーこれでこいつに水を入れよう
[01:52:10.520] かいいねこれに水入れるわいやめっちゃ
[01:52:14.480] 大変なんだけどこの料理料理とかいう
[01:52:19.200] [音楽]
[01:52:20.840] 行為洗
[01:52:24.520] てこの料理とかりこのザないよザなんてあ
[01:52:30.560] ある米研ぐ時に使うやつだろこれだ米炊か
[01:52:35.560] なきゃいけねえじゃんめどくさくなってき
[01:52:38.320] たぞなんだこの料とか
[01:52:43.079] いうあ
[01:52:46.840] 笑ぼ切った後めちゃくちゃ汚くねある楽よ
[01:52:52.480] 棒切った後めちゃくちゃ汚これ洗ったの
[01:52:54.760] これ本当にゲー本本当にこれ洗いましたち
[01:52:58.400] 悪いな嫌だ
[01:53:04.199] な姉貴じゃねえか俺
[01:53:07.040] の俺の姉貴に姉貴に姉ちゃんに俺俺さあれ
[01:53:11.800] だよ俺ネットで配信やってんだよねつっ
[01:53:14.040] たら気持ち悪いなて言われ
[01:53:16.719] た言い方到底家族に向けて言ったあれとは
[01:53:21.480] 思えねえね家族に家族に言ったあれとは
[01:53:26.440] マジで思えねえ気持ち悪いなって言われ
[01:53:29.679] たなんでキモくはない
[01:53:33.159] やろねちゃ俺あれなんだよね最近ね配信
[01:53:36.560] やっててそうでそうな結構そうなんだよ
[01:53:40.040] 配信やってんだよて言ったら気持ち悪い
[01:53:43.360] 気持ち悪い
[01:53:45.679] ななんでよあいつだってネットで金稼い
[01:53:49.280] てるようなっだろふざけんな一緒だろ
[01:53:52.639] るのあと野菜何着るんだろうちょこれ1回
[01:53:54.760] 洗いたい霊のしたんじゃないかな
[01:54:01.550] [音楽]
[01:54:03.239] 笑面白すぎる
[01:54:08.199] お姉さんいやそんな姉貴もあれだからね
[01:54:11.239] インフルエンサーでアーダこーだしてる
[01:54:13.520] なんかよくわかんねえ怪しい人間だよ
[01:54:15.280] 怪しい人だよえあの人のお仕事って何
[01:54:18.560] 分かりませ
[01:54:19.560] ん分かんないけどお金いっぱい持ってます
[01:54:22.960] なんでそんなやつに俺ネットで配信やっ
[01:54:24.719] てるつって気持ち悪いって言われなきゃ
[01:54:26.079] いけねんだ一緒だろ道だろちょ牛乳飲んで
[01:54:30.400] いい牛乳牛乳飲んでいい
[01:54:35.199] ちょっと
[01:54:36.840] うま牛乳うま明日までだけど賞味嫌さ次今
[01:54:43.280] ちょっと
[01:54:45.960] あのてい
[01:54:48.800] いこんな感じで今
[01:54:51.320] ねこれ
[01:54:54.280] さい
[01:54:56.230] [音楽]
[01:54:57.920] オッケーね悪をこれでではきにしたは
[01:55:03.599] ゴールに入れたに次に大根の皮を向いて
[01:55:14.239] ください
[01:55:16.000] ベーコンデコンも買ってきたデコン
[01:55:19.280] もんじゃ
[01:55:21.320] ね
[01:55:22.880] はい皮を抜いた大根を一くじ台の乱切りに
[01:55:26.960] してください一口台え大根ってどどうすん
[01:55:30.719] のえ大根ってどこまで使うのこれ
[01:55:33.880] 大根どこまで使うんだろう
[01:55:37.320] これえこん
[01:55:40.400] くらいこん
[01:55:44.280] くらいこんくらいかいっぱい入ってた方が
[01:55:47.520] いいよ
[01:55:48.320] ねいっぱい入ってた方がいいよねオ
[01:55:53.679] 撃えもめっちゃ余る
[01:55:56.360] よめちゃくちゃ余るどう
[01:56:00.000] しようま最悪実家に持ってく
[01:56:03.440] か最悪実家に持ってけば使ってくれん
[01:56:06.960] だろう多分実家お母ちゃんにあげればいい
[01:56:10.639] よね最悪ねもったいねえもん
[01:56:19.320] なしたらいい
[01:56:23.440] どせこの後ニンジンも出てくん
[01:56:26.679] でしょねしかもさどうやって皮剥く
[01:56:31.280] のどうやって皮くのこうやって向くの
[01:56:35.679] ピーラーくてどうやってくのよ
[01:56:38.560] これピラピーラーでいい
[01:56:42.079] のしてピラでいいねじゃちょっと
[01:56:55.760] 竹串竹串って何竹串てどうやってやんのえ
[01:57:01.440] 竹串あめっちゃむくめっちゃむける
[01:57:06.440] むきむきバナナ
[01:57:08.920] な
[01:57:10.480] メルル全然覚えてない覚えてなかった忘れ
[01:57:16.239] ちゃったすぐ出てこなかっ
[01:57:19.440] た竹串なんてねえぞうち
[01:57:22.700] [音楽]
[01:57:24.679] 笑笑え竹串なんてうちない
[01:57:27.599] よ何竹串て爪楊枝なら
[01:57:31.320] あるつならある左手気をつつける
[01:57:39.159] ありがとう串で盾に線入れてぐりんで
[01:57:45.440] 転がしえそんなことできん
[01:57:49.119] のあれどこまで周したこれ向いとのい
[01:57:55.280] みたいバナナ
[01:57:57.639] なムキムキ
[01:58:06.679] ルルルルで
[01:58:08.800] も串ない串な
[01:58:12.320] いっすでも負けない
[01:58:15.000] よはいきました皮けたよ
[01:58:22.760] おろしじゃないおろしじゃないこれあれだ
[01:58:24.159] よおろし用じゃないよ
[01:58:28.320] はい悪にしてください気持ち悪ラ切りって
[01:58:32.199] どれだラ切りってんだラ切りってまず半分
[01:58:35.960] に
[01:58:39.079] しよう付き合わせっていうかあの
[01:58:43.639] 豚汁ラ切りってどれラ切りってどう切るの
[01:58:49.000] 切りラ切りってどう効くの切りみたい
[01:58:53.199] 乱れ切りだてでかいじゃんだって
[01:58:59.400] これどうやって切るのお好みでどうぞマジ
[01:59:07.119] でぶよ適当にゴゴ
[01:59:13.440] する14にしてラすればいいよ陽こうこう
[01:59:20.119] いうこと
[01:59:22.239] さすぎるのでは笑笑バナナな
[01:59:27.040] ムキムキバナナなバナナ
[01:59:31.599] な大根だけどねこれこれ大根なんですけど
[01:59:34.400] ね大根なんですけどね
[01:59:36.719] バナナ
[01:59:44.079] メメメ大根
