[00:00:44.559] おはようおはようはいさ
[01:25:20.920] はあやっ
[01:25:23.000] たった
[01:25:25.400] はお
[01:25:26.880] パチパチパチこれでいいんだよねはい神
[01:25:30.440] 良いですか青い素晴らしいぞ橋元もさ鼻が
[01:25:34.119] 高いじゃろうなこのゲーム余裕です
[01:25:38.280] 光栄でございます
[01:25:41.199] パチパチURL
[01:25:45.840] 省略素晴らしいスケベドロップて言った
[01:25:51.159] 今いや品いいねのとちゃん枕枕やってねえ
[01:25:56.560] 投票したいじゃんおいやったね言ってる
[01:25:59.679] こととやってることが全然違うおい見て
[01:26:01.800] くれ見てくれ新産位を買収する待ってくれ
[01:26:05.360] 俺でもこれはこれは歪んだ愛だと思う歪ん
[01:26:09.600] だ愛だなそんなことしないああさすがに俺
[01:26:12.880] はこの10人が聞いただろうなないねない
[01:26:16.280] ねちょっと歪んだ愛俺は信じてるのそんな
[01:26:19.639] ことしなくても勝ちに
[01:26:21.880] 行こう石が東京弱すぎるだろ石が弱すぎる
[01:26:26.719] だろこの
[01:26:28.159] 親父やったお金とかもらえないのお金とか
[01:26:32.000] もらえないの賞金その頃舞踏会ではあ舞踏
[01:26:36.560] 会やべえ
[01:26:41.080] 何ケ
[01:26:43.960] アナキンぶあかっけのいるね石の弱さが
[01:26:48.400] 勇者とは思え
[01:26:51.000] ないすぐか
[01:26:53.239] ねああやべえかっけのいるえ待てこん中に
[01:26:57.000] 将来の旦那がいるんじゃねえのやだ
[01:26:59.840] なあ俺と結婚すんだ
[01:27:01.990] [音楽]
[01:27:04.480] よもう興味ないもえお女女部門だあ違っ
[01:27:10.400] たなるほどやっぱ女戦士何人か人じゃねえ
[01:27:13.840] のいたな女戦士ルートもあるんだねえ
[01:27:18.320] 大丈夫今なんかああ女戦士もセクシー
[01:27:24.760] やっぱやっぱ人をあめてるから顔付きが
[01:27:27.560] やっぱ変わってくるんだろう
[01:27:29.760] ななるほど
[01:27:32.040] えなんかこれの優勝者とさったぞ笑戦いは
[01:27:36.920] 終わった表彰式俺興味ねえぞここ別に俺
[01:27:41.080] 勇者はばバートルタタール所はリーバン
[01:27:45.320] クリフリーってさっき見なかったバートル
[01:27:47.719] は見事な腕じゃ一層包しめよえありがたく
[01:27:51.000] 幸せよくわかんねなこれ誰えはどうでも
[01:27:55.159] ええわあんなもんはえお金も何もくれない
[01:27:59.159] の評価83Aよくわかんね街の
[01:28:05.760] 表示はめあめじゃなくて励めだったね
[01:28:10.360] ごめんあ評価超上がっ
[01:28:12.760] た慎めじゃなかった励めかごめ誉だけかま
[01:28:17.239] 名誉も必要だ
[01:28:18.719] よ上品な感じがするいいね女の子だから力
[01:28:22.560] は強くないんだぜああ
[01:28:24.760] 11月やお金ねえなちょっと稼ごう話して
[01:28:30.040] 話してちょっと用を回復させてあげよお前
[01:28:33.400] は
[01:28:34.440] とても俺も励めて言ったからお優しいえ
[01:28:39.320] かわいい根性が減ったえあべ
[01:28:42.040] 甘甘やかしすぎちゃった根性が減っちまっ
[01:28:45.920] たお父さんて優しいのねいや可愛いな
[01:28:49.159] ちょっとじゃ次は厳しく話してみよっかな
[01:28:54.159] 様どうだろうちょっと王様チャレンジして
[01:28:56.040] みる王様チャレンジしても食っていけない
[01:28:59.600] せがれ世の中だなきますちょっと待って王
[01:29:03.040] 様に会に行こうちょっとやっ優勝したしさ
[01:29:06.600] ここは突破可能だよねあもやっぱ気品が
[01:29:09.119] 上がってないから通さしすぎてもだ多分
[01:29:11.600] そうだろうね根性つつけるなら病院行く
[01:29:14.719] しかないやろ病院病院で働こうかあいや
[01:29:18.159] ちょっと待ってこガンガン稼いで次
[01:29:19.840] ちょっと教育していいもう一度うん
[01:29:22.679] ちょっとこう合ってみようここ超えらん
[01:29:24.600] ねえかな令法あげるかそう令法上げたい
[01:29:28.400] お前の礼儀作法金金では到底ああまだダメ
[01:29:31.080] だな主力系のバイトは体力とか腕力が
[01:29:34.320] ちょっとずつ下がるのあ下がるんだああで
[01:29:38.440] もこの子に別に俺そんな求めてないんだよ
[01:29:40.760] な正直なそんな女の子らしく生きてほしい
[01:29:43.520] からえっとお金を稼がせるま教育まだでき
[01:29:47.400] ないなちょっと待ってえっといや大必なの
[01:29:52.360] よこの子大必はマジ女性みたいに戦えるお
[01:29:55.679] 嬢様みたいちょっとこのは眉毛かき忘れた
[01:29:59.440] のやっぱでもそういうあれなんじゃないの
[01:30:01.119] 眉毛も剃るあれなんじゃないこの子は大よ
[01:30:04.360] やっぱりで大バカンスきてえなバカンスき
[01:30:10.480] て行こう100ドルお金ないお金ない
[01:30:14.880] 100ドルはでもねやっぱりそういう
[01:30:17.920] ルートもあるみたいだよその剣持たせて
[01:30:19.719] 武器を買うとかあるもんねこのまだと
[01:30:22.040] バイトで終わるぞだってさだってお金
[01:30:26.600] だきゃ何もできない
[01:30:29.080] もんうわか
[01:30:32.600] 可愛いバイト乙女見てくれよえでも
[01:30:37.000] ちょっとバカンス行こうか
[01:30:39.080] ないやちょごめんこの月だけはごめん
[01:30:41.679] ガンガン稼がせてまだまだ基礎鍛錬の時期
[01:30:44.119] だよねちょっとここはちょっとごめん
[01:30:46.760] ちょっとごめだって俺あれだぞこれ18歳
[01:30:49.360] まだあるんだぞこの子まだ11歳だから
[01:30:52.000] ねまだまだあるぞ
[01:30:55.400] ちょっとごめんここは頑張るわここは
[01:30:58.719] ちょっとうん金稼ぐやっぱお金ねえと何も
[01:31:01.360] できねえ
[01:31:02.719] から大で手紙の読み書きをしたいいじゃん
[01:31:06.320] 何歳まであるの18歳まである今11歳だ
[01:31:09.360] からこの子あと7年あんだぞほらこの子
[01:31:13.159] やっぱりさ大成功ばっかだよバカンスで
[01:31:16.000] ハレンチし放題しそうなちゃま
[01:31:18.960] ちゃん地で出させられてるのはブラック
[01:31:23.920] 670年だから1670年だもんああま
[01:31:28.280] ミスもあるよねを入れ間違えて服あまあま
[01:31:31.000] そんくらい可愛いミスだよそんなのあうん
[01:31:34.560] うん大丈夫よく見るとってけどいいんだ
[01:31:39.480] いいんだ
[01:31:40.679] いいほらいいじゃないですか今日は給料を
[01:31:45.239] もらう日失敗した日の給料は損害分として
[01:31:47.400] 天引きもう間違えちゃいかんようん
[01:31:50.199] え青いは街の大めちゃくちゃ低下してる
[01:31:54.520] ええいらないよ腕力なんてはいこの子に
[01:31:58.360] そんなことさせないよ俺
[01:32:01.320] はよく見ないで書い
[01:32:04.360] てるいいのいいん
[01:32:08.719] やいや最初さ王様が500円しかくんねえ
[01:32:12.199] からこんなの50000円しかくんねえの
[01:32:13.840] かと思ったけど500円大金だな500円
[01:32:16.239] ってめっちゃよく見ると間違いだらけだな
[01:32:19.600] い少しずつ直してこうなペンより重たい
[01:32:22.119] もの持たせないのね確かに腕力やばいな
[01:32:26.960] インキを手紙の山にこいたああインクじゃ
[01:32:30.679] なくて
[01:32:32.679] インキインクじゃないっすインキ
[01:32:35.800] ですインキちょっとつっかかったよな
[01:32:39.280] ちょっと引っかかったなああまあまあまま
[01:32:42.880] まいいんじゃないこここの月だけちょっと
[01:32:44.679] 頑張ってもらって
[01:32:47.040] へえあうんちょっとここはちょごめん11
[01:32:49.679] 月は頑張ってもらおううんうんうんいいよ
[01:32:53.199] いいよいいよDのことでっていうタイプや
[01:32:55.520] なおばちゃんじゃねえかよおばあちゃん
[01:32:58.199] DVDっていうタだな多分なt次郎のこと
[01:33:01.320] 定治郎って言うんだろうな多分なよく見る
[01:33:03.159] と間違いだらけだわうんいいわかったいい
[01:33:05.800] よそんぐらい許すよ俺がいやミス多いな
[01:33:09.880] やぱちゃった疲労がやっぱ関係してんじゃ
[01:33:13.320] ない
[01:33:16.119] の大成功いいねああ200円行っ
[01:33:20.320] たインクとキの明が違っ
[01:33:25.600] そうなめっし
[01:33:28.840] じゃあ定のTじゃなくて
[01:33:32.000] なGoogle先生
[01:33:35.560] か式も見てます式もいますさすがさすが
[01:33:41.560] うちのチャンネルはな頭いいやつが
[01:33:44.320] 集まるそうなのか
[01:33:47.199] ななんでやそれはやろ絶対
[01:33:52.150] [音楽]
[01:33:55.639] いやでもさ疲労やるとモラル下がるんだよ
[01:34:00.000] な頭悪くねえりいけど
[01:34:05.199] いやどうすっかなここねちょっとごめんで
[01:34:08.760] も優しく話した方がいいのかなこれ疲労
[01:34:11.600] 減るかな優しく話すとまやってみっかだ
[01:34:14.320] からさ根性下がるんだよなあんまり
[01:34:16.639] 甘やかす
[01:34:19.239] とがのてくお前のことを気あしよしえっと
[01:34:25.400] 疲労減ったんで根性つくとバイトの成功率
[01:34:28.520] 上がるであそうなんだ根性やっぱ根性がね
[01:34:32.119] ちょっと待っ今どんくらい根性あんの根性
[01:34:34.840] 見よう根性どんくらい根性あんの根性11
[01:34:37.600] 歳にバイトさすない時代が時代だ
[01:34:41.440] から根性はあとさんこんにちは今日は
[01:34:46.119] プリンセスメイキングチマです
[01:34:49.239] え根性根性181ってでもえ根性ってどう
[01:34:54.440] やって上がん
[01:34:55.880] の根性ってどうやって上がんのえでもこれ
[01:34:59.080] 買い物なんかしてる余裕ない
[01:35:03.480] よちょ道具見よっ
[01:35:06.119] か薬草HP50のスマホの待受けがになっ
[01:35:10.760] たのいんだけど
[01:35:13.239] さたつみこれやりたいこれもPCエンジン
[01:35:17.800] かこれもPCエンジンでもねプレステとか
[01:35:21.119] にもね2とか多分出てるんじゃないのねの
[01:35:24.119] ええドレスが
[01:35:26.239] 欲しい勇者なのは分かりますが働かないの
[01:35:29.679] ですかいやだから魔王とかが出てきたら
[01:35:32.239] すぐ行くから知ってるあ出てるんだよこれ
[01:35:34.520] PCエンジン版ですTカップうわあでもさ
[01:35:38.000] これさ刺繍とか買ってやったらいいん
[01:35:39.840] だろうな気品と知力上がる
[01:35:42.600] もんいやでも
[01:35:46.159] な鎧カブトはおおなるほどねうこんなえお
[01:35:52.600] 金さ持ち直したあ持ち直した持ち直し
[01:35:56.320] た
[01:35:58.159] うわビキニの
[01:36:00.719] 鎧くっじゃねえかよ多くなんかに負け
[01:36:06.600] ない武器見たいナイフロングソードバトル
[01:36:11.280] アックス刀メイス神秘のビキいいねビキて
[01:36:17.920] 子育てするゲームって割とあるよねあ結構
[01:36:20.920] あるねま買だないやちょっとさお金って
[01:36:25.960] どう稼ぐのこれま働くしかない
[01:36:28.430] [音楽]
[01:36:32.080] の王様に行ってもしょうがないもんね
[01:36:34.440] ちょっとじゃあスケジュール組もまたえ次
[01:36:37.480] どうするまお金はでもどっか
[01:36:41.920] 稼ホはでもなたあそうなんかもしんない
[01:36:47.440] もちろんそれもありそうえどうする武器
[01:36:50.719] 買ってちょっとモンスターがり行ってみる
[01:36:53.560] さ絶対お金落とすよね戦って稼げまとな笑
[01:36:57.320] ちょっと待ってそっちのせちょこっと
[01:36:58.840] そっちのせ行ってみよっかなえっときこり
[01:37:00.880] で腕力上げて木こりで腕力上げて金稼いで
[01:37:05.679] 武器買って武者修行行ってみよっか
[01:37:09.199] ちょっと戦い路線もちょこっとと見てみ
[01:37:11.159] たいガあげたらすぐお金持ちになれ色気
[01:37:14.159] あげ方がわかんねえんだよまだだって
[01:37:16.639] きこりお前だってあれだぜ確かモンスター
[01:37:19.360] のステータスなのところにお金書いて
[01:37:21.760] なかったマジで行くわ
[01:37:23.680] [音楽]
[01:37:26.440] ちょきこりちょっとごめんきこり
[01:37:29.000] う稼げるあここで休ませるここで休ませる
[01:37:34.480] これでいいわけよ今日からお前きこりうん
[01:37:38.440] 森できこのお仕事おお番のきこ里道様と俺
[01:37:43.119] のことだ女の子に包ませるような仕事じゃ
[01:37:45.159] ねえけど人手なんでしょうがないわ
[01:37:47.960] なよく頑張ったつまり何でもできるように
[01:37:51.599] なるんやなちょ見てみておほら大
[01:37:55.800] 成功待て気品が下がってるおい待て気品が
[01:37:59.000] 下がってるぞなんできこりやったら気品が
[01:38:01.800] 盛んだよ偏見だろこれあでも成功率たけえ
[01:38:06.760] 成功率高えまミスっちゃったが壊れちゃっ
[01:38:10.639] たそれお前怪力だな返事は元気やけど不で
[01:38:15.639] ならないそしょうがないやえてに行っ
[01:38:20.800] ちゃった可愛いじゃん
[01:38:24.320] ちげえよあのゴリラにはならねえよゴリラ
[01:38:28.040] にはしねえよどうだ筋肉ついただろう失敗
[01:38:31.599] のお差し引いて90$うわでもでけえな
[01:38:36.080] でけえいやでかいよ失敗しても90$
[01:38:40.360] もらえんだもん教会なんか5ドルだぞお金
[01:38:43.360] さえあればがっつりあげられるしなそうな
[01:38:45.800] んだよねそんなに焦るあもね2になって
[01:38:49.639] 1000円だった1000円は金払いな払
[01:38:53.679] はやっぱいいやねだってほら力仕事だもん
[01:38:57.360] なあ金払いめっちゃいい18とだぜだって
[01:39:01.719] 木を傷だらけにしちゃったお金こそパワー
[01:39:05.840] お金こそパワーだね木を傷だらけにいよ別
[01:39:09.840] にそんな大した木じゃねえんだ
[01:39:12.440] からうわいいなちょ武器買ってやろっ
[01:39:15.940] [音楽]
[01:39:17.599] かいやでも気品下がったの
[01:39:20.920] なえない大まいいよいいやいいやお父さん
[01:39:26.920] が謝っとく
[01:39:28.639] からオどうだ筋肉ついたあ腕力ついた腕力
[01:39:32.800] 上がったねかなりね根性も上がったねいや
[01:39:35.159] いいよいいよ75°いやいや全然でかい
[01:39:37.159] 全然でかいおやすみか何して遊ぼう
[01:39:42.400] 可愛い行け行け行け55ドルで全回復ま
[01:39:46.159] いいでしょた2300G稼げそうなんやが
[01:39:49.880] 笑て力ばかりだ
[01:39:52.320] と許せねえなんでモラルが下んだよこれで
[01:39:55.960] どういう遊びしてんだお前やべえまた飛行
[01:39:58.960] になっちゃいそうやばいやばいばやばいオ
[01:40:00.760] オオてよかったよしここで1回0にする
[01:40:03.520] ここで1回0に
[01:40:05.320] するちょっと待って1回買い物行ってどう
[01:40:08.520] なんだろ見た目変わるのかなかわんじゃ
[01:40:10.360] ない多分ちょっと待って武器見てみよ武器
[01:40:14.280] かまず武器だよなコボメイスあれ女の子で
[01:40:18.760] メイス扱ってたらすげえ可愛いな変わる
[01:40:21.080] ならムキムキにしてみたいねいや
[01:40:23.880] 見た目は変わると思うよなんか色々ある
[01:40:25.639] もん説明書見るだけで
[01:40:28.080] も
[01:40:29.700] [音楽]
[01:40:32.199] うんほらほらほらほら
[01:40:34.760] ほら色々あるみたいだ
[01:40:38.239] よちょっとごめんこれメイス買っていい
[01:40:41.480] ちょっとメイス女の子でメイス扱ってんの
[01:40:43.920] すごい可愛く
[01:40:45.880] ないたけえけどあやばパ良さそういやでも
[01:40:50.360] さ高いぜ
[01:40:53.560] 32だってコンボの倍以下で250円だ
[01:40:57.159] もん
[01:40:58.119] ねいや高いなごめんまずはお試しだなお
[01:41:03.000] 試し棒いやナイフナイフにしよっか戦闘も
[01:41:06.480] 10上がるしお金持ちよ今のいや威力は
[01:41:10.800] ないが扱いやすく携帯
[01:41:13.760] 便利ちょっと待ってえじゃちょっと待って
[01:41:17.320] メイスとナイフどっち買うメイスとナイフ
[01:41:20.639] どっち買う
[01:41:23.400] かみんなの意見をちょっと子育てはみんな
[01:41:25.440] でするもんだからみんなでちょっと
[01:41:26.960] 考えようメイス行く行っちゃうメイス迷う
[01:41:31.599] パパ笑迷うだろメイスメイスメイスオ
[01:41:36.280] 分かった分かっ分かった分かった
[01:41:37.740] [音楽]
[01:41:40.360] オコボはもう1つということにかという方
[01:41:44.599] にかどういうこともよかんねけどま気に
[01:41:47.440] 入りました買いましょうメス買った
[01:41:50.000] ちょっと防具は鎧変えるなんかなんであ
[01:41:53.840] 買えねええ攻撃力高い
[01:41:58.960] からま川の帽子買ってやろうよじゃあ川の
[01:42:02.520] 帽子危険な場所での見し
[01:42:04.850] [音楽]
[01:42:06.040] まみ
[01:42:08.440] オででし
[01:42:11.280] 装備や49円しかねま来月また働けばいい
[01:42:15.280] か来月また働けばいいえカブト装備しよう
[01:42:19.480] はいあそこ装備乱なのねじゃあったなんか
[01:42:24.320] 装備会始めてる装備会ちょっとちょっと
[01:42:28.080] ちょっとな娘が働くんやな痛いツッコみ
[01:42:32.280] 終わりまし
[01:42:34.040] たあ見た目はここは変わんないんだね
[01:42:36.719] オッケーちょ無修行行こうぜ父の装備化し
[01:42:39.560] てあげようよ本当だよなプロポってなん
[01:42:42.000] やろプロポーション
[01:42:43.740] [音楽]
[01:42:46.040] らしい行くねとりあえず無修行1回行って
[01:42:51.520] お金を稼がせるお金もちょっと稼がせよっ
[01:42:55.320] かまちょっとでも医者だないや大必どう
[01:42:58.920] しようかな医者行ってみよっかないや
[01:43:01.400] 難しい難しい
[01:43:03.480] なあえナイスバディかそうそうそうそう
[01:43:07.280] そういうことそういうこといや太ったりも
[01:43:08.960] するわけでしょ
[01:43:11.840] 多分きこりやっ
[01:43:15.040] て教育する
[01:43:19.760] か令法はでもま別にあんあれだからな取ら
[01:43:23.480] せないと指名感あ武芸もちょっと欲しく
[01:43:27.000] なるなそうなるとな武芸も欲しくなるな
[01:43:29.760] そうなると
[01:43:31.480] なアルバイトで稼いだか速攻使っちゃう
[01:43:34.440] けどまいっかまいいやちょこれで行こうジ
[01:43:36.679] くの娘なのになぜ%な
[01:43:40.639] の俺が太ったのは別に遺伝じゃねえから俺
[01:43:43.639] 俺がただタイダなだけだから冷あげないと
[01:43:46.840] 王様には会えなそうなまそうだろうね用い
[01:43:50.280] をれて外壁の外に出たよし行ってみよう
[01:43:53.880] あ12月だから雪形式になってるゲーが
[01:43:56.719] 細かいてかお腹空いたなんか食べ物頼もう
[01:43:59.239] お腹空いたピザ頼んで
[01:44:01.800] いい娘が働いてる間俺お父さんピザ食う
[01:44:04.840] けど腹減ったわめっちゃ腹減った何も食っ
[01:44:08.400] てねだきて
[01:44:09.679] から何も食ってねえんだよ朝からえ何も
[01:44:13.159] ないじゃん出てこないじゃん戦いたいんだ
[01:44:16.440] けどピザいいなピザ頼もうかあいいねこん
[01:44:20.199] くらいだったら勝てるでしょ狼ぐらいだっ
[01:44:22.239] たら
[01:44:23.710] [音楽]
[01:44:24.960] いい
[01:44:26.159] 音楽に何してるんだあこれ簡単今あ病風に
[01:44:32.520] 吹かれちゃった
[01:44:35.760] ナイス行けるけるや
[01:44:38.239] べお待って待ってちょっと待って強くねえ
[01:44:43.040] か
[01:44:44.560] [音楽]
[01:44:50.280] やっぱなんやねんそれ
[01:44:53.920] むずすぎねえかこれいやむとえだって
[01:44:59.400] レベルどうやってじゃあさだってさ
[01:45:02.719] スライム的なやつが出てこんとあかんやろ
[01:45:05.560] スライム的なやつがスライム的なやつが出
[01:45:08.920] てこないとだめじゃんまずは始まってるし
[01:45:10.960] なんか多いしみちゃんこんばんはいや
[01:45:13.480] レイドいいたいや神ゲだぞ
[01:45:17.440] これるの本だよ
[01:45:21.740] [音楽]
[01:45:23.159] ちゃんですねよろしくうちの娘橋本青い
[01:45:26.199] ちゃんけちゃうだろうが別れそれはそれで
[01:45:29.000] いいそれはそれでいいジュルジュルになっ
[01:45:32.880] てなバカ野郎バカ
[01:45:35.920] [音楽]
[01:45:40.920] 野郎ねもいいよミスしても斧で
[01:45:45.040] 傷職マカロンみたいなのでバーでごめん
[01:45:49.480] 栃木県バーないねまだ可いすぎても生え
[01:45:52.360] なかった
[01:45:53.480] 何何何あうちのお姉ちゃんTwitter
[01:45:56.960] のフォロワー26万人い
[01:45:58.550] [笑い]
[01:46:00.840] ます120円もらえんだぜえようやる
[01:46:06.440] わう
[01:46:08.960] 笑笑何事も基本が大事あやっぱこういうの
[01:46:13.119] こういうところやってから外に稼ぎに行く
[01:46:15.520] のか
[01:46:16.320] な鍛えられたいいじゃん鍛えようたまには
[01:46:20.520] お姉ちゃん何物2
[01:46:23.960] うんあの
[01:46:27.239] インフルエンサー疲れて稽に身が入んない
[01:46:30.400] のうちの姉ちゃんあのうちの姉ちゃんあの
[01:46:33.360] 化粧品とかをさあのインフルエンザーなん
[01:46:36.360] だけどあの女の人女の人用の女の人用の
[01:46:41.199] 大人のおもちゃ紹介してくださいって案件
[01:46:43.080] 受けたら300人フォロワー減ったって
[01:46:45.400] その日
[01:46:46.840] で大変だな大変なんだなインフルエンザっ
[01:46:50.440] て
[01:46:54.639] いいじゃん経験値ってるよ
[01:46:56.090] [音楽]
[01:47:00.719] 笑いえこれどうなの
[01:47:03.960] これ16の経験
[01:47:08.410] [音楽]
[01:47:10.679] 値受験料50ドル
[01:47:13.520] で級試験
[01:47:18.280] 2だろでもめちゃくちゃ気にしてたてか
[01:47:23.159] まあいいだろうお前はまだひよっこだから
[01:47:25.199] な
[01:47:26.040] えただ今日から2月うわむずくねこれどう
[01:47:30.320] する金がなきゃ何もできねえじゃん
[01:47:33.560] よえこれどうすんのがいいのでもまだだっ
[01:47:37.560] て案件来たらどうするの2つあ2つ返事だ
[01:47:41.679] よ2つ返事大人のおもちゃ大人のおもちゃ
[01:47:44.760] のあれ来たら2つ返事配信でやってやるよ
[01:47:47.080] ああ最高だかて映さなかギリセーフだろえ
[01:47:52.840] お金でも必要なんだよな金がなけ何もでき
[01:47:57.000] んもん
[01:47:57.790] [音楽]
[01:48:01.080] あきこりで腕力え待ってすげえ悩むこの子
[01:48:05.560] どうするや気品下がってきてん
[01:48:09.119] なでもやっぱでも医者医者医者医者だな
[01:48:12.880] まず医者だなきこりはいいんだけど気品
[01:48:16.119] 下がるんだよまだでも1年目だからね言う
[01:48:18.880] てと体重増えてる身長体重増えてる嘘また
[01:48:23.239] 身長あでけえ10cmぐらい伸び
[01:48:26.920] てるや
[01:48:28.880] ばまたモラル下がってきたやばいえモラ
[01:48:32.560] ルってどう上げんのよモラルってどう
[01:48:34.760] あげん
[01:48:36.920] の
[01:48:39.239] ええ11歳って笑笑どうしよういや金が
[01:48:45.480] ねえな俺もれだ会あやっぱ教会かモラルは
[01:48:50.480] 金なんねんだよなたんかなきこり多分そう
[01:48:54.119] だろうな高な時期にこう運動たくさんし
[01:48:56.280] たらさ
[01:48:58.679] やっぱコキ使われたって言い方が良くない
[01:49:02.080] [音楽]
[01:49:03.800] われさせるところだった疲労がたまってっ
[01:49:07.760] からこれ多分あれだろうなあんまり金稼げ
[01:49:10.239] ねえだろう
[01:49:12.199] なせこいいね心を育てたいやっぱ現役の
[01:49:17.320] ママの言うことはちげえわ
[01:49:19.239] バ現役のママの言うことはちげえなさじの
[01:49:23.360] 母お金よりも心だよ分かるでもさお金
[01:49:28.199] 育てるのにも金が必要なんじゃお金じゃ
[01:49:30.040] ねえや心育てるのにこの医者もきこりや
[01:49:35.080] ん斧持ってかな休が必要だ休息必要だね
[01:49:39.080] この辺でね一瞬だけちゃてより視聴多い
[01:49:44.000] まあまあまあそんなどうでもいいよそんな
[01:49:45.760] の視聴数は今どうでもいいわこのゲーム
[01:49:47.760] 楽しんでやりゃええねってるって言うたら
[01:49:50.159] めてるからいいんよだってでしょ先立つ
[01:49:54.159] ものは敵まままあ素敵かなそう先立つもの
[01:49:58.119] は必要なんだやっぱりなはい疲れてるとこ
[01:50:01.080] 悪いけどちょ頑張ってもらうここ
[01:50:03.140] [音楽]
[01:50:05.679] も大とこいいね疲労ってどんくらいたまっ
[01:50:09.840] たら素敵な素敵だねいいじゃないかよ手紙
[01:50:13.360] を入れ間違えて送っちゃったいいよいいよ
[01:50:15.719] いいよ許すよそ
[01:50:18.199] くらい17日で3歳になる子と1歳の娘い
[01:50:22.960] あそうなそう言ってた
[01:50:24.800] ねそうそうそうそうマムもねそうそうそう
[01:50:27.760] 3人あのお子さんいる
[01:50:30.080] しちょっとじゃちょっとさ現役のママ
[01:50:32.679] ちょっと現役のママにちょっとさちょ教え
[01:50:35.119] てほしいや娘育てるってどういうどういう
[01:50:38.560] ことなのよ俺はそのしかもその俺父親がい
[01:50:41.920] ないからちっちゃい時からあの父親って
[01:50:44.760] ものがうまくわからなくてこ娘に対する
[01:50:47.360] 接し方がわかんない父親として
[01:50:50.760] の3人一緒
[01:50:54.079] 間違えちゃいか
[01:50:56.119] ないんそうだからお父さんてものがわかん
[01:51:00.719] ないんだ
[01:51:02.480] よ今日は
[01:51:04.760] 日曜日蓮でも蓮めっちゃ上がるんだ
[01:51:08.920] よてあげるのいやっぱそのこの気持ちに
[01:51:13.199] なって否定するんじゃなくてねやべえ
[01:51:16.719] ちょっと頑張ってほしい
[01:51:20.199] オオアッ
[01:51:23.320] 日に5歳になった双子のの母です父は
[01:51:27.400] 女遊び以外何もしませんなので父いりませ
[01:51:31.440] んリアルすぎる
[01:51:33.800] わリアルや
[01:51:36.119] のだいぶマシになってきましたね一層努力
[01:51:40.040] なさいくらいの人と緊張するわ分かる
[01:51:43.440] 分かる分かる分かる分かる教授さん分かる
[01:51:45.480] 俺もそう親父ぐらいの人と会うのはやっぱ
[01:51:48.199] 怖いよねなんかね
[01:51:52.880] ちょっとここさ復させたげよ怒ってくれる
[01:51:55.360] のまあね今だってその自分の親じゃなかっ
[01:51:58.400] たら怒れないからね
[01:52:01.800] 最初間違ってるならでもこういうことも
[01:52:05.079] 言えちゃうよ
[01:52:08.599] ね不なんか不配信になってきたな不だけに
[01:52:12.960] な馬鹿
[01:52:15.159] ろはいえ疲労やば全然取れてねえじゃん
[01:52:20.800] 疲労全然取れてないじゃん
[01:52:23.480] 誰も俺の不ネタには触れないんだねわかっ
[01:52:26.239] た
[01:52:27.760] 笑笑めさんこんちはめさんだけだよ笑って
[01:52:31.000] くれたの不だけに不って
[01:52:35.520] か
[01:52:38.320] え誰もれない笑笑でもね最近もするけどら
[01:52:44.800] れるからフローも1人あこいつだ半減でも
[01:52:51.280] の娘だから
[01:52:53.840] のパパはうんこでしたありがとうござい
[01:52:56.119] ますさ頑張ろこんにちはわ昼から配信珍し
[01:53:00.599] そうなんですよな面白いなって見てるよ
[01:53:04.119] 褒めろもっとやべ教会行くわ教会教会で
[01:53:08.880] 休ませてあげんのも必要だけどねいやもた
[01:53:13.119] バカンスとか行きたいねんでえバカンス
[01:53:15.679] 行くかバカンス行っちゃうかお金じゃその
[01:53:17.599] 前にお金稼げじゃ分かったバカンス連れ
[01:53:19.360] てってやくからその前にお金稼げよしで
[01:53:21.760] バカンスや
[01:53:23.159] いいよ100ドル使ってるわ娘のダメ
[01:53:26.840] ジまだ教会ちょ待ってごめん俺腹減った
[01:53:29.800] からさちょっとピザ頼むの会話で疲労回復
[01:53:32.960] したやん半分になるだけどまだ47ある
[01:53:37.239] からや0にしたやっぱね成功率がなんか
[01:53:40.760] 変わる気がするんだよねピザ痛いピザ痛い
[01:53:44.560] 俺
[01:53:45.400] も大功いいねやモラルが上がるじゃない
[01:53:49.400] やっぱり来たら転んでドだんいいやん
[01:53:53.440] ちょっと待ってちょピザ頼んにあ何ピザ
[01:53:55.840] ちょっと今決めるちょっと待ってえなん
[01:53:59.239] だっけえっと掃除したらであいいね好きな
[01:54:03.440] ピザあるのえっとねうちの周りピザーラ
[01:54:07.199] しかねえんだよピザーラで一番いいのは
[01:54:09.280] バスターバスターズクオーターなあれ安く
[01:54:12.400] てうまいマムシフードがいいシーフうまい
[01:54:14.520] よねたら転んでこれやっぱねこれさこれさ
[01:54:19.560] あの
[01:54:23.880] が関係し
[01:54:26.119] てる4ドル全然金なん
[01:54:29.719] ねましょうがねえ
[01:54:31.490] [音楽]
[01:54:33.280] よトマトと
[01:54:37.400] チーズちょ頑張ってここ金稼いでもらって
[01:54:39.880] でバカンス行こうおめえの稼いだ金でが
[01:54:43.440] 好きあマルゲリータ普通にマゲでもいい
[01:54:46.679] わかるわかるわかるそれもうまい分かるよ
[01:54:49.520] 普通にカヨグラタンだって
[01:54:53.550] [音楽]
[01:54:55.880] あピザ食いながらやりてえこの
[01:54:58.480] ゲーム斧が壊れちゃっ
[01:55:02.679] たアンチョビピザが好きなんかそ何その
