[00:00:18.800] ジマゲームさんコメントお待ちしてま邪魔
[00:55:52.520] になるからねもっと歌えばカラオケきに
[00:55:54.920] なるよストレス解になるからねそうそう
[00:55:57.960] スカット歌えばみんな幸せほらどんどん
[00:56:01.599] 歌おうじゃあ女子12学入れちゃおうかな
[00:56:04.200] つってドン引きだろうな多分なえ歌歌ない
[00:56:09.599] じゃん入ってないだろうなねえねえねえ
[00:56:12.079] どかよ話してこうよまだ早いよアフター
[00:56:16.599] です同伴出勤です皆さんこれがたげたげ
[00:56:21.280] さん笑
[00:56:23.400] りた
[00:56:26.520] で
[00:56:29.440] なここはねケーキ何食べてもおいしいで
[00:56:34.359] ちょっと話題の店なんだよやたぜまた服
[00:56:38.119] 可愛いななんかいいいいよね服のあれがね
[00:56:43.359] なんかオバのバックみたいな持ってるわ乃
[00:56:45.559] さん中身の頃のちゃまくは母中にデブボ
[00:56:49.160] だったよねうまいマジでな母子家庭でな
[00:56:52.760] 中二のデブボだもんねうまいわ
[00:56:56.799] 入口入っただけでよだれじんだよ俺おめえ
[00:57:00.720] といるだけでよだれがじるなやつ馬鹿がさ
[00:57:03.920] 座ろ
[00:57:07.680] ろゆき555
[00:57:11.240] さんすいませんすいません生きててごめん
[00:57:15.720] なさいかゆギザかゆう全部いいけどCって
[00:57:22.760] 言えばミルフ
[00:57:27.680] この
[00:57:29.799] 顔うんそういえばそうなんだ
[00:57:33.720] よこれねこれでとりあえずでもアフター
[00:57:37.480] 行けるぐらいまで仲いいのは分かったんだ
[00:57:39.079] けどわここだわさんおそのよだれで俺の
[00:57:43.760] ペニスもしてくれるのか
[00:57:46.630] [音楽]
[00:57:48.500] [笑い]
[00:57:50.700] [音楽]
[00:57:52.720] なじゃねえ
[00:57:56.440] さすに引いたよ俺が言ったことにすんな
[00:57:59.880] それねこれ
[00:58:02.280] さあずりいぞそれ俺が言ったみてなさゆき
[00:58:07.039] 555さんマジかよたけたさざけん笑言っ
[00:58:12.039] て
[00:58:13.680] ねえ言ってねえわさすが
[00:58:16.559] にさすがにそれは言わないな頭で思うかも
[00:58:20.160] しんないけどね頭では思うかもしんない
[00:58:22.920] けどさん私が
[00:58:26.280] が言ったんだふざけんなふざけんなよ一体
[00:58:29.920] 言わないのちごになっちゃうてこれさ部活
[00:58:32.599] ダメか
[00:58:34.200] な部活
[00:58:36.799] ダメ部活ダめっていうかどう
[00:58:41.599] テストテストダメか
[00:58:44.480] [音楽]
[00:58:46.319] なテストダメか
[00:58:49.119] これえこれどうやってもちょっともう収集
[00:58:52.480] つかなくなっちゃってんのかな
[00:58:56.520] 当たり前今
[00:58:59.680] えさんになるのが怖いねうんねえ光どん
[00:59:05.280] だけお前爆弾抱えてんのきしきしマジで
[00:59:09.119] こいつ誰だよお前マジでうんいいよもぎ
[00:59:11.640] さんデートばっかりたのかもうでもそう
[00:59:15.520] いうあれじゃないのか
[00:59:17.039] なそう
[00:59:19.559] いうそういうゲーム
[00:59:21.960] でしょうこんなこと言のもあれだけどそう
[00:59:24.480] いうゲームなんじゃないですか
[00:59:28.880] 光がでも光爆発すると本当やばいから光
[00:59:32.799] いろんなこと多分仲いいんだろうねああ
[00:59:36.079] 勝てんだよ
[00:59:38.480] もうえこれどうしようもないもうちょなん
[00:59:42.680] だよこのゲームマジでもう無理なのかも
[00:59:45.680] しれねもう無理なのかもしれ俺に部活は
[00:59:48.720] バカでしょうがねえだもんこいつもいい
[00:59:50.079] 分かった勉強しかしね勉強しかしねえわ
[00:59:52.359] 勉強しかしねえくらねえからマジで勉強
[00:59:54.880] しかしねえ
[00:59:56.720] ちゃんさん22こんばんはあこんばんはあ
[01:00:01.200] ちょうど今始まったところだねちょうど今
[01:00:03.520] 始まったとこだよかったまちゃこんばんは
[01:00:06.280] 来てくありがとうね今日2時までやります
[01:00:09.240] ふざけんなマジ
[01:00:10.640] でまこっから始まったと思うもう2時まで
[01:00:13.160] やろ今日早く寝るために9時にしたのにこ
[01:00:16.799] 無理じゃねえかよこんなんじゃ間に合った
[01:00:19.160] よかったちゃんさん久々に最初から
[01:00:23.680] 見れるでこのマジで
[01:00:27.720] さこのゲームマジでも1月からやり直して
[01:00:31.000] いいごめん1月からやり直させてもも
[01:00:34.039] ちょっと
[01:00:35.280] マジでもなあいつの爆弾解除しねえと
[01:00:38.640] やべえし
[01:00:41.039] なうろさんライフイズストレンジか
[01:00:46.599] な1月から直すわごめんもう勉強勉強だめ
[01:00:50.640] だダバカすぎてだこいつ
[01:00:53.760] 嬉しいてバカ映っからな本当
[01:00:59.119] にさすがに最低だわさすがに今のは今のは
[01:01:02.440] 最低
[01:01:07.640] ですもう
[01:01:09.839] 勉強勉強だけまそ3年生にならなきゃだめ
[01:01:14.640] だななってないからねまだ3年生に1回も
[01:01:17.079] ふざけんなよ
[01:01:27.359] さんURL省略
[01:01:31.090] [音楽]
[01:01:34.440] テレビなのに
[01:01:38.960] デブガリなのにデブガリとデブ関係ねえ
[01:01:43.640] だし
[01:01:46.119] てもう無理なのかもしれ俺に部活はバカで
[01:01:49.599] しょうがかった勉強しかしね勉強しかしね
[01:01:52.680] 勉強しかしねらねからでしか無理な
[01:01:58.079] か口回ってなくないあんまりちょっと待っ
[01:02:02.039] てここ
[01:02:04.279] さちょっとこごめんここさちょっと
[01:02:07.279] さ勉強忙しんでいい日曜日も日曜日って
[01:02:10.760] すげえ上がるんだよ日曜日にこうデートと
[01:02:13.520] かねのイベントを無視して勉強とかに忙し
[01:02:16.760] むとすげえ上がるのよ数値が日曜日って
[01:02:19.039] 日曜日もう勉強につやそうだめだ50行か
[01:02:21.119] なきゃだめもぎさん今日だね絶今日やばい
[01:02:24.680] ね今日ギリギリだで鼻もちょっと調子悪い
[01:02:28.200] わ鼻の調子も
[01:02:30.890] [音楽]
[01:02:35.200] 悪いうわめんどくせえ
[01:02:39.799] これ光りかこれ一緒に帰っとく
[01:02:45.400] か怒った顔可愛い
[01:02:50.400] なさんについては今聞いていないからやめ
[01:02:54.279] て勝手に報告していいやろ別に勝手に話さ
[01:02:58.160] せろよいいだろささん滑舌ギリギリだよね
[01:03:01.799] こ鼻の調子もやべえわねこれどう
[01:03:06.119] しよういいよわかん
[01:03:09.890] [音楽]
[01:03:13.440] ないもう光とのエンカウントが半端じゃ
[01:03:18.799] ねえ帰ってくんないもん
[01:03:21.599] ねこれやんないと爆弾だもんねやったとこ
[01:03:25.640] で
[01:03:26.480] 花について聞いていないからやめて勝手に
[01:03:29.440] 告して塗るのそして塗る
[01:03:33.640] の
[01:03:36.920] あかと一緒に帰ろうよ呼びしようあみゆ
[01:03:41.680] うんといいよやっよ呼び捨て寄り道して
[01:03:45.920] こうよ暇なんだよ
[01:03:50.480] ゆなんかうまくいかねえのな
[01:03:54.090] [音楽]
[01:03:59.119] 捨てさかいねめちゃくちゃかい
[01:04:05.279] ねい今日の予定
[01:04:09.039] 記念日俺がこの国を作ったとびんばかり
[01:04:12.960] の俺がこの国を作ったわかんね口も
[01:04:18.760] ちょっとやってるから俺
[01:04:26.400] ランディさんあかん今のよくないね今の
[01:04:30.359] だけ切り抜かれて多分あれだろうな俺が超
[01:04:32.839] 有名になったら今のとこだけ切り抜かれて
[01:04:34.760] Twitterで拡散されてなんかすげえ
[01:04:37.000] 俺損することになりそううわあの時あんな
[01:04:39.440] こと言わなきゃよかったってなりそう今の
[01:04:43.359] 発言なんだ
[01:04:46.000] お前Twitchはさ2ヶ月で消えるから
[01:04:48.760] 大丈夫だ
[01:04:51.200] よ今日かね
[01:04:54.250] [音楽]
[01:04:56.119] 女の子のお前に対する評価はねカチこんな
[01:05:00.720] 感じよああ爆弾が爆発しとでござる
[01:05:08.279] ねうんいいよ了解なまこれさ連打すると
[01:05:12.559] すぐ入っちゃうんだよピュってここに
[01:05:14.880] こんな感じだよいいっていいじゃねえー
[01:05:22.160] バレンタインデーキスうえお疲れおさ
[01:05:27.160] ちゃんこのゲームだめだよ難しくて
[01:05:30.039] せっかく今日9時から始めたのに結局今
[01:05:33.400] リセットかけて1時間無駄にしたわだめだ
[01:05:36.319] この
[01:05:37.839] ゲーム振り替え休日
[01:05:40.599] はょがねえ
[01:05:43.390] [音楽]
[01:05:47.119] ないやだってこいつさそうな気がしてたん
[01:05:50.480] だそれで今日はどうしたの爆弾の解除って
[01:05:54.119] どうやんのよ
[01:05:57.920] 爆弾の解除ってどうやん
[01:06:00.480] のごめんねどう何てもだめ
[01:06:05.240] でしょ恋愛マスターフェイトはまだ来ない
[01:06:07.599] のか今日な恋愛マスターフト気づかなきゃ
[01:06:11.200] いけないことやから無駄じゃ
[01:06:13.640] ないだ
[01:06:15.920] とげさん
[01:06:19.240] 赤いたには必要なんだ無理しちゃっ
[01:06:23.200] てさんます
[01:06:27.359] ますって何なんかそういうのあんのあます
[01:06:30.799] たことねバレンタインのチョコはそんな
[01:06:37.039] マイトが来てくんねえ
[01:06:39.799] といつもフトさん来てね俺のこのメ配信に
[01:06:44.319] 来て色々教えてくれんじゃんあれみんなさ
[01:06:46.680] ゲームのことに詳しいって思ってるでしょ
[01:06:49.400] ようから
[01:06:51.400] ね誰か俺の俺のマスターはいないですか
[01:06:57.119] イトさんが俺
[01:06:59.880] にもえたってことは解除されてるけど傷
[01:07:04.240] 解除されてるんだおここにも恋愛マスター
[01:07:07.039] いるわ恋愛マスタージジあのねジャジさん
[01:07:10.160] とフェイトさんね俺のメ配信に来て色々
[01:07:13.440] 教えてくれるじゃんこれねメモに詳しいん
[01:07:15.720] じゃないからねメモに詳しいんじゃない
[01:07:18.160] からねこの2人はマジで現実のがすぎて
[01:07:22.079] てこゲームにもしてだけ
[01:07:25.680] ことは解除されてるけどこれ別爆弾の話
[01:07:27.760] じゃなくて現実の話だからチコもらえたて
[01:07:30.200] ことはこいつまだいけんなってこれさんは
[01:07:31.960] あの生活でもやってるからそれただ単純に
[01:07:35.920] 恋愛に詳しいだけこのゲームに詳しいん
[01:07:38.039] じゃなく
[01:07:42.039] てに
[01:07:47.920] やらホストがこのゲームやったら絶対
[01:07:50.319] 面白いねん
[01:07:57.359] ハマですチョる時隠したかと思って胸
[01:08:02.680] にまっ
[01:08:03.700] [音楽]
[01:08:05.559] たさんのおっぱいてあったかいんだ
[01:08:10.400] ねげさんローランメモリローランドとか
[01:08:14.240] やったら面白そうだねパんじゃねえぞ
[01:08:16.640] ローランド俺が言ったこれ先にっただけど
[01:08:20.040] がったら勉強しなさそうしないだろう
[01:08:23.080] なだけ磨いてそうもぎさん気場くらいした
[01:08:27.679] ことないの何そ何それどういうこと
[01:08:31.040] それどういうこと急に質問のやばさもそう
[01:08:35.440] だけどそのわかんないやよくなんですか
[01:08:37.960] それおい下の名前呼んでじゃんさんホスト
[01:08:41.759] やってる友達いるからやらせてみたいわる
[01:08:44.719] よしよしご褒美にチョコを
[01:08:51.000] やろもさんおっぱい当たった時ひんやりし
[01:08:54.799] なかった
[01:08:57.880] わかん
[01:09:01.000] ないちょうどその質問の後にロード時間来
[01:09:04.199] て音楽まで消えたちょっと気まずい
[01:09:06.260] [笑い]
[01:09:07.799] わわかんないです童貞なんで笑笑童貞なん
[01:09:11.120] でわかんないですすいませ
[01:09:12.719] ん光りおでもさダメじゃんひかりやっぱり
[01:09:16.560] 爆弾持って
[01:09:17.839] るって爆弾こいつまだ持ってるよ
[01:09:21.319] 多分えチョコくれたら絶対爆弾は解除され
[01:09:25.000] てんの
[01:09:27.239] 危ねえもうだから
[01:09:30.060] [音楽]
[01:09:31.719] もうジジさん持ってたねあまだ爆弾持っ
[01:09:35.520] てるんだえこれ爆弾を一発で解除する方法
[01:09:38.520] はないん
[01:09:40.700] [音楽]
[01:09:43.120] だ勉強50あれば大丈夫だと思うけどなあ
[01:09:47.239] 大事ってのは大丈夫って意味ねあの栃木弁
[01:09:50.080] なんですいません大事って大丈夫っって
[01:09:51.759] ことです50あれば大事だと思うんだよね
[01:09:57.960] ストレスも下げねえと
[01:10:00.070] [音楽]
[01:10:04.520] さいやでもな部活のマジ続けるためには
[01:10:08.000] マジここちょっとノイローゼになってても
[01:10:09.880] え日曜なんかアイテムほこのゲームアイテ
[01:10:13.960] ムってないよねそうこのゲームアイテムっ
[01:10:16.440] てねえんだよ光に電話しとくか
[01:10:23.040] じゃんで俺おめえにさ元にこんなめし電話
[01:10:27.080] かけなきゃいけねんだ
[01:10:28.600] よ知らねつうのちゃんさんピピ人形
[01:10:34.000] 人形あのデート先待ち場所に置いて
[01:10:37.679] 身代わりにさせるみたい
[01:10:39.920] な女の子から必ず逃げ
[01:10:42.880] られるさん必ず逃げられるや笑ごめんね
[01:10:48.120] 誘ってもだってこいつ
[01:10:50.679] 誘ってちゃんさん体力半分削れる身代わり
[01:10:55.840] な身代わりなえっと
[01:10:59.800] ねうんと理系あげたいかなもうちょっとね
[01:11:03.520] 怖いよねこれさぶっちゃけどんくらいあれ
[01:11:06.120] があればあれなんだろうねあのボーダー
[01:11:08.199] ラインなんだろう50あれば
[01:11:10.480] さわ用し100切った
[01:11:13.400] [音楽]
[01:11:19.719] しめんどいなあ興味ねえ女のなんで俺あれ
[01:11:24.040] しなきゃいけねんだよ
[01:11:28.679] もうこのゲームマジでひどいよもうどう
[01:11:32.360] しろっつんな
[01:11:34.480] よさん補にさえなんなきゃいいもんそう
[01:11:37.880] そうそうそうそうそうそう補修さえね
[01:11:40.000] なけりゃいいんだよ1回乗り越えちゃえ
[01:11:42.159] ばりないなやストレスも高くなっちゃって
[01:11:45.520] 多分ねコマンドが成功し
[01:11:48.199] ててだ踏んだり蹴ったり踏んだり蹴ったり
[01:11:52.639] ですこれが
[01:11:55.200] [音楽]
[01:11:58.360] もうやり直したくないよ俺なんだ当たり前
[01:12:03.080] 今日え爆弾何個あんのよこんな感じだよあ
[01:12:07.520] でもやっぱ光かあ分かった今のあれだあの
[01:12:11.199] 冷たい噂があーだこうだって言ってんのが
[01:12:13.440] 多分光が多分俺が電話したことでちょっと
[01:12:15.400] 解除されたんだでもこの1週間何もし
[01:12:17.840] なかったからまた持っちゃったみたいな
[01:12:19.280] めどくせえこれ永遠に続くじゃねえかそれ
[01:12:21.520] ただゆがポワポワ状態なんですよも最高
[01:12:24.360] 状態これをしたいマジでもうあと他はマジ
[01:12:27.880] もうちょっともう我慢してください他は他
[01:12:31.080] はもう我慢して
[01:12:33.159] ほしい赤いもそろそろやばいから了解
[01:12:37.719] えっともぎさん機嫌になるスパンどうしね
[01:12:42.159] な爆弾の速さはさっきより遅いねうんうん
[01:12:45.600] うんうんちょっとほっといてもまだ大丈夫
[01:12:47.760] でもだでもダメダメダメ
[01:12:50.560] ダメ来ませんそうここだここ超えたら俺
[01:12:53.280] セーブするからねここ超えたらセーブする
[01:12:55.040] よ
[01:12:56.600] もうなん何度やってもこのテスト超えれ
[01:12:59.120] なかったんだ世界
[01:13:01.520] 戦嘘
[01:13:03.920] [音楽]
[01:13:12.040] でしょダメなんかもなダメなんかもなもう
[01:13:15.600] 間に合わないたげたげさん笑笑えでも
[01:13:21.840] これしかもめんどくせえのかさんでも
[01:13:25.840] 実際昨日落ちはしなかったからやむとか
[01:13:29.320] 言ってそれ3日も続いたら他の人間に彼氏
[01:13:32.520] の愚痴出すよ落ち通話しなかったとか言っ
[01:13:36.120] てその3日も続いたら他の人間
[01:13:40.639] に本当にどうしようもない生物だなJK
[01:13:44.040] ってなでその他の人間と浮気するんだよ
[01:13:47.679] 知ってる知ってるというか知っ
[01:13:51.080] てる知ってるというか知ってるそれその
[01:13:54.760] そのくりあんだよなそうなんだ
[01:13:58.639] よえもうこれどうしようもねのかなてる
[01:14:01.880] 自分にうれているだああそれはあるかも
[01:14:05.560] しれない
[01:14:06.960] ね恋する私恋する乙女
[01:14:14.679] 私これ
[01:14:17.450] [音楽]
[01:14:22.480] さあどうしよっか
[01:14:28.560] えこれさテストもう無理かどうやっても
[01:14:32.159] ねえもうテスどうやっても無理か言って
[01:14:35.920] ました言ってないそれマジで言ってない
[01:14:38.159] そんなこと言ってねえ
[01:14:40.639] なこれで点解除されてねえかえなんでだよ
[01:14:45.840] 意味わかん
[01:14:47.800] ねえ
[01:14:49.520] は何これ
[01:14:55.040] 全然意味がわかないなん
[01:14:59.960] でなん
[01:15:03.199] でちゃんと勉強してた
[01:15:07.239] じゃんさんもう無理じゃない無理だね笑え
[01:15:11.960] なん
[01:15:15.280] でえなんで
[01:15:18.340] [音楽]
[01:15:20.239] ほらくそ腹立つから調べるわむかつくこの
[01:15:23.159] ゲームマジでジャジさんノイロゼついてる
[01:15:26.840] からどうしようもねえよおんなの
[01:15:31.480] よはいチマゲーム名物ぶち切り始まりまし
[01:15:34.880] た
[01:15:35.560] [音楽]
[01:15:37.120] よクソ腹立つから調べるわ
[01:15:41.840] 攻略ざけんなよこの
[01:15:46.620] [音楽]
[01:15:49.000] ゲーム政宗ちゃんさんテストの点が悪い
[01:15:52.600] ぐらいでナビかねえ女やめとけって
[01:15:57.159] 本当だよなざけんなマジ
[01:15:59.239] でねえ何これマジでもどうしようもねえ
[01:16:03.080] じゃんさんまだパフォーマンス切れだね
[01:16:06.440] うるせえ
[01:16:07.600] なうるせえパフォーマンスとか言うな
[01:16:11.000] ランディさん笑笑PS
[01:16:14.920] 1
[01:16:16.960] 遺跡えもうしょうもねえマジ
[01:16:21.560] で出てこねえし情報えどうする
[01:16:25.600] これえこれどうすんのこれマジ
[01:16:29.600] で56とかで無理だったらもう無理だよ
[01:16:32.880] もうこれだあげらんねえもんこれ
[01:16:37.320] 以上ホワイトデーのお返えもうもう何の
[01:16:41.760] ためにこんな頑張ったんだよも結局部活
[01:16:44.639] ダメ
[01:16:49.360] じゃんじじさんストレスで点数が引かれ
[01:16:52.920] るってサイトに
[01:16:57.199] もうリセさんこれ海外版だと者事件に発見
[01:17:02.520] かなボーリング4コロンバインになっ
[01:17:04.800] ちまうよボーリング4コロンバイン知ら
[01:17:07.000] ない人は見てくださいねマジ神映画なんで
[01:17:09.360] 見てくださいボーリング4
[01:17:13.440] コンバインストレスなオッケーもうなんな
[01:17:16.600] の9時に始めた意味9時に始めた
[01:17:21.560] 意味ざんな
[01:17:25.480] たげたげさん笑まめさん何度で文字戻そう
[01:17:30.120] ペコパランディさん2次コースだ俺早く寝
[01:17:35.000] てえのになきついんだよなでやると次の日
[01:17:38.120] 眠く
[01:17:39.840] て眠くてきついん
[01:17:45.719] ださん2時までやってくれたら
[01:17:49.800] 来れるわかんないそのまの気分で行き
[01:17:52.239] ましょうね1時になっての気分でおささん
[01:17:54.440] さん明日休みだから2時まででいいよで
[01:17:57.440] そっちそっち基準なんだよ2時まででいい
[01:18:00.320] よふざけんなふざけんな
[01:18:05.440] よいもうストレスとストレス緩和と勉強
[01:18:11.280] 50以上でノイじゃなかったらいけぞもみ
[01:18:14.080] さんいいよ2時
[01:18:16.080] ででおめえらが決めんだよそれをまた
[01:18:19.440] あえて嬉しいなみゆ
[01:18:25.000] まちゃんさんでもほらいつも同じ時間だと
[01:18:28.520] 同じ人しか来られないけど時間ずらした
[01:18:31.120] から口が広がったよそうかなコメント欄
[01:18:34.719] 一緒なんだよ
[01:18:36.960] ねコメント欄見る限り全然いつもと一それ
[01:18:41.280] はガチであると思うねコメントせずにね見
[01:18:44.800] てくれてる人もいますけどねいますけね
[01:18:48.480] 確かに
[01:18:50.080] ね2でマジで
[01:18:55.080] よみなでも2時まで付き合ってくれるけど
[01:18:57.080] 眠くなんよね18時から2
[01:19:00.600] 怖えよな消費税と一緒だよ22時なった同
[01:19:04.800] ったからにれたいいだ言わなくて分かっ
[01:19:09.800] てるよんなことはんこと分かってんだよ
[01:19:13.239] いいんだ
[01:19:14.360] よいいんだよ別にいいのあんなことじゃ
[01:19:17.560] なく
[01:19:19.239] てえっとじゃあん
[01:19:22.430] [笑い]
[01:19:25.639] いいんだ
[01:19:28.639] よでもこれむずいぞでもそれマジでこれさ
[01:19:33.040] むずいぞマジ
[01:19:37.360] で一緒に帰るってやんないと多分でもこれ
[01:19:41.679] まあまあいいまあまあまあいいよいいよ
[01:19:43.520] あいつは怒ってんの分かってるし爆弾抱え
[01:19:45.560] てんのも分かってるどうにかでも日曜日は
[01:19:47.960] あいつのために電話しなきゃだめか爆弾
[01:19:50.159] 抱えてんもん
[01:19:51.440] なうわでもこれ
[01:19:56.719] どうするこれ光に電話するか勉強する
[01:20:01.000] かさん時も普通に難しいゲームいやむいよ
[01:20:05.920] ねま気にせずやっちゃえってんだっ
[01:20:09.199] たらこれどうするか
[01:20:12.159] なじじさんショッピング行っとく
[01:20:15.159] ショッピングだったら行きやすいのそう
[01:20:17.320] この子デート断れ
[01:20:20.120] からあ回復しないな回復し
[01:20:23.639] ないし断れるとストレスたまんの俺も
[01:20:27.080] すげえリアル好きでもね女デートにさすて
[01:20:30.880] なんで断れなきゃいけねえんだよと思って
[01:20:32.440] たもな全く同いですストレス溜まるよな俺
[01:20:34.719] もストレス溜まってきたノローズになり
[01:20:36.239] そうだノローゼ雪の日はさすがにしんどい
[01:20:39.560] からショッピングだったら行きやすいの
[01:20:42.400] ごめんねきし
[01:20:45.560] 死
[01:20:47.239] えっとじゃ文系ストレスも下げてえけど
[01:20:53.000] なじじさんあかんかねえこれどうしようも
[01:20:57.840] ねえよなマジ
[01:21:05.280] でクソ可愛いから
[01:21:08.719] もう
[01:21:10.320] っ
[01:21:13.920] 好きさん可愛いからっておだ俺みてな男の
[01:21:19.520] 多分あれは聞いてくんねんだろうななんで
[01:21:22.360] 私があんあんなデブなんか
[01:21:25.480] じゃなんで爆弾持ってんだよてめんだ
[01:21:27.480] [音楽]
[01:21:32.280] よえでもやっぱりちょっとあれだわ
[01:21:37.719] ちょっとショッピング街粘ってみるわ行け
[01:21:41.760] んじゃねえかないつか行けねえんだよな
[01:21:44.000] こいつマジ
[01:21:46.480] でちょっとインドポップでそうだった今え
[01:21:50.040] ストレス緩和だなまだないやこれねと
[01:21:55.040] ストレス10ぐらい増えからマジしんどい
[01:21:57.080] んだよねでもデート誘わねえとあいつ爆弾
[01:21:59.639] えるしでもじゃないとでも勉強もしないと
[01:22:02.800] やばいしはもぎさんインドポップ本当やめ
[01:22:07.080] て笑あれやばかったよねマジでここ最近
[01:22:11.360] 一番おもろかったわ
[01:22:14.120] あれインド
[01:22:16.199] ポップ何だったんだ
[01:22:19.040] あれマジでこの作業しんどいわ興味ねえ女
[01:22:22.960] に電話かけ続けなきゃいけえ河川敷とかで
[01:22:26.120] よね遊園地とか行ってく遊園地行って
[01:22:29.320] くれるじゃあもぎさん本人笑っていた
[01:22:33.199] じゃんねやった10了解了来た来た来た来
[01:22:35.679] た来たれちゃだよしこれだいぶでかいこれ
[01:22:38.080] で多分かなり超進度回復するねで俺の
[01:22:41.560] ストレスも大丈夫こっから勉強ですこっ
[01:22:43.639] から勉強えっとじゃここ勉強挟んじって
[01:22:46.360] いいよねストレスさんお来たよやっと来た
[01:22:49.560] よ
[01:22:51.840] もうやっと来た
[01:22:55.310] [音楽]
[01:22:58.440] この世界線いいぞみんなこの世界線いい
[01:23:06.360] ぞなんか最近さ俺の方でさクリップ見れ
[01:23:09.840] ないんだよねなんでか
[01:23:13.679] なインドポップ
[01:23:15.800] ねなんか最近見れねんだよなみんなの方
[01:23:18.600] 見えてんのかなみのでは見えてるかな
[01:23:21.760] このこあれ
[01:23:24.600] 問題が発生しましたつってんなんだろう
[01:23:28.239] なインドポップなんか光と来るとはいはい
[01:23:31.920] はいはいはいあこれちょっといいい選択肢
[01:23:34.120] 選びたいねちょっとここでグっとあなんか
[01:23:36.639] おかしいよね最近ねランディさん俺も見れ
[01:23:40.480] んだろうねんなん
[01:23:43.120] だろう豆さん問題が発生しましたって出る
[01:23:48.159] なッの調子が悪いんかもしん
[01:23:52.800] ない最近ねもぎちゃん以外もね貼って
[01:23:55.600] くれる人見れないんだよだもぎちゃんが
[01:23:57.840] どことかでもないだろうし謎だ
[01:24:00.230] [音楽]
[01:24:04.679] わこの子うまいんだよ
[01:24:09.679] ななんで一瞬とこ行くん
[01:24:13.159] だ光埋めんだよな回とこ
[01:24:17.639] なけ頼む
[01:24:21.320] うまいで好きでもね女なんだよなん裏で
[01:24:25.960] めちゃくちゃ
[01:24:26.880] APEXとかった
[01:24:29.840] ぞ追いチで切れて
[01:24:32.159] そうのみさんちゃんのエム可愛いよねお
[01:24:36.239] ばあちゃん見ていなやつだこういうのこう
[01:24:38.239] いうのこういうのおばあちゃんの
[01:24:42.199] エムAPEX女子っていうタグ使って
[01:24:45.679] 自撮りあげてそうちゃんのフくらい
[01:24:48.000] ひどかった
[01:24:51.880] わうんちゃんもよさんおいカバーはあの
[01:24:57.760] 最後あれそれあれあれ笑じちゃん見てない
[01:25:02.119] よね今ね大丈夫
[01:25:04.880] だガがいなかったら俺死んでたよそんな
[01:25:09.400] ことないでしょ私だって1人だったらさっ
[01:25:13.239] に死んでたってごめんやっぱ好きだわ俺
[01:25:16.840] こいつあおこの女好き
[01:25:21.880] だ思い出が
[01:25:25.400] 思い出が全部今っ
[01:25:28.719] たさん
[01:25:31.000] 笑笑
[01:25:35.320] [音楽]
[01:25:36.760] さんさんやっぱ好きです俺こいつのことま
[01:25:40.400] こんなもんだままこんなもんでしょいい
[01:25:43.480] でしょあんなにひどいことされたのにれ
[01:25:51.000] [拍手]
[01:25:55.040] うお疲れお疲れちゃんワお疲れちゃんたの
[01:25:59.760] る俺たちの
[01:26:04.880] ワもうこれだいぶ無理しちゃねこれだいぶ
[01:26:09.199] いいよねもうねもうこれ1回セーブ挟んで
[01:26:12.159] いいよくないさん部屋レ
[01:26:15.280] から部屋レイドバレンタインのチョコはっ
[01:26:19.119] たさんあねあねさっきちょうどじちゃんの
[01:26:22.119] 悪口でもう盛り上がったとだ
[01:26:25.040] そんな見えなくてそのま
[01:26:30.600] あ
[01:26:32.360] いやこれ1回セーブかますわ1回セーブ
[01:26:36.119] かますねここ1回セーブ
[01:26:42.400] かすや赤い
[01:26:45.400] さんこの子もちょっと可愛い
[01:26:48.600] けどあ嘘嘘冗談だよあ
[01:26:53.239] 痛もう今日4回見てるからこれもうあの今
[01:26:57.400] 来たけど俺今日9時からやってんのね9時
[01:26:59.760] からやってんだけど4回リセットしてます
[01:27:01.520] その
[01:27:02.840] まん俺も流したけど意味がわから
[01:27:07.960] ない4回リセットしてますどうやっても
[01:27:11.440] うまくいかないんだよねままのホムの
[01:27:14.719] 気持ちすげえ分かったわ何回やっても
[01:27:16.880] うまくいかない
[01:27:18.040] のそうか21時からになったうんでも意味
[01:27:21.520] ない意味ない最初の1時間全然意味なか
[01:27:24.199] デラコマ
[01:27:25.560] さん調子4回もリセットしちゃったよさん
[01:27:29.440] アレックスじゃん何アレックスてどのアレ
[01:27:32.360] のってれあ部活練習
[01:27:35.500] [音楽]
[01:27:39.040] 日もさん米印このままのほむらちゃんの
[01:27:43.400] 下りも2回目です今日おさゆさんさん4回
[01:27:47.800] 4回
[01:27:48.800] だちゃんさんマックスなそうマックス
[01:27:52.080] マックスそうだよそうだアレックスてさ3
[01:27:53.920] の
[01:27:54.800] あれでしょ人でしょあれも早くやりたいよ
[01:27:57.639] ね早くやりたいちゃんやんないのん嘘だよ
[01:28:01.800] ごめん無駄でしょ4回はでも何回やっても
[01:28:05.520] うまくいかないのあなたのことを助けよう
[01:28:08.480] としてるのにえっとでも1回セーブかまし
[01:28:11.199] ていいねこれねもこんなにうまいこと言っ
[01:28:12.920] てる世界線ないからただただ一応ちゃん
[01:28:16.480] さんおの
[01:28:18.400] 配っだと思って俺も早くやんねえとと思っ
[01:28:21.520] ていや先やっちゃってもいんだよ
[01:28:24.560] 今年は彼女を作りたい何の
[01:28:27.760] 話の何の話現実の話回でけなかったの時間
[01:28:34.320] 入れ替わったて
