[00:00:12.799] ひい
[00:34:40.720] のタイトルで普通に続編出てるからね。
[00:34:44.040] 激やなのはこれ初代だけっていう
[00:34:47.520] トップシークレットでバイオニック
[00:34:49.760] コマンドか。
[00:34:53.480] これ一応こうやってあれなんだろうな。
[00:34:56.720] ワイの制度
[00:34:59.680] の活用必要アイテム
[00:35:01.520] の早期回収の算をすること。やっぱだから
[00:35:05.119] この通信室は入んなきゃだめね。このね、
[00:35:08.520] 内部につがるドアを開ける。ほらほら俺だ
[00:35:10.240] からそういうことだ。ここはちゃんと行か
[00:35:12.400] なきゃいけないんだ。
[00:35:14.839] なんでここ無音なんだろうな。
[00:35:18.280] で、この兵の敵兵
[00:35:21.200] の
[00:35:22.760] 敵を全部倒そうとしない。怖い。なるほど
[00:35:25.800] ね。
[00:35:27.560] ちょっとあれは取りんだっ。
[00:35:29.640] 横斜めを使い分ける。
[00:35:33.119] でもあれ取れなくないすか?フリコのリズムを体で覚える。
[00:35:37.599] バイオニックの方の操者なら
[00:35:39.760] Tイに残ってる。
[00:35:41.400] へえ。だからこれで死んじゃうんだよね。あのワンナップ取りたいんだけどさ。いや、取れないなあ。
[00:36:01.880] 慎重に行く必要がありそうね。あ、なるほどね。あの上に登る方法は分かったが
[00:36:12.400] かなりあるみたい
[00:36:13.599] だよね。やぱもこれ本当にさ。
[00:36:16.119] いやあ、あのちょっと笑笑ダブル[笑い]
[00:36:23.140] [叫び声]
[00:36:24.450] [笑い]
[00:36:32.000] わった。わかったわかった。もうもう分かった。もう分かった。もうわかった。
[00:36:34.520] ジャンプできないからね。
[00:36:36.400] しかもこいつ上向いて銃撃てないんだよ、こいつ。
[00:36:39.880] 50型だ。50
[00:36:41.839] 型だ。多分肩上がんねえんだ、こいつ。
[00:36:48.119] ただ
[00:36:49.640] かっこよくはないけどかっこよくはない
[00:36:52.480] けど
[00:36:54.720] 上に上がる方法は覚えた。上に上がる方法
[00:36:57.200] はこれでいい。かっこよくないけどな。で
[00:37:00.760] 、もう[叫び声]ね、これちょっとだって
[00:37:02.960] 上に攻撃できませんやん。
[00:37:07.800] 上に攻撃1個もできませんやん。
[00:37:10.319] 私がまだ若かって頃に分かったよ。
[00:37:14.319] 引っこらないで
[00:37:16.160] 殴るよ、本当に。
[00:37:17.640] これも視ア難しいのでは
[00:37:19.920] バカムジ。
[00:37:26.319] あとこのゲームさ、このゲームあれないの
[00:37:29.720] ?
[00:37:31.560] コンティニューないの?コンティニュー
[00:37:33.800] なさそうじゃない?
[00:37:45.960] 残念。
[00:37:48.440] まま、この配信30分画面変わらない。
[00:37:51.566] [笑い]
[00:37:57.000] イエー。もうちょっと
[00:38:06.200] でこうでこれをこれを縮めていって。よし
[00:38:11.000] よしよし。かっこよくねえな。なんか
[00:38:13.359] もっと本当はビビュンビュン行けんだろう
[00:38:14.680] な。
[00:38:18.160] やれてもいいのにな。
[00:38:20.680] ちょ、ちょ、このさ、1
[00:38:21.920] 面、一面のさ、動画ないの?なんか
[00:38:24.440] YouTube
[00:38:24.760] とかでうまい人のビュンビュン飛び回ってるやつとかないの?なんか見たいんだけど。
[00:38:36.839] よつべなら歩いは
[00:38:38.839] ちょ探してくれよ。
[00:38:50.960] ああ、ちょっともういや、おかしい。おかしかったやん。今動き
[00:38:55.101] [音楽]
[00:39:09.400] 100
[00:39:09.680] 時間しか保存できなくなったからざを得なくなったのありそう。
[00:39:13.960] また
[00:39:15.240] ねえ。これで死んじゃうんだよ。いや、久々に
[00:39:30.839] はない命。
[00:39:32.160] あの、久々に絶望的な雰囲気が最近レトロゲームやってなかったから忘れてたな。
[00:39:35.057] [笑い]
[00:39:41.920] ウサスなんてジ口だったな。こういうこともあるよね。こういうのもあった。あった。うん。そうだわ。レトロってさ
[00:39:50.720] の面じゃないけどURL省略。
[00:39:54.720] ちょっと見るか。え、ちょっと待って。ちょっと待ってください。えっと、これちょっと待ってね。
[00:40:25.880] URL省略
[00:40:29.960] 気持ち悪い画角だな。なんだこれ?なんでちょっとずれてんだ。あ、ありがとう。何?ちょっと待って。
[00:40:41.560] どんなもんなんだよ。
[00:40:49.560] じゃ、これちゃうやんだって。これ
[00:41:02.760] は早、[笑い]
[00:41:05.119] 早や、
[00:41:07.160] は早や。[笑い]
[00:41:09.240] 早くない?
[00:41:11.920] 笑笑。
[00:41:14.480] 何してるか草。
[00:41:15.680] 何してるか全然わかんないんだけど。
[00:41:19.800] BGM[音楽]
[00:41:20.200] かっこいいな。うま。え、ちょっとちょっとちょっとちょっとちょっとちょっとちょ。うますぎるだろ。もう敵なんか。
[00:41:24.443] [笑い]
[00:41:36.233] [息をのむ音]
[00:41:36.359] え、俺も逆に聞きたい。これ楽しいですか?こんなパッパパッパやって。なるほどな。なるほど。分かりました。あ、ランディもちょっとランディが乗せてくるやつかっこいいじゃん。
[00:41:42.128] [笑い]
[00:41:55.359] 動きめちゃめちゃ早いな。
[00:41:57.480] あ、操者なので。
[00:41:59.079] 当たんだあれ。ちょっとエリア
[00:42:06.319] 1
[00:42:06.480] から見たい。なあ、もうだから。なる。ちょ、ちょ、ちょっと分かった。ちょっと分かった。
[00:42:23.960] あの、もう敵とか敵とかもうガンムスでいいね。オッケー、わかりました。
[00:42:30.000] エボ行ってきた。
[00:42:31.319] エボ行ってきたな。ハ、お疲れちゃん。え、エボなんか、え、エボ、エボなんかが土平和に思えるようなタイトルのゲームやってますわ。はい、やってきます。エボなんかなんつったら怒れちゃうね。
[00:42:49.960] ブラックリベスマってア。ブラックリベスマッテア。
[00:42:53.440] よし。
[00:42:57.400] てて。もう分かったよ、みんな。もう分かった。もう本気だから。もう敵とか全然相手にしなくてええねんな。
[00:43:15.760] え、なんで俺はなんかあんなうまくいかないの?あの人たちなんであんなこれでさ、笑
[00:43:23.040] これでなんであの人でぴょんぴょン上に行けんの?あれもどうやってあれもしよしよしよしよ
[00:43:45.270] [笑い]
[00:43:47.760] おしよしよしよしよしよしよしよしよしよしよしよしよしよしよしよしメタルギアと一緒と
[00:43:54.760] 敵と戦うんじゃない敵と戦うんじゃなくてどんどん先に進むのがこのゲームなのなどんどん目指せまいこと調節して入れんなかったかな
[00:44:06.230] [笑い]
[00:44:09.240] 3マジあ
[00:44:13.880] ちょっとこっちも聞いとくか。これフラグ
[00:44:15.599] になんのかな?ちゃんと聞いといた方が
[00:44:17.079] いいんかね?
[00:44:19.520] エレベーターに注意してくださいってどう
[00:44:21.280] いうことだよ。
[00:44:24.720] よし
[00:44:28.319] 。[笑い]もうさ、もうさあ
[00:44:34.079] タだけだった。
[00:44:38.440] もなんなのこれ。[叫び声]
[00:44:44.880] 笑笑。もうちょっとこれな。
[00:44:59.941] [笑い]
[00:45:07.559] これきついぞ。
[00:45:10.359] Zの
[00:45:11.200] 全然できないんですけど。
[00:45:14.400] なんかさ、その
[00:45:20.280] 俺が
[00:45:23.880] 俺が下手なんか
[00:45:36.319] なんであんな動画のある人でパッパッパ
[00:45:38.440] 行けるんだい。
[00:45:43.760] いやあ、もうお疲れちゃん。苦戦してる。
[00:45:53.200] バカ無じりんちゃんこんばんは。じりちゃんお疲れ。
[00:45:58.599] え、なんかもうだここのここをさ、超えん
[00:46:02.200] のすらさ、なんかうち
[00:46:14.640] ベリーベリーくてせ
[00:46:30.332] [音楽]
[00:46:33.319] 長く苦しい戦いになりそう。
[00:46:36.520] むずすぎるよ、これ。オケオッケー。まずはオッケーな。まずはオッケーな。で、ここの通信聞く。
[00:46:45.119] 一撃で死ぬの?一
[00:46:46.280] 撃一撃一撃で死ぬ。
[00:46:51.119] わお。
[00:46:57.640] オッケー。これ敵の盗調もやってかないとダメなのか?間違えた。間違えた。
[00:47:18.160] うす、う数おもろかったな。[笑い]
[00:47:21.640] もう間違えた。もう
[00:47:24.599] 毎回同じ話してくれんな、こいつ。もう
[00:47:28.000] もう言いましたって言え。もう言いました
[00:47:30.520] 。
[00:47:32.640] どっかのファミコンゲームみたいに。
[00:47:34.319] パラランパランダラダランパラパランダラもう言いました。よし。オッケー。
[00:47:42.800] 笑笑。よし。マジ本気。マジ本気。マジ本気。マジ本気。マジ本気。マジ本気。
[00:47:56.520] マジまんじ。
[00:47:57.480] マジまんじ。マジまんじ。マジまんじ。マジまんじ。まじバル。
[00:48:05.800] さ、上方向[音楽]に攻撃できないのが
[00:48:08.680] おし。
[00:48:15.640] これをさ、どう?
[00:48:18.400] え、もうそれで死んじゃったらどうしよう
[00:48:21.760] もなくないかな、
[00:48:25.559] これ。取った方がいいのか?
[00:48:40.880] なんだ、なんだ、なんだ。なんか緑の1個
[00:48:42.839] 増えたよ。あれは何?あれ?HP
[00:48:44.880] か?だめ。まずい。まず上がるなよ。
[00:48:50.280] 敵が落とすやつなんだな。
[00:48:52.319] 何なんだろうな。あ、
[00:48:56.480] 1回耐えれるんだ、あれ。1
[00:48:58.160] 回耐えれるんや。
[00:49:00.520] 1回耐えれるみたい。
[00:49:03.680] 来た。
[00:49:05.720] じゃあ、あのな、ちょっと、もう、もう難しすぎるよ、これ。
[00:49:06.879] [叫び声]
[00:49:08.188] [笑い]
[00:49:24.119] あとこれ飛ばせないの?これ
[00:49:31.440] てりレて
[00:49:33.119] 。
[00:49:36.960] これは長く苦しい戦いになりそうだな。
[00:49:47.480] もしや。
[00:49:48.599] いや、それはない。それはないぜ。ま、これいくらしたと思ってんだ、このゲーム。くらしたと思ってんだよ。だいぶ前だけど勝った。
[00:50:09.599] 900円
[00:50:11.160] な。わけあるか。それの
[00:50:14.440] 100倍ぐらいはしてるよ。
[00:50:16.309] [笑い]
[00:50:17.760] それの100倍ぐらいはしてるよ。
[00:50:20.599] 1
[00:50:20.920] 万5000エブ邪魔びっくり。ま、
[00:50:27.520] あいつが邪魔なんだよな。で、これ取ってった方がいい。絶対この弾みたいなやつなんか体力増える時あるからな。
[00:50:36.559] 元取らねえと。これでソフトの売上なちに入って入ってるわけねえだろ。入ってるわけねえだろ。カプコンに入ってんの。
[00:50:44.280] このゲームがたくさん売れたから
[00:50:47.720] プラグマタが発売されたと言っても過言で
[00:50:49.640] ないからな。多分プラグマタの制作費1%
[00:50:53.240] ぐらいは多分このゲームの売上が含まれ
[00:50:55.599] てるかもしれない。
[00:51:04.799] ヒトラー
[00:51:06.960] もうもうbanされるからね。もうban
[00:51:11.440] されるからな。てこと
[00:51:14.605] [笑い]
[00:51:16.400] もうディアナもそういうことなんじゃない。あと
[00:51:20.680] 剣やで。笑笑[音楽]
[00:51:21.839] そうマジでマジでみんな気をつけてんだ。責任は持ちません俺。
[00:51:28.599] 危な
[00:51:29.799] 危な危な。
[00:51:31.000] トラりトラ
[00:51:35.319] 1万歳。
[00:51:38.160] ひ消スになるよ。本当
[00:51:43.425] [音楽]
[00:51:44.640] ど最高本当にみんな気をつけてね。
[00:51:49.760] 君死んだ。
[00:51:52.240] もう死んだね。もう死んだ。ここがな上行けねえんだよな。
[00:52:00.200] には何人か消えてそう。
[00:52:01.799] 本当だよ。
[00:52:12.480] いや、無じい。このさ、振りコで振りコでさ、上に行くのは分かるんだけど、このさ、振り粉の完成がなくなっちゃった状態はもうさ、何もできなくなっちゃうんだよね。
[00:52:23.559] 最高がギリギリのライン。
[00:52:27.311] [音楽]
[00:52:34.520] あれ、取れねえんかい。しかもあれ取れ
[00:52:35.960] ねえんかい。オ
[00:52:38.400] よしよしよしよし。ん、
[00:52:42.839] いいぞ。何?何?えー、もうなん[笑い]
[00:52:49.160] よそれ。
[00:52:52.040] 笑笑
[00:52:55.680] ああ、こんなことできるんかい。
[00:53:03.760] あっちは外れだったってこと?外れだったってことか。え、でもこれさ、できないんでしょ?こういうことか。ああ、なるほどね。こういうことね。オッオオ。こういうことね。
[00:53:19.640] エレベーターがどうとか言ってたな。
[00:53:22.000] ああ。あ、そういうこと
[00:53:25.760] でもそれだけじゃわかんなくない?
[00:53:34.040] むず。
[00:53:38.319] いやあ、[叫び声]
[00:53:39.720] 危ない。[笑い]
[00:53:42.839] 危ねえ。でも心が練習になるぞ。ここ練習
[00:53:46.040] になるんじゃねえの?
[00:53:50.920] 何
[00:53:52.680] ?それ何それは?もう[叫び声]なんだよ
[00:53:55.200] それ。
[00:54:07.200] これどうやって倒すんだ、これ?
[00:54:12.119] ああ、なるほどね。はいはいはいはいはい
[00:54:13.559] 。
[00:54:19.200] ダブル
[00:54:37.280] オッケー。オッケー。
[00:54:45.200] あ、何
[00:54:50.000] だそれやめて。
[00:54:56.559] いや、むずすぎる。
[00:55:04.520] オケオ。ああ、いいよ、いいよ、いいよ。
[00:55:07.079] あ、これさ、
[00:55:10.079] もしかしたらきついのはきついのは最初な
[00:55:14.599] のかもしれない。この敵を倒してこの体力
[00:55:17.280] を集めていけば多少多少当たってもう
[00:55:27.799] ああラする。
[00:55:34.960] シールド蓄積するのか。
[00:55:37.480] そういうことだね。
[00:55:38.640] おきになりましたか。
[00:55:41.039] そういうことね。そういうことね。お気づきになられた。オッケ。多分
[00:55:50.559] 10個ぐらい取れば1ぐらいはHP
[00:55:53.480] 増えるんじゃないかな。こういう時が一番腹立つんだよね。これ。これだってここの段差えるのにわざわざここに行ってこうやってやかんきゃいけないわけでしょ。これ法なのか本当にこれ。
[00:56:07.393] [音楽]
[00:56:10.599] 危ね。いや、よしよしよしよしよし。行った。よし、行った。よし、行った。よし、行った。え、何?誰?
[00:56:20.760] ふ、
[00:56:21.359] なんで?え、なんで?え、なんでここ音ないの?え、え、え、な、え、な、何?来やがったな。この装置には指
[00:56:30.720] 1本誰とも触れさせぬわ。ええ。
[00:56:38.834] [笑い]
[00:56:40.720] 笑。
[00:56:41.119] 急すぎるって。
[00:56:42.764] [咳払い]
[00:56:43.720] 急すぎるって。ああ。ああ。できなくなった。もう忘れたよ。
[00:56:49.314] [叫び声]
[00:56:53.640] 何すればいいの?何すればいいの?何すれ
[00:56:56.160] ばいいの?何すればいいの?どれやれば
[00:56:57.839] いいの?どれやればいいの?どれやれば
[00:56:59.880] いいの?
[00:57:01.880] 何?何?どれ?どれ?どれ?どれ?どれ?
[00:57:03.160] どれ?どれ?これ
[00:57:06.920] 何?何?何?どれ?どれ?どれ?何?何?
[00:57:08.520] 何?何?
[00:57:13.079] 待もなんだ?
[00:57:15.240] がっかりや。
[00:57:21.559] ひどいす。もうあ、これ全然できる気がしねえぞ。あらば語り
[00:57:40.839] してないんだろ。別に誰が自語したんだ。
[00:58:04.799] この体力貯めてこう。体力貯めてこう。
[00:58:11.000] ゲームカタログ曰作らしいぞ。
[00:58:13.155] [音楽]
[00:58:13.520] いやあ、そう。これだってこれ結構有名なゲームなんだ。
[00:58:16.400] もう名作。そうそう。名作で有名なんだよ。俺が下手くそすぎるんかな、これ。いや、でもこれむずいよ。
[00:58:31.720] お気づきになりましたか?
[00:58:33.520] え、またここ入んなきゃいけないわけでしょ。
[00:58:46.880] 見た感じめっちゃむずそうだけど
[00:58:49.319] バカむずい。なんかさ、やっぱさ、あのジャンプできるって思っちゃうって動いちゃう時があんだよ。ジャンプできないんだよね、このゲーム。
[00:59:00.160] 1mm
[00:59:00.520] も自分でさ、空中にジャンプできないからなんか癖でさ、あ、これジャンプできねえっていう。あるんすよ。あるんすよ。
[00:59:10.520] その
[00:59:11.000] 武器が重いってことか。
[00:59:14.160] 武器が重いってことなんかな。だなあ、もったいない。しゃがめば当たんって待て。
[00:59:39.319] 嫌なとこにいるんだ。し、あれなんだ。方向転換できないんだ。しゃがんでると。ああ、制限が多いなあ
[00:59:52.359] あ。銃体当たりが怖い。
[00:59:55.480] そうなんだよ。だ、こうしゃがんでる時にさ、あの走行転加できねえんだよ。あ、敵がノックバックで飛んでっちゃうから倒すとこも考えないとな。
[01:00:20.680] こうしてみるとシャスの作り込みえぐかったんやな。
[01:00:24.280] いや、ま、このゲームもい、このゲームもあの有名なゲームだけどね。作り、あの面白いつって有名なゲームだけどちょっと操作なれんの大変だなあ。
[01:00:24.811] [音楽]
[01:00:40.960] ちょっとマジでこのさ、緑色のやつ貯めてこうぜ。マジで
[01:00:44.520] ステルスゲーだと思えばなんとか
[01:00:46.640] まあね。おしよしよしよし。これ、これいいよ。これいいよ。これいいよ。あ、いいです。いいです。いいです。これもうめっちゃ貯めてきましょう。もうちょっとだからスと一緒じゃねえか、これ。
[01:01:00.799] おい、またここでよ、無限によ、体力、体力よ、あれしなきゃいけないんじゃない?コナミのあれは使えんのか、このゲームは
[01:01:07.720] 10
[01:01:07.960] 倍カートリッ使えんの?これセーブするよ。
[01:01:11.880] 10米カートリッチ使えんのかよ、これ。
[01:01:16.720] うス戦方法汎用性えぐい。
[01:01:19.000] やっぱそれが大事だ。もう
[01:01:20.559] 1
[01:01:20.720] 番最初のステージでよ、やっぱある程度やっぱ決めに行かねえとよ。
[01:01:27.559] 全ての道はスに通じるよな。
[01:01:30.760] 全て。だあ、もうなんでよ。もう
[01:01:32.277] [叫び声]
[01:01:37.680] 笑笑べ。
[01:01:52.640] そりゃ3回から落ちたら死ぬて
[01:01:55.520] な。引っかからないんだよな。
[01:01:59.720] 横着すんなってことね。もう勘弁した。危ね。
[01:02:07.200] パラシュートあればな。
[01:02:09.480] 最初パラシュートで来たんだから。それ捨てるなよな。だってさ、このドラム感も乗り越えんのにわざわざさ、ドラム感乗り越えんのにこうやってやんなきゃいけないんだよ。
[01:02:51.440] お
[01:02:54.799] え、何?何?何ね?変なとこ入っちゃった。変なとこ入っちゃったよ。なんだよそれ。
[01:03:04.960] ダブル。
[01:03:10.520] いや、もう1個ライフ欲しくない?もう1
[01:03:12.200] 個ライフ欲しいよな。
[01:03:23.628] [音楽]
[01:03:28.319] オッオオオ
[01:03:30.279] オオま、ちょっとずつ慣れてきたか。
[01:03:33.079] ちょっとずつ慣れてきたかも。
[01:03:42.240] もったいないな、今の。
[01:03:44.559] もう[叫び声]
[01:03:53.720] え、ちょ、どうやっていくの?これか。
[01:04:13.960] お疲れ
[01:04:15.960] と。あ、え、おう。すごい。すごいわ。すごいですな。
[01:04:44.079] ねえ、良かった。良かったな。
[01:04:46.159] [笑い]
[01:04:50.119] 雑談でもすっか。よかった。
[01:04:52.520] よかったな。よかった。よかったよ。
[01:04:55.839] そうですやん。良いゲームだったね。
[01:04:58.079] よかったね。よかった。よかった。
[01:05:00.880] マジで感動した。泣た。ゆ、
[01:05:03.960] 泣いた。泣いた。泣いた。しもきんちゃん、こんばんは。泣いた。泣いたな。泣きました。泣きましたとね。
[01:05:12.039] これ閉まっちゃってこうやって。い、こうやってしまって。はい。ありござす。いや、ちょっとむずすぎる。
[01:05:19.565] [笑い]
[01:05:22.039] いや、おもろかった。
[01:05:23.359] ちょっとどうしよう。みんなどうする?ああ、ちょっとこれちょっとエルギーザやりたいな。エルギーザにしときゃよかったかな。
[01:05:26.115] [笑い]
[01:05:38.240] 笑笑。スコであれやる。
[01:05:42.000] いやあ、いや、あれはまだやばない。
[01:05:47.799] いや、こいつも下手くそですや[笑い]ん
[01:05:49.200] 。デモプレイも下手くそです。
[01:05:55.440] ちょっとだってさ、全然できるようになら
[01:05:58.240] ないんだよ。でもか
[01:06:02.839] 全然できるようになる気配がない。
[01:06:15.559] まあまあ、ちょ、ちょ、でも今日は頑張ろう。今日は頑張ろう。今日は、今日はというかいやも慣れよ。慣れよ。もう大丈夫。できるようになるから。大丈夫、大丈夫、大丈夫。
[01:06:17.860] [笑い]
[01:06:30.920] 今日離れた後今日だけ我慢しよ。
[01:06:33.920] 今日だけじゃない。いや、いや、これクリアまでやるよ。もちろんクリアするに決まってんじゃん。論でクリアするよ。大丈夫、大丈夫。余裕だよ。
[01:06:40.130] [音楽]
[01:06:41.880] 僕ら研究急所みたいな攻略動画ないの?
[01:06:46.681] [笑い]
[01:06:47.720] あ、どこどぞのな、なん、このこのチャンネルの動画ばっかり出してるとこないの?もうま、なんか全然なんかそのコツをつめないんだよな。
[01:07:05.021] [音楽]
[01:07:14.240] いや、マジででもHPめっちゃためめで
[01:07:16.279] ためで行かないと
[01:07:21.119] もう[叫び声]
[01:07:22.599] う。
[01:07:43.960] オブのアドバイス。
[01:07:47.760] 本当だよ。
[01:07:48.319] このゲーム懐かしいですねって言ってくれるやつが来てくんねんだよ。ああ、倒した。いやあ、もうずっとこれ
[01:08:00.319] 懐かしいですね。嘘。
[01:08:02.006] [咳払い]
[01:08:05.839] もう1時間やってるんですけど同じとこ。
[01:08:14.000] 1ステージもクリアできてないよ。
[01:08:16.880] いや、邪魔だ。こういう時どうすりゃいいのよ。
[01:08:26.679] 懐かしい気分になる。
[01:08:28.040] 何歳なんだ。いや、でもこのやっぱこの緑いやつあいけないんだ。
[01:08:39.997] [音楽]
[01:08:47.080] え、だってこうなっちゃったらもう罪なん
[01:08:49.159] だよな。こ完成の方法がない状態でただ
[01:08:53.520] 天井にくっついてる時で何もでやきないん
[01:08:56.359] だよな。
[01:09:14.057] [音楽]
[01:09:15.400] い、マジでHP貯めよ。
[01:09:20.839] あれも取れねえ。あれ、これあれも取れ
[01:09:22.799] 取り行けねえしさ。すっとさ。いや、この
[01:09:26.000] 操作なんかすごい多分慣れたら爽快感なん
[01:09:28.400] だろうけど結構慣れるまで結構しんどいな
[01:09:30.679] 。
[01:09:33.239] 行きたいとこに行けないんだよね。
[01:09:43.640] オケバドン
[01:09:55.199] 。
[01:10:02.760] いや、全然できないんだけど。[音楽]
[01:10:06.719] ちょっと絶望感あるよな。
[01:10:11.840] うわ、もったいない。
[01:10:20.920] 敵1匹倒すのめっちゃでかかった。
[01:10:24.960] う。
[01:10:41.920] いや、ちょっと待って。
[01:10:46.400] どうやって行くんだじゃ。ここ
[01:10:51.239] どうやって行く?行くの?これ
[01:10:54.320] 。
[01:10:56.600] こういうことか。
[01:11:13.760] 雑魚敵倒すのもめっちゃ大変。
[01:11:21.840] いや、ま、お前なんやねんお前。
[01:11:31.640] ペイント草でちょっと待って。マジで全然できないんだけど。結構なんか結構頑張ってるんだけど俺。これでもシャスクリアしたんですけど俺。
[01:12:08.400] 待ってよ。もうその当たっちゃ。やばい。やばい。やばい。やばい。やばい。これもこれも当た当たるぞ。当たるぞ。気をつけろよ。
[01:12:16.150] [音楽]
[01:12:21.360] 身長の敵には全く歯が立たない。あの月望感。
[01:12:25.239] そうなんだよね。
[01:12:27.239] あ、だよね。またよな。いや、もう難しい
[01:12:32.040] 。
[01:13:23.000] ああ、もうそれで上行っちゃうんだよな。
[01:13:34.840] いや、まずいな、これ。
[01:13:38.000] いいや。
[01:14:15.239] 落ち着いたら行けるやん。
[01:14:17.280] あ、これ何すればいいか全然わかんないけどな、これ。
[01:14:22.159] ああ、ここ、ここ、こ、え、あってんのか。よし、よし、よし、よし、よし。
[01:14:35.400] おお。
[01:14:37.440] おお。ぐ。ちょっとグラフィックかっこいい。
[01:14:44.320] ちょっとグラフィックかっこいい。やあ、
[01:14:46.360] 1時間14分ぐ。
[01:14:50.679] 第1のステージクリア。
[01:14:53.600] 1時間10
[01:14:54.360] 秒。今なってる。これ何これ?どっちエリア?何なの?これエリア
[01:15:00.920] 04とかさわかんないんだけど。
[01:15:07.000] パート20までにはクリア。[笑い]
[01:15:10.480] ドラクエより長くなるんだ。
[01:15:14.280] うわ、まただからさ、
[01:15:17.520] この突然始めると戦場の狼、戦場の狼が
[01:15:21.880] 始まる。
[01:15:25.080] これはこれででもおもろいな。BGMいい
[01:15:28.120] よ。
[01:15:31.239] いや、ここも一発しなんかい。
[01:15:35.280] いや、これもうワイヤーアクションとか
[01:15:37.159] 関係ない。頼む。ええ。
[01:15:44.442] [叫び声]
[01:15:48.120] 笑笑。
[01:15:52.302] [笑い]
[01:15:57.040] これは無理だ。
[01:16:00.239] こ、これは
[01:16:04.199] これはザミだよ。
[01:16:07.239] まじ。
[01:16:09.199] これは
[01:16:11.560] 、あ、コンティニュー1、
[01:16:14.239] 1って何?
[01:16:16.600] コンティニュー1、1って何?1回だけっ
[01:16:20.560] てこと?あ、待って。
[01:16:24.239] 何?はい。エ、これは?お、
[01:16:31.199] な、な、な、何なんこれ?え、あれ?
[01:16:33.560] なんか違うよ、あれ。
[01:16:48.199] 急にむずいな。急にむずいなあ。
[01:16:58.719] あ、お。え、敵見えないよ。
[01:17:05.600] いや、これ敵見えませんがな。全然なんかクリーバー出てきそう。
[01:17:18.840] フックやれば壁抜けいけそうだな。た、来た。
[01:17:26.360] こちらM8。通信機は全部で4
[01:17:28.960] つある。今のものはエリア
[01:17:30.719] 145
[01:17:31.320] でしか使えないもの。使えない新しいものを探せ。
[01:17:34.960] 何?何?
[01:17:37.480] ようわからん。ようわからんけど。
[01:17:43.000] 奴は強い。強すぎるよ。[笑い]
[01:17:46.840] 後ろへ回り込むんだよ。
[01:17:50.000] なん、なんじゃないの?今のなんで仲間
[01:17:53.480] 相手に登調してんだよ。上がる。
[01:17:59.199] これさ、全然敵見えないんだけど。
[01:18:22.480] 当たるよな、今のな。
[01:18:26.639] いや、イライラする。これ。[音楽]
[01:18:30.600] お、パンダさん、こんばんは。
[01:18:33.920] いや、ポ、なんだこれ?こういうのがあるからこれだよ。
[01:18:44.480] 何にもね、なんにもならねえのかよ。お、
[01:18:47.844] [笑い]
[01:18:49.560] いや、何にもならないんすか、それ?
[01:18:51.800] 笑笑。
[01:18:53.880] なんだよ、パウって。じゃあ
[01:18:55.360] 笑笑。
[01:18:56.679] じゃ、パウって何なんだよ。
[01:19:04.800] またこいつやなとこにいるね。取れへん。
[01:19:20.239] シクシチ。
[01:19:22.880] ほ、むかつく。
[01:19:29.880] これ何なのこれ?
[01:19:32.199] これ何なの?これ何もならないんだけど
[01:19:34.000] こいつ。
[01:19:39.320] え、何だったの?何だったの?何をして
[01:19:41.840] くれる子だったの?あいつは
[01:19:53.480] 危ない。
[01:19:55.560] いや、待って。ちょっとむずいって。
[01:19:59.199] は。
[01:20:03.000] よし。
[01:20:05.719] あ、来た、来た、来た、来た、来たよ、来
[01:20:07.800] たよ。
[01:20:11.040] ん、なんだこれ?あれ?さっきのとこ
[01:20:16.040] ひっ込め。武器は渡さん。ここでくバルが
[01:20:18.800] いい
[01:20:20.480] 。
[01:20:23.080] あ、後ろにま、回り込まれ。
[01:20:26.480] ま、あ、思った。り込むんだよ。
[01:20:28.840] あれだ。あれじゃん。後ろ回り込めないやん。これ回り込むのむ。
[01:20:32.645] [音楽]
[01:20:39.800] こんばんは。なんだね。
[01:20:42.360] こんばだよ。
[01:20:44.159] ちょっとしまさん、これやばすぎ。むずすぎる。
[01:20:53.760] はい。
[01:20:58.280] およ。
[01:20:59.000] いやいや、これ後ろ、これ後ろに回り込むってできるか?え、どうやって回り込むの?後ろ行った。無理やろ。無理やろ。
[01:21:19.151] [笑い]
[01:21:23.239] 強すぎやろ。
[01:21:24.280] ちょっとこれどうすん?ああ、私がまだ頼むよ。やだよ。ああ、無理だ。これは無理だ。俺には無理だ。これは
[01:21:37.491] [叫び声]
[01:21:44.000] ビブレチュムプ。やだ、やだ、やだ、やだ。
[01:21:48.000] そう、配ソ配。
[01:21:52.360] これちょっと1mm
[01:21:53.360] もクリアできそうな感じがしねえな。
[01:21:59.280] 嘘でしょ、これ。
[01:22:03.040] やめた、やめた。
[01:22:04.760] うるせえ。
[01:22:05.600] 回送はしないって言ったな。
[01:22:07.880] あれは嘘だ。[咳払い]
[01:22:10.000] 黙れ。
[01:22:12.679] 今なら引き返せる。めんな。
[01:22:17.760] 効果なゲームをすぐ投げる
[01:22:20.067] [笑い]
[01:22:24.880] だってこれ全然できる気しねえよ、これ。ちょっとね、剣は許してよ。邪魔だな。
[01:22:58.040] 裏でワイヤー練習しといて。
[01:23:07.760] なんだその反抗的な目は近数減っててわろたなんよ。
[01:23:16.440] あまりにも絶望的な雰囲気だから。いや、むずい。マジでワイヤーアクションが下手すぎるだってさ。
