[00:01:00.879] ウイ
[00:37:05.240] もう、もう勝ち筋見たよ。なんか今日前髪薄くない?なんか俺今日前髪薄くない?
[00:37:11.640] いつも薄いか。
[00:37:13.640] 夜芋こもいるよ。
[00:37:17.400] タぶになってる。
[00:37:18.119] ハげたの?
[00:37:19.319] ハげた。うん。ハげた。
[00:37:22.640] ストレス。
[00:37:23.440] うん。
[00:37:24.720] 前番おめえらみたいなの相手にしてっくからよ。
[00:37:28.720] ストレス溜まっちゃった。はげつったよ。怪我。慰謝料払え。
[00:37:32.920] 声優さんから頂いた海分。
[00:37:35.119] あ、声優さんからもが言ってくれたんだ。それ夜今もこもいるよ。夜いもこもいるよ。もう俺分かった。もう分かった。分かった。分かった。勝ち筋見えた。勝ち筋見た。キーポイントはここ。
[00:37:54.119] 受け継がれる分。
[00:37:55.520] キーポイントはここよ。
[00:38:00.040] ま、まずい。よし。
[00:38:02.280] 40ステージ行っちゃうよ。
[00:38:03.760] 行った。
[00:38:04.800] リ行った。40行っちゃうよ。
[00:38:21.839] この配信火用と分もらえるんだ。
[00:38:25.800] 24万とかしたらどうなっちゃうんだ?
[00:38:28.839] ん?終わり?終わり。何もなくなる。あいつ今まで
[00:38:35.440] 24万も貯めたのに。
[00:38:36.920] まだ朝釈のポイントあるからな。
[00:38:40.520] なんだそれ?なん?何言ってんだ?何言ってんだ?超弱
[00:38:46.560] 1
[00:38:46.720] 回返却マジでした方がいいよね。多分ね、マジでやらないから俺のマジでやらないもんね、俺。そっか。そしたら
[00:38:55.319] 20万帰ってくんのかでけえな。
[00:38:58.240] そしたら20
[00:38:58.839] 万帰ってくんのかでかいで。確かに返して返して。やだ。
[00:39:03.640] じゃあ返さなくていい。
[00:39:04.920] やだやだよ。
[00:39:09.839] そんなの返したくないよ。でよし。
[00:39:15.800] そんなの返したくないよ。だ
[00:39:18.440] 理つけますか?笑りました。様は星合わせな方が面白い。ビップポインも返してきた。ここにペタリ。まあ、
[00:39:31.760] ここにペタリねえ。
[00:39:34.240] これさ、そこ開ける必要なあります。そこ開ける必要なくないすか?
[00:39:50.359] 2
[00:39:50.640] 中にのマークつけてるけどはまだ
[00:39:53.280] 2じゃないんだよね。笑。
[00:39:57.720] 煽られてますね。
[00:39:59.800] 見えてたんじゃないんすか?
[00:40:02.000] いや、多分多分行けんじゃねえかな、これ。
[00:40:12.000] 鼻くそに憧れてる。クモンブルハ。
[00:40:23.960] まあでももう行くよ。さすがに。
[00:40:27.160] 笑い矢印。これ本まてでそうになる。
[00:40:40.000] いや、これで行けるんちゃ?これで行けるんちゃ?これもう
[00:40:48.400] 1周して行けるよね?
[00:40:53.200] コールストリーボブ。よし。
[00:40:58.480] イエー。
[00:41:02.000] イエスイエス
[00:41:05.520] わざわざ遠回りさせるのほんま遅延行為
[00:41:08.800] さすがに1か爆笑行くな行くな
[00:41:11.839] あそや
[00:41:18.119] あ笑笑笑
[00:41:20.760] えそんなことある
[00:41:21.839] おいわざとブル
[00:41:24.640] 笑笑んそんな
[00:41:29.400] 真面目にやって。
[00:41:30.480] そんなことある?
[00:41:32.760] 見せるね。
[00:41:34.000] いや、見せるとか見してたわ。
[00:41:36.560] そんなんじゃないじゃん。なんでいいとこにいるんだろうな。ぴったりはまるんですな。
[00:41:52.680] 絶対的な勝利から敗北を使
[00:41:58.240] ええ。
[00:42:00.240] 今完全行けてたのにな。いらないつだよ。これ
[00:42:09.359] ここ縦感ある。は、見せたね。
[00:42:14.960] 歯見せたな。は見せちゃった。見せたらあかんよ。ただもう、もうなぞるだけですから。
[00:42:28.400] もうなぞるだけですから。
[00:42:33.280] ここも油断しないから。ここもな。
[00:42:34.880] ちゃんとな。何消えるんかい?何?
[00:42:49.640] いちいち遠回りせがんのよな。
[00:43:16.720] ここクリアして10まだだ。まだ10時
[00:43:20.319] 44分だぜ。ここで次
[00:43:23.599] 3940でしょ?30分以上あんだぞ。1
[00:43:26.520] ステージ。
[00:43:28.280] 余裕じゃん。申し訳ない。申し訳ないけど。
[00:43:34.880] 満身
[00:43:36.119] 余裕じゃん。これは生きしたな。
[00:43:42.200] これ2.4
[00:43:43.079] 倍つくのでか。歯茎きまで見えてら。
[00:43:47.680] は茎きまで見えてるけど行けることを確信しているからね。
[00:43:55.720] ただこれいちいちここ本当1周させられる
[00:43:58.480] のめんどくせえな。いちいち1周させ
[00:44:01.040] られるんだよ、ここ。
[00:44:09.559] よし。
[00:44:23.960] まあ、見とけよ。
[00:44:33.079] 危ね
[00:44:36.680] 。
[00:44:39.280] あとはさっき見てます。あとは
[00:44:43.800] あとは
[00:44:45.559] 入るだけ。
[00:44:48.960] 震えてんじゃねえの?おい、全ぶっぱ。全
[00:44:51.839] ぶっぱした。震えてんじゃねえの?はい、
[00:45:03.240] 1捨て目と。はい、1捨て目。OK
[00:45:06.160] ですと。
[00:45:07.920] あ、メ、写メ、写メ、め、め、メ、高の見物中。
[00:45:11.160] いやいやいやいやいや。あと
[00:45:12.839] 2
[00:45:13.000] 捨てだぞ、今日。あと、今日のノルマあと
[00:45:15.680] 2捨てだぞ。
[00:45:19.400] ちなみ40以上行って12時までにもう1
[00:45:23.800] ステージクリアできたらみんなさらに1万
[00:45:26.119] 払ってもらうかね。
[00:45:29.880] 12時までにあ、いやいや、こんなん絶対
[00:45:34.280] 簡単やん。多分
[00:45:40.319] 鬼ん
[00:45:42.079] 1画面だ。1
[00:45:43.440] 画面のところは俺結構得意ですよ。
[00:45:46.640] 画面は僕結構毒得意ですから。しかもここさ、またさ、
[00:45:52.160] ここさ、またあれじゃない?
[00:45:55.400] リクエストしても詐欺中にくれてやってもいい。
[00:46:00.000] なんかここさ、アクションステージな感じするよね。アクションステージな感じしない?僕得意なんですよね。僕得意なんですよね。
[00:46:12.200] こういうの
[00:46:15.800] なんと1
[00:46:16.640] ップも剥奪します。ゲームスゴッド
[00:46:21.079] 頭使わなくていいもんね。
[00:46:23.319] バカ使うだろ。おい、バカ。わかってねえな。これでも使うんだよ。
[00:46:31.520] ちょ待って待って待って待って。簡単すぎんか?ちょっと待ってか。
[00:46:39.440] えー、何これ?簡単すぎない?
[00:46:44.040] 笑笑。うお、
[00:46:45.720] ここ本当にむず。おい、みんなか?お疲れ。今日はお疲れたぜ。
[00:46:50.040] 今日はお疲れ。
[00:46:52.319] 1
[00:46:52.480] 発クリアすごい。笑笑。
[00:46:54.280] 春はあけぼ。今日はお疲れ。やば、やば。気持ちいい。うわ。よ、ちょっと髪がかってなかった?今日髪がかってんじゃん。
[00:47:05.680] 1
[00:47:05.839] 時間以上使える。
[00:47:08.280] ここが激物かもしれないけどさ、行くぞ。運命の
[00:47:10.920] 40
[00:47:11.200] ステージ目。さあ、どんなステージなんだい?あ、キンシーね。ぴょンシーも出ます。
[00:47:21.720] 何画面あるか。
[00:47:23.000] そうだね。ま、これ下あるね。はいはいはいはい。
[00:47:30.280] 4画面かな?多分4捨てかな?4、4
[00:47:32.640] 画面。あ、てちゃまさんとは神ですよ。
[00:47:36.119] もなんだそれ。プラさん、こんばんは。はい。はい。
[00:47:39.240] 4捨て目ね。4捨て目やってるぜ、今日も
[00:47:42.760] 4捨て。4捨てね。なんかここもさ、
[00:47:47.440] 面くらいってくれ。
[00:47:48.920] なんかここもそんな難しくなさそうじゃね。そんな難しくないんじゃね。
[00:47:56.680] 割と簡単じゃん
[00:47:57.960] ね。割と簡単だよね。
[00:48:14.960] あれ、あれ、あれ、あれ、あれ、あれ、
[00:48:19.000] あれれれ。
[00:48:23.079] 何これ?何これ?
[00:48:26.680] 何これ?
[00:48:32.800] とりあえずじゃあ
[00:48:35.359] ドリ1個持ってくか。ドリドリ1個持っ
[00:48:37.960] てって。
[00:48:52.880] ただドレル持ってるってことはジャンプ
[00:48:54.400] できねえってことだからもうここ入るしか
[00:48:56.880] ねえよな。
[00:49:13.200] 俺だってんのか?
[00:49:27.440] え、でもドリル少ないな。これしか使わ
[00:49:29.640] ないんだ。
[00:49:32.839] ジャンプできないからな。これ持ってると
[00:49:34.520] 。だたらだからもうこっち行くしかねえん
[00:49:35.599] だよ。
[00:49:54.359] 十分だろう。
[00:49:59.720] お、なんか行けぞ。なんか行けぞ。おい、これ行けちゃうぞ、多分。え、待っても、え、待って。行けんじゃね。
[00:50:12.319] え、なんかもうけいけんじゃね、これ。え、もうこれで終わりじゃん。同じことやればいいんでしょ、これ。
[00:50:16.520] なんか1余るくらい
[00:50:17.880] なんか1
[00:50:18.480] これで終わりだよな。え、ちゃまだりえん。ちゃまだりえん。震えてそう。
[00:50:25.799] みんなが震えてそう。あれ
[00:50:29.839] 寝るわ。
[00:50:32.520] え、なんでここに来てこんなに簡単なの?
[00:50:45.920] 逆かみすぎる。
[00:50:50.280] あれ
[00:50:50.520] えぐいて
[00:50:54.119] ん。なんだこれ?
[00:50:58.000] あ。
[00:51:02.880] ま、ドリル1
[00:51:03.799] 個持ってくりゃいいよね。ドリル
[00:51:06.000] 1
[00:51:06.119] 個も。あ、いやいやいやいやい、いいんだけど。
[00:51:12.520] 38からの3940の。
[00:51:15.359] え、なんで俺なんか今日すげえ
[00:51:16.880] IQ2000
[00:51:18.040] ぐらいあるんか?ここで使うんか?余るわけじゃないんだ。
[00:51:21.280] そういうの
[00:51:22.920] あ、余るわけじゃないんだ。
[00:51:28.920] ああ、待ち。
[00:51:31.680] ちょっとドキドキさせていじめないで。
[00:51:33.960] 間違えてごめん。間違えたけど。まあまあまあまま間違えたけど別にまあまあまあまあまあ生殺しやん。
[00:51:48.000] ごめんごめんごめん。間違っちゃった。なんか間違っちゃった。
[00:51:59.599] 殺すならはよ殺せと。ごめん、ごめん、ごめん。
[00:52:06.400] 1
[00:52:06.640] 時間ぐらい間違えようぜ。
[00:52:10.440] あれとかつって。
[00:52:11.559] で、ギリギリまで雑談します。
[00:52:15.240] あれれれとかつって。
[00:52:23.640] いや、なんでな、これはでもなんか
[00:52:26.240] ちょっとさすがにみんながかわいそう。
[00:52:29.160] なんでこんなに3940簡単なん?38
[00:52:34.079] えぐかったよな。
[00:52:45.359] がかわいそうなんだけど、こんなに難しく
[00:52:48.359] なると思わんやん。
[00:53:04.559] エルギーザ一生忘れません。元気そうだね。ちゃゲームあれ時刻久しぶりこんばんは。お疲れちゃん。
[00:53:12.599] 4
[00:53:14.400] 18つくのがむずいんかな?
[00:53:17.520] ああ、そうなんかな。
[00:53:19.040] 8
[00:53:19.319] 捨て目がやっぱ難しいって相場が決まってんのかね。
[00:53:21.760] 38
[00:53:22.240] までが順番順に難しくなってるの。これまでの最れ。あ、そうなんだ。やっぱだから
[00:53:28.520] 8で90
[00:53:31.200] はなんかちょっと跳ね休めというか橋休めみたいな感じなのか。相変わらず俺レトロゲームやってるぜ。
[00:53:39.599] 41
[00:53:40.319] 面もこのままクリアしてどっち道ち行けたことを証明しますか。
[00:53:45.839] どっち道ち行けたこと
[00:53:47.160] 約束された負けマジか。
[00:53:50.400] そういうことなんかね。
[00:54:12.040] ここだよな。オー。はい、トば確定しますかわいそう。
[00:54:24.839] みんながかわいそう。パ、
[00:54:26.920] みんながかわいそう。え、読み上げます。
[00:54:30.280] え、0時までにステージ40クリア。え、
[00:54:33.599] できるにかけてくれた皆さんありがとう
[00:54:35.240] ございます。え、トップペッタ、ええ、
[00:54:37.040] 声優さんの77万77ポイント。こちらが
[00:54:40.480] 勝ちましたのでなんと2.4倍でバックで
[00:54:42.960] ございます。これ大体1万6000ぐらい
[00:54:44.559] でバックですかね。え、対するにかけて
[00:54:47.000] くるぞ。4名の方。トップベッターはなん
[00:54:49.400] と24万7000ポイント。み選手がえ、
[00:54:53.720] 1問なしになりました。
[00:54:57.079] 0時までにクリアところかまだ11
[00:54:59.040] 時にもなってないんだけど。
[00:55:02.720] 11時にもなってない。まだ
[00:55:05.119] 1
[00:55:05.319] 時間余ったんだけど。ああ、かわいそう。
[00:55:12.400] みんながかわいそうにな。できました。すいませんでした。
[00:55:16.240] 90ポイントあるからもんな。い
[00:55:19.079] や、忍みがあれだ。ちょ、陸のポイントさ、返しとくから。陸のポイント返しとくからさ。
[00:55:26.839] まあまあ落ち込むな。ま、落ち込むな。よし。どうする?まだ飛ばやる。
[00:55:32.880] おお。
[00:55:34.359] どうする?まだ飛ばやる。
[00:55:36.920] 中身VIップです。ちょい増えた。
[00:55:40.760] いや、VIップじゃないんだ。
[00:55:44.000] VIップのポイントじゃなくてVI
[00:55:45.440] ップのポイントじゃなくて、あのゲーム超弱リクやってねえから変そうかなと思って。わさん、こんばんは。わこわさん、こんばんは。
[00:55:55.720] ここの曲好きなんだけど。ここの曲好き。リクポイント待ってるわ。毎回忘れちゃうんだよね。配信外でさ、このパソコン触んねえからさ、間違えちゃう忘れちゃうんだよね。つも配信やる時しか触んないから。
[00:56:13.599] 43面か44
[00:56:15.280] 面かな。ダークルギアまだエナジーリストしちゃおう。
[00:56:19.799] モ刀と銃のボコスカで稼いだポイント。
[00:56:22.440] モ刀と天のボコスカ。ああ、銃のボコスカね。じちゃんお疲れ。え、どうする?トばやる?まだ
[00:56:28.559] まばまだとここすごいな。飛ばやりますか?まだ飛ばやるかい?
[00:56:33.839] 43ぐらいまで行っちゃう。
[00:56:35.520] 41面も1画面なら44面クリアできる。
[00:56:39.200] いや、44は無理やろ。
[00:56:43.799] 43にしとこうぜ。43
[00:56:46.559] にしとこう。俺自信ないわ。
[00:56:48.359] ポイント行くぞ。え、
[00:56:53.280] いもこさんが5
[00:56:54.160] ドルでサブスクを送りました。
[00:56:55.920] お、サブ。
[00:56:58.599] 情けサブスクじゃん。お酒情けサブスクじゃねえ。神
[00:57:03.960] お情な。あ、間違えた。
[00:57:05.240] ダブル。
[00:57:06.280] あ、間違えした。ごめん。間違えた。天気つ間違えた。お酒。
[00:57:12.599] かわいそうすぎて毎月もらえてる人。
[00:57:15.640] 視聴少し増えてよかったですね。笑笑
[00:57:19.240] じゃ430時までに43
[00:57:21.720] 捨てまで行けるかちょっと飛ばしようぜ。
[00:57:24.839] 0時までになんかも前髪切りてえ邪魔。
[00:57:29.119] いもこさん命の御人感謝永遠に
[00:57:32.880] セムスゴッド
[00:57:35.920] 飛ば飛ば飛ば
[00:57:37.480] 飛ば飛ば
[00:57:39.000] じゃあ行きますよ。適当にかけといて。さてここはなんか美味しそうなステージだね。美味しそうなステージ。
[00:57:53.559] さてさて、どうだいこ。ちん。笑。
[00:58:06.119] 笑笑。にしかいません。美味しい方にかけよ。
[00:58:20.760] 所々左右対象ではないんですね。ペ
[00:58:24.480] ルまるでペルシャータのごと。まるでペルシャータのごと。あ、ごめん。
[00:58:42.240] いいよ。知識ひけらかし。
[00:58:43.880] ごめん、ごめん。ごめん、ごめん、ごめん。知識ひけらかし許可出た。
[00:58:49.280] ペルシャタっていうのはあんな綺麗に正しくあれやってもね、どこか必ず左右非対象になってるんですよ。なぜかと言うと左右対象は神に近づく行為だからです。
[00:59:03.000] アメンパだ。
[00:59:05.880] タイム。
[00:59:06.400] ここだよ。
[00:59:08.160] 垂れ流しタイム。あ、リルさんこんばんは。て言ったっけ俺。ま、ここも
[00:59:16.520] 5分ぐらいでクリアできんだろ。
[00:59:30.200] はえ、いつもちゃまゲームは勉強になるな。
[00:59:34.200] なんかプランさんのたまに出るそのなんかお立てコメがなんかちょっとなんかたまにちょっとなんかバカにされてんかなっていう心から思ってないよなってのは分かるわ。
[00:59:49.200] 聞いてる。聞いてる。
[00:59:50.400] ええ。お
[00:59:53.720] ダ
[01:00:22.200] あ。
[01:00:24.960] ああ。ああ。よくできてんな、ここ。あ、そう。おめらにはわかんねえだろ。どうせお前らには。
[01:00:38.799] ああ。
[01:00:41.599] 足りない。
[01:00:42.319] よく来たろ。
[01:00:51.880] いや、よくできてますわ、ここ。
[01:00:56.160] いや、ダメなんよ、これ。じゃあ。はあ。
[01:00:59.400] よくできてるわ。だめだ。
[01:01:03.119] よくできてはる。よきできてはるわ、この
[01:01:06.200] ゲーム。
[01:01:10.280] なるほど。だってここにこうやって階段が
[01:01:12.039] あるってことはここだけはアイテムを持っ
[01:01:13.839] て登れるということなんですよ。
[01:01:23.839] え、待って。むずない。
[01:01:26.880] かけ締め切りまもなくです。
[01:01:29.039] さっきもこんくらい作り込
[01:01:30.839] あ。さっきなんかめっちゃか、めちゃくちゃ簡単だったもんな。なんかめっちゃ簡単だったもんな。さっきな。
[01:01:48.640] ドリルかツ橋を取らないといけないよ。
[01:01:51.119] そうなんよ。それどっちかで行くかなんだよ。
[01:01:54.839] 村か八ボ。村か八ボ村か八。ああ、だからいや、だめだ。だってここ。お、むずいな。おむずやね、これ。
[01:02:20.160] もうこうやった時点でこうやった時点でここからは取れないんだよ。あみーちゃんお疲れちゃん。みーちゃんお疲れ。今日もやっているステージ
[01:02:31.160] 40まで来たぜ。
[01:02:32.200] した。
[01:02:34.200] かけ逃した。
[01:02:41.000] ほんまちゃまゲームかんやわ。
[01:02:44.760] なん?
[01:03:13.799] ルナリー30サベアにルナリー30
[01:03:16.520] サベアにルナリー30サ部アに
[01:03:29.640] 服可愛いだ
[01:03:35.000] LGBTTシャツね。袖だけLGBT
[01:03:38.079] シャツ。
[01:03:38.839] 新しい掛けやってる。
[01:03:40.440] 影終わりました。もう
[01:03:43.559] よくわかった。俺もちょっとそれ意識したのに。俺もそれちょっと意識したんだよ。よくわかったな。裕介のあのあの津田の後ろで裕介がやってるポーズね。こういうよくわかったな。ダイアンのアーシね。
[01:03:58.960] 笑笑。ダイアンの潜在写真の裕介の
[01:04:03.799] よく分かったな、今ので。
[01:04:11.400] ああ、普通にボタンまいける
[01:04:16.200] わ。ごめん。これでもいけるわ。
[01:04:19.440] 両手広げるんやで。あ、両手広げんの?
[01:04:22.039] あれ
[01:04:25.520] 落ち着くな。いや、行けるわ、別に。別に
[01:04:29.400] 行けました。これでも別に行けます。
[01:04:36.319] あ、行けねえや。ほら、間違ったよ。
[01:04:39.359] 間違って。このドリルでここなああ
[01:04:41.799] かんかってやん。ここな行けました。
[01:04:47.400] 行けるからよろしく
[01:04:50.319] 。あ、とば読も
[01:04:51.520] 行けた。
[01:04:52.279] とば読もとばよもとば読も。
[01:04:54.400] 笑笑ずる
[01:04:55.680] ずるじゃねえ。
[01:04:57.400] ダブル
[01:04:58.039] え
[01:04:59.559] 0時までに0時までにステージ43
[01:05:02.559] までクリアできるかという場に対しましてできるにかけた
[01:05:06.079] 10
[01:05:06.240] 名の方ありがとうございます。トップブッターリウレさんの
[01:05:08.720] 5万90
[01:05:09.359] ポイント。え、こちらの方がなんと
[01:05:11.559] 2.4倍でバックなので大体、えー、
[01:05:14.359] 10万8000
[01:05:14.960] ポイントぐらいで、え、ですかね。
[01:05:17.160] 10万8000ポイントぐらいで分かん
[01:05:18.760] ないけど、多分そんぐらいでバックになり
[01:05:20.400] ます。はい、次。え、ま、え、なんだ、え
[01:05:23.160] 、できないにかけた5名の方トップ
[01:05:24.760] ベッター7万ポイントの準じ13うざ。
[01:05:28.160] えー、こっち側かつ1.7倍なんでどん
[01:05:30.760] くらいだ?12万ぐらい11万ぐらいで
[01:05:34.160] バックですかね。はい。ま、多分もう俺も
[01:05:36.319] できると思うわ。なんかすっごい今日いい
[01:05:38.839] 。今日すっごいいいよ。今日すっごい良く
[01:05:42.240] ない?今日ものすごくいい。
[01:05:45.240] の逆入れときゃいい。さらっとうざって言うな。や、
[01:05:48.440] 今日いいよ。すごくいい。
[01:05:52.119] グーグーです。さあ、ステージ
[01:05:56.039] 42。どんなとこなんだい?
[01:06:01.559] ぐ。
[01:06:07.440] こいつは使うやろね。こいつはまたむそう。でもここ待って。むずそうやね。ここむそう。
[01:06:28.160] ま、とりあえずやれるとこはやっちゃおう。はいはいはいはいはいはい。え、あ
[01:06:41.319] 本こんばんは。
[01:06:45.799] 美オ、こんばんは。美、お疲れ。わからんぞ、これ。
[01:06:53.720] ダイア欲張りセット。
[01:06:55.760] 今日はわかんないよ、これ。
[01:06:58.160] 転換出たのかと思った。
[01:07:02.160] え、ダイアンのダイアンのお笑いコンビダイアンのあの潜在写真の時の裕介の後ろでこうやってこうやってどんなだっけ?
[01:07:22.559] え?田はもうゴイゴイ数だよ。田はゴイゴイ数やってる。
[01:07:26.640] 552やってる後ろでゆ介は
[01:07:29.480] URL省略
[01:07:30.960] 何?何?何?何?わざわざわざわざ出してきやがった。わざわざ出してきたの。
[01:07:43.799] 持ってくんの早。
[01:07:47.240] わざわざ
[01:07:49.480] ダブル。
[01:07:51.760] 笑笑のな
[01:07:53.400] 何なのこのなんなこのなんなんだなんだこの
[01:08:02.839] 笑笑おつちゃま
[01:08:04.640] な
[01:08:04.760] んなんだこれあお猫お疲れお猫お疲れな何なんだこの何なんだこれいいよ
[01:08:20.560] な、この言うすけどのポーズ。これを俺は押していこうと思う。俺はこれを押していきたい。顔もい、顔もいいのよ。なんか顔もいいな。
[01:08:35.319] あるよね。
[01:08:36.520] うん。顔もいいよな。
[01:08:40.080] 特別な支援が必要な顔してる。
[01:08:47.040] 良くないよ、おちゃん。
[01:08:49.480] そんなこと言っちゃよくない。何を言ってるの?俺もわかんなくなったらこんな顔しよう。このゲームやってわかんなくなったらわかんなくなったらこんな顔しよう。
[01:09:00.960] 今度の時それやりたい。教室に卓球台ありそう。
[01:09:07.319] 確かにあったけど。
[01:09:09.120] 個室ルームツアーしてそう。
[01:09:12.239] 確かにポーズ一緒だけど。
[01:09:14.440] えっと、あとは
[01:09:21.120] ここ行かれへんねんな。
[01:09:28.080] なんだ、これも積んでるね。
[01:09:30.520] だ、積んでます。今日ね、あの、もう飛ば
[01:09:33.679] 終わっちゃったんだけど、0時までに
[01:09:35.640] ステージ43までクリアできるかというを
[01:09:37.759] やっています。
[01:09:40.239] ただものすごい快墟です。
[01:09:43.520] めちゃコブ調子がいい。めちゃコブ調子がいいのね。
[01:09:50.440] ふん。
[01:09:51.960] めっちゃ調子いいんだ。今日
[01:09:57.320] ステージがカスすぎただけやで。
[01:10:00.440] ま、確かちょっとステージはカスだった。本当にかわいそすぎた。がさ、どうせ行けないっつってさ。
[01:10:06.640] さっき38から始まったんだけど、0時
[01:10:10.239] までに40行け。ちょっとちょっと
[01:10:12.360] ちょっとちょっとちょっとちょっと
[01:10:13.400] ちょっと0時までに40行けるかっていう
[01:10:15.760] 。おいおい
[01:10:17.679] ガムガラム。
[01:10:20.800] あ、絶対違うよ。ここじゃない。
[01:10:22.719] 掘るべき場所は
[01:10:24.360] 絶対こない。
[01:10:27.719] うますぎ。絶対こじゃなかった。
[01:10:33.040] 普通に埋めかった。
[01:10:36.360] 絶対そこじゃないよ。掘るの
[01:10:38.080] アクションの紙。
[01:10:39.320] アクションはな、アクションやらせたら右に出るもないね。右に出るもいねえ。どこまで話したっけ?
[01:10:52.320] 2
[01:10:52.960] だからドリルを持って穴に落ちちゃダめだ。
[01:10:58.679] モナーモナーじゃん。なイエのインターネットすぎるだろ。モナー
[01:11:07.480] 好きねえ。
[01:11:08.400] その顔文字を見てモナーだって分かるやついねえだろ。イニシエのインターネットだろ。
[01:11:23.679] まるまる。
[01:11:26.520] あのた、あのお茶、お茶出してるやつちょ
[01:11:29.600] 。あのたンっていう字でタンっていう字で
[01:11:32.280] お茶出してるやつ。
[01:11:35.840] このドリルをどこで使うの?ここだから。これ
[01:11:48.679] 普段のこれ
[01:11:51.159] アイス。
[01:11:56.880] あら。
[01:12:02.639] インターネット老人会すぎるな。
[01:12:05.880] 香ばしい。なんか香ばしくなってきた。あいつ邪魔す。お前さ、こ、
[01:12:17.239] またあり
[01:12:19.080] だ。ごめ、こっち来ん。こっち。お前、それこっち来。ああ、来る来る来る。来たな。よし。
[01:12:28.440] 面白ムービーズってまだ。
[01:12:30.159] 面白ムービーズ。
[01:12:35.000] 名探偵スおなんだっけ?なんかあったよな。なんか名探偵スオみたいなやつ。あのなんかクソもんねえやつ。あ、ちげ
[01:12:50.440] フラッシュ行くわ。アクションパズルのロードランナーをブラウザで遊べるロードモナー。
[01:12:56.480] へえ。
[01:12:58.280] ロードモナークっていうゲームあるよね。あるよね。あるよね。あるよね。あるよね。
[01:13:02.600] え、え、あ、もう邪魔だよ。ていうか今日すげえ調子いい。なんか頭の回転めっちゃ早くない?俺
[01:13:12.520] こういうのなら見れた。
[01:13:14.120] URL省略すごい。
[01:13:18.520] ちょっと待って。
[01:13:21.120] ぬまれ。
[01:13:22.280] 沼りません。
[01:13:23.320] パチパチ。
[01:13:25.360] あ、今もこ今回は2
[01:13:26.280] にかけてるんだ。沼まらん。
[01:13:29.960] 結構複雑な感じだったのに。
[01:13:33.040] のすぎるんだけどだってなんだっけ?
[01:13:35.360] 43って言ったんだよね。次43
[01:13:38.239] でまたでしょ。あと45分もあるぜ。あと
[01:13:41.360] 45
[01:13:41.760] 分もあるぜ。いや、もっこら何の言われるだ。ちょっと待って。ちょっと待って。何の言われる?これにこれやば。ピングだりなんよ。
[01:13:57.040] あ、違う。間違えた。
[01:14:00.719] これはやばいな。ちょっとちょっと待って。これを見る。これを見る配信したいな。
[01:14:07.679] うお。
[01:14:09.400] これを見る配信したいんですけど
[01:14:12.040] ね。
[01:14:13.560] みんなでた。これを見る配信しない?今日。
[01:14:15.880] うお。
[01:14:17.840] これやば。
[01:14:20.120] フラッシュと放つ。笑。千ば傘が
[01:14:24.000] ちょっと俺の知ってるやつねえかな。
[01:14:25.840] ええ、
[01:14:29.840] 日本の素敵ティ道が熱い。ラクランセリア
[01:14:37.520] なっちゃ。
[01:14:38.280] うわあ。イバルあ。
[01:14:41.000] 東京、東京、
[01:14:44.080] 東京ぐ
[01:14:47.960] 大阪、
[01:14:49.800] 大阪
[01:14:52.320] イバーラキ
[01:14:56.400] いや、夏
[01:14:58.280] 福止めらんないんかい?これ、これ、この
[01:15:02.120] うるせえ。ちょっと待って。この、これなんかその動画じゃない媒体のなんか止め方がわからない。
[01:15:08.639] これフラッシュのフラッシュって途中で止められないんだ。
[01:15:12.239] なんか今呼ばれた気がした。
[01:15:14.120] いラキーだよ。知ってる?やっべ。やばい。
[01:15:20.960] モスカウじゃねえかけよ。モスカウモスカ
[01:15:25.880] しが。
[01:15:26.800] モスカウなやっぱ夏金タマリオとか
[01:15:33.239] ドイツ語なんですよね。モスカ。
[01:15:35.400] あ、そうなんだ。
[01:15:36.239] 解告してくださいよ。
[01:15:38.880] あったな。あったな。それ見るランディさん
[01:15:43.560] やべえ。夏つる犯人さんだ。
[01:15:47.560] 夏何これ残ってんの?うわ、これ見る配信して。これ後でこれ見る配信しよう。これ見る配信しようぜ。ダイアン出てきた。
[01:16:07.840] 笑笑
[01:16:09.800] 先見ちゃえ。あ、見えてね。
[01:16:12.600] 笑笑。ダブル
[01:16:14.360] Aカップ。Bカップ。サクっとクリアし。
[01:16:17.080] AカプBカプなんちゃらかんちゃら。
[01:16:19.440] やめて。
[01:16:22.320] ダイアンのゆ介の方ね。ゆ介の方のほんで
[01:16:32.120] ご褒美フラッシュ行くぞ。
[01:16:33.600] ご褒美フラッシュ。
[01:16:37.360] ご
[01:16:37.480] 褒美フラご褒美フラってなんかちょっとなんかちょっともうなんかちょっとエロいな。なんかちょっとエロいですけども。なんかちょっとエロいですけども。うん。なんなんかワンナップしてるこれ。
[01:16:49.600] て書いてあったからかと思ったらセンセーションだった。
[01:16:56.120] センん。
[01:17:04.480] ここもちょっと頭使いそうな予感。
[01:17:32.719] え、ここ、ここクリアしたら今日ノルマ
[01:17:34.520] クリアやもんな。
[01:17:39.239] うーん。むずいな。どこをどう掘るかだよ
[01:17:42.880] ね、これ。
[01:17:48.760] これなんかドリル持ってこなきゃよかった
[01:17:50.600] な、
[01:17:53.960] これ。もうここしかねえよな。
[01:17:57.760] いや、これ取られへんねん、これ。あ、石
[01:18:00.440] を、石を誘導すればいいんか、ここに。
