[00:00:22.800] ぐーぐい。お疲れ。
[00:40:37.480] ありがとう
[00:40:39.400] はいはいありがとうござまし
[00:40:48.800] どんくらいあるんだろうな。1周な。
[00:40:50.599] 乾きしてる場合じゃねえ。
[00:40:52.000] うん。でも休みなんだもん。だって休みなんだもん。だって好きよ。ふふふ。風呂で寝落ち。なんであんなに気風呂で寝落ちはやばいぞ。
[00:41:09.440] 風呂で寝落ちは気絶と一緒だからな。マジで危ないからやめた方がいいよ。じゃあ行きますか。本命に。会いに行きますか。本命に。
[00:41:23.960] いらっしゃいませ。
[00:41:25.920] おお。何これ?今日何?今日今日何?
[00:41:26.408] [叫び声]
[00:41:30.480] え?今日何?
[00:41:31.640] 信じるかしら?
[00:41:32.839] あ、お月みイベント。ず
[00:41:37.000] おみイベントなんや、今日。
[00:41:39.359] あなたのプレゼント
[00:41:41.599] 嬉しかったわ。
[00:41:45.520] がいっぱいある。
[00:41:47.368] [笑い]
[00:41:49.160] 満月がいっぱってどれがどれがおいどれが本当おいおいおい
[00:41:54.240] 今誰に
[00:41:55.920] 1ます
[00:41:57.680] ありがあのもう
[00:42:00.400] 直接的なのやめてね
[00:42:02.433] [笑い]
[00:42:02.800] 胸隠してないじゃそに見せてくださ
[00:42:05.240] い
[00:42:05.400] なちょうど重なってあれになっちゃうよ気に食
[00:42:11.200] 怪気にしと色つって怪気に食だつってあの重なりたいです
[00:42:17.040] 重なりたいですね。怪日に食だって言って。怪日に食だっつって。
[00:42:21.559] あら、ありがとう。今取ってくるわね。
[00:42:25.559] ああ、来るよ。あれ?ああ、なんか、なんかここ毎回なんかちょっと黒くなってなん、なんか、
[00:42:29.289] [うめき声][叫び声]
[00:42:34.480] なんか挟まってね。
[00:42:37.280] 今日のイベントはおつきみイベントよ。
[00:42:40.400] だ、
[00:42:40.720] いつもレドありがとう。
[00:42:44.280] 配ちゃ、お疲れちゃんレド。お疲れちゃんレドじゃねえ。配信お疲れちゃん。配信お疲れちゃん。やってますよ、今日も京都で。え、ドラクエのあれ見たか?おい、ドラクエのあれ見た?ドラクエのやつ見た?ドラクエの配信見た?
[00:42:57.119] 色ハグラー。色ハグラッド。ハグラ。
[00:43:00.074] [笑い]
[00:43:00.839] ペテルお疲れ。ペテルもお疲れ。がっかりした。
[00:43:05.200] 何にも新し何にも確定要素なかったね。
[00:43:10.760] あー、確かにがっかりっちゃ。がっかり。
[00:43:13.680] 40
[00:43:14.440] 周年なんだよ。まあでも、まあでもまあでもまあでもまあまあでもね。うん。続いてくれるだけこ嬉しい。待ちますよ、私は。何年でも待ちますよ。ドラクエが好きだから。
[00:43:24.040] がっかりして30分で配信切った。笑。
[00:43:26.275] [笑い]
[00:43:27.760] めちゃくちゃがっかりしてるやん。え、めっちゃがっかりしてるやん。
[00:43:32.680] ありがとう。気に入ってもらえたようで嬉しいわ。
[00:43:32.825] [音楽]
[00:43:36.040] まあ、あと2年は出ねえだろうな。
[00:43:37.319] 本当はまだおつきみの時期ではないのだけれど。うちはバニーガーデンでしょ。
[00:43:42.800] うん。
[00:43:43.200] だからうさギに関することならいつやってもいいんじゃないかって力技だから見て元気出すしかないからここ来た。
[00:43:51.165] [笑い]
[00:43:52.520] 今日はやってきますよ。でもうー確かにドラクエね。でもモンスターズ
[00:43:56.319] 4
[00:43:56.559] 楽しみだな。ちょっと怖いのがドラクモンスターズ
[00:43:59.480] 3みたいにドラ5
[00:44:01.119] 本編の開がなきゃいいなって本当に説に切に願う説に願います。ドラク
[00:44:06.880] 5の本編だけはいじんないでください。
[00:44:09.280] ドラクエあの
[00:44:10.400] 本当に切に思う
[00:44:11.960] ピサロのあれみたいな変な風に変な風にしないてほしい。
[00:44:14.760] 今日はたくさん楽しんでいってぴ
[00:44:17.119] まってぴょん
[00:44:19.640] ゴリメへの布やめてね。
[00:44:21.480] 楽しむぴょん。ゴリメのああだからでも天空リメイクあと
[00:44:26.880] 10年は出ね
[00:44:29.359] 可愛いうさぎさんがもう
[00:44:31.000] 1匹増えた。
[00:44:32.359] そうそうそうだからあの前日ま子供みたいな感じだから多分ね大丈夫だと思うんだけどね。
[00:44:39.079] 正直うさギさんって言ってもバニーとそこまで違いはないと思ってたけどデボラはドルクかな残った
[00:44:44.220] [笑い]
[00:44:45.400] マスターズ版じゃない?マスターズ版お得意の
[00:44:48.040] 意味で期待を裏切れしてきたぴょんぴょン。心がぴょんぴょンしてきた。
[00:44:53.119] お酒用意しましょうか?もしま過ごせるなら私は嬉しいわ。
[00:45:00.599] これは用意します。
[00:45:01.640] ありがとう。
[00:45:02.720] デボラ様の小魚ですがなかったらいなかったで。
[00:45:06.119] そんな扱いだよなって感じです。
[00:45:08.119] ああ、ま、デボラの子供自体はいて欲しいけどね。俺デボラも好きだから。ちょっとさ、ちょっともうボトル入れまくる。
[00:45:18.160] あら、ありがとう。
[00:45:19.480] 酔っ払いモード行かなきゃいけないから。なんか酔っ払いモード行かなきゃ進まねえんじゃないかっていう。俺さ、これね、開発人分かってないわ。このさ、お、このこのこの時におっぱいしか見れないっていうのは良くない。俺この見上げたいねん。このここをここがここが見たいねん俺。
[00:45:39.200] お酒美いしいぴょん。うん。
[00:45:42.400] うちのキャストのカナ監うさんの解釈。
[00:45:46.440] おつみイベント限定のレアゴね。
[00:45:49.119] 最初は俺デボラ選んでるやつ頭おかしいと思ったけどね。
[00:45:51.599] あなたはこういうの好きぴょん。
[00:45:53.119] ええ、結構好きです。デボラ可愛い。あのね、時に見える、時より見える優しさ。好き好き。大好きぴょん。
[00:46:03.880] さすがかなね。
[00:46:05.240] デボラはマジで私は世界を平和にするって言ってたけど
[00:46:09.559] 子供に対する優しさとかが出るとめっちゃいいよね。
[00:46:12.520] でもうさギの使いすぎもダめよね。擦すりすぎたら可愛さも半減しちゃいそうだわ。
[00:46:19.760] おイらも擦すられてえな。
[00:46:21.240] たまに言うくらいがちょうどいいのかもしれないわね。
[00:46:23.920] こすられてえ
[00:46:25.800] なあ。
[00:46:26.599] お酒用意しましょうか。嬉しい。何を飲む?
[00:46:31.200] 酔っ払いモード。
[00:46:33.607] [笑い]
[00:46:34.480] 誰が巫こ釣りはんだ。お、
[00:46:35.839] 私の分も。
[00:46:40.559] あ、俺、俺たけ石た。間違えた。
[00:46:42.440] 悪くない選択よ。
[00:46:48.680] ちゃまさんこんばんは。
[00:46:50.200] 若さんこんばんは。あ、ごめん。見すぎって言われちゃった。
[00:46:53.240] いただきます。
[00:46:55.000] こんばんは。見た?ドラクエの配信
[00:46:57.280] はあ。気持ちよくなってきちゃったわ。
[00:47:01.040] 美が怒ってる。
[00:47:03.200] ありがとう。あなたと一緒だとどうにも飲みすぎちゃうみたい。
[00:47:09.200] この子はさ、でももう2
[00:47:10.520] 回さ、あの旅行行ったしさ。
[00:47:14.559] 良いに
[00:47:15.480] そろそろそろそろ落ちるんちゃうんかわしにちゃう。
[00:47:20.160] 満ちてはかける月のように人の心も
[00:47:25.599] 1
[00:47:25.720] つの形のままではいられないのかもしれない。
[00:47:29.000] 日々変わりく世界に温弄され、どれが正解かも分からぬままに。
[00:47:36.359] うん。
[00:47:37.040] 見てる月がいっぱいあるのに
[00:47:39.108] [笑い]
[00:47:40.480] ねえ。
[00:47:41.200] そうか。
[00:47:41.720] まる満月がもういっぱいあるんだ。今日はてよね。私のおぴょんぴょんもしまっ
[00:47:48.880] おぴょんぴょん
[00:47:50.640] 何ですか?おぴょんぴょんって。そうだね。ぴょんぴょんしちゃうね。
[00:47:55.440] あなたも一緒にぴょんぴょんして欲しいわ。
[00:47:57.880] あら。
[00:47:59.079] そうじゃなきゃ。[音楽]
[00:48:00.400] あら、
[00:48:01.119] すぎる。
[00:48:01.720] いいんですか?
[00:48:02.800] でもおぴょんぴょんて
[00:48:05.520] おぴょんぴょんしたいっすな。おぴょんぴょんしたいっすな。今日は
[00:48:09.119] 珍しく酔いすぎてる。
[00:48:13.168] [笑い]
[00:48:14.440] おぴょんぴょん。
[00:48:15.640] 満月の夜は理性を静かに狂るわせる。そう言われる理由が少しだけ分かった気がするわ。ゲームをします。
[00:48:27.000] 出た。
[00:48:27.440] もうなんで毎回ゲーム誘ってくんの?
[00:48:30.559] こう見えても強いの?
[00:48:34.680] チャキ取るか。久々に本当はこれやりてえんだけどな。配信中じゃなかったやつは
[00:48:41.988] [笑い]
[00:48:43.280] もう1人呼んでみるの?
[00:48:45.040] うえ、2
[00:48:46.720] 人分の体。
[00:48:48.160] あららら。
[00:48:48.760] 反応したいと思わない。サピじゃないですか。
[00:48:53.280] いいんですか?おい、誰が見たい?誰見たい?りあ、でもりんちゃんも見たしな。エリサも見たしな。
[00:49:00.040] あの呼べ。
[00:49:01.280] あのガ呼ぶかな?かあんまりか興味ねえんだよね。ガキ呼ぶか?い
[00:49:08.559] じゃガキオブか。
[00:49:13.480] 確かに見たいちょっとあの頃。あらあらあらあらあらっ
[00:49:16.703] [叫び声]
[00:49:17.480] ちゃいました。よろしくです。
[00:49:21.240] エロやん。いいわよ。
[00:49:24.680] あらあら。
[00:49:27.440] あらあらあら。
[00:49:29.040] 極系何それ?何これ?あ、これあれか。これデスノートの死刑か。デスノートのあのデスノートのあのなんだっけ?あの金髪のみさみさの死刑ってやつか。
[00:49:30.459] [笑い]
[00:49:42.920] いやもは良くないんじゃないかな。これはこれは良すぎ。
[00:49:44.869] [叫び声]
[00:49:50.440] 笑笑。
[00:49:51.240] これはすごい。なんで上下運動もしていますと
[00:49:54.160] いいわよ。後ろの柱がチまさんかと思ってやばい構図かと思った。
[00:49:59.680] うん。後ろのチャマス。後ろの柱。後ろの柱どれ?後ろの柱がチまさ
[00:50:04.880] どう?あ、
[00:50:09.760] 結構増えてるよ。
[00:50:11.119] あ、
[00:50:11.839] これはフリーザね。
[00:50:14.079] どう?
[00:50:15.160] ペッパーミル。
[00:50:16.440] スクワット。スクワット。スクワット。スクワット。スクワット。スク。
[00:50:16.964] [音楽]
[00:50:19.839] うるせ。うるせえな。[笑い]
[00:50:21.119] スクワットスクワットスクワット
[00:50:24.520] うわ、これエロはエロいわ。え、もうだってこれもう、え、これもうだって風俗のパネルやんか。
[00:50:27.444] [笑い]
[00:50:33.160] これはもうだって風俗のパネルじゃないすか?これはこれはこれはエッチだね。
[00:50:43.119] いいわよ。写メ日記。
[00:50:45.559] しめき。メ日記やん。[笑い]
[00:50:51.200] 男性スタッフが書いてるでお馴染み。うわ、これたまんないな。
[00:51:04.125] [笑い]
[00:51:04.960] あれ名探偵コナンのパラパラのやつね。コナンがこうやって踊るやつね。こうやってエンディングあったよな。
[00:51:11.680] 草。
[00:51:12.200] スメタル。
[00:51:14.160] いいわ、いいわよ。
[00:51:15.680] いや、スクワット。スクワットもいいけど。
[00:51:20.079] スクワットもいいけどさ、ちなみに表情
[00:51:23.359] って変わるの?表情増えてたりする?
[00:51:32.880] 笑顔
[00:51:34.920] 普通の顔
[00:51:36.960] キリッとした顔
[00:51:39.920] だめだ。もっとなんかエッチな顔ね。
[00:51:42.559] どう
[00:51:47.280] これが1番が[笑い]
[00:51:49.359] 1
[00:51:49.599] 番これやばいな。これやばいよな。これは
[00:51:54.920] そうな顔くれ。
[00:51:56.200] これいや、これでしょ。やべ、
[00:51:59.359] 20
[00:51:59.640] 秒しかねえ、待って。カメラ操作どうやってやんの?これむずいんだけどこれ。あ、しかも上下しかできねえ。上下しかできない。ズームイン。ズームイン。
[00:52:08.920] いや、いや、違う、違う、違う、違う、
[00:52:11.040] 違う、違う。ズームアウトわ。これ全然
[00:52:13.760] 自由度がねえけど。自由度がねえけど。で
[00:52:15.680] も、でもでも、でもいいな。でももういい
[00:52:20.040] か。これでエロいし。
[00:52:23.000] なんかうまくね。ま、でもこれでいいや。
[00:52:25.440] これはエッチだね。
[00:52:33.240] 選ばなくていいよ。[笑い]
[00:52:35.559] 選ばなくていいってことは何選ばなくてどっちもどっちも行けるどっちも行けるって感じですか?
[00:52:40.240] 新作よなくしたらただじゃない?
[00:52:44.480] いや、最高ですな。最高ですな。
[00:52:49.880] 楽しかった。
[00:52:53.559] 男の夢だな。男の夢だよな、あんなの。
[00:52:57.520] 夜の運動楽しかったわ。また遊んでちょうだいね。
[00:53:06.520] ねえ。
[00:53:07.440] これが性的消費か。
[00:53:09.400] 行くねえ。え、何がしかったな。
[00:53:12.200] 性的消費。これ
[00:53:13.599] 次はいつ会えるのかしら。
[00:53:16.640] お金払ってんだから。お金払ってサービス受けてるんだから。
[00:53:19.280] 私のお願い。
[00:53:20.760] 何ですか?
[00:53:21.280] 聞いてくれ。人見知りじゃん。
[00:53:23.720] いやか。ま、それはもう関係ない。
[00:53:27.880] そうなった。
[00:53:28.799] にお店に来るのはどうかしら?
[00:53:31.640] 皇族のお手ぶりでつも萎えてまう。
[00:53:34.121] [笑い]
[00:53:40.480] 次同販か。次同販だ。よし、稼ぐぞ。あ、なんだ、なんですか?およ
[00:53:50.760] だ。
[00:53:54.079] 1度やってみたかったのよね。
[00:53:56.680] これ
[00:53:57.119] 誰だされた?
[00:53:58.000] 背後から近づいて誰だっていうやつ。
[00:54:01.440] もうそのおっぱいじゃダールダもきついで。多分めっちゃ腕伸ばさらできないやろ。それおっぱいが大きすぎて。大きすぎて。
[00:54:10.760] でもよく私って分かったわね。声だけですぐに分かるものなのかしら。
[00:54:12.767] [音楽]
[00:54:17.200] 押し付けてるに決まってるだろ。あ、
[00:54:19.972] [叫び声]
[00:54:20.200] にぽよん。
[00:54:21.079] じゃあそれでわかるじゃん。
[00:54:22.079] これはクロート。茶まげはどうなの?
[00:54:23.902] [笑い]
[00:54:24.480] 匂い匂いで
[00:54:25.640] 橋本がお手本見せてあげて。
[00:54:27.480] 茶げ茶まげも結構おっぱ当たっちゃうから。
[00:54:31.680] 私の香水の匂い覚えてるのね。くんくんくん。
[00:54:36.119] おくんくんくん。あ、くんくんくん。
[00:54:38.400] 私の匂いだけを覚えられているのは不公平でしょ。
[00:54:41.559] 大丈夫かな?これ臭くねえから。
[00:54:44.079] あなたの匂いも覚えさせて。
[00:54:48.640] くさ。
[00:54:49.079] 確かにそういね。
[00:54:50.757] [笑い]
[00:54:50.920] こんなところでくんくんしてたら変な人だと思われた。
[00:54:54.640] くンはまずいよ。
[00:54:56.040] それじゃあなたの部屋に移動します。
[00:54:58.760] 何?
[00:54:59.960] そこでなら思うぞ。
[00:55:02.119] 何?そんなのあるの?え、マジで?え、行くの?あ、え、来るの?あ、来ない。や、び。なんやねん。え、何?来ないのか?
[00:55:11.240] 見せて差し上げろ。
[00:55:12.440] ドラクエギ伝のな。びっくり。うわ、めっちゃ金ある部屋が。
[00:55:18.268] [笑い]
[00:55:20.760] 部屋がみんな部屋が何もなくなっちゃった。ミニマリストの部屋になっちゃった。
[00:55:23.508] [笑い]
[00:55:30.160] 笑笑。
[00:55:31.640] 限界限界。
[00:55:34.039] 究極の究極の部屋になった。
[00:55:37.960] タンポ入れてるみたいで草。ここに女の子呼べます。
[00:55:39.883] [笑い]
[00:55:41.720] ここに女の子呼べへんでなるから。よし。
[00:55:45.123] [笑い]
[00:55:46.799] なるほどな。あ、そういうね。
[00:55:50.839] 頭いいね。俺そうしとこうかな。自分ち。あ、ベッドしかないよ、うち。あ、ベッドしかないからベッドって。
[00:55:59.000] 横失礼します。笑。
[00:56:00.559] 横失礼します。つってりますか?
[00:56:02.153] [笑い]
[00:56:04.319] しね、こんばんは。あ、なるほどね。ベッドになるほど。よできてるね。よできてるね。よし。全部売るか。全部売るか。
[00:56:19.200] だ、PCセット5000円は安すぎない?
[00:56:22.319] PC売るんでしょ?もっとするだろ。
[00:56:24.960] いや、もうね、クオンちゃんエチさすがにカーテンは売れへんわ。
[00:56:32.760] PCZ
[00:56:33.200] 売っちゃな。いらねいらね。本当のほ、でもも部屋のど真ん中にベッド置こう。部屋のど真ん中に。来週くもんちゃん休みか。
[00:56:47.880] 槍り部屋そなったのミニマリストは石を持たない。
[00:56:49.314] [笑い]
[00:56:53.440] ここよ。
[00:56:54.640] 究極のミニマリスト石意石意すらも意思すらもないのね。
[00:56:56.519] [笑い]
[00:57:00.160] いいえないわ。私も少し前に来た。
[00:57:04.240] もうちょっと私服のバリエーション欲しいな。
[00:57:06.359] 今日は競馬場へ連れていくさんパカパて欲しかった。確かになんか
[00:57:12.920] MODでできるらしいじゃん。でも
[00:57:14.839] MODでできるらしいよ。
[00:57:16.280] 美しく動する大馬さんの姿を見れば
[00:57:19.000] このも行かなかったっけ?
[00:57:20.039] 誰だって興奮するでしょ?
[00:57:21.760] あら、
[00:57:22.720] あなたもたくさん大きな声を出してたくせに。もちろん勝敗も気にはなるけれど。
[00:57:23.374] [音楽]
[00:57:28.960] あ、これマジでギャンブルになるやつじゃない。以上にレースそのものを楽しみましょう。なら負けたらあなたをくすぐって笑顔にしてあげる。
[00:57:40.079] あらあら。
[00:57:41.280] 結構上手なのよ、私。
[00:57:45.680] じゃあ逆にくんちゃんが暗い顔ならくすぐっても
[00:57:47.799] 私が暗い顔になるわけないでしょ。あなたと一緒にいるのだから。
[00:57:53.520] あらま、好きって言えよ。思ったけど好きって言えよ。
[00:57:57.760] 競馬場はいいわね。
[00:57:59.359] おい、そろそろ好きって言えよ。て解放感があって応援する大馬さんはもう決めてるのかしら?
[00:58:06.839] 全然
[00:58:08.570] [笑い]
[00:58:09.599] 友柔不ね。
[00:58:12.280] よりドり緑なんてまるでどこかのお店みたいね。
[00:58:17.640] これ多分本当にお金かけるやつだよな。
[00:58:19.400] プロの意見でも聞いてみたら
[00:58:22.760] パドック俺マジでわかんないんだけどパドック情報って何?よくあるじゃん。パドックって何なの?よく聞くけど。この競馬のさ、パドックって何?よくわかんないんだよね。これ
[00:58:33.799] 1
[00:58:33.960] 回もやったことないからルールが分からん。
[00:58:36.680] パドックの様子はどうでしょうか?パドックって何?夏乳ちパドックで馬気を出してますね。今日はスナックからの参加の大崎先生。なんだかでと結局
[00:58:51.520] の状態見るやつ。
[00:58:52.680] それはパドックっていうの?それ場所の名あのブルペンみたいな感じ。野球もよくわかってないけどブルペンみたいな。ブルペンみたいな感じか。
[00:59:00.799] なとか
[00:59:02.160] あの野球のブルペンみたいな
[00:59:04.599] 馬って何?笑笑
[00:59:06.240] わかる。うまっなんだかわかんないけどさ、書いてあったじゃん。
[00:59:10.760] ブルペンみたいな感じ。
[00:59:12.160] あ、なるほどね。俺昔ブルペンってどっかの国かと思ってたからね。ブルペン入りしましたつらへえ。海外に行くんだと思ってた。したら違うのね。ブルペンってなんかなんか練習する肩あったまる。あっためるとこみたいな。
[00:59:16.036] [笑い]
[00:59:29.000] もちろんとくやってるわ。
[00:59:32.039] さっきパドックで立ち上がっちゃった子がいたでしょ。
[00:59:35.000] あらららら。
[00:59:36.280] あの大馬さんを応援するって決めたわ。
[00:59:38.640] おいらの大馬さんも立ちかっちゃうかもしんないけどね。
[00:59:40.640] 応援していい?
[00:59:41.359] おいらの大馬さんもパッとはいけますか?おいおいあちで決まってんだろ?こんなんこんなんこにかけたらおもろないねん。おもろないねん。おい、行ったんねん。行ったんねん。今日金あるからマジで行くよ。これマジで行くよ。
[00:59:56.960] これ、これ、え、これだって勝つ可能性
[00:59:58.960] 0じゃないんだよな。5
[00:59:59.640] 万かけるわ。はい。
[01:00:03.200] いや、これが馬
[01:00:05.200] ぶっぱなしたぜ。美術。
[01:00:07.599] 千場って何?千場って
[01:00:11.599] 行くぜ。
[01:00:15.280] 群馬ならオートレースだったね。
[01:00:17.599] 群馬ならオートレース。[音楽]
[01:00:19.200] ごめん。あればソープ行けますよ。
[01:00:21.536] [笑い]
[01:00:25.039] ソープ。
[01:00:28.520] スタートしました。いや、頼むよ。頼むよ
[01:00:31.280] 。ここでガーツりやっててさ。ガーツり
[01:00:33.799] 当ててさ、面白くないから。面白くない
[01:00:36.400] から。なんだっけ俺かけた。夏。夏は夏は
[01:00:40.559] 夏はアーモンアーモン。あ、アーモンデイ
[01:00:44.760] 。アーモデイ。いや、アーモンデイじゃ
[01:00:47.000] おもろないって。いや、思、思んないよ。
[01:00:49.000] 思んないよ。思んないよ。桜だよ。夏だよ
[01:00:51.079] 。夏だよ。おんな。いや、重な。お重んな
[01:00:55.359] 。え、おんなこれで
[01:00:57.160] 5万失ったの俺。
[01:00:58.160] もんでいい名前おマージュしすぎ。
[01:01:01.039] アーモンドアイなんだ。へえ
[01:01:06.079] 残念だね。5万、5万
[01:01:08.839] 約束通り
[01:01:10.280] までも
[01:01:11.319] いつも5万ぐらい使ってるからな。
[01:01:13.520] うん。今日も大馬さんが美しかったから満足したわ。
[01:01:18.079] いやあ、これ勝つことあんのかな?勝たなかったのは残念。
[01:01:21.319] 勝つことあんのかな?
[01:01:23.720] ん?
[01:01:24.880] まあ、いいよ。今日金あるから。お金、お金があると強。ありがとう。
[01:01:29.657] [笑い]
[01:01:30.480] お金があると強気。ダメな人間の姿を見て
[01:01:35.160] 大穴で60億とか60[笑い]
[01:01:38.559] 億もうそれもう買えるやん。
[01:01:42.119] 買えるやん。もうくんちゃんごと買えるじゃん。
[01:01:45.079] 60億あったら。
[01:01:46.480] それじゃお店に入りましょう。
[01:01:49.720] 今日60
[01:01:50.720] 億ったらこの店ごと買収するわ、俺が。
[01:01:54.279] あ、そっか。掛け金とは別に1万5000
[01:01:55.960] 取られる。いらっしゃいませ。
[01:01:58.119] やっぱでもこの服が1
[01:01:59.279] 番よ。やっぱこの服が
[01:02:00.799] 1番。
[01:02:01.079] ここまでありがとう。
[01:02:02.240] はい。
[01:02:03.400] 続きはバニーガーデンでね。どれがいい?
[01:02:03.717] [音楽]
[01:02:05.760] あ、まあ、ちょっとしっぽり行きますか、今日は。今日はしっぽり行くか。ブルーハワイドも行って。
[01:02:13.200] 私の分もいただける。い
[01:02:14.559] いよ。あんたもブルハイ飲みな。
[01:02:16.839] 悪くない選択よ。
[01:02:18.520] 少しだけ待って。
[01:02:19.559] はい。はい。ま、しっぽり行きましょうや。今日はもうアフター行ったから。アフターじゃねえや。
[01:02:26.960] あの
[01:02:28.200] いただき
[01:02:28.440] 同販したからね。
[01:02:31.240] カラオケボックスなら大声を出せるわよね。
[01:02:34.880] そやな。
[01:02:37.839] 違うわ。
[01:02:38.599] うん。
[01:02:39.480] 大声を出し。
[01:02:40.359] あるね。たまに。俺もあるよ。俺もたまにあの会社の帰りの車の中でもう意味もなく叫ぶ時あるね。
[01:02:46.293] [笑い]
[01:02:47.920] きちがきちげ溜まっちゃってさ、車の中で大声出す時ある。たまにな。たまに。うん。いや、それがな、やっぱあ、ないと。やっぱりそれがないと。人間ね。
[01:02:58.559] 自分に対する怒りね。本当に不害ないわ。
[01:03:06.599] なら爆破する前に挟ちゃう。解放する人怖い。そろそろ限界を迎えそう。
[01:03:11.838] [笑い]
[01:03:12.680] いるけどね。
[01:03:13.240] たまにを万が一に抜けてしまったら最低だもの。
[01:03:19.599] 東大医学部頭悪くないか。本当だからだ。
[01:03:25.593] [笑い]
[01:03:27.000] あなたも付き合ってくれるの?
[01:03:28.279] カラオケ行くか、じゃあ
[01:03:29.599] 嬉しいわ。
[01:03:30.160] ポールの歌っちゃえ、ポールの
[01:03:31.160] ありがとう。
[01:03:31.720] ポールの歌っちゃうよ。
[01:03:32.920] お酒用意し。
[01:03:34.680] どこに行くの?こんな雨の中。
[01:03:40.000] どんな待ってるの?
[01:03:45.160] もうポルノグラフィティしか歌うあれがないと思ル頼む。
[01:03:48.720] ゼロマイウェブセガテゴーゴあてかさ、あれ見た?遊戯王十周年のあのなんか記念ムービーみたいなの出たの知ってる?
[01:04:03.240] あの
[01:04:03.640] 見た見た?
[01:04:04.640] あれめっちゃ良かったよね。あれめっちゃ良かったよね。
[01:04:05.549] [笑い]
[01:04:08.720] 初代のオープニングのお号を聞いた。
[01:04:11.359] うん。心は
[01:04:12.599] 早く明日の地図広げてくれ。
[01:04:15.374] [笑い]
[01:04:16.000] アの地図を広げて
[01:04:18.760] ストレス発散は
[01:04:20.559] 一緒に行こうぜ。上の上の家に行って
[01:04:26.079] ちわのわちん去海分
[01:04:28.760] セムス号の家にお疲れ
[01:04:31.880] 妹の萌えかちゃんと遊ぶ。
[01:04:33.680] いや、あの遊戯王の漫画のなんか
[01:04:37.119] PVめっちゃ良かった。
[01:04:38.799] リのあの曲もいんだよな。あの曲もいいんだよ。
[01:04:41.559] 一緒にお菓子を食べながら好きな全然話聞てなかった。
[01:04:46.680] エリサとショッピングも癒されるわね。
[01:04:50.119] ルナからさる。
[01:04:55.329] [笑い]
[01:04:57.400] 頑張れよお前。頑張るな。いいね。稼いで来いよ。稼いで来いよ。行ってらっしゃい。
[01:05:05.400] えー、みんなバニーガーデンのキャストの子だね。
[01:05:08.520] 1
[01:05:08.680] 番一緒に過ごしているから。同じ時間を共有するとそれだけ仲も深まっていくものでしょ。こんなにたくさんの友達に癒されているのにストレスが爆発しそうだなんて少し情けないわね。
[01:05:27.559] それとこれとは話が別だよ。どうしたって無理なことは出てくるし。
[01:05:30.160] ありがとう。
[01:05:31.960] 今もあなたに癒されちゃったわ。新しくお酒を用意しましょうか。ありがとう。どれがいい?
[01:05:40.279] うーん。これカラオケって曲変わんないよね。多分ね。ウッカ行っちゃう。ウっカ行っちゃうよ、俺。ウッカ行っちゃうよ。
[01:05:48.920] 小の情けない具足を慰めてくよ。
[01:05:52.315] [笑い]
[01:05:54.039] 小生
[01:05:56.200] 少しだけ待っていて。
[01:05:57.319] 情けない具足が情け。情けある具足になっちゃうからな。
[01:06:03.200] いつになったら俺この子あれできんだろうな。さすがにな。
[01:06:09.760] さすがに最後は
[01:06:11.480] 今度
[01:06:11.920] させていたかないと。
[01:06:12.720] うナと一緒に遊ぶ約束をしたの。
[01:06:15.680] でもまだどこに遊びに行くか決められなくてあの子完全に夜型だから夜に行ける場所の方は。
[01:06:24.880] え、夜に行けるのってどこだろうな。
[01:06:28.920] 24時間
[01:06:30.279] スーパー戦闘。こんないや、ま、でもそこ別に関係ねえか。いや、こんな子も行くんかね。スーパー戦闘とか夜ならバニーガーデンがおすすめだよ。
[01:06:45.279] 私だってそれができるならバニーガーデンで過ごしたいわ。
[01:06:49.520] お客としてね。
[01:06:50.599] でも他のゲストの方を混乱させたくないし残念だけどね。
[01:06:57.440] ルナちゃんとよく一緒に遊ぶの?
[01:06:58.960] そうね。お互いの休日が会う時は遊ぶわよ。
[01:07:03.039] 仲いいな。
[01:07:03.720] 家にいる時もルナとよく通話をしているの。
[01:07:08.640] 何を話すのでもなくだらダラと長時間になることも多い。
[01:07:13.960] だからルナが通話の途中で寝落ちしちゃったり、私がお風呂に入ってる音を垂れ流してるだけになったりでもそういう時間も幸せだって感じるのよね。そうね。
[01:07:29.440] そも
[01:07:30.319] 私とゲームしてみほんまに脈落もなくゲーム誘ってくるなあ。やらない。やらないよ、今日は。
[01:07:37.599] そう分かったわ。
[01:07:39.720] もう誘ってこなくていいって。
[01:07:41.319] 2万円安い。いいね。
[01:07:43.960] 私はまだ
[01:07:45.319] あなたと一緒にいたいけど。あ、3
[01:07:47.000] 万のアフターで頼む。オケー。オ、行こう、行こ、行こ、行こ、行こ。あ、カラオケか。カラオケ。行くたもんな。
[01:07:53.680] あなたのそういう優しいところ好きよ。すぐに準備してくるわね。ちょっとだけ待ってて。
[01:07:56.766] [音楽]
[01:08:05.000] ホールのグラフィティ歌おう。ホールドグラフティ。
[01:08:08.520] うん。心はグをくこれ起きた。マジでライブバージョンま、マジでライブバージョンのあの跳馬ライダー錆めるからね。うん。うん。心わってマジでこんくらい貯めてた貯めるから。
[01:08:26.640] え、
[01:08:27.000] すごいんだから。ライブ
[01:08:28.080] 心の中のモヤモヤがなくなったわ。あなたも付き合ってくれてありがとう。
[01:08:34.440] あと2
[01:08:34.799] 番の歌詞全飛ばしするしね、あの人。
