[00:00:50.559] うしゃっす。
[00:46:05.920] でも20か6月中旬って言ってたね。俺の
[00:46:09.559] 誕生日あたりに来んじゃねえかなと。
[00:46:24.960] いや、待って。
[00:46:25.839] なんでこんな下手くそになった?落ち着け。でもそしたらすごいよ。プレステとか全部インストールできんだろう。セガサタンとか
[00:46:38.319] 誕生日だったらおもろいね。
[00:46:40.720] ね、いいね。そしたらめちゃめちゃ嬉しい。やあ、もう下手くそだよ。
[00:46:50.680] え、俺のこの今のいるリスナーの中でさ、買ったやついる?買ったやついるか?
[00:47:04.319] へ、勝ったよ。リ
[00:47:06.680] ビさんぐらいか。ま、ま、そうだよな。なかなか配信に来てくれてる人でもレトロゲームかまやマニアはあんまりないからな。
[00:47:19.640] なかなかやっぱあのトリメガってやっぱ
[00:47:22.559] 実物持ってる人じゃないと意味ないからね
[00:47:24.240] 。あれ実物持ってる人じゃないと
[00:47:28.720] もう下手そ。下手っぷ。下手そが
[00:47:41.280] 待って。気をつけてよ。
[00:47:50.480] もうちょっともうなんかさ、やる気ない
[00:47:53.160] なら帰れよ。
[00:47:57.000] ここのリフトがなんか行けないんですけど
[00:47:58.839] 俺。なんか行けなくなっちゃった。
[00:48:02.119] 慎重に行こうぜ。慎重に。
[00:48:07.079] なんか今日ね、F1買うかF
[00:48:10.040] 1買うかな?F1。F1
[00:48:12.160] スピリット買おうかな。
[00:48:15.240] もうね、あのネットオークションでたまに安く売り出されてるのを探すしかねえな。
[00:48:20.839] 吸い出した後にソフト売る人もいるの?
[00:48:23.280] ま、いるんじゃないの中には?でもそれ違法だけどね。やっちゃダめだけどね。でもさ、ま、賞味わかんないからね。そんなこと言われてもね。いるだろうね、中には。
[00:48:35.640] そうなんだ。
[00:48:36.319] 違法だよ。うん。吸い出したショフトは自分で処持してなきゃいけない。だから俺らみたいなさ、あのコレクターはいいよね。売るつもりもないしさ。
[00:48:47.680] ええ、なんかいるだろうね、中にはね。だ、結構セガサターンとか実機持ってた気がするから死んで家片付けることになったら全部送る。
[00:49:03.079] ええ?何それ?その、あのさ、ちょっと待って。おじさんはまだご存命なんだよね。
[00:49:10.720] え、なんでそんなひどいこと言うの?死んで家片付けることになったらってあ、暑いけど。熱。俺は暑いけどでもそんなひどいこと言うなよ。生きてんでしょ。
[00:49:21.119] 笑笑。
[00:49:23.079] 品が流れてくるの怖い。
[00:49:24.680] いや、俺全然もらうけど。全然ありがたいよ、そういうの。いや、そんなの別に礼とか全然信じてないから。ま、でも廊下は電気つけとくけど怖いから。
[00:49:33.680] いただけるもんはいただきますけど、ご
[00:49:36.280] 存命なのになんでそんな死んで死んで
[00:49:39.240] 家片付けたらっていうのやセサターン
[00:49:43.599] 本体とかつあってもいいからな。
[00:49:48.040] 開いてくれ。よかった。開いたよ。よかっ
[00:49:50.640] た。開いた。開いた。開いた。なんで開か
[00:49:52.640] なかったんだよ、さっき。なんで開か
[00:49:55.240] なかったんだよ、さっき。だからどうなっ
[00:49:56.920] てるか分からんからね。あまね。
[00:49:59.720] 大事にしてくれる人に渡るのが本だ。
[00:50:02.359] もうね、レトロゲームってどんどん今ね、数がね、減ってってるからね。本当に
[00:50:07.960] 本当に海外に流れていっちゃってて、ま、別に俺はそれをとやかく海外のね、人に買うなっていう権利はないからさ、別にとかく言うあれはないけど、でもやっぱ今円安だからさ、外人が来てさ、もう本当に棚全て買ってくとかやってんのよ。本当にこっからここまでください状態なんだね。安すぎるんだよ、日本のレトロゲーム。ま、最近は高いけど。
[00:50:27.520] もバイクもそう。
[00:50:28.920] ま、そうだよね。全部そう。円安だからさ。だからどんどん数少なくなってってるから。そういうお家とかでなんかそのなんて言うの?あの例えばみんなもさ、なんか異品整理じゃないけどさ、なんかま、整理して出てきたつんじゃん。捨てんのだけはやめて。捨てるのだけはやめて。せめてお店に売るかとは俺に譲るか。捨てるのだけはやめよう。もう数本当にもうくなる一方だからさ。
[00:50:57.319] ほんまやね。
[00:50:58.079] 捨てるのだけはやめてほしい。マジで
[00:51:01.000] 茶げに売るか。
[00:51:02.359] あ、全然買う。うん。全然買う。いや、でもいいや、買わない。ただでもらう。今ここで買うって言っちゃうとただであげるって言ってくれてる人が金出せって言ってくるから。
[00:51:13.880] 笑笑。
[00:51:15.440] せっかく立ててもらえんのによ。
[00:51:26.200] ま、大切にしますよ。その代わり。
[00:51:32.160] ま、物によっては全然お金出しても欲しい
[00:51:33.920] のあるかもしんないけどね。
[00:51:41.280] やっぱ暑いのがさ、そういう上の世代の
[00:51:43.960] おじさんとかだとさ、そのPCゲーとかが
[00:51:47.240] 持ってる可能性があるじゃん。それこそ
[00:51:49.079] MSXとか俺もう本当お父さん世代のやつ
[00:51:51.880] だからさ。そういうのがなんか出てくると
[00:51:55.359] 熱いよね。よくなんかあのビープっていう
[00:51:58.920] さ、レトロゲームとかなんかレトロPCと
[00:52:01.000] か中古屋さんがあるんだよな。で、そこが
[00:52:03.920] 結構さ、買い取ったものをさブログで紹介
[00:52:06.720] したりするのよ。
[00:52:07.680] で、そうするとなんか時折りやっぱり何県何市の異品整理で心
[00:52:13.400] を産世
[00:52:14.319] そう、異品整理でPCあのMSXのソフト
[00:52:18.720] 50
[00:52:19.079] 本買い取りましたとかってやっぱ出てくるのよ。何ヶ月かに
[00:52:21.880] 1回すごいで本当に今
[00:52:25.559] 1本56
[00:52:26.319] 万するようなソフトがゴロゴロ入ってたりしてやっぱ持ってる世代はもやっぱあるんだなって思うでもそういうのさか人はどんどん捨てちゃうじゃん。
[00:52:36.119] おじいちゃんおばあちゃん世代って
[00:52:38.720] だ本当に家族でそういうの出てきたらもう
[00:52:40.760] 捨てるのだけはやめよう。俺にくれとは
[00:52:42.359] 言わんわ。捨てるのだけはやめてくれ。
[00:52:44.160] 市場に流してほしい。
[00:52:46.839] 本当に玉数が少なくなってく一方だから
[00:52:55.559] 売るのめんどくさいよってこと人は僕が
[00:52:57.240] 引き取ります。
[00:52:59.319] それも全然うん。全然全然うん。全然もう
[00:53:02.599] ウェルカムウェルカム
[00:53:22.559] なんだっけ?ど、ここな何だっけ?ここの
[00:53:24.559] ボス楽か?ここは楽だ。
[00:53:38.280] 結構今までで1番暑かったのがさ、全然
[00:53:41.160] 配信関係ないんだけど、俺のバンド関係の
[00:53:44.240] 時の知り合いがさ、あのなんか急に連絡
[00:53:48.319] あって俺が配信、レトロゲームの配信して
[00:53:50.599] るってのどっかで聞いたみたいで、あ、
[00:53:53.040] ちゃ、レトロゲームの配信してるんだっ
[00:53:54.720] たら俺レトロゲームなんか家にいっぱい
[00:53:56.040] あるからあげるよって言われてさ、マジっ
[00:53:58.319] すかつって。え、でも一応やっぱさ、なん
[00:54:00.520] か高いのを黙ってもらうのも忍びないから
[00:54:03.280] なんかその物言ってくれたらそのなんて
[00:54:05.040] 大体さ、その高かったらそのいやこれ高く
[00:54:07.200] 売れますよって言ってさ、なんかそのそれ
[00:54:10.240] でもいいよって言ったらまあさもらおうと
[00:54:12.280] 思ったんだけどその人さ、あのバーチャル
[00:54:15.480] ボーイとバーチャルボーイのソフト17本
[00:54:18.240] 全部くれてさ、いやそれマジでいいのって
[00:54:21.720] 。それめっちゃ高いからね、バーチャル
[00:54:23.240] ボーイって。でも言ったんだよ。
[00:54:25.559] だからこれ売ったら多分相当
[00:54:30.160] そう21本しか発売されてないうちの17
[00:54:33.000] 本だよ。やばすぎるでしょ。
[00:54:35.640] 21本しか発売されてないうちの
[00:54:37.880] 17
[00:54:38.240] 本くれたんだよ。ほぼ揃ってんのだからうちめっちゃ高いやつは持ってないけどなんか
[00:54:44.319] やっぱ
[00:54:45.400] めっちゃ高いのあるんだよね。あのなんだっけ?
[00:54:47.799] コンプリ高すぎ。
[00:54:50.400] めっちゃ高いあのなやつはなかったけどね。
[00:54:52.720] ガンダムのなんとか3Dシューティング
[00:54:54.400] みたいなやつとかあとなんかなんだっけな
[00:54:57.480] 。そう
[00:55:00.839] いうのはさもやっぱ玉数がないからその人
[00:55:03.160] 持ってなかったけど
[00:55:06.599] さ、俺言ったんだよ。だからそれもらっ
[00:55:08.040] ちゃっていいの?いやでももういいよ。
[00:55:09.319] これ別に俺売るのもめんどくさいし持って
[00:55:11.359] きないよ。チャマ好きなんでしょつって
[00:55:13.680] もう惚れたね。
[00:55:20.200] でもその1ヶ月前に俺、あの、自分で
[00:55:23.079] バーチャルボーイ買ってたんだよね。だ
[00:55:24.200] からうち今バーチャルボーイ2台あるんだ
[00:55:26.319] よね。
[00:55:31.039] ソフトは持ってなかったから助かったな。
[00:55:35.559] あれでしか遊べないワリオランドとかも
[00:55:37.160] あるんだよ。取れるね。
[00:55:40.760] なんだあいつ。
[00:55:58.760] よし。
[00:56:00.799] ここのボスは多分そんな強くないから
[00:56:02.440] 大丈夫だな。
[00:56:06.480] あ、下か。
[00:56:10.200] ここも連打ゲーよ。
[00:56:29.920] オケ。うまいね。うまいね。いいぜ。
[00:56:33.640] 4000
[00:56:34.400] ぜ。ほんでほんでちょっと待って。今俺のもんよ。
[00:56:46.240] このね、最後のステージ最後のボスはあの
[00:56:50.680] クレス君で行った方が安定するんだよね。
[00:56:54.599] うまいことできてるよな。こっちこいつも
[00:56:56.680] 別に活躍する場所がないわけじゃない。
[00:56:59.799] こいつ攻撃力めっちゃ高いから
[00:57:03.640] 火力か
[00:57:04.359] 火力火力おかしなるポリゴン
[00:57:10.680] ショックなるで。
[00:57:12.960] 天脳精神ポリゴン
[00:57:17.640] もうこれ当たってしょうがないんだよ。
[00:57:18.880] これはもうこれはもう避けらんねえよ。
[00:57:20.520] こんなん
[00:57:30.559] これ当たってしょうがない。オケ。いいね
[00:57:34.240] 。グーだぜ。このペースで行けりゃさ、
[00:57:37.960] クリアできるよな。
[00:57:41.680] ぐレレねね。ただこの
[00:57:52.160] 4000
[00:57:52.559] も多分すぐすぐあれなんだろうな。
[00:57:56.160] 4000
[00:57:56.559] もすぐ多分一瞬の判断ミスで終わるんだろうな。
[00:58:02.760] まあ、これ最悪今日無理だったら月曜日てか明日とかに多分あの
[00:58:06.799] MDX
[00:58:07.559] さんからあのこで会えぬフロッピーディスクもらうからそしたらもう
[00:58:12.640] 5000
[00:58:12.960] 円貯めた状態でセーブしながらやろ。
[00:58:16.039] 10倍
[00:58:17.319] 10倍遺跡ね。ああ、いい曲。いい曲。
[00:58:30.400] ここまでは安定していく。までは安定して
[00:58:32.359] いけるのよ。てかでここも多分クリア
[00:58:33.960] できると思うよ。ここもクリアできると
[00:58:35.680] 思う。これ次なんだよ。めっちゃむずいの
[00:58:38.559] 。この次のステージ、次のワールドって
[00:58:40.920] いうのかな?この曲もいいよね。
[00:58:43.480] ドゥルンドゥルルンドンルルンドンルりルりルルルルルルルりルりルりルりルりルりルりりりりルりトゥリルリり好き
[00:59:01.039] トゥリルりりいいよねリルリあとこの後の泣きのメロディもいいよねみたいなこの後の後デー
[00:59:11.960] ててててててルあえねえ危なんか今あ今セーフだったんだ今セーフだったなんか今
[00:59:31.880] なんか今なんだ?なんか今めり壁にめり込んで助かったな。
[00:59:41.760] あぶね。マジで良かった。
[00:59:45.559] 壁に埋まった。
[00:59:46.520] 壁に埋まってさかったな。て
[00:59:54.359] 疑惑の判定にスクワ。
[00:59:55.839] 今疑惑の判定だったね。ああ、いいんか。
[01:00:09.160] おい、もう俺、おい、染みついちゃったよ、俺。ここに来たらこれやんなきゃいけねえのか、もうこれ職業病だろう、これ。
[01:00:15.079] ナチュラルに稼ぎ。
[01:00:16.160] ナチュラルに稼ぎ。無意識に今やってた。今これ無意識にやってたわ。これ無意識だったよ、今。
[01:00:24.839] 笑笑。
[01:00:27.079] これ職業病だよね。職業病だぜ、これ。体が勝手にやっちまうんだよ。
[01:00:47.319] え、何それ?
[01:00:58.440] これ帰るうぜ。
[01:01:04.280] ちょっと待て。
[01:01:06.280] ねねねねね。オふ。いいぜ。いいぜ。
[01:01:19.880] BGMを口ずむと助かるらしいよ。
[01:01:22.760] 何何何て取れ忘れす。
[01:01:30.760] トレジャーオブウシャスっていうのが海外名なんだな。
[01:01:34.079] オ。よしよしよし。サ、サ、サです、これ
[01:01:38.359] 。
[01:01:46.319] いや、マジで即死だけはマジで即死だけは
[01:01:48.839] 本当にやめよう。本当に。
[01:01:54.720] ここ何だっけ?ここどういうとこだったか
[01:01:56.319] な?
[01:02:12.160] 危ね。トゥリルり。
[01:02:25.680] オ、
[01:02:29.599] これ確かね、そうなんだよ。危ね、危ね、
[01:02:33.559] 危ない、危ない。ふう。
[01:02:39.039] あ、違う。あ、どう取っていいんか?あれ
[01:02:40.520] ?どう取ればいいんか?
[01:02:46.599] あ、やっちゃ。まか。
[01:02:49.440] あ、コミュニティチャレンジな。うん。ち
[01:02:52.480] 、ありがとう。結構もう溜まって40%
[01:02:54.960] ぐらい行った。40%ぐらい行ったか。
[01:03:06.279] え、そっちに表示されるの?
[01:03:08.400] え、何が?
[01:03:10.200] 41行ってる。
[01:03:12.200] 41
[01:03:12.839] 行ってる。え、何かこっち?俺に、俺に表示されるよ、これ。コメント欄に表示されるよ。
[01:03:20.240] 投票したら。
[01:03:21.240] そう、そう、そう。される、される。
[01:03:24.440] え、それってこれ、あ、何?みんなの方のコメント欄には出てないの?俺のや、やだね。
[01:03:30.160] やだ。嫌か。ごめん。嫌か。木だけ取んないとダめだね。これ
[01:03:39.680] 出てるよね。
[01:03:55.440] 41%
[01:03:56.359] 行ってんだ。結構現実にあるな。結構このチャンネルにおける
[01:04:00.839] 40万って。
[01:04:02.200] パソコンからなら出るのかな?
[01:04:04.559] あ、そういうのがあるの?パソコンが出るみたいだね。仕様違うんだ。
[01:04:15.240] ああ、ブラウザ。もしかしたらアプリと
[01:04:17.039] ブラウザーで違うのかな?
[01:04:24.400] 結構いい指標だったよな。40万って
[01:04:27.760] ギリギリギリギリどっちだみたいな。
[01:04:37.680] 食うな、食うな。そこいた。
[01:04:51.079] 床食うなよ。床食うなよ。
[01:04:53.319] じゃなければもっとぶっ込むけどね。
[01:04:55.880] でもそれはもう俺は変えられねえんだよな。もう
[01:04:58.400] T
[01:04:58.520] イッチ側の仕様なんだよね。危ね。やべやべ。ていうかさ、もう毎回もうさ、だるい。これポーズボタン、このキーボード、ここもうだるいんだよな。遠い。
[01:05:12.640] コントローラーについてないんだよ。この
[01:05:14.160] ポーズボタンが
[01:05:16.880] F5なんだよ。F1か。F1キーでオケ
[01:05:23.440] 。
[01:05:26.400] いいぜ。グーだぜ。
[01:05:33.400] ぐーぐ。調子いいぜ。
[01:05:41.039] いいね。
[01:05:41.400] お金がちょっと溜まってるっていい。いいですね。
[01:05:47.960] ひどい。ここ愛だね。愛だね。ここは押し潰されて死ぬということだけはマジでやめよう。本当にそれだけやめよう。それだけは本当にやめよう。マジで。あ、ここか。これね。ピッコン、ピッコン、ピッコン。
[01:06:10.200] こんばんは。
[01:06:11.640] こんばんは。しさん、こんばんは。あれなかったっけ?
[01:06:21.319] あゆえに苦しむのなら愛などいらぬって前言ってたよね。
[01:06:25.839] それな。ラ王ラオだっけ?わかんない。俺そのそれも通ってないから。北斗の剣通ってないから。
[01:06:35.400] 清よしもいますと。サウザー。
[01:06:38.039] あ、底サウザーか。
[01:06:40.599] サウザーね。
[01:06:45.319] うざりレりレ
[01:06:55.279] ねりレねり
[01:07:00.160] ね
[01:07:02.079] トゥヌにトにぬに
[01:07:07.559] しゃあな。アで行ったるわ、ここ。本当は
[01:07:10.480] 愛で行きたくないんだけど扉が開かねえ
[01:07:12.119] からな。
[01:07:17.400] いや、でもこれさ、マジでさ、F1
[01:07:19.119] スピリットさ、ダブルスロットすればさ、
[01:07:21.319] これ2段ジャンプできんでしょ?この状態
[01:07:23.160] でめっちゃ簡単なゲームになるよね。それ
[01:07:26.240] めちゃくちゃ簡単なゲームになりません?
[01:07:30.279] だってここにダンジャンプで行けばいいか
[01:07:31.640] 話だもんな。
[01:07:36.000] 買おうかな、マジで。
[01:07:38.720] ダめダめダめ。もう取り目が買ったから
[01:07:40.839] 我慢じゃないと。
[01:07:50.240] こんな遠回りする必要ないんだもんだって
[01:07:51.799] 。
[01:08:02.760] これダメな。
[01:08:04.599] フロッピーでも無理なら最後の手段で。
[01:08:07.160] ま、フロッピーやったら正直無理じゃないと思う。セーブできちゃうからね。ぶっちゃけね。フロッピーが来たら多分クリアできると思うよ。
[01:08:16.880] どっちでしょ?これさ、なんて1回の
[01:08:19.400] プレイで最後まで走り切るのって結構時間
[01:08:21.560] かかるよね、これ。
[01:08:28.319] ここダメージ食らうんだよな。
[01:08:32.120] まいっか。
[01:08:38.600] ま、コレクション、ま、コレクター的。あ
[01:08:40.799] 、そうちゃん、こんばんは。そちゃん、
[01:08:41.719] こんばんは。配信外で5000貯めてから
[01:08:44.560] プレイしてるよ。今日配信外で5000
[01:08:47.239] 貯めてきた
[01:08:49.480] お金コレクター
[01:08:52.000] 的にはまあ正直買っておきたいのもあるん
[01:08:54.400] だよね。あのF1スピリット
[01:08:58.799] コナミのコナミのこのなんだこのMSXの
[01:09:02.000] ゲームは欲しいから。
[01:09:05.080] ただ多分Fでややそんなあるなら
[01:09:08.199] クリアじゃん。あ、それがわかんない。
[01:09:12.480] 結局さ、なんか穴に落ちたりさ、石に潰さ
[01:09:15.679] れたりするなんか無条件の死があるじゃん
[01:09:18.040] 。それやられたらさ、もうどうしようも
[01:09:20.600] ないからね。よし、開いた。オポリメ
[01:09:29.719] が1発目はする。まあ悩むな。
[01:09:35.679] 悩むな。
[01:09:36.719] めっちゃあるからね、本当に。ポリメガインストールできるソフト。
[01:09:39.440] そういやポリメガってディスク
[01:09:40.960] 2枚以上のやつも
[01:09:42.319] そう。あのね、紐付けされるらしいよ。紐付けされるらしい。ちゃんとでディスク切り替えみたいな感じであの普通にできるらしいよ。
[01:09:56.159] 神かよ。
[01:09:57.960] いや、ま、その辺はね、ちゃんとなってますよ。うん。
[01:10:12.000] 買っちゃえよ。いこがなんか買いそう。
[01:10:16.520] 買っちゃえよ。楽しくなるぞ。中古屋巡り
[01:10:20.159] が。だってディスクゲーム全部全部がなん
[01:10:23.320] つう?自分の自分のあの範囲になるんだぜ
[01:10:26.800] 。最高やぞ。
[01:10:30.560] 勝っちゃえよ。
[01:10:36.159] ペペロも買えよ。トゥルリとか言ってねえで。ペロも買うんだよ。ペロも買えよ。トゥルりじゃないよ。トゥリルリま。
[01:10:46.080] MSXはこれでしかできないですけどね。
[01:10:47.840] まる未来しかねえ。笑。
[01:10:52.960] もうな、俺なんかさ、もうなんつうの?何?
[01:10:56.520] 全部全部さ、あれ持ってるじゃん。この実機を全部実機持ってるじゃん。
[01:11:01.640] だ、レトロゲー屋さん行くと大変なんだよ
[01:11:03.880] 。全部見てかなきゃいけないから。
[01:11:05.880] ファミコンからプレステ5まで全部見てく
[01:11:08.000] んだから。
[01:11:10.120] 大変終わんないんだから。
[01:11:17.960] もう谷なんか行ったら本当に半日かかるよ
[01:11:20.320] 。全部見てんの。
[01:11:23.000] ここ何だっけ?あぶね。
[01:11:25.280] ここどういうとこだ?カセット
[01:11:40.600] 9。
[01:11:41.440] え、めちゃめちゃあるけど。めちゃめちゃあるよ。めちゃめちゃあるよ。まず
[01:11:50.440] MSX1メタルギア高すぎ。
[01:11:54.639] あとSDスナッチャーってやつが欲しいん
[01:11:56.480] だよ、俺。スナッチャーのあのスーパー
[01:11:59.800] デフォルメスナッチャーってのがあって、
[01:12:01.040] スナッチチャーってアドベンチャーゲーム
[01:12:02.080] なんだけどRPGになったやつがあるのよ
[01:12:04.480] 。中古7万ね。
[01:12:09.440] 中古価格7万
[01:12:13.760] 買えねえよな。ふざけんだ。ふざけんな。
[01:12:21.760] いや、もう一生一生手が届かないと思う。あれは
[01:12:24.840] でも欲しくなっちゃうよね。
[01:12:26.520] 欲しいよ。だって俺スナッチャーめっちゃ好きなんだもん。そのなんつうの?そのアドベンチャーのスナッチャー、今家のスナッチャーと違うエンディングになるらしくてめっちゃ気になるみたいな。めっちゃ気になる。
[01:12:40.880] MSX
[01:12:41.440] とフロッピーのソフトなんだよね。めっちゃ気になるけどなあ。無理だな俺。
[01:12:45.920] 7万はさすがにとか言いながら俺メガメガ
[01:12:49.400] ドライブのバンパイアキラー8万ぐらいで
[01:12:51.120] 買ってるけどね。
[01:12:54.679] ボーナスが来たらワンチャン。いや、まあ
[01:12:56.760] でもまだな。
[01:13:10.239] どんだけ好きやねん
[01:13:11.800] 。ドラキュラもうだって全部持ってるよ、
[01:13:13.600] ほとんど。メタルギアバ9万4800
[01:13:17.239] 円なうだね
[01:13:18.080] え。どこで?どこで?そもそもいや、買わないけどメタルギア
[01:13:22.520] 1。それメタルギア2
[01:13:23.760] じゃない?それメタルギア
[01:13:25.920] 2じゃね?メタルギア1
[01:13:27.679] なんだよな。欲しいのは
[01:13:28.719] タッカー
[01:13:31.159] ワンはまずネットにね、落ちてない。そのなんつうの?そのネットにあのないその
[01:13:35.239] あった。2
[01:13:36.159] でしょ?2は結構あんだよ。1
[01:13:37.840] の方が人はレアだったりするんだよね。
[01:13:42.199] ま、もうでも2もやばいけど2
[01:13:43.880] もバカ高いけど
[01:13:50.320] 結構あって9万するんか?
[01:13:52.440] そうだね。結構ある。結構はない。結構はないけど、ま、なんだかんだ
[01:13:56.239] 2
[01:13:56.520] はまあなんか結構ね、出回りがあるのよ。やっぱ買って手放したりとかが多いんだろうな。ワンはほとんど見ないね。やべ、死ぬ。やべ、やべ、やべ。
[01:14:07.719] ファミコン版ギアがうんちなんだっけ?
[01:14:10.320] ファミコン版ギア持ってんだよ、俺。そう、ファミコン版のその元々
[01:14:14.960] MSXにメタルギア1
[01:14:16.280] が出たんだけど、それ勝手にコナミの他の社員がてか上の命令であのファミコンにも移植したんだけどあれはね監督があの
[01:14:25.000] に本体の2万6100円。
[01:14:27.360] あの本体の実は興味ないんですよ。
[01:14:29.520] ま、病気だから、
[01:14:32.159] あの、
[01:14:35.080] 勝手に移植されたやつがあって、あれはね
[01:14:37.159] 、あの、ラジオで小島監督がね、普通に
[01:14:39.560] 言ってたからね、ファミコン版のメタル
[01:14:41.159] ギアね、僕関わってないんでね。あれね、
[01:14:42.920] クソですよ。クソやんないでくださいって
[01:14:44.920] さ。
[01:14:46.880] うん。確かにあれひどいんだよ。メタル
[01:14:48.400] ギアなのにラスボスにメタルギア出てこ
[01:14:50.800] ないの?メタルギアを制御してるスーパー
[01:14:53.120] コンピューターがラスボスなんだよ。あの
[01:14:56.040] ファミコンのなんか都合上を出せなかっ
[01:14:58.400] たっていう。
[01:15:00.880] 確かにあれはひどいな。
[01:15:07.280] で、楽を取り行くと木を取り行くのか。
[01:15:29.440] あ、ここ木ねえのか。あ、ここ楽のまんま
[01:15:31.960] でいいんだ。間違えた。来ちゃった。かも
[01:15:34.840] 。
[01:15:55.920] 普通のスナッチャーも7万7000
[01:15:58.480] 円とかするんだね。
[01:16:00.040] ああ、そんなする今。そんなする。今そんなルーあるんだけどね、ここに。そんなするんだ。今だいぶ前にこれは持ってたから。うん。
[01:16:23.040] それはちょっとぼったくりだな。高いと
[01:16:25.000] 思う。それはま、かなり状態間違えた。
[01:16:28.239] かなり状態がいいとかなら別だけど間違っ
[01:16:31.000] てちった。
[01:16:35.920] うわ、これ戻れねえ感じやったな。
[01:16:39.120] 何やってんの?
[01:16:39.760] 楽の時の効果音さ朝昇龍濃くない?
[01:16:43.400] どういうこと?どういうこと?間違った。愛取っちゃったんですけど。
[01:17:18.320] 素ナッチャーも箱で同じ価格であるね。
[01:17:21.639] うん。7万ぐらいし
[01:17:22.880] だとアホしか出てこない。
[01:17:25.560] 君消スも出る。君消す。あとなんかペットの犬のこと聞かれてもう死んだ。
[01:17:35.120] もう死んだ。
[01:17:41.080] もうダメージめっちゃ食うなあ。
[01:17:53.360] この時代にMSXをさ、環境揃えてさ、
[01:17:56.920] 箱説でゲーム買い集めてるやつなんかもう
[01:18:00.400] き違いだと思うわ。ま、ちゃまゲームって
[01:18:03.440] 言うんだけど
[01:18:32.440] 。
[01:18:53.159] いや、これ結構きつい。
[01:18:59.560] オケ。ふう。イエス。イエス。いい感じ。ちょ、ちょ、いい感じ。
[01:19:09.840] チまぷんちゃめチパチ。
[01:19:16.360] クレス超安いな。これでもう育たさないんだ。さあ、行こう。ここも結構むずいんだよね。お金使っちゃうだろうな。ここ多分ここむずいんだよ。
[01:19:31.280] うい。お疲れ。
[01:19:32.719] あさん、こんばんは。お疲れちゃん。やってますよ、今日。もうしゃ、いや、これむずいんだよね。むず。
[01:19:58.440] むずい。
[01:19:59.679] 今日ディスク発送しました。ありがとう。
[01:20:02.440] 4
[01:20:02.679] 枚しか用意できない。4
[01:20:04.120] 枚もくれたの?そんなにくれたんだ。
[01:20:11.320] パチパチエボ玉
[01:20:23.000] むずい。
[01:20:23.679] これオケむずいね、ここね。こいつむずい。この辺炎がどうしても
[01:20:33.719] 4枚もくれたんだ。ありがとう。
[01:20:35.320] え、実際あのさ、俺よくわかんないんだけどさ、あのクロッピーディスクに保存できるゲームのデーって
[01:20:42.159] 1枚につき1個だけ?多分あの、
[01:20:46.400] 10
[01:20:46.600] 倍カートリッチ持ってればさ、他のゲームもセーブできると思うんだけど、それやっぱ
[01:20:51.199] 1枚につき1
[01:20:52.040] 個しかないのだめってこと?どういう感じなんだろうね。
[01:21:03.560] さあ、いっか。むずいぞ、こっから。ここ
[01:21:07.600] はもう全然クリアできないからね。ここ
[01:21:09.840] 全然クリアできてないからね。頑張ろう。
[01:21:13.159] 慎重に行こう。もう回復めっちゃ使おう。
[01:21:21.920] こいつなんかさ、倒せないんだよな。
[01:21:29.159] 来た。ゲームによりますけど、純粋な容量から行けば
[01:21:33.520] 1枚にき大体10分できる。バ
[01:21:38.679] け。神ブグム来たね。神ブグムマジでここ挟まれて死ぬのマジ注意な。挟まれて死ぬのマジ注意。マジ神ブ。これ
[01:21:49.239] でかいのだとどんくらいなん?たまらん。
[01:21:51.920] え、どうなんだろう。1メもないでしょ。
[01:21:53.960] 700700kmか。700km。
[01:21:59.679] あ、やべ、危ね。いや、ジャンプ力高くて助かる。
[01:22:05.520] カロリー、
[01:22:06.480] カロリー。いや、マジで神ブグムやばい。やばい。
[01:22:18.639] こんばんは。やなちゃん、こんばんは。やなさん、こんばんは。イ。
[01:22:26.639] MSXウシスやってます。むずい。
[01:22:31.239] これは珍しいゲーム。
[01:22:32.480] そうだよ。MSX
[01:22:33.360] でやってますよ。実機で。
[01:22:35.120] 岩怖ええ。1番100MB
[01:22:38.280] のスーパフロッピーというのが。
[01:22:40.199] へえ。100M
[01:22:41.120] のスーパロッピーてなんだ?そり消えました。
[01:22:43.600] へえ。そんなあったんだ。
[01:22:46.679] 100m
[01:22:47.199] のあれがあったんだね。容量の進化ってとんでもないよな。
[01:22:55.159] 今思ったら未だに腹立つもんな。あの
[01:22:57.239] PSPが発売された時にさ、32Mの
[01:23:00.040] メモリースティック5000円で買わされ
[01:23:01.560] たからね。
[01:23:03.480] 今思い出してもクソ腹立つような
[01:23:05.480] 32000円
[01:23:07.040] だったんだよ、当時。
[01:23:10.280] 32Mメの
[01:23:13.040] 5000円で買わされたんだから。
[01:23:14.120] メモリースティック。当時は
[01:23:20.120] 1GBのさ、メモリースティックなんて
[01:23:22.040] やばかったよな。
[01:23:28.719] 1番メジャーとな。
[01:23:29.719] このゲーム今んとこ意食されてない。そう、そう、そう。今んとこね、あのウ、ウのなんだっけ?あのバーチャルコンソールに来てたんだけど、それも終わっちゃったね。それ終わっちゃった。で、しかもあのなんだけ?あ、あれでは出るらあるらしい。なんだっけ?あれ、あのプロジェクトエッグジェクトエッグだっけ?それにはあるらしいよ。ま、僕あの実機でやってますけどもね。実機で実機でやってます。やってますけどね。
[01:23:53.800] ごめん。興奮してパマイク投げちゃった。実
