[00:00:04.240] 行けてんのか?これ
[00:27:56.200] すごいなんか家みたいな挨拶だったね。
[00:27:58.600] 実力されて
[00:27:59.559] 商店の挨拶かと思った。なんか
[00:28:01.360] あ、なんか年気入ってるね。自己紹介に
[00:28:04.360] ありがとう。無駄に年気だけあるから。
[00:28:06.080] いいね。
[00:28:08.159] こなれてる
[00:28:09.000] ね。
[00:28:11.080] ではチマゲームさん。
[00:28:12.640] あ、俺かい。それで
[00:28:13.799] はい。そうだよ。
[00:28:15.039] じゃあ、え、じゃあ、え、どうも初めまして。え、チマゲームと申します。
[00:28:19.640] ま、チャマゲームなんですけど、ま、
[00:28:20.600] チャマって呼んでもらえればと思います。
[00:28:22.240] 普段は、ま、レトロゲーム中心に、ま、は
[00:28:25.960] 、あの、最新ゲームもやるんですけども、
[00:28:27.480] まあ、大体あの文句言いながらやってます
[00:28:30.200] 。え、そうすね。
[00:28:31.760] 今日ね、てかこのイベント実はあの今日主催者ね、
[00:28:36.720] K
[00:28:36.919] チャンネルなんだけどいやっぺが実は俺で俺からけいちゃんにちょっとこんなイベントやろうぜって言って
[00:28:45.159] 言って言って
[00:28:45.840] 言ってだもう
[00:28:47.440] 2
[00:28:47.559] 年ぐらい前かな言い出言い出して放置しててもうしびれをきしたけいちゃんが
[00:28:56.679] あのもう僕が全部やるんでやってもいいですか
[00:29:01.519] もう、あの、本当その説は本当すいません。本当にその説はすいませんでした。あの、本当に、あの、今日本当これ動いてくれてありがとうございます。本当されてましたね。ありがとうございます。ということでね、あの、まあ今回あの、
[00:29:12.600] K
[00:29:12.840] チャンネル的には僕はなんかこう経験者枠らしいんで、経験者としてやっぱね、あの、今日あんまりね、シ村さんとか慣れてない人いるかもしれないですけど、あの、大ブに乗った気持ちで、え、ついてきてください。そんな感じでよろしくお願いします。
[00:29:28.080] お願いします。
[00:29:28.600] よろしくお願いします。
[00:29:29.240] お願いします。言うの忘れ。そう、そう、そう、そうなんですよ。
[00:29:32.840] ごめんね。本当にあの、放置してんね。
[00:29:35.679] あの、今日すっげえつまんない終わり方したら全部チま君が悪いんで。
[00:29:41.399] このイベントじゃあ俺の主催だったってことで
[00:29:49.159] そういうことです。
[00:29:50.039] はい。
[00:29:50.519] では、え、さちゃんお願いします。
[00:29:53.480] はい。えっと、晴れさです。初めまして。
[00:29:57.279] えっと、レトロゲーム
[00:30:00.960] も好きなんですけど、FPSとかなんか
[00:30:04.960] いろんなゲームをやっております。えっと
[00:30:07.760] 、朝起きれたら朝活配信、朝声で、RPG
[00:30:13.399] とかのんびりやったり、夜は
[00:30:16.440] 最近は超魔とかスーパーマリオワールドと
[00:30:19.840] かとかやったり、ちょっともう2つも
[00:30:22.000] クリアしてしまったんですけどやったりし
[00:30:24.039] てました。
[00:30:25.279] えっと、うん、これからちょっと何のゲームやるかなって感じなんですけど、多分マイクラ、このハードコア多分死んだら多分悔しすぎてしばらくマイクラやる可能性が高いです。えっと、よろしくお願いします。
[00:30:41.519] よろしくお願いします。
[00:30:48.320] 頑張りましょう。冒険でようね。びっ
[00:30:50.880] かりです。
[00:30:57.120] ではではでは、え、ロボト友さんです。はい。ロボです。朝頃から
[00:31:04.799] 10
[00:31:04.960] 時頃まで最近だとファイナルファンタジーの
[00:31:08.399] 1
[00:31:08.559] から順番にやってて、最近とタクティックスアドバンスやってで、このマイクラ企画が終わったらタクティックスのリメイク版やるよ。
[00:31:17.799] レトロゲーマーのイベントとして誘われたんですが、あんまりレトロゲームに縛られずいろんなゲームやっております。え、で、今回何時までっていう終了時間が決まってない企画なんですけど、え、私今月から無職になりましていくらでも時間使えます。よろしくお願いします。強すぎる。
[00:31:38.799] 強気な発言できるか。
[00:31:42.120] 最高じゃん。
[00:31:42.760] 耐久配信。
[00:31:44.480] 耐久配信よ。覚悟が近いでも行けます。
[00:31:47.679] 覚悟よ。
[00:31:49.600] ゆっくり行こうぜ。ゆっくり行こう。
[00:31:54.440] 月曜日まで行けます。ぶっ
[00:31:57.559] 続けて
[00:31:58.240] ゆっくり詰めにくとかダイヤ集めまくろう。
[00:32:04.080] ではすいません。大取りという形になってしまいました。大ティを言方がまたもうすに
[00:32:09.639] よろしくお願いします。我が輩さんお願いします。
[00:32:12.279] 我が輩であります。こんにちはでります。
[00:32:14.480] えっと、我が輩は、ま、レトロゲームですね、え、
[00:32:18.720] 10
[00:32:18.919] 時半からって、ま、説明のとこには書いてるんですけども、大体
[00:32:22.360] 10時40分ぐらいから、えっと、
[00:32:25.159] 4
[00:32:25.320] 時前ぐらいまでやっとりますかね。オートレ
[00:32:31.200] で、ただいまやっておりますのは女神天身
[00:32:34.480] 2ファミコンがおめなのかな。
[00:32:39.600] ま、なんかレトロゲームなら大体
[00:32:42.559] さんもね、
[00:32:44.840] どのハードですけども、
[00:32:47.559] その配信でレトロゲームやってますじゃなくて
[00:32:50.240] はい。はい。
[00:32:51.320] えっと、好、最近のゲームもたまにやってますと
[00:32:54.639] Minecraftは1
[00:32:55.519] 番ないのはこの前にレトロゲー、
[00:32:59.880] レトロゲーマーは
[00:33:01.480] 3
[00:33:01.880] を人も多いんじゃないかと思ってたんだけど、そうでもないんですかね。
[00:33:05.600] 結構ね。いや、あまりよかったよかった。
[00:33:11.039] 俺より詳しい
[00:33:11.679] というわけではなんか自己紹介っていう感じはあんまりなかったで終わりします。
[00:33:16.880] ありがとうございます。
[00:33:18.960] お願いします。
[00:33:19.519] よろしくお願いします。願します。よろしくお願いします。
[00:33:24.200] い目なるの忘れてたわ。そういえば。あ、
[00:33:26.760] どうぞどうぞどうぞどうぞどうぞ。
[00:33:31.679] え、何?どうしようか?怖い怖い。
[00:33:35.080] 入るのかな?
[00:33:38.679] まあ、行きましょうか。
[00:33:39.639] 行きましょうかね。
[00:33:40.399] 行きますか。
[00:33:41.399] いや、これ
[00:33:42.600] 初動めっちゃ大事よ。
[00:33:44.440] そうだね。そうに
[00:33:45.919] ちょ、頼むで。本当に本当に
[00:33:49.960] まずシードライな。その、
[00:33:52.480] そう、あの、マジで一発勝負なんでどんな世界に俺たち我々分かってます。
[00:34:00.000] まずけちゃんの引きちゃんのよ。まず
[00:34:05.600] 俺昨日3
[00:34:06.559] 時間ぐらいネザー要塞見つかんなかったんだよな。そこで運貯めてるから。
[00:34:12.200] そんな簡単に使うもんなの?
[00:34:13.599] うん。
[00:34:14.960] 今日はいける。
[00:34:16.440] そうだね。
[00:34:17.200] なので、ま、そのリスナーさんとしては初日の、ま、このゲーム夜になると敵が出てくるので、夜になるまでどれだけ戦力というか準備ができるかみたいなのが見所かな。
[00:34:29.839] うん。いや、頑張りましょう。
[00:34:30.919] うん。
[00:34:32.000] よし、
[00:34:32.480] 頑張りましょう。
[00:34:34.000] なんかキャラ違くない?ちゃま、
[00:34:35.879] ド緊張。
[00:34:37.159] そんなキャだったっけ?
[00:34:38.240] ド緊張してます。
[00:34:39.960] マジ?まあまあまあまあまあ。
[00:34:42.159] よし。
[00:34:42.599] まあ、そうだね。皆さんもなんか新のリスナーさんあれだね。
[00:34:47.079] あの、死んじゃったら笑ってあげてください。
[00:34:49.000] そうね。
[00:34:51.040] 死んだら死んだで笑ってあげてください。
[00:34:53.560] ガチ引きされたら泣きますね、これ。
[00:34:55.639] そうだね。死んだのにね。こでみたいな。
[00:34:59.480] マジかよ。
[00:35:02.839] じゃあ
[00:35:03.920] 入りますか。
[00:35:04.400] え、もう行く。
[00:35:05.359] いや、もう行くでしょ。
[00:35:07.280] 行こ。行こ。ましょ。もあるらしいね。
[00:35:09.680] うん。
[00:35:10.079] はい。
[00:35:11.400] じゃあぬるぬるする。
[00:35:14.920] じゃあ、
[00:35:15.560] あ、もう俺いつでも入れる状態です。
[00:35:18.040] はい、じゃあ入っちゃいます。
[00:35:20.240] 行きますよ。
[00:35:20.839] じゃ、よろしく。
[00:35:22.640] よろしくね。
[00:35:23.200] お願いします。こっちでいいんだよね。入ったら
[00:35:26.480] cordはマイクミュートで。
[00:35:28.760] はい。
[00:35:29.520] じゃあよろしく
[00:35:30.839] よろしくお願いします。
[00:35:33.200] よし、行くぞ。
[00:35:35.359] ワ、
[00:35:36.640] もう入っちゃいます。
[00:35:37.520] お、入りましたよ。は、
[00:35:39.480] お、チャマさんがいる。
[00:35:40.440] あ、おじよろしくよろしく。
[00:35:42.119] どうだそれ?
[00:35:42.680] よろしくお願いします。
[00:35:43.800] いいね。
[00:35:44.480] 始まったね。
[00:35:45.160] これはいじゃないか。言ってる。
[00:35:47.560] あ、いい、いいね。やめて。木が死亡。
[00:35:50.520] あ、木がない。
[00:35:52.040] 確かに。うわ、
[00:35:53.839] めっちゃ高台だな。
[00:35:56.000] なんか私こっから動けないです。手る。動けない。
[00:35:59.599] いや、待って、待っ、待っ、待っ。
[00:36:00.920] 木ないね。
[00:36:02.400] 木がない。
[00:36:03.040] あ、でも羊いる。羊いる。
[00:36:04.480] 動けない。
[00:36:05.839] こ、こっち羊い。
[00:36:07.040] こっち羊いるよ。ちょっと俺木探してくるね。
[00:36:13.440] なんかパじゃねえんだからよ。
[00:36:15.880] めっちゃ
[00:36:16.480] これ先に
[00:36:18.119] これここでしか
[00:36:20.480] 1本しかねえぞ。木
[00:36:22.560] 1
[00:36:22.760] 本しかねえよ。しょうがねえな。みんなでベッドはもうあれするしかねえな。俺こんなこぼしかないんだけど。こぼしかでもあれだよね。
[00:36:36.720] 木原木から板にすればいいんだからなん
[00:36:39.800] 56個あれば20
[00:36:41.240] 個ぐらいは作れるもんね、板材はね。いや、木ねえって。これ夜になっちゃうよ。
[00:36:48.520] え、
[00:36:49.280] 木、木全然ねえ。
[00:36:51.440] やばいか。やばいな、
[00:36:55.839] これ。やばいぜ。
[00:36:57.400] やばい。
[00:36:58.240] やばいぜ。声がガにしたんだよ。偉いでしょ。
[00:37:05.720] 古藤すぎるね、これ。大声い出しても遠くまで聞こえない。
[00:37:10.960] マジか。これ
[00:37:12.880] でも板にすれば全員分の
[00:37:16.040] でみんなで喋っちゃうとさ、マジでさ、もうコメントしづらくなっちゃうしょ。
[00:37:21.800] あ、ちきさんこんばんは。ちさん、こんばんは。ちゃ、こんばんは。
[00:37:26.599] いや、ちょっとなんかでもこれもう
[00:37:31.680] どこ拠点にするとか決めずに来ちゃったけどいいのかな?拠点とか何も決まってないんだけど大丈夫かな?
[00:37:45.560] これ大丈夫か?これ拾と橋さえ作ればまあまあまあまあ
[00:37:53.000] ボでもまだ気に足りないよ。僕がいるっていうのがいいか。ちょっとドア作っとこうかな。
[00:37:59.160] オ
[00:37:59.520] ああ、でももうドア作れない。作れる、作れる。
[00:38:01.839] 違う。あれどうやってやるんだっけ?全てきて。
[00:38:06.680] あ、こんだけあれば作れるよね。
[00:38:08.280] 間違って、間違って木作っちゃった。
[00:38:10.440] え、こうだよね。オッケー。ま、ドア作っとけばね、いくらでも引きこもれますからね。
[00:38:14.880] そうね。
[00:38:15.440] オッケー。オッケー。あ、銀のインゼルおめでとう。間に合った。ありがとう。
[00:38:20.839] あれ?チまさんが立ち尽くしてる。
[00:38:22.280] ちょっとね、今ね、それ作業台作って。
[00:38:25.400] ああ、なるほどなるほど。
[00:38:26.560] これでもさ、どこ、どこ、みんなもうバ、みんなもうさ、
[00:38:30.240] みんなもうバラバラになっちゃったよな。
[00:38:32.040] 木を求めてバラバラになっちゃった。
[00:38:33.240] いいのかな?いいのかな?この辺戻ってこれんのかな?みんな
[00:38:36.240] これ怖い。さしさん、こんにちは。来てくれてありがとうございます。ちょっと肉も確保しとくか。
[00:38:43.839] もうバラバラなっちゃってんの。えぐいな。だいぶえぐいな。
[00:38:49.760] ちょっと待ってね。
[00:38:51.599] 最初はさ、最初はまとまてこうしたかったじゃん。こうで
[00:38:57.839] 最初は
[00:38:58.839] ちょっと待って。全然全然あの
[00:39:02.040] はい。
[00:39:02.960] 集中しちゃって。
[00:39:04.760] 集中しちゃ。あ、いい。
[00:39:06.400] 集中しちゃうよな。
[00:39:08.200] でもはぐれちゃったな、完全に
[00:39:10.200] ね。ねえ。
[00:39:11.560] あ、な、
[00:39:11.880] みんな戻ってこれんのかな?
[00:39:14.240] いや、もう戻ってこないでしょう。
[00:39:16.839] いや、もうそれ
[00:39:18.240] 合流できない。
[00:39:18.920] それもうやばない?
[00:39:20.680] 行っちゃうか。次は石だな。石もないんだよね。とりあえず的にはこの空洞も怖い。絶対入ったらスケルトンいる。
[00:39:29.359] とり、とりあえずこうで
[00:39:30.440] ただ豚がおるな。
[00:39:32.200] とりあえずそう、ベッド作んねえとな。
[00:39:36.680] あ、さ、盾ってどうやって作んの?みんなこれ盾ってどうやって作んの?みんな盾ってどうやって作んの?
[00:39:43.160] 盾ってどうやって作んの?みんな
[00:39:44.400] 手が震えるんだが本当に
[00:39:46.160] こう
[00:39:47.800] ね。盾てどうやって作の?5
[00:39:49.040] 分で解散だよ。本当によろしくお願いします。
[00:39:53.240] お水のこんにちは。え、盾ってどうやって作んの?みんな。あ、鉄が必要なの?それは無理だろ。言えない。
[00:40:04.800] いや、いいって。え、待って。エンダーマンいたぞ。ちょっと早いって。あ、い
[00:40:13.200] エンダーマンいるって。う
[00:40:15.560] わあ。
[00:40:16.520] エンダーマンおるて。
[00:40:18.680] 目合わせたら死ぬぞ。
[00:40:19.920] やばいって。あ、豚や。
[00:40:24.800] ちょっとごめんな。ごめん、ごめん。弱肉強食やから。
[00:40:28.520] ト食いだ。
[00:40:29.640] と食いだ。
[00:40:31.640] おい、なんだ今?と食いだって言ったな。あ、覚えとけよ。覚えとけよ。マジでと食いだ。しかもなんかあのさり際に言ってたな。
[00:40:56.920] 危ね。あ、え、これからも行ける。これからも行ける。これからも取れる。これからも。あ、あ、やだ、やだ。でかくなった。でかかった。でかかった。よしよしよし。でも同じ色じゃないとダメなんでしょ。ねえよ、マジ。
[00:41:13.079] いや、これ羊おらんぞ。
[00:41:17.040] 羊。
[00:41:18.599] 1個ゲットしたよ。んう
[00:41:19.920] ん。
[00:41:20.960] 羊毛1個だけゲットした。
[00:41:23.520] みんなと
[00:41:24.400] あれなんだよね。同じ色じゃないと。
[00:41:27.839] あ、そうなんだ。
[00:41:28.560] そう。ベッド作れないんだよね。
[00:41:30.319] あ、知らなかった。
[00:41:31.560] これ多分みんなさ、これ絶対戻ってこれねえだろ。
[00:41:35.480] 戻ってこれない。これ絶対。
[00:41:37.400] お、人の声がする。
[00:41:38.400] 目の夜どうなるんだ?
[00:41:39.400] これなんだろう?
[00:41:40.440] いや、マジで。
[00:41:41.079] ごめ、ごめん、
[00:41:41.960] ごめん。作れない。作れない。作れない。これ何?何?
[00:41:44.440] Z
[00:41:44.880] でもすごい。
[00:41:46.720] え、すごい早。
[00:41:47.359] これさ、なんかどっかさ、とりあえずさ、とりあえずさ、壁に穴掘ってさ、多分
[00:41:52.440] 1晩1
[00:41:53.119] 番目にさ、無理でしょ。全員がベッド手に入れんの?
[00:41:56.280] どう?壁に穴掘って扉作って
[00:42:00.760] ドアあります。
[00:42:01.960] とりあえず
[00:42:03.079] あれだよね。あの、とりあえず
[00:42:06.440] 全員が避難できるとこ作っとかないと。
[00:42:08.560] そう、みんなで穴に引きこもろう。
[00:42:11.680] 資材を持ち寄って。ちょっとよかった。
[00:42:14.040] なるほど。え、待って、待って。え、なんかベッドは無理や。
[00:42:17.160] なんか
[00:42:18.040] ベッド無理だと思う。
[00:42:18.960] うん。あ、石になっちゃった。
[00:42:20.400] お、石だ。がります。
[00:42:21.920] いける。ガチってる。ごめ。ガチってる。ごめん。
[00:42:24.960] お石代を達成し。い
[00:42:26.920] 初めてガチってるわ。
[00:42:27.880] ちょっとくぞ。くぞ。
[00:42:29.319] 簡単だけど。もうね。
[00:42:30.480] ドア、ドアつけちゃうよ。使っていいよ。最っていいよ。
[00:42:33.240] あ、間違えた。石つけちゃった。アホ。
[00:42:36.319] とりあえず
[00:42:38.119] ドアつけます。
[00:42:39.040] はい。
[00:42:39.359] ほい。
[00:42:40.640] チマさんの後ろドア。
[00:42:42.319] ありがとう。
[00:42:43.119] おお。
[00:42:43.720] お。石炭もいいぜ。
[00:42:46.359] 待て。
[00:42:46.640] それあ、でもなんかみんなの声がう、
[00:42:49.480] みんなの声っすら来て。
[00:42:52.960] 石炭ナイス。
[00:42:53.960] 石炭ナイスだね。いいとこに作れるな。
[00:42:56.920] うん。
[00:42:58.440] 作れ
[00:42:59.280] やりました。ボタンが出てなかった時だった。
[00:43:02.800] お、いいぞ。で、
[00:43:04.800] え、ハードコアてゾンビが扉破ってくる。
[00:43:08.319] いや、破ってこないんじゃない?ます。あの扉
[00:43:13.760] え、破ってくるの?
[00:43:15.319] え、でも気づかれたらでしょ?
[00:43:17.160] え?
[00:43:17.400] うん。
[00:43:18.160] 別のドアだったのが大丈夫だった。
[00:43:20.599] やばすぎるやろ。マジかよ。
[00:43:22.520] やってますけど。なってきた。
[00:43:24.559] やばい。
[00:43:24.920] フラグなってきた。
[00:43:25.680] とりあえず今ここみんなみんなここ。みんなここ
[00:43:33.680] とりあえずここにサンキュー。マジでサンキュー。
[00:43:39.319] あ、ごめん、ごめん、ごめん。怖い、怖い、ごめん、ごめん。
[00:43:41.359] ただただあの木の扉はゾンビに見つかると壊されるらしいんで。
[00:43:45.960] ハードモードは外に出る時注意ね。
[00:43:48.200] そんなことある?気づかれなければ大丈夫。
[00:43:50.400] ベッド1
[00:43:50.640] 個だけ作るよ。ベッドベッド作った。ベッド作った。
[00:43:53.559] ベッド1個だけ。1個だけ。
[00:43:55.400] みんなで代わり番で寝るしかないな。メンダルだ。
[00:43:59.520] みんなで代わり番で寝るしかね。
[00:44:01.040] 1
[00:44:01.119] 人ベッド持ってるやついるぞ。
[00:44:03.040] メンタルだけ。
[00:44:04.200] 代わり番号でいいんだ。
[00:44:06.119] いや、変わりバじゃ意味ない。
[00:44:09.480] あれ、ここ4、
[00:44:11.079] とりあえずここにあの入ってるな
[00:44:13.240] んだっけ?作った。あれ?
[00:44:15.000] 123123。
[00:44:16.559] い、もう私白が
[00:44:18.520] 2個あるんですけど、
[00:44:20.119] 誰か白1個。
[00:44:21.119] 俺茶色しかないな。け、
[00:44:24.119] どうやってればいいんですかね?
[00:44:25.800] いや、もらっちゃったかもしんない。あ、
[00:44:27.119] 2
[00:44:27.240] 個もらっちゃった。めっちゃ仕事してんな。
[00:44:29.040] タンぽポ拾って。
[00:44:30.520] タボも拾って黄色の線量を作れば
[00:44:35.319] えてかさあれ
[00:44:37.440] 島村さん
[00:44:38.440] 茶色とか黄色にしちゃえば黄色さんいない
[00:44:42.200] やばい島村さんあれだ
[00:44:44.440] あ確かにどこ行った
[00:44:45.800] やばい
[00:44:47.400] 松いやろ
[00:44:51.319] 北ちゃんがついてればま
[00:44:53.400] た
[00:44:54.040] 確かに確かに
[00:44:55.040] 太郎さんがいるのか
[00:44:56.200] やってもいいや
[00:44:58.240] あ、ナイス。オッケー。
[00:45:00.240] 掘っちゃおう。
[00:45:00.920] あ、よかった。よかった。
[00:45:01.760] お肉あるぞ。お肉
[00:45:02.839] とりあえず。
[00:45:03.920] あ、私も。あ、一
[00:45:04.960] 晩は過ごせそうだね。
[00:45:06.240] お肉。
[00:45:06.920] 確かに。
[00:45:08.079] あの、もうバイバルだ。
[00:45:09.280] しょっぱなからサバイバルしてんな、俺た。
[00:45:11.000] とりあえず
[00:45:11.800] 終わることはなくなったね。
[00:45:13.800] お、1晩は生き残れる。
[00:45:15.440] よかった。よかった、よかった。
[00:45:16.920] ナイス。
[00:45:17.599] よかった。よかった、よかった、よかった。
[00:45:18.880] あ、そっか。これ石か。
[00:45:19.920] うん。
[00:45:21.119] よかった。よかった。いいね。いいね。
[00:45:22.520] よかった。よかった。
[00:45:23.559] うん。
[00:45:23.839] 掘りましょう。掘りましょう。
[00:45:25.240] イエーイ。
[00:45:26.240] イエイ。
[00:45:28.640] ちょっと広くしとこう。
[00:45:30.040] ていうかない人もちょっとなんか気になるけど。
[00:45:32.119] 怖いよね。
[00:45:33.119] 怖いな。
[00:45:33.800] どこ行っちゃったんだ?
[00:45:34.599] ま、きたちゃんがついてるから大丈夫だと思うけど。
[00:45:37.599] あ、うん。ない。
[00:45:39.440] 多分どっかで同じようにあれしてんじゃないかな。
[00:45:43.520] もうなんかツパ作れるかな?
[00:45:45.160] これちょっとこれ土はなんか穴開けちゃいそうで怖い。大丈夫?お肉、お肉、
[00:45:49.559] お肉あるよ。お肉、お肉。
[00:45:51.400] ちょっと肉焼こうか。
[00:45:52.839] 肉焼こう。肉。
[00:45:55.800] お腹空いてる人いるか?これ
[00:45:57.400] まだお腹空いちゃうね。結構人はすごす。ちょっといいな。あれ?
[00:46:07.960] こんにちは。ハドライブさん
[00:46:10.680] 寝てるってことはあの2
[00:46:11.839] 人は寝てるってことでしょ?そんなこと?
[00:46:13.559] あ、そういうことか。寝てるんだ。
[00:46:15.960] 掘って溶岩が出てき。
[00:46:17.400] もう1
[00:46:17.680] 人寝れば寝られるんじゃないの?これ。
[00:46:20.760] みんなちゃんとしてるからね。
[00:46:22.400] 寝られないのか?
[00:46:23.160] あれがねえんだ。うん。あともう1個。
[00:46:25.760] もう1人。
[00:46:26.480] これあともう1個ですね。
[00:46:28.599] もう1個か。ここで
[00:46:31.200] 24時間。
[00:46:32.599] 違う。24
[00:46:33.200] 時間過ごすことが目標なんだってエンダードラゴン倒すのが目標ね。
[00:46:37.440] の羊毛を持ってる人いるかな?
[00:46:39.359] 確かにあるんだけど。
[00:46:40.440] 石のツ橋やけ
[00:46:41.760] んか。
[00:46:42.160] そうだね。
[00:46:42.480] 石の橋
[00:46:43.200] 茶色の羊毛なら持ってるよ。
[00:46:45.240] 羊毛ない。
[00:46:46.000] あ、作業台ある。
[00:46:46.760] あ、残念。
[00:46:47.319] 色が揃わないとね。
[00:46:48.480] 作業台。作業台。
[00:46:49.599] そう。
[00:46:50.520] 作業台。みんなの作る橋。あ、
[00:46:52.640] 作業台。今ある。
[00:46:54.160] 今あります。
[00:46:54.720] みんなに内緒に肉めっちゃもらった。
[00:46:57.200] 1人1
[00:46:58.200] 人ついてるから誰か寝てる。誰か寝てる。
[00:47:01.520] よしよし。けない。そうなんだ。
[00:47:03.839] いいね。面白さんこんにちはです。ありがとうございます。
[00:47:07.960] はさんこんばんは。ありがとう。
[00:47:09.400] えっとハートね
[00:47:11.160] みんな喋ってるの?終わった。本の配信も終了というのでやってませ。
[00:47:16.240] 松ある。
[00:47:16.559] よいしょ。
[00:47:17.520] 松明どこだ?
[00:47:18.160] うん。作っちゃえ。
[00:47:19.400] いいね。とりあえずとりあえず一晩過ごせて。マジ終わった。
[00:47:22.040] いや、ごめん。
[00:47:22.559] 意外に意外に死ななかったわ。
[00:47:25.000] 良かったね。
[00:47:25.920] ナイス。
[00:47:26.280] 俺マジでマジで2
[00:47:27.559] 人ぐらい初日死ぬと思った。
[00:47:28.920] ね。病で死ぬと思ってたから。
[00:47:31.760] それだぶ減ってますよね。もうなんか島村さんたちがどう過ごしたのか気になすぎる
[00:47:37.280] ねえ。マジで
[00:47:38.240] 確かに
[00:47:39.880] 壊れた。
[00:47:40.559] 死の配だったら余裕で死ぬよ。そに取り残されたらよいしょ。
[00:47:45.119] うん。作っとこう。
[00:47:46.720] いや、ロボは単鉱になりた。そういえば役割分担なんてできなかったな。
[00:47:50.880] 確かに無理だ。それは大体やりたいそんなになりみたいな感じなんですかね。そ、うん。そうだね。隣の島に桜の木がいっぱいあって屋根にあるじゃん。
[00:48:05.800] 大丈夫す。
[00:48:06.359] とりあえずチェスト、チェスト作ったからに
[00:48:09.119] サンキュー
[00:48:10.200] 色々入れときますわ。いらないもん。ま、もうほぼほぼゴミ箱扱いだけど。
[00:48:15.720] あともうなんかダイヤ取り行こうとしてますやん
[00:48:19.280] だっけ?何が必要だっけ?な
[00:48:21.640] んだっけ?
[00:48:22.760] 1
[00:48:22.880] 人消えれば今のベッドの数で足りるな。意
[00:48:25.240] 外に来たぜ。意外に
[00:48:27.640] 1
[00:48:27.760] 人消えば今のベッドの数で足りる。
[00:48:29.760] 朝開けてますかね?
[00:48:32.359] まだですね。まだです。
[00:48:33.920] まだだね。まだ全然外暗いは
[00:48:36.000] こんにちはです。ありがとう。
[00:48:38.440] 来てくれてありがとうございます。
[00:48:40.079] 石炭欲しいな。パになろうとしています。パ襲わったからね。
[00:48:44.000] あれ?結構高い場所だな、ここ。
[00:48:46.720] あ、石。
[00:48:47.400] あ、場所どこですか?よいしょ。座標。
[00:48:49.720] あ、座標がね。
[00:48:50.680] 座標が
[00:48:52.480] 大丈夫です。
[00:48:54.720] なんかブツブツ
[00:48:56.200] ブツブツなんか言ってるけど。
[00:48:59.280] 大丈夫か?
[00:49:00.520] なんかすげえブツブツ言ってるけど。
[00:49:03.160] めっちゃ武器。
[00:49:05.000] うわ、こっから掘りに行くのか。欲し
[00:49:07.520] 武器欲しいか。
[00:49:08.480] これ任せちゃう。
[00:49:09.319] みんなスキン可いいよね。みんなスキン可愛い。
[00:49:12.680] これ単鉱行く予定ですか?
[00:49:14.960] これいいよね。作ってもらったんだよ。これ
[00:49:17.799] 欲しいなって。
[00:49:19.160] あ、確かにね。
[00:49:20.359] ちょっとじゃあお任せします。そこら辺。
[00:49:22.799] じゃあ石の
[00:49:23.440] お猫が作ってくれたとな、これ。
[00:49:25.760] よいしょ。
[00:49:26.079] え、詳しいね。練習したから
[00:49:29.119] 1週間。
[00:49:30.200] あ、たまさん、こんにちはです。ありがとうございます。やっ
[00:49:34.359] 本
[00:49:34.799] ごめんね。みんなあのコメント読めなかったらほとんど読めてないんだけど。ごめんね。
[00:49:39.559] 私階段堀実は苦手なんです。
[00:49:41.520] スタート。
[00:49:41.880] え、
[00:49:43.359] ここ階段に来た方がいいかな。なん作った方が体力っちゃう。
[00:49:47.799] 減らないからいいって言ってた。
[00:49:49.040] またみんなでマイクラやりてえな。
[00:49:51.520] なるほど。
[00:49:53.119] ジャバ版と版違うんだな。
[00:49:55.720] どうしよう。
[00:49:56.720] あ、こちた。
[00:49:57.720] 皆さん、あの、外出ても
[00:50:00.599] はい。
[00:50:01.079] ゾンビとか残ってたり
[00:50:03.359] はい。
[00:50:04.799] クリーパーはそもそも朝日で死なないし。
[00:50:07.880] 確かに
[00:50:08.359] 木のか、木の、
[00:50:09.520] え、死なないの?
[00:50:10.880] そう、火の影とかで火の光が当たんないとスケルトン生きてたりするんでなっても油断しないでください。
[00:50:18.640] マジでスケルトンやばいからね。
[00:50:20.760] マジやばい。マジやばい。
[00:50:21.839] スケルトンなんかダメージに村があるらしくて
[00:50:25.160] 1から5
[00:50:26.200] ハート減らせられちゃう。減らちゃうからクリーパーもしない。
[00:50:30.400] なんか俺こないだ1人でやってる時さ2、
[00:50:33.040] 3発耐えたのに半分以上
[00:50:35.240] 1発で持ってかれて
[00:50:36.680] 怖。なんかうわ、
[00:50:38.839] 1
[00:50:39.040] から5とかってのが聞いたな。
[00:50:40.559] て何がいいんの?
[00:50:42.359] これだ。ヘッドショットってあんの?自分たちってヘッドショットある。すごい。
[00:50:46.680] エドラゴンヘッドショットあるって聞いたけど。
[00:50:49.400] やべ、これ上掘るの怖いんだけど。
[00:50:51.119] 上はやめた方がいいかもね。砂、砂とかで
[00:50:53.960] マグマ出てきたらさ、うわって。まあ、でもここだいぶ座標からね。どうなんだろうね。
[00:50:59.880] 大丈夫。さすがに大丈夫か?
[00:51:01.079] うん。あと多分マグマはなんかポタポタ垂れるんじゃなかったっけ?なんか
[00:51:04.960] そう。確かに。
[00:51:05.599] あ、わかんないけど。ごめん。
[00:51:07.599] 出してたら溶岩の
[00:51:09.839] 魔女に魔女怖すぎる。
[00:51:13.839] ごめん。
[00:51:15.520] ごめん。ちょっと内緒にして欲しいんだけどさ。
