[00:00:36.879] バンはどうした
[01:43:32.520] 一方通行扉にだけ注目する価値ありそうです。
[01:43:36.440] いや、まあそうなんだろうな。やっぱそこがあれだよな。こう味そだよな。このステージのとりあえず下行くと壁されちゃうから壁で破壊あれやられちゃうからちょっとここよく見ておこうかな。まあまず鳥マだろうな。
[01:43:57.480] 鳥マ石コ帽子呼んでお前が消えんの1回
[01:44:01.199] 待つわ。1回消えんの待つ。お前が来る
[01:44:03.560] べきのはこっちだ。あ、その前にあの
[01:44:06.639] ゾンビを倒すのをあれしないとな。
[01:44:09.679] 1回アイテム何も使わずに拾えるところは
[01:44:12.320] 拾って回りたい。
[01:44:16.320] 結構こいつ消えるの街が結構ね。
[01:44:25.159] あいつこっち来てくれるし。
[01:44:28.880] オ、ほんであいつがここ落ちてくる。
[01:44:36.080] あれ?
[01:44:38.239] うわあ。
[01:44:40.480] あ、まずったか、これ。
[01:44:43.800] まあ、いいよ。紙回避すればいいだけだろ
[01:44:45.400] 。
[01:44:47.040] うますぎ。あれ?帰れなくない?いや、
[01:44:49.000] 帰れるわ。いや、ちょっとお前、ちょ、
[01:44:50.719] お前、お前、お前、お前、お前、お前。
[01:44:58.280] はい。うますぎ。
[01:45:01.239] うますぎ。
[01:45:07.599] ルクルクルクうますぎるんルうますぎるんルうますぎるんルクルクルクうますぎるんルこちゃうか開けるのここなんちゃうか
[01:45:23.440] アクションをするものはアクションパズル
[01:45:25.639] そうなんよ結局このアクションパズルってアクションもできなきゃいけないんだよね結局ね
[01:45:36.840] アクションの神
[01:45:38.560] アクションは任せてくれ。あとはあとはだここ下行っちゃっていいか?下行ってみよっか。
[01:45:51.920] ここ
[01:46:11.239] いやあ、でも待って。どう?あら、あら。
[01:46:16.199] あれ?あ、あれ。はあ。だめだ。
[01:46:19.920] だめだ。あら。いやあ、なんかちょっとで
[01:46:24.440] もちょっと掴みかけたな、このステージ。
[01:46:26.800] 掴みかけてはいる。でもあいつ持って
[01:46:29.239] こうごめん
[01:46:37.920] 。ちょっとちょっとおしっこしきていい?
[01:46:39.560] ごめん。ちょっとおしっこしくるね。
[01:46:41.320] ちょっと待って。ダブル
[01:46:43.800] やんだよ。もうでも掴みかけた気がする。
[01:46:47.400] ちょっとおしっこだけしてくる。ちょっと
[01:46:48.719] 待って。
[01:46:53.239] ちょい待ち
[01:46:59.239] やにまどブー
[01:47:06.440] さん
[01:47:36.080] 。
[01:48:27.199] 気合いで乗り切ろうとされましてもダブル
[01:48:29.880] 王の谷エルギーザの封印ムスックスに
[01:48:33.520] キングSバッレイ
[01:49:46.040] 久しぶりに踊る子ダック見たいけどどこ行ったんだあれ?
[01:49:49.719] ういよいしょ。何吸ってないよ。久しぶりに踊るコタック見たいけどどこ行ったんだ?あれ?あるよある。久しぶりにあるんだけどさ。あいつもなんかぶっ壊れてる。動かれて
[01:50:02.920] 10年ぐらい動くから。
[01:50:09.679] あ、そう。よく見え。そ、棚にあるんで。あ、いるんで。確かに。あ、
[01:50:15.800] 過し
[01:50:17.159] 動く。
[01:50:17.960] ゆっくり越し気味のこだっ。笑。
[01:50:22.000] 置いとくべ、こいつ。じゃあ俺
[01:50:25.360] かいい。これよ。
[01:50:29.239] なんか異、ガチャガチャ異がする。可愛いし、これ
[01:50:33.159] 神曲。
[01:50:35.639] ねえねえ
[01:50:40.440] ね。あ、確かになんかこれさ、便所行く時
[01:50:43.119] にさ、便所とか汚い形トイレ行く時にさ、
[01:50:46.320] ここになんかトイレ行ってますみたいな。
[01:50:48.800] こうやってこうやって確かいい。それに
[01:50:52.199] しようかな。それにしよう。こいつ
[01:50:53.960] ちょっと君はじゃあここにいなさい。君は
[01:50:57.639] ここにいなさい。
[01:51:00.840] 懐かしさ。
[01:51:05.079] なぜかチマさん、俺がトイレ行ってる間に
[01:51:08.000] こいつが踊ってる時のが同説高いんだから
[01:51:09.880] 。
[01:51:11.880] ふざけやがって。
[01:51:14.480] よし、行くよ。じゃ、もう続きやるよ。
[01:51:16.960] あそこクリアするよ、俺。もう。あれ、
[01:51:18.920] コントローラーとかった。
[01:51:25.599] えー、やります。
[01:51:30.280] はい。
[01:51:32.480] ねねねねんねんねんねんねねんねんねん、これあれだっけ?ちょっと待って。俺がこの
[01:51:43.520] 1
[01:51:43.639] 番最後に保存してあるのってこれであってる?ここのやつか?
[01:51:49.320] アパベジフジ。
[01:51:51.840] あ、アパベフジ。あ、あ、そっちだっけ?
[01:51:53.520] あ、それだっけ?1個前じゃなかったっけ
[01:51:56.040] ?
[01:52:04.639] アパ、アパジフジ
[01:52:11.880] あれだっけ?
[01:52:12.960] いやわかんない。も忘れた。あ、あってる
[01:52:14.880] 、あってる、30台だ。あってる、
[01:52:16.119] ありがとう。あってた。
[01:52:20.079] 多分もう速攻でやんないと岩転がってくる
[01:52:22.679] から。岩が転がってくるから
[01:52:28.199] あいつが生まれるでしょ。ただいオで岩が
[01:52:32.159] 生まれる。ここまでは絶対合ってると思う
[01:52:34.840] んだ。
[01:52:38.040] 岩転がってくる。落ちる落ちるからの
[01:52:40.480] はいや
[01:52:43.239] 、あいつあいつじあいつじいや、あいつ
[01:52:45.440] 邪魔やなお前。うわ、こっち来るかい?
[01:52:51.360] は、オ高転換できねえからな、あいつは壁
[01:52:54.840] にぶつかるまで
[01:53:02.440] とりあえずここは100%あってるはず。
[01:53:04.280] これはこれでいいはず。ここ取る。
[01:53:09.599] え、だってこんなさ、このハンマーどう
[01:53:12.119] やって取んねんて話なんだけど。
[01:53:19.800] いや、消えちゃうんだね。消えちゃうんだね。さよなら。
[01:53:35.040] サラサラサラサラ。粉になって消えてった。ほなまた。ほんでほんでよ。
[01:53:44.599] 柴え
[01:53:46.360] 何それ?柴タリエのそんなのあるの?ほんでうーん。
[01:53:59.159] うーん。さあ、どうだと思う?これどうだと思う?みんなサラサラサラ
[01:54:13.560] サラサラ。
[01:54:15.199] いや、こ、あえてこっちかな?いや、ここだって壊してやらんと結局壊してやらんとこれ通れないからな。ここら確実。
[01:54:31.000] あ、割と
[01:54:33.400] 割といい線行ってると思うんだけど、これ
[01:54:35.079] どう?
[01:54:43.239] ああ、あれが取れねえなあ。
[01:54:53.280] あ、でもこっちか。
[01:54:59.480] いや、これいい線行ってんちゃう?いい戦
[01:55:01.159] 行ってんちゃう?もう分かったよ。これ
[01:55:02.760] こうでしょ。
[01:55:06.320] はいはい。あそこしまっていいよ。もう
[01:55:07.679] 行かないからね。
[01:55:10.360] いや、絶対こうやん。おいおいおい。いい
[01:55:12.360] 線行って。おいおいおい。
[01:55:15.800] あれ?これ行けるじゃん。
[01:55:24.840] すっご。
[01:55:25.719] おいおい。スピードクリアだよ。おい。
[01:55:35.000] ああ。
[01:55:37.840] ええ。
[01:55:43.400] ダブル。
[01:55:49.079] ああ、分かった。だから1番最初取り行か
[01:55:51.320] なくていいんだよ。1番最初取り行く必要
[01:55:54.159] ねえよ。それなあ。1
[01:55:56.880] 番最初取りに行く必要なくないだから
[01:56:06.119] 諦めなければ
[01:56:10.440] えさ、さっきどうにかなる可能性あった。え、どうにかなる可能性あった。
[01:56:19.000] さっきの
[01:56:21.280] どれだっけ?
[01:56:24.320] アパ、
[01:56:27.480] アパ、あ、アパ、あ、あ、どれだっけ?
[01:56:32.280] アパージェフ。
[01:56:47.719] うーん。まあでもなんか分かったような。
[01:56:51.440] だからあっち側の扉はもう
[01:56:54.480] あっち側の扉はもう
[01:57:06.000] あっちの石取らなくていいんだよ。後から
[01:57:07.520] どうせ行けばいいんだから。
[01:57:13.400] いや君こそしたら君邪魔やね。そしたら君
[01:57:16.480] 邪魔やね。
[01:57:31.920] はい。
[01:57:37.079] どうせあれ最後に拾拾えるんだからいいん
[01:57:39.280] だよな。最後に拾えるからな。
[01:57:52.400] あ、ここめっちゃ簡単じゃん。ここ
[01:57:54.760] めちゃくちゃ簡単じゃん。
[01:58:04.320] え、めっちゃ簡単じゃん、ここ。
[01:58:07.840] これで終わりだよ。
[01:58:12.400] いや、邪魔、邪魔、邪魔。
[01:58:22.159] ね。
[01:58:23.800] 邪魔だよ。オ。うえ。
[01:58:44.000] ええやん。
[01:58:49.599] イエス。
[01:58:53.760] よしよしよしよし。オッケー。オ。うま。
[01:59:00.400] え、ちょっと待って。ちょっと待って。
[01:59:01.679] お前、お前邪魔だよ。
[01:59:04.920] お前邪魔でゴールできねえよ。うまいやろ
[01:59:08.119] 。どう考えてもうまいねん。
[01:59:19.000] 空気読め。
[01:59:21.199] え、本当だよな。よし、オッケー。空気読んでいなくなってほしいわ。あの、あの岩のやつ。オ、
[01:59:31.239] 30クリアですよ。
[01:59:32.840] ぐーぐ。
[01:59:33.719] 半分機。ああ、また見てなかった。なんかこの曲にも使われてるらしいよ。
[01:59:43.480] エルギーザの封印で解き放たれたものは茶まげの才能だった。
[01:59:47.679] あいつな何て名前なんだろうな。茶げ才能ありすぎてな。この
[01:59:51.280] BGM良すぎてなんかドラキュラの
[01:59:53.719] DS
[01:59:54.040] のやつに使われてるらしい。俺配信でやったけど覚えてねえや。あいつなんて名前なんだろうな。あいつのあいつの名前判明しました。ロックロールです。ロックロールだって。
[02:00:11.119] ロックロール
[02:00:12.280] かっけ
[02:00:12.880] かっけえ名前してんな、あいつ。ディルリンンドんルロケロ早かった。
[02:00:34.159] 回転する岩で面白いですね。
[02:00:36.560] はあ。
[02:00:38.639] ロールがロックがロールしてるからな。ま、鳥マこっから行くでしょ。
[02:00:49.000] ああ、コナミなんだね、このゲーム。
[02:00:51.079] そうだよ。そう。コなミ。コなミで曲があまりにもいいから悪魔女ラキュラのなんだっけな。ギャラリーオブラビリンスだっけ?
[02:01:01.159] DS
[02:01:01.520] のやつに使われてるらしい。配信でやったけどどこで流れてたか全然覚えてない。
[02:01:08.000] 多分あのあれだと思うんだけどね。あの
[02:01:10.480] ピラミッドのうわ、そこ閉まるんかい?
[02:01:13.079] ピラミッドのとこかなと思うけど。
[02:01:18.920] ほんでこのドリルをどこで使うねんって話
[02:01:21.040] ですわな。
[02:01:38.880] これドリル取んねえ方が良かったんじゃ
[02:01:40.440] ねえかな。
[02:01:48.719] ごめん。1回死ぬ。これ分かった。もう、
[02:01:50.040] もうここ俺ここ分かったわ。ここ。うん。
[02:01:51.800] 分かった。分かった。わかった。簡単。
[02:01:52.760] 簡単。ここ簡単。
[02:02:03.320] カのターンカのターン。
[02:02:16.719] いや、これドリル取らない。
[02:02:19.280] ドリルいらないよ、ここは。
[02:02:28.040] ああ、登れないんだ。ぬぐぬぐぬるぬ。
[02:02:31.239] 登れな。登れな。ルんルるルんルん。登れ
[02:02:34.320] ないんかよ。そうか。
[02:02:35.960] ここ登れねえんか。そうですか。ジャンプしてつめよ。ジャンプしてはしごつか。もうジャンプしてはマークジブ。
[02:02:48.119] うーん。有能。有能ありがとう。めっちゃのめんの忘れるわ。める。めるというじじしか使わない同詞。しめる。
[02:03:08.599] しわしわ。もう今言わないでしょ。しめるって。俺たちは言ってたんだよな。俺たちは写め写メ世代だから。
[02:03:24.000] あの頃は良かった。
[02:03:25.400] シャメール。いや、みーちゃんはでもさ、スマホ世代でしょ。
[02:03:32.119] 1
[02:03:32.320] 番最初の携帯スマホでしょ。どうせ俺とかいもことかは多分ね。
[02:03:39.079] せやね。
[02:03:39.840] そうだよね。ガラ系触ってないでしょ。俺とか。物は今もこは多分ギリギリ触ってると思うんだよね。ガラ系の文化だからな。しゃめ。
[02:03:53.559] おばあちゃんのガラ系触ってた。
[02:03:55.320] あ、おばあちゃんのガラけ。これさ、ギリギリ攻めて取れない?
[02:03:57.760] 逆パか。
[02:03:59.920] うわ、取れるんだ、これね。これ成功法な
[02:04:02.840] の、これ。これ成功法なの、これ。これ
[02:04:06.599] 成功法。これなんかずるくない?今の
[02:04:12.639] なんかスタックしてるやついるし。あ、
[02:04:15.800] 多分ここ簡単。ここ簡単だと思います。
[02:04:18.840] 逆パカ。
[02:04:23.000] 俺はスライド形態だから逆パができなく。
[02:04:26.079] スライド携帯しで、あの真ん中のボタンが
[02:04:28.920] くるくる回るやつね。騎種名忘れたけど。
[02:04:44.520] ああ、ドリルいらねえんだ。ほっちゃ。
[02:04:53.320] この取り方がさ、これから成功法になっていくのかい?こんななんかちょっとずるいだろ、この取り方。
[02:05:07.880] いね。
[02:05:09.639] なんかでもあるからな。あの鳥ジャみたいな感じでさ、これ成功法じゃねえだろうっていう方法をさ。
[02:05:15.800] めだ。
[02:05:17.000] あ、やべ、消えた。あ、お疲れと。
[02:05:19.599] クリアしたもがちなの。
[02:05:21.000] そうだよね。だから、今あれもあ
[02:05:22.760] りってことだよな。要はな、
[02:05:25.960] もう簡単やん、こんなん
[02:05:34.599] して。
[02:05:40.920] ああ、だめだ。上開いてねえ。あ、
[02:05:45.639] ここを掘るんだね。ここを掘るための
[02:05:49.760] ドリルなんだな、あれ。
[02:05:51.199] 分かった。もう次で行けるわ。もう、もうマジで次で行ける。もう、もう、もう、もう、もう、もう、もう、もう次で行きます。次で行きます。こいぞ。ダブル大家の谷。
[02:06:00.960] Lたくさん作ってくれるからいいな。さんはな。い、
[02:06:08.000] さんのクリップはしかもこれゲームのタイトルとかも入ってて分かりやすくていい。
[02:06:11.360] やっぱ演技よ。
[02:06:12.599] やっぱ演技は演技が良いですよ。やっぱり演技がいいぞ。やはり。
[02:06:22.119] みんなもクリップ見てな。なんかさ、クリップにいいねする機能とか出て出たからさ。
[02:06:27.159] よくり。エンクリ。みんなエンクリ見てな。ま、それ以外の人のクリップもちろんだけど。あいつ邪魔なんだよね。あ、こ取っちゃおうかな。
[02:06:49.000] エンクリーただきました。ファイ。
[02:06:51.520] もう一周しよう。こいつ邪魔だから。エンクり。あのさ、キシーが本当に邪魔。
[02:07:23.040] で、これ持っていくんだな。
[02:07:25.840] なるほどね。
[02:07:30.199] ほんであのバカをどうするかだよな。なん
[02:07:33.599] かさっきたまたまスタックしてくれてた
[02:07:35.239] から。あ、今行ける。
[02:07:38.520] よしよしよしよし。あ、あ、ああ。
[02:07:41.239] ちょっと待ってよ。ちょっと待ってわあ、もうく。
[02:07:47.520] ああ。
[02:07:51.000] 行けそうだったな、今。え、もう
[02:07:54.360] 8時早くね。さっきもう
[02:07:58.960] 7
[02:07:59.159] 時って言ったばっかだと思ったのに。どれだっけ?これか。
[02:08:09.280] ムハマクジブ。
[02:08:11.320] ムはま、くじくじ部やっぱここまで来るとやっぱあれだな。
[02:08:26.559] 2日前のあの
[02:08:28.320] 2日前のさ、1回の配信でさ、
[02:08:31.920] 12
[02:08:32.360] ステージのあれだったよな。ここまで来ると
[02:08:36.400] 1ステジむずい。
[02:08:40.119] あのぴょンシー。あ、ちなみにあいつの名前ぴょンシーです。ぴょンシー。あのぴょンシーがうぜえな。終盤やばそう。
[02:08:50.079] 終盤どうなってくんだろうな。マジで
[02:08:51.880] 1日1
[02:08:52.520] 捨てになっちゃうだろ。お前もうさ、先に壊すわ。ここ先に壊す。
[02:09:27.280] めっちゃ簡単やん。え、めっちゃ簡単やん
[02:09:29.880] 。
[02:09:32.760] ええ。
[02:09:39.480] 最短ルート行ったんじゃない?
[02:09:44.040] ちょっとごめん。待って。あのぴょンシー
[02:09:46.079] がマジで邪魔。
[02:09:53.520] うまい。よし、行った。ほう
[02:09:57.079] 。
[02:09:58.880] そんでよ、俺知ってんねん。お前がいると
[02:10:01.559] ゴールできねえんだよ。
[02:10:02.679] 早消えろ。邪魔。もう
[02:10:22.119] ロックロールほんま
[02:10:23.400] オええやん。悪なんやん。
[02:10:41.639] あ、セーブしないと。セーブしないと。次
[02:10:44.639] はちゃんと自分でセーブするよ
[02:10:48.239] ね。このさ、iPhoneの写真むかつく
[02:10:50.079] んだけどさ、なんかさ、ちょっと5
[02:10:52.119] 秒間ぐらい動く写真になるのやなんだけど
[02:10:55.159] 。
[02:10:59.079] クーラーつけた。熱い。笑笑。
[02:11:01.040] うざない?あれ?ちょっとなんかお腹空いてきたな。夜ご飯食べようかな。どうしようかな。俺昼間ラーメン食べちゃったんだよな。まためんどいよ。とりあえず拾えるところ拾っていく。ここ
[02:11:22.280] 1面。あちゃやべ。あいつやべえぞ。
[02:11:34.840] ものすごい速さで、ものすごい速さであいつ行ったな。え?あ、あいつ
[02:11:44.040] 早すぎる。
[02:11:48.000] えっと、ちょっと待って。よく考えるよ。
[02:11:50.960] スピード。
[02:11:51.800] 超スピースピードだったな。
[02:11:58.760] あれどう取んだよ。
[02:12:01.920] あれ取るために絶対ドリル必要じゃんな。
[02:12:04.360] そしたらな。
[02:12:15.639] うえ。
[02:12:35.480] こっちかな?
[02:12:38.520] あ、こっちも行けねえのか。ああ。ん?あ
[02:12:42.719] 、じゃ、そもそもドリルあそこに使っちゃ
[02:12:44.280] だめだ。あ、オッケー。オリ。オッケー。
[02:12:48.599] リ
[02:12:53.960] んだけどなんか。
[02:13:00.119] ほんじゃあドリル持ってくよ。こっち
[02:13:07.639] 部屋25°
[02:13:10.199] 25°
[02:13:16.639] 進んだ
[02:13:18.119] 進んだよ。
[02:13:30.480] おしよしよし。うわ、なんか見て。ここ
[02:13:33.000] めっちゃアイテムある。
[02:13:36.679] アイテムあるが。
[02:13:47.239] いや、間違これさ、これが、これがシビア
[02:13:50.840] なのよ。間違えた。1回やり直そう。
[02:14:00.159] ただあそこの弾も取り行かなきゃいけない
[02:14:02.000] しね。どうするべきなんだあ。
[02:14:38.040] ベんべんべゲベゲべんべんゲブグゲブグべんあ、もう何やってバカたれ。ま、あれだな。弾と鍋べても最後でいいんだよな。
[02:14:59.920] しゃあなしゃあな。次行こ。
[02:15:01.840] ありがとう。ポジティブにな。
[02:15:11.920] 次あいつが出るの待つ。怖いから。
[02:15:19.960] あいつマジでさ、あの超スピードなんだよ
[02:15:23.360] な。
[02:15:25.239] 超スピード。あとさ、ここ気になるんだ
[02:15:28.320] けど。ここ。
[02:15:31.800] ああ。なるほどね。ここはここで。ここは
[02:15:34.440] ここでなんだ。
[02:15:54.000] ジャースは分かった。
[02:15:57.639] これ別に使うとこないやろ。てか待って。
[02:15:59.639] ここまだ知らないフロア。ここ3フロアか
[02:16:01.520] 。もしかしてひれ。いや、違うな。
[02:16:15.480] 道のエリア
[02:16:16.840] なあ。サンフロアだ。
[02:16:40.200] いや、むずいな。
[02:16:47.519] どこ掘る?
[02:16:57.439] いや、これスコップ持ってくんの間違えた
[02:16:59.399] かな?ここじゃない気がするな。
[02:17:08.399] ただこれね、自分の真下を掘れないんだよ
[02:17:11.519] 。このツハってそれが厄介なんだよな。
[02:17:17.359] 自分の真下を掘れないから。ただあの、
[02:17:19.519] あの弾取って下に抜けれるからさ。抜け
[02:17:21.679] られないんだよね。斜め下しか掘れないん
[02:17:24.840] だよ。それが厄介なんだよね。
[02:17:30.840] でもあのこれツハ使わんと
[02:17:40.399] ここ掘ってみるか。うわ、もうこれさ、
[02:17:45.800] ここが掘りたかったんだよ、俺。この判定
[02:17:49.679] キビって。
[02:18:27.160] え、意外と、え、なんか意外とあってね、
[02:18:29.439] これ意外となんか適当にやったけど行って
[02:18:32.519] ね。
[02:18:34.760] 行ってます。行ってます。
[02:18:37.840] は、
[02:18:40.559] おい、おい、おい、おい、おい。行って
[02:18:43.000] ますやん。
[02:18:47.000] あ、行ってねえや。終わった。
[02:18:50.240] 行ってねえや。終わったわ。
[02:18:54.080] いやあ、
[02:18:57.559] むず。オムズだな、ここな。ここオムズや
[02:19:00.599] ね。
[02:19:13.080] C
[02:19:15.080] AH
[02:19:18.519] F
[02:19:21.760] はい。
[02:19:30.599] さてさて。
[02:19:39.000] ま、ここ開けんのは多分合ってるっしょ。
[02:19:42.120] てか、さっきの、多分さっきんとこまでは
[02:19:44.240] 合ってると思うな。
[02:19:49.120] だって上の玉全部あ、でもここ結局拾って
[02:19:51.800] ないのか俺。
[02:20:02.760] ちょ、これ弾ちゃんと取ってこうぜ。あと
[02:20:05.840] 取りくんのめんどい。
[02:20:14.319] ただ、あの、この弾どう取るかだよな。
[02:20:37.720] ま、これこっから取んないな。
[02:20:48.840] うーん。
[02:20:50.920] ま、多分ここ掘らなきゃいけないでしょう
[02:20:52.800] 。
[02:20:55.600] このハンマーでさ、どうにかさ、さっきの
[02:20:57.880] やつ取れないか。
[02:21:03.280] 取れねえよな。
[02:21:20.399] このハンマーがなんかまたブラフな気が
[02:21:22.600] するな。
[02:21:41.200] いや、でもそうすっとな、取れねえんだよな。そうするとあの弾が
[02:21:52.000] 1
[02:21:52.120] 個取れないぞね。あれどうやって取るんだろう?
[02:21:54.840] アイテムによって掘れる量が違うのよ。
[02:21:56.960] そうなんです。こんばんは。そう。えっとね、ドリルとツハは
[02:22:04.280] 2マス掘れる。2マスというか、1
[02:22:05.800] マスというか。
[02:22:06.720] で、このシャベルと、え、なんだっけ?シャベルともう
[02:22:09.680] 1
[02:22:09.760] 個なんだ?え、ハンマーはこの表面しか削れねえんだな。これがまだね、大変なんですよ。ここういうところは喋るとかあれなんだよね。
[02:22:22.359] ハンマス掘れるんね。
[02:22:23.560] ハンマス。そう、そう、そう。これむずいなあ。またここむずいぞ。
[02:22:31.720] えっとね、要は今この俺の下に穴の下に
[02:22:36.000] あるさ、あの黄色い玉あれ欲しいんだけど
[02:22:38.160] あれを取るためには
[02:22:49.200] こっちどうなってたっけ?
[02:22:54.240] あの
[02:22:56.359] そうなんだ
[02:23:03.920] だから多分横からドリルでドリル持ってっ
[02:23:07.439] て横に穴掘っていくんだと思うんだけど。
[02:23:11.960] 思うんだけど。
[02:23:19.479] ちょっと待って。これマジでわかんねえ。
[02:23:26.920] だってここ出れなくなっちゃうよな。
[02:23:32.399] いや、このドリル持って行きたいのは山々
[02:23:34.880] なんだけど、これ使わねえとさ、これ使わ
[02:23:38.640] ねえとなのよね。
[02:23:44.800] ええ。
[02:24:02.120] いや、多分違うだろう。空中で掘れるなら楽なんだけどな。
[02:24:06.760] いや、掘れない。何?多分ね、ここを開けなきゃ多分次のステージ行かれへんから。
[02:24:21.359] このさあ、このゾンビもすげえ早くて
[02:24:38.000] ちょっと待って。ごめん。上どうなって
[02:24:39.680] たっけ?ここってどうなった?
[02:24:44.680] このツハも気になるなあ。
[02:24:49.279] このツハも多分どっかで使うんだろうなあ
[02:24:52.120] 。
[02:25:05.840] あってんのかこれ。
[02:25:26.640] あ、分かった。
[02:25:30.760] あ、分かってねえや。これ行けない。戻れ
[02:25:33.279] なくなっちゃった。
[02:25:35.520] 戻らや。ジャンプできないんだから。
[02:25:49.160] はあ。ドリルとかは投げれないのか?
[02:25:57.960] 投げれない。
[02:26:15.479] またしかもこれどうやっていくねんだじゃ
[02:26:17.399] ね?
[02:26:32.040] あれどうやっとんだよ。
[02:26:41.640] あ、ここには帰だるいよ。お前だるいよ。
[02:27:19.720] ええ、こいつがどうやっても取れない。
[02:27:39.240] ええ。お前だるいなあ。
[02:27:44.200] 足りぬ。
[02:27:46.080] 足りないね。はい。お前早い。お前早いねん。動きが。
[02:28:16.399] いや、足りない。
[02:28:19.640] 足りへん。
[02:28:21.880] 惜しいな。なんかあと1個なんだけどな。
[02:28:33.399] これどうするんだ?
[02:28:37.120] でも絶対だ。あれだよな。ドリル使うしか
[02:28:39.800] ないよね。ここね。
[02:28:47.479] むずいなあ。
[02:28:59.319] 多分ここのドリルじゃないと思うんだよね
[02:29:02.760] 。ここのドリルではないと思うんだよな。
[02:29:06.279] 使うの
[02:29:10.040] だって。ここは次のステージの扉を開け
[02:29:12.720] なきゃいけないから。ここここ掘らなあか
[02:29:15.000] んもんな。
[02:29:19.399] ここ掘んねえと何もできねえもんな。
[02:29:44.040] いやあ、こうだと思うんだけどなあ。
[02:29:51.800] ほんでここのアイテムたちを使ってどう
[02:29:54.600] するかって話なんすよ。
[02:29:59.000] 難しいな。どこかで節約できるんやろけど。わか
[02:30:08.640] いや、そうなんだよ。どっかで節約できるんだよ。
[02:30:29.000] で、多分ここは開けなきゃだめ。拾えないからアイテムが。
[02:30:33.720] ここら辺はしごの途中で横に穴は開けれるんだよね。
[02:30:39.479] いや、はしごの途中では開けれないんだよな、これ。
[02:30:43.920] はしごのはしごの途中で開けれる条件ってのがあって、はしごのこの登ってる姿の時には横向けないんだけどこの足場からはしごに乗ったところは行けるんだよね。分かる?足場からはしごに乗ったところはジャンプもできるし。
[02:30:58.840] なるほど。
[02:30:59.600] そうなんだよ。この途中ではもうね、動けないんだよ。
[02:31:06.439] ほうほう。
[02:31:07.439] でもこいつも拾わなあかんもんなっていう。
[02:31:16.000] あ、そっか。ここ掘っちゃうとダメなんだ
[02:31:18.600] よな。これだってドリル持っちゃったら
[02:31:22.920] あっち側に行けねえから結局このドリル
[02:31:24.800] 使ってあの行けねえんだ。
[02:31:39.200] いや、結局これで一緒なんだよな。
[02:31:45.600] あ、しかも積んだわ。間違えた。えー、む
[02:31:49.080] ずいよ、ここ。あとお腹空いたな。
[02:31:54.359] お腹空いたな。
[02:32:06.279] このこのツハも気になってんだよ。気に
[02:32:09.000] なってるんだけどどこ掘るのっていう。
[02:32:11.640] ツハもツ橋で厄介
[02:32:13.120] さ、自分の足元松を掘るんじゃなくて斜め下を掘るんだよね。だからツハを持ってこの穴に落ちたら掘れなくて積むんだよ。それがなあ。ちょっと
[02:32:29.279] 1回やってみるか。1
[02:32:30.840] 回やってだ。無理だよね。無理だけど。
[02:32:32.520] 1回もう1
[02:32:33.040] 回確認。確認のために。いや、俺が勘違いしてただけで行けるって可能性がまあないと思うけどな。
[02:32:40.120] そんな簡単な話じゃないと思うんだよね。
[02:32:45.000] なんだお前。気持ち悪いな。
[02:32:54.040] あ、ほらね。ほら。うん。もうこれでダメ
[02:32:55.479] なんだ。これでも降りれねえんだよ。
[02:32:58.920] うー。
[02:33:07.840] おいおい。
[02:33:09.359] ここはだいぶおムずですよ、これ。だいぶおムずだよ。ちょっと待ってね。いやあ、まいったなあ。
[02:33:26.359] そろそろ1日1ステージも見えてく。
[02:33:28.760] いや、マジでな。マジでな。これちょっとむずいな。ごめん。ちょっと仕事の連絡来たからそれだけ変えさせてい。
[02:33:37.200] 仕事の連絡来たからそれだけ変えさせて
[02:33:39.359] ごめん。ちょっと待ってね。
[02:33:55.800] まあでもよく寝られそうなぐらい塔使うね
[02:33:58.439] 。
[02:34:04.120] 土日に職場からの変信なんてよくやるな。ん
[02:34:07.479] うん。うん。しょうがねえんだよ。ええ。はい。おごめん。オケ。さてさて、やりますよ。すいませんね。なんかお腹空いた。どうしよう。なんか食べよっかな。でもさ、ラーメン食べちゃったからな。怖いな、食べんのな。
[02:34:33.359] なんかあのヘルシーななんか食べようか。でも結局今何も家にねえからさ。じゃ、ガスト頼むべとかってなるとさ、全然ヘルシーじゃなくなるんだよな。
[02:34:43.720] こ
[02:34:45.160] ない。買いに行かなきゃいけねえから、今。そう、そういうのって。あれ、写真アプリだ。みんな何食ったん?夜飯。
[02:34:55.080] いや、どこがヘルシーなんだ。だめだ。
[02:34:57.279] 最近マジで飲み会とかイベントとかでさ
[02:34:59.840] キム鍋酒飯
[02:35:01.960] 5100KCカリ
[02:35:03.439] いや終わりだよそんなん食べたら最近イベントなの飲み会えなのでさ家族で飯行ったりとかでさ
[02:35:11.279] 飯行ったりとかでさ
[02:35:12.479] で出た冷凍の次郎系食ったんセブンの自郎系の自郎系ってなんか今
[02:35:25.680] Twitterでよく流れてきて
[02:35:26.880] バカでけえ。1kg超えのやつじゃねえの
[02:35:28.720] あれ美いしいよね超卵スープっけとカニカマの素なの
[02:35:35.080] シマヒややっぱ
[02:35:37.040] 810g
[02:35:37.960] いいね。810gなんだ。なんか
[02:35:39.640] カラっぴア
[02:35:41.040] 今なんかさ、セブンのさなんか冷凍じゃない。普通のあのチルなんて言うの?チンするさチンするさあの自郎系ラーメンやつ
