[00:01:26.840] エた。
[00:59:27.720] リクエストのゲーム色々溜まってんだよな。
[00:59:37.640] クリアまでやるかどうかとかもさ。
[00:59:41.200] 結構悩ましいとこじゃん。
[00:59:49.799] ま、ざっとこんなもんね。
[00:59:52.920] マジでやるんだったらもっとポイント高くして。マジでもっとポイントを高くするのはありかもしれない。なんだかんださ、もうさ、俺のチャンネルってさ、あの、チャンネルポイント使い道がないじゃん。だからね、溜まっちゃうんですよね。
[01:00:08.960] 溜まっちゃうんだよな、ポイントが。だ
[01:00:10.799] からね、時寄りね、あの、時寄り
[01:00:14.119] リクエストを引き換えられてしまう。
[01:00:15.799] 引き換えられてしまうっていう言い方ね。
[01:00:18.261] [笑い]
[01:00:19.200] 引き換えられてしまうという言い方。うん
[01:00:21.520] 。良くないと思います。いいんだよ。
[01:00:23.960] 引き替えてね。
[01:00:31.160] これはね、許くだ。すでに結構溜まって
[01:00:35.839] そう[笑い]ですよね。
[01:00:37.640] 一旦全部お返しして。お、
[01:00:40.799] 100万ポイントぐらいにして。
[01:00:43.440] 100万ポイントぐらいにして
[01:00:45.119] しかないから20マそ返して。500
[01:00:47.400] ポイントしかないの?嘘でしょ?
[01:00:50.799] 100
[01:00:51.160] 万ポイントぐらいにしてもう引き替えられたらどんなゲームをやってても次のゲームはもうそれをやらなきゃいけないという。もうやらなきゃいけないっていう考えがよくないわ。この呪文自と自文自とな。
[01:01:02.147] [笑い]
[01:01:06.599] いや、良くない。いや、でも、あ、でもみたいな。
[01:01:09.039] てい、
[01:01:12.280] なんか思い出のゲームやられちゃうとな、怖いのよな。
[01:01:17.960] こんなんだったらリクエストしなかったですって言われちゃうからな。
[01:01:22.559] でもやっぱ思んないゲームは思んないねんな。
[01:01:25.160] せ、
[01:01:30.400] みんなを傷つけたくない。
[01:01:31.839] ま、ざっとこんなもんね。
[01:01:33.640] みんなを傷つけたくないな。
[01:01:39.640] 合わなかったかって思える心が必要です。でもそういうの抱えたままな何もなんかなて
[01:01:46.240] そうなんだよ。そうなんだよ。そうなんだよ。だから一旦全部お返しして
[01:01:51.160] ちゃんとルールを決めてとかね。
[01:01:57.039] 炎よ。
[01:01:58.799] マネージャー雇っといたいわ。
[01:02:00.442] [笑い]
[01:02:01.960] マネージャー雇っといたい。
[01:02:04.440] あ、今日はリクエストが溜まってますんで、こちらのゲームをやってください。言ってほしいわ。
[01:02:12.599] 月20でやるよ。[音楽]
[01:02:14.119] やる。バカ。
[01:02:17.279] ただでただでやらせて。
[01:02:22.839] いいね。テポ丸
[01:02:38.400] た
[01:02:40.240] よし
[01:02:45.400] 早く転職できるようになりてえ
[01:02:47.559] ていい。
[01:02:50.119] これさ、シンボルエンカウントだからさ、全部戦わなきゃいけないのかなって思っちゃうんだけど、全部戦ってたらさすがにやりすぎかな。
[01:03:05.400] せあ、目の前にいたら戦わなあかんよな、これ。は、炎よ。
[01:03:15.400] よしよし。
[01:03:18.319] やったな。
[01:03:20.200] 今日のお昼は何食べたん?
[01:03:21.960] オ、今日のお昼は寿司。寿司コーラルレイン寿司食行ってきたよ。寿司あの温泉行った後寿司食って
[01:03:36.640] ほんええやん。温泉ええな。
[01:03:39.000] 温泉?温泉って言っても
[01:03:41.400] それは大した大した温泉じゃないけど、その戦闘みたいななんか知らんけどなん会社の会社の人はさえ何こんな何その技初めて見た。コーラルレイン初めて見た。そんな技あるんだ。
[01:03:58.880] なんの、ま、仲いい人だからいいけど誘われてさ、
[01:04:02.359] 全部倒してボスがくなるからその時に敵強くしたらいい。
[01:04:06.960] ええ、なるほどね。やっぱだからこうやってやるとぬるくなっちゃうねんな。スーパー戦闘うん。みたいな。スーパー戦闘みたいな。俺さ、初めてさ、電気ブ呂、
[01:04:18.279] 電気ブ呂入ったんだけど、あれえぐない?
[01:04:21.760] せ、
[01:04:22.279] 電気ブ呂初めて入ったんだけど、もうなんかさ、あれ、俺の体質が合わねえんかな?なんかさ、
[01:04:28.359] 息ができないぐらいにビリビリするんだよ。
[01:04:31.119] これ合ってる本当にって思って。
[01:04:34.119] なんかね、ジャくて選べなくてもうかうてなる。あんな強いの?あんな強いの?電気ブロってもういてなるんですかね。
[01:04:38.299] [叫び声]
[01:04:39.609] [笑い]
[01:04:48.079] めっちゃ強いの。もうなんかね、足伸ばす、伸ばせないぐらい。
[01:04:54.079] どうだい?キーファ
[01:04:55.599] 経営者の趣味なのでは?
[01:04:57.000] キーファってさ、あれだよな。
[01:04:58.720] 上半身の割で下半身が貧弱じゃない?これ
[01:05:02.079] なんか足細すぎん?
[01:05:08.000] たヤさんみたくなって
[01:05:10.880] 経営者の趣味なんかなやっぱあのね街の町
[01:05:14.160] のビリビリする
[01:05:19.520] もうね
[01:05:21.599] 、内部からビリビリしたわ
[01:05:27.599] いいな。温泉。ああいうでかい風呂いい。俺風呂大好きだからさ。
[01:05:33.119] でかい風呂大好きなんだよ。昔さ、あの夜勤やってた頃、前の仕事ね。前の仕事で夜勤やってた頃は
[01:05:42.559] かな
[01:05:43.079] ほぼ毎日、ほぼ毎日行ってたね、そういうとこ。
[01:05:47.920] ほぼ毎日行ってしかも夜中じゃん。夜勤明けって誰もいない。誰もいないのがいいのよね。
[01:05:55.960] 誰もいないところでさ、いて人が少ねえのがいいや。人が
[01:06:04.200] スーパー戦闘。[笑い]
[01:06:05.599] スーパー戦闘。そう、そう、そう。
[01:06:06.680] やってるのよ。[音楽]
[01:06:07.520] そう。24
[01:06:07.920] 時間やってるとこいいよね。チまゲームちんちんちっちゃいからよ。あの気にしてさ、人がいねえ時に入りてんだよ。
[01:06:14.585] [笑い]
[01:06:15.240] 誰もいないのはいいね。
[01:06:17.760] 気にして。恥ずかしいじゃん。恥ずかしくてよ。
[01:06:21.135] [笑い]
[01:06:24.920] やっぱ人が少ない方がいいよな。せい。
[01:06:29.480] あ、バブルスライムも一発や。や、更新にえぐいかららしくて戦闘全。
[01:06:35.520] そういうことなんだ。そういうことなんだ。確かにでかいとこしか残ってないよね。でも今日行ったのは本当に街のと街のっていうか
[01:06:45.680] だって
[01:06:46.200] うん。
[01:06:47.839] サウナとか全部入り放題で
[01:06:49.520] 700円ぐらいだったんだ、今日。
[01:06:52.279] まあ、コロナから、ま、確かにね、
[01:06:54.039] 夜は大体こんじゃうんご。
[01:06:56.640] まあね、今日は全然いなかった人本当良かった。
[01:06:59.760] 体にお絵かき合ってもいける。
[01:07:02.119] ああ、ま、場所によるんじゃない?でも今どうなんだろうね。
[01:07:09.599] まあでも無理なとこは、ま、ほとんど多分無理だろうな。俺が言ってるとこは無理だった。別にいいじゃんと思うけどね、俺も。
[01:07:13.536] [笑い]
[01:07:19.559] あ、職業ランクランクもこれマスターし、
[01:07:22.520] あ、もう8までか。職業ランクって8まで
[01:07:25.079] 。マリベル[鼻息]はひよっこ網本の職業
[01:07:27.880] ランクが上がった。
[01:07:30.839] 職業ランクって8までで合ってる。
[01:07:33.186] [鼻息]
[01:07:36.119] どこどこ行ってんの?これ合ってんの?
[01:07:37.760] これここか。
[01:07:42.799] でかい世界の波オッケー。
[01:07:46.760] でかい風呂はいいぞ。
[01:07:50.880] もうちょっと近くにありゃな。いつも行くんだけど、ちょっと遠いんだよね。せい。
[01:07:57.240] あ、これドラクエ11
[01:07:58.880] から出たモンスターじゃないの?
[01:08:00.839] よし。
[01:08:01.839] 逆輸入されてんのか。
[01:08:05.799] マニベルさん、MPがちょっと
[01:08:09.599] いいよ。確かにこんな感じで戦ったらレベル上がっちゃうわな。レベル結構上がっちゃうよね。
[01:08:23.719] こいつ帽子の上に帽子かぶってやば。
[01:08:27.239] はあ。
[01:08:30.719] サボテンボールね。これさ、金色のサボテンボールとか出てくんのかな?
[01:08:34.920] なんかドラクエ11
[01:08:35.839] の時あったよな。金色のサブテンボール出てくるやつ。
[01:08:40.000] ゴールデンボール
[01:08:41.799] やったな。
[01:08:45.159] なんかいいことな何だったのか全く覚えてないけど経験値たくさんもらえるんだっけなんだっけなん
[01:08:55.239] なんで金色の弾じゃねえか[笑い]
[01:09:00.719] 何が悪いんだ
[01:09:03.040] そりゃ
[01:09:03.839] ヘイやマリビーさんがちょっとマリビーさんが
[01:09:07.080] MP
[01:09:07.359] なくなっちゃったレベル上がんねえかなレベル上がんねえかレベル上がったら満タになるんだよ
[01:09:12.319] せア
[01:09:19.759] これ
[01:09:21.400] 戦いすぎでござんすか?これ
[01:09:24.799] もう目の出てくるモンスター全部戦ってるけど。
[01:09:28.799] ああ。
[01:09:37.040] メキシコには常のサボテがあり、敵イラの原料として使われる。
[01:09:42.199] へえ。サボテから酒作るんだ。へえ。お前未成年だから飲んでねえだろうな。まさかトリとお前未成年は酒飲むんじゃねえぞ。ちょうどいいとこに回復あったな。良かった。
[01:10:01.600] 使わなくてアイテム[音楽]
[01:10:03.840] ドキュメンタリーで見た時結構でかかったサボテン。
[01:10:07.199] あ、そうなんだ。あの野生のサボテンはでかいよな。なんかあるよね。あのミニミえ
[01:10:17.960] のんびさんまさか
[01:10:19.280] 私は用していそれが存。
[01:10:23.360] なるほどね。
[01:10:27.080] だめだよ。
[01:10:28.159] 未成年飲酒喫煙は俺は俺はね、俺らは
[01:10:38.000] タバコ吸ってるけど
[01:10:40.080] そりゃ
[01:10:41.080] タバコ吸ってるけど
[01:10:43.440] 20歳から吸い出して20歳で1
[01:10:45.719] 回やめてる。[笑い]
[01:10:48.840] 20歳から吸い始めてね。
[01:10:51.040] 20十歳で1回やめてます。
[01:10:59.960] ここから飛び降れそうで本当に大丈夫?
[01:11:03.199] えらい
[01:11:04.560] えらいよね。いいの?こんなとこ飛び降りちゃって危ねえ。
[01:11:16.520] せ、
[01:11:17.679] これ気づいてる時に殴るのと気づかない、気づいてない時に殴るので変わるな。
[01:11:24.880] このバブルスライムは気づいてる時に殴っても倒せないけど気づいてない時だったら倒せる。
[01:11:30.880] え、しかもこのこいつのこの変な水の技さ
[01:11:34.600] 全体技なんだ。強グループじゃねえ。ギラあのあれは見込み料理。
[01:11:41.360] へえ。
[01:11:42.280] サボテンはよく使。
[01:11:43.560] へえ。サボテンステーキとかあるもんね。光
[01:11:49.040] 絶対美味しくないと思うんだけどわかんねえけど。
[01:11:52.520] 絶対美味しくねえよな。サボテンステーキね。
[01:11:56.480] おあ、ひよっこ。ひよっこ王城まえ。渾心切りもう覚えんの?将来融望すぎるでしょ、こいつ。マジで
[01:12:05.199] 美味しいよ。
[01:12:06.159] 美味しいんだ。ごめん。
[01:12:07.480] アロエヨーグルトは美味しいからやり用はあるのかな?
[01:12:10.320] アロエヨーグルトは確かに美味しいけど。でも焼いたり煮込んだりして食うもんなんだな。渾心切りなんてよ。あのなんだっけ?あいつドラク
[01:12:18.440] 11
[01:12:18.719] のあいつなんて言うんだっけ?名前出ちゃった。
[01:12:21.560] ドラクエ11
[01:12:22.159] のあいつ何だっけ?姫様っていうやつ。あいつ名前出てこねえな。あいつ覚えんのめっちゃ最後の方だったのに。こいつもう覚えたよ。渾身切り
[01:12:31.960] せい。
[01:12:36.600] どこ行きゃいいの?これ。
[01:12:40.080] もう1回飛び降りんのかな?
[01:12:48.480] まだ1発で倒せない。
[01:12:52.159] グレイグだ。グレイグね。グレイグ。
[01:12:55.280] グレイグが渾心切り覚えんのはめっちゃ最後の方だったよ。だけが技術なので私はいる。
[01:13:06.280] あ、そうなんだ。大変だな。サボテン食うの
[01:13:11.440] よ。
[01:13:16.520] せいはよ
[01:13:27.400] たあ
[01:13:31.560] 楽勝。
[01:13:34.760] いや、職業とかやり始めたらもう多分これ止まらんだろうな。あ、小さめあ、小さなメタ。
[01:13:41.280] これだ3
[01:13:42.000] 枚目なんだけどさ、全然またガバ、また世界中を旅なきゃいけないのかもしんない。俺はある程度積んだら。
[01:13:57.560] そういえば大学では植物工学を先行する研究者の店から文字を作り出し、それを使ってバックパックを作ったことがある。
[01:14:09.000] メダ今作かなりゆり
[01:14:10.800] かなりゆりどういうこと?嘘
[01:14:14.679] チメダにもさ、もうゆり世代シオになっちゃった。チメダも
[01:14:19.679] 楽勝。
[01:14:20.239] どういうこと?ゆりって枚数少なくめっちゃ交換できるみたいな。
[01:14:25.560] た
[01:14:28.000] 簡単に見つかっちゃう。
[01:14:30.000] あ、そういうこと。あ、隠し場所が簡単ってこと?
[01:14:32.800] いいじゃん。ガバタンの俺には助かるぞ。えー。
[01:14:37.280] え、そうなんだ。助かるね。
[01:14:39.360] ああ、なるほど。[笑い]
[01:14:40.480] 助かる。もう何インパスしなくていいのもなんだっけ?インパスとなんだ豚の花みたいな技なんかあったよな。犬の花かやんな。なくていいんだ、もう。犬の花とレミラーマ。レミラーマだっけ?なんだっけ?光を。
[01:14:59.760] ま、ざっとこんなもんね。
[01:15:01.400] ま、あれも楽しいんだけどね。あれをや、世界中で回ってんのも楽しいんだけど。
[01:15:08.560] あ、あ、うわあ、これ夏いたわ、こいつ。これセブンのモンスターだ。な、何て言うんだっけ、こいつ?忘れちゃったけど。モアイゾやついたな。な、何て言うんだっけ?忘れちゃった名前。
[01:15:29.000] クラウンみたいなやつもいるよね。なんかピエロの顔してるやつ。
[01:15:36.199] オ、行くか。まあ、勝てんだろ。よろしく。押し通る。
[01:15:50.239] もう可愛いか。こいつ
[01:15:54.239] 存在炎の精霊を儀式を行うな。
[01:16:01.239] もうちょいキビキ喋れる
[01:16:03.040] というのはくだらない生物だ。
[01:16:05.880] 炎の巨人。
[01:16:07.199] うん。
[01:16:21.000] 今じんちゃんディスった。
[01:16:22.600] え、何が?え、何かディスってないよ。ディスった。俺じちゃんディスった。無意識。
[01:16:23.742] [笑い]
[01:16:31.560] 人間たちが最後の炎を我に与え
[01:16:33.568] [笑い]
[01:16:36.239] いや、別に俺じんちゃんゆっくり喋ってると思ってないけど嘘。ゆっくり喋ってる。あいつみんなにゆっくり聞こえる。の方にいたこの闇の炎の力解き放ってくれよ。
[01:16:52.563] [うめき声]
[01:16:54.000] さめる火山を一気に炎を吹き合雑師や。
[01:17:00.440] え、これ雑魚?え、雑魚師匠か?これもこれも雑魚しか見えないんですけど。ふんて言ってる時の雑魚師じゃん。
[01:17:06.318] [笑い]
[01:17:12.600] シュー。
[01:17:14.560] それを雑魚してた。
[01:17:16.798] [笑い]
[01:17:17.120] これ
[01:17:19.719] めっちゃ似てるだろうな。沈んで
[01:17:21.880] めっちゃ似てると思うわ。
[01:17:23.719] だってもう雑魚しすぎるだろ。
[01:17:26.623] [笑い]
[01:17:28.120] そこな人間よ。
[01:17:30.320] そこな我の邪魔をしようと言うんであろう。愚かなり灼熱の炎
[01:17:31.863] [うめき声]
[01:17:40.560] そこの
[01:17:41.600] 身を焦がされることを望むと
[01:17:44.480] そこなそこなって言ってたよ。
[01:17:47.520] も骨も魂も焼き尽くしてやろう。
[01:17:53.639] まあ、そんな強ないやろ。そんな強ないやろ。なんか髪型に見えてきた後ろの炎が。
[01:17:57.760] 倒してもええやん。ええやん。
[01:17:59.360] ええやん。ええやん。カタカタカタガタ。さあ行くぞ。もちろん命令。まあまずはあ、マヌーサとか聞かないんや。
[01:18:15.960] シャドが抜群。オ、ま、まず
[01:18:18.199] ハンマーに気をつけて。
[01:18:19.880] ハンマー。ハンマー。ハンマー。カンマー。
[01:18:27.600] それ
[01:18:29.120] いいね。絶対これも。あ、ちょっとね、どうしようかな。スカラとか入れた方がいいかな。スカラ入れた方がいいか。一旦倍シオンだな。一旦倍シオン
[01:18:39.199] 攻撃力アップして。一旦な。で、バーストも入れて。
[01:18:48.499] [音楽]
[01:18:49.320] ほんでああ、抜群取れないんだ。抜群取れないんだ。じゃあ渾心切りか。じゃあ渾心切りだな。思ったより効かん。
[01:18:57.669] [音楽]
[01:19:01.599] [叫び声]
[01:19:05.400] あー、ま、スカラいらないんじゃない?こんくらいだったらスカラいらないんちゃ?
[01:19:11.880] ひえひえ。
[01:19:17.560] よいしょ。バイシオンスカラーどうしようかな。これ抜群じゃないんだ。水流切り。あ、水流切りや抜群なんだね。じゃあちょっと自分にも償をかけちゃおう。あ、
[01:19:37.920] それ
[01:19:39.320] いいねからの水力切り
[01:19:42.480] せよ。
[01:19:43.480] よいしょ。あんまり入らない。思ったより。
[01:19:50.679] こいつあんまりもしかしたらあれなの?物理物理はあんまり入らないのかもしれないな。もしかしたら
[01:20:02.520] いやあ、いいね。ちょっと回復してやるかじゃ。
[01:20:05.800] ああ。えい。
[01:20:12.760] 渾心切りはもう撃てなくなっちゃった。じゃあ気合いダめ。え、氷体勢を上げたってあつ。え、氷まいになっちゃったんですけど。氷まいになっちゃったんですけど。ワンチャンメダパニか。ワンチャンメダパニ。入れ入る。行く。
[01:20:28.060] [音楽]
[01:20:37.800] なあ、じゃあ水流切りだな。
[01:20:44.480] いや、めっちゃ入りますやん。めっちゃ入りますやん。ええやん。ええやん。
[01:20:51.639] いいね。
[01:21:00.000] ええやん。
[01:21:00.560] 入ないんだよな。100
[01:21:01.400] がな。ええやん。ええやん。
[01:21:05.320] シュー。入らない。て、
[01:21:09.920] 眠たくなってきたってことはラリホ
[01:21:13.320] 何?ラリホ眠たくなってきちゃった。もうキーファさんがもうちょっとな、ただの人になっちゃった。何?うえ、強。何?急に。おい、おい、おい。急になんだよ。急になんだよ。
[01:21:30.920] クソ川。このドヤ顔のマリベルがクソ川。
[01:21:36.280] えー、あ、え、イオも抜群なんだ。
[01:21:43.679] へえ。イオも抜群なんだ。
[01:21:46.006] [音楽]
[01:21:48.199] はあ。
[01:21:50.719] ありがとね、
[01:21:53.560] そりゃ。
[01:21:55.840] よしよし。
[01:21:59.080] いや、もう勝てるんちゃう?もう勝てるんちゃう?もう勝てるんちゃう?いや、行けるっしょ。行けしょ。うん。行けしょ。
[01:22:12.199] よいしょ。あ、だめだ。だ、やべ、やば。頼む、頼ま。あ、あれ、やばい。あ、ま、あ、あ、あ、あ、あ、あ、あ、ああ。うわあ。これはさすがにまずいんじゃないか。
[01:22:17.447] [笑い]
[01:22:18.757] [叫び声]
[01:22:26.880] 笑笑。え、
[01:22:28.360] これはまずいんじゃねえか。え、これさ、俺に経験値入らない?もしかして。えー、そりゃまずいよ。そりゃまずいよ。え、でも、え、でもこれ使うほどじゃないよな。でもこれ使うほどか。どうする?みんなだったら使う。いや、ここで世界中の発揮。
[01:22:56.199] いや、どうかな。
[01:22:59.520] 人生縛りなのに無茶な。
[01:23:01.480] 人生縛りなわけないやん。アホやで。あんなんやるの。いや、使うか。
[01:23:08.000] どんどん使おう。
[01:23:09.080] そうだ。そう、そう思った。うん。結局
[01:23:11.960] そうやねん。使わない意味ないねん。
[01:23:14.000] そうや。
[01:23:15.080] 最初からか。
[01:23:16.639] やだ。さすがにやだ。みんなもしんどいやろ。みんなもしんどいやろ。
[01:23:25.400] あ、危ねえ、危ねえ、危ねえ。ヒやヒヤするぜ。い、
[01:23:27.532] [笑い]
[01:23:42.600] 危ない、危ない、危ない、危ない。意外とこいつやるやんな。なんだよ。
[01:23:47.239] 意外とやるじゃねえか。意外とやるじゃん。
[01:23:51.440] いや、全然入んね。
[01:23:53.520] 全然入んねえけど。
[01:23:59.639] いや、これで終る。
[01:24:00.760] これで終る。うわあ。イエス[叫び声]
[01:24:05.600] イエスイエスイエス。
[01:24:07.600] 217
[01:24:08.320] ポイント。これはもらっとかなあかんで。不思議な石板。赤。赤。
[01:24:16.800] 黄色。う、
[01:24:18.360] 混ぜたら混ぜたら何色なるかな。し、
[01:24:23.360] この闇の炎は我が死しても消えわせぬ。
[01:24:30.560] なんでだで?なんでだで?
[01:24:33.400] いいじゃねえか。あれ?もう
[01:24:35.239] わかる。
[01:24:36.120] ここ最近めちゃくちゃ流れてくんね。あれくら井さん、こんばんは。またまたドラゴンクエストやっていきます。赤黄色
[01:24:44.040] の子が喋ってる。混ぜたら混ぜたらすぎ
[01:24:46.920] る歌だよな、あれ。
[01:24:48.080] そうなの?俺フルは聞いたことないわ。しばし待てろ。
[01:24:51.400] あのなんか
[01:24:52.159] 闇
[01:24:52.600] 動画で流れは必ずや。その力を解き放ち
[01:24:53.993] [うめき声]
[01:24:58.719] はよは早よ死ねや。ごめん。あ、こんなこと本当にごめんね。ひどいこと言って。ひどいこと言ってごめん。でもお前もう負けたんだからはよしねや。
[01:25:00.543] [笑い]
[01:25:07.320] よし。[叫び声]
[01:25:09.840] ちゃまげ顔出し
[01:25:11.840] 絶対あれだよ。何が
[01:25:12.920] おはようございます。
[01:25:13.679] 何がだ?誰が誰が炎の魔人やね。岩たんお疲れ。どっか行った。
[01:25:20.960] URL省略の10秒。
[01:25:23.400] これの何?何?何?何?何?何?何?ちょっと勇者の逃げ。
[01:25:28.709] [笑い]
[01:25:29.360] ちょっと待って。
[01:25:32.040] 紫。紫といえば物で
[01:25:34.440] 1
[01:25:34.679] 番くらいが高い色であってか変な語り入るんよな。
[01:25:38.440] これはちょっとこれちょっとみんなこれ見よう。
[01:25:41.809] [笑い]
[01:25:42.560] 一旦これ見よう、みんな。雑魚師のまずもこの
[01:25:47.400] 1
[01:25:47.600] 発目がおもろいもん。雑魚しのドラクエモね。
[01:25:49.669] [笑い]
[01:25:52.239] 笑笑。
[01:25:53.560] 下脱出す完成度。雑魚師匠のドラクエモね。メタルスライム。
[01:25:58.184] [笑い]
[01:25:59.800] デーモンスピル
[01:26:03.119] ゴードンヘ。
[01:26:03.920] これやばすぎ。
[01:26:05.000] 笑笑。
[01:26:06.044] [笑い]え、本人?え、どっちこれ?ご
[01:26:11.639] 笑笑。
[01:26:14.159] いや、これすごいね。人がやろうと思ってできるあれじゃねえよな。
[01:26:20.454] [笑い]
[01:26:22.840] メタルスライム良すぎ。
[01:26:25.560] ぶちいなあ。雑コシ面白くて。[笑い]
[01:26:32.639] こんなな何なの?この顔は。
[01:26:36.175] [笑い]
[01:26:38.440] スライムない。
[01:26:40.280] これもいいね。
[01:26:41.920] ヤたおろちゃん[笑い]
[01:26:44.600] 待って。これ俺ban
[01:26:45.280] されない。大丈夫?これ
[01:26:46.719] banれねえよな。大丈夫だよな?
[01:26:48.639] Twitchこれbanれねえよな。
[01:26:50.080] 邪魔げも負けないで。
[01:26:51.800] これひどいね。[笑い]
[01:26:55.800] リプフェイス[笑い]
[01:26:57.679] ね。これ俺banされない。これ
[01:26:59.000] グレメタルスライム。
[01:27:00.080] グレメタル。
[01:27:03.600] メだ。[笑い]
[01:27:07.800] 誰がわかんねん。名だってドラクエ
[01:27:09.920] 1にしか出てこないやつね。
[01:27:12.719] 串員エビルプリーストズ。[笑い]
[01:27:20.080] ちょっともうねえ、ちょっと[叫び声]
[01:27:21.880] banされるって。もうだめだ。もうだめだ。俺
[01:27:24.320] ban
[01:27:24.480] される。だめだ。消えろ。おい、なんか怖くなった。今一瞬
[01:27:27.920] banれそうじゃない?
[01:27:28.840] 笑笑
[01:27:29.679] おい。
[01:27:29.920] 今もうほぼ裸だっただろ。ほぼ裸だっただろ。
[01:27:33.560] り
[01:27:34.239] 笑笑
[01:27:36.280] 現術シちょっと面白いからちょっと見るか。ちょっと
[01:27:37.745] [笑い]
[01:27:41.600] 山田さん危ない。
[01:27:42.679] ちょっと面白い。これみんなに見せる前に俺が
[01:27:43.640] [笑い]
[01:27:47.239] 1回1回見るわ。
[01:27:48.360] スカルガルー。
[01:27:49.159] まあスカルガルをまあ対象面白くはないけどまあまあまあまあまありですわな。まありですわな。
[01:27:57.639] ソフビモンスター。
[01:27:59.199] びモンスター?これは見せらんねえな。あの腐った死体のモノマネしてるんだけど、ほぼ裸。
[01:28:01.980] [笑い]
[01:28:08.800] 爆弾は
[01:28:13.771] [笑い]
[01:28:14.239] すっげえ似てるじゃん。すげえ似てるじゃん。なんか色とか別に似せなくてもここまで似てんだ。メガザルロックかな?どちらかと言えばスマイルロックかな?スマイルロック。
[01:28:28.880] 勇者の逃げだ。
[01:28:29.719] あ、オッケー、オッケー。なるほどね。いや、怖。これ
[01:28:31.920] ban
[01:28:32.119] されてねえな。大丈夫だな。ほぼ裸だったぞ。俺もなんかのもノまねしてやろうかな。じゃあ配信俺もなんかのもノまねして配信した方がいいかな。とマのモノマネすべ。
[01:28:54.679] やろ。
[01:28:55.800] とどマとどマン。
[01:28:57.239] かのかのトマンのモノマネスめ構いたちだズはね、ちょっと痩せ方だからあれはここか。よし。
[01:29:21.679] ちょっと横を見るとさ、雑魚のさ、メタ、
[01:29:25.360] あのスライムナイトがいるからちょっと
[01:29:27.159] 消すわ。
[01:29:31.800] 爆弾岩とかもね、なんかなんか俺もノまね
[01:29:35.000] してあれみてえな。なんだっけ?あの
[01:29:40.886] [音楽]
[01:29:41.600] 輪っかみたいなかの時みてえになんかこれ
[01:29:43.880] の最終回で何かに編集するかもしれやも
[01:29:46.119] しれない。
[01:29:47.239] 嫌もしれぬ。これどこだ?屋上なね。こっちは何?こっちの下は何?こっちは何だねえ。これなんかさ、大丈夫かな?あの
[01:30:02.040] せい
[01:30:04.239] 石板取り逃しとかねえよな。さすがに。さすがにないよね。
[01:30:10.360] そりゃ
[01:30:11.199] あ、間違った。
[01:30:16.360] はあ。ああ、大丈夫だ。
[01:30:18.239] 大丈夫。その辺はちょっと勘弁してくれよ。石板探しは
[01:30:26.760] 楽勝。
[01:30:29.280] 可愛いな、こいつら。
[01:30:33.400] 今回地図に石板が表示されたら安心です。
[01:30:37.080] え、そうなん、そうなんだ。地図に石板が表示されるんだ。
[01:30:45.000] は、
[01:30:46.960] おお、強え。
[01:30:53.480] なんかね、セブンも俺あんまストーリー分かってないんだよな。まあ、なんかあんまりあんまりなんか、ま、ちょっと知ってるから言うけど、なんかこいつ特別な少
[01:31:03.280] ベルタースオリジナルなんだよね。なんかこいつ、こいつ、この主人公なんか特別な存在なんでしょ?ノアの箱舟。
[01:31:08.639] え、この場所はかう、カう見るパを少し何それ?もうめっちゃ落として。
[01:31:20.840] エデンの戦手たち。
[01:31:22.400] エデンの選手たちまたなんかなんかあのあれだな。意味進なサブタイトルだな。
[01:31:28.199] せは空とロとどっちの?
[01:31:32.280] いや、どっちでもないね。どっちでもない。
[01:31:34.800] 789101
[01:31:36.480] はどれでもない。ま、11
[01:31:38.199] はロトっちゃロトだけど、
[01:31:41.440] そりゃ
[01:31:41.920] 789はね、あの
[01:31:44.840] 78910は9と10
[01:31:46.920] が繋がってんのかな。確かモブオブモブなのに。
[01:31:50.719] 確かにね、セブンの主人公って本当になんかさ、ドラクエの主人公ポさないのよね。どっちかつたらもうキーファの方が主人公っぽいもんな。
[01:32:05.760] だがしかし俺はもう早くも愛着が湧きつある。こいつら可愛い。いや、セブしなくていい。
[01:32:15.159] そういえあれだよな。あ、ベロお疲れ。やってるぜ。援の巻きやってるぜ。そういえばね、サブタイトル消えたよね。エデンの選手たちってなんか、あ、待って。なんかボスっぽい。なんかあれはあれで戦うことになりそう。演ゲウ、エンゲウやってるぜ。
[01:32:32.840] 演ゲ係数ゲ
[01:32:37.000] 係数爆上がかり
[01:32:41.360] なんか戦うことになりそうな気がするぞ。
[01:32:45.000] いや、もういいと。もういい。
[01:32:52.719] ちょ、ちょっと何ですか?あの黒い不気味
[01:32:54.560] な炎は。これなんか戦うことになりそう
[01:32:56.960] じゃね[鼻息]
[01:32:59.000] 。ばあさんやってきたぜ。
[01:33:03.880] おお、お主か。一体奥で何があったというのじゃ。詳しくわしに話して聞かせるんじゃ。いいな。
[01:33:15.239] まあいいよ。ばあさんの頼みなら。レは山の奥の出来事について話した。
[01:33:21.080] うん。なるほどな。
[01:33:22.840] おし越した
[01:33:23.800] だとすればこの炎はそう簡単にはんじゃろうな。
[01:33:29.040] しかもこのまま掘っておいたら何が起こるか分かったもんじゃない。
[01:33:35.159] アミラよ。あの炎を捨て立てはもちろん何かあるんじゃろうな。
[01:33:42.040] そんなものがあるならわしが聞きたいくらいじゃ。
