[00:02:02.680] 4日目だし、そろそろすごい飲みたいね。
[01:34:34.119] のなめプ
[01:34:35.080] ホイミンだ。このホイみんななんか全然回復やってくんないんだよね。ま、でも命令させるわ。あんまちょっと邪道。お前回復しとけよ。
[01:34:46.520] そこ大丈夫?本当になんで回復しないの?これ
[01:34:53.040] 命大事にしてんだよ。これ
[01:34:55.360] 攻めの姿
[01:34:58.800] だいぶ攻めの姿勢だけど大丈夫かお前?それ本当に命大臣にか、これやな、あいつ。
[01:35:13.239] 大してしかも
[01:35:14.520] だけ
[01:35:15.440] 大してさ、強くないからさ、攻撃がだったら普通に回復してくれよ。あとスク作るとやってよ。スクとやろうよ。そこは強そう。
[01:35:35.199] 呪文多めにみたいなやつってなかった。
[01:35:37.960] ないのよ。
[01:35:40.280] 色々やろうぜがあるんだけど色々やって
[01:35:42.119] くんないんだよ。それにしても
[01:35:46.760] まず危ね。いや、ルカニとかやってくんだ
[01:35:50.600] もんだって。
[01:36:01.040] いや、お前攻撃じゃなくてさ、スクルトと
[01:36:03.440] かやってよ。やばいよ、それ。
[01:36:13.159] やっとスクルト入れたわ。遅いよ。遅いよ。
[01:36:18.960] 配信において命令は邪道ってこと?
[01:36:21.320] うん。そう。闘技場は命令しちゃだめだよ。
[01:36:25.026] [笑い]
[01:36:25.119] かったな。
[01:36:26.600] 命令はちょっとさ、禁止にしたいよね。だってさ、それやっちゃったら味勝てるもんな。基本命令する時はあれだけ。あのスカウトする時だけ。
[01:36:52.360] 犬すぎ。
[01:36:53.520] よしよしよしよしよしよしよしよしよしよし。ちょっとホイみん君の振る舞いが俺ちょっと気に食わないな。お前本当に命大事になのかそれ
[01:37:04.480] 姿勢が前のめりになってます。気をつけて。
[01:37:10.000] 命大事にって言ったらもう俺はもうさ、
[01:37:12.719] ドラクエ4のさ、ドラクエ4のあの
[01:37:17.000] なんだっけ?アリーナが一撃でもダメージ
[01:37:19.239] 食らったら回復入れてくるあの
[01:37:22.119] クリフトぐらいのイメージなんだけど
[01:37:27.080] クリフトはすごいからなあれ
[01:37:30.679] アリーナが1ダメージでも食らったら
[01:37:32.080] 回復入れてくるからほぼ
[01:37:34.280] もうそういプログラムされてるんだよ
[01:37:36.320] すごいよ
[01:37:37.440] さあ、行ってみるか。新しいところ頼むよ。そして新しい仲間たくさん欲しいよ。
[01:37:47.800] まあいいけんべ。
[01:37:49.280] まあいけんべ。うん。でもおそらくこの辺りから、おそらくこの辺りからコカトリスが出てくるんだよ。コカトリス出てくるだろ。あの邪悪な。あ、まだまあまあまあまあまあまだ。
[01:38:09.880] 大鳥ゲ。
[01:38:11.360] 大庭鳥のさ、あの、ま、この辺からちょっと経験値もうまいからうん。経験値美味しくなってくるから、ま、レベル上げもしやすいんじゃないかなと。
[01:38:25.548] [鼻息]
[01:38:32.920] いや、ゴレムスって結構優秀じゃない?
[01:38:35.560] こう見ると。
[01:38:51.748] [音楽]ああ、いいね。魔物さはいらん。
[01:39:01.480] まあ、ファーラ、ファーラットってこれ何系?獣、これ
[01:39:11.400] 獣。
[01:39:12.360] あ、獣なんだ。じゃあ、じゃあいいか。手に入れてもなんかホイみんが不安だな、こいつ。
[01:39:23.844] [鼻息]
[01:39:28.520] なめプして死にそうだよな。
[01:39:42.199] まあ、まだこの辺にはあまり魅力的な
[01:39:45.239] モンスターはいない。
[01:39:54.199] あ、26ポイントもらえるんだ。いいね。
[01:40:07.960] マモ餌ばっかやなあ。
[01:40:11.400] マモ餌ばっかやな。本当にこのゲームの
[01:40:14.520] 魔物の餌は本当に効果が薄いと思う。マジ
[01:40:18.679] で効果薄いと思うから。燻製肉がやっと
[01:40:22.599] 魔物の餌ぐらいだな。従来の。
[01:40:25.000] え、もうタコマスターいるの?いや、さすがに語れへんな。さすがに無理、無理、無理。さすがに無理よ。他国マスター、この状態では
[01:40:43.520] さすがに我慢。
[01:40:44.679] うん。さすがに我慢。これは
[01:41:02.119] 薬草を使ってかないとアイテムが何も拾え
[01:41:04.280] ない。もうダメージ受けてない。
[01:41:34.360] よしよし。結構MPが伸びんだな。レム
[01:41:38.119] スって10ずつ伸びてる。
[01:41:44.760] もう1回行くか。
[01:41:57.770] [音楽]
[01:41:59.199] ちょっとかけてあれから何か死んだん
[01:42:03.239] 死んでない。死んでない。死んでないよ。
[01:42:06.119] 超順調だよ。
[01:42:11.525] [音楽]
[01:42:22.880] さすがに筋肉はさすがにもう拾ってくわ。
[01:42:26.480] あ、うー、フェアリーラットね。
[01:42:29.880] フェアリーラットはちょっと欲しいような
[01:42:32.679] 感じもしますけども。
[01:42:39.199] あ、いいね。そっち狙いだ。
[01:42:41.639] フェアリーラット行っとくか。行っとくか
[01:42:44.239] 。
[01:43:04.000] もう1君食か。
[01:43:15.520] まあ、仲間になるんじゃないかな。こん
[01:43:17.280] くらいだったら
[01:43:19.800] ならねえ。
[01:43:22.440] つう。
[01:43:26.239] ほんま渋いでこれ。
[01:43:32.840] もうこの辺りから骨つきに行くんじゃない
[01:43:35.199] と立ち打ちできないぐらいだからな。
[01:43:52.560] まあでもこの辺はもう仲間してるしね。
[01:44:22.320] 強えな。
[01:44:42.360] てえ。何こいつ?ぶちらってこんなに体力
[01:44:44.679] あったっけ?
[01:45:08.840] あー、フェアリーラットちょっと欲しい。
[01:45:20.679] お、これは餌上げてもいいな。これは
[01:45:23.760] 餌上げてもいいな。えー、骨つき行く。
[01:45:29.280] 骨つきいるかな?お前ごきに。
[01:45:42.080] いや、もうワン燻製で
[01:45:46.639] 長めて
[01:45:54.679] 仲間なんねえかな?これ
[01:46:00.840] 来い。いや、違うな。これさ、なんか餌げ
[01:46:04.800] た後にレベル上がるとなんかちょっとさ、
[01:46:06.480] あの、なんか仲間になる確率が下がるよう
[01:46:08.480] な気がするんだけど、俺だけそんなこと
[01:46:10.840] ない。
[01:46:12.800] あ、来た。そんなことなかった。ロードマン。ロードマンレベル
[01:46:21.920] 5か。まだちょっと使えないな。
[01:46:28.159] 村まこ。
[01:46:30.840] もうあの、もう名前つけんのは配合したやつだけ。え、なんでこんなタコマス出てくんだろう。
[01:46:41.840] あの、時間かかるからね。名前考えてる
[01:46:43.639] 時間が。
[01:46:48.880] ボス行くか。行くよ。ボス行って大丈夫だ
[01:46:50.760] よね?さすがに行けるよな。さすがに
[01:46:52.560] 行けるよな。行くわ。
[01:46:58.280] ああ、キラパンだ。ここそうだ。
[01:47:02.960] プックルね。あ、チロルね。
[01:47:11.080] 強いね。
[01:47:31.000] そりはこういうやつが仲間になるんだっ
[01:47:32.800] たら話よな。
[01:47:58.679] いいね。
[01:48:05.719] 大丈夫、大丈夫。よし、よし、よし、よし
[01:48:07.719] 、よし、よし、よし、よし、よし、よし、
[01:48:09.880] よし。
[01:48:13.080] こいつはちょっとチロルにしないと俺が
[01:48:15.119] ちょっと許せないんだよ。なんだゲレゲ
[01:48:17.520] レって。お前チろるな。[鼻息]
[01:48:37.760] ボロンやろ。
[01:48:40.679] 血だろうが。なんだボロンって。
[01:49:03.599] これでもう配合って。あ、配合できるよう
[01:49:06.159] になってんのか。この段階で。
[01:49:09.679] ちょっと配合見てみる。まだレベル10に
[01:49:12.119] なってるモンスターがいねえからな。
[01:49:13.239] あんまりな。
[01:49:19.080] ま、見るだけ見てみるか。
[01:49:33.719] ってことは、てことは
[01:49:39.880] あれ、まだか?
[01:49:42.800] ま、まだか。
[01:49:46.800] あれ?卵ってどの段階でもらえんのだ?
[01:49:48.719] この後だっけ?
[01:49:59.560] ちょっと配合しまあ、まだできないかな。
[01:50:02.480] できないと思うけどね。
[01:50:13.320] ま、ここまで来たらもうやること一緒だ
[01:50:15.159] からな。
[01:50:25.159] レベル10行ってんのはもう全然いない
[01:50:27.239] もんね。あ、ドラキーとか行ってるんだ。
[01:50:33.599] でも全然他もうだって
[01:50:36.560] パンサーぐらいしか行けないよね。
[01:50:38.239] ドラキーとパンサーぐらいしかレベル10
[01:50:40.440] 行っ[音楽]てないもんな。やるだけやっ
[01:50:41.920] てみる。暴れ牛り絶対嫌だ。
[01:50:46.679] 絶対嫌だ。キャットフライ絶対嫌だ。
[01:50:50.400] いやいやいやいやいや。ゴミしかできひん
[01:50:51.800] や。やめやべやべやべ。まだまだまだまだ
[01:50:53.520] まだまだまだ全然だめだね。
[01:51:01.800] アばやぞ。ええやな。
[01:51:03.199] アバなんかやだよ。もあいつに全部持ってかれてるんだから
[01:51:07.040] 1回俺。
[01:51:19.679] あばあば
[01:51:22.400] アバはやだ。ま、シクシクと進めていきますわ。まだまだまだちょっと早いな。
[01:51:30.920] 配合はな、レベルがちょっと全然他のやつらが全部上がってきたらもうガツ売り配合していっていいと思うんだけどレミラマそうねえかな。
[01:51:42.037] [音楽]
[01:51:46.119] ドラクエはクリアまで行くの?
[01:51:48.000] え?どういうこと?クリアまで行くって?ドラクエはクリアまで行く?鬼滅場拾っとこう。
[01:52:06.000] ルレロみたいにおじんみたいな。
[01:52:10.239] いや、あのルレロみたいにおジャんだったらもう昨日の時点でやめてるよ。
[01:52:13.477] [音楽]
[01:52:14.787] [笑い]
[01:52:15.960] 最初からやってんだぞ。俺の俺のこの
[01:52:18.639] 気持ちわかんねえか。あの状態でも最初
[01:52:22.000] からなやるぐらい気合いううわあ出た出た
[01:52:26.679] 出た出た出た。地獄が[笑い]
[01:52:29.719] 地獄が来たよみんな
[01:52:36.360] 笑
[01:52:37.000] もう受け流すのおいこ2匹とも受け流し
[01:52:41.119] 体制だもな。
[01:52:43.960] とも受け流そうとしてくるからね。
[01:52:49.040] お前らほんま受け流しはほんまやめて。
[01:53:03.840] ま、ドラゴンキット1匹仲間にしておき
[01:53:05.560] たい気もする。まあ、なんないよね。なん
[01:53:08.599] ないっすよね。燻製肉2個ぐらいじゃなん
[01:53:11.079] ねえよな。骨つき巻いてかなきゃだめかな
[01:53:13.639] 。
[01:53:17.639] めっちゃアイテム落ちてる。
[01:53:21.079] 薬草か。
[01:53:24.679] いや、チーメダ全然拾えねえ。
[01:53:30.320] 巻くか。骨付き1個切りますわ。ここ
[01:53:52.119] 魔物の餌負けちゃう。
[01:54:06.560] さあ、どうだ?ああ、まあまあまあなるよ
[01:54:09.079] ね。まあなるよな。それ骨つき肉あげたん
[01:54:11.280] だから。エヴン
[01:54:14.760] エヴン
[01:54:16.679] シジエヴンに乗れ。何レベ?6レベ。
[01:54:22.159] でかい。
[01:54:24.920] エヴーに乗れ。
[01:54:30.639] なんか肉食いたくなってきた。
[01:54:33.880] なんか肉食いたくなってきた。この
[01:54:37.079] 2日間ずっと肉の話してたら
[01:54:39.800] エバーンにだけはらんでくださいね。
[01:54:42.164] [笑い]
[01:54:43.159] あの、あの、あれな、あの妹な、当時のエヴンにだから乗らんてくださいねえ。あのさ、おめえらがさ、あの、てか、あの、急になんかどうしても肉食いてって時あるじゃん。
[01:55:01.840] どうする?無償に食いたくなった時のあの対処法教えてくれ。なんかあるやん、たまに。あ、もう肉。もう今日は肉だわって時。
[01:55:17.800] 即食べます。
[01:55:19.040] 何な?あ、そりゃそりゃ焼肉屋の焼肉屋の息子はそうでしょうよ。クソ羨ましいわ。
[01:55:20.154] [笑い]
[01:55:29.239] 笑笑。
[01:55:30.320] まあ、でも、でも声優さんでもさ、焼肉屋のさ、
[01:55:34.800] いいな。
[01:55:35.560] 焼肉屋の息子でも肉食いたくなる時あんの?ならないんじゃない?もうなんか肉食いてえって思うこと少なそう。なんかウィンナー、ウィンナーもいいよね。ただ
[01:55:49.920] 毎日食べても飽きません。
[01:55:51.599] あ、いいね。いいね。肉ってうめえもんな。いや、マジで声優さんの焼肉屋行きてえ。
[01:55:59.800] で寝てるよって感じだもんね[音楽]
[01:56:02.040] え。そう。肉ちょ。焼肉屋はな。肉に困らないって素晴らしいよな。いいね。セさんの焼肉屋はマジで行きて。今度じちゃんと行くわ。マジで
[01:56:21.599] なんならアルコールにも困らない。
[01:56:23.440] 確かにね。いやてか食いもんで困らないよね、正味。
[01:56:24.345] [笑い]
[01:56:31.760] 羨ましいわ、マジで。もう俺どうしても肉食いたくなったら、ま、
[01:56:39.800] 1
[01:56:39.920] 人でご馳できる日を楽しへ。ご馳走してくれ。ご馳走してくれるんすか?なら全然いつでも行くけど。なら全然つでも行くけど。
[01:56:55.880] え、声優さんちってさ、宴会できるの?
[01:56:59.040] 肉頼むごとに海分来るで。
[01:57:01.680] [笑い]
[01:57:04.400] 肉頼むごとに
[01:57:05.920] 的にやるとしたらひたすら焼肉の種類の画像をいっぱい見れば脳が満足て気持ちがいいや。俺のちゃう俺別に脳を満足させるつもりないもん。脳がとかじゃないの?俺心を満足させたからやっぱ食べなきゃだめよ。
[01:57:21.400] え、じゃあマジでセフさんちのオフ会
[01:57:23.040] やろっかな。ちゃオフ会
[01:57:26.719] 1人1人参加費5000円でまのね、食べ
[01:57:30.880] 放題だったら5000円ぐらいやっぱ
[01:57:32.280] な必要だよな。酒も飲めるとしたら。え、
[01:57:37.119] 全然ありじゃない。全然ありじゃない。
[01:57:45.560] 誰もなくてもいい。か
[01:57:47.360] 会感宴会か。出た、出た、出た、出た。じゃ、オフ会の、オフ会のタイトル、それにしよう。観
[01:57:50.151] [笑い]
[01:57:55.440] Lか宴会化かボリューム
[01:57:57.119] 1。[笑い]
[01:57:59.199] 笑笑。
[01:58:00.040] 会館Lか宴会化かボリューム1
[01:58:01.960] やろうよ。マジでいいと思う。
[01:58:17.800] 誰も来なくてもいいしね。別に[笑い]
[01:58:20.000] 最悪人全然来なくてもいいし。俺普通に
[01:58:22.639] 行きたいだけだから。普通に声優さん行き
[01:58:25.119] たいだけだから。
[01:58:28.320] いいな。肉食いて。今日マジ肉行こうかな
[01:58:30.440] 。終わったら
[01:58:38.560] もうどうしようもなく肉食いてる時ある
[01:58:40.760] もんな。
[01:58:44.719] ま、そういう時は
[01:58:46.079] 見てたら食べた。
[01:58:47.040] いや、本当だよ。骨つき肉だの、燻製肉だの、下振り肉だのさ、そんな話してたら食いたなるって。やべ、気をつけて。
[01:59:10.679] でもなんかさ、そのいい肉食べたい。いい
[01:59:13.920] 肉ももちろんさ、嬉しいんだけどさ、なん
[01:59:18.280] かしょぼい肉でしか得られない満足感も
[01:59:21.119] あるんよな。しょべえなんかスーパーのさ
[01:59:24.280] 、
[01:59:26.040] しょべえなんか家庭や家庭えさ、なんか
[01:59:29.440] あのステーキ肉でしか得られないあの栄養
[01:59:33.880] 要素もあるんですよ。そういうのもいいん
[01:59:36.400] だよな。
[01:59:48.440] 高い焼肉行ってもいいんだけどさ。
[02:00:03.960] お、いいね。
[02:00:06.280] 自主的に仲間になるんなら全然俺は拒む
[02:00:09.639] 必要はない。
[02:00:22.000] え、これ穴どこ?
[02:00:25.520] あ、
[02:00:35.199] いや、これ多分爆速でやればさ、8時
[02:00:39.000] ぐらいにはさ、
[02:00:41.360] 戻せねえかな、あそこまで。
[02:00:49.079] ま、でも結構ね、これ育成時間かかるから
[02:00:51.159] な。
[02:00:56.239] 死なずに育てばいけるんじゃない
[02:00:58.040] ね。死なずに育てばちょっと今日あそこまで戻したいよな。あの怒りの扉前ぐらいまでには戻したい。マジで
[02:01:03.378] [音楽]
[02:01:11.880] 進めていけばパパオームとサンダーバード。
[02:01:14.280] そうなんだよ。てかサンダーバードがマジで強すぎたよね。サンダーバードめちゃめちゃ強いから。
[02:01:28.960] えーせうんないね。売れるもんも特にない
[02:01:32.960] な。
[02:01:35.473] [音楽]
[02:01:38.840] あ、待って。道具な。
[02:01:40.880] おい、相当ある?相当こにあるんかい?え、相ってこにあるんかい?道具な並べ替えがありますんや。ない、ない。言うてたの。
[02:01:55.119] ああ、気持ちいい。気持ちいい。でもさ、あそこに着くんだったらここセレクトボタンでよくない?なんで作戦の中にあるの?いや、ま、いいんだけどさ。いや、まあ、いいんだけど。
[02:02:05.920] 会感。
[02:02:06.520] いや、まあ、いいんだけどさ。いや、あるだけ本当に嬉しいんだけど。
[02:02:10.280] あるだけ本当に嬉しいんだけど。これでアモールの水の数管理ですね。
[02:02:20.159] いや、嬉しいね。嬉しいね。お、いいね。杖とこも出てきたよ。ああ、エビルシードか。ま、この辺若干持ってないからね。
[02:02:38.719] もしこれブチスラ、ぶチスラから倒すよう
[02:02:40.840] だったらあ、そんなことないか。まあでも
[02:02:43.920] 植物系だからね。結局ね、結局植物系だ
[02:02:48.639] からね。困るんだよね。あの使い方に。
[02:03:04.239] 経験値うまいな。[音楽]
[02:03:08.440] チーメだ。あ、来ない。
[02:03:11.400] あ、チーメだ。チーメだ。来ないね。
[02:03:14.639] チーメダコンスな。
[02:03:23.520] 欲しい。草下は欲しいっすね。ちょっと
[02:03:27.000] 骨付き上げす
[02:03:30.079] おっす。
[02:03:32.159] マピロケラン。
[02:03:32.960] どうだい?あれは。あれの調子は。ワールドカップいい感じ。今なんか
[02:03:38.800] 3点4点入ってるらしいじゃん。
[02:03:43.679] えへへ。
[02:03:44.880] 嬉しそう。嬉しそうだな。[笑い]
[02:03:48.040] 40でか。
[02:03:49.400] お、すげえ。めちゃ強えじゃん。
[02:03:51.199] 笑笑。
[02:03:55.960] これさすがに仲間になってくれていいんじゃないすか。これさすがに仲間になってくれていいんじゃないですか。
[02:04:04.815] [笑い]
[02:04:08.000] あれだな。阪神みたいな。阪神のファン
[02:04:10.280] みたいなあの勝ってる時はすっごい上期限
[02:04:12.480] 。
[02:04:14.199] 負けてる時はもう触れることもできない。
[02:04:21.280] ああ、やっぱ嬉しい。いいネズネ草した。
[02:04:25.599] 包みした。来た
[02:04:30.599] 。今日はもう焼肉だな。今日焼肉だな。
[02:04:34.440] 俺も今日これ終わったらマジで肉食い
[02:04:36.119] 行こうかな。マジでどうしよう。肉食い肉
[02:04:37.920] か
[02:04:39.520] スーパーでスーパーで安い肉を大量に買っ
[02:04:42.920] てくるか。それでそれもまた良きんよな。
[02:04:46.880] お店に食いに行ってさ。
[02:04:49.639] それもいい
[02:04:50.360] それもいよ。それもいよ。安い肉で
[02:04:53.480] しか得られない満足感もあるんだよ。
[02:04:58.400] 料理配信しなきゃ。いつやるんだろう?
[02:05:02.119] 安くて量。
[02:05:03.239] 安くて量もいい。え、でも絶対やる。うん。ちょっとでも来週できねえんだよな。再来週じゃ決めた。はい。再来週絶対にやります。ああ。あ、行っちゃった。ああ、行っちゃった。まいっか再来週絶対やるわ。じゃあもう決めた。再来週ね。だ、何やろっかなんだよね。ラーメン作るかなと思ってんだけど思う。
[02:05:26.440] 自郎系ラーメン作る配信でもさ、どっからやるかだ。そうす。
[02:05:32.520] 牛脂もらって安い肉を美味しくいただこう。
[02:05:35.360] 最高。
[02:05:41.960] ラーメン屋みたいな格好する。仕込みで配信終わるぞ。
[02:05:44.376] [笑い]
[02:05:45.800] 仕込みで配信終わる。朝4
[02:05:47.280] 時から何やろうかだよな。マジでな。何やるかだよな。
[02:05:54.920] で、写真撮ろ。
[02:05:57.199] タオル巻いてで結構様になると思うんだけど結構邪魔ゲームがやったな。それ痛い。痛い。おっぱい触った。
[02:06:07.957] [叫び声]
[02:06:16.239] 笑笑。ドラちゃん
[02:06:21.599] ドラちゃん。
[02:06:25.400] やめて。恒例の女性ですよ。お年寄りな。
[02:06:31.960] 野生のドラちゃん。
[02:06:33.719] これの女性ですよ。もうちょっとやめて。倒して早く。ちょっと倒して早く。もう何やってんのこれ?おい、バカ。
[02:06:52.599] お前何してる?
[02:06:56.119] ちょ、何やってんのこれ?おいおいおい
[02:06:59.040] おい。
[02:07:06.440] おいおい[叫び声]おい。
[02:07:09.159] 危ね危ない危ない危ない。
[02:07:13.920] ま、仲間にしてやろ。人面
[02:07:18.400] 何レベお前?あ、13いいね。
[02:07:23.520] オ、オケ。いいぜ。ひや。
[02:07:37.119] オ
[02:07:38.880] ふん。だ、そろそろそろそろ配合第1弾
[02:07:42.520] 行ってもいいんじゃねえかな。配合第1弾
[02:07:45.079] 。[音楽]
[02:07:57.800] ガチれば2時間でここまで来れるやん。
[02:08:00.618] [笑い]
[02:08:01.880] 俺ここまで多分2日ぐらいかかってたぞ。
[02:08:03.800] 多分どんだけゆっくりやってたんだ。2
[02:08:07.159] 時間でここまで来れませんやん。
[02:08:13.679] 見に行くか。配合ちょっとみようかなと。
[02:08:18.239] めるのに10時間はってた。[笑い]
[02:08:25.280] ちょっとなんか一発直しA団でした。
[02:08:27.480] いや、A団だよ。マジで
[02:08:28.840] A。これ本当になんかいいのできねえかな。なんかいいのできねえっかな。ま、レベルが足んないんだよね。
[02:08:49.320] び役
[02:08:51.599] でも大やり直しか
[02:08:54.679] やり直しやり直しやり直ししてるよそ
[02:08:56.400] ちゃんこんばんは
[02:08:59.000] これはA団だと思う本当に
[02:09:01.800] 本当に本当に賞味これはいいと思う
[02:09:10.079] なんかいいのできねえデスソーサーっ
[02:09:12.014] [音楽]て何デソー
[02:09:14.000] サーってどういうの
[02:09:18.000] いや、ちょっとでもこの辺レベル上げねえ
[02:09:19.480] とな。お皿。え、どういうやつ?デスソー
[02:09:23.599] サーって。
[02:09:26.040] この辺がレベル上がってくんねえとダめだ
[02:09:27.599] な。
[02:09:31.920] 結局スライムとかにしてもさ、スライムと
[02:09:35.199] かにしてもあれなんよね
[02:09:42.159] 。これさ、さすがにでもさ、どう
[02:09:46.760] さすがにGランクは無理よね、これ。もう
[02:09:50.119] 今2つクリアしたわけじゃん。今2つ
[02:09:53.960] クリアしたわけじゃん。あの
[02:09:56.760] 闘技場を
[02:10:00.000] これいける?
[02:10:04.199] いや、これいいクラス行けるか?
[02:10:09.040] うん。さすがに欲張りな気もするんだよな
[02:10:11.400] 。
[02:10:13.800] さすがにちょっと欲張りな感じするよね。うん。だよね。やっぱ
[02:10:17.119] 1回配合入れとかないとだよね。
[02:10:20.040] 1回配合入れないときついよね、ここね。
[02:10:24.280] 欲張ったら死ぬ。
[02:10:25.360] いや、そうなんだよ。
[02:10:28.119] 1回配合作っとくか。何かしら作るか
[02:10:30.520] 1回。レベルが足りねえんだよね。
[02:10:35.280] スライムとホイミンは変えたいな。
[02:10:37.760] そうね。でもさあ、
[02:10:42.159] ドラキーでなんかいいのできない?
[02:10:44.920] 花川セミ
[02:10:47.679] デスフラッター。いや、でもレベルがない
[02:10:50.239] からね、結局暴れ牛。
[02:10:55.440] 暴れ牛取りなんかな。
[02:10:59.679] やっぱりアバ
[02:11:02.280] やっぱアバしかないかな。
[02:11:11.840] あのね、全然なんかレベルが足りてねえ
[02:11:13.800] から本当に岩飛び悪魔。
[02:11:19.199] 岩飛び悪魔ってどうみんな?岩飛び悪魔。
[02:11:26.400] この辺レベル上がってねえからな。マジで
[02:11:28.239] な。
[02:11:34.920] スライムどこ?
[02:11:37.119] ピッキーレベル2
[02:11:38.960] ピッキーか。ピッキーとピッキーとネじネじ巻き鳥りでピッキーとネじ巻き取りで確かヘルコンドルになるよね。ピ
[02:11:59.520] でかいのが来る。
[02:12:02.000] ピッキー作っとくか。
[02:12:03.639] それを見越したピッキー。
[02:12:07.040] それを見越したピッキーっていうのも
[02:12:10.079] ピッキー持ってんのよね、俺。ピッキー
[02:12:12.159] 持ってんだよな。確か持ってたよな、あれ
[02:12:14.960] 。
[02:12:18.520] あれ?俺ピッキー持ってねえな。
[02:12:21.480] あれ仲間にしなかったっけ?あ、してないか。ビキや。キメラって割と有能じゃなかった。
[02:12:30.320] キメラって誰ができた?どこでキメラできた?ああ。いや、レベルが、レベルが足んないんすよ。
[02:12:37.400] 的に仲間になったような。
[02:12:38.960] なったような気がしたけど、なんかいなくなってますけど。なんかないんだけど。仲間なったよね。もうない。なくなってる。
[02:12:49.639] え、そんなことある?え、俺家押してた。
[02:12:53.679] 自主的に仲間になっ
[02:12:56.119] え、じゃ、ピッキーじゃレベル上げがてら
[02:12:58.079] ピッキー連れてくるわ。ピッキー連れて
[02:13:00.119] こようぜ。
[02:13:02.119] やっぱレベル上げないと。Kチャンネル
[02:13:05.197] [笑い]
[02:13:07.920] チャンネルでやり
[02:13:10.639] 。お疲れちゃん。何終わったの?
[02:13:13.400] バイオハザードやってなかった?
[02:13:14.679] バイオハザード7やってなかったっけ?お
[02:13:16.440] 疲れぐ。ブーブKチャンネル
[02:13:19.639] K
[02:13:19.920] チャンネルがなんか今日似てねえわ。ごめん。今日似てない。このゲームを。
[02:13:23.537] [笑い]
[02:13:28.559] Kチャンネルレイドからんちは。大
[02:13:31.400] ちゃんさんこんばんは。こんちは。
[02:13:33.000] あ、初チットありがとう。スプさん、どうもこんばんは。ありがとう。初
[02:13:36.000] t10ライば
[02:13:38.360] 10ライ
[02:13:39.639] 来週はよろしくな。来週はよろしくな。
[02:13:42.280] Kチャンネルな。来週はよろしく。
[02:13:45.119] 笑笑
[02:13:45.760] やりますから。
[02:13:47.440] 来週はよろしく。えっと、マイクラな、マイクラコラボ来週はやらせていただきますんで。え、
[02:13:55.400] B
[02:13:55.599] チームリーダーチャバゲームシクシクとやらせていただくありがとう。フォローちゃん。
[02:14:02.320] いや、勝っちゃうよ。俺はもうチームメイトのみんなにあのバシャ馬のごとく働いてもらって。俺は家の玉座で座ってるから。
[02:14:12.880] また背後からやられるの?
[02:14:14.627] [笑い]
[02:14:14.760] もうちょっとほんまにね。前回5
[02:14:16.679] 分で死んでるからほんまに頑張
[02:14:18.840] さんのレドから
[02:14:20.000] あいさんこんばんは。こん。こん、こんちは。え、僕は今回ですね、あの今日はですね、
[02:14:24.840] 1番抜けはやめて
[02:14:25.960] 本当だよね。5
[02:14:26.719] 分で死ぬからな。今日はね、え、テリーのモンスターなんだっけ?モンスター、え、ドラクエモンスターズテリのアンダーランド。え、人生プレイで
[02:14:36.239] 座の後ろからスプロで
[02:14:38.800] やってますよ。4日目なのにこの
[02:14:40.920] 4
[02:14:41.119] 日目なのにこのパーティーなぜかと思う。
[02:14:43.119] なぜかと言うと、前回、え、昨日の夜全滅して縦が効かなくなって最初からやってます。もうだっておわ終わりよ。ほんまに。
[02:14:49.343] [笑い]
[02:14:53.920] テリワン綺麗になってるんだ。
[02:14:55.920] あのテリワン、これあのプレステバージョンですね。プレステ
[02:14:58.320] 1
[02:14:58.719] 人生。
[02:14:59.559] プレステ1
[02:15:00.119] バージョン。テリワのこれぞ人生な。プレステ
[02:15:05.320] 1
[02:15:05.520] バージョンね。ドラゴンクエストモンスターズ
[02:15:07.719] 1
[02:15:08.000] ツ。え、星りの勇者と牧者の仲間達っていう。
[02:15:10.960] これプレステ1
[02:15:11.559] のやつなんだけど、ルカの旅ルの冒険も入ってんだ。
[02:15:14.880] プレステ初めて見たかも。
[02:15:16.280] うん。結構レアかも。結構レアかもね。でもね、別にそんなに変わんない本当にな。ただただ綺麗になってるだけでそんななんかシステムも何も変わってないでモンスターも大体一緒だし。ただね仲間になりづれんだよな。
[02:15:39.199] あれ?俺適当にここ来たけど、ここ
[02:15:41.119] ピッキー出たっけ?ピッキー出たっけ?
[02:15:44.000] ここ俺ピッキー欲しいんだけど
[02:15:51.119] ピッキーが出てくるかな?そこなんだよな
[02:15:53.400] 。問題は
[02:15:56.520] 適当にここ入っちゃったけど
[02:16:04.719] アイテム拾いガテラなあ、レミラマゾいい
[02:16:07.079] じゃない?
[02:16:11.320] 薬草が薬草[音楽]が多すぎるんだよな。
[02:16:14.480] 一旦捨てますわ。ごめんなさい。もったい
[02:16:16.480] ないけど。
[02:16:18.424] [音楽]
[02:16:26.760] ああ、いいね。あとチーメ玉とあ、
[02:16:30.440] ファーラット欲しいよ。これ餌投あげるわ
[02:16:33.000] 。
[02:16:35.200] せめて燻製肉ぐらいで仲間になってくれよ
[02:16:37.160] 。ファーラットぐらいさ。
[02:16:44.240] もう1発あげてもいいぞ。もう1発上げて
[02:16:46.200] もいい。魔物の餌をもう1回あげる。
[02:16:50.319] これぐらい仲間になってもいいんじゃない
