[00:00:41.039] あらっす。
[00:37:08.920] にも出てきたけど、こいつ好きだな。なんかあの神崎正尾先生のドラゴンクエスト
[00:37:16.839] 6
[00:37:17.280] 幻の第地っていう漫画があるんですけど、全術感な。
[00:37:20.760] それでね、このなんだっけ?このデビルアーマーがね、結構なんかキーキャラ、
[00:37:26.319] キーキャラみたいな感じで扱われててかっこいいのよ。結構かっこいいんすよ。
[00:37:31.800] このただのモブ。もうなんかめちゃくちゃえ、待って。なんか敵強ない?
[00:37:40.560] 敵強くない?
[00:37:41.520] 切り
[00:37:45.280] 強いな。
[00:37:51.240] の敵強いはドラクエあるある。
[00:37:53.560] ドラクエあるあるかな?
[00:37:55.720] よかった。
[00:37:58.359] ドラクエあるあるかもな。ここの
[00:38:01.040] そういやバギ系がグループ攻撃じゃなくなったね。
[00:38:05.000] ああ、言われてみればなんかちょく思ってたんだよ。全員に聞くなと思って。あ、それバギ系だけなんだ俺。
[00:38:13.359] 今作もうグループとかいう概念なくなったんかと思った。バギ系だけ。
[00:38:19.720] 我ら兵士の力が及ばなかったばっかりにこんなことになろうとは。これというのを我々が昔上最強の海賊様の力に頼りきっていためダさ。シャークアイ。えー、おなの腕を磨くことにも忘れることは全くなく情けないことです。おい、僕に妹ができたんだいでしょう。
[00:38:39.040] でも父さんとお母さんは部屋に鍵をかけて閉じこもって妹にも合わせてくれないんだ。僕には教会に隠れてなさいって言うしなんでだろう。え、なんな
[00:38:48.440] 闇深そう。昨い防具屋さんのところに子供が生まれたんですよ。その上今夜は満月ですしね。だからこうしておいでにしてるのです。何何何何何。
[00:38:57.680] おや
[00:38:58.440] おやおや。あんたたち旅の人かい?一体どうやってこんな時にこの国へやってきたんだろうね。悪いことは言わないから今夜は町へ行かない方がいいよ。
[00:39:05.720] 出ないとあんたたちまであんたたちはその目で本当におもしいものを見ることになる。この世で最も悲しい呪いをね。何?
[00:39:12.079] うん。
[00:39:13.680] 史上最強の海賊。そういえばずっと前に聞いたことがあるでござるよ。この王国に使えのせ、海の魔物をけ散らす、え、海賊がということ。うん。
[00:39:23.319] うん。
[00:39:24.160] 可愛い子供を教会に預けて両親が生まれたばかりの赤ちゃんと部屋に閉じこるなんて間違いなく言事こじゃないわ。
[00:39:30.640] うん。
[00:39:30.920] あら、
[00:39:33.079] 何なんでしょうか。
[00:39:34.680] 何なんでしょうか。ガモ。
[00:39:38.520] でも確かにバギ系ってさ、全体技でもいいよね。
[00:39:43.119] なんかお、バギ系ってちょっと弱かったもんな。バギ系ってなんかあんまりなんか強いイメージなかったもんな。
[00:39:55.760] なんかあのダメージのさ、ダメージの幅がでかいイメージなんかめっちゃ効く時とめっちゃ効かない時があるんだよな。
[00:40:07.720] 今回全体ランダムだね。
[00:40:09.800] あ、全体でランダムなの。僕たちが何をしたって言うんですか?はい。あ、すいません。こんなことを誰にもどうにもできないっていう。でも僕の妻はもうずっとこの状態で
[00:40:20.560] 2
[00:40:20.640] 年前に生まれた息子の夢を今でも毎日見るんです。
[00:40:23.000] 何?何?何?う、私のコりん、こっちはいらっしゃい。そっちには魔物がいるのよ。待ってちょうだい。う、どうしこと?どうした?どうしたろ?何?どうもこういうのを見るのはやるせないでござるな。どういうこと?
[00:40:34.200] 大きな国なのにするかね。
[00:40:36.599] ガモ。
[00:40:41.560] どういうこと?何が何?何なの?何が起きてるの?何が起きてんのかいまいちわからねえな。
[00:40:51.040] おお。
[00:40:51.640] ここはコスタール。海に浮かぶ港の国だ。入るなとは言わないが、この国には口に出すにも恐ろしいほどのしい呪いがかけられている。会いにく月今夜は満月だ。いらぬ薬菜に触れる前に一早々に立ち変えられる。なんで?
[00:41:06.359] ねえ、ガモ。
[00:41:09.800] なんやなんやねん。
[00:41:22.240] だめだ。どこにも入れないんだ。
[00:41:26.880] なんですの?
[00:41:38.079] 今の声はある時も言ってみるでござるよ。
[00:41:46.720] 割近いな。あ、
[00:41:51.599] 私の赤ちゃん。
[00:41:52.839] え、
[00:41:53.400] ママのことが分かるでしょ?な
[00:41:55.400] んですか?
[00:42:00.440] え?
[00:42:01.760] 大丈夫か?シエラ。
[00:42:03.000] なん?なん?どういう?
[00:42:05.160] だから言ったろ。この子にはもう俺たちのことも分からないんだ。
[00:42:09.680] え、子供なん?でもこの子は私たちの赤ちゃんなのよ。諦めるなんてできないわ。
[00:42:31.640] あなたどうしてこんなことに
[00:42:38.160] ドラクエセブですな。ドラクエセですね。やっぱりこういうのよ。
[00:42:46.559] やっぱドラクエ7は
[00:42:56.240] 遅かったかな?
[00:42:57.480] なん元人間ってことがあるわ。
[00:43:00.960] コスタルを今広告を
[00:43:06.960] 不要だ。この状況を見れば聞かずとも何が起きたかわかる。
[00:43:14.480] よく耐えてくれたな。
[00:43:17.400] モンスターになっちゃったってこと。見ない顔だな。そなたたちはまさか旅のものか。
[00:43:23.520] まさかて別にまさかってことでもないけどな。
[00:43:26.280] 闇の海を超えてこの国に来る。
[00:43:28.839] ああ、なるほどね。別に海超えてきたわけじゃないんだけど。
[00:43:33.359] 未来から来ました。
[00:43:34.720] 度詳しく話がしたい。そなたらにはご速をおかけするが後で城に来てくれ。
[00:43:43.720] ではまた今は絶望に負けてはならん。あの赤子が帰る場所はそなたたちの元だけなのだから。
[00:43:55.680] いいこと言うね。な
[00:43:59.440] んなんちゃったってことなんかな。
[00:44:11.079] 息子が
[00:44:16.119] 何?うも今のだけじゃ、審議は分からなくない?あの子だけがモンスターになっちゃったのか、もう子供が全員モンスターになっちゃう呪いなのか。満月の夜だけ旅の者たちよ。先ほどは驚かせてしまいすまなかったな。改めて歓迎させてくれ。
[00:44:39.200] 私はポスタール。そなたらの名は何と
[00:44:43.400] 申した
[00:44:51.280] な出会いが国を救うきっかけになるやも
[00:44:54.440] しれ。すまるが少し話を聞いてくれ。
[00:45:02.079] 5年ほど前のことになる。
[00:45:04.880] 我が国で生まれる子供に呪いが振りかかり始めたのだ。生まれて最初の満月の夜にその子の姿がおましい魔物に変わり
[00:45:16.440] 闇の先へと1
[00:45:17.920] 人去っていくというこんな残酷な呪いが許されようか。
[00:45:22.920] え、大丈夫かな?俺ここの町にたどり着くまでに結構モンスター殺してきちゃったけどその中に混ざってるとかやめてよ。もう今更言わないでよ。
[00:45:31.400] 呪いをかけたのは言うまでもない。
[00:45:34.599] 天たのをしま島を闇に封印し、世界を支配セットする。
[00:45:40.800] 魔王
[00:45:41.319] そこまで分かってるんだ。島々島々を封印してるってなんか
[00:45:45.680] 1
[00:45:46.040] 大丈夫かな?俺なんかああ、初見ワンパンだとか言って何匹か殺しちゃったけど大丈夫ですかね?そん中にいないよな。
[00:45:54.079] 当時我が国は最強と奪われた海賊だ。
[00:45:58.200] マールデドラゴン。
[00:46:01.280] 激しく抵抗してひどうした?ひどない?急にネーミングセンスなさすぎだろ。
[00:46:07.720] ドラゴン
[00:46:09.359] 急にネーミングセンス弱わじゃん。マールデドラゴン。
[00:46:16.280] しかし魔王の力はとててもなく戦いの末に海賊団は氷の海に封じられ、我が国は呪いと共に闇に閉ざされた。
[00:46:29.800] まるでドラゴをしない。もはやまともに戦兵力はない。真面目に話してるけど。
[00:46:36.040] このままでは
[00:46:36.960] ちょっとおもろいやろ。マールデドラゴーンはそんななんかシリアスなく
[00:46:41.119] 旅に吹き出
[00:46:42.760] シリアスなドーンで言ってますけどマールデドラゴーンはちょっとちょっと名前ちょっとすごいな。
[00:46:49.400] そこでだ。封印をともせずこの国にやってきたそなたらの力を見込んで頼みがある。
[00:46:56.720] 何ですか?
[00:46:57.520] おましき呪いを解き、この国を封印から救う手助けをして欲しいのだ。力を貸してはくれまいか?
[00:47:06.079] まあ、それをやって回ってますんでな。いいですよ。
[00:47:13.040] ありがとう。旅の者たちよ。国が救われた赤月にはこの恩は必ず返すと誓を
[00:47:20.559] まあやってみて無理だった場合でもお礼はしてほしいよね。
[00:47:25.319] 国が救われた赤つにはでも成功報酬じゃ
[00:47:28.040] ないから。まずもうここで依頼された時点
[00:47:30.079] でもう報酬はもらうこと確定してるからな
[00:47:32.119] 。
[00:47:34.680] さて作戦会議というにはもう夜も遅い。
[00:47:40.319] 続きは明日の朝話そう。満月の夜は宿屋も
[00:47:44.880] 開かぬだろうから。この城の3階にある
[00:47:48.160] 部屋のベッドを使ってくれ。
[00:47:51.319] ふーん。
[00:47:53.280] でドラゴーンね。
[00:47:54.720] うん。
[00:48:01.319] お、麺は眠ってるエニアスをそっと見つめた。とても綺麗な若い女性だ。しかし苦しそうな顔してね。絶対モンスターになるやん、こいつ。こいつ絶対モンスターなるぞ。
[00:48:14.400] この絶対この3
[00:48:15.720] 階で寝るじゃん。そしたら夜中にキャーっつってモンスターになるね。
[00:48:20.400] はい。
[00:48:21.319] モンスターになるのね。
[00:48:22.839] エニアス様アニエス様は我が国の王がキャプテンシャークアイ様よりお預かりした大切なお方。
[00:48:30.040] 5
[00:48:30.200] 病気でお休みのとこですね。どうぞ。お静かに。
[00:48:32.839] ねえ、
[00:48:34.359] 絶対こいつモンスターになりますやん。
[00:48:38.359] あの、
[00:48:39.160] あら、旅の方たちもう来ちゃったの?ごめんなさいね。ベッドメイクがまだ終わってないのよ。あとほのちょっとだから終わるまでバルコニーでも行って、え、夜景を、え、眺めてきたらどうかしら。
[00:48:49.240] うん。
[00:48:51.559] マルコニーってどこだよ。ベッド
[00:48:53.440] 2
[00:48:53.599] つしかないやん。俺とマリベルとアイラはうんね。一瞬寝ような。バルコニーってどこですか?
[00:49:07.200] ふわる申し訳ないが老体に夜服化しは答えるでござるよう。街の探索はえ、こいつさっきさっきこいつなんか今夜は高ぶっておる。よ風に当たるのもいいなみたいなこと言ってたよな。さっきな。
[00:49:18.640] やべえ、こいつアルツハイマーだから。アルツハイマーだから。あれだ、さっきと言ってることが全然違げえ。お前さっきよ風に当たんのいいなって言ったばっかじゃねえか。
[00:49:26.520] ダブル
[00:49:26.960] じ。こらすぎる。ここがバルコリ狭ない。人工密集率えぐいやろ。
[00:49:37.520] はい。
[00:49:38.799] こうして暗い弓を眺めていても目を閉じればかつての幸せな日々が思い出されるのです。
[00:49:43.799] 私はコスタール国の学士として長い間の皆
[00:49:46.640] さんと暮らしそして旅を共にしてきました
[00:49:48.640] 。特に我が国が誇る海軍マールデド
[00:49:51.200] ドラゴンとの船旅は最高の思い出です。
[00:49:53.720] そう今でもこのさ波に混ざってあの時の
[00:49:56.359] 賑合いが聞こえてくるようです。
[00:50:03.079] なんでドラゴン
[00:50:10.480] キャプテンシャ愛。
[00:50:11.520] あ、こいつなんや。ちょっと
[00:50:16.760] FF7のあれみたい。出る。
[00:50:18.440] あれみたい。
[00:50:18.920] 何を慌ててるんだ?
[00:50:20.599] ンセントみたい。ちょっと
[00:50:23.799] 何を呑気にしとるんですか?例のお客さんがこの船に乗り込んできたんですよ。
[00:50:30.599] ああ、分かってるよ。かるやこさんついに来たな。
[00:50:34.839] え、この声あれじゃね?あいつあのあれなんだっけ?あの
[00:50:38.480] FF8
[00:50:39.040] のお父さん。あ、年代バれしちゃった。名前出ちゃった。え、あれやんな。
[00:50:47.480] FF8
[00:50:48.119] のさ、あのラグナ、ラグナの声じゃない?これ
[00:50:52.720] では船での準備は頼んだぞかデる。
[00:50:55.559] 違うかな?ごめん。全然違ったらごめん。
[00:50:57.319] 全然違った。すぐ
[00:51:02.040] イエスターキャプテンシャ。
[00:51:06.079] これはコスタール国の大臣度の
[00:51:08.359] 違うかも。ごめん。
[00:51:09.359] 海の覇者たる大国の用人が
[00:51:11.359] ファイナルファンタジー。こんな苦しいとこそ。
[00:51:15.040] これなんかでも有名な他のキャラクターの声の他のキャラクター言って誰やっけ?なんか聞いたことあるよね。
[00:51:21.119] 相手があなたですから。疲れ。
[00:51:23.000] あ、リミさんお疲れじゃん。やってんで。
[00:51:26.000] やってんで。
[00:51:27.160] 誠意の証です。それに今日こそはよいよが来てるものと確信してそうだよね。
[00:51:35.440] 次第です。
[00:51:36.839] あ、さ、3次なんだ。
[00:51:39.880] こんにちは。パ。
[00:51:41.200] あ、ジ、サジもこの声なんだ。おにぎりを食わせてくれよの人。あ、パルドんは。パルドさんこんばんは。やってますぜ。今日もなんかキャプテンシャークアイおにぎりはゾロ。え?
[00:51:55.359] それはゾロ。あ、それはゾか。あれ
[00:51:57.920] 3
[00:51:58.040] 時って誰だっけ?あ、クソお世話になりましたの人。この声優だけ
[00:52:04.240] はそれ
[00:52:05.520] このせこの声優だけあの海賊の仕事してんの?ジャックスパローもやってワンピの
[00:52:11.960] 3
[00:52:12.079] 時もやってこのなんだっけ?キャプテンアードコードもやってんの?
[00:52:16.760] ほぼ海賊やん。
[00:52:20.160] そうくならずともこのマールデドラゴンのコ路はすでに決まっているさ。
[00:52:25.640] これラグナの声だよな。
[00:52:27.799] 邪魔ゲってるらしい。
[00:52:30.520] これより
[00:52:31.240] 俺
[00:52:31.559] 船の
[00:52:32.079] 俺の声でいいだろ。そ
[00:52:33.760] 生まれない。
[00:52:34.400] 目的は北製スタール国だ。
[00:52:38.119] は了解いたしました。
[00:52:41.240] なんだ
[00:52:41.599] 大人の何をぼっとつったっておられる?長旅の準備は全て整っている。さあ、戦室に入ってゆっくりくがれよう。
[00:52:53.440] え、これ船なん?
[00:52:57.000] シャークアイトの感謝します。
[00:53:00.280] え、これ船なん?
[00:53:06.040] シャークアイドが我らの軍を引きいてもう
[00:53:09.079] 2年。
[00:53:10.359] まるでドラゴーンの活躍は目覚ましいものです。
[00:53:13.960] だせえな。毎回思うけどだせえな。まるデドラゴン。
[00:53:20.960] しかし魔物はどんなに倒してもまた何倍もの数で押し寄せて霧りがありません。
[00:53:28.880] うん。どうやら我々は闇の世界から目をつけられているようだ。
[00:53:35.839] 当然といえば当然であろうが実は明日シャークアイドルが魔物の軍勢を沖へとお引き出し一気に決戦へとらしい。
[00:53:48.079] マザーの敵ね。まるでタコね。
[00:53:51.319] そ、そんな危険な。いくら最強の海賊とはいえ闇の王に狙われたら叶いませんぞ。
[00:53:58.640] タコそのものとかもいるしね。タコそのものね。うん。
[00:54:03.760] しかもつい昨やアニエス殿のお腹に赤ちゃんがいることが分かったばかりではありませんか?
[00:54:10.040] アニエス殿のお腹に赤ちゃん?え?アニエスってさっきの若い子供じゃないの?え、どういうことですか?
[00:54:17.400] 分かっておる。しかしシャークアイドルは
[00:54:21.680] 1度言ったことは必ず実行する男だ。
[00:54:25.480] さすが我がとコスタール王実によく分かっておられる。
[00:54:33.760] クソお世話になりましたの人だ。
[00:54:37.319] もう分かっているはずだ。この国が闇に封印されるのも時間の問題だということを。
[00:54:44.599] FF7
[00:54:45.160] のビンセントにそっくりじゃない?このこの画格
[00:54:48.079] だが俺は諦めてはいない。ここで我らが戦うのをやめればこの国はいや世界は滅びるだろう。そうか。
[00:55:01.079] 国王としては霊を言わねばならんな。ありがとう、キャプテンシャークアイ。
[00:55:07.559] まるでドラゴーンでなんか中和されてるけど、キャプテンシャークアイアイも結構ダサいぜ。
[00:55:14.119] あ、
[00:55:14.720] 結構ダサいぜ。
[00:55:15.880] コスタールの民は偉大な幸せだな。
[00:55:20.079] サメめ。
[00:55:20.720] さて、今夜は我らの船にて我が妻アニエスのための言
[00:55:25.839] あ、妻なんや。
[00:55:26.960] 後で船に来てくれ。
[00:55:32.160] アニエスって何歳なんだ?
[00:55:41.599] やれや。のまで騒いで
[00:55:46.400] な。もはや明日の船で乙女はしない。
[00:55:51.880] 1つだけ条件がある。
[00:55:53.160] こんな石作りで船使ってくそ重いやろ。沈むやろ。
[00:55:56.839] 奥型アニエス道スタール城に預けてほしい。
[00:56:02.119] うん。アニエスと結婚してもう何年にもなるが、今になって初めて子供ができた。
[00:56:09.000] おめでとうございます。
[00:56:11.119] 神の意思だと思わないか?俺たちに未来を気づけとおっしゃっているのかもしれん。コスタル王よ。妻と生まれてくる子供のことをよろしく頼む。
[00:56:30.160] ふーん。
[00:56:31.839] この雨では宴も終わりです。アニエス様、さあ、こちらへ。城からの迎えが待ってますよ。
[00:56:40.319] ごめんなさい。少し待って。もう少し波にられていたいの。この子が私たちの家を忘れぬように。
[00:56:53.079] あなたはかつてどこかの国の王女様だったとも言われるお方。お国を捨ててまでシャークアイ様について来られた理由は何なのでしょう?
[00:57:05.680] あの人が自分の名星や欲のためじゃなく皆のために巨大な敵と戦える人だからかしらね。もしかしたらあなたや家臣たちがコスタール王を思う。
[00:57:19.720] その気持ちと少し似ているのかもしれないわ。
[00:57:22.680] ふん。
[00:57:23.480] アニエスそこにいるのか?
[00:57:27.640] ではアニエス様、私は迎えの船で待っております。必ずいらしてください。
[00:57:37.039] 何?
[00:57:40.160] アニエス。雨に打たれて体を冷やすのは良くないぞ。
[00:57:44.920] お体に触りますよ。
[00:57:47.960] 刻めもいますと。
[00:57:51.039] あなた別れの言葉の代わりに
[00:57:56.000] 1
[00:57:56.119] つだけ誓を立てさせて。お腹の子が生まれたら私またあなたと船に乗るわ。笑。
[00:58:06.720] ああ、もちろんだ。
[00:58:08.200] この子は
[00:58:08.680] 何が何が何が
[00:58:10.400] 何が
[00:58:11.599] 何が突っ込ませるわ。
[00:58:13.119] デドラゴンで
[00:58:14.160] 突っ込んでくれよ。
[00:58:18.200] 海の神が授けてくれた俺たちの子だ。俺は必ずお前の元に帰る。
[00:58:24.640] ここが家。このこの船が家なんやな。こいつらのマールデドラゴン生まれ。
[00:58:31.920] 貴めもいますとって言わせろ。
[00:58:35.200] 言えよ。じゃあ誰に切れてんだよ。何に怒ってんだ。言えばいいじゃねえかよ。言えよ。
[00:58:43.520] ダブル。
[00:58:45.079] 何に起こってんの?え、別に言えばいいじゃん。
[00:58:49.000] 自分で突っ込んだじゃん。
[00:58:50.799] あ、そういうこと。あ、そういうこと。俺が言っちゃだめなのね、俺。あ、あ、そういうことね。いや、不安になっちゃった。不安になっちゃった。もうどうせみんなコメントしてくんねんかなと思って。不安になっちゃって自分で言っちゃった。ま、待ちでいいのね、あれは。あれは街で良かったのね。
[00:59:06.839] 笑笑。
[00:59:08.119] あれ、待ちで良かったのね。いや、だから、なんか、しかもなんかあんまなんか伝わるかなと思って。
[00:59:13.240] ありがとう。伝わるかなと思ってさ、
[00:59:15.520] リスナーを信じろ。
[00:59:20.839] よかった。ちょっとじゃ次はちょっと自信持ってちょっと待っとくわ。突っコみ待ちするわ。じゃあ自分で突っ込んじゃごめん。キめもいますと。レは眠ってるアニエスをそっと見つめた。とても綺麗な若い女性だ。しかしそうな顔している。これ子供じゃなかったんやな。子供じゃなかったんやな。
[00:59:42.720] ほんでもう寝ていいんか?分かった。シャークアイの子供が生まれてそれが子供になっちゃ、あの悪魔になっちゃうみたいな。そういことじゃね。そういうことじゃね。そういうことじゃね。
[00:59:56.359] プレイ
[00:59:56.920] そやんな、絶対。うん。シャークアイそこにいるの?クソ美人やん、こいつ。うん。あなたシャークアイじゃない?
[01:00:05.280] え?
[01:00:06.119] まあ、アニエス様行けませんわ。アニエス様。
[01:00:08.599] お休みにならないとお体にお本当にメるいるじゃん。え、本当にメたでモンスターに
[01:00:16.680] 本当にいた。メがお体に触りますよ。
[01:00:21.079] あら、
[01:00:21.640] 貴メじゃん。
[01:00:22.400] 笑笑
[01:00:23.160] 本当にいたじゃん。メが。星書きメね。忍びが忍び刀七人の周るでモンスターになっちまうな。でも不思議とこんばんは。気分がとてもいいんですよ。
[01:00:37.960] サメ肌。俺のサメ肌は切るんじゃない。
[01:00:41.920] 削る。
[01:00:44.720] 1番でもあいつ死にざ死ざが1番かっこ
[01:00:47.799] いいからな。貴メは自分でサメに食わせて
[01:00:51.400] 情報をさ、消す。あいつは
[01:00:53.720] めちゃめちゃかっこいい。
[01:00:56.640] あなたたちもしよかったら時々遊びに来て
[01:00:58.359] ください。旅のお話を聞かせてくださいな
[01:01:00.400] 。まあニス様以上は無理なさらないで横。
[01:01:04.119] そんな最後やごめん。
[01:01:05.280] クソネタバレした。全員通ってるもんだと思って喋ちゃった。ごめん。ナルトは全員通ってるもんだと思った。男の子は。
[01:01:14.440] あの、
[01:01:15.760] 皆様失礼いたしました。こちらのアニエス様は病気、ご病気中のため療用中で時々熱になされるようなんです。なるべくそっと静かにお休みになられるようお願いいたしますね。お腹に子供いるんちゃん。
[01:01:30.640] お腹に子供がいるっちゅうことやね。
[01:01:35.520] しかも歌に出てシャークって人ちょっとレた気がする。なんとなくなんとなくなるとこで毎回飽きるからその先知ず巻きな友物語それが良いのみたいな感じでしょ。あそこも泣けるよね。あそこも泣けるんよな。あそこも泣けるんよな。綺麗いに整られたベッドからはい。休みましょう。マリベルちゃんはこっちおいで。
[01:02:09.240] ノーレンドのわしの寝室のお前の寝室なんかいあれ
[01:02:16.359] いやいつったかシャークアイを止めた時には散々に言われたのを思い出してのさ思い出のえ続きはここまででしてえの話の続きをすこの国を救うための策についてだこの学者が調べたところによるとどうも北の対当内が闇に犯されたってこと
[01:02:31.039] に、え、薬菜の原因があるらしい。え、
[01:02:34.400] 魔物にされた子供たちが北の大に大大大大
[01:02:37.599] 藤大に向かっていくという噂は昔からあっ
[01:02:39.279] たんだが、えー、闇のに、え、犯されて
[01:02:42.920] 以来、大東の中には暗闇みにされて
[01:02:45.799] 調べようにも歩くこともできんの。
[01:02:48.440] しかし学者の考えた方法なら暗闇みの中で
[01:02:50.559] も子供たちの後を追うことができるという
[01:02:52.359] 。ああ
[01:02:53.400] では後は頼むぞ。はい。ですか?
[01:02:58.920] え、実はこの国のずっと東の洞窟にはドア
[01:03:01.599] 付属の集落があります。え、彼らは洞窟の
[01:03:04.559] 地深くにある不思議な光、光芸人かな?
[01:03:08.640] 光形を太陽の代わりにして生活をしておる
[01:03:11.240] のです。そこで私は考えました。その光形
[01:03:13.760] を魔物にされた、え、子供の足につければ
[01:03:17.799] 後を終えるのではないかと光きは暗闇みで
[01:03:20.520] 光りますから、その光る足跡を負えば、え
[01:03:22.920] 、大東の中でもあることができます。
[01:03:24.839] しかし3章は数回だけ。魔物にされた子供
[01:03:26.920] は数日間だけこの国に戻ってきますが、
[01:03:28.960] その後は身も心も魔物になって2度と戻り
[01:03:31.079] ません。え、じゃあもう助からないって
[01:03:33.279] こと?じゃあもう助からないってこと?今
[01:03:36.000] まで子供になったのはじゃない。悪魔に
[01:03:37.480] なったのは
[01:03:39.799] ということで私の説明おしまいですがもう
[01:03:41.640] 一度お話ししいいけど。え、じゃあ新しい
[01:03:44.160] 子供が悪魔になるまで待つってこと。結構
[01:03:46.400] 残酷じゃない?もう1人の命はもう消さ
[01:03:48.680] なきゃいけないってことだよね。多分
[01:03:51.720] これがFF7。うん。うん。
[01:03:54.480] わしがドワー不族の王さに広く嫌われているため我が国のもの頼みは聞いてくれないんだよ。しかしそなたならは旅人だ。ノアフたちもきっと話を聞いてくれる違い。ファンタジー
[01:04:04.760] 何?あ、ドラ間違もうぐちゃぐちゃやな。ぐちゃぐちゃや。ぐちゃぐちゃドラクエセね。で、申し訳ないけどセブって言ったらもう
[01:04:13.960] FF7
[01:04:14.520] やで。ドラクエナの俺も認める。セブって言ったらもう
[01:04:18.279] FF7が出てきちゃう
[01:04:19.920] ね。興味ないね。
[01:04:23.279] じゃ、ドワーフの洞窟に行きますか。
[01:04:24.960] じゃあ光けをもらいに
[01:04:36.480] 入れんのかな?あ、入れる。
[01:04:43.079] うわ、何それ?氷の刃。プラティナソード
[01:04:46.520] 。うわあ、強いやん。
[01:04:49.839] 強いです。プラチナの槍。槍とどっちが
[01:04:52.160] 強い?プラチナソードかな?買っちゃおっ
[01:04:55.440] か?
[01:04:58.160] うーん。はやぶさの剣装備してんだけど
[01:05:01.520] いや。はぶさの剣いや。
[01:05:10.240] よし、じゃあ行みますか。うん。光のけの
[01:05:13.599] 入るドア付属の集落か。暗い洞窟の中
[01:05:15.720] で一体どんな暮しをしてんのかしら。
[01:05:17.920] 特技勢だとぶさ微妙よね。そうだよ。極ゲ
[01:05:21.760] だからさ、
[01:05:25.480] 天地無双をやってるだけだからさ。天地も
[01:05:27.559] やってるだけだから。天ち。えー、
[01:05:33.599] ここか。
[01:05:38.279] ど、どっから行くの、これ?ああ、こっち
[01:05:39.680] か。
[01:05:43.680] あ、明治キメラがいる。はい。初見
[01:05:46.680] ワンパンですと。おい。あ、なんだこれ?
[01:05:50.240] 殺人鬼や。
[01:05:50.839] 殺人鬼。殺人鬼。名前変わったんか?エリミネーターか。乳首がある。乳首がナフされてない。敵強ない?
[01:06:01.000] かいい?
[01:06:01.960] なんかあれかな?そろそろ本当に真面目に戦ってかないとまずいか。レベル上げ貯金切れた。なんか敵めっちゃ強い。
[01:06:08.960] あ、乳首痒い。
[01:06:11.760] 思い出してからに。ああ、乳首。
[01:06:16.279] 今痒くないわけ。
[01:06:21.480] エリミネーターや。殺人鬼って名前は使えなくなったんや。強。
[01:06:27.079] ちょっとやめて。
[01:06:29.680] それ
[01:06:32.640] 条約ソ。ありがとな。
[01:06:37.319] ありがとね。
[01:06:40.319] あれかな?そろそろレベルアップちゃんと狙ってかないとあれか。ちょっと敵めちゃ強なってきたな。なんか急につうわあ。
[01:06:51.680] 久々に死んだとこ見たわ。
[01:06:54.400] 久々に死んだとこ見た。あ、
[01:06:59.839] これがいい。
[01:07:02.359] 何?ちょっと戦っていかなあかんね。戦っていかなあかんで。
[01:07:09.119] 誰かそこ誰かちょっとなんか青向けにしてあげるとかしようよ。なんだ敵やるやん。強なってきてますやん。
[01:07:18.520] うわ。しかも何?あれなんかい?
[01:07:20.799] 11残るんかい?
[01:07:23.400] 1
[01:07:23.680] 残るんかい?しね、こんばんは。しネお疲れちゃん。ドラクエやっとんねん。これだ。もうこれ、これ禁止しよう。戦おう。ちゃんと戦う。戦います。ちゃんと。いっぱいいるな。
[01:07:34.720] 久し
[01:07:35.440] お久しやってますよ。ドラクエセブ。
[01:07:43.480] こんなやら大して強くねえからいいんだよ。
[01:07:47.480] もうなめプしてるもんな。
[01:07:53.880] ちゃんとレベル上げてかないとまずいかもね。行きなし強くなってきたな、敵が。ほんでここでスかい。ほんで
[01:08:05.279] くんくんくんくんくんくんはまずい。この洞窟との匂いに混じって綺麗な水の匂いがするぞ。だから光りボケってのが生えてドワフのみんなが外に出なくても暮らしていけるんだな。
[01:08:16.600] ガボガボ
[01:08:18.759] だガボしか喋んねえわ。なんでこんな悲しい
[01:08:27.359] BGMやねん。
[01:08:31.759] 本当にドワーフ。あ、逃げた。人間が来たぞ。なんでやねん。
[01:08:44.679] わちなはドアー付属スタール王妃の泣きやと人間とは縁を切って暮らしておる。それ以上入ってもらったら困る。ってくれ。お前
[01:09:00.960] ここは我らが長老様の家ドワーフではないもの入れるわけにはいかないね。
[01:09:05.679] おい、いいから入れてやんな。あ、続分かりました。
[01:09:12.279] あ、待って。その前に、え、あれはお
[01:09:15.960] 魔物に荒らされはしたが、ここにはまだ我ら一族の宝があるんだ。物者は遠すか男事でできねえべさ。ありますな。あそこに。
[01:09:28.520] ふん。何やら外がおかしいと思ったら人間が迷い込んどったか。なんわしらドアフになんとできな何と用でもあるのか。はい。ああ。
[01:09:37.640] コスタロが嫌われてるぐらい代わりに来た
[01:09:39.560] と。ふ、別にわして嫌っちゃいねえよ。娘
[01:09:42.480] のシクリナのことはどうにも仕方ないこと
[01:09:44.600] 。何?何?娘のシクリナには何かあったの
[01:09:46.520] ?けどよう分かるだろ。しり名は本当に
[01:09:48.600] 難しい可愛い娘だった。一族のみんなも
[01:09:51.319] しっとったし、周りのものを幸せな気持ち
[01:09:53.199] にする不思議なあった。コスタルを、
[01:09:55.360] そして人間を恨むことで少しでも悲しみを
[01:09:57.440] 抑えるしかねえのさ。で、わしに何の
[01:09:59.600] 言ようかね。全然知らないんだけど。その
[01:10:01.199] シクリナの話。
[01:10:05.199] シャーク愛がやられたってのは知ってたか
