[00:00:20.560] おいす。
[00:28:25.880] 任天堂公式まだ終わってないよね。きそう。
[00:28:28.960] モグラーニャなんかすごい日だな。でも俺モグラーニャ好きだから。モぐらなんだろ?モグラーニャ配信でやってもいいぐらいだよ。配信でやってもいいぐらいだ。
[00:28:29.569] [笑い]
[00:28:39.120] あとは一応一応あのなんだっけあれあれなんて言うんだっけ?
[00:28:47.760] F0が35周年。F0が35
[00:28:51.600] 周年らしいんだよね。
[00:28:53.559] F0
[00:28:54.159] 新作ないだろうな。ま、ないと思うけど。ドリルレの新作もないだろうね。だってゲームフリーグだからね。あれゲームフリーグだからね。ワンチャンあるかな?ゲームフリークだってなんか新作結局出すでしょ。
[00:29:06.000] 10月とかに。10
[00:29:07.440] 月だに出んでしょ。いやあ、楽しみすぎるな。今年
[00:29:12.720] ブラックブラック新作
[00:29:14.440] 絶対ねえよ。絶対ねえよ。ブラブラ知ってるのエジソンと俺だけでしょ。あのゲームボアドバンスのな、ブラックブラックってやつね。あれもまたまたレアなゲームだから。ブラブラね。
[00:29:16.075] [笑い]
[00:29:27.640] あれもうだいぶレアなゲームだからということなんでちょっと楽しみすね。
[00:29:33.919] まだ終わんない?もうそろそろ終わんじゃないの?リスナーも知ってる。
[00:29:37.960] あ、そうか。
[00:29:38.799] プレステ5
[00:29:39.440] とかも新作目押しだったから任天堂も楽しみ。
[00:29:43.000] え、プレステ5
[00:29:43.760] のあれ出たのなんかし。あ、そっか。それであれか。それであれか。プレステ
[00:29:48.039] 5の新作のやつであの悪魔城ドラキュラ
[00:29:51.600] クソでかい自信来た。
[00:29:53.039] あ、そうなんだ。あの悪魔城ドラキュラ発表されたのか。
[00:29:57.320] 悪魔城ドラキュラさ、10月15日新作
[00:30:01.679] 発表の発売なんだけどあれかプレステ5版
[00:30:04.799] とXbox版だけなんだよね。なんで
[00:30:06.600] switch版出せないんだろう?俺
[00:30:07.679] Switch
[00:30:07.960] でやりてんだよな、悪魔女ドラクラは。てかそこまで悪魔女ラあれあの画質求めてないからスイッチでやりたい。
[00:30:14.279] スペック[鼻息]
[00:30:15.519] いやなんかね1年なんかそ2026
[00:30:18.519] んまいつ出るかわかんないらしい。いつ出るかわかんないけどなんかまだまだ発表されてないんだよね。ちょっと遅れるらしいだからな。まだ予約できないんだよね。コナミスタイル限定でコレクターズエディションみたいの出てんだけども悪魔女らガチ勢だから絶対それ予約するんだけどまだスイッチ版出てないんすよ。
[00:30:35.799] あ、あれかな?終わった。エクペンツレイン復活戦った。エクスペリマンツレインってあのプレステ
[00:30:40.640] 1のバカやね。
[00:30:41.519] こんばんは。
[00:30:42.240] ルビーさんこんばんは。さあ行くぞ。さあ行くぞ。
[00:30:45.039] 見ちゃおう。これから視聴なのね。
[00:30:47.399] これから主視聴。そう。あのなんでかって言うと、あのなんだっけ?同時視聴っていうか、その画面に映せないんだよね。あの生配信は配信済み。あ、オッケー。これ見れんのね。
[00:31:02.600] 辛抱たまらん。
[00:31:03.760] これは見れんのね。
[00:31:07.320] いいんすか?じゃあ行っちゃって。ちょっと待って。画面が出てなかった。
[00:31:10.880] 画面が出なかった。ごめん、ごめん、ごめん。
[00:31:13.519] 行っていいんか?
[00:31:15.360] 行っていいのかな?行かせてもらっていいか?今日はありて、しかも今日
[00:31:23.120] 50
[00:31:23.600] 分でしょ?なっちゃうから口にガムテープ貼っとくね。
[00:31:26.720] いや、ちょっとネタバレだけは頼むよ。ネタバレはしないでくれよ。今日は頼むな。
[00:31:30.880] ま、さっき見てきた人は一緒にもう
[00:31:32.760] 1回、あの、
[00:31:33.960] もう1回、あの、あれしよう。今日
[00:31:37.600] 50
[00:31:38.039] 分だからね。赤いな、画面が。画面が赤いだけども。
[00:31:40.831] [笑い]
[00:31:43.919] うん。ま、行く、行く。ちょっと待って。じゃあそろそ見ますか。見るかい?見るか?見るかい?いいかい?見させてもらってええか?見させてもらってええか。
[00:31:54.586] [音楽]
[00:31:56.799] 見せてみろ。パクパクパクパク。
[00:31:59.960] 見せてみろ。じゃあ行きます。じゃあ行きます。よろしく。楽しみすぎるぜ。
[00:32:05.960] たまピロケラン。たピロ
[00:32:07.519] ピロケラン。たピロケランやな。
[00:32:11.440] Twitterやっと見れるか?
[00:32:13.240] まだ見るな。まだ見る。一緒にい
[00:32:15.360] 一緒にこれ見ようぜ。あれ?ちょっとぐるぐるなっちゃった。
[00:32:24.480] ちょっと音とかこれつ始まどんくらいこのあ、めっちゃあ、この最初の
[00:32:30.519] CMなんでやねん。タまピなんでやねん。
[00:32:35.639] なんか表え。ちょっと待って。なんか表
[00:32:38.679] ちょっと変わった生きが大調査。
[00:32:41.092] [音楽]
[00:32:42.120] こんくらい
[00:32:43.519] ヨッシーとふの感。
[00:32:45.639] 音くらいでいいか。
[00:32:49.639] いい。これは多分あれでしょ?
[00:32:52.919] これあれだもん。もう発売してるやつだもんね。これ多分最初の
[00:32:55.200] CMです。ここから行きます。
[00:32:57.399] ここから行かせてもらう。ムちゃク。
[00:33:00.279] そう。これまだ始まってない。でもここから行く。ここから行かせてくれ。
[00:33:04.120] ここから行かせてくれ。
[00:33:05.600] でも自分では中身を読むことができず
[00:33:08.200] いつもここからこのお願いはの生き物を調査する方に
[00:33:16.559] ちょい上げ
[00:33:18.919] よし
[00:33:21.159] 天調査の前に
[00:33:23.320] これも面白そうだよね。
[00:33:25.159] これも面白そうなんだよな。
[00:33:26.840] 下を伸ばして食べる
[00:33:29.880] かいいな。
[00:33:30.679] 狙いを定めて卵を投げる。
[00:33:33.480] ヨーアイランドやんけ。
[00:33:34.919] 少しだけ中に受ける踏ん張りジャンプ
[00:33:38.519] かいいよな。
[00:33:39.279] 真に向かってヒップドラ。
[00:33:42.663] [笑い]
[00:33:42.799] これらのアクション時間の中を調査してみましょう。
[00:33:47.399] ヨッシーの万有引力とか好きだったな。アドバンスの
[00:33:50.919] ペロンして欲しいよね。卵になりてえよな。
[00:33:53.159] ヨッシーアイランドやんけ。
[00:33:54.799] ヨッシーアイランドやん。
[00:34:02.960] ゴーストオブ妖定早速いました。な
[00:34:06.120] んなのやつたドクター
[00:34:10.960] ゲームアドバンスのやつあったよな。
[00:34:12.679] 発見があるとこんな風に画面に描かれます。
[00:34:16.159] 甘い。甘いんだ。
[00:34:19.560] 卵を開けたら
[00:34:21.599] 気絶して
[00:34:22.399] のやつめっちゃむずいんだよね、あれね。
[00:34:25.040] そして本作ならではのアクシャン尻尾を振る。
[00:34:28.879] え、
[00:34:30.359] 振った尻尾で背負うことができました。かいい。
[00:34:34.599] チキチキチキ
[00:34:37.159] かいいね。
[00:34:37.960] つぼみに触れると
[00:34:39.720] 鼻が咲くようです。
[00:34:43.560] 今度はヒップドロップ。目が出てきます。
[00:34:47.440] いや、死んでますやん。怖。白目なってますやん。
[00:34:52.040] ヒップドロップすると草むになりました。
[00:34:56.879] こんな風に発見が新たな発見と繋がっていきます。そして中にはキラキラ輝く特別な発見が。
[00:35:15.320] この大発見を見つけると大発見。
[00:35:18.240] 調査は終了です。
[00:35:19.560] 発見。うーん。
[00:35:22.240] おもろそうだね。ちょっと飛ばしちゃおう。
[00:35:24.920] ちょっとお使
[00:35:28.480] いんな特徴を持った生き物がたくさん登場します。
[00:35:34.920] やら結構
[00:35:39.680] 興味なしじゃないよ。
[00:35:41.079] おもろそうだね。は草
[00:35:44.760] 面白そうだね。飛ばしちゃのアーボに対応しています。
[00:35:46.459] [笑い]
[00:35:48.920] これ欲しい。
[00:35:50.119] わミーボか。
[00:35:51.880] アミーボを。
[00:35:52.640] 俺もう怖くて手出してねえんだよ。
[00:35:54.680] 俺みたいなさ、物欲の塊りはさ、
[00:35:56.760] 1
[00:35:56.920] 個買ったら全部集めなきゃいけねえから。
[00:35:59.680] 正しい。
[00:36:01.440] おお。ええ。シャドウケート
[00:36:04.839] 64。あ、違った。ドンキーコング64
[00:36:06.640] か。なんだ。シャドウ系
[00:36:09.040] 64じゃねえのか。
[00:36:10.880] スマブラなんて1
[00:36:12.000] で買ったらおしまいじゃん。笑。
[00:36:13.839] 終わり終わり。
[00:36:14.640] 笑笑。毒。
[00:36:16.280] マジで来るかと思った。
[00:36:20.880] 64って何?
[00:36:24.000] ちげえよ。そんなに出てねえよ。そんなに出てねえよ。ドンキーコング。
[00:36:34.440] オッキングクルールDK
[00:36:37.480] ドキーコ怖すぎだろ。ハ、お疲れ。見るぞ。見て行くぞ。
[00:36:43.960] ドンキーの1番半年だ
[00:36:48.880] ドンキーの1
[00:36:49.520] 番くじまだあるんだことゲージフルネームできたね。
[00:36:53.270] [笑い]
[00:36:54.560] はいご飯
[00:36:55.280] 似てるな。
[00:36:56.240] いただきます。
[00:36:57.800] 誰か俺の作ってくれよ。これ俺のミクソ似てねえから。
[00:37:00.560] 1
[00:37:00.640] 人の自分のもう1つの
[00:37:03.200] 友達コレクションワクワク生活
[00:37:05.960] 2でも遊べます。
[00:37:07.680] ふ
[00:37:08.920] ちょっともちょ本編見てえな。もう行くか。
[00:37:11.240] あ、本編行っていいすか?
[00:37:12.720] お
[00:37:13.240] らスリッピー今
[00:37:14.960] 友達ないじゃん。飛ば
[00:37:16.760] まそうなんだ。ま、これもちょいいか。これも見た、見た。俺も見たから。これ
[00:37:23.119] 顔送ってくれる視聴者だよ。本編ですら
[00:37:28.240] 50分あるぞ。
[00:37:30.839] 行きますか。行きますか。じゃあ行きます。なんかすっごい重たい。多分みんなみんなあれなんかな。みんな見てるからくそ重てえ。
[00:37:41.640] さ、行きますか。本編に映画だよな。ふ、
[00:37:45.680] でもさ、あのさ、あれなんだよな。俺スターフォックスってやったことなくてさ、唯一で
[00:37:50.680] 1
[00:37:50.839] 個だけやったことあるのがさ、ゲームキューブのさ、スターフォックスアドベンチャーっていう全然あのなんか全然シューティングじゃねえ。なんか変なやつやったことあんだね。
[00:37:57.680] ポケモンの発表があってほしい。[笑い]
[00:38:00.079] あれしかやったことないんだよな。ブ
[00:38:01.760] スク減らして金残さなきゃ。
[00:38:04.000] え、どういうこと?どういうこと?あ、これ買うのにね。
[00:38:07.640] あ、来た、来たよ。
[00:38:10.200] 今回のフックス手出そうかな。スターフォックスもろかった。フックスがやりつ。
[00:38:16.240] そうそうそうそうそうそうそう。[笑い]
[00:38:20.440] 10
[00:38:20.680] 月の欲しいタイトル合計したら左超えてわろだ。くるく
[00:38:21.696] [拍手]
[00:38:26.440] くる。
[00:38:30.560] こういう映像作りたい。[拍手]
[00:38:33.119] 心し高く。ああ、お、
[00:38:35.079] こんにちは。
[00:38:35.839] いつもお世話になってます。
[00:38:36.800] ニダイの案内役を務めます。小泉です。
[00:38:40.520] いつも
[00:38:41.520] え、
[00:38:41.720] Nendo大学視聴させてもらいます。橋本です。発売するよ。
[00:38:45.276] [音楽]
[00:38:45.680] 誰だよじゃねえだろ。
[00:38:46.560] こんばんはちゃうんけ?
[00:38:47.520] こちらをご覧ください。
[00:38:48.440] よろしくお願いします。今日もよろしく。
[00:38:50.960] 無名
[00:38:52.481] [笑い]
[00:38:53.520] え、誰こいつ?無名な。わけねえだろ。
[00:38:57.440] あ、
[00:38:57.880] 私の名前は温です。
[00:38:59.720] 絶対リズム天国やろ。これとかです。
[00:39:02.079] リズム天国でしょ、これ。
[00:39:04.480] 今日はリズム天国ミラクルスターズがどんなゲーム?ちゃんリズ店買うの?
[00:39:06.891] [拍手][大歓声]
[00:39:11.680] こんばんは。
[00:39:14.599] レイさんこんばんは。
[00:39:16.240] 見てきますよ。
[00:39:20.200] リズはね、配信でやれねえんだよな。あの、どうしても遅延があるから。え、
[00:39:26.040] 店舗地獄ならな。へえ、すごいですね。
[00:39:29.040] へえ、すごいですね。
[00:39:30.680] コメント読め。
[00:39:31.520] これはあれだもんね。
[00:39:32.880] これ出るって前から言ってたもんね。出るって前から言ってたもんね。これは
[00:39:38.280] うゆディノリディノディノ
[00:39:43.000] なんか
[00:39:43.319] このゲームの遊び方は
[00:39:44.560] かなり前から発表に多いよ。
[00:39:49.400] まンクだからね。
[00:39:51.160] しかもねかもね。
[00:39:53.800] ではあります。
[00:39:54.599] 好き好き好きのよりもかもね。
[00:40:04.440] 今回もかなゲマドカいいな。うわ、なんかこのこの
[00:40:20.319] U懐かしい。
[00:40:22.280] え、カジ、え、何これ、カジ?鉄骨あたり?う、サラじゃないの?これの平和はお前にかかっている。
[00:40:31.280] オ友公平監修なら買うかも。
[00:40:33.560] オ目覚めた。渋すぎるだ。使
[00:40:37.720] やるぞ。
[00:40:38.400] リズムの力で魔法を唱え。モンスターと戦いのさ。
[00:40:45.040] ファイアの魔法は
[00:40:46.200] 何これ?
[00:40:46.800] たンた。
[00:40:47.920] え、
[00:40:48.640] タンタン。
[00:40:49.560] おもろそう。
[00:40:50.880] 回復なんかちょっとRPGみたいな発動
[00:40:57.400] 私と戦いたい。
[00:40:58.560] 次に現れ
[00:40:59.640] んでこれゆっくりボイスなの?
[00:41:01.518] [笑い]
[00:41:02.319] なんでゆっくりボイスなの?
[00:41:03.920] リズムに乗って勝利をつめ。
[00:41:06.839] いや、これおもろいね。絶対
[00:41:08.280] のリズムでしょうの時間
[00:41:10.880] にもリズムで遊ぶゲームが色々あります。
[00:41:14.520] 以上。
[00:41:15.800] これ懐かしいな。アドバンスにあったよね。
[00:41:18.800] に
[00:41:20.359] 優ゆ
[00:41:22.119] はき明かりピ
[00:41:27.480] 最大4人で遊ぶて夏
[00:41:29.683] [笑い]
[00:41:35.599] 時ぴったりにおやつを取りましょう。
[00:41:39.200] 3時ぴったりを狙ってな
[00:41:42.640] んだこれ?
[00:41:43.240] この無ノボイス笑っちゃう。
[00:41:44.920] マがおやつをゲット。
[00:41:46.480] なんでこの
[00:41:47.200] 協力や対戦できるリズムゲームをや
[00:41:54.079] 1人でノりノり抜き
[00:41:55.960] わあもろそうでノりノり
[00:41:58.119] うわおもろそうやな
[00:41:59.520] リズム天ミラクルスターは
[00:42:01.720] えもうもう来月や
[00:42:03.760] もう来月じゃないですか早
[00:42:06.720] ご覧いただいた天国ミラクルスターズは
[00:42:10.240] そだよ
[00:42:10.800] Nintendosイッチ
[00:42:11.440] のタイトルですが
[00:42:12.160] すぐ出ちゃう?
[00:42:13.160] もちろん
[00:42:13.640] すぐ出ちゃう
[00:42:15.000] かった。車のワイパー勝手に動かすんじゃね。しばらくお待ちください。
[00:42:20.280] 一緒に遊んで。
[00:42:21.359] ここからは
[00:42:22.119] いいね。
[00:42:22.520] NintendoSッ2。ま、2
[00:42:25.240] とイチの両そんな高くない。紹介します。
[00:42:26.014] [笑い]
[00:42:30.040] ヘッドラインをご覧ください。
[00:42:31.880] ちゃまげ強そう。ボーナス入。
[00:42:34.119] 俺めっちゃ強いよ。言っとくけど。俺初代リズム天国だから目つぶって全部パーフェクト取れるから。
[00:42:39.839] 気合入れてこいよ。何これ?
[00:42:41.400] カのアクションシリーズ最新作鬼者ソードが
[00:42:47.920] sイッチ2で発売決定。
[00:42:49.400] 鬼むやん。
[00:42:51.119] 鬼むかさ。
[00:42:51.760] 現馬がはびこる江戸時代の京都での力を得た宮本武蔵がったことないんだよ。
[00:42:59.200] これ体験版おもろかった。やったみたいなもんでしょ。
[00:43:07.559] 現馬さん。そして強力なカウンターの
[00:43:10.240] 1戦
[00:43:11.520] 大好きあれがなさきを視して現をずい
[00:43:16.800] プレスマむずいよね
[00:43:18.240] さに鬼のブ具による必殺技で選を打破せよ
[00:43:23.654] [うめき声][叫び声]
[00:43:25.800] ジョイコン2を使ったモーションでプレイ
[00:43:31.480] 使うのかな。
[00:43:32.440] 蓄佐々木眼がそれダメなの使っちゃう。
[00:43:38.000] 鬼む者ウェイオブザソードは
[00:43:40.440] 9月25日発売。
[00:43:42.240] うん。ま、嬉しい人は嬉しいだろうな。
[00:43:45.280] 海の上の
[00:43:46.880] のんぐりたの手もつきません。
[00:43:51.119] 森のちえ、
[00:43:53.785] [笑い]
[00:43:55.319] お前船降りるじゃないの?これ
[00:43:56.640] 麦わの一味とバラティエ
[00:43:58.280] 2号点をオープン。
[00:44:00.160] え、まずはと一緒にソフトやん。これ
[00:44:04.160] カロソフトだね。これねました。カロソフト
[00:44:07.920] あなた好みにお客さんにまってかけて新しい食材を手に入れるとメの幅が広がります。これ
[00:44:14.090] [音楽]
[00:44:18.020] [笑い]
[00:44:22.079] え俺全然わかんない。
[00:44:23.520] メラメラの実の能力で熱々圧々のステーキを焼いたりバンナ
[00:44:27.400] ゴロゴロの身の能力で渋念を作ったりと
[00:44:31.079] 悪魔の身の能力が大活躍。[音楽]
[00:44:33.240] え、これ回路じゃなかったらやばくない?
[00:44:35.160] 稼いだお金で内装やレイアウトを変更したり、お店を拡張すればどんどん大きくなっていてるから。
[00:44:37.670] [音楽]
[00:44:44.319] あー、
[00:44:45.440] 総税400[音楽]
[00:44:46.280] 以上のキャラクターが登場。
[00:44:48.960] 麦わの一味とこの海で
[00:44:51.040] 1番のエネルが手伝う未来なのかがだし
[00:45:00.000] そうだね
[00:45:01.240] 生ろのために
[00:45:03.319] だんですか
[00:45:06.119] 人はなぜ戦うのか
[00:45:08.720] 何これ
[00:45:09.760] 信長の野望シリーズ最新作が登場
[00:45:11.731] [笑い]
[00:45:13.200] ああ戦国人
[00:45:16.720] 嘘でし
[00:45:17.440] 信を通して天下統一すげえリアル。え、すげえリアルのテーマは大義名分
[00:45:22.211] [笑い]
[00:45:25.720] 大義名分
[00:45:26.960] 叩き打ち
[00:45:28.000] どんなテーマだよ。
[00:45:29.880] を掲げテーマだよ。それ
[00:45:33.559] 名では町を好きな人は好きだよね。おもろいんだよ。
[00:45:42.079] シリーズ初のストーリーモードを収録。シリーズ初なの。
[00:45:45.480] 信長の一生を描いた通して遊び方が身につくので
[00:45:50.400] 初めての方でも安心。レ
[00:45:51.839] クションやれる人すごいよ。すごいと思無理だわ。
[00:45:54.880] のために
[00:45:55.640] 俺無理。
[00:45:56.720] 信長の野望秘勝はこの冬発売。
[00:46:00.200] へえ。
[00:46:03.280] Nintendosイッチ2
[00:46:04.680] ま、できてます。まだまだまだまだ全然ジャブジャブにもなってない。まだまだジャブにもなってない。
[00:46:10.440] 何これ?ブラボの動画をベースにしたブラボからワクワクしちゃう。ライズオブ
[00:46:16.079] P
[00:46:16.440] あれ、これなんかプレステ
[00:46:18.040] 5にあるやつね。これ
[00:46:19.640] が暴走を始めた年で同じく人形は自らの人間らしさと向き合っていく。
[00:46:28.839] なんかこれ7さんやって
[00:46:29.839] 実際にカスタマイズできる武器特性のが可能な技種で戦いに移動。
[00:46:35.319] 結構やってる彼が物語を大きく左右していた。
[00:46:40.839] フロムゲー
[00:46:42.480] フロムなんか
[00:46:43.240] の前日が語られる[音楽]
[00:46:44.760] DLC
[00:46:45.280] も収録したライコンプリートネオとこだ。
[00:46:51.160] あ、そうなんだ。
[00:46:53.160] プレイ専用の前。
[00:46:55.480] これ絵柄好きや。このセルガみてな
[00:46:57.559] を守るため銀河を巡る冒険があ、
[00:46:59.720] 絵柄は好きです。
[00:47:02.160] 探索するエリアは様々い
[00:47:04.079] かいいね。
[00:47:04.760] 氷を溶かして道を切り開いたりズムに乗って装置を起動させ。
[00:47:11.319] あのんだっけ?あれ1ットテク2みたいな
[00:47:14.000] 迫りる敵テク2みたいな感じだね。
[00:47:16.599] 数々の困難を切り抜けながら先へと進む
[00:47:20.119] 映画みたい。使えばソフト
[00:47:23.359] 1本でプレイが可能。
[00:47:26.200] 2人で力を合わせて宇宙の危機を乗り込
[00:47:29.359] そうだね。
[00:47:32.079] オービタルズは9月3日発売。
[00:47:35.559] がすごい。
[00:47:36.760] 最後のお仕事だ。
[00:47:40.119] なんかさ、今回の
[00:47:42.000] 今回のポックスさ、めっちゃ動物よな。
[00:47:46.359] めっちゃ物が運
[00:47:56.138] [笑い]
[00:47:56.880] スターコックスや。それ
[00:47:58.400] 月発売。
[00:48:01.000] このダイレクト終了のさ、声優が変わっまったんだよ。その調子だ。フックス
[00:48:06.520] 序盤のステージが1
[00:48:07.640] つ遊べる体験版を配信開始。
[00:48:13.319] おお、なんか来るよ。なんか来るよ。なんか来るよ。え、ゴースト島か。え、なんぼろ。え、なんな何これ?かしの部隊
[00:48:28.040] 知らない。この顔命を開かんとする村の村
[00:48:38.760] 命においてなのこの恨み腹でおくべき見せてやるべったらのゲームじゃなかったじゃ
[00:48:40.678] [音楽]
[00:48:52.400] あでも確かになんかPSPっぽいねんねえ
[00:48:58.599] でも面白そう
[00:49:07.359] 名前はめちゃ適当だったけどなんだ
[00:49:13.240] 形式なんだ。
[00:49:14.680] へえ。あ、
[00:49:21.760] 来た。
[00:49:22.799] なんだポ?ポケモン2。
[00:49:23.960] あ、お
[00:49:26.200] ポコポケ。
[00:49:29.440] ここはライオン。
[00:49:31.280] ここはポケモンだ。投げたやつ。ドルク。
[00:49:37.559] ドルク的な海底。
[00:49:39.960] ここはポケモンの冒険を海の中でも
[00:49:42.960] ここはライオンだ。
[00:49:43.799] 世界が水中へと広無料アップデートがい
[00:49:49.480] ダイの暮らを楽しめます。
[00:49:55.240] 草を植えたり、
[00:49:56.960] 建築をしたり、
[00:49:58.760] 街作りを水の中でもシュマ
[00:50:01.520] ぽっちゃま
[00:50:02.520] あは
[00:50:04.280] 2026年8月配信予定です。
[00:50:06.359] すごい無料だって。
[00:50:09.359] さらに有料追加コンテンツポコアポケエキスパンションパスの配信が決定。パスだよ。
[00:50:16.280] 新たにブクブク海底の町に行けるようになります。
[00:50:21.400] 新しい家具やります。
[00:50:23.880] ダイビング。
[00:50:24.400] ここでしか登場しない新たな仲間たとの出会いも
[00:50:27.319] Gランスとか出てきそう。
[00:50:29.160] 有料追加コンテンツ
[00:50:30.880] ポコアポケモンエキスパンションパスは
[00:50:33.319] このダイレクト終了後に販売開始いたします。
[00:50:35.799] ええ。
[00:50:37.760] 第1弾海底の町は
[00:50:40.880] 2026年8月配信
[00:50:43.200] 第2弾第3弾も追加配信予定。
[00:50:46.440] どういうこと?
[00:50:46.720] 続報をお待ちください。
[00:50:48.319] 配信開始。
[00:50:49.119] え、遊べるってこと?え、何?何?どういこと?でも
[00:50:51.920] 8月
[00:50:52.280] びっくりさせてくるのやばいな。なんだ?
[00:50:56.960] ホえる王あるんかな?
[00:50:58.880] なんだ?どういうことなんだ?
[00:51:01.599] 先に変えるよって。
[00:51:03.200] あ、先に買う。え、ポケモンレンジャー?そんなことないよねえ。え?何?何よ?今のはい。
[00:51:11.480] 有料のダウンロードコンテンツに。
[00:51:13.319] あ、あ、あ、まだ続きだったってこと?これの続きってことね。びっくりした。なんだ俺?ポケモンレンジャーの新作来るかと思った。
[00:51:18.559] マジ
[00:51:19.200] 続いてはレンジャーをご覧ください。
[00:51:21.160] ポケモン
[00:51:26.920] 何?
[00:51:27.880] 神々の支配により繁栄を極めるザ帝国
[00:51:32.960] ファイヤーエンブレム。
[00:51:33.720] その人ダグシオンでは優勝。もうこれ
[00:51:38.185] [笑い]
[00:51:39.720] 10中ハック。
[00:51:40.880] ファイヤエンブレムだ。これ
[00:51:42.200] もう分かるねん。もうなんか雰囲気で。エムブレム。エムブレムな。
[00:51:47.720] Mブレムね。ごめん、ごめん、ごめん。
[00:51:51.000] バ子先行くのはやない。
[00:51:53.119] 俺もう一瞬で分かるんだ。人間のゲームは
[00:51:55.559] 4人の選手た。
[00:51:56.720] え、なんかアルカードみたいな。
[00:51:58.280] 登されたを救うため出場を決意した少年。
[00:52:01.880] ラッパー、
[00:52:02.640] ラッパーみたいな感じ。アルカードやん
[00:52:04.839] の。戦いを求めつ。これ、これアルカードじゃないの?これ。
[00:52:08.359] え、アルカードやん。
[00:52:10.240] 国の願を果たすために戦う。
[00:52:12.760] 入ルカードですやん。
[00:52:14.880] エッチ
[00:52:15.960] 全てをに捧げたエラ者
[00:52:18.839] すごいエチよね。あのファイアエンブレムのキャラて任なの異なるも
[00:52:23.640] すげえよね。これはエとさせてくださいの。
[00:52:28.359] え、待って。声優一緒じゃない?違うか?
[00:52:30.720] 貴様の
[00:52:31.960] 置さんじゃなかった?今
[00:52:33.480] 試合までの期間は様々な方法で戦力の強化を図る。
[00:52:39.079] 訓練でBGMが初代のあれのBGM
[00:52:41.599] じゃんことにして経験値を稼いだりあるか
[00:52:55.240] 限られた時間をどのように行動するかはあなた次第
[00:53:00.200] よく覚えてるね。笑
[00:53:02.119] その曲しか知らないからそう。
[00:53:03.599] スマの音して俺も聞いて進行
[00:53:06.799] 武器の射程や
[00:53:11.160] 兵士の相性を考慮した立ち回りが重要となり
[00:53:17.079] そして主人公の4
[00:53:18.720] 人はそれぞれなる特別な技を持つ
[00:53:23.520] ああファイアエンブレムか
[00:53:25.880] 選を一変させることも
[00:53:29.000] 頭使うんだよな。あ、しかも死んだら
[00:53:30.599] ダークメタモル4
[00:53:32.359] ダークメタモル4ゼかよ。
[00:53:34.200] 祝うがいい。
[00:53:35.559] 楽しそうだけど。
[00:53:38.920] そうなんだ。自分の自分のさ、気に入ってるキャラが死んだ時な。
[00:53:43.319] 聖者たちを導く救主よ。
[00:53:47.520] わかる。
[00:53:48.839] あれだけよう。見、
[00:53:50.040] DS
[00:53:50.280] のやつやったことあるんだけど、あの変ななんかあの
[00:53:52.880] DS
[00:53:53.160] のさ、マルスのやつやったことあるんだけどさ、
[00:53:55.400] あのおじいさんの兵長みたいな死んだ時マジで萎えたもん。
[00:53:59.440] 結構理不尽
[00:54:02.240] 暗き物
[00:54:05.240] マルスってフェンや。
[00:54:06.799] そう。マルスってファイアエンブレムエムブレム
[00:54:09.240] 9月17日
[00:54:11.000] ファイヤーエンブレムアウト
[00:54:12.520] 死んだら一生行き返らないんだよ。
[00:54:14.280] 9月17
[00:54:15.119] 死んだらき帰らないの?ファイヤーエンブレムは
[00:54:17.359] 通常版の他に
[00:54:18.839] 様々な得点がセットになったご覧のダザコレクションもしますのでお楽し
[00:54:26.640] 続いてラインをご覧ください。
[00:54:31.240] 刻むねえ。
[00:54:33.319] 忍者バトルはみますね。へ
[00:54:35.920] 刻みますね。
[00:54:39.079] 何これ?
[00:54:42.520] 焦らすね。ねえなトシ
[00:54:46.200] 忍ジャラ
[00:54:47.720] 忍ジャラがオープンワ知らない
[00:54:52.200] 2とか言われても1知らない
[00:54:54.440] 禁断の封印を解いてしまい未の惑に飛ばされた主人公たちくそおもろそう
[00:55:00.583] [笑い]
[00:55:00.839] でしょ
[00:55:01.319] そっか
[00:55:01.920] この星に潜む脅威を打ち破り地球へのやったことないけど結構
[00:55:08.319] 地球に戻るたのに求め大なフィールドを無人
[00:55:12.880] にかけ回る。
[00:55:16.000] 忍者ガムを膨らませて有することも。
[00:55:20.839] 立ちかる敵には忍者ガムから生み出す武器でい。
[00:55:24.480] 忍者ガム。
[00:55:26.128] [笑い]
[00:55:27.400] 人術でロボットを召喚し強力な一撃を繰り出せ。何?今のも
[00:55:33.880] 最大4人の協力
[00:55:35.000] フ山て言った。
[00:55:37.480] 仲間と共に強敵に挑め。
[00:55:39.760] へえ。
[00:55:41.000] 第1部の忍者ラ2ミチナル惑星は
[00:55:44.520] 2027年春発売。
[00:55:46.960] ガンホなんや。パズドラ。
[00:55:49.599] DKチャレンジ開催。
[00:55:51.640] 何?DKチャレンジ?
[00:55:53.760] マジか?
[00:55:54.160] Nintendoswitオンラインに2
[00:55:57.000] のイベントが限定で登場。
[00:56:02.520] ニクラシックで遊ん題が設定され。
[00:56:08.880] クリアできれば特別なカードをゲットできる。
[00:56:14.200] ドンキーコングバナンザをお持ちの方にはですか?そのゲー知らない。
[00:56:18.440] そのゲーム知りません。
[00:56:20.000] これからプレイするには挑
[00:56:24.200] これ新作
[00:56:25.680] すにプレイしている方には歯応えのある発者からの挑戦場まで
[00:56:31.119] やめた。
[00:56:33.079] ドンキーコングを遊び尽くして目指せコン
