[00:00:54.760] 残念。橋本の冒険派。ここで終わって
[00:33:00.559] 感じで言ったけど。どっちも難しいだろ
[00:33:03.039] それ。
[00:33:07.919] 俺もドラクエ7やりてえのにな。
[00:33:11.559] 明日も明日も仕事なのに。しかも明日も仕事なのに。なんで俺はこんなゲームやってるんだ。で、結局どこ行きゃいけえねんっていう話なん。
[00:33:21.120] ドラクエ7楽しいか
[00:33:22.799] なんよ。ドラクエ
[00:33:24.720] 7
[00:33:25.200] めっちゃおもろそうなんだけどちょっとちらっと見たけど
[00:33:27.840] 持ったやつに同せと
[00:33:29.200] ほんまやねん。何ができんねん。わしがちょっと待ってなんだっけ?あのさ、あれ拾ったのってどこだっけか。なんか
[00:33:38.279] 正直めっちゃおもろい。
[00:33:39.799] だよね。なんか見たらなんか結構ドラクエ
[00:33:42.279] 11みたいな言愛しててさ、ドラクエ
[00:33:45.000] 11
[00:33:45.399] っぽくてすげえ面白そうだったんだよねえ。待って。どこ行きゃいいねん。もうマジ何もわかんねえぞ。
[00:33:52.360] 思わずスクエッタの株勝った。
[00:33:54.399] ええ、カブとかやってんだ。
[00:34:03.399] これさ、あのさ、俺1
[00:34:04.679] 個さ、行きたいとこがあんだけどさ、あれどこだっけ?あの変なさ、壁崩れて。もういいて。お前通りすぎるたびに。サウルは根っかれの悪人じゃない。それを親友の俺が保証する。あいつに殺された俺が保証するんだ。
[00:34:17.359] 笑笑。
[00:34:18.119] あいつの母、あいつは母親思いのいいやつなんだ。なんとかあいつを返しやってくれ。わかったよ。
[00:34:22.599] 何するゲームなの?
[00:34:23.440] わかんない。何するゲームなんだよ、これ。脱出。脱出。
[00:34:29.760] このから脱出したいの?俺はこの先のさ、扉開かなかったよな。この先の扉。ここちゃうん。
[00:34:46.079] 何?64のゲームやってたら目悪く。
[00:34:49.399] あいた。あいた。なんだ?初や。あざフォカミング外人さんどうもこんばんは。
[00:34:58.000] 足したような他に片しむゲームです。笑いてんじゃん。
[00:35:02.880] こさ、ここってさ、スタンド何何何何何な何つってんの?この外人には外人機なあれこって来てねえか?ここって来なかったっけ?待ってちょっと待ってけ?あ、デのあ、
[00:35:24.440] てるってバカにされてる。嘘だろ?
[00:35:28.200] 弟子たちの塔の地下来た。なんか弟子たち
[00:35:30.079] の塔の地下行けって言われてたよな。お、
[00:35:33.599] 計らずも計らずも目的地で近づいたぜ。
[00:35:40.200] あれなんかいや、なんか俺ここ前来たな。
[00:35:43.960] あれ
[00:35:48.000] なんか前ここ来たよね。
[00:35:49.800] あ、ここじゃねえのかな?ああ、ここ鍵開いてなかったんか。
[00:36:00.400] 見たことある。
[00:36:01.400] あった、あった。ここうん。なんか鍵閉まってて開かなかったんだよ。ああ、ここ開くようになったんだ。だ、ま、だから何っていうだからなんやねんっていうとこなんですけど。
[00:36:12.760] チまさん待ってましたよ。
[00:36:14.480] おプラさんこんばんは。プラさんこんばんは。もう遅い。
[00:36:16.920] もう36
[00:36:18.359] 分もやっちまったよ、このゲーム。ただマジで何をすればいいのかがマジでわからん。そう、前回ここから穴登ってきたんだよな。変な岩乗り越えて
[00:36:31.800] ダブル。
[00:36:34.520] ちょ、マジで何すればいいの?もうドラ、もう攻略サイト見ようかな。
[00:36:44.079] 別になんか
[00:36:46.200] このゲームにそんなギリがしっかりする
[00:36:49.920] 義りないしな。
[00:36:54.000] あんまり理不尽なされたらこっちだって
[00:36:56.599] 出るとこ出るからな。
[00:37:02.400] ここ開いたりする。
[00:37:03.960] ペインデエスタンドだとその前の何と合わせて何やって。
[00:37:08.000] へえ。何?エスタンドって何やってんのってことになるんだ。何やってんのって。シャドウゲート
[00:37:15.720] 64
[00:37:16.359] だろうが。のもわかんねえのか。スペンにはねえのか。シャドウゲート
[00:37:20.000] 64。
[00:37:24.079] えっと、でも地下って言ってたからこっちじゃねえのかな。くんだよ。笑
[00:37:30.560] 分かるかよ。
[00:37:34.000] シャローゲイト64。
[00:37:36.760] Thisゲームisベリー
[00:37:38.560] ハッピー。えー、もうやだ。ここ開いたりしない。ここ開いたりしないか。
[00:37:46.480] 日本人もわかんねえのに。おそ。
[00:37:51.040] Thisゲーム
[00:37:51.720] isベリー。鍵穴がない。何か仕掛があるんだろうか。
[00:37:55.640] 原ゲ
[00:37:57.520] トライアゲイン。
[00:37:59.319] えー、
[00:38:01.599] わかんねえよ、もう。これどこ行くの?
[00:38:04.720] ここは。ここは行けたりするか?どっから
[00:38:08.480] か声がする。何時大家に使えるものにあら
[00:38:13.160] ず何これ?リザードンのマークみたいな
[00:38:16.319] 書いてある。
[00:38:19.880] シャドガテートリアルスオフフォフフォアトエア
[00:38:25.760] そのサブサブタイトルテイルスオブテイルスオブザフタワーズ何かっこつけてんねん。何がテイルズオブフォタワーズだよ。ええ、もうどこ行きゃいいんだ?俺ここ来たよね。
[00:38:53.640] でも弟子の塔に行けって言ってたからな。
[00:38:55.960] 多分合ってると思うんだよな。
[00:39:01.000] トゥルルんルん
[00:39:02.839] 。
[00:39:07.920] でもここも全部ああ、ちょかった。危ね。
[00:39:11.560] なんかこのなんかみんなあれな。紙とか
[00:39:13.599] 落ちてたら教えてな。
[00:39:16.400] 髪とか落ちてたらもう俺のガバタンガバタンで見落としてるかもしんねえからちょっと待って俺なんかさ、これさ、死者の本とか読まなきゃいけないんじゃなかった?
[00:39:29.760] 神々?うん。神ってそっちの紙じゃないんだけど。
[00:39:32.280] 説、
[00:39:32.680] もう見落としてるのかな?うーん。ちょっともほんまこれあとこっちいやでも多分こは合ってると思うんだよな。場所は合ってると思うんだ。弟子たちの塔にけったもんな。
[00:39:58.560] この上って行ったんだっけ?
[00:40:03.240] お、BGM買った。何だっけ?ここ。
[00:40:11.560] いや、来たな。ここも来たな。ここも来て
[00:40:14.160] たよな。
[00:40:26.200] わかんねえ。
[00:40:30.640] わかんないよ。
[00:40:37.440] なんでこれこんなこのテレビこんな画面
[00:40:40.119] 暗い?いや、別にいいんだけどさ。
[00:40:41.319] ちょっと待ってね。ちょっと待って。なん
[00:40:43.720] でこここんな暗いの?
[00:40:49.280] こんなもんかな?
[00:40:53.640] うい。
[00:40:59.000] お前らも考えんだよ。なんか黙ってないでな。お前らも考えんだよ。一緒にや一緒にクリアするんだからみんなでみんなで一緒にこのゲームクリアするって決めたんだから。
[00:41:15.440] レベル上げで忙しいので気が抜けてました。
[00:41:19.319] ドラクエ7
[00:41:19.880] のレベルやってんのいいなあ。俺もドラクエ
[00:41:23.319] 7やりてえよ。
[00:41:25.280] ノーメインラーね。
[00:41:26.800] いつも勝手にするくせにこんな時だけ。
[00:41:31.880] こんな時だけ優しい。こんな時だけ優しいでしょ。こういうところがね、茶まゲーのでも魅力ですか?
[00:41:42.480] ドぶ彼氏。
[00:41:51.440] 普段は殴るよ。普段は殴る。
[00:41:55.760] ちょっとマジでこれちょっと何すればいい
[00:41:57.480] んだよ。おい、もうやだよ。俺なんで明日
[00:42:02.920] 仕事?しかも明日仕事なのに。あ、明日
[00:42:05.839] 休みのやついる?こん中に明日休みのやつ
[00:42:08.560] これ引き継いでやってくれ。俺の代わりに
[00:42:11.640] やっとくんね。これなあ。おい、引き継い
[00:42:14.319] やく。俺んち来て鍵渡すから。鍵渡すから
[00:42:18.240] 。俺んち来て配信の方が少ないしあ
[00:42:23.400] 。
[00:42:28.119] この机で読したようだ。なんホみだな。こんなアホみたいな感想あるか?そりそうだろ。図書室なんだから。この机で読したようだ。ちょ、わかんね。分かっとんねんなことは。
[00:42:39.240] 誰もこのゲームに休日ないよ。
[00:42:42.920] 俺なんか寝る時間削ってやってんだぞ。おい、寝る時間削ってやってんだぞ、このゲーム。
[00:42:48.160] シャゲと分
[00:42:49.200] シャドゲ分。
[00:42:50.520] 笑笑。
[00:42:53.079] おめ、今日はよ。
[00:42:54.839] ここでなんか読もうぜ。
[00:42:56.640] なんか読んだらあれなんか進むんかな?え、開かなかったじゃん。えー、開かなかったじゃん。えー、どういうことですか?これは開かなかったよね。いや、普通、普通、普通。機。え、なんでさっき開かなかったよね。
[00:43:14.680] え、もしかしてさ、なんかさ、これもしかして本、本読まなきゃいけない?これ。
[00:43:22.000] なんか
[00:43:25.880] これなんかさ、本読むことでなんかこれ
[00:43:29.359] 読んでなかったんだよ。このし、なんか
[00:43:31.640] 死者にしか読めない本みたいな。
[00:43:36.280] え、これを読むことでなんかあれなんかな
[00:43:39.079] ?
[00:43:41.280] え、わかんねえ。なんで開いた?
[00:43:45.160] なんで開いたんだということを。
[00:43:50.359] うわ、なんかも番詰し大丈夫?あ、おい、これはさすがに分かるわな。これはさすがに分かるわ。
[00:44:02.400] 引き度だったんじゃない?
[00:44:04.680] そういうこと。そういうこと。一応どっちも試してから開かないって言ってほしいよな。うわ、モン番いるじゃねえかよ。初めて。
[00:44:20.559] はセーブしよう。こいつに殺されるというこいつに殺されるという未来も考えられるんで、こいつに殺される未来も見えるんで
[00:44:29.319] 1
[00:44:29.440] 回セーブします。やあ、なんだお前は。橋が近い。
[00:44:33.400] お、おめえ何言ってんだ言葉知り滅だぞ。気が狂ったのか。それでも俺をからかってんのか。まともにならあっち行けを売ってほしい。
[00:44:49.880] ごめんなさい。これ外すのさ。これを外さ
[00:44:52.040] なきゃ話せないって言ったな。
[00:44:57.520] お、お前は俺たちが捕まえた攻撃団の
[00:45:00.319] ハーフリングか。なんだよ。逃げ出してき
[00:45:02.040] たのか。なかなかやるじゃねえか。でも
[00:45:04.440] 惜しいことしたな。ほんちょっとお使って
[00:45:05.880] ようだ。
[00:45:08.240] シャドウゲートはおかしな連中に放され
[00:45:10.079] ちまったよ。仲間たちは外に締め立たれ
[00:45:12.240] ちまった。俺の見たところ、あいつらは噂
[00:45:15.240] に聞く黒松寿司いざイベルザールとその
[00:45:18.680] 一味のようだな。となると大人なしくし
[00:45:20.760] てる他に手はねえ。下手に動いたら
[00:45:23.800] おっかねえ黒松に魂を食われちまうよ。
[00:45:26.079] 知ってるか?黒魔術は魂を食らうんだぜ。
[00:45:29.480] たださ、このシャドゲートにはおかしな話
[00:45:31.400] が多いっていうのにこの上ま、黒松とはな
[00:45:34.640] 。え、どんな話があるのかって聞きだけ
[00:45:37.520] 話してやるぜ。
[00:45:42.880] なんで話されんだよ。聞きたけ話してやるぜて。なんで終わるねん。
[00:45:48.040] 1回連続で行けよ。
[00:45:49.800] ダブルダブル
[00:45:51.480] なんだ。何か聞きたいことがあるんだ。で、お前が聞きたけ話してやるつってんだろうか。お前がベルザールの軍団について話してやるか。はい。ベルザールってのは元は伝説の魔法使い楽ミールの弟子だったって話だぜ。
[00:46:07.200] あれ優秀な弟子だったらしい
[00:46:10.520] ところが楽ミ氏の教えを破って車に手を
[00:46:12.920] 染めちまったらしいんだ。軍団だの一味だ
[00:46:16.280] のラクミルに波紋されちまったんだとよ。
[00:46:19.319] どっちにしても大昔の話さ。つまり
[00:46:20.839] ベルザールは黒ま寿司の力で数百年の時を
[00:46:24.040] 生きてるってわけだ。そのベルザールが
[00:46:26.440] このシャドウゲートにやってきたってわけ
[00:46:27.760] だ。こいつはなんかありそうだな。ま、
[00:46:30.480] お前がロードジェイルのようななら
[00:46:32.160] ともかくそうでないならガードハウスには
[00:46:34.720] 使わない近づかない方がいいと思う。に
[00:46:36.400] ガードハウスって
[00:46:39.280] 最もお前にはロードジェイルやラクのよう
[00:46:41.119] な伝説の主人公になれそうには見えねえ
[00:46:42.720] けどな。もっと話してやろうか。頼むわ。
[00:46:47.800] 水え水教水合の幽霊について話のか。はい
[00:46:52.960] 。
[00:46:54.800] 公園の奥にある水合水教にはもう行ったか
[00:46:58.920] い?あの入り口が水に埋まってる奇妙な塔
[00:47:01.480] のとん。
[00:47:02.760] あの入り口が水に埋まってる奇妙な塔のとこにある水強わかんねえ。どこだ?
[00:47:07.119] 水
[00:47:07.920] 水合そこな出るんだとよ。お化けが全身の小さな女の子の幽霊が出るそうだぜ。俺は見たことねえんだけどよ。なんか寂しそうな顔して物欲しそうなこと言うらしいぜ。物は試しだ。一度言ってみるといい。うまくシャドーゲートから出られればいい土産話になるぜ。ゴイゴイす。お前どんだけ話持ってんの?めっちゃすげえわこいつ。
[00:47:31.160] エピソードトークめっちゃ持ってるわ。
[00:47:33.920] 配信者とかなった方がいいよ、多分。配信
[00:47:35.880] 者とかなった方がいい。いいじゃん、お前
[00:47:37.040] 。なんか雑談力ありそう。小銭に広いの
[00:47:40.079] 宝探しについて話してやるか。
[00:47:43.880] 縄文派さ向こう側に宝探したちの採掘が
[00:47:47.400] あるんだ。そこに変わり物がいる。そいつ
[00:47:49.680] はひたすら古いコインだけを探していてな
[00:47:51.440] 。他のものには見向けもしねえおかしな
[00:47:53.119] やつさ。
[00:47:55.280] 昔の水路のゴミ捨てバ後だな。一生懸命
[00:47:58.400] 掘ってんだよ。思わぬ拾い物があるってな
[00:48:00.160] 。
[00:48:01.680] 両手いっぱいの財宝よりもそいつにとって
[00:48:03.480] はちっぽけな1枚の古戦の方が大事なんだ
[00:48:06.720] とさ。笑っちゃうぜ。もっと話。めっちゃ
[00:48:09.680] こいつ話持ってますやん。すご。馬小屋の
[00:48:12.920] 家事についてよろしくお願いします。これ
[00:48:14.520] 全部一応聞いとこう。馬小屋でなぼ騒駅が
[00:48:17.280] あったんだったよ。だが出荷が分からね。
[00:48:19.480] 引き出しすぎる
[00:48:22.839] こういうやつな。ラジオのグータラジオ
[00:48:25.319] のゲストに呼びたいわ。グータラジオ
[00:48:28.119] のゲストに呼びたい。こういうやつ。で、
[00:48:32.520] ま、馬番がピリピリしてる。馬小屋に現金
[00:48:35.720] なんて書いた張り紙してさ。なんせ馬番の
[00:48:39.000] 野郎。誰よりも馬が可愛くってな。
[00:48:41.480] いろんなものを発行させては馬に食わせて
[00:48:43.680] んだよ。どういうこと?なんで発行させて
[00:48:46.319] 食わせてんの?
[00:48:48.760] ちっとな、何て言うの?これ行く場な
[00:48:52.400] なんて言うのこれ?わかんない。なんとか
[00:48:53.520] が発行して自然に燃え出したんだと俺は
[00:48:55.680] 思うぜ。あれは燃えやすいからな。どっち
[00:48:59.200] にしても親側の火に持ち込むのはやめとこ
[00:49:00.960] がいいぜ。家事になるところから馬番に
[00:49:02.680] コっぴドック怒られちまうよ。もっとど、
[00:49:05.480] お前どんだけ話持ってんだよ。銀指示に
[00:49:09.440] ついて話してやろうか。
[00:49:11.920] 俺たち盗賊は襲撃に成功すると獲物を前に
[00:49:14.680] して宴会をするのが高齢なんだ。その時に
[00:49:18.280] 呼ばれるのが銀勇主人だ。ザカ馬って言う
[00:49:21.400] んだ。あれで俺たちは旅の途中に生き倒れ
[00:49:25.319] ていてな。俺たちが拾ってやったんだ。
[00:49:27.400] こいつは俺たん?こいつは民の土に
[00:49:29.440] 生き倒れていてない。俺たちが拾ってやっ
[00:49:30.799] たんだ。それ以来ここに住みついて別に
[00:49:33.880] 閉じ込めておけおいてるわけじゃないぞ。
[00:49:35.760] でもあいつなぜか逃げ出さねんだ。案外
[00:49:37.359] ここ気に入ってんのかもな。最もここは
[00:49:40.400] えーかえあーなんとかの及ばぬえ違い方険
[00:49:45.440] みたいなところだ。え、もしかしたら
[00:49:47.280] あいつもお尋ねの女なのかもしれねえ。誰
[00:49:49.400] のこと言ってんのあいつって大人そうな顔
[00:49:50.960] してるから人は見かけによらねえからな。
[00:49:53.480] なんでも昔は有名だったと言ってるが、あいつ、それもあいつ自身が言ってることだから、どこまで信用できるものやろ。え、誰のこと言って?まだ話やんの?え?ええ?
[00:50:06.839] 止まらんねん。
[00:50:07.799] 止まらんねん。宿屋の地図について話してやろうか。はい。こんな廃墟の状態で宿屋を経営してる変わり者がいるんだ。それが、え、宿屋のモーダ。こいつやばいよね。
[00:50:19.960] まだまだ離せちまうんだ。
[00:50:22.079] 関け大体そのまま読めば
[00:50:24.480] 関けた検定なんて話で
[00:50:30.079] 錆びたけ錆びた検定なんて木の名前のあ錆びた検定錆びた検定さあなんとかてちんちん艇みたいなこと錆びた定ちんちん艇みたいなことかこれなんで木の名前の宿やが止まる客といえば例えちんちン
[00:50:51.599] と一緒じゃないのね。
[00:50:53.359] 笑笑。
[00:50:54.000] ちんちん艇と一緒です。錆びた検定ね。俺たちの
[00:50:58.280] おら。
[00:51:01.280] 俺たち盗賊の戦を買いにくる闇商人くらいのものさ。だが宿屋のくせに愛そが悪くてな。モーダーの笑顔を見たことあるやつは
[00:51:09.440] 1
[00:51:09.520] 人もいねんだってよ。唯一の例外はゼジベルのばあさんかな。あのばあさんにだけはなぜかモーダーも優しくせしてみたいだからな。
[00:51:18.559] 最もそのゼジベルばあさんもちょっと前に死んちまったけどよ。それ以来まずはそうが悪くなったな。聞きたいことがあったらいいつも来いよ。あ、やっと終わった。こいつ話やっと終わった。クソ投げえ。お前のなんかありますわな。門番心。え、カルトゥーンリの兵士として誇りを誇りと自覚を持って務めること。はい。
[00:51:42.960] まだ話を聞くかい?
[00:51:45.640] もう聞かん。
[00:51:47.520] や、え、夜間は常にも、え、縄文を閉じとりともさこのよ、矢印。まだ引き出しがあるってこと?
[00:51:55.559] まだまだあります。あ、ここ通してくれねえの?お前じゃないとゆっくり振り返って。いや、ねえよ。お前じゃねえわ。なんだその今の?うーんみたいな。お、ここが調べたかったの?もう間違えた。
[00:52:16.200] 違う。
[00:52:19.119] 1個1個聞いてこなくていいって。
[00:52:24.559] 笑笑
[00:52:26.319] 1
[00:52:26.400] 個1
[00:52:26.920] 個聞いてこなくていいよ。お前めっちゃ話したがかりじゃねえかよ。めっちゃ話したがりじゃねえかよ。聞きたいことがあったらいつも来いよ。ないよ、お前に話しかけることは。うわあ。どっちから行こうかな。こっちから行くか。こっちから行こう。
[00:52:46.160] あ、開く。開くわ。お、え、結構なんか
[00:52:51.000] 生きてる人いっぱいいるんじゃんね。結構
[00:52:53.720] 生きてる人いっぱいいるんじゃん。ドワー
[00:52:59.160] シャドゲートは我々が放した。
[00:53:03.240] え、ゴ尾魚尾魚
[00:53:07.000] かよ。お前
[00:53:09.280] 我々が放した木を外には出さないよ。
[00:53:13.520] 最も外にはイザベール様の軍が
[00:53:16.720] 魚く魚くさんじゃん。
[00:53:19.160] じ跡を取りまえているギアな。ギナーは初めて聞いたわ。まだ魚は分かるけど。
[00:53:26.240] ドアくさん
[00:53:27.520] ドワーフ君さんじゃん。これ魚くさんじゃないすか。
[00:53:41.839] ききこっちに来るんじゃないけど。こせ国と逮捕する教魚君のものまできま
[00:53:54.520] うまくねえよ。なんでお前が話すんだよ。ここでこいつに話しなんでこいつに話しかけてんのにお前が話すんだよ。分かったよ。こいつはこいつはなんだこいつでこいかこいつ。あ、話したな。
[00:54:09.160] こいつら
[00:54:09.880] 判定でかすぎんだろ。
[00:54:11.280] あいつの、あいつの判定でかすぎるだろ。え、ちょっと待って。全然なんかいろんなとこありすぎてわかんねえぞ。
[00:54:22.880] れる判定。
[00:54:25.440] いろんなとこありすぎてわからん。わからんよ、これ。いや、なんかありそうだな、ここな。
[00:54:35.799] いや、鍵落ちてるとかやめてね。この地面に。これ地面になんか鍵落ちてるとかほんまやめてな。見えないから。なんか気持ち悪い壁。何これ?この壁キモくない?なんか
[00:54:48.200] ブロードトライルな
[00:54:49.720] んだろう?この壁キモいね。なんかな?何でもないんか?これなん?ここだけ壁キモくない?
[00:54:59.359] エビルスピリッツみたい。
[00:55:02.839] ドラクエのな。え、何?お、いや、待って。なんか広すぎるなあ。びっくりした。欲望は罪なりと語った哲学者がいる。
[00:55:20.599] もちろんディルはそんな言葉など耳にしたことはない。
[00:55:23.960] だが彼はそれを理解できる。
[00:55:26.039] なぜならディルが落ちたのは魚宝探したちが富を求めて掘り起こした穴だからその深さと大きさは彼らの貪欲さと執深さ一角先金を求める彼らの欲望が掘らした穴をしてディルは生きえようとしている。
[00:55:42.880] 欲望は罪なり常に犠牲を求めるものなりぜ。
[00:55:52.520] 読ませる文章だ。
[00:55:55.680] ドラバナより面白いのです。
[00:55:58.039] 出ましね。出たわね。出たわね。
[00:56:00.720] 神ゲー
[00:56:01.520] 出たわね。で、どっから?うわ、待って。どっから?うわあ、もうこれ聞かなくていい。これで、これ聞かなきゃフラクトライとかねえよな、俺。これやだよ。もう聞きたくねえよ、こいつのクソ投げん話。
[00:56:21.079] これさ、聞かなきゃフラグ立たないとある?
[00:56:23.960] え、これフラグある?ねえしょ、さすがに。ええ、これフラグあんのかな?どう思う?これどう思う?いや、な、
[00:56:43.000] もうじゃん、こリーボブ。
[00:56:45.319] え、これ、これフラグね。
[00:56:46.440] ありそうではある。笑。
[00:56:48.680] えー、またこいつのクソ長い話聞きたい。
[00:56:53.119] え、一応聞いとく。めんどくせえ。えー、めんどくさい。これや、多分
[00:57:12.240] 誰かが聞いてあげないと。
[00:57:15.280] いや、ないでしょ。ないでしょ。
[00:57:17.920] ないやろ、多分。ない、ない、ない、ない
[00:57:20.160] ない、ない。こいつない、ない、ない。
[00:57:21.599] さすがにないわ。さすがにない。あんな
[00:57:25.359] 長かったらい話聞いてらんないっすわ。き
[00:57:28.520] 、行き詰まったら聞きに来るよ。
[00:57:31.000] 行き詰まったら聞きにくる。
[00:57:34.680] こ、こいつらも知らん。あれ、どこ行った
[00:57:36.160] んだっけ、さっきこっち行って。
[00:57:39.160] わあ、扉別だ。こっちもあんだ。わかん
[00:57:42.880] ねえな、これ。
[00:57:47.640] あ、でもあれか。さっきと同じとこだね。
[00:57:50.240] で、さっきここそうだ、そうだ。そうだ。
[00:57:51.720] ここの扉見て
[00:57:56.119] んで。ここ行ったんだっけ?違う。こっち
[00:57:59.119] 行って。
[00:58:01.520] こ穴全然見えなかった。穴ああ。え、待っ
[00:58:05.520] て。
[00:58:08.720] 誰かいるけど。そんなに深くないじゃんか
[00:58:11.880] よ。これで死んだんか俺。さっきそんな
[00:58:15.640] 負荷ないやん。
[00:58:17.520] これで死ぬんか?
[00:58:20.599] スペランカー
[00:58:21.720] どんだけ足越し弱いねん。
[00:58:24.160] 貧弱すぎる。
[00:58:25.119] なんかしちゃもなんかその穴の深さは欲望の深さに比例していたみたいな壮大なこと言ってたけどそんな深くないよ。そんな深くねえだろ。誰かいるな。これがさっき言ってたなんか小銭に集めのジョージだっけ?なんかそんなやつだよな、こいつ。
[00:58:45.520] 多分これがあの小銭集めのジョジだっけ?なんかそんなやつだね。は
[00:58:50.280] 1命やかったってこと?
[00:58:54.799] ああ、なんか昔あの夜勤やって工場勤務だった時にあったわ。それ
[00:59:01.000] 1mは1mね。あの
[00:59:05.000] KYKY
[00:59:06.079] の危険余地の講習でやったわ。それ
[00:59:10.640] 1人1人けがええのない人。
[00:59:12.520] よし、やったな。え、こんなこと掘ってなんか出てくるのかだって分かっちゃいれねえ。あんたはご安全にここはだな、なんと昔のそいらのゴミ捨てバートなのだ。
[00:59:25.319] 危険余地そんな時間
[00:59:28.920] あるねん。あるんだよ。危険余地っていう
[00:59:32.039] KY
[00:59:32.760] 道場を行ってさ、え、皆さん安全機に、え、指をお願いしますって言って全員でやんねん。
[00:59:39.760] いい大人が1人1
[00:59:40.960] 人かけ替えのない人よし。
[00:59:43.280] 1人1人かけ替えのない人よってやるね。
[00:59:47.160] やるんだよ。
[00:59:48.280] やるやるやるのよ。
[00:59:50.119] あ、エアムドはエアムドちゃん地獄のゲームをやっています。グビステブはなんかおって宝が見つかるのかだって分かっちゃいねえね。あんたも
[00:59:57.799] 宗教の話してる。
[01:00:00.520] KYの話してる。そうそうそう
[01:00:02.920] そうそうそう。KY
[01:00:04.039] の話してる。貴重なものほど思わるとこから出てくるもんさ。
[01:00:08.359] ま、俺が探してるのはカルトンなんとかなんとかにしあ、俺コイン何枚か持ってるよ。そんなもん地面ほ出てきゃしないさ。性格臭いとこにあるところじゃなきゃね。でももしもどっか古いあ、見せてやるよ。だからね。
[01:00:20.880] そう。あれやんなきゃダメなんね。お、俺持ってるぜ。お前の好きなコイン。これじゃないの?これじゃないの?
[01:00:27.920] 見たけりゃ、
[01:00:30.319] 見たけりゃ見せてやるぜ。おお。
[01:00:32.400] こ、これは、これはまじく工事かこすき事や水工水前の的カルトゥーン王朝なんちゃらに発行された
[01:00:44.599] 口塚
[01:00:46.000] 口図塚で塚って読むんだ。
[01:00:48.480] 昔のゼルダに出てなかった?
[01:00:51.799] ゼルダのさ、ゼルダの道具屋さんにこんなのいたよな。ゼルダの道具屋にこんなのいたよな。
[01:00:59.640] え、目を奪われる細やかな工。俺レトロゲームの工事か。
[01:01:05.480] ロトロゲーのレトロゲーの工事ね。なんという素晴らしい状態。この幻地の金化を求めこの廃墟にたどり着くまで行く育戦行く。もう読めん。高卒から風説をしぎ、空腹に耐えながらこの地で掘り続けること
[01:01:24.760] 10
[01:01:24.960] 数年。お前どんだけやねん。育せそ聞いたことあるわ。
[01:01:28.520] 育清掃やこうして巡り合えるとは
[01:01:32.000] 行くで読むのやめないでやぱそ言い慣れてる言葉はやっぱり読みやすいですわなけないこれほどもを手に入れれたは俺の片けないって何あげるなんて言ってないからね
[01:01:45.760] あげるなんて言ってくれど漏れたやないですかよチバゲームの配信いろんな人見てるんだからちょめてください
[01:01:56.520] そういうのほんまにこれあげるなんて一言も言ってないんだけどなんでこいつもらおうとしてんの?見てただけなんですけど。え、じんちゃんと同じじゃん、こいつ。こいつじんちゃんと同じだわ。ゲーム屋さんでさ、ゲム屋さんでさ、あのラストオブアス見つけてさ、あ、ラストオブアス売ってる。これやりたかったんだよな。でもチャマ持ってるか一緒じゃん。誰も貸すなんて言ってないから。こいつじんちゃんと一緒だ。誰もあげるなんて言ってないのに。
[01:02:23.839] ダブル
[01:02:25.319] 俺はこれから曲故郷へ帰る。帰るの?え、そんなすごいもんなの?開けばよ。せちゃんと
[01:02:34.319] たんか?
[01:02:34.799] 泥棒
[01:02:36.119] 借りたら帰せちゃんと嬉しそうに帰ってったな。な、何だったんだ?ここにあるもん好きにしていいって言ったけど何もねえだろ。なんかあんのか?あ、待って。なんかありそうだぞ。あ、
[01:02:48.920] 歩き方も古いゼルダにいそう。
[01:02:51.000] なんかこれどっかさっきあったよね。スリッパー。
[01:02:56.160] え、キん。これ持ってくんだ。これまだなんかある。うわ、これだけだ。
[01:03:02.520] スリッパ来た。
[01:03:03.640] スリッパ来た。スリッパ換。うわ、マジでこれだけか。マジでこれだけなんだ。でもなんか分かった。分かった、分かった。あそこだな。あの辺っぽあったとこだな。
[01:03:13.279] めちゃんの
[01:03:15.319] 違う。これメインじゃない。
[01:03:17.839] 俺の絵をつけ。
[01:03:18.920] ダブルコントラコントラコントラグリ
[01:03:22.160] おじんちゃんええ
[01:03:25.480] ね。今落ちてないだろ。今落ちたか?今
[01:03:31.760] ああ、
[01:03:32.799] 今落ちた。
[01:03:34.599] 呪い来たな。
[01:03:38.079] デーデンデン。嘘。半保出てた。
[01:03:43.359] 半保で会うとな。
[01:03:50.760] そしてこいつである。そしてこの顔である。
[01:03:55.359] ダブル。
[01:03:57.039] くそがよ。またやり直しじゃねえかよ。もうめんどくさいな。多分見との
[01:04:03.000] 1mm。
[01:04:04.760] 見との1mm
[01:04:05.640] だった。いや、もう勘弁してくださいよ。でも大したことやってないんだよな。
[01:04:13.200] なんか割と時間かかってる割にはまだ大したこと何もやってねえんだよな。
[01:04:18.559] また図塚の話聞かなきゃ。
[01:04:22.039] 口図か。こっちな。もうセーブしよう。アイテムなんか取ったらセーブしようぜ。
[01:04:26.240] さんご存じ茶げの
[01:04:28.039] 見とってなんか聞いたことあるよ。トマって何だっけ?トマみとまなんか最近聞いたな。なんかあそこテクスト違うよね。巫コすり。
[01:04:39.400] みこずり反撃。おら。
[01:04:44.880] サッカーうまいガキ。
[01:04:46.240] サッカーうまいガキなんだ。こっちのコインはどうなん?コインな。なんだこれは?こいつはえー、カ道筋で広く使われてるポイントじゃなく俺の星がフリ
