[00:00:50.800] ひ茶まどびっくり。[音楽]
[02:11:54.480] そこは
[02:12:02.920] オケ。行くぜ。うめえ。青コイン。取れない。取れない。
[02:12:20.001] [笑い]
[02:12:22.920] ここショートカットとか隠しとかあるんだっけな?覚えてないな。はい。これってここだ。これだけだよね。多分ね、これはね、ここはね、さすがにさすがにここは
[02:12:35.960] 1個だったはず。
[02:12:39.000] イエー。
[02:12:41.040] はい。
[02:12:41.679] そうだよね。よし。
[02:12:43.520] 20枚。どうですか?
[02:12:45.960] 20枚ですよ。
[02:12:47.679] こんにちは。
[02:12:48.760] サラゼロさんもこんにちは。あ、久しぶりじゃん。さん、こんばんは。
[02:12:51.280] どうも30
[02:12:51.960] 歳になったチまゲームです。え、というところなんですが、ちょっと一旦タしてきますね。一服
[02:12:59.956] [笑い]
[02:13:00.520] 20
[02:13:00.800] 枚手に入れたんで、とりあえずイプ、イプークさせてもらっていいですか?イプ。
[02:13:05.159] 笑笑。
[02:13:06.159] 鳥間なだけ。もう
[02:13:08.559] 20枚取ったから。20枚取ったら20
[02:13:11.199] 枚ごとに1服するわ。
[02:13:14.639] 20
[02:13:15.040] 枚ごとにタバコ休憩イプ。
[02:13:28.760] こいつ流していくかって
[02:13:39.912] [叫び声]
[02:13:40.440] ことは後半まで相当時間かかりそう。
[02:13:43.920] 笑笑。あ、もういいよ、お前。
[02:13:53.719] 笑笑。でかいな、旗が。よいしょ。
[02:14:01.559] ちょっと待って。
[02:14:24.079] 外でタバコ吸ってるのね。
[02:15:03.753] [音楽]
[02:16:34.519] はい。
[02:16:37.760] よいしょ。なんかさ、俺のさ、俺のこの椅子さ、なんかさ、車輪が外れるんだよね、これ。俺、俺の体重のせいか、これ。
[02:16:54.880] ダブル
[02:17:01.960] また壊してら。
[02:17:04.280] あれ?その椅子ってずっと一緒だっけ?よいしょ。また壊してる。いや、これ買った時からそうなんだよ。いや、この椅子はもう
[02:17:27.760] 1年、ま、1
[02:17:28.319] 年ぐらい経ってるけど変えてるよ。変えてる、変えてる。
[02:17:32.200] 1
[02:17:32.359] 年ぐらいは経ったはず。よし、じゃ、続きやりますかね。何寝とんねん。何寝てんねん。よし。
[02:17:48.280] さてさて。ここも行った。あ、行ってるね。ここは。あ、行ってない。おい、おい。結構あるよ。
[02:18:07.200] え、な、何だっけここ?あ、ちょっとごめん。先にこっちやっていい?先にこっちやっていい?あ、何?なんか今なんか今なんか今なんか今おかしくなったし。キノコもどっか行っちゃった。キノコもどっか行っちゃったんだけど。
[02:18:13.051] [笑い]
[02:18:29.399] ここもなんか隠しだったよね、確かね。待って。下手くそやな。
[02:18:42.080] 待って。下手くそ
[02:18:45.399] 下手やね。こ、なんで行けねんだ、これ。うまい。ルルドゥルル。
[02:19:00.399] 神局。神局だけどさ、冷静に考えてこれめちゃめちゃ怖いよね。こういう夢見る時あるよね。なんか出口のない水の中を泳ぐっていうこういう夢見るよな。たまに
[02:19:08.071] [笑い]
[02:19:21.719] 怖すぎる。
[02:19:22.359] 怖すぎるよね、これね。
[02:19:23.960] あ、マジで極良すぎ。
[02:19:37.880] 近藤工事
[02:19:52.479] 浩こ司さんは元々ね、ピアノをやってる人
[02:19:55.080] だからね、作る曲もなんかね、すごい
[02:19:57.760] ピアノのピアノの戦が綺麗な曲を作るんだ
[02:20:01.000] な。
[02:20:07.800] ゴー。
[02:20:09.359] コナミとかだと元々バンドマンの人がいっぱいいるからすごいバンドチックな曲を作って俺好みなんで。そういうのも楽しいんですよ。あのこの作曲者のルーツを知るってのも海賊のリエッツゴー。
[02:20:25.720] 覚えてない。全然覚えてない。うわあ。あったねえ。こんなの
[02:20:34.359] 水に入る。水に入る。注意。
[02:20:36.080] 潜ってると死ぬほど[笑い]潜ってると
[02:20:38.200] 死ぬほど苦しくなってきます。水面に
[02:20:40.720] 上がるかアクを見つけて触ってください。
[02:20:42.439] 人息つけます。泳ぐ時はBボタン。はい
[02:20:44.359] はいはい。オッケー。
[02:20:47.720] なかなかあれだな。あの今の任天堂には
[02:20:51.280] 絶対言わないああ
[02:20:54.359] 表現だな。死ぬほどとか死ぬほど
[02:20:58.200] 言わないしますからね。まあ
[02:21:00.319] ね死ぬほど苦しい
[02:21:01.840] よね。100
[02:21:03.680] はい。シャロさんどうもこんばんは。
[02:21:07.200] ありがとう。100つございます。
[02:21:09.479] 100
[02:21:09.640] ビありがとう。ファイトです。
[02:21:12.720] ありがとうございます。耐久していきます。
[02:21:16.319] 100
[02:21:16.520] ビありがとう。あの、今日すっげえさ、サブギフもらえんのなんでかなと思ってさ、思ったらさ、今日あれなんだね。あの、今日さ、サブ岐阜がなんか何%
[02:21:28.040] 奥みたいなやってるらしい。
[02:21:31.560] ドールでみんな今日はぶりがいいと思った。海賊のお宝つったけどあ、待ってください。
[02:21:34.793] [音楽]
[02:21:38.479] だから送ったわけじゃねえぞ。あ
[02:21:40.280] あ、だよね。ごめんごめん。そんなことないね。そうだよね。そんなことない。単純におめでとうの気持ちだもんね。ありがとう。ねえ、なんで逃げるのお前?取れねえだろ、これ。これ取れなくなってないか。取れないようにできてるよね、これね。
[02:21:41.998] [笑い]
[02:22:01.920] もういらねえ。いらんわ。
[02:22:04.200] そんなちアげの誕生日が特売日なんて
[02:22:07.200] まるで狙ったかのような。
[02:22:12.319] 勝手に入るな。この洞窟には無駄で入るのは、え、わいが訪る。
[02:22:16.520] ま、入りますがね。うわ、マジやん。
[02:22:19.333] [笑い]
[02:22:25.439] あ、青コ
[02:22:27.920] わざわ来ちゃ。
[02:22:28.880] わい早すぎ。あ、
[02:22:34.240] なるほどなるほどね。ほんでこれ
[02:22:47.720] 正しい順番で開くこと。たえ答えは誰にも教えてやらない。
[02:22:50.640] なんだそれ?え、何それ?誕生日なの?
[02:22:58.200] おめでとう。も昨日だった。
[02:23:00.200] 本山さんこんばんは。えっとね、正式にはまだまだあれなんですけどね、あの本当は
[02:23:06.600] 6月11
[02:23:07.240] 日なんすけど、あ、やべえ、適当にやった。当たった。
[02:23:10.200] 6月11日なんですけど、まだ5日間5
[02:23:12.439] 日あるんですけど、ちょっとあの、こういう耐久配信とかやるのはど草
[02:23:15.009] [音楽]
[02:23:17.240] 土日しかねえかなと思って
[02:23:22.760] ちょっと早いんですけどやってます。
[02:23:27.200] 30
[02:23:27.680] 誕生日カウントダウン配信理解
[02:23:30.120] 5日間もやらないけどね。30
[02:23:32.240] 歳ですよ。もうおさんやで。
[02:23:39.720] あれ?なんかなんか俺なんか飛びしちゃったみたい。すぐ
[02:23:43.560] 45
[02:23:44.319] やめてよ。でもそうだよな。だってさ、
[02:23:47.319] 30
[02:23:47.640] 超えたら急に来るから見つけてくれ。おめでとう。
[02:23:51.120] いや、マジでそうだよね。あのださ、今さ、なんて言うの?
[02:23:55.520] そうなるともう50だよ。
[02:23:57.040] 今さ、普通に20
[02:23:58.560] 歳の頃の思い出というか、20
[02:24:00.080] 十歳の何、あの、
[02:24:02.040] 20
[02:24:02.200] 十歳になった時のことを鮮明に覚えてるわけじゃん。で、そっからの
[02:24:04.920] 10
[02:24:05.080] 年間ってさ、ま、鮮明に覚えてるわけじゃん。
[02:24:07.040] ね、それもう1回繰り返したら40って
[02:24:09.680] ことでしょ?やばいよね。すぐじゃん、
[02:24:12.520] そんなん。
[02:24:15.200] なんか10歳から、20十歳までの時間は
[02:24:18.760] あまりにもなんか長い感じがしてん実感
[02:24:22.760] なかったけど
[02:24:25.479] 3、その10年10年よくよく考えたら
[02:24:28.760] めちゃめちゃ
[02:24:29.600] 感じる時間はどんどん短くなるよ。
[02:24:32.279] そうだよね。
[02:24:33.880] 変じゃない。
[02:24:35.640] ああ、こいつどうやってどくんだっけ?
[02:24:36.885] [音楽]
[02:24:39.160] 何言ってるの?ちゃまく時は加速する。
[02:24:43.120] 時は加速するからもっと早くなるってこと?勘弁してよ。そうやって死んでいくんだろうな。
[02:24:49.120] 体感的には銃が人生の折り返しらしいぞ。
[02:24:53.120] え、ま、ちょっとちょっとちょっとちょっとちょっとちょっとやめて。ちょっとやめて。はい。ちょっとやめて。
[02:25:04.560] 海賊のお宝って多分
[02:25:05.760] 30年と今なので1年は短く感じますね。
[02:25:10.439] ええ。あ、い、なくなった。あのうツボ怖いよね。でかくて。ここやろ。ここやろ。
[02:25:23.640] ぜ。
[02:25:29.240] マジで神ち
[02:25:34.040] 。あ、あば。
[02:25:43.319] 何それは?え、何そんなんの?わかんない
[02:25:46.080] んだけど。何それ?
[02:25:50.920] え、何それ?何それ?何それ?何?これも
[02:25:52.760] 順番?これももしかして順番?やべえ、
[02:25:55.160] 死ぬ。あ、空気ある。空気ある。空気ある
[02:25:58.359] 。空気ください。空気ください。
[02:26:07.600] これ何?
[02:26:12.479] ほな、来週から
[02:26:15.359] ね。
[02:26:16.359] え、子供扱いされたいんだけど、もっと子供扱いしてくれよ。
[02:26:29.479] 稽古に行って。
[02:26:30.720] え、ま、稽古はいつでも俺のこと子供扱いしてくれるけど、お母さんだからな。あばあばばわばあばあば。
[02:26:44.560] 順番ってこれでも当てずっぽ。ああ、よし
[02:26:47.000] よしよし。当てずっぽしかねえよな。
[02:26:51.760] オイエスイエス
[02:26:54.920] イエスイエス。
[02:26:58.319] あ、ほんでほんでほんであれをね。ほんで
[02:27:03.399] あれをね。
[02:27:14.479] あ、なるほどなるほどなるほど。あん。
[02:27:21.040] 水がある間に上行っちゃえばよかったな。うわ、むずい。曲がいい。曲神曲すぎるだろ。
[02:27:35.560] ほほ。ヤッホー。
[02:27:37.680] うまい。ほ、
[02:27:40.439] うまいよ。いいよ。うまいよ。うまいよ。ほ、
[02:27:45.240] まあ、ちょっと、ちょっと、ちょっと。ヤッホー。
[02:27:54.399] うまいね。ヤッホー。
[02:27:57.120] うまい。うまい。うまい。うまいうまい。これ成功法なのか知らんけど。
[02:28:03.319] このどうもこのさ、ま、カメラ、カメラ操作がね、
[02:28:08.479] 64特有の
[02:28:11.359] 自由には動かせないっていう。オ、うい、
[02:28:18.279] いいじゃん。調子いいぜ。ゴ、
[02:28:21.399] 調子いいぜ。
[02:28:24.640] 64マリオのカメラはグむ。
[02:28:26.840] あのね、やっぱり64のゲームはね、3D
[02:28:29.560] ゲームのその冷命期
[02:28:30.920] ケツワープとかじゃなければ大体成功法
[02:28:33.680] 霊名だからあのねやっぱゲームのね、やっぱそのカメラっていうものがまだね、あれしてなかったからあのしょうがないんだよね。でもとっくに俺
[02:28:43.600] 64
[02:28:43.920] のゲームで一番カメラひでえなと思ったのはあの悪魔城ドラキュラ
[02:28:47.840] 64あれね
[02:28:49.359] 007も大概しんどいよね。
[02:28:51.800] 悪魔女ドラク64番のカメラはゴミだよ。
[02:28:55.960] 最近のゲームがすごく進化してるか。
[02:28:56.268] [笑い]
[02:28:59.120] あれ何がゴビって勝手になんか普通にこうやって歩いててもなんか勝手になんかこう動くんだよね。なんかゴー
[02:29:05.438] [笑い]
[02:29:07.800] 動くなよ勝手にってほ
[02:29:13.920] バイク乗ってくるが骨な。
[02:29:15.680] 懐かしい。やったよな、あれもな。巨大うツボ出てこい。
[02:29:22.399] 巨大うツボってどこ?さっきあ、え、星ありますやん。スターあるで。え、何これ?
[02:29:31.800] プレステのアナログスティックが出るまでカメラワーク早くなかったのかもね。
[02:29:36.680] やっぱね、そういうもんなんだよ。冷期だから。あ、いた。あいつか。あ、思い出した。あいつのお尻にくっついてんじゃなかった。なんかそんなあったよね。マリオ
[02:29:45.640] 3者にも同じのあったぞ。どこい。怖。
[02:29:50.634] [笑い]
[02:29:51.399] 怖すぎんだろ、これ。
[02:29:53.040] この手のゲームがあったからこその進格知ってるなんて。
[02:29:59.359] こいつが
[02:30:00.920] サンシャインは歯磨きあったよね。笑。
[02:30:03.600] やばい。ああ、歯磨きね。あのあれも怖いんだよね。やべ、死ぬ。なんでコインで息が回復するんのか分かりませんが。これさ、普通にトラウマだろ。
[02:30:18.720] 巨大うツボのっぺりしてて怖えんだよな。
[02:30:27.319] あ、取れた、取れた、取れた。よし、よし。あ、あ、やだ。嘘。やめて、やめて。やだ。あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ、あ。笑。
[02:30:27.969] [笑い]
[02:30:48.240] まあまみ
[02:30:48.880] 笑笑
[02:30:51.640] 死に方がリアルた
[02:30:55.040] し死に方が
[02:30:57.520] 死に方が結構リアルねうみたいな
[02:31:01.374] [笑い]
[02:31:03.640] 死に方が結構リアルなんすよ。
[02:31:07.160] ちゃんと死ぬからマリオがお茶メラなんかまんまミやとかじゃなくて本当に窒速死するんだよね。これトラウマになるよな。
[02:31:14.475] [笑い]
[02:31:18.720] 全然お茶めな感じで死なないからね。普通に窒息速し出てくる条件がよくわかんねえんだよな。何回かこの何回かこいつにこうやって
[02:31:35.200] アーのる場合かて
[02:31:37.120] ここうやってやってれば出てく怖いんだよ。当たり判定ガバガバだし。出てこい。何回かやってれば出てくるってこと。
[02:31:47.319] 怖いな。1回息取りに行こう。1回息つい
[02:31:50.800] に行く。
[02:31:54.200] いや、マジででもいいな。癒されるね、
[02:31:56.160] BGMが
[02:32:01.560] 出てきた。
[02:32:04.600] 出てきたか。あれ、まだ出てきてない。
[02:32:10.240] もう1回ぐらいやればいいか。
[02:32:14.080] これで出てくるんちゃう?
[02:32:17.080] あ、出てきた。一旦きついに行こう。
[02:32:26.000] オオッケー。よしよしよしよし。
[02:32:32.240] で、これ当たるとダメージめっこ
[02:32:35.840] も考えて慎重に行かなきゃならない。
[02:32:43.920] 待って。やべ[笑い]。死ぬ、死ぬ、死ぬ
[02:32:45.000] 。だからこれむずいって。これむずいな。
[02:32:49.080] 後ろから追っかけて追いつくもんなのかな
[02:32:51.240] ?[音楽]いや、間に合う、間に合う、
[02:32:52.560] 間に合う、間に合う、間に合う、間に合う
[02:32:53.960] 、間に合う、間に合う。うい。
[02:33:00.000] オケ。
[02:33:03.240] どこ、どこ行った?
[02:33:06.720] おい、何?戻っちゃうの、お前。[笑い]
[02:33:09.840] お前戻っちゃうんかい?来た。
[02:33:13.680] ちょ、コイン拾う。
[02:33:23.359] あいつなんだよ。いちいちいちいちあれ
[02:33:26.040] なんか戻っちゃうんか。早く出てこい。
[02:33:29.640] ここでスタンバックしたらえんちゃう?
[02:33:39.960] あ、やばいやばいやばいやばい。
[02:33:41.319] 待って待。くそ。これだめだ。うわあ。これ。あ、やばい。やばい。やばい。やばい。やばい。やばい。やばい。やばい。やばい。待って、待って、待って。いや、行ける、行ける、行け。まだまで、まだまで、まだまで。あぶねえ。危な。待ってね。待って。まだ行かないで。ねえ、ちょっと待って。待ってくれ。
[02:34:08.052] [音楽]
[02:34:13.120] ここでスタン張って。
[02:34:18.439] あ、来た、来た、来た、来た、来た、来た、来た、来た、来た、来た、来た、来たよ。やん、やん、やん、やん、やんやんやんやんやんやんやんやんやんやんやんやんやんやんやんやんやんやんやん。割とさっきの奇跡だったんだけど。
[02:34:40.439] ちょっと追いつけね。ちょっとちょっとこれむずいよ。これむずいって。
[02:34:42.111] [笑い]
[02:34:47.352] [咳払い]
[02:34:52.680] ママみや。
[02:34:55.479] むずいよ。
[02:34:59.600] あらさんこんばんは。
[02:35:01.920] 30歳の誕生日配信しています。
[02:35:05.319] マリオ64も今年の6月24日だから23
[02:35:09.279] だかで30周年6月11日は俺の誕生日と
[02:35:12.680] いうことで10日ぐらいしかねえんだな。
[02:35:15.359] 俺俺とこいつのためほぼため
[02:35:24.399] 30代
[02:35:25.880] 終わり終わりの世代です。[笑い]
[02:35:29.240] 終わりの世代の仲間になった。やべえ死ぬ
[02:35:32.920] 。さ、
[02:35:36.399] 20代が終わっちまうんだな。あと5日で
[02:35:38.680] 終わんのか。俺の20代は
[02:35:44.479] 出てこいって。お前
[02:35:53.920] 出てこい。あ、もここでさ、
[02:35:58.640] 狙い打ち。
[02:36:00.160] え、なんで今のだめ?あ、うまい、うまい、うまい。よし、よし、よし、よし、よし、よし。オッケー。イエス。ゴ、
[02:36:14.000] ガンマッチ。
[02:36:18.439] 24枚。いいよ。ゴ。
[02:36:28.840] 赤コインね、
[02:36:31.080] 1
[02:36:31.319] 番時間かかるんですよね、赤コインがね。ま、なんかこの辺にあんのチラチラ見てたからゴまで来ましたね。
[02:36:41.000] あ、もうそんなか。1/5か。
[02:36:56.319] え、もう1/5早ない?
[02:37:00.200] え、全然明日の朝までにクリアできちゃい
[02:37:02.560] そうじゃね[音楽]と言うんですよ。いつ
[02:37:05.399] もチャームいつもそうやって言うんだよ。
[02:37:08.080] あ、何これ?
[02:37:14.319] ハズれか。
[02:37:17.600] あれ?赤コインってもうないんだっけ?
[02:37:19.439] この水の中に。
[02:37:21.880] あの下って赤コインあった?
[02:37:25.000] あ、ある。あれも拾いに行かないとな。
[02:37:39.720] オッケー。
[02:37:42.279] あと船ね。
[02:37:46.840] マリオ64のさ、BGM
[02:37:48.880] めっちゃいいからさ、レコード欲しいんだけど売ってないんだよな。発売はされてるんだけどレアすぎてさ、いいよね。でもこれ、この曲レコードあったらめちゃめちゃいいと思う。ずっとかけてるわ。
[02:38:06.240] こんにちはっす。
[02:38:07.399] どうも。こんにちはす。
[02:38:11.240] よく寝れそう
[02:38:12.160] ねえ。
[02:38:14.000] 良いね。
[02:38:14.720] ね、いいよね。
[02:38:16.040] ま、よく寝れそう、あの、レコーって、あの、ループ再生できねえから、
[02:38:20.160] この曲だけ聞きたいってことができないんだけど。レコードってのはさ、あの、曲単位で聞くのはちょっと難しいからね。
[02:38:22.850] [笑い]
[02:38:33.600] ま、それがまた良さでもあるんですけどね。それがまた良さなんだけど。
[02:38:44.160] あ、
[02:38:47.160] え、赤コインって。あ、かほ。
[02:38:59.880] あれ?1枚足んねえ
[02:39:03.160] ん。
[02:39:04.920] 1枚足りへんけど。
[02:39:12.920] な、
[02:39:13.040] 何なんこれ?これん中に入ってるとか?
[02:39:16.720] あ、ダメージ。あれ?
[02:39:18.359] 1枚足りませんな。
[02:39:27.880] 水中だかな?あとあれ
[02:39:47.279] 1枚ない。
[02:40:04.880] あ、分かった。あっちの奥かな?あ、違う。今、今なかった。あ、あの上かい。
[02:40:21.479] あれね。オッケー。オッケー。
[02:40:24.920] 1発打ち抜くわ。ヤッホー。
[02:40:28.479] うん。惜しい。ま、惜しいけど。まあまあまあ。惜しいけど。オッケー。で、しかもそこに出るのね。
[02:40:29.921] [笑い]
[02:40:40.880] ほほ。おほ。
[02:40:48.261] [叫び声]
[02:40:52.319] あ、横着できねえ。
[02:41:12.560] なに下手くそわ
[02:41:26.906] [叫び声]
[02:41:33.080] アンジのこんなちょっとちょっと落ち着いてやってすいませんね。
[02:41:34.111] [笑い]
[02:41:42.160] なんかこんなくだらないくだらないミス
[02:41:45.319] ばっか。
[02:41:57.520] オ
[02:42:07.120] ナイス
[02:42:09.800] 。
[02:42:09.920] はい、25枚目ですと。
[02:42:18.720] いいじゃん。だいぶ調子いいぜ。
[02:42:25.840] ま、ちょっと違うコースも行ってみよっか
[02:42:27.640] な。なんかここばっかやってもしょうが
[02:42:29.000] ないから違うコースもちょっと行ってみる
[02:42:30.880] か。気分転下
[02:42:38.479] とこ行ってみるか。いいね。
[02:42:40.800] いいよね。ボスのとこ行ってみよう。
[02:42:43.000] あとたったの8割。味変。
[02:42:45.080] たったの8
[02:42:45.800] 割。アジ変。味変。一旦ここでさ、セーブってセーブってでセーブってできないんだっけ?これできないか?ここ行くか。でもここさ、あれなんだよな。クッパだけじゃないよね。ここって赤コインもあるんだよね。
[02:43:10.399] どうせだから2
[02:43:11.000] 回やんなきゃいけねえんだよな。ま、ちょっととりあえずはスタート取ったタイミングだけだけ。
[02:43:15.560] あ、だけなんだ。これ自分の2
[02:43:16.960] 位のタイミングじゃできないんだ。トゥルルル。この曲もいいよね。ルル
[02:43:31.600] くださいください。
[02:43:34.640] ぬぬルぬ。
[02:43:41.920] 赤コインもここやんなきゃいけないだ。後でな。良すぎる曲が。ま、とりあえず赤コインを無視して、とりあえず最初あのクッパやっちゃうね。
[02:44:10.760] あほ、嘘、嘘。ダめですか、今の。
[02:44:12.623] [笑い]
[02:44:23.520] ダブル。
[02:44:24.760] 今のあかんのかい。
[02:44:28.560] 根性がないな、今の。
[02:44:35.319] 下手くそのくせにこうやってちょっと
[02:44:36.560] なんかちょっとこうなんかこうさし
[02:44:39.840] たりとかしてなんかこうまい
[02:44:42.479] でさねえ[笑い]
[02:44:44.800] やめよう
[02:44:46.399] やめよう実直に行きます
[02:44:49.880] つけんのやめようどう下手くそなんだから
[02:44:55.200] 笑笑
[02:44:55.720] でもされを取ることによってゲームオーバーを永遠に永遠に回避し続ける
[02:45:00.800] という永遠に回避し続けるという危ねえという名義そういうことだよな。
[02:45:12.040] 極意動工事神
[02:45:28.680] アボン
[02:45:31.000] アボーンしたな、今な。
[02:45:38.120] ほ、た、こっち、こっちを引き上げてこうな。
[02:45:44.920] 危ない、危ない、危ない、危ない、危ない、危ない、危よ。え、待って、待って、待って。見えねえんだって。これさ、どっちに行けばいいの?こっちが青龍とか。
[02:45:57.399] あ、こっちか。お、か炭治郎。火炭治郎の
[02:46:03.800] 1模様。
[02:46:04.920] はい、ありがとうございます。て、この
[02:46:10.800] BGMもいいのよ。
[02:46:13.960] 元ネタ
[02:46:14.880] でね、や、多分違う。でんでんでん。この曲かっこいい。残念だったらマリオ、ここにピーチャンはませんでした。ガはは。ちゃん漬けなんだ。可愛い。我が後ろに回り込んで尻尾をつべるもんなら掴んでみるんだな。エルスティックでグリグリ回して投げるなどできるわけじゃないかは。
[02:46:36.640] できるんだな。それが
[02:46:41.439] 回すで回れ
[02:46:46.720] 待ってこれ当て馬当てん[笑い]
[02:46:49.600] の馬
[02:46:53.200] あれ馬笑
[02:46:55.800] うまぐっ
[02:46:58.200] たわ。
[02:46:58.560] あ、え、これで終わり。え、これで終わり?あ、ちょっとちょっとちょっとうますぎましたね。うますぎましたね。ごめん。ちょっとキープが出、
[02:47:13.399] キープが出ました。うますぎ。ヤッホー。
[02:47:18.200] イエー。うま。そして赤コイン行きます。赤コ。
[02:47:27.200] さっきのあのクッパ戦ってる時のさ、デねってくそ下手じゃねえか。あの曲あるじゃん。ま、
[02:47:34.365] [笑い]
[02:47:39.319] あの曲がさ、あのなんだっけ?あのスーパーマリオデッセンディングの曲に
[02:47:47.160] さ、あのフレズ使われててクソ暑かったわ。ま、伝わるかわからんけど。
[02:47:55.640] ちょっとや。
[02:48:11.880] えー、ここでワンナップを稼いでい。あ、危ねえ。
[02:48:20.439] ちょっと、ちょっと、ちょっと、ちょっと
[02:48:21.279] 、ちょっと、ちょっと、ちょ、お、
[02:48:22.479] ちょっと、ちょっと。なんやねん、あいつ
[02:48:24.080] 。
[02:48:38.920] 橋本、こんにちは。
[02:48:43.142] [笑い]
[02:48:44.680] エロみたいな声出ちゃった。ごめん。
[02:48:46.520] ルフィさん、こんばんは。
[02:48:52.560] えっと、お、
[02:48:54.800] 海外の見すぎ。おう。よく[笑い]
[02:48:59.120] Twitter
[02:48:59.399] に流れてくんだよな。海外のエロい女が。ま、見ちゃうよね。そんなん流れてきたら指が止まっちゃうよね。
[02:49:07.960] すっつってね。わ、ワンナップ多いな。
[02:49:21.239] の任婦の動画流れてくる。
[02:49:23.920] 海外の任婦の動画な。何それ?妊婦の。え、ここワンナップ多すぎじゃね?ここで無限ワンナップできるやん。
[02:49:42.680] ホ
[02:49:52.160] 危ない気をつけて気をつけてよ。
[02:50:07.319] あ、あ、
[02:50:12.880] あ、
[02:50:15.359] YouTube
[02:50:15.880] にも脱所で脱いでる動画あげてる人いるよ。
[02:50:17.463] [叫び声]
[02:50:19.319] 何それ?あ、待って。ま、これいいや。あっちから行くか。脱所で服。危ね。何?何?何?ちょ、なんかたまにたまにわけわかんないことになるよね。
[02:50:36.600] ごめ。あ、この上ね。く、だめだ。あの赤コインどうと飛んだよ。はい。
[02:50:55.000] よ。これ何?どうとんのよ。ヤッホー。
[02:51:03.720] え、あ、1
[02:51:04.720] 回そっちに行くのか。ぶつけてた。
[02:51:08.479] ここの間をだからジャンプで行くんでしょ?相当難くない?
[02:51:14.399] うますぎ。え、あれ?
[02:51:18.239] 1枚足んねえな。
[02:51:19.080] お疲れちゃん。
[02:51:20.160] あ、リミさんお疲れ。リビさんお疲れ。やってるぜ。あと
[02:51:23.960] 1枚。あと1枚。あと1
[02:51:25.760] 枚。あの赤コインね。
[02:51:26.760] お誕生日おめでとう。[泣き声]
[02:51:28.000] ありがとう。30歳になりました。30
[02:51:30.920] 代のチマゲームをよろしく。
[02:51:44.439] え、赤コインないじゃない?
[02:51:45.840] 油の乗った30
[02:51:47.120] 代もず最初からずっと乗ってるんですけども油は油はずっと乗ってるんですけど。やだよ。
[02:51:56.840] そうでした。ダブル。
[02:51:59.439] そうでしたじゃなくて。あ、ハき、ハき。なんか、なんか、なんか今クリボーイたぞ。
[02:52:04.229] [笑い]
[02:52:06.200] そんなことないよ。滅へのブロックですね。
[02:52:11.439] 鬼滅のな、す炭治郎ね。す炭治郎じゃない。か炭治郎。す火炭治郎は絶対焼肉屋さんだな。
[02:52:19.949] [笑い]
[02:52:22.720] 邪魔ゲームお疲れ。
[02:52:24.239] あ、くさんお疲れちゃん。誕生日配信をし
[02:52:26.760] ています。
[02:52:29.000] よろしくお願いします。1枚足んないん
[02:52:31.920] ですけどコインが
[02:52:35.040] さすがにマリオ6あんなところにある1個
[02:52:38.640] 。え、なんか1個あるやん。あそこに赤、
[02:52:41.760] 赤コイン何あれ?
[02:52:44.960] どうやっておんの?あれ?
[02:52:47.640] え?[叫び声]
[02:52:49.800] あ、そこにも。
[02:52:51.359] うわ、これ隠しだね。これ隠しだね。何をしている?バカたれ。さすがのクライさんもマリオ
[02:53:01.960] 64。ありがとう。
[02:53:04.120] マリオ64ぐらいは知ってんじゃない?
[02:53:08.880] わお。ありがとうございます。
[02:53:16.319] いいですね。もう
[02:53:18.120] ペンギンには負けるなよ。
[02:53:20.000] 何?ペンギンって。
[02:53:21.399] 何ペンギンって?
[02:53:22.520] ママみや。
[02:53:24.439] あ、あのレースのやつ。もうクリアしたよ。そこは。そこはもうクリアして。
[02:53:34.120] ちゃまくみそじおめでとうございます。さんこんばんは。ありがとうございます。ぐ、もう読むの疲れちゃ。
[02:53:41.840] 今日はサブがガがガがガツりサブスクもらってますから。
[02:53:48.000] ガ売りサブスクもらってますからね。ありがとうございます。
[02:53:52.239] おめらも投げろよ。
[02:53:54.270] [笑い]
[02:53:57.319] セブしスクがつガツガツ。
[02:54:03.160] いや、セーブできないんだよ、これ。自分のタイミングでできないから。
[02:54:06.560] 前のコースクリアと殺したとこでセーブされてるから。まあまあぶっちゃけ死んでも大丈夫。
[02:54:14.200] サブか。
[02:54:17.279] なんて今なら今日はサブスクが
[02:54:19.319] 30%オフ。
[02:54:21.080] シンクさんがごサブスクを送りました。
[02:54:22.436] [笑い]
[02:54:25.600] ほんまやん。まあね、こんなこと言うのもなんなんですけど。うん。ありがとう。うん。ありがとう。ほんまありがとうね。ほんまにありがとう。こんなこと言うのもなんなんだけど。ま、ま、こんなこと言うのもなんなんだけどまあ誕生日配信って言ってるからね。ま、もらえるもらえるんだろうなとは。うん。うん。もらえるんだろうなと思ってこっちも配信してるから。
[02:54:45.360] [笑い]
[02:54:45.800] 言うけど言うけど、あの、遠慮なく言う
[02:54:48.359] けど、まあもらえるんだろうなと思って
[02:54:50.399] こっちも配信してるから。[笑い]
[02:54:55.040] そりはね、誕生日配信なんだ。
[02:54:59.000] ああ、
[02:55:02.479] ありがとうございます。ゲーム、ゲーム
[02:55:03.800] オーバです。
[02:55:06.439] まあまあまあ、ありがとうございます。
[02:55:08.319] ダブルし
[02:55:11.040] をありがとうございます。キャバ嬢の
[02:55:13.560] バースデーと同じだね。
[02:55:15.800] 笑笑。
