[00:00:15.960] こんぽ
[01:03:43.760] 自じゃないの俺?俺辞任静かじゃない。自共に認めるじゃないの?お、もうちょっとでマスターや。もうちょっとでマスターや。ゴーストオブ底ゼマお疲れ。
[01:03:59.520] Z
[01:03:59.680] マお疲れって言った?俺言ってないよね。今日来てないよね、まだね。デ玉お疲れ
[01:04:03.520] よ。
[01:04:05.680] 今職業レベル上げとんねん。職業レベルを。
[01:04:09.039] せい。
[01:04:11.039] はあ。
[01:04:14.920] これ完全にあれだな。
[01:04:16.440] 1人でやってたらさ、
[01:04:17.799] 悪いうんこさん、
[01:04:19.279] もうめっちゃ出てるやん。うんこ。
[01:04:21.640] うんこめっちゃ出てますやん。
[01:04:23.480] 出てないのか
[01:04:24.839] せた。
[01:04:29.520] 俺1人でやってたらもう1食、
[01:04:31.640] もう1
[01:04:32.039] 色ぐらいこのままこうやってマスターまでやってもいいんだが。
[01:04:35.920] にしてもレベル上げすぎやろ。笑
[01:04:38.279] 嘘上げすぎ。これ嘘上げすぎ。
[01:04:40.240] 30分も座ってたら字になりそう。
[01:04:42.640] これやりすぎ。これわかんないんだけど。程度がここでせない面どいから食業経験値アップしてた。職業経験値アップって何?職業経験値アップってそういうのがあんの?そういう設定があんの?ま、ま、いいや。それはいいや。え、これレベル上げすぎか?こんなもんなんかみんなここまでやんのかなと思ったんだけどそんなことないんだ
[01:04:53.364] [音楽]
[01:05:05.440] よ。
[01:05:06.279] いや、一旦ここでマスターまでやっておくのいいだろうよ。ここまで来たらやろうよ。ここまで来たら。
[01:05:11.960] はあ。[叫び声]
[01:05:13.920] 何であるけど別にいいかも。
[01:05:16.240] 別にいいよね。これはていやせ。
[01:05:22.799] まあ、今ちょっとドラクエさ、
[01:05:25.359] その難易度設定俺はありがたいんだけどさ、
[01:05:29.279] そういうのあるってなるとこういう積んでる、積み上げてる時間ってじゃあ確かにそれやんなくていいんじゃねっていう疑念がちょっと生まれちゃうのもなんかちょっとやだよな。
[01:05:42.480] はせ[叫び声]
[01:05:45.279] じゃあこれやんなくっていいよねってなっちゃうよね。正味ね。
[01:05:50.039] そういう選択肢があるとさ。
[01:05:53.119] 特に配信だと特にそうなんだよ。
[01:05:55.440] 1
[01:05:55.599] 人でやる時にはいやっぱ俺は使わないわかんだけどこの配信で言ってる時でえっとじゃあだったらっていうのもやっなんか難しいね。
[01:06:05.720] 難しいね。
[01:06:07.640] ボスのさ、弱さいかもしれない。
[01:06:10.880] まあね、ボス戦をさ、
[01:06:14.559] そう、ボスをさ、弱くすんのは
[01:06:16.680] 楽しい野郎がい。[笑い]
[01:06:18.359] そうか。そうだよな。そうだよな。そう思ってくれてる人もいるんだよね。
[01:06:25.359] はあ。[叫び声]
[01:06:29.160] でもなんかこうボスを弱くすんのはちょっと違うじゃん。
[01:06:33.720] こういうのはね、確かにね。
[01:06:35.799] よせはあ
[01:06:38.820] [叫び声]
[01:06:39.680] ま、だからもう難易度設定のことは考えないようにしよう。もうこういうもんだと思っていくよ。
[01:06:45.160] 考えたら切りないからな。
[01:06:47.520] これはこれで楽しいんだよ。そうなんだよ。せい
[01:06:50.960] さ。どうだい?レベル上げすぎですかね、これね。
[01:06:53.231] [笑い]
[01:06:55.119] もうでもマスターするけど戦士を
[01:06:58.640] ボスだけいか
[01:07:00.359] ボスだけいバラ他のレベル逆にレベル上げまくれるような設定にしてボスの強さだけあれにするみたいな
[01:07:08.440] それもありだよね。あれレさんこんばんは。
[01:07:10.520] アリルレさんこんばんは。あ、マスターした。ほとんど実践経験を伴わないでマスターしてしまった
[01:07:17.720] ねえ。
[01:07:18.440] ペーパードライバーペーパードライバーになっちゃった。
[01:07:24.480] せつマスターちゃうんだ。つ
[01:07:26.799] いマスターした。
[01:07:28.240] 通信教育の
[01:07:29.911] [笑い]
[01:07:32.960] 友達が免許取り立て。
[01:07:34.559] 俺免許取った後に
[01:07:36.960] よ、
[01:07:37.400] ペーパードライバーのやつがさ、車手に入れたから免許取ってから
[01:07:41.599] 1
[01:07:41.760] 年経ってるけど初めて運転するから俺の運転で飯行こうぜって言った時に
[01:07:46.640] 1
[01:07:46.960] 番最初乗ってさ、めちゃくちゃぎこちない運転で怖かったんだけどさ、ちょっとガソリン入れるわつってさ、エンジンかかったまま給油した時ビビったね。あ、ペーパーライバーってそうなんだと思ってエンジンかかったまま給してたわ。
[01:07:54.801] [笑い]
[01:08:01.599] おい、おい、おい、おい、おい。つっておいおい、エンジンかかってるよ。せてい、
[01:08:06.559] あれ、エンジン切るんだっけ?
[01:08:08.240] 給ってエンジン切るんだ。だって言ってた。
[01:08:10.720] 俺だったら張り倒してる。[音楽]
[01:08:15.799] ま、確かにあれだけどな。あの
[01:08:18.040] 強じゃ習わないけどね。確かに給油のやり方なんで。
[01:08:23.120] せア。
[01:08:23.719] あれ習うんだっけ?教所って。
[01:08:25.799] アーブンや。[笑い]
[01:08:28.960] 教習所ってでも習わないよね。
[01:08:31.120] せい
[01:08:32.400] 給油の仕方っての曲がに曲がりえそう。
[01:08:35.412] [笑い]
[01:08:37.560] 習ったないな。習ってない。
[01:08:40.000] 習ってないよね。習ってないけどなんか知ってるよね。給有する時はエンジン切らなきゃ。
[01:08:47.040] オ、マスターした。もうマリベルはいっかな。
[01:08:50.920] マラー覚えたってこと?こいつマラー覚え
[01:08:53.319] てるってこと?
[01:08:56.719] マラー覚えてる。これは嘘でしょ?もう
[01:09:00.880] 行くわ。じゃあもうさすがに行くわ。
[01:09:02.839] さすがに行くわ。
[01:09:06.560] 血闘行くわ。マラベル十分
[01:09:09.520] わしのマラ覚えちゃいました。マリベルが
[01:09:12.520] マリベルがマラを覚えたわしのバイクから
[01:09:14.799] そもそもエンジンキラーと9キャップか
[01:09:16.440] ない。へえ
[01:09:18.199] 。いいね。いいね。
[01:09:20.000] のね。でも俺の車もあのシートベルト閉めないとあのサイドブレーキ解除できないからね。マラを知ってしまった。バイタじゃないでしょ。マリベルたんはバイタじゃない。
[01:09:26.503] [音楽]
[01:09:35.560] せい。
[01:09:36.400] まだ男知らないんだからこいつは。
[01:09:38.640] ガモ中レベル上がありそうだね。これね。もう
[01:09:46.920] 1レベぐらい。えい。
[01:09:49.120] い、マジでちょっと30
[01:09:50.120] 分ぐらいやるだけで職業マスターできちゃうのぐいな。
[01:09:56.920] さすがに倒せない。
[01:09:58.120] おお、倒せるようになってる。
[01:10:00.960] は、
[01:10:02.000] ドア1700え
[01:10:11.159] せよ。
[01:10:13.008] [叫び声]
[01:10:18.440] 意外とこのマがアク
[01:10:19.560] ションゲームにしまったよ。は、[笑い]
[01:10:22.719] イースみたい。イースみたいだな。
[01:10:26.040] はあ。
[01:10:27.600] 意外とこの末がさ、経験値お美味しいんだよ。
[01:10:29.880] 67
[01:10:30.400] ももらえるんだよ。あの彷徨いう鎧いで
[01:10:34.400] 50
[01:10:34.719] なのに。よしよし。道合ってんのか俺。
[01:10:35.933] [音楽]
[01:10:46.159] 行くまでにマスターしねえかな。ワリベルがマスターできねえか。ま、いっか。
[01:10:53.360] せアせ。
[01:10:55.080] 色々経験してるから。
[01:10:56.894] [笑い]
[01:10:59.800] 確かにいバ。あいつだけあの難易度いの道だもんね。人生。
[01:11:04.754] [笑い]
[01:11:04.920] 笑笑。
[01:11:06.400] あいつだけ人生い原の道だから。うん。
[01:11:09.120] 笑笑。
[01:11:09.920] 獲得ゴールド少ない縛りでしょ、あいつ。
[01:11:12.614] [笑い]
[01:11:14.239] 獲得ゴールド少ない縛りだからな。あいつ
[01:11:16.320] だけマジで買い物禁止縛り
[01:11:21.784] [笑い]言ってて悲しくなるな。
[01:11:24.760] 言ってて悲しくなるぜ。久々に会いてよ。
[01:11:35.040] たあ
[01:11:37.880] よせ[叫び声]
[01:11:41.960] マスターしとだね。こんだけで聞いたらこの先でしょ。
[01:11:44.840] せやていせ
[01:11:54.600] はあたあ
[01:11:59.840] よし
[01:12:00.239] よしじゃあ行きますかいも一応倒してないも一応倒してはい
[01:12:04.920] はいオッケーマスターじゃなくて俺のレベルがあった俺のレベルが上がってしまっためちょっとこれさすがにレベルでももうちょっとでマスターやもうちょっと
[01:12:14.560] マスターや。ちょ、マスターまでやらせてもらおうかな。やっぱり
[01:12:20.679] せ。
[01:12:21.280] よしよし。ま、ちょっとこれはちょっとぬるぬるゲーになりそうな予感もするけど。はい。スターしました。ありがとうございます。よし、もう行こう。もう行くで。もう行くで。どこだこれ?
[01:12:39.280] 逃げる魔物の背中を迷うことなく叩くっきり。
[01:12:42.400] そうや、そうよ。
[01:12:44.280] 人間以外は悪だからね。
[01:12:46.400] はあ。どこだこれ?こっちか?
[01:12:51.520] [音楽]
[01:12:57.960] せい。
[01:12:59.120] お得だからな。そっちの方が。さてさて。あ、待つ。行く。松は倒す。待つは倒す。
[01:13:06.440] これ67
[01:13:07.239] もらえるねん。こいつ蹴りなんよ。
[01:13:10.515] [笑い]
[01:13:12.000] まず40
[01:13:12.639] ゴールドも戻ってねえだろ、あいつ。あいつ
[01:13:15.639] 40ゴールドも持ってねえよ。
[01:13:21.520] バスの料金所で500
[01:13:22.760] 円入れちゃって号泣してたから。ガチの号泣してたからな。バカでかい声で。
[01:13:30.040] 笑笑。
[01:13:31.600] 返せよ。俺の[叫び声]
[01:13:33.520] 500円返せよ。て言さ。
[01:13:47.080] はあ。
[01:13:49.080] よしよしよしよし。来ました。
[01:13:54.679] や、
[01:13:55.679] トイレにスマホ流しちゃった人じゃん。
[01:13:59.000] 何それ?そんなの眠りの杖。[笑い]
[01:14:02.719] え、攻撃魔力眠りの杖の方がいいか?金
[01:14:07.159] あるさ。3万。金3万あるで。じゃ、買お
[01:14:10.560] 。
[01:14:12.199] 買うわ。
[01:14:15.120] 買う。
[01:14:17.920] ま、こんなもんかな。こんなもんかな。オ
[01:14:22.159] 、えっと、こっちは何?あ、宿屋やね。
[01:14:24.760] 一旦宿屋や止まるか。
[01:14:27.560] オ、じゃあ血糖行ってみますか。
[01:14:31.320] ケットやってみようかな。トやってみようかなと思っています。お、
[01:14:39.199] こっから出る教えて欲しいか?
[01:14:41.159] はい。まず血闘に出する。そして
[01:14:43.600] 3
[01:14:43.800] 回連続して勝ち抜き、その後決勝戦で優勝するんだ。すると神殿をずに親の魔物の親玉が外で出してくれるって話ですぜ。オ、セーブしこう。
[01:14:56.400] あ、URL省略。
[01:14:57.639] 何の言われる?何の言われるだ?それ見ていいやつか?これ
[01:15:02.520] 3
[01:15:02.760] 分もあったわ。そ、やだよ。
[01:15:24.136] [笑い]
[01:15:26.800] ええ。え、あ、[叫び声]
[01:15:30.239] 笑笑。僕の姿を
[01:15:41.679] 待つじゃん。[笑い]
[01:15:44.480] 待つじゃん。え、待つ。待つか。これ待つ。これ、これ待つか。待つもこんな感じだったよ。あの、あのバス降りるところで頼む。
[01:15:55.280] 500
[01:15:55.880] 円返して。それお釣り出ないよって言われて。あ、お釣り出ないよ。それて言われて。こんな感じだったけど。まつも
[01:15:58.852] [笑い]
[01:16:04.520] 笑笑。
[01:16:06.120] こんな感じだったけど。よし、いくか。
[01:16:09.332] [鼻息]
[01:16:13.262] [笑い]
[01:16:13.360] URL省略
[01:16:14.679] なんだよ。おい、熟連の種あるやん。は、熟連の種あるやん。今度は何やねん。
[01:16:24.397] [笑い]
[01:16:28.679] こういうやついるんだろうな。こういうやつってさ、いるんだよね。ちょっと待って。これどうやって映すんの?ここか。
[01:16:39.920] 藤原達也の声した。
[01:16:41.679] 強で負けた神聖ギャンブラのさ火。まるでなん?賭ば目視力開示よ。
[01:16:51.600] 強行のやつだ。
[01:16:53.218] [叫び声]
[01:16:53.873] [うめき声]
[01:17:01.480] なんでだ?ました。
[01:17:03.043] [叫び声]
[01:17:04.353] [笑い]
[01:17:08.283] [叫び声]
[01:17:14.840] 怖すぎ。
[01:17:16.639] すいません。[笑い]
[01:17:19.120] ちゃんと謝でも悪いやつじゃないな。
[01:17:21.320] ちゃんと謝謝ってもすいません。お知らせいたします。スタ
[01:17:32.400] え。あ、ごめん。そんなうるさかった。ごめん。そんなうるさかった。うるさかった。
[01:17:35.159] ツンボになる。
[01:17:36.440] ツンボって言っちゃだめ。ツンボってあの放送禁止だからな。ツンボっておばあちゃんとか言うけどね。おちのばあちゃんなんかめっちゃ言うんだから。ああ、ツんボだて。
[01:17:40.378] [笑い]
[01:17:48.880] あいつ、あそこのセレは乏だからとか言う
[01:17:51.280] んだから。あいつはマジで[笑い]うちの
[01:17:53.480] ばあちゃんはコンプラとかない時代の人間
[01:17:56.239] だから。
[01:17:58.600] 街中で黒人の人見たら言うんだから。
[01:18:02.080] クロンボタとかって言っちゃうんだから。
[01:18:03.800] うちのばあちゃんは[笑い]
[01:18:05.840] うちのばあちゃんは言っちゃうんだからね
[01:18:07.120] 。うちのばあちゃんの話だからね。うん。
[01:18:08.880] 今俺は言わないよ。そんなことはうちの
[01:18:10.639] ばあちゃん言っちゃいます。あ、間違えた
[01:18:12.000] 。
[01:18:14.600] いくら負けたらこんなんなるの?俺
[01:18:17.440] ギャンブルやんねえからわかんねえんだ
[01:18:19.040] けどさ。ギャンブルやんねえからわかん
[01:18:22.199] ないんだけど。いくら負けたらお前らの中
[01:18:25.040] にいる?ギャンブルやるやつ。
[01:18:28.880] 行くか。
[01:18:32.000] 最大でいくら負けたの?みんなでの中に
[01:18:35.040] どんいるの?は?何これ?モンスターズ?
[01:18:40.360] モンスターズじゃん。株いくら負けた?
[01:18:43.199] 負けたことない
[01:18:43.880] 堅実でやってんの?堅実にやってる株とかも俺わかんないやり方。あ、兄さんはだって積み立てでしょ。な
[01:18:52.440] ギャンブルやんないよね。挑戦者連にとったらこれが第
[01:18:56.920] 1
[01:18:57.040] の血統となる。それではデュエルドラゴンクエストモンスターズや。あ、お前も敵だったんだ。アドルスビトモード。あ、やべ。あ、ごめん。あれした。命令したかった。命令しよう。
[01:19:14.719] 強。何?ジバリーナって強。敵。
[01:19:20.960] 強すぎだろ。
[01:19:23.120] 何この化け物みたいな。あ、ごめん。作戦戻させて。ついよ。ついよ。怖。
[01:19:29.110] [笑い]
[01:19:35.679] ちょっと作戦戻させてね。止まんないんだけどね。
[01:19:38.440] 止まんないんだけど。でもドラクエやめらんないんだけど。
[01:19:42.840] もう任せてたら勝つよ。
[01:19:44.960] もうドラクエやめらでもいいや。ドラクエやめらんないんだけど。はは。せい。
[01:19:49.415] [音楽]
[01:20:01.600] あれ?毒にすんのって?これか。
[01:20:03.480] 行け。
[01:20:05.880] 毒になんない。
[01:20:07.360] 毒なんないす。これ回復しね。やべ。あ、やばい。これはまずい。回復しないって言ってたよな。何これ?天使の守り。力つきても確実に生き替える天使の加護。何それ?めちゃめちゃ強いやん。あ、眠らせよ。
[01:20:15.615] [音楽]
[01:20:25.920] 眠らないかな?ああ、眠らないすね。眠らないっすね。はいはいはい。オ。
[01:20:37.080] 行け。
[01:20:38.600] 毒ない。なかなか毒んないな。
[01:20:42.080] ねえ、ちょっとこのなんかさ、
[01:20:48.280] 魔法トーン解除する魔法ってあったよね。
[01:20:52.840] あ、入んないね。いまいって全然入んないんだな。
[01:20:55.159] 気めしよ。
[01:20:55.920] うん。
[01:20:59.520] そりゃ
[01:21:01.159] それ
[01:21:07.080] あざす。回復しないって言ってたな。ま、ベホマラーあるし余裕か。もうドラゴンクエストモンスターズなんだよな。この
[01:21:19.880] 3匹後ろにつけつじゃん。
[01:21:23.736] [鼻息]
[01:21:27.199] て
[01:21:30.600] かっけえ。大好き。あの、あの形の
[01:21:32.880] モンスター。あのドラク6に出てきたあの
[01:21:35.400] デビルアーマーみたいなやつ。デビル
[01:21:38.120] アーマー好き。え、敵に状態以上を与える
[01:21:41.040] と再行動できる。強すぎ。おつ。あ、
[01:21:43.960] 分かった。こいつあれだよ。装備
[01:21:45.880] 変えたらいいんだよ。あ、も、あ、だめな
[01:21:48.600] んだ。ああさ、装備あれの方がいいよね。
[01:21:51.320] 光の頭みたいなやつね。
[01:21:53.440] あのん、光の頭、あの、あれな、あのドラクシ
[01:21:59.440] 6のな、マルジ、マジ
[01:22:01.726] [音楽]
[01:22:05.800] 状態以上与えるって結構むずいけどね。ポイズンダガーで頼む頼まい。お、毒。お、いいじゃない。おお、いいじゃない。いいじゃないからのジバリーナで。これ一番強いんだからこれが。これ一番強いんだから、これが。
[01:22:21.760] これが1
[01:22:22.239] 番強いんだから。強え。強すぎる。
[01:22:25.306] [笑い]
[01:22:29.120] ハト戦の。
[01:22:32.360] あ、そっか。ハントしてもよかったんか。そうだね。ハントするべきだったか。ごめん、ごめん。そうだったわ。ハントするべきだった。だが
[01:22:41.440] にしたらそのままたナトスできるの強いな。
[01:22:44.920] 確かにそういうことなのか。そういうことなんだね。ごめん。そういう使い方するのか。
[01:22:49.520] あ、バカすぎて分かってなかった。そういう使い方なのね。ひえひえ。
[01:22:59.800] 食らえ。
[01:23:04.280] ひえひえひえ。
[01:23:06.040] ひえひえひえひえひえひ。にょにょに。
[01:23:14.880] 強い。よし。来た。
[01:23:20.480] 6倍のダメージですよ、これ。
[01:23:23.440] 頑張れ。264。
[01:23:26.800] あ、そっか。毒って解除されちゃうんだ。毒って解除。あ、でももう死ぬわ。もう、もう死ぬわ。一旦回復とこっかな。じゃあ、
[01:23:31.462] [音楽]
[01:23:36.520] まだまだ。あり、
[01:23:37.880] あ、MP使うね。やっぱね。
[01:23:40.239] は、
[01:23:41.719] 最高かよ、お前。お前なかなかいいな。お前ついてこないか?俺の旅に。
[01:23:47.080] や、や、や。終わり。
[01:23:49.239] ナイス。
[01:23:52.120] ちょっと強くなりすぎたのかもしれないな。
[01:23:55.000] 僕が守る。
[01:23:56.440] 俺が守んなきゃ。よし。
[01:24:00.938] [鼻息]
[01:24:02.679] さすが私。
[01:24:05.480] 可愛い。好き。
[01:24:25.679] これで勝ったら終わりか?これで勝ったら
[01:24:28.360] 終わりかな?
[01:24:31.080] ボーボ
[01:24:33.840] 。ジバリーナ抜群なんだって。まあま、
[01:24:37.520] まずはあ、ま、いっか。
[01:24:38.920] ちバリナ入れとくか。[音楽]
[01:24:41.360] 縛りナ窓ハごときには負けないでしょ。じ
[01:24:55.040] ラ
[01:24:57.360] いやい。
[01:24:58.800] ポプネモ行け。橋
[01:25:01.719] ポプネモもう弱すぎる敵がちょっと強くなりすぎた。強くなりすぎたのかもしれない。
[01:25:07.960] ポプネモポプネモの橋本バージョンのスタンプあるでしょ?ポプネモの橋元バージョンのポネモ緊張感あるな。な
[01:25:23.880] んなのそのポプネモレン打け
[01:25:28.000] パクパク。
[01:25:30.679] え、チまげパクパクもあるでしょ。ど
[01:25:33.159] ちゃまちゃまげパクパクもあるだろ。
[01:25:35.239] 色ハムアム
[01:25:37.320] あれないんだっけ?あ、ない。え?あ、ない。あれないんだっけ?
[01:25:41.154] [笑い]
[01:25:43.239] パクパクどこ?
[01:25:45.800] あ、ないわ。あれないわ。橋元パクパクないわ。え、消した。消したかも。
[01:25:59.080] だわ。
[01:26:00.000] 消したわ。違う。枠がねえんだよ。枠がねえんだよ、もう。
[01:26:05.760] 枠がねえんだよな。あれ持ってたよね。
[01:26:09.400] 君のスタンプ。これクエしか可愛くない。
[01:26:12.920] 空クエに可愛くねえだろ。え、これさ、スロットワリアってやだからさ、アニメーションスタンプさ、どれか
[01:26:25.039] [音楽]
[01:26:28.080] 1個消そうじゃん。
[01:26:29.280] それやだ。
[01:26:30.934] [音楽]
[01:26:31.400] アニメーションスタンプさ、
[01:26:33.320] 1個消すわ。
[01:26:34.159] じゃあでも消すのねえんだよな。
[01:26:39.159] 1
[01:26:39.320] 番使われてない俺のアニメーションスタンプってダメダメかな?
[01:26:49.280] どうだこれ?で、これでどうこれで一旦ちゃう?これで使えない。これで使えない。
[01:26:51.239] [音楽]
[01:27:00.719] パクパク。
[01:27:01.639] あ、使えた。使えた。使えた。あるねん。
[01:27:04.199] あるんだよ。こっちしよ。可愛いから。可愛いし。女受け良さそう。女受け良さそうだし。だめだね。
[01:27:11.920] なんか思ってたのと違う。
[01:27:13.800] なんでだよ。今使えるようにしてやったのによ。
[01:27:23.119] え、使えるやん。
[01:27:24.199] 僕もいブンド。
[01:27:27.920] [ベル]
[01:27:34.679] 可愛いやん可愛いやろな。パクパクしパクパク
[01:27:40.159] 可愛いやろか。
[01:27:42.320] そりゃ
[01:27:45.440] 色ハガムアム。色ハガムアム。色ハガムアム。
[01:27:48.840] 色ハガムアム。確かそのあれなんだよな。あのしパクパクと一緒の人が書いてくれたんだよ。
[01:27:56.239] あの、このゲーム何なんだっけ?あの、
[01:27:57.960] アニマルアーダみたいなゲーム。その
[01:28:00.119] なんかしぐちゃんのイベント出た時に
[01:28:01.600] なんか全員分書いてくれたんだよね。
[01:28:03.946] [鼻息]
[01:28:06.000] アニマルプラネットみたいなゲーム。
[01:28:12.679] あれ
[01:28:14.440] 3連勝じゃなかったっけ?ああ
[01:28:19.010] [音楽]
[01:28:19.920] 、
[01:28:22.719] パクパクポ。でもあれやん、これね。あれ
[01:28:25.440] やんね。これね、なんだっけ?あの
[01:28:28.199] お姉ちゃんと戦う流れ本当にあれじゃん。
[01:28:30.440] 未レゆと一緒じゃんね。ミレユお姉ちゃん
[01:28:32.760] だよ。こいつのこのヤヒムのヤヒムだか
[01:28:35.719] なんだか名前。ザジね。ザジー。ザジ。
[01:28:39.360] お前まで私に私を殺しに来たのかい。そう
[01:28:42.480] やって言ってたって私をいじめるんだね。
[01:28:44.960] 被害者被害者ずら乙姉さん
[01:28:48.040] はその魔のせいで消を失ってるだけだよ。
[01:28:49.679] で[音楽]も大丈夫。僕が救るよ。
[01:28:53.199] テリマンオマージュか。
[01:28:54.520] テリマンオマージだやろ。これどう考えてもリマンオマージでしょ。
[01:29:02.960] 守護らなきゃ。
[01:29:05.840] 俺が守らなきゃ。ジバリーナ。あ、抜群なんだ。でもこっち。でもこっち。
[01:29:12.520] ドンだ。
[01:29:15.560] ネリスタンもえ。え、強やるじゃん。何?ザジ。
[01:29:23.000] 橋本
[01:29:24.119] とりあえずホまでは
[01:29:31.440] ちょっと決めて決めて決めてそれちゃんといいね。ジバリーナが最高。ジバリーナが刺さっています。今日も俺はとりあえず
[01:29:46.560] 出爆がそんなにそこまで必要ないかもしれないね。
[01:29:50.040] まだでどし
[01:29:52.960] かジバリーナ入れよっかな。こいつにも
[01:29:55.960] こいつだが。あ、毒効かないんや。
[01:29:59.840] はええん。麻痺は麻痺も効かないの?嘘
[01:30:04.679] でしょ?じゃだめだこいつ。あれ状態以上
[01:30:06.320] ならねえわ。じゃあジバリーナ入れるわ。
[01:30:08.480] ならジバリーナ入れるわ。
[01:30:12.239] 状態以上入んねんかい。
[01:30:16.880] 周りから倒そう。
[01:30:23.239] よしよしよし。強え。いいね。魔ホターンって何?魔法ターン?魔法ターンって何?ん?魔法ターンってなんだ?魔ホカンター違うよね。
[01:30:27.392] [笑い]
[01:30:45.320] はあ。
[01:30:47.840] 魔法ターンって何?
[01:30:51.280] 1
[01:30:51.480] 回だけ跳ね返るやつ。
[01:30:53.080] あ、1
[01:30:53.440] 回だけ跳ね返るなんだ。はええ。天下無双。え、何これは?敵一体に天下無双の
[01:31:03.000] 6回攻撃はこれやん、絶対。
[01:31:05.880] おら、おら、おら。
[01:31:09.440] ちょっと、ちょっと強すぎ。おつ。どうしようかな。
[01:31:11.932] [音楽]
[01:31:15.920] どうしようかな。どうしようかな。どうしようかな。わかんないけど。これ行け。
[01:31:23.480] 盗切りとかでもいいかったな。はい、雑魚おつ。はい、雑魚おつです。雑魚おつ。
[01:31:37.478] [鼻息]
[01:31:40.679] よくやった。
[01:31:42.159] 魂の検査へ取り上げてしまえば姉さんを救ったも当然だ。
[01:31:46.440] どうでもいいけどお前偉そうだな。ガキなんで年下のに俺に対してよくやったとか言ってんだよ。
[01:31:53.119] 魂を我が姉のみに再び宿れ。
[01:32:07.960] これで僕の時と同じように姉さんも正気に戻るはずだ。
[01:32:12.440] それはどうかな?
[01:32:14.520] 勝者新たなる挑戦者たち全ての血闘に勝ち抜き優勝したお前たちには神殿の外へ出る自由を与えよう。
[01:32:29.960] え、俺を倒してからな。どうこと?した者たち我らが勝利者の扉まで導いてやろう。
[01:32:41.320] いや、その必要はない。無の無の。あ、氾乱のしは上がった。
[01:32:55.719] これから血闘にいる全ての人間たちがワンパ
[01:32:58.800] 自由のために魔物たちと戦うだろう。
[01:33:02.040] ザジは私と一緒に来てくれ。レリスを今のうちに安全なところまで運ぶんだ。
[01:33:07.159] うん。裏でそんなことやってたんだ。
[01:33:09.159] 君たちはフォズ大神官と共にダーマ神殿へとり込み魔物の親玉を倒してくれ。
[01:33:14.800] なんかお前なんか
[01:33:16.480] 体悪を任せてすまない。その代わりメリスは私たちが何としても守り抜くからな。
[01:33:22.760] これカシムってなんなん?なんかなんか行けすかねえんだよな。こいつなんか
[01:33:28.159] なんかすっきりしなくない?こいつなんか
[01:33:33.199] いいやつなんか
[01:33:37.840] ダーマの皆のこと私も共に戦わっていただ
[01:33:41.520] 声っちゃいな。腹からもっと声だぜ。
[01:33:45.400] さあ、大神官の名を語る魔物を生売しに行きましょう。
[01:33:50.520] 声ちっちゃかったで、今。
[01:33:51.960] 神殿までは俺が案内してやるぜ。さあ、ついてきな。
[01:33:57.960] 声ちっちゃかったで、今びっくりした。
[01:34:00.270] [笑い]
[01:34:04.360] ビリアリッシュかと思ったわ。戦うの?あ、違うんだ。あ、戦うんかい。は。
[01:34:22.800] 違う違う違う違う違う違う。こうおらららら。これ天井
[01:34:30.119] 天下無双強すぎ。
[01:34:34.440] スライムライトちょっと強いな。
[01:34:38.840] り風よ。
[01:34:58.360] これ戦ってった方がいいんかな?今更寒い鎧いなんて正味ねえ。
[01:35:04.880] そりゃ
[01:35:06.800] え、バニそれや。た、
[01:35:15.360] こいつこれしかやんなくなっちゃった。
[01:35:17.719] 味を閉めたら
[01:35:20.800] 喧嘩無双しかやんなくなっちゃった。
[01:35:25.040] 1回受けたと思ったら
[01:35:26.679] の何かけて
[01:35:27.719] もうそれしか言わなくなるやつな。いる。あ、もうここマ神殿なんだ。
[01:35:45.639] はい。
[01:35:51.760] あ、あ、ここで転職。え、ここでも転職できんの?そんな、そんな転職ばっか進められても困るね。いや、まだいい。え、どうしよう。転職、え、転職ってもうするの?でももうマスターしたら転職した方が絶対得だよな。あれ開かない。
[01:35:59.481] [鼻息]
[01:36:12.199] ホずたんかい。
[01:36:13.880] ホずたんもえ。
[01:36:18.320] え、これ何?もう定食した方がいいか?こい。
[01:36:21.751] [笑い]
[01:36:23.080] はい。
[01:36:24.440] しこいね。
[01:36:25.199] まさかここでマスターしてると思いませんよ。
[01:36:27.646] [笑い]
[01:36:29.760] え、ここでマスターしちゃってる俺はここでマスターしちゃってる俺は転職してもうオッケーか。
[01:36:45.760] ここの水奨レベル調べたけど言って
[01:36:48.280] 教えて教えて。水奨レベル
[01:36:52.159] 水レベル教えて。15。[笑い]
[01:36:54.600] え、15?
[01:36:56.239] 笑笑。うお。
[01:36:58.440] 15。
[01:37:00.600] え、15
[01:37:01.159] ってあのさスケのあれさスケの仲間の
[01:37:04.560] 15。え、
[01:37:05.840] 次その扉を開けたのが女だったら殺すっていうあの中。
[01:37:11.159] MDさん、こんばんは。26
[01:37:13.360] なんだけど俺。あげて。26。
[01:37:16.199] 26なんだけど。別に元ネタじゃて。
[01:37:20.047] [笑い]
[01:37:20.400] 院の元ネタジのパワーをな。え、何も別にレベル上げしたとかじゃないんだけど何も意識せずやって
[01:37:28.679] 26
[01:37:29.239] なんだけどやりすぎ工事かもしれないこれ。え、どうしよう。
[01:37:35.320] これさ、剣士やって踊り子行きたいんだけどどう?
[01:37:37.800] レベル上げしてたやろ?
