[00:00:01.280] つけましたよ、もう。
[01:30:23.199] え、そういうことなるんじゃない?じゃあ本当興味なかったら、あ、じゃあやめとこうかになるじゃん。そも
[01:30:28.719] そういうことになってもまあいいかで来るやろ。
[01:30:33.760] いや、どういうなんだろう。俺がそういう風になんだろう。例えばやっちゃうとかあるじゃないですか。
[01:30:43.239] やっちゃう。
[01:30:43.800] どういう?何が?
[01:30:47.800] 大丈夫大丈夫。
[01:30:53.320] なんなごめん。あのやいや日本語って難しくてやっちゃうっていう言葉でいろんなこういろんな意味があってそれどういう意味で言ったの?今
[01:31:02.400] やら違
[01:31:03.600] あそういうことになるかもってこと。
[01:31:05.679] そうそうそうそうそう。
[01:31:06.960] まななるよね。
[01:31:09.119] という要素が俺にはなかったらしいので実際自分にもなかった。
[01:31:15.560] 嘘つけお前たんだっつの本当に
[01:31:20.679] 嘘つけお前こいつかと飛ぶってあれ年上なんだお姉さんなんだっけ自分より
[01:31:27.280] あそうそうそうそう
[01:31:28.679] 自分年上なんだ可愛いとかなんかな
[01:31:32.040] いけど可愛いなんか言われたことないけどね
[01:31:34.080] ねな恥ずかしいやってそうやっていうのは
[01:31:39.400] だ可愛いって言わ予選あのあれになっちゃうけど可愛いって言
[01:31:44.560] てくれたのはもうちょっと年上の自分に思いを寄せたくた人なんだけど。
[01:31:54.119] そう。
[01:31:54.360] え、だ、そのそっちとは何もなかったんだって。
[01:31:57.239] うん。な、ま、いや、あの、そういう行為はしてない。何も
[01:32:03.400] そこまで言ってねえだろ、別に。
[01:32:05.199] だ、だ、その、そっちとからはなんかなかったのだってあっちはだって好きなわけでしょ。
[01:32:10.560] そうだ。友達の方は
[01:32:13.000] どっちの友達?
[01:32:14.360] え、だからその嫁さんの
[01:32:17.239] そのちゃんに思いを寄せてた方はだから好きなわけじゃん。あっちからはアプローチしてこなかったの?そのだっていい思いせんやんだってそこがくっついたら
[01:32:27.280] だっぽいことはあったんだよ。
[01:32:30.320] うん。
[01:32:31.239] え、好きですとは言われてないけど。
[01:32:32.840] うん。
[01:32:34.400] けどあのお姉はごめんな。
[01:32:37.440] あの、
[01:32:38.159] ごめんな。
[01:32:41.400] なんで急になんかごめんなってなんで
[01:32:44.360] 絶妙に変わるってた。
[01:32:46.239] あ、ごめん。あ、え、だからいや、やっぱそうでしょ。だからあっちは。だからだってさ、
[01:32:50.600] そう、
[01:32:52.040] け、なんかあれでしょだってエアってさ、あんまそこ
[01:32:57.800] 2人が付き合ったってなったらさ、
[01:33:01.520] なんかちょっとや、あれなんじゃない?なんかモヤモヤすんちゃう?
[01:33:04.400] はい。
[01:33:05.400] いや、けど大丈夫だったね。だって結婚式たしね。
[01:33:10.639] ああ。いや、ま、うん。まあ、そうか。
[01:33:12.880] うん。
[01:33:14.639] そう、そう、そう、そう。
[01:33:16.880] で、付き合ったと。
[01:33:17.760] うん。
[01:33:19.440] そうですね。はい。
[01:33:20.560] へえ。どんくらい付き合ってから結婚したん?
[01:33:25.000] 1
[01:33:25.239] 年ぐらいじゃないかな?
[01:33:26.800] 早。
[01:33:28.719] 1
[01:33:28.880] 年2年。まあ、奥3って2年。
[01:33:32.440] ああ、でもそんなもんなんかわかんないけど。俺は結婚してないからわかんないけど。
[01:33:36.760] 友達の期間が多分
[01:33:39.520] 1年ぐらいあって
[01:33:42.000] ああ、
[01:33:42.920] でみたいな。ま、あの出来なんで
[01:33:47.199] 聞いてねえよ。聞いてねえよ、別に。そういうこと。やっちゃったわけだ。それはやっちゃったわけだ。
[01:33:57.000] そうだね。そこだってそうそうそう。
[01:33:59.840] それはもう違いましたから。
[01:34:02.000] そうじゃ今しかも今ねコンって言わないからさかりコンって言うんですよ。
[01:34:05.320] さカりコンっていうのかな?今
[01:34:06.520] さりコンですよ。
[01:34:07.920] さかりコン。
[01:34:08.920] そうなんどそう来っていうね、ちょっと悪い風に取られる
[01:34:12.880] ね。なんかさ悪いことみたいな言い方だったもんね。できちゃった。できちゃったってなんだよな。
[01:34:18.199] うん。
[01:34:18.480] 作ったんじゃってな。
[01:34:20.320] うん。そうだよ。作ったんだよ。
[01:34:26.400] そうなんだ。
[01:34:28.440] そうなのよ。
[01:34:29.840] へえ。
[01:34:33.400] ま、これ間短い。
[01:34:35.440] 何?何?
[01:34:36.719] 期間は短いね。
[01:34:37.840] 短いね。短いね。え、何歳来ました?
[01:34:42.000] 28。
[01:34:44.000] うわあ、早な。
[01:34:47.480] 今後ま、上
[01:34:50.239] ど南がえっと
[01:34:55.400] 5か。
[01:34:56.199] 上。
[01:34:56.679] うん。だからどんぐらいか。
[01:35:00.800] うん。なるほどね。なるほどね。うん。ごめん。飛んじゃったな。あの、
[01:35:04.679] そうなんだ。
[01:35:05.880] へえ。
[01:35:06.560] 何を飛んだの?今
[01:35:07.800] あのね。はあ。ま、あのでも僕結構その今これでもこれ嫁さん見てないよな?さすがに。
[01:35:17.639] 知らない。
[01:35:18.080] だよね。だよね。え?知らないっての?どういうこと?見てるかもしれない。
[01:35:22.480] いや、多分寝てると思う。
[01:35:23.440] まあ、いや、ま、ま、い、あの、これ、あの、
[01:35:26.239] いや、多分ここの先を知らないと思う。もとラジオやるよって知ってるけど。
[01:35:32.480] うん。うん。いや、あの、ハとお猫と
[01:35:35.800] 4
[01:35:35.920] 人で飲んだ時にじんちゃんの下ネタ聞きたくねえなと思ったんだけど
[01:35:39.520] 1個めっちゃ面白かった話がって。
[01:35:42.600] なんか言ったっけ?
[01:35:43.320] 言ったよ。じんちゃん、あの、
[01:35:48.119] 嫁さん、ま、それはさ、若いじゃん。若かったじゃん。
[01:35:51.920] ああ、
[01:35:52.280] で、やっぱ授かり婚するということはやっぱそういうことするわけじゃないですか?
[01:35:55.719] ああ、まあ、そうしますよね。でもあなた当時ね、喉
[01:35:59.760] ね、喉穴開いってるやん。今もだって。今もだってさ、後あるやん。見したってや。みんなに見したって
[01:36:10.639] やってんな。見えんのか、これ。
[01:36:12.920] 見えるでしょ。ほら、この、これ、ここにね、喉に、な、通してたんだもんな。
[01:36:19.280] もう今ふがってるけど。
[01:36:21.280] うん。
[01:36:22.159] でね、あの、蓋してたんでしょ?蓋、
[01:36:25.000] どこに蓋してたの?蓋しないと声が出ないから。
[01:36:29.400] そう。あの、期間が開いちゃってね。
[01:36:31.960] そう、そう、そう、そう、そう。
[01:36:34.520] 蓋してて、それ笑うと吹っ飛んじゃうんでしょ。
[01:36:37.560] そう。その時はね、あ、バーンって飛んでく
[01:36:44.800] で、蓋飛んでっちゃってこうやって押さえなきゃいけない。
[01:36:49.000] そこね。うん。
[01:36:49.600] うん。
[01:36:49.719] 抑えなきゃいけないでしょ。でもあんたね、この嫁さんとこうそういうことする時におそれもちょっとはずやだったんだけど結構そういうのが好きなんでしょ?そういう言葉による言葉によるみたいのが割と好きみたいで俺もこれ初めて聞いたんだけどちょっとちょっと恥ずかしいなと思ったんだけど
[01:37:08.320] でもさね穴開いてたらさできないやん
[01:37:11.960] うん
[01:37:12.199] どうやってやったんだっけどうやってやったんだっけどうやって
[01:37:14.600] うさぎながら
[01:37:15.480] うんったの
[01:37:16.520] こうやって
[01:37:18.119] やりながらま
[01:37:19.760] なななんて言ったの?そういえば
[01:37:24.560] それそれはやめよう。
[01:37:29.080] ここはやめよう。
[01:37:30.480] 抑えながら言ったんだ、
[01:37:32.119] それ。うん。抑えながら。
[01:37:34.600] ちょうどBGM終わるしね。
[01:37:40.040] なるほどね。
[01:37:41.520] そう。
[01:37:42.520] これすごいですよね。じ人体の不思議ですわな。
[01:37:48.360] 大変なんだよね。あの、そん時当やっぱこう苦しかったから。
[01:37:52.119] うん。
[01:37:53.639] 外さないと苦しいのよ、やっぱり。
[01:37:56.040] あ、外さないと苦しいの。
[01:37:58.199] いや、そのために穴開いてんだから。
[01:38:00.119] え、でも喋る時は蓋してんでしょ。
[01:38:02.920] そう、そう、そう。けどそれは慣れてきてからの話だから。
[01:38:05.960] ああ。あ、当時はまだもなかったんだ。その嫁さんさんとそのそういうプレイをした時は。
[01:38:12.159] あ、いや、蓋はあった。
[01:38:13.639] 伝わったんだけどやっぱ激しい運動になるわけじゃないですか?一種の
[01:38:17.639] そう、その方が
[01:38:19.920] そうだな。
[01:38:20.320] だから
[01:38:21.800] あのああああはするじゃん。
[01:38:24.679] あ、あのここからじゃないともう間に合わないんだ。の気が間に合わない。
[01:38:35.599] そうだよね。だってここに穴入っつったら口から吸ってもな、
[01:38:38.960] 間に合わないもんね。
[01:38:40.480] こっから吸わないと。
[01:38:41.880] 集ってきたわ、なんか。
[01:38:44.080] 集なってきたわ。なんか
[01:38:48.400] そうな。てんだよ。
[01:38:50.280] そうだよ。そういうこ。
[01:38:52.520] じちゃん言葉攻めが好きってちょっとやめてよね。なんかそんなの
[01:38:56.239] 10
[01:38:56.440] 何年付き合ってきてこないだ初めて知って大爆笑したわ。
[01:39:02.840] ここがいいのかいってやったわけだ。
[01:39:08.599] そんなまそんなそんな感じ。
[01:39:10.480] そんなそんな感じのな。うん。
[01:39:12.080] そんな感じの。なるほどね。なるほどね。そうそうそうそうそうそう。
[01:39:15.520] いや、えな
[01:39:16.960] です。いいすかね?これ回答者の質問してくれた方、これでいいですか?
[01:39:22.639] これで満足してくれましたかね?はい。次、次行きますか?
[01:39:26.000] はい。
[01:39:26.560] ちょっと待って。もう1、もう、もう1
[01:39:28.400] 時半なんですけど、最初
[01:39:30.080] 2時までとかって言ってたのに、まだ質問
[01:39:32.080] 56、6個しかやってないからね。
[01:39:33.679] どうすんねん、これ。はい、次行きますよ。
[01:39:36.920] 次行きます。
[01:39:37.760] はい。
[01:39:39.400] え、このラジオって当時何がきっかけで始まったの?これも結構いただきましたね。これも結構いいてて。
[01:39:45.520] うん。うん。
[01:39:46.000] ま、まずはそっか、まずはこのこのラジオ何がきっかけだから何がきっかけま当時だからちょっと話したけどじんちゃんは配信やってなくてさ。
[01:39:56.639] プレゼンはしたのは覚えなんかそんなことしたよ。そう
[01:40:00.280] 違う。当時違うんだよ。
[01:40:02.520] 当時ね、
[01:40:03.800] あのなんかね、俺もあの配信配信じゃなかったんだよ。だから俺そう今思い出した。あの
[01:40:12.719] 何でしょう?
[01:40:14.239] グータラジオが俺の初めての生配信かも。と俺その当時実況動画出してた。で、
[01:40:25.239] え、グータラジオで出してたの
[01:40:27.760] ちゃうちゃ。
[01:40:28.440] そのなんつうの、その時、あの、なんつうのかな。その当時まだゲームの生配信やってなくて
[01:40:35.599] うん。うん。
[01:40:36.159] 動画出してたんだ。
[01:40:37.280] そう、そう、そうだね。そうだね。
[01:40:38.639] 動画出そう。シビ。そう。シビっていうかなんかあの、クソ、クソ、クソてえやつな。
[01:40:43.199] 未だに残ってるけど。未だに残ってるけどね。
[01:40:46.599] マリオランド。ワリオだっけ?ランド。
[01:40:48.880] ワリオランドね。
[01:40:50.040] くそ。うん。絶対見んだよ。マジで絶対見ない。もう消すからな。で、あの、
[01:40:54.040] 当時であとハンバーガーとかなってたね。
[01:40:56.199] で、当時頃でで、俺仕事やめてから始めたから暇だったんだよね。
[01:41:02.599] 3ヶ月ぐらいしてたから。
[01:41:04.480] うん。
[01:41:05.000] なんかそしたらじんちゃんがもう毎晩電話してくんのよ。
[01:41:09.360] うざいね。
[01:41:10.159] うざいんだよ。
[01:41:11.800] うん。
[01:41:12.360] ま、今もそうだけどな。お前
[01:41:15.000] 倍じゃないけど。
[01:41:16.080] たまいや、本当頻度減ったけど。
[01:41:18.520] うん。
[01:41:18.880] じゃ、俺知ってんねんで。俺に、俺に相手にされない時マーブルとかにかけてんだろ。
[01:41:25.159] 報告るねん。マーブルから
[01:41:26.920] LINEでなんてくんの?
[01:41:28.840] 昨日じんちゃんと話して3
[01:41:30.400] 時とかまで話されたわみたいな。やめな。だ、今こいつ友達増えやがったから俺を通して。俺を通して友達増えやがったから
[01:41:41.159] いろんな人こうかけて俺にかかってくる頻度少なくなったけど
[01:41:45.560] そのイメージやめて本当にやろな。
[01:41:48.000] 当時はもう俺しか友達いないから、もう
[01:41:50.639] まあまあそ、
[01:41:51.400] 平日の11時過ぎにかけてきて3
[01:41:53.639] 時とかくめっちゃ話しててなんやねんこいつみたいな。
[01:41:58.960] いや、まあ
[01:41:59.400] でなんかその
[01:42:01.360] うん。
[01:42:01.960] 俺が俺も言ったんだな。多分なんかこれなんか俺配信やってるんだよねて。配信ってかその
[01:42:07.520] YouTubeやってんだよねとかつって
[01:42:09.800] 雑談雑談とかもやりたい。
[01:42:11.639] 配信もやりたいなと思ってとかって言ってて多分そんなそれを聞いたじんちゃんがなんかその何日後かにプレゼンしてきたんだよ多分。
[01:42:19.320] ああ、なるほどね。
[01:42:20.599] そんなんだったと思うわ。
[01:42:23.920] はいはい。それがきっかけってことかな。別になんか大したあれはないよね。なんかそんななんか大した心志しはないわ。
[01:42:31.760] だらだらけで始めて
[01:42:33.800] そうだね。やりましょうっていう感じでただ始めたみたいな。
[01:42:37.360] なんとなくやってんだけど当時だってそれはいないよね。
[01:42:41.239] なってそのリスナーなんて普段配信やってない。
[01:42:44.520] 動画しかやってないから。
[01:42:45.880] で、ま、あの、何ヶ月か月に
[01:42:47.520] 1
[01:42:47.639] 回やってたけど何ヶ月かやってる間に俺も配信をやり始めてって
[01:42:51.320] うん。
[01:42:51.920] ちょっとずつエラコマ君とかね、当時のうん、
[01:42:54.639] え、誰だ?鳥順とかな?
[01:42:57.360] ああ、鳥順たね。
[01:42:59.119] 名前出、あんま名前出すの?あれなんかわかんないけど、
[01:43:01.760] 1年に1回ぐらい来るわ。Twitch
[01:43:03.639] の配信にも。
[01:43:05.280] おお。1
[01:43:06.000] 年に1回ぐらい。
[01:43:08.040] 懐かしいな。
[01:43:10.199] うん。
[01:43:10.880] ならそういうのがあったわな。それがきっかけで。
[01:43:14.080] うん。懐かしい。懐かしいよね。懐かしいよな。ごめんな。ここだけ同窓会みたくなっちゃってるけど。懐かしいよな、あの頃な。
[01:43:22.880] 懐かしい。
[01:43:23.880] でもさ、エモ、もう何回もコスってエモいけど、その頃に言ってたさ、
[01:43:28.599] エ空ごとびたく言ってたそのレベルアップとかライブイベントやりたいのやつ本当にやったのエモくない?すごいね。それは本当に
[01:43:36.000] エモいよな。
[01:43:37.400] うん。
[01:43:39.000] そこもみんなにちゃんと知ってほしいわ。なんかその
[01:43:42.000] うん。いや、それは邪魔がすごいんだと思う。はい。次の質問行こっか。
[01:43:52.159] なんで今止まったの?
[01:43:55.080] え?
[01:43:58.000] あ、りっちゃんこんばんは。りっちゃんこんばんは。え、ロムありがとうございます。今日はラジオやってますわ。
[01:44:02.639] えー、なんで今回5年ぶりにグータラジオ
[01:44:06.239] しようと思ったんですか?きっかけがあれ
[01:44:07.760] ば教えてください。
[01:44:10.400] なんでだ?
[01:44:13.400] いや、だからあれやんね。グじゃない。え
[01:44:17.280] 、レベルアップ終わった頃、終わって
[01:44:18.960] ちょっとした頃からなんかした。ま、だ
[01:44:22.239] 今年入ったぐらい去年からさ、なんかさ、
[01:44:25.639] そう
[01:44:26.679] やっぱでもイベントやりたいよね。ずっと
[01:44:30.679] してね。なんとなくエ空ごとで
[01:44:32.560] うん。そうそうそうそうしてたね。
[01:44:34.599] 最近誰もやってないし。
[01:44:36.800] うん。
[01:44:37.360] なんかこうみんなも多分やったら楽しいじゃん。
[01:44:40.719] うん。
[01:44:40.920] でもな、俺がさ、冒頭でも言ったけど俺がひってさ、いや、
[01:44:45.880] いや、でもなん、俺、俺らがやってもええとかって言ってから
[01:44:50.360] うん。
[01:44:50.960] なんかだから俺もでもそれを聞きながらちょっと変えなきゃなって思って
[01:44:55.280] はいはいはい。ほんな別にラジオなんて大したさ大変なイベントでも何でもないけど
[01:44:59.199] ま、そうだね。
[01:44:59.920] ちょっと変わったことをした方がいいんじゃないかなって思ってちょっとや
[01:45:06.920] ってみたです。
[01:45:10.080] やってみたです。
[01:45:11.239] やってみた感じですね。じちゃん的にはなんかある
[01:45:17.440] えやろなんだっけな
[01:45:19.119] んや。え、そっか。見えてないのかこれ質問。
[01:45:23.040] そう。きっかけでしょ。
[01:45:24.400] そう。
[01:45:25.560] きっかけでしょ。ぎっかけか。
[01:45:27.960] まあでもなんかちょくちょく上がってはいたんだよね。あのグーダラジオってた
[01:45:32.280] やるみたいな。
[01:45:33.280] そう上がってはいたのでな
[01:45:35.360] んでか知らないけどうちのリスナーの一部熱狂的なファンがやっぱいるんですよ。何人かグータートラジオの
[01:45:42.960] 全部アーカイブ追いましたみたいな。本当やめてほしいんだけどアーカイブ全部追いましたからみたいな。
[01:45:53.360] そうね。
[01:45:54.199] そうやな。そういうやつが。
[01:45:55.719] そういうやつからやっぱ言われんのたまにね。これは何かあるたびにこれはグータラジオ復活の気差しがみたいな。やらないよって言いながら
[01:46:04.639] までやっぱなんとなくあったもんね。や
[01:46:07.320] まあそうだね。
[01:46:08.199] やってもいいんちゃう。だからやっても別そんな気をわずね。別に
[01:46:12.760] そうなのそうなの。
[01:46:13.599] 別にそんななんか
[01:46:15.000] 逆に考えすぎてさこうなんかしっかりなんかやんなきゃやんなきゃってなると
[01:46:21.280] うん。
[01:46:22.520] できないんだよね。
[01:46:23.440] そうそう。
[01:46:24.920] ま、そういうのも大切な時もあるけど
[01:46:27.199] あるけどね。
[01:46:28.280] ね、これはちょっとね、違うなっていう感じだね。やっちゃう。
[01:46:32.360] うん。
[01:46:32.639] 俺が滑ってんのかなか知らんけど。
[01:46:35.239] うん。
[01:46:35.679] ね。
[01:46:36.239] いいの、いいの、いいの。
[01:46:36.920] いいよね。これで
[01:46:38.400] 名前の通りだ。だ、
[01:46:39.480] ブー太ラジオやね。
[01:46:40.960] うん。
[01:46:41.639] そろそろタバコ吸行く。
[01:46:45.679] ま、まだちょっとまだ頑張りましょう。
[01:46:47.440] 分かりましょう。はい。
[01:46:48.960] もう前、前当時やってた頃なんか普通にタバコ
[01:46:52.400] 15
[01:46:52.639] 分ぐらい利してたもんね。普通にいな。
[01:46:55.840] タバコ吸行きますとかつって2
[01:46:57.239] 人していなくなっ番組なのに。
[01:46:59.760] そうです。カメラカメラなんかないからね。
[01:47:01.840] ない。カメラないからね。しかも
[01:47:03.599] カメラつけてないから。
[01:47:04.480] ただロゴが映ってるだけみたいな。
[01:47:06.400] そうそうそうそうそうそう。
[01:47:08.119] いや、これでいいんだよ。でもね、
[01:47:09.920] どうなんすかね?聞いてる皆さんどうですか?こんな感じだけど。
[01:47:13.320] 聞いてますか?聞いてくれてます。
[01:47:16.679] 聞いてんじゃない?別に画面見る必要ないもんな。変な話。
[01:47:19.440] そう、そう。変な、変な話。変な話な。
[01:47:23.480] うん。
[01:47:23.760] 画面見る人ないからね。どうそう。
[01:47:25.960] めっちゃいい。めっちゃいいだって。だから
[01:47:29.080] これをね、いよ、言われんねん。もうやるよって言って期的にやってくれるんですか?みたいな。
[01:47:36.639] なるほどね。
[01:47:38.320] 定期ってなるとさ、
[01:47:42.239] 分かる。
[01:47:43.639] そうなんよ。
[01:47:45.159] だからでもやる。いや、このこのこのフォーマットを完成させたし
[01:47:50.480] うん。
[01:47:51.560] もう別にあ、まあこんな感じでいいんだ。
[01:47:54.440] うん。
[01:47:54.840] 分かったし
[01:47:55.960] 不定期
[01:47:57.599] にでも全然やれるよなって思った。
[01:48:00.760] 不定期ね。うん。
[01:48:01.880] うん。全然やれるよなと思った。
[01:48:04.239] これ定期になるとその
[01:48:05.960] そう。そのうちやんなきゃになっちゃうんだよな。
[01:48:09.719] そうなんだよ。
[01:48:11.480] そうなの?そうなの?
[01:48:12.840] 前のルートラジオがそうだもんね。
[01:48:14.920] そう、そう、そう、そう。
[01:48:15.520] もうせえみたいななって。
[01:48:17.760] そう
[01:48:18.239] ね。で、違う。これ配信者のラジオ放送全部見えるわ。そうなんのよ。
[01:48:23.719] うん。
[01:48:24.040] まちゃラジオもそうやろ。名前出すけど。
[01:48:28.920] まぶちゃラジオもそうやねん。やんなきゃになってもってんあいつら。
[01:48:33.119] ああ、なるほどな。
[01:48:34.760] そうやね。そうやろよ。やっぱそうなる。
[01:48:37.800] これぐらいがちょうどいい人たちもいるよねって話だよね。
[01:48:41.960] うん。うん。
[01:48:43.000] だ、ま、だ、ま、別になんか
[01:48:44.920] うん。うん。
[01:48:45.840] 全然や定期とは言わんけど
[01:48:48.679] うん。
[01:48:49.880] 舟説出たんだ。あれはあれで全然不なわけないやん。奴らめっちゃ仲いいから。
[01:48:54.000] うん。
[01:48:54.920] 船中ではない。それはない。それは僕があの責任を持って否定しとくわ。
[01:48:59.040] そうだね。
[01:48:59.880] だって今日あれやろだって今日昼間ね。
[01:49:02.880] あ、そうそうそう。チャラさんがね、あの遊び行ったら
[01:49:06.599] うん。あの、普通にピン止めしてくれた。
[01:49:09.320] これ俺らのこのラジオ配信の広告知してくれでしょ。
[01:49:13.040] そうそうそう。くよ。
[01:49:15.800] やめてよ。恥ずかしいから。だ、おかしいなと思ったんだよ。俺さ、あの
[01:49:20.760] OBS
[01:49:21.199] つけて配信してないのにさ、もうレイドだ。
[01:49:25.040] え、何?
[01:49:25.719] レイドです。
[01:49:27.560] レイド。
[01:49:28.040] こんな配信初見デビが面白いですか?たびこんばんは。たビこんばんは。レートありがとうございます。
[01:49:34.480] 今日はね、今日はね、グータラジオっていう
[01:49:40.159] 初見。
[01:49:40.800] あ、そうですね。でもそのマインド忘れちゃいけない。初見に初見大歓迎。
[01:49:45.000] 初見。
[01:49:45.840] あのじんちゃんね、ここのじんちゃんと、ま、俺ら、俺のこと知ってくれてる人は、ま、大体知ってると思うんだけど。皆さんこんばんは。ありがとうね。こりんちゃんもこんばんは。
[01:49:53.840] え、米国さんもこんばんは。ゆ、
[01:49:56.280] 俺らがYouTube
[01:49:58.199] 時代にやってたラジオ番組ですよ。
[01:50:04.560] グータラジオ。これ5
[01:50:05.480] 年ぶりにやってますんで。
[01:50:07.080] 5
[01:50:07.280] 年ぶりにやってますんで。もうよかったら、あの、もう、もう睡眠
[01:50:10.119] BGM
[01:50:10.440] になるかわからんけど、あの、あれしてくださいな。
[01:50:12.760] うん。画面見なく大丈夫なんだ。
[01:50:15.280] そう、そう。で、あれな、で、今、あの、なんな、何の話っけ?ま、だからチャラ丸ね、チャラさんが
[01:50:22.760] 昼間配信で俺らのこのラジオの
[01:50:25.920] 自分の配信でさ、あの、宣伝してくれたわけじゃん。
[01:50:29.960] そう。
[01:50:30.560] はず。
[01:50:32.639] だってみんな知らんやん。みんな誰なん?まあまあそうなんだけど。
[01:50:37.360] ありがたい。嬉しいけどね。
[01:50:38.920] 嬉いや普通に嬉しいよ。だ、俺チャラさんとか遊び行ってチャラさんおはようみたいな。
[01:50:43.239] うん。うん。
[01:50:44.280] で、なんかレトロゲームやってたからね。
[01:50:46.159] うん。うん。うん。
[01:50:47.040] で、普通に見に行って
[01:50:49.560] 挨拶して
[01:50:50.360] うん。
[01:50:50.920] たらチャラさんの方から
[01:50:53.079] うん。
[01:50:54.040] あの、なんかグダラジオやるんやてみたいな。
[01:50:57.440] いや、それチャラさん見てくれてんだ。
[01:51:00.079] そうそうそうそう。
[01:51:00.880] ラジオやるんだってみたいなこと言われて
[01:51:04.000] URL貼っててみたいな。
[01:51:06.000] いやあ、すごいわ。まめよな、あいつらな。
[01:51:10.440] いや、
[01:51:10.760] マーブルもそうだけど、
[01:51:12.920] マーブルさっき来てくれたけど、マーブルもさ、チャラまるも。だから
[01:51:16.560] 奴らはさ、
[01:51:18.679] あの、
[01:51:20.599] あの、すっごい豆
[01:51:22.920] うん。
[01:51:23.920] ゆにパートナー。
[01:51:25.760] うん。
[01:51:27.679] リスナーを大切にする心をすごい。
[01:51:31.400] そうそうそうそう。
[01:51:32.320] ごめんね。俺、俺んちのリスナー本当にもうごめんなさい。
[01:51:37.840] 大切にしなきゃだめやな。おかしいと思ったんだよ。今日
[01:51:42.280] YouTube
[01:51:42.679] あれ今日さ、あの配信してないのにさ、
[01:51:44.800] OBS
[01:51:45.239] つけたらさ、アクティビティフードのとこにさ、
[01:51:47.719] 4
[01:51:47.880] 人ぐらいフォロワー増えてて、え、なんでて思って、なんでこれフォロワー増えてんのと思ったら、だからチャラさんのところリスナーが飛んでフォローしてくれ。優しい。
[01:51:58.239] いや、あの優しい配信者のリスナーはリスナーまで優しいねん。
[01:52:02.639] た、俺の配信者や、俺のリスナーやらんでんなこと。あ、ごめん。わかんないけど
[01:52:08.239] リスナーまで優しい。
[01:52:10.280] すごいね。やるかごめん。やるか。やるか。ごめんな。勝手に勝手にみんなのこと優しくないって言っちゃった。ごめん。
[01:52:17.960] いや、マインドが良くない。
[01:52:19.079] 良くないね。良くない。うん。これがチまゲーム悪いこすね。うん。
[01:52:22.280] そう、そう、そうだね。そうだね。
[01:52:23.520] いや、優しいよな。
[01:52:25.239] みんなありがとうねって言っとけば
[01:52:27.560] うん。そう
[01:52:29.520] なあ。なんかごめんなって。ごめん、ごめん、ごめん、ごめん。俺が悪かった。ごめん、ごめんな。奴らは優しいよ、本当に。
[01:52:39.079] そうな。だからあの後で連絡しといた。
[01:52:43.599] うん。
[01:52:44.960] さんにありがとね。あ
[01:52:45.920] あ、そうだね。
[01:52:46.639] ありがとうございますって。
[01:52:47.560] そうだね。
[01:52:48.679] うん。
[01:52:50.760] そんな感じですわな。
[01:52:51.560] ま、きっかけはだから、だからまあそんなそんな感じ
[01:52:54.920] そうだね。うん。
[01:52:56.280] じゃあちょっと次の質問行きます。
[01:52:58.679] はい。何でしょう?な
[01:53:01.079] んで2
[01:53:01.480] 人とも、え、顔出し配信しようと思ったの
[01:53:05.840] ですって。ちゅんちゃんなんか最初顔出ししてなかったもんな。
[01:53:11.679] 俺してなかったっけ?
[01:53:12.560] してないよ。してない。でも俺も理由わかんねえ。俺は俺自身は分かるよ。
[01:53:17.440] 俺は俺はなんかね、動画やってて動画動画またさ言うとさ、絶対あの俺の
[01:53:25.880] YouTube
[01:53:26.440] アカウント遡ってさ、動画見るやついるから嫌なんだけど。
[01:53:31.520] うん。遡れ。
[01:53:33.239] あの、当時なんかそのみんな分かるかな?バーガーバーガーっていうゲームがあるんすよ。
[01:53:41.040] はい。はい。ありました。
[01:53:41.840] プレステ1に
[01:53:43.239] うん。
[01:53:43.840] ハンバーガーをハンバーガー屋さんを経営するってゲームがあんだよ。
[01:53:48.639] うん。うん。うん。
[01:53:49.480] バーガーバーガーで配信なんと動画なんだけど配信じゃなくて
[01:53:54.040] うん。
[01:53:54.400] 動画あの実況動画なんだけどバーガーバーガーでやって
[01:53:57.360] 1
[01:53:57.560] 番売れたバーガーを再現する動画みたいな
[01:54:01.000] 満直な誰でも考えつくよな。
[01:54:03.480] やった時に
[01:54:05.440] あ、これ顔隠してたらできなくねと思って。ま、できるんだけどね。映たね。
[01:54:12.159] やっぱ自分太ってる。元からやっぱ太ってることをやっぱちょっとなんかそのネタにしてで動画でも言ってたし
[01:54:19.520] う
[01:54:20.119] 食べるとこ見せたいと思って
[01:54:22.239] はいはいはい
[01:54:22.679] 顔出しそれでしたね俺。
[01:54:25.280] あ、それがきっかけなんだ。
[01:54:26.560] きっかけまだ深いこと考えてない。うん。だ、ま、ちょっと悩んだけどね。顔出ししていいのかな。悩んだけど
[01:54:33.840] なんかあ々
[01:54:36.079] 後々顔出しとかないと
[01:54:39.360] 1個もう1個思ったのが
[01:54:41.040] うん。
[01:54:41.719] 顔出しないじゃん。まだこれもう生意きなんだけど、当時全然リスナーもいないし。しかその、しかもバーガーバーガー再現の動画
[01:54:49.920] くそ金かけてやったの。あのコストコでめちゃめちゃいい肉買ってきてくそもう何万円かけてですか。てかまずそのバーガバーガーが
[01:54:57.400] 2
[01:54:57.639] 万円ぐらいすんのよ。プレミアついてて。
[01:54:59.239] あ、
