[00:00:29.560] ああ
[00:53:46.720] いらねっしょ。だってあいつ別に逃げるわけじゃないでしょ。
[00:53:49.000] そっか。
[00:53:50.079] よっしゃ、行きますよ。俺も待っとけや。
[00:53:52.240] 笑笑頼むきます。
[00:53:53.400] 行きます。行きます。
[00:53:56.400] マガンじゃ。
[00:53:58.400] あれ?どこ?どれ?あ、これか。ナイス。
[00:54:03.520] ちょっと、ちょっと、ちょっと、ちょっと、ちょっと痛い、痛い。あ、死ぬ。弾かれてるわ、俺。
[00:54:10.599] あ、
[00:54:11.240] えー、早ない?
[00:54:14.960] え、強えって。
[00:54:17.359] ダブル
[00:54:18.400] 早えよ。6
[00:54:19.640] 番でオッケー。やば、やばい。うめえ。うまい、これ。
[00:54:26.760] 笑笑。
[00:54:27.839] やめて。うまいの。やべ、やべ、やべ、やばい。やばい。やばい。いや、いや、これさ、コンボ繋がんねえんだけど。これ振り抜きからさ、普通さ、コンボて繋がったよな、前。やべ。うわ、使えず。この頃のハンマーやな。
[00:54:50.799] 今日や欲しいの。やって欲しい。
[00:54:56.480] 俺のことなくねえか。
[00:55:01.799] まあ最近のモンハに慣れちゃってんのだ。それはあるか。俺もここで止まってるからね。モンハンやっぱりうますぎねえか俺。うまい。待て。俺も行く。
[00:55:15.319] うまいなあ。
[00:55:17.839] どこ?あべ、つい。
[00:55:23.920] 盾さん。
[00:55:25.480] 盾さん懐かしい。
[00:55:28.960] はい。うまい。いた。
[00:55:32.960] 飛びかかり当たったらやばい。
[00:55:35.280] やおダメージでけえ。やべ、俺にヘてる。
[00:55:42.960] 普通に間に合間に合じちゃん全然相手されてないやん。じんちゃんもガ中にないんですけど
[00:55:54.720] こいつなめて
[00:55:59.680] 当たんねえ。下手くそう。
[00:56:04.720] ナイス。
[00:56:07.440] おれやめんな。俺今ない。
[00:56:16.480] うまい。うまい。いいよ、いいよ。そう。繋がんないんだな。今入って繋がらない。うわ、
[00:56:28.559] ああ、行ったな。
[00:56:29.599] ね。俺く。
[00:56:31.520] え?あ、ト、トイレ、
[00:56:33.039] トイレでくね。
[00:56:37.599] あ、思ったより準備うまくねえ。
[00:56:41.240] 俺モンハンだからじんちゃんうまいのかなって思って思ってる。うまくない。
[00:56:45.520] あ、どこにいんの?敵が見わかんない。わかんない。
[00:56:52.079] 見わかんない。い、
[00:56:58.760] あれ、今これ当たってないの?たまにこうずれんだよね。あ、ブランゴもいる。いるね。
[00:57:09.920] イブラン。
[00:57:10.559] うわ、ダメージでっか。マジか。
[00:57:13.319] 出てこう。ほんま
[00:57:14.440] エテこゴミだね。これオあ、邪魔の方行くね。大丈夫。
[00:57:21.400] 白ゴンサる弓さん弾かれてんもんな。しんどわれ。
[00:57:27.960] いやあ、ダメージでかい。ダメージでかい。ダメージがでかい。
[00:57:32.039] いやだよ。
[00:57:32.520] この飛びかかり食らったら終わりだな。多分
[00:57:34.400] やば。足引く。
[00:57:38.240] これあれのさとか確か足引きずなかった?
[00:57:42.119] 引きずる
[00:57:43.520] 引きずる多分
[00:57:44.400] 引るんだっけ?引きずんのってだいぶ当たらあれね。あ、いたたた。なんかこの頃のさ、ランポス系て足引きずんなかったな気がするんだけど。
[00:57:53.960] あ、痛い。まずい。頑張れ。
[00:58:03.160] 俺が行く。
[00:58:05.920] 俺が行く。頼むよ。
[00:58:08.000] 頼むよ。
[00:58:08.599] しゃあ。
[00:58:09.240] ちょっと引きつけてよ。
[00:58:10.599] こっち。
[00:58:11.319] 全然相手にされてねえじゃねえかよ。
[00:58:13.640] おい。全然相手にされてねえじゃねえかよ。おい、ちょっとどうにかしてよ。ちょっと俺回復したいいんだから。
[00:58:20.480] 行け行け。ちょっとちょっと頼むよ。あ、あ、やっとヘト見た。ふう。かかってんじゃ。
[00:58:28.119] どすぎの巣っけ?
[00:58:30.400] 違うんだ。俺らが初期装備できてるから。
[00:58:35.319] 縛りじゃないからね。別にこれは
[00:58:36.480] レブ縛ってないから。
[00:58:40.960] く勝て。
[00:58:48.599] ナイス。
[00:58:49.760] もうガチガチにだ。こんだけ逃げるってことはさ。
[00:58:53.960] そうだね。ね。
[00:58:55.920] あ、なんだ今の?後ろ向いてったか。ここはあんま戦いたくねえな。
[00:59:03.559] て、こいつ。
[00:59:07.520] はい。うますぎ。
[00:59:10.319] てか俺マジでうまくないか。
[00:59:14.839] なんか言え。
[00:59:15.559] や、うまい。
[00:59:21.400] やったぜ。あ、ごめん。これ引、これ大丈夫か?これ。
[00:59:24.359] え、待って。
[00:59:25.119] 取れないパターン。
[00:59:26.319] いや、
[00:59:26.920] あ、え、取れ。嘘。
[00:59:31.760] え、嘘でしょ?
[00:59:33.960] あ、
[00:59:35.280] どこでやってん?今よくあるあるだよ。
[00:59:39.480] え、
[00:59:40.079] 取れない。取れない。
[00:59:40.720] 待って。取れない。マジで
[00:59:42.160] 残念。
[00:59:42.640] 取れない。
[00:59:46.000] うわ、うわ、最悪。嘘。
[00:59:51.559] え、
[00:59:52.799] それだよ。
[00:59:53.240] これだからエリチェンは
[00:59:55.319] ごめんなさい。
[00:59:56.440] 大丈夫。目の前にいるんだけど。
[00:59:59.039] いるんだけど。目の前にいるんだけど。
[01:00:01.680] いや、こんなにあるあるを全部破してくのないぞ。こんなに当時のモンハンあるあるを。
[01:00:09.559] そう。目の前におんねん。
[01:00:11.880] おんねんな。
[01:00:12.440] この便モンハンなんよ。
[01:00:17.079] あけない。
[01:00:19.799] え、マジで最悪やん。
[01:00:26.480] マジかよ。
[01:00:30.119] このクエスト意味なかった。クリアしただけ。
[01:00:33.640] いや、まあでも報酬でちょっとだけ。
[01:00:35.640] あ、そっか。
[01:00:37.839] マジ?うわ、少な。
[01:00:39.640] うん。
[01:00:40.119] あ、でも見て。これレアだよ。どすギアの方
[01:00:42.799] 頭。俺頭ねえや。
[01:00:45.160] 少ま少ま。マジうわっす。お前
[01:00:52.880] 1回死んでしな、お前。
[01:00:55.000] あ、50減ってんねん。
[01:00:58.119] 誰だ?減らしたの?目でくう。なるほどねえ。行けんな。でも行けんな。
[01:01:09.480] うん。初期装備だからね。
[01:01:11.039] 行けんな。思ったより
[01:01:13.880] いけるいける。
[01:01:14.599] 俺がうまいな。うまい。
[01:01:17.920] ハンマーだもんだって。
[01:01:18.960] いや、そいそう。おい、それは、それはタは立ちなりでうまくやってくんねえと。
[01:01:24.039] え、じゃ体験使っちゃうよ。
[01:01:25.839] どうぞ。いや、なんかえ、装備作れる?
[01:01:31.559] うーん。なんかこのハンマー弾かれてたからね。ワンランク上げるか。
[01:01:40.799] どうすっかな?けどお金貯めないとダメなんだよね。結局ね。金だよ。金だよね。ま、いいや。ちょっと見てこない。農場行こう。農場農場。
[01:02:00.279] いいね。次どこ?パンゴンゴなんか意識で揃え。あ、何?防具揃えに行く?
[01:02:11.559] 防具でも武器?
[01:02:13.160] いや、もう俺ガンガン進めんのかな?この今ガンガ進める。
[01:02:17.760] どっちもいいよ。装備作りたいんだったら
[01:02:22.240] 勝てる勝てる
[01:02:24.440] 勝てるやん勝てるで
[01:02:26.920] あんた死んだけどねとりあえず言ってもだってさギアオスとかさ
[01:02:36.039] まあね
[01:02:36.720] で意識揃えるのに何回も行くんだったら多分すぐさリオレウスが出てくるや
[01:02:42.599] そうそっちの
[01:02:43.400] そっち頑張ってもよくない
[01:02:44.520] そうそう確かに
[01:02:46.279] まそまこの装備じゃ多分あ
[01:02:49.359] まあでもちつけなきゃいけないからめ手にあのボックスに行ってくんないんだ。
[01:02:58.920] ああ。はいはいはい。昔だね。
[01:03:00.760] 昔だな。
[01:03:04.760] まあでもいいんじゃない?
[01:03:06.279] いけるね。
[01:03:06.839] うん。
[01:03:08.400] す。
[01:03:10.799] ああ、こういうの欲しいんだね。バラグ。
[01:03:16.720] あ、音も音も雇えるわ。
[01:03:18.279] え、マジか?
[01:03:18.920] うん。あ、大型狙い。爆弾武器もいいよな。
[01:03:33.319] 懐かしいな、これ。
[01:03:34.440] アーディンバラグ。
[01:03:35.440] アーディ。
[01:03:36.039] アーディバラグ。
[01:03:42.359] アーディバラグ。え、大物狙い切断
[01:03:47.440] 稀れに爆弾いいね。ロンにしよう。ロンちゃ。え、このバんとこだよね。
[01:04:03.760] うん。
[01:04:06.160] 睡眠起こす猫にすべえよ。あなたの晴れぶったわ。
[01:04:10.400] え、どった?あ、違う。あれだ。まだこれなんかランダムで音も、あの何?あのキッチンの猫の場合と
[01:04:22.640] おの
[01:04:23.119] あ、戦闘用。
[01:04:24.039] そうそうそうそうそう。
[01:04:25.359] なるほどね。
[01:04:26.359] うわ、
[01:04:27.039] そういう
[01:04:29.400] スキルとかつかあ。あ、猫筋トレとかあったね。攻撃力と上げ。
[01:04:38.119] もう攻撃こそ最大のボールだ。間違いた。
[01:04:43.480] うわうわうわ。なんだっけ?このポイント
[01:04:45.760] 。属性攻撃。あ、そっか。属性攻撃とか
[01:04:51.160] 考えるね。
[01:04:57.000] 夏。
[01:05:01.599] もうちょっと腹壊したから頼むよ。
[01:05:04.480] また壊したの?
[01:05:05.480] いや、次はクズ肉と。あ、でもこいつあれか。魚介が得意かな。じゃ、行くぜ。
[01:05:14.520] いや、肉だ。いや、このこいつはあれだから魚介が得意だから。オンプをと骨だこ。
[01:05:21.720] 音符って魚介なの?
[01:05:23.400] うだべ。音符だ。
[01:05:24.839] あ、そういうことか。
[01:05:25.520] 笑。う、
[01:05:26.520] 霊勝系猫うお。音符。
[01:05:30.799] 笑笑。
[01:05:34.640] 頼むで。腹壊すなよ。
[01:05:41.279] 危ね。よしよし。
[01:05:43.160] お、いいじゃん。攻撃力勝った。
[01:05:45.839] いいね。
[01:05:48.119] ちょっと俺武器買おう。なんか鉄の武器の方がいいよ。やっぱね。あの
[01:05:52.640] 鉄にしたいのは間違いないかな。ちょっと
[01:05:55.279] じゃちょっとね
[01:05:58.559] よ。
[01:06:00.880] うーん。
[01:06:01.920] う、なんかいけないかね。あ、ウォーハンマー行けんだ。アイアンストライク
[01:06:07.440] 624。
[01:06:10.400] アホらしいやん。今、今のまんま行くの。
[01:06:13.920] つえ。
[01:06:14.640] え、作った?
[01:06:15.400] いや、作れねえ。全然作れない。
[01:06:17.160] あ、じ、
[01:06:18.279] 笑笑。
[01:06:18.720] これだ。
[01:06:20.480] うわ、行きてえな。アイアンストライクだよ。
[01:06:26.520] 攻撃やば
[01:06:29.680] 624
[01:06:31.079] 石年んだわ
[01:06:32.279] 石ねんだわだね最初へも行かなきゃいけないのか
[01:06:36.760] そうだなあのあれん時に行くかだよ本当にその
[01:06:40.440] 待望の切れ味緑
[01:06:42.160] これさあれ切れ緑だ緑じゃないよ
[01:06:45.400] ちょっと緑
[01:06:47.160] あちょい緑だ
[01:06:48.000] ちょい緑だ
[01:06:48.799] ちょい緑ちょい緑タすかねタすかね
[01:06:52.920] タ持ってくればできるよち
[01:06:56.440] うちにPSP持ってきてくれれば
[01:06:58.480] できるよ。探せる。2
[01:07:00.000] 人でモンハンとかエモいな。
[01:07:01.880] 笑。
[01:07:02.559] PSPとモハ持ってきた。
[01:07:03.880] マジでか。
[01:07:05.760] あんのPSP。
[01:07:06.920] え、あんの?セカ。セカジ
[01:07:09.279] 参加する。
[01:07:10.760] 来れる?来れる?
[01:07:11.880] あるよ。笑笑
[01:07:14.359] え、マジで?
[01:07:15.279] あるんだ。
[01:07:16.599] えっと、
[01:07:18.279] 行け、行け。笑笑。近いんだっけ?
[01:07:21.319] 近いすか?
[01:07:22.359] うわ、かっこよ。
[01:07:25.640] 片手じゃん。
[01:07:26.480] で、3人で座ってやろうぜ。
[01:07:28.200] ちぎちだろ。このバで3人だ。
[01:07:30.520] ダッツンとチバる。ある。
[01:07:32.640] 俺下に座るよ。
[01:07:36.960] うわ、じまる。
[01:07:38.960] ロストエッジとかかっけえ。そう。頑張ってアイアンストライク作ろう。
[01:07:50.640] え、俺体験しよっかな。
[01:07:53.680] いいよ。なんでもどうしはだよな。
[01:07:57.760] いや、そうよ。マジで。
[01:08:01.000] 先の
[01:08:02.760] これ買っちゃおうか。とりあえずお金があるうちは買うわ。
[01:08:06.200] 生産武器じゃなくてってことか。
[01:08:08.000] うん。素材の方が今ちょっともったいないよ。
[01:08:12.160] ま、さっき誰かさんが死ななければ
[01:08:13.720] 1000円ぐらい言ったんですけどね。
[01:08:15.160] 誰だそいつは?誰だそいつ?誰だ?
[01:08:20.759] 体験だとラーティアがクソ強かった。
[01:08:24.440] 体験だ。ラーティアなんだっけ?ラーティア。お、これちょっとそうあれしよっか。あ、やっちゃおう。行く。ウォーメイス。あ、これアイアンストライク。
[01:08:39.600] これもしかしてさ、これあれかな?これやってみたらあれになんのか?
[01:08:43.960] ディアロム属性がってこと?
[01:08:49.120] ああ、ディアブロ無属性大。へえ、覚えてねえ。覚えてんの?夏いな、こんなあったね。ギアノスパル。ほらだから強化でさ、このハンマーからこれ不縁な。
[01:09:04.359] あ、
[01:09:05.000] バットじゃねかな。
[01:09:08.199] 抜刀開心とかったね。いいや、とりあえずオッケー。憧れの鉄素材になりました。俺
[01:09:17.440] アーディンラグんばんは。
[01:09:21.359] あみちゃんこんばんは。お疲れ様です。
[01:09:23.279] やってるぜ。
[01:09:24.520] お疲れです。こんばんは。
[01:09:25.520] バカエミ
[01:09:27.080] バカエミです。
[01:09:28.120] バカエミな。
[01:09:29.920] バカエミです。
[01:09:31.159] あ、りんバラグ。
[01:09:32.239] あ、リンバラ。
[01:09:34.560] 武器どこでいいんだ?これ。ん?あ、自分の部屋じゃなくて。あ、まジか。結構まったりやっちゃうね。どうしてもいいんだけどね。
[01:09:46.199] いいんだけど。
[01:09:46.640] 別やるゲームじゃねえからね。
[01:09:48.120] 回までだからね。
[01:09:48.960] そうね。
[01:09:50.440] 回までだから。
[01:09:51.239] ジャッキーカルパス
[01:09:53.279] またあり。
[01:09:54.279] ど
[01:09:55.199] どよ
[01:09:55.679] どよ。
[01:09:57.760] にしたらお互い抜の装備目指せるから足揃えるなら良さそうに。
[01:10:03.640] いいおにじゃねか。
[01:10:04.440] モンハンナイスナイト。
[01:10:06.280] モンハンナイスナイトだ。そうじゃもな。
[01:10:10.800] うま。うま。
[01:10:11.800] 今日めっちゃおつまみとか買ってきてんだよね。
[01:10:14.040] ライターで炙るべ。
[01:10:15.360] あ、ライター。ライターで炙る。
[01:10:18.800] うまいよね、ここ。ライター
[01:10:20.159] うまいね。
[01:10:21.199] 神どうだよ、マジで。わざわざなんでリビングにしたかって言うと、もう長丁場になるから俺ソファーでやりたかったんだよね。
[01:10:31.440] ソファーでやりたいからわざわざパソコンっ持ってきて。やっぱこれ正解だったわ。すげえ楽だよね。
[01:10:38.280] リビング初めて見た。
[01:10:40.040] リビング。そう。前たがもうリビングで始めた。
[01:10:45.920] ああ、そうね。そうね。だと思うん。
[01:10:48.880] 友達に感あって良い。
[01:10:51.280] いいよ、これ。めっちゃいい。
[01:10:56.800] 別に何か
[01:11:00.520] あら
[01:11:01.480] な邪魔に合わせてる
[01:11:04.120] あげと
[01:11:04.719] いや別に
[01:11:05.440] いい採除しなきゃダメなんだもんな。
[01:11:06.920] うん。何言ってもいい。最初は別にまだなんか何か作りたいわけでもないし。
[01:11:10.880] はい。
[01:11:12.679] したら俺武器変えるわ。これ思ったんだけどさ。うん。
[01:11:25.120] さっきやったのってどれ?あ、これか。こ、このこっちやる必要ないよね。
[01:11:29.239] 12は
[01:11:30.400] ババコンし爆あ、星ね。
[01:11:33.920] そう考えたらすぐ終わんね。ここしかないんだって。これ
[01:11:37.040] 3つだけだよ。
[01:11:38.639] 舐めてます。舐めて舐めてます。舐めます。
[01:11:42.960] 舐めてる。どスファンゴか。とりあえずとりあえずファン
[01:11:50.040] だいぶイラすけどね。ま、とりあえず行こう。
[01:11:56.719] とこで行くか。回なめんなよ。
[01:11:59.520] イボイのシきちゃう。
[01:12:02.239] イボイのシとりあえず俺はま、これ倒すのもそうだけどやっぱ最初だな。
[01:12:09.719] うん。あ、
[01:12:11.600] 最そうだよな。お互い合流は後ほどって感じ。
[01:12:14.679] そうだね。
[01:12:17.040] ま、でも最初大体一緒だけどね。行くわ。
[01:12:26.760] オケんだけ自分でこう武器だからこれ
[01:12:35.719] お
[01:12:36.760] 俺な俺体験にしただけだ
[01:12:38.560] あ体験にしてきたんだ
[01:12:39.239] 体験した
[01:12:41.560] じんちゃんには天井点ゆいが独損作って欲しいの
[01:12:46.040] 懐かしい天井天井天下ゆが独てなんか立
[01:12:50.760] あったよ。
[01:12:51.800] あったかも。
[01:12:53.199] 龍属性だからそれやつね。
[01:12:59.560] てんてん
[01:13:03.000] 素材。あ、そう。
[01:13:06.960] 5畳悟る。
[01:13:10.280] 5畳悟るなの?
[01:13:11.360] あ、よい。
[01:13:14.320] あ、死ぬ。
[01:13:15.239] いいや。バレてね。
[01:13:16.600] バレてねえ。バレてねえ。
[01:13:19.320] あ、俺なんかいっぱい取っちゃった。オ、
[01:13:22.960] なんでだよ。
[01:13:24.800] いや、わからない。
[01:13:27.840] 俺回復役しかないじゃん。
[01:13:29.560] え、いや、いや、もう
[01:13:31.880] 1個あるやろ。
[01:13:32.480] 笑笑。
[01:13:33.560] 回復薬しかないや。これ拾ってないだけ。
[01:13:37.080] ま、いいや。
[01:13:38.320] うわ、そうだ。
[01:13:41.719] あ、渡せる、
[01:13:42.719] 渡せる。
[01:13:43.560] そうだ。ティロンティンだ。
[01:13:44.800] なんかあったな、そんなの。そちだ。
[01:13:47.400] ちろんして。
[01:13:48.840] え、渡さなきゃだめ。
[01:13:50.560] なんでだよ。なんでた?待って待って。
[01:13:54.960] して
[01:13:56.880] 1個だけね。
[01:13:57.520] オ
[01:13:59.159] オッケーだ。
[01:14:00.719] の配信な。子供の頃の夏休みあって
[01:14:04.480] 夏休み感あるよね。
[01:14:06.000] やば。
[01:14:11.080] ああ、やそうだね。うん。
[01:14:13.000] 何?
[01:14:14.239] 体験だわ。
[01:14:15.280] やっぱ体験。
[01:14:15.920] このジは大変だわ。立ちは違う。
[01:14:22.320] ちょ、これわざわざこのカーソルをこれに合わせなきゃいけないんだね。今出るじゃん。なんか持ってなく。
[01:14:27.719] ああ、出る出る。
[01:14:28.760] あ、4
[01:14:29.159] 人とかで行くと誰が取ったかわからんくなるからプチ喧嘩になりやすい。プ
[01:14:33.800] チ喧嘩になる。特にあのG
[01:14:35.520] のね、強いモンスターの時は
[01:14:37.159] はいはいはいはいはい。
[01:14:43.840] はれてる。
[01:14:50.000] やっぱりモンハンってローカル通信がええんよな。
[01:14:55.239] なんだお前。
[01:15:02.560] 早くもうギスり始めましたけど。前のクエストで
[01:15:08.639] 1回死んだよ、今。え、
[01:15:10.400] 前のクエスト1回死んでるよ。
[01:15:12.120] うん。だよ。な
[01:15:13.600] んでそんなことでき
[01:15:15.600] たまにあ、なんかあるじゃん。そういう時
[01:15:19.920] ダブル
[01:15:30.960] マジで雰囲気悪いんや。
[01:15:35.920] マジで雰囲気悪なってません。
[01:15:42.880] 冗談ですや。
[01:15:43.840] 冗談ですやん。なあ。冗談ですやん。こんなんで怒らないですやん。え、じちゃん、この奥のピッケルやった。
[01:15:55.040] 奥のピッケル。
[01:15:55.960] うん。あ、蜂蜜もあるで。
[01:16:00.679] ギスもまたあるあるなんだよ。あったあった。
[01:16:03.920] わ、ブルハンゴいる。だるね。これ雑魚強いんだけどな。何なの?
[01:16:17.000] 相手に来んの?こんなきます。
[01:16:23.600] はい。きます。
[01:16:25.800] 倒してよ。ちゃん
[01:16:26.880] 何が何がちょ俺たまたま
[01:16:28.760] 早く倒しちゃに殺。
[01:16:31.040] あさんお疲れ。きたちゃんお疲れ。
[01:16:32.719] や、お疲れす。
[01:16:33.880] あ、大丈夫。あの、あれだよ。さっきじんちゃん死んでるから
[01:16:36.239] 1回
[01:16:39.679] ね。ピッケル壊れんの早くね?俺
[01:16:42.360] 4つ持ってきたよな。
[01:16:44.880] 4つ持ってきたのにもう1
[01:16:45.880] 個しかないんだけど。体力半分以下かんだ。
[01:16:48.719] ピッケル壊れる時代だ。
[01:16:50.120] いや、待って。これもうすぐこれ。え、
[01:16:52.120] ピッケル全部壊れたんだけど。
[01:16:53.960] え、うわ、弾かれるんか。
[01:16:59.840] じゃないからね。笑。詐欺や。
[01:17:03.600] ピッケルグレートとかあったな。
[01:17:05.920] ああ、あったね。
[01:17:07.840] マカライト使うんだよ。確かな。もったない。ちょっと
[01:17:12.440] いや、難しいな。当てんの。当てのむずい。
[01:17:16.960] しかもそ今みたいにマジでコンボが繋がんない。この振り抜きから。
[01:17:27.400] とりあえず取った。一応な使わないかもしんないけど。
[01:17:31.199] でもあ、
[01:17:32.600] もう俺あれなくなったから行くわ。
[01:17:35.880] あれどれ?
[01:17:36.760] もうピッケルなくなった。あんなにあったの全ボロのピッケル
[01:17:41.560] 3つとさ。
[01:17:42.480] うん。
[01:17:42.840] ピッケル4つ全部壊れて。
[01:17:49.159] ま、行くわ。俺もう
[01:17:51.320] 倒せいんだ。
[01:17:52.320] 倒せいんだよ。倒せ。
[01:17:54.040] 倒せばいいんじゃ。
[01:17:55.199] カメラ操作難しいんだよな。い
[01:17:57.199] や、マジでね。今ね、人差し指めっちゃ痛い。
[01:18:00.639] 俺、俺、俺親指が痛い。準備いかなる。マジで。あれどこにいるんだ?
[01:18:08.679] 何番?8
[01:18:10.159] 番かも。
[01:18:10.920] オあ、
[01:18:14.400] あ、こいつ飛ば。こいつあれフェイントいらないか。
[01:18:23.159] ダメージでか。さすがに。ちょ、いきなりたからびしちゃった。危ね。
[01:18:33.920] 7割と飛んでった。笑笑。そう、
[01:18:36.840] ちょっと待って。これまださ、マフモフじゃしんどいてさんマジか。
[01:18:41.560] マフモフ突2パだよ。突進食らったら
[01:18:46.040] 2隠される。
[01:18:46.880] 無理無理無理無理。それは
[01:18:48.719] 初いや雪ずれる。
[01:18:55.800] 雪れホワイトアウトしてる。
[01:18:59.400] いや、橋からたね。
[01:19:01.600] いや、この雑っこ。
[01:19:03.760] しかもこさ
[01:19:07.840] まジう。これが大丈夫。
[01:19:11.080] 頭笑。
[01:19:13.760] いや、これきついぞ。これ下が待ってた。
[01:19:22.639] でもさ、今助かったと思わない。しとこう。
[01:19:27.320] 勝ち上げられた。
[01:19:28.679] いや、これはヘい
[01:19:34.320] やべえ。めっちゃ強くねかこいつ。
[01:19:37.040] 待て、待って。
[01:19:40.159] ここで枯れるのがハンターよ。
[01:19:45.760] ちょっと猿やめて。ほん当やばい。
[01:19:48.199] はよぴよ人。ちょっと待って。ちょっと待て。
[01:19:56.239] 猿が邪魔なんだって。猿い頭弾かれんのかい。
[01:20:11.440] はい。け。
[01:20:12.560] よしよしよナよし。
[01:20:14.960] ナイスす
[01:20:17.080] ナイス。
[01:20:23.679] あ、ごめん。
[01:20:24.199] 大丈夫よ。そんなもん、
[01:20:26.560] そんなもん。
[01:20:29.560] これ行かねえかな?
[01:20:33.239] 行かねえかな?
[01:20:34.719] サ倒しちゃってもいいよ。
[01:20:38.600] ナイス。
[01:20:39.080] あ、倒れた、倒れた、倒れた。あ、なかった。あ、やべ、体力なね。やべ、体力っていうか危ない、危ない、危ない、危な、危ないす。
[01:20:50.920] てか、ちょっと画面くしすぎたな。めっちゃ白い。
[01:20:54.960] 画面明るくすぎてある。雪がすごい見づらい。
[01:21:01.120] いや、もう触る。こいね。確実に邪魔邪おるよ。あ、逃げる、逃げる、逃げる。逃げる時可愛いな。可愛い。
[01:21:24.199] どこ?どこ?どこ?どこ?うわ、それだ。いな。手めっちゃ疲れる。手めっちゃ疲れるよな。
[01:21:35.080] 手めっちゃ疲れるよな。
[01:21:37.480] 外合事
[01:21:39.239] 番号とことこで草。う、あ、いや、もうちょ、え、待って。
[01:21:51.120] 何こいつ?え、ギアノ
[01:21:53.440] ギアノスのダメージ。ギアノスじゃなくてなんだっけ?あの鹿みたいな。
[01:21:56.280] ああ、とホワイトレバーみたいな見てる。
[01:21:59.360] そうそうそうそう。あいつのダメージめっちゃえぐいわ。そう。
[01:22:12.440] ガウシカだっけ?
[01:22:14.199] ガウシカか。
[01:22:15.520] ガウシか。あ、ちょ。すごいこっち見てる。ああ。
[01:22:23.280] こんな死ぬ。危な。あ、ごめん。死んだ。あ、ごめん。死んだ。あ、あ、あ、あ、あ、あ、あ。何?あ、あぞ。あ、ちょっと待って。ちょっと待って。
[01:22:41.120] 俺礼に来るね。
[01:22:42.320] ちょっとこっち、こっち見ろ。こっちも。おい、ふざけんな。危ねえ。
[01:22:50.159] エリア移動して回復。笑笑。からコンボ繋がんないのマジ。意外と攻撃されない。笑。
[01:23:00.159] 意外と手前で友作った。意外と待ってくれる
[01:23:05.239] 話で分かるやつな。
[01:23:07.199] はい。オッケ。
[01:23:07.639] ナイス。
[01:23:08.320] 全然頭狙ってないんだけど。
[01:23:10.400] なんか頭なっえて使ってんのや。
[01:23:19.600] 焼きそかな。
[01:23:21.000] こっからためにさ、3
[01:23:22.600] 盾からために今行けないんだね。今じゃない。昔のモンハンはことこで。
[01:23:26.880] あ、どことこだ。可愛いんだ。
[01:23:28.440] どことこで草。いやあ、しんどいね。
[01:23:33.800] やべ、肉ねえわ。
[01:23:35.560] あ、ごめんね。俺あげる。な
[01:23:37.159] んで蹴ったんだよ、今。
[01:23:38.719] 間違えた。
[01:23:39.239] 間違えた。なるほらね。ええ、食料な。
[01:23:46.360] まあ、しょうがない。2
[01:23:46.960] 個やるか。もう終わりかもしれない。
[01:23:50.040] あ、ごめん。持ち物いっぱい受け取る。な
[01:23:51.600] んなんだよ。それどうにかしてこいよ。こっちで
[01:23:59.280] またここか。やだな。うわ、うお。
[01:24:06.239] 結構ダメージやばくない?これ
[01:24:07.480] えぐいね。
[01:24:13.520] いや、さすがに防御きちいな、これ。これ防御力
[01:24:18.600] 1だよね。マて
[01:24:20.239] 1
[01:24:20.440] なんだっけ?
[01:24:21.080] 各俺ら今防御力
[01:24:25.120] 5だ。
[01:24:26.920] マジで?
[01:24:27.960] あ、
[01:24:29.639] やも
[01:24:30.199] やばい。やばやばいや。やばい。やばや。ちょっと
[01:24:34.440] 頑張って。
[01:24:34.960] いや、大丈夫。
[01:24:36.040] 行ける。
[01:24:38.880] ええ、
[01:24:40.560] 出た。今んとこ角もう調子出る。してるね。
[01:24:48.000] いや、これはああ、今チャンス。ああ、なんでこれ頭かれんだよ、これ。
[01:25:07.840] しとく。
[01:25:09.000] いや、来いや。それは来いや。
[01:25:17.920] はい。オッケー。な、あ、ちょ、素材、
[01:25:23.840] 素材。
[01:25:24.280] 早く来ないと。
[01:25:26.080] 早く来ないとなくなっちゃうよ。
[01:25:29.040] タイミングとかあるじゃん。
[01:25:30.560] 早く来ない。でもしょ死んだもんね。
[01:25:33.040] そうなんですけど。
[01:25:36.320] 笑笑。この
[01:25:39.600] 1
[01:25:39.760] 番と一番大変なとこから来てん。ただこれで終わらない方法があって
[01:25:44.320] うん。
[01:25:46.000] 俺がエリア移動し続ければめっちゃ時間稼げんの。
[01:25:48.800] 意図的な仲間割れ。
[01:25:50.320] 食し食とすっげえ多いや。
[01:25:54.520] めっちゃ壁登ってる。
[01:25:57.080] すげえ。
[01:25:57.400] そ、ダッシュで登れないんだ。
[01:26:01.719] じゃ、R
[01:26:02.159] ボタン、あの、ダッシュ、ダッシュ。体力無理だな。あ、この時代ないのか。え、めっちゃ遅くね?そしたら
[01:26:12.040] 早くして何番?
[01:26:19.199] 7番?7
[01:26:19.960] 番。7番終った。
[01:26:26.840] あともう1個だった。エリア終わった。
[01:26:32.440] 笑笑だよ。
[01:26:35.400] ま、しょうがない。しょうがない。
[01:26:36.840] あるよ。
[01:26:37.360] ある、ある。
[01:26:38.679] 今んとこ何にもはぎ取れてない。さっきのギアノスも取れなかったしな。
[01:26:47.119] う、
