[00:00:17.800] 来た。
[01:01:46.200] いもこがいもこはあのこれを買ってあれだ
[01:01:49.200] からあのあのネタバレになっちゃうからな
[01:01:52.359] 。ネタバレになっちゃうから
[01:01:55.799] までもこんな感じ。これでも本当に俺今
[01:01:58.079] までやったゲームでマジで面白かったから
[01:01:59.640] 。ほれちょっとこれちょっとまだやらない
[01:02:01.599] けどまだやらないけどま、こんな感じね。
[01:02:04.359] こんな感じのゲームスナっちゃーマジ
[01:02:06.319] 大好き。ちょ後でやろう。ちょっと待て。
[01:02:09.039] 今日はまだまだインストールしたいもんが
[01:02:10.599] いっぱいあるやん。あるやん。あるやねん
[01:02:12.839] 。インストールしたいもんがあるやねん。
[01:02:17.559] ま、ちょっとこれどうやってゲーム戻るんだろう。
[01:02:19.839] 田中シングルあるや。
[01:02:21.720] シングル
[01:02:23.200] あるやねん。
[01:02:25.240] しんどんどんインストールしなきゃ。上スタート。セーブは今のタイミングできたりすんの?ゲームしながらインストールはできんの?
[01:02:34.200] あ、できると思うよ。多分できると思う。セーブはセーブこれできるんじゃない?これセーブできるん?ほら、セーブステートあるんだよ。ほら、セーブステートあるわ。セーブステートある。とりあえずゲーム終了。ありがとう。
[01:02:44.880] うわあ、最高だ、これ。ま、ストーリーは、ま、さ、簡単簡単ね。このさ、この音うるさくない?このこのこの音めっちゃうるさいんだけど。これどうにかしてほしい。ちょっと
[01:02:55.463] [音楽]
[01:03:01.359] 消せるで。
[01:03:02.079] うるさい。えっと、
[01:03:06.000] グラセフのロード画面、
[01:03:08.039] グラセフの
[01:03:08.640] 時間も出ますと良いじゃん。パッド
[01:03:12.200] ゲームの音量システムでいいよ。
[01:03:13.839] システムちょっとあの大きくなくていいんだよね。あ、こんな、こんなで、こんなでいいよ。こんなで全然いい。あ、で、バツボタンで
[01:03:27.480] スコだから気にならん。
[01:03:29.720] でかすぎ。
[01:03:30.400] が浄化される。
[01:03:32.039] オオッケー。
[01:03:35.599] ま、このスナッチチャーっていうゲームは
[01:03:37.319] 、ま、どんなゲームなのかもやった後に、
[01:03:40.880] やった後に言うのもあれなんだけど、この
[01:03:44.160] スナッチャーっていうなんかあの、なんか
[01:03:45.520] あの骨格みたいなやつが人を殺して川を
[01:03:48.359] かぶってなりすましてんのを探しに行くと
[01:03:50.920] いうゲームです。最高です。ありがとう
[01:03:52.599] ございます。じゃあちょっと2本目の
[01:03:54.240] インスコ行こうか。え、全然問題ない
[01:03:57.039] じゃん。あ、でさ、ごめん。さっき言って
[01:03:59.079] たさ、さっき言ってたさ、あの、さっき
[01:04:01.400] 言ってたあのアプリを動かせるようにする
[01:04:03.559] やつどうやってやんだっけ?え、ショート
[01:04:05.200] カット右クリックプロパティごめん、
[01:04:06.880] ちょっと待ってね。ごめん、これ画面に
[01:04:08.039] 映んねえからさ。
[01:04:10.160] ミニストプロパティ管理者としてこのプログラムを実行はいでこれは参考画像はあげておいた。
[01:04:19.480] これ1回消さなきゃだめだ。これアプリを
[01:04:21.480] 1回ウンド閉じるね。1回ウ閉じて
[01:04:23.760] T-8
[01:04:25.000] みたいなのが人の川かぶってうろついてるから捕まえに行く。
[01:04:28.960] そういうことなんですよ。これがめちゃくちゃ面白くて。ま、システムは古いゲームだからなんかあん待って。
[01:04:39.520] え、何?お、いや、でっかね。フルね、フルウィンドウになっちゃったんだけど。
[01:04:47.469] [笑い]
[01:04:50.640] の白さ。
[01:04:51.839] フルウィンドウになっちゃったんだけど。フルウィンドウじゃダめじゃん。
[01:04:59.119] え、ちょっと待ってよ。困ったちゃんだね。それはね、これさ、なんでこんなうまくいかないの?これ。
[01:05:10.000] ちょっと待って。プロパティでプロパティ。ええ、総合性タブ。総合性互タブ。管理者としてこのプログラムをこのプログラムを実行する。全画面表示の最適化を向効うにする。あれ、これじゃね?全画面表示の最適化。
[01:05:32.240] いや、しよ。全画面表示しないで。
[01:05:35.359] で、変更設定DPI
[01:05:40.480] DPI設定アプリケーションのDPI動作
[01:05:44.720] を上書きする。アプリケーションのDPI
[01:05:49.079] 上書きします。はい、上書きします。
[01:05:52.319] チェックしてアプリケーションでオッケー
[01:05:54.640] 。適用。オッケー。これでどうだ。
[01:05:58.160] はともかくアプリの使用感はまだまだ
[01:06:00.880] アプリの使用感はね、結構まだまだだね、これね。
[01:06:05.680] ダめだったら元に戻せば元通り。
[01:06:10.240] あ、あ、うん。なんかやっぱでも動かせないな。動かせない。
[01:06:20.839] なんでこれ動かせないんだろう。
[01:06:24.760] え、なんでこの変な位置で止まっちゃうの
[01:06:26.559] ?これ。
[01:06:29.359] これ超やだな、これ。これさ、なんで
[01:06:31.559] 動かせないんだろう?
[01:06:34.480] え、変な位置にあんのやな。まいやまいや
[01:06:38.039] 。じゃ、次インスコしようぜ。時間かかる
[01:06:39.559] だろうし。もう1時間経ってんじゃねえよ
[01:06:42.400] 。多分ボーダーレスウィンドウみたいな
[01:06:44.480] 感じで固定されてる。そう、そう。多分
[01:06:46.359] そうだと思う。他のゲームもたまになるん
[01:06:47.920] だけどさ、アプリ側でこのボーダレス
[01:06:50.200] ウンドウ
[01:06:52.599] を解除の仕方がないのよね。しもきちゃん
[01:06:55.240] 、こんばんは。しもけんちゃん、
[01:06:56.440] こんばんは。
[01:06:58.640] じゃ、次インストールしていいすか?次
[01:07:00.839] インスコしていいすか?次インスコして
[01:07:03.680] いいすか?次はPCエンジン、え、ラスト
[01:07:06.559] ハルマゲドン。またPCエンジンなんだ
[01:07:08.440] けど。PCエンジンラストハルマゲドン
[01:07:10.440] ンストールします。これはこれもいい
[01:07:13.039] ゲームすよ。これもいい良きゲームです。
[01:07:17.480] ラスハゲ入れねえとよ。これもリバイバル配信してもいいぐらいだよな。まげ来た。
[01:07:22.559] これもリバイバル配信やってもいいぐらいだよ。
[01:07:24.839] また見たいよね。ラストハルマゲドン。ちなみにラストハルマゲドンはね、俺もね、エミでね、あの、あの配信外でね、普通に自分で
[01:07:34.079] 1
[01:07:34.200] 人でゲームやる時にエミき持っててさ、自分でこれあのな
[01:07:37.720] んうの吸い出しして遊ぼうとしてるんだけどあのねラストハルマゲドンってね、なんかねできないんだよね。できないんだよ。
[01:07:44.321] [音楽]なんか吸い出しう、うまいこと
[01:07:47.039] できない。これちゃんとできんのかな?
[01:07:50.240] ちょ、戦闘BGM、戦闘BGM聞こうぜ、
[01:07:52.359] 1回。戦闘BGMそこまで行こうぜ。これ
[01:07:56.480] 入れて。ちょっと待てばなるんだよね。
[01:07:58.920] 多分ちょっと待てばいいんだよね、
[01:08:03.240] これ。ちょっと待てば来るんだよな、多分
[01:08:04.720] な。なんか、なんか出する。ああ、来た、
[01:08:07.599] 来た、来た、来た、来た、来た、来た。
[01:08:11.359] いいね。
[01:08:16.159] ぶやガーちゃムプ。
[01:08:18.640] よしよし。これバックグラウンドでインストールってやれば普通にゲームやっててもゲームやっててもうわあ、かっけえ。ラストハルマゲの
[01:08:31.400] う。
[01:08:33.447] [笑い]
[01:08:33.600] すげえ。とんでもねえ。
[01:08:38.319] 笑笑。
[01:08:39.080] とんでもねえな。相変わらず。
[01:08:42.880] 笑笑。
[01:08:44.400] 相変わらずとんでもないね。いや、このゲームすごくいいんですよ。これまたね、フ、古くせえゲームなんだけど、
[01:08:55.440] めっちゃ綺麗や。
[01:08:56.480] BGM
[01:08:57.159] とかもめちゃくちゃさん、こんばんは。
[01:09:00.960] めちゃくちゃBGM
[01:09:01.799] もかっこいいし、ストーリーも面白くて、どんなゲームかって言うと、あの、人類が、
[01:09:09.239] 人類が、えっと、地上から絶滅した後の世界の話で主人公がモンスターなのよ。このモンスターが主人公なの。
[01:09:19.080] オークとかスケルトンとかがで人類がい
[01:09:22.359] なくなったから地上は俺たちのものだつっ
[01:09:24.319] て地下からこう出てきたらなんと宇宙から
[01:09:28.719] 人類がいなくなって見計って宇宙から
[01:09:30.600] 宇宙人が攻めてきて指定の魔物と宇宙人の
[01:09:34.839] 戦い地上を巡ったっていうめっちゃ面白く
[01:09:37.560] ない地上を巡った宇宙人と地底人のみたい
[01:09:42.679] なめん
[01:09:44.199] よ。い設定
[01:09:45.480] めっちゃ面白い。そしてBGM
[01:09:47.279] が噛みすぎる。[笑い]
[01:09:49.600] BGMが噛みすぎる。え、他の
[01:09:53.199] RPG
[01:09:53.679] では敵役になるはずのモンスターたちが主人公というゲーム。目的は宇宙の侵略者から地球を守ること。ま、守ることってそんなそんなにいい奴らじゃないんだけどね。え、時間によるパーティーの交代性というシステムがあり、モンスターはレベルが上がると合体させてパワーアップすることがそうだね。
[01:10:07.080] これあのレベルが上がるとね、モンスターが合体すんのよ。
[01:10:10.080] ことあるんだけど
[01:10:11.159] 何何何結構グいんだよね。
[01:10:14.318] [笑い]
[01:10:17.080] Windowsウs
[01:10:17.560] キーと左右矢印をしてみて。
[01:10:19.719] Windowsウsキーと左右矢印。あ、なんか、え、違う。あのさ、え、なんか色々色々ぐちゃぐちゃになっちゃった。色々ぐちゃぐちゃになっちゃった。
[01:10:36.280] 画面端にスナップした。
[01:10:38.199] いや、あのさ、
[01:10:40.600] OBSがぐちゃぐちゃになってたな。
[01:10:42.560] OBSが
[01:10:46.120] ちょっと待って。こいつがなんで動かねえんだろうなあ。ああ、だめだ。やっぱ動かないわ。動かない。このこのこのウィンドウは動かない。これなんで?ま、別にいいんだけどね。
[01:10:57.920] OBSに映してやれば。
[01:10:59.960] OBS
[01:11:00.440] の映ってる画面見れるば俺真ん中だからいいんだけど。
[01:11:02.719] 食われてる人間あれに似てるな。[音楽]
[01:11:05.040] 何に出るわ。でもこれなんかあれだね。やっぱちょっとこれい
[01:11:09.360] のマり。
[01:11:10.280] これさ、あの西のマのり確かに似てる。
[01:11:14.120] M
[01:11:14.239] キーから矢印聞いた。
[01:11:15.560] 確かに見てる。オルトスペース押して
[01:11:17.640] Mキー矢印。ちょっと待って。
[01:11:19.679] 笑。え、笑。オルトスペース。オルトスペース。オルトスペース押してからの
[01:11:26.840] M
[01:11:27.080] キー同時押しってこと。いや、ダめだね。ダめダめダめ。
[01:11:32.919] [音楽]
[01:11:34.280] Mからの矢印。Mからの矢印。オルトス。
[01:11:38.560] え、待って。オルトスペースM。いや、
[01:11:41.760] だめだ。効かねえ。何もできない。
[01:11:44.960] ちょっとこれあれだね。インスコここ
[01:11:46.320] 終わったらさ、インスコ終わったらさ、
[01:11:48.520] ちょっと次のゲームインストールさせ
[01:11:50.000] とこう。ちょっとこの待ち時間結構長いね
[01:11:52.360] 。待ち時間結構長いね。うお
[01:11:57.960] 。ああ知んの?マグもぎさんお疲れ様ね。
[01:12:01.960] こな間だは。こな間だお疲れ様ね。昨日は
[01:12:05.840] いい、いいイベントだったね。そう、
[01:12:08.080] ラスト、あのね、
[01:12:09.040] ポリポリメガリミックスっての買いまして
[01:12:11.199] 、ポリメガリミックスっての買いまして、
[01:12:14.199] あのなんて言うの、このラスハゲ、あの
[01:12:17.320] PCエンジンとか、え、セガサターンとか
[01:12:20.600] 全部パソコンで一気にできるようになった
[01:12:22.239] のに、今インストール配信中
[01:12:23.560] それぞれのハード取り込みたい。
[01:12:25.520] そうだね。じゃ、ちょっとハードも
[01:12:26.880] ちょっと1個ごめん。PCエンジン
[01:12:28.080] ばっかなっちゃった。ラスハゲでもいい
[01:12:30.719] ゲームだから本当に。これBGM
[01:12:33.320] ちょっと聞くまでやりたい。
[01:12:34.239] なんか1920X1080
[01:12:36.840] の改造度にしないと安定しないって書いてる。
[01:12:39.800] それ、それは何、どうやって設定するの?それはどから設定すればいいの?どうやって設定するの?
[01:12:42.350] [笑い]
[01:12:45.800] めっちゃ欲しいすぎる。
[01:12:46.960] え、これね、結構高いっす。4
[01:12:48.639] 万ぐらいします。ただただ[笑い]
[01:12:50.920] 4万で4万でわさんこんばんは。
[01:12:54.000] PCエンジンCDロムロムセガサターン
[01:12:56.800] PlayStationationC
[01:12:58.520] えメガCDえなんだっけ?
[01:13:02.120] えっと、なんでみんな結構みんな知ってるね。俺
[01:13:06.000] 1
[01:13:06.159] 回これ配信でやってんだけどたまんないね、この画像。これはたまんないっすよ。今ちょっとインストール
[01:13:08.550] [笑い]
[01:13:11.170] [息をのむ音]
[01:13:14.600] 58%。
[01:13:17.080] ネオく度
[01:13:18.040] ネオCDもできるね。そう、ネオCD
[01:13:20.080] もできる。
[01:13:21.239] 全部パソコンにインストールして、
[01:13:23.920] あの、全部ね、パソコンにインストールできるのよ。ちょっと今
[01:13:28.320] 61
[01:13:28.760] 発結構時間かんだけど。ま、もちろん自分のカセット必要だけどね。え、
[01:13:34.800] いける
[01:13:35.840] で。ウけない。すごい。
[01:13:36.960] 48。[笑い]
[01:13:43.480] あ、48あれなんだ。作った人なんだ
[01:13:46.520] と。問題きるから後で。
[01:13:48.040] 後でだね。ごめん。後でだね。
[01:13:49.600] ま、とりあえず今できてるからいいよ。ちょっとこれインストール終わったらバックグラウンド次のゲームもインストールしようぜ。じゃ、次は何インストールするか決めよう。
[01:13:57.000] 目がくいけるん?
[01:13:58.440] メガシいけるよ。俺だけ
[01:13:59.760] の画像はった。
[01:14:01.280] ありがとう。俺だって正味なんでこれ買ったかって言うと
[01:14:04.920] 1
[01:14:05.080] 個どうしても配信でやりたいゲームがあって
[01:14:07.280] 1
[01:14:07.400] 個のゲーム機のソフトね。
[01:14:09.639] そうそうそう。あ、でもね、そん、リアルあれもあるけどね。え、ちょっと待って。俺ね、どうしてもやりたいゲームがあって配信で。
[01:14:17.360] それがメガCDのゲームなんよね。メガ
[01:14:20.080] CDのあれどれだっけ?どれだっけな?
[01:14:25.719] あれ配信でやろうとしたらさ、あまりにもロード時間が長すぎて
[01:14:29.040] お疲れ。
[01:14:30.040] あまりにもロード時間が長すぎてちょっとこれ実機じゃ無理ってなって。
[01:14:33.800] ポプネも橋本君。
[01:14:35.440] あ、MDX
[01:14:35.840] さんこんばんは。ビオムこんばんは。
[01:14:37.719] BOこんばんは。
[01:14:39.440] これあ、今インストールしてるラストハルマゲドンの続編ね。
[01:14:39.596] [音楽]
[01:14:42.871] [笑い]
[01:14:43.199] アフターハルマゲドンガイデンっていうま
[01:14:46.760] ッ、
[01:14:47.280] また来たよ。来た、来た。またこれもね、
[01:14:51.000] CBゲームでしょ。
[01:14:52.239] アフハゲ
[01:14:53.320] アフハゲ。
[01:14:54.120] おお、それは楽しみや。
[01:14:55.880] これをね、1
[01:14:56.960] 回配信でやろうとして、実機でやろうとしたんだけど、あまりにもあの、戦闘ごとに
[01:15:01.239] 10
[01:15:01.520] 秒ぐらいロードが入って、これさすがに無理って思って。
[01:15:04.520] シ、
[01:15:05.679] これならいけるんじゃないかと。ちょっとこの後じゃこれもインストールしよっか。
[01:15:11.880] 渋いのやりますね。
[01:15:13.320] 渋い。やっぱチマゲームはね、チマゲームはもうこういう他の配信、あの、他のレトロゲ配信者でもなかなか見れないような
[01:15:20.880] CBの行くから。
[01:15:22.840] CB
[01:15:23.280] の行くから。やっぱアフターハルマゲドンガイデンですよ。これいいよね。
[01:15:29.239] 2
[01:15:29.400] の邪魔
[01:15:30.199] 2だよね。自分で言うのもなんだが
[01:15:33.000] 2だろ?ゲ
[01:15:33.679] いいね。
[01:15:34.520] 死に上げです。死に上げ。あ、[笑い]
[01:15:37.840] 96%終わるよ、そろそろ。このゲームの
[01:15:41.120] BGMを聞いてほしい。聞いてほしいね。
[01:15:46.440] 神だから。さあ、始まるぞ。98%。まあ
[01:15:50.159] 、多分これ多分インストールしながら
[01:15:51.600] プレイできるんだろうけどね。
[01:15:53.040] インストール完了。あざした。あざす。
[01:15:56.760] じゃあ取り出しちゃってください。
[01:16:00.400] いや、これいいね。
[01:16:03.440] こんなんよなよな。次インストール始から
[01:16:05.600] 。そうだね。次のインストール開始して
[01:16:07.480] からにしよっか。
[01:16:09.560] ラさ、また待って。もうちょっとこれも評価しディスクもかっこいい。デレス
[01:16:13.917] [笑い]
[01:16:14.920] ディスクもかっこいいのよ。ディスクもかっこいい。好き。ラスハゲおもろかったからな。配信でやったけど。ま、正直攻略情報なしじゃ絶対クリアできないけどね。攻略情報なしじゃクリアできないけど。じゃ、ちょいと起動してみますか。あ、待って待って。次のやつ入れてからね。次何ストールしよっかな。まだそんな高くないから買うなら今のうちだぞ。次何ストールしよっかな。
[01:16:40.520] ラスハゲあれでいいっか?アフター
[01:16:42.040] ハルマゲドンガデンでいっか?アフハゲ。
[01:16:44.360] これの続編インストールしとこう。
[01:16:47.120] アフターハルマゲドンガイデンもじゃあ
[01:16:48.960] ちょっとインストールしてから起動します
[01:16:50.480] ね。ちょっと待ってね。ちょっと
[01:16:51.480] バックグラウンドでやっぜ。結構
[01:16:53.639] インストール時間かかるな。あと結構
[01:16:55.719] やっぱ容量食うね、これ。
[01:16:59.199] よいしょ。あれ
[01:17:03.199] これハードはどこら辺まで行けんの?
[01:17:05.400] ちょっと待って。うーわ。ちょっと待って。うわ。
[01:17:08.320] やった。みの寝は所有してないんでした。ハードディスクも高くなってるからな。
[01:17:15.520] やりました。やりました。中身す。これ中身実中だわ。これさ、中身実中なんだけどさ、メガ
[01:17:18.763] [笑い]
[01:17:25.040] CD
[01:17:25.520] って電源ディレネート開かねえんだよ。入れっぱなし毎回やってんの。
[01:17:30.360] メガCD
[01:17:31.120] って電源入れないとオートイジェクトだからあの手動で取り出せないんすよ。うわ、だる。
[01:17:38.360] そう。
[01:17:39.080] うわ、だる。全部配し直せなきゃ出せねえやん。マジかよ。ちょっと今日はこれ見れないわ。ごめん。違うゲームしよう。違うゲームにしよう。最悪なんだけど。
[01:17:48.893] [笑い]
[01:17:50.679] く
[01:17:52.000] まジかよ。じゃあちょっとしないのか。笑。
[01:17:55.040] じゃあちょっと違うゲームインスコしときますか。じゃ僕の大好きな月の野草局行っていいすか?月下もインストールしといていい。どうせやるから。これ月下の野草局。悪魔女と明けのな。
[01:18:07.120] 月果もちょっと
[01:18:09.320] オールスターやん。
[01:18:10.679] 月果も行きますよ。オールスターダスト計画行きます。じゃ、こいつをインストールしながら、え、あれな、このラス起動すればいいんだけど、
[01:18:21.280] 平均おいわゆる月貨完全版
[01:18:24.320] 月果完全版。いや、これ完全版じゃないよ、これは。これあの普通のあの
[01:18:27.880] PC、あのなんだっけ?PS
[01:18:29.280] 版。あの、あれが高いんだよね。あのセガサタ版は高いんだけど持ってないんだよね。
[01:18:36.040] セサ番はちょっと早くして。早くして。
[01:18:40.280] なんかさ、毎回ディスク入れると変なさ、
[01:18:43.480] 変ななんか変なロード時間みたいの入るん
[01:18:46.040] だけど、これしょうがないのかな?
[01:18:49.760] これらないんだっけ?これいらないいら
[01:18:51.679] ないいらない。
[01:18:55.760] なんか
[01:18:56.719] ああ、タ版ではなかったですか?そんなかかったっけ?
[01:19:01.719] なんか変な出
[01:19:02.560] し時間かかる。
[01:19:04.080] 他の他のアプリケーションで
[01:19:05.960] CD
[01:19:06.360] 読んじゃってるんだよね。それもなんか後でちゃんと直さないとな。バックグラウンドでインストールしながらじゃ行きますよ。ラストアルマゲド目せ。
[01:19:18.480] あ、それアウトプライ切れって書いてたよ。
[01:19:21.080] オートプレイ切れて書いてあった。くる。
[01:19:26.719] なんか固まっちゃったよ。え、あ、え、なんかおむ、え、何?何?
[01:19:29.110] [笑い]
[01:19:35.520] PC
[01:19:35.880] エンジンは音楽と同じ企画だからそうなるのかな?
[01:19:39.960] クラシックモードってなんぞや?あ、え、あ、
[01:19:44.199] え、何これ?ちょっと何これ?何これ?は
[01:19:53.280] 壊れた。
[01:19:55.679] ちょっと待って。これどうすればいい?どうすればいい?これどうすればいいの?これる
[01:20:00.040] かな?
[01:20:04.480] [笑い]
[01:20:04.840] わーラスト春ゲドン。
[01:20:06.360] いや、若がさんこんばんは。ちょっとなんかうまいなんかね、うまいこと動いてない?え、これでもさ、でもさ、これ今さ、アプリ消しちゃったらさ、
[01:20:15.639] これ読み込みしてるからこんな感じになってるとか?
[01:20:18.800] え、アプリ1回消す。
[01:20:20.199] でもさ、月果読み込んでる途中なんだけど。
[01:20:23.080] コネクト再生
[01:20:24.280] 違う違うよ。
[01:20:26.719] スロー状態の可能性。
[01:20:28.520] ちょっと待って。もう1
[01:20:29.719] 回ちょっと起動します。あれ、ちょっとちょっとアプリが起動して。あ、来た、来た、来た、来た、来た、来た。あとこのなんか、ま、ちょっと、ま、いいや。まあ、いいわ。
[01:20:49.080] ちょっと、ちょっと、ちょっと待って。え、何?え、大丈夫?なんかでもやっぱあれだね、人言ってたけど、ちょっとアプリのさ、動作がちょっと怪しいなあ。うん。多分それもあるのかもしれない。それもあるのかもしれない。これインストールしながら、インストールしながらやっちゃったのが良くなかったのかもな。もしかしたらなあ。
[01:21:12.679] これさ、インストール
[01:21:16.159] まだ慌てるような時間じゃない?
[01:21:17.760] まあね、インストール。これやりながらやらないで
[01:21:20.800] 1
[01:21:20.920] 回起動してみていい?あ、行けそう。あ、行けるなあ。あ、行けるわ。あ、普通に行けた。やっぱインストールしながらダメなんか。
[01:21:40.766] [笑い]
[01:21:42.080] ラストアルマゲドン
[01:21:45.520] かっこよ。笑笑
[01:21:46.920] かっこいいんですよ。
[01:21:52.639] はなんだ文字のフォント好き。
[01:21:58.880] 人類がなぜか
[01:22:00.520] 声ちっちゃんなんだよ、このゲーム。
[01:22:02.381] [笑い]
[01:22:02.520] 今とは
[01:22:03.360] このゲーム声ちっちゃいのよ。
[01:22:06.560] この星は
[01:22:07.639] ちょっと待って。これさ、音量上げれないの?別にインストール用のエンコードをしてるのでそっちの処理とのにシステムシステムスーファミノボリューム。あ、これさ、すごいね。こうやってさ、各ゲームごとに音量上げれるんだ。
[01:22:24.800] PC
[01:22:25.120] エンジンってね、ゲームちっちゃいからガチ開けで。あ、でかいできのゲームてこちっちゃいの。
[01:22:34.600] そうなんだよね。の
[01:22:35.639] 一部となり解けていった。ただ後輩した地象が限りなくこの景色を
[01:22:44.199] 幸いにも止めるも。
[01:22:45.520] これ待って。このゲームもさ、オープニングめっちゃおもろいから見てて。
[01:22:48.800] 今
[01:22:50.639] 1つの歴史が幕を閉じたのである。
[01:22:55.440] しかし
[01:22:55.920] 大好き。このゲームのオープニング。
[01:22:57.360] はその力の偉大さを孤持するかのように地の奥底に眠る生命隊を呼びました。
[01:23:04.040] 定まってなかったの歴史を生な
[01:23:09.920] 美しい第一だ。
[01:23:12.040] さやきボイス。
[01:23:13.360] この美しい大地だ。
[01:23:17.360] 魔族の対領
[01:23:19.017] [笑い]
[01:23:19.600] いいですね。
[01:23:21.040] 星は新し世界の幕明けに異業の週を呼び覚ました。
[01:23:25.040] 笑笑
[01:23:25.800] いいよ。
[01:23:26.440] この大地で生きていける者たちよ。
[01:23:29.199] ダブル
[01:23:30.719] 我々魔族以外は全て滅んだようだな。
[01:23:35.520] うん。[鼻息]
[01:23:36.920] いよいよ我々の時代が訪れたのだ。早速魔界に帰り報告するとしようか。
[01:23:45.872] [笑い]
[01:23:46.760] 何者だ?
[01:23:48.600] あら。[叫び声]
[01:23:49.600] 笑笑。
[01:23:51.199] 2
[01:23:51.400] つの生命あるものが一瞬にして消えた。
[01:23:54.159] 笑笑。うお。
[01:23:55.480] 星は魔族の存在を認めなかったのだろうか。
[01:23:58.760] わあ。
[01:23:59.880] いや、
[01:24:00.159] 宇宙人がやってきましたよ。皆さん出現し、この殺戮を行っのものに
[01:24:06.040] 星さえも驚いたことだろう。異行業のものは天より降りてきた。星が地より魔族を呼び覚ましたのと同じく天空が彼よりこの者たちを呼び寄せた。
[01:24:19.933] [笑い]
[01:24:22.360] この
[01:24:23.400] キャラクターデザインすごいな。
[01:24:25.560] 報告せねば。[鼻息]
[01:24:29.120] その口から1つの目玉がこぼれ落ちた。
[01:24:32.719] これ曲かっこいいから聞いてて。曲かっこいいから。
[01:24:33.688] [笑い]
[01:24:34.560] その目を足に挟み込み天空へと飛び立つもがいた。
[01:24:39.719] スケルトンよ。お前の意思と受け継いだ。
[01:24:44.400] 普通に手で持てばよくない?手あるんだから。
[01:24:47.443] [笑い]
[01:24:48.719] 新しい歴史は壮大なる本当の春まげて
[01:24:54.440] 幕を開けたい時のリモコン持つ時の方臭そうなとこで持つね。
[01:24:58.578] [笑い]
[01:25:02.199] そっちは足が主榴んか。
[01:25:04.719] かっこいい。かっこいい[笑い]
[01:25:09.239] かっこよ。かっこよ。かっこよ。[笑い]
[01:25:16.880] 出ってる。出るん出ってるってる。かっこいいんよ。あ、まだあと
[01:25:24.124] [笑い]
[01:25:30.674] [拍手]
[01:25:31.760] 10分ぐらい。あ、あと10
[01:25:33.639] 分ぐらいオープニングあります。
[01:25:35.914] [笑い]
[01:25:36.280] 外の様子はどうだった?
[01:25:38.920] まあ、これを見てくれ。魔のものを集めるのだ。
[01:25:44.159] 鬼の目が怪しく光ると先ほどの地上での光景が次々と移し出されていった。
[01:25:50.920] うん。
[01:25:52.760] このホログラムさっき俺が偶然天空より見たもんだ。
[01:25:57.840] お前らどう思う?
[01:25:58.800] テレビショッピングみたいなBGM
[01:26:01.459] [笑い]
[01:26:05.440] 濃いメンツで飲み。
[01:26:07.159] 今日は濃いメンツで飲みやると
[01:26:10.320] これBMいいのよ。
[01:26:12.320] 標にまだ生物がいようとは思わなかった。
[01:26:15.880] いや、このゲームがまた配信できるの嬉しいな。
[01:26:18.440] 表の生物は虫クラさも絶滅したはずだ。
[01:26:22.719] では一体何だというの?
[01:26:24.760] エチだね。
[01:26:26.679] は人類が標のとなるはさすにエとさせてください。これはに臨していたの。
[01:26:32.119] これはエチとさせてください。
[01:26:34.400] その時突然ガーゴイルが苦しみ始めた。
[01:26:38.239] スケトンにあるか。
[01:26:40.639] 確かにどこに入ってくる?[笑い]
[01:26:42.360] とビくんびくんと小刻み震え始めた。
[01:26:46.000] [笑い]
[01:26:47.880] 体が体が何それ?
[01:26:51.239] [うめき声][叫び声]
[01:26:52.199] 何それ?[笑い]
[01:26:53.800] その表皮を突き破り現れた薄村なんかこういうこういう女の子いるよね。
[01:27:00.360] 抜けたデクのようにゆっくりと話し始めた。
[01:27:04.560] なんかわろてまう。
[01:27:06.159] のお[笑い]
[01:27:09.280] いいじゃねえかよ。
[01:27:11.360] 我形連合はこの推を
[01:27:16.719] 131
[01:27:18.320] 番目の職民生徒決定し、
[01:27:22.040] 国民を開始した。
[01:27:24.080] 要は
[01:27:25.199] して
[01:27:25.520] 声変わる意味あるか。
[01:27:27.239] だから宇宙人が体を乗っって喋ってんのやろ。
[01:27:31.760] 時間は与える。答えは
[01:27:34.960] 1つ。今答えるのだ。
[01:27:40.040] 何を抜かすか?
[01:27:41.840] これじちゃんみたいな声してんだ。俺のみたいな。
[01:27:45.560] その鋭い爪を大きく振り上げた。
[01:27:48.225] [笑い]
[01:27:49.920] おじさんに
[01:27:51.159] おじさんになっちゃった。
[01:27:54.320] 後悔する。
[01:27:56.480] ああ、
[01:27:59.440] 避けるな。下げるな。
[01:28:01.560] からの侵略者だと真似するじゃねえ。
[01:28:06.840] ドラゴンニュートはおたけ火を上げ。
[01:28:08.800] ドラゴンニュートね。
[01:28:10.320] 戦いだ。この星を魔族の楽園とめあくまで戦うのだ。
[01:28:18.199] ちょうど乳首が見えへんねんな。
[01:28:20.320] 我々の地標での行動には制限がある。
[01:28:25.880] なんだこの振動は。
[01:28:30.679] 標だ。
[01:28:31.480] 見せない。硬い。
[01:28:32.600] ああ。いや、もう見えないじゃない?ないじゃない?え、これ大丈夫?これ
[01:28:39.199] なんだ?あの光は見えちゃった。
[01:28:41.000] いや、ま、ゲームなんで、
[01:28:42.639] これセーフでしょ。
[01:28:45.159] あれは石の
[01:28:46.560] 蛇みたいなやつか。
[01:28:47.600] 何か文字が書いてある。か、テアグロべ。
[01:28:51.119] 星の軸を戻す暗の地に変えたるもの。
