[00:00:35.520] しぐしみょだな。うい。お疲れ。
[00:36:07.839] 1回食べればって感じだったね。
[00:36:09.680] 4人入れと待ち口食べて。うん。普通。
[00:36:14.160] え、これ何?どうやって行くの?はあ。ああ、なるほど。だから最初に最初にやっちゃ最初にここの穴を開けてこの中のドリルを使ってあっちを開けるんだよ。馬カ野郎。ファブミー元本元さん
[00:36:28.760] 5ファミー。なんでそこ5
[00:36:30.079] ミーにならんねんだよ。3ミ4
[00:36:32.079] ミでなんでそこ5になんだよ。
[00:36:39.040] 片親パンひどいな。
[00:36:40.800] せめてファイミー
[00:36:42.160] なあ。せめてファイミーとかなあるよな。なんでなんでファミ
[00:36:46.960] ワツ最初期待値高くするからな。ほぼタイミー。
[00:36:57.240] しゃ。今日
[00:36:59.720] 25ぐらいまで行ければいいかな。今日
[00:37:01.640] 25ぐらいまで行ければえー。
[00:37:05.119] あれ?ここからあれ?俺ねえ、俺そちょ
[00:37:10.119] 、俺ちょっとセーブしてませんや。
[00:37:14.480] セーブしてませんやん。
[00:37:18.079] しめなかった。しゃめんの忘れてたよ。あ
[00:37:21.880] 、言った言ってた。言ってた。え、言って
[00:37:25.560] たか?部活だぞ。おいおいおい。
[00:37:30.400] で、まあまあいいよ。ここ簡単だから。別
[00:37:32.200] にここ簡単だから。
[00:37:37.680] ここそんなから行ってない。
[00:37:43.280] 分かって行ってないよね。鼻か
[00:37:47.119] 左下は1
[00:37:48.000] 個上掘ったらもう少し早くできる。
[00:37:50.160] 何何何?左下は1個上掘ったらもう1
[00:37:52.240] 個早くあ、確かにな。確かにな。確かにな。そこ掘れば良くない?わざわざさ、このじゃなくてこの弾のとこでしょ?今この石があるとこだよね。
[00:38:03.800] 確かに、確かにそうかも。
[00:38:09.960] 確かにここ掘ればいいんだね。めんど
[00:38:11.440] くさいもんね。わざわざここ取りに戻んの
[00:38:13.720] ?
[00:38:15.280] 頭いいじゃん。なんかやってたの?頭いい
[00:38:19.319] じゃん。なんかやってた。
[00:38:24.960] お待、あ、なんか、なんかバグったぞ、今
[00:38:26.880] 。
[00:38:28.920] うわ、ちょっと待って。行けへんやん、
[00:38:30.200] それ。
[00:38:31.160] 弾高卒で
[00:38:34.760] 仲間だ。
[00:38:46.880] いや、もうこれちょっとわ、もうこれ何よ、ここちょっとちょっとみんなこれアーカイブ見てここのパスワード拾ってきてよ。ていうか、あのさっき俺
[00:39:03.960] さっき俺がさ、
[00:39:04.960] 習い事してた草なんよ。
[00:39:07.280] あのラディ、お前それもダめ。
[00:39:11.920] あの、それ、あの、そ、それもダめ。言っちゃだめ。茶まゲには刺さる。刺さるから。それ。
[00:39:19.119] あ、ランおじ今日すね。
[00:39:21.079] 今日ランおじちょっとのんでりだわ。やってんね。俺の地雷踏み抜きまくってるね。おい、おい、考察、おい、おい、考察。おめ、間違えてダメだよ、これ。じゃあ、これダメじゃあ、ダメじゃないわ。ごめん。ダメじゃなかった。ごめん。卒じゃない。ごめん。
[00:39:39.480] 間違ってん。ダメじゃなかった。ごめん。あってたわ。
[00:39:43.200] でも私はそんなランおじが好きだよ。
[00:39:46.200] よかったな。よかったな。そんな好きって言ってもらえて。
[00:39:50.160] あってた。ごめん。
[00:39:51.720] 俺も
[00:39:54.920] なんでお前ら気持ち悪いな。
[00:39:56.880] お前ら。なんでなんで人の人のチャンネルのあれでよ。
[00:40:01.359] またドム来るぞ。ごめんなちゃまダブル笑。気
[00:40:05.640] 持ち悪いなった。
[00:40:07.599] お前らキモいな。
[00:40:09.680] いいね。習い事なんてないよ。どうせ飽きる。
[00:40:13.839] いいね。
[00:40:15.480] 大爆笑した。
[00:40:16.640] 習い事はなんてするもんじゃない。でもさ、してない人からするとさ、してない人からすると結構
[00:40:23.920] 結構さ、
[00:40:25.599] してない人からすると結構さ、あの、やっぱ憧れなんよ、俺。未だにトラウマだもん。未だにトラウマだもん。土曜日の昼末は暇。
[00:40:34.960] あのさ、土曜日の昼間さ、暇だったからさ、あっちゃんちで遊び行ったのね。あっちゃんち遊びに行ったらさ、ちょうどあっちゃんはさ、あの、サッカーブに行く途中でお母さんと一緒に家出る瞬間でさ、俺ノーアポでさ、ノーアポであ、あっちゃん今日遊べないよね。うんって言ってそのままあの返答何も聞かずに
[00:40:53.920] Uターンして帰った。これトラウマになってますから結構。これトラウマになってますから結構ね。辛いよな。
[00:41:01.920] 辛い。悲しくなった。で、家で1人で家で
[00:41:05.200] 1
[00:41:05.319] 人でゲームやったんでた。うん。そんな当たり前じゃん。そんな習い事やる金なんかないもん。トラウマ一覧教師やい事と電気のスイッチ家族だ。
[00:41:18.680] そのそのあっちゃんちの電気のスイッチはこういうスイッチだから。あっちゃんちのあっちゃんちの
[00:41:24.280] でも遅くないよ。いい色はちゃんちにピアノなら
[00:41:27.760] 教えれんのか?教えれんのか?じゃあセーブしないと。
[00:41:32.160] セーブじゃないとやかけの話しないよ。
[00:41:33.640] パットタイプ増えるトラウマボックス
[00:41:36.040] パチッとタイプのね。
[00:41:36.920] れない。
[00:41:38.119] パチッとタイプ。一緒に習うか。じゃあ一緒に習うか。じゃあパチッとタイプね。パチっていうあので大きい大きい大きくてひべたいやつ。
[00:41:48.400] 一緒。
[00:41:50.119] 大きくて調べったいタイプのこち先やっちゃおうか。ここ
[00:41:56.599] 邪魔くんちそれだろ。
[00:41:58.280] 違う。上うちらアパート違うからね。
[00:42:00.359] うちのアパートあのちっちゃいちっちゃいパチンってやつだよ。
[00:42:02.760] ピアノっていました。
[00:42:05.040] へえ。
[00:42:05.920] チマ君とチャソが連断してるところみたいなそれ。あ、おい、間違えたよ、これ。ほら、間違えた。
[00:42:17.720] チューリップ。
[00:42:19.599] チューリップってどういやつ?あとなんかさ、すっげえ肩痛いんだよね。昨日からなんかすごい肩痛い。
[00:42:27.000] 咲た咲いた。あ、さか釣れてきたな。
[00:42:34.040] 嘘やっちゃった。なんかめっちゃ肩てんだよ。かもナーランダナーランダ黄色親父の霊。
[00:42:46.000] 嘘、親父の霊化けじゃん。叩いとこ。
[00:42:49.119] いや、めっちゃ揉んだり叩いたりしてんだけど揉むの大好きだから。チマゲームは。
[00:42:53.079] また女の子米きちゃう。
[00:42:55.280] 何?女の子。
[00:42:56.520] 後ろにいる女の子誰ですか?え、お、お前それはダめだろ。やっちゃ
[00:43:01.760] みもみ守護霊ならいいんだけど。
[00:43:05.760] 肩めっちゃ痛いねん。なんか
[00:43:09.160] 神プ
[00:43:10.280] カミだった。今危ね。お前一生そこにいる。バカくばれ。ちなみに俺はもうここの数字を分かってるからな。ちな言っとくけど。
[00:43:26.400] ここの勝ち筋分かってるから
[00:43:34.520] よかったね。
[00:43:36.200] うん。よかった。嬉しい。勝ち筋分かってよかった。嬉しいわ。
[00:43:54.880] ここっち持ってく。コメントほぼ余計説。
[00:44:00.599] あれ?これどうなるの?こいつどうなるの?これで。ああ。おお。なるほどね。なるほどね。ほんでほんであのドリルを持ってこれればええんや。危ねえ。バカが。なめんなよずっと。
[00:44:21.599] お前、お前、まだそこにいろよ。お前まだそこにいろよ。
[00:44:28.559] なめんな、なめんな。
[00:44:31.400] なめんなセンサーが。よいしょ。ああ、もう。だからこれ剣取っちゃあかんやんけ。
[00:44:51.240] そこいてね。
[00:44:54.960] なんでいなくなっちゃんだ、バカ。
[00:44:58.559] ここで待つやつを。ここで待つ。
[00:45:06.079] ナイス。オケー。行く。いい。そこでいい
[00:45:09.599] の?ここでいいでしょう。で、はい。ここ
[00:45:14.680] 壊す。
[00:45:18.280] おい
[00:45:20.920] 。
[00:45:23.240] で、こいつを持ってあっちに行くと。はい
[00:45:26.079] 。完璧。
[00:45:33.800] み、これでクリアやろかい?これでクリア
[00:45:37.599] やろかい?
[00:45:41.559] さすが見えてる
[00:45:43.000] そうやで。
[00:45:45.880] 天才これみおよしよしよし。はい、オッケーです。はい、オッケーです。はい、賢きも
[00:45:57.319] 知恵ありし物
[00:45:59.119] やるじゃん。
[00:46:00.800] 知恵ありし物。夢叶えしもいやきます。ソウルストン
[00:46:07.920] 10。
[00:46:11.800] はい。
[00:46:12.240] 神まず取れるところから取っていく。
[00:46:16.520] パスワードメモった。
[00:46:17.599] メモった。メモった。喋ったよ。グルボンお疲れ。
[00:46:20.359] 取った。取った。取った。取ったよ。夢叶
[00:46:24.040] にたはう。
[00:46:25.280] たは。早いのいるよ。早い人いるね。
[00:46:34.520] コメランが色鮮やかで嬉しい。
[00:46:38.599] せ、どういうこと?いつもいつも同じようなやつしかコメントしてねえもんな。やめて。大して大して大して変わんねえだろ。うん、こんばんは。うんこにこんばんは。
[00:46:49.200] 大して変わんねえだろ。大して変わらんよ。
[00:46:56.720] ほぼビップ。
[00:46:58.240] ほぼビップね。ちょっとさね、ビップさ、解除していい?思んなくない?なんか
[00:47:03.359] VIップ簡単すぎたわ。VIップ1回全部
[00:47:05.319] 0にしたい。
[00:47:08.440] いいよ、
[00:47:09.040] いいよね。一旦もうVI
[00:47:10.359] ップが多すぎんねん。で、ちゃんともあのポイントやめて。
[00:47:14.920] え、何がそれ?え、何?順のマそうなの?
[00:47:17.359] 次ポイントいくつ?
[00:47:19.200] 1
[00:47:19.280] 回もらうね。ちょっと色変えて違う感じ出すか。
[00:47:24.760] ちょっと待てよ。
[00:47:26.400] 順も全解除してた。ご誕生日にリセットか。
[00:47:31.480] あ、順、順も全解除してるんだ。
[00:47:33.119] 1回全解除するかな。
[00:47:35.160] なんかもうなんかなんかさ、ビップ多すぎてキモい。とんでもない。ああ、積んだ。
[00:47:42.839] ああ、積んだ。積んだ。これだ。
[00:47:44.920] 草。
[00:47:46.680] なんか
[00:47:48.520] 初見バイバイ。
[00:47:50.359] そう、初見、初見が見たらうわ、この配信貴しって思うでしょ。多分
[00:47:55.040] 実際そういうのはあるよね。もう
[00:47:57.800] 1
[00:47:57.880] 年ことかになってましたね。すぎるもん。
[00:48:00.920] 一旦さちにしよ。
[00:48:01.880] 一旦さらちしていい?マジで一旦さらちするか。もう
[00:48:05.880] VIップ多すぎてさ。
[00:48:07.440] 真面目に初見さん入りづらそう。
[00:48:09.559] いや、本当にそうだってもうキモいもんな。なんかコメント欄こごめんね。ごめんね。ごめんね。違うよ。違うんだけど。うん。言葉を選ばずに言うとキモい。言葉を選ばずに言わせてもらうとキモいね。なんかコメント欄。
[00:48:25.880] じゃあ俺もちゃまさんって呼ぼうかな。なんだと?でもたまにちゃんとキモいのあるよ。
[00:48:31.760] 選ばちゃんの言葉選べよ。
[00:48:36.200] 何たま?え、あたこんばんは。
[00:48:38.040] コメランは配信者にって言うしね。
[00:48:40.240] そうなんだよね。だからさね、だってうちえ俺だってもうさ、ここ
[00:48:48.880] 1
[00:48:49.079] 年半ぐらい俺フォロワー伸びてないよ。全然もうダメなんだ。だから新しい風を入れてかねえとよ。
[00:48:58.760] ダメなんだよ。
[00:49:00.720] 現状維持
[00:49:01.760] ね。現状維持。
[00:49:06.000] 今年クリップの再生数も全然伸びへん。ちゃまさんならすぐにでもここが居心地。
[00:49:12.119] チちゃまさんならすぐにとか言うな。もうあき起きたんだよ。居心地良すぎ。あ、嬉しい。嬉しいこと言ってくれるね。いいよな。うちのリスナー簡単でコメント欄キモいって言われてもその後に居心地居心地がいいとか言ってくれんだから
[00:49:28.440] 楽でいいや。
[00:49:30.280] 楽でいいや。なんか
[00:49:34.599] 1回だから上VI
[00:49:35.720] ップをさ、剥奪していいかい?なんかそうだからそう、あの他のチャンネルみたいに
[00:49:41.880] 1
[00:49:42.079] 年ごとかま、でもそういうのめんどくせえんだけどな。また
[00:49:44.720] 1年経ったら解除してとか
[00:49:46.599] なんかなんで色変わったなお前
[00:49:48.520] やだいよ
[00:49:49.839] やだやだ。お前お前VI
[00:49:51.000] ップじゃねえんだからいいんだよ。
[00:49:52.720] お前VIップじゃねえんだから。
[00:49:57.799] え、おって分かるだろ、普通に
[00:50:00.319] 違和感ある。気づいてくれるの嬉しい。
[00:50:02.799] いや、分かるだろ、普通に。いや、それは舐めてるわ。さすがに。
[00:50:05.720] 新しい風。
[00:50:07.559] それはさすがに舐めてる。わかるよ。
[00:50:09.920] ランディハーカで頼まい。な
[00:50:12.760] い。舐めてて。
[00:50:15.160] さすがにそれ舐めてるわ。俺のこと。
[00:50:23.359] 色は分かると?
[00:50:24.799] 分かるよ。
[00:50:28.440] 色で判断してるまであるからな。
[00:50:32.839] やったぜ。
[00:50:36.040] ちょっと待てよ。ちょっと待てよ。ちょっと待って。
[00:50:39.559] 色で判断してんだ。笑。よかった。同じ色いなくて。
[00:50:45.079] いや、シーゼルさんと一緒だよ。あとはみたいなのあるんや。
[00:50:48.079] ああ、シゼルさんと一緒だよ。綾たは。
[00:50:53.920] だからやっぱその緑のやつはなんかたまにたまに空気読めないとこあるなっていうの冗談冗談だからねえ。
[00:51:06.079] 確かに色り少ないかも。
[00:51:07.839] ピンクいるよ。ピンクピンクあれだろうがよ。
[00:51:10.799] ダブル
[00:51:11.280] ピンクはあれだよ。
[00:51:13.119] もう2度ときません。
[00:51:14.400] もうきません
[00:51:15.920] て言ってくるんだよな。
[00:51:19.839] あれ。笑笑また喧嘩するか。
[00:51:25.480] ほらほらほらほら。もうね、こういうこういうタイプ。こういうタイプ。
[00:51:28.720] こういうタイプだから。ピンクはピンクじゃない。緑は。
[00:51:30.960] ピンク誰ですか?
[00:51:31.760] ピンク。あれ?あの米国さん。米国さんたまに来てくれるけど米国さんだな。ピンクは分かるって。
[00:51:40.839] こんばんは。
[00:51:41.880] イ蔵さんもだ。イぞさんだもだった。
[00:51:45.480] いやしてたけど。
[00:51:46.760] あれ?あれ?さん緑じゃなかった?前黄緑だったよな。名前変えたよね。絶対色変えたでしょ。ピンクがったよね。緑だったよね。もう昔ね。え、嘘。間違えた。ごめん。あれ、伊藤さんってピンクだったっけ?
[00:52:05.160] 毎日変わるタイプの人よ。あ、確かに米国さんウスピンクさんは赤ジソンもだ。
[00:52:13.079] エジンソンもだ。
[00:52:13.760] 確かにエディスもピンクだね。岩オタンもピンクだよ。なかなかむずいねえ。あいつ何してんだ?
[00:52:22.480] 本当だ。
[00:52:26.760] 霊ミは水色でした。
[00:52:28.799] 霊ミ
[00:52:29.760] 色ってそんなに定期的に変えるもの
[00:52:32.520] ね。ねえ、もう変える人は変えるんだよ。そのうんちゃんのその何とも言えない色な。
[00:52:38.559] あ、初期色なんだ
[00:52:40.000] さん。画面ではピンクだ。
[00:52:44.160] あ、イ蔵さん。あ、画面と違うのか。画面と違うんだ。画面と違うのか。コメランと俺画面で見てるから。もしかしたら違う人いるかも。
[00:52:53.640] 配信からこの緑だな。はランダム表示じゃないかな。
[00:52:58.240] 今年の誕生日もミド来るかな。赤ちゃんと同じ色してる。モったりするわ。
[00:53:07.359] ちょっと待って。ここむずいな。
[00:53:13.440] オクスピアゴルデンポオクスススススピアゴルデンポオクスススススピアゴルデンポや
[00:53:19.520] おまぶカスやん珍しい何っていうのも変なんだけど遊びに来てもらったのに
[00:53:25.240] ハげてら笑
[00:53:26.559] マお疲れ
[00:53:27.440] 珍しい
[00:53:28.119] 珍しいじゃん
[00:53:28.799] まカ笑自分のが分かりにく固まさんまブカ
[00:53:40.640] まカス草かりしてこいよ。
[00:53:42.480] 別に、あの、別に悪い意味ではないよ。まブカスは仲いい人にな、なんか
[00:53:49.960] 笑笑
[00:53:50.720] なんかさ、なんかさ、あの、これ俺の地元のノりなんだけど仲いい人にさ、何貸すってなんか言わない?てんだろ?
[00:54:00.760] 言わね。
[00:54:01.599] カスのカスと同じ感じ。カスっていう愛情何カスって言わない。言わねえか。
[00:54:09.319] なんか地元のノり出ちゃった。
[00:54:11.200] 笑笑。
[00:54:11.839] 地元のノり出ちゃった。まブカす。
[00:54:13.480] 特殊やな。ヤンキーの街はこれだから。そんなやつおらんやろ。ちっちきち
[00:54:19.720] 変だよお前。
[00:54:21.160] まぶカす何カすって言わねえか。
[00:54:24.839] カスタムのカす。
[00:54:26.079] なんかわかんないけど。なんかね、なんか言うんだよ地元は。なんかそのあ、ただあっちゃんってよく出るじゃん。あっちゃんのことは俺らの中ではあかだし。
[00:54:37.400] だからなんか俺らがチまずなわけよ。
[00:54:40.720] 栃木あるある。
[00:54:41.640] うん。栃木あるあるっていうか、ま、俺の俺のスに解明してください。
[00:54:46.839] ごめんな。そういう意味じゃなかった。ごめん、ごめん。確かに俺ちょっと通じるあの前提で話しかけちゃった。ごめん。ほんでほんでどうすんねんこれ。
[00:54:58.720] 耳かスめ指そ。
[00:55:00.000] 耳かスはひどいな。
[00:55:06.359] これどうするんだろう?ダブルすって言われてるよ。ちゃまくゲームのキャラにもよくかすって言ってる。
[00:55:14.319] そうでしょ?丸カすって言ってでしょ。くそ。むずすぎんだろ。これむずすぎんだろ。え、何これ?え、なんかマーブル、マーブル。え、マジ?マーブルガチ切れしちゃったかな?な
[00:55:30.119] んやこれ?阪神はチンか。あ、た、いた。
[00:55:33.559] ゴッド。
[00:55:35.000] これな、MSXの、MSX
[00:55:37.880] のエルギーザの封印中ゲームをやて。
[00:55:48.240] うっさ。やりたい。右上見たら分かるだろ。怖。なんか高そうだろ。
[00:55:57.200] なんか高そう。
[00:55:58.480] いい色出すか。海分な。出ま
[00:56:01.240] したよ。出ましたよ。
[00:56:03.319] 出、出ましたよ。出ましたよ。カすだろ。いい居心地。ここいい色出すか。すごいね。
[00:56:13.119] なんか高そう。ま、高い。ま、高いと思う。
[00:56:17.440] 割といい値段した。これはね。
[00:56:19.359] 割といい値段した。なんかまたマーブルにもなんかさ、なんかまたゲーム送り付けてえな。なんかおめにゲーム送り付けてまたなんかやりてえな。やっての見たいな。
[00:56:31.240] すか
[00:56:32.400] なんかな、またなんか送ろっかな。マーブルにゲームマーブルのあれおろかった。ゲイン
[00:56:41.760] ああ、間違えた。間違えた。トライヤーゲイン
[00:56:45.319] 64。
[00:56:46.319] シャゲ64。
[00:56:48.640] あれ、マーブルって64かしてない。
[00:56:54.599] 64はつ。
[00:56:56.960] マーブルって64
[00:56:57.839] できんの?マーブルって。
[00:57:01.839] シャドゲート6
[00:57:03.359] だ。あれはなんかポの最高だった
[00:57:05.280] ね。スナっちゃとポリノ最高だったよな。あ、
[00:57:07.480] 6持ってないんだ。6
[00:57:09.200] は持ってないか。じゃあできねえか。マーブルのあれめっちゃおもろかったからな。
[00:57:15.640] だから俺だから言って俺だからよく配信でよく言うじゃん。
[00:57:18.280] なんかあのポリスノーツを
[00:57:21.280] だから俺マーブルのポリスノーツめっちゃ面白くて
[00:57:25.000] ずっと見てたんだけど一
[00:57:26.559] 番ラストのエンディングのところであのエンディングの超いいシーンのとこでマーブルがなんかもう
[00:57:32.280] 米返し始めちゃってさ、今じゃねえだろうかぶち切れてもう見んのやめたから。一番いいシーンでさ、マーブル返し始めちゃってさ。今コメント返しじゃない。
[00:57:49.720] まるまーブル君優しいからな。マブカスはほんま好き。
[00:57:52.720] マブカスはさ、優しいからさ。
[00:57:56.240] コメント全部返してくれるからさ。まブカスは優しいんだよな。が出てる。
[00:58:02.119] うん。まブカスは優しい。
[00:58:04.760] 優しいねん。
[00:58:05.640] 優しいねん。チまゲームと違って
[00:58:08.760] チャマゲームエンディングの時とかもガれない男や。
[00:58:12.200] 本当だよね。そうなりたいね。
[00:58:14.240] と違ってリスナーによりるね。
[00:58:17.559] ほんまに
[00:58:19.039] 俺ムービーシーンでごちゃごちゃ言ったらうるせえって言わ。
[00:58:21.280] 俺のXブロック解除されてないよ。
[00:58:26.160] 知らねえよ。だからおい、だからだこのタイミングでそういうそういうこと言うのが緑の特徴なんだよな。こういうタイミングでそういうこと言うのが本人もいて気まずいやん。
[00:58:39.160] 笑笑
[00:58:39.960] これ緑緑ハンドルネームのとこういうとこあるねんな。
[00:58:43.760] 緑ハンドルネームのやつは緑ハンドルネームのやつはそういうとこあるからな。
[00:58:53.160] ドキ緑にしてなくてよかった。
[00:58:56.160] C03の流れ玉おもろすぎる。
[00:59:00.000] そうなんだ。あれなんだ。ブロックされてんだ。
[00:59:01.799] さん巻き込みで草。ちなみに何かあったんですか?
[00:59:05.720] そうなんだ。
[00:59:06.079] コールストリーボブだから緑派って言われちゃう。笑。
[00:59:10.520] 緑の他の人の緑のごめんね。ごめん、ごめん、ごめん、ごめん、ごめん、
[00:59:14.799] ごめん、ごめん。
[00:59:15.240] なんか色変えてみよっかな。
[00:59:19.799] 冗談だから。ま、怒んない。そんなんで。
[00:59:21.960] なんか今日めっちゃ楽しい。
[00:59:23.520] 何が?
[00:59:25.440] てか確かに緑多いな。
[00:59:27.039] 緑、緑多いんだ。
[00:59:28.359] ずっと静かに聞いてたらなぜかまぐちゃんの評判が上がっていく配信だった。今度
[00:59:33.520] だ株あげとかんとさ。
[00:59:35.839] あげとかんとさ、なんかなんかあれかなと思ってるで楽しい。
[00:59:42.160] うん。いつもこうだといいんだけどな。いつもこうだといいんだけどよ。
[00:59:47.119] いつもこうだといいんだけど。チマゲームの
[00:59:49.559] れ、
[00:59:50.039] その日のその日のテンション、その日のテンションで左右されるからね。俺の配信は
[00:59:57.599] ゲームしてたんだ。
[00:59:58.799] ゲームしてるよ。これもう掘るしかないやろ。
[01:00:10.960] あと45分もしたら誰かと11
[01:00:13.839] で話してるよね。急にゲームの話戻らなくていいよ。笑笑
[01:00:20.720] おいチパキモいな。チピみピンクキモいな。キモピンク
[01:00:26.520] キモピンク。でもそれピンクの人に失礼だから。
[01:00:28.960] 笑笑うお。
[01:00:36.000] ちょっと待ってな。
[01:00:39.359] チャソリンりんや。ちょっとピンクじゃないな。なんかイメージカラーのタイプイッチ。チャソピ緑がいい。お茶グリーン。
[01:00:51.960] ああ、これなんか違ったかな?違ったか?これ
[01:01:05.200] ゲームモードになっちゃった。
[01:01:07.319] うるせいだろ、別にゲームモードだろ、これ。
[01:01:10.799] チア曲げ的には茶即は何色?これがいいか?
[01:01:14.119] これ持ってけばいいか?いや、もう緑だよ。
[01:01:16.839] 緑サズビはもう緑のイメージその深い緑は危険カラーだからいや冗談だけどね。
[01:01:29.920] いや、冗談なんだけどね。
[01:01:32.000] おい、笑笑ダブルいい緑と悪い緑がある。笑笑。
[01:01:40.160] いい緑と悪い緑がある。
[01:01:44.000] 深い緑は結構あの危険危険な色なんで。よしよしよしよしよしよしよしよしよしよしよし。
[01:01:53.880] 深緑はね。
[01:01:54.839] 深緑はな。ただ深緑はこうやって言っても大丈夫っていうのが担保されてる色でもある。うん。お前らあれだから。しか行けるのかな?
[01:02:08.799] いやいけるいける。大丈夫よ。
[01:02:17.720] 分かる。行くためにはあれだ。行くためにはまずもう
[01:02:21.640] 1
[01:02:21.720] 個やんなきゃいけないことがある。あれ行けないか。あれ、これ行ける。
[01:02:32.119] タりン。あれ?
[01:02:35.720] いや、こいつを持っていくのはそうなんだけど。
[01:02:40.200] オカピーポ
[01:02:42.520] オカピーポマニアの皆さん
[01:02:45.160] あれなんか芋も色変わったモて黄色じゃなかった?いるカラーは何色?
[01:02:52.359] ちゃゲームの設定してるカラー何色でしょうか?
[01:02:54.960] オレンジね。
[01:02:56.760] 今色変わった。
[01:02:58.039] チま君はコメ欄にいません。黄色じゃなかったか?
[01:03:02.240] いや、全然違うわ。ひどい。もうお前なら分かってくれると思ったんだけど。
[01:03:08.920] おお。おお、
[01:03:11.000] カレー色だよ。
[01:03:13.839] ねえ、これ行けんやん。ゴールまで。え、
[01:03:20.400] 黄色とオレンジの間の色だよ。なんやこれ?どうしたらクリアなんや?
[01:03:25.400] 一方真面目にゲームを見ているマーブルだった。これな、これな、笑。
[01:03:31.440] アクションパズルで
[01:03:32.680] 笑笑。
[01:03:34.319] あの、
[01:03:35.000] 笑笑。あ、このステージ中の
[01:03:38.000] ステージ中のあの金金の玉、金玉を全部集めてあの鏡
[01:03:43.839] あのゴールに行かなきゃいけないんだよ。ただそれでね、あのドリルとドリルとあのなんつうのあのピッケルがあってピッケルは下を掘れるでドリルは横の壁を掘れるっていうで個数が決まってるんすよ。
[01:03:56.920] だ、そのどこでどう何を使うか、どこでどの壁を崩すかでそのあれなんだよ。それ頭めっちゃ使うのよ。頭めっちゃ使うの。
[01:04:09.200] 18
[01:04:09.680] より。
[01:04:11.720] 18。
[01:04:12.400] あ、このステージどうだろうな。
[01:04:14.400] 18えぐかったよな。今もう
[01:04:16.440] 22まで来てるんだよね。22
[01:04:18.720] まで来てんだ。
[01:04:25.039] 単純明解なゲーム解説。大家の谷エルギーザの封印スックスにキング
[01:04:31.599] Sバッレイ
[01:04:32.960] E簡単なゲーム説明はこちら矢印さんありがとう。
[01:04:37.680] パズル要素強いんやな。
[01:04:39.319] そうなんだよ。パズルゲーなのよね、これ。
[01:04:45.920] 先にもうさ、
[01:04:50.200] え、でもだってこれさ、どう
[01:04:54.119] だってこれさえ
[01:04:59.880] 、これだってここどうやってブルさん
[01:05:03.960] バッチ輝いてます。うわあ、バッチだ。色
[01:05:07.520] のバッチつけてる。
[01:05:11.319] あれでもこれ取い
[01:05:14.160] のか。
[01:05:14.559] これを取るためにこれをえ、いいのかな?
[01:05:19.599] 茶げはいつくの?し茶は一緒つかない。
[01:05:23.119] パートナーは一つきません。
[01:05:25.440] いいと思う。茶舐めて。
[01:05:27.599] 茶舐めてて。だから茶まゲは一生つかないから。それ残念ながら
[01:05:31.200] 泣かないで。
[01:05:32.559] 泣いてねえよ。うるせえな。泣いてねえよ。待ってな。ここはでもこれ、この、これはドリルね。これがドリルね。
[01:05:43.720] 1個持つじゃん。そうすると1
[01:05:45.520] 個壁を壊せるんだよ。
[01:05:47.200] 1
[01:05:47.359] 個壁を壊せる。で、この弾を取ってで、ここにも弾があるんですけど、ここを取りに行ってしまうと、ここにここを取りに行ってしまうとあのここを取りに行ってしまうとこんばんは。
[01:05:58.960] この1
[01:05:59.480] 個上の端は端ごには捕まれないから出れなくなって積んじゃう。
[01:06:02.079] だから弾を取る前にルフィさんこんばんは
[01:06:04.839] してここでもう1回これをこうやって
[01:06:07.400] いわざとこのちゃんとループできる道を
[01:06:09.799] 作ってから
[01:06:12.119] これを取りに行くとそういうことなんすわ
[01:06:14.799] 。そういうことなんわ。はい。
[01:06:18.640] そしたらさこ
[01:06:20.520] 開けちゃうべよ。これなあ。あ、まずい
[01:06:23.720] まずいまずいまずいまずあえなんだい
[01:06:25.480] つなんやねん。こつ
[01:06:29.119] 行ったからには毎回ちゃんとこんばんはしなね。
[01:06:32.119] 何かよ。こんばんはしてる。こんばんは。こんばんは。ルビーさんありがとうございます。いらっしゃいませ。ほんだらもうここもう穴開けちゃおう。ここでお前じゃけ消えろ。
[01:06:43.880] 左下の登り降りしてるば。
[01:06:45.720] そうやねん。これ敵なんだけどさ。敵なんだけどさ。俺のこと追っかけてきてるんだけどなんかしんねけどこいつこっち来ねえんだよ。でもこれなんか時間で消えるんだよね。なかなか消えねえなこいつ。
[01:06:56.039] 1回ほっとくか。1回ほっとこう。
[01:07:02.359] いや、剣で殺しちゃってもいいな。あつね
[01:07:03.760] 。
[01:07:12.880] まぶカスマブカス
[01:07:16.680] とか言って
[01:07:19.079] ごめんね。ごめんね。あのカス意味じゃ
[01:07:20.720] ないから。そういう意味じゃないんだ。
[01:07:24.079] 後ろの画面変わってるのいいね。
[01:07:26.480] 背景がね。ほんでここはなくそしたらここもゴール行けるからあとは周りの弾を集めてくるだけなんだけどこれまたむずいよ。だ
[01:07:47.480] へは。あねツハは下が壊せる。
[01:07:50.799] で、このドリルは横が壊せんのよ。は
[01:07:57.760] あ、出る。くしゃみはマイク切れ。北斗の剣みたい。ステージ移動すると一瞬画質落ちる。さっきできたから今もできるっしょ。で、出る
[01:08:12.720] ね。これはもうさ、開けるしかないよね。開けるしかないよね。
[01:08:30.239] いや、これドリル足りるんかな?
[01:08:43.640] ああ、そこが取れないわ。あともう1個
