[00:00:07.919] そ
[00:43:47.160] 。わしについてまいはしかしこりはどうし
[00:43:49.960] ましょう。代わりものを読んである。
[00:43:52.040] あずる必要はないでござるよ。なんか神様
[00:43:55.160] 絶対に偽物なんだよなっていう。神
[00:43:57.680] 様絶対偽物の説あるでは
[00:44:03.079] でっけえやつでっけえ
[00:44:05.119] やつな。うんけえやつな。
[00:44:08.599] 久しい脳の見しばらく見ないうちに少し手が高くなったでござるか。アイラどももまずまますず別ぴンさんになってござる。
[00:44:16.839] ちょっとメルビン私にもご挨拶はないわけかも。
[00:44:19.559] おいらも大きくなった。メルビンも立派になった。は
[00:44:23.440] 2人とも相変わらずなんでそこ2人適当に
[00:44:25.839] 2
[00:44:26.000] 人ともで済ますわけ?さて連土も連ドの話もあるがわしは行かねえかはならぬのでござるよ。どうも外で暴れてるやつがおるでおるようでござる。
[00:44:36.640] ここの守りは私お主たちに任せてござる。ではごめん。全然ちょっと何が何がなんやったんだっけ?全然覚えてないけど。う、なんだお前たちは。ここよる先は神と列見のままである。各国代表でないものは入れんぞ。
[00:44:56.000] うん。
[00:44:56.520] いや、までこの者たちの名を聞いておこう。
[00:44:59.640] ガボ。
[00:45:00.720] おいらガボ。こっちがマリベルとアイラ。そしてこの兄ちゃんがレンって言うんだ。ほう。
[00:45:05.920] もその名前間違いないな。はい、橋本レン
[00:45:08.000] と申します。
[00:45:12.160] なんでも魔王を倒して我が神の復活の
[00:45:14.119] 手助けをしたという話ではないか。ならば
[00:45:15.839] 我が神のお姿も見ることぐらいは許さ
[00:45:17.920] れよう。おやす。意外と意外とザル警備や
[00:45:20.760] な。名前だけで通れるんだ。ふん。お、
[00:45:25.119] やっと来たか。来なければそれでもいいと
[00:45:26.839] 思っていたのだが。我が神はすぐ近くまで
[00:45:28.880] いらるようだ。今しばらく待つよ。我が神
[00:45:31.839] は重大な話を伝えるためにわざわざ足を
[00:45:33.559] 運んでくださるの。我々は自言
[00:45:36.119] 1区漏らさず、え、その話を聞き止めなくてはなる。心した。多いな。なんだこれ。多いよ。なんだよこれ。どんだけどんだけびっくりマーク。いもこ使うじゃん。芋もこ使もう今週中にクリアすることここに誓います。
[00:45:52.319] 笑笑
[00:45:53.559] ロマサガのロマサガ3みたいな、ロマサガ
[00:45:55.480] 2のピコンみたいな。
[00:45:57.119] おお。たちかわしはほらオルフィード長老ちゃよ。またお祭りがある時には是ひ遊びに来てください。あ、今までの行った街のね。
[00:46:05.680] 結局目の村から出ていけずこんなとこまで連れて来られてしまいました。あ、それいいね。何が?
[00:46:11.760] 色ハピカ
[00:46:12.760] 何?はい。何をもえてるのぜ。レ神にあるので少し緊張してるだけです。英雄といえもやはり神の前では緊張出さるんですね。神は偉大なお方ですから。わははは。多いって。これ全部聞くんかい?全部聞く。
[00:46:32.319] アンド全部読むんかい?これしんどいな。
[00:46:34.559] ふ
[00:46:35.200] 我が神は重大な話を伝えるために我がさっきも読んだこれ。
[00:46:39.280] さっきも読んだこれ。
[00:46:40.160] うん。
[00:46:40.800] おやおや。あなたたちは確かレんさんとそのお仲ばさんでしたね。あズム誰だっけ?レんさんも神に及ばになったんですね。そうでしょう。そうでしょう。神があなたたちのように勇敢な人たちを放っていくわけにありませんからね。は
[00:46:53.079] おグレーテってなんかな。こんな素晴らしいだ。
[00:46:58.079] こ全部読むのやめていいか?もうあまりにもテキストの量が知量すぎる。
[00:47:04.040] あなたは今幸せですか?
[00:47:05.680] 何が
[00:47:06.440] 急になんだ?
[00:47:07.599] 急になんです?
[00:47:08.440] 疲れちゃった。
[00:47:12.559] チャマ疲れた。もう疲れた。
[00:47:20.480] はい。
[00:47:21.280] はい。どうも。これなんか各国の今まで冒険してきたとこのやつらね。
[00:47:25.200] あら。
[00:47:26.880] はい。どうも。
[00:47:28.559] はい。オッケー。
[00:47:30.599] あ、バンズ王もいるんや。オ、来た。見してみ。神の姿。
[00:47:38.400] そろそろ我が神がお見え。お、ついにお前たち早くそこへ並ぶのだ。
[00:47:50.720] なん神なり全てを知り全てをなすなりお我が神をよくぞいでくださいました。お待ち申し上げておりました。
[00:48:20.920] おめえなんとかだな。
[00:48:22.680] 大のた各国の代表のものを集めておりますゆ故えよ。
[00:48:33.319] 大なる神をかつて共に魔と戦った英雄
[00:48:38.559] ラグレイドルもおいです。
[00:48:43.640] あ、あの、あ、神をお久してくれてあの時は大変です。その
[00:48:51.119] あれなんだ。これ昔一緒に戦った神の民なのね、これね。
[00:48:56.400] 良い我がこらよ聞くが良い。魔は滅び、平和は訪れた。しかし聞け。
[00:49:08.799] そして我と心を共にせよ。武器を捨てよ。全ての武器を捨て争いをやめよう。
[00:49:20.040] なんかまともなこと言ってないか?
[00:49:21.839] 接触をやめよ。たえ魔のものといえど命あるもの。
[00:49:30.760] これを無に謝めるな。
[00:49:34.079] 勝類哀れみの霊来たな。
[00:49:38.520] そこの戦士たちよ邪悪なる波感じとられる。
[00:49:46.240] 神ごきが
[00:49:47.200] 我に捧げよ。
[00:49:51.119] 何ですか?何?何これ?何それ?何それ?何?あ、闇のルビーってなんかどっかで拾ってたね。
[00:50:03.119] な、何だっけ?これな、どこで拾ったんだっけ?闇のルビーってな、何だっけ?なんかどっかで拾ってたね、こんなんね。
[00:50:15.160] 聞け。我がこらよ。
[00:50:18.000] なんか像の
[00:50:18.839] 我とあの
[00:50:22.880] 我を崇めよ。我は絶対にして無神なり。
[00:50:30.920] 辞任。
[00:50:31.680] 我より他に神はなし。いや、ま、僕はあの人の信じる神はそれぞれでいいと思いますけどもね。僕はそれぞれあのあの好きにね、あのうん。神様を信じればいいと思います。神様がいると思いますけどもね。え、神との見は終わった。集まった。
[00:50:56.119] 各国の、え、代表たちはそれぞれの国へと帰っていく。神の言葉をおくに受け止めながら。うーん。な、何だった?
[00:51:06.920] ガモ
[00:51:07.640] 聞こかったな。神様何言ってんのか俺にはよくわかんなかったけどな。
[00:51:10.400] うん。
[00:51:10.960] 先生を神と呼んでもいいわけだ。
[00:51:14.040] なんだっていいんじゃない?
[00:51:15.079] ふん。
[00:51:15.839] 神との一見は無事に終わった。お前たちも神の言葉をしかと聞いた。神はこの世のにただ
[00:51:21.079] 1人。唯絶対無の存在なのか。
[00:51:23.400] 地方のものが崇める神だとただのおいおいおいおいおいが
[00:51:28.079] おいおいおいこれいいのか言ってこれ
[00:51:31.359] これすごいこと言ってまいかこれだからこういうの良くないんじゃないですかも僕は
[00:51:38.599] 僕には分かりませんけどもねありさんこんばんはやって戦争って起きるねんでこうやって戦争で起きるんじゃねえまわかんないですけどね
[00:51:50.599] 宗教があれる
[00:51:51.599] 良くないよくない
[00:51:52.960] くないね。ミくない。ない。
[00:52:00.079] そのテキスト読んでたら炎上してたね。多心教よ。
[00:52:04.480] やっぱお宗教なやめてね。
[00:52:07.160] banされても知らねえからな。ban
[00:52:08.920] されても知らねえからな。それぞれそれぞれそれぞれや。それぞれがそれぞれね。
[00:52:16.040] これおたち遅かったではないか。わしは待ちくびれたぞ。
[00:52:19.960] そなたたちのことだから大方城の中を
[00:52:21.880] キャンにしておったのじゃろう。ま、
[00:52:23.520] よいさグランエスタートに帰るとしよう。
[00:52:29.520] は
[00:52:36.000] 結局あれ本だらじゃん。ああ。だから俺は
[00:52:39.000] 真面目においに来ただけなんだって。
[00:52:40.839] しつこいな。ああも。あんただって俺を
[00:52:43.040] 知らないわけじゃないだろうが。霊の叔父
[00:52:44.520] だぞ。叔叔おじ。
[00:52:46.040] 知ってるでござだからこそ内に入れるわけにはいかでございな。く全く神さん絡みの連中はこれだから可愛すぎて
[00:52:52.920] 可愛いよなこいつ空飛ぶ大好きやね。
[00:52:55.599] 何やら騒がしいかわしらには無関係じゃろ。
[00:52:57.880] え
[00:53:03.040] よねんじゃねえのなあ。お前からもこの片頼んでくれよ。城に入れてもらえるようにさ。
[00:53:08.559] 1
[00:53:08.680] 目でいいから神さんに会ってみてんだよ。来てんだろ、神様。うん。来てません。
[00:53:15.599] ああ、何?もう終わった。そんなせっかく
[00:53:19.160] の金ずるが。あ、いや、そのなんだ?それ
[00:53:21.640] はもうそうな。ここには用はねえな。
[00:53:25.000] なんななんあいつ?
[00:53:27.440] やれやれ。全く困った。おきもお人で
[00:53:29.440] ござるな。連ドの推しもところで連ドの神
[00:53:31.720] の言葉もう連動のもう聞いたでござろう。
[00:53:35.520] わしには今1つ神の真画を測りかねるで
[00:53:37.960] ござる。なぜあのようなことを何せわしは
[00:53:40.720] まだまだこの城で残るでござるよ。
[00:53:43.160] もえ、気をつけてお帰りくだされ。
[00:53:45.799] ああ、
[00:53:46.680] ここにおられたか。メルビンド。これはネビラドの今日は国だった。いや、それよりもメルミンドの我が我が神がお及びだ。今し方再びおい出になられた。メルビーを呼べとな。なんか怪しいですな。なんか怪しいよ。なんか怪しいよ。
[00:54:04.280] 良いか。ま、ドラクエやってたら大体分かるけど、多分この後なんかとんでもないこときんだろうな。あ、ムービーシーン。ああ、なんかよ、なんかとんでもないこと起きそうだよ。なんか世界崩壊とかさ、お、言ってるそばからな。嫌な予感。
[00:54:30.760] もう今言いかけたもん。
[00:54:32.720] 万年
[00:54:33.680] ドラクエの嗅覚がもうくんくんくんくんドラクエの匂いしたな。今ホリージの匂いしたな。待てく。こんなバ鹿のことがあるでござるか。
[00:54:46.240] わしはどうすればむ?あ、何があってん?
[00:54:52.680] どうした?え、
[00:54:59.880] 何があったの?ま、やっぱ多分神様偽物なんだろうな。
[00:55:03.799] うん。
[00:55:06.640] なんかドラクエ11
[00:55:07.640] でいう世界崩壊みたいなことが起きそうですな。
[00:55:15.359] 世界は
[00:55:15.839] 我が神の手の上にあるのだからな。やっぱりな。
[00:55:28.599] ガボマルベル。ほらしっかりしてちょうだい。起きなさいってば。うん。おいらもうダめだ。きっと骨バラバラだぞ。
[00:55:41.760] ちょっと待って
[00:55:42.559] よ。
[00:55:43.599] なんか音声おかしくない?俺だけなんか音声おかしい気がする。
[00:55:49.440] ルフィアなんか違和感ある?
[00:55:51.799] なんか違和感あるよね。なんかなんかあるよね。
[00:55:58.240] なんか残境感ある。
[00:55:59.720] たたたたた。もう私だめかも。
[00:56:03.640] あとは頼んだわ。
[00:56:05.039] なんかおかしいよね。もう何も捨てないのに壊れたんだけど。出たよ。
[00:56:12.039] 2シゲルになってる。
[00:56:14.680] なんか2シゲルになってる。2シゲルに
[00:56:20.079] 2シゲル20音。
[00:56:22.839] そうだよね。ゲル。
[00:56:27.119] あ、ごめん。こっちのテレビが鳴ってた。西。
[00:56:32.079] あ、ごめん。こっちのテレビが鳴ってるわ。あ、通りでなんかおかしいと思った。
[00:56:36.839] 笑笑。にげる。
[00:56:40.280] このインテリア
[00:56:41.160] さん
[00:56:41.799] インテリアでインテリアでさ
[00:56:44.240] 君に謝って
[00:56:45.559] あのインテリアに
[00:56:46.559] 犯人は茶まげ
[00:56:48.240] インテリアであの後ろに映してた。しかも映ってないし今。あ、なんだ?
[00:56:54.039] 米稼ぎやめて。
[00:56:55.200] お前かい?お前やったんかい?お前だったのか?ごめん。なんかおかしいと思ったんだよ。なんかおかしいと思ったんだよ。
[00:57:04.000] 何言ってんのよ。それだけ喋れれば大丈夫に決まってるでしょ。
[00:57:09.319] すまへん。
[00:57:09.880] 神々の遊び。
[00:57:11.000] すまへん。
[00:57:13.920] 骨バラバラ。
[00:57:15.559] おバラバラ。この川復坊ちゃんもいますと。
[00:57:23.160] 大丈夫。
[00:57:25.559] 誰も王様助けないんかよ。
[00:57:29.039] 一体何だったんだろう。
[00:57:31.079] 坊ちゃん中国人説ね。
[00:57:33.119] 坊ちゃんね。
[00:57:42.240] バンズ。
[00:57:43.680] おいおい。
[00:57:44.680] 大変だわ。
[00:57:45.440] どんだけキーファの家族死ぬねん。
[00:57:49.400] どんだけキーファの家族すぐいなくなろうとするんですか?
[00:57:53.839] 今の慈悲響きは何事だ?一体何が起きたというのだ?
[00:58:01.079] いや、あれはバンズ王様。
[00:58:06.760] お前たち何をぐズぐズしておる?早く大部屋にお連れするのだ。ま、こうなるでしょうな。
[00:58:18.720] では皆さん小拳のようで何よりです。しかしこの空の色といいし方の大きな慈響きといい一体どうしたというのでしょう。
[00:58:33.680] 皆さんから神の城でのことなど聞きたいことは山ほどありますが、今はげるか気がかりとまずここは失礼させていただきますぞ。
[00:58:48.680] ゲームうるさい。
[00:58:50.000] 大丈夫かしら?私たちと違うからね。王様
[00:58:56.559] 何?私たちと違うから。
[00:58:57.720] 大丈夫?
[00:58:58.319] 大丈夫。こんくらいちょさげ
[00:59:00.480] よさげ。オッケー。なんかさ、これボイス
[00:59:03.039] ちっちゃえんだよな。ボイスちっちゃい気
[00:59:04.839] がすんだよね。このゲーム音結構でかいん
[00:59:07.599] だけど。SEとか。ま、これ多分設定で
[00:59:09.960] 変えれんのかな?まあいいっか。ま、ええ
[00:59:12.200] か。まあまあええわ。お妹に挨拶しとこう
[00:59:14.960] ぜ。ああ。連才無事だったんですね。
[00:59:17.760] お父様、この通り。まだ意識がはっきりし
[00:59:19.400] ないのよ。私心配で。
[00:59:23.480] 高いとこから落ちたせいか我が国王はまだ
[00:59:25.480] 意識は完全に戻っておらんのんじゃ。それ
[00:59:27.520] はそうとレモンフィッシュベルのことがさ
[00:59:28.960] 気がかりだ。ここも早く村のを確かめて
[00:59:30.720] くるといい。国王の方は回復次第使える
[00:59:32.760] ものをやるからな。はいはいはい。じゃ、
[00:59:34.559] ちょっと僕も戻りましょうか。戻り
[00:59:36.960] ましょっか。ちょ、もうルーラ使おう。
[00:59:38.440] ごめんな。ルーラ使うわ。
[00:59:43.039] あれなんか全部ないんやん。
[00:59:47.160] 全部なくなってますやん。あ、不思議な力
[00:59:50.319] 。ああ。
[00:59:56.760] おいおいおい。
[00:59:59.160] 白全部なくなってますやん。なくなってますやん。もう
[01:00:06.720] 1回石板集めし直しですかいな。
[01:00:12.480] もう1回やり直しか。
[01:00:14.119] ええ、やだ、やだ、嫌じゃ。な
[01:00:20.200] んですぐなくなってしまうん?
[01:00:21.920] ほんまやで。
[01:00:27.079] まだ半分もわけ。こ、
[01:00:29.680] これドロップちゃう?おじきや。せこ
[01:00:35.200] 兄ちゃんお上がり。
[01:00:39.480] 1
[01:00:39.640] 番悲しいシーン。笑いながら話す話してない。ごめん
[01:00:44.400] ごめんごめんごめん。
[01:00:48.240] お上がりって言って
[01:00:52.640] 心に来るのところとかないんか?
[01:00:56.160] あれ?なんか敵なんかなんか敵変わってますやん。いや、出た出た。これドラクエあるあるですわな。ドラクあるある。おら、危ね。
[01:01:05.520] せこ、それドロップちゃう?
[01:01:07.400] せ子、それドロップちゃう?おはじきや。
[01:01:11.559] 横島来た。
[01:01:13.200] じゃだ。
[01:01:15.359] 何々じゃね。ドラクエあるある。突然
[01:01:18.480] すごい地がして、それから辺りが真っ暗で
[01:01:20.839] そして魔物が出てはあ、そういや魔物
[01:01:23.720] なんかこ魔物が出んの始めたじゃねこっち
[01:01:26.000] の世界に。それ大変だのよ。あなたの
[01:01:28.880] お父さんがボルカナさんがあ、ま、大変あ
[01:01:30.799] 、ま、本当のお父さんではないんですけど
[01:01:32.319] ね。ま、本当のお父さんじゃないんです
[01:01:34.960] けどね。
[01:01:37.640] 気まずい空気になるだろうな。
[01:01:40.400] 気まずい空気になるだろうな。は、
[01:01:44.280] そっか。
[01:01:45.000] お父さん。え、本当のお父さんだよ。
[01:01:49.760] 本当のお父さん。あれだろ?まだなんか出てきてないけど、あの変なあれなんじゃないの?変な盗賊みたいなやつなんじゃないの?ラララ。一番泣けるねんな。
[01:02:01.559] このBGMがどこにいんの?
[01:02:03.359] ボルカノボルカノ
[01:02:05.279] どこにいんの?
[01:02:07.359] ボルケーノどこにボルケーノは?え?
[01:02:11.319] ボルカノボルカノンなんかちょっと
[01:02:14.079] 見ないうちに太った?
[01:02:16.200] やっぱやっぱ筋トレ続け
[01:02:18.760] ないとこうねん聞いたら涙出るように
[01:02:21.720] 筋トレ続けなかったらこうすぐこうなんの
[01:02:24.240] よ
[01:02:26.000] ね筋トレとかサボるとすぐこうなるから気
[01:02:29.039] をつけた方がいいで僕
[01:02:30.760] なんだんだぼカさん死んだの?ボルカノさんに助けられて僕は船に引き上げられたけどボルカさんはそのままレンごめんよ。僕のせいで僕のせいで。え
[01:02:42.960] うなんだしマジか?
[01:02:45.480] え?死んだの?ボルケーノ
[01:02:55.559] ビブレチュムプ。ビブレチュムプ。ビブレチュムプ。
[01:02:59.000] あ、お母さん。
[01:03:00.039] うん。あ、は信じてるよ。あんたは絶対
[01:03:02.960] ここに帰ってくるって。とさんのことは
[01:03:05.200] もう聞いたね。いや、まだ聞いてないんだ
[01:03:06.559] けど。そうかい。ならそれでいいんだ。
[01:03:08.520] 父さんは大丈夫。ちょっと帰りが遅くなっ
[01:03:10.640] てるだけなんだ。え?何死んだの?船が
[01:03:14.720] 向きずいで帰ってきたってボルカナさんを
[01:03:16.559] 失うっちゃしょうがないじゃないか。なん
[01:03:18.160] でこんなことになってしまったんだよ。神
[01:03:19.480] 様は見てなかったのかよ。え、どうしたん
[01:03:22.119] ?マジで死んだんか?おう
[01:03:26.480] 。れんか。ボルカの殿は本当に何と言って
[01:03:29.440] いいのか?ボルカのドにはまさに海の男と
[01:03:32.359] 呼ぶのにふさわしい男だった。お前は誇に
[01:03:34.880] するといい。ボルカの殿の息子であること
[01:03:36.760] を。そして忘れるな。父、お前の父の
[01:03:39.200] 行きざをわしにいるのはそれだけだ。え、
[01:03:42.160] 本当に死んだの
[01:03:44.200] ねえ。やっぱりこの状況たごじゃないわよ
[01:03:48.279] ね。あ、死んだらしいじゃん。うん。
[01:03:53.160] そうよね。だからここは1
[01:03:55.760] つ初心に帰ってみるのがいいんじゃないかと思のとこに行くのか。
[01:04:01.000] 私たちのこの旅はつだって同じ場所が出発地点だったと思わない。ほらにあるあの石板をはめてる神殿よ。
[01:04:14.200] まあね、自分のリアルのお父さんが死んでも全然なんか泣けなかったしのお父さんが死なれてもな。俺お父さんってもう知らねえんだ。
[01:04:26.160] 俺ちっちゃい頃からお父ちゃんいねえからよ。お父さんても知らねえんだ
[01:04:31.480] か。あ、あは。重い。気まず。
[01:04:36.920] もしかしたらあそこに行けば世界に何が起こって?
[01:04:40.680] 俺今不安だもん。だって俺不安。今不安。あのボルカノ死んだからさ。あの実はボルカノがあの俺のお父さんみたいにさ、あの生ポ不正給しててお前払えつって言ってくんじゃねえかなと思って。不安だわ。
[01:04:53.319] そっちのが不安な。またまたさ、大阪のさ、市役所まで行ってさ、あれだよ。相続放棄しねえとよけれねんじゃねえかなと思って不安になってきた。
[01:05:05.440] どう?ちょっと行ってみない?
[01:05:07.200] 笑えよ。またあの思いを茶まげにさせるな。
[01:05:15.319] 急に来るからな、手紙が。
[01:05:18.440] 見覚えのない市役所から急に手紙が来て
[01:05:24.079] ま、ボルカノさんそんなことないすよね。
[01:05:25.799] さすがに生ポ不正受給とかしてないよね。
[01:05:29.559] さすがにな。あれ、ここじゃない。どこ
[01:05:31.200] だっけ?
[01:05:35.039] この辺の戦った方がいいかな。
[01:05:38.799] ねえ、来ました。
[01:05:50.559] あ、あ、
[01:05:52.000] 何?
[01:05:53.720] ああ、
[01:05:54.480] な、あ、ああ、ああ。
[01:05:57.200] うん。
[01:05:59.279] 何?
[01:06:02.520] レ、そこにいるのは連でござるかな?何ですか?
[01:06:08.039] おお。
[01:06:08.920] アジな青戦士の力を使いこの像に神話をついでおいて正解でござった。
[01:06:16.119] 青戦士の力
[01:06:17.440] わしでござる。メルビンでござる。
[01:06:19.799] わしじゃよ。
[01:06:21.119] そなたに伝えたいことがあるでござるよ。
[01:06:25.640] あ、メルビンさん無事だったのね。
[01:06:28.520] 3
[01:06:28.720] 付けなんだ。マリベルってメルビンのこと。
[01:06:31.000] メルビン
[01:06:31.920] ケフかね。
[01:06:32.400] そっちの方は今どうなってるの?
[01:06:34.319] おい、夢希望。
[01:06:37.599] どこから行って、どこから来て、どこへ行くのか。
[01:06:41.960] そなたたちが神の城を去った後、大変なことが起こったでござる。なんと神はいくつかの血を邪悪なものとしてこの世界より決殺よ。
[01:06:54.319] またもうやめてよ。もうスタもその中にれてござった。
[01:06:59.119] なるほどね。
[01:07:00.079] わしは神にお伺いを立てたが、その席で反逆者のお名を着せられてしまった。
[01:07:06.920] 今度はグランエスタードも封印されちゃったってこと?
[01:07:09.920] 今は遠い。コスタールの地に身を隠しているので。
[01:07:14.400] コスタールってどこだっけ?コスタールってどこだっけな?
[01:07:16.520] なるほどね。
[01:07:18.839] それで私たちにできることはあるのかしら?
[01:07:22.880] わしも今回のこと納得がいかないでござるから色々と調べてみた。
[01:07:29.440] するとこの世には精霊と呼ばれる神に近い存在がいるという話を聞いたです。
[01:07:36.160] か直出てきてるよな。
[01:07:37.920] その精霊ならば神の真意が分かるのではないかと思うでござい。
[01:07:43.279] わ、こっからもしかして精霊集めって感じかな。ああ、ドラクエはすぐ集めるんですよ。
[01:07:49.599] なるほど。じゃあその精霊を探すてわけ。
[01:07:54.200] なるほどねえ。第一地の精霊、水の精霊みたいな。いや、笑どうだろう。
[01:07:58.720] 精霊は血水火での
[01:08:02.920] 4元あるらしいのでつ
[01:08:06.000] それにゆかりのある血を飲んでなくない?
[01:08:10.440] わしの感が正しければ精霊のわしと謎の神殿は何か関係があるはずでござる。
[01:08:18.960] 第
[01:08:20.319] それがねメルビン
[01:08:21.880] ね、声大き
[01:08:22.560] 謎の神殿の扉が閉まっていて中に入ることができないのよ。
[01:08:27.239] 被害者ネ。被害者ネ好きね。声大きいよ。
[01:08:33.080] 笑笑。
[01:08:33.640] もしその扉が闇の力で閉ざ。
[01:08:36.400] あいつ一番かわいそうだろ。
[01:08:38.520] あいつ一番かいそうだっけられる闇光
[01:08:41.960] 多いな。
[01:08:43.560] 物は試しでござる。行きますぞ。
[01:08:50.040] 何?何?意外と簡単に開いたな。
[01:08:56.839] その直後にしょっぱっピーをおっぱじめから救いようだ。やるじゃない。
[01:09:03.159] なんと開いたでござるか。では今その地を閉ざしているのは闇の
[01:09:11.640] ということでござるな。わしにはますます神のお考えが分からなくなってきた。
[01:09:18.199] 絶対偽物なんやってある。
[01:09:20.520] うん。人が来たこな。また声をかけます故え。
[01:09:25.359] 今はこれに負けまんけ
[01:09:33.719] まんまげって
[01:09:35.080] ガモ
[01:09:37.640] よし行こうか。てか俺結構さ場あまだあれだん
[01:09:42.600] 引くのやめなね
[01:09:43.920] んな。何これ?こっちはえなんだ?え、嘘やん。
[01:09:55.679] え、これまさかまだいっぱい?まさかまだいっぱいある?あ、いや、そんなことないか。ん?あ、お前いるやん。
[01:10:08.120] ああ
[01:10:09.000] よ。この島が封印されたせいで石板が力を失ってしまったぞ。これじゃおいら仕事できないかなり困ったぞ。こういう時に頼りにないの
[01:10:15.480] 4
[01:10:15.600] 人の精霊たちだけなんだけど、ここと精霊たちのいる体陸をつなげてる旅の扉も力を失ってしまったようだ。こんなことできるやつ俺は
[01:10:22.600] 1
[01:10:22.719] 人しか知らない。これは大変なことだったぞ。
[01:10:24.560] え
[01:10:26.000] え、これ行けないってこと?あ、行けないってこと?行けないってことな。ええ、ここはあ、行ける。あ、
[01:10:47.000] ここの旅の扉まで使えなくなってるなんて。
[01:10:50.080] 使ったことなかったけどね。どこに行くわとあったんだろう。
[01:10:53.840] どうやら私たちこの島に閉じ込められてしまったみたい。
[01:10:58.000] 逆にな、今度俺たちがな。
[01:11:03.480] アジのメルビンでござる。
[01:11:06.080] こいつ連絡豆すぎる。俺連絡豆なやつあんま好きくなえないねんな。あ、そんなことないよ。そんなことないけど。
[01:11:17.120] もしやと思うがそちらの島から他の地へ行くことができぬのではあるまいか。
[01:11:24.040] ほれ草しっかりしてて。
[01:11:29.560] 島の神殿にあった4
[01:11:31.199] つの旅の扉はおそらく精霊の元へと繋がるものでござるのだろう。
[01:11:39.639] 入り口の炎が消えているのは何か関係があるのか?
[01:11:43.080] てなくてまれるのだるいうね。いや、まあまあまあまあまあそうだな。そうそうなんね。
[01:11:57.400] うん。
[01:11:57.639] ね。
[01:11:58.280] 聞けばその炎はかつて援護からもたらされた聖なる炎だということでござる。
[01:12:06.120] おそらくはその炎が消えたせいで旅の扉の力もなくなってしまったのでござる
[01:12:13.480] ね。あの僕らがダメなんだよ、これ。あの俺と蜂が大だけあの連絡はすぐ返しなきゃダメなんですよ。でもね。でも
[01:12:23.480] 笑笑でもなんかなかなかな。
[01:12:26.960] そこでわしの出番でござる。
[01:12:29.840] 生々しい。
[01:12:30.679] なんとこのゴスタールには
[01:12:33.080] だから友達少ないんだ。
[01:12:34.320] あるらしいのでござるよ。
[01:12:36.639] だから友達が少ないんですよ。
[01:12:39.320] それを手に入れられの力でそちらへことができると思うね。
[01:12:46.719] 来た。
[01:12:47.159] やめろ。その攻撃は俺にも聞く。
[01:12:49.360] 来たって分かっててもなんかこうまあ今じゃないなっていう。
[01:12:54.880] どうでござるかアジわしに任せてくれぬでござるか。
[01:13:00.040] 任せて任せた任せた。
[01:13:02.960] 一旦一旦一旦やっこちらに送るで。一旦一旦
[01:13:11.400] ちなみに俺は俺はえっとね、じんちゃんからの
[01:13:22.080] LINEを今も今も無視してるな。
[01:13:24.960] 2日間ぐらい。
[01:13:29.520] 2日間ぐらい返してます。
[01:13:32.719] では急ぎます。これにてごめん。
[01:13:37.080] 頑張れ。
[01:13:39.560] メルビン頼んだわよ。
[01:13:41.280] お前さっきメルビンさんって言ってたやん。
[01:13:43.159] 気をつけてね、メルビン。
[01:13:47.239] ビンビンベル
[01:13:51.639] だから無視してももう1
[01:13:53.080] 回連絡くれるやつ。
[01:13:54.400] いやあ、それそうなんだよね。
[01:13:58.760] 俺がじんちゃんと仲いいのはこういうことしてもじんちゃんはめげないから。
[01:14:02.199] あの
[01:14:04.080] 戦士様先ほどからそちらでじっとされていますか?どっか具合でも悪いんですか?なことないと。
[01:14:09.000] いつもありがとな。
[01:14:10.040] いつもありがとうな。本当にこんなクズみたいな俺と仲良くしてくれてやんの心配にはいませんぞ。形のござる。え、シさ、今までかまってくださったおかげでやるべきことが分かり申した。わしは再び旅に出ます。この音はいつかお返しします。
[01:14:25.920] それまでどうかご何これなんてこうどうかなんてこれ最え即裁無病即裁そうですか戦士様のお役目が無事に終わるようここにここで祈っております気をつけて
[01:14:40.159] 読めたね
[01:14:41.679] 読めて偉い
[01:14:42.600] 読めてあ読めたね大卒大卒走り方やばくない
[01:14:50.560] 漢字が読めたね
[01:14:51.880] 漢字が読めた漢字が読めたねだ
[01:14:56.480] おや、おじいさん、その格好、その好き。その、もしかして武器を持ってるんだ。持ってません。いやいや、その格好ではこの格好は神の兵の真似っこでござるよ。ほれほれ。かっこいいでござる。武器持っちゃいけないんや。バチクソ持ってますやん。いや、この格好でうろついたらそれお前さすがに無理ある。
[01:15:16.080] アドリブだ。握りしめ。
[01:15:18.800] 握りしめてますやん。さすがにバレるて。
[01:15:25.159] え、大昔になった最強の海賊マールデドラゴンは、え、魔王の呪いで効率付けにされたらしい。そうして未だに氷付けのままどっかの海を彷徨っているという噂だ。へえ、そうなんだ
[01:15:40.719] ねえ。
[01:15:41.719] 神の最強の老戦士が迫罪で指名されてのはおじさんもご存知ですよね。高学話なんですけどね。その老戦士ってのが今この国にいるって噂なんですよ。
[01:15:50.320] そいつを神様に聞き立せば賞金がたまりもらえるらしいんで。見かけたら教えてくださいね。ゲへへ。アホやな。この人
[01:15:58.120] 僕はコスタール。世界中からえ旅人たちが訪で見直待ちだ。コスタールってどういうとこでしたっけ?
[01:16:05.400] 月曜からチまゲームありがとうございます。
[01:16:08.159] 月曜からチゲームです。どうこんばんは。と何になるんだろうな。マルデドラゴン
[01:16:12.480] ライクアドラゴンじゃないの?あ、それあれか。それあれか。龍雅ごとのあれか。英語名か。
