[00:00:05.879] ちゃまぷんちゃめちゃまんちゃめちゃまんちゃ
[00:55:47.559] やかましいわ。笑笑
[00:55:50.119] 何がよ。何がやかましいねん。
[00:55:53.319] それは
[00:55:55.839] 何がやかましいいねん。おい。これ全部こうやって踏んでいかないと。おお、これは
[00:56:12.839] 当たり外れとかじゃないねん。これ当たり外れとかじゃないねんな、これ。
[00:56:23.240] うわーお。
[00:56:31.039] あと何個あんねん、これ。嘘でしょ?
[00:56:34.799] そんなめんどくさいめんどくさい
[00:56:37.119] なあ。
[00:56:39.079] 分かんない。わかんない。まだまだわかん
[00:56:40.480] ないからな。でも仮説
[00:56:43.920] やべ、クッキーがもう
[00:56:46.400] やべやっぱ不思議なボレ取り行くしかねえかな。
[00:56:51.760] でもさ、あれだよな。ここのこのダンジョンを抜けるということはこのダンジョンを抜けるっていうことはまた
[00:57:01.319] 1からやり直しってことでしょ。
[00:57:03.720] ええ、
[00:57:04.760] てかやべえ死ぬんだけど。
[00:57:10.039] 任せて。
[00:57:11.680] いや、もうベホマラーじゃもう
[00:57:13.480] ベホマラー
[00:57:14.559] ベホマラーじゃちょっともう無理やで。
[00:57:18.160] うは
[00:57:24.160] ベホマラ
[00:57:25.799] いやベホマラーだちょっと
[00:57:27.280] 最初何たかわからないからベホマラ
[00:57:32.240] え
[00:57:34.319] やだ抜けないとさの地獄ら
[00:57:41.079] そうやん本当に
[00:57:45.559] ちょっとレベル下のここで修の可
[00:57:48.760] いやあ、これは
[00:57:54.440] ちょっとクッキー頼りすぎるんだよね。クッキーを頼りにしすぎてるのは味ある。クッキーの
[00:58:07.119] MP
[00:58:07.520] がなくなったらじゃあ終わりってことだよ。いや、そりゃいなあ。
[00:58:15.960] せめてさ、ベホマズンをなんか覚えて欲しいな。クッキーしかマズン覚えてないからさ。
[00:58:28.160] いやあ、きついって。これ今回のサムルは最強だからね。
[00:58:37.000] やあ、こら。
[00:58:48.079] いやあ、どうしよっかな。
[00:58:58.480] いや、もうちょっと生きった。
[00:59:01.200] ちょっと頼むって。大丈夫?
[00:59:10.039] え、復活の杖ってさ。いや、これ経験値うまいんだけどな。
[00:59:21.799] サまるけど結局ベホマシ
[00:59:25.760] そうなのよ。そうなんだよね。
[00:59:34.359] いやあ、ちょっと待て。どうすっかね。
[00:59:39.960] ザオラルじゃなかったっけ?
[00:59:42.280] ザオラルだよね。あ、これ使おう。や、これはこれきついね。
[01:00:03.079] 大丈夫?
[01:00:06.000] やばいな。
[01:00:09.880] い、ちょっと待ってよ。ちょっと待ってくださいって。
[01:00:32.119] ん、賢者の石じゃない。復活の杖で。
[01:00:41.359] いや、ギガでいいんじゃダメなんですよね
[01:00:43.359] 。
[01:00:50.480] ちょっと待ってこれどうしよう。ここ
[01:00:52.520] すげえむずいやん。うわ、ギスラた足ん
[01:00:54.960] ねんかい。いや、EMP1足た足んねんか
[01:00:57.760] い。
[01:01:17.480] もろよし
[01:01:20.920] 心配させたのね。
[01:01:23.280] いや、やばいっすね。どうしよう、マジで。
[01:01:34.240] ああ、ハスるダンスだろうな。あ、違う違う。分かった。応援応援応援の応援からの絆。
[01:01:45.319] 見ててよ。
[01:01:46.079] いや、遅い。逆
[01:01:48.400] 頑張れそう。
[01:01:51.200] ベホマラあったらな。
[01:01:58.279] いや、本当それでもさ、ベホマラー覚えてるってことはさ、そのうち覚えるでしょ、多分。多分覚えんじゃねえかな。いや、これさ、プリンがさ、マズン覚えるまでレベル上げするっていう手もあります。正味
[01:02:18.640] 逃がさないよ。
[01:02:22.559] 終わった。
[01:02:27.760] 巻き物なのかな?こことても次の戦闘が耐えられなさそうだね。
[01:02:32.839] いや、マラー覚えてるってことはさ。うわ、しかも待って。俺ここ通ったね。俺ここ通ったっけ?
[01:02:44.983] [笑い]
[01:02:46.920] ボコボコにしちまう。おぼ、覚えてねえっ
[01:02:50.200] て。これ取った俺。ここ。
[01:03:01.520] うね。これさ、マジで俺の
[01:03:06.760] 俺の仮説はあってる。さすが無限ですな。
[01:03:11.200] 俺の俺の仮説はもしか合ってます。全部の
[01:03:18.640] 全部のあれを通らなきゃいけないという
[01:03:23.279] りゃ
[01:03:28.279] 言ったら面白くないじゃん。
[01:03:33.599] まあまあじゃあ試してみるしか試してみるしかねえな。ま、おそらくそうなんだろうな。
[01:03:40.659] [笑い]
[01:03:41.000] おそらくそうなんだろうな。え、
[01:03:47.440] じゃあさ、もうこれあれじゃん。戻ってさ、やり直すにしてもさ、道知ってるからどうこうとかじゃないよね。道さっきと一緒だからじゃないんだよ。全部通らなきゃいけないから変わらないんすわ。
[01:04:02.319] うわあ、これはこれはめんどくさいと同時にマジで配信に向いてないね。
[01:04:14.039] マジで配信に向いてないわ、このコンテンツだって画面何も変わんないもん。
[01:04:19.559] 食らっちゃって。
[01:04:21.920] これは配信者な風ですな。
[01:04:25.079] そこせろ。
[01:04:29.079] ちょっとこれ配信者泣かせすぎるよ。絵面が一緒ずっと。おいおいおい。
[01:04:42.520] 苦しんでるところたくさん見れて楽しい。
[01:04:45.504] [笑い]
[01:04:45.960] ちょっとで言うことかそれ。おい、クリスさん、どうもこんばんは。お、でもほら、あれ、あれ?
[01:04:54.279] 笑笑。
[01:04:54.960] あれ、全部行ってなくね?あれ?おや、わかんなくなってきたよ。これ全部行ってないよね。
[01:05:08.039] パチパチパチパチパチパチ。笑笑。
[01:05:12.039] やっぱりあれかな?あれがあんのかな?当たり外れなんだ。よかった。心配して損したよ。
[01:05:13.670] [音楽]
[01:05:20.680] 裕ごめん。裕ごめん。
[01:05:25.680] そうだよ。裕ジがそんなひどいことしないもんな。
[01:05:29.680] ビビった。なるほどな。やっぱ当たり外れだ。よかった。マジでとんでもない、とんでもないコンテンツに手出してしまったのかと思った。
[01:05:46.559] 気がイン
[01:05:49.279] まそれでもめっちゃめんどくさいんだろうな。
[01:05:56.440] マルモスビル強いって。
[01:06:02.359] ただこれさ、レベルアップがまだ容易に
[01:06:06.279] できてる間に進みたいよね。この回復する
[01:06:09.160] じゃん。これレベルアップするとさ、MP
[01:06:11.520] とかこれがちょくちょくできてる間に進み
[01:06:14.680] たいわ。どんどんレベル上がんなくなって
[01:06:16.440] くるとほんま地獄でしょ、これ。
[01:06:22.839] もうとりあえずもう全部行く。いや、これさ、俺配信、このゲーム配信した時にさ、
[01:06:38.760] でかい声出してみる。
[01:06:41.599] あ、嘘。でかい声で行ける。でかい声行けます。ここ大声オッケー。ここ大声オッケー。
[01:06:52.039] 大丈夫?甘いわね。
[01:06:57.720] あ、大声がもし呼べるんであれば
[01:07:01.480] ありだね。
[01:07:02.160] さんマせ
[01:07:04.520] 宿やあり。こんなとこまで来てくれんの?いやあ、敵強え。
[01:07:17.880] よし。
[01:07:22.599] オ、
[01:07:24.640] 1
[01:07:24.760] 回呼んでみよっか。いや、上がるな。レベルでもさ、やっぱ裏ボス見てえじゃん。裏ボス見てえじゃん。行けんのな。行けないやんけ。地獄やんけじゃあ。
[01:07:44.200] 笑笑。
[01:07:47.279] ただ大声出しただけだつって。
[01:07:49.561] [笑い]ただ洞窟で大声出しただけじゃ
[01:07:51.760] ねえか。
[01:07:55.160] しかし何も起きなかったっていう
[01:08:01.559] 電車中にいる人やん。たまに
[01:08:04.960] 無敵の人になっちゃいました。いつもの
[01:08:07.901] [笑い]
[01:08:08.640] 無敵の人
[01:08:10.839] 俺良かったよ。配信コンテンツにああじゃ
[01:08:14.079] なかったら俺電車の中ででかい声出しとく
[01:08:16.199] よ。多分ああいう人になんと思うわ。笑笑
[01:08:26.839] なんちゃら大学頭悪くないか。
[01:08:30.520] 本当だからだ。言ってたかもしんない俺が逆だったかもしれねえ。逆だったかもしれねえ。
[01:08:38.520] 笑笑宿屋さん。宿屋さん。宿屋さん。
[01:08:43.927] [笑い]
[01:08:47.480] いや、宿屋さんって呼んでないから。あれだってランダムだからね。
[01:08:51.480] どれって言ってるだけでしょ。多分
[01:08:58.440] いや、良かったよ。配信があって
[01:09:03.759] 今頃
[01:09:05.960] 今頃な、
[01:09:07.560] Xでバズってたかもしんないな。
[01:09:09.472] [笑い]
[01:09:14.713] [音楽]
[01:09:17.520] まあ、これはここでしょ、さすがに。ああ
[01:09:20.440] 。あ、でもよかった。あ、なんかちょっと
[01:09:24.120] ずつ簡単なルートになってきたね。なんか
[01:09:26.199] さっきみたいに穴ぽコいっぱいあるとかさ
[01:09:28.159] 、そんな無理よ。
[01:09:31.000] やばい。クッキー。MPがもうね。
[01:09:37.400] やっぱ不思議なボレロ取ってくるべきかな
[01:09:39.520] 。
[01:09:41.080] 取ってくるってもうないわ。
[01:09:42.960] もうここまで来ちゃったからな。せい。
[01:10:00.239] ああ。
[01:10:01.800] いや、メタルハンド
[01:10:04.239] 死に戻りするしかない。
[01:10:05.760] 包丁3本持って野菜を[音楽]
[01:10:08.280] 2色の男がつまったみたいだね。よし。
[01:10:11.159] 最近ニたニュースで包丁
[01:10:13.400] 3
[01:10:13.600] 本持っても野菜をもらいに行った。何どういうこと?野菜をもらいに行くってどこに?怖いよな。でもそういうやついるんだよな。
[01:10:29.600] なんか栃木県でもさ、なんかあの
[01:10:34.239] お山市っていうとこがあるんだけど、俺
[01:10:35.719] 住んでるとことかちょっと遠いんだけど式
[01:10:38.840] で正月明けから強盗強盗
[01:10:43.760] が5件ぐらい起きてるらしくてまだ
[01:10:46.239] 捕まってないんだっけ?やばくないバカ
[01:10:49.520] 怖いんだけど
[01:10:53.520] であの住んでる人と待ち合わせしちゃって
[01:10:57.280] 家
[01:10:58.760] で、あの住んでる人の頭をなんかドンキーみたいので殴って逃げたみたい。やばくない?怖すぎるんだけど。
[01:11:13.239] 強盗とかさ、最悪入られるたとしてさした方が
[01:11:22.360] おいおいおいおい。ふざけんなよ。ふざけんな。
[01:11:26.760] 最悪入られたとしてもち合わせだけはしたくないよな。ち合わせんのだけは勘弁してほしいわ。
[01:11:35.199] 顔てるのに捕まってないのか。
[01:11:37.639] そうま、割れてんだか割れてないんだかよわかんないけど。ちょさ、マこれさ、
[01:11:46.080] 怖すぎだよ、マジで。
[01:11:57.400] えー、魔力の風やんないと。そう、これ防御すると
[01:12:01.760] MPが回復するっていうのを、
[01:12:04.639] あ、ごめん、ちょっとここさ、ごめん。これさ、
[01:12:08.480] 1回1回さ、申し訳ないんだけどさ、
[01:12:12.199] ごめん。一旦ここでさ、MPをさ、
[01:12:15.360] MP
[01:12:15.679] を稼いでいいか?みんなここで防御して。
[01:12:20.400] ここで防御しまくって
[01:12:22.360] MPを回復させていいか?ハーコスい
[01:12:29.360] だ。そうでもしないと無理やて。これ
[01:12:32.560] オッケー。
[01:12:35.800] で、これ仲間をたくさん呼んでもらって、で、あとギガスラッシュで全部ぶっ倒せばいいから。俺前回の行動をさ、記憶しておきたい。
[01:12:51.520] 笑。
[01:12:52.760] いいしょ。めっちゃめっちゃいいしょ。仲間呼んでください。たくさん
[01:12:56.880] 失敗したわ。
[01:12:58.280] たくさんマ呼んでくださいね。
[01:13:08.320] ああ、いい[笑い]
[01:13:10.159] 。めっちゃいいじゃん。めっちゃいい
[01:13:11.719] じゃん。めっちゃいいよ。
[01:13:17.080] いい、いい、いい、いい。よし、よし、
[01:13:18.400] よし、よし、よし。もうこれでやってく
[01:13:20.280] しかねえわ。今日時間かかるな。
[01:13:25.880] 今日クリーないぞ、多分。
[01:13:34.719] 声出して。よし
[01:13:36.440] よしよしよしよし。
[01:13:37.560] こうなるんだから声使わせ。[音楽]
[01:13:39.760] そうなんだよ。変わんないよな。結局こうなるんだから。いいね、いいね、いいね、いいね、いいね。よし、よし、よし、よし、よし。もうちょっと俺はじゃあもう渾心切りとかやりながら切りが良かったけどね。
[01:13:59.159] まあね、1月最終日確かに切り良かったね
[01:14:02.719] 。こ、今日でもしね、終わってればまあで
[01:14:06.440] もしゃあねえよな。
[01:14:09.320] いや、なんかさ、
[01:14:12.280] DBさんだっけ?このゲーム70時間
[01:14:14.960] かかったよ。クリアすんのにって言ってた
[01:14:16.520] じゃん。で、俺さ、ストーリークリアした
[01:14:18.440] 時点で40時間なのね。そんなかかんねえ
[01:14:21.600] だろって思ったけど、まさかまさか
[01:14:25.186] [笑い]
[01:14:26.199] あのまさかなんですけど
[01:14:29.440] 怖いこと言わないでね本当に
[01:14:41.920] たせいこら
[01:14:45.199] 30時間も遊べるのやばい俺はマーカー
[01:14:49.000] なしのだっ
[01:14:50.120] ああ、そうか。マーカーなし原だとそうなるんだ。マーカーなし原終わりじゃん。終わりだろ。なんでそんな辛いことするの?耐久配信すればいいよ。な
[01:14:59.880] んでそんな辛いことすんの?クリア耐久配信しない。もう耐久とかしないの?
[01:15:08.679] 心配したわ。オ、
[01:15:13.520] ま、耐久配信は、ま、いずれするかもしんないけど、おい、それとはしないわ。
[01:15:20.800] 前なんかもう
[01:15:22.440] 土日なんかさ、ほぼほぼなんか耐久みたいな感じになってたからな。ま、なんか、ま、誕生日とかになんかクリア耐久とかはありかな。
[01:15:48.440] ま、あんまりでもさ、ぶっちゃさ、あんまその耐久配信ってみんなからしたらどう、見る側としてはどうな
[01:15:57.800] 嬉しいもんな。そのわかんないんだけど、その視聴者側の意見、耐久配信ってさ、嬉しい。
[01:15:59.507] [笑い]
[01:16:11.560] やっちゃえ。
[01:16:19.920] より特別感あってない。
[01:16:21.520] あ、ま、そういうことだよ。特別感は確かにあるね。特別感は確かにあると思う。
[01:16:26.639] 気使う。[笑い]
[01:16:30.040] 気い使うどういうどういうことに気使うの?寝るんだった。
[01:16:34.520] いつもやってて嬉しい気持ちあり。まあね。寝るんだったら配信切ってなるほどな。ああ、確かに。確かにそれはそうかも。
[01:16:44.040] ちゃんと休めて思う。頑張ってるのに俺跳ねていいのかとかな。確
[01:16:49.440] それは別にいいだろ。それは別にいいだろ。まだ耐久つったらさね、某のなんとかチャンネルさんね、無理しない程度見てたいのね。
[01:17:10.960] Hチャンネルじゃなくて、I
[01:17:12.239] チャンネルじゃなくて、
[01:17:14.480] L
[01:17:14.639] チャンネルじゃなくて、なんとかチャンネルね。
[01:17:19.600] ああ、あの人の、あの、
[01:17:23.080] うん。109
[01:17:24.040] 時間出ないとかあら人間じゃないからでもあれはない。
[01:17:30.040] 本当に耐久配信だと思う。
[01:17:35.880] 109時間寝ないって
[01:17:39.719] 本当に危ないから。
[01:17:43.840] あ、だからああいうことができるんだっ
[01:17:45.639] たらすごいけど。そ、結局俺の耐久配信
[01:17:47.880] って寝るからさ。だって眠いもん。
[01:17:54.440] う、なんでんでお。おい。[笑い]
[01:18:00.320] ええ、そんなのいいのかよ。
[01:18:04.800] ええ、まずうえ
[01:18:17.000] インパスしよ。
[01:18:21.719] これは特技パクパクの極意が記された巻き物だ。なんで俺が覚えれんねん。いや、俺もおっぱい確かにあるけど。はあ。
[01:18:27.539] [笑い]
[01:18:32.520] 笑笑。プリン
[01:18:34.080] おい、ドラクエになんか馬鹿にされたんだけど。俺がデブだから。
[01:18:39.000] 俺がデブだからおっぱいあるからってさ。
[01:18:41.360] 全一択。
[01:18:43.880] うわ、机に馬鹿にされた。
[01:18:46.880] 笑笑。
[01:18:48.840] 俺がデブだからって
[01:18:53.739] [笑い]
[01:18:54.480] 夢しかない。訴訟だ。
[01:18:57.360] 訴訟だろ、これ。まあでもさすがにプリンプリンちゃんのパフパフが見たいです。
[01:19:06.120] パフパフってあやって書くんだ。パフパフってああやって書くんだ。ドラクエの文字で
[01:19:08.149] [笑い]
[01:19:11.639] 誰に使うんだい?
[01:19:12.920] いやいやいやいやいやいやいや。まず俺で使ってみてくんねえか。
[01:19:17.974] [笑い]
[01:19:19.400] なんでだよ。セカラじゃねえだろ。パクパフだよ。パクパフ。
[01:19:31.760] してくれ。
[01:19:34.120] いやいや、そんな巻き物いいんですか?
[01:19:38.719] マカロンが、マカロンが覚えないことが一番問題だと思うけどね、俺は。
[01:19:45.000] あ、でも、あ、でもマカロンまだそれだめだよ。
[01:19:48.320] だめだよ。マカロンはダめだよ。だってまだお前ジポになっちゃう。お前ジポになっちゃうよ、それ。
[01:19:54.000] [笑い]
[01:19:56.880] Twitch1
[01:19:57.360] 番厳しいんだから。マカロンがパフパフしたらお前ジぽだ。
[01:20:02.400] バニーにしてパフパフさせよう。だめだよ。ま、プリンもまだ全然子供だけど。た、それパクパク見たいかも。パクパク見してくれ。しょうがない。ちょっとやってみるか。やってみるか。
[01:20:25.920] 特技って特技って積極的だな。自分で言うねんで。私パグ
[01:20:27.405] [笑い]
[01:20:37.840] パフパフ
[01:20:39.000] 得意なんだよな。
[01:20:41.280] 得意な技
[01:20:42.440] 得意なんだって。
[01:20:44.120] エッジギガデインが最らっちゃって。
[01:20:51.640] [笑い]
[01:20:57.600] MP0
[01:20:58.400] なん?ああ、気持ちが良さそうだってさ。はあ。ふざけんなよ。
[01:21:04.740] [笑い]
[01:21:14.320] 変わる。今丸が
[01:21:16.360] 2つあったぞ。
[01:21:18.120] 今丸が2つあった。
[01:21:20.440] 逃がさない。
[01:21:21.560] もうあかんやん。それ渋さやん。それはパフパフで丸が
[01:21:28.040] 2
[01:21:28.199] 個出たらそれはもうちぶさやん。渋さのメタファーやん。それはあかんで。
[01:21:38.600] 夜が左右から挟んで。
[01:21:39.960] いや、それはもうペ釣りのメタファーやん。あかん。それは俺の俺がお前
[01:21:51.560] リファンタジオになっちゃうから行け。
[01:21:54.760] チャマのチマがリファンタジオになっちゃうでしょ。せい。
[01:22:01.760] 男だったら確かに男だったら
[01:22:04.480] 俺がもし覚えていたら曲がりファンタジオン
[01:22:09.480] こリコリやん。
[01:22:10.400] もう[笑い]
[01:22:12.440] 配信中理ファンタジオペおまペやめておまペ中リファンタジオリファンタジオリファンタジオしたことないよ。
[01:22:20.067] [笑い]
[01:22:27.159] うわ、ちょっと待て。これ大丈夫か?あ、お前やれ。やったれ、やったれ、やってれ。やったったらええねん。やったったらええねん。
[01:22:39.159] よし、引っかかった。
[01:22:40.760] やれやれやれ。
[01:22:47.719] 行け。
[01:22:52.920] 強いないよ。
[01:22:56.719] 助かった。
[01:22:57.800] よし。
[01:22:58.520] やったれ。やっ、やってる。なんでだよ。んで聞かねえんだよ。さすがにこれ全員命令するわ。お、こんばんは。
[01:23:24.719] こんばんは。最終回うまあ最終回まだありそう。
[01:23:29.239] 11までありそう。
[01:23:32.199] 声出してこう。
[01:23:33.520] 僕のプリンちゃんが
[01:23:35.199] 心配したわ。
[01:23:37.159] パフパフを覚えました。
[01:23:38.520] せい。
[01:23:42.000] うわ、ついよ。こいつ
[01:23:45.600] 連続。この前途切れちゃったな。
[01:23:49.679] まあまあまあまあ別にな。
[01:23:51.679] 連続視長、連続視聴があったからと言ってよ。
[01:24:01.960] もうあかん、これは。ええ、やっていいこととやっちゃダめなことがあります。やっていいことでやっちゃダメなことがあると思います。
[01:24:14.520] お前瞑想使うん?
[01:24:23.639] いやあ。
[01:24:34.840] せい。おーい。ふざけるんじゃないよ。
[01:24:39.040] 逃げられない。終わったわ。
[01:24:44.440] おたわキ。
[01:24:48.119] いや、そんなんダめだよ。そんなことしちゃ迷惑かけたね。
[01:25:04.560] 元気。
[01:25:20.239] ここからは任せて。
[01:25:22.800] ナイスナイスナイスナイスナイスナイス。
[01:25:25.520] まだ参える。まだ参える。
[01:25:35.280] 難しい。うわ、もう瞑想
[01:25:58.560] の人
[01:26:01.000] 。ここで
[01:26:02.880] パフ入んなのよ、こいつ。
[01:26:11.280] いやあ、
[01:26:19.119] 無物だもんな。やぱこいつ普通に超強えボス的だと思わないとだめだ。頼むよ。危ない。
[01:26:23.729] [音楽]
[01:26:38.520] 声出してこう。
[01:26:41.280] ちゃんとデバ巻いてかなきゃだめだ、これ。
[01:26:44.960] ごめん。ありがとう。
[01:26:54.960] えっと、ちょ待ってよ。あーっとね。
[01:27:17.600] やめてよ。やめてよ。やめてよ。よし。
[01:27:20.239] 危ねえ。
[01:27:27.560] よしよしよし。おいしょ。まだ死らない。
[01:27:31.719] まだ死なないか。
[01:27:43.640] [音楽]うん。
[01:27:56.000] やめてやめてやめてやめて。危ねえ。
[01:28:04.600] せい。ああ、こいつ。強すぎるって。
[01:28:11.840] よしよ。
[01:28:18.480] 疲れた。まーブレさにゃった。まーブレさにゃった。あ、これはレフィさんありがとう。
[01:28:24.440] ボスだよね。
[01:28:25.360] いや、これほんまボスだよ。なんならボスより強いよ。
[01:28:27.526] [笑い]
[01:28:31.080] なんならボスより全然強かったっす。
[01:28:34.960] うわ、またMP回復させなきゃじゃねえか
[01:28:36.960] よ。
[01:28:41.840] わ、なんか来たよ。
[01:28:45.119] なんか来たよ。
[01:28:56.159] きさんやってない。
[01:29:00.119] あ、あ、違う。えっとね、
[01:29:10.880] 次こと305
[01:29:13.199] オ
[01:29:13.840] そこでしょ。な
[01:29:14.560] んだその可愛い犬。
[01:29:20.360] ケ散らす。
[01:29:22.520] いよ。
[01:29:27.639] 燃えなさい。
[01:29:33.800] 強いって。
[01:29:37.760] ここでしょ。
[01:29:42.920] でもさ、ここさ、その割にはぐれメタルとか出ないんだね。
[01:29:47.600] 出てもよくね?ま、そ、同じぐらいもらえるけど。同じぐらいもらえるんだけどさ。
[01:30:08.159] ちょっとこのアイテム拾ってこう。いや、多分奥何もないんだけど。アイテムありそうだからさ。のたのにね。
[01:30:16.199] そう。確かにあっちで一旦レベル上げてのも悪くはない気がする。
[01:30:26.159] お、ベロ、お疲れ。
[01:30:27.760] やってるぜ。このエンドコンテンツバカムジや。
[01:30:33.320] やっぱ出ないんだ。
[01:30:37.840] 敵がいかつすぎる。マジで最終回
[01:30:48.440] 2とかって言ってけど、マジ最終回11
[01:30:50.480] とかまでマジでありそう。
[01:30:54.800] 見切ったわ。
[01:30:56.360] いや、これちょっとやっぱクッキーの
[01:30:58.840] MPがない。よ、
[01:31:04.719] まずいよ。いや、もうちょっと強いって。マジで。マジで。やあ。
[01:31:24.199] まいった。MP
[01:31:26.159] がマジで足りねえ。お前やめて。プリン。
[01:31:49.760] これちょっとしんどいわ。マジで
[01:31:52.920] 行け。
[01:31:58.560] いや、落ちないもん。落ちないんですから。
[01:32:06.960] パッパフしてもらえなかったから飛ばされたんか。
[01:32:11.080] パッパフができ女などいらぬってか。ほんま良くないからそういうの。
[01:32:14.158] [笑い]
[01:32:18.760] 本当に良くないですわ。
[01:32:20.080] 笑笑。
[01:32:21.239] 本当に良くないですわ。良くないですわ。
[01:32:28.800] 心はメラメラよ。
[01:32:31.880] いや、全然死なねえ。[音楽]
[01:32:35.119] おい、おい、おい。まジかよ。ああ、まずいなあ。
[01:32:44.600] ケツでパフパフできるだろ。
[01:32:46.909] [笑い]
[01:32:49.239] いや、もうそれあかん。あかんで。それもそんなこと言っちゃあかん。
[01:32:54.280] 笑笑。
[01:32:59.600] あうした。
[01:33:03.520] これきついよ。
[01:33:07.600] あう。
[01:33:12.199] 3強かったな、こいつ。
[01:33:16.400] これはちょっと
[01:33:19.480] いや、よかった。クッキーガレベルアップ
[01:33:21.239] してマジでよかった。でもこんなんに
[01:33:24.679] プリンは走って戻ってきた。
[01:33:27.360] こんなレベルアップにさ、頼ってたら無理
[01:33:30.080] やでぶっちゃけ。
[01:33:36.199] こっちまで行くのはいいけど、何もなかっ
[01:33:37.520] たら怒るからね。何もなかったら怒るから
[01:33:39.400] ね、俺。
[01:33:51.239] いや、もう、もうこれがないと無理や。ギガデイン
[01:33:56.040] 2連発がないと正直戦えねえ。
[01:33:59.159] 決める。
[01:34:02.159] あ、本ありがとう。
[01:34:09.600] ここでしょ。
[01:34:17.719] 57だぜ。
[01:34:26.280] ああ、ほらなんかあるよ、やっぱり。
[01:34:31.040] う、ま、まあま、種なら、種ならよし。
[01:34:38.119] ま、ここまで来た新しい装備とかは多分
[01:34:40.880] ないだろうな。
[01:34:45.440] 決める。
[01:34:47.719] ナイス。
[01:34:48.560] 決めるわ。いい。こういうの、こういうの
[01:34:54.560] の時は裏ボス70くらいだったっけな。
[01:34:57.080] ああ、そうだね。そうだった。裏ボスん裏ボスって何だっけ?
[01:35:04.239] 11の裏ボスって誰?ん?
[01:35:06.639] 11の裏ボス。ガデイン
[01:35:12.199] 11
[01:35:12.600] の裏ボスって誰だっけ?あ、思い出すね。
[01:35:16.920] え、水セルファ。え、水って裏星なの?あれ?
[01:35:22.080] 甘いわね。水は本物でしょ?あれ?違うんだっけ?
[01:35:28.920] せい。
[01:35:30.159] え、本ボスは誰じゃあ
[01:35:31.920] ここでしょ?も
[01:35:34.560] 俺もうドラクエ11覚えてねえんだけど。
[01:35:37.080] っぽいけど表なのか?
[01:35:38.880] え、わかんない。え、誰だっけ?表、
[01:35:42.280] あ、あいつか。あの名前出てこね。あの、あのフリーザのね、
[01:35:47.560] 一応裏じゃね?
[01:35:48.840] フリーザの第一子形態みたいなやつね。名前な何て言うんだっけ?あいつあの名前が出てこんわ。
[01:36:05.040] 11のほら悪いやつ。
[01:36:07.520] あれだ。
[01:36:08.400] あれ?あれ?
[01:36:08.880] 出てこない。
[01:36:09.560] あれ?出てこないよね。
[01:36:12.800] あいつな。
[01:36:14.040] あいつあいつな?何て言うんだっけ?あいつの名前。
[01:36:20.119] 僕音しか出てこない。
[01:36:22.119] まず僕音俺知らん。あれなんだっけ?全然覚えてないね。
[01:36:33.040] あ、当たる。よし。
[01:36:35.520] パフパフしか出てこない。な
[01:36:38.360] んだっけな。ま、俺そいつがあのばらつポジションで
[01:36:46.520] でゾマポジションがザゼルファかなと思った。
[01:36:52.040] って考えるとドラ11
[01:36:53.480] って裏ボスいないの?待て
[01:37:02.920] 出した。
[01:37:04.080] 何な?なんて言うんだっけ?
[01:37:05.119] う
[01:37:07.440] う。ウルノがうるがね思い出した。うるが。
[01:37:09.567] [笑い]
[01:37:16.159] 笑笑。
[01:37:16.960] ケチ散らす。
[01:37:17.760] もう全然覚えてないよね。
[01:37:26.159] ウルノがこのバラモスポジションでしょ。要は最初はそいつが
[01:37:31.119] 1
[01:37:31.280] 番悪だと思ってたら実はその裏にいましたっていう。そこまでは裏ボスじゃないでしょ。ミドゼルファまでは
[01:37:38.840] 一応ストーリーだしね。あそこは
[01:37:40.400] 逃さない
[01:37:43.040] ゾーンみたいなもんだからな。
[01:37:45.320] だからさ、その裏ボス、ドラクエ
[01:37:47.480] 11
[01:37:47.719] の裏ボスって誰なんだろう?俺戦ったことないかもな。いや、そこまでやってないかもしれない。
[01:37:56.880] 少しだけアドバイス。さっきの階層に戻って上の湖に行った方がいいです。なんか根食のやつ言われてそんな名前ちゃって
[01:38:07.760] 本じのやつ。
[01:38:08.760] 笑。
[01:38:09.560] 行け。
[01:38:10.760] 本じのやつ。
[01:38:14.199] こっちもしかしてあのそのあれかな?泉に上の泉に行ったらあれ回復とか回復とかせ
[01:38:36.840] えなんか金色のやつなんか来た。このガッシュしか出てこないけど。
[01:38:43.800] ち、このガッシュベルっていうのはアニメのタイトル。漫画はこのガッシュだから。これ豆めな。タイトル違うから。バシルいらねえだろ。バシルーラの化け物っている?
[01:38:57.159] 一応アイテムあります。
[01:38:58.719] え、そうなん?じゃあ行く。じゃあ行くわ。
[01:39:04.040] 合がすごい。はやってないかも。
[01:39:07.280] ああ、裏ボスやっぱいるんだ。ああ。
[01:39:10.760] ま、多分なんか
[01:39:12.320] 3
[01:39:12.599] でいう新龍みたいなポジションでしょ。多分なんかクリア後のダンジョンとかだよね。だからやりとやり込み要素の方なんだろうな。多分
[01:39:25.400] 11だと追加されてる。
[01:39:27.679] あ、そうなんだ。え、全然知らない。
[01:39:31.480] 暑いですよ。
[01:39:32.920] 誰がラスボスなの?裏ボスなんだ。誰が裏ボスなの?かわからないけど。
[01:39:40.440] うん。ねえ、ま、どうしよっかな。
[01:39:43.199] 取った方がいいかな。だけしてもらわないかな。
