[00:00:32.680] わこつ
[00:44:48.000] アントベア。アントベア。ありそうだし。
[00:44:52.640] お前の名前は?お前の名前は?あ、あんは僕が家来た。
[00:45:05.559] あ、あん、あん、あん、あ、もう、あん。だめだ。思いつか。思いつ判断が遅い。
[00:45:10.421] [笑い]
[00:45:22.079] あんだ。お前名前はアンがいいます。アンがな。よしよしよし。これでちょっとレベル上げて
[00:45:27.451] [笑い]
[00:45:33.599] レベル上げていきたい。
[00:45:35.920] やらしい下使い合う。下遣使いがやらしいからな、こいつはな。まあまあまあまあまあまあまあ。
[00:45:43.960] とりあえず3匹いれば3
[00:45:46.400] 匹いればちょレベル上げてちょっと下
[00:45:49.599] いやていうかていうかさあれだな死んだのでかいなあって悪魔系でしょ悪魔系でしょなんか悪魔系って強いイメージあんだよね
[00:46:07.119] 鳥ちゃうかった
[00:46:08.280] あれドラキーって鳥だっけ?ドラキーって鳥悪魔じゃないんだっけ
[00:46:14.319] 言うほど鳥かな?あれ?ま、鳥ではあるか。お前もう
[00:46:19.240] 1回仲間になんね。お前もう
[00:46:20.960] 1
[00:46:21.040] 回仲間になんねえか。餌あげるか。ちょっと餌あげよう。ちょっとさ、配合を、
[00:46:27.800] いろんな配合を楽しみたいからちょっといろんな配合を楽しみたいから、ちょっと持ってねえモンスターはちょいたい。あ、いいよ。いいぜ。
[00:46:42.559] ま、アンはもういらん。
[00:46:47.200] さすがにレベル1じゃさ、
[00:46:50.520] さすがにレベル1じゃちょっとあの
[00:46:54.119] ドンラ上がんの?レベル1上がって。HP
[00:46:56.520] 5、MP2まあまあまあま攻撃5。ああ、
[00:47:00.200] いい、いいです、いいです。いいです。
[00:47:01.200] ちょっとレベル345ぐらいまではした
[00:47:03.599] いっすよね。もうここ1回クリアしてんだ
[00:47:06.800] けど。まあまあゆっくりやってこうや。
[00:47:10.040] もう今週の土日はもうずっとこれよ。明日明後日明日ともうドラゴンクエストモンスターズけです。喜べ喜べ物ども。今週はもうドラクエ付け。ドラクエ付け。
[00:47:23.720] いいね。
[00:47:26.200] うわあ。
[00:47:27.599] いいじゃないですか。嬉しいだろ。嬉しいだろ。
[00:47:31.680] そんなん聞きたな。な
[00:47:32.680] んでだよ。なんでだよ。好きなんじゃないんかい。ドラクエモンスターズ来たって言ってたじゃねえかよ。
[00:47:33.867] [笑い]
[00:47:39.920] 俺おめらが喜ぶと思ってよ。俺おめらが喜ぶと思ってこれやったのに本当は他にも色々やりたいゲームがありましたね。本当は他にもありましたがちょっとここで一旦ドラゴンクエストモンスターズでもちょっと挟もうじゃないか。は
[00:47:54.880] 結構やったな。G
[00:47:56.520] 俺もねボーイのやつはめっちゃやったんだよ。でもこれ今度だからさ、同じやつやってもって感じじゃん。だ、
[00:48:03.920] PS
[00:48:04.240] 版でもね、これはね、別退色だからね。画質ファンサってわけ。
[00:48:08.160] そうよ。そうよ。
[00:48:09.640] 画質が良くなっただけでモンスターとか
[00:48:12.200] 追加とかあんまないみたいだよ。あんまっ
[00:48:13.640] ていうかないのかな。だから本当当時の
[00:48:16.200] 感覚でできる
[00:48:24.400] 本当はスイッチ版も出てるんだけどね。
[00:48:26.160] これね、あのもなんだっけ?
[00:48:30.079] テリーのアンダーランドレトロっていう
[00:48:31.839] やつでゲームボーイがそのまま移植されて
[00:48:33.559] んだよ。
[00:48:36.599] ま、実機でもできるしね。ただね、あの、
[00:48:39.599] なんかしんないけどテリワンはね、あの、
[00:48:43.200] あれなんだっけ?レトロフリーでやろうと
[00:48:45.359] するとなんかバグるんだよね。いや、多分
[00:48:47.640] それが俺前回できなかったんだよな。これ
[00:48:49.799] 持ってなかったんだ、まだこれ。ま、あの
[00:48:51.839] 今回僕にはあのポリメガがありますから。
[00:48:54.559] やはりポリメガちょト
[00:49:00.760] 危ねえぞ。もうてかしようぜ。
[00:49:03.040] 全体的に可愛い雰囲気で
[00:49:05.040] いや雰囲気っく
[00:49:06.880] 。ちょっとね、これさ、並びって意味ある
[00:49:10.160] んだっけ?これなさ、1番後ろの方が
[00:49:13.200] なんかダメージ来ないみたいな。それあ、
[00:49:14.920] あるんだっけ?これなんかこの時ってあっ
[00:49:16.799] たっけな。並び替え[音楽]って意味あり
[00:49:19.480] ましたっけ?覚えてない。
[00:49:24.400] そんなにない気もするんだけどな。1番
[00:49:28.319] 後ろが1番ダメージきづらいみたいな。
[00:49:34.040] ちょっと作戦を
[00:49:36.599] 君はちょっとね、色々やろうぜにしとく。
[00:49:39.629] [音楽]
[00:49:41.280] ま、答えは沈黙な。誰も知らないのね。
[00:49:44.920] 誰も知らないっていうことでいいちょこの
[00:49:57.760] 自分で考えてるシャドベリーベリークテファせあったようななかったようなハンターハンター
[00:50:04.480] なんかさあれなんだよな。あの作品によるよね。作品によるよね。答えは沈黙。
[00:50:13.680] これってハンターハンターのネタなの?俺知らないって言ってた。ごめんごめんごめん。知らないって言ってた。ごめんな。
[00:50:19.760] これレトロ版じゃない。これレトロ版じゃないよ。これね、あのあたこんばんは。あのプレステ版プレステ
[00:50:25.359] 1
[00:50:25.599] 版のドラゴンクエストモンスターズ星振りの勇者と牧者の仲間たちまゲオリジナルじゃない。わか俺も俺もわかんない。なんか何のネタかわかんないけど。
[00:50:36.440] 答えは沈黙。ポー。
[00:50:42.640] なるほね。
[00:50:43.520] なるほね。温かみのあるグラフィック僕は好きです。なんかあのポリメが買ったじゃん。ポリメが買ったからさ、なんかすごいあの今日すごく
[00:50:45.785] [音楽]
[00:51:01.359] その音マジでマにしか聞こえん
[00:51:03.720] ポーに聞こえるよね。あの穴落ちる音な。
[00:51:05.839] うん。ホメが買ったんだけどさ、なんか
[00:51:09.200] なんつうのかな。ちょっとゲーム屋さん
[00:51:11.240] よってさ、いつも以上にいつも以上にこう
[00:51:15.799] プレステとかセガサターンとかこう
[00:51:18.559] しっかり見るようになったんだけどさ、
[00:51:20.880] なんかこれと言って欲しいゲームねえんだ
[00:51:23.119] よな。[笑い]
[00:51:24.720] なんかあ、なんかね、これと言って欲しい
[00:51:27.839] ゲームねえんだよね。な、おすすめの
[00:51:29.440] ゲームあったら教えてほしいわ。
[00:51:32.079] これと言ってなんかね、プレステセガサターンってなんかあんまないんだよな。欲しいのな。ほとんど手に入れてしまった俺はもう。
[00:51:42.440] トバルナンバーワン。
[00:51:43.559] トバルナンバーワン。クソゲーだから。あれクソゲーでしょ?トバルナンバーワンてほとんどもうね、目ぼしいものは手に入れてしまっているんだな、俺は。これちょっとアイテムもうガンガン使おうぜ。これ以上持てねえから。これ以上持てねえからさ。
[00:52:01.599] ガンガン使うわ。ま、あ、もう持ってるモンスターにはちょっとあれだけど。
[00:52:06.839] キングスフィールド1。
[00:52:08.640] え、何それ?キングズフィールドってどういうゲーム?全然知らね。おえ、
[00:52:13.960] 僕ね、ロックマンね、あんま通ってないんだよ。確かにロックマン、ロックマンやりたいんだけどな。たださ、俺さ、ロックマンなんかシリーズもの手出すとさ、全部買わなきゃいけない病になるじゃないですか。
[00:52:28.559] そうするとまずロックマンってファミコン版ロックマン
[00:52:31.359] 1そこそこで積むんだよね。1番最初で。
[00:52:34.400] 1番最初で積むんだよな。
[00:52:36.839] 15万ぐらいするから。
[00:52:38.079] サドス版の15
[00:52:39.319] 万ぐらいするから。
[00:52:42.000] ダッシュ
[00:52:42.640] プレステ版と3DS版。3DS
[00:52:44.640] 版はもうだって3D
[00:52:45.640] になってるじゃん。あのグラフィックもでモンスターとかもめっちゃ増えてるし。大きさ制精度とかもあるじゃん。これもゲームボーイ版のべ色だから。あ、ダッシュは別もロックマンダッシュ。
[00:52:57.880] ロックマンダッシュってどういうやつ?あのヘルメットかぶってないやつか?なんかあのロックマンダッシュのなんかレアなゲームあるよな。トロンにコぶんだっけ?
[00:53:11.760] サターンはD[音楽]アDシャドウス。
[00:53:15.359] D&amp;D
[00:53:17.119] 全然知らない。シャドウオーバーミスタラ何それ?何それ?でもなんか面白そうなんか面白そうなタイトルだね。
[00:53:22.331] [笑い]
[00:53:27.680] シャドウオーバーミストラクロス探偵物語とか欲しいんだよな。あれやってみたい。
[00:53:35.520] 言いたい。
[00:53:37.200] クロスオーバーミスタラ言いてえよな。言いたくなるよね。
[00:53:41.440] やつで町を拠点になんやかんやするやつですね。雑誌に。
[00:53:45.880] あ、そうなんだ。そうなんだ。
[00:53:48.319] 3Dを視点で3D
[00:53:50.520] アクションなんだ。ダッシュって。ロックマンダッシュ。トロンにゴブもいいんだ。あれでも高いよね。
[00:53:55.000] なんか高いなと思って見てる。いつも
[00:54:01.240] ちょ、ドラキーが仲間なんで1回死んだら
[00:54:03.680] 1回仲間にしたモンスターって仲間になり
[00:54:05.480] ずれえとかああだっけ?なんか
[00:54:08.359] まいっかドラキー別に当てる仲間なんだろ
[00:54:10.480] 。多分
[00:54:12.119] 多分仲間なんべ後で[音楽]
[00:54:19.839] 早々アプグみたいな感じ。へえそうなんだ
[00:54:23.720] 。
[00:54:26.960] まあ、ロックマンか。でもロックマンてで
[00:54:30.040] もロックマンいい値段するだよね。どうせ
[00:54:32.280] ね。気軽に買えないもんね。
[00:54:36.359] プレステのゲームってなんかさ、500円
[00:54:38.839] とかで買えるからすごいいいなと思った
[00:54:41.319] けど、最近そういうわけにもいかなくなっ
[00:54:43.079] てきたよね。すごい高くなってる。本当に
[00:54:46.040] 。
[00:54:53.680] あと帯びつきとか俺できれば帯びつきがいいんですよね。できればさ、プレステのゲームのさ、このここれこれが大事なんよ。これ
[00:54:57.963] [笑い]
[00:55:07.640] これが大事なの。これが大事なの。これがついてないとなかなかね。なかなかないんですけど。
[00:55:16.839] もゴミ
[00:55:17.839] ゴミじゃねえよ。
[00:55:19.578] [笑い]
[00:55:21.880] 俺も友達がさ、友達と一緒に昔さ、ワンオのさ、
[00:55:27.480] CD
[00:55:27.880] つたヤに買いに行ってガキの頃ね。ガキの頃だけどっておく
[00:55:32.160] ガキの頃だけど、あの、
[00:55:33.920] の内側の説明書と一緒。
[00:55:35.839] そう、そう、そう、そう、そう。だから中古でさ、ついてるかどうかわかんないんだよね。帯がついてるかどうかってわかんないんだよ。中にしまわれちゃってるから。
[00:55:45.319] 友達がさ、CD買ってさ、ワクの一緒に
[00:55:48.200] 買ったんだけど、帯そのまんまあの周りの
[00:55:51.079] さ、キャラメル放送と一緒に
[00:55:52.280] ビビリビリビリぐポイ捨て
[00:55:53.960] てさ、ド物いたいたねん。
[00:55:57.568] [笑い]
[00:55:58.319] お前何のすて、え、ゴミじゃんてなって。
[00:56:01.359] 笑笑
[00:56:03.680] だ邪魔びっくり
[00:56:06.240] な信じられ[笑い]ない。
[00:56:08.400] 俺本当に信じられないの?そういうの信じられん。
[00:56:12.359] ない
[00:56:13.400] 俺なんかお前あれだ。俺なんかあれだ。俺なんかあのレコードとか買ってもさレコードのレコーってあのピタってなってるじゃん。で、レコード取り出すためだけにあの周りのビニール剥がさないでレコードの口だけナイフでスーって開けてあのニールかぶさったまだ出せるようにしてるからね。髪じゃけむから。
[00:56:35.559] [笑い]
[00:56:38.400] 髪け痛むじゃん。
[00:56:39.680] す、
[00:56:40.799] すー。ギコギコはしません。すつって。うん。やってる。さあ、よき行ってみようか。行ってみようか。の字出たところで。の字が出たところで。はあ。コっかはしません。数が通じないの?
[00:56:44.729] [叫び声]
[00:56:59.119] あれの怖いやつ好き。
[00:57:00.319] 何?あれの怖いやつって?あ、よし、ここから飛び降りるぞ。ポップな自殺やめろよ。
[00:57:06.160] なんだそれ?おい、ポップな自殺出たな。自殺?何だ?いや、飛びれるって気持ちがいいですね。何だこいつ?
[00:57:15.400] あれのお正月のやつ?
[00:57:17.000] 何それを?全然知らない。ここちょげ。俺の名前げ。あ、やべえ。これ懐かしいなちいい。これあったな。これ俺とじゃんけんで勝負しねえか。
[00:57:17.479] [笑い]
[00:57:35.960] 何を出すか下のに決めれば乗れば決まえ
[00:57:38.839] られるぞ。続けて勝負の時はいちいち俺に
[00:57:41.240] 話しかけねえで。そのまま次のパネルに
[00:57:43.039] 乗ればいいからな。よし、行くぞ。
[00:57:44.720] じゃんけグーな。
[00:57:48.799] ほれ見ろ。み次チキです。
[00:57:54.480] ちゃいちゃうんかい?ちゃうんかい?覚え
[00:57:59.039] てねえわ。さすがにこれは覚えてねえわ。
[00:58:01.480] さすがにこれは覚えてない。
[00:58:07.240] 玉ピロケランたマピロケランどうもこんばんは。タマピロケランのタマピどうもこんばんは。テリーのワンダーランド。
[00:58:20.200] たピロケランタマピロケラン。たピロケラン。
[00:58:23.319] テリーのワンダーランド。ラン
[00:58:26.000] 人生プレイやっています。まあ
[00:58:29.200] 5年前に1度やりましたかね。5年前に1
[00:58:31.839] 度やったか。まあ、5周年ということ
[00:58:34.115] [音楽]でね、今の俺がやってみるという
[00:58:37.599] 、そういうのもありです。
[00:58:42.280] もう覚えてないよ。もう覚えてないよ。
[00:58:43.880] さすがにパーでしょ。さすがにパー行くわ
[00:58:46.160] 。これみえ、まだやんの?まだやんの?
[00:58:51.839] どうやろ?
[00:58:54.400] もなんなんだよ。覚えめんどくせえ。これ
[00:58:57.000] 勝ったら何なんだっけ?勝ったらなんかあ
[00:58:58.599] んだよな、これな。さすがに
[00:59:01.599] 覚えてないわ、そんなもん。
[00:59:04.480] はい。
[00:59:07.319] えい。
[00:59:11.720] ほんでまたまたこれな。またこれな。はい
[00:59:15.760] 。[音楽]
[00:59:17.319] はい。はい。もう1回次俺。はい
[00:59:21.720] 。はい。で、もう1回も。もう、もう1回
[00:59:24.000] これ。はい。さすがに5回連続で勝ったら
[00:59:26.359] もう、もうええやろ。おい。
[00:59:30.799] あ、来た。あの、
[00:59:35.400] はいはいはい。
[00:59:37.880] あんの後ろとあんもじゃもじゃな。
[00:59:42.200] 僕はミッキー。君は誰だい?全くファンがうるさくて困ってるんだよ。どうか君はまだ心配なんだね。もう少し先のクラスのクリアしないことには保守ので見ることはできないだろう。ま、頑張ることだね。なんだお前。わが格闘付きの体重国のをひなるぞ。
[00:59:58.680] 心落ち着くブグム
[01:00:01.720] いいよな。いいブグムだよな。マジで。
[01:00:06.471] [音楽]
[01:00:09.839] ほんじゃなんだここのあれ行く。ここの
[01:00:12.520] あれ行っとく。
[01:00:19.559] 怖えな。でも死んだらアウトだもプレイ
[01:00:22.039] だけ曲がめっちゃいいことだけして。あ、
[01:00:24.319] これミプレイなの?ミプレイなんだ。
[01:00:26.440] モンスターズ俺のライバルはきっとどっかで俺見張ってるはずだ。おっとおめましたか?なら忠国してやろう。旅の扉の向こうではよその国のマスターに気をつけろ。おめ見たら弱いやつは
[01:00:36.119] 5
[01:00:36.240] テパにされちまうぞ。このゲームのいいところはね、敵のモンスター、敵のマスターのモンスターなくてやめちゃったんです。
[01:00:43.319] いや、配合はあのよくわかんなくていいのよ。よくわかんなくていいのよ。よくわかんないのがいいね。何ができるか分かりません。それでいいんです。
[01:00:54.942] [音楽]
[01:00:55.720] でもあの配合ってさ、同じモンスターでも
[01:00:59.480] 同じモンスターでも例えば
[01:01:01.920] スライムとドラゴンを掛け合わせた場合と
[01:01:05.839] ドラゴンとスライムを掛け合わせた場合だ
[01:01:07.920] よ別になるのよ。先に選ぶか後に選ぶかで
[01:01:11.000] この時代の配合って変わるのね。
[01:01:12.760] 俺それわかんなくてさ。あのデ王竜王を作るのに
[01:01:17.920] 違うの
[01:01:18.480] なんかね。そう。あの系統と血糖っていう先に選ぶ方が系統でだ。スライムを先に選んだらスライムに何混ぜてもスライム系のモンスターができるみたいな。なんかそあんだよ。なんかそういうのが俺も覚えてねえけどでなんか決まった配合があるじゃん。特別な配合だから竜王とか作るのに。俺なんかね何がわかんねんけどね。
[01:01:39.880] 竜王第2形態作んのになんか順番間違い方
[01:01:42.599] かなんかなんだかで竜王第1形態となんか
[01:01:45.599] 間違って順番間違っちゃってなんかデッド
[01:01:48.000] ペッカーわけわかんねえ鳥になっちゃった
[01:01:49.720] んだね。[笑い]
[01:01:51.720] デッドペッカーのなんかわけわかんねえ鳥
[01:01:54.960] になっちゃったな。第1形態が
[01:01:57.160] で強制セーブという地獄。
[01:01:58.960] そうなんだよ。配合で強制セーブだから何もできないっていうね。
[01:02:02.599] モンスターファームみたいな感じなのかなってイメージ。あ
[01:02:05.760] あ、ま、ちょっと違うな。ちょっと違うな。しかも
[01:02:10.799] どこ行った?
[01:02:11.640] 龍王なんかね、順番間違えたんだよね。なんかそういうことになるから。そういうことになるから。
[01:02:16.559] そう。強制セーブがめちゃったんですよね。
[01:02:19.640] そう。でもそれがね、今はもうそれがいいのよ。それが行きますか。行きますか。
[01:02:24.920] よく来たの。ここは長じゃ。うん。わしか?わしはここの名物女。バニーガールじゃなくてババーガールじゃよ。わは。おほらよ。お前らこ笑うとこだぞ。あんた優勝したいのか?お姉さんと出会うためならばここで勝ち抜き国の代表になればならんの。
[01:02:42.000] 良さもある。
[01:02:42.640] そうなんだよね。それもいいのよ。ただ当時の僕にとってはかなり心の傷が弱い順に
[01:02:49.559] GFD
[01:02:50.720] のクラスがあるんじゃ。もっと上のクラスもあるか。
[01:02:52.640] あんたにはまだ無理じゃの。どう戦ってみるか。
[01:02:55.079] G
[01:02:55.319] クラスならただでしょ。はい。行ってみますか。さすがに死なねえだろ。ジークラだったらプレイ体験ができそうです。
[01:03:03.279] そうなんだよ。そうなので、しかも人生プレイだから今回は。
[01:03:07.640] ま、人生プレイなんて死んだら終わりね。死んだら終わりね。新たな挑戦者が現れました。その名はちゃまけ。皆さん応援をよろしくお願いします。では第
[01:03:15.920] 1試合開始いたします。行くぜ。大丈夫。
[01:03:21.599] もうホイ覚えてるから大丈夫でしょ。
[01:03:22.880] 闘技場怖ええ。
[01:03:24.039] いや、いける、いける。これG
[01:03:25.520] ランクやで。ちょ、さすがに作戦をちょっと色々やろうぜ命大事にしときます。これでこれならいけるっしょ。いやいやいや、言うて言うて言うて言うて言うて言うて。怖い怖い怖い怖い。全然全然やってるから大丈夫だよ。
[01:03:45.839] 全然平気、全然平気。
[01:03:50.440] これってさ、わ、1回戦い終わったら回復
[01:03:52.799] してくれるんだっけ?1回戦ったら回復
[01:03:55.520] するよな。え、連勝だっけ?え、1回戦っ
[01:04:00.240] たらこれ経験値欲しいよな。
[01:04:04.279] 第1試合は挑戦者の勝利です。まだ行け
[01:04:06.200] そうな予感します。
[01:04:08.559] もちろん闘技場で死んでもダめだからね。
[01:04:11.200] もち闘技場で死んでも終わりで
[01:04:14.440] わ、若干切りかぶお化け怖いね。
[01:04:20.599] うわ、何とかしてくんのお前。
[01:04:26.000] よし、オッケー。あ、もう、もう、もう。
[01:04:27.760] はい、オッケー。これはもう行ったわ。
[01:04:34.000] ちょっとスライムも強いね。
[01:04:37.200] だがまだ1回も俺はあれだぜ。
[01:04:41.480] 小指を使っていないぜ。
[01:04:43.920] 問題は次。
[01:04:45.400] 次なんだっけな。ちょっと強いんだよね。
[01:04:47.559] 3匹目はね。第
[01:04:50.319] 2
[01:04:50.480] 試合も挑戦者の勝利です。内容も素晴らしい。そうか。では続いて第
[01:04:54.079] 3試合。チまゲはどんな技を見せるのか。
[01:04:57.319] そう。ちょっとこれ凝ってるよね。凝ってるよね。ああ、やばそう。やばそう。これ行けるか?これ行ける。
[01:05:01.224] [笑い]
[01:05:10.880] 終わった。そう。
[01:05:13.015] [笑い]
[01:05:15.119] いやあ。え、つ、これはやべえ。いが見いしてる。ナイス。いやった行った行った。行ける行ける行けるける行ける行ける行ける。
[01:05:15.635] [叫び声]
[01:05:24.150] [笑い]
[01:05:35.285] [叫び声]
[01:05:38.880] 大丈夫、大丈夫。
[01:05:47.319] うえ、これ。ああ、よいや。
[01:05:56.720] おお、回心はでかかったな。
[01:05:59.559] パチパチパチパチっき
[01:06:04.119] あまり舐めないでもらっていいか
[01:06:07.279] 。
[01:06:09.799] ま、この程度全然お話になりませんわな。
[01:06:12.799] この程度全然お話になりません。余裕の
[01:06:15.359] よっちゃん。[鼻息]
[01:06:20.440] おお、チけドのGクラス勝ち抜きお
[01:06:21.960] めでとう。王様ご指なんだ。ついてきて
[01:06:23.680] ほしい。これで新しいダンジョンが解放さ
[01:06:25.480] れますと。いいね。おもろいな。
[01:06:31.240] おちけ。Gクラスを勝ち抜いたそうだな。
[01:06:33.359] あっぱれでやるぞ。そなたはなかなか。
[01:06:35.480] いやいやや。
[01:06:38.799] お、ご機嫌いかがであるかな?大児のご用
[01:06:41.599] 。そういえば今回はそちらが主催国だった
[01:06:43.359] な。取材国として恥ずかしくない戦いをし
[01:06:45.720] てほしい。
[01:06:48.079] おや、こんなとこに子供が紛れておる。王
[01:06:50.640] 様をそんでいたか。私はマルタの国の王だ
[01:06:53.039] 。マルタってのがなんかさっきのあの
[01:06:55.480] ワルボーの国だよな。
[01:06:58.760] でさ、あの今度出るあのなんだっけ?あの
[01:07:02.480] ドラクエ5のビアンカフローラのやつ。
[01:07:05.240] あれ枯の国なんだよね。ハレキの国って
[01:07:08.480] このマルタの国とえっと体樹の国とその
[01:07:12.200] そこでもう1つの国テキストにしか出てこ
[01:07:15.079] ないんだけど
[01:07:17.640] それの話なんだよね。だから世界観一緒な
[01:07:20.559] んだよ。すごないだ。そしたらさ、星振り
[01:07:23.839] の大会が開かれるわけで、そしたらテリオ
[01:07:27.240] テリーたちと出会う可能性もゼロではない
[01:07:29.400] のではないかという僕の考察
[01:07:33.799] 張りの
[01:07:38.480] よし
[01:07:39.440] 数年越しの戦回収
[01:07:41.839] 熱いよないよなほいじゃあちょっともう
[01:07:46.240] 1
[01:07:46.319] 回行きますか違うダンジョンね配合ができねえから
[01:07:52.200] かな?なんせ配合が始まったらもう
[01:07:56.760] もうこっちのもんですわ。これってさ、
[01:07:59.440] この上とかって行けんの?あ、さすがに
[01:08:02.400] あれだ。ちゃんと行けないところは行け
[01:08:03.680] ないのね。オッケー。じゃあ行ってみるか
[01:08:04.799] 。えー、街人の扉と
[01:08:09.359] 守りの扉。街人の扉。
[01:08:12.559] ああ、最初のボス何だったかな?ドラゴン
[01:08:14.640] とかだったかな?行きますか。
[01:08:22.560] ああ、なんかこんな、こんなあったなあ。
[01:08:28.759] てかあれだよな。あの本家の本家っていう
[01:08:31.199] かうわ、敵中ぞ。
[01:08:36.199] 敵強。あ、手。あ、て。あ、早。[笑い]
[01:08:41.000] え、敵強くない?
[01:08:51.640] あれ?
[01:08:53.880] あら、あれ?あれ?あれ?あれ?あれ?
[01:08:56.000] あれ?あれ?
[01:09:01.799] あ、あれ?
[01:09:05.759] あれ?
[01:09:08.759] え
[01:09:13.040] 敵強くない?敵強くない?これ。いや。え、敵強くない?
[01:09:24.199] もう帰りたい。
[01:09:27.359] え?帰らせてもらってよろしいか?これだいぶだいぶだよ。
[01:09:37.359] ここ順か。[音楽]
[01:09:39.603] [笑い]
[01:09:41.040] え、これなんか順番間違った。順番間違っ
[01:09:45.000] た。
[01:09:51.159] まあ、ちょっとあれだな。魔物の餌は巻い
[01:09:53.839] といた方がいいな、これ。あ、ちょっと
[01:09:55.280] 仲間、ちょっと仲間手に入れんと仲間手に
[01:09:59.520] 入れんとあかんな、これ。金。
[01:10:04.920] いや、もう強いよ、この3人。
[01:10:09.440] 暴力
[01:10:11.480] か金ぼそのための右手なんか最後に倒したモンスターが仲間になるとかだよな。確かな。なんで今回復した?なんか今回復したよ。いや、もうなんだろこれ。
[01:10:31.348] [叫び声]
[01:10:42.880] ちょっと
[01:10:45.640] メイン火力飛んだ。あんが
[01:10:49.689] [笑い]
[01:10:51.120] ちゃんと正式な
[01:10:53.199] 絶
[01:10:56.159] 行ったな。ねえ、ちょっとマジかよこれ。
[01:11:00.169] [叫び声]
[01:11:01.479] [笑い]
[01:11:09.840] こんな簡単に死ぬのかよ。
[01:11:16.199] 1回どうしよう。
[01:11:19.440] いや、帰るしかねえよな。いや、帰るしか
[01:11:22.400] ないよね、
[01:11:25.080] マジで。
[01:11:32.264] [笑い]
[01:11:40.520] ちょっと全然これちょっと話になんねえよ。
[01:11:47.600] いたずらに仲間を失った。
[01:11:49.520] 本当だよ。今んとこプリオの役割をさ、役割をさ、もうしたい息だからね。俺お前のことモンスター牧場だって思ってないから。
[01:11:59.119] [笑い]
[01:12:04.280] 葬儀屋。
[01:12:05.239] 笑笑。
[01:12:06.159] 葬儀屋だと思ってるから。お前のことは出え山。送り人。
[01:12:13.360] 送り人だろ。あれちょっと待って。ま、鬼滅がまだあるから。いや、さすがに。でもそうか。レベルがな、レベルが足りてなかったよな。え、どうする?
[01:12:20.735] [音楽]
[01:12:30.040] ちゃまさんこんばんは。
[01:12:31.159] わさん、こんばんは。ねえ、もう2匹
[01:12:33.560] 面白いな。貧血。
[01:12:35.239] もういや、多分明るめにしてるから画面を。これ暗いねん。これ暗いねん。え、どうしよう。マジでどうしよう。これなんか捕まえにいやだってこれさ、無理よな。
[01:12:44.315] [音楽]
[01:12:52.639] この2
[01:12:53.080] 匹じゃ行けるかな?いや、さ、さっきの何の扉?なんで?迷んだ。
[01:13:03.199] 俺の占いで占い。
[01:13:04.320] ここ人の扉人の扉さっきの街人。え、守り行ってみる。いや、これ
[01:13:11.120] 2
[01:13:11.520] 匹じゃキやろ。ま、っ取り早く誰か仲間にすればいけるか。
[01:13:20.340] [笑い]
[01:13:21.920] おい、おい、最先不安ですよ。もう燻製肉あげよう。
[01:13:28.639] 行けるか?
[01:13:30.480] ちょっと朝チャプで
[01:13:31.440] 上に行くが良い。人に会えるであろう。
[01:13:34.480] あ、朝チャプで。あ、あ、あ。コドラいいよ。コドラいいよ。コドラいいよ。コドラいいよ。コドラいいよ。
[01:13:48.760] コードラいいよ。
[01:13:53.760] コードラ仲間にしよう。コドラ仲間にしよう。コ仲間にしよう。コードの仲間にしよう。いいね。いいね。しかもちゃんとちゃんと小子ド残し。ちゃんと小残し。もう
[01:14:05.760] 1個上げちゃう。もう1
[01:14:07.040] 個上げちゃう。もう燻製肉
[01:14:08.639] 2
[01:14:08.800] 個上げる。いや、行けるっしょ。行けるしょ。行けるしょ。行けるしょ。行けるしょ。行けるしょ。
[01:14:17.520] ていうか強いお前。ていうかお前強いねん。
[01:14:20.880] カルパス2個か。
[01:14:22.560] お前強いねん。
[01:14:27.520] ハドDリメイクして欲しい。ドラク。
[01:14:29.639] いや、強い強い強い強い。ドンこんばんは。お疲れ。いや、強い。さすがにさすがに魔餌。さすがに魔餌。ここはもうがつり。がつり。頼むよ。頼むよ。
[01:14:45.360] ちょっとお前マジ強いって。
[01:14:49.800] おはようず。おはよう。ドラクエモンスターズ。あし来い来い来い来い。俺の仲間になれ。俺のうるせえ。行こ。なんでなんだよ。
[01:15:01.866] [叫び声]
[01:15:03.831] [笑い]
[01:15:10.760] 笑笑。
[01:15:11.600] おい。いや、あいつこお
[01:15:13.560] ずっとも
[01:15:15.199] 骨つきに行くよ。骨つき肉。
[01:15:18.920] 返事はない死んだ。
[01:15:20.920] これがだから頼しで行こうよ。ド残しで。小残しで行こう。今回も小残しで行こう。と魔餌まず一旦巻いて巻いてモだ。
[01:15:41.159] たで。いえ、[叫び声]危ないね。なんで
[01:15:45.800] そっちでやらのバカ。さすがにこれ命令
[01:15:48.280] するわ。さすがに命令する。さすがにここ
[01:15:50.480] は命令する。
[01:15:55.000] お前さ、お前こっちゴーストから行けばか
[01:15:58.520] 。
[01:16:05.679] いや、砂みやめて。マジで
[01:16:08.880] 落とす。いや[鼻息]、落ちない。
[01:16:13.040] 小に体でボスゴドラになったりせんな。
[01:16:15.882] [笑い]
[01:16:16.639] テロテロテロテロもいるね。まかいやだ。ナイス、ナイス、ナイス。いやね。ゴーストもゴーストも強い。ゴーストも強いんだから。
[01:16:17.192] [叫び声]
[01:16:41.159] ナイス、ナイス、ナイス、ナイス。危ねえ
[01:16:43.960] 。
[01:16:49.080] んで、ここで、ここで、ここで骨付き。
