[00:00:15.360] ひひひちゃまうすんの
[01:10:48.800] トーク貯金しとくか。トーク貯金。
[01:10:51.440] 富山です。母親が働いてました。
[01:10:54.960] 39円ア
[01:10:57.549] [笑い]
[01:11:00.159] 39円アイスあった。
[01:11:03.920] ごめん。ちょっと39
[01:11:05.120] 円アイスだけの話だけちょっとさせてくんない?
[01:11:07.960] 39円アイスっていうね、あの
[01:11:11.320] 笑笑
[01:11:12.440] 正ボにあってんよ。正ボンっていう
[01:11:15.960] ローカルな
[01:11:17.560] 群馬埼玉栃木。
[01:11:19.560] 笑笑。
[01:11:20.120] え、茨城とかにもあったんかな?なんかその北間の田舎
[01:11:24.400] 茨城西武女。
[01:11:25.600] あ、ないんだ。じゃあ群馬埼玉栃木だな。いごく少数もう今ないのよ。
[01:11:32.080] 今もう全部合併して、あのローソンになっ
[01:11:35.760] ちゃったんだけど、潰れたりローソンに
[01:11:37.239] なったんだけど、昔そのセーブ音ンって
[01:11:39.639] いう言たらなんかデイリー山崎とかさ、
[01:11:42.960] なんか3すなんだっけ?3Fとかなんか
[01:11:46.674] [鼻息]みたいな。なんかそういう
[01:11:47.360] ちょっとローカルな、
[01:11:49.679] あ、あの、あれがあったのよ。あの、
[01:11:51.719] コンビニがあって、で、俺そこでバイトし
[01:11:53.679] てたんだけど、39円アイスってのが結構
[01:11:56.520] 名物でもガキも買えるし39円ちゃっちん
[01:12:00.520] よ。めっちゃちゃちなんか39円アイスで
[01:12:03.320] 覚えてんのはなんかあのピンクと黄色と
[01:12:07.360] チョコのなんかあの3色のアイスとかあと
[01:12:10.560] なんだろうなクリモナカとかなんかあった
[01:12:12.880] のよ。[笑い]それ結構名物で夏になると
[01:12:16.960] めっちゃ売れんのね。
[01:12:17.800] で、なんか俺のバ先やっぱ超田舎だから、もうおばあちゃんもうマジでもうなんか小指でこづいたらなんか倒れんじゃねえからぐらいのおばあちゃんが
[01:12:26.840] 1
[01:12:26.960] 人で帰りきてさ、もう両下がっさみたいな
[01:12:30.880] お疲れガサーってぐらい買ってくんだよ。買ってくんだけどさ、あのそれ歩きが遅すぎてレジ着く頃にあの正ボンって金ないからありよさんこんばんは。あの正ボンって金ないからもう冷房もくソ弱いのね。
[01:12:44.840] あのおばあちゃんがレジくまでに
[01:12:46.880] 309
[01:12:48.639] 円アイスドロドロに溶けてたね。遅くて歩きが
[01:12:50.865] [笑い]
[01:12:54.080] だが私に言わせればおかしいのはお前の方だ。
[01:12:59.239] もう冷房もようは弱い。よは弱い。
[01:13:03.000] 自分が守れなかった命を過去のことと言って
[01:13:05.800] 帰ったら水やん。水だね。
[01:13:07.560] 違う。お前の方がよほどな。
[01:13:10.320] あと普通に鬼殺し買って飲んで軽トラで帰るじとか言た
[01:13:15.100] [笑い]
[01:13:17.159] 守れなかった命お前は
[01:13:22.199] あ、さっきの女の子ね。はいはい
[01:13:24.360] 力がなければ
[01:13:26.040] 1つ守ることはできん
[01:13:27.760] ちゃますよ
[01:13:28.719] なのに皆
[01:13:29.920] ちゃまげそんなことしてかないは高品俺じゃねえより殺しなで大体折り殺し買ってくやつってみんな同じ顔してるねうんてか
[01:13:42.080] Rチ
[01:13:42.560] ってみんな同じ顔してんねんのなんでか知んないけど歯がこうなんねんなろうねあれ
[01:13:49.320] 2ってさがこうへこむのよ
[01:13:53.000] みんななんかこういう顔してんのなんでな
[01:13:55.560] んだろうね。全員鬼殺し買ってく。もう
[01:13:58.199] こんなもうこんなんで持ってきてさ。
[01:14:01.120] こんなんで
[01:14:03.440] 1円玉で買ってくわ。1円玉で100枚
[01:14:05.400] あと数えて[笑い]
[01:14:08.159] この呪文だけ
[01:14:11.480] 全員虫だから
[01:14:14.051] [笑い]
[01:14:16.639] マナスティ
[01:14:17.400] マナスティス来たよ。
[01:14:18.800] 夏はタンクトップな。うん。え、なんなん?どんな魔法なん?マナスティスえよ。
[01:14:29.771] [叫び声]
[01:14:31.920] なんだこの体中にり渡る。
[01:14:37.440] バ、あの
[01:14:38.679] 力は
[01:14:39.560] バイキルト的な感じなんだ。バイキルト的な。え
[01:14:46.920] え
[01:14:47.840] え。さっきの王様見てたでしょ?あれって
[01:14:50.280] 究極魔法が完成したのよ。早く王様をどう
[01:14:52.480] にかしな、どうにかする殺すことも営わな
[01:14:56.199] いっていう。そのいいね、その止めなきゃ
[01:14:58.199] とか早く王様をなんか救わなきゃとかどう
[01:15:01.960] にかしなきゃというね。ま、場合によって
[01:15:04.120] は殺すこともしょうがない。わな。だって
[01:15:06.880] 世界がかかってんねんから。うん。
[01:15:10.239] しょうがないわな。しょうがないわな。
[01:15:13.239] で、どこ行ったは。
[01:15:17.520] うん。
[01:15:18.320] 王から感じたあの邪キはまだ弱いとはいえ、まさしく魔王の木そのものだったでござる。レドのもはや我々はどうにもできんかもしれんでござるぞ。え
[01:15:27.560] くええ
[01:15:29.840] ええ。どこに行けばいいんですか?あた
[01:15:35.040] おや
[01:15:35.560] 王様なら先ほどに俺戻りになったようです。
[01:15:40.000] 殺すなんてとんでもない。結果的に死ぬだけです。
[01:15:43.132] [笑い]
[01:15:45.280] 結果的にならのせいではない。
[01:15:49.440] 見えるか?私の姿が
[01:15:54.360] 手に入れたぞ。何者にも屈しない最強の力
[01:16:00.400] を。
[01:16:02.239] ルーシア、
[01:16:04.560] これで負けない。
[01:16:07.360] これで
[01:16:09.320] 何からもお前を守りせる。
[01:16:14.040] でも死んでるんやろ。
[01:16:16.800] 2度とお前を恐怖に晒らすこともない。
[01:16:21.760] え、でももう死んでるんやん。
[01:16:28.440] うわ、なんだこの力は。
[01:16:33.120] うわー。ど、どうしたことだ?何も見えん。
[01:16:47.639] 暗闇が
[01:16:50.360] 遅いかかってくる。
[01:16:54.800] あ、
[01:17:06.973] [笑い]
[01:17:08.440] な、特に何もなくなんだっけ、これ
[01:17:11.000] モンスター。ええ、なんだっけな。
[01:17:16.000] ヘルビーストとかえ、待って。めっちゃ強でもええ。はあ。
[01:17:24.280] 出番でござる。
[01:17:25.159] いやいやいやいやいやいやいやいやいやいやいやいやいやいやいやいや。ええ。なんやねんそれ。らマゴ視して。マゴ自士で出てきたけどね。今ね。
[01:17:26.623] [笑い]
[01:17:45.080] マを自して
[01:17:49.080] トライアゲインですな。トライヤゲイン
[01:17:50.840] できんのか?滅びるがいい。この地にある
[01:17:54.840] 何もかも。
[01:17:57.920] 小幅はちっちゃめと。[音楽]
[01:18:09.854] [音楽]
[01:18:13.280] うん。お前さんたち遅くなってすまなんだ
[01:18:15.880] 。すまなんだ。
[01:18:19.440] うむ。どうやら王の魔法は感染してって
[01:18:21.280] しまったよう。じゃな。このままでは王は
[01:18:23.719] 破壊心となり本当にこのあ、大神官あの
[01:18:26.159] あそこから来たんか。神殿から
[01:18:33.719] と細かい話はとりあえず後じゃ。とにかく
[01:18:35.880] わしについてまいで
[01:18:39.120] こっち側もあれか。
[01:18:40.679] 魔法が完成したのかな?
[01:18:50.464] [叫び声]
[01:18:51.639] なんじゃ?
[01:18:52.600] 落ち着かんか?一体どうしたんじゃ?ええ。
[01:19:13.880] 滅びをこの地にある全ていかん。わしについてまいれ。なんやねん。そっちね。
[01:19:39.320] この上かな?あ、かないか。
[01:19:50.199] ここ違う。
[01:20:06.000] お前さんたちかと見て俺よ。これこそ私が研究しとった魔法じゃ。全ての魔法も効果を無にキス筋呪文ジャスティス。ほお。そのせナの力と坊主に宿った足力も振り払うのじゃ。
[01:20:29.960] いてつく波動と一緒ってことね。
[01:20:34.800] お前さんたちすまん。どうやらわしの魔法
[01:20:36.760] はまだ完全ではなかったよ。じゃ、
[01:20:41.719] じゃあもう絶対あいつを倒し。なるほどな
[01:20:43.880] 。だから弱ってるうちに倒せと。はいはい
[01:20:46.360] はい。回復してんのちゃんと。これ
[01:20:50.960] 行けそうやね。
[01:21:04.440] 行ってみますか。
[01:21:05.120] じゃあどうしたことだ?力が抜けていくだが全てを破壊し尽くすまで止まるわけにいかん。私は守らねばならぬのだ。
[01:21:35.360] お前をお前だけを
[01:21:38.840] 歌詞が好きづきし顔分だ本当だ。マジじゃん。どうしたんそれ?一生懸命考えた。
[01:21:49.281] [笑い]
[01:21:53.866] [叫び声]
[01:21:56.486] [うめき声]
[01:21:57.679] 一生懸命考えてきたん、それ。うーん。あ、有名なやつなんだ。知らんかった。へえ。おい、これ抜群だぜ。ジバリーナがこいつ。
[01:22:25.280] カッパ野ゴー。
[01:22:28.440] えっと、こいつの弱点はなんだ?弱点なし。イタリアでもでありたい。海分。
[01:22:35.132] [音楽]
[01:22:41.682] [笑い]
[01:22:44.400] ああ、すごいわ。本当に海分だわ。イタリアでもでありたい。何その心かしい。
[01:22:54.560] これも有名なやつ。
[01:22:56.080] 有名なんだ。へえ。何有名な海分って?嫌だな。
[01:23:03.480] 春のな愛。何?その有名な海分って?その、その、ま、まずその開文をゆ、なんかその有名なやつとかそあんまりその考えたことがないよ。あ、やべえ。これあれだ。転職しちゃったから弱なってる。転職しちゃったからさ。
[01:23:05.917] [笑い]
[01:23:27.280] 弱なっちゃってますがな。
[01:23:37.719] わ、バイキルとかないですやん、これ。マジか。あれしなきゃよかったな。転職しなきゃよかったな。何が効くんだこいつは。ヨナズンとかが効くのね。
[01:23:39.977] [音楽]
[01:23:54.560] ディバインスペル入るんか?いまい、いまいちでも頑張って入れてください。ほらほら
[01:24:00.600] 頑張って。ほらほらほらほら。よし、入ったな。もう多い。もうもうもうもうもうこれ。はいはいはいはいはいはい。これだよ。これなんだよね。はい。ポイズンだが。はい。抜群。り。
[01:24:03.558] [音楽]
[01:24:16.760] はい。毒になる。ならない。はい。うり。
[01:24:20.199] 200も効く。
[01:24:24.560] よし。
[01:24:25.159] やっぱ強くな、強くなりすぎた。なりすぎたよな。味な。
[01:24:37.920] せい。
[01:24:45.239] ちょっと回復してもらおうか。回復してもらおうか。
[01:24:51.800] 回復てて。
[01:24:59.480] 全然毒らへんやん。こいつや。
[01:25:09.840] え、物理攻撃力ぐんと上げながらしかも
[01:25:13.560] 1回貯めます。
[01:25:19.239] せい
[01:25:32.000] そりゃ
[01:25:33.199] それ。あ、毒だった。やっと毒。やっと毒になった。誰もあれ覚えて防御力下げる技とか覚えてないんだね。
[01:25:49.000] とでおそらくこれで終わるでしょう。はい、お疲れちゃん。はい、お疲れちゃん。
[01:26:00.600] はい、お疲れ。はい、お疲。
[01:26:02.769] [うめき声]
[01:26:04.280] 楽勝。
[01:26:09.400] ぐーぐ。
[01:26:14.159] これ何者にも屈しない力。
[01:26:19.440] サクサクやん。
[01:26:21.000] すまない。俺はお前を
[01:26:27.280] やべ。最近またちょっとれなかった。
[01:26:29.480] 20
[01:26:29.679] 重顎が増えてきた気がするな。ま、ちょっと頑張んねえらまたな。最近ちょっと確かにね、なんかね、ちょっとね、最近ちょっとね、ダメなんだよね。
[01:26:32.244] [笑い]
[01:26:46.199] ゼッペルう。
[01:26:51.719] よかった。
[01:26:52.320] 食べちゃってんだ。
[01:26:53.239] まだ気はあるようだ。
[01:26:54.480] 食べちゃっちゃってるね。食べちゃってるっていうか、あの、あれなんだよね。あの、
[01:26:55.170] [笑い]
[01:27:03.119] 行けない子ね。
[01:27:04.280] あのね、あれなのよ。
[01:27:05.800] あの、前よりちょっと運動の頻度が
[01:27:09.880] ちょっと下がっちゃって、なんかその、ま
[01:27:13.239] 、配信が再開したのもあるんだけど、あの
[01:27:15.960] 、でもね、俺前でダメだったのが前本当に
[01:27:19.760] 何もしてなかった時、1日3色食って
[01:27:22.280] なかったの、朝、絶対食ってなかったし、
[01:27:24.400] 昼もなんなら昼も食ってない時あったし
[01:27:26.400] みたいな。やばない?そんなことしてた
[01:27:28.800] から逆に太ってたの。だから3色ちゃんと
[01:27:31.440] 食べましょう。プラスちゃんととこいい
[01:27:34.239] 感じで運動もしましょうったからめっちゃ
[01:27:35.960] 痩せたのよ。本当半年で11kmぐらい
[01:27:38.159] 痩せたんだけど今ちょっと運動のヒント
[01:27:40.480] 下がってちゃんと3色食べる子になっ
[01:27:42.159] ちゃったから[笑い]
[01:27:46.040] それでなんかちょいん来てる気がするな。
[01:27:50.190] [笑い]
[01:27:51.560] 明日運動しより
[01:27:53.840] ちょプラスプラス戦い
[01:27:56.639] をよく引き受けてくれました。ただただ3
[01:28:00.040] 色食うやつになっちゃった。
[01:28:03.239] あなた方がいなかったら今頃の体陸は本当に滅んでいたかもしれません。いや、
[01:28:10.960] 今は話し込むより傷ついたものの手
[01:28:13.880] ベスト体重でどういこと?そのマイナスでってこと?マイナスでってこと?ど、どっちの肉くのさんこんばんは。
[01:28:21.440] プラスで
[01:28:22.119] 城のものを
[01:28:22.679] いや、プラスでは更新してないよ。を貸してくれ。
[01:28:25.480] プラスだ。卒業した後に11kg
[01:28:27.679] ぐらい痩せてんの。
[01:28:29.639] 卒業した後に同じて[笑い]
[01:28:32.560] 2
[01:28:32.719] 階の大神官様もすぐに手く護するのだ。
[01:28:37.000] でもあれなんだって卒業した後に同じ食ってる運動でやっぱねはもう癖になるよ本当にこれぐらいが普通やっぱ普通のレベルが上がっちゃうんよね。
[01:28:52.520] 嘘つけおめ全然太ってねえっぺよ。
[01:28:55.600] ガリガリが骨ましいわ。あのね、本当にあの空量ってね、あのほんまに癖になりますから。これこれが結構大変なんですわ。
[01:29:09.920] 結構大変なんですわ。これがデラゴン君、こんばんは。お疲れちゃん。ドラゴやってるよ。やってる。シュー。
[01:29:16.840] 中学の頃もっとカリカリだったよ。一時期パスタ
[01:29:20.560] 200食ってやめられなかった。
[01:29:22.520] いいね。パスタ200[笑い]
[01:29:26.119] 最高だよね。ちゃうまいからいいっちゃうまいからね。パスタ
[01:29:29.760] 200が
[01:29:31.560] パスタ100
[01:29:32.280] なんかでお腹いっぱいになるか。あのなんかよ、よくパスタの袋とか見て後ろとか見てあのなんかパスタ
[01:29:41.679] 1人前かっこ100gをてた。100gが
[01:29:44.639] 1人前わけあるかい。
[01:29:47.040] 200く。200く。100
[01:29:50.400] じゃ足りない。200じゃ多い。
[01:29:52.280] 学校帰りのおやつがカロリーメーカー足りるかボケ
[01:29:55.840] 最高。足りるかボケ
[01:29:57.440] 200じゃ。200ゆで面の状態で
[01:30:01.639] 200だからね。
[01:30:02.480] 皿で住んだことない。
[01:30:04.480] 顔面で200
[01:30:05.719] っていうことはね、茹でたらもう
[01:30:08.360] 300400ぐらいなってますから。
[01:30:11.017] [笑い]
[01:30:11.520] 橋本こんばんは。
[01:30:13.320] 食うやろ。そんくらいパスタは
[01:30:15.560] 笑笑500以上になるよ。
[01:30:17.840] パスタはそんくらい食うやん
[01:30:20.320] ね。
[01:30:20.800] ティンティンの太さと同じ量のパスタ茹でたらいいんだよね
[01:30:24.560] え。そうなんじゃ全然俺
[01:30:27.320] 50ぐらいしか食えないんじゃない?俺
[01:30:29.357] [笑い]
[01:30:30.159] 50ぐらいしか食えないかもしたら
[01:30:32.960] ね、こんなに太ってんのにちんちんだけガリガリなんだから。あもっつさんです。どうもこんばんは。もっさんです。どうもこんばんは。
[01:30:33.287] [鼻息]
[01:30:39.880] あっちゃん。あっちゃんこんばんは。
[01:30:41.600] ランディお疲れ。ランディお使え。あとルビーさんもお疲れ。ル
[01:30:44.840] さんお疲れ。少し。
[01:30:46.040] MDXさんもこんばんは。嘘でしょ?
[01:30:48.880] 小型のティーンとんや。小型のティ
[01:30:51.627] [笑い]
[01:30:53.880] 格じゃん。
[01:30:55.080] 昔、昔うちで買ってたあのマルチーズのさ、はる君んていうの買ってたんだけどさ、おばあちゃんの足、あのおばあちゃんの腕にもう腰振っちゃって大変だっただよ、あれ。おばあちゃんの手に腰振っちゃってな、欲上しちゃって。
[01:31:06.693] [笑い]
[01:31:14.880] そしてヨが開けたと
[01:31:16.040] パスタはついつい多めに茹でちゃう。
[01:31:18.159] もうパスタなんかもうパスタなんかもう
[01:31:22.040] 200やでデフォでうん。
[01:31:28.840] よくちょっとごめんだけいいんじゃない?
[01:31:29.618] [音楽]
[01:31:34.520] 怪我も幸そう深いものではない。
[01:31:38.199] 号さんね。
[01:31:38.920] 息子はまだ横になっているが目は覚めておるだろう。
[01:31:43.520] よければ出発の前に話しかけていかれよ。
[01:31:49.920] わしからも霊を言わせてもらおう。お前さんたちがいなければをこです。腰振ってるから生物的にもす。
[01:32:00.400] 俺のばちゃんのことメスっていうのやめてくれる?
[01:32:03.080] マーディラスを救ってくれて感謝するぞ。
[01:32:06.119] もうだいぶ前にも
[01:32:07.480] はこの国の終わってるね。もう終わってるねんか。
[01:32:12.193] [笑い]
[01:32:12.840] 時に1
[01:32:13.760] つ聞かせてほしい。ま、ま、でもメだけど。な
[01:32:17.119] んぜこの国へやってきたのじゃ。
[01:32:19.520] え、なぜって言われてもね。
[01:32:23.159] そ、それは誠か。
[01:32:26.480] 平門
[01:32:27.239] 封印された島を[笑い]
[01:32:29.239] 八門豚がもう閉じてんだから。
[01:32:34.159] うーん。にわかには信じがたいが、お前さんたちはわしが想像した以上に大きなものと戦っている。
[01:32:45.880] せやね。
[01:32:47.520] よし、わしは決心したぞ。
[01:32:50.880] お前さんにわしの魔法マジャスティスを伝授しよう。な
[01:32:55.639] んだ?マジャスティスってダサいな。
[01:32:58.679] わしは人を守り助けるためにこの魔法を復活させた。
[01:33:04.600] お前さんほど使うにふさわしい男も他におるまい。
[01:33:08.480] え、何これ?本当に使えるようになんの俺が?
[01:33:10.360] ああ、とはいえじゃお前さんも見ていたと思うが、この魔法はまだ未完成なのじゃ。
[01:33:18.360] 何?俺マジャスティス使えるようになるんか?
[01:33:22.560] わしとしてはそれが口惜しくもあるが、今後も魔物との戦いを続けるならば覚えておいて損はないからの。
[01:33:35.239] まじはまです。まじでありんさ。なんか言ってますけど。うお。うお。笑。
[01:33:44.550] [うめき声][叫び声]
[01:33:56.159] 霊勝。[笑い]
[01:33:59.760] 霊勝系配信者になっちゃった。
[01:34:01.440] わしはこれからもこの魔法の研究を続けていこうと思っておる。時間はかかるだろうが、必ずやわしなりの究極魔法を完成させて見せやぞ。
[01:34:14.239] わ、これで未来に戻ったら完成してんちゃん。
[01:34:16.320] そしてその時は必ずお前さんに伝授すると約束しよう。
[01:34:22.360] プレイ。
[01:34:22.800] それまでしばの別れ。[笑い]
[01:34:25.080] いや、分かるやろ。そんくらい。
[01:34:26.960] いつの日か再びわしの元へ訪ねてくるのを楽しみにしてあるぞ。
[01:34:33.080] お前さんていいじゃない。別にお前さん呼ぶでしょ。お前さん。はい。ということで
[01:34:43.280] さん
[01:34:44.199] やっこさん。あ、旅のもの。お前たちには霊を言わねばらんな。お前たちの働きがなければ今頃の国は本当に滅んでいたかもしれん。私は子供の頃からずっと悔み続けてきたのだ。
[01:34:55.639] 自分の力が足りないばかりに友の命を守っ
[01:34:57.800] てやらなかったことをな。そして私は決め
[01:34:59.920] たもう2度何者にも駆し強い力を手に
[01:35:02.560] 入れるのだと。そうすることが幼きとへの
[01:35:05.159] せめても少ないだと思っていた。しかし
[01:35:07.040] そんな考えは切れごだったのかもしれん。
[01:35:09.239] 私が力を望んだのは友のためなどではなく
[01:35:11.520] 弱かった自分への言い訳に過ぎないのだ。
[01:35:14.760] 迷惑をかけた首の者たちには私は仮は仮を
[01:35:18.360] 返さねばならんな。罪滅ぼしになるから
[01:35:20.679] 分からんが、今後は平和のために力を
[01:35:22.480] 尽くしていこうと思う。だってさ、許し
[01:35:25.560] たってや。許したって。あ、なんか、あ、
[01:35:28.080] 待って。今なんか、あ、今なんか、なんか
[01:35:30.920] マリベルちゃんなんか可愛いこと言ってた
[01:35:32.159] 。今なんかマリベルちゃん可愛いこと言っ
[01:35:33.600] てた。ちょ、広いとこに来て。広いとこに
[01:35:35.480] 来て言って。
[01:35:37.880] なんか可愛いこと言ってな、今。魔獣マじ
[01:35:41.880] 可い。お前も可愛いな。ガボ。おい、お前
[01:35:43.719] も可愛いな。ね、
[01:35:46.080] あんなことがあったらこの国の人々魔法に対する考え方ちょっと変わってしまう。あえ、俺ちょっと聞き逃した。なんか今、なんか今可愛いこと言ってたと思ったのに
[01:35:55.719] なんかあんた私の勝手に死んだら怒るからねみたいな可愛いこと言ってた気がする。で、ここな何て言ってた?ここマリベルな何て言うの?ここなんか可愛いこと言ってた気がするんだけど。飛ばしちゃった。飛ばしちゃった。
[01:36:17.600] 可愛いこと言ってたと思ったの。思ったの?
[01:36:25.159] はーい。
[01:36:27.600] マスターしてますやん。賢者マスターしてるやん。
[01:36:35.320] ちょうど見てなかった。
[01:36:37.471] [笑い]
[01:36:38.960] なんか可愛いこと言ってたと思ったよ、今。
[01:36:42.920] なんか可愛いこと言ってたと思ったな、今。
[01:36:46.520] コーヒー牛乳入れてた。
[01:36:48.119] コーヒー牛乳いいすね。うめよな。まくて。ええ、何やろっかな。もうこれ何覚えていいかわかんないんだけど。
[01:37:01.800] 最高船のり。これモンスターね。これ賢者とさ。
[01:37:08.159] 賢者と何で賢者と何でこれ何になるの?これ戦士と魔法使い戦士もじゃあ行こうか。じゃあなんなら
[01:37:17.600] なんなら戦士も行ったろか。
[01:37:20.080] なんなら戦手も行ったろか。あ、そしたらさ、使ってないにしてもならさ、
[01:37:31.480] 教えてあげないよじゃん。
[01:37:32.960] 使ってないんだったら、え、なんかはパラディンになれるんだが。
[01:37:37.000] 何?
[01:37:39.840] パラディーンになれるんだけど。
[01:37:41.280] パラデイン?
[01:37:45.880] パラディン誰よお前?お前は今日から
[01:37:49.080] パラディン
[01:37:51.199] 使ってなくてもどうせあれ入るんでしょ。
[01:37:52.800] レベルだったらさやった方が良くねえか?
[01:37:57.520] なんで?はて何が[笑い]
[01:38:00.040] 何がはやねん。変なこと言った俺。
[01:38:06.800] あ、もうユニクンさんがもう有能ユノーです。ユノー。さて、な、何て言ってたんだ。さて、な、何て言ってたのかな?見してください。見せて、
[01:38:26.040] 見せて、見せて。ちょっと待って。よいしょ、よいしょ、よいしょ。
[01:38:36.960] ま、顔と思う
[01:38:39.159] だってさ、許したってやねん。あんたも私
[01:38:42.880] が死んだりしたらあのくらいは後悔し
[01:38:44.440] なさいよだった。あんまま、あんま可愛く
[01:38:46.840] なかったか。[笑い]いやいや可愛いよね
[01:38:50.159] 。可愛いよね。マリベルちゃん好き。俺が
[01:38:53.639] 守んなきゃ。はい。ナイスクリップ。
[01:38:56.920] ありがとうございます。いい
[01:38:59.719] こんくらいでいいのよ。
[01:39:01.679] マリベルちゃんは、
[01:39:03.880] マリベルちゃんはこんくらいでも十分十分出れてます。好き。
[01:39:10.360] 俺が守らなきゃ軽戦されてなぜか
[01:39:14.599] 6でもない海分か。シル
[01:39:17.920] 影響されされてなぜか
[01:39:19.760] 6でもない海分かりできる。
[01:39:21.880] もりもり
[01:39:23.440] ベリマッチとか単語ベリマッチで教えてくれよ。
[01:39:26.639] せさんベリマッチ使ってベリマッチ
[01:39:30.239] 海分かと思った。
[01:39:31.520] でもそれが海分になったら怖いで。
[01:39:34.320] 何にベリマッチなんか単語で使ってもさ、どう考えても海分にならないでしょ。だってベリマッチってやったらさ、ちまべりちまりちマりベが入る文章なんかないやん。
[01:39:52.760] だしされてなぜか6でもない会分って言っ
[01:39:55.960] たの。お前らおい、お前ら今声優さんに6
[01:39:58.880] でもない配分会分って馬鹿にされてるから
[01:40:01.480] ね。[笑い]
[01:40:03.599] みんな気づいてないかもしんないけどさらっとさらっとみんなの怪文のことを
[01:40:08.320] 6
[01:40:08.560] でもない海分って言ってますから。ま、ここはね、ま、なんだそれびっくりって気づいた。気づいた。
[01:40:12.969] [笑い]
[01:40:18.639] 笑笑
[01:40:20.040] なんならそのピコーンってロマサガみたいに
[01:40:20.174] [笑い]
[01:40:23.880] トマト
[01:40:25.080] ロマロマサが
[01:40:26.960] 6でもない海分だ。
[01:40:29.320] 6でもない海分出たな。
[01:40:31.000] ね、これどうやって白から出るんだよ、これ。
[01:40:33.520] ピコン。色ハぐピコーン。肉になるしかね。
[01:40:36.719] な、肉ご馳そになるしかねえよな。
[01:40:38.760] 新聞士俺の勝ち。
[01:40:41.320] あの高級焼肉店で、あの時マジ声優さんのさ、店に行くって言ってたらさ、聞いてたら言ったのにな。てっきり普通になんかかなんかどっかでダベット終わるんかと思って。
[01:40:59.800] いや、ちょっと今日今回俺バスって言っちゃった。今回俺バスって言っちゃったんだよな。言ってくよかった。
[01:41:02.094] [笑い]
[01:41:12.520] ちゃまさん海分は完成度高いの結構できてるので満足。
[01:41:16.440] いや、本当よ。あなた
[01:41:17.960] しょうもないとこ
[01:41:19.119] 毎回声優さん、あの、とんでもない分出してくれよ、あなたは。
[01:41:25.679] 1個も覚えてないけど。
[01:41:27.640] [笑い]1個も覚えてませんけど。
[01:41:30.719] 全部忘れてるけど。
[01:41:33.719] 1
[01:41:33.880] 個も覚えてないけど。ただ毎回驚いてるのは確か。
[01:41:37.960] そうそうだ。覚えられないねん。あ、やだ。ここちょっと
[01:41:51.880] 年末連日配信気持ちよすぎるだろ。
[01:41:54.440] 気持ちよすぎだろ。すごいことだけは覚え
[01:41:57.040] ちゃげの配信気持ちよすぎだろ。配信気持ちよすぎだろ。ちゃの配信気持ちよすぎだろ。気持ちよすぎだろ。毎回すごいことだけてみちゃこんばんは。
[01:42:13.520] やな歌歌うなやんもんなダブル妖のない歌
[01:42:18.075] [笑い]
[01:42:20.520] いいね。やな歌うなやは覚えてるわ。何の時に言われたんだっけな。
[01:42:26.880] 何も思んないいね。何も思んなってよくない。それ分なんだ。どうしたのってなんか
[01:42:29.865] [笑い]
[01:42:34.920] どうしたの?トンニーもいますと。
[01:42:38.000] トンニーもいますと。やな歌歌うなやさ。帰ろ。現代に帰ろう。作れって言ったらダ作ばっかりだった
[01:42:49.360] な。もうAI
[01:42:50.080] なんかまだまだ真似できませんわ。
[01:42:52.119] 今回はなんだか疲れちゃったわね。
[01:42:55.000] うん。どうしたの?可愛いじゃん。何?
[01:42:57.639] え?あんな大国を丸ごと助けることになるなんて思っても見なかったもの。
[01:43:05.159] おいらも
[01:43:08.000] 出しそびれたものでは
[01:43:10.920] やな歌歌うなよ。何も思んな。なんだお前。
[01:43:14.520] お前たちやっぱりここにいたのか。
[01:43:17.159] 闇って渋いライブしてくる。違う都みや分。
[01:43:21.679] 叔父のアラジオ
[01:43:22.840] ちょうるさい。ランディその程度の開で今流せないのが出てきた。今笑
[01:43:24.886] [笑い]
[01:43:31.800] 闇の何?闇の
[01:43:34.239] 2
[01:43:34.639] がちくて渋いライブしてくる地が宇宮やちょ。え、これ本当に解ブになってんの?これ
[01:43:41.280] カブになってる。これなん?叔父のアラジオってうるせえ。
[01:43:44.639] すなってました。[笑い]
[01:43:47.599] 叔父のラジオ
[01:43:48.599] なってる。
[01:43:50.639] タイミ
[01:43:51.960] ピコーンってピコンあのロマサガみたいになってる。ピコーンって思いついてる。
[01:43:58.040] なんだシュベルの人じゃない?
[01:44:00.360] フィッシュベルの人かな?血装を変えて
[01:44:03.320] すごいね。
[01:44:04.000] ランおじの放ってませんが
[01:44:06.040] フィッシュ。え、しかもなってねえのかよ。それひどい。で
[01:44:10.737] [笑い]
[01:44:14.760] さすが本の。
[01:44:15.880] しかもお前のお前の部なってないやん。なってんのかと思ったわ。笑
[01:44:22.159] おじあのあの字をオになってますやん。嘘やろ。
[01:44:26.840] 闇の2
[01:44:27.400] がくてライブ渋いライブしてくる血がつみやぞ。こちとら
[01:44:32.119] なってないの本当か。
[01:44:33.360] 詳しい話は後です。とにかくマリベルお嬢さんすぐ一緒に村に戻ってください。
[01:44:39.440] フィッシュベルの人じゃんって呼ばれるんだな。多分俺も多分俺も多分なんかこんくらいのモブだから。
[01:44:44.599] え、あ、栃木の人じゃんって言われるんだろうな。な、
[01:44:48.000] 何なのよ。もうちょっとちゃんと話しなさいよ。
