[00:00:45.399] 今日は茶色やな。
[00:32:54.440] ッドで夜飛ばさないと2
[00:32:55.799] タッチで終わるんじゃ。
[00:32:57.039] びっくりした。あ、え、犬、犬、
[00:33:02.519] 飯食わないと走れない。減ってるからね。お腹空いて走れない。
[00:33:07.720] そういうことか。そういか。
[00:33:13.240] アンパンマン。
[00:33:15.679] ちょっと待って。おい、なんで俺の家はねえのかよ。の地
[00:33:21.840] バカめ。バカメ。ストりゲームだ。
[00:33:24.639] 笑笑。
[00:33:26.039] イステルゲームです。
[00:33:29.360] 何?笑笑って何?なんか誰か誰かコメント笑笑笑あ俺あぐ
[00:33:35.000] なんかチャットになんか出たなと思ったら俺ちょっと何これ?
[00:33:39.039] 進捗達成。いい夢見てね。
[00:33:41.200] びしょ。で、これ俺がもらってくと
[00:33:43.799] ベッドは壊して手に入れちまうべ。
[00:33:45.799] そういうこと。そういうことだな。お前の家はもうなくなった。
[00:33:51.080] はあ。
[00:33:52.279] 何?まずさ、何するべきなの?とりあえず
[00:33:58.120] あ、鎧いを着た方がいいよね。鎧いを着た方がいいよね。鎧い着た方がいいよね。どうやってやん。まずこうな。はいはいはい。よしよしよしよしよしよしよしよしよしよし。まずはな。
[00:34:17.040] ほんでもう俺もうもうマジでもう効率
[00:34:20.879] ないよりまし
[00:34:22.399] 効率を求めるんであれば松明を作るとか
[00:34:27.079] だ松明を作るためにはあれが必要だね。あ、そうか。あれか。焼かなきゃいけないんだ。木を木端作んなきゃいけないね。これどうやって仲間すんの?おいおいおいおいおい。いすぎちゃうか?いすぎじゃねえか。おい。
[00:34:43.000] あれなんか
[00:34:44.639] 2
[00:34:44.879] 匹いるの大丈夫?あの誘爆してさ、誘爆して死ぬことならない。あのトル猫の不思議のトル猫の大冒険みたいな感じでトル猫の大冒険みたいな感じでさ、あの、あの爆弾は
[00:34:57.560] 2匹でさ、爆弾員は2
[00:34:59.079] 匹で誘爆して死ぬ。うわ。よしよしよし。ちょっと分かった。あれだな。今あのかが欲しいな。かが欲しいわ。
[00:35:11.880] かがまずかを取り行こう。どこに行けばいいんだ?なんかあのあんまり地面掘りたくないんだよね。あの地面をさ、掘ってただ掘ってさ、なんかあ、操作感悪ない?
[00:35:27.880] ハードコアだったら今くらいの距離でも死にそう。
[00:35:31.680] ハードコアやで。これハードコアだよ、これ。なんか洞窟ないかな?自然にできてる。ちょっと朝チャップでいいねんな。
[00:35:38.800] 私が来た。あいちゃいフり。
[00:35:40.520] 朝チャプでいいねんな。朝チプで。朝チャプ。あいちゃんこんばんは。あんさんこんばんは。朝チプでいいねんな。なんかさ、あの洞窟ねえかな。洞窟
[00:35:52.079] 土曜日楽しみ。あいちゃんパチパチ。
[00:35:54.480] もう俺めっちゃ不安になってきたわ。よくよく考えたら俺あんま
[00:35:58.920] 1人でやったことねえなっていう。
[00:36:00.760] 掘ルべ。
[00:36:01.839] え、掘るしかねえのかな。あんまりそういうことしたくないんだけど。自然のリに反するじゃん。人間のエゴでじゃん、それ。
[00:36:10.760] 人間のエゴじゃん。
[00:36:11.880] こっちでも配信するの?
[00:36:13.359] あ、するよ。する。もちろん書団みたいに掘ったらいいじゃん。てるイメージないよね。
[00:36:18.640] マイクラ。あ、でもね、俺ね
[00:36:20.319] 2
[00:36:20.640] 年前にイベントでね、あの、イベントというかねやってるんだよ。
[00:36:24.640] あいちゃいふりフり。あいちゃいふりフり。あいちゃいふりフり。自然に優しい配信者だ。奪ったりするやつが何言ってんだけ。人間は塊だよ。ほえ。
[00:36:38.400] びっくり。うお。
[00:36:40.400] これはい。これはおちょ、ここ
[00:36:43.200] あいちゃいフりフり。
[00:36:44.520] ここいいんじゃない?ここなんじゃない?
[00:36:47.760] うお。
[00:36:49.319] ここら辺。これまずちょっと石、石ください。石とな、とりあえず石もら。
[00:36:55.000] フりフりとな。
[00:36:56.280] これで何回死んだことか。
[00:36:58.240] 石石。とりあえずなとぷんちゃめちゃんと上に戻れる。人間のエゴ。
[00:37:04.440] 今は今はいいねん。そんなちょはいいのよ。
[00:37:07.760] そんな洞窟とかのダイヤとかじゃない。まだ
[00:37:09.920] パイちゃいフりフりちゃんのぷンちゃ。
[00:37:11.720] まだまだまだど、あのね、いいの?これまず石が欲しいから俺は
[00:37:17.200] 段階踏んでけよ。段階ちゃん段取りがあんだろ。
[00:37:19.440] ちゃぷんちゃめ
[00:37:20.720] ちゃあれがあんの
[00:37:22.599] チャマベリーベリー。
[00:37:23.520] うるせえな。あ、
[00:37:26.240] チャベリーベリー。
[00:37:27.319] 文字で撃たれてたんだ。
[00:37:28.400] 石だ。
[00:37:29.800] 文字で撃たれてたんだ。
[00:37:32.800] ドじシグビビリ。
[00:37:33.720] やっぱやっぱやっぱやっぱいやっぱ石を。
[00:37:36.280] まずはな、まずは石よな。まずはな。はい、こんばんは。こんばんは。レさん、こんばんは。久のスタンプ詐欺し強い茶窓舐めててドシグビり。
[00:37:46.359] よしよしよしよしよしよし。俺知ってんねん。こうやって上がれるんだよ。
[00:37:53.200] こうやって上がれるんだよ。こうやってねこうやって上がうこう坊主
[00:37:59.520] こうやって上がれるって聞いたんですけどほれ
[00:38:02.400] 滝り。
[00:38:03.599] よしよしよ。
[00:38:06.440] ようよ。
[00:38:10.520] ちゃま知ってんねん。
[00:38:12.680] あ、ちょよ。
[00:38:18.040] オオオ。まず石た。まずまず手にた石をな。俺さ、
[00:38:22.319] 明らかに眠れ。
[00:38:26.480] ま、あの家はあれ?あ、これか。これ俺がさっき置いたやつやな。まずここを拠点にしよう。俺たちのまずここを拠点にしよう。
[00:38:39.160] あれ?あれ?か、かってなんで?かってつくんだっけ?かずつくんだこれ。かずつ映つくんだ、これ。ん?あ、違う。な、なん、なんで乗ってんの?これこうだろ?
[00:38:53.200] 作業台で作って。
[00:38:54.599] あ、こうか。よしよし。こうでしょ。こうでしょ。オッケー。オッケー。オッケー。オケオ。
[00:39:04.319] よしよしよしよしよし。いや、いい。
[00:39:09.560] 変の手入れ。
[00:39:10.560] よしよしよしよしよし
[00:39:12.200] よしよしよしよしよし。
[00:39:13.440] ああ、こいつバ鹿だ。
[00:39:14.359] よしよしよし。あれ?あ、違う。ここか。これ半分
[00:39:24.280] 半分だけ置くとかってなんかどうやってやんだっけな。あったよな。
[00:39:29.079] 半分だけ置くってどうやってやんだっけ?ま、とりあえず焼いて。あれ?あれ?
[00:39:37.599] あれをあれする?
[00:39:38.440] あれ?これ。あれ?これどうやって焼くんだっけ?
[00:39:42.480] ディノ男性。
[00:39:45.520] あれ?火使うね。あれ?
[00:39:52.880] 頑張れ。頑張れ。
[00:39:54.240] これなんでこれ火つかないの?あれ
[00:39:59.079] 燃やせるのは原木な
[00:40:01.440] え。そうなん。
[00:40:03.119] ディノダ
[00:40:03.760] 燃やせるだろ。板材もなんでめんどくせえ。なんかなんかちょっと待って。
[00:40:16.040] えっと、
[00:40:16.520] 魂も燃やせるけど島無所島無所に無所茶窓下うち
[00:40:23.599] 斧ってどうやって作んだっけ?こうでしょ。よしよしよし。
[00:40:29.880] 斧しよしよしよし。じゃ後でぶち切れてきってたの思い出した。
[00:40:35.560] とりあえずとりあえずとりあえずあれな、とりあえずあれな、あの原木借りに行くわ。
[00:40:43.319] 夜までにあのあれがねえとだめだ。が
[00:40:46.440] ドベリーベリーグダグダ。あ、
[00:40:48.040] クソ早えや。クソ。
[00:40:51.319] よしよしよしよしよし。ちなみにきこりってあの放送禁止用だからな。なんでかは知らんけど。なんでかは知らんけどな。木が全然ねえじゃねえかよ、この辺。うわ、なんかあっちの鳥行かなきゃ。
[00:41:09.440] そうなんですか。
[00:41:10.000] そうそう。
[00:41:11.160] なら
[00:41:12.280] ダメなんだ。きこりって言っちゃあ別用語らし。
[00:41:16.200] 無言で気を切るのおもろかったね。
[00:41:20.880] 前に俺が死んだらワールドリセットっていうやつでエンダードラゴン倒せるまでやめれませんしたんだけど
[00:41:29.599] 俺動しやってたからさ、眠たくなっちゃってさ、
[00:41:33.160] 8
[00:41:33.400] 時間ぐらい寝たんかな?多分俺ちょっと寝させてくださいって。
[00:41:37.520] ここで寝てさ、寝てる間もみんな視聴者がさ、あの、やってくれたんだけど、起きて
[00:41:42.480] 5分で死んだよね。起きて
[00:41:45.960] 5
[00:41:46.119] 分で死んでワールドリセットになって、俺が寝てる間
[00:41:49.119] 8
[00:41:49.319] 時間みんな努力してやってくれたら無駄。あの、全部水の泡になって
[00:41:55.440] あん時は誰も笑ってなかったような気がするな。誰も笑ってなかった。
[00:42:01.040] 時間を返せ。
[00:42:03.000] 誰も笑ってなかった気がするわ。
[00:42:08.920] ハードコアツハなどの消耗は早いの?
[00:42:12.280] え、わかんない。どうなんだろう。ゆけさんこんばんは。ゆけさんこんばんは。どうなんだろう。ハード
[00:42:19.920] なんとかやは差別だっていうエ語みたい。
[00:42:22.359] あ、そうなんだ。気でもきてことない。
[00:42:25.520] そんなことないんだ。だから敵は強いんでしょ。敵は強いんでしょ。チャンネルが言ってたよ。
[00:42:31.240] チャマさんやったことないのって言た。ちょ、逆神び入って。
[00:42:37.960] 笑や。
[00:42:39.280] 何?
[00:42:39.760] 盾必須レベル
[00:42:41.000] 盾必須。盾作ろう。じゃあ
[00:42:44.079] こ長。
[00:42:46.800] あれ?マジ?こんなもんでしょ?こんな感じでしょ?早く泳ぐのってどうやってんだっけ?ここから言うても
[00:42:54.319] 1回やってますから。これ言うても
[00:42:57.040] 1回やってますから。
[00:43:01.880] あれどこにだったこ
[00:43:02.680] みんなうっすらけいちゃんのもノまねできる。
[00:43:07.680] よしよしどこにどこに置いたんだっけ?あれどこに置いたんだっけ?いや、ゲ音ちっちゃい。ま、別にどうにかそんなあれどこにどこにどこ?あれどこでしたっけ?僕があの
[00:43:22.599] みんな覚えてません。
[00:43:24.280] どこでしたっけ?あれ?
[00:43:31.119] 死亡時のリスポーン負。体力ゲージの変化食料管理資源ボーナスなしってことらしい。
[00:43:37.960] ああ。
[00:43:41.040] ふう。へえ。
[00:43:43.920] ゲーム音は小さくてもええよ。
[00:43:46.040] ええか。やばい。あ、ベッド取られる前に行こう。
[00:43:53.440] ベッド取られる前にちょっと言い入ねえとベッドまた取られちまう。イストルゲームだからこれフルーツバスケットやからこれ。
[00:44:00.800] 笑笑
[00:44:01.920] ベッドまだ取れるあいつのに。ここは
[00:44:04.960] ベッド争奪。
[00:44:06.200] ここか?ここか?あ、ない。え?ベッドない。
[00:44:09.119] ベッド持っとるやないか。
[00:44:10.599] あ、ベッド。あ、ベッド持ってた。
[00:44:12.839] 奪ったろ。ベッド奪ったんじゃ。
[00:44:14.960] せっ、せやった。せやった。せいやった。せやった。こうやろ。危ねえ。よし、よし、よし、よし、よし。
[00:44:21.680] イストリゲームで持つな。
[00:44:23.280] よしよしよしよしよしよしよし。あ、持ってこ持ってこ持ってこ持ってこ持ってこってこ持ってこよ。いいぜ。でさ俺さっきどこに置いたんだっけ?どこに置いたんだっけ?あのあった。あれだ。石。石ととりあえずあのもう地めっちゃ作ってもう洞窟見つけてもうさとダイヤ装備行くよ。イヤ
[00:44:46.720] 探しに行く。それ1番1番それ早いから。
[00:44:50.160] 1番早い。
[00:44:52.480] まだここな。えっとぼ原木をあ、ほらこ。よしよしよしよし。まだな。
[00:45:01.599] ブランチマイニング来る。
[00:45:03.200] よしよし。出た。ブランチマイニングやったなあ。なんかなんかさあるよね。ダイヤが
[00:45:10.680] 1番出やすい座標みたいな。
[00:45:13.160] 1番下からちょっと上みたいなあるよね。
[00:45:16.640] 1番下からちょっと上みたいな。
[00:45:20.359] うわ、これかなり原木必要じゃない?これ
[00:45:23.880] 原木あれなんだね。板剤って焼けないんだ
[00:45:27.760] 。板剤って焼けないんだ。
[00:45:32.680] ちょっと家作るかな。家作ろっかな。まあ
[00:45:36.559] 、家作べ。
[00:45:45.000] よしよし。
[00:45:47.480] とりあえずな、とりあえずな、とりあえず、とりあえず分かりにくいから、今のまんまじゃ、今のままじゃ分かりづらいから。
[00:45:54.720] つ
[00:45:55.640] じゃ、今のまんまじゃちょっとどこにこれがあるか分かんなくなっちゃうから。なんならだってこれ、ここからここからあの、あれしてもいいわけでしょ。あの、ここからブランチマイニングしていっても言わけ。この下にな。
[00:46:13.079] これ下に扉ってどうやって来んだ?扉
[00:46:18.640] 違う。
[00:46:22.960] なんだこれ?よし。
[00:46:28.559] こうでしょ。オッケー。オ3個もいらない
[00:46:31.559] 。3個もいらないけどな。
[00:46:35.640] よしよし。うわ、これ操作なれんの
[00:46:38.400] めっちゃ大変だな。
[00:46:45.079] お、いいね。いいね。これさすが経験者ですわな。この辺やっぱ
[00:46:54.400] 何これ?
[00:46:55.359] 何がよ?家だろうがよ。家だが。おい、
[00:47:03.240] 狭い入り口
[00:47:06.000] じゃ。狭い方がいいんだよ。ゾンビ入ってこないから狭い方がいいんだよ。
[00:47:12.359] 見物や牢獄やん。
[00:47:15.920] 確かにちょっとなんで扉があんななんかあのお疲れ
[00:47:20.160] 鉄合士みたいななんななってんの?あれ
[00:47:23.359] ソファーとか入れる時困る家。
[00:47:25.800] お疲れちゃん。ありがとうございます。こんばんは。こんばんは。ちょっとでもね、コメント欄なんか見えてないんでごめんな。
[00:47:33.079] よいしょいしょよしよしよしよしよしよしよしよしもこれポンポンポンポンポンって置けねえんかなこれポンポンポンポンポンって置けねえんかな
[00:47:46.440] ひ
[00:47:48.920] 鉄合し窓なしよしよしよしよしよしよしよしよしや別にあれだっていやそ
[00:47:59.760] 俺だってね、あの、あれなんですよ。ちゃんと、あの、なんて言うの?時間、あの、しっかりやるんだったらちゃんと作るんだけど、もう今はちゃうね。あの、このイベントはね、
[00:48:12.880] このイちゃうねんて。このイベントの趣旨分かってないわ、みんな。そういうことじゃないから。
[00:48:18.720] 壊すための拷門。
[00:48:20.119] そういうことじゃなくて、あの、こう綺麗な建築を楽しみましょうね。じゃないのよ、このイベントのシュタルは。
[00:48:29.359] そうじゃないからね。これ半分だけ置くってどうやってやんだっけな。これ半分だけ置くってどうやってやんの?これこうやってこうやってやんなきゃいけないの?
[00:48:39.559] 練習も真面目にできないのに本番真面目にでき
[00:48:43.000] 真面目にあれあれどうやって統地ってどうやって作くの?あ、こうかいらないんか?これいらないんけ?これこうでしょ?こんなんがあったらもうもうオッケーよ。もうオッケー。もうオッケー。もうオッケー。
[00:48:57.920] オッケー。よし。したらもうちょいテ
[00:49:02.720] ストを押しながらとかコントロールキーをしながらで数合わせられなかった。
[00:49:06.839] なるほど。そういう感じね。そういう感じね。ちょっと石、石のさ
[00:49:13.640] ク石の剣と石の剣とこれとピッケルは作っておきたいよね。
[00:49:25.200] 2個くらい作っといたからな。
[00:49:26.319] ピッケルはな、掘るから。あ、もっと作ってシャベルも作っとこっかな。一応な。あれになっちゃった。あれ、
[00:49:42.079] 横のレシピ本から探せなかったけ?
[00:49:44.559] あ、そういうのもあんのか。そういうのもあんのね。オッケー。あ、作れた。あ、作れてないんだ。いや、待って。
[00:49:56.640] あ、あ、作れてる、作れてる。あ、もう1
[00:49:58.160] 個作っとくか。
[00:50:00.119] オッケー。オ、オッケー。なんでこれ置け
[00:50:02.559] ない?あ、ここか。
[00:50:05.920] え、本当に?え、あ、待って。お、あ、あ
[00:50:09.280] 、頷いた。今、今頷いた。今頷いたよね。
[00:50:14.040] だからなんだよ。よし。あ、
[00:50:19.760] あれ?
[00:50:21.480] あれ?また止まっちゃった。
[00:50:27.280] 最
[00:50:29.200] 動いてる。動いてる。
[00:50:31.079] 同意終えたジャンポケ斎藤みたいなことすな。バツ来た。
[00:50:35.760] あれ?あれ?ちょっともうめんどくさい。ちょ、どうやってやんだよ。もうこれマジでどうやって本番ちゃんとできるかな?これなんかまいっか。よし、とりあえずオッケーね。オッケー。オッケオッケー。
[00:50:53.000] もう焼き終わったかな?焼き終わったか?
[00:50:55.880] あ、焼き終わってる。よしよし。ほん
[00:50:57.799] じゃあちょっともう行っちゃう。もう行っ
[00:51:00.839] ちゃおっかな。もうきったねえな。もう
[00:51:04.079] ポケットん中きったな。きった
[00:51:08.359] よし。これで
[00:51:12.520] もここから行っちゃおっか。ここから
[00:51:18.280] 正確でちゃう。ここかな。
[00:51:21.119] ポコアなら整理してくれるのにな。
[00:51:23.720] え、何?ポコアって何?自動で
[00:51:25.040] 投げくる
[00:51:26.079] やってくれんの?あ、もうこっから行くよ。こっから行くよ。もう、もうだってこれあれだからね。あのこのマイクラはあのイベントの趣旨はあのエンダードラゴンを倒さなきゃいけないわけですよ。ほんな悠長に綺麗な家なんかね、立ててるね。あれじゃないんですよ。
[00:51:41.559] MOD
[00:51:41.880] があれば自動整入りあった気がする。
[00:51:44.400] へえ。影
[00:51:47.480] MDたかったな。
[00:51:51.200] もうだからもうガンガンダイヤ取りに行きますよ。わしはガンガンダイヤを取りに行く。これ座標ってね、座標ってどうやって出すんだっけ?なんかあったよな。座標。
[00:52:03.799] えっと、ビデオ設定座標ってどうやって出すんだっけ?良いグラボあったらアトックスで画質えぐいことにできるんじゃなかったかな?
[00:52:15.640] へえ。どうやってやるんだっけな?
[00:52:21.440] 水流れ込んできてうわってなれ。
[00:52:23.720] これ座標ってどうやって出すんでしたっけ
[00:52:25.799] ?
[00:52:27.680] 座標ってどうやって出すんでしたっけ?
[00:52:38.240] なんで誰も何も言わねえんだよ。なんで誰
[00:52:41.480] も何も言わねえんだよ。
[00:52:48.040] わかんねえよ。答え沈黙。
[00:52:52.440] サンサンキーさんもおい
[00:52:54.640] キャマどベリーベリークテファせおおでっか。
[00:53:01.280] これさ、なんかあの
[00:53:04.160] Z軸が
[00:53:06.559] しむむし村しまむむ
[00:53:09.359] でか
[00:53:10.480] でかくないこれラピスラズりな何に使う?
[00:53:17.480] 真ん中に出てる軸。
[00:53:20.400] うん。ぜ、こんなに、こんなにでかく出なくていいんだけど。
[00:53:25.000] のもちっちゃ
[00:53:27.160] もしくはゲーム設定画面の座標を表示自分で来たことして挨拶お疲れ何?もしくはゲーム設定画面の座標を表示設定画面ゲーム設定画面どれ設定画面ってゲーム設定画面ってど
[00:53:54.680] ゲーム設定が見る。全然わかんない。
[00:54:04.680] 全部触って全部確認しよ。
[00:54:07.079] 全然わかんねえよ。もういい。もういいわ。もういい。いい。いらないらない。やり方がわから。
[00:54:15.599] F3キって書いてる。でもFま、F3
[00:54:18.520] なんだけどさ、こんなこんなでカデカというらない。
[00:54:30.119] 硬う。硬。これこの速度で。あ、しかも取れないんかい。この速度でやってる。
[00:54:38.680] 笑笑。
[00:54:40.480] 鉄ならな。
[00:54:41.640] とりあえず、とりあえず石でいいんだよ。とりあえずな。とりあえず石でいい。とりあえずな。
[00:54:47.400] よしよしよしよしよしよしよしよしよし。で、この
[00:54:57.640] こんく。
[00:55:01.160] あ、これ配信だと思ったよりそうか。俺はそんな暗くないんだけどさ、配信だとめっちゃ暗く見えたりすんだから多分ね。なるべく多めに置いてくわ。鉄とかなんかせめて鉄とかでもいいからさ。
[00:55:15.040] ガメれ。証拠アディナテスブル鉄闇
[00:55:19.440] 鉄とかに
[00:55:20.040] も出るとか
[00:55:21.480] え、鉄もさ欲しいんだよね。その何の洞窟にも当たんのやめて欲しいんだけど。何の洞窟にも当たんのやめてね。
[00:55:50.240] とりあえずダイヤの装備作んねえとよ。
[00:55:55.119] お話になんないっしょ。
[00:56:03.799] 地味やなあ。
[00:56:06.400] 地味ですなあ。
[00:56:07.839] ダメな本当に大丈夫かな?不安なってきたわ。なんか俺本当に土曜日大丈夫か?これ
[00:56:20.119] ちゃん。F3+6
[00:56:22.559] のプライアポシチオンをアルワイスにしてもいいとも書いてる。
[00:56:26.160] 危ねえ。おいおいおいおいおい危ないぜ。ほれ。え?うお。
[00:56:36.319] あ、意外と深い。怖い。意外とお見て。あ、やば。あ、やばい。やばい。やばい。やばい。やばい。やばい。やばい。やばい。やばい。危ねえ。なほね。ここはもう
[00:56:49.920] お疲れちゃん。あ、
[00:56:51.799] よしよしよし。いや、大丈夫。けけけ。
[00:56:55.319] あ、ぶな危ない。笑。
[00:56:57.960] 危な、危な。じゃあちょっとこの辺横に行っとくか。あいつ当たんないようにな。当たんないように。当たんないように。
[00:57:09.240] ちょ、この辺、え、どうしよっかな。もっとでも下行きたいよね、
[00:57:12.520] これ。録画
[00:57:14.160] 何が録画じゃねえよ。何が録画じゃねえよ、これさあ。え、さすがにやばいやな。こいつ
[00:57:23.559] やってるのね。
[00:57:24.240] やってる。やってるだろ。
[00:57:26.640] やってるだろ。ちょっとこれ迂しよう。この地、地コ迂しようぜ。
[00:57:36.400] これ多分
[00:57:36.880] スプロでスプロで
[00:57:38.760] 俺が思ってるよりみんな暗いよね。多分
[00:57:41.960] なんかさ、常にこれさ、
[00:57:43.760] お疲れ。
[00:57:44.359] こういう疑いのある配信者がいたらしいね。
[00:57:47.680] へえ。あ、こうだよ。やり方分かったよ。うわい。お疲れ。わさん。わさんお疲れ。我がさんお疲れ。
[00:57:56.039] スプロで。スプロ。
[00:57:57.280] ちょっと土曜日よろしくね。
[00:57:59.079] 土曜日よろしくね。けちゃん曰。
[00:58:02.520] 俺は経験者枠らしいんで、いいちゃんいく。俺は経験者枠で誘ってるらしいんで、ちょっと
[00:58:11.200] 練習やっておいてよかった。
[00:58:13.039] いや、マジでな。
[00:58:13.640] す、す、ほら、これあるや。素
[00:58:16.039] 童貞。これあれやんな。なんか夢やんな。これ鉄だよね。確か鉄のさ、色変わったんだよ。
[00:58:22.640] そんな経験者枠そして元々の言い出しっぺと聞いてます。我が輩さんも出るの?
[00:58:28.280] 我がも出るよ。ガも出るよ。我がも出るよ。
[00:58:31.039] あ、どうだった?これ鉄じゃない?
[00:58:32.559] どうでは?
[00:58:33.319] どうでした?わ、
[00:58:34.359] どうだな?
[00:58:35.480] どうですな?どうも取っとこうぜ、一応。一応どうも取っとこう。難しい操作
[00:58:49.160] でもどうも装備作れるようになったので。
[00:58:52.000] あ、そうなんだ。同装備ってなかったんだ。本当に経験者かっていう。
[00:59:01.480] あ、分かった。こっちを下に掘ってこうか。じゃあこっちを下に掘ってこうぜ。もう最速ダイヤ装備なんだ。
[00:59:07.520] の間らしいです。
[00:59:08.799] あ、そうなんだ。あ、銅のピッケルとかもあるってこと。あ、これ早いな。
[00:59:15.920] 銅の剣やったぜ。
[00:59:17.559] あ、銅の剣暑いじゃん。ドラクエみてで。ちょっと鉄ぐらいは取らねえとさ。鉄ぐらいは取らねえと帰れねえよ。
[00:59:31.240] 何いな?なんかこのなんかなんかでも落ち着くんよな。この土掘ってる時って土いじってる時ってさ、やっぱ
[00:59:39.039] 鉄ないとダイヤほれんしな。
[00:59:40.680] そうなんだよ。そう、鉄のにダイヤに当たっちゃってもしゃねえんだよな。ここまで鉄、鉄に
[00:59:45.359] 1個も当たってないって。もうて、
[00:59:48.480] 土石。
[00:59:49.799] おい、みんな引いちまったみてだよ。
[00:59:52.640] おい、引いちまったみてえだな。これはいいぞ。
[01:00:03.720] 埋蔵金マジ
[01:00:08.039] いますね。
[01:00:09.920] くっさ。
[01:00:12.920] あ、あ、あ、あ、あ、あ、あ、あ、あ、あ。アドベンチャあった。
[01:00:17.280] あ、あ、あ、あ、あ。ちょっと来やめて。来ないで、来ないで、来ないで。
[01:00:23.079] やば。
[01:00:24.960] 笑笑。
[01:00:27.599] 可愛い。
[01:00:31.079] こわ。
[01:00:33.000] 笑笑。
[01:00:33.760] あと画面あと画面暗。プロプロスプロで爆発の彼怖すぎる。チげ。これさ、
[01:00:41.319] これさ、画面の明る
[01:00:42.880] 経験者は違うな。
[01:00:44.079] 明るさがなんで明るさが暗いになってんね。
[01:00:47.839] なんで最初から明るさが暗いなんだよ。
[01:00:52.039] 50
[01:00:52.319] では最新はもこんなんやった。チカはもこんなことった。あ、良くなったんちゃみんななんだ気持ち悪。
[01:01:01.000] 臨場感があるから。
[01:01:07.400] バチバチに明るくせえ。明り
[01:01:10.400] 明りーべ。やべやべやべ。別に多くは望まない。多くは望まないねん。多くは望まない。
[01:01:19.480] ただちょっとだけください。ちょ、あ、鉄あった。
[01:01:22.039] あ、いい。
[01:01:22.760] 鉄あった。ピコ太郎の
[01:01:25.839] 2
[01:01:26.000] 作目みたいじゃん。暗い暗い暗い。つよ。硬。勝たない。これどんだけ勝てんだよ、こいつ。
[01:01:35.039] いごび。
[01:01:39.640] 硬くね。うわ、しかも水漏れてる。この辺だけ。いや、多くは望まない。この辺だけ。
[01:01:49.440] この辺だけ取って帰ろう、一旦。さすがに無謀すぎる。ライクライクライやする。
[01:02:01.359] あのピコ太郎の2作目。
[01:02:03.440] あ、
[01:02:04.240] 朝チャプ。うん。まず朝チャップで暗い暗い暗い暗い暗い暗い明るいってやつ知ってる?あ、おい、知ってるかって聞いてんだよ。
[01:02:14.400] きたちゃんエンドラマで言ってたぽい。
[01:02:16.480] え、
[01:02:16.680] 人のネタで滑るのずるいよね。知らね。
[01:02:20.960] なんで知らねえんだよ。ピコ太郎
[01:02:22.640] 2作目だろうぜ。
[01:02:24.799] 2
[01:02:25.000] 作目なんてあったんですか。一発屋の盤年きつい。
[01:02:28.880] ある。
[01:02:31.200] それは言われへん。
[01:02:33.119] よしよし。ちょっと節作しよう。石のこの木の木のピッてる。
[01:02:36.799] ネズミ先輩現在
[01:02:40.200] ネズミ先輩ので初代のネタ擦すってたよ。
[01:02:42.760] あ、そうなんだ。今CM出てんだ。
[01:02:45.720] なんとか大魔王ね。小坂大魔王だっけ?ちょっと鉄を鉄のピッケルじゃねえとちょっと作業なりませんわ。
[01:02:55.680] けいちゃんからその北ちゃんとどうランクの腕前だと思われてるぞ。
[01:03:01.839] 無理があろうと思います。それは無理があろうと思います。てかね、あいつらゲームうますぎんねん。あいつらちょうますぎる。ゲームうますぎるからね。嫌いやねん。
[01:03:14.760] 嘘、嘘、嘘。好き、好き、嘘やで。ちょっと分かり。
[01:03:18.480] エアプのちょっと上くらいのレベルなのに。経験者
[01:03:22.319] ひめプ。あ、
[01:03:25.480] やじゃない。好き好き好き。大好き。大好き。いやあ、こんなこれしゃがむって言ってんだっけ?
[01:03:32.559] 本人も気にしてたよ。
[01:03:34.200] え、何が?何がゲームうますぎて困るって?ゲームうますぎて困っちゃうってさ。
[01:03:41.240] もうちょいなんかないか。もうちょい
[01:03:44.240] なんかねえか。
[01:03:47.319] ああ、鉄あった。あ、なんだお前は。
[01:03:52.839] くっ取れ。こらん。人間様をなめるなよ。
[01:03:57.920] あ、りんごで殴った。危ね。りんごで殴っ
[01:03:59.480] てた。
[01:04:03.799] あ、鉄ありますね。ああね。
[01:04:06.319] でも思ったより敵いなくない?
[01:04:08.279] どれでもうまくできるから失敗すると嘘臭く見えてまるで面白くないんだって。な
[01:04:13.559] んだよそれ。
[01:04:15.960] 死んでますか?
[01:04:18.240] 渡る疲れ使え。死んでないよ。約あのイベントぶり。あのあの
[01:04:23.760] 30
[01:04:24.160] 何時間のぶりにやってるけどだもう忘れちゃってるね。操作とか。よし。
[01:04:34.359] 姿勢いいね。
[01:04:36.119] 姿勢いい。今日姿勢危ねえ。なんかさ、これ勝手にジャンプすんのやなんだけど。この一段のとこに行くと勝手にジャンプすんだよね。これやだ。これやめたいな。これやだな。勝手にジャンプしないで欲しいな。
[01:04:50.359] 人だね。
[01:04:51.920] そうだ。どうやってやるんだ?操作って。あ、これいらない。自動ジャンプいらん。
[01:04:57.839] 自動ジャンプ切るとこありましたね。
[01:05:00.079] あった、あった。切った方がいい。
[01:05:03.720] わあ、もうちょっともうちょ、朝でいいん
[01:05:06.200] だけど、もうちょっと借りたい。もう
[01:05:08.920] ちょっと鉄欲しいな。まだだって全然多分
[01:05:11.839] 足よね。意識揃えんのに。
[01:05:16.680] うわお。これは
[01:05:22.400] お合いま来ちゃった。
[01:05:25.640] あれ取れ
[01:05:28.000] ね。やだな。
