[00:00:43.559] 向き合うき
[00:35:51.400] にある。覚えろよ。そのなんなん?何?なん、そのたまに来る?これ来たり来なかったりする。これうまい。うまいやん。うまいやん。
[00:36:11.240] 来たり来なかったりしろ。
[00:36:12.880] 来たり来なかったりすんだよ。こいつ
[00:36:15.280] 馬やねん。あ、混ざった。あ、混ざった気がするよ。まずちっちゃちっちゃ。あ、パー来た。
[00:36:26.200] 田中シングル。い
[00:36:28.560] やあ、何?どれが田中シングルなの?どれが田中シングルだよ。ほ。うまいね。
[00:36:29.035] [叫び声]
[00:36:38.200] ヒトラスさん
[00:36:39.000] 馬やねん。浜やねんね。浜やねんね。
[00:36:43.160] オクススススピアチックエラべ。オクススススピアチックエスチック。
[00:36:52.160] いや、これ取られへんやんけ。どこを目指すんの?上でいいのか?とりあえずだ。ちょっと分かってきたぜ、このゲーム。
[00:37:06.960] 分かってきたよ。
[00:37:11.040] BGM
[00:37:11.480] かっこいいな。あ、何気にこれトがあるんだ。危な、危ないすよ。
[00:37:20.680] 普通に行けそう。
[00:37:22.880] ただ待ってでもどうすりゃいいか。
[00:37:24.640] え、
[00:37:27.000] なんで今ダメージ受けた?
[00:37:36.160] ほんで
[00:37:38.240] こっからどうすんの?
[00:37:42.160] あ、なるほどね。分かった分かった。そう
[00:37:43.480] いうことね。はいはいはいはいはい。
[00:37:45.359] 分かりましたよ。ほいはいはいはい。
[00:37:49.079] なるほどな。
[00:37:51.240] はいはいはい。な、分かってきた。待って
[00:37:54.040] きた。コツ掴んできた。
[00:37:57.119] ああ、こういうことね。はいはいはいはい
[00:37:59.160] はい。なんでなんでよもう
[00:38:05.280] あとボス別に戦わなくていい。別に別に
[00:38:08.640] 戦わなくていいっていう。それが1番1番
[00:38:12.520] 1番いいあれかもしんないな。
[00:38:28.880] はいはいはいはいはい。
[00:38:33.119] ああ、うぜえな。うざいな。
[00:38:37.079] えや、もだるなんやねん。もう
[00:38:40.400] ちょ、ロケラン打ってみるか。ロケラン
[00:38:41.800] 使ってみるか。
[00:38:47.640] 結局さ、ま、いっかケラン使ってみるわ。じゃあどんなもんなんか。
[00:38:58.520] チャッピーに画像作ってもらったから雑談に発たわ。
[00:39:03.359] え、待って。めっちゃ強くね、これ。ありがとう。めっちゃ強くない?
[00:39:11.040] ロケラン火力かそう。
[00:39:12.839] 火力バカでしょ、これ。
[00:39:13.800] マリコの髪型にもして欲しいです。ガチやん。
[00:39:17.119] 何?何?何?マリコの髪型。なんか最近マリコ何?値段上げたの?なんかさっき言ってたけど値段上げたのだよ。
[00:39:26.960] え、そうなん?ラッパーやん。なんかこれ
[00:39:38.880] 路線変更しすぎ。
[00:39:40.760] そうなんや。
[00:39:43.000] 誰ね?このさ、ブルドーザーどう倒すねんって話なんだけど。
[00:39:54.040] まだプロテイン飲ってる。
[00:39:56.119] 何飲む会って?元々そんなことやってたの?オミ処理場はエリア
[00:40:07.839] 9ね。はい。覚えといてな。
[00:40:12.880] 結局もうやつ、
[00:40:18.040] もういや、待って。これめんどくさいな。むずいよ。むずいよ。それはおいな。
[00:40:46.800] あ、ま、まず危ねえ、危ない、危ない、
[00:40:49.440] 危ない。
[00:40:54.200] おい。
[00:40:56.640] うん。もう難しいな。
[00:41:00.079] ほ、うまいね。
[00:41:05.000] オ
[00:41:06.760] はい。オケー。でさあ、よしよし。俺薬1
[00:41:10.440] 個持ってきてきてたからな。薬1個持って
[00:41:12.319] きてたから。よしよし。もうもう負げへん
[00:41:15.400] 。もう負げへん。もう負けへん。
[00:41:18.200] あんで連射力がないすね、これね。連射力
[00:41:20.520] がね。
[00:41:24.240] あ、まあでも、あ、まあでも、あ、強、強。
[00:41:27.063] [笑い]
[00:41:28.359] 3発やん。
[00:41:29.520] つっぴょ、
[00:41:32.560] 強
[00:41:33.920] わ。
[00:41:34.480] ペンダントつよ。これは割と早く行っちまうかもしれねえな。割と早く行っちまうかもしれねえな。あ、エリア
[00:41:47.920] 3と6に行けって言ってたな。エリア
[00:41:50.079] 3と6に行けってたのかよ。
[00:41:52.160] グラさしてた。グラさしてた。
[00:41:53.319] 今日クり。あるな。
[00:41:54.680] あるよね。なんか別になんかだってこのペースだったらいけね。で、ワイド砲どっちで行った方がいいんだろう。ワイド砲で行ってみるか。で、それ何?ちょっと待って。これの効果がわかんないんだけど。ちょ、説明してみていい?ペンダントの効果何?ペンダントの効果ってんだ。説明書読んじゃおう。
[00:41:58.504] [音楽]
[00:42:16.680] 前回の沼が嘘みたいだ。
[00:42:18.599] 本当だよな。なんであんな、俺なんであんな沼まってたんだろう。
[00:42:23.760] なんかさ、俺1回つまづくとダメなんよね
[00:42:26.440] 。[笑い]
[00:42:28.000] 1回ダメだって思っちゃうとダメな時ある
[00:42:30.319] んだよね。敵の弾を1回だけ防ぐ。おお。
[00:42:32.720] まあまあありがたいけど。まあまあ
[00:42:34.400] ありがたいけど。
[00:42:37.559] 1回さ、もうあ、あかんなって思うとさ、
[00:42:41.119] ダメになっちゃう時ってあるよね。
[00:42:58.160] 何?どうすんの?これ
[00:43:00.720] うまい。うまっている。
[00:43:07.040] 何?どうすんのこれ?
[00:43:09.559] え?なんだこれ?
[00:43:14.920] いや、なんやそれ?あるなんや
[00:43:16.319] それ?歩けるんかい?
[00:43:17.440] Twitterのリプとかでも使える画像
[00:43:19.724] [音楽]だからみんな使って。
[00:43:21.000] 何が何があ、作ったやつ危な危な
[00:43:26.280] 雲ちゃうんかい
[00:43:27.720] 雲ちゃうんかいああなるほどなるほどだからワイド砲で来た方がいいよってそういうことね確かにこれはワイド砲で来た方がいいわこはいいよだこのステージのための武器みたいなもんなんだろうな多分ないよ
[00:43:42.440] でしょ
[00:43:44.000] でしょってでしょって絶対知らねえだ
[00:43:45.270] [笑い]
[00:43:55.400] ちょっと髪の毛がもう、ま、もう髪の毛がさ、もう邪魔でしょうがねえな。やっぱもうキリ行きてえな。もう、もうすでに
[00:44:06.440] こんばんは。そのゲームファミコンでワイヤー。
[00:44:08.880] おのきちゃんこんばんは。のきちゃんこんばんは。そう、そう、そう。これあのま、タイトル激アウトなんですけど。
[00:44:10.160] [音楽]
[00:44:15.800] ゴード
[00:44:16.920] ヒットラーの復活という。あ、なんだ、なんだこいつ。なんだこいつ。なんそれ?これ何これ?何こいつないやん。
[00:44:29.319] 刈り上げるんだけど横が伸びてきた。やっぱり剃っちゃおっかな。もうなんやねん、こいつら。何何何?
[00:44:41.680] バリカ買った方が早そう。
[00:44:45.800] え、なんやねん、それ。バリカあるよ。バリカ持ってるよ。
[00:44:54.720] ちょっと勝としないで。サイド買ってあげようか。
[00:44:57.321] [笑い]
[00:44:59.440] サイドでも自分で勝ってるんだよ。いつもいつも自分で勝ってるんだけどね。ほらだからここら辺はないでしょ。危ね。
[00:45:18.240] これ何勝てんだよな。
[00:45:25.640] 神切り行こう。やっぱ戻そう。やっぱり
[00:45:28.800] 戻そう。
[00:45:30.800] がっつりやっぱ刈り上げちゃった方がいい
[00:45:32.400] んだよ。絶対な。あいつなんやねん。
[00:45:34.760] さっきから
[00:45:38.960] 倒せないんだ。
[00:45:43.240] コロ
[00:45:43.800] いやあ、1
[00:45:45.520] 発なんかいやだよ。コーンロとか。あれ絶対さ、頭皮そうじゃん。やだ。だ、あれ髪洗えないっしょ。あれコローとかってなよ。髪洗えないの。髪洗えないと思い出したけど、今日さ
[00:46:05.760] 10
[00:46:05.920] 時から配信しようと思ってちょっと遅れたじゃん。
[00:46:07.720] なんでかって思う言うと風呂入った後に
[00:46:11.000] 風呂入った後になん髪乾かしてたらなんか
[00:46:14.440] 髪気持ち悪いなて欲さ入った頭洗うの忘れ
[00:46:18.200] てたわ。[笑い]
[00:46:20.079] で、そっから入ってさ、もう体吹いちゃっ
[00:46:22.200] たからさ、頭だけ頭だけさ、あのできる
[00:46:25.599] だけ濡らさねえように洗って
[00:46:27.559] 笑笑
[00:46:28.480] そしたら遅れちゃったいな。
[00:46:30.987] [笑い]
[00:46:31.599] いやなんか今日も俺一番最初に頭洗うのね。
[00:46:35.440] やるわ。
[00:46:35.960] やれよな。いっつも頭から上から順々に洗ってくんだけど、なんか今日髭
[00:46:43.000] 欲
[00:46:43.720] なんかしんないけどね。間違ってあのな
[00:46:47.119] んだよ。あの洗顔洗顔出しちゃってで顔洗っててあ順番間違えた。この後髪洗わないとなと思ったらそのままやって髭剃って洗って出てきちゃった。
[00:46:57.187] [笑い]
[00:46:59.599] で、なんか髪吹いててで乾かしててなんか気持ち悪いなと思ってんって思ったらあの髪洗ってなかったな。
[00:47:13.359] コロ1回やったけど24
[00:47:15.440] 時間頭引っ張られてる感じかな。
[00:47:18.079] いや、無理、無理、無理。絶対無理。
[00:47:19.800] で、坊主。
[00:47:23.079] いや、それ絶対頭痛くなるよね。[音楽]
[00:47:28.240] あれ欲しい。被れば
[00:47:31.599] え、こいつがやばい。こいつに食われたら
[00:47:37.720] 1発アウトだからね。
[00:47:56.880] だるいな、こいつら。
[00:48:05.119] だるいよ、この辺。よくわかんないな。
[00:48:06.680] なんな、なんなんこいつら。なんかよく
[00:48:08.119] わかん。モチーフは何これ?何こいつらい
[00:48:11.440] た。
[00:48:15.280] よしよしよしよしよしよし。
[00:48:17.880] よしよしよ。もう建物中入ったらこっちの
[00:48:19.599] もんだわ。
[00:48:22.160] あ、ガガガなの?これガなの?これ
[00:48:26.800] よくわかんないんだけど。
[00:48:40.640] 点滅する漁りかと思っ
[00:48:42.480] うん。なんかよくわかんないね。なんか
[00:48:44.559] どういうドットなのかもわかんない。
[00:48:47.880] いや、待って、待って。もう出たよ。すぐ
[00:48:50.359] それ、すぐそういうことするから。オ、
[00:48:54.079] イエスイエスイエス。
[00:48:59.119] おい、ワイド4は見つかったのか?
[00:49:01.440] 見つかったよ。は、なんなやのお前?
[00:49:05.440] ここに来てから言っても遅くない?
[00:49:08.720] 女王を誤想したんだって。ああ、ゴミ処理
[00:49:11.960] 場な。なかなかいい男だったぜ。なんそれ
[00:49:14.559] ?どういうこと?なかなかいい男。
[00:49:18.014] [鼻息]
[00:49:18.960] ゴミ処理ってエリア9って言ってたよな。
[00:49:20.799] エリア9って言ってたよな。
[00:49:31.000] やめてくんない?それ。
[00:49:34.680] あ、あ、あ。え、なんやそれ?アウトかい
[00:49:37.319] ?それ
[00:49:49.400] パウでパウ意味
[00:49:51.960] ないけどこれが欲しい
[00:49:56.079] ティンティン欲しいな。
[00:49:58.400] もう、もうなむさん、
[00:50:08.119] なむさん、このさ、リフトには引っかからないんだよね。リフトには引っかかってくんないのよね。危ね、待って待て待て待、ちょっと、もうこれもうむずいよ。
[00:50:26.040] こちうえ。待って。やめて。やな予感する。ちょっと待って。あ、あぶね。やべ。あ、
[00:50:36.359] 増やすぞ。増やす。増やす。増やします。増やします。増やす。増やす。増やす。無理。無理。無理。無理。
[00:50:43.400] 稼げ。
[00:50:44.599] 稼ご。稼ご。
[00:50:47.599] セーフ。
[00:50:49.319] タイトルが攻めてるゲームだ。
[00:50:52.160] タイトルもど攻め。ゲーマさんこんばんは。
[00:50:58.079] ちょ、あ、来た、来た、来た、来た、た。よし、よし、よし、よし、よし、よし、よし、よし。これワイド砲で行かせてくんない?ワイド砲の方がいいよ、これ。絶対ワイド砲の方がいい。ほら、やっぱこっちの方がいいよ。
[00:51:11.599] もうバされないでよ
[00:51:13.319] ね。本当だよね。本当だよね。ここのこの
[00:51:19.440] BGMかっこいいよ。よし。オッケー。
[00:51:28.799] よしよしよしよしよしよし。いいね、いいね。
[00:51:34.910] [音楽]
[00:51:35.319] でも俺あの謝罪会見クリップ見た時にさ。
[00:51:38.559] うん。前のban
[00:51:39.720] された時な。あ、何これ無限脇じゃん、ここ。お、いいね。稼ぎ。
[00:51:50.839] いいね。
[00:51:53.319] 稼げやん。ここ
[00:51:54.599] 謝罪で振り返ったらスーツの鉄んとこ穴開いてたらくっそ面白いだろうなって思った。あ、開いてたらな。よし、オッケー。よしよしよしよし。ほ、よかった。危ねえ。いや、待って待って。こんなもう無限おいおいおいおいおい。無限稼ぎ像じゃん、これ。おい、いいんすか?こんなことしたって。
[00:52:18.796] [音楽]
[00:52:22.520] しかもめっちゃ一番簡単なステージで番されたら伝説だなって。
[00:52:27.000] いやあ、そんなことはせん。
[00:52:29.359] そんなことはせんよ。そんなことはもう後がないんや。いや、めっちゃおいおいおい。こんな簡単でええんかい?こんな簡単でええのかい?まあまあ、とりあえずこんくらいよな。今の力では危険です。
[00:52:51.720] エリア14。
[00:52:52.440] あ、待って。中立行かせて。ここなんかアイテムあるだろ。なんかアイテムあるだろ。ここ
[00:52:57.559] こんばんは。
[00:52:58.440] あ、ばえ、ちょっと待って。ちょっと待って。こんばんは。ありがとう。初見さんどうもこんばんは。初見さんどうもこんばんは。え、バサロさんどうもこんばんは。なんかフォローしてくれてたよね。フォローしてくれてなかった。フォローしてくれてたよね。多分あれじゃなかったかな。
[00:53:11.200] あの、
[00:53:13.160] えっと、
[00:53:15.400] エマんチさんから来てくれた人じゃない?
[00:53:18.040] 違うかな?こないだレした時、レイドして
[00:53:20.160] くれた時に、してくれた時じゃねえや、し
[00:53:22.000] た時だ。ごめん。した時に、あの、
[00:53:24.319] フォローしてくれた人じゃない。どうも
[00:53:25.400] こんばんは。ヒットラーの復活やってます
[00:53:28.319] 。[音楽]
[00:53:29.920] タイトルでbanされないように気をつけ
[00:53:31.680] ます。
[00:53:34.240] さあ、行きますよ。
[00:53:38.440] おい、おい、ひら
[00:53:41.359] 許可をお持ち出ないとお通できません。え、
[00:53:43.599] させてもらりました。
[00:53:44.799] あ、そうだよね。ありがとう。僕もね、レトロゲーマーなんで、レトロゲーマーなんでよかったら、よかったらよろしくお願いします。よかったらよろしく。ヒットラーの復活。
[00:53:56.280] 笑笑。
[00:53:57.920] でもギリギリ。これはだってわかんないじゃん。この上がこうかもしれないもん。これ何もわかんないか。こうかもしれないし。こうかもしれないしな。
[00:54:02.287] [笑い]
[00:54:08.119] 別に何も悪くないと思いますけどね。何も悪くないと思いますけど。
[00:54:15.240] Twitch
[00:54:15.599] は手上げることもできなくなっちまったんかよ。
[00:54:18.440] 箱すごい。
[00:54:19.839] もう俺ゲーム箱付きしか買わない病にかかってるから後ろに
[00:54:24.280] ゲーム箱つきしかあの
[00:54:26.839] 後ろからの画格忘れないで。
[00:54:29.680] あ、このカメラでバレるんか。あ、本当だ。このカメラでバレるんだ。危ね。
[00:54:31.762] [笑い]
[00:54:35.720] 笑笑。
[00:54:36.200] そっか。後ろにカメラあるんだった。
[00:54:38.599] そうだった。
[00:54:40.119] そっか。気をつけよう。みんなも気をつけてね。でも手あげてるだけだからね。別に手あげてるだけだから。はい。行きますよ。クリアするよ。いや、ここも大して難しくないんだ。絶対落ち着いていけばな。落ち着いていけばな。ここ気をつけて。これこいつに飲まれたら一
[00:55:01.799] 発ね。あ、待って。
[00:55:06.478] [笑い]
[00:55:08.880] 見えへん。同じ色して。あれ?
[00:55:12.559] 笑笑。
[00:55:13.799] 同じ青色して見えへん。同じ色して。あれ?これ倒せないの?これムかつく。こいつ待って待って。
[00:55:36.520] この雲も硬すぎるやろ。倒せないく。
[00:55:47.359] ああ、なるほど。よ、あ、分かった。なるほど。これ確かに画だね、これ。あの横向きの画なのね。横向きなのね。あの
[00:55:56.240] 違うメーカーだけどその鎖みたいなやつアルマナの奇跡っぽ。
[00:56:00.480] え、アルマナの奇跡もこういうゲームなんだ。アルマナの奇跡ってあれだよね。あのコ好なミのゲームだよね。ディスクシステムの気になってんだよな。ま、コナミファンだからさ。俺コナミマニアだからさ。こなミマニアだからさ、アルマナの奇跡気になってんだよな。
[00:56:15.908] [音楽]
[00:56:17.480] こな
[00:56:18.280] コマニだから俺カマニみたいに粉だから。なむさん危ね。
[00:56:27.119] そうそう。
[00:56:28.200] サイドビューで鎖みたいの使って登った。
[00:56:30.680] へえ。面白そう。アルマナの奇跡。
[00:56:33.760] コ波感。おい、ワイドは見つか、見つかったから来てるんやろうがい。見つかったから来てんねん。こっちこれさ、あれなんかね、このさ、盗調
[00:56:43.839] のパクロスやるわ。
[00:56:45.119] パクロありたい。あの、あれでしょ?ピクロスのさ、あれでしょ?ピクロスのこミのキャラクターのやつでしょ?あれやりたいよね。あれやりながらなんか夜中まったりしたいよな。あれ、
[00:56:56.599] Steamじゃない。S
[00:56:57.760] ttだっけ?あれ、Switch
[00:56:58.920] のゲームだっけ?あれやりたいな、俺。そう、
[00:57:05.079] これ思ったんだけど、おそらくだけどさ、あれだよな。あ、もらっちゃう。ちょうだい。
[00:57:12.880] 500
[00:57:13.200] 円ぐらいだっけ?ねえ、ここ毎回わからん。ここ毎回って。
[00:57:23.640] ここ多分
[00:57:26.319] ナイス。危ない。ちょっと落ち着いて。
[00:57:28.640] 落ち着いて。落ち着け。
[00:57:31.680] もうここむずいって。ここむずいって。
[00:57:36.474] [鼻息]
[00:57:41.160] 難しい。私がまだ押せな。ワクワクさん
[00:57:43.400] どうもこんばんは。ヒットラーの復活や。
[00:57:47.880] トップシークレット。
[00:57:53.200] これむずいぞ。
[00:57:55.000] あ、意外とするな。意外とするな。めちゃんもこんばんは。やってるよ。ヒットラーの復活。
[00:58:02.480] ヒットラーの復活やってます。あれ取っちゃ。あれちょうだい。ちょうだい。ナイス。こいつが邪魔なんだよな、マジで。あともうここはスピード勝負ね。もうガンガン行く。
[00:58:26.559] なんかこれ前も言ったけど敵をあんま倒す
[00:58:29.000] ことを考えなくていいって言ってたね。
[00:58:30.880] ガンガン進む[音楽]ことを考えてあ
[00:58:34.720] もうちょっとあ、
[00:58:38.680] ダメなんかい、それ。
[00:58:46.799] え、ワンパンなんだ?このね、このワニ
[00:58:50.760] 食中植物みたいなやつはワンパンなのよ。
[00:58:53.440] 他はそんなことないんだけど、あいつだけ
[00:58:55.240] パン。これ色がさ、地面と同化しててマジ
[00:58:58.440] で見えねえんだよな。マジで見えない。
[00:59:07.640] あ、危ないよ。これ上方向で攻撃できない
[00:59:11.319] のがマジでイライラする。
[00:59:14.039] おい、そこ、そこフラフラすんな。そこ
[00:59:16.200] フラフラすんな。
[00:59:19.960] よしよし。
[00:59:23.200] 問題はこっからですぜ。
[00:59:33.680] 危ね。よしよしよしよしよしよし。ふう。うまいうまいうまい。で、これ通信聞いて。これ盗調もやんなきゃダめ。これあんま意味ないと思うんだよな。ゴミ処理場な。
[00:59:52.680] アクションはいいね。
[00:59:53.799] うん。でもね、やっぱね、じ、ジャンプ
[00:59:55.680] できないってのはやっぱね、難しいね。
[00:59:59.079] ジャンプもできてなおかつワイヤー
[01:00:02.240] アクションなんだったらなんかまだなんか
[01:00:05.480] まだなんか分かるんだけど。
[01:00:14.240] いや、これさ、ここマジでむずくね。どう
[01:00:17.799] やって行くのが正解なんだよ。
[01:00:22.799] だってこれもうあれつめないもんね。
[01:00:25.466] [音楽]
[01:00:27.720] あ、こういうことね。
[01:00:30.079] ほんでさあ。
[01:00:32.920] あ、こうか。いや、待って待て待て。ここ
[01:00:35.680] むずいって。[笑い]
[01:00:37.280] ここむずいて。うわあ。もう
[01:00:42.160] ここマジむずいなあ。
[01:00:50.160] にお手騙されるのえぐい
[01:00:51.799] そうなんだよ。1
[01:00:52.880] 回だからはまっちゃうともうどうしようもなくなっちゃうんだよね。
[01:00:59.280] おハミド
[01:01:00.720] ここめっちゃむずいね。あれちょうだい。あ、ワンナップいいぜ。気をつけてよ。
[01:01:24.200] 無理して敵倒す必要ない。マジで。ああ、横着したな。横着しました。今のは。うん。確かに横着した。
[01:01:30.312] [笑い]
[01:01:37.799] パク
[01:01:39.119] パク行かれました。パク。
[01:01:41.480] 笑笑。アルカードも真っ暗なとこで針にお手騙されたの思い出した。
[01:01:48.240] 確かにそれあったよな、
[01:01:56.079] これ。でもね、カプコンですからね、この
[01:01:57.680] ゲーム。天下の天下のカプコン様。お前ら
[01:02:02.400] 邪魔やねん。本当に邪魔やねん。やねん
[01:02:06.339] [叫び声]。これはひどい。これはひどい
[01:02:08.760] 。
[01:02:12.480] 笑笑浜
[01:02:15.039] ねん。8.6秒バズーカの邪魔やねん。出
[01:02:18.240] てきたね、今。邪魔やねん。田中シングル
[01:02:20.640] 。田中シングル
[01:02:26.480] 待て。
[01:02:41.240] よしよし。まずこいつら全部倒しちゃって
[01:02:43.160] 。やめてよ。
[01:02:49.000] 危ない危。よしよしよしよしよしよし。
[01:02:50.920] 入れればオッケー。ほんでだ。
[01:03:01.599] た。いや、もうひどいよ、それ。
[01:03:21.480] でもさ、前回のさ、大沼、大沼が嘘みたい
[01:03:25.279] じゃない?なんでこんな今日できるのよう
[01:03:26.720] になったんだろ?急にも前回絶望感
[01:03:29.920] えぐかったよな。
[01:03:32.279] 危ねえ。
[01:03:36.200] やっぱあれだな。ちょっとやって諦めちゃ
[01:03:38.200] ああね。割と頑張ってみないと分からない
[01:03:42.160] ということありますね。頑の匂いしてた
[01:03:45.359] してたよね。だからもう普通に今日普通にやると同じ
[01:03:49.240] そうやな。ちょっとだってダメだ。してねえよ。
[01:03:54.414] [笑い]
[01:03:54.640] してねえよ。釣るか?釣るか?あんなもん。
[01:04:02.680] 俺はね、あのね、あの前に友達とね、あのなんて言うんだろう。あの
[01:04:06.859] [音楽]
[01:04:11.760] Apex
[01:04:13.359] Apexやってた時にさ、Apex
[01:04:15.640] 俺が下手くそでで、あの
[01:04:18.839] 1
[01:04:19.000] 回な、何回かずっと一緒にやってる友達とやってたんだけど、
[01:04:22.319] 1
[01:04:22.520] ヶ月ぐらいやっても全然俺が上達しないから友達もなんか最初は優しく教えてくれたんだけどなんかむかついたんだろうね。
[01:04:29.359] え、なんで裏で練習しないのってぶち切れられてから、あ、もう
[01:04:32.640] 2
[01:04:32.799] 度とそんなゲームはやらないと思った。俺裏で練習が必要なゲーム
[01:04:36.640] 2度とやらないと思った。
[01:04:39.760] ゲームってのはよからやるんだよ。なんでそんなんだけど練習とかはあからやんだろうが。あ、やば練習必要かも、これ。練習必要か、これ。
[01:04:50.744] [笑い]
[01:04:53.359] 橋本こんばんは。ダブル[音楽]
[01:04:55.359] ぬみさんこんばんは。みさんこんばんは。
[01:04:59.319] 怒られたよ。え、なんでちょ、ちょっとは練習しようと思わないの?
[01:05:02.920] マイクラ第2
[01:05:03.640] 回あるんでしょ?ゲーマーの。
[01:05:05.480] え、それ発表されたの?ファンタジー
[01:05:07.960] 14は予と復讐ですよ。
[01:05:10.440] いやいやいやいや。ゲームは楽しいからやってんの?うん。
[01:05:13.760] 2回目あるよ。2回目やる。
[01:05:15.440] 元気ですね。
[01:05:16.480] ゴールデンウィーク配信してないからね。
[01:05:17.960] こそこそやるのはポコあとバニーガーデン
[01:05:20.920] じゃ。バニーガ、バニ側さ、あの通知行っちゃうからさ、フレンドに恥ずかしくてできねえよ。
[01:05:27.359] 恥ずかしくてできねえ。やりていえけど。バニーガーデン
[01:05:32.960] 2
[01:05:33.079] も早くやんねえとな。じんちゃんからもらったやつ。
[01:05:36.480] 式レイドクリアするのに毎日
[01:05:38.440] 3時間から4時間残してやってましたよ。
[01:05:41.720] 何それ?いや、別にいいんじゃない?それ自分が自分がねやりたくて練習してやんの全然いいと思うの。そういうことやってる人はどうでもいいと思うんだけど。それを共容するのは良くないよなっていう話。それ共容するの良くないわ。
[01:05:57.160] え、なんでちょっとは練習しようと思わないのとか言われてはあみたいな。俺はおめえとレイド、おめえと
[01:06:04.319] Apex
[01:06:04.880] やってダってんのが楽しくてやってるだけなのにな。お前そういう感じつって。あ、もういいわ。俺やめるわ。迷惑かけるし。やめようやめよっつって。なんか迷惑かけちゃうし。やめんべつってやめた。やべ。
[01:06:27.599] 心臓横せて言われそう。
[01:06:30.839] 配信者さんがマルプレイで野良の文句言ったらこっそり野良さんこっそり野良さん聞いてて大トラブル。え、何それ?何それ?どういこと?どういうこと?野良の野良のよ。
[01:06:40.559] 野良の文句言えてたんだ。配信者が。ま、それあれば配信者悪いわな。これ配信者が悪な。
[01:06:57.440] もう今みたいなことがなるから。このゲレトロゲームはいいよな。文句言っても誰にも怒らんねえから。いや、たまに怒られるけど。たまに怒られるけどな。おじいさんに、おじさんたちにたまに怒られる時。
[01:07:05.676] [笑い]
[01:07:15.760] ロルとか世界各国の悪口覚えられるからおもろい。
[01:07:24.599] チャラまれに前怒られたな。軍さ、レトロ
[01:07:28.079] ゲームで切れてあんまり暴言はかん方が
[01:07:31.599] ええでとか言われて怒られたわ。[笑い]
[01:07:34.880] ごめんな。ごめん。ごめん。
[01:07:41.319] 全くその通りだと思います。
[01:07:47.000] 正論。いや、ここだ。
[01:07:49.440] ここさ、バカむずくないかって話なんすよ。ここなんかバカむずくないかっていう
[01:08:03.480] ルートがこっちなん?
[01:08:05.839] ちょっと待って。ここめっちゃむルートここしかないよ、多分。
[01:08:19.279] だからさ。
[01:08:25.000] いや、もうここやばいな。ここめっちゃむ
[01:08:27.159] ずいな。
[01:08:33.440] ちょっと違う行っていい?違うステージ
[01:08:36.239] 行ってみるか。死ぬの
[01:08:38.400] ちょっとここ行こ。6行ぜ。
[01:08:41.920] 6番行みるわ。
[01:08:44.582] [音楽]
[01:08:45.120] で、あ、いや、とりあえずあれか。ここは
[01:08:47.359] あれか。ここね。
[01:08:56.199] ここのBMかっこいい。てレオ
[01:09:07.000] 。
[01:09:09.120] ちょっとここ行ってみます。ここ行ってみ
[01:09:11.120] ます。で、ここロケットランチャー行って
[01:09:13.279] みます。
[01:09:15.600] お、かっこいい。
[01:09:19.080] あ、うわ、ロケランはあの壁壊せるんや。
[01:09:21.480] なるほど。あれ、じゃあさ、あるよな。
[01:09:23.839] なんか行けなかったとこ。
[01:09:28.839] あ、危ね。[音楽]危ねえ。じゃ、当たっ
[01:09:30.640] てるわ。
[01:09:41.000] あ、だ、こういうことか。こういうことか
[01:09:43.359] 。[音楽]いや、もう
[01:09:47.799] だめいらん。
[01:10:00.563] [音楽]
[01:10:02.159] いいね。ボックス買う。ああ、
[01:10:05.440] スターフォックス新作出たね。出る、出る
[01:10:07.960] 。あれ、発表来たね。まさか来ると思わ
[01:10:10.719] なかったな。ま、映画に出てたからまさか
[01:10:12.480] とは思ったけど。でも俺スターボックス
[01:10:15.040] 全然やったことないんだよね。
[01:10:18.280] そう。スリッピーのさ、あの声優変わって
[01:10:20.960] たな。スリッピーの声優変わってたね。
[01:10:26.480] あ、ぶっちゃけ俺あんまり[音楽]
[01:10:29.000] いや、映画ネタバレてこれ公式であの、あれだからもう映像出てるから。いやあ、スターフックスやったことないんだよね、あんまり。
[01:10:37.040] 64[音楽]
[01:10:37.320] のやつちょっとやったことあるぐらいかな。あと俺どっちかっていうとスターフォックスアドベンチャーやってた人だからさ。黒歴史で有名ゲームキューブのさ、スターフォックスアドベンチャーやってた人だからさ、あのシューティングとしてのスターフォッスっ
[01:10:49.689] [音楽]
[01:10:51.520] てあんまやったことないんだよね。
[01:10:56.760] あなんだ
[01:11:00.169] [音楽]
[01:11:00.600] やるの?絶対下手じゃん。
[01:11:03.120] 下手だよね。俺シューティング下手だもん。だからスターフォックスは、ま、あんまり、ま、すごいいいなと思ったけど。いいなと思ったけどやぞ。
[01:11:13.360] やるかどうか。えら、64神なの?
[01:11:16.440] アドベンチャー友達と対戦してたな。
[01:11:19.800] アドベンチャーやってたよね。いいよね。アドベンチャーやってたよね。
[01:11:21.784] [音楽]
[01:11:24.120] 64あのあれだよね。
[01:11:26.120] メスケモが好き。
[01:11:27.440] メスケモ何?メスケモってどれ?どれなこと言ってるの?いや、そこダメなんかい?
[01:11:28.989] [笑い]
[01:11:36.800] あ、クリスタルね。クリスタルね。あの女の子ね。確かあれエロいよな。
[01:11:40.779] [音楽]
[01:11:40.920] スオンラインでし。
[01:11:43.400] いや、64スターフックス64
