[00:00:36.520] ブー
[00:39:28.720] 皆さん、本日上映する映画はシリコニアン
[00:39:31.119] のためではなく、この島に住んで皆さんの
[00:39:33.280] ために作りました。つまり私たちが本当に
[00:39:35.760] 作りたかった映画です。多分これが最初の
[00:39:38.599] 最後の上映になるかもしれませんが、
[00:39:40.079] どうぞご覧になってください。
[00:39:48.839] さん、喜んでください。女映は大成功に
[00:39:50.599] 終わりました。シリコニアの
[00:39:53.640] 押し映画押しえ、押し映画って何?初めて
[00:39:57.960] この心のそが感動する英語映画が見れたと
[00:40:00.280] 喜でました。しかし
[00:40:03.359] ああ、女映シリゴニアにバレてしまい監督
[00:40:05.960] は兵士に捕まってしまったのです。
[00:40:07.520] スピルバーグみたいな
[00:40:10.359] スピルバーグが昔あのアメリカのさ、
[00:40:13.040] ホワイトハウスの前でさ、あの
[00:40:16.160] なんだっけ?あのレイジャーゲセマシンっ
[00:40:18.280] ていう
[00:40:20.160] バンドのさ、あのPVを勝手に取り始めて
[00:40:24.560] でぜ全員が逮捕され終わるっていうPV
[00:40:27.119] なんだよ。
[00:40:30.280] スピルバーグやん。笑笑。
[00:40:34.319] 曲の終わりで全員全員こうやってマジで連れてかれるシーンだよっていう。チリコニゃにはあまりにも俺の
[00:40:45.640] いや、マジかっこい。でもね、マジかっこいいよ。
[00:40:47.280] あの、レイジアゲ、レイジアゲインストザ
[00:40:49.880] マシーンっていうバンドな、バンドなんだ
[00:40:52.160] けど、ラップなんてう、ま、日本で言っ
[00:40:54.640] たらミクスチャーロックなんだけど、
[00:40:58.560] めちゃめちゃ
[00:41:00.760] 反骨精神っていうか、その政治的な反骨
[00:41:04.440] 精神のメッセージを歌うのよ。それをもう
[00:41:08.560] その
[00:41:10.400] ホワイトハウスの前でやるっていう。
[00:41:15.720] こいつを連れていけ。
[00:41:28.000] 連れて帰れちゃったよ。
[00:41:36.400] あらんさん監督はそれが実はえ何?私ならここだ。
[00:41:52.960] わーい。
[00:41:57.520] 監督無事だったんですね。うむ。おかしなこともあるもんだ。
[00:42:01.119] え、
[00:42:02.839] そうなんですよ。信じられない話だけど。
[00:42:04.640] なんと相徳が許してくれたんだよ。
[00:42:08.599] 今回のみだがな。でもしばらく映画の撮影
[00:42:11.319] は禁止になったんです。しこにめ
[00:42:15.680] 監督アランさん映画はいつか必ず取れるわ
[00:42:18.359] 。取れる私監督が無事で
[00:42:23.400] よかった。
[00:42:30.720] 邪魔けさん結局撮影所はシリゴニア本国の
[00:42:33.480] 命令で完全にあ、へえ、完全に閉鎖され
[00:42:37.000] ちゃったんだ。そして私が出た映画も募集
[00:42:39.200] されて焼かれてしまいました。あらら。
[00:42:41.440] とても悲しかったけど、それより私が最も
[00:42:43.640] 悲しかったのは撮影上閉鎖の日。映画
[00:42:47.079] スタッフの全員がスタジオの中で泣いてい
[00:42:48.839] たことです。しまけさん、その時の監督の
[00:42:51.119] 言葉が今でも忘れられません。
[00:42:57.119] 結構スタッフいいる。有名よ。
[00:43:01.119] また会おう。結構なこと言うな、このじ夢よ。また会おう。かっこいいこと言うじゃん。かっこいいな。やっぱ映画監督やるだけのことあるな。
[00:43:17.640] 臭い。
[00:43:18.319] 臭いこと言うね。臭いこと言うねえ。映画もオッケーでしょ。
[00:43:27.800] 映画もオッケー。で、
[00:43:33.480] 言った自分によって。そう。
[00:43:37.720] で、これあと何すればいいんだ?あと何すればいいんだろう?あ、船なくなってるし。あ、ないんだ。
[00:43:56.400] ここもいないんだな。
[00:44:01.720] あれ?じゃ、次何すればいいんだ?なんか
[00:44:04.440] ね、あのね、もう攻略見てもわかんない。
[00:44:07.880] 何すればいいんだろう?
[00:44:10.440] 全部見たけどな。なんかね、このゲームさ
[00:44:12.920] 、あの、なんか順番とかないから、どの
[00:44:15.599] イベントでもなんて言うんだ、その順番と
[00:44:18.280] かなくてさ、その各イベントがその自分の
[00:44:21.280] 好きな順番でやればいいみたいな感じだ
[00:44:23.200] からさ、その全部見たんだけど何、あと何
[00:44:26.559] すればいいんだ?
[00:44:29.079] え、あと何すればいいんだろうね。
[00:44:32.640] ブルーランドの森も行ったし。
[00:44:46.680] あ、
[00:44:50.040] 我々に反抗するのがいい時をしてるな。
[00:44:52.960] 違う。もうこれ以上市民を格闘の練習相手
[00:44:55.319] にしないでくれとお願いしてるだけだ。
[00:44:59.040] 侵害だな。俺はただ市民、ただ市民を鍛え
[00:45:02.319] てやろうとしてるだけだぞ。逆に感謝され
[00:45:04.720] たったのが物のだな。目標口まね。嘘つけ
[00:45:08.400] 。自分より弱いやつばっかり選んで古殿板
[00:45:10.760] にしてくせに。なんだと?
[00:45:15.559] やめろ。ロスタブ殺されるぞ。
[00:45:19.640] 悔しかったらこのバトル頭を倒してから
[00:45:21.720] ふざけ。帰れ。腰抜けども。
[00:45:25.960] なんだ、またここ一門着ありそうだね。
[00:45:29.359] なんかまたここありそうだなあ。あ、まだ
[00:45:31.640] やってる。貴様しつつこいぞ。頼む。もう
[00:45:35.040] これ以上市民をいじめないでくれ。
[00:45:37.319] だから俺を倒してみろと言ってるだろうか。それともその娘がお前らの代わりに俺の相手になるのか。
[00:45:42.280] え、
[00:45:46.079] くそ。バ鹿にしやがって。
[00:45:49.800] こいつと戦えばいいのか?あの兵隊さんが市民をいじめるって本当だと思う?本当なんちゃ?本当なんちゃ?
[00:46:07.880] それは問題だわ。バトルオブシリコニアンの中で戦兵隊さんの真似をしてみよう。市民に変わって押し置きよ。
[00:46:20.839] え、行けるんかな?ん?じゃ、もう1回
[00:46:23.480] 戦ってみる。
[00:46:37.800] あ、だめかな?
[00:46:40.880] あ、受けて立ちます。おお。受けて立ち
[00:46:43.000] ます。
[00:46:44.760] 相手は子供だ。本気にしないでくれ。私は
[00:46:47.160] 本気よ。
[00:46:49.880] 大したもんだ。おい、そこの3人。その娘
[00:46:52.599] を少しな、見習ったらどうだ?娘、勇気を
[00:46:55.640] 認めた子供の出る巻くじゃない。さあ、
[00:46:57.040] 大しく帰れ。あら、逃げるのね。臆病も
[00:47:02.359] なんだと?
[00:47:08.440] 娘。今度生意きなことを言ったら子供でも
[00:47:11.359] 許さん。分かったか?
[00:47:17.079] ほんでもう1回言いに行くと
[00:47:20.000] あ、タマや
[00:47:23.079] ん。お前か。私が勝てば市民をいじめない
[00:47:26.359] んですよね。
[00:47:29.079] なめやがって。このガキ少し思い知らせて
[00:47:31.160] やるか。ああ、約束しよう。娘でも大人を
[00:47:33.920] 舐めちゃいけないぞ。来い。
[00:47:39.040] 割となんか本格的な割と本格的なバトル始まってんな。いいよ、いいよ。結構強いよ、俺。
[00:47:50.359] 格ゲじゃん。
[00:47:51.359] 格ゲ。もう格ゲの動きしてるよ。あ、しかも、しかも上がどっちも
[00:47:56.119] HP
[00:47:56.440] になってる。どっちも勝ったし。勝ったし。体力版になってた。
[00:48:02.040] 今格減になってたら今
[00:48:05.520] なんだってあのバトラーが女の子に負け
[00:48:10.119] たって。これあれかな?俺がレベル上げて
[00:48:12.800] たからかな?だ大丈夫ですか?
[00:48:16.200] う、なぜこのバトル様がこんな小娘にもう
[00:48:19.520] 市民をいじめないでくださいね。
[00:48:22.359] さて何のことかな?え?汚いぞ。
[00:48:28.359] いかがされました?反逆剤だ。こいつらを
[00:48:31.559] 全員処刑しろ。
[00:48:34.319] やっぱりそんなことだと思って。おカレン
[00:48:36.200] 。あ、
[00:48:38.839] なんだ?貴様も一緒に死にたいのか?
[00:48:43.440] げ。は?ハーベン大佐?誰?ハーベン大佐
[00:48:46.720] って?あ、お前か。
[00:48:50.440] 何の騒ぎだ?そ、そ、つまりハーベン様、
[00:48:55.000] このものはシリコニアの馬鹿児侮辱した
[00:48:57.960] 反逆者とであります。
[00:49:00.000] それに革命軍と軍になり、我がシリコニアン軍への攻撃を食立てておりました。嘘をつくな。本当に最高の兵士だね。見ててきよ。ど、ハーベン大佐に正直に話してみな。
[00:49:17.040] うん。
[00:49:22.559] この恥さらしめも申し訳りません。
[00:49:26.480] 何の罪のない市民に意味なく暴力を加えっ
[00:49:28.880] てよくも我が誇りたきシリゴニアンの顔に
[00:49:32.079] ドロー塗ってくれたな。貴様は軍のゴミだ
[00:49:34.400] 。決して許すことはできん。へえ。はあ。
[00:49:37.760] え?あ、びっくりした。このものを軍の方
[00:49:40.880] に従い処分しろ。え?はごくり。そ、
[00:49:45.119] そんなあれぐらいのことで人すぎる。大佐
[00:49:48.200] 。おおお。お慈悲よ。助けてくれ。
[00:49:54.720] ええ。
[00:49:58.760] 殺したん。しかしあのバトラを倒すとはあの娘一体何もんだ。
[00:50:08.240] 処分ってそういう
[00:50:09.440] 処分ってそういうあれ処遇をさ決めるとかの方の意味の処分かなと思ったんだけど
[00:50:16.520] 本当に処分されてるやん
[00:50:18.720] これ多分強かったの?
[00:50:20.720] いやなんか超弱かったけど超弱分かったけどたださあれだぜ多分ジョゼカスがこれ知ったらめっちゃ落ち込むだろうな自分のせいで死んじゃったんだもんだってあいやいるんかい待ってた
[00:50:35.680] 娘。
[00:50:36.200] あ、
[00:50:37.680] 頼みがある。私勝負してくれないか?え、
[00:50:42.119] いや、さすがにそれはあったよ。こいつには語れへんで。ハーメンさんと戦っても勝てるわけないじゃん。ワンチャンあるね。ワンチャンあるねえ。ワンチャンあるよ。
[00:51:04.839] またまた冗談ばっかり。いや、わかんねえじゃん。やってみねえと。無理、無理。えー、じゃねえの?何かするなん?なんかしよっか。じゃ、なんかしよっか。りしていいよ。りしていいよ。久しぶりにしようぜ。
[00:51:29.119] えっとね、
[00:51:32.319] うんとね、
[00:51:36.079] 海で不思議な宝取ったでしょ?あれから
[00:51:37.599] 私感じることあること感じるの?
[00:51:40.799] 海で不思議なあれもなんかよくわかん聞き
[00:51:43.079] たい聞きたいあのさ
[00:51:48.680] やる前から負けること考えるかいるかよ
[00:51:51.559] 本当だよなそれは幸せいものなの
[00:51:55.079] 未来だのだ
[00:51:57.559] 幸せを感じますか?はい。
[00:52:02.680] はい。
[00:52:05.119] ちょっとなん?ちょっと待って。
[00:52:10.480] ま、マンキーも許そう。今日は今日はいいよ。マンキー。マンキーあり。
[00:52:14.480] はい。
[00:52:15.119] はいはいはい。
[00:52:21.920] 2
[00:52:22.119] 番ピアに行きポっコに革命軍に誘われる。革命軍に誘われる。あ、いるな。
[00:52:33.880] あ、
[00:52:38.640] これもさあ、なんかなんかありそうで何もないんだよな。
[00:52:53.319] かあ。
[00:53:01.880] じゃあ、ま、茶けさんはポコみたいに
[00:53:03.160] 無神経なの?いや、そんなことないけど。
[00:53:09.920] 少しなりすぎたみたい。大人げなかったわ
[00:53:11.880] 。
[00:53:15.680] このこと許してあげ。いいじゃない?いい
[00:53:18.440] じゃない?じゃ、許しに行こう。じゃあ
[00:53:20.160] 許しに行こうぜ。
[00:53:24.880] これさ、ずっといればいいのにいなくなっ
[00:53:27.280] ちゃうんだよな。1回入り直さないとまた
[00:53:28.960] いねえんだ、あいつ。
[00:53:35.880] あ、許したってや。
[00:53:41.400] うん。許してあげよ。あ、いいね。
[00:53:44.000] もう勝手におかりナは触らないでね。
[00:53:48.559] やるじゃん。
[00:53:49.480] いいね。お姉ちゃん本当にごめんなさい。私こちょっと意じ張りすぎちゃったわ。じゃあ許してくれるんだね。
[00:53:56.839] うん。
[00:53:59.599] わーい。茶けさんの言った通り謝ってよかったね。
[00:54:07.880] お姉ちゃん
[00:54:13.680] 大切にしてね。何を?おかりな。どうして
[00:54:18.599] ?そう言ってたよ。誰が?
[00:54:23.839] ジペット博士。
[00:54:29.480] どうしてポっコが博士のこと知ってるの?
[00:54:31.079] それはワンの主人公だから。それはワンの
[00:54:34.359] 主人公の生まれ変わりだからです。
[00:54:40.119] ほんで何すんだ?また
[00:54:44.040] あとなんかイベントあんのかな?
[00:54:52.240] あと見てないイベントってなんかあったか
[00:54:54.000] な?
[00:54:58.319] いや、全部見たけどね。
[00:55:04.640] ガンテ回線修理場。あれ?ここを見たよね
[00:55:07.680] 。全部ね。
[00:55:11.000] 全部見たんだよなあ。
[00:55:39.319] なんかさ、ブルーランド本島はてなはてな
[00:55:43.400] はてなって場所があるらしいんだけどなく
[00:55:46.200] ない?そんなの?
[00:55:48.839] え、ないんだけど。
[00:56:03.559] 俺恐ろしくなってきたよ。
[00:56:10.920] えー、ブルーランド本島はてな、はてな、はてなってどこ?や、こないしな。何もな。
[00:56:57.119] ここも何もないでしょう。
[00:57:04.680] ここは封鎖されちゃってます。ああ、あん
[00:57:07.920] のかイベント。
[00:57:10.680] 夢よ。また会おう。覚えてますやん。
[00:57:17.240] 監督アランさん。
[00:57:23.720] うん。あとはどこだろうなあ。
[00:57:33.119] いや、ここも何もねえよな。
[00:57:40.319] ここも何もないですよね。
[00:57:54.359] ここも何もないよなあ。
[00:57:59.480] あの攻略見てもわからんねんけど。
[00:58:13.480] ここもないか。
[00:58:35.559] なんだよ、その退場の仕方。そのまま退場すんのか。なんかイベントねえかな。
[00:58:44.119] 笑笑。
[00:58:47.640] や、ジョゼット何見てたんですか?ソラさ。
[00:58:55.559] お、
[00:58:58.200] あい、生まれてから16年間、この島から
[00:59:00.720] 一本で出たことがないんだ。シリコニゃが
[00:59:03.240] うるさくてね。
[00:59:05.640] ああ、鳥の翼が促しいよ。
[00:59:13.880] 鳥の翼。
[00:59:25.480] バードの翼上げちゃおっか。
[00:59:28.359] やば、後ろで消えてるし。
[00:59:36.440] えー、でもイベントにならないんですけど
[00:59:39.079] 。
[00:59:41.960] イベントにならへんねんけど
[00:59:47.920] ね。シーバって何?シーバ。
[00:59:51.640] シーバに乗るって何?シーバってなんだよ。え、ちょっとわかんないんだよな。分からへんねんけど。
[01:00:06.160] 水タバコ。
[01:00:07.400] それ、それC車な。それ
[01:00:09.920] C車。
[01:00:11.359] チーバ君。
[01:00:12.839] チ
[01:00:14.200] おお
[01:00:15.359] チー君。
[01:00:17.640] 多分千葉県をこうやって横から見た時の
[01:00:20.079] なんか犬みたいなキャラクターな。うん。
[01:00:27.240] えっと、わかんねえってのよ。
[01:00:31.839] 攻略サイトが少ねえ。
[01:00:55.400] え、
[01:00:58.000] 攻略見るのも人苦労なゲーム。
[01:01:00.160] いや、マジでさ、ないんだよ。攻略サイトが。攻略サイト
[01:01:05.160] 1個しかない。1
[01:01:05.920] 個しかないんだけど、そこ見てもわかんねえっていう。そこ見てもわかんねえ。
[01:01:15.880] にげのやるゲーム大体攻略サイトない。
[01:01:20.039] 変なゲームばっかやってるから。え、なんかさ、ここなんかあるっぽいんだよ。まだここなんかあるっぽいのね。もしないんだよね、イベントが。
[01:01:40.920] え、ブルーランド本島はてな、はてな、
[01:01:43.440] はてってどこだよね?
[01:01:51.079] え、何も起きないんだけど。
[01:01:57.720] いや、ちょっと待てや。もう
[01:02:00.480] わかんないっちゅうの。
[01:02:25.000] なんかどっかにあるらしいんだけどないよ
[01:02:27.720] ね。
[01:02:43.680] はあ。もう何も起きないんだけど。
[01:03:05.559] めったな。これなんだよ。
[01:03:09.319] もう1回100回戦でも読んでみるか。
[01:03:28.760] ああ、
[01:03:36.240] 裏回路が起動。
[01:03:40.960] えちゃまげ
[01:03:56.839] さんもたまに悪いことがしてくんの
[01:03:58.640] めっちゃなるね。めっちゃなる。なる。
[01:04:02.880] 配信で言っちゃいけないこと言いたくなる
[01:04:04.680] 。
[01:04:09.640] ちょっとさ、シーバに乗るって何?
[01:04:13.279] シーバに乗るって何?
[01:04:17.520] シーバって何よ?
[01:04:20.520] どうやって乗るの?
[01:04:24.520] ブルーランド本島のはてな、はてな、
[01:04:26.799] はてなからシーバに乗るどこやねん。
[01:04:46.599] 見てるとこってこれ
[01:04:48.680] URL省略。
[01:04:50.760] これこれこれこれここしかないじゃん。ここしかないよね。やっぱここ同じ同じ。
[01:04:55.920] ここ、これ、これ、ここしかないん、これ
[01:04:58.279] 。
[01:05:03.000] ここのコミュニケーション攻略チャート1
[01:05:06.760] っていうところのこのガンて深海線なん
[01:05:11.760] ちゃらっての見てんだよ。てかさ、まださ
[01:05:13.240] 、これさ、大これあれじゃねえか、俺絶望
[01:05:17.359] な。結構絶望なんだけど。これさ、まだ
[01:05:19.160] 一部らしいんだけど。1部と2部があって
[01:05:22.279] さ、このゲームまだ一部らしい。1部も
[01:05:24.480] 終わってない。
[01:05:30.599] どうすりゃいいのよ。
[01:05:33.279] ま、
[01:05:34.160] マジマジマジどうすらいいのよ。
[01:05:41.680] 飛行機の本は
[01:05:43.240] URL省略。ここ見た。
[01:05:45.520] 飛行機の本。飛行機の方。
[01:05:49.839] 何これ?おい、どこから持ってきたんだ?こんななんか久々に見たこのこの形式の魔法のアイランドみてなす。魔法のアイランドみてえな。
[01:06:02.079] なんか、
[01:06:05.039] え、
[01:06:06.119] 笑笑
[01:06:07.039] 古い攻略サイト
[01:06:09.279] 平成のホームページ
[01:06:13.359] 安倍ひのホームページみたいな
[01:06:15.079] キリバンゲ下と
[01:06:18.680] あなたは本日何番目のなんちゃらですみたいな。
[01:06:22.920] BBS
[01:06:25.279] ああ、待って。なんて誰?誰だ、さっき言ってたの?
[01:06:30.160] Dさんの言う通りかも。さなきゃ
[01:06:32.839] リビさんの言うこと言ってた通り、あの、あれだわ。あの飛行機の本読んでねえわ。年下かな?ちゃうわ。
[01:06:44.200] ネタバレごめんね。
[01:06:45.520] いや、ありがとう。助かった。助かった。助かった。いや、そういうのマジありがたい。もうど言っていいよ。俺が詰まってたらあの年上の方ですか?そうです。お前より
[01:06:53.279] 3周りぐらいおる2回周りぐらい上だよ。
[01:06:57.680] 茶まげさんは若いお兄様ですか?ま、まあまあま、まだ
[01:07:00.720] 30
[01:07:01.079] 代じゃないからギリ若いって言わせてください。すいません。ギリ若いって言わせて。もうラストラスト
[01:07:10.200] 20代。
[01:07:11.839] ちゃんまけさんはハンサ。それはもう
[01:07:14.799] かあ
[01:07:16.160] そうだよ。な、
[01:07:18.720] 目張ってねえだろうがよ。張ってねえや。まだ
[01:07:21.559] 29
[01:07:22.039] だから。聞いてな何でも教えてあげるな。何でも教えてあげる。
[01:07:26.319] さんはデブですか?すな坊
[01:07:29.520] なんだ?そちらの世界で何やってんの?学校とかいうとこに行ってない?学校には行ってませんね。会社というとこに行ってますよ。働いてるのそうです。見張れ。
[01:07:40.520] 見えはる。大変だね。会社というとこに行ってるの。そうなんですよ。そうなんです。初かき子どうも。卒ですか?
[01:07:53.000] キリバンゲット。
[01:07:55.200] 大卒って何ですかね?ちゃまけさん、お仕事って楽しいの?楽しいわけないやんか。もう地獄や。え、どうしたの?お仕事がきついの?きつい。やめたい。
[01:08:05.960] 大卒。
[01:08:08.279] うー。
[01:08:09.680] もしかしてタフトに乗ってますか?
[01:08:12.039] たまんないね。たまんないよ。
[01:08:20.880] で、あれか。
[01:08:22.719] 飛行機の本を読めばいいのね。
[01:08:27.560] 飛行機の本を読めばいいのね
[01:08:34.319] 回。これ硬そう汚いから。この部屋
[01:08:51.560] え、何?
[01:08:53.799] なんか金減ったんだけど。
[01:08:56.600] どうした?
[01:09:01.759] 何?なんだよ。何だったんだ、今の。
[01:09:05.359] ババされた。
[01:09:07.000] なんか持ってかれた。100
[01:09:08.159] 円ぐらい。ハーベンさん戦っても勝てない。そんなことない。勝てるよ。お前なら勝てる。なぜならお前人間じゃないから。税金が嘘。税金。これしょっぴかれるんだ。飛行機の本読んでみようかな。飛行機の本読んでみようかな。
[01:09:31.719] 持ってるんだっけ?飛行機の本当俺?
[01:09:34.759] メカマニュアル違うね。あ、じゃ、持って
[01:09:37.040] ないかも。俺買わないとだめだ。
[01:09:49.279] 買いやん。これ
[01:09:52.799] 息吸ってるだけで空気使ってるから空気
[01:09:55.800] 払わなきゃ。
[01:10:00.360] まあ住民
[01:10:02.719] 勢って意味わかんねえよな。住民って意味わかんなくない?いや、そんなこと言ったらま、消費税も意味わかんねけど
[01:10:19.120] 所得税も
[01:10:21.480] 所得税も意味てかさ、もうボーナスからさ、シーバ、シーバってシコルニアンの戦闘機なのね。
[01:10:29.880] あ、そうなんだ。
[01:10:31.480] 交通費に税金かかるのが
[01:10:33.360] 1番いい。
[01:10:34.520] ほんまにほんまにあと色々書いてあったけどな。何だってインプットした方があ、いいよ。インプットしようぜ。
[01:10:44.120] 休みに出して5000
[01:10:45.800] 円の手当てついたんだけど。
[01:10:47.520] あ、いいじゃん。
[01:10:49.679] 遠くから通ってくれてありがとうだろ。
[01:10:52.199] 本当だろ。ありがとう。手当てなせや。
[01:10:58.159] そこから税金引かれて
[01:10:59.679] 3000
[01:11:00.400] いやいやいやいやらんないっすね思わん
[01:11:04.199] クソクそクソだよ
[01:11:05.840] 手当てに
[01:11:11.080] えだって通勤手当てにもだって通勤手当てにも税金かかってるでしょ?今買ってないんだっけ?かかるだかかってないかです。もらえるのは
[01:11:20.640] 3万前後です。
[01:11:23.920] そうか。
[01:11:26.719] もうだったら最初からさ、あの税金を引いたくで通知よね。
[01:11:32.600] 意味がわかそらさせめてそしたらさ、知ら、あのさ、なんて言うのね、あ、
[01:11:37.800] 3万もらえるんやなわけじゃん。
[01:11:41.400] 5
[01:11:41.639] 万上げるけど、そっから全員持ってくねって。そしたらあん言わなくてよくない?それっていう。
[01:11:51.360] 今がいいよ。おまげ
[01:11:53.320] 何が何が今はいい何何たいにして欲しいよな
[01:11:57.199] 本当にね
[01:12:00.199] 40なると介護保険も数万引かれるよ。
[01:12:03.360] ええ、
[01:12:05.239] 知らされないと取られ放題じゃん
[01:12:07.400] もう。ああ、来た来た来た。ま、確かに確かに知らされないと確かにそれもそうだわ。怖いね。なんならもうすでに取られてるのかもしれない。知らないうちに。
[01:12:26.920] どけ
[01:12:29.440] いった。
[01:12:33.600] 4
[01:12:33.800] 月から独身ありがとうございます。
[01:12:36.440] もう、もう、もう死ねって言ってるんですか?
[01:12:40.920] の勉強しないやが悪いという国だから我が家で有効に使わせていただきます。
[01:12:46.880] そうだね。
[01:12:48.040] 属進勢チーバから一期戦闘機が消えた。なんだとちょっとチーバに興味があるのか?
[01:12:59.840] うん。しかし人殺しの機会だぞ。違うわ。機械は悪くない。それ悪い。それを悪いのはそれを使うこシリコニアの兵士を機械を馬鹿にしないで。そ、お詫び
[01:13:11.440] 2個としてやる。
[01:13:12.199] え、
[01:13:13.920] 本当に行ってある場所を探してこらん。
[01:13:15.520] はあ。
[01:13:16.560] 100
[01:13:16.760] 歩譲って老人により赤ちゃんに税金取られる方がいい。
[01:13:20.719] そうね。だってこれからの人だもんな。これか。ああ、やっと出てきた。やっと出てきたよ。
[01:13:31.440] しこって間違えるのおもろい。
[01:13:35.320] そういうことばっかり考えてっくから。そういうことばっかり考えてっくからね。
[01:13:41.120] みんなでうちのこ養ってね。
[01:13:43.719] ちゃんのおムつ勢って言われたらしゃあなってなる。
[01:13:46.760] うん。
[01:13:48.120] 大きいかっこいい。乗りたい。このなんか戦闘機もジブりやね。
[01:13:57.159] 独身許せねえよ
[01:13:58.719] なあ。でもどうしてこんなとこにシーバがあるんだろう。独身ってどんくらい取られんの?もう泣いて取る。もう取る元手でがないって。
[01:14:12.639] どっから取んねん、その税金。
[01:14:15.520] 5000円くらい
[01:14:16.760] 高月
[01:14:24.239] 年。
[01:14:26.120] あ、年5000人。あ、でもや
[01:14:28.120] やばいな。
[01:14:28.679] 月はやばいよね。月で5000
[01:14:29.880] 円取られたらやばいよな。さすがにな。もう社会保険料ガンガン上がってるからね。
[01:14:36.800] さすがに所得にはよるのでは
[01:14:38.960] そうか。
[01:14:41.320] そうだよな。だって取るとこないもん。もう俺みたいな発球のこちにシリコニアの中取ろうぜ。
[01:14:50.800] 本当だよな。
[01:14:52.400] よないない。外人に出さなきゃいいから。
[01:14:55.199] マジでそう思うわ。もうちの地元なんてほぼ外国人だよ。日本人に会う方が少ねえわ。
[01:15:06.679] それでも年収1000
[01:15:08.120] 万長よりは税金取られてないと思うとな。
[01:15:11.920] いや、まあでもさ、そうだけどさ、ワードから伝言です。上手するなら次。あ、はいはいはい。帰りたくなったら
[01:15:19.400] RボタンZトトリガーでC
[01:15:20.880] バガンが打てる。いざ激墜王え。え、いいの?そんなことして。おお。
[01:15:37.480] グラディウス、
[01:15:41.960] グラディウス2
[01:15:42.560] もやりてえな、あれ。クリアまでやりてえ。うわ、これすごい。
[01:15:54.159] 後のTペアである
[01:15:56.199] 2時間無言やめてね。
[01:15:58.560] ああ、間違えた。ねえ、間違えた。
[01:16:02.159] 2時間無言やめてね。
[01:16:06.920] せ、
[01:16:07.960] どうやって弾撃つって言ってた?どうやって弾撃つって言ってたかわかんなかった。ごめん。もう
[01:16:12.639] 1回弾の打ち方教えてくんねえか?もう
[01:16:18.040] 1
[01:16:18.120] 回教えて。うん。弾の打ち方教えてください。あ、教えてくれないタイプね。オッケー。言いましたね。
[01:16:32.960] もう言いました。
[01:16:34.920] 確かZ
[01:16:36.120] デレレレんデレん
[01:16:37.920] Z
[01:16:38.159] かありがとう。てレんてレんてレルんもう言いました。おお結構いや、むず。
[01:17:00.000] めっちゃおい、これ酔うてえ。いや、むずいよ、これ。
[01:17:08.760] カジュアルに戦争仕掛けるやん。なんだっけそれ?シャーロックホームズみたいなやつ。
[01:17:15.320] あ、そうそうそう。えっと、なんだっけ?え、あれ、あのミシピ
[01:17:19.360] 結構えぐいことやってる。
[01:17:20.840] ミシッピー殺人事件ね。バラんランえ。これめっちゃむずいぞ、これ。
[01:17:28.800] めっちゃむずいぞ、これ。
[01:17:33.400] 鬼むじオ
[01:17:44.000] なんか50機しろって言ってたね。無理
[01:17:46.520] だろ。50機は無理でしょ。さすがに。
[01:17:52.159] さすがにかきオ
[01:17:57.280] 目標をセンターに入れてスイッチ。
[01:17:59.400] 目標をセンターに入れてスイッチ。目標をセンターに入れてスイッチ。これ何?オッケ。しかもなんかさ、あのエヴァの完全新作なんかやるらしいじゃん。エヴァのさ、完全新作のなんか始まるらしいね。
[01:18:20.199] ニコリニアン兵を殺していく。どれ音楽がポップすぎるだろ。やっとジョゼットはさ、あの死について学んでくれたかと思ったら
[01:18:31.239] どんな横太郎なの?マジ?
[01:18:35.520] 横太郎てなんだ?誰な?ないんでしょ。横太郎さんでした。
[01:18:39.639] いた。
[01:18:40.560] え、何なの?横た。
[01:18:42.360] ええ、
[01:18:46.120] ニアの
[01:18:47.560] そんなやばいってどっちのやばいの?どっちのやばいの?それ
[01:18:51.199] ニアの人ええ。
[01:18:53.000] どっちのやばいなの?え、でもシジ君とか出てくんの?出てこないでしょ。多分新しいやつでしょ。
[01:19:02.920] うつシナリオマスターだから死んだ話にはなる。
[01:19:09.000] あ、そうなんだ。ま、元々嫌な話だからね。
[01:19:12.320] シティけた。死になさい。君、
[01:19:20.320] あた笑
[01:19:21.280] 死になさい。
[01:19:23.760] 大人のキスよ。
[01:19:26.000] 帰ったら続きをしましょう。エロすぎやろ。
[01:19:29.840] あなたのとこ特に
[01:19:31.880] あなた
[01:19:32.880] それなんだよ。笑笑。
[01:19:35.600] オートまた辛すぎてレプリカントできない。
[01:19:38.360] へえ。
[01:19:39.480] 笑笑。
[01:19:40.560] やあて死なさい。あなた言ってないからね。こんなこれに近いことは言ってるけど。これに近いことは言ってるけどね。切るんだと思って。笑。
[01:19:56.280] いや、でも俺が好きなのエヴはさ、あのアニメ版のなんだよな。
[01:20:01.480] レプリアメ版のさ、あの、アニメ版のあの、
[01:20:08.280] ちょっと本若かした雰囲気のエヴァが好きなんだよな。俺はちょっと本沸かした雰囲気のエヴァが好きなんだよ。も、進撃場版はもうちょっともうしんどいわ、あれ。ジがちょっともうドインキャ。
[01:20:34.120] アニメ版だよな。やっぱ1番
[01:20:37.639] で漫画はね、でもね、漫画のシジ君がでも一番強いからね。漫画のシジ君が一番強いから統のことぶん殴るんだから。ま、あれはあれで
[01:20:49.560] 前おるしな。
